,2021-12-27,浙江龙盛今日大宗交易成交133.06万股，成交价11.81元折价4.99%,Wind
642,2020-06-08,基础化工行业周报：布油重新站上40美元 供给端和需求端继续复苏,光大证券
643,2020-06-04,细数A股59家「隐形冠军」股,新浪
644,2020-06-01,浙江龙盛(600352.SH)5月未回购股份 累计回购906.73万股,格隆汇
645,2020-06-01,石油化工／基础化工行业周报(第二十二周),新浪
646,2020-06-01,【华西固收研究】透过交易所债券折算率看信用基本面变化,固收江坛
647,2020-05-29,全国人大代表欧其：加快突破短板技术，提升染料产业链,科技日报
648,2020-05-29,统筹协调破解处置不平衡难题——化工危废源头减量和资源化利用系列报道之二,中化新网
649,2020-05-29,全国人大代表提出，中西部在承接产业转移时，要设定强有力的环境标准和准入门槛产业转移必须将污染挡在门外,中国环境报
650,2020-05-25,东方证券化工周报,新浪
651,2020-05-22,浙江龙盛(600352.SH)完成发行2020年度第三期超短期融资券,格隆汇
652,2020-05-21,化工行业今日净流出资金30.05亿元，18股净流出资金超5000万元,证券时报网
653,2020-05-20,【中金固收·信用】中国短期融资券及中期票据信用分析周报 20200520,中金固定收益研究
654,2020-05-20,浙江龙盛(600352.SH)：2020年度第三期超短期融资券兑付完成,格隆汇
655,2020-05-18,5月18日沪深两市最新交易提示,金融界
656,2020-05-15,化工企业需从全流程减排监管危废,中国环境报
657,2020-05-14,科创板现罕见操作：健耕医药IPO收购子公司股权,新浪
658,2020-05-13,健耕医药科创板IPO收购子公司股权 背后现多家上市公司,新浪
659,2020-05-12,2019年沪深两市纺服类上市公司体检报告出炉！整体态势朝健康方向转好,纺织网
660,2020-05-12,谁最牛？沪深两市176家纺织服装类上市公司2019年业绩大盘点,全球纺织网
661,2020-05-11,浙江龙盛：上海新世纪将公司主体及相关债券信用等级上调至AAA,Wind
662,2020-05-09,[入围5年期最佳股票基金经理]海富通王智慧:看好三大主线,新浪
663,2020-05-08,浙江龙盛(600352)：披露2020年员工持股计划(草案),格隆汇
664,2020-05-08,【东北基础化工】日报/吉林康乃尔与下游企业签署乙烯产品供货合同 20200509,东北基础化工
665,2020-05-07,浙江龙盛披露不超6.73亿元员工持股计划,金融界
666,2020-05-07,浙江龙盛(600352.SH)披露2020年员工持股计划(草案)　,格隆汇
667,2020-05-06,浙江龙盛(600352.SH)截至4月末累计斥资1.12亿元回购906.73万股,格隆汇
668,2020-04-30,【东北基础化工】日报/中国石化成功开发熔喷料生产新技术 20200507,东北基础化工
669,2020-04-30,2020年第一季度7家染料上市公司业绩公布,纺织网
670,2020-04-30,浙江龙盛(600352)：一季度净利润11.76亿元 同比下降6.84% 盈利能力下降,新浪
671,2020-04-30,“染料三龙头”去年总营收超300亿元 行业集中度提升产业链拓宽,证券日报
672,2020-04-29,浙江龙盛：一季度净利润同比减少6.84% 盈利能力下降,Wind
673,2020-04-29,上市公司数据播报：康隆达2019年净利5006.54万元,金融界
674,2020-04-29,浙江龙盛：一季度净利润11.76亿元 同比下降6.84% 盈利能力下降,金融界
675,2020-04-29,【浙商化工陈煜∣化工一季报持仓十个看点】化工配置到了近五年低水平，迎来基本面修复机会,微信
676,2020-04-28,龙盛、闰土、安诺其等染料巨头2019年业绩公布,纺织网
677,2020-04-27,【化工】浙江龙盛：净利率创新高,微信
678,2020-04-27,周一最新重磅公司新闻集锦(04月27日),证券之星
679,2020-04-25,产业转移加大危废风险，业内建议“减量化、资源化”优先,第一财经
680,2020-04-24,周六最新重磅公司新闻集锦(04月25日),证券之星
681,2020-04-24,4月25日上市公司重要公告集锦：中信建投一季度净利19.51亿元同比增31%,证券日报
682,2020-04-24,浙江龙盛：2019年净利同比增22.17% 拟10派2.5元,e公司
683,2020-04-24,浙江龙盛：2019年净利润同比增长22.17%,Wind
684,2020-04-24,【东北基础化工】日报/华润化学牵手BP助推聚酯产业链融合 20200424,东北基础化工
685,2020-04-24,【东北基础化工】日报/新疆望京龙130万吨/年PBAT项目首期开展前期工作 20200422,东北基础化工
686,2020-04-22,4月22日早盘主力巨资抢筹四大板块(附股),金融界
687,2020-04-21,浙江龙盛(600352)：2020年度第二期超短期融资券发行结,纺织网
688,2020-04-20,浙江龙盛(600352.SH)完成发行4亿元超短期融资券,格隆汇
689,2020-04-20,浙江龙盛(600352.SH)：2020年度第二期超短期融资券兑付完成,格隆汇
690,2020-04-16,回购掀起新高潮 十大回购王豪气出手,投资快报
691,2020-04-14,化工行业4月14日资金流向日报,证券时报网
692,2020-04-13,印染市场“旺季不旺”：疫情导致订单减少、亏损面扩大 亏损,中国经营报
693,2020-04-13,【财经早餐】央行公布3月金融数据 增量显著,华龙掘金
694,2020-04-04,雪球首次发布季度热股榜与失宠榜助股民快速掌控最新风向,凤凰网
695,2020-04-02,浙江龙盛(600352)：新增对外投资,经济观察网
696,2020-04-01,解密主力资金出逃股连续5日净流出612股,证券时报网
697,2020-04-01,3月162家上市公司共实施回购126亿元,中证网
698,2020-03-31,浙江龙盛：已累计回购886.73万股 耗资1.1亿元,中证网
699,2020-03-31,浙江龙盛(600352.SH)截至3月底累计斥资1.1亿元回购886.73万股,格隆汇
700,2020-03-31,浙江龙盛(600352)：2020年第一次临时股东大会决议,纺织网
701,2020-03-29,浙江龙盛6.9亿元摘得上海静安区一动迁安置地块,观点地产网
702,2020-03-27,浙江龙盛(600352.SH)控股股东项志峰解除质押930万股,格隆汇
703,2020-03-27,浙江龙盛(600352)：短期融资券发行 总额为3亿元,挖贝网
704,2020-03-26,浙江龙盛(600352.SH)完成发行3亿元超短期融资券,格隆汇
705,2020-03-25,“16龙盛01”3月25日14时40分发生价格异动 成交价大幅偏离估值,Wind
706,2020-03-24,【化工】疫情对化工行业影响系列二：疫情全球蔓延，或对化工品出口造成不小影响,微信
707,2020-03-23,中银证券：疫情在全球蔓延 中期重点关注化工两条投资主线,证券时报网
708,2020-03-23,化工行业资金流出榜：14股净流出资金超亿元,证券时报网
709,2020-03-23,专家倡导行业加强危废全流程管理,国家煤化工网
710,2020-03-21,外围熔断 A股为何不见踩踏,金融投资报
711,2020-03-16,卧龙地产董事辞职 大股东质押3000万股 浙江龙盛累计增持3452万股 董监高成员变化,观点地产网
712,2020-03-16,卧龙地产(600173.SH)持股5%以上股东浙江龙盛累计增持4.92%股份,格隆汇
713,2020-03-16,解密主力资金出逃股连续5日净流出790股,证券时报网
714,2020-03-16,【中证盘前】美联储降息1个百分点，推出7000亿美元QE计划；定向降准今日落地，释放长期资金5500亿元；国机重装获准重新上市,中证报
715,2020-03-15,【华金证券晚间资讯（20200315）】,华金研究
716,2020-03-14,上市公司正负面新闻2020年3月14日星期六,Wind
717,2020-03-14,多家公司启动回购计划，传递稳定股价信心,Wind
718,2020-03-13,A股头条之上市公司（3.14）,金融界
719,2020-03-13,公告精选：国重装5获准重新上市交易；厦门钨业拟分拆子公司至科创板上市,e公司
720,2020-03-13,3月13日晚间上市公司发布十大重磅公告 多股明日有望掀起涨停潮,搜狐
721,2020-03-13,晚间重要公告2020年3月13日星期五,Wind
722,2020-03-13,多公司启动回购 雅戈尔累计耗资近23亿元,e公司
723,2020-03-13,浙江龙盛(600352.SH)截至13日累计回购716.73万股 涉资8987.72万元,格隆汇
724,2020-03-13,浙江龙盛：拟公开发行不超100亿元公司债券,e公司
725,2020-03-12,跌出价值！回购增持齐上阵，更有公司连续回购无缝对接,Wind
726,2020-03-11,浙江龙盛(600352.SH)获批注册20亿元中期票据,格隆汇
727,2020-03-11,浙江龙盛(600352.SH)获准注册35亿元超短期融资券,格隆汇
728,2020-03-11,焦点｜原油崩塌,中信证券研究
729,2020-03-10,化工行业重大事项点评：关注受油价下跌影响较小的化工子行业,CITICS化工研究
730,2020-03-09,劲爆！涨价题材股轮番领涨成A股最强风口！业内人士：小心虚火！,重庆商报
731,2020-03-09,粤开证券 | 首席观点周荟萃：A股存在较丰富的结构性机会,微信
732,2020-03-07,A股市场有哪些被雪藏的世界冠军？二线蓝筹挖牛股名单,搜狐
733,2020-03-07,赚嗨了！这家券商资管2月净利暴增11倍，或逮住大牛股宁德时代，这3家净利也翻番,券商中国
734,2020-03-06,产品涨价——这次A股走牛的原因找到了,Wind
735,2020-03-06,下游行业库存水平 染料价格有望进一步上涨,中泰证券
736,2020-03-06,浙江龙盛等个股短期均线现金叉,第一财经
737,2020-03-06,融资客青睐6股，川投能源买入占比高达39.64%,Wind
738,2020-03-06,主力资金偏爱大盘蓝筹 逾百只沪深300标的股吸金过亿元,中证报
739,2020-03-06,最新业绩连续高增长股出炉，千亿白马被爆买，这几股走出慢牛行情,证券时报网
740,2020-03-05,央企复工超八成，中小企业复工难，化工行业仍受运输困扰,华夏时报
741,2020-03-04,美国紧急“救市”A股窄幅震荡沪指3000点拉锯地产券商领涨,财华社
742,2020-03-04,3月4日复盘：两主线或成做多突破口 主力资金出击7股,新浪
743,2020-03-04,涨停板复盘：沪指探底回升站稳10日线 券商股发力,新浪
744,2020-03-04,巨·热点 | 市场休整孕育新机遇 涨价题材受追宠！,巨丰财经
745,2020-03-04,3月4日主力巨资抢筹四大板块(附股),金融界
746,2020-03-04,“超级星期二”有大消息，美股期货大反弹！A股面临重要抉择,e公司
747,2020-03-04,美国“超级星期二”传来大消息，美股期货大反弹！亚洲稳了？A股面临重要抉择！,e公司
748,2020-03-04,早盘复盘：港A两市主要股指探底回升，地产股异动拉升成亮眼板块,格隆汇
749,2020-03-04,3月4日午盘两市净流入前20股(名单),金融界
750,2020-03-04,解盘：3000点上下波动，猪产业、网红经济、互联网营销领涨,Wind
751,2020-03-04,午评：三大指数弱势调整沪指涨0.06% 染料板块强势,新浪
752,2020-03-04,分散染料概念大幅拉升 染料价格涨价，产业链公司望受益,证券时报网
753,2020-03-04,染料板块持续走强 吉华集团涨停,巨丰财经
754,2020-03-04,新华500指数开盘小幅走低 暂跌0.22%,新华网
755,2020-03-04,快讯：染料板块开盘异动拉升 吉华集团涨7%,新浪
756,2020-03-04,染料股开盘走强印染厂开启2020第一波染费上涨,格隆汇
757,2020-03-04,染料股早盘走强,e公司
758,2020-03-04,分散染料价格大涨概念股市盈率整体偏低,证券时报
759,2020-03-03,供应紧张！分散染料重要材料价格暴涨超150%，产业链全名单来了，行业龙头市盈率不足10倍,证券时报
760,2020-03-03,浙江龙盛(600352.SH)截至2月底累计回购606.73万股涉资7582.33万元,格隆汇
761,2020-03-02,分散染料概念股持续拉升浙江龙盛涨超7%,格隆汇
762,2020-03-02,浙江龙盛2个月收到4.23亿政府补助，这家全球染料龙头咋恁受宠？,第一纺织网
763,2020-03-02,分散染料中间体价格涨超150% 产业链一体化公司受益（股）,金融界
764,2020-03-02,分散染料中间体价格翻倍 产业链一体化公司将受益,证券时报网
765,2020-03-01,财闻点金：多地加快互联网医院建设 供需两旺推动行业爆发,巨丰财经
766,2020-02-27,A股头条之上市公司（2.28）,金融界
767,2020-02-27,浙江龙盛收到4.2亿元政府补助,上证报
768,2020-02-27,浙江龙盛(600352.SH)1月2日至今累计获政府补助4.24亿元,格隆汇
769,2020-02-27,闰土股份(002440)：近日获得政府补助金1.7亿元,挖贝网
770,2020-02-27,逾1500亿元主力资金离场 418股遭集中抛售,中证网
771,2020-02-26,闰土股份(002440.SZ)收到政府补助1.9亿元,格隆汇
772,2020-02-26,化工产业链梳理专题报告：化繁为简，看懂化工产业链,国信研究
773,2020-02-26,晨会聚焦200226重点关注湿电子化学品行业、亿联网络、食品饮料、化工、凯利泰,国信研究
774,2020-02-25,鼠年回购潮涌 投资者能否成“弄潮儿”,中国财富网
775,2020-02-24,宋清辉：实施股票回购上市公司未必都可投资勿盲目买入回购个股,搜狐
776,2020-02-23,鼠年以来46股抛回购案 过半最高额超亿元,北京商报网
777,2020-02-23,财融汇·日间资讯,财通证券融资融券部
778,2020-02-23,化工行业：疫情之后投资方向在哪里?,南方财经网
779,2020-02-20,2月20日午后两市机构大单抢筹40股(名单),金融界
780,2020-02-20,2月20日午盘主力巨资出逃四大板块(附股),金融界
781,2020-02-20,LPR如期下调 成交额再破万亿 3000点下还在等什么,证券时报网
782,2020-02-20,浙江龙盛：化工龙头价值分析系列之七,东方证券
783,2020-02-20,33股获券商买入评级 荣盛发展目标涨幅达81.19%,Wind
784,2020-02-19,特斯拉放大招！创业板一哥助力，推动无钴电池，这个材料最受益,证券时报网
785,2020-02-18,疫情之后，化工行业投资机会在哪里？,赵辰看周期
786,2020-02-17,这家甬企砸4个亿在唐山渤海边建本土最大活性翠兰染料,第一纺织网
787,2020-02-14,欧菲光尾盘净流入资金超亿元,证券时报网
788,2020-02-13,从自由现金流看化工股未来,赵辰看周期
789,2020-02-13,上市公司回购预案密集出台 拟回购金额环比增长近八成,中证报
790,2020-02-11,警惕“忽悠”特殊时期的股票增持与回购应立足于救急,中财网
791,2020-02-09,【华金证券晚间资讯（20200209）】,华金研究
792,2020-02-09,特殊时期，警惕“忽悠式”增持与回购,搜狐
793,2020-02-08,A股头条：五部门发文保障企业资金支持 证监会核发2家IPO批文,金融界
794,2020-02-08,上市公司密集发布增持回购计划,中证报
795,2020-02-07,2月8日上市公司重要公告集锦：奥联电子实控人将变更,证券日报
796,2020-02-07,A股头条之上市公司公告精选（2.7）,金融界
797,2020-02-07,晚间公告热点追踪：西藏珠峰全体高管拟增持股票,新浪
798,2020-02-07,2月7日晚间多家上市公司发布重磅公告 下周一批股有望冲涨停,巨丰财经
799,2020-02-07,17家公司回购股份提振市场信心，三湘印象溢价居首,21世纪经济报道
800,2020-02-07,2月7日晚间上市公司十大重磅公告,巨丰财经
801,2020-02-07,2月7日上市公司晚间公告速递,新浪
802,2020-02-07,浙江龙盛大手笔回购股份稳股价，金额5亿-10亿,新京报
803,2020-02-07,浙江龙盛：今日首次回购607万股,e公司
804,2020-02-07,浙江龙盛(600352.SH)：2月7日首次回购7582.33万元股份,格隆汇
805,2020-02-06,解密主力资金出逃股连续5日净流出845股,证券时报网
806,2020-02-06,产业资本加入A股保卫战，再现回购潮！邮储银行大股东增持13亿,南都报
807,2020-02-05,疫情之下，多家A股公司谋“自救”，浙江龙盛最多回购10亿元,格隆汇
808,2020-02-05,信号强烈:成交量连续放大 还有这些异动不能忽视,上证报
809,2020-02-05,报复性反弹后，还有那些品种可以抢？,德邦证券微资讯
810,2020-02-05,最新公告透露利好 13只个股有望爆发（02.05）,中金在线
811,2020-02-05,A股早报2020年2月5日星期三,Wind
812,2020-02-05,上市公司正负面新闻2020年2月5日星期三,Wind
813,2020-02-05,陆家嘴财经早餐2020年2月5日星期三,Wind
814,2020-02-04,增持、回购、取消减持 多家上市公司披露“护盘”计划 终止回购,每日经济新闻
815,2020-02-04,A股头条之上市公司公告精选（12.4）,金融界
816,2020-02-04,A股自救升级 “兜底”增持再现 上市公司积极护盘,e公司
817,2020-02-04,公告精选：博腾股份收到吉利德科学业务询盘；理邦仪器产品订单迅速增加,e公司
818,2020-02-04,2月5日涨停板早知道：七大利好有望发酵,新浪
819,2020-02-04,晚间重要公告2020年2月4日星期二,Wind
820,2020-02-04,晚间重要公告汇总,第一财经
821,2020-02-04,提振信心 上市公司奏响护盘“四部曲”,北京商报网
822,2020-02-04,浙江龙盛：拟回购公司股份总金额5亿-10亿元,金融界
823,2020-02-04,浙江龙盛(600352.SH)拟回购5亿元至10亿元股份 回购价不超13元/股,格隆汇
824,2020-02-04,浙江龙盛：拟以5亿-10亿元回购股份,Wind
825,2020-02-04,浙江龙盛：拟以5亿-10亿元回购股份,新浪
826,2020-01-20,高配科技股！去年业绩前十基金获追捧，曝调仓轨迹，加仓这些股票,证券时报
827,2020-01-18,【东北基础化工】日报/重磅！中石油、中石化董事长或迎重大变动！20200118,东北基础化工
828,2020-01-15,【东北基础化工】日报/ 东华科技签署精细化工及新材料循环项目20200117,东北基础化工
829,2020-01-14,上证报：海外并购浪急水深，做不到“四忌”别出门,Wind
830,2020-01-13,今日705只个股突破五日均线,证券时报网
831,2020-01-09,【国盛策略】全球估值比较：哪些周期核心资产被低估？,尧望后势
832,2020-01-09,280只股中线走稳站上半年线,证券时报网
833,2020-01-09,231只股中线走稳站上半年线,证券时报网
834,2020-01-09,今日180只个股跨越牛熊分界线,证券时报网
835,2020-01-09,【盘中播报】218只个股突破半年线,证券时报网
836,2020-01-09,盯盘:国美通讯等2股秒停,中财网
837,2020-01-08,1月8日早盘主力巨资出逃四大板块(附股),金融界
838,2020-01-07,浙江龙盛(600352.SH)：法院判决公司等停止对亨斯迈先进材料瑞士所享“偶氮染料及制备方法与用途”发明专利权的侵害等 诉讼纠纷,格隆汇
839,2020-01-07,浙江龙盛：被判决停止对原告亨斯迈发明专利权的侵害，并赔偿1400万元 诉讼纠纷,Wind
840,2020-01-04,关停淘汰一批！南湖区打响印染行业专项整治攻坚战一,巨丰财经
841,2020-01-04,“关改搬转”提档升级 上市公司扛起长江保护重任,上证报
842,2020-01-03,化工行业龙头曝光！最新中国上市公司市值500强，谁上榜了？,腾讯网
843,2020-01-03,提价20%！景气回落的分散染料行业或迎来反弹利好？,格隆汇
844,2020-01-03,浙江龙盛(600352)：将合计获得1.45亿元政府奖励补助资,挖贝网
845,2020-01-03,染料巨头浙江龙盛又获1.45亿政府奖励款,第一纺织网
846,2020-01-02,【金财富决策参考】2020-01-03,赢家之星
847,2020-01-02,分散染料价格大涨20% 相关公司有望受益,e公司
848,2020-01-02,广证恒生-市场要闻点评-第1219期-20200102,广证恒生策略研究
849,2020-01-02,最新公告透露利好 12只个股有望爆发（01.02）,中金在线
850,2020-01-01,财闻点金：全面降准释放8000亿元长期资金 机构看好后市,巨丰财经
851,2020-01-01,【金财富早知道】2020-01-02,赢家之星
852,2020-01-01,【华金证券晚间资讯（20200101）】,华金研究
853,2019-12-31,A股头条之上市公司（1.1）,金融界
854,2019-12-31,【东北基础化工】日报/埃克森美孚惠州乙烯项目正式开工 20200423,东北基础化工
855,2019-12-31,浙江龙盛近一年累计收到政府补助逾5亿元,金融界
856,2019-12-31,2019年A股TOP 10来了！七成股票赚钱，成交额最大的“人气王”竟是它,中证报
857,2019-12-31,主力动向：12月31日特大单净流出50.75亿元,证券时报网
858,2019-12-31,浙江龙盛：获得政府补助12502.54万元,金融界
859,2019-12-31,融资客青睐13股，大湖股份买入占比高达50.89%,Wind
860,2019-12-31,12月31日涨停板预测：9股有望冲击涨停,金融界
861,2019-12-30,闰土股份(002440.SZ)：收到政府补助 预计增加公司2019年度税前利润总额1.31亿元,格隆汇
862,2019-12-30,A股共发生137宗大宗交易成交37.73亿元（12月30日）,Wind
863,2019-12-30,"浙江龙盛现1笔大宗交易 共成交1,008.70万元",新浪
864,2019-12-30,13股特大单净流入资金超2亿元,证券时报网
865,2019-12-30,上海证券市场大宗交易公开信息(2019-12-30),上交所
866,2019-12-30,浙江龙盛今日大宗交易成交70万股，成交价14.41元溢价0.0%,Wind
867,2019-12-30,浙江龙盛(600352.SH)收到化工企业退出奖励补助资金1.25亿元,格隆汇
868,2019-12-30,今日222只个股跨越牛熊分界线,证券时报网
869,2019-12-30,今日104只个股突破年线,证券时报网
870,2019-12-30,A股收评：三大股指涨逾1% 券商股大涨中信证券涨停,格隆汇
871,2019-12-30,【盘中播报】181只个股跨越牛熊分界线,证券时报网
872,2019-12-26,2019券商资管产品分享：聚焦主动管理着眼中长期业绩,每日经济新闻
873,2019-12-26,2019年融资客“爆买”个股TOP100：平安、茅台等6只均超千亿元,证券日报
874,2019-12-26,今日682只个股突破五日均线,证券时报网
875,2019-12-16,山东创新集团退出中企发展 牵出锦州银行股权风云变幻,新京报
876,2019-12-13,2019精细化工企业影响力TOP50,硅谷动力
877,2019-12-11,【东北基础化工】日报/神华宁煤-SABIC合资70万吨/年煤制烯烃新材料示范项目环评公示 20191212,东北基础化工
878,2019-12-10,【东北基础化工】日报/沙特阿美将入股浙江石化新建炼化项目 20191211,东北基础化工
879,2019-12-09,【东北基础化工】日报/国家油气管网公司正式挂牌成立 20191210,东北基础化工
880,2019-12-09,实探“休眠”的苏北化工园：弃厂搬迁正上演,证券时报
881,2019-12-08,【申万化工周观点】周期品部分企稳反弹，建议配置一二线龙头白马,申万宏源化工投资
882,2019-12-07,【东北基础化工】日报/全球首个纯碱期货在郑州商品交易所上市 20191207,东北基础化工
883,2019-12-07,【东北基础化工】日报/山东泰特尔特种环氧树脂项目开工，将占有全球细分市场半壁江山 20191206,东北基础化工
884,2019-12-05,科创板首例！建龙微纳上市当天破发 分析人士：预料之中 连续下跌,腾讯网
885,2019-12-04,【东北基础化工】日报/恒力集团拟在贵州建区域总部、新材料产业园 20191205,东北基础化工
886,2019-12-02,浙江龙盛(600352.SH)完成兑付2019年度第一期超短期融资券,格隆汇
887,2019-12-02,家族式管理“沉疴难起” 闰土股份能否扳回一局,投资者报
888,2019-11-24,【申万化工周观点】VE价格上涨，继续推荐一二线白马及成长龙头,申万宏源化工投资
889,2019-11-22,国联证券发布2020年基础化工行业选股策略(附股),证券时报网
890,2019-11-18,易会满到浙江 与这些浙商当面交流,新浪
891,2019-11-13,贪多不烂 容易踩雷 20只价值股,金融界
892,2019-11-12,这个品种尾盘出现了抢筹,每日经济新闻
893,2019-11-08,中信证券：中美同意分段取消关税，看好化工细分行业机会,证券时报网
894,2019-11-07,11月7日有73家公司获重要股东增减持 梦网集团已被连续减持50次 减持股份,Wind
895,2019-11-07,【申万宏源化工】每日信息速递20191107,申万宏源化工投资
896,2019-11-07,浙江龙盛：股东阮兴祥、姚建芳共减持0.06%股份 减持股份,Wind
897,2019-11-07,浙江龙盛(600352.SH)董事姚建芳减持216.36万股 减持股份,格隆汇
898,2019-11-07,【化工】行业三季报综述:景气回落未见拐点*强于大市,中银国际证券研究
899,2019-11-04,解码机构调仓换股路径,中证网
900,2019-10-31,卧龙地产“芳邻在侧”,腾讯网
901,2019-10-30,密尔克卫公布三季报 前三季净利增加37.97%,新浪
902,2019-10-29,A股资金严重告急！,YY港股圈
903,2019-10-28,A股共发生65宗大宗交易成交14.52亿元（10月28日）,Wind
904,2019-10-28,"浙江龙盛现1笔大宗交易 共成交1,433.00万元",新浪
905,2019-10-28,上海证券市场大宗交易公开信息(2019-10-28),上交所
906,2019-10-28,浙江龙盛今日大宗交易成交100万股，成交价14.33元溢价0.0%,Wind
907,2019-10-27,浙江龙盛公布三季报 前三季净利增加22.13%,新浪
908,2019-10-27,10月27日上市公司晚间公告速递,新浪
909,2019-10-27,浙江龙盛(600352.SH)前三季度净利润升22.13%至38.82亿元,格隆汇
910,2019-10-27,[快讯]嘉元科技前三季度净利增152% 多家公司公布业绩-更新中,中财网
911,2019-10-27,浙江龙盛：前三季度净利同比增22%,e公司
912,2019-10-27,浙江龙盛：前三季度净利润同比增22.13%,Wind
913,2019-10-23,化工新材料板块拉升走强，机构推荐两大方向标的,第一财经
914,2019-10-23,"化工行业周报:双氧水价格上涨,周期品静待需求企稳,推荐成长及一体化龙头",申万宏源
915,2019-10-21,双环传动(002472.SZ)拟斥1000万元参与设立合伙企业,格隆汇
916,2019-10-21,亚厦股份(002375.SZ)拟斥1000万元参设合伙企业,格隆汇
917,2019-10-21,天通股份(600330.SH)拟出资2000万元组建杭州上研科领信息科技合伙企业(有限合伙),格隆汇
918,2019-10-21,化工行业库存与价格之辩：有反向关系吗？,格隆汇
919,2019-10-17,【化工】化工行业2019年三季报前瞻:多家公司业绩预喜，利润向行业中下游传导*强于大市,中银国际证券研究
920,2019-10-08,卧龙地产(600173.SH)获浙江龙盛增持2.15%的股份 持股升至7.15%,格隆汇
921,2019-09-30,A股市场资金变动一览（9月30日）,Wind
922,2019-09-27,三季度上市公司重要股东增持180亿元 环比降一成,中证报
923,2019-09-23,头顶融资“紧箍咒” 脚踩增持“风火轮”！地产行业怎么了？,证券时报
924,2019-09-18,500亿市值“染料大王”浙江龙盛相中卧龙地产，举牌聚光下投资版图霸气侧漏,21世纪经济报道
925,2019-09-18,融资客青睐15股，江河集团买入占比高达48.86%,Wind
926,2019-09-18,八大题材进入涨价季节 机构看好12只低估值股,证券时报
927,2019-09-18,1.5亿元举牌“老乡”卧龙地产 浙江龙盛所图为何？,中财网
928,2019-09-18,巨丰早评：单边上涨行情告一段落,巨丰财经
929,2019-09-17,浙江龙盛为何瞄准卧龙地产？曾命中滴滴B站开心麻花,新浪
930,2019-09-17,国庆临近环保督察趋严 染料价格全线上涨(股),慧聪网
931,2019-09-17,涨停板复盘丨今天指数这根大阴线怎么看？,格隆汇
932,2019-09-17,浙江龙盛举牌卧龙地产，欲从地产项目突破？,环球老虎财经
933,2019-09-17,涨价题材独领风骚！下个风口“吹”谁家？,Wind
934,2019-09-17,9月17日复盘：大跌后支撑有多强？主力资金出击2股,新浪
935,2019-09-17,587亿资金争夺20股：主力资金重点出击2股(名单),新浪
936,2019-09-17,收评:两市指数小幅回升沪指跌1.7% 天然气概念股活跃,新浪
937,2019-09-17,卧龙地产：浙江龙盛增持公司股份3505.6万股 占公司总股本5.00%,中国网
938,2019-09-17,染料行业拐点来到，哪些股票受益？,格隆汇
939,2019-09-17,巨丰午评：金融科技熄火加剧调整,巨丰财经
940,2019-09-17,A股异动 | 卧龙地产盘中触及涨停 获浙江龙盛举牌,格隆汇
941,2019-09-17,染料股集体走强 安诺其率先涨停,证券时报网
942,2019-09-17,分散染料概念走强 染料价格全线上涨,证券时报网
943,2019-09-17,分散染料概念股拉升 安诺其涨停,e公司
944,2019-09-17,分散染料板块持续走强 安诺其封涨停,第一财经
945,2019-09-17,【异动股】分散染料板块逆市活跃七彩化学(300758-CN)曾涨逾9%,财华社
946,2019-09-17,A股异动 | 分散染料概念股逆市上涨 分散染料全系列价格上调,格隆汇
947,2019-09-17,分散染料板块早盘走强 七彩化学一度涨逾9%,第一财经
948,2019-09-17,巨丰热点：分散染料涨价刺激概念股活跃,巨丰财经
949,2019-09-17,A股三大指数小幅低开沪指跌0.23%石油板块高开,财华社
950,2019-09-17,浙江龙盛举牌卧龙地产持股达5% 拟继续增持3%-5%股份,观点地产网
951,2019-09-17,趋势巡航：近期大盘走势为何奇怪,金融界
952,2019-09-17,【行业雷达】梳理行业脉络，挖掘机会热点,华龙掘金
953,2019-09-17,联讯早餐荟——9月17日星期二,联讯金融
954,2019-09-17,染料价格全线上涨 国庆长假临近环保督察趋严（附受益股）,金融界
955,2019-09-17,周二最新重磅公司传闻集锦(9月17日),证券之星
956,2019-09-16,每经23点 | 滴滴自动驾驶出租车或明年初投放；iPhone 11系列预售超预期 苹果概念股创年内最大涨幅,每日经济新闻
957,2019-09-16,A股头条之上市公司（9.17）,金融界
958,2019-09-16,多公司发布晚间重要公告17号走势或将反转,和讯
959,2019-09-16,多地印染化工企业停产减排 分散染料全系列价格上调 经营问题,中证网
960,2019-09-16,卧龙地产：举牌方浙江龙盛拟继续增持3%-5%股份,e公司
961,2019-09-16,卧龙地产(600173.SH)获浙江龙盛举牌 未来继续增持3%-5%的股份,格隆汇
962,2019-09-16,染料巨头出手，这只地产股被举牌，股价已大涨近三成！,e公司
963,2019-09-16,29日晚公告精选丨*ST大控：将触及终止上市条件，20日起停牌,21世纪经济报道
964,2019-09-16,周一晚间公告精选|多家公司遭减持 这家公司却获举牌增持高达5%,云掌财经
965,2019-09-16,9月17日涨停板早知道：七大利好有望发酵,新浪
966,2019-09-16,卧龙地产：获浙江龙盛举牌，持股达5%,Wind
967,2019-09-15,【申万宏源化工周观点】沙特油田遭袭有望带来周期品短期波动，持续关注一二线龙头及成长龙头,申万宏源化工投资
968,2019-09-11,9月11日复盘：阶段性见顶信号已现 主力出击7股,新浪
969,2019-09-11,807亿资金争夺20股：主力资金重点出击7股(名单),新浪
970,2019-09-04,涨价题材领涨A股！六大行业轮番接力，短线还有机会吗？（附股）,重庆商报
971,2019-09-04,中信建投秋季化工策略：破局时代见真成长,新浪
972,2019-09-03,【金财富决策参考】2019-09-04,赢家之星
