,2021-12-31,恒力石化(600346.SH)尚未开始实施回购,智通财经
513,2021-06-09,辽宁区域股市周报：桃李面包超圆通速递成板块市值5强 恒力石化市值缩水最多 连续下跌,每日经济新闻
514,2021-06-09,2020年沪深两市纺织上市公司发展规模及经济运行现状分析,全球纺织网
515,2021-06-09,化工板块超20股涨逾5% 机构：顺周期业绩将迎兑现期丨牛熊眼,第一财经
516,2021-06-08,石油化工一周观点：从供需面看丙烯产业链,新浪
517,2021-06-07,全球缺芯潮愈演愈烈，蔡嵩松、赵诣又赶上风口？,Wind
518,2021-06-07,化工周期新征程系列三：化纤布局正当时,新浪
519,2021-06-07,国君石化 | 碳中和对石化行业影响专题研究：石化行业成本曲线重塑，中长期竞争格局优化,国泰君安证券研究
520,2021-06-07,化工行业周报：重点看好资本开支下实现跨越式增长的周期成长股,新浪
521,2021-06-04,北向资金今日净买入30.67亿元，贵州茅台净买入近5亿元,Wind
522,2021-06-04,辽宁区域股市周报：恒力石化市值增长最多 鞍重股份股价涨幅最大,每日经济新闻
523,2021-06-04,每日理财观察：国务院深化“证照分离”改革,Wind
524,2021-06-04,北向资金增持酿酒行业，恒瑞医药连续两日被抛售（附股） 减持股份,21世纪经济报道
525,2021-06-03,大橡塑：前5个月合同额与2020年全年持平,中国橡胶网
526,2021-06-03,A股收盘综述：上证指数收跌0.36%，上海本地股一度批量涨停,Wind
527,2021-06-03,A股异动丨恒力石化(600346.SH)跌近5%遭剔除出富时中国A50指数 剔除指数,格隆汇
528,2021-06-03,恒力石化大跌 连续下跌,新浪
529,2021-06-03,化纤板块跌幅加深，恒力、荣盛、东方盛虹、华峰化学、桐昆集体下挫,Wind
530,2021-06-03,富时中国A50指数新纳入两大A股：金龙鱼、智飞生物,资本邦
531,2021-06-03,创新红利时代，恒力石化领跑超细纤维行业,全球纺织网
532,2021-06-03,每日理财观察：富时罗素季度调整结果公布,Wind
533,2021-06-03,全球石油企业2021排名出炉，三桶油全部入围全球前十,中国能源网china5e
534,2021-06-03,港股盘前必读：港股印花税由0.1%提高至0.13%将于8月1日生效,Wind
535,2021-06-02,富时罗素季度调整结果公布，速看新增剔除A股标的全名单,Wind
536,2021-06-02,富时中国A50新纳入、剔除各2只A股，6月18日收盘后生效,第一财经
537,2021-06-02,富时中国A50指数将纳入金龙鱼、智飞生物， 剔除恒力石化、中公教育,Wind
538,2021-06-02,富时罗素季度指数变更：金龙鱼及智飞生物获纳入富时中国A50指数,Wind
539,2021-06-02,每日理财观察：“明星基金”净值逼近前期高点,Wind
540,2021-06-01,化纤龙头冲涨停，超跌高增长低估值股仅11只！养殖龙头上市三天破发，中一签亏2760元 连续下跌,上游新闻
541,2021-06-01,金融街下午茶2021年6月1日星期二,Wind
542,2021-06-01,化纤龙头恒力石化冲涨停 超跌高增长低估值股仅11只,新浪
543,2021-06-01,基础化工／石油化工行业周报(第二十一周),新浪
544,2021-06-01,两千亿石化龙头是如何炼成的？,ZAKER
545,2021-06-01,A股收盘综述：上证指数6月开门红，三胎板块走俏、周期股强力反弹,Wind
546,2021-06-01,化纤板块飙升，恒力石化、荣盛石化、华峰化学、恒逸石化强力反弹,Wind
547,2021-06-01,【行情】化工板块午后明显拉升，龙头万华化学涨近6%，恒力石化涨近3%，华鲁恒升涨超8%，恒逸石化涨近4%,金十数据
548,2021-06-01,石油加工行业每周炼化：长丝持续累库,新浪
549,2021-05-31,绿色能源与大宗商品周报：(2021年第4期),新浪
550,2021-05-31,化纤板块扩大跌幅，恒力、荣盛、东方盛虹、华峰化学、恒逸石化集体下行,Wind
551,2021-05-30,板块拾金|一天一个样！新能源、半导体、金融...轮动市到底看谁？策略收好！,第一财经
552,2021-05-30,中泰化工周度观点21W22：MDI价格跌势趋缓 市场回暖曙光或现,新浪
553,2021-05-29,辽宁区域股市周报：联美控股市值增长最多 鞍重股份股价涨幅最大,每日经济新闻
554,2021-05-28,平安证券--石油石化行业原材料涨价影响系列研究：化工篇，后市价格预计分化，把握低估周期龙头及新材料板块【行业研究】,金融界股吧
555,2021-05-27,概念股盘点：可降解塑料政策利好频发金发科技强势拉升,时代周报
556,2021-05-27,中信证券：周期景气延续，成长未来可期,Wind
557,2021-05-26,可降解塑料概念股掀涨停潮 哪些企业已投产卡位 热门股价值几何,贝壳财经
558,2021-05-26,涨停复盘 | 沪指3600点得而复失 可降解塑料概念火爆,第一财经
559,2021-05-26,可降解塑料概念掀涨停潮机构看好这些个股、最高还可涨75%,第一财经
560,2021-05-25,东吴证券：业绩为王，挖掘化工投资机会,第一财经
561,2021-05-25,民航业塑料污染治理文件重磅出台，这些相关企业获看好,第一财经
562,2021-05-25,化工行业2021年中期策略：业绩为王，挖掘化工投资机会,东吴石化化工
563,2021-05-25,A股共发生161宗大宗交易成交29.61亿元（5月25日）,Wind
564,2021-05-25,"恒力石化现1笔大宗交易 共成交1,740.95万元",新浪
565,2021-05-25,恒力石化今日大宗交易成交59.54万股，成交价29.24元溢价0.0%,Wind
566,2021-05-25,化工行业数据周报：1Q21化工行业基金持仓分析,新浪
567,2021-05-25,石油石化行业数据周报：假期油价走势回顾,新浪
568,2021-05-25,A股资本地图大连篇：26家公司上市，市值近五千亿，超六成为细分领域龙头,时代周报
569,2021-05-24,能源化工行业周观点：化工行业处传统淡季 农化、钛白粉等延续强势,新浪
570,2021-05-24,石油石化、基础化工、新材料行业北上资金流向周报,新浪
571,2021-05-24,恒力石化(600346.SH)将于5月31日发放2020年现金红利 每10股派7.7元,智通财经
572,2021-05-24,恒力石化(600346.SH)：2020年度权益分派10派7.7元 股权登记日为5月28日,格隆汇
573,2021-05-24,化工行业周报：看好周期低估值弹性标的及高增长成长股,新浪
574,2021-05-24,做纺织生意，为何越做越难？仅有2%的利润被89.58%的企业分食、龙头正看准时机完成对小厂的市场收割！,全球纺织网
575,2021-05-23,化工行业周报：万华化学攻克L-薄荷醇技术 新材料领域持续突破,新浪
576,2021-05-21,二季度以来199家上市公司拟开展套期保值 年度保证金额度约284.34亿元,和讯
577,2021-05-20,化纤板块盘中调整，恒力、荣盛、东方盛虹、华峰化学、桐昆、恒逸普跌,Wind
578,2021-05-20,中航证券--券商行业周报（2021年第十七期）：精选层再融资新规发布，券商估值仍有修复空间【行业研究】,金融界股吧
579,2021-05-20,绿色能源与大宗商品月报(2021年5月)行业月报,新浪
580,2021-05-19,辽宁区域股市周报：兴齐眼药市值增长最多鞍钢股份跌幅最大,每日经济新闻
581,2021-05-19,申港证券--从高景气二级行业出发选股：优化四维度连续景气综合打分系统找出最景气的申万二级行业【投资策略】,金融界股吧
582,2021-05-18,“油转化”趋势下炼化行业如何发展,要资讯
583,2021-05-18,恒力石化投产两年助辽宁破解“油头大、化尾小”难题,搜狐
584,2021-05-18,深度*行业*化工行业2021下半年策略：行业维持高景气 碳中和背景下的产业升级与集中度提升将是未来主基调,新浪
585,2021-05-18,做深做宽产业链寻求更多突破点,中证报
586,2021-05-17,2021Q1化工行业总结：供需格局改善 盈利大幅提升 看好景气持续,新浪
587,2021-05-17,“叶飞效应”？机构预测高增长超跌大盘股曝光,Wind
588,2021-05-17,中泰周期·大宗指南：周期品周度运行变化,新浪
589,2021-05-16,石油石化、基础化工、新材料行业北上资金流向周报：石油化工新材料行业北上资金周报,新浪
590,2021-05-16,石油化工行业跟踪报告：进口原料征税 成品油市场进一步规范,新浪
591,2021-05-14,辽宁区域股市周报：恒力石化市值增长最多 美吉姆受两路资金看好,每日经济新闻
592,2021-05-13,“油转化”趋势下炼化行业如何发展,--
593,2021-05-13,化纤板块再度杀跌，恒力、荣盛、华峰化学、桐昆股份、恒逸石化集体走弱,Wind
594,2021-05-13,信达证券--石油加工行业每周炼化,信达证券
595,2021-05-12,石油化工行业跟踪报告：需求仍有支撑 全年供需格局向好――OPEC月报点评,新浪
596,2021-05-12,借款额偏高？恒力石化：与经营规模、资金需求匹配，负债率已下降,新京报
597,2021-05-12,石油石化行业周报：欧美逐步放开防疫限制措施 国际原油价格上涨,新浪
598,2021-05-12,恒力石化(600346)：公司进军生物可降解新材料业务领域,纺织网
599,2021-05-12,智氪 | 扎心，为什么连塑料袋都贵了？,36氪
600,2021-05-11,恒力石化：年报中的成品油毛利率部分是包含消费税的,每日经济新闻
601,2021-05-11,基础化工行业2020年年报及2021年一季报总结：化工产品价格指数探底回升 橡塑制品、农化、化纤等板块表现亮眼,新浪
602,2021-05-11,石油天然气、化工行业2020&1Q21业绩回顾：行业高景气 盈利创新高,新浪
603,2021-05-11,【方正化工】2021年下半年方正化工策略报告：景气有望继续回升，坚守长线成长标的,靠谱化工股
604,2021-05-11,化纤板块大幅调整，恒力、荣盛、华峰化学、桐昆股份、恒逸石化集体大跌,Wind
605,2021-05-10,【兴证化工】钛白粉、丁辛醇、三聚氰胺、电石、PVC、草甘膦等 继续涨价，六氟磷酸锂、苯胺、氯化钾价格走高（5月09日）,兴证化工
606,2021-05-10,通胀无牛市？这份通胀预期下的投资指南请查收,Wind
607,2021-05-10,能源化工行业周观点：化工产品景气高位延续 关注碳中和、农化、海外复苏等主线,新浪
608,2021-05-10,石油石化、基础化工、新材料行业北上资金流向周报,新浪
609,2021-05-10,石油化工行业周报：从油价上涨的弹性到石化产品盈利的持续性,新浪
610,2021-05-10,石化行业2020年报&2021一季报总结：油价回升 助力行业盈利能力改善,新浪
611,2021-05-08,安信证券--基础化工行业周报：油价上涨，醋酸、钛白粉、软泡聚醚、制冷剂R134a等产品价格上涨【行业研究】,金融界股吧
612,2021-05-07,“炼化-化纤”产业链周报：低成本优势助力 民营大炼化逆势交出亮眼答卷,新浪
613,2021-05-07,深度*行业*化工行业2020年报及2021年一季报综述：景气持续上行 新增投资放缓,新浪
614,2021-05-07,辽宁区域股市周报：总市值全国排名被山西超越 圆通速递市值增长最多,每日经济新闻
615,2021-05-07,石油石化行业周报：OPEC+逐步增产政策延续 国际原油价格上涨,新浪
616,2021-05-07,多家巨头杀入，千亿风口蓄势待发？,Wind
617,2021-05-06,5月6日晚间重要行业研究汇总(附股),中金在线
618,2021-05-06,去年A股公司营收占GDP总额52%，顺周期板块逆袭,Wind
619,2021-04-29,辽宁区域股市周报：兴齐眼药股价涨22.45%排第一海航投资跌幅最大,每日经济新闻
620,2021-04-29,石油加工行业每周炼化：涤纶长丝利润收窄！,新浪
621,2021-04-29,恒力石化：控股股东恒力集团质押9300万股,每日经济新闻
622,2021-04-28,华西证券：可降解塑料供不应求的市场局面将持续,Wind
623,2021-04-28,投产周期下，PTA厂家如何度过洗牌期？,期货日报
624,2021-04-27,中银证券化工行业点评：继续加大持仓比例，强化更多个股配置,每日经济新闻
625,2021-04-27,【银河策略曾万平】策略专题丨在业绩中寻找投资机会,中国银河证券研究
626,2021-04-26,化工点评报告：石油石化配置连续三季度回升 关注龙头及偏成长相关标的,新浪
627,2021-04-26,中泰周期·大宗指南：周期品周度运行变化,新浪
628,2021-04-26,化工周度观点21W17：工信部发文 重柴国六时代来临,新浪
629,2021-04-26,化工板块2021Q1持仓分析：环比持续改善 中小市值公司获得加持,新浪
630,2021-04-26,基础化工行业周报(第十六周),新浪
631,2021-04-26,能源化工行业周观点：业绩披露期即将结束 多数子行业景气高位,新浪
632,2021-04-26,中信证券：年报季报披露窗口期即将结束，关注纯碱、化肥等业绩确定性较高行业,Wind
633,2021-04-26,A股策略专题：20210426在业绩中寻找投资机会,新浪
634,2021-04-26,中信证券：年报季报披露窗口期即将结束，关注纯碱、化肥等业绩确定性较高行业,证券时报网
635,2021-04-26,6000亿大白马被400多家机构同时盯上，透露重磅信息！,Wind
636,2021-04-23,去年营收均超千亿元 民营大炼化“双雄”牛在哪儿？,上证报
637,2021-04-22,惠州世界级绿色石化产业基地加速崛起,南方日报
638,2021-04-22,恒力石化首季高增长 社保基金北向资金减持刘格菘买入 减持股份,中国经济网
639,2021-04-22,社保、明星基金经理都爱的化工股，Q2还能接着涨吗？,资本邦
640,2021-04-22,10张图一览社保、多名明星基金经理最新重仓股,Wind
641,2021-04-22,刘格菘麾下基金一季度调仓路径：减仓“光伏茅”加码化工龙头股,证券之星
642,2021-04-21,新增重仓龙蟒佰利和恒力石化 广发基金调仓,每日经济新闻
643,2021-04-21,新增重仓龙蟒佰利和恒力石化 广发基金刘格菘：对市场不仅不悲观，反而更乐观,每日经济新闻
644,2021-04-21,恒力石化(600346.SH)一季度净利润升91.81%至41.11亿元,格隆汇
645,2021-04-21,恒力石化(600346.SH)一季度归母净利同比增长92%至41.11亿元,智通财经
646,2021-04-21,恒力石化：一季度净利润41.11亿元，同比增长91.81%,Wind
647,2021-04-21,顶流基金经理重仓股大曝光！他们如何看后市？,Wind
648,2021-04-21,董承非大减仓、刘格菘爱制造，赵诣增持天赐材料,Wind
649,2021-04-21,民营大炼化“钱景”不一般,中国能源报
650,2021-04-21,银河证券：需求复苏助力景气上行，化工行业一季度业绩将显著提升,Wind
651,2021-04-21,看董承非、刘格菘、谢治宇最新操作！两“顶流”现分歧,Wind
652,2021-04-20,刘格菘的“新欢”，可能是你的“旧爱”：偏执的“龙头”爱好者,第一财经
653,2021-04-20,刘格菘最新持仓曝光：Q1增持康泰生物，新进龙蟒佰利、恒力石化为其前十大重仓股,格隆汇
654,2021-04-20,中国银河--化工行业深度：需求复苏助力景气上行，21Q1业绩将显着提升【行业研究】,金融界股吧
655,2021-04-20,机构调研大幅升温，三大板块看多逻辑不变,Wind
656,2021-04-17,恒力石化：炼化项目进入满负荷运行 业绩实现全面增长,红周刊
657,2021-04-16,平安证券--恒力石化：炼化一体化完成，新增产能助力业绩同比增长34%【公司研究】,金融界股吧
658,2021-04-16,19股获机构高频“买入”评级，15股机构看涨空间超15%,同壁财经
659,2021-04-16,19股获机构高频“买入”评级，15股机构看涨空间超15%,金融界
660,2021-04-15,华泰证券：恒力石化（600346.SH）全年净利增34％，维持“买入”评级,智通财经
661,2021-04-15,144股获券商买入评级 海鸥住工目标涨幅达165.63%,Wind
662,2021-04-15,800家上市公司一季度业绩预喜,Wind
663,2021-04-14,【天风石化】恒力石化2020年报点评：炼化项目达产，利润和现金流强劲,樨樨和她的油气小伙伴
664,2021-04-14,产能提高30%，大橡塑XMN-440+XMN-800高端串联密炼机下线！,中国橡胶网
665,2021-04-14,化工板块表现活跃 机构建议关注两条主线,中财网
666,2021-04-14,信达证券--石油加工行业每周炼化：聚酯市场窄幅波动【行业研究】,金融界股吧
667,2021-04-14,安信证券：恒力石化(600346.SZ)平台带动发展，维持“买入”评级,智通财经
668,2021-04-14,国信证券--恒力石化2020年年报点评：业绩再创新高，成长性逐步验证【公司研究】,金融界股吧
669,2021-04-13,恒力石化：业绩再创新高 多家投资机构给予买入评级,金融界
670,2021-04-13,开源证券--恒力石化：公司全年盈利能力稳定，聚酯新材料领域蓄势待发【公司研究】,金融界股吧
671,2021-04-13,开源证券：恒力石化（600346.SH）盈利和抗风险能力表现突出，维持“买入”评级,智通财经
672,2021-04-13,恒力石化(600346)：2020年净利135亿元同比增34%拟10,金融界
673,2021-04-12,晚间要闻2021年4月12日星期一,Wind
674,2021-04-12,恒力石化2020年净利同比增长34% 拟10派7.7元,上证报
675,2021-04-12,恒力石化2020年盈利134.62亿元,中证报
676,2021-04-12,恒力石化逆势而上，2020年收入利润双增长,中国能源网
677,2021-04-12,恒力石化(600346.SH)年度归母净利同比增34.28%至134.62亿元 每10股派7.7元,智通财经
678,2021-04-12,恒力石化：2020年净利同比增34.28%拟10派7.7元,格隆汇
679,2021-04-12,恒力石化(600346.SH)2020年度净利润升34.28%至134.62亿元 拟10派7.7元,格隆汇
680,2021-04-12,恒力石化：2020年净利润同比增长34.28%，拟每股派0.77元,Wind
681,2021-04-12,石油石化行业周报：醋酸价格快速上涨 建议关注相关投资机会,新浪
682,2021-04-12,化工行业周度观点22W15：3月PPI同比和环比涨幅扩大 化工行业一季度表现亮眼,新浪
683,2021-04-12,平安证券--化工行业一季报业绩前瞻：关注一季报业绩超预期子行业和上市公司【行业研究】,金融界股吧
684,2021-04-12,化工行业周报：Q1业绩持续向上共振 万华Q1业绩创历史新高,新浪
685,2021-04-12,过半A股公司发布2020年成绩单：全年稳中有增，多行业逆势爆发,Wind
686,2021-04-11,券商评级一周速览：219只个股获券商买入评级，恒力石化预期涨幅达145.78%,每日经济新闻
687,2021-04-09,一周纺织股大事｜4月6-9日 恒力石化一季度净利同比增长93%！新凤鸣豪砸60亿投建差别化纤维项目,全球纺织网
688,2021-04-09,化纤板块跌超3%，恒力石化、荣盛、东方盛虹、华峰、桐昆集体走低,Wind
689,2021-04-09,恒力石化、恒逸实业等企业入选，“产业基地”成期货市场服务实体重要抓手,中国纺织报
690,2021-04-09,扎堆调研化工股成基金增仓新风向,Wind
691,2021-04-09,扎堆调研化工股成基金增仓新风向,中证报
692,2021-04-09,恒力石化子公司成立新材料科技公司，注册资本10亿元,发现网
693,2021-04-08,【机构风向标】17股获机构高频“买入”评级，三大行业最受关注，2股上涨空间均超70%,证券时报网
694,2021-04-08,基础化工/石油天然气行业周报(第十二周),新浪
695,2021-04-08,广东省公布2021年重点建设项目计划,国家煤化工网
696,2021-04-08,中泰证券--中泰化工周度观点22W14：两化重组终落地，化工迎来新发展【行业研究】,金融界股吧
697,2021-04-08,4月7日82只个股获券商关注，恒力石化目标涨幅达145.11%,每日经济新闻
698,2021-04-08,机构扎堆调研化工行业龙头 睿远基金、高毅、星石最青睐这五只票,中证报
699,2021-04-08,【英大期货】盘前点评,英大期货
700,2021-04-08,动力煤触及跌停，究竟发生了什么？,Wind
701,2021-04-07,净利增长50倍、60倍、70倍……这个板块吸引睿远、高毅的目光,中证报
702,2021-04-07,生意社：PTA装置检修增加 短期价格震荡偏强,生意社
703,2021-04-07,辽宁区域股市周报：4463万融资买入辽宁成大 4家机构调研中广核技,每日经济新闻
704,2021-04-07,【万联化工 | 恒力石化】点评：民营大炼化业绩兑付，21Q1盈利增幅亮眼,万联证券研究所
705,2021-04-07,76股获机构买入型评级 恒力石化关注度最高,证券时报网
706,2021-04-07,76股今日获机构买入评级10股上涨空间超20%,证券时报网
707,2021-04-07,万联证券给予恒力石化买入评级：民营大炼化业绩兑付，21Q1盈利增幅亮眼,每日经济新闻
708,2021-04-07,石油化工行业：OPEC+将逐步增产 油价短期仍将上行,新浪
709,2021-04-07,可交换私募债跟踪：私募EB每周跟踪,新浪
710,2021-04-07,长城证券--碳中和系列专题报告：碳中和系列报告（一），碳中和背景下的路径指引及行业展望【行业研究】,金融界股吧
711,2021-04-07,国信证券--恒力石化：业绩大增，民营大炼化优势凸显【公司研究】,金融界股吧
712,2021-04-07,国金证券--恒力石化：高增长低估值持续验证【公司研究】,金融界股吧
713,2021-04-07,恒力石化(600346)：业绩预告超预期 规划产能助力公司成长,华安证券
714,2021-04-07,国金证券：恒力石化(600346.SH)高增长低估值持续验证，目标价71.4元，维持“买入”评级,智通财经
715,2021-04-07,石油天然气、化工行业中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,新浪
716,2021-04-07,【恒力石化| 公司快评：业绩大增，民营大炼化优势凸显】-国信证券,化工林谈
717,2021-04-07,开源证券--恒力石化：石化航母彰显稳定盈利能力，Q1公司业绩表现突出【公司研究】,金融界股吧
718,2021-04-07,华安证券--恒力石化：业绩预告超预期，规划产能助力公司成长【公司研究】,金融界股吧
719,2021-04-07,恒力石化一季度预盈41亿 炼化业务一年半赚106亿,新浪
720,2021-04-07,【晨观方正】市场&中小盘/社服/化工 20210407,方正证券
721,2021-04-07,中金 | 中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,中金点睛
722,2021-04-07,恒力石化一季度预盈41亿增93% 拓展上游炼化业务一年半赚106亿,长江商报
723,2021-04-06,恒力石化(600346)：20年业绩逆势增长 行业景气度回暖21年业绩可期,光大证券
724,2021-04-06,石化行业周报：OPEC+达成减产协议 国际原油价格上涨,新浪
725,2021-04-06,【华安化工|事件点评】恒力石化：业绩预告超预期，规划产能助力公司成长,化工阿尔法
726,2021-04-06,108股今日获机构买入评级15股上涨空间超20%,证券时报网
727,2021-04-06,中泰周期·大宗指南第13期：周期品周度运行变化,新浪
728,2021-04-06,化工行业周报：化工品价格快速上涨后企稳 依然看好未来景气持续,新浪
729,2021-04-06,【方正化工】恒力石化2020年度快报、2021Q1预增点评： 炼化项目持续发力，公司业绩高速增长,靠谱化工股
730,2021-04-06,一季报窗口展开，炒什么股？12家公司业绩大增超10倍，个股已获资金抢筹,中国财富网
731,2021-04-06,中泰证券--恒力石化：民营炼化优势显着，一季度盈利大增【公司研究】,金融界股吧
732,2021-04-06,恒力石化一季度净利同比预增超90%,证券日报网
733,2021-04-06,平安证券--化工行业周报：“两化”合并，投资者更应关注长期影响【行业研究】,金融界股吧
734,2021-04-06,石油化工新材料行业北上资金周报,新浪
735,2021-04-06,【早报】科技股要爆发了吗？,云掌财经
736,2021-04-06,海通证券研究所早报,新浪
737,2021-04-06,【开源化工】恒力石化2020业绩快报&一季报预告点评：石化航母彰显稳定盈利能力，Q1公司业绩表现突出,Au化工
738,2021-04-06,大参考：二季度产能已被抢购一空 半导体硅片有望开启新一轮涨价潮,巨丰财经
739,2021-04-06,A股早报2021年4月6日星期二,Wind
740,2021-04-06,浙江美大一季净利预增370% 以上多公司一季报年报有看点,巨丰财经
741,2021-04-06,最强纺织天团恒力石化去年营收超1523亿，今年一季度又赚了41个亿,第一纺织网
742,2021-04-06,恒力石化(600346)：一季度净利润超41亿元同比增幅达9,证券时报网
743,2021-04-06,4月6日操盘必读：影响股市利好与利空消息,新浪
744,2021-04-06,【有声早报】华龙证券4月6日财经早报,华龙掘金
745,2021-04-06,化工产品持续上涨 恒力石化首季净利预增九成,证券时报
746,2021-04-05,4.5风口复盘：节日重磅要闻+本周重点题材策略,云掌财经
747,2021-04-05,恒力石化(600346.SH)业绩快报：2020年度净利升34.29%至134.62亿元,格隆汇
748,2021-04-05,公告精选丨蚂蚁集团4.5亿出手投资这家A股子公司，ST椰岛发布澄清公告,21世纪经济报道
749,2021-04-05,公告精选：蚂蚁集团4.5亿投资石基信息子公司；中钢国际一季度预盈1.15亿元~1.4亿元,e公司
750,2021-04-05,恒力石化2020年度与2021年一季度业绩双双预增,上证报
751,2021-04-05,周一上市公司晚间重要公告,金融界
752,2021-04-05,【提前看】5日公告精选：恒力石化一季度净利预增93%；浙江美大一季度净利预增370%-400%,证券时报网
753,2021-04-05,恒力石化一季度净利润超41亿元 同比增幅达93%,e公司
754,2021-04-05,晚间重要公告2021年4月5日星期一,Wind
755,2021-04-05,恒力石化：2020年净利润同比增长34.29% 业绩再创新高,中证网
756,2021-04-05,PTA · 装置检修缓和供需矛盾，短期跟随国际油价波动,中信建投期货微资讯
757,2021-04-05,晚间公告｜4月5日这些公告有看头,第一财经
758,2021-04-05,恒力石化：实现2020年度与2021年一季度业绩双增,证券时报网
759,2021-04-05,郑商所：“产业基地”成为期货市场服务实体经济重要抓手,中证网
760,2021-04-05,恒力石化逆势而上，实现年报与一季度业绩双增,金融界
761,2021-04-05,恒力石化：一季度预计净利润同比增长93.02%左右,Wind
762,2021-04-05,恒力石化(600346.SH)2020年度归母净利润同比增长34.29%至134.62亿元,智通财经
763,2021-04-05,恒力石化(600346.SH)第一季度净利预增约93.02%至41.37亿元,智通财经
764,2021-04-05,恒力石化：2020年度净利润约134.62亿元，同比增加34.29%,每日经济新闻
765,2021-04-05,恒力石化：预计2021年第一季度净利润约为41.37亿元，同比增加93.02%,每日经济新闻
766,2021-04-05,恒力石化：一季度净利预增93.02%,e公司
767,2021-04-05,恒力石化：预计一季度净利41.37亿元左右同比增加93.02%左右,格隆汇
768,2021-04-05,恒力石化：预计一季度净利润同比增长93.02%左右,Wind
769,2021-04-05,恒力石化：2020年净利润同比增长34.29%（业绩快报）,Wind
770,2021-04-05,恒力石化(600346)：民营炼化优势显着 一季度盈利大增,新浪
771,2021-04-04,资本邦IPO周报：12家企业全员过会，18家精选层公司披露分红预案,资本邦
772,2021-04-03,近十年30股成基金长期持有的“底仓” 贵州茅台等5股成绝对抱团核心,金融投资报
773,2021-04-02,OPEC+4月会议点评：OPEC+增产是对全球石油需求有着更为乐观的预期,光大证券
774,2021-04-02,大橡塑多台160L密炼机组同时交付,中国橡胶网
775,2021-04-01,辽宁区域股市周报：1家辽宁公司被调研2017.62万融资净偿还辽宁股票,每日经济新闻
776,2021-04-01,恒力石化(600346.SH)控股股东解除质押2.14亿股,智通财经
777,2021-04-01,32股受青睐，北向资金增持额超5000万元,证券时报网
778,2021-04-01,【能化早评】欧洲拥堵环比下降，油价横盘震荡,混沌天成研究
779,2021-04-01,【英大期货】盘前点评,英大期货
780,2021-03-31,生意社：成本支撑减弱 涤丝价格小幅回落,生意社
781,2021-03-31,五日龙虎榜追踪 机构抢筹这47股,证券时报
782,2021-03-31,A股一季度收官：成败皆抱团，三大股指呈A字走势，创业板指累计跌7%,时代在线
783,2021-03-31,盛航海运IPO： 用安全、高效赢得客户信赖,财经网
784,2021-03-31,万华化学(600309)：从不一样的“茅”谈起,新浪
785,2021-03-31,中免、金龙鱼、恒力、荣盛、分众、华鲁恒升等机构抱团股均跌超4%,Wind
786,2021-03-31,嘉化能源等47股近五日获机构净买入,证券时报网
787,2021-03-31,开源证券--化工行业周报：化工板块企稳迎配置良机，万华化学布局石化产业链【行业研究】,金融界股吧
788,2021-03-31,重磅！九大明星基金经理最新持仓和后市观点来了,Wind
789,2021-03-31,两大头部公募去年净利增超五成 两大咖隐形重仓股浮现,第一财经
790,2021-03-30,重磅！“千亿顶流”基金隐形重仓股名单来了,Wind
791,2021-03-30,重磅！“千亿顶流”基金隐形重仓股名单来了，更有张坤、刘格菘、冯波、冯明远等明星基金经理最新研判,中国基金报
792,2021-03-30,恒力石化：控股股东恒力集团质押7900万股,每日经济新闻
793,2021-03-30,张坤、刘格菘……顶流基金经理“隐形重仓股”曝光,Wind
794,2021-03-30,五日龙虎榜追踪 机构抢筹这49股,证券之星
795,2021-03-29,深度*行业*化工行业周报：多数化工品价格高位调整 农资维持坚挺,新浪
796,2021-03-29,化工行业周观点：业绩披露高峰期临近 关注业绩超预期机会,新浪
797,2021-03-29,兴业证券石油石化行业周报：新冠疫情扩散 苏伊士运河航线中断影响原油运输 原油价格先抑后扬,新浪
798,2021-03-29,恒力石化：控股股东恒力集团质押4101万股,每日经济新闻
799,2021-03-29,石油化工行业周报：2021年海外石化龙头公司估值对标之-沙特阿美公司,新浪
800,2021-03-29,化工行业周报：欧洲重新封城 原油价格回落,新浪
801,2021-03-29,3月29日晚间重要行业研究汇总(附股),中金在线
802,2021-03-29,石油化工新材料行业北上资金周报,新浪
803,2021-03-29,鲁西化工一季度净利润同比预增超5000%，化工股走高丨牛熊眼,第一财经
804,2021-03-29,2021年中国炼油行业衍变之供应篇,新浪
805,2021-03-29,平安证券--化工行业周报：石油公司逐渐加大对新能源的布局【行业研究】,金融界股吧
806,2021-03-29,金风科技等49股近五日获机构净买入,证券时报网
807,2021-03-29,杠杆资金大手笔加仓23股,证券时报网
808,2021-03-29,煤炭石化行业周报：板块调整临近尾声 宜积极布局,新浪
809,2021-03-28,“碳中和”背景下的行业投资机会丨一周重点研究报告,开源证券研究所
810,2021-03-28,石油天然气、化工行业：化工行情的三个核心关注之“三问三答”,新浪
811,2021-03-27,辽宁区域股市周报：1家辽宁公司被调研1.34亿融资净买入辽宁股票,每日经济新闻
812,2021-03-27,利好加持金风科技强势反弹 资金出逃两千亿白马陨落,财富动力网
813,2021-03-27,主力资金看好医疗服务板块 机构抢筹次新股贝泰妮,大众证券报
814,2021-03-27,北上资金加速抄底A股抱团白马重获青睐,证券时报
815,2021-03-26,本周6家上市公司发布可转债预案，融资总规模达246.85亿元,Wind
