,2021-12-31,东台东方建设投资发展发行7700万美元增信债券,久期财经
574,2021-04-30,上海银行一季度净利润同比增长6.04%,中国金融新闻网
575,2021-04-30,上市城商行投资能力哪家强：6家收益增速下滑超50%，北京银行逆势涨超50%,21世纪经济报道
576,2021-04-30,上海银行被罚30万：未按照规定进行信息披露 金融监管处罚,新浪
577,2021-04-30,南方基金管理股份有限公司,证券时报
578,2021-04-29,上海银行2021年一季报发布:精品银行战略引领 经营发展提速 取得良好开局,中国网
579,2021-04-29,上海银行(601229.SH)一季度净利润升6.04%至55.54亿元,格隆汇
580,2021-04-29,上海银行(601229.SH)一季度归母净利同比增6.04%至55.54亿元,智通财经
581,2021-04-29,上海银行：一季度净利润同比增长6.04%,Wind
582,2021-04-29,上海银行2021年一季报：营收利润增速扩大 资产质量保持稳健,中金在线
583,2021-04-29,快讯丨上海银行：一季度归母净利润55.54亿元，同比增长6.04%,财经网
584,2021-04-29,城商行涉房贷款扫描：上海银行对公不良增长23倍 杭州银行收央行窗口指导,21世纪经济报道
585,2021-04-28,金融服务绿色 上海银行创新连连加码不断,中国网
586,2021-04-28,杭州银行(600926)：强劲的盈利能力 亮眼的资产质量 目标估值2倍PB,新浪
587,2021-04-28,十张图了解2021年中国城市商业银行市场竞争格局 宁波银行领跑A股城商行,前瞻研究院
588,2021-04-28,上海银行(601229)：零售结构调整 Q4单季业绩高增,广发证券
589,2021-04-28,上海银行：未来三年普惠贷款规模突破1000亿,中金在线
590,2021-04-28,"送达裁判文书——上海逸合置业有限公司,上海逸合投资管理有限公司,高天国 诉讼纠纷",上海高级人民法院
591,2021-04-28,14家手机银行APP仅8家开发适老化版本 语音输入“如何转账”这些APP傻傻分不清,南都报
592,2021-04-28,95股今日获机构买入评级,证券时报网
593,2021-04-28,上海银行：投注资源实施金融纾困，普惠型小微企业信贷投放翻倍,面包财经
594,2021-04-27,上海银行VS宁波银行 谁才是城商行中的零售之王？,新浪
595,2021-04-27,上海银行2020年资产质量下降不良贷款率连续3年上升,GPLP犀牛财经
596,2021-04-27,49公司获得增持评级-更新中,中财网
597,2021-04-27,上海银行“绿色”贷款去年增长逾20%,面包财经
598,2021-04-27,上海银行2020年净利增长2.89% 不良率上升 资本充足率连续2年下滑,财富动力网
599,2021-04-26,可转债周报：珍惜当前的窗口期,新浪
600,2021-04-26,上海银行房地产不良贷款率暴增23倍 消费贷业务踩下刹车,和讯
601,2021-04-26,上海银行房地产不良贷款率暴增23倍 消费贷业务踩下刹车,新浪
602,2021-04-26,上海银行(601229)：业绩增速向上 资产质量平稳,新浪
603,2021-04-26,详解上海银行2020年报：业绩增速向上，资产质量平稳【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
604,2021-04-26,中银证券给予维持上海银行增持评级：营收表现向好，拨备释放助推业绩增速回正,每日经济新闻
605,2021-04-26,深圳银行适老化测评结果出炉！服务设施配置哪家最完备？,南都报
606,2021-04-26,上海银行扩展中间业务理财中收增长23% 养老金客户资产3473亿存量客户本地居首,长江商报
607,2021-04-25,上海银行去年归母净利209亿，计提贷款减值准备431亿，房地产业不良贷款增23倍,搜狐
608,2021-04-25,行长年报致辞| 上海银行朱健：立足新阶段，努力实现发展从量变到新的质变,和讯
609,2021-04-25,上海银行：2020年末保本理财规模已清零 净值型产品规模占比提升至74.79%,每日经济新闻
610,2021-04-25,董事长年报致辞| 上海银行金煜：坚持三大策略，在融入新格局中深化转型发展,和讯
611,2021-04-25,上海银行2020年归母净利208.85亿元 同比增2.89%,中国网
612,2021-04-24,快讯 | 上海银行:2020年归母净利润208.85亿元，同比增长2.89%,财经网
613,2021-04-23,上海银行去年净利润209亿增2.89%，不良率1.22%,澎湃新闻
614,2021-04-23,上海尚诚消金2020年实现净利润0.12亿元,上证报
615,2021-04-23,上海银行2020年度报告发布：精品银行战略引领 持续推进高质量发展,中金在线
616,2021-04-23,晚间重要公告2021年4月23日星期五,Wind
617,2021-04-23,上海银行信用卡2020年业绩：城商系首家破千万张,新浪
618,2021-04-23,上海银行：2020年净利润同比增长2.89%,Wind
619,2021-04-23,上海银行(601229.SH)年度归母净利同比增2.89%至208.85亿元 拟10股派4元,智通财经
620,2021-04-23,上海银行：2020年净利润同比增长2.89%拟10派4元,格隆汇
621,2021-04-23,上海银行(601229.SH)：2020年度净利升2.89%至208.85亿元拟10派4元,格隆汇
622,2021-04-20,快讯丨上海银行：独立董事李正强的任职资格获核准,财经网
623,2021-04-20,净利连年下降、二股东或易主 换了“新帅”的华瑞银行走向何方？ 盈利能力下降,国际金融报
624,2021-04-20,今年以来11家银行发行永续债,Wind
625,2021-04-19,净利连年下降、二股东或易主 换了“新帅”的华瑞银行走向何方？ 盈利能力下降,国际金融报
626,2021-04-19,2020年信用风险缓释工具市场研究报告,金融界
627,2021-04-19,A股融资融券日报：两融余额减少12.05亿元（4月16日）,Wind
628,2021-04-16,上海银行今日大宗交易成交60万股，成交价8.35元溢价0.6%,Wind
629,2021-04-13,从“供应链”到“共赢链”：上海银行高效服务“链”上小微企业,中国金融新闻网
630,2021-04-12,今年可转债融资即将突破千亿元,Wind
631,2021-04-09,快讯丨上海银行：同意向尚诚消费金融增资3.8亿元,财经网
632,2021-04-08,上海银行大宗交易成交2595.32万元,证券时报网
633,2021-04-07,【公告抢先看】晚间重要公告：龙净环保子公司作业时发生事故、ST禾盛一季度净利润预增239.08%-270.87%,金融界
634,2021-04-07,晚间公告丨4月7日这些公告有看头,第一财经
635,2021-04-07,上海银行：深圳银保监局同意公司筹建深汕特别合作区分行,Wind
636,2021-04-07,上海银行：深汕特别合作区分行获准筹建,e公司
637,2021-04-02,泰禾集团：涉及重大诉讼 诉讼纠纷,Wind
638,2021-04-01,工行、建行、招行 谁是基金业务的“王中王”？,新浪
639,2021-03-31,"送达裁判文书——上海逸合置业有限公司,上海逸合投资管理有限公司,高天国 诉讼纠纷",上海高级人民法院
640,2021-03-30,A股融资融券日报：两融余额增加33.36亿元（3月29日）,Wind
641,2021-03-26,海外信用评级汇总2021年3月26日星期五,Wind
642,2021-03-26,47.97亿信托违约，未及时披露收监管函！ 违约失信,用益信托网
643,2021-03-26,穆迪：维持上海银行“Baa2/P-2”存款评级，评级展望“稳定”,Wind
644,2021-03-25,泰禾集团收深交所监管函：48亿元债务违约诉讼未及时披露 违约失信,澎湃新闻
645,2021-03-25,泰禾集团：中铁建工、上海银行分别起诉项目公司 涉资超9.5亿元 诉讼纠纷,乐居财经
646,2021-03-24,泰禾集团：上海银行、中铁建工分别起诉项目公司 涉资超9.8亿 诉讼纠纷,观点地产网
647,2021-03-24,泰禾集团：全资子公司涉及重大诉讼 诉讼纠纷,Wind
648,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
649,2021-03-17,【银华基金】交易日报 2021-03-17,新浪
650,2021-03-17,上海银行与中国银联签署共建金融科技生态合作协议,中金在线
651,2021-03-16,年报聚焦|全年被罚逾2000万！上海银行资产质量面临挑战 金融监管处罚,新浪
652,2021-03-16,践行绿色金融战略 上海银行承销全国首单绿色“碳中和”资产支持票据,面包财经
653,2021-03-16,地方银行发力财富管理 已上市银行更具优势排名居前,证券日报网
654,2021-03-16,融资客青睐2股，中国一重买入占比高达37.25%,Wind
655,2021-03-16,银行员工“飞单”27位老人血本无归 苦等的赔偿方案何时到来？,新浪
656,2021-03-15,股票解禁好不好解禁对股市有哪些影响 解禁,云掌财经
657,2021-03-14,76家机构“挤破门槛”，这只银行股有点火！,Wind
658,2021-03-12,TCL科技(000100)2020年报点评：产业布局完成 面板进入业绩加速释放期,新浪
659,2021-03-12,漩涡中的经营贷，违规入楼市或将被收回，漏网之鱼将越来越少 其他违规处罚,AI财经社
660,2021-03-11,游族网络(002174.SZ)为子公司向金融机构申请授信额度提供担保 大额借贷担保,智通财经
661,2021-03-11,野村重申对中国金融业正面看法，首选寿险企业和银行,Wind
662,2021-03-11,上海银行收到上市后首张罚单 资产不良风险两连升需警惕 金融监管处罚,发现网
663,2021-03-10,上海银行现2笔大宗交易合计成交104.08万股,证券时报网
664,2021-03-10,上海银行现2笔大宗交易 共成交868.04万元,新浪
665,2021-03-07,滴滴金融下架互联网存款等多款产品 暗藏债务陷阱 产品问题,红周刊
666,2021-03-05,银行业哪家强？100家贡献整个行业95%净利,Wind
667,2021-03-04,上海银行：打好金融服务组合拳 深耕普惠助力民生,中金在线
668,2021-03-02,深圳房产抵押经营贷执行指导价，中小行紧盯大行行动,第一财经
669,2021-03-02,再度收紧！深圳房产抵押经营贷也要参照政府指导价,Wind
670,2021-03-02,深圳再度出击，这类贷款也要参照指导价！,Wind
671,2021-03-01,可转债周报：波动期的三大对策,新浪
672,2021-03-01,转股型永续债成银行“补血”利器,Wind
673,2021-02-27,北上资金加仓银行股，2月份净买入逾400亿元,Wind
674,2021-02-26,21家上市银行发布业绩报告 仅上海银行不良率上升 资产异常,新浪
675,2021-02-24,20家银行业绩快报出炉：华夏、浦发净利润同比下滑 上海银行资产质量依然“突出”丨银行观察 盈利能力下降,新浪
676,2021-02-24,天风固收：如何看待当前银行板块转债投资机会?,Wind
677,2021-02-23,深圳暂未上调房贷集中度上限,21世纪经济报道
678,2021-02-23,上海下发地方版房地产贷款集中度通知，未上浮监管指标上限,Wind
679,2021-02-22,2020银行监管重拳出击：3800张罚单涉16.3亿罚金，民生广发银行被罚超亿元 金融监管处罚,发现网
680,2021-02-21,银行行业周报：经济信用监管环境持续向好 估值修复仅行至半程,新浪
681,2021-02-20,就地过年下的银行现金进出格局：节前“没压力”节后“不差钱”,Wind
682,2021-02-19,A股融资融券日报：两融余额增加250.86亿元（2月18日）,Wind
683,2021-02-18,上海银行又遭遇信任危机！,腾讯网
684,2021-02-09,威马汽车与金融机构达成115亿元战略合作,Wind
685,2021-02-09,收益风险比优势突出，银行板块强势依旧,Wind
686,2021-02-08,送达诉状副本及开庭传票——上海银行股份有限公司上海自贸试验区分行 诉讼纠纷,上海高级人民法院
687,2021-02-08,国内财经媒体头版2021年2月8日星期一,Wind
688,2021-02-08,大金融板块上演“冰火两重天”,Wind
689,2021-02-07,上海银行(601229.SH)：200亿元可转债将于2月10日起在上交所挂牌交易,格隆汇
690,2021-02-06,深交所主板中小板合并：优化资金入市环境，支持中小企业做优做强,Wind
691,2021-02-05,14家地方上市银行实现净利正增长 青岛两家银行不良率下降,财联社
692,2021-02-05,“牛熊市”继续，低估值银行地产成新风口？,Wind
693,2021-02-04,养老金提前发放有保障 上海银行推多项暖心服务,面包财经
694,2021-02-02,支持小微，上海银行有独门“打法”,中金在线
695,2021-02-01,抱团股爆发，沪指重上3500！创业板次新股最猛飙100%,中国基金报
696,2021-02-01,上市银行2020年业绩预告 利润增速拐点向上,金融界
697,2021-02-01,上市银行业绩预告：厦门银行净利增速领跑 上海银行不良率独升,网易
698,2021-01-28,上海银行(601229.SH)拟给予融信通达、上银香港及上银国际授信额度,格隆汇
699,2021-01-28,12家上市银行业绩“回正”传递什么信号,金融投资网
700,2021-01-28,美股全线暴跌私募:A股这些股极限低估 连续下跌,中财网
701,2021-01-27,首批12家上市银行业绩快报出炉 净利均正增长,腾讯网
702,2021-01-27,银行“补血”进行时，今年首只银行转债出炉,第一财经
703,2021-01-27,上海“银行房贷停贷”？到底是怎么回事,Wind
704,2021-01-27,董宝珍：基本面反转+极限低估 现在的银行股就是曾经的白酒股,新浪
705,2021-01-27,快讯｜上海银行：选举林利群、张磊为职工监事,财经网
706,2021-01-27,银行晨报（1月27日）,财联社
707,2021-01-26,上海银行(601229.SH)可转债网上中签结果出炉：中签号共751.5403万个,格隆汇
708,2021-01-26,上市银行“成绩单”超预期 资产质量迎来拐点,证券时报网
709,2021-01-26,上银转债(113042)：上海银行601229可转债中签结果公布,搜狐
710,2021-01-26,上海银行可转债网上网下中签率为0.11%,上证报
711,2021-01-26,上海银行可转债申购踊跃,中金在线
712,2021-01-26,上海银行董事长金煜：对个人房贷“没有什么特别大的变化”,第一财经
713,2021-01-26,超预期！首批12家银行业绩快报出炉，银行股春天来了？,金融界
714,2021-01-26,双渠道申购保发行 今年首只银行转债来了,中证网
715,2021-01-26,明星基金经理大举调仓，谢治宇加仓银行板块,Wind
716,2021-01-26,上市银行“成绩单”超预期，资产质量迎来拐点,Wind
717,2021-01-26,上市银行“成绩单”超预期资产质量迎来拐点,证券时报
718,2021-01-25,上海银行(601229.SH)：“上银转债”网上中签率约为0.1091%,智通财经
719,2021-01-25,10家上市银行快报出炉，净利润均实现正增长,中国银行保险报
720,2021-01-25,63家公司业绩快报抢先看,证券之星
721,2021-01-25,东北证券【新股】1月25日南极光、上银转债申购，聚石化学上市,东北证券金融世界
722,2021-01-25,63份年度业绩快报亮相，超八成实现净利润同比增长,Wind
723,2021-01-24,银行业绩快报抢先看：净利润齐增长、不良率下滑，中小银行负债承压,第一财经
724,2021-01-24,净利正增长、资产质量持续改善 10家上市银行业绩快报接连报喜,北京商报
725,2021-01-23,A股开年上涨超百点，过半中小银行股价逆势下跌,华夏时报
726,2021-01-23,开年中小银行涨幅排行榜出炉，厦门银行跌幅最大,华夏时报
727,2021-01-23,8家上市银行业绩快报实现净利正增长 传递什么信号,经济观察网
728,2021-01-23,8家上市银行净利增速转正，传递什么信号？,Wind
729,2021-01-22,净利增长、资产质量改善 首批8家上市银行2020年度业绩接连报喜,新浪
730,2021-01-22,上银转债新券点评：强债底城商行品种 网下渠道如期而至,广发证券
731,2021-01-22,可转债新券投资价值分析-上银转债：值得期待的精品银行,新浪
732,2021-01-22,可转债发行报告-上银转债发行报告：扎根上海的城商行标的,新浪
733,2021-01-22,“抱团股”松动为哪般,中国金融新闻网
734,2021-01-22,上银转债(113042)投资价值分析,新浪
735,2021-01-22,债券日报：扎根上海 全年业绩增速转正,新浪
736,2021-01-22,兴证固收：上银转债打新决策依赖行情的持续性,Wind
737,2021-01-22,上海银行发行200亿可转债：攻守兼备，优质资产受追捧,面包财经
738,2021-01-21,扎根上海，全年业绩增速转正——上银转债申购价值分析20210121【华创固收丨周冠南团队】,华创债券论坛
739,2021-01-21,资本承压、不良上升 上海银行拟发行200亿可转债补血,新浪
740,2021-01-21,上海银行转债投资价值分析,新浪
741,2021-01-21,LPR连续9个月原地踏步，流动性将迎周期性拐点？,第一财经
742,2021-01-21,22天赚10亿！“巴菲特接班人”再度抢筹银行股,券商中国
743,2021-01-20,上海银行将发行200亿元可转债,上证报
744,2021-01-20,上海银行：发行200亿元A股可转换公司债券,Wind
745,2021-01-20,上海银行(601229.SH)拟公开发行200亿元可转换公司债券,智通财经
746,2021-01-20,2021，银行拒做“不良人”,金融界
747,2021-01-20,近期银行股上涨的逻辑与展望：守得云开见月明,光大证券
748,2021-01-19,上市银行首批业绩快报超预期，A股“三傻”开年成“双雄”,Wind
749,2021-01-19,上市银行首批业绩快报超预期，A股“三傻”开年成“双雄”,第一财经
750,2021-01-19,业绩与股价齐飞！机构大手笔抢筹年报预增股,上证报
751,2021-01-18,四家上市银行公布业绩三家利润增速回正 不良率“三降一升”资产质量保持稳定,长江商报
752,2021-01-18,多家不良率下降 上市银行首批2020年业绩报喜,北京商报
753,2021-01-18,资金推动下暂难瓦解，“抱团股”警惕业绩估值双杀,Wind
754,2021-01-17,银行业同业存单周报：银行间存单信用利差持续收窄,新浪
755,2021-01-16,股价迭创新高，招行市值赶超建行,Wind
756,2021-01-16,上海普陀区33个项目集中开工！28个招商引资项目集中签约！,陆家嘴金融网
757,2021-01-15,超预期！三家银行发布快报，去年营收、净利润均呈正增长 业内看好来年银行板块走势,每日经济新闻
758,2021-01-15,招行等三家银行发布快报：去年营收、净利润均呈正增长,每日经济新闻
759,2021-01-15,银行股一天涨1800亿，抱团股波动加剧，撤退还是进攻？,券商中国
760,2021-01-15,A股“酒醒”银行翻身，资金寻找高性价比品种,Wind
761,2021-01-15,招商等3家银行2020年营收利润正增长专家：远超市场悲观预期,搜狐
762,2021-01-15,招商银行(600036)业绩快报点评：业绩大超预期 目标估值2.5X PB,新浪
763,2021-01-15,点评近期上市银行业绩快报：银行股再迎喜报 招行兴业利润增速转正,新浪
764,2021-01-15,免费研报精选：银行股投资的核心逻辑！机构建议精选确定性高的行业龙头,中金在线
765,2021-01-15,三大银行业绩全线超预期 银行股还能上车吗,第一财经
766,2021-01-15,银行股大涨：多家银行去年业绩超预期，盈利边际改善得到确认,澎湃新闻
767,2021-01-15,A股银行板块集体爆发！还能涨多久？中金有研判,Wind
768,2021-01-15,"重磅信号！三大银行业绩全线超预期，银行股""春天""要来？丨牛熊眼",第一财经
769,2021-01-15,“巴菲特接班人”10亿股买入一大行！银行股春天要来？,券商中国
770,2021-01-15,港股盘前必读：快手通过港交所聆讯计划于2月5日在港上市,Wind
771,2021-01-15,三大银行四季度业绩全线超预期，银行风口要来？,券商中国
772,2021-01-14,上海银行2020年业绩快报：不良贷款率同比上升至1.22%,资本邦
773,2021-01-13,上海银行(601229)：首份上市行业绩快报 净利润增速转正释放积极信号,新浪
774,2021-01-12,10家公司业绩快报抢先看,证券时报网
775,2021-01-11,银行业：2020年第一份业绩快报已至 单季净利润增速环比大幅提高,新浪
776,2021-01-11,上海银行等70股获机构买入型评级,证券时报网
777,2021-01-11,上海银行(601229)：营收净利润大幅回升 不良率环比持平,新浪
778,2021-01-11,银行行业周报：首份银行业绩快报出炉 央行放开信用卡利率限制,新浪
779,2021-01-11,涨停板复盘：三大指数大幅下挫 汽车板块领涨 连续下跌,新浪
780,2021-01-11,银行股将迎来爆发？首份上市银行业绩快报成强催化剂,环球老虎财经
781,2021-01-11,收评：三大指数下探回升创指跌1.8% 养殖板块领跌,新浪
782,2021-01-11,首份上市银行业绩快报成强催化剂，相关板块有望迎春季行情丨牛熊眼,第一财经
783,2021-01-11,上海银行(601229)：业绩增速转正 有效扭转行业情绪,新浪
784,2021-01-11,解盘：人气略有回升，半导体设备、稀土、摄像头、汽车领涨,Wind
785,2021-01-11,午评：三大指数冲高回落创指跌1.0% 半导体板块活跃,新浪
786,2021-01-11,上海银行大涨至逾一个月新高，业绩快报显示2020全年净利润增速转正,零壹财经
787,2021-01-11,银行板块发力拉升，招商银行再创新高，板块有望迎来新一轮行情,证券时报网
788,2021-01-11,快讯：银行股普涨 上海银行领涨,新浪
789,2021-01-11,银行股盘初走强，兴业银行、宁波银行、上海银行涨幅居前,Wind
790,2021-01-11,中信固收：利率市场化再进一步,Wind
791,2021-01-11,业绩快报超预期 银行股出现小幅反弹,北京商报
792,2021-01-10,【兴证金融 傅慧芳】银行业周报（210104-210110）：首份业绩快报大超预期，政策引导银行提质增效,兴证金融
793,2021-01-10,【银行梁凤洁/邱冠华】春江水暖：第一份快报的启示,大话金融
794,2021-01-10,上海银行(601229)公司点评报告：Q4业绩表现靓丽拉正全年业绩增速 不良企稳,新浪
795,2021-01-10,上海银行(601229)20年业绩快报：业绩恢复正增 不良净生成环比下行,新浪
796,2021-01-10,上海银行2020年度归母净利208.85亿元同比增长2.89%,证券日报网
797,2021-01-09,银行行业2021年度策略：银行反转 哪些估值底部的复苏型个股值得重视？,新浪
798,2021-01-08,上海银行2020年度业绩快报：净利润208.85亿元同比增长2.89%,上证报
799,2021-01-08,上海银行业绩快报：2021年度归母净利润208.85亿元 同比增2.89%,e公司
800,2021-01-08,晚间重要公告2021年1月8日星期五,Wind
801,2021-01-08,浙江银保监局：对上海银行杭州萧山支行作出行政处罚，罚款40万元 金融监管处罚,Wind
802,2021-01-08,上海银行业绩快报：2020年净利润同比增长2.89%,Wind
803,2021-01-08,上海银行发布2020年度业绩快报：营收盈利双双增长，资产质量保持优秀,金融投资报
804,2021-01-08,上海银行：2020年净利润同比增长2.89%（业绩快报）,Wind
805,2021-01-08,上海银行(601229.SH)年度归母净利润同比增长2.89%至208.85亿元,智通财经
806,2021-01-08,上海银行(601229.SH)发布业绩快报 2020年度净利升2.89%至208.85亿元,格隆汇
807,2021-01-08,上海银行落地首笔供应链票据贴现业务,中金在线
808,2021-01-07,上海首批“惠贴”业务落地 惠及小微企业,中国金融新闻网
809,2021-01-06,上海银行天津分行：创供应链之新，筑普惠金融之路,搜狐
810,2021-01-04,【中信建投银行杨荣】上海银行简评：《营收净利润大幅回升，不良率环比持平》,eResearch杨荣团队
811,2021-01-04,A股融资融券日报：两融余额增加25.69亿元（ 1月1日）,Wind
812,2021-01-04,新规发威，元旦后银行房贷额度不松反紧,Wind
813,2021-01-03,2021年房贷额度不比2020年宽松,券商中国
814,2020-12-30,深耕养老金融 上海银行智慧服务打破金融数字“隔阂”,经济观察报
815,2020-12-30,前三季度业绩下滑不良攀升 上海银行频收罚单内控遭遇挑战 盈利能力下降,投资时报
816,2020-12-30,A股融资融券日报：两融余额减少62.47亿元（12月29日）,Wind
817,2020-12-29,上海银行荣获2020年不动产证券化“前沿奖”两项荣誉,金融投资报
818,2020-12-29,A股融资融券日报：两融余额增加39.08亿元（12月28日）,Wind
819,2020-12-28,绍兴银保监局：对上海银行绍兴分行作出行政处罚，罚款65万元 金融监管处罚,Wind
820,2020-12-28,贷款管理不审慎形成不良 上海银行绍兴分行收罚单 金融监管处罚,中新经纬
821,2020-12-28,上海银行探索金融支持教育事业发展新路径,中国金融新闻网
822,2020-12-28,上海银行——创新普惠服务丨第一声音,第一财经
823,2020-12-28,让科技为金融赋能，上海银行致力打造普惠金融生态圈,第一财经
824,2020-12-28,上海银行：坚守金融初心，服务实体25载,证券时报网
825,2020-12-28,上海银行：深耕养老金融，打造智慧服务,金融投资报
826,2020-12-28,【银行*马祥云】禁止互联网销售，银行理财发展五大关注点,东吴研究所
827,2020-12-27,年内银行股东斥资87亿元增持，刘永好增持民生银行50次，银行股后市观点现分歧,21世纪经济报道
828,2020-12-22,上海银行今日大宗交易成交1475.41万股，成交价7.06元折价8.9%,Wind
829,2020-12-21,上海银行积极拥抱财富管理新时代，倾力打造智慧助老服务体系,第一财经
830,2020-12-21,上海银行——新时代下的财富管理丨第一声音,第一财经
831,2020-12-19,又有三家平台全部下架互联网存款产品，大量银行已悄悄撤退,21世纪经济报道
832,2020-12-18,支付宝下架存款业务，发生了什么？蚂蚁做出回应,中国基金报
833,2020-12-15,海通证券与上海银行签署全面业务合作协议,e公司
834,2020-12-14,上海银行现1笔大宗交易 共成交260.40万元,新浪
835,2020-12-11,“惠易罗湖”系列第二十二场罗湖区建安企业金融对接会圆满举行,搜狐
836,2020-12-11,“上行普惠”入选上海市金融科技创新监管试点首批应用,经济日报
837,2020-12-10,金融行业进入技术为王时代 金融巨头抢占数字化财富管理,华夏时报
838,2020-12-09,上海农商行上市记（三）：个人房贷业务多次被罚占比下降，消费贷3年增6倍 金融监管处罚,凤凰网
839,2020-12-08,神州高铁：为三家子公司提供3.6亿元融资担保 大额借贷担保,Wind
840,2020-12-07,中泰金工可转债发行跟踪周报,新浪
841,2020-12-07,可转债周报：转债小幅上涨,华安证券
842,2020-12-07,“顺周期成长龙头50强”出炉 15股净利预计高增长,证券时报
843,2020-12-05,陈光明新品又来，公司总规模已达1000亿！,中国基金报
844,2020-12-05,上海国际数据港产业合作共同体正式成立,Wind
845,2020-12-04,"上海银行现1笔大宗交易 共成交9,050.00万元",新浪
846,2020-12-03,通州区政府与上海银行签约 上海银行将加快在北京城市副中心的网点筹建,证券时报网
847,2020-12-01,上海农商行上市记（一）:A股过会背后，合并第一大股东上海国际集团持股下降，副总任银行行长,凤凰网
848,2020-12-01,点燃市场热情，定增融资实现0突破，银行股发力行情来了,Wind
849,2020-12-01,上海银行成收罚单“大户”，新规之下“王牌”消费贷业务面临调整,网易
850,2020-12-01,上市公司正负面新闻2020年12月1日星期二,Wind
851,2020-12-01,11月多家银行累计领罚逾两千万，房地产金融仍是监管重点,中证报
852,2020-11-30,晚间要闻2020年11月30日星期一,Wind
853,2020-11-30,晚间重要公告2020年11月30日星期一,Wind
854,2020-11-30,上海银行：200亿元可转债计划获批,Wind
855,2020-11-30,上海银行公开发行可转债申请获核准批复,上证报
856,2020-11-30,上海银行(601229.SH)：200亿元可转债计划获批,格隆汇
857,2020-11-30,金融监管罚单周报：农行仙桃分行因挪用防疫专项贷款被罚，工行民生遭监管点名 资金问题,搜狐
858,2020-11-30,上海银行5张罚单合计被罚180万，一人被终身禁业 金融监管处罚,21世纪经济报道
859,2020-11-27,银行业：同业存单周报,新浪
860,2020-11-27,解决老年人智能技术运用困难 上海银行在行动,中国金融新闻网
861,2020-11-27,上海银行严重违反审慎经营规则、延期支付绩效薪酬被罚款80万元 违约失信,GPLP犀牛财经
862,2020-11-26,因员工私售理财产品等 上海银行及分支机构被罚180万元 金融监管处罚,中华网
863,2020-11-26,上海银行及其分支行被罚180万元：严重违反审慎经营规则 金融监管处罚,中投网
864,2020-11-26,上海银保监局：连发8张罚单，上海银行得5张 金融监管处罚,资本邦
865,2020-11-26,上海银行连收5张罚单：员工私售理财产品、违反审慎经营规则 金融监管处罚,券商中国
866,2020-11-26,两万亿大行连收5张罚单！员工私售理财产品、违反审慎经营规则…一人被终身禁业 其他违规处罚,券商中国
867,2020-11-26,上海银保监局：对上海银行上海自贸试验区分行作出行政处罚，罚款50万元 金融监管处罚,Wind
868,2020-11-26,上海银保监局：对上海银行浦三路支行作出行政处罚，罚款50万元 金融监管处罚,Wind
869,2020-11-26,上海银保监局：对上海银行作出行政处罚，罚款80万元 金融监管处罚,Wind
870,2020-11-25,违反审慎经营规则、支行员工私售理财产品 上海银行总行及两家分支行被罚180万元 金融监管处罚,北京商报
871,2020-11-25,上海银行总行及两家分支被罚180万：支行员工私售理财产品 金融监管处罚,新浪
872,2020-11-25,A股融资融券日报：两融余额增加33.66亿元（11月24日）,Wind
873,2020-11-23,上海银行今日大宗交易成交30万股，成交价8.69元溢价8.9%,Wind
874,2020-11-23,上海银行现1笔大宗交易 共成交260.70万元,新浪
875,2020-11-23,“上行普惠”入选上海市金融科技创新监管试点首批应用,每日经济新闻
876,2020-11-21,关于核准上海银行股份有限公司公开发行可转换公司债券的批复,证监会
877,2020-11-19,银行板块持续活跃 次新股厦门银行三个交易日涨幅近20％,腾讯网
878,2020-11-18,中小银行补充资本压力不减，上市银行配股时隔7年“重现江湖”,Wind
879,2020-11-17,紫光集团13亿私募债终究违约，公司评级惨遭断崖式下调 未按时兑付本息,第一财经
880,2020-11-17,A股融资融券日报：两融余额增加73.19亿元（11月16日）,Wind
881,2020-11-17,紫光集团13亿私募债违约，一年内到期债券规模超60亿 未按时兑付本息,Wind
882,2020-11-16,固定收益研究：转债小幅调整 成交回归正常,华安证券
883,2020-11-16,A股融资融券日报：两融余额减少8.08亿元（11月13日）,Wind
884,2020-11-14,中国可转债策略周报：置身事外的转债市场,新浪
885,2020-11-13,下周1610亿市值限售股解禁，环比增加395.2% 解禁,Wind
886,2020-11-12,中国债券市场日报,新浪
887,2020-11-10,上海银行：可转债发行申请获证监会审核通过,证券时报网
888,2020-11-10,38家银行三季度盈利排行榜：工行第一，厦门银行增速夺冠,新浪
889,2020-11-10,上海银行：1.077亿股限售股将于11月16日上市流通 解禁,Wind
890,2020-11-10,上海银行(601229.SH)：1.08亿股限售股将于11月16日起上市流通 解禁,格隆汇
891,2020-11-10,上海银行(601229.SH)公开发行A股可转债申请获中国证监会发行审核委员会审核通过,格隆汇
892,2020-11-10,上海银行：公司董事会、监事会延期换届,Wind
893,2020-11-10,上海银行升级跨境金融服务 护航企业跨境贸易,中国金融新闻网
894,2020-11-10,A股融资融券日报：两融余额增加135.55亿元（11月9日）,Wind
895,2020-11-09,升级跨境贸易融通服务 上海银行打造进博会专项金融产品,证券时报
896,2020-11-09,14家城商行前三季度业绩：5家利润超100亿 郑州银行不良贷款率最高为2.1%,挖贝网
897,2020-11-09,一批跨境金融网红产品亮相，上海银行服务进博会出实招,中金在线
