,2021-12-31,华联股份：公司暂无重组计划,Wind
459,2021-09-13,周期股大涨，中国铝业涨停却被北向资金卖出逾6亿元（名单）,21世纪经济报道
460,2021-09-13,A股港股铝业股飙升，中国铝业美股盘前涨超11%，机构：铝价有望持续高位,第一财经
461,2021-09-13,涨停板解密：化工、有色个股现涨停潮！（9月13日）,Wind
462,2021-09-13,北向资金净卖出额创近一个月新高，白酒、有色股遭抛售,Wind
463,2021-09-13,盘前异动：中国铝业涨近12%，此前伦敦铝期货触及3000美元,证券之星
464,2021-09-13,花旗：重申看好原材料价格的预期，首选海螺水泥等,Wind
465,2021-09-13,中国铝业(ACH.US)盘前涨超10% 铝价升至13年来高点,证券之星
466,2021-09-13,智通每日大行研报丨中国铝业(02600)获花旗列为首选股 瑞信升东岳集团(00189)目标价至31港元,智通财经
467,2021-09-13,美股异动 | 铝板块盘前走高，中国铝业(ACH.US)涨超10%,智通财经
468,2021-09-13,中国铝业(ACH.US)盘前涨超10% LME铝触及3000美元关口创2008年以来新高,格隆汇
469,2021-09-13,中国铝业盘前涨11.64%，此前LME铝价格触及3000美元,新浪
470,2021-09-13,中国铝业美股盘前涨超11%，LME铝价创2008年7月来最高水平,Wind
471,2021-09-13,花旗：更新原材料股评级及目标价(表) 首选中国铝业(02600)、鞍钢股份(00347)等,智通财经
472,2021-09-13,伦铝触及3000美元/吨，中国铝业大单净流入5.22亿元,阿尔法工场
473,2021-09-13,A股收盘综述：抛开指数做个股，“煤飞色舞”继续霸屏、磷化工股批量封板,Wind
474,2021-09-13,有色铝板块大涨，中国铝业等3股涨停,金融界
475,2021-09-13,涨停雷达：有色冶炼个股异动 中国铝业触及涨停,ZAKER
476,2021-09-13,港股异动︱港股铝板块集体上涨 伦铝价格一度涨超3000美元/吨 中国铝业(02600)涨超10%领涨板块,智通财经
477,2021-09-13,满屏尽是“煤飞色舞”，但机构观点却出现分歧,Wind
478,2021-09-13,快讯：中国铝业涨停 报于10.23元,金融界
479,2021-09-13,解盘：资源股强势，磷化工、游戏、煤炭、工业金属领涨,Wind
480,2021-09-13,A股午盘综述：3700一线盘整如期而至，磷化工、煤炭、网游、海运、铝金属飙升,Wind
481,2021-09-13,有色金属行业周报：铝价创新高 锂价维持强势上行,华安证券
482,2021-09-13,港股有色金属板块走高，中广核矿业涨16%中国铝业9%，俄铝涨5%！中信证券：铜铝强于市场预期,和讯
483,2021-09-13,港股异动 | 中国铝业(02600)涨超9%领涨有色金属股 中信预计铜铝价格持续性将超预期,智通财经
484,2021-09-13,【异动股】中国铝业(02600.HK)涨8.25%,财华社
485,2021-09-13,沪指低开0.1%，有色板块开盘走强，中国铝业涨5.5%，旅游、航空板块低开靠前,和讯
486,2021-09-13,【行情】有色板块开盘走强，铜陵有色拉升涨超9%，云铝股份、广晟有色、云南铜业、中国铝业、华峰铝业、新疆众和等涨幅居前,金十数据
487,2021-09-13,融资客青睐10股，纳思达买入占比高达35.02%,Wind
488,2021-09-13,A股融资融券日报：两融余额增加34.89亿元（9月10日）,Wind
489,2021-09-13,中信证券：供需双弱格局打破，铜铝价格持续性料超预期,Wind
490,2021-09-12,事关A股有色板块！重磅铝业会议发出警告,Wind
491,2021-09-10,南向资金今日净买入6.55亿港元，腾讯控股净买入近18亿港元,Wind
492,2021-09-10,北向资金连续三周加仓累计净买入600亿，中远海控获大幅净买入近10亿元,Wind
493,2021-09-10,解盘：人气高涨沪指上破3700点，特高压、芯片、锂矿、稀土领涨,Wind
494,2021-09-10,【异动股】中国铝业(02600.HK)涨3.27%,财华社
495,2021-09-10,【行情】港股有色板块持续走高，洛阳钼业涨近7%，紫金矿业、中国宏桥涨超5%，中国铝业、江西铜业股份涨近3%,金十数据
496,2021-09-10,南向资金净买入6.73亿港元，中国铝业获净买入1.72亿港元,资本邦
497,2021-09-10,"每日理财观察：8月CPI重回“零时代”,与PPI剪刀差扩大",Wind
498,2021-09-10,北向资金动向盘点：逢涨净卖周期股,Wind
499,2021-09-10,港股盘前必读：游戏巨头腾讯布局“元宇宙”注册多个关联商标,Wind
500,2021-09-10,热门中概股涨跌不一，爱点击涨11.51%,Wind
501,2021-09-10,美国三大股指普遍收跌，道指和标普500指数连跌四日,Wind
502,2021-09-10,铝板块走高，中国铝业涨9.51%，美国铝业涨3.86%,新浪
503,2021-09-09,【异动】中国铝业涨近9%，铝价上升或将提振业绩,老虎证券
504,2021-09-09,中国铝业(ACH.US)涨超7%,格隆汇
505,2021-09-09,美股异动 | 中国铝业(ACH.US)盘初涨超6%，铝价上升或将提振业绩,智通财经
506,2021-09-09,南向资金今日净买入6.72亿港元，腾讯控股净买入超22亿港元,Wind
507,2021-09-09,北向资金今日净买入超26亿元，连续11日扫货宁德时代累计加仓超70亿,Wind
508,2021-09-09,中国铝业盘前涨9.1%，今日其港股收涨5.1%,新浪
509,2021-09-09,恒指单边走弱收跌2.3%，网游股重挫,Wind
510,2021-09-09,UBS Group AG减持中国铝业(02600)约3481.79万股，每股作价约5.39港元 减持股份,智通财经
511,2021-09-09,港股铝业股逆市再度爆发，中国宏桥大涨超17%,Wind
512,2021-09-09,港股异动︱中国铝业(02600)涨超5% 麦格理维持其“跑赢大市”评级并升目标价41%至13.4港元,智通财经
513,2021-09-09,【行情】港股钢铁、有色金属板块午后走强，重庆钢铁股份涨7.1%，俄铝涨5.5%，鞍钢股份涨5%，中国铝业涨4.1%,金十数据
514,2021-09-09,【异动股】中国铝业(02600.HK)涨3.12%,金融界
515,2021-09-09,麦格理：维持中国铝业(02600)“跑赢大市”评级 目标价上调41%至13.4港元,智通财经
516,2021-09-09,中国铝业遭瑞银减持3481.79万股 减持股份,格隆汇
517,2021-09-09,欧美股市普跌，中概游戏股网易跌超5%,Wind
518,2021-09-08,【权益变动】中国铝业(02600.HK)被瑞银减持3481.7906万股 减持股份,财华社
519,2021-09-08,【行情】有色铝板块持续拉升，云铝股份、华峰铝业、神火股份、宁波富邦涨停，常铝股份、中国铝业、闽发铝业等涨超8%,金十数据
520,2021-09-08,【异动股】中国铝业(02600.HK)涨3.08%,财华社
521,2021-09-08,【行情】稀土永磁板块拉升，久吾高科涨超12%，东方锆业、中国铝业、包钢股份、中钢天源等跟涨,金十数据
522,2021-09-07,美股异动 | 供应担忧推动铝价上涨，中国铝业(ACH.US)涨超8%,智通财经
523,2021-09-07,北向资金追平年内最长净买入纪录累计加仓超550亿，美的集团净买入超11亿元,Wind
524,2021-09-07,有色金属行业周报：8月PMI不及预期 关注电解铝和黄金,新浪
525,2021-09-07,瑞信：料下半年氧化铝价格升15%至20%，维持对中国铝业评级跑赢大市,Wind
526,2021-09-07,瑞信：维持中国铝业跑赢大市评级 目标价7.4港元,新浪
527,2021-09-07,有色金属铝行业：协会召开保供稳价会 广西实施能耗双控,新浪
528,2021-09-07,港股异动︱中国铝业(02600)涨超4% 铝价进一步上涨 伦敦金属交易所的铝价一度上涨1.8%至每吨2775.50美元,智通财经
529,2021-09-07,【异动股】中国铝业(02600.HK)涨3.02%,财华社
530,2021-09-07,每日理财观察：证监会研究推出进一步扩大开放举措,Wind
531,2021-09-07,港股盘前必读：小鹏汽车宣布将于9月7日推出“智能新物种”,Wind
532,2021-09-07,脑洞大开！网友想出“世博园总部概念股”，央企旗下上市公司股价走强,Wind
533,2021-09-07,中国铝业受益铝价上涨半年净利增85倍 股价年内倍涨创近6年新高,长江商报
534,2021-09-06,海外信用评级汇总2021年9月6日星期一,Wind
535,2021-09-06,恒指低开高走收涨1.01%，铝业股爆发,Wind
536,2021-09-06,快讯：有色金属板块拉升 俄铝大涨近13%中国铝业涨近6%,新浪
537,2021-09-06,港股有色板块走高，俄铝涨超12%,Wind
538,2021-09-06,解盘：白马拉升指数，CRO、医疗、宁组合、白酒领涨,Wind
539,2021-09-06,标普：将中国铝业评级展望调整至正面,新浪
540,2021-09-06,标普：将中国铝业的前景展望调整为乐观,Wind
541,2021-09-06,标普：将中国铝业的前景展望调整为乐观,金十数据
542,2021-09-06,【异动股】中国铝业(02600.HK)涨6.64%,财华社
543,2021-09-06,港股异动 | 中国铝业(02600)涨超8%领涨铝业股 几内亚局势动荡 沪铝早盘飙涨超3%,智通财经
544,2021-09-06,中国铝业首板,Wind
545,2021-09-06,港股有色板块涨幅扩大，中国铝业涨幅扩大至10%,Wind
546,2021-09-06,快讯：有色金属板块集体走高 中国铝业涨超7%俄铝涨超5%,新浪
547,2021-09-06,恒生指数转涨，有色股拉升,Wind
548,2021-09-06,【行情】港股有色金属板块普涨，俄铝涨6.7%，中国白银集团涨5.1%，中国铝业涨3.5%，紫金矿业涨2.4%，江西铜业股份涨1%,金十数据
549,2021-09-03,北向资金连续10日扫货累计加仓近460亿，药明康德、隆基股份净买入均超8亿元,Wind
550,2021-09-02,【异动股】中国铝业(02600.HK)涨3.19%,财华社
551,2021-09-02,欧美股市多数收涨，纳指涨0.33%刷新历史新高,Wind
552,2021-09-01,【权益变动】中国铝业(02600.HK)获瑞银增持775.5万股,财华社
553,2021-09-01,北向资金净买入额创一个月新高连续8日加仓，伊利股份、贵州茅台净买入均超6亿元,Wind
554,2021-09-01,有色金属行业更新：国储抛售不及预期、颁布阶梯电价 或加速铝价上涨,新浪
555,2021-09-01,港股异动 | 中国铝业(02600)盘中跌超6% 有色协会提出防范铝价恶意炒作和非理性大幅上涨,智通财经
556,2021-09-01,港股有色、原材料板块跌幅扩大，东岳集团跌近8%,Wind
557,2021-09-01,【异动股】中国铝业(02600.HK)跌3.9%,财华社
558,2021-09-01,周期股持续反攻，券商密集调整盈利预测，持续性有多久？,第一财经
559,2021-09-01,铝价高位现分歧，中国铝业获沪股通增持1193万股,阿尔法工场
560,2021-08-31,中国铝业上半年净利润为30.75亿 同比增长8511%,奥一网
561,2021-08-31,【异动股】中国铝业(02600.HK)跌3.47%,财华社
562,2021-08-31,国资委公开两央企环保整改方案和清单，涉多地产业布局调整,Wind
563,2021-08-31,中国铝业香港 4.875% B20210907：最后交易日期为9月2日,Wind
564,2021-08-31,发改委政策超预期，铝价易涨难跌,金融界
565,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
566,2021-08-30,北向资金连续6日净买入累计加仓近200亿，继续大手笔加码新能源股,Wind
567,2021-08-30,巨量滞涨新能源独舞，1.5万亿后市场怎么走？,Wind
568,2021-08-30,中国铝业上半年净利增长8511%，环保趋严致供给增速放缓,阿尔法工场
569,2021-08-30,恒指震荡收涨0.52%：周期板块造好，金融地产走弱,Wind
570,2021-08-30,港股异动 | 中国铝业(02600)再涨超8% 中信预计铝价的高位持续性将强于市场预期且有望持续走高,智通财经
571,2021-08-30,港股稀土概念股持续走高 中国铝业涨7.5%金风科技涨6%,新浪
572,2021-08-30,财联社8月30日电，港股稀土概念股持续走高，中国铝业涨近8%，金风科技涨逾6%，江西铜业股份涨逾5%，中国稀土涨逾3%。,财联社
573,2021-08-30,【异动股】中国铝业(02600.HK)涨5.58%,财华社
574,2021-08-30,港股异动 | 铝业股继续走强，中国铝业涨超5%,格隆汇
575,2021-08-30,港股有色板块逆市走强，五矿资源涨近6%,Wind
576,2021-08-30,中信证券：预计铝价的高位持续性将强于市场预期且有望持续走高,Wind
577,2021-08-29,有色金属行业周报：锂矿短期涨价叠加长期战略属性继续推荐 铝行业逐步走出结构行情建议持有,新浪
578,2021-08-27,北向资金本周稳步进场加仓A股近180亿，隆基股份大幅净买入超11亿元,Wind
579,2021-08-27,BlackRock Inc.减持中国铝业股份约1845.02万股 减持股份,每日经济新闻
580,2021-08-27,资金决定市场方向：北上加码买入，两融迭创新高,Wind
581,2021-08-27,美银证券：予中国铝业(02600)“买入”评级 目标价升13.3%至6.8港元,智通财经
582,2021-08-27,超1.7万亿，创6年新高！“融资客”抢筹这些标的,Wind
583,2021-08-27,中国铝业等39股获北向资金增持额超亿元,证券时报网
584,2021-08-27,A股融资融券日报：两融余额增加5.84亿元（8月26日）,Wind
585,2021-08-27,北向资金动向盘点：2.5万亿市值是个坎,Wind
586,2021-08-27,北上资金连续加仓，超700家上市公司回购，A股价值正在显现！,Wind
587,2021-08-27,权重股下行拖累大盘，机构称勿对市场波动过度解读,Wind
588,2021-08-27,融资余额时隔6年再超1.7万亿元，杠杆资金抢筹券商股资源股,Wind
589,2021-08-26,中国铝业(601600)：铝业龙头 业绩大增,新浪
590,2021-08-26,北水甩卖体育用品股，净卖出安踏、李宁；南水连续4日净流入，增持中国铝业超11亿元,富途证券
591,2021-08-26,智通每日大行研报丨中国铝业(02600)绩后获机构齐升目标价 瑞信大幅上调马钢(00323)目标价,智通财经
592,2021-08-26,沪港通十大成交活跃股排名（8月26日）,Wind
593,2021-08-26,北上资金净买入12.29亿元 中国铝业获净买入11.66亿元,金融界
594,2021-08-26,业绩大增85倍中国铝业逼近涨停，北向资金加仓逾11亿元（名单）,21世纪经济报道
595,2021-08-26,北向资金 | 合计净流入12.28亿元，中国铝业、迈瑞医疗、招商银行净买入居前,上游新闻
596,2021-08-26,中国铝业今日获北向资金净买入11.66亿元,e公司
597,2021-08-26,北向资金连续4日净买入，中国铝业获大幅加仓近12亿元,Wind
598,2021-08-26,高盛：维持中国铝业(02600)“买入”评级 目标价升6.25%至6.8港元,智通财经
599,2021-08-26,瑞银：予中国铝业(02600)“中性”评级 目标价升10%至5.5港元,智通财经
600,2021-08-26,小摩：予中国铝业(02600)“增持”评级 目标价升11.1%至7港元,智通财经
601,2021-08-26,A股收盘综述：消费、金融难见起色，资源股再度狂欢,Wind
602,2021-08-26,铝：青海出现电力紧张 多省能耗双控预警,新浪
603,2021-08-26,茅台突遭利空，家电医疗集体大跌！2000亿巨头又涨停,Wind
604,2021-08-26,解盘：资源、科技强势，工业母机、纳离子电池、工业金属领涨,Wind
605,2021-08-26,A股午盘综述：创业板指跌1.7%，消费、周期冰火两重天,Wind
606,2021-08-26,快讯：中国铝业涨停 报于7.27元,金融界
607,2021-08-26,中国铝业2连板,Wind
608,2021-08-26,有色铝持续活跃，中国铝业冲击连板,Wind
609,2021-08-26,【异动股】中国铝业(02600.HK)涨5.36%,财华社
610,2021-08-26,A股异动 | 铝业股继续大涨，中国铝业涨超6%,格隆汇
611,2021-08-26,中国铝业等24股获融资净买入超亿元,证券时报网
612,2021-08-26,杠杆资金重仓股曝光 中国铝业居首,第一财经
613,2021-08-26,业绩翻倍+低估值+滞涨股出炉！北上资金扫货8股,Wind
614,2021-08-26,沪指三连阳，业绩暖色烘托周期股行情,Wind
615,2021-08-25,有机硅龙头暴涨6倍！预增王是它 业绩翻倍+低估值+滞涨股名单出炉,中财网
616,2021-08-25,涨停板解密：资金青睐，有色、化工股连续爆发！（8月25日）,Wind
617,2021-08-25,A股收盘综述：三大指数均连升3日，光伏板块全线爆发,Wind
618,2021-08-25,中国铝业半年净利增85倍 汪啸骅：铝价持续超预期 行业盈利大幅扭转,第一财经
619,2021-08-25,民生证券：首予中国铝业(601600.SH)“推荐”评级 受益铝价上行 业绩高增,智通财经
620,2021-08-25,券商一宣布配股就大跌，这家后市会怎么样？,Wind
621,2021-08-25,中国铝业(601600)：量稳价增 公司业绩超预期,广发证券
622,2021-08-25,A股进僵持阶段？教育股、白酒股大涨，券商股熄火,Wind
623,2021-08-25,1500亿巨头闪崩，20CM大跌！千亿中字头股崛起,Wind
624,2021-08-25,解盘：人气持续回暖，白酒、有色、煤炭、在线教育领涨,Wind
625,2021-08-25,A股午盘综述：白酒股领涨大市，券商集体回调,Wind
626,2021-08-25,「A股中报·8月24日」中国铝业上半年利好，净利润暴增85倍,时代财经
627,2021-08-25,有色金属板块走强 中国铝业等多股涨停,上证报
628,2021-08-25,中国铝业首板,Wind
629,2021-08-25,有色金属板块继续走强，中国铝业拉升触板，怡球资源、鑫铂股份此前涨停，锌业股,新浪
630,2021-08-25,快讯：中国铝业涨停 报于6.61元,金融界
631,2021-08-25,【异动股】中国铝业(02600.HK)涨7.27%,财华社
632,2021-08-25,港股异动 | 中国铝业(2600.HK)AH股大涨，中期净利同比增8511%,格隆汇
633,2021-08-25,中国铝业涨近7% 中期纯利同比增超85倍至30.75亿元,新浪
634,2021-08-25,中国铝业半年报：半年赚逾30亿，增长85倍,e公司
635,2021-08-25,半年报解读|中国铝业净利增85.1倍超市场预期 下半年业绩或更好,财联社
636,2021-08-25,A股早报2021年8月25日星期三,Wind
637,2021-08-25,港股公告精选：中国铝业上半年股东应占利润同比增长8511,Wind
638,2021-08-25,中国铝业(02600.HK)委任公司副总裁,财华社
639,2021-08-25,中国铝业(02600.HK)收购金属镓资产,财华社
640,2021-08-25,【中证盘前】储能龙头上能电气今日复牌！格力电器耗资逾120亿，回购逾4%股份；中国铝业上半年净利润增85倍；拼多多涨逾22%,中证报
641,2021-08-25,智通港股早知道 | (8月25日)中国铝业(02600)归属于公司净利润同比增长8511%，钾矿价值受关注,智通财经
642,2021-08-25,中国铝业上半年净利近31亿元 增幅超85倍,全景网
643,2021-08-25,格隆汇港股聚焦(08.24)︱中国铝业上半年净利同比增长85.11倍；宏光照明投资半导体领域第三代氮化镓设备龙头,格隆汇
644,2021-08-24,智通港股公告精选︱(8.24)中国铝业上半年股东应占利润30.75亿元 同比增长8511%,智通财经
645,2021-08-24,中国铝业(02600)中期股东应占净利润30.75亿元 同比增长约85倍(更新),和讯
646,2021-08-24,【港股通】中国铝业(02600)股东应占净利润同比增长85倍至30.75亿元,和讯
647,2021-08-24,中国铝业(02600)上半年股东应占利润30.75亿元 同比增长8511%,智通财经
648,2021-08-24,中国铝业：中期盈利30.75亿人民币，同比增长8511.0%,Wind
649,2021-08-24,中国铝业(02600.HK)中期纯利30.75亿元 同比增长8511%,格隆汇
650,2021-08-24,中国铝业：拟斥资约3.92亿元收购中国稀有稀土持有的金属镓资产,Wind
651,2021-08-24,中国铝业(02600.HK)：本公司广西分公司、中铝矿业及遵义铝业分别与中,新浪
652,2021-08-24,中国铝业：建议委任林妮为第七届监事会股东代表监事候选人,Wind
653,2021-08-24,中国铝业：拟聘任蒋涛为公司副总裁,Wind
654,2021-08-24,中国铝业(02600)提名林妮为股东代表监事候选人,智通财经
655,2021-08-24,中国铝业(02600)拟斥资约3.92亿元收购中国稀有稀土持有的金属镓资产,智通财经
656,2021-08-24,电解铝等主要产品价格大涨，中国铝业上半年净利同比增85倍,澎湃新闻
657,2021-08-24,中国铝业：聘任蒋涛为公司副总裁,中国经济网
658,2021-08-24,主营产品毛利同比增长，中国铝业上半年净利增85倍,每日经济新闻
659,2021-08-24,8月24日珀莱雅、华昌化工等12家公司公告出现利好,证券之星
660,2021-08-24,中国铝业上半年净利增85倍！拟3.92亿元加码镓产业,中新经纬
661,2021-08-24,晚间公告｜8月24日这些公告有看头,第一财经
662,2021-08-24,8月24日晚间上市公司十大重磅公告,巨丰财经
663,2021-08-24,中国铝业：2021年上半年净利润约30.75亿元,每日经济新闻
664,2021-08-24,中国铝业：收购中国稀有稀土股份有限公司金属镓资产，交易对价约3.92亿元,每日经济新闻
665,2021-08-24,中国铝业2021年上半年经营业绩大幅提升 净利润增长19.8倍,中国有色
666,2021-08-24,中国铝业2021年上半年实现净利润47.92亿元，同比大幅增长1984.76%,经济观察网
667,2021-08-24,中国铝业(601600.SH)拟收购中国稀有稀土所持金属镓资产提高生产效率,智通财经
668,2021-08-24,中国铝业：上半年净利润同比增长8511.0%,Wind
669,2021-08-24,主营产品单价大涨 中国铝业(601600.SH)半年度归母净利同比增8511%至30.75亿元,智通财经
670,2021-08-24,中国铝业：上半年净利润同比增长8511%,e公司
671,2021-08-24,中国铝业：上半年净利润同比增长8511%,Wind
672,2021-08-24,中国铝业：上半年净利30.75亿元 同比增85倍,财联社
673,2021-08-24,BlackRock Inc.增持中国铝业股份约1341.65万股,每日经济新闻
674,2021-08-23,中国铝业：公司2021年半年度报告拟于2021年8月25日披露,每日经济新闻
675,2021-08-23,中国铝业：公司暂无股票回购计划,每日经济新闻
676,2021-08-23,中国铝业：目前公司没有多晶硅的投资，亦未投资青海丽豪半导体有限公司,每日经济新闻
677,2021-08-23,中国铝业：公司持有中国稀有稀土23.94%股权,Wind
678,2021-08-23,中国铝业：2020年公司铝土矿自采矿比例为46.4%,Wind
679,2021-08-23,中国铝业：目前公司未直接与汽车企业进行合作,Wind
680,2021-08-23,【异动股】中国铝业(02600.HK)涨3.68%,财华社
681,2021-08-23,年轻人逃离的工厂 正在被博士们看中,新浪
682,2021-08-20,【异动股】中国铝业(02600.HK)跌3.64%,财华社
683,2021-08-19,有色板块早盘持续走低，顺博合金跌近9%，中国铝业跌超6%，宏达股份、洛阳钼,新浪
684,2021-08-19,【异动股】中国铝业(02600.HK)跌3.06%,财华社
685,2021-08-18,BlackRock Inc.增持中国铝业股份约3137.05万股,每日经济新闻
686,2021-08-17,恒指收跌1.66%录得四连跌，大型科技股拖累指数,Wind
687,2021-08-17,【异动股】中国铝业(02600.HK)跌3.11%,财华社
688,2021-08-16,北向资金今日大幅净买入62亿元，低估值消费白马股获追捧,Wind
689,2021-08-16,【异动股】中国铝业(02600.HK)跌3.16%,财华社
690,2021-08-14,铝行业全产业链公司更具关注价值,红周刊
691,2021-08-13,北向资金本周净买入额大幅收窄，宁德时代遭大幅净卖出近8亿元,Wind
692,2021-08-13,神火股份净利润同增6倍 电解铝产业迎来美好时光,长江有色
693,2021-08-13,涨价纷至沓来，业绩释放、股价爆发？,Wind
694,2021-08-12,资源股逆势爆发！私募大佬二季度提前加仓,Wind
695,2021-08-12,【异动股】中国铝业(02600.HK)涨4.49%,财华社
696,2021-08-11,北向资金今日净卖出超28亿元，白酒股持续惨遭抛售,Wind
697,2021-08-11,中国铝业：将于8月24日举行董事会会议，以审议中期业绩等事项,Wind
698,2021-08-11,新材料&金属材料行业周报(2021年8月第2期)：铁矿石大跌 钢铁完美逻辑已现,新浪
699,2021-08-11,【异动股】中国铝业(02600.HK)涨3.16%,财华社
700,2021-08-09,潍坊临朐：“中国铝业之都”崛起千亿级产业集群,世铝网
701,2021-08-09,每日理财观察：2021年中期私募基金长期业绩榜出炉,Wind
702,2021-08-06,智通港股研报精读(08.06) | 看好有色金属板块重点品种、龙头公司,智通财经
703,2021-08-06,金融街下午茶2021年8月6日星期五,Wind
704,2021-08-06,【异动股】中国铝业(02600.HK)涨4.48%,财华社
705,2021-08-05,BlackRock Inc.增持中国铝业股份约1693.11万股,每日经济新闻
706,2021-08-05,“疯狂”的稀土：一个月板块大涨36%，远超锂电、芯片， 主题ETF更成市场 “最靓的仔”，还能上车吗？,21世纪经济报道
707,2021-08-03,BlackRock Inc.减持中国铝业股份约614.75万股 减持股份,每日经济新闻
708,2021-08-03,【异动股】中国铝业(02600.HK)跌4.18%,财华社
709,2021-08-03,BlackRock Inc.增持中国铝业股份约1188.26万股,每日经济新闻
710,2021-08-02,中国铝业(02600)：每手“19中铝G3”将于8月9日派息45.5元,智通财经
711,2021-08-02,中国铝业(02600.HK)：“19中铝G3”将于8月9日付息,格隆汇
712,2021-08-02,工业金属行业重大事项点评：供应扰动扩大 铜铝行业配置价值显现,新浪
713,2021-07-30,【行情】港股有色金属板块普涨，赣锋锂业涨5%，五矿资源涨4%，中国铝业、山东黄金涨超2%,金十数据
714,2021-07-29,北向资金今日净买入逾42亿元，比亚迪、东方雨虹净买入居前,Wind
715,2021-07-29,【行情】港股有色金属板块走强，赣锋锂业涨7.7%，洛阳钼业涨5.5%，中国铝业涨4.7%，俄铝涨4.2%，紫金矿业涨3.8%,金十数据
716,2021-07-29,新能源汽车来了，有色金属将告别周期属性？,阿尔法工场
717,2021-07-29,中国铝业(02600.HK)：预计10亿美元债券7月29日上市,格隆汇
718,2021-07-28,【异动股】中国铝业(02600.HK)跌3.16%,财华社
719,2021-07-27,中国铝业：我公司持有中国稀有稀土股份有限公司（“中国稀有稀土”）23.94%股权,每日经济新闻
720,2021-07-27,中国铝业：目前公司已不再直接拥有金属镓资产，不直接从事或经营金属镓业务,每日经济新闻
721,2021-07-27,【异动股】中国铝业(02600.HK)涨5%,财华社
722,2021-07-27,【行情】稀土永磁板块异动拉升，北方稀土涨超5%，中国铝业、金田铜业、有研新材、豫光金铅等跟涨,金十数据
723,2021-07-26,【行情】港股有色金属板块逆市走高，赣锋锂业涨近5%，中国铝业涨3.5%，紫金矿业涨3.2%，江西铜业股份涨1.5%,金十数据
724,2021-07-23,监管施压有色金属市场谨慎乐观中期业绩超预期资源股再度大涨,财华社
725,2021-07-23,欧美股市多数上涨，美国三大股指连续第三天收涨,Wind
726,2021-07-23,美国三大股指全线上涨,Wind
727,2021-07-22,美股开盘涨跌不一，法拉第未来挂牌首日开盘大涨逾22%,Wind
728,2021-07-22,巴克莱为中国铝业发行两笔美元高级无抵押票据,上证报
729,2021-07-22,中国铝业(02600.HK)拟发行10亿美元债券,格隆汇
730,2021-07-22,中国铝业：附属公司发行合计10亿美元债券,Wind
731,2021-07-22,中国铝业涨超6% 瑞信重申跑赢大市评级,新浪
732,2021-07-22,港股异动 | 中国铝业(02600)涨超6% 瑞信预计部分地区产能将继续受影响 或进一步刺激铝价,智通财经
733,2021-07-22,【行情】港股铝板块走强，中国铝业涨超6%，中国宏桥涨近4%，俄铝涨3.21%，中国忠旺涨2.35%,金十数据
734,2021-07-22,稀土价格7月反转，产业链配置时点已经到来？（附股）,第一财经
735,2021-07-22,解盘：百亿资金流入，光刻胶、挖掘机、锂矿领涨,Wind
736,2021-07-22,【行情】有色板块铜铝概念股走强，铜陵有色拉升触板，中国铝业、海亮股份、江西铜业、神火股份等跟涨,金十数据
737,2021-07-22,【异动股】中国铝业(02600.HK)涨5.74%,财华社
738,2021-07-22,稀土价格7月反转 机构称估值重构 龙头股价猛涨90% 低位概念股亮相(名单),新浪
739,2021-07-21,智通港股研报精读(07.21) | 看好新能源汽车龙头公司、汽车玻璃龙头股和有色金属龙头股,智通财经
740,2021-07-21,7月涨幅最大行业花落谁家？板块中个股业绩、债务2张图看清！,Wind
741,2021-07-21,【异动股】中国铝业(02600.HK)涨3.07%,财华社
742,2021-07-21,每日晨报-20210721,国元国际
743,2021-07-20,海外信用评级汇总2021年7月20日星期二,Wind
744,2021-07-20,北向资金今日净买入30.65亿元，持续加仓医药股,Wind
745,2021-07-20,【行情】港股铝板块整体跌幅达5.8%，荣阳实业跌7.69%，中国铝业跌6.42%，中国宏桥跌6%，俄铝跌超4%,金十数据
746,2021-07-20,港股有色股跌幅扩大，中国铝业跌近7%,Wind
747,2021-07-20,【异动股】中国铝业(02600.HK)跌4.97%,财华社
748,2021-07-20,惠誉：授予中国铝业担保的拟发行高级无抵押票据“A-”评级,Wind
749,2021-07-20,有色金属板块齐跌 中国铝业及江西铜业均跌超4%,新浪
750,2021-07-20,港股异动 | 中国铝业(02600)跌超4%领跌有色板块 发改委称将再投铝锌等储备,智通财经
751,2021-07-20,周期行业周报：碳交易启动 顺周期板块有望受益,新浪
752,2021-07-20,北向资金动向盘点：重手买入“医药”，谨防“德尔塔”,Wind
753,2021-07-19,有色金属2021年中报前瞻：Q2有色利润继续高增 重视新能源和碳中和方向,新浪
754,2021-07-19,20210720基金公司机构持仓股点评：中国铝业601600六国化工600470,新浪
755,2021-07-19,智通每日大行研报丨丘钛科技(01478)遭多家机构齐降评级 瑞信将中国铝业(02600)列为行业首选 投资评级恶化,智通财经
756,2021-07-19,北向资金今日净买入近44亿元，持续加仓白酒、医药股,Wind
757,2021-07-19,广发证券：维持中国铝业(601600.SH)“买入”评级 业绩超预期 电解铝价格大幅增长 氧化铝价格小幅反弹,智通财经
758,2021-07-19,瑞信：中国铝业重申跑赢大市评级 目标价7.4港元,新浪
759,2021-07-19,中国铝业盘中涨超5% 上半年净利预增约83倍,新浪
760,2021-07-19,港股异动 | 中国铝业(2600.HK)涨逾4% 预计上半年净利润同比增长约83倍,格隆汇
