,2021-10-29,区块链的国资行动：过半央企涉足，地方国资参投区块链企业,财经网
2095,2020-11-11,通信行业周观点：电信5GSA率先商用 首颗6G卫星发射成功,新浪
2096,2020-11-11,中国联通大涨5.56% 成交4.89亿港元,中新经纬
2097,2020-11-11,招商通信周周谈(2020年第45周)：当前时点再看5G建设预期板块预期低点蓄力爆发,新浪
2098,2020-11-11,国产芯片巨头紫光展锐5G放大招，其刚刚联手电信发布云手机,奥一网
2099,2020-11-10,小米公司与中国联通联合发布新品Wi-Fi6路由器,中投网
2100,2020-11-10,小米与中国联通联合发布小米路由器CR6606,36氪
2101,2020-11-10,创“百万爆品”！中国联通与小米共同开启三千兆智慧生活新篇章,驱动中国
2102,2020-11-10,通信行业周报：斗运营风口将至 广东规划量子通信骨干网,新浪
2103,2020-11-10,科技-通信设备周报：贸易摩擦情绪压力受美大选影响释放,新浪
2104,2020-11-10,紫光展锐5G全系新品及解决方案亮相,网易
2105,2020-11-09,国资委召开2021年度中央企业预算布置视频会议：加快培育具有全球竞争力的世界一流企业,Wind
2106,2020-11-09,紫光展锐举行秋季线上发布会 一系列5G芯片相关产品亮相,中证网
2107,2020-11-09,中国联通(600050.SH)：成功发行20亿元超短期融资券,格隆汇
2108,2020-11-09,通信行业周报：通信行业三季度经营企稳 5G产业链回暖值得期待,华安证券
2109,2020-11-09,全球首个5G独立组网商用，通信行业迎下半年最好投资窗口期,第一财经
2110,2020-11-09,中国联通“智·云”绿色数据中心助力江西打造“中部云高地”,人民邮电报
2111,2020-11-09,中国电信将规模商用5G独立组网,北京商报
2112,2020-11-09,A股早报2020年11月9日星期一,Wind
2113,2020-11-09,5G消息业务或将收获千亿元级市场,中国经济网
2114,2020-11-08,中国电信将在超过300个城市规模商用5G独立组网,北京商报
2115,2020-11-08,【招商通信余俊团队】当前时点再看5G建设预期：板块预期低点蓄力爆发——招商通信周周谈（2020年第45周）,俊Sir通信研究
2116,2020-11-08,科技周报：美年健康谈阿里减持 快手亏损680亿赴港上市 减持股份,GPLP犀牛财经
2117,2020-11-07,通信行业周报2020第31期：通信行业Q3收入净利稳中有升 新基建如期驱动产业链多重机遇,新浪
2118,2020-11-07,上市公司正负面新闻2020年11月7日星期六,Wind
2119,2020-11-06,加码苹果狂欢之旅！中国联通全渠道开启iPhone 12 Pro Max、iPhone 12 mini预售,牛华网
2120,2020-11-06,中国联通(600050.SH)：联通运营公司拟1.31亿元向联通集团收购一汽通信科技51%股权,格隆汇
2121,2020-11-06,中国联通：控股股东拟收购一汽通信科技51%股权,Wind
2122,2020-11-06,【中金科技】每日科技信息快递：三星电子计划在2021年发布首款Mini LED电视,乐平科技视角
2123,2020-11-06,射频滤波器芯片研发商汉天下完成新一轮融资，投资方为中国联通、TCL创投等,企查查
2124,2020-11-05,用友网络(600588)：Q3云业务提速 云优先战略持续推进,华安证券
2125,2020-11-05,科技先锋系列报告157：径卫视觉：聚焦智能驾驶安全的AI企业,新浪
2126,2020-11-05,三一重工(600031)：业绩超预期 智能制造＋服务引领全方位提升,光大证券
2127,2020-11-05,【异动股】中国联通(00762-HK)涨3.24%,财华社
2128,2020-11-05,兑吧牵手通信运营商巨头 SaaS运营背后推手浮出水面,新浪
2129,2020-11-04,用友网络(600588)：业绩短期承压 云业务继续逆势增长,西南证券
2130,2020-11-03,联通90亿股限售股解禁：BATJ等9股东三年浮亏186亿 解禁,C114通信网
2131,2020-11-03,为推5G套餐，运营商下架4G套餐，此举妥当吗？,钛媒体
2132,2020-11-03,商用一周年，中国联通亮出5G成绩单,新华网
2133,2020-11-03,中国联通累计开通5G基站33.2万站,Wind
2134,2020-11-03,中国联通累计开通5G基站33.2万站,e公司
2135,2020-11-03,中国联通：累计开通5G基站33.2万 明年5G覆盖县城和重点乡镇,新浪
2136,2020-11-02,新华三集团、中国联通联合体中标成都高新区智慧大脑项目,Wind
2137,2020-11-02,中国联通混改定增超90亿股今日解禁 BATJ等股东三年浮亏180亿元 解禁,每日经济新闻
2138,2020-11-02,A股市场破净股一览（11月2日）,Wind
2139,2020-11-02,运营商在部分地区下架4G套餐 中国5g用户数量过亿有多少水分？,中研网
2140,2020-11-02,华东电脑(600850)：业绩符合预期 华讯网络打造强中台支撑能力,新浪
2141,2020-11-02,这些年基金重仓股，谁是“匆匆过客”、谁是“定海神针”,中证报
2142,2020-11-02,联通发布边缘云服务器公开招募结果：中兴等3企业入围,C114通信网
2143,2020-11-02,A股早报2020年11月2日星期一,Wind
2144,2020-11-02,齐心集团(002301)2020年三季报点评：业绩持续高速增长 股权激励彰显长期发展信心,新浪
2145,2020-11-02,这些年基金重仓股谁是“匆匆过客”谁是“定海神针”,中证网
2146,2020-11-01,浙商张建民||烽火通信：经营持续改善,浙商通信张建民组
2147,2020-11-01,【招商通信余俊团队】详解通信行业2020年前三季报及三季报：IDC、光模块、物联网、军工信息化等板块表现亮眼，看多板块年底行情,俊Sir通信研究
2148,2020-11-01,江西联通5G助力C919国产大飞机全球首秀,飞象网
2149,2020-11-01,下周操盘攻略：A股三季报收官，整体盈利重回正增长,Wind
2150,2020-11-01,中国联通(600050)：聚焦5G及创新业务 持续打造增长新引擎,新浪
2151,2020-11-01,2020Q3科技板块基金持仓分析：整体下降 电子微升,新浪
2152,2020-11-01,数据港(603881)：三季度经营业绩放量 数据中心规模快速扩张,新浪
2153,2020-10-31,中国联通：与红豆集团签署《5G+纺织服装工业互联网战略合作协议》,e公司
2154,2020-10-31,元隆雅图(002878)：Q3业绩增长提速 关注“双十一”下的MCN红利,新浪
2155,2020-10-31,外汇局旗下“三剑客”出手，退出所持A股公司前十大股东名单,Wind
2156,2020-10-31,下周1533亿市值限售股解禁，环比增加184.99% 解禁,Wind
2157,2020-10-31,IBM大中华区CEO包卓蓝：IT业5年后将成“量子计算天下”,Wind
2158,2020-10-30,11月解禁市值环比增七成 解禁,大众证券报
2159,2020-10-30,网宿科技(300017)2020年三季报点评：行业竞争持续 加码边缘计算有望破局,新浪
2160,2020-10-30,联通沃云助力海南开启智慧教育新模式,消费日报网
2161,2020-10-30,恒指跌0.03% 中国联通跌3.61%领跌蓝筹股,中新经纬
2162,2020-10-30,联通沃云×海南教育云，一个省域教育资源平台典范如何诞生？,搜狐
2163,2020-10-30,【异动股】中国联通(00762-HK)跌3.01%,财华社
2164,2020-10-30,伊宁云数据中心项目建设加快推进,中国IDC圈
2165,2020-10-30,中国联合网络通信股份有限公司 关于云南联通与合作方“‘双百行动’综合改革合作协议”的进展公告,证券时报
2166,2020-10-29,晚间重要公告2020年10月29日星期四,Wind
2167,2020-10-29,中国联通：云南联通与亨通光电、中电兴发签综改变更协议,e公司
2168,2020-10-29,中国联通“匠心网络万里行2020”北线活动启程,中国网
2169,2020-10-29,【异动股】中国联通(00762-HK)跌3.1%,财华社
2170,2020-10-29,港股盘前必读：新东方宣布将在港交所上市新发行851万股普通股新股,Wind
2171,2020-10-29,浙商张建民||盛路通信:2020是公司拐点之年,浙商通信张建民组
2172,2020-10-28,港股收评：恒指震荡收跌0.32%，大型科技股表现强势，内险股、银行股普遍下跌,格隆汇
2173,2020-10-28,运营商齐聚eSIM赛道 5G新增长点有望形成,C114通信网
2174,2020-10-28,通信运营商行业专题：Q3运营商业绩同增环减，数字化转型再添成长动能，维持“推荐”评级,长城证券
2175,2020-10-28,【异动股】中国联通(00762-HK)跌4.24%,财华社
2176,2020-10-28,中国联合网络通信股份有限公司 非公开发行限售股上市流通公告 解禁,证券时报
2177,2020-10-27,宣传误导、不当收费，被监管点名批评的招联金融怎么了？ 其他违规处罚,新浪
2178,2020-10-27,中国联通(600050.SH)：约90.37亿股限售股将解禁 解禁,格隆汇
2179,2020-10-27,中国联通：占总股本29.14%限售股将于11月2日上市流通 解禁,Wind
2180,2020-10-27,三季报资金布局盘点：38家机构持有贵州茅台，高毅资产现身14个股,时代在线
2181,2020-10-27,菲利华(300395)：三季度净利润同比增长69% 受益航空航天+半导体双驱,新浪
2182,2020-10-27,中国联通完成首个基于R17 FDD Massive MIMO PoC试验,RFID世界
2183,2020-10-27,中国联通(600050)：公司经营质量改善 创新业务表现亮眼,新浪
2184,2020-10-26,【太平洋通信李宏涛团队】中国联通：聚焦5G及创新业务，持续打造增长新引擎,永不消失的电磁波
2185,2020-10-26,iPhone 12 5G套餐开通攻略：三大运营商资费对比感受下,快科技
2186,2020-10-26,工信部：将继续会同相关部门大力推进5G创新发展,Wind
2187,2020-10-26,通信行业周报(2020年10月第3期)：维持运营商拐点判断 三季报联通继续领跑,新浪
2188,2020-10-26,通信设备周报：运营商出现向好趋势 安防-云计算三季度景气度好,新浪
2189,2020-10-26,通信行业：运营商业绩向好 我国5G已建成69万站,新浪
2190,2020-10-25,【招商通信余俊团队】网络、终端及应用协同发展，5G产业进入加速向上阶段——招商通信周周谈（2020年第43周）,俊Sir通信研究
2191,2020-10-25,通信行业周报：ESIM政策放开 物联网进程加速,新浪
2192,2020-10-23,【万联TMT-通信 | 季报点评】中国联通: 传统业务增长符合预期，新基建带动新兴业务发展向好,万联证券研究所
2193,2020-10-23,中国联通(600050)2020年三季报点评：行业竞争趋缓 增长动能增强,新浪
2194,2020-10-23,港股异动 | 中国联通(0762.HK)涨逾4% 绩后获机构看好,格隆汇
2195,2020-10-23,中国联通获得广东省抗击新冠肺炎疫情双项荣誉,新浪
2196,2020-10-23,【异动股】中国联通(00762-HK)涨3.39%,财华社
2197,2020-10-23,科蓝软件(300663)：数据库和5G数字银行 打开业务新空间,新浪
2198,2020-10-23,三大运营商前三季度日赚3.84亿元，但已多年未达4亿大关,36氪
2199,2020-10-23,三大运营商交出不错成绩，前三季度营收颇丰,通信世界网
2200,2020-10-23,中国联通(600050)：移动业务回升 产业互联网保持高增,新浪
2201,2020-10-23,中国联通(600050)：Q3业绩实现两位数增长 5G的N次方联通未来,新浪
2202,2020-10-23,港股盘前必读：陆金所控股更新招股说明书，美国三大股指小幅收涨,Wind
2203,2020-10-23,115股获券商买入评级，浙商中拓目标涨幅达77.09%,Wind
2204,2020-10-23,运营商5G用户快速增长 北上资金持续增持中国联通,证券时报
2205,2020-10-23,中国三大通信商ADR回调，中国联通跌10.58%,Wind
2206,2020-10-22,三大运营商三季度业绩放榜：移动业务低迷 固网业务崛起,北京商报
2207,2020-10-22,【华西通信】中国联通：价值经营初见成效，全年资本开支确认有望加速,香农圆桌沙龙
2208,2020-10-22,中国联通美股盘前跌10%,格隆汇
2209,2020-10-22,美股盘前：初请失业金数据持续向好,Wind
2210,2020-10-22,每日研报干货专享：等待盈利预期上升后的下一轮投资机会,巨丰财经
2211,2020-10-22,北水动向(10.22)|北水净流入21.34亿 中国联通(00762)绩后遭沽售1.19亿港元,智通财经
2212,2020-10-22,移动电信入局 运营商竞速eSIM赛道,北京商报网
2213,2020-10-22,中国联通首三季财务数据公布，股民不买账，股价暴跌逾10% 连续下跌,资本邦
2214,2020-10-22,恒指收涨0.13% 中国联通收跌11.5%领跌板块,新浪
2215,2020-10-22,每日研报干货专享：新消费迎来政策风口 持续关注顺周期板块,巨丰财经
2216,2020-10-22,【行情】恒指小幅收高0.13%，电信股走低，中国联通收跌约11.5%,金十数据
2217,2020-10-22,中金：料中国联通(0762.HK)维持全年5G资本开支预算350亿元,格隆汇
2218,2020-10-22,富瑞：中国联通(00762)第四季业绩或大幅胜预期 予“买入”评级,智通财经
2219,2020-10-22,富瑞：中国联通目标价8.98港元 给予买入评级,新浪
2220,2020-10-22,花旗：中国联通维持买入评级 目标价7.6港元,新浪
2221,2020-10-22,花旗：预计中国联通(00762)第四季收入增长良好 维持“买入”评级,智通财经
2222,2020-10-22,瑞信：维持中国联通(00762)“跑赢大市”评级 目标价6.35港元,智通财经
2223,2020-10-22,【财报智读】中国联通：第三季度归母净利润14.4亿元，同比增长10.72%,面包财经
2224,2020-10-22,【面包财报】中国联通：第三季度归母净利润14.4亿元，同比增长10.72%,面包财经
2225,2020-10-22,港股异动︱三大运营商早盘集体回吐 中国联通(00762)倒跌超6% 首三季净利同比增10.2%,智通财经
2226,2020-10-22,中国联通三季度业绩逊预期 公司股价大跌逾7% 盈利能力下降,新浪
2227,2020-10-22,中国联通现跌6.5% 前三季度多赚逾10%,新浪
2228,2020-10-22,持续向好：中国联通前三季度净利润108亿元，同比上升10.2%,光纤在线
2229,2020-10-22,港股异动 | 中国联通(0762.HK)回吐6.5% 前三季度多赚逾10%,格隆汇
2230,2020-10-22,【异动股】中国联通(00762-HK)跌7.17%,财华社
2231,2020-10-22,恒指低开0.23%，中国联通跌2.7%领跌,Wind
2232,2020-10-22,通信｜无惧短期波动，把握细分龙头：2020Q3业绩前瞻,中信证券研究
2233,2020-10-22,中国联通降本增效前三季盈利47.84亿 三项费用减少39亿研发投入增长142% 盈利能力下降,长江商报
2234,2020-10-22,欧美股市普跌，奈飞跌近7%,Wind
2235,2020-10-22,5G业务开始发力 两大运营商三季度业绩稳步增长,上证报
2236,2020-10-22,2020PT展：布局5G技术革新,中国贸易报
2237,2020-10-22,中国联通公布三季报 前三季净利增加10.84%,新浪
2238,2020-10-21,美股异动 |中国三大通信商ADR上涨，中国联通(CHU.US)涨超11%,智通财经
2239,2020-10-21,中国三大运营商ADR上涨，中国联通涨近13%,Wind
2240,2020-10-21,美股三大指数基本平开中国联通涨逾10%,中新经纬
2241,2020-10-21,美国三大股指开盘涨跌不一，Snap大涨22%,Wind
2242,2020-10-21,前三季度移动出账用户净减929万 中国联通移动服务收入仍同比下降 盈利能力下降,北京商报
2243,2020-10-21,中国联通前三季度净利同比增逾一成,上证报
2244,2020-10-21,百度：23日晚度小店将联合中国联通开启iPhone 12直播售卖,Wind
2245,2020-10-21,中国联通（00762）：前三季度股东应占溢利同比增10.2%至108.24亿元,新华网
2246,2020-10-21,中国联通(600050.SH)前三季度扣非净利润升24.7%至49.48亿元,格隆汇
2247,2020-10-21,中国联通：前三季度净利47.84亿元 同比增10.8%,e公司
2248,2020-10-21,中国联通：前三季度净利润同比增长10.8%,Wind
2249,2020-10-21,百度优惠首发iPhone12开启“双十一”，数码大V做客直播详解购机须知,飞象网
2250,2020-10-21,中国联通(00762-HK)首三季度股东盈利为人民币108.24亿元,财华社
2251,2020-10-21,中国联通(00762)9月4G用户净增246.8万户,智通财经
2252,2020-10-21,中国联通：公司股东应占溢利108.24亿元 增长10.2%,新浪
2253,2020-10-21,港股收评：恒指上涨0.75%，电信股爆发，中国联通涨逾11%,格隆汇
2254,2020-10-21,中国联通(00762.HK)首三季度整体服务收入2073.49亿元同比上升4.4%,格隆汇
2255,2020-10-21,中国联通(00762.HK)9月运营数据：4G用户净增246.8万户,格隆汇
2256,2020-10-21,"中国联通：截至9月30日净利润108.2亿元，营收2,253.6亿元",金十数据
2257,2020-10-21,中国联通：2020年前三季度整体服务收入为人民币2073.49亿元，比去年同期上升4.4%，移动服务收入为人民币1165.39亿元，比去年同期下降1.0%，降幅较2019年全年显着收窄，单第三季度更进,金十数据
2258,2020-10-21,中国联通香港公司前三季度净利润108.24亿元，同比上升10.2%,Wind
2259,2020-10-21,【行情】恒指收涨0.75%，电信股与汽车股造好，中国联通与恒大汽车收涨超11%,金十数据
2260,2020-10-21,【异动股】获批新技术应用电信股起舞中国联通扬10.9%,财华社
2261,2020-10-21,运营商全面发力云网融合 借力切入toB赛道,C114通信网
2262,2020-10-21,最快1小时！中国联通旗舰机“劲速达”配送助力 iPhone 12 系列首销,牛华网
2263,2020-10-21,香港恒生指数午盘涨0.73%报24747.93点,Wind
2264,2020-10-21,三大运营商均获eSIM服务批文 中国联通、中国电信飙8%,新浪
2265,2020-10-21,港股异动 | 三大运营商均获eSIM服务批文 中国电信(00728)、中国联通(00762)齐涨逾7%,智通财经
2266,2020-10-21,网络安全防护刻不容缓：联通云盾为千行百业保驾护航,C114通信网
2267,2020-10-21,三大运营商集体走强 中国电信及中国联通齐涨逾7%,新浪
2268,2020-10-21,【异动股】中国联通(00762-HK)涨5.19%,财华社
2269,2020-10-21,通信周报2020第29期：5G小基站成PT展亮点 千万数字法币红包推进DC-EP试点,新浪
2270,2020-10-21,eSIM市场迎来重要发展机遇,大众证券报
2271,2020-10-21,事件驱动三大运营商争相布局 eSIM迎来重要发展机遇,大众证券报
2272,2020-10-21,浙商张建民||固定增值业务是运营商主要增收动力,浙商通信张建民组
2273,2020-10-21,【通信】eSIM技术服务推广，物联网应用迎来新阶段——通信行业周报——看好,渤海证券研究
2274,2020-10-21,eSIM市场迎来加速发展,大众证券报
2275,2020-10-21,用户净减 收入下滑 中国联通移动业务难改落后局面 盈利能力下降,北京商报
2276,2020-10-20,物联网领域迎来重磅利好，有望带来这些产业链投资机会,第一财经
2277,2020-10-20,中国第一朵政务云背后，你不知道的联通沃云身影,砍柴网
2278,2020-10-20,物联网迎重磅利好 两家电信运营商获“通行证”,财界网
2279,2020-10-20,工信部提醒及时设置SIM卡密码 2020通信产品行业格局及发展策略,中研网
2280,2020-10-20,打造高质量外网，服务新应用探索 ——工业互联网外网优秀服务案例发布,自动化网
2281,2020-10-20,三大运营商获批开展eSIM技术全国应用服务,中证报
2282,2020-10-19,通信行业周观点：5G商用一周年 产业创新再出发,新浪
2283,2020-10-19,中国联通推出矿用5G专网系统 助力煤炭工业智能化建设,新浪
2284,2020-10-19,福建联通与中兴通讯首发5G融合机顶盒,Wind
2285,2020-10-19,中国联通虚拟现实VR/AR基地在江西揭牌,Wind
2286,2020-10-19,中国联通虚拟现实VR/AR基地在江西揭牌,e公司
2287,2020-10-19,用5G劲速飞跃！中国联通开启 iPhone 5G新机全平台官方直播首销！,牛华网
2288,2020-10-19,通信行业周报：通信展展现后续5G投资机会,新浪
2289,2020-10-19,中国联通VR/AR基地正式落户南昌,中国证券网
2290,2020-10-19,皮海洲：相互兼并变身单向兼并 国企会否成为A股市场的“接盘侠”,金融界
2291,2020-10-19,沃券生活石家庄城市运营商甄选活动,凤凰网
2292,2020-10-19,5G加快商用保持适度超前 打造数字经济新引擎,北京商报
2293,2020-10-19,量子通信迎重磅消息，核心概念股曝光：6股最正宗,证券时报
2294,2020-10-18,19日登场！华为、微软、科大讯飞、中国联通等150家企业齐聚这场产业大会,中国证券网
2295,2020-10-18,招商策略：最“难”上涨的行业开始领涨意味着什么,招商策略研究
2296,2020-10-18,【招商通信余俊团队】首个5G+8K超高清国产化白皮书发布，推动超高清产业加速发展——招商通信周周谈（2020年第42周）,俊Sir通信研究
2297,2020-10-18,【国君通信|2020三季报点评】中国联通:业绩符合预期，适度建设与高质量运营并行,程风信语
2298,2020-10-18,电子行业周报：IPHONE12系列亮相 苹果全面进入5G时代,新浪
2299,2020-10-17,运营商想盈利，先消灭4G套餐,钛媒体
2300,2020-10-17,美国委员会要求司法部评估中国联通美国业务是否涉国家安全风险,财华社
2301,2020-10-17,5G加快商用保持适度超前,经济日报
2302,2020-10-17,【行情】中国联通短线下挫，现跌1.34%,金十数据
2303,2020-10-16,中国联通迟永生：创新5G智享上行技术方案 助力5G 2B行业应用再升级,C114通信网
2304,2020-10-16,重磅！九州云斩获“2020中国数字生态云计算卓越企业”奖,和讯
2305,2020-10-16,打造智慧创新品牌，沃云助力中国联通焕新5G转型能力,北国网
2306,2020-10-16,午评：三大指数盘尾走弱创指跌1.45% 燃气板块强势,新浪
2307,2020-10-16,中国联通发布声明称，网上有关于“中国联通发布‘断卡’行动”的不实传闻，中国联通未发布过相关公告，目前各项业务正常受理。,--
2308,2020-10-16,中国联通：发布“断卡”行动为不实传闻 从未发布相关公告,新浪
2309,2020-10-16,中国联通：未发布过“断卡”行动公告,Wind
2310,2020-10-16,中国联通：未发布过“断卡”行动公告,e公司
2311,2020-10-16,中国联通研究院张涛：明年5G大规模室内建设将开始 给小基站带来新机遇,C114通信网
2312,2020-10-16,5G消息正式商用前夕遭遇多方博弈,中证报
2313,2020-10-15,助力云网智能融合 联接算力未来——第五期IPv6+产业论坛召开,新浪
2314,2020-10-15,中国移动物联网市场新一轮布局，再次大手笔采购7000万颗eSIM晶圆,C114通信网
2315,2020-10-15,联通范云军：联通5G用户下载峰值速率超过2000Mbps,C114通信网
2316,2020-10-15,中国联通刘郑海：极简建维让5G能源建设摆脱“新瓶装旧酒”,C114通信网
2317,2020-10-15,中国联通：IPv6+重点关注六大核心价值 端到端SRv6助运营商走向云网一体2.0,C114通信网
2318,2020-10-15,2020年中国国际信息通信展在京召开中国联通携30余项5G应用展现智慧新生活,新华网
2319,2020-10-14,中国联通携30余项5G应用亮相2020年中国国际信息通信展－国务院国有资产监督管理委员会,国资委
2320,2020-10-14,联发科与中国联通、中国电信携手完成独立组网商用关键技术,新浪
2321,2020-10-14,中国联通范云军：已累计开通5G基站33万个,新浪
2322,2020-10-14,GSMA白皮书：毫米波成为5G下一阶段重点部署的核心技术之一,TechWeb
2323,2020-10-14,5G独立组网，联发科与联通电信完成3.5GHz频段双载波聚合测试,36氪
2324,2020-10-14,5G独立组网商用关键技术落地 我国5G用户超1.1亿,中研网
2325,2020-10-14,联发科与中国联通、电信完成5G独立组网商用关键技术,IT之家
2326,2020-10-14,【异动股】中国联通(00762-HK)涨3.52%,财华社
2327,2020-10-13,神州数码(000034)深度报告：鲲鹏生态核心成员 “云+信创”成为公司主要增量,新浪
2328,2020-10-13,通信行业点评报告：科技龙头出台大比例股票期权激励计划 彰显行业长期发展信心,新浪
2329,2020-10-13,申万宏源通信周报：秦淮数据海外IPO、REITS本土推进 IDC行业近况如何?,新浪
2330,2020-10-13,中国联通参与打造国家级5G空域技术联合实验室,格隆汇
2331,2020-10-12,专访新华三韩志刚：厚积薄发坚定投入 与运营商共赢5G时代,C114通信网
2332,2020-10-12,第四大运营商来了，到底能改变什么？,虎嗅网
2333,2020-10-12,国内高频通信联合创新实验室将成立,北京商报
2334,2020-10-12,通信行业周报(2020年10月第1期)：5G应用创新将获大力推进,新浪
2335,2020-10-12,中国第4大运营商来了！阿里华为助力 5G192号段快来了,金融时报
2336,2020-10-12,电信运营商板块走强 预计到2030年5G产业有望为全球GDP增加8万亿美元,中研网
2337,2020-10-12,电信运营商板块走强 中国联通涨近7%中国电信涨超5%,新浪
2338,2020-10-12,通信行业周报：5G应用创新将获大力推进，维持“看好”评级,浙商证券
2339,2020-10-12,【异动股】中国联通(00762-HK)涨3.59%,财华社
2340,2020-10-12,通信行业2020年10月投资策略暨重点公司三季报前瞻：关注三季报绩优及低估值标的,国信研究
2341,2020-10-12,5G切片来了！全球首例,SEMI
2342,2020-10-11,联通张沛：“三千兆”成运营商提速融合增收关键利器,C114通信网
2343,2020-10-11,【招商通信余俊团队】通信行业四季度观点展望：全面看多通信板块年底行情，5G、云计算、物联网仍是投资主线,俊Sir通信研究
2344,2020-10-10,重庆联通携手华为打造首个县城场景3.5G+2.1G双频协同示范区,C114通信网
2345,2020-10-10,加速网络云化部署，新华三全面支撑运营商转型升级,C114通信网
2346,2020-10-09,通信行业周观点：第四季度预计继续维持5G 超前建设节奏,新浪
2347,2020-10-09,中国联通(00762.HK)10月21日举行董事会会议以批准财务业绩,格隆汇
2348,2020-10-09,【异动股】中国联通(00762-HK)跌3.31%,财华社
2349,2020-10-09,联通集采智慧客服北方一中心和南方二中心服务外包业务：预算7.6亿,C114通信网
2350,2020-10-09,以生态建设支持确定性网络的发展,--
2351,2020-10-08,工信部建议坚持适度超前的5G建设节奏,中信建投证券研究
2352,2020-10-03,迪普科技(300768)：信息安全优质企业 竞争力持续提升,新浪
2353,2020-10-01,【铜川矿业】中国联通大数据首席科学家到玉华矿调研智能化建设工作,我的煤炭网
2354,2020-09-30,中国联通曹畅：算力网络将助推新基建发展,C114通信网
2355,2020-09-30,中国联通智网创新中心王瑾：SD-WAN发展符合运营商网络演进趋势,C114通信网
2356,2020-09-30,中国联通(00762-HK)获野村上调目标价,财华社
2357,2020-09-29,品牌竞争瞄准Z世代 运营商也开始“抢人”了,中国商报
2358,2020-09-29,中国联通助力5G﹢超远程手术顺利开展,人民邮电报
2359,2020-09-29,港股盘前必读：9月28日中国恒大、恒大汽车涨幅均超过20%,Wind
2360,2020-09-28,通信：全球5G商用网络超100张，我国5G基站开通超56万个，维持“强于大市”评级,中信建投
2361,2020-09-28,国企三年行动方案公布在即，好戏在后头,Wind
2362,2020-09-28,恒指高开高走收涨1.04%报23476.05点，中国恒大、恒大汽车双双涨逾20%,Wind
2363,2020-09-28,【异动股】中国联通(00762-HK)跌3.4%,财华社
2364,2020-09-28,江瀚：中移动宽带破2亿 为啥还有人放着免费的移动不要 高价装电信？,金融界
2365,2020-09-27,通信周报：运营商加速推进开放光网络,新浪
2366,2020-09-27,通信本周专题：华为发力自动驾驶 建议关注车联网、云计算等赛道投资机会,新浪
2367,2020-09-27,通信行业-TMT一周谈之通信：华为全联接大会 行业数字化提速,新浪
2368,2020-09-27,通信行业周报：运营商经营数据公布 5G用户渗透不断提升,新浪
2369,2020-09-27,通信行业周报：从华为全联接大会看5G如何使能行业数字化升级,新浪
2370,2020-09-24,通信行业：中国5G用户世界第一 披荆斩棘引领全球,新浪
2371,2020-09-24,中国联通王瑾：“三大优势”加速SD-WAN产业进程,C114通信网
2372,2020-09-24,打造5G时代云边一体，联通沃云推出边缘云产品,北国网
2373,2020-09-24,用户发展走势分化，或将成为经营常态,C114通信网
2374,2020-09-23,中国联通“匠心网络万里行2020”江西首站开启,新华网
2375,2020-09-23,中国联通联手苹果发力直播营销 5G终端有望再迎爆发期,证券日报
2376,2020-09-23,中国移动宽带再次迎来高光时刻,C114通信网
2377,2020-09-23,5G入场之后，拉动效应初显,C114通信网
2378,2020-09-23,浙商早知道 | 9月25日,浙商证券研究所
2379,2020-09-22,中国联通启动品牌换标，强调“智慧”和“创新”,澎湃新闻
2380,2020-09-22,中国联通品牌焕新 发布多项智慧产品及服务,中国网
2381,2020-09-22,中国联通陈丰伟：中国5G为XR产业发展创造了一个非常好的条件,新浪
2382,2020-09-22,中国联通宣布进行品牌焕新 在四个方面进行升级,新浪
2383,2020-09-22,中国联通宣布品牌升级：创新，与智慧同行,网易
2384,2020-09-22,【异动股】中国联通(00762-HK)跌3.44%,财华社
2385,2020-09-22,中国联通宣布品牌焕新 并启动主题营销活动,中证网
2386,2020-09-22,创新，与智慧同行 中国联通企业品牌形象全方位焕新,金融界
2387,2020-09-22,面向数字化和智能化 中国联通宣布品牌升级,新浪
2388,2020-09-22,中国联通8月4G用户净增158.1万户 截至8月末4G用户数为12.9亿户,中研网
2389,2020-09-22,AIIA人工智能大赛联通-华为赛站决赛巡礼——浙江赛区,飞象网
2390,2020-09-22,联通唐雄燕：5G+ABCDE，让垂直行业转型“梦想照进现实”,C114通信网
2391,2020-09-21,【招商通信余俊团队】阿里发布多款创新应用，云计算和工业互联网产业核心受益——招商通信周周谈（2020年第38周）,俊Sir通信研究
2392,2020-09-21,通信行业深度报告：运营商业绩企稳 估值有修复空间,新浪
2393,2020-09-21,中国联通移动用户8月净减少88.6万户,北京商报
2394,2020-09-21,2020全球工业互联网大会开幕 联通范济安：5G造就世界级企业,砍柴网
2395,2020-09-21,联通联合苹果再推手表eSIM独立号码业务 提供家人共享功能,新浪
2396,2020-09-21,中国联通(00762.HK)8月运营数据：4G用户净增158.1万户,格隆汇
2397,2020-09-21,中国联通(600050.SH)8月移动用户减88.6万户固网用户增17.1万户,格隆汇
2398,2020-09-21,中国联通：8月份4G用户净增158.1万户,Wind
2399,2020-09-21,中国联通：8月份4G用户净增158.1万户,e公司
2400,2020-09-21,追踪华为芯片断供: 芯片供需生变 手机短缺、涨价潮传导至零售店,经济观察网
2401,2020-09-21,通信本周专题：阿里云进入2.0时代 云计算产业链加速推进 持续重点关注IDC、光模块、物联网等机会,新浪
2402,2020-09-21,中国联通：未来将提升5G终端渗透率,上证报
