,2021-12-31,保险行业关于《保险公司偿付能力监管规则(Ⅱ)》的点评：偿二代二期工程落地 预计对头部险企的影响相对有限,新浪
2801,2021-04-15,保险板块还有救吗？,云掌财经
2802,2021-04-15,中国太平洋人寿保险大连分公司“星海·智享家ISC”门店正式开业,中国金融新闻网
2803,2021-04-15,港股收评：三大指数开盘走低午后震荡回升，热门科技股普跌，快手跌超7%，二胎概念崛起，宝宝树涨超11％,金融界
2804,2021-04-15,4300亿大行一度跳水5%，带领金融股全线低迷！一纸利空浮现,Wind
2805,2021-04-15,开源证券--上市保险公司3月保费收入数据点评：新业务保费略低于预期，后续关注增员效果【行业研究】,金融界股吧
2806,2021-04-15,一季度5险企保费近1万亿 寿险增速新华领跑人保垫底,中国经济网
2807,2021-04-15,上市后首秀成绩单：百融云创收入3年3倍，净利润增长92%,经济网
2808,2021-04-15,5大险企一季度保费收入近万亿增2.6%，新华领跑平安垫底,澎湃新闻
2809,2021-04-15,险企3月新业务保费略低于预期 二季度期待后程发力,第一财经
2810,2021-04-15,港股异动丨内险股普跌银保监会全面重塑人身险销售制度,格隆汇
2811,2021-04-15,内险股普跌 众安在线下跌4.44%中国太保跌超3%,新浪
2812,2021-04-15,鼎宏保险去年营收、净利双降 互联网冲击下陷转型困境 盈利能力下降,华夏时报
2813,2021-04-15,【异动股】中国太保(02601-HK)跌3.06%,财华社
2814,2021-04-15,一季度5险企保费近1万亿 寿险增速新华领跑人保垫底,发现网
2815,2021-04-15,南向资金高比例持有港股名单,证券之星
2816,2021-04-15,【招商非银|保险】上市险企3月保费收入点评：一季报负债有望边际向好，二季度期待后程发力,莲花山士丹利金融研究
2817,2021-04-15,智通港股通持股解析|4月15日,智通财经
2818,2021-04-15,中国太保(02601-HK)首季保费收入增6.27%,财华社
2819,2021-04-15,新能源车数据有限影响定价承保,金融界
2820,2021-04-15,保险股AH溢价率两极分化严重,金十数据
2821,2021-04-14,格隆汇港股聚焦(04.14)︱中集集团一季度预盈13亿至16.5亿元；赣锋锂业一季度净利预增5709.38%-6483.96%,格隆汇
2822,2021-04-14,智通港股公告精选︱(4.14)众安在线首季原保险保费收入同比增长28.33%至44.98亿元,智通财经
2823,2021-04-14,中国太保(02601.HK)将于4月28日举行董事会会议以审批一季度业绩,格隆汇
2824,2021-04-14,巨亏11亿 一季度不太顺的顺丰打算做保险了？ 重大损失,新浪
2825,2021-04-14,中国太保(02601.HK)一季度原保险业务收入1387.09亿元同比增长6.27%,格隆汇
2826,2021-04-14,中国太保：太平洋人寿一季度原保险业务收入增3.89%至954.17亿元,新浪
2827,2021-04-14,中国太保(601601.SH)两子公司一季度原保险业务收入合计1387.09亿元,智通财经
2828,2021-04-14,上海版惠民保或4月底落地，这一新型健康险模式为何备受关注,澎湃新闻
2829,2021-04-14,中国太保:创新关税保证保险模式，助力虹桥国际开放枢纽建设,云南经济日报
2830,2021-04-14,工银瑞信杜洋：2021年积极寻找个股超额收益,上证报
2831,2021-04-14,累计耗资36亿！上海国资增持中国太保,21世纪经济报道
2832,2021-04-14,中国太保2021年一季度保费收入1387亿 同比增长6.27%,中国经济网
2833,2021-04-14,鼎宏保险去年营收、净利双降 互联网冲击下陷转型困境 盈利能力下降,华夏时报
2834,2021-04-14,人身险行业退保率持续两年下降 非正常退保现象值得关注,金融时报
2835,2021-04-14,数据有限影响定价承保 新能源车何时能有专属保险,经济日报
2836,2021-04-14,银保渠道重回视野 长期保障型产品投保意愿下降,中国金融新闻网
2837,2021-04-14,人身险行业退保率持续两年下降 非正常退保现象值得关注,中国金融新闻网
2838,2021-04-13,保险公司2020年业绩大比拼——60万代理人离职与持续挖角中国人寿,红周刊
2839,2021-04-13,保险科技的三角方法论和四个机会,财经网
2840,2021-04-13,中国太保服务第十届中国花博会正式启动,中金在线
2841,2021-04-13,“服务+科技” 中国太保构筑保险生态圈护航第十届中国花博会,中金在线
2842,2021-04-13,开源证券--上市保险公司2020年年报点评及1季度业绩前瞻：新业务价值表现分化，行业转型升级正当时【行业研究】,金融界股吧
2843,2021-04-13,一季度汽车销量大增拉动车险复苏 车险综改对财产险增速的影响持续减弱,证券日报
2844,2021-04-13,-金融行业周报：同业存单发行剧增，中小银行受困负债管理【行业研究】,金融界股吧
2845,2021-04-13,新重疾险短期销售承压 长期市场需求依然巨大,证券时报网
2846,2021-04-13,智通港股通资金流向统计(T+2)|4月13日,智通财经
2847,2021-04-13,新重疾险短期销售承压 长期市场需求依然巨大,证券时报
2848,2021-04-13,新重疾险短期销售承压，长期市场需求依然巨大,Wind
2849,2021-04-12,非银金融行业周观点：继续推荐左侧低位配置部分券商标的,新浪
2850,2021-04-12,零壹上市公司周报(4.5日-4.11日)：嘉银金科并购区块链公司碧威科技；招商银行与京东数科获批新设合营企业,零壹财经
2851,2021-04-12,第一上海丨【大市评论】大市成交量显着缩降 提防盘面承接力有转弱机会,第一上海金融
2852,2021-04-12,葛兰12亿加仓“牙茅”，张坤却减仓！什么信号？,和讯
2853,2021-04-12,67只港股获南向资金大比例持有,证券之星
2854,2021-04-12,港股公告精选：阿里巴巴被市场监管总局罚款182.28亿元,Wind
2855,2021-04-12,保险｜从长计议，选择有未来的公司,中信证券研究
2856,2021-04-12,QFII去年四季度新进93股 18股持仓市值超10亿,证券时报网
2857,2021-04-12,【银河金融武平平】行业动态 2021.3丨产险保费增速显着回升，板块估值低位配置价值凸显,中国银河证券研究
2858,2021-04-12,QFII投资图谱徐徐揭开面纱，四季度新进93股,Wind
2859,2021-04-12,上市系财险去年赔付率显著攀升,Wind
2860,2021-04-12,上市系财险2020年赔付率显着攀升 综合成本率大多同比恶化,证券时报网
2861,2021-04-12,上市系财险 去年赔付率显着攀升,证券时报
2862,2021-04-12,QFII投资图谱徐徐揭开面纱 四季度新进93股,证券时报
2863,2021-04-11,【安信非银第11期周报】监管整治保险乱象，正本清源利好长期发展,新角度新金融
2864,2021-04-11,【兴证金融 傅慧芳】非银周报（210406—210411）：监管加强人身保险市场乱象治理，券商逐步夯实估值底,兴证金融
2865,2021-04-11,“医药女神”葛兰罕见出手，12亿押注它，张坤却减仓！QFII第一重仓股来了,搜狐
2866,2021-04-11,“医药女神”葛兰罕见出手：12亿押注通策医疗 张坤却减仓,新浪
2867,2021-04-11,格隆汇个股放量排行榜 | 4月11日,格隆汇
2868,2021-04-11,天风证券维持中国太保买入评级：寿险新领导落地，引领“长航行动”，长期改善可期,每日经济新闻
2869,2021-04-11,大数据生态下的商业健康保险前沿发展模式研究白皮书,199IT
2870,2021-04-10,险企营收净利双降背后，能否依靠金融科技走出泥淖？| 全景?卓识 盈利能力下降,全景网
2871,2021-04-10,中国太保养老产业版图再扩大“太保家园”计划落户北京,证券之星
2872,2021-04-10,格隆汇个股放量排行榜|4月10日,格隆汇
2873,2021-04-10,对弄虚作假“零容忍” 严监管利刃挥向保险欺诈,中证报
2874,2021-04-10,对弄虚作假“零容忍”，严监管利刃挥向保险欺诈 欺诈造假,Wind
2875,2021-04-10,中国太平洋保险（集团）股份有限公司关于持股5%以上股东增持本公司股份达到1%的提示性公告,中证报
2876,2021-04-09,智通港股公告精选︱(4.9) 龙湖集团前3个月合同销售额602.2亿元 同比增长57.8%,智通财经
2877,2021-04-09,“惠民保”江湖：一城繁华还是一地鸡毛,财经网
2878,2021-04-09,唐智杰升任宁夏银保监局局长;张泓拟出任新华保险副总裁|慧保日报4.9,搜狐
2879,2021-04-09,中国太保(601601.SH)：上海国资及其一致行动人的持股比例从7.23%增至9.32%,格隆汇
2880,2021-04-09,中国太保(601601.SH)股东上海国资及其一致行动人持股比例增至9.32%,智通财经
2881,2021-04-09,"中国太保现1笔大宗交易 共成交1,422.40万元",新浪
2882,2021-04-09,中国太保今日大宗交易成交40万股，成交价35.56元溢价0.0%,Wind
2883,2021-04-09,格隆汇个股放量排行榜 | 4月9日,格隆汇
2884,2021-04-09,中国太保寿险首家五星级职场金台营销服务部开业,上证报
2885,2021-04-09,中国太保集团董事长孔庆伟：服务在客户身边 客户就在太保身边,证券日报网
2886,2021-04-09,金融圈高薪“鄙视链”：基金最高，券商年终奖扣税百万,Wind
2887,2021-04-09,两市低位运行沪指跌0.92%：金融股下挫，海南本地股活跃,中新经纬
2888,2021-04-09,中国太保增收减利：太保寿险和太保产险“两架马车”拖累净利润 盈利能力下降,GPLP犀牛财经
2889,2021-04-09,信达证券--非银金融行业周报：年报季，券商坐实业绩大年，保险寻变【行业研究】,金融界股吧
2890,2021-04-09,中国太保:创新关税保证保险模式，助力虹桥国际开放枢纽建设,财经网
2891,2021-04-09,多数龙头险企均已布局养老社区 险资欲打通“保险+养老+医疗”降本增效,证券日报
2892,2021-04-09,净利下跌9.2% 蔡强能否让太保寿险走出低谷？ 盈利能力下降,新浪
2893,2021-04-09,【异动股】中国太保(02601-HK)跌3.01%,财华社
2894,2021-04-09,中国银河--3月保险行业动态报告：产险保费增速显着回升，板块估值低位配置价值凸显【行业研究】,金融界股吧
2895,2021-04-09,银河证券：保险板块估值低位配置价值凸显,Wind
2896,2021-04-09,银河证券：保险板块估值低位配置价值凸显,证券时报网
2897,2021-04-09,中信建投：随信保业务风险逐步出清，2021年龙头险企业绩有望迎来明显改善,第一财经
2898,2021-04-09,每日理财观察：海南自贸港再迎政策“大礼包”,Wind
2899,2021-04-09,智通港股早知道︱(4月9日)金价持续上涨提升黄金股吸引力，芯片供应短缺利好产业链股价强势,智通财经
2900,2021-04-09,去年人身险业退保金额仍高达3200亿元，业内人士称应遏制和严打退保“黑产”,Wind
2901,2021-04-09,多数龙头险企均已布局养老社区，险资欲打通“保险+养老+医疗”降本增效,Wind
2902,2021-04-08,中国银河证券维持保险行业推荐评级：产险保费增速显着回升，板块估值低位配置价值凸显,每日经济新闻
2903,2021-04-08,保险行业深度报告：疫情下的五大特征与当下的配置吸引力,新浪
2904,2021-04-08,财险线上化80%倒计时:量化标准尚未成型？工作组成立车险先行先试,新浪
2905,2021-04-08,工商银行近一个月首次上榜港股通成交活跃榜,证券时报网
2906,2021-04-08,一季度11家险企“换帅”：因何而动？对公司影响多大？ 董监高成员变化,新京报
2907,2021-04-08,大和：料保险股今年可持续复苏 首选友邦(1299.HK)等五股,格隆汇
2908,2021-04-08,格隆汇个股放量排行榜 | 4月8日,格隆汇
2909,2021-04-08,情绪底部或已出现 券商龙头股有哪些？,至诚财经
2910,2021-04-08,保险业3月行业动态报告：产险保费增速显着回升 板块估值低位配置价值凸显,新浪
2911,2021-04-08,保险行业2020年报综述及2021Q1前瞻：疫情影响加速行业变革 中期面临不确定性,新浪
2912,2021-04-08,财产险的危与机：非车业务：屡屡踩进同一个坑,云掌财经
2913,2021-04-08,疫情影响加速行业变革，中期面临不确定性丨保险行业2020年报综述及2021Q1前瞻【华创非银】,华创非银
2914,2021-04-08,Metromile上市了！又找到了一家可以做空的公司,搜狐
2915,2021-04-08,第一上海丨【大市评论】港汇再创一年新低 资金流向依然不利,第一上海金融
2916,2021-04-08,八大券商主题策略：情绪底部或已出现 大金融为A股注入“强心剂”？,中金在线
2917,2021-04-08,一季度上市险企新业务价值增速分化：中国太平同比增超120%，中国人寿下滑近25%,零壹财经
2918,2021-04-08,一季度上市险企新业务价值增速分化：国寿同比下滑近25% 盈利能力下降,财联社
2919,2021-04-08,独家| 一季度上市险企NBV增长冰火两重天：太平翻倍国寿下滑 新重疾销售遇冷 已有公司下调年度价值目标 盈利能力下降,财联社
2920,2021-04-08,险企巨头竞相入局健康管理赛道，平安为何领跑？,搜狐
2921,2021-04-08,【异动股】中国太保(02601-HK)涨3.09%,财华社
2922,2021-04-08,科技融合成新燃点 保险业重塑发展生态,中证报
2923,2021-04-08,人保寿险换帅背后：“5855”政策持续落地 发展转型之困待解 董监高成员变化,中国经济网
2924,2021-04-08,去年年报各项指标涨跌互现 行业改革为五大上市险企带来什么,经济日报
2925,2021-04-08,异动直击|友邦保险涨超3%，获大摩高看至130港元,富途证券
2926,2021-04-08,南向资金高比例持有港股名单,证券之星
2927,2021-04-08,人保寿险换帅背后：“5855”政策持续落地 发展转型之困待解 董监高成员变化,新浪
2928,2021-04-08,睿财看市场：周期逞强业绩为王 大盘震荡难掩个股活跃,恒泰睿财
2929,2021-04-08,科技融合成新燃点，保险业重塑发展生态,Wind
2930,2021-04-08,234亿！4家上市险企资产减值骤增六成 资产异常,Wind
2931,2021-04-08,行业改革为五大上市险企带来什么,经济日报
2932,2021-04-08,234亿！4家上市险企资产减值骤增六成 资产异常,证券时报
2933,2021-04-07,委托未取得合法资格的机构从事保险销售活动 太保财险鸡西中支合计被罚7万元 金融监管处罚,北京商报
2934,2021-04-07,大型寿险公司如何应对转型阵痛：场景化健康管理或为新选择,澎湃新闻
2935,2021-04-07,36公司获得推荐评级-更新中,中财网
2936,2021-04-07,中国太保(02601.HK)：John Robert DACEY的董事任职资格获核准,格隆汇
2937,2021-04-07,中国太保(02601)：John Robert DACEY担任公司董事的任职资格获核准,智通财经
2938,2021-04-07,又一轮人事变动潮 中国人寿、中国人保等大型险企密集调整干部,新浪
2939,2021-04-07,【权益变动】中国太保(02601-HK)被摩根大通减持2138.9263万股 减持股份,财华社
2940,2021-04-07,红杉成为上海全球招商合作伙伴首批成员 京沪双总部驱动战略提速,新浪
2941,2021-04-07,【浙商策略】近期股票回购动态 | 流动性估值跟踪,王杨策略研究
2942,2021-04-07,智通港股通活跃成交|4月7日,智通财经
2943,2021-04-07,中国太保(601601.SH)：JohnRobertDacey董事任职资格获核准,格隆汇
2944,2021-04-07,北水动向(4.7)|北水净流入8.49亿 半导体板块受追捧 中芯国际(00981)获逾7亿增持,智通财经
2945,2021-04-07,瑞信：维持中国太保(2601.HK)跑赢大市评级目标价45港元,格隆汇
2946,2021-04-07,格隆汇个股放量排行榜 | 4月7日,格隆汇
2947,2021-04-07,上市保险公司2020年年报综述：谁无暴风劲雨时 守得云开见月明,新浪
2948,2021-04-07,信达证券--非银行金融行业对比美国、日本分析：时不我待，我国三支柱养老体系建设【行业研究】,金融界股吧
2949,2021-04-07,QFII“A股购物车”抢先看：去年四季度增持26股，新进101股，化工板块被大举抢购！,中国财富网
2950,2021-04-07,美银证券：中国太保(2601.HK)去年业绩符预期 升目标价至44.3港元,格隆汇
2951,2021-04-07,港股午评：恒指跌0.65%科技股重挫 国美零售涨超7%,金融界
2952,2021-04-07,恒指高开低走半日跌0.65% 金融业走弱,中新经纬
2953,2021-04-07,港股午评：恒指跌0.65%港口航运股爆发中远海控一度大涨30%,格隆汇
2954,2021-04-07,【招商非银|保险】20年报总结&一季报前瞻：寿险缓慢好转，财险有待出清,莲花山士丹利金融研究
2955,2021-04-07,盯上结构性机会 险企看好权益市场投资,中证报
2956,2021-04-07,外资首季“扫货”保险股 对中国太保持股量猛增43%,证券日报
2957,2021-04-07,节后金融股集体大跌：中国太保跌超8% 净利同比减少11% 盈利能力下降,新浪
2958,2021-04-07,一季度保险业罚款猛增46% 这些罚单背后5大趋势显现 金融监管处罚,新浪
2959,2021-04-07,周评|人保“罗氏旋风”背后,云掌财经
2960,2021-04-07,光大证券--非银金融行业周报：互联网人身险财险分化，券商板块关注度逐渐提升【行业研究】,金融界股吧
2961,2021-04-07,【异动股】中国太保(02601-HK)跌6.91%,财华社
2962,2021-04-07,港股异动 | 中国太保(02601)重挫逾8% 此前公布年度净利润减少11.4%至245.84亿元 盈利能力下降,智通财经
2963,2021-04-07,顺丰收购保险代理牌照 要开始卖保险了吗？,新浪
2964,2021-04-07,港股保险股走弱，中国太保跌近9%,Wind
2965,2021-04-07,非银金融行业周观点：一季度业务数据向好 券商业绩预计维持增长势头,新浪
2966,2021-04-07,【行情】部分港股保险股走弱，中国太保跌超6%，中国太平跌超2%，友邦保险跌1.4%，新华保险跌0.8%,金十数据
2967,2021-04-07,再创佳绩-倍特期货秦安苹果“保险+期货”项目赔付率达217%,倍特期货
2968,2021-04-07,人口老龄化高峰将至 保险业如何蓄力养老金融,中国金融新闻网
2969,2021-04-07,上市险企寿险业务：经历疫情大考 坚定走高质量发展之路,中国金融新闻网
2970,2021-04-07,上市险企财险业务：调整转型持续深入 非车险新动力释放,中国金融新闻网
2971,2021-04-07,上市险企布局科技锚定未来竞争力,中国金融新闻网
2972,2021-04-07,66只港股获南向资金大比例持有,证券之星
2973,2021-04-07,智通港股通占比异动统计|4月7日,智通财经
2974,2021-04-07,保险行业：金融板块AH股折溢价分析和择时策略,新浪
2975,2021-04-07,智通港股通资金流向统计(T+2)|4月7日,智通财经
2976,2021-04-07,【非银】2020年投资端表现亮眼，负债端受疫情冲击的程度和持续性超出预期，短期承压不改长期向好趋势,天风研究
2977,2021-04-07,广发证券：经济复苏及海外债券利率上升有望推动利率上行修复保险股估值,证券时报网
2978,2021-04-07,盯上结构性机会，险企看好权益市场投资,Wind
2979,2021-04-07,盯上结构性机会险企看好权益市场投资,中证报
2980,2021-04-06,专家观点|苏罡：发挥养老保险公司专业价值助力养老保障第三支柱建设,搜狐
2981,2021-04-06,看好今年A股投资！险企加大调研步伐，这两类公司最受青睐,中证报
2982,2021-04-06,金融行业周报(第十三周),新浪
2983,2021-04-06,投资银行业与经纪业行业每周一话：券商配置价值仍在提升 持续推荐行业龙头,新浪
2984,2021-04-06,引入平安背景毛伟标担任董事长 京东安联意欲发力互联网寿险？,新浪
2985,2021-04-06,非银行业周报：车险综合改革初见成效 券商估值逐步筑底,新浪
2986,2021-04-06,大V投顾说 | 回暖四月 内外改善 静候佳音,天风证券
2987,2021-04-06,2020年财险综合成本率小幅抬升：个别地区车险综合费用率不降反升,21世纪经济报道
2988,2021-04-06,险资频繁减持银行股透露信号 保险机构业绩承压或意在获利了结释放利润 减持股份,财联社
2989,2021-04-06,零壹保险科技周报(3.29日-4.4日)：银保监正组织制定数字化转型专项监管政策；人保寿险与京东科技达成合作,零壹财经
2990,2021-04-06,开源证券--非银金融行业周报：账户管理功能有望优化，券商板块攻守兼备【行业研究】,金融界股吧
2991,2021-04-06,【国君非银】负债端改革逐渐清晰，行业分化将加剧——上市险企2020年报综述及2021一季报前瞻,欣琦看金融
2992,2021-04-06,非银金融行业跟踪：市场趋稳 低估值券商板块望迎估值修复,新浪
2993,2021-04-06,智通港股通占比异动统计|4月6日,智通财经
2994,2021-04-06,中国太保管理层详解实现高质量发展新路径,中国金融新闻网
2995,2021-04-06,【银河金融张一纬】公司点评丨中国太保 (601601)丨新业务价值承压，非车险保费增速靓丽,中国银河证券研究
2996,2021-04-06,智通港股通资金流向统计(T+2)|4月6日,智通财经
2997,2021-04-06,银发时代来临：完善养老保险体系 充实居民养老“钱袋子”,新浪
2998,2021-04-05,海外策略｜海外“全中国组合”—2021年4月,中信证券研究
2999,2021-04-05,个人储蓄性养老金来了，你愿意参加吗？,看看社保
3000,2021-04-05,中信证券：3月A股、港股延续节后调整 没看到资金流出新兴市场,新浪
3001,2021-04-05,智通港股通占比异动统计|4月5日,智通财经
3002,2021-04-05,智通港股通资金流向统计(T+2)|4月5日,智通财经
3003,2021-04-04,开源金股四月推荐；深市主板和中小板合并水到渠成丨一周重点研究报告,开源证券研究所
3004,2021-04-04,2020年上市保险公司交出怎样的成绩单？,央视
3005,2021-04-04,去年上市保险公司成绩单：退保状况改善 净利润均同比下降 盈利能力下降,央视
3006,2021-04-04,犀牛财经早报：优步拒载盲人被罚款8家基金公司被责令改正,GPLP犀牛财经
3007,2021-04-03,公募赚钱能力大比拼，12家基金公司净利润超十亿，二八分化，中小基金超车难度加大,财联社
3008,2021-04-03,QFII四季度持仓图谱曝光继续重仓医药、科技周期行业化工被加仓,证券之星
3009,2021-04-03,保险行业2020年报回顾：寿险保费与价值均承压 产险综合成本率有待改善,新浪
3010,2021-04-03,3月银保监会开出1800万元罚单，罚了谁？ 金融监管处罚,中国财富网
3011,2021-04-02,揭秘高瓴、高盛、阿布扎比、美林投资路径：继续重仓医药、科技，周期行业化工被加仓,红周刊
3012,2021-04-02,“安联系”险企人事大腾挪：寿险引财险 财险引外援,新浪
3013,2021-04-02,上市险企双面年报：净利润普降，投资收益增35% 盈利能力下降,财经网
3014,2021-04-02,陆港通每周复盘 | 南下资金扫货腾讯、小米集团，抛售美团、中芯国际,金融界
3015,2021-04-02,长城策略*月度金股‖四月（汪毅，王小琳）,长城研究--宏观策略
3016,2021-04-02,中国人保多事之秋：卷入6000万假保单案 如何重回C位？,新浪
3017,2021-04-02,理财日报：六大行现金分红超3400余亿创新高 基金经理调研个股受追捧,中金在线
3018,2021-04-02,疫情下的冲击与转机：五大上市险企2020年业绩评论,格隆汇
3019,2021-04-02,"而立太保非常时刻：新业务价值大幅下滑27.5% 超强""外脑""能否破局 盈利能力下降",新浪
3020,2021-04-02,4月2日保险日报：车险综改后89%的保单签单保费下降,新浪
3021,2021-04-02,[完片服务]落地上海科技影都影视金融平台—太保携拍片保助力,消费日报网
3022,2021-04-02,【异动股】保险板块下挫，西水股份(600291-CN)跌5.03%,财华社
3023,2021-04-02,蔡强点出加入太保三大原因 两上市险企迎来新副总,金融界
3024,2021-04-02,五大上市险企去年归母净利润同比齐降 保险科技已成重要生产力 盈利能力下降,新浪
3025,2021-04-02,人保“5855”在寿险总部兑现：傅安平卸任!“5+2”大调整即将开启？,金融界
3026,2021-04-02,销售每日AH推荐,新浪
3027,2021-04-02,南向资金高比例持有港股名单,证券之星
3028,2021-04-02,广发证券：随着年报的披露，保险负债端最黑暗的阶段已经过去,证券时报网
3029,2021-04-02,社保QFII持股路径曝光，化工电子板块各有所爱,Wind
3030,2021-04-02,中国太保举行2020业绩发布会：互联网医院已获牌照,中证网
3031,2021-04-01,太保副总裁马欣：用市场化机制去破局 让大健康成为太保新增长极,上证报
3032,2021-04-01,2020中国太保业绩亮眼 将加大权益类投资和未上市股权配置,第一财经
3033,2021-04-01,金融业薪酬大比拼：去券商做打工人，去保险做高管,Wind
3034,2021-04-01,蔡强加盟太保寿险“首秀”业内：入职或将补足公司中心城区“短板”,北京商报
3035,2021-04-01,寿险转型如何？今年投资怎么做？中国太保业绩会上一一回应,第一财经
3036,2021-04-01,王文出任人保寿险临时负责人；2020年第四季度保险消费投诉数量增23%|慧保日报4.1,搜狐
3037,2021-04-01,2021年中国太保将侧重非上市股权等权益资产配置四项措施全面推进车险综改,证券之星
3038,2021-04-01,加盟太保寿险后首亮相 蔡强回应转会三大原因,北京商报
3039,2021-04-01,社保QFII最新调仓！两类资金分歧巨大,Wind
3040,2021-04-01,社保QFII最新调仓！两类资金分歧巨大,中证报
3041,2021-04-01,蔡强履新太保“首秀”：“有三个信心让自己选择加入”,21世纪经济报道
3042,2021-04-01,中国太保孔庆伟：互联网医院可运营 4季度成都太保家园开园,新浪
3043,2021-04-01,太保寿险潘艳红： 坚守价值与地位稳固并不矛盾,奥一网
3044,2021-04-01,太保寿险拟任总经理蔡强：三大原因吸引我加入太保,奥一网
3045,2021-04-01,太保寿险拟任总经理蔡强首秀：带着一张白纸来的，先望闻问切,澎湃新闻
3046,2021-04-01,太保寿险拟任总经理兼CEO谈加入太保：对太保有三大信心,新浪
3047,2021-04-01,违规返佣顽疾难除保险业病灶待根治 金融监管处罚,北京商报
3048,2021-04-01,机构评级榜：8股最受关注机构集体推荐,证券时报网
3049,2021-04-01,Schroders Plc增持中国太保(02601)327.8万股，每股作价约31.41港元,智通财经
3050,2021-04-01,中国保险行业协会保险营销专委会组织召开专题交流会,中保协
3051,2021-04-01,2020年第四季度险企消费投诉同比增22.82%车险、保证险成财险投诉头部险种,证券之星
3052,2021-04-01,独家丨人保寿险人事调整：免去傅安平总裁职务，任命王文为临时负责人 董监高成员变化,上证报
3053,2021-04-01,4月1日保险日报：不足百元“惠民保”火遍全国,新浪
3054,2021-04-01,华夏人寿坎坷投资路,云掌财经
3055,2021-04-01,保险Ⅱ行业2020年报综述：黑暗已过 破晓在即,广发证券
3056,2021-04-01,光大证券--非银金融行业周报：保险渠道改革进行时，券商估值性价比凸显【行业研究】,金融界股吧
3057,2021-04-01,长城证券--中国太保2020年业绩点评：新业务价值短期承压，2021年开门红业绩助力边际改善【公司研究】,金融界股吧
3058,2021-04-01,将ESG理念融入经营管理 这家头部险企带来哪些高质量发展新思路？,投资时报
3059,2021-04-01,【异动股】中国太保(02601-HK)涨3.26%,财华社
3060,2021-04-01,"券商3月金股组合""战绩""：27个组合全部亏损 华金最差 亏损",新浪
3061,2021-04-01,保险概念股盘中异动拉升 海德股份等涨停,中国经济网
3062,2021-04-01,中国银河--中国太保：新业务价值承压，非车险保费高增【公司研究】,金融界股吧
3063,2021-04-01,【兴证金融 傅慧芳】金融板块AH股折溢价分析和择时策略,兴证金融
3064,2021-04-01,新鲜出炉！4月券商金股名单来了这些个股获多家机构青睐,和讯
3065,2021-04-01,保险股：新周期起点？,中保网
3066,2021-04-01,【新时代非银 鲍淼团队】保险行业：保险行业2021年1至2月概况,新时代证券研究
3067,2021-04-01,【银河晨报】4.1丨机械：减税促进制造业研发创新，驱动高端制造景气发展,中国银河证券研究
3068,2021-04-01,重磅 | 2020年度业绩超预期个股TOP60,中信建投证券研究
3069,2021-04-01,搭建ESG顶层设计 可持续发展催生而立太保长期发展新活力,第一财经
3070,2021-04-01,智通港美股会议日历|4月1日,智通财经
3071,2021-03-31,北上资金3月份净买入187.11亿元连续6个月净买入,证券时报网
3072,2021-03-31,2021年2月保险行业月报数据点评：健康险继续高增股基投资占比逆势回落,新浪
3073,2021-03-31,五大A股上市险企核心指标大PK 谁是专项“王者”？,新浪
3074,2021-03-31,【权益变动】中国太保(02601-HK)获SchrodersPlc增持327.8万股,财华社
3075,2021-03-31,灵犀科技：互联网保险赛道创新企业，广泛布局多类保险场景,零壹财经
3076,2021-03-31,Schroders Plc增持中国太保股份约327.80万股,每日经济新闻
3077,2021-03-31,中国太保(601601)：新业务价值承压 非车险保费增速靓丽,新浪
3078,2021-03-31,141股今日获机构买入评级30股上涨空间超20%,证券时报网
3079,2021-03-31,小摩增持中国太保(02601)约501.64万股，每股作价30.21港元,智通财经
3080,2021-03-31,保险行业3月跟踪报告：代理人模式面临中长期变革 板块收益回落估值承压,新浪
3081,2021-03-31,3月31日晚间重要行业研究汇总(附股),中金在线
3082,2021-03-31,国寿、平安去年代理人规模合计降近40万人 银保渠道成上市险企业务增长新动能,每日经济新闻
3083,2021-03-31,五大上市险企大比拼：谁的净利润增速快？谁最稳健？,搜狐
3084,2021-03-31,国元农险股权、人事双双变动 大股东再提上市目标,华夏时报
3085,2021-03-31,安信证券维持中国太保买入评级：负债承压低点已过，转型革新积极展望，目标价45元,每日经济新闻
3086,2021-03-31,基金经理投资风格图谱（一）：价值风格,养基司令
3087,2021-03-31,险资最新重仓股名单曝光：最青睐金融板块 权益投资成绩靓丽,中证报
3088,2021-03-31,2020年A股上市险企高管年薪谁最强？,证券日报
3089,2021-03-31,【异动股】中国太保(02601-HK)跌3.02%,财华社
3090,2021-03-31,交银国际：中国太保维持买入评级 目标价升至40港元,新浪
3091,2021-03-31,非车险保费规模占比超七成 健康保险连续六年增长,中投网
3092,2021-03-31,中国太保：服务全面推进乡村振兴 农险持续高速增长,财经网
3093,2021-03-31,66只港股获南向资金大比例持有,证券时报网
3094,2021-03-31,193股获券商买入评级，宇通客车目标涨幅达83.49%,Wind
3095,2021-03-31,开源证券--新定义下重疾产品研究深度报告：新定义引发产品策略切换，差异化保障服务成关键【行业研究】,金融界股吧
3096,2021-03-31,国信证券--中国太保2020年点评：寿险四季度持平，财险非车高增长【公司研究】,金融界股吧
3097,2021-03-31,区域性国资国企综改试验成效明显 混改、推进资产证券化成重头戏,上证报
3098,2021-03-31,权益投资“出彩”，险资最新重仓股名单曝光,Wind
3099,2021-03-31,公募大年水涨船高，11家基金公司去年净赚均超10亿元,Wind
3100,2021-03-31,2020年A股上市险企高管年薪谁最强？,Wind
