,2021-12-21,华峰化学：目前公司聚氨酯原液产销平衡,Wind
287,2021-04-26,化工板块2021Q1持仓分析：环比持续改善 中小市值公司获得加持,新浪
288,2021-04-26,险资一季度调仓路径曝光！华峰化学受三大保险机构热捧 天下秀被太保大幅加仓,财联社
289,2021-04-26,一季度国寿等3险企新进华峰化学太保大力加仓天下秀,新浪
290,2021-04-23,67只绩优龙头股名单出炉！北上资金扫货名单曝光,Wind
291,2021-04-22,【开源化工】华峰化学一季报点评报告：Q1归母净利接近预告上限，看好公司长期成长,Au化工
292,2021-04-22,华峰化学扣非狂飙 中金降目标价首季兴全谢治宇减持 机构下调估值,中国经济网
293,2021-04-22,利好公告：华峰化学一季度净利润同比增长502%,云掌财经
294,2021-04-21,华峰化学：2020年净利润22.79亿元 同比增23.77%,e公司
295,2021-04-21,华峰化学(002064.SZ)：2020年度净利升23.77%至22.79亿元拟10派1元,格隆汇
296,2021-04-21,华峰化学(002064.SZ)一季度归母净利同比增长501.67%至16.4亿元,智通财经
297,2021-04-21,华峰化学：一季度净利润同比增长501.67%,Wind
298,2021-04-21,华峰化学：2020年净利润同比增长23.77%,Wind
299,2021-04-21,高增长低估值+机构扎堆推荐，市盈率最低1.5倍（附表）,Wind
300,2021-04-20,化工行业有望维持高景气度,大众证券报
301,2021-04-20,化工行业有望维持高景气度,证券之星
302,2021-04-19,中国银河--化工行业周报：碳酸二甲酯、丙烯酸及酯价格上涨，重点关注龙头企业表现【行业研究】,金融界股吧
303,2021-04-19,机构抱团股大反攻！聪明资金埋伏一季报个股名单曝光,Wind
304,2021-04-15,【开源化工】华峰化学2020业绩快报&一季报预告点评：氨纶紧平衡格局持续确立，公司业绩持续环比增长,Au化工
305,2021-04-15,浙商证券--华峰化学年度业绩快报&一季度业绩预告点评：Q1业绩靓丽，氨纶量价双升【公司研究】,金融界股吧
306,2021-04-14,开源证券--华峰化学：氨纶紧平衡格局持续确立，公司业绩持续环比增长【公司研究】,金融界股吧
307,2021-04-14,浙商证券--化工行业周报：化工一季度业绩靓丽，化工品景气度持续回升【行业研究】,金融界股吧
308,2021-04-14,国信证券--华峰化学2021年一季报预告&2020年年报快报点评：坚守自主创新高质量发展，业绩创新高再超预期【公司研究】,金融界股吧
309,2021-04-14,从可降解塑料推涨BDO，看己二酸未来趋势,金融界
310,2021-04-14,华峰化学需求复苏前三月预盈逾14.5亿 三大系列产品国内市占率稳居第一,长江商报
311,2021-04-13,国信证券：华峰化学(002064.SZ)坚守自主创新高质量发展，维持“买入”评级,智通财经
312,2021-04-13,A股异动|华峰化学(002064.SZ)涨逾4%一季度预盈同比增长431.94%-505.32%,格隆汇
313,2021-04-13,中国银河--化工行业周报：醋酸系列价格大幅上扬，重点关注龙头企业表现【行业研究】,金融界股吧
314,2021-04-12,晚间要闻2021年4月12日星期一,Wind
315,2021-04-12,华峰化学(002064.SZ)业绩快报：2020年度净利润升23.71%至22.78亿元,格隆汇
316,2021-04-12,华峰化学(002064.SZ)一季度预盈14.5亿-16.5亿元同比增长431.94%-505.32%,格隆汇
317,2021-04-12,晚间重要公告2021年4月12日星期一,Wind
318,2021-04-12,华峰化学(002064.SZ)2020年度归母净利润同比增长23.71%至22.78亿元,智通财经
319,2021-04-12,华峰化学(002064.SZ)第一季度归母净利同比预增431.94%-505.32%,智通财经
320,2021-04-12,华峰化学：2020年净利润同比增长23.71%（业绩快报）,Wind
321,2021-04-12,华峰化学：预计一季度净利同比增432%-505%,格隆汇
322,2021-04-12,华峰化学：预计一季度净利润同比增长431.94%至505.32%,Wind
323,2021-04-12,基础化工行业周报：钛产业链价格再创新高 继续建议双主线布局,新浪
324,2021-04-12,化工周报：钛白粉、醋酸大幅上涨 一季报进入兑现期 关注Q2基本面持续向好的细分龙头,新浪
325,2021-04-12,化工行业：PPI上升较快影响短期超额收益率 看好产能周期下化工景气持续,新浪
326,2021-04-12,平安证券--化工行业一季报业绩前瞻：关注一季报业绩超预期子行业和上市公司【行业研究】,金融界股吧
327,2021-04-12,化工行业周报：Q1业绩持续向上共振 万华Q1业绩创历史新高,新浪
328,2021-04-12,醋酸价格再破新高，万华一季报创新高超预期,中信建投证券研究
329,2021-04-09,化纤板块跌超3%，恒力石化、荣盛、东方盛虹、华峰、桐昆集体走低,Wind
330,2021-04-09,化工行业周报：化工一季度业绩靓丽 化工品景气度持续回升,新浪
331,2021-04-09,扎堆调研化工股成基金增仓新风向,Wind
332,2021-04-07,石油天然气、化工行业中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,新浪
333,2021-04-02,OPEC+4月会议点评：OPEC+增产是对全球石油需求有着更为乐观的预期,光大证券
334,2021-03-31,开源证券--化工行业周报：化工板块企稳迎配置良机，万华化学布局石化产业链【行业研究】,金融界股吧
335,2021-03-31,揭秘北上资金：连续5日加仓这些个股，海尔生物、金牌厨柜、华峰化学等排名靠前（附名单）,每日经济新闻
336,2021-03-29,化工行业周观点：钛白粉、PVC、草甘膦中期涨势或将持续,西南证券
337,2021-03-29,化工行业周报：欧洲重新封城 原油价格回落,新浪
338,2021-03-29,化工行业：万华推进福建工业园一体化布局 行业价格回调力度较小,新浪
339,2021-03-28,收官在即！一季度基金业绩如何？,Wind
340,2021-03-28,石油天然气、化工行业：化工行情的三个核心关注之“三问三答”,新浪
341,2021-03-26,化工专题：行业集中度提升 会带来哪些影响？,新浪
342,2021-03-24,【华峰化学 | 氨纶、己二酸行业双龙头的再度起航】-国信证券,化工林谈
343,2021-03-24,券商首次关注3股并给予买入评级（3月24日）,Wind
344,2021-03-24,95股获券商买入评级，昊海生科目标涨幅达91.78%,Wind
345,2021-03-23,华峰化学(002064)：氨纶、己二酸行业双龙头的再度起航,新浪
346,2021-03-23,A股全面回暖！聪明资金再度返场，众泰停牌核查,Wind
347,2021-03-22,华峰化学跌4.4%兴全高毅平安基金持股 中金最高点唱多,中国经济网
348,2021-03-22,持有80只A股，市值或达500亿，3张图看清高毅资产持仓情况！,Wind
349,2021-03-22,化工行业周报：年报和一季报季在即 关注二线龙头兑现高弹性,新浪
350,2021-03-22,中国银河--化工行业：电石、PVC等价格大幅上扬，关注细分龙头业绩表现【行业研究】,金融界股吧
351,2021-03-18,解盘：超百亿资金流入，医美、化工、白酒、工业金属领涨,Wind
352,2021-03-15,化工行业周报：继续推荐核心资产及低估值高景气标的 关注碳中和受益标的,新浪
353,2021-03-15,“炼化-化纤”产业链周报：涤纶长丝价格及价差持续向好,新浪
354,2021-03-15,交易一季报，重视周期回调机会,中信建投证券研究
355,2021-03-12,化学纤维行业：尼龙66产业链供给受限 产品价格突破4万元／吨,新浪
356,2021-03-10,【开源化工】化纤行业点评：看好化纤行业2021年度全年持续高景气行情，近期市场非理性杀跌迎来配置良机,Au化工
357,2021-03-10,58股获券商买入评级 伟创电气目标涨幅达80.77%,Wind
358,2021-03-09,基础化工行业投资周报：化工行业景气上行 继续推荐氨纶、轮胎、PVA,新浪
359,2021-03-09,化工行业2021一季度化工经营前瞻：产品价格持续上涨 关注聚氨酯、纺服原料、钛白粉和煤化工龙头,新浪
360,2021-03-08,华峰化学(002064)：双赛道龙头 产品景气度持续复苏,新浪
361,2021-03-08,化工行业周报：油价新高 继续坚守龙头并增配低估值弹性标的,新浪
362,2021-03-07,化工行业周报：价格价差持续上扬 关注细分龙头业绩表现,新浪
363,2021-03-06,石油化工行业研究：OPEC+3月4日部长级会议点评：OPEC+延长减产计划 油价崛起,光大证券
364,2021-03-06,石化化工行业近期行情点评：短期调整不改长期逻辑 坚定长期看好石化化工板块行情,光大证券
365,2021-03-04,华峰化学：第一季度业绩预告将不晚于4月15日披露,每日经济新闻
366,2021-03-04,3月4日板块复盘：“钢铁侠”是怎么炼成的？这一板块竟然掀起涨停潮！,中金在线
367,2021-03-04,免费研报精选：“碳中和”是长达40年的主题投资机会！利好四大主线（附标的）,中金在线
368,2021-03-04,沪江材料答北交所审查问询函，生产经营合规性等受关注 问询,资本邦
369,2021-03-04,石油化工＆基础化工行业2021年春季策略报告：后疫情时代下四大投资主线 龙头白马、周期成长、周期反转与成长突破,光大证券
370,2021-03-03,氨纶产品价格大涨，行情火热背后的逻辑是什么？,中国纺织报
371,2021-03-03,中泰证券--化工：从恢复到景气，看当下化工的位置与节奏【行业研究】,金融界股吧
372,2021-03-01,化工周报：本轮化工周期更似07-08年 全球化工制造业基本恢复 坚定看好化工板块行情,新浪
373,2021-03-01,化工行业周报：化工行业景气指数单周大涨6.22%,新浪
374,2021-03-01,化工行业周报：坚守龙头 建议重点配置低估值周期景气标的,新浪
375,2021-03-01,化工产品迎来史诗级上涨 化工龙头股票有哪些？,至诚财经
376,2021-03-01,化工板块多股涨停，价格十年新高产品屡现，一线龙头获益,第一财经
377,2021-03-01,化纤行业涨势强劲，美达股份、新乡化纤、苏州龙杰涨停,金融界
378,2021-03-01,中信建投：化工行业一季度季度业绩有望大幅增长，回调正是买入时，无惧调整,证券时报网
379,2021-03-01,中泰证券：化工行业仍处于景气确定性较高阶段，行业龙头有望持续享受估值上行,证券时报网
380,2021-02-28,全产业链价格价差研究：价格价差迎来普涨 关注细分龙头业绩表现,新浪
381,2021-02-28,化工景气指数高涨，Q1业绩有望大幅增长，无惧回调,中信建投证券研究
382,2021-02-26,基础化工-氨纶行业研究报告：原料BDO支撑强劲 氨纶价格持续上涨,新浪
383,2021-02-26,【氨纶行业研究报告】原料BDO支撑强劲，氨纶价格持续上涨-国信证券,化工林谈
384,2021-02-25,新乡化纤、华峰化学等高台跳水，化纤板块急速下滑,Wind
385,2021-02-25,化纤股强力反弹，恒逸石化、神马股份、桐昆股份、华峰化学、恒力石化大涨,Wind
386,2021-02-24,恒力石化、荣盛石化、华峰化学、桐昆股份大跌，化纤板块下挫逾3%,Wind
387,2021-02-24,去年以来涨幅超8成！氨纶企业满负荷生产，正酝酿新一轮涨价,财联社
388,2021-02-24,行业观察|需求持续旺盛叠加原材料压力 氨纶酝酿新一轮涨价,财联社
389,2021-02-24,华峰化学(002064)：突破十年价格高点 如何看待氨纶后市走势？,新浪
390,2021-02-23,股价创历史新高股一览,证券之星
391,2021-02-23,首创证券--化工行业周报：丁辛醇价格跳涨，化工景气持续复苏【行业研究】,金融界股吧
392,2021-02-23,中信建投：需求上升库存下降，顺周期配置铜铝,Wind
393,2021-02-23,中信建投：2021年化工行业仍将是供需周期带动景气复苏之年,Wind
394,2021-02-23,供需缺口明显，化工品迎全面涨价潮,Wind
395,2021-02-22,冯柳、邓晓峰等多只有色、化工重仓股暴涨 有标的或已浮盈超50亿,新浪
396,2021-02-22,泰和新材(002254)：氨纶价格持续大涨 芳纶扩产成长性强,新浪
397,2021-02-22,化工行业周观点：需求与油价共振 节后化工品价格跳涨,新浪
398,2021-02-21,氨纶行业景气度持续提升 龙头公司一季度业绩无忧,国元证券订阅号
399,2021-02-20,化学纤维：尼龙66产业链供给受限 产品价格持续看涨,新浪
400,2021-02-19,化工行业：周期风云再起 大化工机遇何在？,新浪
401,2021-02-18,A股价值龙头50强出炉，低位低估值+高ROE白马，社保险资长线重仓股集中营，持续高增长股揭秘,金融界
402,2021-02-09,化工股逃出“冷宫”变热门，涨停频现，首只化工类ETF基金出炉,AI财经社
403,2021-02-09,解盘：金融股低迷，稀土、医美、大飞机、新能源领涨,Wind
404,2021-02-08,氨纶半年猛涨60%还供不应求 行业龙头急扩产能,上证报
405,2021-02-08,化工行业动态：景气指数与油价持续上攻 回调买入时 不改景气上行,新浪
406,2021-02-08,化工行业：化纤产业链趋势性上涨 关注细分龙头业绩表现,新浪
407,2021-02-08,2年7倍光伏龙头突曝大消息，股东“甩卖”158亿,证券时报网
408,2021-02-08,A股早报2021年2月8日星期一,Wind
409,2021-02-08,石油化工行业“炼化-化纤”产业链周报：沙特自愿额外减产100万桶／天 油价创一年新高,新浪
410,2021-02-08,逾1400亿解禁潮来袭 4股解禁市值超50亿 解禁,证券时报
411,2021-02-07,化工行业周度观点21W6：化工景气趋势不改 重申推荐观点,新浪
412,2021-02-07,暴涨超20%！有科技股基金经理发话了：转战化工！,中国基金报
413,2021-02-07,开源证券--化工行业周报：磷肥价格强势运行，节前各化纤品种库存涨跌互现【行业研究】,金融界股吧
414,2021-02-07,中泰金工定向增发跟踪周报（02/07）,ZTQuant
415,2021-02-07,下周操盘攻略：深交所主板和中小板合并，优化中长期资金入市环境,Wind
416,2021-02-07,下周1466亿市值限售股解禁，环比增加96.93% 解禁,Wind
417,2021-02-05,化工行业投资组合(2月份),新浪
418,2021-02-05,恒力石化放量下挫逾7%打击化纤板块，荣盛、桐昆、华峰化学、东方盛虹跟跌,Wind
419,2021-02-05,华峰化学(002064)：氨纶复苏，己二酸受益于可降解塑料,方正证券研究
420,2021-02-05,【晨观方正】非银/海外·互联网/电子/社服/化工/电新20210205,方正证券
421,2021-02-03,东兴证券--华峰化学:加速迈向全球氨纶巨头【公司研究】,金融界股吧
422,2021-02-03,2月定增股解禁看点多：有人浮盈3倍多 有人浮亏超50% 解禁,上证报
423,2021-02-03,2月定增股解禁看点多：宁德时代定增解禁成焦点 解禁,上证报
424,2021-02-02,华峰化学(002064.SZ)：约3.35亿股限售股2月8日解禁 解禁,格隆汇
425,2021-02-01,浙商证券：1月金股组合盈利11.91% 2月荐股名单出炉,新浪
426,2021-02-01,基础化工行业周报：油价上涨 苏氨酸价格大涨 MDI挂牌价环比持稳,新浪
427,2021-02-01,十大券商点出2月份“金股”！四行业最集中,Wind
428,2021-01-31,券商2月金股出炉：这些股获力挺，看好业绩拐点品种,第一财经
429,2021-01-31,化工持仓逐季攀升，玉米深加工产业链领涨,中信建投证券研究
430,2021-01-30,2月买什么？这家公司和这一行业最受券商青睐,财联社
431,2021-01-30,华龙投顾月观点2021年第2期 总第30期,新浪
432,2021-01-29,华峰化学再次扩产氨纶总产能将超50万吨 20多年从引进到反超成长为全球龙头企业,长江商报
433,2021-01-29,投资组合报告：2021年二月策略金股报告,新浪
434,2021-01-29,A股异动|华峰化学(002064.SZ)涨7%股价再创历史新高,格隆汇
435,2021-01-29,华峰化学(002064)：氨纶景气度回升 龙头持续扩产彰显发展雄心,新浪
436,2021-01-28,浙商证券--华峰化学公告点评：打造全球龙头，拟6年新建30万吨氨纶【公司研究】,金融界股吧
437,2021-01-28,石油化工行业专题报告：化工行业投资组合(1月份),新浪
438,2021-01-27,【浙商化工陈煜∣华峰化学】打造全球龙头，拟6年新建30万吨氨纶,醇萃化工研究
439,2021-01-27,华峰化学(002064)：30万吨差别化氨纶项目建设巩固公司龙头地位,西南证券
440,2021-01-27,西南证券--华峰化学：30万吨差别化氨纶项目建设巩固公司龙头地位【公司研究】,金融界股吧
441,2021-01-27,化工板块反抽，皖维高新涨停,Wind
442,2021-01-27,需求旺盛化纤价格大幅上涨 相关公司望受益,证券之星
443,2021-01-27,华峰化学(002064)：布局30万吨差别化氨纶 进一步夯实成本优势,光大证券
444,2021-01-26,华峰化学(002064)：力争成为全球最大氨纶公司 拟投建30万吨差别化项,新浪
445,2021-01-26,华峰化学(002064)：强势加码30万吨氨纶 迈向全球龙头,新浪
446,2021-01-26,石化行业周报：行业修复空间仍在 关注涤纶化纤投资机会,新浪
447,2021-01-26,化工行业板块2020Q4持仓分析：配置比例提升 增配顺周期成长龙头,新浪
448,2021-01-26,开源晨会0127丨不可贪胜；胜利者的“陷阱”；城市住房问题，值得提到更高位置,开源证券研究所
449,2021-01-25,化工行业周观点：化纤等顺周期持续上涨 关注周期成长,新浪
450,2021-01-25,华峰化学：子公司拟投资43.6亿元建设300000吨/年差别化氨纶项目,e公司
451,2021-01-25,华峰化学(002064.SZ)：子公司拟43.6亿元投建30万吨/年差别化氨纶项目,格隆汇
452,2021-01-25,华峰化学(002064.SZ)聘任朱炫相为总经理,智通财经
453,2021-01-25,化工行业周报：农药板块迎来景气反转 关注细分龙头 继续推荐顺周期资产,新浪
454,2021-01-25,又一个景气度爆棚的行业，多家公司业绩爆发！,上证报
455,2021-01-24,年初至今化工涨幅第一，氨基酸大幅上涨,中信建投证券研究
456,2021-01-22,化工行业2020年报经营前瞻：曙光已现 聚氨酯、纺服原料、钛白粉表现抢眼,新浪
457,2021-01-22,【国信证券-化纤行业点评】化纤价格大幅上涨，看好产业链景气反转,化工林谈
458,2021-01-22,华峰化学（002064）机构调研与投资者问答精选（2021年01月21日）,e公司
459,2021-01-19,【浙商化工陈煜∣华峰化学】Q4 业绩大超预期，受益化纤景气改善,醇萃化工研究
460,2021-01-19,化工板块再度走强 润禾材料正丹科技等涨停,证券时报网
461,2021-01-19,华峰化学(002064)：2020年度业绩预告点评,光大证券研究
462,2021-01-19,化工板块持续爆发 关注四大投资主线,证券时报网
463,2021-01-19,A股早报2021年1月19日星期二,Wind
464,2021-01-19,绝地反击！这个板块数家公司业绩预计增幅超1000%,上证报
465,2021-01-19,化工｜化工行情持续爆发，关注四大投资主线,中信证券研究
466,2021-01-19,化工行业周报：化工景气仍在持续复苏 重点关注化纤投资机会,新浪
467,2021-01-18,涨停板解密：化工股迎涨停潮！（1月18日）,Wind
468,2021-01-18,74股今日获机构买入评级16股上涨空间超20%,证券时报网
469,2021-01-18,A股收盘综述：上证指数涨0.84%，创业板指涨近2%,Wind
470,2021-01-18,化工行业周报：粘胶涨价有望超预期 继续看好顺周期龙头,新浪
471,2021-01-18,A股午盘综述：上证指数涨0.7%，创业板指涨1.84%,Wind
472,2021-01-18,化纤板块集体走强华峰化学涨停,格隆汇
473,2021-01-18,可降解塑料概念股表现强势 华峰化学等涨停,中国经济网
474,2021-01-18,化工行业周报：化纤继续去库存 价差进一步扩大,新浪
475,2021-01-18,华峰化学(002064)：预计2020年度归母净利润同比增长8.,智通财经
476,2021-01-18,华峰化学：业绩超预期 看好景气修复,财富动力网
477,2021-01-17,华峰化学(002064)：氨纶困境反转，四季度业绩大超预期,中信建投证券研究
478,2021-01-16,华峰化学股份有限公司2020年度业绩预告,证券时报
479,2021-01-15,华峰化学：预计2020年净利润同比增长8.61%至35.76%,Wind
480,2021-01-13,机构资金最近入驻这些股,证券之星
481,2021-01-12,【金财富早知道】2021-01-13,赢家之星
482,2021-01-12,化工行业周观点：国际原油再创近期新高 丁二烯弱势下行,新浪
483,2021-01-12,石油化工＆基础化工行业2021年策略报告：后疫情时代下四大投资主线 龙头白马、周期成长、周期反转与成长突破,光大证券
484,2021-01-11,基础化工行业周报2021年1月第2周：液化气、VA本周涨幅居前 电石、丁二烯跌幅较大,新浪
485,2021-01-11,化工行业周报：原油价格持续反弹 加大顺周期行业龙头配置力度,新浪
486,2021-01-07,机构最近都在买哪些股？,证券之星
487,2021-01-07,A股早报2021年1月7日星期四,Wind
488,2021-01-06,龙虎榜机构新动向：净买入10股净卖出20股,证券时报网
489,2021-01-06,【金财富早知道】2021-01-07,赢家之星
490,2021-01-06,【6日资金路线图】主力资金净流出426亿元 龙虎榜机构抢筹华峰化学等15股,证券时报网
491,2021-01-06,涨停板解密：三板块个股纷纷受资金大力追捧（1月6日）,Wind
492,2021-01-06,华峰化学龙虎榜数据（1月6日）,Wind
493,2021-01-05,【化工-张汪强】需求复苏和补库共振，化工行业景气可期,安信证券研究
494,2021-01-04,化工行业周报：粘胶淡季不淡 看好化工核心资产及顺周期龙头,新浪
495,2021-01-04,华峰氨纶(002064)：公司名称及经营范围变更完成 业务变化,纺织网
496,2021-01-04,华峰氨纶(002064.SZ)自1月4日起证券简称变更为“华峰化学” 业务变化,格隆汇
497,2021-01-02,0104日报/禁塑令如期落地，可降解材料供不应求【东北基础化工】,东北基础化工
498,2021-01-01,氨纶供不应求价格翻倍化纤上市公司业绩飙涨,中国经营网
499,2020-12-31,策略研究报告：2021年十大金股,新浪
500,2020-12-31,投资策略专题：开源金股 1月推荐,新浪
501,2020-12-31,中信建投大周期团队最新研究观点,中信建投证券研究
502,2020-12-29,【方正化工】华峰化学事件点评：拟扩建30万吨差别化氨纶，氨纶龙头持续扩张,靠谱化工股
503,2020-12-29,中信建投：化工短期进入淡季，布局明年回调正是买入时,Wind
504,2020-12-28,化工行业动态：化工短期进入淡季 布局明年回调正是买入时,新浪
505,2020-12-28,市场要闻 | 北京“限塑10条”正式出台，这一板块有望迎接500亿市场,36氪
506,2020-12-28,化工行业周报：制冷剂、粘胶继续上涨 建议加大顺周期资产配置力度,新浪
507,2020-12-24,化纤板块持续拉升，荣盛石化、华峰氨纶涨超6%,Wind
508,2020-12-24,中信建投大周期团队最新研究观点,中信建投证券研究
509,2020-12-23,【研报掘金】需求复苏驱动价格盈利向好 看好化工顺周期龙头及优质成长股,证券时报网
510,2020-12-23,化工行业读财报系列之一：从化工龙头资本开支探寻成长性,新浪
511,2020-12-21,化工行业动态：原油、煤炭、天然气三大能源齐飙涨 夯实行业景气持续的判断,新浪
512,2020-12-18,【方正化工】化工周报：涤纶长丝、PTA持续涨价，玲珑轮胎董事长获安永企业家奖,靠谱化工股
513,2020-12-15,化工行业周观点：疫苗预期推动油价上行 醋酸继续强势,西南证券
514,2020-12-14,化工行业周报：醋酸、PVC价格持续上涨 继续推荐顺周期龙头标的,新浪
515,2020-12-14,国办提出加快推进快递包装绿色转型，行业发展空间广阔（附股）丨牛熊眼,第一财经
516,2020-12-09,华峰氨纶(002064)：诉讼进展 诉讼纠纷,证券时报网
517,2020-12-08,基础化工行业12月投资策略：行业景气上行 看好化工迎来“大”时代 维持“超配”评级,格隆汇
518,2020-12-07,化工2021年投资策略报告：周期强势复苏，材料战略崛起，维持“强于大市”评级,中信建投
519,2020-12-07,基础化工周报：钛白粉迎来新一轮涨价潮 有机硅供给缺口加大,新浪
520,2020-12-07,中信建投2021年化工投资策略展望：周期强势复苏 材料战略崛起,中信建投证券研究
521,2020-12-06,化工行业投资策略：海外复苏一致预期下 全球化工供给或有扰动 坚定看好大国化工在历史性机遇下快速崛起,新浪
522,2020-12-04,华峰氨纶(002064)公司深度报告：崛起的华峰 穿越周期 走向成长,新浪
523,2020-12-01,可降解塑料板块走强，机构：行业潜在需求空间巨大丨牛熊眼,第一财经
524,2020-12-01,利好政策频出 可降解塑料概念迎发展机遇,第一财经
525,2020-11-30,化工行业：周期景气仍在延续 原油、有机硅、钛白粉、醋酸继续冲高,新浪
526,2020-11-30,再迎政策利好，可降解塑料概念持续走强，关注龙头企业,第一财经
527,2020-11-30,基础化工周报：万华MDI挂牌价环比不变 看好MDI景气持续,新浪
528,2020-11-29,化工行业动态：继续看好顺周期核心资产 关注钛白粉、有机硅涨价,新浪
529,2020-11-28,炭黑、有机硅，势如破竹【周观点】,化工林谈
530,2020-11-27,化工行业周观点：炭黑、有机硅 势如破竹,西南证券
531,2020-11-27,2021年基础化工行业年度投资策略：继续拥抱顺周期 布局优质赛道龙头,新浪
532,2020-11-26,华峰氨纶(002064)氨纶、己二酸盈利持续改善 看好聚氨酯制品龙头盈利复苏,新浪
533,2020-11-25,化学纤维行业-氨纶行业简评：下游需求回暖 氨纶库存为历史低点,新浪
534,2020-11-23,化工行业：补库存周期＋需求旺季 产品价格普涨 顺周期继续高仓位配置,新浪
535,2020-11-23,基础化工周报：氨纶价格持续走高 钛白粉价格坚挺,新浪
536,2020-11-23,化工行业周报：加大顺周期资产配置 首推化工核心资产,新浪
537,2020-11-22,【行业快评|国信化工】需求共振，行业迎来景气上行周期,化工之诚
538,2020-11-20,化工行业周观点：周期的力量 化工产品价格加速上涨,西南证券
539,2020-11-19,礼包｜中信建投证券三季报解读系列之二,中信建投证券研究
540,2020-11-18,景气上行，量价齐升，化工行业迎高光时刻,Wind
541,2020-11-18,行业迎景气上行周期，化工板块走势活跃，金浦钛业六连板,证券时报网
542,2020-11-17,化工行业动态点评：需求共振，行业迎来景气上行周期,国信研究
543,2020-11-16,华峰氨纶(002064.SZ)拟变更公司名称及经营范围 业务变化,格隆汇
544,2020-11-16,化工行业：疫苗加速落地 哪些子行业和上市公司弹性大？,新浪
545,2020-11-13,化工行业周观点：顺周期思维 化工产品进入全线暴涨模式,西南证券
546,2020-11-13,A股融资融券日报：两融余额增加3.35亿元（11月12日）,Wind
547,2020-11-12,策略专题：MSCI中国A股调整报告,新浪
548,2020-11-11,化工行业：Q3内外需驱动景气回升明显 产品涨价与业绩回升共舞,新浪
549,2020-11-11,基础化工行业-海外需求复苏 库存回补 叠加油价上行 全面看多化工,新浪
550,2020-11-10,化工行业：龙头企业盈利环比改善 关注化纤链、DMC涨价,新浪
551,2020-11-10,化工行业周报：抓住这波被动去库+价差提升的机会,新浪
552,2020-11-09,基础化工行业周报：油价上涨 环氧树脂、顺酐 己二酸、有机硅DMC、双酚A等产品价格上涨,新浪
553,2020-11-06,【天风新材料】可降解塑料深度之三：PBAT成本下降空间有多大？,煤炭鑫观点
554,2020-11-06,化工行业周观点：有机硅、己二酸、氨纶价格大幅上涨 化工景气度继续上行,西南证券
555,2020-11-04,化工：出口继续向好 看好纺织化纤、聚氨酯、钛白粉产业链,新浪
556,2020-11-02,化工行业：下游需求强劲复苏 推动化工品价格上行,财富动力网
557,2020-11-01,纺织化纤新订单指数提升，行业进入景气上行周期,Wind
558,2020-11-01,纺织业整体回暖，产业链上游的这些企业业绩有望复苏,Wind
559,2020-11-01,最全！明星私募三季度调仓名单：高瓴系新进这三只个股，高毅景林淡水泉盘京宁泉买入这些公司,36氪
560,2020-10-31,下游需求强劲复苏推动化工品价格上行【西南化工周观点】,化工林谈
561,2020-10-30,华峰氨纶(002064)：三季度业绩复苏 己二酸四期试生产,华安证券
562,2020-10-30,化工行业专题报告：化工迎来新一轮进攻,新浪
563,2020-10-29,华峰氨纶(002064)公司信息更新报告：自主创新先锋坚守高质量发展 氨纶龙头业绩超预期,新浪
564,2020-10-28,【华安化工 | 三季报点评】华峰氨纶：三季度业绩复苏，己二酸四期试生产,化工阿尔法
565,2020-10-28,基础化工行业投资周报：纺织服装行业景气度回升 关注氨纶板块投资机会,新浪
566,2020-10-28,华峰氨纶(002064)：产品景气持续上行 季度业绩大幅增长,新浪
567,2020-10-28,上调评级至买入策略选股（10月28日）,Wind
568,2020-10-28,207股获券商买入评级，中国中铁目标涨幅达81.01%,Wind
569,2020-10-27,华峰氨纶(002064)：业绩环比大幅增长 氨纶有望延续景气上行,新浪
570,2020-10-26,华峰氨纶(002064.SZ)拟投不超过5.1亿元建设热电联产扩建项目,智通财经
571,2020-10-26,华峰氨纶(002064.SZ)第三季度净利润升16.22%至5.76亿元,格隆汇
572,2020-10-26,华峰氨纶：前三季度净利润同比减少8.27% 盈利能力下降,Wind
573,2020-10-26,基础化工行业周报：油价下跌 双氧水、纯MDI、硝酸铵、丁苯橡胶、PS等产品价格上涨,新浪
574,2020-10-23,【行业专题|国信化工】化纤行业：多因素推动需求改善，化纤景气回升,化工之诚
575,2020-10-23,纺织服装行业：纺织服装产业链迎重要机会,东吴证券
576,2020-10-23,A股早报2020年10月23日星期五,Wind
577,2020-10-23,【纺服*吴劲草】深度：降温提前+报复消费+订单回流，纺织服装产业链迎重要机会,东吴研究所
578,2020-10-22,机构逆市净买入8股，次新股开板日获机构大手笔抢筹,证券时报
579,2020-10-22,华峰氨纶力争“十四五”期间实现“4040”目标,上证报
580,2020-10-22,大盘缩量回调 机构静观其变,金融投资报
581,2020-10-22,华峰氨纶龙虎榜数据（10月22日）,Wind
582,2020-10-22,【异动股】化纤行业板块下挫，华峰氨纶(002064-CN)跌7.97%,财华社
583,2020-10-22,化纤板块延续调整态势，华峰氨纶跌超7%,Wind
584,2020-10-19,化工行业：纺织产业链订单充足 化纤产业链景气上行,广发证券
585,2020-10-19,华峰氨纶(002064.SZ)：内部审计负责人陈贤品因工作变动原因辞职,格隆汇
586,2020-10-19,华峰氨纶：关于内部审计负责人辞职的公告,新浪
587,2020-10-17,印度订单来了，国内纺织服装业接单接到手软,Wind
