,2021-12-31,年终盘点｜券商今年整体跑输市场 板块中8家上涨 中银证券年内腰斩成最“熊”,金融界
438,2021-10-29,【行情】证券板块异动下跌，东方证券跌超9%，广发证券、财通证券、长城证券、浙商证券等跟跌,金十数据
439,2021-10-29,跌停板上突然出手，“老股民”A股公司举牌辽宁成大！,中国基金报
440,2021-10-29,振华股份：海通证券、广发证券等12家机构于10月26日调研我司,证券之星
441,2021-10-29,六成券商当季有赚头 头部券商保持高增长,全景网
442,2021-10-29,22家上市券商业绩出炉！中信第三季狂揽200亿营收,Wind
443,2021-10-29,22家上市券商业绩出炉！中信第三季狂揽200亿营收，海通、广发也赚翻了,券商中国
444,2021-10-28,广发证券公布三季报 前三季净利增加6.15%,新浪
445,2021-10-28,广发证券：前三季度净利润同比增长6.15%,Wind
446,2021-10-28,广发证券第三季度归母净利润27.51亿元 同比增15.23%,北京商报
447,2021-10-28,千亿券商完成“换帅”，前三季净赚近120亿,Wind
448,2021-10-28,图解广发证券三季报：第三季度单季净利润同比增15.23%,证券之星
449,2021-10-28,广发证券：第三季度净利同比增长15%,格隆汇
450,2021-10-28,广发证券：第三季度净利27.5亿元 同比增长15%,财联社
451,2021-10-28,广发证券：第三季度净利润27.52亿元，同比增长15.23%,Wind
452,2021-10-28,银行21Q3金融板块持仓：银行保险均减配、“财富管理”类券商获得增配,新浪
453,2021-10-28,北交所设立后首份主办券商执业质量评价结果出炉：广发、中信等头部券商进入行业前10，4家券商合规质量扣分超8分,每日经济新闻
454,2021-10-28,广发证券100亿元小公募项目状态更新为“通过”,Wind
455,2021-10-28,精选层撤单密度突然加大，不足俩月10个项目主动撤材料，北交所关键节点企业为何“临阵逃脱”？,财联社
456,2021-10-28,开源金股，11月推荐,开源证券研究所
457,2021-10-27,广发证券(01776)：“21广发16”及“21广发17”票面利率分别为3.1%及3.3%,智通财经
458,2021-10-27,广发证券：发行第六期公司债券，发行规模不超过人民币90亿元,Wind
459,2021-10-27,广发证券(01776.HK)2021年公司债券第六期品种一票面利率为3.10%,格隆汇
460,2021-10-27,新三板主办券商执业评价排名生变！开源证券蝉联榜首，长江、中信、东吴等排名大幅提升，却有券商逆势下滑,财联社
461,2021-10-27,第三季度主办券商执业质量评价结果出炉！开源证券居第一，这些券商成“黑马”,中证报
462,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面的人才,上证报
463,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面人才,Wind
464,2021-10-27,广发证券：“20广发06”于10月27日完成兑付,智通财经
465,2021-10-27,广发证券：“20广发06”兑付兑息工作已完成，并在深交所摘牌,Wind
466,2021-10-27,广发证券(01776.HK)完成兑付“20广发06”,格隆汇
467,2021-10-27,振华股份：广发证券股份有限公司、深圳市中欧瑞博投资管理股份有限公司等45家机构于10月22日调研我司,证券之星
468,2021-10-26,【银华基金】交易日报 2021-10-26,新浪
469,2021-10-26,广发证券：2021年度第七期短期融资券已于10月25日发行完毕,Wind
470,2021-10-26,中国债券市场金融债发行日程一览(10月26日),Wind
471,2021-10-26,A股量化交易调查：万亿规模收益不菲,Wind
472,2021-10-25,最高涨近七成！券商最新调研偏爱这些股,Wind
473,2021-10-25,【港股通】广发证券(01776)拟发行不超过90亿元公司债券,和讯
474,2021-10-25,广发证券：将于10月27日就第六期发行债券进行询价,Wind
475,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
476,2021-10-25,西部证券：首予广发证券(000776.SZ)“买入”评级 目标价27.58元,智通财经
477,2021-10-25,【异动股】广发证券(01776.HK)涨5.72%,财华社
478,2021-10-25,港股中资券商股走高，东方证券涨超6%，广发证券涨超5%，中信证券、招商证券,新浪
479,2021-10-25,【行情】券商股短线回暖，长城证券涨超8%，东方证券、浙商证券、广发证券等集体冲高,金十数据
480,2021-10-25,券商板块急速拉升，上证指数再上3600,Wind
481,2021-10-25,券商股尾盘发动攻势，长城证券涨幅扩大至7%,Wind
482,2021-10-25,非银金融行业周报：互联网人身险产品迎“专属”时代 关注券商三季报行情,光大证券
483,2021-10-25,西部证券首予广发证券买入评级，广发证券首次覆盖报告：分类评级重回 AA+管理层落定，公募子公司独树一帜,每日经济新闻
484,2021-10-24,财富管理周报：新基民趋于年轻化 持续看好互联网零售财富管理龙头,新浪
485,2021-10-23,综合金融服务行业周报：保险投资端有所改善 负债端仍承压,光大证券
486,2021-10-22,广发证券(01776)完成发行30亿元短期融资券,智通财经
487,2021-10-22,广发证券(000776.SZ)完成发行30亿元2021年度第六期短期融资券,智通财经
488,2021-10-22,广发证券(01776.HK)发行30亿元短期融资券,格隆汇
489,2021-10-22,【首席视野】广发证券郭磊：中国经济短周期位置—供给线索与需求线索,和讯
490,2021-10-22,国泰君安国际：推进买入广发证券H股,Wind
491,2021-10-22,【国泰君安国际】个股交易参考：广发证券(01776.HK)：基金管理业务拥抱良好收益,国泰君安证券香港
492,2021-10-21,北向资金持续加仓三日抢购A股超180亿，中国平安获大幅净买入超10亿,Wind
493,2021-10-21,广发证券(01776.HK)2021年公司债券(第五期)(品种一)在深交所上市,财华社
494,2021-10-21,北向资金减持榜单：54股减持市值超5000万元,证券时报网
495,2021-10-21,新三板做市商评价结果出炉，三季度减免经手费600余万元,Wind
496,2021-10-20,广发证券(01776.HK)“21广发13”拟10月21日上市,格隆汇
497,2021-10-20,广发证券(000776.SZ)：“21广发13”将于10月21日起在深交所上市,智通财经
498,2021-10-20,广发证券：本集团是专注于中国优质企业及富裕人群的资本市场综合服务商,每日经济新闻
499,2021-10-20,北向资金两日净买入80亿，连续五日加仓宁德时代,Wind
500,2021-10-20,广发证券：撤销辽阳朝阳大街证券营业部,Wind
501,2021-10-20,【异动股】广发证券(01776.HK)涨3.05%,财华社
502,2021-10-20,同辉信息接待广发证券等10家机构投资者调研：累计建设完成约200间VR标准教室,同壁财经
503,2021-10-20,2021年Q3新三板做市商评价：安信证券等3家经手费全免 广发证券首次跌出前10%,同壁财经
504,2021-10-20,12张投行罚单集中公示，离职人员也难逃追责 员工变动,Wind
505,2021-10-19,券商行业周报(2021年第三十八期)：声誉风险管理正式落地 市场交投热情回落,新浪
506,2021-10-19,广发证券：千禧资本于10月15日调研我司,证券之星
507,2021-10-19,北向资金今日净买入39.06亿元，继续大幅加仓宁德时代超7亿元,Wind
508,2021-10-19,新三板史上最大造富故事，成大生物上市，集邮党2年赚10倍,药智网
509,2021-10-19,非银金融行业周观点：监管推动丰富人身险产品体系 QFII获批衍生品交易强化券商板块配置逻辑,新浪
510,2021-10-19,券商股异动拉升，广发证券涨超5%,36氪
511,2021-10-19,【行情】证券板块持续拉升，天风证券涨近4%，广发证券、中信建投、东方证券跟涨,金十数据
512,2021-10-19,投行业务严监管，七家券商收罚单 金融监管处罚,Wind
513,2021-10-18,非银金融行业数据周报：意外险新规治乱象 持续推荐财富管理赛道,新浪
514,2021-10-18,非银金融行业：东财拉开Q3优异季报序幕 保险在投资端带动下继续反弹,新浪
515,2021-10-18,非银金融行业周报：券商结算模式基金规模突破1200亿,新浪
516,2021-10-18,广发证券(01776.HK)：2021年公司债(第五期)品种一票面利率为3.3%,财华社
517,2021-10-18,申港证券：券商板块将呈现震荡向上走势,Wind
518,2021-10-18,3万经纪人出走，近半营业部亏损！这一行业正经历什么？,Wind
519,2021-10-18,【十大券商一周策略】迎接风格切换，把握低估值蓝筹！,Wind
520,2021-10-17,3万经纪人出走，近半营业部亏损！这一行业正经历什么？ 亏损,中国基金报
521,2021-10-17,广发证券(01776)完成发行30亿元票面利率3.3%的公司债券,智通财经
522,2021-10-17,广发证券(01776.HK)发行30亿元公司债券,格隆汇
523,2021-10-17,广发证券(000776.SZ)完成发行30亿元2021年面向专业投资者公开发行公司债券(第五期),智通财经
524,2021-10-15,鸣石已与监管沟通，预留100亿现金应对危机,Wind
525,2021-10-15,纳尔股份：广发证券、宝盈基金等3家机构于10月13日调研我司,证券之星
526,2021-10-15,百亿私募“内讧”，自曝违规！29家券商被拖下水,Wind
527,2021-10-15,三季度承销规模同比下滑2.1%，华英证券异军突起,时代周报
528,2021-10-14,【天风非银】问答系列：七问七答——聚焦近期核心问题,新锐视角看金融
529,2021-10-14,券商3Q21业绩前瞻暨4Q21投资策略：基本面向好 业绩驱动分化 成长性被低估,新浪
530,2021-10-14,又一家私募被罚！非法借用账户交易证券，还亏了3530万 金融监管处罚,中新经纬
531,2021-10-14,非银一周观点：财富管理依然是主线 华夏幸福对平安的利空出尽,新浪
532,2021-10-14,券商营业部实力大比拼！中金成最强黑马，这家中小券商挤入前三,Wind
533,2021-10-14,股票交易龙虎榜百强营业部出炉，华泰、中信数量最多,Wind
534,2021-10-13,广发证券(01776)2021年公司债券(第五期)品种一票面利率为3.30%,智通财经
535,2021-10-13,广发证券：确定本期债券品种一票面利率为3.30%,Wind
536,2021-10-13,睿财研究：恒泰MVM模型剖析上市公司券商板块,恒泰睿财
537,2021-10-13,广发证券：延长广发证券公开发行公司债券（第五期）簿记建档时间,Wind
538,2021-10-13,广发证券(01776.HK)延长2021年公司债券(第五期)簿记建档时间,格隆汇
539,2021-10-13,广发证券：将于10月28日举行董事会会议，以审议第三季度业绩等事项,Wind
540,2021-10-13,聪明资金大手笔增持低位价值股（名单）,Wind
541,2021-10-13,不惧大券商抢食，谁能借北交所东风弯道超车？,Wind
542,2021-10-13,29股受青睐，北向资金增持额超亿元,证券时报网
543,2021-10-13,券商各显其能发力新三板业务,Wind
544,2021-10-13,北交所设立，中小投行打开竞业天花板,Wind
545,2021-10-12,中国债券市场金融债发行日程一览(10月12日),Wind
546,2021-10-12,港股异动 | 广发证券(01776)跌超6%领跌中资券商股 A股三大股指均跌超2% 成交额不足万亿,智通财经
547,2021-10-12,【行情】港股中资券商股集体下挫，广发证券(01776.HK)跌6.5%，中金(03908.HK)跌6.2%，中信证券(06030.HK)跌4.4%，中信建投证券(06066.HK)跌2.8%，国泰君安,金十数据
548,2021-10-12,券业从业人员数量重回34万+，中信、中金财富大举招人,Wind
549,2021-10-11,广发证券(01776)拟发行不超90亿元公司债券,智通财经
550,2021-10-11,广发证券(000776.SZ)拟发行不超90亿元2021年公司债券(第五期),智通财经
551,2021-10-11,非银金融行业2021年3季报前瞻：券商3季报或延续高增 关注保险投资端边际催化,新浪
552,2021-10-11,皓元医药：广发证券、人寿养老保险等2家机构于9月24日调研我司,证券之星
553,2021-10-11,西上海：广发证券股份有限公司、广发证券发展研究中心等3家机构于9月29日调研我司,证券之星
554,2021-10-11,公募牌照真香！国泰君安又增持了这家基金公司，公募和券商资管多线开花,Wind
555,2021-10-11,公募牌照真香！国泰君安又增持了这家基金公司，公募和券商资管多线开花,券商中国
556,2021-10-11,代销业务同比增长117.56% 券商财富管理平台化成趋势,中国经营报
557,2021-10-10,券商财富管理转型提速：经纪人逐渐减少，投顾队伍不断壮大,Wind
558,2021-10-09,9月金股组合亏损2.73% 10月荐股名单出炉 亏损,新浪
559,2021-10-08,“券结模式”渐入佳境 这只新基金刷屏券商“朋友圈”,证券时报
560,2021-10-08,北交所精选层首批打新！就在今日，最新攻略来了,Wind
561,2021-10-08,券商行情复盘及展望：“花”相似 “人”不同-券商行情复盘与展望,新浪
562,2021-10-08,【十大券商一周策略】年线有望三连阳,Wind
563,2021-10-08,年内首发份额达1200亿，“券结模式”开辟财富管理新蓝海,Wind
564,2021-10-08,年内首发份额达1200亿 “券结模式”开辟财富管理新蓝海,证券时报
565,2021-10-07,华茂股份：公司持有国泰君安4537.65万股，持有广发证券2050万股,每日经济新闻
566,2021-10-07,李嘉诚、何鸿燊家族领投这家造车新势力，A股朋友圈达33家公司！,上证报
567,2021-10-07,今年首发份额1200亿！券结业务迎爆发期，各家券商都在重金布局，财富管理转型新抓手,券商中国
568,2021-10-06,这些公司被券商密集调研，未来三大方向值得关注,Wind
569,2021-10-06,前三季投行业绩放榜！中信股权独占鳌头,Wind
570,2021-10-02,非银金融行业点评：8月权益性公募基金保持高增长 二级基金依然是新备案私募基金主力军,新浪
571,2021-10-01,开源金股，10月推荐,开源证券研究所
572,2021-09-30,鲍斯股份：广发证券、鹏华基金等2家机构于9月28日调研我司,证券之星
573,2021-09-30,广发证券：Pzena Investment Management于9月28日调研我司,证券之星
574,2021-09-30,【东吴非银 |非银行业2021三季度业绩前瞻】行业景气驱动业绩持续提升，看好券商长期阿尔法,微信
575,2021-09-30,37股受青睐，北向资金增持额超亿元,证券时报网
576,2021-09-30,前三季度资本市场工作盘点：深化改革步履坚定、从严监管力度不减,Wind
577,2021-09-29,北向资金结束连续3日净买入，宝钢股份净卖出额创新高,Wind
578,2021-09-29,35股受青睐，北向资金增持额超亿元,证券时报网
579,2021-09-29,北向资金动向盘点：持续买入食品饮料,Wind
580,2021-09-29,电鳗快报|吉林敖东上半年营收、净利润双降，控股股东超2.15亿元急增持 盈利能力下降,电鳗快报
581,2021-09-28,贵州三力：广发证券股份有限公司、广发信德投资管理有限公司、广州广发信德一期健康产业投资企业（有限合伙）共减持公司股份约621万股，本次减持计划时间已过半,每日经济新闻
582,2021-09-28,贵州三力(603439.SH)：广发证券等股东累计减持合计536.87万股 减持股份,格隆汇
583,2021-09-28,贵州三力：广发证券等多股东累计减持1.52%股份 减持股份,Wind
584,2021-09-28,解盘：资源股重新活跃，电力、煤炭、工业母机略涨,Wind
585,2021-09-28,34股获北向资金加仓超亿元,中财网
586,2021-09-27,广发证券：Wellington Asset Management于9月23日调研我司,证券之星
587,2021-09-27,北向资金今日净买入14.77亿元，白酒股连续第二日遭疯抢,Wind
588,2021-09-27,广发证券(000776.SZ)第五期短期融资券发行完毕 总额30亿元,智通财经
589,2021-09-27,上海也要大面积停电？最新回应来了,Wind
590,2021-09-27,快讯：广发证券跌停 报于20.53元,金融界
591,2021-09-27,【行情】券商股尾盘跳水，东方证券快速跳水跌超9%，长城证券、太平洋、广发证券、中原证券等纷纷走低,金十数据
592,2021-09-27,非银金融行业：证券业正在发生底层变革 保险将迎来估值修复,新浪
593,2021-09-27,非银板块十月观点：继续推荐高“含财率”公司,新浪
594,2021-09-27,交易和基本面边际向好，关注券商4季度机会,金融界
595,2021-09-27,"基金投教兴起！中基协发起，十余家机构参与""一司一省一高校""，主要面向三四线城市",Wind
596,2021-09-26,【国君非银刘欣琦团队】财富管理产业链与机构业务依然是主线,欣琦看金融
597,2021-09-26,非银金融行业周报：意外险定价进一步夯实 创业板定价更加市场化,光大证券
598,2021-09-26,三十而“益”，屡创行业之先，盘点三十年广发证券公益版图,时代财经
599,2021-09-24,广发证券以金融的力量支持14亿中的每一个梦想！,格隆汇
600,2021-09-24,安信非银2021年第28期周报：北交所规则火速推进 持续看好财富管理赛道,新浪
601,2021-09-24,北交所离开通交易又进了一步！154家潜在上市标的一览,Wind
602,2021-09-24,证券行业2021年中报综述：财富管理转型加速 龙头券商保持稳健,新浪
603,2021-09-23,广发基金：管理规模领先市场 基金经理群星荟萃,新浪
604,2021-09-23,集泰股份：诺安基金、广发证券等2家机构于9月23日调研我司,证券之星
605,2021-09-23,单日开通破万！近50家券商上线预约开通北交所交易权限功能,Wind
606,2021-09-23,广发证券(01776.HK)2021年公司债(第四期)拟9月24日上市,格隆汇
607,2021-09-23,广发证券(01776)：2021年面向专业投资者公开发行公司债券(第四期)在深交所上市,智通财经
608,2021-09-23,广发证券(000776.SZ)合规总监徐佑军履职,智通财经
609,2021-09-23,北向资金净卖出额创近一个月新高，银行股遭大幅抛售,Wind
610,2021-09-23,非银金融行业周观点：北交所细则陆续出台护航中小企业发展 政策面利好催化板块配置价值,新浪
611,2021-09-23,超40家券商备战北交所，市场增量客户喷涌,Wind
612,2021-09-22,广发证券亮相第十届广州金交会,上证报
613,2021-09-22,90后的广发证券，不仅仅是三十而立,财经无忌
614,2021-09-22,近50家券商开门迎客，北交所潜在投资者近800万？,Wind
615,2021-09-22,广发证券：上周6000亿元MLF等量续作，释放出两重信号,Wind
616,2021-09-21,非银金融周报：北交所散户门槛低至50万 有效预防流动性风险,新浪
617,2021-09-21,吉林敖东：公司目前没有制定出售广发证券股票的计划,Wind
618,2021-09-21,非银金融行业周报：人身险保费持续承压 “南向通”开启债市开放加速,光大证券
619,2021-09-19,北交所开户预约火爆！头部券商预约成功人数已过万,Wind
620,2021-09-19,聚焦金融服务彰显社会责任 广发证券亮相第十届金交会,财富动力网
621,2021-09-19,三十而立，广发证券在路上,搜狐
622,2021-09-18,券商年产8.59万份研报，超1/4分析师跳槽！,Wind
623,2021-09-17,广发证券(01776.HK)：“20广发05”9月17日兑付兑息及摘牌 退市,格隆汇
624,2021-09-17,七月来16家上市券商发生高管变动：涉及25位董监高 广发证券高管变动人数最多 董监高成员变化,和讯
625,2021-09-17,广发证券(000776.SZ)完成兑付兑息“20广发05”,智通财经
626,2021-09-17,广发证券：信达证券于9月15日调研我司,证券之星
627,2021-09-17,券商2021中报综述：充分受益资产证券化与财富管理大时代 看好大机构与大资管两条主线,新浪
628,2021-09-17,方正证券研究所原所长杨仁文正式离职，下一站是这家？,Wind
629,2021-09-17,从广发证券中报，看资管业务对券商业绩的拉动,阿尔法工场研究院
630,2021-09-16,投资银行业与经纪业行业：北交所成立更利好创投 财富管理助力券商业绩高增,新浪
631,2021-09-16,突然火了！老基金开启修改券结模式“先河”,Wind
632,2021-09-16,广发证券(01776)完成发行70亿元公司债券,智通财经
633,2021-09-16,广发证券(000776.SZ)：完成公开发行70亿元的公司债券,格隆汇
634,2021-09-16,中秋假期前外资暂时离场净卖出超30亿，万科A净卖出额创近4年新高,Wind
635,2021-09-16,贵州三力：广发证券、广发信德、健康基金、珠海康远共减持公司股份约407万股，本次减持股份比例已达到1% 减持股份,每日经济新闻
636,2021-09-16,贵州三力(603439.SH)：广发证券等四者已合计减持1%的股份 持股降至4.8977% 减持股份,格隆汇
637,2021-09-16,贵州三力：广发证券及一致行动人累计减持比例达1% 减持股份,Wind
638,2021-09-15,伟星股份：广发证券股份有限公司、兴证全球基金管理有限公司等5家机构于9月13日调研我司,证券之星
639,2021-09-15,中航机电：广发证券、方正证券自营等14家机构于9月13日调研我司,证券之星
640,2021-09-15,非银金融行业周观点：政策面友好+流动性合理充盈 持续看好版块配置价值,新浪
641,2021-09-14,广发证券：确定本期债券票面利率,Wind
642,2021-09-14,广发证券(01776.HK)“21广发10”票面利率为3.10%,格隆汇
643,2021-09-14,非银金融行业：北交所就细则征求意见 保险亮点逐渐显现,新浪
644,2021-09-14,广发证券(01776.HK)延长2021年公司债券(第四期)簿记建档时间,格隆汇
645,2021-09-14,非银金融行业周报：中小券商发力布局新三板业务 A股融资火爆,新浪
646,2021-09-14,国泰君安：P/AUMG视角下的资管估值研究,Wind
647,2021-09-14,日成交额持续超万亿，券商佣金“增量未增收”,Wind
648,2021-09-13,财富管理专题系列报告之五：P/AUMG视角下的资管估值研究,新浪
649,2021-09-13,美格智能：广发证券、中信建投等8家机构于9月10日调研我司,证券之星
650,2021-09-13,广发证券：M&G于9月9日调研我司,证券之星
651,2021-09-13,北向资金净卖出额创近一个月新高，白酒、有色股遭抛售,Wind
652,2021-09-13,广发证券：去年公司信息技术投入8.9亿元,每日经济新闻
653,2021-09-13,贵州三力(603439.SH)：减持期过半 广发证券等股东已合计减持406.66万股 减持股份,格隆汇
654,2021-09-13,贵州三力：广发证券等4股东合计减持近1%股份，减持时间过半 减持股份,Wind
655,2021-09-13,中国债券市场金融债发行日程一览(9月13日),Wind
656,2021-09-13,广发证券拟发行不超90亿元面向专业投资者公司债券,资本邦
657,2021-09-13,券结基金再出80亿！爆款公募券商联手的券结模式火了,Wind
658,2021-09-13,融资客青睐10股，纳思达买入占比高达35.02%,Wind
659,2021-09-13,非银金融行业：养老理财产品试点+北交所成立 催化券商板块行情,新浪
660,2021-09-13,非银金融行业跟踪：证券行业景气度望持续提升 板块再获两融资金青睐,新浪
661,2021-09-13,日赚佣金超3亿！A股成交火爆养肥券商，财富管理也火了,Wind
662,2021-09-13,港股公告精选：黑石集团终止对SOHO中国收购要约,Wind
663,2021-09-13,广发证券(01776.HK)拟发行不超过90亿人民币公司债券,财华社
664,2021-09-12,广发证券(01776)拟发行不超过 90 亿元公司债,智通财经
665,2021-09-12,广发证券(000776.SZ)：拟公开发行不超90亿元的公司债券,格隆汇
666,2021-09-11,牛市的味道！两融余额创6年来新高，三大板块融资买入最多,Wind
667,2021-09-11,求实为基 创新为本 “而立”的广发证券用专业与担当迈向高质量发展,经济观察报
668,2021-09-11,非银与金融科技行业深度报告：产品+渠道+服务 财富管理发展的三大制胜点,新浪
669,2021-09-10,乔治白：广发证券、青岛澄怀投资管理有限公司等9家机构于9月8日调研我司,证券之星
670,2021-09-10,北向资金连续三周加仓累计净买入600亿，中远海控获大幅净买入近10亿元,Wind
671,2021-09-10,【异动股】广发证券(01776.HK)涨4.96%,财华社
672,2021-09-10,应届生又要涨薪？券商秋招战打响，传统业务全面扩编,Wind
673,2021-09-09,广发证券，三十而“益”,深蓝财经
674,2021-09-09,广发证券(01776.HK)完成发行30亿元短期融资券,格隆汇
675,2021-09-09,广发证券：完成向广发乾和首批增资20亿元,Wind
676,2021-09-09,广发证券(01776)：广发乾和注册资本增加至61.035亿元,智通财经
677,2021-09-09,广发证券(000776.SZ)：广发乾和注册资本增加至61.035亿元,格隆汇
678,2021-09-09,IPO原始股东清仓卖，大资金在溢价买，券商股未来怎么走？,Wind
679,2021-09-09,北向资金今日净买入超26亿元，连续11日扫货宁德时代累计加仓超70亿,Wind
680,2021-09-09,三十而立！解密广发证券30年发展脉络,环球老虎财经
681,2021-09-09,伟星股份：广发证券股份有限公司、中庚基金管理有限公司等6家机构于9月7日调研我司,证券之星
682,2021-09-09,百亿资金出逃券商ETF 李迅雷：不必过多关注，看好券商,证券之星
683,2021-09-09,【行情】券商股早盘回调，海通证券跌超7%，天风证券、东方证券、东吴证券、第一创业、广发证券等跟跌,金十数据
684,2021-09-09,申万宏源研究携手万得，开展研报合作,Wind
685,2021-09-09,融资动作不断，继公司债券后广发证券发行永续债,电鳗快报
686,2021-09-09,三十而立的广发证券打造一流投资银行和财富管理机构,新民晚报
687,2021-09-09,赚了就跑？资金集中出逃券商ETF，6个交易日赎回30多亿份,Wind
688,2021-09-09,广发证券30年 求实创新 迈向高质量发展,中证网
689,2021-09-08,三十而立！ 一文看懂广发证券30年来如何迈向高质量发展,每日经济新闻
690,2021-09-08,山水比德：广发证券股份有限公司、上海晟盟资产管理有限公司等6家机构于9月6日调研我司,中金在线
691,2021-09-08,30年！从1000万到5000亿资产， 广发证券迈向高质量发展,中国基金报
692,2021-09-08,证券公司短期融资券管理办法实施后首批券商短融成功发行,Wind
693,2021-09-08,深度*行业*证券行业周点评：财管特色券商代销成绩亮眼 资管迎主动管理之战,新浪
694,2021-09-08,财富+资管为主的收费类业务驱动公司业绩增长，投行改善可期——广发证券（000776）2021H1业绩点评,强思非银
695,2021-09-08,【异动股】广发证券(01776.HK)跌3.71%,金融界
696,2021-09-08,广发证券30年 求实创新 迈向高质量发展,财富动力网
697,2021-09-08,每日理财观察：外贸连续15个月正增长，进出口再超预期,Wind
698,2021-09-08,新宙邦反弹多机构出逃 章盟主无惧加仓广发证券,财富动力网
699,2021-09-07,三十而“益”快闪义卖 广发证券打造爱心集市,21世纪经济报道
700,2021-09-07,广发证券：长江证券于9月3日调研我司,证券之星
701,2021-09-07,北向资金流入4.1亿元，广发证券涨停，机构、游资纷纷入场,中金在线
702,2021-09-07,北向资金追平年内最长净买入纪录累计加仓超550亿，美的集团净买入超11亿元,Wind
703,2021-09-07,广发证券龙虎榜数据（9月7日）,Wind
704,2021-09-07,广发证券今日涨9.99% 1家机构净买入5668.09万元,新浪
705,2021-09-07,快讯：广发证券涨停 报于23.89元,金融界
706,2021-09-07,“牛市旗手”尾盘拉升，东方证券、广发证券双双涨停,证券之星
707,2021-09-07,A股收盘综述：上证指数再涨1.5%即将挑战3700，锂、煤、钢三足鼎立,Wind
708,2021-09-07,广发证券盘尾触及涨停 成交额超50亿换手率超4%,新浪
709,2021-09-07,【异动股】广发证券(01776.HK)涨4.08%,金融界
710,2021-09-07,广发证券尾盘涨停，创六年新高,Wind
711,2021-09-07,券商股午后持续脉冲，东方证券涨停再创逾5年新高,Wind
712,2021-09-07,【行情】证券板块回暖，东方证券涨超6%，广发证券、东方财富、兴业证券、海通证券等跟涨,金十数据
713,2021-09-07,券商股后发制人，东方证券大涨7%,Wind
714,2021-09-07,【行情】券商板块回暖，锦龙股份涨超8%，东方证券、长城证券、广发证券、兴业证券等跟随拉升,金十数据
715,2021-09-07,北交所成立更利好创投，财富管理助力券商业绩高增,金融界
716,2021-09-07,1200亿券商巨头或迎来重要股东清仓式减持，22年投资爆赚几十倍,Wind
717,2021-09-06,广发证券(01776.HK)完成发行10亿元永续次级债,格隆汇
718,2021-09-06,广发证券(000776.SZ)非公开发行永续次级债券发行规模为10亿元,智通财经
719,2021-09-06,浩洋股份：广发证券、信达澳银基金等2家机构于9月6日调研我司,证券之星
720,2021-09-06,华润微：广发证券、Ariose Capital等113家机构于8月19日调研我司,证券之星
721,2021-09-06,振邦智能：广发证券股份有限公司、招商基金管理有限公司等7家机构于9月2日调研我司,证券之星
722,2021-09-06,中航证券：予广发证券(000776.SZ)“买入”评级 目标价30.51元,智通财经
723,2021-09-06,【异动股】广发证券(01776.HK)涨4.8%,金融界
724,2021-09-06,【行情】港股券商股造好，中信建投证券涨5.4%，广发证券、中金涨4.6%，国泰君安涨2.5%，光大证券涨2.2%，招商证券涨2.1%,金十数据
725,2021-09-05,国君策略：金九银十，续演拉升行情,Wind
726,2021-09-05,中航证券给予广发证券买入评级，2021年中报点评：财富管理实力强劲，业务布局逐步完善,每日经济新闻
727,2021-09-03,山石网科：国信证券、广发证券等20家机构于9月1日调研我司,证券之星
728,2021-09-03,广发证券：千禧资本于9月2日调研我司,证券之星
729,2021-09-03,广发证券：申万宏源、中信证券等2家机构于9月1日调研我司,证券之星
730,2021-09-03,视源股份：中信证券、广发证券等18家机构于9月2日调研我司,证券之星
731,2021-09-03,鸿路钢构：广发证券于9月2日调研我司,证券之星
732,2021-09-03,西藏矿业跌停背后：机构抛售2亿元，“三无”股东拟减持套现 拟减持股份,第一财经
733,2021-09-03,非银金融行业周观点：券商中报业绩整体喜人 市场活跃度高企持续看好大公募主线,新浪
734,2021-09-03,全线大涨，多只飙100%，最牛A股5天翻倍！锂电军工大跳水,Wind
735,2021-09-03,机构追买广发证券 游资合力封板四方达|龙虎榜,第一财经
736,2021-09-03,华福证券：上调广发证券(000776.SZ)评级至“强烈推荐” 目标价26.62元,智通财经
737,2021-09-03,券商股高开低走，广发证券跌超4%,Wind
738,2021-09-03,中信建投：北京证券交易所设立助力中小企业直接融资，拓宽券商展业空间,Wind
739,2021-09-03,中国中铁、广发证券等26股获融资净买入超亿元,证券时报网
740,2021-09-03,每日理财观察：北京证券交易所来了,Wind
741,2021-09-03,雪球类产品投资比例遭限制，不符合要求不予备案！防范敲入风险,Wind
742,2021-09-03,1500亿大券商“换帅”！新任总经理是谁？,Wind
743,2021-09-02,华福证券上调广发证券评级至强推：资产管理能力卓越，权益提升催化财富管理爆发,每日经济新闻
744,2021-09-02,易事特：广发证券于9月2日调研我司,中金在线
745,2021-09-02,广发证券(01776.HK)A股异常波动 无应披露重大信息,格隆汇
746,2021-09-02,广发证券(000776.SZ)股价异动 不存在未披露事项,智通财经
747,2021-09-02,交易异动！广发证券：不存在应披露而未披露的重大事项,每日经济新闻
748,2021-09-02,【龙虎榜解盘】知名游资“章盟主”建仓广发证券，机构青睐化工板块,阿尔法工场
749,2021-09-02,赵老哥、章盟主上亿元买入广发证券，3日榜还大买了它！丨9.2龙虎榜,第一财经
750,2021-09-02,非银金融业周报数据库第三十四周,新浪
