,2021-12-31,行业动态|光伏玻璃价格Q4触底回升 明年下游组件放量或提振需求,财联社
458,2021-06-22,安信国际：福莱特估值具提升空间 长期看行业需求提升,新浪
459,2021-06-22,福莱特 股价涨6.8% 现报37.30元,乐居财经
460,2021-06-22,建材行业周报：5月水泥产量同比减少3.2% 竣工端回暖、房地产投资保持韧性,新浪
461,2021-06-22,电力设备行业周报：中汽协预计未来五年中国新能车销量年均增速逾40% 光伏上下游博弈接近尾声,新浪
462,2021-06-21,固定收益周报：顺势交易逻辑 逆势背靠估值,新浪
463,2021-06-21,福莱特收报34.93元涨6.2% 总市值749.7亿元,乐居财经
464,2021-06-21,电气设备行业重大事项点评：光伏玻璃扩产 龙头稳固地位,新浪
465,2021-06-21,电气设备行业周报：我国5月风光装机分析,新浪
466,2021-06-21,福莱特：2021年6月17号的可转债预案董事会已批准,Wind
467,2021-06-21,福莱特：目前公司订单稳定,每日经济新闻
468,2021-06-21,解盘：光伏、半导体、华为HMS领涨,Wind
469,2021-06-21,电气设备行业周报：盈利改善逻辑将提前演绎 配置组件正当时,华安证券
470,2021-06-21,深度*行业*电力设备与新能源行业6月第3周周报：中汽协预计未来5年电动车产销增长40%以上,新浪
471,2021-06-21,福莱特 股价涨6.8% 现报35.10元,乐居财经
472,2021-06-21,【银河电新周然】行业周报丨硅片价格下跌趋势显现 中汽协预测销量增速40%,中国银河证券研究
473,2021-06-21,建议重视中报行情 | 中信建投晨会,中信建投证券研究
474,2021-06-20,电力设备新能源周观察：电动车中游景气向上 硅料产业链博弈或将结束,新浪
475,2021-06-19,【中原光伏】光伏行业2021年下半年策略：淡化产业链短期博弈，把握碳中和重大机遇,中原证券研究所
476,2021-06-18,福莱特拟公开发行不超40亿元可转债 光伏产业高景气度头部效应加剧,证券日报网
477,2021-06-18,新能源、环保领域碳中和动态追踪(十四)：光伏行业迎量增&盈利修复预期 重点推荐高弹性的组件&电池片环节,光大证券
478,2021-06-18,中国可转债周报：当指数变得难以跑赢,新浪
479,2021-06-18,A股收盘综述：沪弱深强态势明显，新能源产业链强势反包,Wind
480,2021-06-18,光伏股拉升：福莱特涨停，隆基股份涨超4%,格隆汇
481,2021-06-18,福莱特 股价涨停 现报32.88元,乐居财经
482,2021-06-18,光伏板块午后走高，福莱特封板,Wind
483,2021-06-18,福莱特 股价涨5.4% 现报31.50元,乐居财经
484,2021-06-17,A股早报2021年6月17日星期四,Wind
485,2021-06-17,上市公司正负面新闻2021年6月17日星期四,Wind
486,2021-06-17,每日财报|药明康德违规减持股东遭调查福莱特拟发行40亿可转债,搜狐
487,2021-06-17,财信证券晨会20210617,财信证券研究
488,2021-06-16,福莱特(601865.SH)：拟发行不超40亿元可转债募资用于分布式光伏电站建设项目等,格隆汇
489,2021-06-16,晚间重要公告2021年6月16日星期三,Wind
490,2021-06-16,晚间公告｜6月16日这些公告有看头,第一财经
491,2021-06-16,【公告抢先看】晚间公告：苏宁易购筹划涉及公司股份转让的重大事项、洽洽食品控股股东拟斥资1亿元增持股份,金融界
492,2021-06-16,福莱特：拟发行可转债不超40亿元,Wind
493,2021-06-16,福莱特：拟发行可转换公司债券募集资金总额不超过40亿元,财联社
494,2021-06-16,东吴证券--电气设备新能源行业周报：锂电龙头大单不断中报预计靓丽、光伏电价政策超预期【行业研究】,金融界股吧
495,2021-06-16,申港证券--电气设备行业周报：5月中欧新能源车维持高景气【行业研究】,金融界股吧
496,2021-06-16,首创证券--电气设备行业简评报告：光伏产业柳暗花明景气重启，海风地补落地确定性夯实【行业研究】,金融界股吧
497,2021-06-16,电气设备行业周报：新能源汽车5月销量保持高增 新能源上网电价政策超预期,新浪
498,2021-06-15,福莱特A股将于6月23日分红 每股派0.15元,乐居财经
499,2021-06-15,福莱特(601865.SH)：2020年度权益分派10派1.5元 股权登记日6月22日,格隆汇
500,2021-06-15,电气设备行业周报：电动车数据超预期 光伏政策更市场化,新浪
501,2021-06-15,【电新*曾朵红】光伏新政电价超预期，存量平价项目可延期，看好明年量利双升,东吴研究所
502,2021-06-14,东吴证券：光伏新政电价超预期，存量平价项目可延期，看好明年量利双升！,智通财经
503,2021-06-14,涨价潮退！短短3个月光伏玻璃价格跌幅超4成,智通财经
504,2021-06-13,【东吴电新】光伏行业点评：光伏新政电价超预期，存量平价项目可延期，看好明年量利双升！,新兴产业汇
505,2021-06-11,募资扩产，福莱特新增发H股申请被核准！,环球老虎财经
506,2021-06-11,光伏发电成本降80%，平价上网悄然而至,Wind
507,2021-06-11,福莱特：增发不超7600万股H股获中证监核准,财联社
508,2021-06-11,福莱特(601865.SH)增发H股申请获证监会核准,智通财经
509,2021-06-11,福莱特 股价涨5.4% 现报33.00元,乐居财经
510,2021-06-11,晶澳科技再度上板、隆基股份涨近5%，光伏板块持续拉升,Wind
511,2021-06-10,港股短线仍整理 低位有支持｜亚太时间,第一财经
512,2021-06-10,A股收盘综述：上证指数涨0.54%，宁德时代再创新高、软件股批量涨停,Wind
513,2021-06-10,福莱特 股价涨10.0% 现报31.31元,乐居财经
514,2021-06-10,福莱特：我司生产的光伏玻璃可以满足组件的使用年限,每日经济新闻
515,2021-06-10,福莱特 股价涨6.1% 现报30.20元,乐居财经
516,2021-06-08,电气设备行业周观点：光伏N型电池效率超预期 风机价格大幅回升,新浪
517,2021-06-08,电气设备行业周报：新能源汽车产业链首选六氟赛道,新浪
518,2021-06-08,“打折股”并非稳赚不赔，头部私募参与定增有门道,Wind
519,2021-06-07,光伏板块延续跌势，隆基、通威、阳光电源、福斯特、福莱特集体下滑,Wind
520,2021-06-07,光伏扩产供需偏紧，多晶硅价格再攀高位,Wind
521,2021-06-06,电气设备行业周报：新技术推动组件效率进一步提升 新能源车5月销量维持高位,新浪
522,2021-06-04,关于核准福莱特玻璃集团股份有限公司发行境外上市外资股的批复,证监会
523,2021-06-04,光伏板块继续调整，隆基、通威、阳光电源、福斯特、福莱特跌势不止,Wind
524,2021-06-03,光伏板块走弱，隆基、通威、阳光电源、福斯特、福莱特、正泰电器齐跌,Wind
525,2021-06-02,旗滨集团(601636)：被低估的光伏玻璃新星,新浪
526,2021-06-01,电气设备行业简评报告：风电结构性机会凸显 大型化海上化带动整机毛利,新浪
527,2021-05-31,建筑材料行业周报：防水提标加速 行业格局优化,华安证券
528,2021-05-31,电气设备新能源行业周报：美国电动车政策和锂电中游超预期、锂电龙头全面受益,新浪
529,2021-05-31,财华盘点|“千亿市值”新能源概念股大汇总！总有“一款”适合你？,财华社
530,2021-05-30,电气设备行业周报：异质结转换效率再创记录 美国电动车补贴政策进一步升级,新浪
531,2021-05-28,每日理财观察：中国工业企业利润持续高增长,Wind
532,2021-05-28,港股盘前必读：京东物流全球发售募集资金净额预计约为241.13亿港元,Wind
533,2021-05-27,大盘站上3600点！国君高呼：蓝筹空间打开,Wind
534,2021-05-27,什么信号？茅台1笔被砸4.35亿！外资猛灌470亿,Wind
535,2021-05-27,多只中大盘股尾盘集合竞价大幅波动,Wind
536,2021-05-25,福莱特：向激励对象授予预留部分A股限制性股票,金融界
537,2021-05-25,福莱特玻璃：已向3名激励对象授予70万股公司A股股票,Wind
538,2021-05-25,福莱特(601865.SH)向3名激励对象授予70万股A股限制性股票,格隆汇
539,2021-05-25,首创证券--电气设备行业简评报告：新能源装机下限预期加强，硅料仍将贯穿全年主题【行业研究】,金融界股吧
540,2021-05-25,中泰证券--电力设备新能源周观察：产业链价格再迎上调，光伏海内外持续高景气【行业研究】,金融界股吧
541,2021-05-25,电气设备行业周观点：新能源政策落地 21年风光装机100GW以上,新浪
542,2021-05-25,电新行业周报：多晶硅料加速上涨 动力电池产销有望持续旺盛,新浪
543,2021-05-24,光伏行业周报：硅片电池涨价提速,新浪
544,2021-05-24,光伏板块整体疲软，隆基、通威、阳光电源、中环、福斯特、福莱特集体下滑,Wind
545,2021-05-23,电气设备周观点：产业链价格再迎上调 光伏海内外持续高景气,新浪
546,2021-05-21,5月21日晚间重要行业研究汇总(附股),中金在线
547,2021-05-21,福莱特：目前公司光伏玻璃的产能有8600吨/天，浮法玻璃的产能有1200吨/天,每日经济新闻
548,2021-05-21,电气设备行业点评：2021年保障性并网规模不低于90GW 户用项目政策超预期,新浪
549,2021-05-21,福莱特：公司目前在中国主要有安徽凤阳和浙江嘉兴两个生产基地,每日经济新闻
550,2021-05-21,福莱特：我司一直处于满产状态，库存属于正常水平,每日经济新闻
551,2021-05-21,福莱特：我司3.2mm和2.0mm光伏玻璃的销量并未列示，2.0mm的占比略大于行业平均水平,每日经济新闻
552,2021-05-21,全国碳交易规则性文件出台，市场启动临近！清洁能源获市场瞩目，低估值碳中和概念股名单出炉（附股）,e公司
553,2021-05-20,福莱特(601865.SH)选举张惠珍、钮丽萍为职工代表监事,智通财经
554,2021-05-19,申港证券--从高景气二级行业出发选股：优化四维度连续景气综合打分系统找出最景气的申万二级行业【投资策略】,金融界股吧
555,2021-05-19,【中原电力设备】光伏行业周报：产业链价格普涨，中期关注各环节龙头企业,中原证券研究所
556,2021-05-18,电气设备行业简评报告：迎接行业风口 产能扩张为王,新浪
557,2021-05-18,港股盘前必读：中国移动拟A股上市，掘金港股科技类指数产品获批,Wind
558,2021-05-18,电力设备新能源周观察：4月新能源汽车销量符合预期 继续看好板块行情,新浪
559,2021-05-17,电力设备：电车景气依旧 光伏拐点已现,新浪
560,2021-05-17,光伏股全面回暖，隆基、通威、阳光电源、福莱特、晶盛机电等大涨,Wind
561,2021-05-17,IPO日报四周年巨献：觅A股四十新星,国际金融报
562,2021-05-11,福莱特：H股增持计划完成，实控人累计增持15万股,每日经济新闻
563,2021-05-11,福莱特(601865.SH)：实控人方面拟合计增持H股不超1000万股 已增持15万股,格隆汇
564,2021-05-11,福莱特：H股增持计划完成，实控人累计增持11.4万股,每日经济新闻
565,2021-05-10,电气设备新能源行业周报：电动车销量和排产持续向好、光伏5月排产边际改善,新浪
566,2021-05-10,平安证券--电力设备行业动态跟踪报告：光伏2020年报总结，高成长，大扩张，优选景气环节【行业研究】,金融界股吧
567,2021-05-10,华安证券--建材行业周报：供需偏紧，周期类建材景气持续上行【行业研究】,金融界股吧
568,2021-05-10,5月10日晚间重要行业研究汇总(附股),中金在线
569,2021-05-10,电力设备与新能源行业周观察：全球电动化推动产业链出海 国内光伏需求有望逐步启动,新浪
570,2021-05-08,福莱特(601865)：产能持续释放 业绩稳定向好,国联证券
571,2021-05-07,新能源板块行业专题报告：风光业绩高增长 十四五持续成长可期,新浪
572,2021-05-07,大和下调福莱特目标至25港元，料光伏玻璃价格续跌,Wind
573,2021-05-07,电力设备行业第18周周报：政治局会议强调发展新能源 上游原材料价格继续上涨,新浪
574,2021-05-06,电力设备新能源行业2020年报及2021年一季报综述：碳中和成就行业高景气 上游价格变动或成择时关键,光大证券
575,2021-05-06,板块异动 | 光伏太阳能板块普跌 福莱特四日跌幅超21%,金融界
576,2021-05-06,晨会纪要2021年第80期,国海证券
577,2021-05-05,电气设备行业深度报告：光伏量利齐升 环节出现分化,新浪
578,2021-05-01,西部证券维持福莱特增持评级：盈利能力维持较高水平，大尺寸产能持续扩张,每日经济新闻
579,2021-04-30,万联证券维持福莱特买入评级，点评报告：Q1 业绩亮眼，成本优势无惧降价,每日经济新闻
580,2021-04-30,Q1净利润增长近3倍，福莱特玻璃（06865）以量补价应战,智通财经
581,2021-04-30,年报叠加一季报，玻璃上市公司“猴赛雷”,搜狐
582,2021-04-30,国海证券给予福莱特买入评级，事件点评，近期获17份券商研报关注，目标均价涨幅9.28%,每日经济新闻
583,2021-04-30,【东吴电新】福莱特：Q1量利齐升，主动降价肃清格局——2021年一季报点评,新兴产业汇
584,2021-04-29,国盛证券维持福莱特增持评级：一季度盈利性强，全年有望稳定增长,每日经济新闻
585,2021-04-29,光伏玻璃风云录：涨价、暴跌、搅局，谁将成为最后王者？,财经网
586,2021-04-29,硅料价格飙涨12周，厂家高价锁单，机构称下半年才是旺季,财联社
587,2021-04-29,福莱特：2021年第一季度净利润约8.38亿元，同比增加289.38%,每日经济新闻
588,2021-04-28,福莱特(601865.SH)：一季度净利升289.38%至8.38亿元,格隆汇
589,2021-04-28,2020年光伏产业链龙头业绩盘点，谁更赚钱？,Ofweek
590,2021-04-28,福莱特(601865.SH)第一季度归母净利润同比增长289.38%至8.38亿元,智通财经
591,2021-04-28,福莱特：股东及董监高拟合计减持不超过0.79% 拟减持股份,Wind
592,2021-04-28,福莱特：一季度净利润同比增长289.38%,Wind
593,2021-04-26,电力设备新能源周观察：2025风光电量占比明确 行业维持高景气,新浪
594,2021-04-26,港股收盘(4.26)|恒指收跌0.43% 获腾讯(00700)溢价入股10% 飞鱼科技(01022)涨超98%,智通财经
595,2021-04-26,长城建材-建材行业周观点：Q1基金建材持仓比例为1.1%，市场关注防水、管材等细分龙头,高材疾足
596,2021-04-26,电力设备新能源行业：能源指导工作意见出炉 车展智能化+铁锂打造爆款,广发证券
597,2021-04-26,电气设备行业简评报告：光伏行业景气度仍在 Q1业绩普遍超预期,新浪
598,2021-04-20,4月20日晚间重要行业研究汇总(附股),中金在线
599,2021-04-20,首创证券--电气设备行业简评报告：光伏产业链博弈持续，关注高镍正极快速增长【行业研究】,金融界股吧
600,2021-04-20,浙商证券--电力设备新能源行业事件点评：硅料价格持续上涨引致硅片再次提价【行业研究】,金融界股吧
601,2021-04-19,华安证券--建材行业周报：看好水泥估值修复和竣工端建材高景气【行业研究】,金融界股吧
602,2021-04-13,4月13日晚间重要行业研究汇总(附股),中金在线
603,2021-04-12,电力设备新能源周观察：电动化趋势加速 拥抱行业高景气,新浪
604,2021-04-09,光伏系列报告之(四十一)：BIPV酝酿突破 将是光伏领域的下一个重要应用,新浪
605,2021-04-09,电力设备新能源行业事件点评：新能源上网电价征求意见 国内竞价项目渐行渐近,新浪
606,2021-04-09,光伏系列（41）：BIPV有爆发迹象，将是光伏下一个重要应用,电新产业研究
607,2021-04-08,中原证券给予福莱特增持评级：量价齐升带动业绩高增，光伏玻璃价格下行预期下关注公司市占率变化,每日经济新闻
608,2021-04-08,【中原电气设备】福莱特(601865)年报点评：量价齐升带动业绩高增，光伏玻璃价格下行预期下关注公司市占率变化,中原证券研究所
609,2021-04-07,电力设备与新能源行业报告：官方倡建新型电力系统 2021年新能源汽车下乡活动启动,新浪
610,2021-04-07,【电新】福莱特—单季业绩迭创新高，优质产能持续扩张,中银证券研究
611,2021-04-07,光伏玻璃暴跌30% 原因有几重？,世纪新能源
612,2021-04-06,电气设备行业：小米布局新能源汽车领域 光伏玻璃价格回调,新浪
613,2021-04-06,电力设备行业第14周周报：特斯拉2021Q1交付18.5万辆 隆基正式进军氢能产业,新浪
614,2021-04-06,建筑材料行业周报：冀东水泥发布重组预案 水泥行业整合再提速,华安证券
615,2021-04-06,电力电气设备、公用事业行业光伏周报：玻璃降价带来组件开工回暖预期,新浪
616,2021-04-06,深度*行业*电力设备与新能源行业4月第1周周报：小米进军智能电动汽车 光伏玻璃大幅降价,新浪
617,2021-04-05,【方正电新丨周观点】造车新势力销量继续高增，光伏玻璃4月价格下调,申建国电新团队
618,2021-04-02,福莱特：公司2.0mm光伏玻璃有一定出货占比,每日经济新闻
619,2021-04-01,福莱特(601865.SH)新增发行境外上市外资股(H股)申请材料获证监会受理,智通财经
620,2021-04-01,福莱特：光伏玻璃降价30%左右丨公司问答,第一财经
621,2021-04-01,福莱特(601865.SH)：新增发行H股申请材料获中证监受理,格隆汇
622,2021-04-01,福莱特(601865)2020年报点评：产销快速提升 21年业绩增长确定性较强,新浪
623,2021-04-01,国海证券--福莱特：光伏玻璃利润率大幅提升，业绩接近预告上限【公司研究】,金融界股吧
624,2021-04-01,国联证券：福莱特(601865.SH)产能持续释放，给予“谨慎推荐”评级,智通财经
625,2021-04-01,福莱特(601865)：Q4经营创新高 产能再度加码,新浪
626,2021-04-01,“疯涨”的玻璃价格骤降难掩“暴利”，玻璃大厂2020年净赚逾81亿元,中国能源网china5e
627,2021-03-31,东莞证券--福莱特2020年报点评：业绩维持高增长，市占率有望提升【公司研究】,金融界股吧
628,2021-03-31,华安证券--建筑材料行业周报：长三角水泥价格普涨，关注低估值投资机会【行业研究】,金融界股吧
629,2021-03-31,中信证券：光伏玻璃降价加快价格新平衡点到来，积极因素积累助推需求边际改善,证券时报网
630,2021-03-31,【申港电新|年报点评】福莱特(601865.SH):光伏玻璃毛利新高 产能扩张再加码夯实龙头地位,新能源深度研究
631,2021-03-31,抄底被埋，白马跌53%，阿里、社保、险资恐深度套牢,Wind
632,2021-03-31,申港证券--福莱特：光伏玻璃毛利新高，产能扩张再加码夯实龙头地位【公司研究】,金融界股吧
633,2021-03-31,【国金晨讯】上调仙鹤股份、翰森制药、福莱特、st抚钢盈利预测；线上&线下药店：处方外流加速，未来线上线下分权而立,国金证券研究所
634,2021-03-31,国联证券--福莱特：产能持续释放，光伏玻璃价格面临回落【公司研究】,金融界股吧
635,2021-03-31,国盛证券维持福莱特增持评级：全年业绩大幅增长，光伏玻璃龙头未来可期,每日经济新闻
636,2021-03-31,交银国际：福莱特目标价降至38.7港元 重申买入评级,新浪
637,2021-03-31,【东吴电新】福莱特：20年毛利率创历史新高，产能扩张再加码——年报点评,新兴产业汇
638,2021-03-30,再投58亿扩产，福莱特日产能将逼近2万吨,Ofweek
639,2021-03-30,抄底的哭了，快递白马大跌53%，阿里、社保、险资恐深度套牢！光伏传来大消息，千亿龙头狂飙11% 连续下跌,证券时报网
640,2021-03-30,国金证券--福莱特:业绩高增长，扩产再提速【公司研究】,金融界股吧
641,2021-03-30,建材周报：2020年度中国建筑材料工业碳排放报告发布,新浪
642,2021-03-30,电气设备行业周报：恒大新能源车产业累计投入近500亿 光伏龙头宣布不涨价缓解下游压力,新浪
643,2021-03-30,东吴证券维持福莱特买入评级：20年毛利率创历史新高，产能扩张再加码,每日经济新闻
644,2021-03-30,福莱特(601865)：业绩贴近预告上限 扩产提速优势巩固,新浪
645,2021-03-30,首创证券--电气设备行业深度报告：供应链一季报业绩抢眼，新能源汽车景气度维持【行业研究】,金融界股吧
646,2021-03-30,光大证券--福莱特2020年年度报告点评：产能扩张持续，成本+制造优势保障盈利能力维持【公司研究】,金融界股吧
647,2021-03-30,安信证券--福莱特：全年业绩高增，产能扩张奠定龙头地位【公司研究】,金融界股吧
648,2021-03-30,安信证券：福莱特(601865.SH)光伏玻璃业绩大幅提升，维持“买入-A”评级,智通财经
649,2021-03-30,光伏玻璃龙头去年净利润翻倍 拟斥资58亿元扩产,21世纪经济报道
650,2021-03-30,电气设备行业周报：中上游原材料价格企稳 龙头电池厂业绩确定性进一步夯实,新浪
651,2021-03-30,东吴证券：碳达峰、碳中和目标引领，光伏和电动车发展提速,证券时报网
652,2021-03-30,【电新*曾朵红】碳达峰、碳中和目标引领，光伏和电动车发展提速,东吴研究所
653,2021-03-30,新能源、环保领域碳中和动态追踪(九)：供需形势改善致光伏玻璃价格下行 产业链盈利&全年装机预期有所提升,光大证券
654,2021-03-29,公募基金年报陆续发布，百亿基金经理的隐形重仓股浮出水面,第一财经
655,2021-03-29,晚间重要公告2021年3月29日星期一,Wind
656,2021-03-29,福莱特(601865.SH)年度归母净利同比增127.09%至16.29亿元 每10股派1.5元,智通财经
657,2021-03-29,聚焦优质可转债，深入挖掘好公司,债市覃谈
658,2021-03-29,福莱特：聘任成媛为公司证券事务代表，2020年8月取得上交所《董事会秘书资格证书》,每日经济新闻
659,2021-03-29,福莱特：公司证券事务代表变更 成媛“接棒”吴余淦,每日经济新闻
660,2021-03-29,福莱特：2020年净利润16.29亿元 同比增127%,e公司
661,2021-03-29,福莱特(601865.SH)：拟投58亿元建6座日熔化量1200吨光伏组件玻璃项目,格隆汇
662,2021-03-29,福莱特(601865.SH)2020年度净利润升127.09%至16.29亿元 拟10派1.5元,格隆汇
663,2021-03-29,福莱特：2020年净利润同比增长127.09%,Wind
664,2021-03-29,去年股基冠军赵诣“隐形重仓”大曝光 大举卖出恩捷股份、福莱特,新浪
665,2021-03-29,电新行业周报：光伏行业将步入正轨 电车产业链需求高景气有望持续,新浪
666,2021-03-29,电气设备行业周报：风电全球需求有望稳定增长 电车中游龙头业绩符合预期,新浪
667,2021-03-26,光伏产业再获政策利好，机构认为行业前景不可小觑丨牛熊眼,第一财经
668,2021-03-25,明星股股价倒挂，睿远、高瓴惊出冷汗,Wind
669,2021-03-25,明星股股价倒挂，定增“旗手”睿远、高瓴惊出冷汗,第一财经
670,2021-03-25,交银国际：看好龙头基于需求增长的长期投资机会 首选福莱特,新浪
671,2021-03-25,电气设备行业点评：进一步落实可再生能源消纳 推进可再生能源健康发展,新浪
672,2021-03-25,【朝闻国盛0325】IPO发行节奏放缓，ETF逆势扩容,国盛证券研究所
673,2021-03-24,产能提升近一倍，福莱特或反超龙头,Ofweek
674,2021-03-24,电气设备行业报告：下游景气度持续 关注锂电中游行情,新浪
675,2021-03-24,福莱特：截止3月9日3.2mm和2mm光伏玻璃的销售价格分别40元/平方米和32.5元/平方米；公司光伏玻璃目前在产产能为8600t/d,每日经济新闻
676,2021-03-24,福莱特：越南的2条1000吨分别已于2020年年底和2021年年初点火投产，凤阳2期的第一条1200吨也已于2021年年初点火投产。,每日经济新闻
677,2021-03-24,福莱特：截至目前，我司在产产能为8600吨，安徽二期项目的另外三条1200吨预计今年陆续点火投产，到今年年底，预计总产能为12200吨,每日经济新闻
678,2021-03-24,福莱特：我司光伏玻璃当前的在产产能为8600吨/天,每日经济新闻
679,2021-03-24,福莱特：预计到今年年底光伏玻璃总产能12200吨,Wind
680,2021-03-23,3月23日晚间重要行业研究汇总(附股),中金在线
681,2021-03-23,电气设备行业周报：新能源车Q1盈利高增 光伏硅料硅片涨价,新浪
682,2021-03-23,电力设备行业第12周周报：1-2月份全国新增光伏装机3.25GW 隆基上调4月份硅片价格,新浪
683,2021-03-23,电力设备新能源行业每周观察：如何看待年初以来电网投资大幅度增长,新浪
684,2021-03-22,电气设备行业周报：业绩预告反映行业高景气 未来电动车持续性好,新浪
685,2021-03-22,电新行业周报：电动车产销维持旺盛 光伏全年高增长预期仍在,新浪
686,2021-03-19,新型电力系统构建下 碳中和概念有哪些股票？,至诚财经
687,2021-03-19,嘉兴市秀洲区区长刘德威、福莱特集团总裁阮洪良莅临通威考察,通威太阳能
688,2021-03-19,八大券商主题策略：水、火、核价值重估！新型电力系统构建下 关注哪些标的？,中金在线
689,2021-03-18,交银：看好光伏玻璃龙头的长期投资机会 首选福莱特,新浪
690,2021-03-17,电力设备新能源行业：政策推进解决风光欠补 2月新能源汽车产销增速新高,广发证券
691,2021-03-17,BIPV市场蓄势待发，上市公司竞相入局,Wind
692,2021-03-16,电力设备与新能源行业周观察：2月新能源汽车销量同比高增长 五部委引导加大对风电、光伏企业的金融支持力度,新浪
693,2021-03-15,电力设备与新能源行业：3月光伏上下游博弈明显 全年需求依然旺盛,新浪
694,2021-03-12,西部证券--电新行业周报：产业链涨价影响光伏需求预期，电动车销量有望持续高增长【行业研究】,金融界股吧
695,2021-03-11,光伏股复苏，隆基股份、通威股份、阳光电源、正泰电器、福莱特普涨,Wind
696,2021-03-10,中泰证券--电力设备新能源行业周观察：碳中和推动产业发展，行情景气持续向上【行业研究】,金融界股吧
697,2021-03-09,福莱特跌5.31% 在国联证券万联证券中金等唱多后连跌 连续下跌,中国经济网
698,2021-03-08,建筑材料行业周报：关注碳中和对于水泥行业供给端影响 落后产能加速退出或对价格利好,新浪
699,2021-03-08,福莱特跌近8% 在国联证券万联证券中金等唱多后连跌 连续下跌,中国经济网
700,2021-03-08,抱团股遭遇“黑周一”，两地爆炸引爆油价，A股何时企稳？,Wind
701,2021-03-08,建材行业周报：天山股份发布重组方案 行业整合有望加速,华安证券
702,2021-03-06,2021年光伏玻璃投资机会挖掘,索比光伏网
703,2021-03-05,3月机会｜热点集中在局部，科技与顺周期板块是最大风口,金融投资报
704,2021-03-05,星空独家︱一片难求的光伏玻璃,星空财富
705,2021-03-05,预亏1个亿，传统玻璃和光伏玻璃双扩产能否拯救中国玻璃（03300）？ 预亏,智通财经
706,2021-03-05,大和削福莱特目标至33港元，光伏玻璃价格进下行周期,Wind
707,2021-03-05,大和料光伏玻璃价格趋跌降福莱特(06865-HK)目标价至33港元 机构下调估值,财华社
708,2021-03-04,光伏板块连续杀跌，通威股份恐只是开始 连续下跌,第一财经
709,2021-03-04,福莱特跌近6% 在国联证券万联证券中金等唱多后连跌 连续下跌,中国经济网
710,2021-03-04,下半年玻璃价格将下跌25%，信义光能预测光伏玻璃每平米降至30元,集邦新能源网
711,2021-03-04,交银国际：看好光伏玻璃龙头的长期投资机会 首选福莱特,新浪
712,2021-03-03,福莱特：目前拥有光伏玻璃产能6400吨/天,Wind
713,2021-03-03,福莱特：会尽快加速光伏玻璃窑炉的建设,每日经济新闻
714,2021-03-03,光伏龙头集体走低，通威股份跌近6%,Wind
715,2021-03-02,电力设备新能源行业每周观察：需求持续增长 板块景气度继续向上,新浪
716,2021-03-01,中小盘次新股/科创板周报一百九十一期：次新股指数下跌 关注国内光学光电子元器件行业龙头企业美迪凯,新浪
717,2021-03-01,涨价反映需求旺盛，高景气将加剧大分化：评春节过后光伏产业链价格跳涨 | 兴业电新·深度（朱玥、王吉颖）,兴业电新
718,2021-03-01,建筑材料行业报告：继续推荐玻璃、玻纤、消费建材 关注低估值水泥,新浪
719,2021-03-01,隆基、通威、协鑫等狂揽千亿订单，谁是供货王？,集邦新能源网
720,2021-03-01,2021扩产竞赛再起：硅棒硅片100GW、电池组件63GW、多晶硅24.5万吨,索比光伏网
721,2021-03-01,电新行业周报：光伏产业链涨价 电车销量同比高增长有望持续,新浪
722,2021-02-28,电力设备新能源周观察：行业景气持续向上 坚持基本面绩优标的,新浪
723,2021-02-25,交银：继续看好光伏玻璃龙头长期投资机会 首选福莱特,新浪
724,2021-02-22,电气设备行业周报：重新布局景气度较好环节和公司,新浪
725,2021-02-22,每日理财观察：科创板公司首次纳入国际指数，将带来超6亿增量资金,Wind
726,2021-02-22,北上资金罕见同时悄悄重仓，业绩高增长股仅10只,证券时报网
727,2021-02-21,中石化布局氢能、光伏发电，传统能源大鳄转型胜算几何,第一财经
728,2021-02-20,北向资金大调仓！加仓三大“中”字头，减仓半导体,中证报
729,2021-02-20,新能源与电力设备行业研究周报：消纳权重护航碳中和 玻璃组件享大尺寸红利,国金证券股份有限公司
730,2021-02-20,抄作业机会？朱少醒、傅鹏博、葛兰2021参与定增名单和公司分析,证券之星
731,2021-02-20,定增预案频发，多位明星基金现身,资本邦
732,2021-02-20,「财富周评榜」光伏股牛年开市跌多涨少：隆基阳光市值缩水超百亿，爱旭股价“闪崩”跌幅最大 连续下跌,华夏时报
733,2021-02-20,这类投资突然火了！傅鹏博等顶流基金经理集体出手,中国基金报
734,2021-02-20,这类投资突然火了！顶流基金经理出手,中新经纬
735,2021-02-19,2月19日晚间重要行业研究汇总(附股),中金在线
736,2021-02-19,去年至今拿下数百亿元长单，这家隆基、晶科和日升的供应商近日调升了产能,索比光伏网
737,2021-02-18,2021年第一波，涨价“红包”如期而至,Wind
738,2021-02-18,2月18日晚间重要行业研究汇总(附股),中金在线
739,2021-02-18,福莱特反击，两新窑炉同步点火，助力光伏平价,Ofweek
740,2021-02-18,福莱特安徽越南基地同步点火，光伏玻璃产能规模再度升级,集邦新能源网
741,2021-02-18,2020主要上市光伏企业业绩预告排行,中国有色
742,2021-02-17,【华西电新 | 牛年开工·事件一览】1月NEV销量同比明显增长，国家能源局就可再生能源电力消纳责任权重及目标征求意见,睿评电新
743,2021-02-17,智通港股早知道︱(2月17日) 巴菲特减持苹果 留意原油产业链个股补涨需求,智通财经
744,2021-02-16,福莱特两大基地新窑炉同步点火,Wind
745,2021-02-16,福莱特两大基地新窑炉同步点火,e公司
