,2021-12-31,上海莱士两股东被批评 被强平未提前15个交易日公告 股票质押异常,中国经济网
301,2020-12-04,医药2021年度投资策略：医保全面控费背景下，医药“四化建设”是未来投资方向【安信医药马帅团队】,医药马帅团队
302,2020-12-03,今日发生193笔大宗交易 机构专用席位买入这些个股,第一财经
303,2020-12-03,A股共发生193宗大宗交易成交43.98亿元（12月3日）,Wind
304,2020-12-03,上海莱士现1笔大宗交易 共成交212.00万元,新浪
305,2020-12-03,上海莱士今日大宗交易成交25万股，成交价8.48元溢价0.0%,Wind
306,2020-11-30,医药生物行业跨市场周报：关注进口白蛋白供应情况 再次强调血制品板块性机会,光大证券
307,2020-11-27,解密主力资金出逃股 连续5日净流出708股,第一财经
308,2020-11-27,11月27日主力资金净流出148亿元,证券时报网
309,2020-11-27,【山证医药】2020年10月血制品批签发数据跟踪：10月单月及1-10月整体批签发均实现增长,山西证券研究所
310,2020-11-26,解密主力资金出逃股连续5日净流出638股,证券时报网
311,2020-11-26,11月26日主力资金净流出349亿元,证券时报网
312,2020-11-26,刚刚！华润宣布，收购知名药企,赛柏蓝
313,2020-11-25,11月25日主力资金净流出495亿元,证券时报网
314,2020-11-25,又站岗？3400点“清仓式”减持再来,Wind
315,2020-11-24,21股主力资金净流入超亿元,证券时报网
316,2020-11-20,11月20日主力资金净流出32亿元,证券时报网
317,2020-11-19,11月19日主力资金净流出167亿元,证券时报网
318,2020-11-19,"上海莱士现1笔大宗交易 共成交4,352.40万元",新浪
319,2020-11-19,朱孟依“不务主业”，合生借钱砸64亿炒股,乐居财经
320,2020-11-18,35股主力资金净流入超亿元,证券时报网
321,2020-11-17,解密主力资金出逃股连续5日净流出646股,证券时报网
322,2020-11-17,11月17日主力资金净流出424亿元,证券时报网
323,2020-11-16,11月16日主力资金净流出57亿元,证券时报网
324,2020-11-13,11月13日主力资金净流出311亿元,证券时报网
325,2020-11-13,【山证医药】2020Q3血制品批签发数据跟踪：Q3单季度出现下滑，Q1-Q3仍维持增长,山西证券研究所
326,2020-11-13,上市公司也炒股：门派众多，风格各异,Wind
327,2020-11-12,22股主力资金净流入超亿元,证券时报网
328,2020-11-11,11月11日主力资金净流出535亿元,证券时报网
329,2020-11-10,11月10日主力资金净流出531亿元,证券时报网
330,2020-11-10,"上海莱士现1笔大宗交易 共成交3,323.03万元",新浪
331,2020-11-09,解密主力资金出逃股连续5日净流出302股,证券时报网
332,2020-11-07,嘉宾及议程公布！质量经理，11月齐聚上海,蒲公英
333,2020-11-06,一文了解2020年第三季度中国血液制品行业及细分产品市场竞争格局分析,前瞻研究院
334,2020-11-06,2020Q3血制品批签发数据跟踪报告：Q3单季度出现下滑 Q1-Q3仍维持增长,新浪
335,2020-11-05,解密主力资金出逃股连续5日净流出396股,证券时报网
336,2020-10-31,2020年医药股ESG报告：智飞生物减持超百亿，35家公司股东“清仓式减持” 减持股份,Wind
337,2020-10-30,议程公布丨2020首届中国医药质量经理人年会,蒲公英
338,2020-10-30,357公司利润环比连增63家步入绩优股行列,证券时报网
339,2020-10-29,上海莱士(002252.SZ)：科瑞天诚被动减持4483.84万股 减持股份,格隆汇
340,2020-10-29,利润环比连增+同比暴增58匹盈利白马现身,证券时报网
341,2020-10-29,今日718公司公布三季报66家业绩增幅翻倍,证券时报网
342,2020-10-28,天坛生物拟定增33亿“补血”产能翻倍 4.9亿用于血友病新药研制相关项目,每日经济新闻
343,2020-10-28,上海莱士(002252.SZ)：前三季度净利升80.80%至10.96亿元,格隆汇
344,2020-10-28,上海莱士(002252.SZ)控股股东莱士中国被动减持555.3万股 减持股份,智通财经
345,2020-10-28,上海莱士(002252.SZ)控股股东科瑞天诚被动减持2720万股 减持股份,智通财经
346,2020-10-28,上海莱士(002252.SZ)第三季度归母净利润同比增长106.71%至3.99亿元,智通财经
347,2020-10-28,上海莱士：第三季净利同比增长106.71%,格隆汇
348,2020-10-28,上海莱士：前三季度净利润同比增长80.8%,Wind
349,2020-10-18,高毅冯柳三季报动向曝光：新进万丰奥威大手笔增持大华股份,21世纪经济报道
350,2020-10-17,血制品批签发数据月度跟踪,新浪
351,2020-10-16,鹏华聚鑫系列资管计划逾期 此前旗下产品频惹争议,新浪
352,2020-10-15,血制品龙头26亿易主？博雅生物ROE连降 多项经营难题待解 控制人变化,投资时报
353,2020-10-14,上海莱士：前三季度预计净利润同比增长70.0%~80.0%,Wind
354,2020-10-14,上海莱士(002252.SZ)：前三季度净利预增70%-80%,格隆汇
355,2020-10-14,上海莱士：预计前三季度净利润10.3亿元-10.9亿元，同比增长70%-80%,Wind
356,2020-10-14,【山证医药】2020年8月血制品批签发数据跟踪：1-8月整体批签发维持稳步增长，多数品种实现较高增速,山西证券研究所
357,2020-09-30,疫情下的血制品板块——抓住供给下降带来的机会!,格隆汇
358,2020-09-30,重磅！知名药企被华润收购,汇聚南药
359,2020-09-29,华润宣布，收购知名药企博雅生物,医药网
360,2020-09-15,上海莱士：参股公司GDS未在我国开展针对新冠病毒核酸检测业务,Wind
361,2020-09-11,医药行业：血制品批签发数据月度跟踪(2020年8月),新浪
362,2020-09-03,上海莱士：预计“郑州莱士”复产时间将延后至2021年6月,Wind
363,2020-09-02,A股8月12位董事长套现过亿，9月37家公司拟年内减持 减持股份,21世纪经济报道
364,2020-09-02,A股8月减持榜：海康威视副董事长套现逾33亿元，还有这些公司的董事长都在减持 减持股份,21世纪经济报道
365,2020-08-30,【山证策略】周报：基金发行规模再创新高，业绩成为选股主线——2020年第34期,山西证券研究所
366,2020-08-29,上市公司正负面新闻2020年8月29日星期六,Wind
367,2020-08-28,公告精选丨400家公司发布半年报，2家净利润同比增长超20倍,21世纪经济报道
368,2020-08-28,晚间重要公告2020年8月28日星期五,Wind
369,2020-08-28,上海莱士：控股股东莱士中国被动减持2.89%公司股份 减持股份,Wind
370,2020-08-26,上海莱士(002252.SZ)：莱士中国被动减持1356.86万股 减持股份,格隆汇
371,2020-08-26,上海莱士：上半年净利润同比增长68.7%,Wind
372,2020-08-25,中信证券上半年信用减值损失20亿增290% 人均薪酬43万,中国经济网
373,2020-08-20,解密主力资金出逃股连续5日净流出396股,证券时报网
374,2020-08-19,解密主力资金出逃股连续5日净流出314股,证券时报网
375,2020-08-18,"上海莱士现1笔大宗交易 共成交4,135.50万元",新浪
376,2020-08-18,上海莱士今日大宗交易成交450万股，成交价9.19元折价3.97%,Wind
377,2020-08-18,双林生物与泰邦生物“争抢”血浆站资源,中国经营网
378,2020-08-13,解密主力资金出逃股连续5日净流出680股,证券时报网
379,2020-08-13,血制品数据库月度跟踪(2020年7月),新浪
380,2020-08-11,2020年半年度血制品批签发数据跟踪报告：上半年整体高速增长 各品种表现亮眼,新浪
381,2020-08-10,A股早报2020年8月10日星期一,Wind
382,2020-08-08,揭秘本周大宗交易：机构席位扫货这8只个股，荣盛石化买入金额第一（附名单）,每日经济新闻
383,2020-08-07,A股共发生60宗大宗交易成交9.97亿元（8月7日）,Wind
384,2020-08-07,上海莱士大宗交易成交1.89亿元,证券时报网
385,2020-08-07,29股大宗交易超千万元 上海莱士交易额最高,证券时报网
386,2020-08-07,透视大宗交易：8月7日共成交60笔，上海莱士成交1.89亿元,每日经济新闻
387,2020-08-06,长沙银行股份有限公司,证券时报
388,2020-08-06,上海莱士大宗交易成交1.76亿元,证券时报网
389,2020-08-06,"上海莱士现1笔大宗交易 共成交17,550.00万元",新浪
390,2020-08-06,借款人陷诉讼风险，长沙银行上诉欲收回信贷资金 诉讼纠纷,资本邦
391,2020-08-06,长沙银行发布诉讼事项 涉案金额3.11亿元 诉讼纠纷,和讯
392,2020-08-06,血制品行业跟踪：2020年7月血制品批签发跟踪,新浪
393,2020-08-04,上海莱士现1笔大宗交易 共成交295.50万元,新浪
394,2020-08-03,安徽通报药品检查 上海莱士美诺华丰原药业子公司整改,中国经济网
395,2020-07-31,减持！上海莱士：莱士中国被动减持约8396万股，比例超过1% 减持股份,每日经济新闻
396,2020-07-31,上海莱士(002252.SZ)：莱士中国被动减持8395.9776万股 减持股份,格隆汇
397,2020-07-31,上海莱士：控股股东莱士中国有限公司被动减持1.25%股份 减持股份,Wind
398,2020-07-31,疫苗之外的赛道，聚焦血制品行业,Wind
399,2020-07-30,三大指数震荡收跌：两市成交超万亿，北向资金净流出逾60亿,澎湃新闻
400,2020-07-30,血液制品板块大涨超5%，华兰生物涨近8%再创新高,Wind
401,2020-07-29,逾七成个股涨幅超40% 生物医药股业绩与股价“齐飞”,大众证券报
402,2020-07-29,受带量采购影响的强确定性品种，或成下一个“新冠疫苗产业链”,财富动力网
403,2020-07-28,“科”公司PK赛：华兰生物研发人员超上海莱士3.84倍,新浪
404,2020-07-22,疫情之下逆风飞翔的海燕——东方美谷集团全力推动复工复产侧记,陆家嘴金融网
405,2020-07-22,杠杆资金大手笔加仓股名单,证券时报网
406,2020-07-22,融资客青睐5股，粤电力A买入占比高达52.39%,Wind
407,2020-07-22,近日海外机构调研股名单,证券时报
408,2020-07-20,解密主力资金出逃股连续5日净流出764股,证券时报网
409,2020-07-20,北上资金净流出超190亿逆市加仓6个行业,证券时报
410,2020-07-18,血制品6月批签发数据专题：血制品行业系列报告之批签发跟踪,新浪
411,2020-07-16,2020年中国血液制品行业市场现状及发展前景分析 短期内疫情将加剧静丙产品需求,前瞻研究院
412,2020-07-15,22家公司获海外机构调研,证券时报网
413,2020-07-15,88家公司获机构调研（附名单）,证券时报网
414,2020-07-14,24家公司获海外机构调研,证券时报网
415,2020-07-14,上海莱士预计2020年上半年净利为6.95亿元至7.45亿元,证券日报
416,2020-07-14,94家公司获机构调研（附名单）,证券时报网
417,2020-07-13,上海莱士：上半年净利润预计同比增长68%-80%,中证网
418,2020-07-13,资产重组标的完成过户 上海莱士上半年业绩预增超6成,和讯
419,2020-07-13,上海莱士上半年净利润预增68%-80%,中国证券网
420,2020-07-13,上海莱士：上半年净利同比预增68%-80%,第一财经
421,2020-07-13,上海莱士：上半年预计净利润同比增长68.0%~80.0%,Wind
422,2020-07-13,百亿血制品行业，这些企业值得关注,制药网
423,2020-07-12,爆买近600亿！北上资金大举杀入A股，万亿龙头被买爆，最新大幅加仓股曝光,证券时报
424,2020-07-11,3年8亿“输血”大股东 博雅生物蹊跷交易遭质疑,中国经营报
425,2020-07-10,医药生物行业：人血白蛋白与静丙批签发量大幅增长，进口白蛋白占比提升明显，维持“买入”评级,广发证券
426,2020-07-10,双林生物重组遭问询：派斯菲科的药品GMP证书曾被收回 问询,资本邦
427,2020-07-10,A股早报2020年7月10日星期五,Wind
428,2020-07-09,7月9日主力资金净流出477亿元,证券时报网
429,2020-07-09,震惊A股！赚钱神话上演：最高暴涨1000%,中国基金报
430,2020-07-09,市场综述：二次上市概念风光无限，阿里涨超10%,老虎证券
431,2020-07-09,双林生物31亿元收购派斯菲科遭问询 溢价近6倍 问询,中国经济网
432,2020-07-09,9日强势板块分析：软件医药股爆发 零售板块亮眼,证券时报网
433,2020-07-09,【新华500】新华500指数（989001）9日收盘涨1.62%,新华网
434,2020-07-09,A股收评：创业板指涨近4%，国防军工板块掀起涨停潮,格隆汇
435,2020-07-09,A股收评：创业板指涨近4%军工股再度批量涨停外资净买入近80亿,格隆汇
436,2020-07-09,A股收盘综述：上证指数涨1.39%录得8连升，创业板指大涨4%,Wind
437,2020-07-08,79家公司获机构调研（附名单）,证券时报网
438,2020-07-07,78家公司获机构调研（附名单）,证券时报网
439,2020-07-07,今天 你解套了吗？,时代在线
440,2020-07-02,晚间公告热点追踪：上汽香港拟收购神州租车28.92%股份,新浪
441,2020-07-02,减持！上海莱士：控股股东科瑞天诚被动减持约7000万股，比例超过1% 减持股份,每日经济新闻
442,2020-07-02,7月2日午间重要公告集锦,中国证券网
443,2020-07-02,上海莱士控股股东以股抵债被动减持7000万股 占总股本1.04% 减持股份,上证报
444,2020-07-02,午间公告：东方雨虹拟芜湖市投建绿色建材产业示范园；上海莱士控股股东被动减持公司1.04%股份,证券时报网
445,2020-07-02,上海莱士：控股股东科瑞天诚被动减持1.04%公司股份 减持股份,Wind
446,2020-06-29,一二级市场齐头并进，上半年A股股权融资超六千亿,大众证券报
447,2020-06-28,上海莱士回复问询函 问询,Wind
448,2020-06-24,创业板“元老”历史高位遭遇“断头铡刀”！25亿元“出逃”，8万股民开始恐慌了？,每日经济新闻
449,2020-06-23,上海莱士年报遭问询：商誉54亿防减值举措 存货19亿 问询,中国经济网
450,2020-06-22,商誉占净资产比46%，上海莱士要说明防范商誉减值措施,资本邦
451,2020-06-19,陈豪会见企业家代表,云南发布
452,2020-06-19,上海莱士被问询函：要求公司说明为防范商誉减值的主要措施 问询,Wind
453,2020-06-17,医药股疯了！65家公司估值超100倍，还能追吗？,Wind
454,2020-06-15,上海莱士(002252.SZ)：控股股东之一科瑞天诚股权结构变化科瑞集团出资比例降至0%,格隆汇
455,2020-06-15,上海莱士：控股股东之一科瑞天诚股权结构发生变化 控制人变化,格隆汇
456,2020-06-15,早间公告2020年6月15日星期一,Wind
457,2020-06-12,业绩上涨的54只优秀潜力股，外资持股均超过亿股！,腾讯网
458,2020-06-09,上海莱士两股东因司法强制执行被动减持公司股份 违约失信,资本邦
459,2020-06-09,医药生物行业研究报告：2020年05月血制品行业批签发跟踪,新浪
460,2020-06-08,蹊跷！回归“正业”的上海莱士业绩高增 实控人却被动减持1020万股 减持股份,电鳗快报
461,2020-06-07,【药咖君】罕见肺部疾病首款疗法获批；56亿销售额，石药王牌迎来首个对手；豪森拿下首仿；BI、武田、正大天晴、绿叶,药智网
462,2020-06-05,减持！上海莱士控股股东莱士中国被动减持公司股份约330万股 减持股份,每日经济新闻
463,2020-06-05,上海莱士：控股股东科瑞天诚一致行动人被动减持公司股份1020万股 减持股份,每日经济新闻
464,2020-06-05,上海莱士：控股股东科瑞天诚一致行动人被动减持公司0.15%股份 减持股份,Wind
465,2020-06-05,上海莱士：控股股东莱士中国有限公司被动减持0.049%公司股份 减持股份,Wind
466,2020-06-05,上海莱士(002252.SZ)：宁波科瑞金鼎被动减持公司1020万股 减持股份,格隆汇
467,2020-06-05,上海莱士(002252.SZ)：莱士中国被动减持上海莱士329.97万股 减持股份,格隆汇
468,2020-06-04,血制品涨价，进口供给萎缩，国产企业迎机遇？,药智网
469,2020-06-02,108家公司获机构调研（附名单）,证券时报网
470,2020-06-01,87家公司获机构调研（附名单）,证券时报网
471,2020-05-31,5月，17家药企高管离职！ 董监高成员变化,医药云端工作室
472,2020-05-29,【国金研究】生物制药行业深度研究：生物制品行业年报一季报回顾及批签发分析,国金证券研究所
473,2020-05-29,75家公司获机构调研（附名单）,证券时报网
474,2020-05-28,上海莱士：判断下半年血液制品行业将保持销售良好、价格刚性的态势,Wind
475,2020-05-28,103家公司获机构调研（附名单）,证券时报网
476,2020-05-27,2020年血液制品市场现状及发展趋势分析 新冠肺炎增加静丙需求,前瞻研究院
477,2020-05-24,【山证医药】2020Q1血制品批签发数据跟踪 ：1-4月整体批签发同比仍有大幅提升，各品种普遍实现增长,山西证券研究所
478,2020-05-18,12家知名药企换帅！董事被罢免！7位高管集体离职！ 董监高成员变化,汇聚南药
479,2020-05-18,【光大医药|首次覆盖】博雅生物：以血制品为主导全面发展，血浆调拨蕴含巨大弹性,医心医意要健康
480,2020-05-18,【光大医药|首次覆盖】卫光生物：优化营销，向上趋势明显,医心医意要健康
481,2020-05-16,上海莱士：关于高级管理人员辞职的公告 董监高成员变化,新浪
482,2020-05-15,换岗！上海莱士：副总经理胡维兵辞职 董监高成员变化,每日经济新闻
483,2020-05-15,上海莱士：胡维兵辞去公司副总经理职务 董监高成员变化,Wind
484,2020-05-13,【东兴医药胡博新团队】上海莱士（002252）：GDS收购落地，基立福持股促长远发展,医药新观
485,2020-05-07,[路演]上海莱士：预计郑州莱士现有车间将于2020年末恢复生产,全景网
486,2020-05-07,[路演]上海莱士：对采集的血浆进行严格的病毒检测 包括核酸检测,全景网
487,2020-05-07,[路演]上海莱士：目前血液制品行业景气度较高,全景网
488,2020-04-28,上海莱士发布一季报：业绩亮眼 并购重组带来发展良机,证券日报
489,2020-04-28,上海莱士一季报业绩增长超四成,上证报
490,2020-04-27,上海莱士：一季度净利润同比增长41.97%,Wind
491,2020-04-26,上海莱士2019年净利润6.08 亿元 同比扭亏为盈,证券时报
492,2020-04-26,主力抱团医疗消费防御板块 特高压概念暂歇喘息,南方财经网
493,2020-04-25,上海莱士：2019年净利润6.08亿元，扭亏为盈,Wind
494,2020-04-24,大盘反弹受挫 4月A股或平淡收官 年报季精选刚需行业布局,大众证券报
495,2020-04-24,达安基因连续7日被融资客增持,阿尔法工场
496,2020-04-24,巴菲特看中国股市：茅台后，这些股在3-5年有望成为10倍大牛,和讯
497,2020-04-24,A股早报2020年4月24日星期五,Wind
498,2020-04-24,沪指跌0.19% 体外诊断概念股逆市大涨,新浪
499,2020-04-24,资金关注业绩确定性 消费白马股持续走强,上证报
500,2020-04-23,尾盘突然跳水，市场释放一个重磅信号！,华讯财经
501,2020-04-23,4月23日A股龙虎榜揭秘，机构抛售11股,Wind
502,2020-04-23,【超级大单】6亿资金砸盘数字货币龙头,证券时报
503,2020-04-23,75股每笔成交量增超50%,证券时报网
504,2020-04-23,上海莱士龙虎榜数据（4月23日）,Wind
505,2020-04-23,A股市场主力资金净流出308.39亿元 格力电器净流入额居首,中证网
506,2020-04-23,巨丰资金流向：资金开始流入防御题材,巨丰财经
507,2020-04-23,新华500指数收盘报4094.01点 跌0.31%,新华网
508,2020-04-23,上证指数收盘跌0.19%，雄安新区概念午后崛起,Wind
509,2020-04-23,大规模检测开启：概念股飙升 达安基因连续7日被增持,新浪
510,2020-04-23,业绩确定性助推 食品饮料、生物医药股票接连大涨,上证报
511,2020-04-23,大规模检测开启，概念股飙升！这只个股连续7日被融资客增持,e公司
512,2020-04-23,午评：三大股指集体下跌，海航基础跌4.28% 连续下跌,乐居财经
513,2020-04-23,新华500指数午盘报4098.96点 跌0.19%,新华网
514,2020-04-23,上证指数午盘跌0.06%，大农业概念表现强势,Wind
515,2020-04-23,生物疫苗股强势上涨 未名医药(002581.SZ)等多股涨停,格隆汇
516,2020-04-23,生物医药股走强,格隆汇
517,2020-04-18,44只股遭北向资金减仓超20%,证券时报网
518,2020-04-16,上市公司急忙定增“解渴”3月预案数创近4年新高,面包财经
519,2020-04-15,5.15亿元资金今日流入医药生物股,证券时报网
520,2020-04-10,东北证券2019年实现净利10亿元，股票质押踩雷计提1.7亿资产减值 股票质押异常,搜狐
521,2020-04-09,招商证券：三大方面深度解析血制品行业(个股解析),新浪
522,2020-04-09,【中原策略】A股流动性周报：北上资金净流入扩大，市场成交回落,中原证券研究所
523,2020-04-08,大白马斥资10亿炒股，RCS掀涨停潮,金融界
524,2020-04-01,A股一季度股权融资规模环比下滑四成这6家公司融资仍超百亿元,经济观察报
525,2020-03-31,一季度股权融资规模2226亿元 IPO募资大升增发大降,新浪
526,2020-03-31,39家公司获机构调研（附名单）,证券时报
527,2020-03-31,【中原晨会0331】市场分析、两融周报、估值周报、上海莱士、华鲁恒升、工商银行,中原证券研究所
528,2020-03-31,【中原医药李琳琳】上海莱士(002252)首次覆盖报告*血制品领先企业，业绩恢复增长,中原证券研究所
529,2020-03-30,3月30日有28家公司获重要股东增减持，星光农机已被连续减持66次 减持股份,Wind
530,2020-03-29,上海莱士(002252.SZ)：科瑞天诚及其一致行动人、莱士中国及其一致行动人持股比例均被动稀释至30%以下,格隆汇
531,2020-03-29,上海莱士：控股股东科瑞天诚及其一致行动人等持股比例减少超过5% 减持股份,Wind
532,2020-03-27,本周169家机构密集调研食品饮料行业,中证网
533,2020-03-27,38家公司获机构调研（附名单）,证券时报网
534,2020-03-26,85股今日获机构买入评级31股上涨空间超20%,证券时报网
535,2020-03-26,35家公司获机构调研（附名单）,证券时报
536,2020-03-25,医药生物行业今日最受青睐，主力资金净流入34.85亿元,证券时报网
537,2020-03-25,上海莱士：一季度血液制品行业相关产品销售较往年同期有所增加,Wind
538,2020-03-25,一季度，生物医药NCP产业链“逆势飞扬”,制药网
539,2020-03-23,逾期违约，科瑞天诚被动减持上海莱士3679万股 违约失信,资本邦
540,2020-03-22,北上资金连续七周买入这5股（附名单）,第一财经
541,2020-03-20,上海莱士(002252.SZ)：莱士中国质押股票违约已被动减持5700万股 股票质押异常,格隆汇
542,2020-03-20,上海莱士(002252.SZ)：控股股东质押股票违约已被动减持3679万股 股票质押异常,格隆汇
543,2020-03-20,上海莱士：控股股东莱士中国有限公司被动减持1.15%公司股份 减持股份,Wind
544,2020-03-20,上海莱士：控股股东科瑞天诚被动减持公司0.74%股份 减持股份,Wind
545,2020-03-20,近300亿资金已准备抢筹，16股外资悄悄埋伏（附股）,证券时报网
546,2020-03-19,解密主力资金出逃股连续5日净流出965股,证券时报网
547,2020-03-19,静丙2月批签发量增5倍 下游血制品存在涨价可能,新京报
548,2020-03-19,【山证医药】2月血制品批签发数据跟踪：2月整体批签发高速增长，静丙明显提升,山西证券研究所
549,2020-03-18,胡润发布《2020胡润中国百强大健康民营企业》,Wind
550,2020-03-17,上海莱士(002252.SZ)：发行股份购买资产所涉股份登记申请受理确认,格隆汇
551,2020-03-17,解密主力资金出逃股连续5日净流出1009股,证券时报网
552,2020-03-17,新冠疫情缓解，上海莱士被终止药品应急征用,资本邦
553,2020-03-16,上海莱士：疫情蔓延得到基本遏制收终止应急征用通知,新浪
554,2020-03-16,上海莱士(002252.SZ)收到终止应急征用通知,格隆汇
555,2020-03-16,上海莱士：收到上海经信委终止应急征用的通知,Wind
556,2020-03-16,解密主力资金出逃股连续5日净流出790股,证券时报网
557,2020-03-13,解密主力资金出逃股连续5日净流出807股,证券时报网
558,2020-03-12,上海莱士(002252.SZ)：标的资产过户完成 公司现持GDS 45%的股权,格隆汇
559,2020-03-11,解密主力资金出逃股连续5日净流出396股,证券时报网
560,2020-03-11,泰邦生物私有化进程接近尾声 大钲资本深度参与,IPO早知道
561,2020-03-11,血制品行业运行情况如何？短期需求将获得提振,制药网
562,2020-03-11,【医药-马帅】血制品行业：样本医院调整期已过，2019年销售增速提升明显,安信证券研究
563,2020-03-10,快讯|上海莱士：重大资产重组收到上海市商务委员会《企业境外投资证书》,财经网
564,2020-03-10,上海莱士完成重大资产重组事项实施的前置程序,证券日报
565,2020-03-10,上海莱士(002252.SZ)：重大资产重组事项获 《企业境外投资证书》,格隆汇
566,2020-03-09,【读财报】血液制品行业首份年报：卫光生物净利润1.7亿元，行业细分市场面临毛利下行压力,新华网
567,2020-03-09,卫光生物净利润1.7亿元 行业细分市场面毛利下行压力,面包财经
568,2020-03-06,73亿主力资金近三日杀入大消费概念股,证券时报网
569,2020-03-04,机构调研静丙需求 业内：疫情消退后需求将明显减弱,新浪
570,2020-03-01,A股明日风口：国家卫健委指导各省加强血浆救治工作,新浪
571,2020-02-27,480家公司业绩快报亮相66%营收利润双双增长,证券时报网
572,2020-02-26,【华金证券晚间资讯（20200226）】,华金研究
573,2020-02-26,快讯|2019年业绩扭亏为盈 上海莱士“悬崖勒马”式全面放弃投资,财经网
574,2020-02-26,上海莱士2019年归属净利6.2亿元 同比扭亏为盈,北京商报网
575,2020-02-26,上海莱士：2019年业绩同比扭亏净利为6.2亿元（业绩快报）,Wind
576,2020-02-26,上海莱士(002252.SZ)2019年度业绩扭亏为盈至6.2亿元,格隆汇
577,2020-02-26,上海莱士业绩快报：2019年净利润6.2亿元，上年同期亏损15.18亿元,Wind
578,2020-02-26,上海莱士大跌5.03%，生物制品行业跌2.51% 连续下跌,中新经纬
579,2020-02-23,【山证医药】1月血制品批签发数据跟踪：1月批签发总体稳定，疫情下静丙需求量大幅提升,山西证券研究所
580,2020-02-23,富时罗素扩容A股因子至25% 3月20日收盘后生效,北京商报网
581,2020-02-23,等闲不识医药面，核心资产总是牛！【西南证券医药|0223周报】,国广有话说
582,2020-02-23,批签发同比快速增长，进度未受影响【安信医药战略推荐血制品系列9】批签发数据实时跟踪,医药马帅团队
583,2020-02-22,深股通席位本周龙虎榜净买入24股,证券时报网
584,2020-02-22,速看，富时罗素新纳入88只A股！数百亿资金将建仓，A股纳入因子提升至25%(附名单),中证报
585,2020-02-21,65股主力资金净流入超亿元,证券时报网
586,2020-02-21,六成以上药企业绩预喜，医疗器械、生物制品表现较好,制药网
587,2020-02-20,98股主力资金净流入超亿元,证券时报网
588,2020-02-19,上海企业复工记：餐饮会展入寒冬 上市公司“花样”复工保生产,华夏时报
589,2020-02-19,2月19日午后两市机构大单抛盘40股(名单),金融界
590,2020-02-19,卫健委印发第六版诊疗方案 这些概念股迎机会,网易
591,2020-02-19,11.22亿！君正集团跨界进军血液制品领域,制药网
592,2020-02-19,2月19日早盘主力巨资出逃四大板块(附股),金融界
593,2020-02-18,超级大单：百亿大单资金出逃 磷酸氯喹概念突发利好,金融界
594,2020-02-18,供不应求！免疫球蛋白等血制品市场激增，增速预计超20%,健识局
595,2020-02-18,坐稳扶好！又有280亿外资要进场！如今北向资金也玩题材，10大创业板重仓股曝光（附名单）,每日经济新闻
596,2020-02-18,【国盛策略】科创首次入摩，加仓食饮与地产,尧望后势
597,2020-02-18,156亿主力资金近三日大量撤出中小创,证券时报网
598,2020-02-18,解密主力资金出逃股连续5日净流出291股,证券时报网
599,2020-02-18,299亿主力资金近三日撤出成交主力概念股,证券时报网
600,2020-02-18,2月18日主力资金净流出296亿元,证券时报网
601,2020-02-18,2月18日午后主力巨资出逃四大板块(附股),金融界
602,2020-02-18,医药行业：短期冲高回落不改中长期向好看好血制行业投资机会,--
603,2020-02-18,三机构合买公牛集团 游资追涨国金证券,财富动力网
604,2020-02-17,超级细菌板块总体上涨0.63%，海正药业领涨,搜狐
605,2020-02-17,2月17日A股龙虎榜揭秘，机构抢筹6股,Wind
606,2020-02-17,24股特大单净流入资金超2亿元,证券时报网
607,2020-02-17,深股通现身3只个股龙虎榜,证券时报网
608,2020-02-17,6只个股尾盘净流入资金超亿元,证券时报网
609,2020-02-17,2月17日龙虎榜，机构青睐这3股,证券时报网
610,2020-02-17,解密主力资金出逃股连续5日净流出326股,证券时报网
611,2020-02-17,275亿主力资金近三日大量撤出中小创,证券时报网
612,2020-02-17,上海莱士龙虎榜数据（2月17日）,Wind
613,2020-02-17,75股主力资金净流入超亿元,证券时报网
614,2020-02-17,上海莱士逆势下跌近5%，外资交投活跃,Wind
615,2020-02-17,巨·研究| 特免血浆治疗新冠效果明显 血制品行业短期需求提升,巨丰财经
616,2020-02-17,2月17日主力巨资抢筹四大板块(附股),金融界
617,2020-02-17,A股高开高走放量大涨：沪指涨2.28%，创指涨3.72%,澎湃新闻
618,2020-02-17,央行释放重磅利好！A股应声大涨，疫情迎重要节点,证券时报网
619,2020-02-17,【建投策略-流动性观察】LPR大概率下调，MSCI季度调整——2月第3周,中信建投
620,2020-02-17,投资参考|2020年2月17日,红塔期货
621,2020-02-15,上海莱士捐赠的第二批驰援药品抵达湖北,证券时报网
622,2020-02-15,血浆抗体治疗投入新冠肺炎临床 专家：有效率在60%-90%,经济观察报
623,2020-02-15,再次援手，上海莱士向湖北孝感捐赠168万元药品,金融界
624,2020-02-15,“恢复期血浆”治疗没那么简单：专家提示推广应用难点,21世纪经济报道
625,2020-02-14,特免血浆治新冠肺炎推动概念股大涨 业内认为不会带来直接业绩增长,每日经济新闻
626,2020-02-14,康复者血浆治疗新冠肺炎临床落地，多家上市公司涨停！特效疗法来临？能带来疫情拐点吗？,E药经理人
627,2020-02-14,“抗疫”血浆概念板块大涨 血液制品市场潜力将达400亿元,中新经纬
628,2020-02-14,突发利好！上亿资金拉高出逃这个概念 尾盘资金相中一股,金融界
629,2020-02-14,中国人保纳入MSCI全球标准指数成分股,21世纪经济报道
