,2018-01-01 00:00:00,信息科技：驾乘白马 荐8股,中泰证券
2117,2019-04-10,【国君计算机】科创系列 | 安博通：国内领先网络安全产品和服务提供商,计墨社
2118,2019-04-10,信息科技：金融与科技融合趋势明显 荐11股,和讯
2119,2019-04-10,【计算机】数字中国2019：从信息化到智能化／云化,格隆汇
2120,2019-04-10,信息科技：短期关注超跌反弹等 荐6股,和讯
2121,2019-04-10,十亿美金钉钉、千亿美金Salesforce，挑战企业服务高估值,亿欧网
2122,2019-04-10,"工业互联网行业双周报:国内众厂商亮相2019汉诺威工博会,建议积极关注",渤海证券
2123,2019-04-11,信息科技：高景气主线亦有望逐步启动 荐6股,和讯
2124,2019-04-12,多家企业公布科创板分拆上市计划 A股估值面临多种可能,挖贝网
2125,2019-04-12,"计算机行业周报:首批区块链备案名单出台,科创板迎计算机公司",正点财经
2126,2019-04-13,两优势促云计算产业维持高增长 4只低估值绩优股获机构推荐,证券日报
2127,2019-04-14,【国君计算机】科创系列 | 柏楚电子：中低功率激光切割控制系统龙头,计墨社
2128,2019-04-15,信息科技：数字中国2019 荐8股,和讯
2129,2019-04-15,信息科技：从信息化到智能化/云化 荐15股,和讯
2130,2019-04-16,东吴计算机【科远股份深度报告：立足工业互联网平台EmpoworX转型升级，智慧电力和智慧化工加速落地】,吴声计事
2131,2019-04-16,华创证券：持续看好金融IT及自主可控（附股）,证券时报网
2132,2019-04-16,科创板计算机研究：巨头间起舞，差异化竞争是破局关键,格隆汇
2133,2019-04-16,"【国金晨讯】特别的新东方,焦虑的在线教育；Ucloud差异化是破局关键；科创机器人缘何青睐系统集成？工程机械龙头能否超越上轮高点",国金证券研究所
2134,2019-04-16,【国金晨讯精选】科创板云计算Ucloud，科创板机器人，工程机械龙头专题，新东方在线,国金证券研究所
2135,2019-04-16,【招商策略】年初以来全球市场走势背后的科技趋势——观策天夏第九话（0416）,招商策略研究
2136,2019-04-17,【民生策略】一季报内生增长动力分析及个股业绩前瞻,策略研究猿
2137,2019-04-17,信息科技：估值业绩背离或不会出现 荐9股,和讯
2138,2019-04-17,【国元资讯早班车】科创板重磅文件出台！,国元证券订阅号
2139,2019-04-18,招商证券：四大信号看TMT主题轮动机会将来临,证券时报网
2140,2019-04-18,信息科技：从UCLOUD财务数据拆解IAAS黑箱 荐10股,和讯
2141,2019-04-21,招商策略：流动性边际变化、期指松绑与科创板打新,新浪
2142,2019-04-21,信息科技：软件行业将迎顶层规划 荐7股,中银国际
2143,2019-04-22,直击|用友网络杜宇：两年后公司云业务占比会超50%,新浪
2144,2019-04-22,信息科技：精选优质标的 荐7股,和讯
2145,2019-04-22,平安证券：计算机行业重点关注处于高景气期或产业拐点的细分领域,证券时报网
2146,2019-04-22,家里有矿也不灵?民营能源巨头亏8亿王健林父子入股,新浪
2147,2019-04-22,研如玉：牛市休整期哪些板块最抗跌？,腾讯网
2148,2019-04-23,2019首届全球工业互联网大会·中国国际工业互联网博览会开幕,北国网
2149,2019-04-23,用友网络杜宇：信息化数字化对于中国制造业变革意义重大,和讯
2150,2019-04-23,【国金研究】科创板计算机研究：Ucloud—巨头间起舞，差异化竞争是破局关键,国金证券研究所
2151,2019-04-23,晨会0423｜生猪养殖大幅增配,中信证券研究
2152,2019-04-23,计算机｜Zoom对于企业SaaS服务的启示：全环境云融合，聚焦移动互联营销,中信证券研究
2153,2019-04-24,沪指V形反转创业板指涨超2% 北向资金全天净流出近30亿元,金融界
2154,2019-04-24,巨丰收评：科技股引领反弹 大盘V型反转,巨丰财经
2155,2019-04-24,软件板块午后发力，浪潮信息直线封板,Wind
2156,2019-04-25,【天风计算机】周观点：板块超配比例大幅提升，云计算、信创、金融IT、医疗IT板块加仓明显,兵哥看IT
2157,2019-04-25,中信证券：坚定看好计算机配置价值，云+AI+安全将成三大方向,证券时报网
2158,2019-04-25,计算机｜坚定看好配置价值，云+AI+安全将成三大方向,中信证券研究
2159,2019-04-26,"数据复盘｜主力资金大举加仓28股 机构资金""青睐""泸州老窖",证券时报网
2160,2019-04-26,用友网络(600588.SH)一季度业绩扭亏为盈至8220.61万元,格隆汇
2161,2019-04-26,用友网络：一季度净利润8220.6万元，上年同期亏损1.08亿元,Wind
2162,2019-04-26,用友网络：一季度业绩同比扭亏净利为8220.61万元,Wind
2163,2019-04-26,国产软件概念走势活跃 软件行业将迎顶层规划,证券时报网
2164,2019-04-27,【申万宏源计算机】求生存重于求增长！,申万宏源S全民全流量计算机话报
2165,2019-04-27,一周研读｜“援军”踌躇，等待最佳买点（2019年4月21日-4月26日）,中信证券研究
2166,2019-04-27,【国金科创前沿】 | 云计算厂商Ucloud,国金证券研究所
2167,2019-04-27,云计算板块投资热情高涨 六股绝佳布局良机,中证报
2168,2019-04-27,机构+大单合力布局云计算 10只概念股股价实现连续上涨,证券日报
2169,2019-04-28,东吴计算机【用友网络点评：软件+云收入增速回升，多款云产品研发迭代将助推云业务加速增长】,吴声计事
2170,2019-04-28,北洋/航信/石基/纳思达/创业/卫宁/深信服/用友/新大陆详评【申万宏源计算机】,申万宏源S全民全流量计算机话报
2171,2019-04-28,民生计算机周报：一季报验证行业景气度，云计算景气度持续提升,MS计算机
2172,2019-04-28,信息科技：以5G为锚 荐3股,和讯
2173,2019-04-28,用友网络一季度扭亏为盈 云服务收入同比增长95%,中新网
2174,2019-04-28,信息科技：盘点中国电科集团的安可布局,和讯
2175,2019-04-28,用友网络：利润端改善明显；软件与非金融云收入高增长下经营杠杆可期,钱凯TMT研究
2176,2019-04-28,【天风计算机】周观点：聚焦网络安全和车联网V2X，附基金一季报持仓分析,兵哥看IT
2177,2019-04-29,【民生计算机】用友网络（600588）：经营效益持续改善，云业务维持高速增长,MS计算机
2178,2019-04-29,【东吴晨报0429】【个股】太阳纸业、保利地产、新城控股、卫宁健康、中炬高新、卫士通、聚光科技、用友网络、开润股份、晨光文具,东吴研究所
2179,2019-04-30,"计算机行业周报:站在5G最大应用,车联网V2X投资逻辑演绎的起点",正点财经
2180,2019-04-30,【计算机】省界收费站取消箭在弦上，关注ETC相关投资机会——计算机行业周报——看好（联系人：王洪磊、王磊、张源）,渤海证券研究
2181,2019-04-30,一季度软件业务收入增逾14% 机构扎堆调研6只概念股,证券日报
2182,2019-04-30,"用友网络:云业务快速增长,主动控制金融业务规模",安信证券
2183,2019-05-04,【民生策略】A股年报与一季报全面解析：收入平稳增长，金融与科技盈利环比显著改善,策略研究猿
2184,2019-05-05,申万宏源一周晨会纪要合集（2019/4/29-2019/4/30）,申万宏源研究
2185,2019-05-05,【国盛计算机】科技成竞争核心，安可为必经之路！——安全可控系列之九,国盛计算机畅想
2186,2019-05-05,用友网络一季度净利8221万元较上年同期扭亏为盈 现金流量净额为-6.18亿元,挖贝网
2187,2019-05-05,计算机行业2019年中期投资策略：拥抱核心技术掘金产业互联网,华创证券
2188,2019-05-06,A股头条之上市公司公告精选（5.7）,金融界
2189,2019-05-06,公告精选：伊利耗资4600万回购股份；三一重工宣布回购计划；万科前四月合同销售金额2096亿元，同比增7%,每日经济新闻
2190,2019-05-06,公告精选：多家公司披露回购进展；万科前四月合同销售金额2096.1亿元,e公司
2191,2019-05-06,前4月2只基金赚6成 农业和消费成功臣,新浪
2192,2019-05-06,[快讯]5月6日晚间沪深两市重要公司公告一览-更新中,中财网
2193,2019-05-06,用友网络：已累计耗资4.69亿元回购股份,e公司
2194,2019-05-06,用友网络(600588.SH)截止4月底累计回购4.69亿元的股份,格隆汇
2195,2019-05-06,用友网络午后封跌停 成交额6.7亿元封单3.92万手,腾讯网
2196,2019-05-06,东吴研究 | 月度策略及金股组合：题材股退潮，成长价值双轮驱动,东吴研究所
2197,2019-05-06,【东吴晨报0506】【月策略】十大金股【行业】机械【个股】歌力思、陕西煤业、中再资环、皖能电力、璞泰来,东吴研究所
2198,2019-05-06,【国君计算机】计算机行业2018年年报&2019年一季报总结：基本面无虞，推荐金融IT、云计算等高景气领域,计墨社
2199,2019-05-07,【计算机】国内外巨头加码布局AI，相关产品加速落地——计算机行业周报——看好（联系人：王洪磊、王磊、张源）,渤海证券研究
2200,2019-05-07,【计算机】第二届工业互联网峰会即将召开，建议积极关注——工业互联网行业双周报——看好（联系人：王洪磊、王磊、张源）,渤海证券研究
2201,2019-05-07,两融业务周报（20190429-20190430）,东吴财经通
2202,2019-05-07,"计算机行业2018年年报及2019年一季报综述:商誉减值集中爆发,行业盈利增速放缓",渤海证券
2203,2019-05-08,中银国际：医疗IT、金融科技、云计算等板块持续向好,证券时报网
2204,2019-05-08,致远互联冲刺科创板 用友网络是创始人又是竞争对手,国际金融报
2205,2019-05-08,"致远互联冲刺科创板 用友网络、二六三等公司""埋伏""",新浪
2206,2019-05-08,【东北销售团队】复盘笔记0507：沪指尾盘回升涨0.69% 个股集体反弹,东北证券研究所
2207,2019-05-08,金山办公改道科创板 募资额增近三倍,北京商报网
2208,2019-05-09,A股头条：上市券商4月业绩断崖式下跌 美股尾盘跳水 盈利能力下降,金融界
2209,2019-05-09,"计算机行业周报:国内外巨头加码布局AI,相关产品加速落地",渤海证券
2210,2019-05-10,净流出174亿的北上资金仍猛买五类股 越跌越买现象普遍,大众证券报
2211,2019-05-10,174亿！北上资金周内净卖出刷新年度峰值，下周将迎来重要时间点！,e公司
2212,2019-05-10,雄安电信签约40家合作伙伴 共建新区5G+DICT生态圈,e公司
2213,2019-05-10,【广证恒生计算机】计算机行业2019年Q1基金持仓分析,广证恒生
2214,2019-05-10,中信证券：长期战略性看好全球科技公司中的优势企业,证券时报网
2215,2019-05-10,【朝闻国盛0510】国常会完善集成电路和软件支持政策，安可产业化势在必行,国盛证券研究所
2216,2019-05-10,外资A股话语权与公募旗鼓相当 北上资金增配趋势不变,中证报
2217,2019-05-12,最新热点个股分类大盘点！（名单）,赢家之星
2218,2019-05-12,财经日历丨174亿！北上资金加速撤离，增持股和减持股一览,21世纪经济报道
2219,2019-05-12,中天能源1.45亿募集资金无法归还 还有7亿8月份待还,新浪
2220,2019-05-13,MSCI明早宣布扩容安排 外资短期关注估值和盈利增速,中证报
2221,2019-05-13,【广证恒生计算机】计算机行业2018年报及2019一季报综述,广证恒生
2222,2019-05-13,上海证券市场大宗交易公开信息(2019-05-13),上交所
2223,2019-05-13,05月13日 111只个股已连涨5天,每日经济新闻
2224,2019-05-13,中信证券：信息安全板块将迎来持续的主题投资机会,证券时报网
2225,2019-05-13,【朝闻国盛0513】新局面新变化，坚守核心资产,国盛证券研究所
2226,2019-05-14,政策助力国际化加速，IT业迎来新机遇,和讯
2227,2019-05-14,【计算机】等保2.0发布，推动安可产业发展——计算机行业周报——看好（联系人：王洪磊、王磊、张源）,渤海证券研究
2228,2019-05-14,A股大概率震荡关注陆股通返场资金水皮：静观其变,中财网
2229,2019-05-14,外资机构：部分A股再具吸引力,中证报
2230,2019-05-14,"计算机行业周报:等保2.0发布,推动安可产业发展",渤海证券
2231,2019-05-15,【国君计算机】科创系列 | 国内协同管理软件领军企业——科创板受理企业致远互联分析,计墨社
2232,2019-05-15,每日研报精选：“喝酒吃肉”行情有望持续 （附股）,每日经济新闻
2233,2019-05-15,【国盛计算机】2019中期策略：投资新起点明确，聚焦安可与云,国盛计算机畅想
2234,2019-05-16,友金服等荣选深圳2018年度经济贡献突出企业,网贷之家
2235,2019-05-16,“熔断机制”的前世今生？,德邦证券微资讯
2236,2019-05-16,【财经早餐】长三角主要领导人峰会将于5月17日举行,华龙掘金
2237,2019-05-17,工业互联网舆情升温 机构青睐细分领域龙头(附股),中财网
2238,2019-05-17,云计算热度不减 机构推荐三主线,中证报
2239,2019-05-18,资金关注热度不减逢低布局5G云计算细分龙头,金融投资报
2240,2019-05-20,用友网络：拟与控股子公司对重庆用友进行增资,发布易
2241,2019-05-20,5月20日上市公司晚间公告速递,新浪
2242,2019-05-20,用友网络：向重庆用友增资,e公司
2243,2019-05-20,用友网络(600588.SH)拟对重庆用友增资,格隆汇
2244,2019-05-20,【山证计算机】计算机行业周报 （20190513-20190519）：关注自主可控、数字乡村建设,山西证券研究所
2245,2019-05-20,云计算热度不减行业延续高景气 六股望率先发力,中证报
2246,2019-05-21,21日公司新闻聚焦：多只华为概念股提示风险,证券时报网
2247,2019-05-21,月内364家公司发布回购公告涉资逾400亿 两主线掘金回购潜力股,证券日报
2248,2019-05-22,政策红利！国产软件迎最强风口，主力机构抢筹,Wind
2249,2019-05-22,百付宝等支付机构吃罚单 股东涉百度、用友等 其他违规处罚,新京报
2250,2019-05-22,百付宝等3家公司吃央行营管部罚单 背后股东是谁？ 其他违规处罚,新京报
2251,2019-05-22,计算机行业周报(20190513~20190519):计算机一线Alpha性价比增加!,申万宏源
2252,2019-05-23,秦洪看盘｜短线A股市场能否企稳，关键要看科技股表现,澎湃新闻
2253,2019-05-23,因违反支付服务相关规定 百付宝等3家公司合计被罚15万 其他违规处罚,每日经济新闻
2254,2019-05-23,“中国芯”概念股逆势狂欢,扬子晚报
2255,2019-05-23,国产软件再度走强，机构：政策利好下国产软件大有可为,第一财经
2256,2019-05-24,五大券商下周看好6板块34股,证券之星
2257,2019-05-24,"海外TMT行业周报:云计算持续得到海内外巨头验证,坚定看好云计算产业链",正点财经
2258,2019-05-24,政策大力支持 芯片及软件类上市公司业绩表现改善明显,证券日报
2259,2019-05-24,TMT行业事件点评:减免优惠政策加速核心技术产业发展,东莞证券
2260,2019-05-26,配套政策扶持力度不断强化 大数据板块及个股分析,证券日报
2261,2019-05-26,民生计算机周报：政策催化不断，关注景气度持续上行的子领域,MS计算机
2262,2019-05-26,下一个BAT从哪里走出？中国潜力民企分布广东、浙江平分秋色,第一财经
2263,2019-05-27,重庆市渝北与中国软件行业协会签约 共建软件产业生态圈,e公司
2264,2019-05-27,计算机行业周报:国产软件大有可为,山西证券
2265,2019-05-28,今年高管套现远超增持 机构称增持股业绩动力足,大众证券报
2266,2019-05-28,上海证券市场大宗交易公开信息(2019-05-28),上交所
2267,2019-05-28,工业互联网驱动制造业转向“智造” 五股热,证券时报
2268,2019-05-28,基本面向好 软件股扎堆涨停,中证报
2269,2019-05-29,上海证券市场大宗交易公开信息(2019-05-29),上交所
2270,2019-05-29,华为与自主品牌车厂合作逐步落地，全面布局五大领域，加速智能汽车商用,中信建投证券研究
2271,2019-05-30,94258元！北京人均工资刷屏，更有这类企业人均14.6万！,中国基金报
2272,2019-05-30,94258元！北京发布2018年城镇单位就业人员平均工资,北青网
2273,2019-05-31,2018年北京平均工资达9.4万元 金融业高薪占据榜首,新浪
2274,2019-06-03,用友网络：云核心战略确立 预计2021年云收入占比超35%,国金证券
2275,2019-06-03,今年基金收益降至15.78% 仅7只盈利超5成,金融投资报
2276,2019-06-03,12股评级被调高至一级 逾7成跑赢大盘,中证网
2277,2019-06-03,【国金晨讯精选】用友网络、金洲管道首次覆盖，上海机场深度，欧央行货币政策二十年,国金证券研究所
2278,2019-06-04,科创板上市委将迎首批三位“赶考者”，预上会企业背后的“影子股”全曝光！（名单）,每日经济新闻
2279,2019-06-04,用友网络(600588.SH)截止5月底累计回购1918.67万股 涉资4.69亿元,格隆汇
2280,2019-06-04,用友网络转出审计软件 收购能源科技公司,中金在线
2281,2019-06-05,行业 | 企业SaaS动态跟踪（浪潮国际等领军企业值得关注）,一计之长
2282,2019-06-05,山西证券：主要关注自主可控、工业互联网板块,证券时报网
2283,2019-06-05,"计算机行业2019年下半年投资策略:围绕中期主线,关注景气细分",光大证券
2284,2019-06-06,【方正策略】科技龙头身在何处,策略研究
2285,2019-06-06,【国盛计算机】景气主线与科创碰撞的机会,国盛计算机畅想
2286,2019-06-06,中银国际*晨会聚焦20190606,中银国际证券研究
2287,2019-06-06,社保基金连续5个季度 持有13只云计算板块龙头股,证券日报
2288,2019-06-06,"计算机行业:多项政策催化,自主可控未来可期",国联证券
2289,2019-06-06,"用友网络:子公司结构调优,加码SaaS优势领域",证券之星
2290,2019-06-09,A股龙头大PK：百强龙头贡献A股近五成市值（附名单）,证券时报
2291,2019-06-10,信息科技：微软联手甲骨文 荐4股,财通证券
2292,2019-06-10,"【计算机】4G改变生活,5G改变社会",格隆汇
2293,2019-06-10,计算机 | 关注边际变化,中泰证券研究所
2294,2019-06-11,华为用友合作明，科创TMT哪些行？【申万宏源TMT】,申万宏源S全民全流量计算机话报
2295,2019-06-11,计算机行业周报:“重返科技”的投资窗口临近,证券之星
2296,2019-06-13,用友网络(600588.SH)：国内财务软件龙头，未来成长性几何？,格隆汇
2297,2019-06-13,巨丰资金流向：市场窄幅调整 122亿主力资金继续外流,巨丰财经
2298,2019-06-13,06月13日 71只股票封板 石油行业板块涨幅最大,每日经济新闻
2299,2019-06-13,06月13日 主力资金近三日都在买这些概念股,每日经济新闻
2300,2019-06-13,06月13日 主力资金抢筹最积极的前10股（附名单）,每日经济新闻
2301,2019-06-13,软件服务板块盘中走强 科创信息、恒锋信息双双涨停,巨丰财经
2302,2019-06-13,用友网络早盘封涨停 成交额7.66亿元封单13.8万手,腾讯网
2303,2019-06-13,银河证券：5G带来数据传输速度飞跃，边缘计算有望受益,证券时报网
2304,2019-06-14,《云计算半月刊》第三十期（2019.6.14）,计算机司令部
2305,2019-06-14,融资客青睐19股，广誉远买入占比高达46.52%,Wind
2306,2019-06-14,15股被主力资金扫货超亿元 贵州茅台再获北向资金抢筹,证券时报
2307,2019-06-15,国金# 用友网络 | 公司精要360° | 第34期,国金证券研究所
2308,2019-06-15,光大证券:中小创下半年赢面更大 看好九大行业十大标的,金融投资报
2309,2019-06-16,信息科技：计算机公司有望迎来价值重估 荐12股,西南证券
2310,2019-06-17,上海证券市场大宗交易公开信息(2019-06-17),上交所
2311,2019-06-17,【中信建投 海外TMT】海外TMT行业周报：海外云计算龙头加码数据分析具有借鉴意义，关注国内相关公司的投资机会,建投海外研究
2312,2019-06-17,安信国际 | TMT行业报告：产业互联网乘势而起，SaaS云迎来跨越式发展,安信国际
2313,2019-06-18,用友网络：股东优富累计减持计划时间过半，期间未减持公司股票,Wind
2314,2019-06-18,用友网络(600588.SH)：益倍减持计划时间过半 已累计减持309.328万股,格隆汇
2315,2019-06-19,2019年下半年计算机行业投资策略：技术发展唤起数据时代，云计算产业正式起步，维持“推荐”评级,格隆汇
2316,2019-06-19,华泰TMT王林团队 | 计算机：光云科技、普元信息解读,华泰证券研究所
2317,2019-06-19,科创板顺利推进 关注受益股,金融投资报
2318,2019-06-20,IPO每日动态 | Slack美股今晚登陆纽交所，科创板第一股华兴源创更新招股书（附2019 IPO名单）,IPO早知道
2319,2019-06-21,06月21日 主力资金抢筹最积极的前10股（附名单）,每日经济新闻
2320,2019-06-21,工业互联网概念股午后拉升,Wind
2321,2019-06-21,【IPO透视】周期顶端，需等待明源云双击机会,财华社
2322,2019-06-21,SaaS超级独角兽将纽交所上市 云计算市场有望受到推动(股),金融界
2323,2019-06-22,【安信计算机】美股云计算公司迭创新高的启示,计算机司令部
2324,2019-06-22,用友网络加入5G应用产业方阵理事单位,Wind
2325,2019-06-22,用友网络加入5G应用产业方阵理事单位,e公司
2326,2019-06-23,陆家嘴财经早餐2019年6月23日星期日,Wind
2327,2019-06-24,企业级SaaS市场快速发展 国内企业加快市场布局,中证网
2328,2019-06-24,【计算机-胡又文】计算机行业动态分析,安信证券研究
2329,2019-06-25,用友网络：股东减持数量过半，累计减持0.16%公司股份 减持股份,Wind
2330,2019-06-25,用友网络(600588.SH)：优富累计减持400万股,格隆汇
2331,2019-06-25,用友网络：股东优富累计减持400万股，本次减持计划尚未实施完毕 减持股份,Wind
2332,2019-06-25,【山证计算机】计算机行业周报 （20190617-20190623）：工业互联网产业化进程加速,山西证券研究所
2333,2019-06-26,狠，清仓式减持金额或超百亿！ 减持股份,德邦证券微资讯
2334,2019-06-27,六成科技龙头股年内跑赢大盘 18股未来3年业绩向好,证券时报
2335,2019-06-28,重磅！2019中国软件百强企业榜单揭晓,财经网
2336,2019-06-28,用友网络(600588.SH)：若干高管拟合计减持不超111.0845万股,格隆汇
2337,2019-06-28,用友网络：6名高管拟减持合计不超过0.05%公司股份 减持股份,Wind
2338,2019-06-28,06月28日 收盘突破年线个股一览,每日经济新闻
2339,2019-06-29,用友网络6名高级管理人员拟减持股份 预计减持不超总股本0.045%,挖贝网
2340,2019-07-01,2019年中国SAAS行业市场现状及发展趋势分析 投资“风口”转移偏向数字化发展,前瞻研究院
2341,2019-07-01,计算机行业中期策略:聚焦云计算、非银科技、医疗信息化三条主线的投资机会,东北证券
2342,2019-07-02,【山证计算机】计算机行业周报 （20190624-20190630）：医疗信息化再迎利好,山西证券研究所
2343,2019-07-02,"数字中国专题报告2:工业互联网步入实践深耕阶段,赋能传统产业转型升级",山西证券
2344,2019-07-02,"计算机行业2019下半年策略报告:企业级SaaS进入爆发期,5G应用提前到来",国海证券
2345,2019-07-03,用友网络(600588.SH)：回购时间已到期 已累计回购4.69亿元的股份,格隆汇
2346,2019-07-04,数据王：密切关注！回购规模再现历史峰值,巨丰财经
2347,2019-07-04,近六成个股跑赢大盘 天风证券获“冠军”,证券日报
2348,2019-07-06,左手成长 右手防御：期货大佬葛卫东变身A股牛散,证券时报
2349,2019-07-07,【兴业计算机】周观点20190707：预计板块中报业绩较为稳健，关注科创板的联动投资机会,兴业计算机团队
2350,2019-07-07,计算机行业：围绕中期主线 关注景气细分,南方财经网
2351,2019-07-08,信息科技：聚焦成长性行业赛道 荐5股,广证恒生
2352,2019-07-08,信息科技：智能云和云安全高速增长 荐9股,中信建投
2353,2019-07-08,年中预亏30%，金蝶国际祸不单行，遭遇管理层减持、大行下调评级 预亏,财华社
2354,2019-07-08,"计算机行业周报:云化持续深入,信息安全产业目标远大",德邦证券
2355,2019-07-09,科创板首批公司上市在即，积极关注A股相关影子股——计算机行业周报——看好（联系人：王洪磊、王磊、张源）,渤海证券研究
2356,2019-07-10,用友网络：拟斥资978.12万元认购民太安增发股票 提高未来投资收益,发布易
2357,2019-07-10,用友网络(600588.SH)拟认购民太安财产保险公估公司增发股份,格隆汇
2358,2019-07-10,用友网络：拟978.12万元认购民太安384万增发股,Wind
2359,2019-07-10,五大券商周四看好6板块38股,证券之星
2360,2019-07-11,[快讯]7月11日大宗交易一览,中财网
2361,2019-07-11,上海证券市场大宗交易公开信息(2019-07-11),上交所
2362,2019-07-11,云计算上市公司一季报总结：IaaS高速增长，SaaS崭露头角,东兴证券
2363,2019-07-11,47股获券商买入评级 天邦股份目标涨幅达74.83%,Wind
2364,2019-07-12,【中信建投 海外TMT】日韩贸易摩擦波及全球半导体产业，国产芯片及材料厂商有望受益,建投海外研究
2365,2019-07-14,《云计算半月刊》第三十二期（2019.7.15）,计算机司令部
2366,2019-07-15,容维证券刘思山：大盘探底回升 向上概率增大,证券时报网
2367,2019-07-15,A股先抑后扬成功逆转！创指涨近2% 科技板块集体爆发,中新经纬
2368,2019-07-15,四大券商周二看好六大板块,证券之星
2369,2019-07-15,07月15日 主力资金抢筹最积极的前10股（附名单）,每日经济新闻
2370,2019-07-15,收评：三大股指触底反弹沪指涨0.4% 军工股表现强势,新浪
2371,2019-07-15,半导体、电子设备：业绩增速让投资机会明朗化 荐5股,中银国际
2372,2019-07-15,【异动股】软件板块午后持续活跃网达软件(603189-CN)等涨停,财华社
2373,2019-07-15,午评：三大指数触底回升沪指涨0.76% 中船系领涨,新浪
2374,2019-07-15,【异动股】国产软件板块拉升，鼎捷软件(300378-CN)涨停,财华社
2375,2019-07-15,快讯：软件概念股盘中拉升 鼎捷软件等多股涨停,新浪
2376,2019-07-15,软件股盘中拉升 鼎捷软件、宇信科技等涨停,证券时报网
2377,2019-07-15,新技术层出不穷：5G落地 创新跟进,经济日报
2378,2019-07-15,计算机行业2019年半年报业绩前瞻:关注领军公司现金流高增,申万宏源
2379,2019-07-16,上海证券市场大宗交易公开信息(2019-07-16),上交所
2380,2019-07-16,07月16日 主力资金近三日都在买这些概念股,每日经济新闻
2381,2019-07-16,【山证计算机】计算机行业周报 （20190708-20190714）：关注业绩中报超预期个股,山西证券研究所
2382,2019-07-17,摩根士丹利报告：哪些未来科技企业具有投资价值？,第一财经
2383,2019-07-17,用友网络(600588.SH)控股股东解押1471.00万股,格隆汇
2384,2019-07-17,消费+金融是主流 绩优基金继续加仓白酒,金融投资报
2385,2019-07-17,07月17日 主力资金近三日都在买这些概念股,每日经济新闻
2386,2019-07-18,十大公募基金重仓股之汇添富基金：二季度减持金融 加仓白酒 减持股份,每日经济新闻
2387,2019-07-18,用友网络：拟750万元收购“北京薪福社”15%股权,Wind
2388,2019-07-19,【东吴计算机周报】：科创板网络安全公司梳理,吴声计事
2389,2019-07-19,北京2018年软件行业新增企业3000余家,工业新闻网
2390,2019-07-20,【安信计算机】基金二季报持仓分析：“抱团”再现，持仓集中,计算机司令部
2391,2019-07-21,【兴业计算机】周观点20190721：科创板开市在即，继续超配科创型细分龙头,兴业计算机团队
2392,2019-07-21,【二季度仓位跟踪】持仓比例环比下降1.2个百分点略超配，头部公司仓位稳固【光大计算机】,计算机国平
2393,2019-07-22,医疗保健：计算机中报业绩预告分析 荐11股,中信建投
2394,2019-07-22,【计算机-胡又文】计算机行业动态分析,安信证券研究
2395,2019-07-22,【兴证计算机】2019Q2持仓分析：超配0.69%，环比下降0.67%,兴业计算机团队
2396,2019-07-22,计算机行业周报:医疗信息、云计算板块边际改善持续向好,山西证券
2397,2019-07-22,"计算机行业动态跟踪报告:基金持仓随板块回调明显回落,风险偏好重归谨慎",平安证券
2398,2019-07-22,"计算机行业2019Q2公募基金计算机板块持仓跟踪:持仓比例环比下降1.2个百分点略超配,头部公司仓位稳固",光大证券
2399,2019-07-23,微软业绩再超预期，A股下一个千亿市值公司花落谁家？,和讯
2400,2019-07-23,用友与华为共同推进鲲鹏计算产业发展,DoNews
2401,2019-07-23,港股通(沪)净流入6.88亿 港股通(深)净流入4.94亿,新浪
2402,2019-07-23,07月23日 收盘突破年线个股一览,每日经济新闻
2403,2019-07-23,收评：沪股通净流入3.35亿 深股通净流出7.4亿,新浪
2404,2019-07-23,区块链全面进入应用时代，A股相关标的或存巨大机会,第一财经
2405,2019-07-23,区块链板块午后异动 晨鑫科技封涨停板,第一财经
2406,2019-07-23,区块链概念股尾盘走高 晨鑫科技涨停,中证网
2407,2019-07-23,港股通(沪)净流入4.55亿 港股通(深)净流入3.12亿,新浪
2408,2019-07-23,【计算机】2019Q2计算机行业机构持仓比重有所下降，但仍处于超配状态——计算机行业周报——看好（联系人：王洪磊、张源、王磊）,渤海证券研究
2409,2019-07-23,【东北销售团队】复盘笔记1118：沪指涨0.62%重回2900点 钢铁股强势上涨,东北证券研究所
2410,2019-07-24,华为云宣布鲲鹏凌云伙伴计划，全国首个投入1亿元发展多元产业生态,砍柴网
2411,2019-07-24,《云计算服务安全评估办法》发布10只半年报预喜股备受机构青睐,证券日报
2412,2019-07-25,鲲鹏产业链公司首批年报发布点评 | 神州信息领衔成长，突破金融信创领域,一计之长
2413,2019-07-25,43亿借壳被否！如今市值超200亿！688033的“曲线上市”之路,金融界
2414,2019-07-25,"信息技术产业行业点评:鲲鹏展翅的启示,关注软件国产化替代加速的投资机遇",国金证券
2415,2019-07-26,【广证恒生计算机】计算机行业2019年Q2基金持仓分析,广证恒生
2416,2019-07-28,【安信计算机】华为开发者大会前瞻：5G+AI引领新一轮终端革命,计算机司令部
2417,2019-07-28,半导体、电子设备：关注华为鲲鹏生态受益标的 荐6股,国海证券
2418,2019-07-29,[快讯]用友网络911万限售股8月5日解禁 解禁,中财网
2419,2019-07-29,用友网络(600588.SH)：893.01万股将于8月5日解禁 解禁,格隆汇
2420,2019-07-29,07月29日 主力资金抢筹最积极的前10股（附名单）,每日经济新闻
2421,2019-07-29,【信息技术行业】ERP专题：如何看待高端ERP的国产化与云化机遇？,格隆汇
