,2021-12-31,"年终盘点|2021年十大""争议""白马股",新浪
1250,2021-09-29,格力电器拟注销价值约105亿元股票 三次回购仍难阻股价下跌,每日经济新闻
1251,2021-09-29,发生了什么？万亿巨无霸逼近跌停！节后会如何？,Wind
1252,2021-09-29,格力电器注销105亿元股票冲上热搜，专家称股价反弹难持久,南都报
1253,2021-09-29,股价跌跌不休，格力电器深夜突放利好，二次宣布注销回购股份，高瓴质押股份紧急“补仓”,21世纪经济报道
1254,2021-09-29,什么情况？中石油重挫8%！煤炭石油化工集体杀跌,Wind
1255,2021-09-29,懵了！A股突然大跌70点，煤炭石油化工集体杀跌！中石油重挫8%，三只千亿大白马跌停！大牛股狂跌17%，格力冲上热搜！恒大系反攻,中国基金报
1256,2021-09-29,空调成发电站？格力电器或现触底反弹势头，年内市值蒸发超2000亿,AI财经社
1257,2021-09-29,李书福为何选择在武汉造手机,和讯
1258,2021-09-29,格力注销百亿市值股份 赢得中小股东支持,极客网
1259,2021-09-29,格力电器将注销 2.2 亿股,ZAKER
1260,2021-09-29,格力再注销2.2亿股，这次能挽救跌跌不休的股价吗？丨一只热股,第一财经
1261,2021-09-29,格力电器将注销2.21亿股，市值近百亿,阿尔法工场
1262,2021-09-29,回购已花近300亿！格力电器将注销2.2亿股,快科技
1263,2021-09-29,家用电器行业周报(第三十八周)：债股收益差波动指示阶段机会 看好后续相对收益,新浪
1264,2021-09-29,小调查：你看好格力电器A股走势吗？,新浪
1265,2021-09-29,董明珠“放大招”！格力电器将注销2.2亿股，高瓴和散户们能解套吗？,证券之星
1266,2021-09-29,格力电器拟注销2.21亿股，三轮回购斥资近300亿，股价能否再次起飞？,第一财经
1267,2021-09-29,格力电器放大招，释放什么信号？,Wind
1268,2021-09-29,北向资金动向盘点：持续买入食品饮料,Wind
1269,2021-09-29,格力电器注销近百亿市值股份管理层持续回购彰显信心,挖贝网
1270,2021-09-29,搅局者「美的」的分野时刻,36氪
1271,2021-09-29,盘前情报丨格力电器将注销2.2亿股，市值近100亿！物联网新基建三年行动计划出台，概念股一览,21世纪经济报道
1272,2021-09-29,美股重挫；格力电器拟注销2.2亿股；中国电建拟置入电网辅业资产；文化长城可能被实施其他风险警示,中证报
1273,2021-09-29,09.29股市早8点丨滞留的融资客今明交出筹码,中金在线
1274,2021-09-29,格力电器又放大招，将注销2.2亿股，释放什么信号？三轮回购斥资270亿，股价能否雄起？,券商中国
1275,2021-09-29,格力电器拟注销2.21亿股，其余股份仍用于员工持股计划,乐居财经
1276,2021-09-29,北向资金扫货金融地产，出逃五粮液、格力电器等股（名单）,21世纪经济报道
1277,2021-09-29,成交萎缩，市场谨慎——道达早评,每日经济新闻
1278,2021-09-29,【中证盘前】美股重挫；格力电器拟注销2.2亿股，市值近100亿；中国电建拟置入电网辅业资产；文化长城可能被实施其他风险警示,中证报
1279,2021-09-29,格力电器超预期注销第三期回购70%股份 分析师：能否提振市场信心存疑,财联社
1280,2021-09-29,格力注销2.2亿股股份，每股收益要涨！万亿板块迎利好,Wind
1281,2021-09-29,南财早新闻丨易纲重磅发文！将尽可能延长实施正常货币政策的时间；央视网评拉闸限电背后的大棋论,21世纪经济报道
1282,2021-09-29,盘前必读丨国家电网紧急会议传达重要信息 格力电器拟注销价值100亿股份,第一财经
1283,2021-09-29,物联网迎重磅利好，机构预测高增长概念股名单来了,证券时报网
1284,2021-09-29,大股东补充质押9000万股 格力电器多元化道路何去何从？ 股票质押异常,投资者网
1285,2021-09-29,【经纬早班车】格力电器拟注销价值100亿股份，美国19城房价创历史新高,中新经纬
1286,2021-09-29,格力电器拟对第三期2.2亿股回购股份进行注销,全景网
1287,2021-09-29,格力电器将注销2.2亿股，剩余30%用来做员工持股计划,中华网
1288,2021-09-28,格力电器出了真利好！,平点金基
1289,2021-09-28,格力电器：第三期回购股份70%注销，剩余用作员工持股计划,澎湃新闻
1290,2021-09-28,公告精选：万华化学上调10月份聚合MDI挂牌价；格力电器拟注销第三期回购部分股份,e公司
1291,2021-09-28,晚间公告热点追踪：格力电器将注销2.2亿股 市值近100亿 股民嗨了！,新浪
1292,2021-09-28,格力电器将注销2.2亿股，市值近100亿！,Wind
1293,2021-09-28,格力电器将注销2.2亿股，市值近100亿，股民嗨了！回购已花近300亿，珠海明骏却紧急质押“补仓”,e公司
1294,2021-09-28,格力电器公告，公司拟注销第三期回购已买入股份的70%（即2.21亿股）以减,新浪
1295,2021-09-28,格力电器：拟注销第三期回购部分股份 其余用于员工持股计划,财联社
1296,2021-09-28,吉利打算做高端手机，防御还是进攻？,财经网
1297,2021-09-28,官宣！李书福为什么要造手机？,腾讯网
1298,2021-09-28,北向资金节前连续三日加仓累计净买入90亿，东方财富净买入超6亿元,Wind
1299,2021-09-28,刚刚，李书福官宣进军手机领域，项目总部落户武汉,中国财富网
1300,2021-09-28,反向跨界？吉利汽车李书福进军智能手机市场,奥一网
1301,2021-09-28,董明珠：格力“光储空”可让企业摆脱限电停电困扰,财经国家周刊
1302,2021-09-28,“拉闸限电”掀起停工潮，格力光伏储能产品优势凸显 经营问题,艾肯家电
1303,2021-09-28,白色家电业绩持续恢复，股价为何反跌跌不休？,每日财报
1304,2021-09-28,北向资金动向盘点：食品饮料大涨，是最大受益者之一,Wind
1305,2021-09-28,【银河家电李冠华】行业点评丨家用空调新冷年开局平淡,中国银河证券研究
1306,2021-09-28,白酒股又香了！北向资金买入酿酒行业25亿元，“茅五”被大幅扫货,21世纪经济报道
1307,2021-09-27,海尔智家(600690)：最具ALPHA的白电龙头引领家电下一个十年,新浪
1308,2021-09-27,每满300减30 京东家电“十一家电节”开启“新国品计划”,凤凰网
1309,2021-09-27,攀枝花市格力斯工贸有限责任公司行政处罚决定书（攀生环罚字〔2021〕78号） 环保处罚,攀枝花人民政府
1310,2021-09-27,格力成立置业公司，注册资本1000万元,TechWeb
1311,2021-09-27,家用电器行业周报：三季度家电淘数据总结,华安证券
1312,2021-09-27,浙商大数据智选消费业绩滑坡，大数据选股遭市场风格轮动教育 盈利能力下降,和讯
1313,2021-09-27,"格力在武汉投资成立房地产公司,注册资金1000万元",搜狐
1314,2021-09-27,家用电器行业周报：个护小电升级明显 云鲸新品亮点突出,新浪
1315,2021-09-27,格力入主银隆 能否撑起董明珠的造车梦？,极客网
1316,2021-09-27,家用电器行业周报：从云鲸新品J2看扫地机创新趋势,新浪
1317,2021-09-27,格力电器成立武汉钰力润珠置业公司，注册资本1000万元,乐居财经
1318,2021-09-27,家电行业2021年8月数据简报：宏观消费景气欠佳 新兴品类各自精彩,新浪
1319,2021-09-27,格力在武汉投资成立房地产公司,财联社
1320,2021-09-26,家电8月数据点评：需求回落 关注格局与新品,新浪
1321,2021-09-26,小米们要下场造车，吉利却转身造手机，李书福究竟想干啥？,36氪
1322,2021-09-26,家用电器研究周报：Q4有望开启估值切换行情,光大证券
1323,2021-09-26,发生了什么？格力电器第一大股东珠海明骏补充质押9000万股！ 股票质押异常,环球老虎财经
1324,2021-09-26,三大家电巨头逐鹿智能家居赛道，谁是这条赛道上的领跑者？,36氪
1325,2021-09-26,家用电器行业：月空调内销增速放缓 外销增速回暖,广发证券
1326,2021-09-26,从8折入股到浮亏74亿 格力股价跌跌不休考验高瓴资本“耐性” 投资失误,和讯
1327,2021-09-26,2021年上半年白电上市公司股价跌跌不休,第一家电网
1328,2021-09-25,账面现金1344亿，董明珠不惧格力的“至暗时刻”?,钛媒体
1329,2021-09-25,“汽车狂人”吉利李书福招兵买马造手机？网友：以后买车送手机,时代周报
1330,2021-09-25,格力跌跌不休，私募巨头质押“补仓”！,中国基金报
1331,2021-09-25,Wind风控日报2021年9月25日星期六,Wind
1332,2021-09-25,上市公司正负面新闻2021年9月25日星期六,Wind
1333,2021-09-25,今年以来A股公司回购总额近1400亿元,Wind
1334,2021-09-24,晚间重要公告2021年9月24日星期五,Wind
1335,2021-09-24,格力电器：珠海明骏部分股份补充质押,e公司
1336,2021-09-24,格力电器：大股东珠海明骏与一致行动人董明珠累计质押8.26亿股股份,Wind
1337,2021-09-24,华夏基金新基配置“双基金经理” 刘明宇6只在管产品业绩全部飘红,新浪
1338,2021-09-24,格力电动车有了新进展,Bianews
1339,2021-09-24,格力电器电动车主驱控制器测试专利获授权，可保障测试人员安全,第一财经
1340,2021-09-24,家电行业周报：8月空调外销同比提升12.3%,渤海证券
1341,2021-09-24,格力电器(000651)2021年中报点评：空调复苏不及预期拖累表现 长期价值凸显 盈利能力下降,新浪
1342,2021-09-23,家电龙头向科技领先转型 格力美的在专利上你追我赶,第一财经
1343,2021-09-23,格力电器(000651.SZ)：珠海明骏补充质押9023.5963万股,格隆汇
1344,2021-09-23,北向资金时隔一个月再度单周净流出超88亿，日常消费成净卖出主力，格力电器、中国平安持仓市值锐减,财联社
1345,2021-09-23,格力护航全国首个健康驿站，刷新项目服务新纪录,新快报
1346,2021-09-23,格力电器市值腰斩，谁的锅？,36氪
1347,2021-09-23,北向资金净卖出额创近一个月新高，银行股遭大幅抛售,Wind
1348,2021-09-23,格力电器今年股价跌幅近4成 多元化投资何时才能发力？,第一财经
1349,2021-09-23,东方雨虹(002271)跟踪快报：从比较优势理论说开去,新浪
1350,2021-09-23,董明珠想圆手机梦，靠王自如可不够,ZAKER
1351,2021-09-22,家电行业周报-8月家电销售跟踪系列2：厨电内销稳健外销强劲 家电出口表现强劲,新浪
1352,2021-09-22,格力电器：董明珠获第四届中国质量奖提名奖,e公司
1353,2021-09-22,2大重仓股赚300亿！高瓴A股投资版图来了（名单）,Wind
1354,2021-09-21,家用电器行业周报：地产竣工加速 集成灶、清洁电器板块景气延续,华安证券
1355,2021-09-20,日丰股份：公司暂没有参与工信小巨人的评选,Wind
1356,2021-09-20,格力逆袭，王自如造？,36氪
1357,2021-09-20,"消费股要""王者归来""？三大信号乍现",Wind
1358,2021-09-18,9倍的格力，忍心割肉吗？,格隆汇
1359,2021-09-18,家用电器研究周报(2021年第37周)：上游行业“煤飞色舞” 家电表现中规中矩,光大证券
1360,2021-09-18,满坤科技IPO回复问询：格力电器成第二大客户 毛利率受原材料大涨走低 问询,和讯
1361,2021-09-18,家电市场增速缓慢，格力业务拓展多点开花,证券日报
1362,2021-09-18,又见融资爆仓！白马股爆仓案例频频,Wind
1363,2021-09-17,家电行业9月月报：中报季收官 关注细分赛道龙头,渤海证券
1364,2021-09-17,何为完美质量？董明珠：把产品像艺术品一样打造,经济网
1365,2021-09-17,跌回2年前！散户爆仓、高瓴浮亏，格力电器遭遇了啥？ 股票质押异常,证券之星
1366,2021-09-16,格力电器蒸发1600亿！盲目加杠杆，投资大白马也能爆仓？ 股票质押异常,搜狐
1367,2021-09-16,格力电器股价跌回两年前 高瓴“被套” 有投资者加杠杆爆仓 股票质押异常,证券之星
1368,2021-09-16,股价跌回两年前，市值跌没1700亿！散户爆仓、高瓴浮亏…大白马格力电器遭遇了啥？ 股票质押异常,21世纪经济报道
1369,2021-09-16,中秋假期前外资暂时离场净卖出超30亿，万科A净卖出额创近4年新高,Wind
1370,2021-09-16,21深度丨散户爆仓、高瓴由盈转亏，市值缩水1700亿的大白马格力电器遇到了什么坎儿？ 股票质押异常,21世纪经济报道
1371,2021-09-16,干货！发改委发布会：保供稳价、粮食安全、猪肉收储,Wind
1372,2021-09-16,魏银仓骗走董明珠26亿元，跑去美国逍遥，为何董明珠成大赢家,搜狐
1373,2021-09-16,中国质量奖揭晓：美的、中兴等4粤企上榜，董明珠获个人提名,奥一网
1374,2021-09-16,每日理财观察：债券通“南向通”将于9月24日正式上线,Wind
1375,2021-09-16,“家电茅”跌42%，又见投资者爆仓！白马股怎么啦 股票质押异常,Wind
1376,2021-09-16,新能源车产业头部效应凸显，资源整合渐成趋势,Wind
1377,2021-09-15,北向资金今日净买入逾21亿元，批量扫货光伏股,Wind
1378,2021-09-15,格力电器跌破40元，股价创新低，外资连续16天卖出,搜狐
1379,2021-09-15,刚刚，恒大事件，国家统计局回应,Wind
1380,2021-09-15,格力电器跌回2年前，市值半年蒸发近1600亿元，高瓴资本也被套了,AI财经社
1381,2021-09-15,A股资金流向（9月15日）：“打地鼠”行情愈演愈烈，新能源“王位”难以撼动,Wind
1382,2021-09-15,A股收盘：富时中国A50指数三连阴 白马股多数下跌 格力跌破40元,智通财经
1383,2021-09-15,家电行业2021年半年报业绩综述：板块配置价值提升 未来可期,渤海证券
1384,2021-09-15,A股收盘综述：风电、化工股批量涨停，光伏、盐湖提锂、特高压、纯碱轮番表演,Wind
1385,2021-09-15,茅指数跌超2%，五粮液、格力电器、海天味业、晨光文具均创阶段新低,Wind
1386,2021-09-15,A股异动 | 格力电器(000651.SZ)六连跌 这下又要珍惜30元的格力？,格隆汇
1387,2021-09-15,格力电器150亿回购完成 A股回购规模创历史新高,新浪
1388,2021-09-15,家用电器行业周报：石头扫地机逆势加速 新品G10双平台预定超6千件 8月奥维集成灶、清洁景气延续,新浪
1389,2021-09-15,跌破40元！格力270亿回购难挡股价下跌，市值不足美的一半,证券之星
1390,2021-09-15,让空调成为发电站，董明珠和格力电器的新能源棋局,时代周报
1391,2021-09-15,董明珠、雷军押注造车，雷军赢面应在七成以上,和讯
1392,2021-09-15,北向资金动向盘点：周期股下跌，净卖第一却是食品饮料,Wind
1393,2021-09-15,王自如加盟格力“操刀”手机业务 董明珠剑指智能家居生态,证券日报
1394,2021-09-14,董明珠的新能源棋局：家电不香光伏香，格力要让空调成为发电站,时代周报
1395,2021-09-14,市场资金面周观察：新增社融高于预期 股市流动性小幅下降,新浪
1396,2021-09-14,王自如“到岗”不到半年 助董明珠再续“手机梦”,证券日报网
1397,2021-09-14,外资周报第98期：北上流入提速 成交持续活跃,新浪
1398,2021-09-14,苏泊尔和格力回购相继完成却依旧不受市场“待见”：一家接近腰斩 一家跌穿“战友”持仓线,和讯
1399,2021-09-14,计算机行业：鸿蒙商业系统用户突破9千万 开源鸿蒙系统将构建数字中国系统底座 金融IT持续受益资本市场改革红利,新浪
1400,2021-09-14,空调营收被美的反超，格力拿什么重拾高增长？,中国电子报
1401,2021-09-14,销量长期惨淡董明珠不放弃，员工：旧款手机4折卖,时代周报
1402,2021-09-14,2021年9月第2周策略周报：全球疫情第三轮浪潮间接延长本轮周期行情持续至2021Q4,新浪
1403,2021-09-14,除了银隆，董明珠实在没什么故事可讲,36氪
1404,2021-09-14,王自如操刀格力新手机？董明珠不放弃，员工：旧款手机4折卖！,时代周报
1405,2021-09-14,年内A股逾千家公司回购总额超1300亿元,Wind
1406,2021-09-13,金融市场流动性与监管动态周报：融资需求偏弱 微观流动性继续走高,新浪
1407,2021-09-13,家用电器行业周报：白电回暖 集成灶、清洁电器景气度延续 8月家电淘数据跟踪,华安证券
1408,2021-09-13,北向资金净卖出额创近一个月新高，白酒、有色股遭抛售,Wind
1409,2021-09-13,格力电器公开热管理系统和电动汽车专利，可提高新能源客车续航能力,第一财经
1410,2021-09-13,格力电器：公司完成回购，总计回购约3.16亿股,每日经济新闻
1411,2021-09-13,家用电器行业周报：8月集成灶销额稳步增长 火星人亿田保持领先,广发证券
1412,2021-09-13,格力电器业务拓展多点开花，重点布局储能产业,证券日报
1413,2021-09-13,格力电器完成150亿元股票回购，董明珠加速实施十年发展规划？,新京报
1414,2021-09-13,接近格力电器人士：银隆未来三个月会有大调整,财联社
1415,2021-09-13,格力新手机曝光：王自如入职的杰作？,中关村在线
1416,2021-09-13,业内人士：银隆未来三个月会有大的调整,Wind
1417,2021-09-13,格力完成150亿元回购 提振股价靠银隆、新手机还是促销？,第一财经
1418,2021-09-13,豪掷18亿，董明珠拿下造车和储能两大技术，一举两得能否突围？,腾讯网
1419,2021-09-13,格力中央空调中标横琴冷站项目,证券时报网
1420,2021-09-13,格力150亿元顶格回购难挡股价下跌，营收尚未恢复至疫情前 盈利能力下降,澎湃新闻
1421,2021-09-13,"【中证盘前】润和软件终止“加价”回购资产；格力电器完成150亿元回购；*ST海航、*ST基础战投确定；Model Y高性能版涨价
终止回购",中证报
1422,2021-09-13,家电市场日渐饱和格力发力多赛道转型,证券日报
1423,2021-09-12,耗时百日 格力电器150亿元“顶格”回购难挡股价下跌,e公司
1424,2021-09-12,格力电器耗资150亿元完成第三期回购,上证报
1425,2021-09-12,格力电器(000651.SZ)完成第三期股份回购 耗资约150亿元,智通财经
1426,2021-09-12,格力电器：第三期回购已实施完毕 累计回购150亿元,e公司
1427,2021-09-12,粤开证券:市场分化略有弥合，继续结构性掘金,Wind
1428,2021-09-12,格力电器：已耗资150亿元完成第三期股份回购,Wind
1429,2021-09-12,下周操盘攻略：市场从独乐乐走向众乐乐,Wind
1430,2021-09-12,董小姐没放弃手机业务 格力新手机曝光分析人士怎么看？,证券时报
1431,2021-09-12,陆家嘴财经早餐2021年9月12日星期日,Wind
1432,2021-09-12,董明珠笑了！格力新手机曝光，王自如加盟后首款产品！,Wind
1433,2021-09-11,北上资金连续7周加仓股名单出炉，仅12只！,Wind
1434,2021-09-11,王自如入职后格力首款机型入网：骁龙870+罕见白色面板,快科技
1435,2021-09-11,广东区域股市周报：格力电器进入板块市值10强 10亿融资买入比亚迪,每日经济新闻
1436,2021-09-11,新款格力大松手机曝光：骁龙 870 处理器，居中挖孔直屏,IT之家
1437,2021-09-11,白电巨头座次生变 格力电器再面银隆新能源争议,经济观察网
1438,2021-09-11,2大政策发布！A股3700之后怎么走？3大数据值得注意,Wind
1439,2021-09-10,A股市场流动性热点跟踪：8月外资流入复盘,新浪
1440,2021-09-10,王自如操刀？格力新机曝光：前后白色面板，搭载骁龙870处理器，预计售价2500-3000元,亿欧网
1441,2021-09-10,北向资金连续三周加仓累计净买入600亿，中远海控获大幅净买入近10亿元,Wind
1442,2021-09-10,双节来临，“假日经济”给投资者送福利,Wind
1443,2021-09-10,家电行业周报：洗碗机市场规模稳步提升,渤海证券
1444,2021-09-10,沪指站上3700点！本周两融、北上资金流入500亿元,Wind
1445,2021-09-10,雷军董明珠押注造车，“新10亿赌约”谁会赢？,中新网
1446,2021-09-10,美的集团(000333)：业绩符合预期 原材料压力有望逐步缓解,光大证券
1447,2021-09-10,未来的企业 | 格力电器董明珠：成为格力接班人需具备三方面能力,中新经纬
1448,2021-09-10,家电行业半年报综述：行业景气度稳步回升 配置价值显现,新浪
1449,2021-09-10,格力、小米、360等科技企业进驻横琴粤澳深度合作区,南都报
1450,2021-09-09,回购已花近300亿！格力电器将注销2.2亿股，市值超100亿,财联社
1451,2021-09-09,北向资金今日净买入超26亿元，连续11日扫货宁德时代累计加仓超70亿,Wind
1452,2021-09-09,空调行业：空调内销见底在即 白电龙头价值凸显,新浪
1453,2021-09-09,格力电器投资成立新公司，注册资本1亿元,新京报
1454,2021-09-09,家电行业21H1中报总结：大浪淘沙始见金 奋楫扬帆启新章,新浪
1455,2021-09-09,操盘必读｜海通证券遭证监会立案调查；格力电器已回购149亿元；欧美股市全线下跌,上游新闻
1456,2021-09-09,抢格力就在今天 “格力电器工厂巡展”第七季掀起家电大促狂欢,长江商报
1457,2021-09-09,A股早报2021年9月9日星期四,Wind
1458,2021-09-09,北向资金动向盘点：不care元宇宙，涨停甩卖歌尔股份,Wind
1459,2021-09-09,每日财报|格力电器累计回购148.95亿元 亚威股份实控人变动,搜狐
1460,2021-09-09,【中证盘前】连续20CM涨停，元宇宙龙头股提示风险；粤电力拟180亿元投建风光互补发电项目；格力电器已回购149亿元,中证报
1461,2021-09-09,董明珠：将加快光伏+储能一体化、家电等相关产业在晋布局,证券时报网
1462,2021-09-09,山西省委书记与格力电器董事长董明珠举行工作会谈,Wind
1463,2021-09-09,山西省委书记与格力电器董事长董明珠举行工作会谈 围绕清洁能源等项目合作进行深入交流,财联社
1464,2021-09-08,晚间重要公告2021年9月8日星期三,Wind
1465,2021-09-08,家居｜格力电器耗资148.95亿元回购3.13亿股 比例已超5%,财经网
1466,2021-09-08,北上资金终止连续净流入，9月外资调仓瞄准五大行业,Wind
1467,2021-09-08,格力电器(000651.SZ)回购比例达5.21% 耗资148.95亿元,智通财经
1468,2021-09-08,格力电器(000651.SZ)：第三期回购计划已花费148.95亿元回购5.2069%股份,格隆汇
1469,2021-09-08,格力电器：第三期回购计划已累计回购5.2069%股份，耗资148.9亿元,36氪
1470,2021-09-08,格力电器：已耗资148.95亿元回购公司5.21%股份,e公司
1471,2021-09-08,格力电器：截至2021年9月8日已累计回购约3.13亿股，占总股本约5.21%,每日经济新闻
1472,2021-09-08,格力电器：已累计耗资148.9亿元回购5.21%股份,财联社
1473,2021-09-08,格力电器：已累计回购5.21%公司股份，耗资148.95亿元,Wind
1474,2021-09-08,北向资金 | 合计净流出16.17亿元，净买入东方财富12.05亿元，净卖出格力电器8.65亿元,上游新闻
1475,2021-09-08,北向资金结束12连净买入 格力电器遭净卖出8.65亿,中新经纬
1476,2021-09-08,北向资金净流出16.18亿元 格力电器净卖出8.65亿元,新浪
1477,2021-09-08,北向资金结束连续12日净买入，中国平安、歌尔股份净卖出均超6亿元,Wind
1478,2021-09-08,家电行业周报：盈利回升 估值回落 板块配置价值上升,光大证券
1479,2021-09-08,美的、格力之争，也是空调行业的“未来”和“话语权”之争,36氪
1480,2021-09-08,入主银隆新能源 格力重启“造车梦”,中国商报
1481,2021-09-08,北向资金动向盘点：重手净买“化工”，逻辑还是“新能源车”,Wind
1482,2021-09-08,卖爆！这种家电成“新宠”，销售额暴增超100%！,Wind
1483,2021-09-07,家电行业2021年半年报综述及下半年展望：行业或在黎明破晓前 关注行业修复机会,新浪
1484,2021-09-07,市场资金面周观察：陆股通加速增配高景气 股市流动性小幅上升,新浪
1485,2021-09-07,北向资金追平年内最长净买入纪录累计加仓超550亿，美的集团净买入超11亿元,Wind
1486,2021-09-07,汽车行业周报：新能源车渗透率持续提升,新浪
1487,2021-09-07,2021年家电行业中报总结：营收稳定增长 利润率迈过艰难时刻 家电配置价值提升,光大证券
1488,2021-09-07,家用电器行业周报：龙头配置性价比凸出 关注高成长细分赛道,华安证券
1489,2021-09-07,北向资金动向盘点：终于等来白酒接盘侠,Wind
1490,2021-09-07,易会满重磅发声！北上资金连续11天买买买，释放强烈信号,Wind
1491,2021-09-07,母亲挖矿岳母造房，有背景的富二代比董明珠富 80 亿，玩资本变老赖,ZAKER
1492,2021-09-07,踏入新能源汽车洪流： 董明珠赌储能，雷军造新车,第一财经
1493,2021-09-06,雷军与董明珠再回造车战场：再来一次10亿赌局？,36氪
1494,2021-09-06,50家上市建材企业负债榜出炉：美的格力负债最多，稳居前两名丨直击中报③,中国房地产网
1495,2021-09-06,北向资金连续11日净买入累计扫货近500亿，宁德时代大幅净买入超15亿元,Wind
1496,2021-09-06,董明珠和雷军又坐上了“赌桌” 这次是新能源车的未来,证券之星
1497,2021-09-06,雷军与董明珠再遇新造车舞台：同台不同舞？,新浪
1498,2021-09-06,“喝酒吃药”行情再起，主力资金开始切换赛道？,Wind
1499,2021-09-06,董明珠与雷军造车殊途：格力先向银隆储能业务下手,Wind
1500,2021-09-06,董明珠与雷军造车殊途：格力先向银隆储能业务下手,第一财经
1501,2021-09-06,格力电器：战略性投资打通合作渠道 账面浮盈超百亿,Ofweek
1502,2021-09-06,中央逾7000字聚焦106平方公里！这些股票要火？,Wind
1503,2021-09-06,陆家嘴财经早餐2021年9月6日星期一,Wind
1504,2021-09-06,董明珠的“零碳”梦想,经济日报
1505,2021-09-05,横琴粤澳深度合作区来了！这些上市公司有望受益,Wind
1506,2021-09-05,拿下银隆，董明珠为荣誉而战？,红周刊
1507,2021-09-05,无人干预即可 24 小时生产，揭秘小米、格力的“黑灯工厂”,Bianews
1508,2021-09-05,新旧车企夹击，小米和格力的造车梦道阻且长,ZAKER
1509,2021-09-04,奥克斯被指以“专利流氓”行为“报复”格力电器,IT时代网
1510,2021-09-04,一周北上资金继续大满贯！净买入279亿元,Wind
1511,2021-09-03,腾讯云与格力达成深化合作协议，携手共建物联网新生态,I黑马
1512,2021-09-03,格力电器入主银隆新能源破而后立,挖贝网
1513,2021-09-03,北向资金连续10日扫货累计加仓近460亿，药明康德、隆基股份净买入均超8亿元,Wind
1514,2021-09-03,锂不香了，新能源批量跌停，北上资金却逆市抄底,Wind
1515,2021-09-03,制造产业链核心数据跟踪日报,新浪
1516,2021-09-03,中国平安、格力电器、美的集团、迈瑞医疗逐渐企稳,Wind
1517,2021-09-03,家电行业周报：8月淘数据跟踪：广营销促新消费高增 龙头优势显着,新浪
1518,2021-09-03,QFII最新重仓股：4股股价两月涨超100%，更有8个交易日涨超150%,Wind
1519,2021-09-03,北向资金动向盘点：一顿净买猛如虎，市值还是2.5万亿,Wind
1520,2021-09-03,美的稳居榜首，海尔营收反超格力,搜狐
1521,2021-09-03,格力、美的都称“空调行业第一”，怎么解释?,中国家电网
1522,2021-09-03,格力电器18亿买“老故事”,腾讯网
1523,2021-09-03,格力电器抄底回购，越抄越低；风电涨停潮，这只股被券商“强烈推荐”,Wind
1524,2021-09-03,从格力电器到中国平安 回购为何难阻股价下跌？,搜狐
1525,2021-09-03,家用电器行业周报：冰洗内销环比有所改善 外销短期承压,华安证券
1526,2021-09-02,什么情况？格力电器抄底回购，却越抄越低；风电涨停潮，这只股被券商“强烈推荐”,中证报
1527,2021-09-02,小米汽车总部落户北京！雷军又“杠”董明珠，PK 跨界造车！谁能驶向远方？,ZAKER
1528,2021-09-02,密集回购+加码新能源为何格力电器股价仍跌跌不休？,第一财经
1529,2021-09-02,成交额连续32个交易日破万亿，部分热门赛道交易或过于拥挤,第一财经
1530,2021-09-02,格力电器股价跌破高瓴成本价，或已现投资价值,阿尔法工场
1531,2021-09-02,北向资金9天加仓近390亿，紫金矿业大幅净买入超11亿元,Wind
1532,2021-09-02,新能源仍是最靓的仔，32股10CM+强势反包,Wind
1533,2021-09-02,招商家电｜格力电器（000651.SZ）-控股珠海银隆，拓展新能源，多元化开启新篇章,招商家电研究
1534,2021-09-02,A股资金流向（9月2日）：新能源风云再起，风电板块抢得“C位”,Wind
1535,2021-09-02,A股快报 | 地产板块收涨4.66% 格力领涨6.09%,观点地产网
1536,2021-09-02,控股银隆新能源 格力电器踏上第二增长曲线,经济观察报
1537,2021-09-02,美的、格力均自称市场份额第一，谁是空调之王？,时代周报
1538,2021-09-02,格力电器再创阶段新低，美的集团、海尔智家、石头科技、老板电器纷纷下滑,Wind
1539,2021-09-02,格力电器抄底越抄越低，底在何处？丨一只热股,第一财经
1540,2021-09-02,董明珠造车梦前进了一大步，距离成功还有多远？,36氪
1541,2021-09-02,美的格力相爱相杀20年：两份财报，两个“第一”,中新网
1542,2021-09-02,这波叫我套我自己？格力电器豪掷240亿抄自己的底被套,证券之星
1543,2021-09-02,格力电器(000651)：格力控股珠海银隆 进入新能源汽车市场,新浪
1544,2021-09-02,格力收购银隆，多元化的“自我救赎”,每日经济新闻
1545,2021-09-02,格力电器累计回购股份超4.2%，支付总金额近125亿元,资本邦
1546,2021-09-02,安钢镀锌家电板成功供货格力用户,兰格钢铁网
1547,2021-09-02,家电三巨头期中考：美的业绩称王、格力人均创收最高、海尔进入收获期,中国家电网
1548,2021-09-02,格力电器18亿拿下银隆控制权，董明珠的造车往事和未知迷局,AI财经社
1549,2021-09-02,美的、格力发布上半年“成绩单”，毛利率均有所下滑 盈利能力下降,中新网
1550,2021-09-02,格力电器时隔5年再购巨亏银隆 董明珠豪赌新能源汽车前途未卜 重大损失,长江商报
1551,2021-09-02,A股早报2021年9月2日星期四,Wind
1552,2021-09-02,每经热评丨格力收购银隆是董明珠的“自我救赎”,每经头条
1553,2021-09-02,60亿，60亿，124亿…钱越投越多，股价越走越低！格力电器豪掷240亿抄自己的底，从62元一路抄到了42元,每日经济新闻
1554,2021-09-02,“白电三巨头”半年报出炉 海尔市值反超格力,广州日报
