,2021-12-31,湖北省、武汉市民营百强企业榜单相继出炉 苏泊尔荣耀登榜,凤凰网
515,2021-06-02,苏泊尔(002032.SZ)：截至5月底暂未开始实施本轮回购,格隆汇
516,2021-06-01,鸿蒙重磅发布会“明日见”，这些上市公司已宣布加入“朋友圈”,第一财经
517,2021-06-01,家电行业周报：线上高基数下龙头表现出众 空调排产内销承压外销有韧性,新浪
518,2021-05-31,家电周报：空调内销出货增速回落 冰洗外销维持较高景气度,新浪
519,2021-05-31,苏泊尔：公司越南基地已做好防疫措施,e公司
520,2021-05-31,九阳股份(002242)：新品亮点频出 线下加速布局,新浪
521,2021-05-31,苏 泊 尔：公司的海外业务主要是给控股股东SEB集团做代工，苏泊尔自有品牌产品在东南亚部分区域市场进行销售，上述市场整体份额占比较小,每日经济新闻
522,2021-05-31,美的、格力、海尔智家集体下滑打压家电板块，苏泊尔、老板、海信等跟跌,Wind
523,2021-05-31,计算机行业周报：把握鸿蒙2.0操作系统发布的投资机会,国海证券
524,2021-05-28,美的集团、格力电器、海尔智家集体走低打压家电板块,Wind
525,2021-05-27,苏泊尔：正积极进行官方旗舰店自营转变,Wind
526,2021-05-25,“付款后迟迟不发货”、“安装苦等不上门”、“维修退换障碍多” 国美，苏泊尔、美的、老板、小熊等售后服务遭消费者控诉,和讯
527,2021-05-24,苏泊尔：因2020年度权益分派，公司本次回购股份最高价将由不超过77.80,新浪
528,2021-05-24,苏泊尔(002032.SZ)：股份回购价上限由77.8元/股调至76.52元/股,格隆汇
529,2021-05-24,苏泊尔：回购股份最高价将由不超过77.8元/股调整为76.52元/股,财联社
530,2021-05-24,苏泊尔(002032.SZ)下调回购价格上限至76.52元/股,智通财经
531,2021-05-24,家电股刮起增持、回购风 景气度向好引机构关注,经济观察网
532,2021-05-24,29股即将实施分红 苏泊尔派现最大方,证券时报网
533,2021-05-23,股东增持、公司回购，家电板块景气度向好引各类机构关注,经济观察报
534,2021-05-21,填权行情提前打响！下周10家高送转，40家高派现,Wind
535,2021-05-21,财信证券家用电器行业2021年4月月度报告：原材料价格上涨，龙头应对能力更强,财信证券研究
536,2021-05-20,苏泊尔：越南基地因地理位置暂未受疫情影响,Wind
537,2021-05-20,家电板块表现活跃，美的集团获主力资金加仓超6亿元,第一财经
538,2021-05-20,财信证券--家用电器行业月度报告：原材料价格上涨，龙头应对能力更强【行业研究】,金融界股吧
539,2021-05-19,“数据会说话”之2021年4月数据解读：4月社零数据低于预期 仍看好服务业全面复苏,新浪
540,2021-05-19,申港证券--从高景气二级行业出发选股：优化四维度连续景气综合打分系统找出最景气的申万二级行业【投资策略】,金融界股吧
541,2021-05-19,QFII炒股能力揭秘：前十机构回报均超20倍,Wind
542,2021-05-19,证券时报头版：聪明钱更懂得做时间的朋友,Wind
543,2021-05-18,家电周报：空调终端销量同比下滑 厨电销售增速回落 盈利能力下降,新浪
544,2021-05-17,苏泊尔(002032.SZ)每10股派12.90元,智通财经
545,2021-05-17,苏泊尔(002032.SZ)2020年度权益分派10派12.9元股权登记日为5月24日,格隆汇
546,2021-05-17,策略研究：研发开启中国制造进阶之路,新浪
547,2021-05-17,2021年4月地产后周期景气追踪：住宅销售向好 关注后周期标的,新浪
548,2021-05-13,家电行业2020 年年报暨2021 年一季报总结：白电基本面持续复苏 新经济高景气依旧,新浪
549,2021-05-12,苏泊尔：拟回购不超过约6.36亿元公司股份,每日经济新闻
550,2021-05-12,美的集团、格力电器、海尔智家、苏泊尔纷纷下滑，家电板块走软,Wind
551,2021-05-11,二季度以来回购稳步推进 495家公司斥资700亿元回购股份,大众证券报
552,2021-05-11,无线吸尘器实用吗？日常清洁使用的无线吸尘器哪个牌子好？,北国网
553,2021-05-10,多只明星基金现调仓迹象 机构整体打法偏防御,上证报
554,2021-05-10,明星基金经理又调仓了 机构整体打法偏防御,上证报
555,2021-05-10,注意！多位明星基金经理调仓，打法偏重一个方向,Wind
556,2021-05-09,华创家电·双周报丨彩电市场动荡，企业多角度谋求破局,一超家电研究
557,2021-05-09,苏泊尔(002032.SZ)：完成回购注销股份合计421.12万股,格隆汇
558,2021-05-07,安信研究|晨会在线20210507,安信证券研究
559,2021-05-07,【家电-张立聪】Q1基金重仓家电比例回落，格力海尔获得增配,安信证券研究
560,2021-05-06,2021Q1家用电器板块基金持仓分析：白电超配地位延续 新兴小家电受青睐,新浪
561,2021-05-03,十大热门行业逐个看 【家电篇】 | 家电行业同比恢复性增长 业绩和股价现背离,证券时报
562,2021-04-30,【龙虎榜分析】惊呆！A股这一记录竟被打破！,证券之星
563,2021-04-30,顶流基金最新动向曝光：张坤看多苏泊尔 高瓴旗下私募新进伊利股份、华大基因、安图生物,每日经济新闻
564,2021-04-30,顶流基金最新动向！张坤看多这只股，高瓴旗下私募新进股票大曝光！,每日经济新闻
565,2021-04-29,谢治宇杨锐文领红包、张坤的坚守与放手、还有“林英睿Plus”……上市公司一季报截止前的那些新看点,财联社
566,2021-04-29,知名基金经理持仓变动：谢治宇积极加仓士兰微 张坤作别上海机场,财联社
567,2021-04-29,高瓴旗下私募新进伊利股份、华大基因、安图生物 张坤看多苏泊尔,新浪
568,2021-04-29,快讯丨多只基金开启季后加仓模式，张坤看多苏泊尔,每日经济新闻
569,2021-04-29,“公募一哥”张坤又有新动作！4月份已增持苏泊尔120万股,e公司
570,2021-04-28,物以稀为贵！超六成公司分红，高送转成香馍馍,Wind
571,2021-04-27,苏泊尔(002032)：季报符合预期 长线布局时点已至,新浪
572,2021-04-26,国信证券：苏泊尔(002032.SZ)线上及外销齐发力，维持“买入”评级,智通财经
573,2021-04-23,规范厨电新兴品类技术体系 护航国民健康生活,光明网
574,2021-04-23,苏泊尔(002032)：内外销营收回暖 盈利能力修复,西南证券
575,2021-04-23,老板，苏泊尔再遭消费者投诉 小小燃气灶为何屡次成为家中潜在“杀器”？,和讯
576,2021-04-23,苏泊尔“换帅” 助力今年冲击200亿元营收,第一财经
577,2021-04-23,苏泊尔首季净利增六成并启动新回购 换帅冲击200亿营收,第一财经
578,2021-04-23,A股异动|苏泊尔(002032.SZ)涨约4%一季度净利润升64.59%拟回购最多817万股,格隆汇
579,2021-04-22,苏泊尔(002032.SZ)：拟回购408.4233万-816.8466万股,格隆汇
580,2021-04-22,苏泊尔(002032.SZ)一季度净利润升64.59%至5.05亿元,格隆汇
581,2021-04-22,苏泊尔拟回购3.18亿元至6.36亿元股份,北京商报
582,2021-04-22,苏泊尔：一季度净利润同比增长64.59%,Wind
583,2021-04-20,机构调研大幅升温，三大板块看多逻辑不变,Wind
584,2021-04-20,增量资金集结造势，谁是基金新宠,Wind
585,2021-04-19,京东家电携手品牌成立“品质联盟”，开启健康饮食新篇章！,第一家电网
586,2021-04-19,中家院携手京东家电发布团体标准，推动低糖饭煲品类规范升级,中新网
587,2021-04-19,张坤持仓更均衡！易方达知名基金经理重仓股曝光,Wind
588,2021-04-19,易方达张坤：一季度增持计算机、医药，持仓结构趋于均衡,Wind
589,2021-04-19,中家院携手京东家电发布团体标准，推动低糖饭煲品类规范升级,中国网
590,2021-04-19,凌晨，张坤最新持仓曝光！基金规模超1300亿,Wind
591,2021-04-19,在管规模突破1300亿，张坤一季度大幅加仓医药、银行,Wind
592,2021-04-15,国盛证券--苏泊尔:外销景气向好，内销稳步恢复【公司研究】,金融界股吧
593,2021-04-14,家电业复苏：格力电器净利去年降一成 今年首季翻倍增长,第一财经
594,2021-04-14,苏泊尔一季度净利润预增55%-71%,上证报
595,2021-04-14,一季度业绩与2019年基本持平 苏泊尔高管换新能否激发企业活力,财联社
596,2021-04-14,苏泊尔：一季度预计净利润同比增长54.66%~70.94%,Wind
597,2021-04-14,苏泊尔：一季度净利预增54.66%－70.94%至4.7亿元－5.2亿元,乐居财经
598,2021-04-14,苏泊尔(002032.SZ)一季度净利同比预增55%-71%,智通财经
599,2021-04-14,苏泊尔：预计一季度净利润同比增长54.66%-70.94%,Wind
600,2021-04-13,张小泉试闯注册制：老字号的新困局,财经网
601,2021-04-12,家用电器行业：Q1淘数据白电增幅明显 继续推荐,广发证券
602,2021-04-11,华创家电·双周报丨美容小家电市场发展的边际变化,一超家电研究
603,2021-04-10,一季报大幕拉开 业绩高增股带火三大板块（附股）,金融投资报
604,2021-04-09,一张图看懂3月小家电淘数据：刚需品类恢复涨势 龙头品牌显优,新浪
605,2021-04-09,财信证券--家用电器行业月度报告：终端销售量价齐升，行业景气度向上【行业研究】,金融界股吧
606,2021-04-09,财信证券家电行业2021年3月月度报告：终端销售量价齐升，行业景气度向上,财信证券研究
607,2021-04-08,苏泊尔(002032.SZ)斥资5.76亿元回购821.43万股,智通财经
608,2021-04-08,[路演]苏泊尔：2020年公司外贸取得较好增长,全景网
609,2021-04-08,[路演]苏泊尔：高端业务预计能保持稳定增长,全景网
610,2021-04-07,浙江区域股市周报：21家机构调研亿帆医药 通策医疗进入浙江股市值前10强,每日经济新闻
611,2021-04-07,家用电器行业：2020年年报陆续披露 家电企业总体实现稳健增长,广发证券
612,2021-04-07,开源证券--苏泊尔：Q4收入端逐步回暖，高管换帅有望激活内销活力【公司研究】,金融界股吧
613,2021-04-07,49股获券商买入评级，领益智造目标涨幅达58.61%,Wind
614,2021-04-06,券商评级丨31股获券商买入评级 领益智造目标涨幅近60%,第一财经
615,2021-04-06,家电及相关行业：品牌出海依然是最好的趋势 内销关注空调攻守易势,新浪
616,2021-04-06,炊具不好卖了？ 苏泊尔2020年营收净利润双降 产品毛利率下滑 盈利能力下降,GPLP犀牛财经
617,2021-04-06,家用电器行业周报：格力份额提升 厨电竞争格局优化,新浪
618,2021-04-06,苏泊尔(002032)2020年年报点评：外销持续发力 内销品类拓展,新浪
619,2021-04-06,苏泊尔(002032)：内销逐渐变革 海外SEB订单提速,新浪
620,2021-04-06,家电行业2021年一季报业绩前瞻：低基数高增长 看好行业景气向上 把握品牌出海机遇,新浪
621,2021-04-06,开源证券：维持苏泊尔“买入”评级，高管换帅有望激活内销活力,乐居财经
622,2021-04-06,国元证券--苏泊尔：外销持续发力，内销品类拓展【公司研究】,金融界股吧
623,2021-04-06,国信证券--苏泊尔：Q4反弹提速，龙头尽显本色【公司研究】,金融界股吧
624,2021-04-06,苏泊尔(002032)：线上销售改善 Q4业绩略超预期,新浪
625,2021-04-06,小家电业绩披露苏泊尔九阳为何走向两极,云掌财经
626,2021-04-06,开挂14年，下滑仅三载，苏泊尔2020造的“锅”谁来背？,创业邦
627,2021-04-04,IPO参考周报|怪兽充电在美上市深交所主板与中小板合并,GPLP犀牛财经
628,2021-04-04,每日报告回放,新浪
629,2021-04-03,苏泊尔(002032)：线下边际改善弹性大 外销景气度延续,新浪
630,2021-04-02,苏泊尔(002032)2020年年报点评：Q4反弹提速 龙头尽显本色,新浪
631,2021-04-02,苏泊尔营收净利八年来首次双降 盈利能力下降,信息时报
632,2021-04-02,苏泊尔(002032)：疫情年收入下滑 21年关联交易预计大幅增长,新浪
633,2021-04-02,苏泊尔(002032)：经营持续回暖 积极推动品牌年轻化,新浪
634,2021-04-02,2021年2月家电零售和企业出货端数据解读：空调内销增速再创新高 冰洗线下景气度向上,新浪
635,2021-04-02,苏泊尔(002032)：逐季改善趋势向好 与快报相符,广发证券
636,2021-04-01,苏泊尔(002032)年报点评：外销增速亮眼 年轻化战略初见成效,新浪
637,2021-04-01,华创家电秦一超丨苏泊尔：协同效应持续增强，盈利能力稳中有升,一超家电研究
638,2021-04-01,[年报]苏泊尔2020年现金分红10.52亿元,全景网
639,2021-04-01,苏泊尔(002032.SZ)截止12月底已累计回购591万股,格隆汇
640,2021-04-01,苏泊尔(002032.SZ)截止3月底已累计回购780.5万股,格隆汇
641,2021-04-01,苏泊尔(002032)：外销增速亮眼 经营持续改善,西南证券
642,2021-04-01,国盛证券--苏泊尔：Q4业绩持续改善，稳固龙头优势【公司研究】,金融界股吧
643,2021-04-01,苏泊尔2020年营收186亿元 归属股东净利润18.46亿元,金融界
644,2021-04-01,苏泊尔总经理苏明瑞因个人原因辞职 张国华接任 董监高成员变化,金融界
645,2021-04-01,中泰证券维持苏泊尔增持评级，2020年报点评：高管换帅，焕新持续,每日经济新闻
646,2021-04-01,家用电器行业周报：复苏趋势延续 龙头强者恒强,新浪
647,2021-04-01,苏泊尔、九阳披露2020年报：多方触达Z世代消费群,Ofweek
648,2021-04-01,苏泊尔(002032)：高管换帅 焕新持续 董监高成员变化,新浪
649,2021-04-01,苏泊尔(002032)2020年报点评：协同效应持续增强 盈利能力稳中有升,新浪
650,2021-04-01,犀牛财经早报：深交所合并主板与中小板 金刚玻璃董事被刑拘,GPLP犀牛财经
651,2021-04-01,苏泊尔2020年营收净利双降 拟分红10.5亿 盈利能力下降,中国经济网
652,2021-03-31,小家电龙头业绩增速分化 九阳股份去年营收净利双增,e公司
653,2021-03-31,苏泊尔：2020年营收185.97亿元，同比下降6.33% 盈利能力下降,36氪
654,2021-03-31,苏泊尔：2020年净利同比降3.84% 拟10派12.9元 盈利能力下降,e公司
655,2021-03-31,苏泊尔(002032.SZ)2017年限制性股票激励计划第四个解除限售期及预留部分第三个解除限售期条件成就,智通财经
656,2021-03-31,苏泊尔(002032.SZ)年度归母净利同比降3.84%至18.46亿元 每10股派12.9元 盈利能力下降,智通财经
657,2021-03-31,苏泊尔(002032.SZ)2020年度净利润降3.84%至18.46亿元 拟10派12.9元 盈利能力下降,格隆汇
658,2021-03-31,苏泊尔：公司总经理辞职 董监高成员变化,Wind
659,2021-03-31,苏泊尔：2020年净利润同比减少3.84% 盈利能力下降,Wind
660,2021-03-31,家电股午后走强，市场销量向好，行业景气度持续回暖,第一财经
661,2021-03-31,家电行业周报：竣工复苏带来增量需求,新浪
662,2021-03-30,家电及相关行业：高瓴收购飞利浦小家电 中国赋能或可期,新浪
663,2021-03-28,华创家电·双周报丨高瓴收购飞利浦家电，业务协同值得期待,一超家电研究
664,2021-03-24,苏泊尔携百余款新品亮相AWE2021，邀请观众现场挑战主厨硬菜,财经网
665,2021-03-24,家电从品牌互联向生态互联转型，九阳等厂商接入华为鸿蒙系统,奥一网
666,2021-03-23,苏泊尔发布远红外本釜电饭煲 高端饭煲或成未来市场主要增量,中国网
667,2021-03-23,苏泊尔携百余款产品亮相AWE2021 小C主厨料理机抢眼,金融界
668,2021-03-23,苏泊尔小C主厨料理机成AWE2021焦点,中国经济网
669,2021-03-23,技术与浪漫相融 苏泊尔远红外本釜电饭煲惊艳AWE2021,中国经济网
670,2021-03-19,演绎未来厨房新生态，看苏泊尔AWE2021新品亮相,澎湃新闻
671,2021-03-17,格力电器涨超5%提振家电股，美的、苏泊尔、老板电器、海尔智家跟涨,Wind
672,2021-03-16,拓邦股份(002139)2020年年度报告点评：智能化趋势叠加行业集中度提升 智控龙头业绩高速增长,新浪
673,2021-03-16,明星基金已被套？苏泊尔跌破“坤坤”加仓价,第一财经
674,2021-03-15,315“苏宁生活电器检测基地”正式挂牌，推动高质量家电发展,砍柴网
675,2021-03-13,315维权丨锅盖被指屡屡爆裂，苏泊尔客服：已对产品升级,澎湃新闻
676,2021-03-12,苏泊尔VS九阳股份VS新宝股份，谁是小家电中的“美的”？,云掌财经
677,2021-03-11,疫情之后家电行业如何尽快走出消费寒冬？,中投网
678,2021-03-11,315系列报道：直播带货“助力”家电产品虚假宣传 欺诈造假,新浪
679,2021-03-11,3月投资策略：空冰产量或创新高 中式厨房小家电回暖,新浪
680,2021-03-10,21深度丨两会提振消费高光聚焦：家电行业何以尽快走出消费寒冬？,21世纪经济报道
681,2021-03-10,【浙商家电|吴东炬】基本面向好，回购彰显信心,微信
682,2021-03-10,苏泊尔：大规模招工是武汉基地节后正常生产需要，不存在员工流失率高的情况,每日经济新闻
683,2021-03-08,华创家电·双周报丨建立家电成本指数，推演本轮原材料上涨影响,一超家电研究
684,2021-03-08,家用电器行业周观点：两会强调稳定家电消费 以旧换新为市场提供新动能,新浪
685,2021-03-06,苏泊尔：8年来营收净利润首次双降 子公司盈利大挪移 盈利能力下降,证券市场周刊
686,2021-03-05,【两会重磅】家电、汽车行业2021年将如何承担内循环促消费重任？,财华社
687,2021-03-04,【中原家电】小家电行业月报：小家电市场延续高增，线上销售迎开年红,中原证券研究所
688,2021-03-03,股价4天跌9%净利缩水7000万！炊具第一股苏泊尔下滑拐点隐现？ 盈利能力下降,投资时报
689,2021-03-03,老板、苏泊尔燃气灶再现“爆炸门” 屡遭消费者投诉拷问产品质量 安全事故,和讯
690,2021-03-03,九阳股份(002242)：海外需求超预期 但成本压力逐渐显现,新浪
691,2021-03-02,苏泊尔(002032.SZ)截止2月底累计耗资4.48亿元回购0.78%股份,格隆汇
692,2021-03-01,家电周报：白电景气度向上 关注各细分市场龙头,新浪
693,2021-03-01,坤坤还好吗？遇涨“封神”遇跌“脱粉”,Wind
694,2021-03-01,家电行业周报：线下加速增长 需求持续向好,新浪
695,2021-02-28,家电消费迎来春暖花开，华为美的格力TCL康佳海信全面开跑,家电圈
696,2021-02-26,营收净利双降、市值单日缩水33亿，炊具第一股苏泊尔怎么了？ 盈利能力下降,大河报
697,2021-02-26,苏泊尔增长拐点到来？2020年业绩降3.69% 线下市场低迷,GPLP犀牛财经
698,2021-02-26,苏泊尔(002032)：20Q4经营改善显着 外销持续高增长,新浪
699,2021-02-26,苏泊尔8年来首现营收净利双降，小家电巨头面临增长难题,AI财经社
700,2021-02-26,2021年1月家电零售和企业出货端数据解读：三大白电景气度向上 厨电整体销售回暖,新浪
701,2021-02-26,苏泊尔营收净利双降，小家电前途几何？ 盈利能力下降,Ofweek
702,2021-02-26,苏泊尔营收净利双降 对比新兴品牌增速略显不足 盈利能力下降,慧聪网
703,2021-02-26,和而泰(002402)：业绩持续高增 智能控制器+射频芯片前景广阔,新浪
704,2021-02-26,苏泊尔开展预付款融资业务 因信批延迟收监管函 问询,GPLP犀牛财经
705,2021-02-26,有人喊减仓，有人暗加仓，明星基金经理操作分歧大,第一财经
706,2021-02-26,网红小家电增速回落 2021年“火爆”胜景难以为继,中国家电网
707,2021-02-26,国泰君安每日报告回放,新浪
708,2021-02-26,苏泊尔信披违规收监管函 业绩首现颓势频登质检黑榜,新浪
709,2021-02-26,43股获券商买入评级 金螳螂目标涨幅达115.12%,Wind
710,2021-02-26,张坤等明星基金一周回撤超10%，机构边跌边调寻求同盟,21世纪经济报道
711,2021-02-25,一张表看懂家电股资金流向W8：北向资金周报,新浪
712,2021-02-25,西南证券维持苏泊尔持有评级：Q4增速环比提升，未来经营可期,每日经济新闻
713,2021-02-25,苏泊尔(002032)：新年线上表现不俗 复苏趋势不变,新浪
714,2021-02-25,苏泊尔(002032)：Q4增速环比提升 未来经营可期,西南证券
715,2021-02-25,华泰证券维持苏泊尔买入评级：新年线上表现不俗，复苏趋势不变，目标价89.43元,每日经济新闻
716,2021-02-25,苏泊尔发布2020年度业绩快报：营收净利双降 盈利能力下降,Ofweek
717,2021-02-25,苏泊尔公布2020年业绩快报：营收净利双双下滑 盈利能力下降,和讯
718,2021-02-25,慌！苏泊尔业绩双降，增速近8年首次转负！“公募一哥”身影浮现 盈利能力下降,搜狐
719,2021-02-25,疫情影响等苏泊尔2020年营利齐降,资本邦
720,2021-02-25,苏泊尔(002032)2020年业绩快报点评：品牌焕新日渐获效 业绩环比明显加速,新浪
721,2021-02-25,苏泊尔(002032)：Q4持续改善 与业绩预告相符,广发证券
722,2021-02-25,华创家电秦一超｜苏泊尔：品牌焕新日渐获效，业绩环比明显加速,一超家电研究
723,2021-02-25,每日财报|苏泊尔净利同比下降3.69%天合光能净利大增九成 盈利能力下降,搜狐
724,2021-02-24,家居｜苏泊尔2020年营收185.97亿元，同比下降6.33% 盈利能力下降,财经网
725,2021-02-24,苏泊尔2020年营收净利双降 小家电四季度增长不及预期 盈利能力下降,财联社
726,2021-02-24,晚间重要公告2021年2月24日星期三,Wind
727,2021-02-24,苏泊尔收监管函 为经销商担保信披违规 关联方问题,中国经济网
728,2021-02-24,苏泊尔(002032.SZ)披露2020年度业绩快报 归母净利润同比下降3.69% 盈利能力下降,智通财经
729,2021-02-24,苏泊尔(002032.SZ)业绩快报：2020年度净利润降3.69%至18.49亿元 盈利能力下降,格隆汇
730,2021-02-24,苏泊尔：2020年净利润同比减少3.69%（业绩快报） 盈利能力下降,Wind
731,2021-02-24,未及时披露相关担保事项，苏泊尔收监管函 问询,资本邦
732,2021-02-24,“公募一哥”张坤放出两个大招,中国基金报
733,2021-02-23,深交所向苏泊尔下发监管函：未及时披露经销商差额补足责任 金融监管处罚,和讯
734,2021-02-23,家居｜未及时披露经销商差额补足责任，苏泊尔收监管函 关联方问题,财经网
735,2021-02-23,深交所向浙江苏泊尔股份有限公司发出监管函 问询,每日经济新闻
736,2021-02-23,苏泊尔：公司收到深交所监管函 问询,每日经济新闻
737,2021-02-23,苏泊尔收监管函：因担保事项未按规定公开披露，违反相关规定 问询,Wind
738,2021-02-19,家用电器行业周报：就地过年推动消费增长 绿色智能家电成年货选购新浪潮,新浪
739,2021-02-09,小家电销量线上渠道占比超8成 线下渠道仍具潜力,36氪
740,2021-02-09,在这场小家电“逆势之战”中 家电行业老牌强企却显露颓势,新浪
741,2021-02-09,大消费组周观点：就地过年关注本地服务消费 及白酒等消费品,新浪
742,2021-02-08,苏泊尔(002032.SZ)：高管徐波累计减持5.79万股 减持计划实施完毕,格隆汇
743,2021-02-08,苏泊尔(002032.SZ)财务总监徐波减持5.79万股 减持实施完毕 减持股份,智通财经
744,2021-02-08,家电周报：小家电线上景气度回升 关注各细分市场龙头,新浪
745,2021-02-08,家用电器行业周报：年货节致1月淘系数据亮丽 均价持续提升,华安证券
746,2021-02-07,天风家电 | 节前家电市场需求旺盛，产品升级带动均价上涨——2021W6周观点,小蔡看家电
747,2021-02-04,一张图看懂1月小家电淘数据：小家电增速环比提升明显,新浪
748,2021-02-04,公司回购、高管减持 公募加仓，苏泊尔价值几何 减持股份,第一财经
749,2021-02-03,公司回购、高管减持，易方达“坤坤”加仓苏泊尔 减持股份,第一财经
750,2021-02-03,苏泊尔：截至1月底回购股份数量602.5万股 支付4.19亿元,全景网
751,2021-02-03,爱仕达(002403)：原材料涨价压力较大 4Q20业绩预告低于预期,新浪
752,2021-02-03,【家电-张立聪】国泰中证全指家用电器ETF联接基金投资价值分析,安信证券研究
753,2021-02-02,苏泊尔(002032.SZ)斥资4.19亿元回购602.5万股,智通财经
754,2021-02-02,苏泊尔(002032.SZ)截止1月底已累计回购602.5万股,格隆汇
755,2021-02-02,2020年家电企业业绩预告解读：小家电热、原材料涨、出口量增,新京报
756,2021-02-01,和而泰(002402)重大事项点评：股权激励高目标 彰显高速成长信心,新浪
757,2021-01-31,天风家电 | 20Q4家电行业基金持仓分析：行业整体持仓提升，白电板块提升明显,小蔡看家电
758,2021-01-31,天风家电 | 2021W5周观点——2月空调外销排产持续向好，20Q4白电板块基金持仓提升,小蔡看家电
759,2021-01-31,苏泊尔(002032.SZ)董事苏显泽完成减持16.2万股 减持股份,智通财经
760,2021-01-31,苏泊尔：董事苏显泽合计减持0.02%公司股份 减持股份,Wind
761,2021-01-27,【方正家电】石头科技2020年度业绩预告点评：业绩略超预期，品牌出海加速,家电研究札记
762,2021-01-27,苏泊尔(002032.SZ)董事会秘书叶继德减持1.74万股 减持已完成 减持股份,智通财经
763,2021-01-27,苏泊尔(002032.SZ)：高管叶继德减持完毕 累计减持1.74万股 减持股份,格隆汇
764,2021-01-27,国信证券--家用电器行业1月投资策略：白电结构性升级持续，均价提升迎来高景气【行业研究】,金融界股吧
765,2021-01-27,苏泊尔：副总经理、董事会秘书叶继德累计减持0.002%股份 减持股份,Wind
766,2021-01-26,2分钟读财报|苏泊尔业绩双降甩锅疫情 线上掉队跑输竞争对手,新浪
767,2021-01-26,家用电器行业专题报告：四季度基金持仓点评：白电重仓比例大幅提升,新浪
768,2021-01-25,苏泊尔(002032)：Q4改善趋势持续,广发证券
769,2021-01-25,安信证券：资本市场对家电行业红利的持续性预期不足,Wind
770,2021-01-24,天风家电|苏泊尔:Q4外销拉动收入增长，利润水平环比提升,小蔡看家电
771,2021-01-24,小家电风口依旧 全力拥抱线上化转型,36氪
772,2021-01-24,天风家电|12月空调内销略有下滑，美的外销增速亮眼——2020W4周观点,小蔡看家电
773,2021-01-23,上调评级至买入策略选股（1月23日）,Wind
774,2021-01-22,苏泊尔(002032)：压力逐季减弱 龙头未来仍可期,新浪
775,2021-01-22,苏泊尔(002032)：出口订单加速转移 盈利能力稳中有升,新浪
776,2021-01-22,华泰证券给予苏泊尔买入评级 目标价格为89.43元,新浪
777,2021-01-22,营收、净利双降 苏泊尔掉队了吗？ 盈利能力下降,--
778,2021-01-22,苏泊尔预计2020年营收净利双降 老牌小家电巨头显颓势 盈利能力下降,和讯
779,2021-01-22,1月22日晚间重要行业研究汇总(附股),中金在线
780,2021-01-22,苏泊尔(002032)2020年业绩预告点评：持续推动品牌年轻化 业绩表现环比加速,新浪
781,2021-01-22,苏泊尔(002032)：出口带动 恢复稳健增长,新浪
782,2021-01-22,苏泊尔(002032)：线上销售改善 Q4业绩略超预期,新浪
783,2021-01-22,苏泊尔(002032)2020年业绩预告点评：Q4明显恢复 增长韧性十足,新浪
784,2021-01-22,苏泊尔(002032)：Q4业绩继续改善 稳固龙头优势,新浪
785,2021-01-22,犀牛财经早报：獐子岛董事回应辞职特斯拉model3再起火,GPLP犀牛财经
786,2021-01-21,晚间重要公告2021年1月21日星期四,Wind
787,2021-01-21,苏泊尔(002032.SZ)：2021年度拟继续开展不超8亿元预付款融资业务,格隆汇
788,2021-01-21,苏泊尔：2020年净利预降6.33% 盈利能力下降,第一财经
789,2021-01-21,苏泊尔：2020年净利同比预降0.31%-7.08% 盈利能力下降,e公司
790,2021-01-21,苏泊尔：预计2020年度净利润为17.84亿元-19.14亿元，同比降0.31%-7.08% 盈利能力下降,Wind
791,2021-01-21,【研报掘金】家电内销复苏行情有望延续 建议把握年报业绩超预期标的,证券时报网
792,2021-01-21,被控专利侵权，苏泊尔很“受伤” 诉讼纠纷,中国贸易报
793,2021-01-21,家电行业周报：原材料价格承压 家电行业迎涨价潮,新浪
794,2021-01-21,小家电逆势迎发展 老牌强企苏泊尔却遭遇业绩“双降” 盈利能力下降,新浪
795,2021-01-20,家电行业2020年年报业绩前瞻：内外景气共振 把握年报业绩超预期,新浪
796,2021-01-20,彰显价值，A股迎来一大波回购潮,Wind
797,2021-01-18,专注“更好吃的米饭” 苏泊尔以创新“智”造赢得消费者青睐,中国经济网
798,2021-01-18,家电行业周报-再探集成灶：2020增长符合预期 线上购买习惯逐步养成,新浪
799,2021-01-18,远红外赋能电饭煲升级 苏泊尔携手冠军夫妇温暖国人胃,第一家电网
800,2021-01-18,家电行业迎来回暖趋势，苏泊尔电饭煲凭创新走“红”,第一家电网
801,2021-01-18,家用电器行业周报：北上资金持续涌入美的 集成灶线上热度高涨,华安证券
802,2021-01-17,天风家电 |CES展显示技术各显神通，服务机器人未来可期——2020W3周观点,小蔡看家电
803,2021-01-17,安信研究|晨会在线20210119,安信证券研究
804,2021-01-15,被控专利侵权，苏泊尔很“受伤” 诉讼纠纷,中国经济网
805,2021-01-15,原材料价格承压，家电行业迎涨价潮,Wind
806,2021-01-14,苏泊尔的巨头逆行困扰,云掌财经
807,2021-01-13,日丰股份(002953)2021年公告点评：公司并购落地 切入华为供应链,新浪
808,2021-01-12,家电销售全面回暖，利好政策加持，板块呈现较高景气度,第一财经
809,2021-01-12,商业诋毁、窃密事件频发 家电业合理竞争的边界在哪？ 诉讼纠纷,慧聪网
810,2021-01-12,海尔智家涨近6%再创历史新高，海信家电、美的集团、苏泊尔等纷纷上扬,Wind
811,2021-01-11,家用电器行业周报：开年首周家电销售数据亮丽 线上尤为突出,华安证券
