,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
716,2021-04-12,化工行业周报：Q1业绩持续向上共振 万华Q1业绩创历史新高,新浪
717,2021-04-12,社保基金现身212只股前十大流通股东榜,证券时报网
718,2021-04-12,醋酸价格再破新高，万华一季报创新高超预期,中信建投证券研究
719,2021-04-09,生意社：4月9日山东华鲁恒升液氨价格持稳,生意社
720,2021-04-09,华鲁恒升：今年以来主导产品产销两旺,Wind
721,2021-04-09,54股去年四季度获社保基金扎堆持有,证券时报网
722,2021-04-09,化工行业周报：化工一季度业绩靓丽 化工品景气度持续回升,新浪
723,2021-04-09,中泰证券：碳中和对于化工行业的影响，主要来自能耗和材料两个方面,Wind
724,2021-04-08,基础化工/石油天然气行业周报(第十二周),新浪
725,2021-04-08,化工行业深度：碳中和背景下的中国化工,新浪
726,2021-04-08,化工行业周报：顺周期下半场 关注时间换空间阿尔法品种,新浪
727,2021-04-08,化工行业4月策略：关注供需结构好转行业 龙头估值回调至合理水平,新浪
728,2021-04-08,中泰证券--中泰化工周度观点22W14：两化重组终落地，化工迎来新发展【行业研究】,金融界股吧
729,2021-04-08,“神枪手”社保基金持仓路线曝光！新进47只个股 医药电子是真爱,21世纪经济报道
730,2021-04-08,社保基金去年四季度重仓股揭秘：新进37股增持67股,证券时报网
731,2021-04-07,基础化工行业周报：芯片短缺问题加剧 光刻胶紧缺局面带动板块反弹,光大证券
732,2021-04-07,基础化工行业周报：“两化”重组消息公布 农化业务整合已提前完成,光大证券
733,2021-04-07,化工行业专题：周期成长龙头”护城河“来自哪里？,新浪
734,2021-04-07,浙商证券给予华鲁恒升买入评级，华鲁恒升年报点评：20Q4业绩大幅改善，两地项目有序推进,每日经济新闻
735,2021-04-07,社保基金连续持有54股最长已持有44个季度,证券时报网
736,2021-04-07,长城证券--碳中和系列专题报告：碳中和系列报告（一），碳中和背景下的路径指引及行业展望【行业研究】,金融界股吧
737,2021-04-07,石油天然气、化工行业中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,新浪
738,2021-04-07,49股去年四季度获社保基金扎堆持有,证券时报网
739,2021-04-07,盘前情报丨“公募一哥”30亿增持中炬高新；一季度新能源汽车登记增长295.20%，关注这些公司（附股）,21世纪经济报道
740,2021-04-07,中金 | 中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,中金点睛
741,2021-04-06,化工行业：碳排交易征求意见稿发布 加速碳市场落地,新浪
742,2021-04-06,中泰周期·大宗指南第13期：周期品周度运行变化,新浪
743,2021-04-06,化工行业周报：化工品价格快速上涨后企稳 依然看好未来景气持续,新浪
744,2021-04-06,【兴证化工】3月PMI公布，万华化学公布4月MDI挂牌价，化肥、钛白粉及钛精矿、DMF、PC涨价（4月4日）,兴证化工
745,2021-04-06,社保基金长线坚守53只股（附股）,证券时报网
746,2021-04-06,化工周报：钾肥、甲酸价格上涨 关注Q1业绩反转标的 推荐白马及细分龙头,新浪
747,2021-04-06,48股去年四季度获社保基金扎堆持有,证券时报网
748,2021-04-06,社保基金长线重仓股曝光：持有同仁堂长达11年 新进持仓中石化1.5亿股,金融投资报
749,2021-04-05,招商基础化工行业周报2021年4月第1周：化工行业Q1预计高增长，关注业绩增长持续的公司,招商基础化工
750,2021-04-05,社保基金长线重仓股大曝光！,中国基金报
751,2021-04-05,社保基金长线重仓股曝光，最长持仓11年，冯柳大举加仓逼近举牌！新进37股，扫货化工巨头1.5亿股,证券时报
752,2021-04-04,券商评级一周速览：506只个股获券商关注，领益智造目标涨幅达102.02%,每日经济新闻
753,2021-04-02,OPEC+4月会议点评：OPEC+增产是对全球石油需求有着更为乐观的预期,光大证券
754,2021-04-02,首创证券给予华鲁恒升买入评级，公司简评报告：煤化工景气复苏，新项目复制公司优质基因,每日经济新闻
755,2021-04-02,530股近一周获机构推荐，28股上调评级,Wind
756,2021-04-02,社保QFII持股路径曝光，化工电子板块各有所爱,Wind
757,2021-04-01,社保QFII最新调仓！两类资金分歧巨大,Wind
758,2021-04-01,【机构风向标】机构推荐胜率超六成，26股获机构高频买入推荐,证券时报网
759,2021-04-01,社保基金连续持有49股 最长已持有44个季度,中财网
760,2021-04-01,生意社：4月1日山东华鲁恒升液氨价格持稳,生意社
761,2021-04-01,华鲁恒升(600426)：煤化工龙头再度起航 21年业绩可期,新浪
762,2021-04-01,兴证策略&多行业：2021年4月金股组合,新浪
763,2021-04-01,华鲁恒升(600426)：2020Q4业绩环比大增 荆州开辟新格局,新浪
764,2021-04-01,东吴证券--华鲁恒升2020年报点评：2020Q4业绩环比大增，荆州开辟新格局【公司研究】,金融界股吧
765,2021-04-01,社保基金去年四季度重仓股揭秘：12股社保基金持股比例超5%,证券时报网
766,2021-04-01,【早安新时代】2021/04/01今日关注：华鲁恒升、比亚迪,新时代证券研究
767,2021-04-01,【新时代化工 程磊团队】华鲁恒升：第四季度业绩环比改善，一季度将迎来开门红,新时代证券研究
768,2021-04-01,中泰证券：不确定性逐步消退，乐观看待4月行情,Wind
769,2021-04-01,中泰证券：不确定性逐步消退，乐观看待4月行情,证券时报网
770,2021-04-01,【东吴化工】华鲁恒升2020年报点评：2020Q4业绩环比大增，荆州开辟新格局,东吴石化化工
771,2021-03-31,兴业证券4月金股出炉 中国神华、华鲁恒升等个股上榜,证券日报网
772,2021-03-31,万华化学(600309)：从不一样的“茅”谈起,新浪
773,2021-03-31,中免、金龙鱼、恒力、荣盛、分众、华鲁恒升等机构抱团股均跌超4%,Wind
774,2021-03-31,生意社：3月31日山东华鲁恒升液氨价格持稳,生意社
775,2021-03-31,【化工】华鲁恒升— 化肥化工量价齐升，新基地保障成长,中银证券研究
776,2021-03-31,开源证券--化工行业周报：化工板块企稳迎配置良机，万华化学布局石化产业链【行业研究】,金融界股吧
777,2021-03-31,【东北化工陈俊杰】华鲁恒升（600426）年报点评：煤价拖累Q4业绩略低预期，看好公司长期盈利改善 盈利能力下降,东北证券研究所
778,2021-03-31,晨报0331 | 煌上煌、泸州老窖、大悦城、华鲁恒升、郑煤机,国泰君安证券研究
779,2021-03-30,群益证券给予华鲁恒升买进(Buy)评级，煤化工龙头再度起航，2021年业绩可期,每日经济新闻
780,2021-03-30,最新个股研报精选：这只个股获五大机构同时关注,中金在线
781,2021-03-30,华鲁恒升(600426)：业绩体现强韧性 荆州基地保公司长期发展,新浪
782,2021-03-30,【中银化工点评报告】华鲁恒升（600426.SH）,点化成金
783,2021-03-30,华西证券--华鲁恒升：产品高景气度叠加新建产能投放，21年业绩高增长【公司研究】,金融界股吧
784,2021-03-30,东莞证券--华鲁恒升2020年报点评：第四季度盈利低于预期，现金流非常健康【公司研究】,金融界股吧
785,2021-03-30,华安证券--华鲁恒升：四季度营收创新高，第二基地环评公示【公司研究】,金融界股吧
786,2021-03-30,天风证券维持华鲁恒升买入评级：乘风破浪会有时，直挂云帆济沧海,每日经济新闻
787,2021-03-30,3月29日137只个股获券商关注，菱电电控目标涨幅达98.25%,每日经济新闻
788,2021-03-30,【天风Morning Call】晨会集萃20210330,新浪
789,2021-03-30,华鲁恒升(600426)：行业景气回升叠加项目增量 有望助力公司2021年业绩增长,新浪
790,2021-03-29,深度*行业*化工行业周报：多数化工品价格高位调整 农资维持坚挺,新浪
791,2021-03-29,化工行业周观点：业绩披露高峰期临近 关注业绩超预期机会,新浪
792,2021-03-29,基础化工行业周报：布局景气可持续性或超预期的品种,新浪
793,2021-03-29,化工行业周报：欧洲重新封城 原油价格回落,新浪
794,2021-03-29,基础化工行业周报：出现高价抵触现象 建议沿着双主线选股,新浪
795,2021-03-29,中泰证券--华鲁恒升：业绩符合预期，静待成长开启【公司研究】,金融界股吧
796,2021-03-29,国信证券给予华鲁恒升买入评级，2020年财报点评：业绩低谷已过，开启新一轮成长,每日经济新闻
797,2021-03-29,【兴证化工】DMF等多个煤化工产品涨价，纯碱、钛白粉价格走高（3月28日）,兴证化工
798,2021-03-29,东北证券--华鲁恒升：煤价拖累Q4业绩略低预期，看好公司长期盈利【公司研究】 盈利能力下降,金融界股吧
799,2021-03-29,社保基金长期重仓股名单曝光（附股）,证券时报网
800,2021-03-29,化工行业：万华推进福建工业园一体化布局 行业价格回调力度较小,新浪
801,2021-03-29,华鲁恒升(600426)：去年疫情已过 今年风光正好,新浪
802,2021-03-29,生意社：3月29日山东华鲁恒升液氨价格周末调涨,生意社
803,2021-03-29,平安证券--化工行业周报：石油公司逐渐加大对新能源的布局【行业研究】,金融界股吧
804,2021-03-29,西南证券--华鲁恒升:Q4业绩环比改善，看好2021年业绩回升【公司研究】,金融界股吧
805,2021-03-29,国金证券--华鲁恒升：现有业务稳步发展，第二基地打破发展瓶颈【公司研究】,金融界股吧
806,2021-03-29,华鲁恒升(600426)：盈利能力持续进化 看好长期成长空间,新浪
807,2021-03-29,安信证券--华鲁恒升：把握碳中和新机遇，看好公司长期成长【公司研究】,金融界股吧
808,2021-03-29,23股获买入评级 最新:宏达电子,中财网
809,2021-03-29,生意社：3月29日华鲁恒升DMF最新动态,生意社
810,2021-03-29,【华鲁恒升 | 年报点评：业绩低谷已过，开启新一轮成长】-国信证券,化工林谈
811,2021-03-29,华鲁恒升(600426)：20年业绩底部 21年产品景气上行助业绩高增长,新浪
812,2021-03-29,年报披露持仓动向 社保组合青睐化工、电子,中国基金报
813,2021-03-28,【安信化工】华鲁恒升2020年报点评：把握碳中和新机遇，看好公司长期成长,安信化工研究
814,2021-03-28,【开源化工】华鲁恒升年报点评报告：稀缺煤化工龙头疫情过后再出发，盈利有望复苏,Au化工
815,2021-03-28,“碳中和”背景下的行业投资机会丨一周重点研究报告,开源证券研究所
816,2021-03-28,招商基础化工行业周报2021年3月第4周：油价大幅波动，关注具有长逻辑的优质公司,招商基础化工
817,2021-03-28,【招商基础化工】华鲁恒升：四季度业绩环比大幅增长，中期有望迎来跨越式发展,招商基础化工
818,2021-03-28,石油天然气、化工行业：化工行情的三个核心关注之“三问三答”,新浪
819,2021-03-27,【太平洋化工】华鲁恒升：20年业绩下滑，21年业绩将跳涨,强大化工
820,2021-03-27,【华安化工|年报点评】华鲁恒升：四季度营收创新高，第二基地环评公示,化工阿尔法
821,2021-03-27,【方正化工】华鲁恒升2020年报点评：20年业绩见底，21年开启高速增长,靠谱化工股
822,2021-03-27,基础化工行业周报：估值收敛放缓 关注一季度业绩超预期标的,国金证券股份有限公司
823,2021-03-26,晚间重要公告2021年3月26日星期五,Wind
824,2021-03-26,华鲁恒升2020年拟10送3派3元,上证报
825,2021-03-26,华鲁恒升(600426.SH)年度归母净利同比下降27%至18亿元 拟10送3派3元 盈利能力下降,智通财经
826,2021-03-26,华鲁恒升：2020年度净利润约17.98亿元，同比下降26.69% 盈利能力下降,每日经济新闻
827,2021-03-26,华鲁恒升(600426.SH)2020年度净利润降26.69%至17.98亿元 拟10送3派3元 盈利能力下降,格隆汇
828,2021-03-26,华鲁恒升：2020年净利润同比减少26.69% 盈利能力下降,Wind
829,2021-03-26,基础化工行业周报：布局高景气赛道 盈利弹性抵御估值波动,新浪
830,2021-03-25,陆股通重仓指数翻红，桐昆股份、恒力石化、华域汽车升超5%,Wind
831,2021-03-25,生意社：3月25日山东华鲁恒升液氨价格调涨,生意社
832,2021-03-24,东方证券维持华鲁恒升买入评级：第二基地环评公示，成长确定性增强,每日经济新闻
833,2021-03-23,华鲁恒升跌6.63% 股价最高点招商证券等2券商唱多,中国经济网
834,2021-03-23,基础化工行业周报(第十一周),新浪
835,2021-03-23,周期全线调整，化工板块加速下挫，化工ETF（516020）持续溢价盘中获近1400万资金申购 连续下跌,资本邦
836,2021-03-23,生意社：3月23日华鲁恒升DMF最新动态,生意社
837,2021-03-23,化工行业：化肥价格整体走高 纯碱、有机硅、锂电材料涨价,新浪
838,2021-03-22,化工行业周报：年报和一季报季在即 关注二线龙头兑现高弹性,新浪
839,2021-03-22,平安证券--化工行业周报：降解塑料将成为拉动BDO需求的重要力量【行业研究】,金融界股吧
840,2021-03-22,化工板块快速回落，万华化学跌近5%，中泰证券化工：原油中期存回暖预期，龙头价值穿越周期,资本邦
841,2021-03-21,招商基础化工行业周报2021年3月第3周：电石、PVA本周涨幅居前，关注低估值成长公司,招商基础化工
842,2021-03-21,【华鲁恒升-开拓荆州基地，煤化工龙头再出发】-国信证券,化工林谈
843,2021-03-19,国信证券维持华鲁恒升买入评级：开拓荆州基地，煤化工龙头再出发,每日经济新闻
844,2021-03-19,华鲁恒升(600426)深度报告：开拓荆州基地 煤化工龙头再出发,新浪
845,2021-03-19,化肥农药板块单边下行，华鲁恒升、鲁西化工均跌超7%,Wind
846,2021-03-19,曾经公私募“枪口一致”，如今走势一波三折，这个板块还能火吗？,Wind
847,2021-03-18,兴论碳中和系列：拥抱能源革命的强主题,新浪
848,2021-03-18,东方盛虹、鲁西化工触涨停，化工ETF（516020）涨近3%！中信建投：三条主线把握碳中和对化工行业影响,资本邦
849,2021-03-18,生意社：3月18日山东华鲁恒升液氨价格调涨,生意社
850,2021-03-17,2021年基础化工行业春季投资策略：继续关注强Α白马 精选优质赛道龙头,新浪
851,2021-03-17,基础化工行业周报：化工景气仍上行 关注一季报行情,新浪
852,2021-03-17,生意社：3月17日华鲁恒升DMF最新动态,生意社
853,2021-03-16,生意社：3月16日山东华鲁恒升液氨价格持稳,生意社
854,2021-03-16,1月券商金股名单出炉！白酒降温，顺周期仍受捧，这些股票有看头,中证报
855,2021-03-15,生意社：3月15日山东华鲁恒升三聚氰胺价格动态,生意社
856,2021-03-15,化工行业周报：美国刺激计划落地+就业向好 复苏预期进一步增强,新浪
857,2021-03-15,化工周度观点21W11：碳中和大背景下的中国化工新时代,新浪
858,2021-03-15,化工行业周报：继续推荐核心资产及低估值高景气标的 关注碳中和受益标的,新浪
859,2021-03-15,交易一季报，重视周期回调机会,中信建投证券研究
860,2021-03-14,行业周报：顺周期继续分化 看好季报行情,国金证券股份有限公司
861,2021-03-14,基础化工行业周报：原油价格供需格局共促化工品价格上涨 带动国内PPI 逐步提升,光大证券
862,2021-03-13,【浙商化工陈煜∣周报】MDI供应仍显紧张，华鲁恒升投资50亿确保项目落地,醇萃化工研究
863,2021-03-11,生意社：3月11日山东华鲁恒升液氨价格持稳,生意社
864,2021-03-11,中金再次重申全面看好A/H银行1-4个季度有39/45%的上涨空间，北向加仓白酒+银行,资本邦
865,2021-03-10,“基金自购”上热搜，这些基金重仓的山东股稳了！,新浪
866,2021-03-10,中泰证券--中泰化工周度观点21W10：OPEC+延长减产计划，大宗品再获成本支撑【行业研究】,金融界股吧
867,2021-03-10,化工行业：碳中和浪潮进一步加速化企强者恒强 节能降耗新能源、新材料迎来发展新机遇,新浪
868,2021-03-10,中银证券--化工行业周报：OPEC延续减产，氨纶价格涨幅领先【行业研究】,金融界股吧
869,2021-03-10,美股逆天反弹，公募大手笔自购，食品ETF（515710）牛年份额飙升70%,资本邦
870,2021-03-09,基础化工行业投资周报：化工行业景气上行 继续推荐氨纶、轮胎、PVA,新浪
871,2021-03-09,化工行业周报：2月化工行业PMI公布 MDI、化纤、化肥价格强劲 钛白粉延续涨势,新浪
872,2021-03-09,国泰化工龙头ETF投资价值分析：拥抱化工行业景气周期,新浪
873,2021-03-09,基础化工行业周报：化工品涨价仍在途 推荐周期成长龙头,新浪
874,2021-03-09,化工行业2021一季度化工经营前瞻：产品价格持续上涨 关注聚氨酯、纺服原料、钛白粉和煤化工龙头,新浪
875,2021-03-08,大幅调整过的化工板块是买入良机吗？,Wind
876,2021-03-08,化工行业周报：油价新高 继续坚守龙头并增配低估值弹性标的,新浪
877,2021-03-08,沙特减产+能源设施遇袭，机构推荐两大主线14只个股,第一财经
878,2021-03-08,基础化工行业周报2021年3月第1周：氨纶继续大涨 布油逼近70美元化工品整体延续上行,新浪
879,2021-03-08,化工行业周报【20210307】,点化成金
880,2021-03-07,化工周度观点：OPEC+延长减产计划 大宗品再获成本支撑,新浪
881,2021-03-07,【周末特辑】涨价主线还能持续吗？,国金证券研究所
882,2021-03-06,石油化工行业研究：OPEC+3月4日部长级会议点评：OPEC+延长减产计划 油价崛起,光大证券
883,2021-03-06,石化化工行业近期行情点评：短期调整不改长期逻辑 坚定长期看好石化化工板块行情,光大证券
884,2021-03-06,基础化工行业周报：顺周期分化 绝对收益需选安全垫及增长标的,国金证券股份有限公司
885,2021-03-05,生意社：3月5日华鲁恒升DMF最新动态,生意社
886,2021-03-05,行业观察|“碳中和”下煤化工行业加速升级，龙头企业或强者恒强,财联社
887,2021-03-05,OPEC+减产支撑油价，石油板块持续走高，关注两主线,证券时报网
888,2021-03-05,中信证券：此轮油价上行或有望再持续一年,Wind
889,2021-03-05,晨会0305｜油价上行或有望再持续一年,中信证券研究
890,2021-03-04,生意社：3月4日山东华鲁恒升液氨价格调涨,生意社
891,2021-03-04,涨价主线联合报告：寻找供需错配驱动持续涨价的品种,国金证券股份有限公司
892,2021-03-04,石油化工＆基础化工行业2021年春季策略报告：后疫情时代下四大投资主线 龙头白马、周期成长、周期反转与成长突破,光大证券
893,2021-03-03,兖州煤业(600188)：最具成长潜力的低估值能化龙头！,新浪
894,2021-03-03,中银证券--化工行业周报：油价与海外供应紧张致化工品价格大幅上涨【行业研究】,金融界股吧
895,2021-03-03,中泰证券--化工：从恢复到景气，看当下化工的位置与节奏【行业研究】,金融界股吧
896,2021-03-03,信达证券--兖州煤业：最具成长潜力的低估值能化龙头【公司研究】,金融界股吧
897,2021-03-02,生意社：3月2日华鲁恒升辛醇报价暂稳,生意社
898,2021-03-01,化工周报：本轮化工周期更似07-08年 全球化工制造业基本恢复 坚定看好化工板块行情,新浪
899,2021-03-01,化工行业周报：化工行业景气指数单周大涨6.22%,新浪
900,2021-03-01,基础化工行业周报：化工龙头仍具备极佳配置价值,新浪
901,2021-03-01,化工行业报告：MDI、氨纶和乙二醇价格持续上行 醋酸启动涨价化工,新浪
902,2021-03-01,化工行业周报：坚守龙头 建议重点配置低估值周期景气标的,新浪
903,2021-03-01,化工产品迎来史诗级上涨 化工龙头股票有哪些？,至诚财经
904,2021-03-01,化工板块多股涨停，价格十年新高产品屡现，一线龙头获益,第一财经
905,2021-03-01,史丹利涨停，化肥股普遍活跃,Wind
906,2021-03-01,化纤行业涨势强劲，美达股份、新乡化纤、苏州龙杰涨停,金融界
907,2021-03-01,A股早报2021年3月1日星期一,Wind
908,2021-03-01,中信建投：化工行业一季度季度业绩有望大幅增长，回调正是买入时，无惧调整,证券时报网
909,2021-03-01,基础化工行业研究：MDI、PA66持续上涨 周期品景气向上,国金证券股份有限公司
910,2021-03-01,中泰证券：化工行业仍处于景气确定性较高阶段，行业龙头有望持续享受估值上行,证券时报网
911,2021-02-28,化工景气指数高涨，Q1业绩有望大幅增长，无惧回调,中信建投证券研究
912,2021-02-26,生意社：醋酐疯涨过后能平稳多久？,生意社
913,2021-02-26,生意社：2月26日山东华鲁恒升液氨价格稳定,生意社
914,2021-02-25,华鲁恒升：尿素价格不断上涨，产品满产满销业绩值得期待,搜狐
915,2021-02-25,煤炭&基础化工&石油化工行业深度：掘金“碳中和” “固碳”煤化工,新浪
916,2021-02-25,化工行业日报：能源及公用事业产业链核心数据跟踪日报,新浪
917,2021-02-25,行业观察|尿素价格逼近3年来高点 后续或将回落,财联社
918,2021-02-25,生意社：2月25日华鲁恒升辛醇报价暂稳,生意社
919,2021-02-25,煤化工的春天！两大巨头同时调价，DMF市场需求火爆,财联社
920,2021-02-25,醋酸回暖涨价潮持续，连亏2年的江苏索普趁势扭亏，股价走出三连板,金融界
921,2021-02-25,生意社：2月25日山东华鲁恒升液氨价格稳定,生意社
922,2021-02-23,东莞证券--华鲁恒升深度报告：内生增长典范，量价齐升高景气周期来临【公司研究】,金融界股吧
923,2021-02-23,中银证券--化工行业周报：国际油价高位震荡，外盘推涨芳烃PVC价格【行业研究】,金融界股吧
924,2021-02-23,行业观察|下游需求复苏明显 DMF短期或将延续高景气,财联社
925,2021-02-23,首创证券--化工行业周报：丁辛醇价格跳涨，化工景气持续复苏【行业研究】,金融界股吧
926,2021-02-23,【丁辛醇行业点评-PVC手套-DOTP大幅拉动需求，丁辛醇价格持续上涨】-国信证券,化工林谈
927,2021-02-23,生意社：2月23日山东华鲁恒升液氨价格上涨,生意社
928,2021-02-23,生意社：2月23日华鲁恒升DMF最新动态,生意社
929,2021-02-23,化工行业：涤纶产业链回暖 醋酸价格上涨,新浪
930,2021-02-23,中信建投：需求上升库存下降，顺周期配置铜铝,Wind
931,2021-02-23,中信建投：2021年化工行业仍将是供需周期带动景气复苏之年,Wind
932,2021-02-22,化工行业周观点：需求与油价共振 节后化工品价格跳涨,新浪
933,2021-02-22,方正策略：资产价格何时见顶？兼论金融、经济、股市、商品周期,方正证券
934,2021-02-22,开源证券--化工行业周报：美国暴风雪引发油价上涨，看好龙头和化纤产业链【行业研究】,金融界股吧
935,2021-02-21,【兴业证券晨会聚焦0222】策略-A股策略周报；固收-低价转债参与策略；交运-顺丰控股拟控股嘉里物流；化工-华鲁恒升点评,兴证研究
936,2021-02-20,化工周度观点：化工品迎来涨价潮 看好板块性机会,新浪
937,2021-02-20,华鲁恒升(600426)：精己二酸项目成功投产 新一轮五年计划构筑德州基地新成长点,新浪
938,2021-02-19,华鲁恒升：九位董监高人员减持约44万股，减持股份数量已过半 减持股份,每日经济新闻
939,2021-02-19,华鲁恒升(600426.SH)：9名董事及高管减持期过半累计减持43.72万股 减持股份,格隆汇
940,2021-02-19,华鲁恒升：公司监事胡彪累计减持0.01%股份 减持股份,Wind
941,2021-02-19,化工行业：周期风云再起 大化工机遇何在？,新浪
942,2021-02-19,华鲁恒升(600426)：己二酸项目投产 苯产业链扩能如期推进,新浪
943,2021-02-18,华鲁恒升精己二酸品质提升项目投产,上证报
944,2021-02-18,高管减持排行榜：12股减持额超亿元,证券时报网
945,2021-02-18,2021年第一波，涨价“红包”如期而至,Wind
946,2021-02-18,华鲁恒升(600426.SH)：精己二酸品质提升项目进入试生产阶段,智通财经
947,2021-02-18,生意社：2月18日华鲁恒升辛醇报价上涨,生意社
948,2021-02-17,化工行业：醋酸产业链价格走高 多企业上调钛白粉挂牌价 尿素、数个化纤品种涨价,新浪
949,2021-02-16,【牛年最牛行业之：化工】今年化工有系统性机会！中信建投：细分行业龙头或持续脱颖而出,每日经济新闻
950,2021-02-10,化工行业日报：原油价格持续走高 关注煤化工机会,新浪
951,2021-02-10,尿素价格持续上涨 华鲁恒升单月业绩创新高,金融界
952,2021-02-09,2月9日晚间重要行业研究汇总(附股),中金在线
953,2021-02-09,【招商基础化工】华鲁恒升：行业景气度持续上行，公司业绩有望超预期,招商基础化工
954,2021-02-09,化工板块出黑马！北上资金和机构猛加仓,证券时报网
955,2021-02-09,风口来了？有基金十大重仓股全买化工，开年赚20%,券商中国
956,2021-02-08,化工行业动态：景气指数与油价持续上攻 回调买入时 不改景气上行,新浪
957,2021-02-08,中国中免、兴业银行、牧原股份、荣盛石化、汇川技术等明星股盘中均创新高,Wind
958,2021-02-08,中银证券：春节后将迎来需求旺季，或将推动化工产品的新一轮涨价,证券时报网
959,2021-02-08,生意社：2月8日山东华鲁恒升液氨价格报稳,生意社
960,2021-02-08,化工板块再度走强，华鲁恒升、荣盛石化涨7%,Wind
961,2021-02-08,【化工】化工行业周报20210207：原油价格恢复至疫前水平，氨纶、尿素维持强势,中银证券研究
962,2021-02-08,2年7倍光伏龙头突曝大消息，股东“甩卖”158亿,证券时报网
963,2021-02-08,【国金晨讯】A股一周策略：持币还是持股过节？金山云：视频云、游戏云“特长生”能否弯道超车？奇安信：新网安领军,国金证券研究所
964,2021-02-08,【晨观方正】宏观/策略/计算机/医药/社服/化工20210208,方正证券
965,2021-02-07,化工行业投资策略周报：化工品涨多跌少 化工龙头股公募持仓提升明显,广发证券
966,2021-02-07,化工行业周度观点21W6：化工景气趋势不改 重申推荐观点,新浪
967,2021-02-07,开源证券--化工行业周报：磷肥价格强势运行，节前各化纤品种库存涨跌互现【行业研究】,金融界股吧
968,2021-02-07,生意社：2月7日山东华鲁恒升液氨价格下调,生意社
969,2021-02-07,生意社：2月7日华鲁恒升辛醇报价暂稳,生意社
970,2021-02-05,生意社：2月5日华鲁恒升DMF最新动态,生意社
971,2021-02-05,同德化工6天5板 万华化学等核心资产盘中继续新高,财联社
972,2021-02-04,曾最坚定看好科技股的明星基金经理，加仓这个“冷门”行业,上证报
973,2021-02-04,安信证券--华鲁恒升：荆州基地天时地利，有望再造一个华鲁【公司研究】,金融界股吧
974,2021-02-04,中泰证券--华鲁恒升:从精益生产角度解构华鲁的内生优势【公司研究】,金融界股吧
975,2021-02-04,中泰证券--华鲁恒升深度报告：煤化工一体化龙头，新项目助力再次腾飞【公司研究】,金融界股吧
976,2021-02-04,华鲁恒升(600426)：从乙二醇车间碳酯改造看华鲁的持续进化,新浪
977,2021-02-04,化工行业新材料系列深度报告之二：全球汽车电动化浪潮已至 中国锂电材料乘势而起,新浪
978,2021-02-04,化工股逆势大涨万华化学、华鲁恒升等创历史新高,格隆汇
979,2021-02-04,基础化工行业：化工龙头集体大涨 重申看好,新浪
980,2021-02-02,【万联化工 | 基金持仓分析】20Q4：整体表现优于大市，持仓水平明显改善,万联证券研究所
981,2021-02-02,销售每日AH推荐,新浪
982,2021-02-02,化工行业：国内外磷酸二铵和尿素迈向五年高点 继续看好化肥行情,新浪
983,2021-02-02,生意社：2月2日山东华鲁恒升液氨价格持稳,生意社
984,2021-02-01,国金证券--2020Q4化工持仓分析：基金重仓比例继续上行，龙头重仓市值环比大幅提升【行业研究】,金融界股吧
985,2021-02-01,基础化工行业周报：油价上涨 苏氨酸价格大涨 MDI挂牌价环比持稳,新浪
986,2021-02-01,化工行业报告：氨纶价格持续走高 环己酮、乙二醇启动涨价,新浪
987,2021-02-01,化工行业周度观点21W5：山东退出百万吨合成氨产能 优势向龙头集中,新浪
988,2021-02-01,化工新材料行业周报：化工品大范围淡季不淡 染料价格底宜重视,新浪
989,2021-01-31,浅谈季节性规律对尿素价格的影响,期货日报
990,2021-01-31,【国金化工】2020Q4化工持仓分析：基金重仓比例继续上行，龙头重仓市值环比大幅提升 (2021-01-31),点石化金
991,2021-01-31,基础化工行业周报：化肥春耕需求支撑持续 粘胶氨纶等偏强运行,国金证券股份有限公司
992,2021-01-31,化工持仓逐季攀升，玉米深加工产业链领涨,中信建投证券研究
993,2021-01-29,2020Q4化工行业基金持仓分析：公募基金向核心资产聚集趋势明显 化纤行业备受青睐,广发证券
994,2021-01-29,中泰证券--化工周度观点21W4：高端制造核心资产，化工迎来最强行情【行业研究】,金融界股吧
995,2021-01-28,万华化学(600309)公司跟踪报告：4.2亿元收购中国化学子公司华陆工程30％股权,新浪
996,2021-01-28,生意社：1月28日华鲁恒升辛醇暂不报价,生意社
997,2021-01-26,生意社：1月26日山东华鲁恒升三聚氰胺价格动态,生意社
998,2021-01-26,银河证券每日晨报,新浪
999,2021-01-26,化工行业周报：MDI淡季走强 醋酸等煤化工产品价格走高 菊酯等农药普涨 粘胶短纤涨价,新浪
1000,2021-01-26,化工行业板块2020Q4持仓分析：配置比例提升 增配顺周期成长龙头,新浪
1001,2021-01-26,银河证券：维生素、醋酸等涨势较好，关注细分龙头业绩表现,Wind
1002,2021-01-25,化工行业周观点：化纤等顺周期持续上涨 关注周期成长,新浪
1003,2021-01-25,中泰周期·大宗指南第4期：周期品周度运行变化,新浪
1004,2021-01-25,化工行业周报：农药板块迎来景气反转 关注细分龙头 继续推荐顺周期资产,新浪
1005,2021-01-25,化工行业：化工板块超额收益有望继续 看好四条主线,新浪
1006,2021-01-25,生意社：1月25日山东华鲁恒升液氨价格持稳,生意社
1007,2021-01-25,化工新材料行业周报：淡季不淡现象依然普遍 染料底部已现,新浪
