,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
849,2021-06-17,大基金一期收益丰厚，国科微浮盈超13倍，二期投向晶圆制造等领域,红周刊
850,2021-06-17,复旦微产品遇市场同质化“窘境” 行业竞争加剧成长能力或承压,和讯
851,2021-06-17,"大基金一期投资收益丰厚：国科微贡献浮盈超13倍 二期接棒投向晶圆制造等""卡脖子""领域",红周刊
852,2021-06-17,涨停板解密：多重利好！半导体个股掀涨停潮（6月17日）,Wind
853,2021-06-17,北向资金今日净买入15.94亿元，芯片、消费电子股获资金大幅抢筹,Wind
854,2021-06-17,突然沸腾，科创板大涨5%，“诺安大涨8%”上热搜,Wind
855,2021-06-17,芯片板块午后井喷，芯片ETF暴涨6%,Wind
856,2021-06-17,电子行业简评报告：半导体大会聚焦“缺芯” 开启新成长周期成为共识,新浪
857,2021-06-17,兆易创新大涨,新浪
858,2021-06-17,半导体行业跟踪报告之二：AIOT万物智能 华为鸿蒙振芯铸魂,光大证券
859,2021-06-16,华海清科六成收入来自关联交易，从研发到保代或都绕不开某大学,新浪
860,2021-06-16,资金流向分析,新浪
861,2021-06-16,【银河电子】2021年中期策略丨拥抱变革，汽车电子初露峥嵘,中国银河证券研究
862,2021-06-16,财险三巨头“尝鲜”汽车芯片险 兆易创新等上市公司参与其中,证券日报
863,2021-06-15,兆易创新现1笔大宗交易 共成交827.22万元,新浪
864,2021-06-15,兆易创新今日大宗交易成交6万股，成交价137.87元溢价0.0%,Wind
865,2021-06-15,东芯股份闯关科创板：低毛利率冲规模疑虑难消,证券市场周刊
866,2021-06-15,7成盈利、千亿扩产计划，半导体迎景气周期,Wind
867,2021-06-15,时至年中，哪些上市公司主营产品供不应求？,Wind
868,2021-06-15,芯片股集体发力，全志科技大涨8%,Wind
869,2021-06-15,还是缺芯！中国汽车销量5月同比环比均下滑 盈利能力下降,上证报
870,2021-06-12,缺芯成行业难题汽车芯片保险保障机制国内首次上线,财联社
871,2021-06-12,汽车缺芯反思：提升可靠性打通产业链堵点,Wind
872,2021-06-11,国家大基金6月动作频频：减持国科微，携手华润微发力晶圆制造 减持股份,第一财经
873,2021-06-11,揭秘送转股 132只除权以来股价上涨,证券时报网
874,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
875,2021-06-11,晨会聚焦210611重点关注涂鸦智能的关键问题解析,国信研究
876,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
877,2021-06-10,兆易创新：公司自有品牌的DRAM产品与2020年报中披露一致，已经量产推出,每日经济新闻
878,2021-06-10,晨会聚焦210610重点关注固定收益专题,国信研究
879,2021-06-10,129只送转股走出贴权走势,证券时报网
880,2021-06-10,资金流向分析,新浪
881,2021-06-10,大盘整固 兆易创融资盘流入,财富动力网
882,2021-06-09,半导体景气风向标：旺季将至 景气持续,新浪
883,2021-06-09,半导体产业景气度仍将持续,大众证券报
884,2021-06-09,晨会聚焦210609重点关注培育钻石行业、再生铝行业、元宇宙专题、机械行业,国信研究
885,2021-06-09,“缺芯”影响持续发酵，内外资联手加仓芯片股,Wind
886,2021-06-08,NOR Flash芯片2020年榜单发布：国内厂商成长迅速，兆易创新位列全球第三,每日经济新闻
887,2021-06-08,英飞凌跃居全球汽车半导体第一行业增量空间广阔国内厂商登上舞台,财联社
888,2021-06-08,ST板块再掀涨停潮 “妖股”ST岩石继续横行？公募基金最新调研动向曝光！,中金在线
889,2021-06-08,关于长鑫存储的一些“冷静声音”,证券之星
890,2021-06-08,首席周观点：股债小双牛还能持续吗？,新浪
891,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
892,2021-06-08,"突发，公司实控人被刑拘，事涉四川信托，另有上市公司或涉及“精准减持”遭监管问询。大基金二期再出手，“缺芯”危机下板块近期大涨
减持股份",e公司
893,2021-06-08,大基金二期再出手 “缺芯”危机下板块近期大涨(附股),新浪
894,2021-06-07,沪港通十大成交活跃股排名（6月7日）,Wind
895,2021-06-07,北向资金净卖出额创近一个月新高，宁德时代遭大幅抛售超14亿元,Wind
896,2021-06-07,通信电子行业景气数据跟踪报告之五：全球与国内龙头的靓丽业绩持续印证半导体高景气度,光大证券
897,2021-06-07,半导体板块飙涨，有芯片价格涨至5倍，行业供需格局或仍趋紧丨牛熊眼,第一财经
898,2021-06-07,券商晨会观点速递,第一财经
899,2021-06-04,入局主流存储市场，兆易创新首款自有品牌DRAM产品正式发布,维库电子市场
900,2021-06-04,半导体板块发力，富瀚微、瑞芯微双双大涨6%,Wind
901,2021-06-04,17股获券商买入评级 当代文体目标涨幅达138.37%,Wind
902,2021-06-04,资金流向分析,新浪
903,2021-06-03,中国NOR闪存老大跨界：兆易创新发布自有品牌DDR4内存,快科技
904,2021-06-03,兆易创新发布首款自有品牌DRAM产品,TechWeb
905,2021-06-03,入局主流存储市场 兆易创新首款自有品牌DRAM产品正式发布,e公司
906,2021-06-03,国金证券维持兆易创新买入评级：中国存储“芯”希望，目标价174.82元,每日经济新闻
907,2021-06-03,上市公司正负面新闻2021年6月3日星期四,Wind
908,2021-06-02,大基金减持兆易创新0.28%股份 持股比例降至6% 减持股份,e公司
909,2021-06-02,晚间重要公告2021年6月2日星期三,Wind
910,2021-06-02,晚间公告｜6月2日这些公告有看头,第一财经
911,2021-06-02,兆易创新：大基金近日减持0.28%公司股份 减持股份,科创板日报
912,2021-06-02,兆易创新：大基金近日减持公司0.28%股份 减持股份,e公司
913,2021-06-02,兆易创新(603986.SH)主要股东大基金持股比例降至6%,智通财经
914,2021-06-02,兆易创新：国家集成电路产业投资基金5月31日-6月1日累计减持184.3万股 减持股份,36氪
915,2021-06-02,兆易创新：控股股东及其一致行动人的持股比例下降至13.36%,Wind
916,2021-06-02,兆易创新：国家集成电路产业投资基金减持0.28%股份 减持股份,Wind
917,2021-06-02,苹果最新供应链名单公布：中国大陆厂商占48％，这些A股上市公司被新纳入,第一财经
918,2021-06-02,兆易创新(603986)：利基存储平台化发展 MCU加速国产替代,新浪
919,2021-06-02,晨会聚焦210602重点关注现代牙科、商贸零售、机械、海外教育、港股、房地产、白酒、拓邦股份、洋河股份、美团,国信研究
920,2021-06-02,晶圆厂资本开支上行，关注设备和材料国产化机会,招商证券
921,2021-06-01,群益证券给予兆易创新买进评级：芯片供给紧张将延续，平台型企业受益良多,每日经济新闻
922,2021-06-01,群益证券：兆易创新（603986.SH）国内存储芯片龙头，给予“买进”评级,智通财经
923,2021-05-31,【半导体投资日报】芯片短缺影响由2B传导至2C，“皇冠上的明珠”迎来国产化机遇,新浪
924,2021-05-31,北向资金再度大幅净买入超52亿元，东方雨虹净买入额创历史新高,Wind
925,2021-05-31,5月31日晚间重要行业研究汇总(附股),中金在线
926,2021-05-31,兆易创新：股东陈永波、郑涛减持计划完成，减持股份5.51万股,每日经济新闻
927,2021-05-31,兆易创新(603986.SH)两名高管累计减持5.51万股 完成减持计划 拟减持股份,智通财经
928,2021-05-31,兆易创新(603986.SH)业绩承诺方完成现金补偿,智通财经
929,2021-05-31,兆易创新：两位副总经理合计减持5.51万股,Wind
930,2021-05-31,电子行业周报：半导体景气持续业绩确定 面板价格保持上升,华安证券
931,2021-05-31,芯片股逐渐活跃，韦尔股份、中兴通讯、北方华创、兆易创新、华润微等纷纷上扬,Wind
932,2021-05-30,板块拾金|一天一个样！新能源、半导体、金融...轮动市到底看谁？策略收好！,第一财经
933,2021-05-30,半导体行业报告：5G持续落地+国产替代加速 看好前瞻布局射频前端滤波器核心技术相关标的,新浪
934,2021-05-28,7成公司预喜！下周16家高送转、43家高派现,Wind
935,2021-05-28,传说中年终奖7000万元的基金经理 居然也在为学区房发愁,新浪
936,2021-05-28,MCU仍处于高度供应不足状态 国内企业进一步崛起,中投网
937,2021-05-27,【半导体投资日报】看好半导体国产化进程，材料和设备都还有很大的提升空间，关注细分行业增量,新浪
938,2021-05-27,2020年全球存储芯片行业竞争格局及企业市场份额分析 全球市场集中度较高,前瞻研究院
939,2021-05-27,2021年中国存储芯片行业市场规模及竞争格局分析 国内市场由国外企业垄断,前瞻研究院
940,2021-05-27,5月27日晚间重要行业研究汇总(附股),中金在线
941,2021-05-27,兆易创新:在目前需求旺盛的情况下，公司MCU产品价格会做适当调整,上海有色
942,2021-05-27,芯片缺货加剧分化：MCU持续涨价，国产厂商加大投入,21世纪经济报道
943,2021-05-26,兆易创新：公司MCU产品价格主要受供需关系影响，在目前需求旺盛的情况下，价格会做适当调整,每日经济新闻
944,2021-05-26,电子元器件周报：大尺寸面板周期属性有望弱化 半导体硅片厂商同比增速提速,新浪
945,2021-05-25,兆易创新：董事辞职 董监高成员变化,Wind
946,2021-05-25,兆易创新：拟增补两名董事,每日经济新闻
947,2021-05-25,电子行业：建议关注AR／VR产业链投资机会,新浪
948,2021-05-25,电子行业周观点：硅片仍然供不应求 存储芯片国产替代更进一步,新浪
949,2021-05-25,兆易创新大涨,新浪
950,2021-05-25,半导体告急？台积电一工程师确诊，全球缺芯潮又来？,Wind
951,2021-05-25,【重磅深度】汽车半导体（PPT版）：大变革时代，汽车半导体站上历史的进程,吉森电子研究
952,2021-05-25,【天风Morning Call】晨会集萃20210525,天风研究
953,2021-05-24,市场流动性跟踪周报：北向资金连续六周净买入,新浪
954,2021-05-24,北向资金今日净买入超18亿，继续加仓医药股,Wind
955,2021-05-24,电子行业周报：荣耀复苏 大基金减持 减持股份,新浪
956,2021-05-24,科技硬件行业周报：AR新进展广受关注,新浪
957,2021-05-24,晨会聚焦210524重点关注社会服务、海外银行、传媒、医药、卓胜微,国信研究
958,2021-05-22,【银河周知】看好大宗商品和消费相关行业的投资机会,中国银河证券研究
959,2021-05-22,【民生周末重点推荐】首席看电子：业绩增长强劲，电子行业景气延续——电子行业2020年报和2021一季报总结,MS研究
960,2021-05-21,光大证券--半导体4月跟踪报告：半导体2020及21Q1业绩靓丽，景气高企【行业研究】,金融界股吧
961,2021-05-21,调研马不停蹄，头部机构偏爱“下蹲起跳”,Wind
962,2021-05-20,大基金2021年减持的半导体企业 减持股份,腾讯网
963,2021-05-20,国家大基金减持通富微电，套现约5亿，早盘股价下挫逾7% 减持股份,第一财经
964,2021-05-20,为何密集减持？国家队两龙头套现17亿，影响多大？ 减持股份,Wind
965,2021-05-19,兆易创新：公司MCU产品已在汽车后装市场有所应用，最新的MCU车规产品预计在今年六七月份开始流片，计划今年底进入量产,每日经济新闻
966,2021-05-19,兆易创新：公司自有品牌的DRAM产品即将如期面世,每日经济新闻
967,2021-05-19,晨会聚焦210519重点关注华测导航、银行理财、汽车汽配、房地产、纺织服装、扬农化工、中兵红箭、华峰化学、中国移动,国信研究
968,2021-05-18,国家大基金拟再次减持芯片龙头超12亿,Wind
969,2021-05-17,电子行业：新封装、新材料、新架构驱动后摩尔时代集成电路发展,新浪
970,2021-05-16,【民生研究】周观点汇总：疫情和就业数据只是扰动，发达国家经济复苏趋势没有改变,新浪
971,2021-05-14,兆易创新(603986.SH)每10股转4股派5.6元 股权登记日为5月20日,智通财经
972,2021-05-14,兆易创新(603986.SH)2020年度权益分派10转4派5.6元 股权登记日为5月20日,格隆汇
973,2021-05-14,北向资金大幅减持股名单 减持股份,证券时报网
974,2021-05-13,【半导体投资日报】供需紧张推高半导体景气度，历史级大缺货背景下，产能是核心，关注三大要点（附股）,新浪
975,2021-05-13,电子行业2020年年报暨2021年一季报总结：淡季不淡 高景气下电子行业表现亮眼,新浪
976,2021-05-13,科技硬件周报(5/1)：A股年报季收官 苹果业绩会广受关注,新浪
977,2021-05-13,半导体年报&Q1总结：中短期看量价齐升 中长期看需求和格局,新浪
978,2021-05-13,电子行业2021年中期策略：大变局下的电子行业新机遇,新浪
979,2021-05-13,电子行业动态点评：海外疫情加剧 大陆电子产业“危”“机”并存,新浪
980,2021-05-13,电子行业2020年报和2021一季报总结：业绩增长强劲 电子行业景气延续,新浪
981,2021-05-11,兆易创新(603986)：立足存储外延发展 景气度大年有望加速成长,新浪
982,2021-05-11,中泰证券：兆易创新（603986.SH）存储芯片需求旺盛，首予“增持”评级,智通财经
983,2021-05-11,天风研究 | 2020年报·2021一季报总结,天风研究
984,2021-05-10,科技行业FY20&1Q21业绩回顾：半导体设计／制造板块迎来高景气周期,新浪
985,2021-05-10,半导体行业周报：海外半导体一季报解读 高业绩指引高景气,新浪
986,2021-05-10,电子行业：高景气延续 把握国产替代+顺周期机会,国联证券
987,2021-05-10,上证50跌幅扩大至1%,Wind
988,2021-05-10,【行情】半导体及元件板块走弱，南大光电跌近6%，北方华创、中晶科技、兆易创新、紫光国微跟跌,金十数据
989,2021-05-10,机构最新潜在目标曝光，海康威视获500家机构调研,Wind
990,2021-05-08,A股半导体公司年度政府补助排行榜：119家合计149亿元 前10家占比近七成,搜狐
991,2021-05-08,直击兆易创新股东大会 CEO程泰毅：供应链本土化需求将使车规级MCU验证过程加快,每日经济新闻
992,2021-05-08,“缺芯潮”下兆易创新也要做车规级MCU CEO程泰毅：目前已与 Tier1合作,每日经济新闻
993,2021-05-08,5月机会：赚钱效应逐渐回升三大行业被集体看好！,金融投资报
994,2021-05-08,最新！牛散连续重仓榜出炉(名单),中国基金报
995,2021-05-07,超级牛散葛卫东连续重仓榜出炉，14股获3年以上坚定持有,第一财经
996,2021-05-07,牛散连续重仓榜出炉，14股获3年以上坚定持有，期货大神不惧腰斩坚守芯片龙头，香水大王痴情股重仓10年,证券时报网
997,2021-05-07,兆易创新将于上半年推出19nm DDR4 最新车规MCU计划年底量产,维库电子市场
998,2021-05-06,国盛证券首予兆易创新买入评级：MCU高景气，存储迈入成长新阶段,每日经济新闻
999,2021-05-06,兆易创新 虎口夺食三星海力士,搜狐
1000,2021-05-06,华安证券维持兆易创新买入评级：MCU高速成长，存储器版图添新目标,每日经济新闻
1001,2021-05-06,苹果业绩大超预期，产业链公司被扎堆调研（附名单）,Wind
1002,2021-05-06,又是重仓干！归凯8只产品押宝1股，公募冠军也看上了,Wind
1003,2021-05-06,公私募大佬扎堆现身，五一节前机构调研不停歇,Wind
1004,2021-05-03,北向资金4月扫货超520亿元，重点买入这只细分龙头,Wind
1005,2021-05-03,顶流私募最新持仓曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等全来了,Wind
1006,2021-05-02,机构热情爆发，这家公司获超300家公司集体调研！,21世纪经济报道
1007,2021-05-02,独家吐血整理！顶流私募800亿最新持股大曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等大咖全来了,中国基金报
1008,2021-05-02,通富微电(002156)2021年一季报点评：封测延续高景气 公司加速成长,新浪
1009,2021-05-01,兆易创新(603986)：存储与MCU景气度向上 业绩持续高增长,国联证券
1010,2021-05-01,兆易创新(603986)：Q1业绩亮眼 全年有望高增长,国金证券股份有限公司
1011,2021-04-30,兆易创新：公司自有品牌的DRAM产品会在今年上半年推出,每日经济新闻
1012,2021-04-30,兆易创新DDR4内存上半年问世：19nm工艺,快科技
1013,2021-04-30,盘前情报丨明星基金经理一季度抱团重仓个股名单出炉 主要集中在医药生物、电子等行业（附股）,21世纪经济报道
1014,2021-04-30,北向资金节前一周净买入超216亿元 增持银行、券商板块,21世纪经济报道
1015,2021-04-30,国产芯片第一梯队业绩分化：单品类强≠业绩恒强,21世纪经济报道
1016,2021-04-29,【天风电子】兆易创新：立足存储布局MCU，景气旺盛带动业务快速增长,科技伊甸园
1017,2021-04-29,国产芯片第一梯队业绩分化：技术与产品的“平衡术” 盈利能力下降,21世纪经济报道
1018,2021-04-29,兆易创新：最新的MCU车规产品年底量产,第一财经
1019,2021-04-29,赚钱先要亏得起、熬得住 葛卫东40亿重仓兆易创新：股价腰斩也没卖,上证报
1020,2021-04-29,北向资金连续5日扫货，伊利股份、宁德时代净买入超6亿元,Wind
1021,2021-04-29,兆易创新接受277家机构调研,每日经济新闻
1022,2021-04-29,晨会纪要2021年第78期,国海证券
1023,2021-04-29,北向资金昨日净买额缩减 减持酿酒行业居首 抛售贵州茅台9.95亿元 减持股份,21世纪经济报道
1024,2021-04-28,沪港通十大成交活跃股排名（4月28日）,Wind
1025,2021-04-28,兆易创新现1笔大宗交易 共成交528.58万元,新浪
1026,2021-04-28,北向资金连续4日增持A股，贵州茅台逆市遭抛售近10亿元,Wind
1027,2021-04-28,兆易创新今日大宗交易成交2.70万股，成交价195.77元溢价0.0%,Wind
1028,2021-04-28,兆易创新(603986)：Q1业绩大幅增长 存储+MCU齐头并进,西南证券
1029,2021-04-28,【国元电子】兆易创新：Q1业绩超预期，看好全年增长,茂飞电子研究
1030,2021-04-28,国元证券给予兆易创新增持评级：Q1业绩超预期，看好全年增长,每日经济新闻
1031,2021-04-28,民生证券维持兆易创新推荐评级：Q1业绩大幅增长，看好MCU翻倍成长,每日经济新闻
1032,2021-04-28,高端制造与科技行业事件点评：四部委明确国家鼓励的集成电路企业所需满足的条件,新浪
1033,2021-04-28,A股异动|兆易创新(603986.SH)涨逾4%一季度净利升79.43%至3.01亿元券商唱多,格隆汇
1034,2021-04-28,73家公司获海外机构调研,证券时报网
1035,2021-04-28,行业爆发毛利率却下滑 兆易创新遭创始人与大基金减持 盈利能力下降,投资者网
1036,2021-04-28,风享 · TMT 一周谈 | 当下科技板块如何布局？,天风研究
1037,2021-04-27,晚间重要公告2021年4月27日星期二,Wind
1038,2021-04-27,【半导体投资日报】缺芯已经影响洗衣机和面包机，兆易创新一季度净利增79.43%，韦尔股份遭股东减持0.99% 减持股份,新浪
1039,2021-04-27,晚间公告丨4月27日这些公告有看头,第一财经
1040,2021-04-27,兆易创新2021年第一季度报告 Dram产品毛利贡献度低,TechWeb
1041,2021-04-27,注意！兆易创新：公司高管陈永波、郑涛拟减持不超过约3.95万股 拟减持股份,每日经济新闻
1042,2021-04-27,兆易创新：2021年第一季度净利润约3.01亿元，同比增加79.43%,每日经济新闻
1043,2021-04-27,电子行业智能耳机专题：方兴未艾 迭代演进 安卓品牌加速渗透,新浪
1044,2021-04-27,兆易创新(603986.SH)一季度净利升79.43%至3.01亿元,格隆汇
1045,2021-04-27,兆易创新：两名高管拟合计减持不超2.4万股 拟减持股份,Wind
1046,2021-04-27,兆易创新：一季度净利润同比增长79.43%,Wind
1047,2021-04-27,Morgan Stanley看涨NOR Flash Q2报价环比最高涨三成 需求扩张产能紧缺是主因,科创板日报
1048,2021-04-26,华安证券--电子行业周报：持续聚焦一季报确定的面板、半导体板块【行业研究】,金融界股吧
1049,2021-04-26,半导体指数走强，国科微、华峰测控等涨势强劲,Wind
1050,2021-04-26,6000亿大白马被400多家机构同时盯上，透露重磅信息！,Wind
1051,2021-04-25,兆易创新靠长鑫DRAM拓展市场 代价呢？,TechWeb
1052,2021-04-23,53股获买入评级 最新:爱尔眼科,中财网
1053,2021-04-23,国产55nm NOR闪存量产：寿命不低于10万次,中电网
1054,2021-04-22,超9成盈利、27家业绩翻番，半导体迎最好时期,Wind
1055,2021-04-22,关键芯片遭大厂暂停接单，相关板块沸腾,Wind
1056,2021-04-21,【半导体投资日报】一季度我国芯片相关企业注册量增302%，阿斯麦净利润增240%,新浪
1057,2021-04-21,新时代证券--兆易创新2020年报点评：存储与MCU尽享下游高景气红利，中长期成长可期【公司研究】,金融界股吧
1058,2021-04-21,兆易创新全年扣非净利润降2% 并购公司业绩不达标获赔超2亿 盈利能力下降,GPLP犀牛财经
1059,2021-04-20,【半导体投资日报】关注未来2-3年成长确定性强 向上空间较大的细分领域,新浪
1060,2021-04-20,再度传调涨！MCU缺货潮蔓延，最长排产到明年，个股已涨77%,证券之星
1061,2021-04-20,再度传调涨！MCU缺货潮蔓延，最长排产到明年，个股已涨77%,财联社
1062,2021-04-20,79家公司获机构调研（附名单）,证券之星
1063,2021-04-19,半导体动态分析：关注半导体龙头成长机会、全面扩产带来国产机遇,新浪
1064,2021-04-19,如何正确的看懂上市公司的年报？,云掌财经
1065,2021-04-19,兆易创新去年净利增45% 商誉减值亿元毛利率下降,中国经济网
1066,2021-04-19,信达证券--电子行业深度报告：追根溯源，探讨半导体缺货的危与机【行业研究】,金融界股吧
1067,2021-04-17,拆财报丨后朱一明时代的兆易创新：押注内存市场坚决，四季度毛利率异常下滑或延续 欺诈造假,21世纪经济报道
1068,2021-04-17,上市公司正负面新闻2021年4月17日星期六,Wind
1069,2021-04-16,下周902亿市值限售股解禁，环比增加177.01% 解禁,Wind
1070,2021-04-16,晚间重要公告2021年4月16日星期五,Wind
1071,2021-04-16,兆易创新(603986.SH)：2018年激励计划预留授予第二个行权期及解除限售期行权条件及解除限售条件成就,格隆汇
1072,2021-04-16,【半导体动态分析】兆易创新净利同比增45%，江丰电子营收增41%,新浪
1073,2021-04-16,兆易创新年度报告：2020年净利润同比增长45% 拟10转4派5.6元,鲸平台
1074,2021-04-16,兆易创新(603986.SH)拟使用不超4亿元2019年度定增闲置募集资金委托理财,智通财经
1075,2021-04-16,兆易创新(603986.SH)拟使用不超20亿元2020年度定增募集资金委托理财,智通财经
1076,2021-04-16,兆易创新(603986.SH)2020年度扣非净利润降1.79%至5.55亿元拟10转4派5.6元 盈利能力下降,格隆汇
1077,2021-04-16,兆易创新(603986.SH)年度归母净利同比增长45%至8.81亿元 拟10转4派5.6元,智通财经
1078,2021-04-16,兆易创新：2020年净利润同比增长45.11%,Wind
1079,2021-04-16,国家大基金一期减持1亿股中芯国际！套现近26亿港元 减持股份,中证报
1080,2021-04-16,三大指数盘中均翻绿 创业板指跳水跌逾1.5%,网易
1081,2021-04-16,国家队减持2800亿芯片龙头，这一内因是关键,Wind
1082,2021-04-16,最强“空头”又来？2800亿芯片龙头遭“国家队”减持2天套现26亿！芯片行业又被暴击？这一内因是关键 减持股份,券商中国
1083,2021-04-16,中芯国际遭减持22亿，大基金持仓A股最新名单出炉 减持股份,Wind
1084,2021-04-16,套现21亿，减持中芯国际1亿股，大基金密集减持背后 减持股份,36氪
1085,2021-04-15,龙头中招！又一只芯片股被大基金减持，行业高景气下减持原因为何？ 减持股份,科创板日报
1086,2021-04-15,【机会挖掘】机构预计半导体产业已出现结构性转变 行业景气有望持续,同壁财经
1087,2021-04-14,4月14日晚间重要行业研究汇总(附股),中金在线
1088,2021-04-14,大基金减持进行时，宣布减持长川科技2% 减持股份,资本邦
1089,2021-04-14,兆易创新持续打造丰富行业应用方案，亮相2021慕尼黑上海电子展,电子产品世界
1090,2021-04-14,又一只芯片股被弃！刚刚，大基金宣布减持2%，曾三度入股 减持股份,证券之星
1091,2021-04-13,华安证券--电子行业周报：关注一季报确定的面板、半导体板块【行业研究】,金融界股吧
1092,2021-04-12,电子行业周观点：业绩期来临 LCD将迎高光,新浪
1093,2021-04-12,华安研究行业周观点集萃,华安证券
1094,2021-04-12,又减持芯片股!大基金减持晶方科技约189.2万股 减持股份,资本邦
1095,2021-04-12,【独家】10家国产MCU原厂聊“缺货”和替代挑战！,国际电子商情
1096,2021-04-12,IC封测企业业绩大爆发，百亿扩产正密集筹划,Wind
1097,2021-04-11,【中信建投电子|刘双锋&雷鸣团队】周报：存储需求高涨价格上扬；华为发布智能家居解决方案,中信建投电子研究
1098,2021-04-10,傅鹏博、张坤、葛兰！顶流基金经理调研了这些股,Wind
1099,2021-04-10,太意外，大基金突然减持芯片绩优股，最新大基金持仓名单曝光 减持股份,新浪
1100,2021-04-10,通富微电(002156)：封测延续高景气 业绩高速增长,新浪
1101,2021-04-10,Wind风控日报2021年4月10日星期六,Wind
1102,2021-04-10,"""国家队""减持两大芯片股！为何减持？ 减持股份",证券时报网
1103,2021-04-10,"""国家队""减持两大芯片股 但2000亿""增持资金""在路上 减持股份",券商中国
1104,2021-04-10,上市公司正负面新闻2021年4月10日星期六,Wind
1105,2021-04-09,晚间重要公告2021年4月9日星期五,Wind
1106,2021-04-09,一周主力资金丨9只股票本周净流出额超10亿元,第一财经
1107,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
1108,2021-04-09,兆易创新：大基金减持约1%股份套现9.13亿元 减持股份,资本邦
1109,2021-04-09,兆易创新：大基金减持约472万股，减持计划数量已过半,每日经济新闻
1110,2021-04-09,兆易创新(603986.SH)主要股东大基金减持比例达1% 减持股份,智通财经
1111,2021-04-09,兆易创新：大基金近期累计减持公司约1%股权 减持股份,e公司
1112,2021-04-09,兆易创新：大基金累计减持471.6万股 约占公司总股本的1% 减持股份,新浪
1113,2021-04-09,兆易创新(603986.SH)：国家大基金减持数过半累计减持1%股份 减持股份,格隆汇
1114,2021-04-09,兆易创新：国家集成电路产业投资基金减持1%公司股份 减持股份,Wind
1115,2021-04-09,多家MCU台厂一季报营收强劲这些A股同行也将受益缺货潮,科创板日报
1116,2021-04-09,中信证券：半导体板块当前景气复苏，后续国产替代逻辑加强,Wind
1117,2021-04-09,大基金概念股业绩亮丽，半导体行业持续向好,Wind
1118,2021-04-08,这么好的芯片，大基金为何频频减持？,Wind
1119,2021-04-07,汽车“缺芯”或持续一年以上，国内细分龙头替代空间巨大（附股）,第一财经
1120,2021-04-07,CITE 2021来了！芯片、信创、数据存储、5G成亮点,Wind
1121,2021-04-07,大基金又披露减持计划，拟减持北斗星通2%股份,资本邦
1122,2021-04-07,华西证券--电子（半导体）行业点评报告：半导体景气度持续，或逐渐步入业绩兑现期【行业研究】,金融界股吧
1123,2021-04-07,电子行业深度：中国半导体 牛角峥嵘,新浪
1124,2021-04-07,“新核心资产”蓄势待发，增量资金共识渐成,Wind
1125,2021-04-06,电子元器件周报：3月下旬面板价格环比涨幅扩大 半导体行业景气度持续高涨,新浪
1126,2021-04-06,半导体动态：芯片股集体新高！韦尔股份净利增102%，新洁能增199%,新浪
1127,2021-04-06,电子行业-行业周报：华为2020年业绩出炉，数字化智能化带来行业新机遇,国信研究
1128,2021-04-06,中信证券：关注经济复苏下盈利持续修复周期，特别是传统板块的低估值龙头,第一财经
1129,2021-04-06,华泰证券：台积电、中芯国际积极扩产，预示产业看好本轮半导体高景气超预期延续,Wind
1130,2021-04-05,【华西电子孙远峰团队-持续看好半导景气】半导体景气度持续，或逐渐步入业绩兑现期,远峰电子
1131,2021-04-05,海外策略｜海外“全中国组合”—2021年4月,中信证券研究
1132,2021-04-05,中信证券：3月A股、港股延续节后调整 没看到资金流出新兴市场,新浪
1133,2021-04-04,陆家嘴财经早餐2021年4月4日星期日,Wind
1134,2021-04-03,每经20点 | 中国驻孟加拉国大使馆：孟政府决定自4月5日起全国封城一周；3月份高瓴资本调研兆易创新等五家公司,每日经济新闻
1135,2021-04-03,3月份461家上市公司接受机构调研高瓴资本参与调研兆易创新等五家公司,格隆汇
1136,2021-04-03,高瓴调研最新动向曝光！这些公司招来百亿私募大佬,Wind
1137,2021-04-02,券商资管3月公募产品成绩分化明显：最高赚7%，最低亏损10%！“估值”成新焦点,每日经济新闻
1138,2021-04-02,芯片巨头狂砸6500亿扩产，半导体股票飙涨，全球芯荒何时终结,Wind
1139,2021-04-01,芯片厂涨价消息传来，晶圆缺货延续产业链受益丨牛熊眼,第一财经
1140,2021-04-01,兆易创新(603986)公司报告：存储&MCU双龙头 开启成长新征程,新浪
1141,2021-04-01,电子行业周报：MINILED放量在即 看好LED与被动元件龙头,新浪
1142,2021-04-01,国元证券维持兆易创新增持评级，公司报告：存储&MCU双龙头，开启成长新征程,每日经济新闻
1143,2021-04-01,兆易创新：正拓展公司产品在汽车领域应用,Wind
1144,2021-03-29,电子行业周报：一季报披露将近 面板和功率业绩确定性高,华安证券
1145,2021-03-29,兆易创新：3月29日获主力资金净流入1.33亿元,每日经济新闻
1146,2021-03-26,兆易创新：DRAM业务目前也不完全是代销，也有公司自己的技术,每日经济新闻
1147,2021-03-26,兆易创新：AMOLED屏都会用到NOR Flash,每日经济新闻
1148,2021-03-26,兆易创新：预计将与2021年4月17日披露的2020年度报告同步披露2020年度利润分配预案,每日经济新闻
