,2021-12-31,通易航天股东减持148.1万股 权益变动后持股比例为4.14% 减持股份,同壁财经
2907,2021-03-26,多家券商抛出置业方案，年内2家上市券商合计斥资37亿元“买楼”,Wind
2908,2021-03-26,净利111亿！又有大券商业绩来了,Wind
2909,2021-03-26,通胀真的会来吗？,Wind
2910,2021-03-26,基金净值大涨116% 71.7%基民却亏钱,Wind
2911,2021-03-26,第三家百亿净利券商来了！仅低于中信成第二赚钱券商，以超四成净利实施分配，详解年报十大看点,财联社
2912,2021-03-25,第三家百亿净利券商来了 详解国泰君安年报十大看点,财联社
2913,2021-03-25,中信证券：五粮液、万泰生物等5股的4月解禁市值超百亿元 解禁,第一财经
2914,2021-03-25,闪崩20%跌停 股民踩雷“碳中和”牛股,每日经济新闻
2915,2021-03-25,贵州轮胎(000589.SZ)披露定增情况：财通基金、大成基金及中信证券等参投,格隆汇
2916,2021-03-25,BlackRock Inc.减持中信证券股份约179.46万股 减持股份,每日经济新闻
2917,2021-03-25,多只抱团股腰斩，机构给出反弹目标价，“矿茅”可涨125%,第一财经
2918,2021-03-25,“国家队”调仓，重点买入和加仓这些股（附名单）,Wind
2919,2021-03-25,A股棉花股强势崛起，港股科技股重挫，后市机构这样看,Wind
2920,2021-03-25,孙彬彬：市场能否摆脱纠结困境？,Wind
2921,2021-03-25,A股融资融券日报：两融余额减少14.15亿元（3月24日）,Wind
2922,2021-03-25,昭衍新药(06127.HK)获中信证券增持105.86万股,格隆汇
2923,2021-03-25,电力钢铁行业有望率先推进“碳达峰”“碳中和”,Wind
2924,2021-03-25,投行首季IPO承销保荐增收五成,Wind
2925,2021-03-24,上市前夕业绩雪崩，益客食品的供应商还存在“异常” 关联方问题,IPO日报
2926,2021-03-24,每3.2天就有一家拟科创板摁下终止键：26家撤单企业不乏明星，中信证券等投行“坐火山口”,21世纪经济报道
2927,2021-03-24,财富管理成券商年报热词：转型之路成效凸显，还有哪些难点待攻克,北京商报
2928,2021-03-24,中信证券增持昭衍新药(06127)105.86万股，每股作价146.7498港元,智通财经
2929,2021-03-24,中信证券大宗交易成交16.17万股成交额388.73万元,证券时报网
2930,2021-03-24,中信证券今日大宗交易成交16.17万股，成交价24.04元溢价0.0%,Wind
2931,2021-03-24,BlackRock Inc.增持中信证券股份约232.22万股,每日经济新闻
2932,2021-03-24,国债期货年内首次跳空大涨，机构纷纷看好，债熊将进入尾声？,Wind
2933,2021-03-24,券商进入高性价比，再融资、收购绯闻满天飞,Wind
2934,2021-03-24,华泰证券(601688)：财管投行竞争力再提升 新龙头地位稳固,新浪
2935,2021-03-24,神火股份两跌停 2天前中信证券喊买入目标价17.5元,中国经济网
2936,2021-03-24,罕见，味茅、医药茅跌跌不休，砸盘元凶曝光,Wind
2937,2021-03-24,券商年报百态：大小券商日子迥异 国联、浙商等券商被监管点名 金融监管处罚,GPLP犀牛财经
2938,2021-03-24,A股融资融券日报：两融余额减少26.31亿元（3月23日）,Wind
2939,2021-03-24,最新分红10股派现超净利润，股息率超10%仅2股,Wind
2940,2021-03-23,Citigroup Inc.减持中信证券股份约2521.60万股 减持股份,每日经济新闻
2941,2021-03-23,多只ETF上市前惊现“零仓位”，基金经理慢吞吞建仓究竟有多审慎，更有ETF卖不动，券商来“帮忙”,财联社
2942,2021-03-23,紫金矿业跌4.97% 上个月中信证券喊买入目标价21元,中国经济网
2943,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
2944,2021-03-23,中远海控跌9.7% 年内中金公司与中信证券研报唱多,中国经济网
2945,2021-03-23,非银金融行业周观点：券商股权新规落地 板块并购预期或升温,新浪
2946,2021-03-23,厦门国贸控股100亿元小公募获上交所受理,乐居财经
2947,2021-03-23,A股融资融券日报：两融余额增加83.08亿元（3月22日）,Wind
2948,2021-03-23,47股获券商买入评级，上汽集团目标涨幅达62.85%,Wind
2949,2021-03-23,昭衍新药(06127.HK)获中信证券增持71.4万股,格隆汇
2950,2021-03-23,益客食品去年净利降6成毛利率低 环保处罚多信批存漏 盈利能力下降,中国经济网
2951,2021-03-23,多家券商股权质押业务规模大降，踩雷余波犹在,Wind
2952,2021-03-22,剥离证券、零售业务获利42亿元，越秀金控净利润增长近3倍,21世纪经济报道
2953,2021-03-22,多家券商股权质押业务规模大降，踩雷余波犹在,第一财经
2954,2021-03-22,中信建投：长短线投资者都可左侧布局券商板块,第一财经
2955,2021-03-22,惊呆！电子烟巨头盘前暴跌30%，怎么回事？不到1个月涨翻倍，顶级游资撤退碳中和！,每日经济新闻
2956,2021-03-22,【中信建投非银周报】全面推荐低估值的非银板块,中信建投非银金融研究
2957,2021-03-22,【可转债周报】顺周期交易的下一阶段,同壁财经
2958,2021-03-22,中信证券连续两日增持昭衍新药(06127)共114.4267万股，总金额约为1.59亿港元,智通财经
2959,2021-03-22,要做好打持久战的准备了,云掌财经
2960,2021-03-22,【今日机构评级汇总】拼多多用户量赶超阿里中信证券重申买入评级；美银表示看好亚马逊、沃尔玛、塔吉特未来发展,美股研究社
2961,2021-03-22,北新建材跌6.8%：兴全持股 中信证券高点喊目标价63元,中国经济网
2962,2021-03-22,BlackRock Inc.减持中信证券股份约1002.12万股 减持股份,每日经济新闻
2963,2021-03-22,非银金融行业：保险核心在利率 券商有望迎来反弹,新浪
2964,2021-03-22,【研报掘金】券商估值处于底部区间叠加一季度或迎业绩反转 板块有望迎来反弹,证券时报网
2965,2021-03-22,A股市场流动性热点跟踪：紧平衡背景下申赎结构的变化,新浪
2966,2021-03-22,中信证券全年分红51.7亿 资产过万亿资产负债率创20年新高 偿债能力下降,GPLP犀牛财经
2967,2021-03-22,大和：下调中信证券(6030.HK)目标价至25港元 评级“买入” 机构下调估值,格隆汇
2968,2021-03-22,什么信号？“牛市发动机”突然点火！11只ETF集体拉升，超700亿资金进场豪赌券商！,每日经济新闻
2969,2021-03-22,券商股近期频频异动，多重利好加持下，这些个股可关注,第一财经
2970,2021-03-22,港股午评|内银股、中资券商股集体走高！招行涨近5%,富途证券
2971,2021-03-22,【异动股】中信证券(06030-HK)涨3.59%,财华社
2972,2021-03-22,【行情】港股中资券商板块异动拉升，国联证券涨4.6%，中信证券涨2.9%，中金涨2.7%，华泰证券、中信建投证券涨2.2%,金十数据
2973,2021-03-22,IPO批量撤回，一机构撤回10单,Wind
2974,2021-03-22,A股融资融券日报：两融余额减少44.55亿元（3月19日）,Wind
2975,2021-03-22,A股早报2021年3月22日星期一,Wind
2976,2021-03-22,每日理财观察：易会满发声表态注册制、IPO排队、A股杠杆,Wind
2977,2021-03-22,41股获券商买入评级 中信证券目标涨幅达54.71%,Wind
2978,2021-03-22,中国钢铁行业大年，“碳中和”东风吹起戴维斯双击？,Wind
2979,2021-03-22,昭衍新药(06127.HK)获中信证券增持43.03万股,格隆汇
2980,2021-03-22,市场调整进入后段，可逐步布局！提前布局通胀预期拐点,Wind
2981,2021-03-21,各方协同 促进做市商尽快做大做强,期货日报网
2982,2021-03-21,IPO批量撤回，保荐机构执业质量被拷问，中信撤回10单居首 IPO融资异常,第一财经
2983,2021-03-21,下周操盘攻略：市场处于存量博弈的平静期，未来仍以结构性行情为主,Wind
2984,2021-03-21,两家公司交出靓丽年报，市场却泼冷水，证券板块怎么了？,重庆商报
2985,2021-03-21,非银行金融行业：券商股东门槛降低 外资险企股比限制放开,新浪
2986,2021-03-21,都赚High了！首批期货公司年报亮相，净利最高翻两倍,券商中国
2987,2021-03-20,中信证券高层总薪酬1.49亿，4人超过千万，董事长492万,云掌财经
2988,2021-03-20,智通港股空仓持单统计|3月20日,智通财经
2989,2021-03-20,3月19日53只个股获券商关注，三利谱目标涨幅达50.38%,每日经济新闻
2990,2021-03-20,中信研究：美债利率上行，积极调仓,Wind
2991,2021-03-20,中信证券(600030)：减值拖累业绩 资产破万亿 盈利能力下降,新浪
2992,2021-03-19,惊心动魄！A股险守3400点，一天蒸发1.3万亿，白马股又重挫！ 连续下跌,全景网
2993,2021-03-19,美股开盘涨跌不一，纳指涨0.14%,Wind
2994,2021-03-19,美股盘前：期指小涨，美债遭抛售,Wind
2995,2021-03-19,金融街下午茶2021年3月19日星期五,Wind
2996,2021-03-19,视源股份跌5.03% 去年底中信证券研报喊增持,中国经济网
2997,2021-03-19,BlackRock Inc.增持中信证券股份约810.47万股,每日经济新闻
2998,2021-03-19,A股主力资金流向（3月19日）：机构抱团股再遭抛售,Wind
2999,2021-03-19,IPO政策趋严！次新、重组股闻“风”起舞,Wind
3000,2021-03-19,歌尔股份跌5.44% 去年高点中信证券中金公司研报唱多,中国经济网
3001,2021-03-19,券商连续暴跌8个月，何时才是头？,格隆汇
3002,2021-03-19,大行评级|美银证券：下调中信证券(6030.HK)盈测目标价降至20.8港元,格隆汇
3003,2021-03-19,A股收盘综述：上证指数下滑1.69%再守3400关口，牛年周线录得五连阴,Wind
3004,2021-03-19,交银国际：降中信证券(6030.HK)目标价至20港元 维持买入评级 机构下调估值,格隆汇
3005,2021-03-19,券商“一哥”中信证券2020年净赚149亿，总资产首破万亿！,环球老虎财经
3006,2021-03-19,国内首个万亿资产券商！中信证券计提信用减值损失近66亿元,资本邦
3007,2021-03-19,野村：中信证券去年业绩基本符合预期，重申买入,Wind
3008,2021-03-19,国内首个万亿资产券商诞生，中信证券去年净赚149亿,第一财经
3009,2021-03-19,交银国际：中信证券维持买入评级 目标价降至20港元,新浪
3010,2021-03-19,关于同意中信证券股份有限公司为华夏中证新能源交易型开放式指数证券投资基金提供主流动性服务的公告,上交所
3011,2021-03-19,A股融资融券日报：两融余额增加0.67亿元（3月18日）,Wind
3012,2021-03-19,Wind风控日报2021年3月19日星期五,Wind
3013,2021-03-19,中信证券(06030-HK)去年多赚22%股息40分,财华社
3014,2021-03-19,财信证券晨会20210319,财信证券研究
3015,2021-03-19,上市公司正负面新闻2021年3月19日星期五,Wind
3016,2021-03-19,业绩喜报频传券商估值提升“添底气”,中证报
3017,2021-03-19,1.77万亿元新增专项债额度已下达,Wind
3018,2021-03-19,北京德恒律师事务所关于北京诺禾致源科技股份有限公司 首次公开发行股票并在科创板上市战略投资者核查事项的法律意见(上接C10版),证券日报
3019,2021-03-19,格隆汇港股聚焦(03.18)︱中信证券2020年净利升22%至149亿元；中国飞鹤去年纯利大增89%,格隆汇
3020,2021-03-18,华夏基金1083名员工创造16亿净利润 却也有小基金艰难度日,财联社
3021,2021-03-18,券商“一哥”去年净赚149亿元，多项业务排名第一,Wind
3022,2021-03-18,中信证券(06030)年度股东应占净利润同比增21.86%至149.02亿元,智通财经
3023,2021-03-18,中信证券：2020年净利润149.02亿元 同比增21.86%,证券时报
3024,2021-03-18,中信证券年报：2020年净利149亿元 同比增21.86%,第一财经
3025,2021-03-18,华夏基金2020年净利润同比增长33.06%,Wind
3026,2021-03-18,晚间重要公告2021年3月18日星期四,Wind
3027,2021-03-18,中信证券(600030.SH)年度归母净利同比增21.86%至149.02亿 拟10股派4元,智通财经
3028,2021-03-18,中信证券：2020年净利同比增长21.86% 拟每10股派发4元,中证网
3029,2021-03-18,中信证券：2020年净利润同比增长21.86%计提65.81亿元信用减值,格隆汇
3030,2021-03-18,中信证券(600030.SH)：2020年度净利升21.86%至149.02亿元拟10派4元,格隆汇
3031,2021-03-18,中信证券：2020年净利润同比增长22%计提65.81亿元信用减值,格隆汇
3032,2021-03-18,中信证券：2020年A股主承销金额同比增长12.08%,Wind
3033,2021-03-18,中信证券：2020年计提各项信用减值损失65.81亿元,Wind
3034,2021-03-18,中信证券：2020年营收543.82亿元，市场预期644.15亿元，去年同期570.8亿元,金十数据
3035,2021-03-18,中信证券：2020年净利润同比增长21.86%，拟10派4元,Wind
3036,2021-03-18,审核趋严投行难觅申报窗口？年内IPO申报数或大幅减少,Wind
3037,2021-03-18,证券行业报告：券商有望迎来业绩与景气度的向上拐点 估值提升的空间显着！,新浪
3038,2021-03-18,长江证券最新入列二级交易商，全部场外期权交易商增至41家，规模前五券商保持业务高集中度,财联社
3039,2021-03-18,领益智造跌3.55%：兴全睿远持股 去年底中信证券喊买,中国经济网
3040,2021-03-18,渤海证券--非银行金融行业周报：资本市场改革稳步推进，关注券商长期配置价值【行业研究】,金融界股吧
3041,2021-03-18,“牛市旗手”年报第一弹来了！净利暴增70%，投行收入猛飙2倍！知名私募大举增持，140亿资金已跑步进场,中国基金报
3042,2021-03-18,IPO辅导超2000家，排队审核超700家，审核趋严向辅导验收延伸？如何化解这一轮“拥堵”,财联社
3043,2021-03-18,A股融资融券日报：两融余额增加16亿元（3月17日）,Wind
3044,2021-03-18,美联储鸽声提振市场，机构最新解读来了,Wind
3045,2021-03-18,港股投资日历：新鸿基公司、长和等披露业绩,Wind
3046,2021-03-18,95家终止IPO企业背后的保荐与中介：中信证券项目最多、东海证券保荐项目全军覆没 IPO融资异常,投资者网
3047,2021-03-18,今年股价平均跌超17%，上市券商遭遇投资者灵魂式拷问,Wind
3048,2021-03-18,天津渤海化学股份有限公司,中证报
3049,2021-03-17,越秀金控(000987.SZ)：子公司越秀租赁第4期普惠型小微资产支持专项计划成立,格隆汇
3050,2021-03-17,最新！券商去年四季度私募资管月均规模排名出炉 中信证券1.03万亿元居首,证券日报网
3051,2021-03-17,去年四季度券商私募资管前20强成绩单出炉：6家月均规模下滑超500亿元，4家主动管理规模增逾百亿！,每日经济新闻
3052,2021-03-17,快讯 | 盘点上市券商拥有的物业：海通证券是最大“地主” 中信证券乃最强“房东”,每日经济新闻
3053,2021-03-17,资金充裕，多个利率纷纷走低！4月流动性压力浮现，市场会有大变化？,Wind
3054,2021-03-17,中信证券、中信建投、中金公司齐涨，提振券商板块,Wind
3055,2021-03-17,"力挺茅台股价上3000,中信证券是科学预猜还是要“灯下黑”？",云掌财经
3056,2021-03-17,A股融资融券日报：两融余额减少12.77亿元（3月16日）,Wind
3057,2021-03-17,昭衍新药(06127.HK)获中信证券增持16.73万股,格隆汇
3058,2021-03-17,股债再现“跷跷板”，投资者该选哪边,Wind
3059,2021-03-16,中信证券：3月16日获主力资金净流入1.01亿元,每日经济新闻
3060,2021-03-16,*ST工新退市“坑”了中信证券，这些暂停上市股也要小心 退市,新浪
3061,2021-03-16,Citigroup Inc.减持中信证券股份约3842.62万股 减持股份,每日经济新闻
3062,2021-03-16,稳健医疗跌3.5% 上月中信证券喊目标价235元,中国经济网
3063,2021-03-16,非银金融行业周报：资本市场深化改革稳步推进,新浪
3064,2021-03-16,2021券商医药行业动态（第12周）,Wind
3065,2021-03-16,白酒股突然猛拉，这板块彻底火了！千亿巨头被砸跌停,Wind
3066,2021-03-16,A股融资融券日报：两融余额增加12.42亿元（3月15日）,Wind
3067,2021-03-16,中信证券：预计一季度经济延续较好增长态势,Wind
3068,2021-03-16,【中原非银】券商板块周报：2021.3.8-2021.3.14,中原证券研究所
3069,2021-03-16,中信证券力挺茅台上3000元股价却失守2000元,搜狐
3070,2021-03-16,“双控”政策或致供给缺口扩大，电解铝行业利润有望继续抬升,Wind
3071,2021-03-16,中信证券：越跌越容易犯的5个错误,Wind
3072,2021-03-16,【安信非银第8期周报】2月寿险保费持续改善，继续持续推荐保险,新角度新金融
3073,2021-03-15,益客食品IPO：中信证券“直投+保荐”,搜狐
3074,2021-03-15,重磅新规实施：上市公司退市风险增加 这些个股存在相关风险 风险警示,新浪
3075,2021-03-15,【可转债周报】一段平静期,CITICS债券研究
3076,2021-03-15,Credit Suisse Group AG增持中信证券股份约3672.33万股,每日经济新闻
3077,2021-03-15,丽人丽妆跌6.17%中信证券持股 中泰证券最高点喊买,中国经济网
3078,2021-03-15,万亿资管机构增持茅台，中信证券坚信茅台会涨到3000元！,搜狐
3079,2021-03-15,顶不住了！情绪彻底失控！创业板再暴跌5%！茅台失守2000元，中信再次高喊：坚信茅台会涨到3000元！ 连续下跌,雪球
3080,2021-03-15,信保基金天津违法遭外汇局处罚 第一大股东为保利地产 金融监管处罚,中国经济网
3081,2021-03-15,非银金融行业周报：险企新单缓慢改善,新浪
3082,2021-03-15,非银周观点：警惕中美利差收窄风险 把握高层规划投资机会,新浪
3083,2021-03-15,这个板块突然集体起飞！为什么？能追吗？,Wind
3084,2021-03-15,光大证券--非银金融行业周报：2月保费收入延续正增长，外资涌入谋求控股券商【行业研究】,金融界股吧
3085,2021-03-15,A股融资融券日报：两融余额减少27.42亿元（3月12日）,Wind
3086,2021-03-15,【非银】资本市场改革稳步推进，关注券商长期配置价值——非银金融行业周报——中性,渤海证券研究
3087,2021-03-15,【银河金融武平平】行业点评丨资本市场深改延续，货币政策强调合理适度,中国银河证券研究
3088,2021-03-15,下跌中继还是牛市回撤？三大券商把脉市场动向,Wind
3089,2021-03-15,中信证券巨额配股可当时？,证券市场周刊
3090,2021-03-15,券商青睐顺周期及“碳中和”主线,Wind
3091,2021-03-15,昭衍新药(06127.HK)获中信证券增持23.61万股,格隆汇
3092,2021-03-15,十大券商：止跌反弹如期开启，进攻才是最好的防守,Wind
3093,2021-03-14,这个周末大事超多！速览影响A股10大消息！,Wind
3094,2021-03-14,陆家嘴财经早餐2021年3月14日星期日,Wind
3095,2021-03-14,AI四小龙“第一股”争夺升级！港股IPO搁浅后旷视科技转战科创板,Wind
3096,2021-03-13,中信证券：军工核心企业高景气有望延续,Wind
3097,2021-03-13,*ST工新： 控股股东面临强平 股票质押异常,中证报
3098,2021-03-12,*ST工新：控股股东所持公司不超1034.74万股拟被强制平仓 股票质押异常,中证网
3099,2021-03-12,中信证券增持昭衍新药(06127)23.6096万股，每股作价128.3092港元,智通财经
3100,2021-03-12,百度赴港二次上市：代码9888 “AI第一股”起飞？,FX168
3101,2021-03-12,A股收盘综述：上证指数录涨因电力、碳中和板块爆发，周线仍三连跌,Wind
3102,2021-03-12,大行观点|移动生态稳健复苏，Apollo驱动百度迎价值重估？,富途证券
3103,2021-03-12,网络巨头竞相二次上市！百度、B站冲刺港股IPO,券商中国
3104,2021-03-12,家长炸锅！北京下“停课令”，新东方等一夜蒸发数百亿,Wind
3105,2021-03-12,A股融资融券日报：两融余额增加76.06亿元（3月11日）,Wind
3106,2021-03-12,港股盘前必读：小米集团将按最高总额100亿港元于公开市场购回股份,Wind
3107,2021-03-12,中科曙光(603019)业绩快报：业绩超预期 国产生态完整,新浪
3108,2021-03-11,中信证券(06030)3月18日披露2020年业绩公告,智通财经
3109,2021-03-11,执委会制度正在中国证券业落地生根！为何更多券商选择这一制度,财联社
3110,2021-03-11,【半导体动态分析】芯片市场传出重磅消息，这些股看涨空间40%,新浪
3111,2021-03-11,中新集团上市募资14亿一年后破发 中信证券赚7357万 连续下跌,中国经济网
3112,2021-03-11,歌尔股份跌3.25% 去年高点中信证券中金公司研报唱多,中国经济网
3113,2021-03-11,立讯精密跌2.95% 近2月中信证券中金公司招商证券喊买,中国经济网
3114,2021-03-11,中信证券：3月19日上午9时-10时召开2020年度业绩发布会,Wind
3115,2021-03-11,中一签赚近16万！今天科创板又有“大肉签”诞生,Wind
3116,2021-03-11,新能源车板块持续走强，新能车ETF(SZ159806)大涨超2.5%,Wind
3117,2021-03-11,沪指大涨2%，券商走强东方财富大涨4%！机构：券商基本面继续改善,资本邦
3118,2021-03-11,Wind医药：每日行业动态（2021-03-11）,Wind
3119,2021-03-11,A股融资融券日报：两融余额减少53.4亿元（3月10日）,Wind
3120,2021-03-11,原材料涨价有多猛？上游一天一价，中下游艰难抉择,Wind
3121,2021-03-10,超半数券商披露年报业绩预告 营收及净利润普遍高增长,大众证券报
3122,2021-03-10,广发流动性跟踪周报(3月第1期)：上周新发基金扩张 南下资金买入,广发证券
3123,2021-03-10,中信证券今日大宗交易成交20万股，成交价23.69元溢价0.0%,Wind
3124,2021-03-10,Credit Suisse Group AG增持中信证券股份约188.97万股,每日经济新闻
3125,2021-03-10,东兴证券--非银金融行业跟踪：利率上行或将持续，继续看好保险板块【行业研究】,金融界股吧
3126,2021-03-10,万和证券--证券行业：央行修订《证券公司短期融资券管理办法》，引导行业健康发展【行业研究】,金融界股吧
3127,2021-03-10,新基民退场潮：大跌中才能看出谁在裸泳,Wind
3128,2021-03-10,爱建证券--非银行金融行业周报：新三板转板制度落地，券商板块再迎利好【行业研究】,金融界股吧
3129,2021-03-10,国泰君安获准发500亿公司债！券商重资本属性凸显,券商中国
3130,2021-03-10,A股融资融券日报：两融余额减少116.86亿元（3月9日）,Wind
3131,2021-03-10,什么神仙基金？年内赚超50%，怎么做到的？,Wind
3132,2021-03-09,上市券商掀起“发债潮”，国泰君安拟发行500亿公司债！,环球老虎财经
3133,2021-03-09,中航西飞连续第二日跌停，机构尝试抄底,Wind
3134,2021-03-09,【异动股】中信证券(06030-HK)跌3.03%,财华社
3135,2021-03-09,中信证券喊目标价3000元 贵州茅台节后市值蒸发8341亿 连续下跌,中国经济网
3136,2021-03-09,"【行情】港股中资券商板块持续下挫，中州证券、招商银行、中信证券跌超3%，国泰君安跌2.6%，广发证券、中信建投证券跌1.6%
连续下跌",金十数据
3137,2021-03-09,华西证券--金改系列之三：政府工作报告的非银部分解读【行业研究】,金融界股吧
3138,2021-03-09,中信固收明明：债市还会上涨吗？,Wind
3139,2021-03-09,A股早报2021年3月9日星期二,Wind
3140,2021-03-09,A股融资融券日报：两融余额减少48.58亿元（3月8日）,Wind
3141,2021-03-09,渤海证券--证券行业《证券公司短期融资券管理办法》征求意见稿点评：央行修订短融管理办法，引导券商加强流动性管理【行业研究】,金融界股吧
3142,2021-03-09,中信证券：平静期压力快速释放，新主线配置价值提升,Wind
3143,2021-03-09,A股蒸发2万亿，创业板跌入技术性熊市！机构：耐心等待,上游新闻
3144,2021-03-09,盘前必读丨证监会定调今年6大改革重点，多家车企2月销量同比大增,第一财经
3145,2021-03-09,上市公司正负面新闻2021年3月9日星期二,Wind
3146,2021-03-09,贝康医疗-B(02170.HK)获中信证券增持137.1万股,格隆汇
3147,2021-03-09,美元短期强势扰动市场，人民币汇率创今年来新低,Wind
3148,2021-03-08,又有券商再融资 华创阳安推出80亿定增计划,每日经济新闻
3149,2021-03-08,晚间要闻2021年3月8日星期一,Wind
3150,2021-03-08,晚间重要公告2021年3月8日星期一,Wind
3151,2021-03-08,268亿券商资产减值图谱：太平洋靠自营部门接盘，海通因购买飞机遭重创？ 资产异常,21世纪经济报道
3152,2021-03-08,抱团股缘何又大跳水？沪指何处止跌？今年确定性最高的机会是？顶级投资大佬这样看！,每日经济新闻
3153,2021-03-08,赣锋锂业：拟14.7亿元收购伊犁鸿大基业100%股权,Wind
3154,2021-03-08,赣锋锂业：拟14.7亿元收购中信证券等持有的伊犁鸿大100%财产份额,格隆汇
3155,2021-03-08,海外信用评级汇总2021年3月8日星期一,Wind
3156,2021-03-08,赣锋锂业跌8.55% 长江证券中信证券中金公司高点唱多,中国经济网
3157,2021-03-08,穆迪对13家中国证券公司采取评级行动,Wind
3158,2021-03-08,亿纬锂能跌10.26% 1月西部证券招商证券中信证券唱多,中国经济网
3159,2021-03-08,中远海控跌9.7% 年内中金公司与中信证券研报唱多,中国经济网
3160,2021-03-08,第二批基金投顾试点名单将公布，有券商已在筹备第三批试点资格,Wind
3161,2021-03-08,第二批基金投顾试点名单将公布，有券商已在筹备第三批试点资格,上证报
3162,2021-03-08,倒春寒！IPO现场检查大显威力，创业板重灾区,Wind
3163,2021-03-08,南极光连续第二日20%涨停，机构介入,Wind
3164,2021-03-08,A股蒸发2万亿创业板跌5%，基金重仓股杀跌！,Wind
3165,2021-03-08,【异动股】中信证券(06030-HK)跌3.05%,财华社
3166,2021-03-08,非银金融行业周观点：保险配置价值凸显 券商左侧配置性价比提升,新浪
3167,2021-03-08,可转债周报：新的均衡,新浪
3168,2021-03-08,非银金融行业周报：券商短期融资券新规出炉 两会保险关注度上行,华福证券有限责任公司
3169,2021-03-08,券商再融资频现！华创阳安抛80亿定增方案，“输血”华创证券,环球老虎财经
3170,2021-03-08,金融行业周报(第九周),新浪
3171,2021-03-08,融资客青睐4股，中原高速买入占比高达33.89%,Wind
3172,2021-03-08,美股上周五收高 中信证券预计美股仍有10%调整空间,中国经济网
3173,2021-03-08,【非银】市场波动加大，调整不改行业景气向上趋势——证券行业月报——中性,渤海证券研究
3174,2021-03-08,A股融资融券日报：两融余额减少69.43亿元（3月5日）,Wind
3175,2021-03-08,中信证券2021年3月美股科技股电话会议交流,中信证券研究
3176,2021-03-08,A股牛市格局没变！市场将进入上行窗口,Wind
3177,2021-03-07,又有券商再融资了！华创阳安抛80亿定增，今年来上市券商再融资计划已超500亿！,每日经济新闻
3178,2021-03-07,【安信非银第7期周报】券商再迎新规利好，保险有望延续强势表现,新角度新金融
3179,2021-03-07,七大券商研判A股后市，建议增配这些板块,Wind
3180,2021-03-07,周末大事超多！影响A股10大重磅消息来了,Wind
3181,2021-03-07,下周操盘攻略：解禁规模骤降九成，11只新股申购,Wind
3182,2021-03-07,【东吴非银 | 行业点评】短融管理办法迎修订，券商迎来利好！,微信
3183,2021-03-07,发债80亿、承销费率低于十万分之六，成都交子金控招标引券商“折腰”,经济观察报
3184,2021-03-07,热门融资标的股票分析,华龙掘金
3185,2021-03-07,非银金融行业周报：人身险公司经营数据回暖 证监会出台年度立法计划,新浪
3186,2021-03-06,【国君非银】机构投资需求提升推动衍生品规模增长——2021年1月券商场外衍生品业务数据点评,欣琦看金融
3187,2021-03-06,智通港股空仓持单统计|3月6日,智通财经
3188,2021-03-06,“牛市旗手”归来？券商这波行情能走多远？,Wind
3189,2021-03-06,【金融头条】发债80亿承销费率低于十万分之六，成都交子金控招标引券商“折腰”,经济观察报
3190,2021-03-06,天风总量团队两会点评：天风总量两会速评,新浪
3191,2021-03-06,证券行业研究：估值在底 业绩反转 券商进攻,新浪
3192,2021-03-06,券商承销债券低价“过招”,Wind
3193,2021-03-06,白酒稳了？茅台跌破2000元后反弹 机构这样看后市,证券时报
3194,2021-03-06,券商股能否扛起反弹大旗？,Wind
3195,2021-03-06,白酒稳了？茅台跌破2000元迅速反弹，后市怎么走？机构火线解读,中国基金报
3196,2021-03-05,“茅指数”稳了吗？茅台跌破2000元大关后迅速收回，调整到哪了？机构火线解读,证券时报网
3197,2021-03-05,券商股难得集体发力，证券业1800亿再融资正出发，纷纷发力重资本业务，要如何看待券业未来发展,财联社
3198,2021-03-05,【今日机构评级汇总】Wedbush认为中国需求将助特斯拉达万亿美元市值；中信证券看好百度广告业务恢复双位数增长,美股研究社
3199,2021-03-05,"回血！两市3000股上涨，""股王""茅台死守2000关口，还有品种“乌龙”暴涨210%，""牛市旗手""异动释放什么信号？",金融界
3200,2021-03-05,中信证券：将于3月19日召开“16华夏02”持有人会议,Wind
3201,2021-03-05,紫金矿业跌3.9% 两周前中信证券喊买入目标价21元,中国经济网
3202,2021-03-05,中信证券(06030.HK)3月18日董事会考虑及批准年度业绩,格隆汇
3203,2021-03-05,浙江鼎力跌停 中信证券资管与华泰柏瑞基金等持股,中国经济网
3204,2021-03-05,券商股表现活跃 光大证券涨停,金融界
3205,2021-03-05,16家公司获逾100家机构集中调研，它们是谁？,Wind
3206,2021-03-05,A股低开后全面拉升，券商股飙涨，什么信号？,Wind
3207,2021-03-05,A股低开后全面拉升，今天是否有惊喜？券商股飙涨，什么信号？,证券时报网
3208,2021-03-05,紫金矿业暴跌29%，中信曾鼓吹目标价21元！兴全基金身影浮现 连续下跌,搜狐
3209,2021-03-05,里昂证券过半债券销售团队人员离职 员工变动,搜狐
3210,2021-03-05,炒股挣了实业30年的钱，服装大佬李如成，才是真股神,云掌财经
3211,2021-03-05,港股异动 | 美兰空港(00357)盘中涨超9% 中信证券称中期目标市值400亿港元 首予“买入”评级,智通财经
3212,2021-03-05,国信证券：目前券商板块PB估值为1.86倍，具有较高安全边际,证券时报网
3213,2021-03-05,券商股逆市走高，光大证券涨停,第一财经
