,2021-12-31,中国平安(02318)累计回购约7776.51万股A股 涉资约39亿元,智通财经
1267,2021-08-31,中国平安回应公司股价波动：公司战略清晰，各项业务经营稳健,上证报
1268,2021-08-31,收评：港股恒指收涨1.33% 科技、餐饮股强势美团暴涨9%,新浪
1269,2021-08-31,港股巨震恒指放量收涨1.33%，科技、原材料板块领涨,Wind
1270,2021-08-31,股价探底新低，中国平安回应股价波动：公司战略清晰、各项业务经营稳健,腾讯网
1271,2021-08-31,A股收盘综述：物以稀为贵，Wind稀土指数8月再涨超两成、锂矿指数涨58%,Wind
1272,2021-08-31,中国平安回应被调查传闻 午后A股股价跌幅收窄 其他违规处罚,经济观察报
1273,2021-08-31,AH股双双大跌，中国平安最新回应来了,证券之星
1274,2021-08-31,咋回事？中国平安股价创四年新低！回应称公司守法合规,中新经纬
1275,2021-08-31,恒指转涨，午前一度跌约1.7%,Wind
1276,2021-08-31,中国平安股价跌破50元，回购也不管用了！半导体因何巨震？,Wind
1277,2021-08-31,创业板大跌2.51%，千亿芯片大牛股跌停！中国平安回应被查传闻，股价跌破50元,中证报
1278,2021-08-31,中国平安跌幅收窄至5.7% 公告称公司各项业务经营稳健,新浪
1279,2021-08-31,【行情】中国平安短线回升，跌幅缩窄至6%，午间公司就近日股价波动发布提示性公告，称公司战略清晰，各项业务经营稳健，2021年上半年营运利润稳健增长,金十数据
1280,2021-08-31,每经午时丨泓德基金回应邬传雁被关闭交易决策权限传言：沟通环节出现问题，已妥善解决；中国平安跌超7%，公司各项业务经营稳健守法合规,每日经济新闻
1281,2021-08-31,港股中国平安午后短线拉升，跌幅收窄至6%,Wind
1282,2021-08-31,4000亿酱油茅被砸跌停，各种茅大跌！半导体大跳水,Wind
1283,2021-08-31,中国平安(02318)回应股价波动：公司战略清晰，各项业务经营稳健，守法合规，营运利润稳健增长,智通财经
1284,2021-08-31,中国平安：业务经营稳健守法合规，上半年营运利润稳健增长,Wind
1285,2021-08-31,中国平安港交所公告：本公司战略清晰，各项业务经营稳健，守法合规，2021年上半年营运利润稳健增长,金十数据
1286,2021-08-31,刚刚！多只白马股闪崩，A股千元股仅剩茅台！传房地产投资被调查，中国平安跌破50元，要珍惜吗 其他违规处罚,证券时报
1287,2021-08-31,平安回复“被调查”传言！ 其他违规处罚,微信
1288,2021-08-31,中国平安港股跌幅扩大至近8%,36氪
1289,2021-08-31,午评：创业板跌超2% 热门赛道全线回调 中国平安跌破50,证券之星
1290,2021-08-31,港股中国平安跌超7%，创2020年3月以来最大跌幅,Wind
1291,2021-08-31,【行情】中国平安港股跌7.2%，创2020年3月以来最大跌幅,金十数据
1292,2021-08-31,A股午盘综述：创业板指跌2.51%，稀土、锂、钢、水泥走强不敌大盘股抛压,Wind
1293,2021-08-31,非银金融行业跟踪：流动性&风险偏好上升 继续看好板块投资机会,新浪
1294,2021-08-31,新低！中国平安股价失守50元整数关 这下又要珍惜40元的平安？,证券之星
1295,2021-08-31,港股中国平安跌幅扩大至5%，股价跌破60港元大关,Wind
1296,2021-08-31,恒生指数跌幅扩大至1% 中国平安跌近5%领跌,新浪
1297,2021-08-31,中国平安发布半年报 科技+生态赋能主业促发展,中投网
1298,2021-08-31,恒指跌幅扩大至1%，中国平安跌逾4%创2017年10月以来新低,Wind
1299,2021-08-31,【异动股】中国平安(02318.HK)跌3.11%,财华社
1300,2021-08-31,中国平安股价跌破50元 再创本轮调整新低,e公司
1301,2021-08-31,港股中国平安跌逾3%创2017年10月以来新低,Wind
1302,2021-08-31,北向资金动向盘点：“电新”总市值第一，“食品饮料”时代落幕,Wind
1303,2021-08-31,A股融资融券日报：两融余额增加60.16亿元（8月30日）,Wind
1304,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
1305,2021-08-30,中国平安被银保监会调查？最新回应来了 其他违规处罚,证券之星
1306,2021-08-30,平安回复银保监调查其房地产投资传闻：投资一直遵循监管规定,Wind
1307,2021-08-30,中国平安：上半年净利润大降15.5%，抛出50亿—100亿元巨额回购 盈利能力下降,21世纪经济报道
1308,2021-08-30,中国平安今日6.47亿元回购,e公司
1309,2021-08-30,中国平安(02318.HK)8月30日耗资6.48亿元回购1274.97万股A股,格隆汇
1310,2021-08-30,中国平安：8月30日耗资6477.8万元回购1275万股A股,Wind
1311,2021-08-30,【权益变动】中国平安(02318.HK)获花旗集团增持248.8343万股,财华社
1312,2021-08-30,北向资金净买入隆基股份逾11亿元，这些股获加仓,第一财经
1313,2021-08-30,中国平安科技创新业务受关注 多元人才促发展,凤凰网
1314,2021-08-30,据港交所文件：8月24日花旗集团以每股64港元的平均价格购入中国平安250万股H股,金十数据
1315,2021-08-30,恒指震荡收涨0.52%：周期板块造好，金融地产走弱,Wind
1316,2021-08-30,A股收盘综述：一半火焰一半海水，光伏、稀土、盐湖提锂恒强表现主导大市,Wind
1317,2021-08-30,【异动股】中国平安(02318.HK)跌3.02%,财华社
1318,2021-08-30,解码中国平安半年报：归母营运利润增10.1% 寿险改革聚焦渠道升级,新华网
1319,2021-08-30,港股内险股普跌，众安在线跌5.53%，中国平安跌2.71%，中国太保跌2.,新浪
1320,2021-08-30,千亿大白马闪崩跌停，各种茅大跌！新能源、军工爆发,Wind
1321,2021-08-30,A股午盘综述：光伏、盐湖提锂、稀土炒作引领市场，隆基、通威、赣锋、北方稀土创新高,Wind
1322,2021-08-30,又跌2%！中国平安股价不“平安”？谢永林：股价是干出来的,证券之星
1323,2021-08-30,【异动股】保险板块下挫，中国平安(601318.CN)跌2.65%,财华社
1324,2021-08-30,A股融资融券日报：两融余额减少35.45亿元（8月27日）,Wind
1325,2021-08-30,327股获券商买入评级，中国平安目标涨幅达110.58%,Wind
1326,2021-08-30,港股盘前必读：人工智能独角兽商汤科技向港交所递交上市申请,Wind
1327,2021-08-30,盘前必读丨5股调入“科创50”指数样本，中芯国际半年净利52亿暴增近3倍,第一财经
1328,2021-08-30,据港交所文件：8月27日中国平安耗资2940万港元回购570416股股票,金十数据
1329,2021-08-30,中国平安：8月27日斥资2940万港元回购57.04万股股票,Wind
1330,2021-08-30,推百亿A股回购计划 中国平安股价能否“平安”,搜狐
1331,2021-08-30,权益投资救场，上市险企上半年业绩“不难看”,Wind
1332,2021-08-29,专访｜平安总经理：股价是干出来的，寿险改革希望耐心给时间,澎湃新闻
1333,2021-08-29,每周一话：券商中报高景气度延续 持续推荐财富管理三大主线,新浪
1334,2021-08-29,95家国企上榜世界500强，国际贸易增长推动企业稳定发展,Wind
1335,2021-08-29,最新一批分红预案来袭！10股中报分红超10亿,Wind
1336,2021-08-28,“千亿顶流”张坤隐形重仓股来了！,Wind
1337,2021-08-28,对华夏幸福拨备计提、参与方正集团重组、寿险改革……中国平安回应,中国银行保险报
1338,2021-08-28,上市公司正负面新闻2021年8月28日星期六,Wind
1339,2021-08-27,中国平安首席投资官陈德贤：参与新经济投资规模约7000亿元 未来还有较多投资机会,上证报
1340,2021-08-27,中国平安谢永林：8月份反垄断审批完成，中国平安正式接管方正集团1+4,北京商报
1341,2021-08-27,中国平安陈德贤：短期市场可能有波动，但是为长期投资者提供更好投资机会,北京商报
1342,2021-08-27,中国平安2021上半年归母营运利润增长10.1％华夏幸福减值影响业绩提升,第一财经
1343,2021-08-27,中国平安(02318)8月27日首次回购约57.04万股A股 耗资2937.41万元,智通财经
1344,2021-08-27,中国平安(601318)：寿险业绩承压 资产端风险逐步释放 盈利能力下降,广发证券
1345,2021-08-27,中国平安(601318)：资产减值拖累利润表现 个险承压渠道主动转型 资产异常,新浪
1346,2021-08-27,中国平安业绩发布会“亮点”满满！方正重整、华夏幸福风险敞口……市场关注的热点都回应了,中证报
1347,2021-08-27,中国平安陈心颖：上半年寿险新业务价值下降缘于代理人转型人数下滑 盈利能力下降,经济观察网
1348,2021-08-27,中国平安(601318.SH)耗资2937.41万元累计回购57.04万股A股股份,智通财经
1349,2021-08-27,公告精选：工商银行上半年净利同比增9.8%；中国平安回购公司A股股份2937万元,e公司
1350,2021-08-27,公告精选：极氪智能科技引入宁德时代等投资者；中国平安回购公司A股股份2937万元,e公司
1351,2021-08-27,中国平安管理层：平安坚持住房不炒 市场对平安的投资有误解,奥一网
1352,2021-08-27,中国平安：首次回购公司A股股份 耗资2937万元,e公司
1353,2021-08-27,中国平安：今日回购57万股A股股份,Wind
1354,2021-08-27,净亏94亿债务重组艰难，华夏幸福这半年经历了什么？,Wind
1355,2021-08-27,第一时间解读中国平安半年报：打通金融业务的“任督二脉”,第一财经
1356,2021-08-27,华夏幸福后续影响几何？代理人改革如何推进？中国平安高管回应,新京报
1357,2021-08-27,中国平安陈德贤：将继续拉长资产久期，抵御跨周期风险,北京商报网
1358,2021-08-27,北向资金本周稳步进场加仓A股近180亿，隆基股份大幅净买入超11亿元,Wind
1359,2021-08-27,A股“爆雷”日！中报下周收关，几家欢喜几家愁,Wind
1360,2021-08-27,中国平安(601318)：寿险改革深化、华夏幸福持续减值 改革成果有待释放,新浪
1361,2021-08-27,一个拖油瓶让中国平安亏359亿，计提+回购双重利好能否扭转乾坤？ 亏损,证券之星
1362,2021-08-27,企业观｜中国平安再起回购计划 已耗资近60亿累计回购超7000万股,财经网
1363,2021-08-27,企业观｜中国平安拟用自有资金回购50-100亿元A股股份 累计回购超7000万股,财经网
1364,2021-08-27,A股收盘综述：资源股推升中证500再创阶段新高，北向连续5日净买入,Wind
1365,2021-08-27,中国平安：只保留方正集团的医疗等核心主业，其他转让出售,零壹财经
1366,2021-08-27,中国平安归母营运利润超800亿，回购、增持利好股价上涨,21商评网
1367,2021-08-27,寿险改革、方正集团重组进展、华夏幸福减值计提……业绩发布会上中国平安管理层回答了这些问题,每日经济新闻
1368,2021-08-27,【异动股】中国平安(02318.HK)涨3.31%,财华社
1369,2021-08-27,中国平安谢永林：方正重组只保留医疗等核心板块 其它部分将对外转让或出售,经济观察网
1370,2021-08-27,氢燃料电池获政策强力支持，主力资金流入这些股,Wind
1371,2021-08-27,中国平安首席投资官陈德贤：将增加办公楼等非资本市场投资。,新浪
1372,2021-08-27,中国平安姚波：积极参与华夏幸福风险化解 下半年若情况好转拨备或不用再计提,财联社
1373,2021-08-27,平安租赁：预期“于2024年到期之3亿美元2.50%利率债券”上市及买卖8月30日生效,Wind
1374,2021-08-27,中国平安爆发、1600亿白马涨停！恒大汽车涨35%,Wind
1375,2021-08-27,中国平安谢永林：不动产是险资配置必要工具，平安持有不动产，用于收租而非炒地皮,财联社
1376,2021-08-27,谢永林谈中国平安参与重整方正集团：只会保留医疗等与核心主业相关的板块,Wind
1377,2021-08-27,中国平安谢永林：参与方正集团重组只保留医疗等主业 其他业务正按市场化方式转让或出售 资产异常,财联社
1378,2021-08-27,中国平安：坚持房住不炒 投资不动产不是用来炒地皮的,观点地产网
1379,2021-08-27,谢永林：外界对中国平安投资不动产有误解,新浪
1380,2021-08-27,陈心颖：中国平安代理人改革是一场为期3年的改革 明年效果会逐渐体现,新浪
1381,2021-08-27,保险股大涨中国平安爆发，汽车股狂飙恒大汽车暴涨,中国基金报
1382,2021-08-27,中国平安：受华夏幸福影响 投资组合收益率有所承压,观点地产网
1383,2021-08-27,A股午盘综述：权重股发力沪指涨0.5%，资源股持续活跃,Wind
1384,2021-08-27,巨丰视角：百亿回购叠加高管增持 中国平安出手 市场影响几何？,巨丰财经
1385,2021-08-27,保险板块拉升走高，中国平安涨逾3%，拟50亿-100亿元回购股份,证券时报网
1386,2021-08-27,中国平安(601318)：华夏幸福减值影响业绩 关注代理人收入提升,新浪
1387,2021-08-27,访中国平安首席投资官：新经济是机遇，投资7000亿元后继续加码,中新网
1388,2021-08-27,【异动股】保险板块拉升，中国平安(601318.CN)涨3.82%,财华社
1389,2021-08-27,保险板块集体反弹，中国平安涨近4%,Wind
1390,2021-08-27,中国平安3652万元募集资金存放与实际使用情况,电鳗快报
1391,2021-08-27,半年报利空落地 中国平安止跌反弹,第一财经
1392,2021-08-27,请珍惜50元的平安！中国平安拿出百亿回购，股民解套有望？,证券之星
1393,2021-08-27,业绩回购双利好能否扭转乾坤？ 一个“拖油瓶”致使中国平安计提资产减值359亿元 资产异常,电鳗快报
1394,2021-08-27,港股开盘：恒生指数跌0.31％，中国平安涨逾1％,金融界
1395,2021-08-27,中国平安AH股均高开超1% 百亿回购+分红派息提升10%,格隆汇
1396,2021-08-27,上证指数低开0.21%，煤炭股集体回调,Wind
1397,2021-08-27,恒指低开0.31%，医药股领跌,Wind
1398,2021-08-27,每日理财观察：银保监会进一步完善财产保险公司产品监管制度,Wind
1399,2021-08-27,中国平安启动百亿回购计划，这次可以稳住阴跌不止的股价吗？,搜狐
1400,2021-08-27,A股早报2021年8月27日星期五,Wind
1401,2021-08-27,A股融资融券日报：两融余额增加5.84亿元（8月26日）,Wind
1402,2021-08-27,港股公告精选：中国平安中期归母净利润580.05亿元，同比下降15.55%,Wind
1403,2021-08-27,中国平安上半年净利降逾15% 拟启动50至100亿元回购计划 盈利能力下降,上证报
1404,2021-08-27,中国平安：上半年实现营收6356亿元，同比增0.9%｜中报快讯,乐居财经
1405,2021-08-27,港股盘前必读：中国平安上半年归母净利润580.05亿元同比下降15.5%,Wind
1406,2021-08-26,中国平安发布上半年财报：归母营运利润稳健增长10.1%,光明网
1407,2021-08-26,中国平安：上半年净利润同比减少15.55% 盈利能力下降,Wind
1408,2021-08-26,利润下滑中国平安半年报业绩成色几何？这三个指标一定要看 盈利能力下降,财联社
1409,2021-08-26,中国平安(601318.SH)上半年实现营收6356.49亿元 拟派中期股息每股0.88元,智通财经
1410,2021-08-26,视频直播丨中国平安2021年中期业绩发布会,全景网
1411,2021-08-26,中国平安上半年净利润580亿元 拟50亿元至100亿元回购股份,上证报
1412,2021-08-26,"中国平安上半年净利580亿降16%：投资华夏幸福计提损失359亿,寿险业务持续低迷 盈利能力下降",搜狐
1413,2021-08-26,中国平安中期业绩答卷：利润和现金分红增幅双超10%,中国经济网
1414,2021-08-26,中国平安上半年净利降超15%，新业务前景堪忧 盈利能力下降,阿尔法工场
1415,2021-08-26,中国平安上半年业绩大幅下滑，拟再启50-100亿元A股回购计划 盈利能力下降,第一财经
1416,2021-08-26,再启A股大手笔回购计划，股民：请珍惜50元的“平安”,Wind
1417,2021-08-26,中国平安：“三村工程”提供产业帮扶资金超360亿,新华网
1418,2021-08-26,【公告抢先看】中国平安上半年净利580亿元、万达电影开展回馈活动 股东可用1元获得市场价值200元观影券礼包,金融界
1419,2021-08-26,中国平安上半年净利580亿降15%，传统寿险面临三大挑战 盈利能力下降,澎湃新闻
1420,2021-08-26,平安“过冬”：上半年净利润下滑15.5%，开启百亿回购计划 盈利能力下降,第一财经
1421,2021-08-26,业绩快报 | 中国平安上半年归母营运利润增长10.1%，再启50-100亿回购计划,36氪
1422,2021-08-26,中国平安启动A股回购计划：拟使用不超过100亿自有资金，年初至今股价累跌41%,搜狐
1423,2021-08-26,中国平安半年实现归母净利580亿元 拟再启50-100亿元A股回购计划,经济观察网
1424,2021-08-26,中国平安：建议委任何建锋为非执行董事,Wind
1425,2021-08-26,中国平安(02318.HK)建议委任何建锋为非执行董事,格隆汇
1426,2021-08-26,中国平安：拟于10月25日派发中期股息0.88元/股,Wind
1427,2021-08-26,新低不断，中国平安上半年净利下滑超15%，回购能否拯救股价？ 盈利能力下降,证券之星
1428,2021-08-26,中国平安：对华夏幸福相关投资资产计提资产减值359亿元,Wind
1429,2021-08-26,中国平安不平安：半年净利下滑超15% 华夏幸福成业绩“拖油瓶” 盈利能力下降,AI财经社
1430,2021-08-26,北向资金连续4日净买入，中国铝业获大幅加仓近12亿元,Wind
1431,2021-08-26,中国平安(02318.HK)拟不超100亿元回购A股 回购价不超82.56元/股,格隆汇
1432,2021-08-26,中国平安上半年归母净利润580亿元 拟使用自有资金实施50-100亿元A股股份回购,新浪
1433,2021-08-26,跌出价值！千亿白马频现回购，强护盘模式开启,Wind
1434,2021-08-26,中国平安半年报出炉 十大亮点抢先看,中金在线
1435,2021-08-26,快讯 | 中国平安保险半年报：归母营运利润818.36亿元，同比增长10.1%,财经网
1436,2021-08-26,中国平安：上半年净利润580.1亿元 拟50亿-100亿元回购A股股份,财联社
1437,2021-08-26,中国平安上半年净利润降逾15%，受华夏幸福减值计提等影响 盈利能力下降,澎湃新闻
1438,2021-08-26,中国平安：上半年归母营运利润增长10.1%，分红派息提升10%,36氪
1439,2021-08-26,中国平安：董事会批准50亿-100亿元A股股份回购,e公司
1440,2021-08-26,中国平安：上半年营运利润818.36亿元，同比增长10.1%,e公司
1441,2021-08-26,中国平安：中期盈利580.05亿人民币，同比减少15.55% 盈利能力下降,Wind
1442,2021-08-26,中国平安：上半年净利润580.05亿元，同比下降15.5%,Wind
1443,2021-08-26,中国平安：2021年上半年净利润580.1亿元，去年同期为686.83亿元,金十数据
1444,2021-08-26,A股收盘综述：消费、金融难见起色，资源股再度狂欢,Wind
1445,2021-08-26,【2318】中国平安挫7.32% 称各业务经营稳健 守法合规 | 头条金融网,头条日报
1446,2021-08-26,【2318】中国平安跌7.4% 见52周新低 | 头条金融网,头条日报
1447,2021-08-26,“跌跌不休”，中国平安股价创31个月新低,第一财经
1448,2021-08-26,A股午盘综述：创业板指跌1.7%，消费、周期冰火两重天,Wind
1449,2021-08-26,中国平安：综合金融的“领跑者”,深圳特区报
1450,2021-08-26,A股融资融券日报：两融余额增加45.62亿元（8月25日）,Wind
1451,2021-08-26,港股投资日历：中国平安、石药集团等公布业绩,Wind
1452,2021-08-25,广汇汽车(600297)：新车毛利率显着提升 积极拥抱数字化电动化,新浪
1453,2021-08-25,A股融资融券日报：两融余额增加68.17亿元（8月24日）,Wind
1454,2021-08-25,腾讯、阿里、京东、美团集体躁动，港股又到布局时点？,Wind
1455,2021-08-24,明星基金隐形重仓股曝光！部分标的被深套,Wind
1456,2021-08-24,北向资金买兴增强加仓超53亿元，隆基股份获大幅净买入超13亿元,Wind
1457,2021-08-24,中国平安深圳分公司状告前海中能等，因保险纠纷 诉讼纠纷,乐居财经
1458,2021-08-24,A股融资融券日报：两融余额增加174.98亿元（8月23日）,Wind
1459,2021-08-24,A股强势反弹，多个板块批量涨停，三大核心赛道会持续崛起？,Wind
1460,2021-08-23,中国平安回应网传代理人举报事件：旗下平安人寿已成立专项工作小组 目前正在进行核查,上证报
1461,2021-08-23,王勇健辞任中国平安(02318)非执行董事 董监高成员变化,智通财经
1462,2021-08-23,中国平安：王勇健辞去非执行董事职务,Wind
1463,2021-08-23,北向资金今日净买入18.31亿元，抛售五粮液逾17亿元,第一财经
1464,2021-08-23,快讯 | 中国平安：王勇健辞任非执行董事 董监高成员变化,财经网
1465,2021-08-23,A股大幅反弹北向资金加仓超18亿，持续加码高景气板块,Wind
1466,2021-08-23,中国平安今日大宗交易成交154.37万股，成交价47.71元折价9.47%,Wind
1467,2021-08-23,中国平安(601318.SH)：王勇健辞去非执行董事等职务 董监高成员变化,智通财经
1468,2021-08-23,中国平安(02318.HK)：王勇健先生因个人工作变动原因提出辞去本公司第,新浪
1469,2021-08-23,中国平安：王勇健因个人工作变动原因辞去公司第十二届董事会非执行董事职务,Wind
1470,2021-08-23,中国平安：非执行董事王勇健辞任,Wind
1471,2021-08-23,A股强势反弹，工业母机批量涨停，新龙头闪现？,Wind
1472,2021-08-23,《金融博览?财富》｜保险股，再无投资价值？,和讯
1473,2021-08-23,A股融资融券日报：两融余额减少45.91亿元（8月20日）,Wind
1474,2021-08-23,前瞻：小米、京东、拼多多等财报来袭！聚焦鲍威尔全球央行年会讲话,老虎证券
1475,2021-08-22,【利率研究】保险公司的债券投资：当前特征与未来趋势—利率市场周度观察,兴业研究宏观
1476,2021-08-21,北向资金连续两日净卖出超百亿，这些个股被逆市加仓（名单）,21世纪经济报道
1477,2021-08-20,中国平安(02318.HK)：中国银保监会核准黄伟任公司非执行董事,格隆汇
1478,2021-08-20,恒生指数从2月高点回撤21%，进入技术性熊市，见底了吗？,Wind
1479,2021-08-20,低调的泰国首富冲刺A股，携1200亿重仓内地，儿孙回归中国国籍,搜狐
1480,2021-08-20,中国平安：收到银保监会关于核准黄伟、吴港平和金李董事任职资格的批复,Wind
1481,2021-08-20,北向资金6年来首次连续两日净卖出超百亿，贵州茅台、五粮液、恒瑞医药遭惨烈抛售,Wind
1482,2021-08-20,医药消费惨跌，A股却扛住北上资金200亿抛压,Wind
1483,2021-08-20,中国平安“818温暖车主季”全新升级,经济日报
1484,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
1485,2021-08-20,A股融资融券日报：两融余额减少15.59亿元（8月19日）,Wind
1486,2021-08-20,北向资金动向盘点：净买多只券商股,Wind
1487,2021-08-20,港股公告精选：中国联通拟分拆智网科技于A股上市,Wind
1488,2021-08-20,创8月新高，北向资金出逃107.83亿元！这些行业板块被大幅抛售,21世纪经济报道
1489,2021-08-19,中国平安(02318)：平安银行中期净利同比增长28.5%至175.83亿元,智通财经
1490,2021-08-19,北上资金活跃股名单(8月19日),证券时报网
1491,2021-08-19,中国平安：征集2021年中期业绩发布会问题,Wind
1492,2021-08-19,保险机构微博影响力哪家强？渤海人寿跌出前十,新浪
1493,2021-08-19,北水卖出腾讯超26亿港元、美团超17亿港元；南水抛售中国平安超18亿元,富途证券
1494,2021-08-19,北向资金今日净卖出近108亿元，抛售五粮液14.1亿元,第一财经
1495,2021-08-19,中国平安遭北向资金卖出额居首 腾讯遭内资卖出26亿,新浪
1496,2021-08-19,北向资金 | 中国平安遭净卖出18.1亿元,第一财经
1497,2021-08-19,北向资金年内第三次单日净卖出超百亿，中国平安遭大幅抛售超18亿,Wind
1498,2021-08-19,A股资金流向（8月19日）：核心赛道股再获追捧，大金融遭抛售,Wind
1499,2021-08-19,A股收盘综述：大小指数再度切换，北向大幅流出超百亿,Wind
1500,2021-08-19,中国平安：不动产组合过去为平安保险资金贡献了稳定的投资收益 每年贡献10%的净投资收益,财联社
1501,2021-08-19,中国平安股价跌5.1% 现报65.75港元,乐居财经
1502,2021-08-19,【异动股】保险板块下挫，中国平安(601318.CN)跌3.75%,财华社
1503,2021-08-19,1000亿券商牛股连续“炸板”，90亿巨量资金厮杀,Wind
1504,2021-08-19,A股午盘综述：沪指跌0.71%，周期股全线下挫,Wind
1505,2021-08-19,全力应对河南特大暴雨灾情 中国平安接到报案逾2万笔 预估赔付总额超6亿元,中金在线
1506,2021-08-19,中国平安位列《财富》世界500强第16位 全球金融企业第2位,中金在线
1507,2021-08-19,【异动股】中国平安(02318.HK)跌3.1%,财华社
1508,2021-08-19,A股融资融券日报：两融余额增加49亿元（8月18日）,Wind
1509,2021-08-19,北向资金动向盘点：连续三日净买入，重手买入金融股,Wind
1510,2021-08-18,北向资金积极抢筹中国平安 寿险改革成效将逐步显现,中证网
1511,2021-08-18,平安保险人的温度：为车主伸援手践行社会责任,深圳新闻网
1512,2021-08-18,业绩喜人！九成公司上半年营收实现同比增长,新浪
1513,2021-08-18,北向资金稳步加仓3日净买入超111亿，持续扫货大金融龙头股,Wind
1514,2021-08-18,中国平安今日大宗交易成交9.20万股，成交价56.04元溢价0.0%,Wind
1515,2021-08-18,【异动股】中国平安(02318.HK)涨3.27%,财华社
1516,2021-08-18,【行情】港股内险股午后飙涨，中国太保涨4.6%，新华保险涨3.8%，中国平安涨3.35%，中国人寿涨3.08%，中国太平涨2.75%,金十数据
1517,2021-08-18,亏钱亏钱还是亏钱！金融壹账通股价创新低，平安“依赖症”加剧 亏损,新浪
1518,2021-08-18,保险股发力护盘，中国平安直线拉升近2%,Wind
1519,2021-08-18,平安收购新方正获批！ 最高500亿入局深耕医疗大健康,南都报
1520,2021-08-18,A股融资融券日报：两融余额减少125.59亿元（8月17日）,Wind
1521,2021-08-18,深圳市环强险落地，中国平安以“绿色保险+绿色平台”助力生态文明建设,大众证券报
1522,2021-08-17,太难了！五大上市险企前7月保费微增 财险增速骤降至负数,新浪
1523,2021-08-17,市场监管总局：无条件批准平安人寿收购新方正集团股权 其他违规处罚,澎湃新闻
1524,2021-08-17,收入原地踏步甚至负增长 保险公司还有救吗？ 盈利能力下降,新浪
1525,2021-08-17,月涨50%，牛市旗手迎新龙头！北向资金2天流入超百亿,Wind
1526,2021-08-17,A股融资融券日报：两融余额增加8.88亿元（8月16日）,Wind
1527,2021-08-17,保险行业：产寿保费延续承压 养老产业百花齐放,新浪
1528,2021-08-17,港股公告精选：舜宇光学科技中期股东应占溢利同比增长53.7%,Wind
1529,2021-08-17,宁德时代“狮子大张口” 与当年中国平安有何不同,金融投资报
1530,2021-08-17,六年首次，A股19天超万亿成交！北上资金买了啥,Wind
1531,2021-08-17,中国平安“高度重视投资者”的豪言壮语，在糟糕的数据面前碎成渣渣,腾讯网
1532,2021-08-16,7月保费数据出炉：上市险企增速再下降 财险最惨烈！,新浪
1533,2021-08-16,中国平安前7月原保费同比降5.19%；又一家上市公司退出设立保险公司 | 慧保日报 8.16,搜狐
1534,2021-08-16,【港股通】中国平安(02318)前7个月原保险合同保费收入合计4775.37亿元,和讯
1535,2021-08-16,晚间重要公告2021年8月16日星期一,Wind
1536,2021-08-16,中国平安(02318)前7月原保险合同保费收入4775.36亿元,智通财经
1537,2021-08-16,A股共发生112宗大宗交易成交16.34亿元（8月16日）,Wind
1538,2021-08-16,2021中国平安首届技术公益创新大赛正式启动，四大赛道演绎科技让公益可持续,证券时报网
1539,2021-08-16,中国平安：4家控股子公司前7月实现保费4775.37亿元,中证网
1540,2021-08-16,中国平安现1笔大宗交易 共成交831.60万元,新浪
1541,2021-08-16,中国平安(601318.SH)：前7月原保费收入达4775.36亿元,格隆汇
1542,2021-08-16,中国平安(601318.SH)前7月4家子公司原保费收入合计4775.36亿元,智通财经
1543,2021-08-16,中国平安：前7月原保费收入达4775.36亿元,Wind
1544,2021-08-16,保险股逆势发力，中国人寿涨超2%,Wind
1545,2021-08-16,A股融资融券日报：两融余额减少36.53亿元（8月13日）,Wind
1546,2021-08-16,【银河非银武平平】行业动态 2021.7丨负债端依旧低迷，新能源车险专属条款发布,中国银河证券研究
1547,2021-08-15,上半年，9大险企实现保费收入约1.69万亿元！ 互联网公司高增长拔得头筹，这家人身险公司却同比下降两成 盈利能力下降,每日经济新闻
1548,2021-08-15,从业人员一年减少百万，保险目前境地很尴尬，这一行不好干了,腾讯网
1549,2021-08-15,巴菲特潜在心动A股名单：未来净利高增长股仅11只,Wind
1550,2021-08-15,非银金融行业：两市交投活跃 继续推荐证券板块,广发证券
1551,2021-08-15,中国平安转让盛福企管59.7%股权，华润信托接盘,乐居财经
1552,2021-08-14,巴菲特潜在心动A股名单出炉！估值历史低位+高ROE+高股息白马，未来净利高增长股仅11只,证券时报网
1553,2021-08-14,【国君策略】新基建主题：博弈超额收益的新战场,Wind
1554,2021-08-13,宁德时代582亿定增，向散户要钱，步平安后尘还是延续有锂走遍天下,搜狐
1555,2021-08-13,负债端增长仍低迷，板块负收益扩大 | 保险行业7月跟踪报告【华创非银】,华创非银
1556,2021-08-13,中国平安遭沪股通连续7日净卖出 合计净卖出11.03亿元,证券时报网
1557,2021-08-13,"中国平安现1笔大宗交易 共成交2,596.07万元",新浪
1558,2021-08-13,北向资金本周净买入额大幅收窄，宁德时代遭大幅净卖出近8亿元,Wind
1559,2021-08-13,中国平安今日大宗交易成交49.80万股，成交价52.13元折价4.01%,Wind
1560,2021-08-13,A股融资融券日报：两融余额增加73.91亿元（8月12日）,Wind
1561,2021-08-13,保险行业7月跟踪报告：负债端增长仍低迷 板块负收益扩大,新浪
1562,2021-08-12,中国平安遭沪股通连续6日净卖出 合计净卖出8.88亿元,证券时报网
1563,2021-08-12,ATFX港股：中国人寿处于15年来低位，保险股跌势或近尾声,金融界
1564,2021-08-12,中国平安今日大宗交易成交14.55万股，成交价54.98元溢价0.44%,Wind
