,2021-12-31,版权工作“十四五”规划出台，A股多家公司已布局产业链,新浪
626,2021-07-16,传媒行业：腾讯音乐升级组织架构；青瓷游戏在港提交招股书,广发证券
627,2021-07-15,传媒行业周报：2021上半年线上红利降低线下院线电影票房250亿收官读客文化上市2021下半年看什么？,国海证券
628,2021-07-14,传媒行业2021年中期投资策略：云游戏 VR AR-5G应用落地有望在明年,新浪
629,2021-07-13,【预见】上市三年解禁收益率约4倍！芒果超媒的前景依然值得期待？,财华社
630,2021-07-13,传媒专题研究：21H1买量投放平稳 注重品效合一,新浪
631,2021-07-13,粤开新赛道研究系列（一） | Z世代娱乐新风向，剧本杀增量空间几何,粤开崇利论市
632,2021-07-13,传媒互联网行业周报：传媒板块短期调整 看好安全垫较高的细分龙头,新浪
633,2021-07-13,影视传媒行业周报：虎牙斗鱼合并终止 教育部支持暑期托管,西南证券
634,2021-07-13,犀牛财经早报：吉利回应退股极氪汽车马斯克请缨坐上证人席,GPLP犀牛财经
635,2021-07-12,芒果超媒：暂未收到控股股东办理解禁告知书,36氪
636,2021-07-12,文化传媒行业周报：行情低迷 中线关注业绩优秀的白马,渤海证券
637,2021-07-12,芒果超媒控股股东8.49亿股限售股解禁 占总股本47.69%,上证报
638,2021-07-12,天量解禁来了，芒果超媒486亿元限售股将上市，控股股东收益近4倍,腾讯网
639,2021-07-12,1600亿解禁来袭：顶流基金加码芒果，网红基金减持中芯,中国基金报
640,2021-07-12,芒果超媒中芯国际解禁来袭 市值均超400亿,全景网
641,2021-07-11,A股下周迎7月解禁高峰，3只个股解禁规模超200亿,第一财经
642,2021-07-11,1600亿解禁来袭！两家千亿巨头占比超半数，大基金300亿元深度布局这一行业，业内这么看,e公司
643,2021-07-11,两只千亿巨头大解禁 股价已暴跌40% 还将继续调整？顶流基金却逆势加仓,中国基金报
644,2021-07-11,突发利空！两只千亿巨头大解禁，900亿天量！股价已暴跌40%，40万股民慌不慌，要跌停？顶流基金却逆势加仓 解禁,中国基金报
645,2021-07-11,下周操盘攻略：重磅数据即将公布，超预期全面降准对市场或有提振,Wind
646,2021-07-11,中芯国际迎400多亿元解禁，战略配售股东浮盈近230亿元，下周这些股票解禁压力大（附名单）,中证报
647,2021-07-11,1600亿解禁洪流来袭 多只热门概念股解禁市值超百亿,新浪
648,2021-07-11,陆家嘴财经早餐2021年7月11日星期日,Wind
649,2021-07-10,下周1610亿市值限售股解禁，环比增加1001.23% 解禁,Wind
650,2021-07-09,下周解禁：君实生物解禁股东多达408名 解禁,大众证券报
651,2021-07-08,后浪弄潮，面向年轻世代的潮流消费,第一财经
652,2021-07-08,中信传媒：Z世代崛起催生新生消费力量，潮流消费市场达千亿，仍处快速增长通道,智通财经
653,2021-07-08,传媒｜后浪弄潮，面向年轻世代的潮流消费,中信证券研究
654,2021-07-07,【开源传媒互联网|新股梳理系列13】悠可集团（H01522.HK）招股书精华,文娱透光镜
655,2021-07-07,传媒行业月度策略：关注暑期档高景气内容赛道及Q2业绩预告,新浪
656,2021-07-07,【开源传媒互联网|新股梳理系列12】读客文化（301025.SZ）招股书精华,文娱透光镜
657,2021-07-06,优酷会不会想念古永锵？,36氪
658,2021-07-06,互联网传媒行业周观点：年内第2批进口版号获审 继续关注游戏新品周期,新浪
659,2021-07-05,芒果超媒董事会完成换届选举,上证报
660,2021-07-05,道达投资：A股市场止血 将复制6月行情走势？,每日经济新闻
661,2021-07-05,芒果超媒(300413.SZ)选举杨贇为监事会主席,智通财经
662,2021-07-05,芒果超媒(300413.SZ)选举张华立为董事长,智通财经
663,2021-07-05,传媒互联网行业周观点：关注中报业绩超预期投资机会,新浪
664,2021-07-05,芒果超媒(300413)芒果TV2021Q2季度数据跟踪：剧集播放量高增长 拉动平台流量居历史第二高位,新浪
665,2021-07-05,互联网传媒周报：预计长视频、游戏等内容下半年景气改善,新浪
666,2021-07-04,【华创传媒·娱乐新讲】剧本杀风起，如何理解行业的格局与未来？,微信
667,2021-07-04,传媒行业周观察：第二批进口游戏版号出炉 阿里组织架构升级 滴滴上市三日遭网络安全审查,新浪
668,2021-07-03,传媒行业周报2021年25期：新经济独角兽密集登陆美股 青瓷游戏即将在港上市,新浪
669,2021-07-02,策略月报：6月产业资本减持额上升 减持股份,新浪
670,2021-07-01,传媒互联网行业7月投资策略：关注游戏板块 把握龙头超跌买入机会,新浪
671,2021-06-30,打造资本市场“湘军样本”,中证报
672,2021-06-29,芒果超媒(300413)：《谎言真探》进一步夯实“季风剧场”逻辑,西南证券
673,2021-06-29,西南证券维持芒果超媒买入评级：《谎言真探》进一步夯实“季风剧场”逻辑,每日经济新闻
674,2021-06-29,影视传媒行业周报：中国电影收购CINITY 青瓷游戏递交IPO申请,西南证券
675,2021-06-29,传媒行业：广告投放持续复苏 梯媒景气度延续,新浪
676,2021-06-29,传媒行业周报：快手全球月活达10亿 青瓷游戏港股交表 《梦幻新诛仙》上线首日流水突破1500万,新浪
677,2021-06-28,互联网传媒周报：静待下半年政策环境改善,新浪
678,2021-06-28,传媒行业周报：《梦幻新诛仙》三日成绩攀升 芒果超媒定增获准,华安证券
679,2021-06-28,芒果超媒完成不超过45亿人民币定向增发,企查查
680,2021-06-28,41股获券商买入评级，恒力石化目标涨幅达70.40%,Wind
681,2021-06-25,22股获买入评级 最新:芒果超媒,中财网
682,2021-06-25,国元证券：芒果超媒（300413.SZ）定增获批助力内容制作，提升平台技术能力，维持“买入”评级,智通财经
683,2021-06-25,芒果超媒(300413)：定增预案获批 内容建设再启航,新浪
684,2021-06-25,芒果超媒(300413)定增顺利获批，加码内容投入 | 方正传媒姚蕾,杨仁文研究笔记
685,2021-06-25,芒果超媒（300413）多元变现篇：“小芒”、“剧本杀”打开长期成长空间,国信研究
686,2021-06-24,芒果超媒：向特定对象发行股票申请获证监会同意注册批复,e公司
687,2021-06-24,芒果超媒(300413.SZ)：定增申请获中证监同意注册批复,格隆汇
688,2021-06-24,芒果超媒：完成转让快乐通宝100%股权 资产异常,财联社
689,2021-06-24,芒果超媒：公司已收到100%的股权转让款，不再持有快乐通宝的股权 资产异常,Wind
690,2021-06-23,33股获券商买入评级，韦尔股份目标涨幅达39.79%,Wind
691,2021-06-23,2021下半年互联网传媒行业投资策略：精选高壁垒平台与精品内容,新浪
692,2021-06-22,46股获买入评级 最新:华熙生物,中财网
693,2021-06-22,传媒行业周报：快手616电商大会观看人数超7000万 2021游戏用户支出预计超2040 亿美元,新浪
694,2021-06-22,国信证券：芒果超媒（300413.SZ）从海内外视频格局看芒果模式，维持“买入”评级,智通财经
695,2021-06-22,国信证券维持芒果超媒买入评级，深度报告：平台内容篇：从海内外视频格局看芒果模式，内容端行稳致远,每日经济新闻
696,2021-06-22,“618”数据优异直播电商有望受益 持续重点推荐芒果超媒,财富动力网
697,2021-06-21,传媒行业投资周报：字节跳动2020营收高增长 中国手游厂商5月继续亮眼表现,广发证券
698,2021-06-21,传媒行业周报系列2021年第25周：字节营收超2000亿 快手小米牵手人人视频,新浪
699,2021-06-18,传媒行业周报：《摩尔庄园》上线两周持续上榜TOP10 第八批游戏版号共87个游戏获批,新浪
700,2021-06-18,“数据会说话”之2021年5月数据解读：5月社零数据低于预期 消费延续恢复态势,新浪
701,2021-06-17,芒果超媒(300413)跟踪报告：“季风剧场”表现符合预期 小芒发展如火如荼,新浪
702,2021-06-17,西部证券：芒果超媒（300413.SZ）“季风剧场”表现符合预期，小芒发展良好，维持“买入”评级,智通财经
703,2021-06-17,西部证券维持芒果超媒买入评级，跟踪报告：“季风剧场”表现符合预期，小芒发展如火如荼,每日经济新闻
704,2021-06-17,35股获券商买入评级，索菲亚目标涨幅达60.14%,Wind
705,2021-06-16,芒果超媒：《哥哥的滚烫人生》项目正在推进中,每日经济新闻
706,2021-06-16,传媒行业高频数据可视化周报第19期,新浪
707,2021-06-16,传媒行业周报：A股传媒板块仍处于收缩、调整中 但优质个股凸显,新浪
708,2021-06-16,芒果超媒(300413)：“小芒”、“剧本杀”打开长期成长空间,新浪
709,2021-06-16,国君传媒 | 2021年中期投资策略：短视频后流量红利及人口结构变迁再造行业机会,国泰君安证券研究
710,2021-06-15,中国银河维持传媒互联网行业推荐评级：腾讯视频进入新分账时代，快手体育版权再布局,每日经济新闻
711,2021-06-15,传媒行业：5月国内手游同增5% 出海表现良好,新浪
712,2021-06-15,A股异动丨芒果超媒(300413.SZ)涨逾6%《猎狼者》打开男性用户天花板,格隆汇
713,2021-06-15,2021年传媒行业中期策略报告：阳光总在风雨后 高景气核心标的布局正当时,新浪
714,2021-06-13,华为鸿蒙加码，座舱智能化引发交互革命丨一周重点研究报告,开源证券研究所
715,2021-06-09,传媒行业：剧本杀引领线下娱乐潮流 芒果超媒入局优势明显,新浪
716,2021-06-09,晨会聚焦210609重点关注培育钻石行业、再生铝行业、元宇宙专题、机械行业,国信研究
717,2021-06-09,【银河传媒互联网杨晓彤】行业周报丨《摩尔庄园》上线表现优异，三胎政策有望扩大少儿图书潜在需求,中国银河证券研究
718,2021-06-09,【开源传媒互联网|深度】剧本杀引领线下娱乐潮流，芒果超媒入局优势明显,文娱透光镜
719,2021-06-08,传媒互联网深度研究报告-元宇宙：网络空间新纪元,新浪
720,2021-06-08,中证报：四万亿风口呼之欲出，超高清视频千帆竞渡,Wind
721,2021-06-07,传媒行业：《摩尔庄园》上线表现超预期；阅文重塑IP产业链 加速变现,广发证券
722,2021-06-07,互联网传媒周报：吉比特新老游戏均超预期 长短视频版权之争加剧,新浪
723,2021-06-07,中国银河维持传媒互联网行业推荐评级：《摩尔庄园》上线表现优异，三胎政策有望扩大少儿图书潜在需求,每日经济新闻
724,2021-06-07,传媒行业周报系列2021年第23周：短视频趋去同质化 618推动抖音“天猫化”,新浪
725,2021-06-07,传媒行业策略：线上聚焦短视频变现主线 线下重视沉浸式娱乐消费,新浪
726,2021-06-07,16股获券商买入评级，中芯国际目标涨幅达49.26%,Wind
727,2021-06-07,大阅文战略升级助推IP全产业链商业化 泛网络视听产业规模破6000亿元（周观点）,拾珠传媒新消费
728,2021-06-07,上市公司生态实录：“高富帅”受机构热捧 董秘凌晨两点回复互动易,证券日报
729,2021-06-04,传媒行业2021年度中期投资策略：远看METAVERSE和VR 近看优质内容底部机会,新浪
730,2021-06-04,西南证券维持芒果超媒买入评级：《猎狼者》打开男性用户天花板,每日经济新闻
731,2021-06-04,西南证券：芒果超媒（300413.SZ）《猎狼者》打开男性用户天花板，维持“买入”评级,智通财经
732,2021-06-04,传媒行业月度策略：暑期档临近 产品密集定档有望带动文娱消费,新浪
733,2021-06-04,【银河传媒互联网杨晓彤】行业动态 2021.5丨网易腾讯年度发布会召开，新品品类齐全,中国银河证券研究
734,2021-06-03,芒果超媒总经理蔡怀军：长视频是流量聚集地和话题爆发地,每日经济新闻
735,2021-06-03,5月行业动态报告：网易腾讯年度发布会召开 新品品类齐全,新浪
736,2021-06-01,互联网传媒行业周观点：芒果季风如期破圈 关注《摩尔庄园》上线,新浪
737,2021-06-01,文化传媒板块多股涨停，新《着作权法》赔偿上限提升10倍丨牛熊眼,第一财经
738,2021-06-01,传媒行业投资周报：6月电商大促驱动产业链机会 美团商户和交易用户强劲增长,广发证券
739,2021-05-31,"券商5月金股组合""战绩""：开源证券14.13%夺冠 中泰最差",新浪
740,2021-05-31,传媒互联网行业：电商618预售再掀消费热潮 网易云音乐冲刺港股IPO,新浪
741,2021-05-31,传媒行业周报：快手电商上线跨境小店业务 86款新游获版号,新浪
742,2021-05-31,海通证券研究所早报,新浪
743,2021-05-30,"【国君互联网传媒】2021年20期：泡泡玛特进军高品质IP, 新兴题材买量投放数量激增",国泰君安互联网传媒研究
744,2021-05-29,传媒互联网行业6月投资策略：关注电商节及直播产业链 把握行业龙头超跌买入机会,新浪
745,2021-05-28,深度|刚取消超前点播，又传爱奇艺赴港上市，长视频再被搅动,财联社
746,2021-05-27,“618”大促拉动消费 布局四大投资主线,财富动力网
747,2021-05-26,芒果超媒“乘风易破浪难”，募资45亿也摆不脱关联交易“依赖症”,36氪
748,2021-05-26,手握57亿资金又拟定增45亿 芒果超媒综艺IP口碑下滑“老化”危机何解？,投资者网
749,2021-05-25,Z世代研究专题之实景互动娱乐：实景互动娱乐强势崛起 行业规模有望超过千亿,新浪
750,2021-05-25,芒果超媒盘中快速上涨,新浪
751,2021-05-24,芒果超媒公布2020年年度权益分派方案：每10股派1.3元,TechWeb
752,2021-05-24,芒果超媒(300413.SZ)2020年度权益分配10派1.3元 股权登记日为5月31日,格隆汇
753,2021-05-24,芒果超媒(300413.SZ)拟10股派1.3元 6月1日除权除息,智通财经
754,2021-05-24,传媒周观点20期：反弹周期传媒板块有望整体受益,新浪
755,2021-05-24,传媒行业投资策略周报：腾讯等互联网公司披露一季报；21Q1中国手游出海优势扩大,广发证券
756,2021-05-24,传媒股早盘走强，思美传媒拉升封板，出版传媒、当代文体、芒果超媒、引力传媒等,新浪
757,2021-05-24,芒果超媒大涨,新浪
758,2021-05-24,晨会聚焦210524重点关注社会服务、海外银行、传媒、医药、卓胜微,国信研究
759,2021-05-24,18股获券商买入评级，新亚强目标涨幅达49%,Wind
760,2021-05-24,【传媒-焦娟】剧本杀：高速发展的线下娱乐新场景，芒果入局所为何？,安信证券研究
761,2021-05-24,传媒行业周观察：网易游戏发布会公布60余款产品 掌门教育递交招股书,新浪
762,2021-05-24,互联网传媒行业周观点：芒果季风剧场5.24上线 LOL国服手游开测,新浪
763,2021-05-24,芒果超媒忙“破圈” 三方向拓宽业绩增长边界,证券日报
764,2021-05-21,芒果超媒张华立：“破圈”拓宽业务边界 寻找新增长曲线,e公司
765,2021-05-21,【牛人重仓】芒果超媒:牛人重仓绩优股今年以来融资余额增仓25%以上，今日资金流入0.0万元，北向资金持股5628.63万股，融资余额30005.1万元；前3个交易日，北向资金增持57.14万股，融资额增加1133.06万元，主力资金净流入8493.44万元,每日经济新闻
766,2021-05-21,传媒行业：剧本杀：高速发展的线下娱乐新场景 芒果入局所为何？,新浪
767,2021-05-20,传媒行业：内容供给丰沛驱动票房回暖 关注游戏行业底部向上机会,广发证券
768,2021-05-20,湖南“破零倍增”计划驱动更多湘企上市 医药生物等领域上市公司数量较多,Wind
769,2021-05-20,长视频平台一季度业绩向好，是偶然还是趋势？,创业邦
770,2021-05-20,24股获券商买入评级 博通集成目标涨幅达39.13%,Wind
771,2021-05-20,芒果超媒定增：自制节目推高毛利率 扩张版权库或将增加不确定性,面包财经
772,2021-05-19,“数据会说话”之2021年4月数据解读：4月社零数据低于预期 仍看好服务业全面复苏,新浪
773,2021-05-19,剧本杀行业深度报告：“二次人生”体验引爆社交新宠,新浪
774,2021-05-18,芒果超媒(300413)：综艺IP衍生变现 拓展线下实景娱乐,新浪
775,2021-05-18,华泰证券：芒果超媒（300413.SZ）综艺IP衍生变现，目标价86.24元，维持“买入”评级,智通财经
776,2021-05-18,领涨板块快速切换，权重股助推沪指收复3500点,Wind
777,2021-05-17,最新个股研报精选：这只些股获机构重点关注,中金在线
778,2021-05-17,“叶飞效应”？机构预测高增长超跌大盘股曝光,Wind
779,2021-05-17,A股午盘综述：上证指数涨超1%，时隔两个多月重回3500点,Wind
780,2021-05-17,创业板指涨幅扩大至3%，权重股集体大涨,Wind
781,2021-05-17,芒果超媒大涨,新浪
782,2021-05-17,财通证券维持芒果超媒买入评级：会员广告两翼齐飞,每日经济新闻
783,2021-05-17,互联网传媒周报：芒果超媒季风计划来袭 阿里、B站财报体现电商、短视频竞争变化,新浪
784,2021-05-16,传播文化业行业：4月手游同比增长13% 休闲网赚APP占据买量榜单,新浪
785,2021-05-14,传媒行业2021年中期策略报告：内容视频化趋势显着 用户为优质内容买单潜力大,新浪
786,2021-05-14,上市公司生态实录：“高富帅”受机构热捧 董秘凌晨两点回复互动易,证券日报
787,2021-05-13,42股获买入评级 最新:恒林股份,中财网
788,2021-05-13,西南证券维持芒果超媒买入评级：剧本杀，给你另一段人生,每日经济新闻
789,2021-05-12,真肉疼！千亿市值“大块头”批量回撤超40% 大资金低吸股要重视（名单）,证券时报
790,2021-05-12,真肉疼！千亿市值“大块头”批量回撤超40%，这类大资金“人弃我取”要重视（附股）,证券时报
791,2021-05-12,并购优塾--芒果超媒VS哔哩VS爱奇艺：2021年5月跟踪，在线视频产业链深度梳理【行业研究】,金融界股吧
792,2021-05-12,传媒行业周报：游戏大厂加快投资节奏 研发比拼愈发激烈,新浪
793,2021-05-11,【国君互联网传媒】2020年报及2021年一季报总结报告：20年游戏板块业绩亮眼，21Q1营销板块表现强劲,国泰君安互联网传媒研究
794,2021-05-11,102股获买入评级最新:保利地产,中财网
795,2021-05-11,晨会聚焦210511重点关注有色、美妆&医美、农林牧渔、传媒、机械、非银、汉钟精机、牧原股份,国信研究
796,2021-05-11,芒果超媒(300413)：剧本杀市场方兴未艾 芒果超媒探索线上线下结合,新浪
797,2021-05-11,【山证传媒】2020年报及2021年一季报总结：疫情加剧行业分化，关注景气细分及龙头公司优势扩大,山西证券研究所
798,2021-05-11,传媒板块Q1业绩修复：广告影视明显回暖，游戏筑底消化压力,微信
799,2021-05-10,传媒互联网2021年中期投资策略：把握景气周期变化 关注底部机会,新浪
800,2021-05-10,传播文化业行业：20年游戏板块业绩亮眼 21Q1营销板块表现强劲,新浪
801,2021-05-10,传媒行业周报：五一档票房达15亿元 2021Q1全球游戏业累计投资并购金额达390亿美元,新浪
802,2021-05-10,传媒行业2020年年报及2021年一季报综述：后疫情期业绩逐步修复 视频与广告表现亮眼,新浪
803,2021-05-10,传媒行业动态分析：板块分化加剧 关注影视及营销行业复苏,新浪
804,2021-05-10,传媒行业周报系列2021年第18＆19周：监管趋严或成常态 国资视听平台行稳致远,新浪
805,2021-05-10,传媒行业周报2021年17期：传媒20年净利增幅超2倍 23年全球游戏市场望超2000亿美元,新浪
806,2021-05-10,互联网传媒周报：2020、21Q1数字经济延续景气但竞争加剧,新浪
807,2021-05-10,机构最新潜在目标曝光，海康威视获500家机构调研,Wind
808,2021-05-10,【开源传媒互联网|周观点】关注互联网公司Q1财报，积极布局体育板块,文娱透光镜
809,2021-05-07,132家公司获海外机构调研,证券时报网
810,2021-05-07,传媒行业：21Q1传媒持仓1.33% 低配扩大,新浪
811,2021-05-07,连续三日收跌！广告收入增速放缓，芒果超媒年度业绩成色几何？ 盈利能力下降,投资时报
812,2021-05-07,传媒行业：五一档票房凸显口碑效应；在线音频龙头喜马拉雅在美交表,广发证券
813,2021-05-07,传媒互联网行业周报：五一档票房基本恢复 新一批国产网游版号下发,新浪
814,2021-05-07,传媒行业周报：音频龙头喜马拉雅拟登美股 2021一季报后如何选,国海证券
815,2021-05-07,每日理财观察：大宗商品狂欢，多种商品刷新历史,Wind
816,2021-05-07,申万宏源十大金股组合：2021年第5期,新浪
817,2021-05-07,A股风格又切换！创业板一度跌逾4%，顺周期扛鼎市场,Wind
818,2021-05-06,万联证券维持芒果超媒增持评级：内容破圈进行时，新增长点持续孕育中,每日经济新闻
819,2021-05-06,湖南区域股市周报：总市值跌69亿 蓝思科技市值缩水115.38亿 连续下跌,每日经济新闻
820,2021-05-06,【万联传媒 | 芒果超媒】点评：内容破圈进行时，新增长点持续孕育中,万联证券研究所
821,2021-05-06,海外机构调研股名单芒果超媒最受关注,证券时报网
822,2021-05-06,5月6日晚间重要行业研究汇总(附股),中金在线
823,2021-05-06,北上资金逆势回流A股，外资调研青睐三大行业,Wind
824,2021-05-06,【国盛策略&行业】打破箱体的力量正在积蓄——5月配置建议&金股推荐,尧望后势
825,2021-05-06,4月金股组合盈利5.26% 5月荐股名单出炉,新浪
826,2021-05-06,芒果超媒2020年净利增超七成 国有长视频平台获机构青睐,红周刊
827,2021-05-06,苹果业绩大超预期，产业链公司被扎堆调研（附名单）,Wind
828,2021-05-05,【华创欣传媒·周观察】20210504：B站加大游戏投资，多部影片齐聚五一档,微信
829,2021-05-04,礼包 | 五一大消费研究专题,中信建投证券研究
830,2021-05-01,东兴证券维持芒果超媒推荐评级：剧综爆款频出，平台商业化能力不断增强,每日经济新闻
831,2021-05-01,21硬核投研丨年赚近20亿，机构忙加仓……芒果超媒何以“乘风破浪”？,21世纪经济报道
832,2021-04-30,重度依赖关联交易 芒果超媒盈利成色几何？,搜狐
833,2021-04-30,一季度影视公司集体回暖，万达电影、芒果超媒共赚近13亿,澎湃新闻
834,2021-04-30,传媒互联网行业5月投资策略：机构持仓占比持续下降 关注业绩表现及超跌个股 盈利能力下降,新浪
835,2021-04-30,芒果超媒(300413)：经营指标高速增长带动平台规模效应显现,广发证券
836,2021-04-30,一周机构评级：26股获扎堆推荐 18股看涨空间超20%,证券时报网
837,2021-04-30,晨会聚焦210430重点关注培育钻石行业、传媒互联网、房地产、汽车、奕瑞科技、极米科技、光线传媒、新经典、安克创新、新宝股份等,国信研究
838,2021-04-29,芒果超媒(300413)：头部综艺推动一季度业绩高增 持续看好芒果长期价值,新浪
839,2021-04-29,爱奇艺、腾讯视频之后 芒果TV也准备涨价：去年盈利20亿,快科技
840,2021-04-29,芒果超媒：会员提价已成为趋势 今年会考虑进行提价,e公司
841,2021-04-29,短视频对长视频的影响如何？芒果超媒回应,e公司
842,2021-04-29,【机构风向标】26股获机构高频力荐，18股上涨空间超20%,证券时报网
843,2021-04-29,51公司获得增持评级-更新中,中财网
844,2021-04-29,腾讯视频爱奇艺 要当心芒果超媒了,亿邦动力
845,2021-04-29,【银河传媒互联网杨晓彤】公司点评丨芒果超媒 (300413)：会员高增长，持续构建内容生态,中国银河证券研究
846,2021-04-29,【新时代马笑传媒团队】芒果超媒（300413.SZ）：一季度业绩延续高增长，持续看好精品剧集综艺及电商布局发展,微信
847,2021-04-28,芒果超媒(300413)：会员+广告持续高增 Q1业绩+61%,新浪
848,2021-04-28,可关注年报业绩超预期的板块和个股，特别是盈利增长稳定的消费类白马股，长期来看投资价值很高。,证券日报网
849,2021-04-28,中国银河维持芒果超媒推荐评级，2020年年报暨2021一季报点评：会员高增长，持续构建内容生态,每日经济新闻
850,2021-04-28,晨会聚焦210428重点关注牧原股份、芒果超媒、恩捷股份、永兴材料、扬农化工、浙江美大、火星人、帅丰电器、亿田智能、科前生物等,国信研究
851,2021-04-28,A股早报2021年4月28日星期三,Wind
852,2021-04-28,95股今日获机构买入评级,证券时报网
853,2021-04-28,风享 · TMT 一周谈 | 当下科技板块如何布局？,天风研究
854,2021-04-27,【国君互联网传媒】芒果超媒(300413)2020年年报及2021年一季报点评：业绩超预期，新业态值得期待,国泰君安互联网传媒研究
855,2021-04-27,腾讯阿里都要亏本的生意，一个地方国企为什么能大赚特赚？,和讯
856,2021-04-27,传媒行业深度研究报告：从知乎十年发展看问答社区的建设与商业化,新浪
857,2021-04-27,山西证券上调芒果超媒至买入评级：业绩高增长超预期，内容为基助推平台持续成长,每日经济新闻
858,2021-04-27,传媒行业2021年中期策略报告：从流量到留量 抓住年轻人、拥抱视频化、提升专业化,新浪
859,2021-04-27,芒果超媒2020净利增超七成 《乘风破浪的姐姐》刷新多项纪录,和讯
860,2021-04-27,西南证券给予芒果超媒买入评级，优质内容驱动高成长，Q1业绩超预期,每日经济新闻
861,2021-04-27,首创证券：芒果超媒（300413.SZ）付费会员保持高增长，维持“买入”评级,智通财经
862,2021-04-27,芒果超媒发布“CSR+ESG”双报告，树立综合履责标杆，彰显主流新媒体价值引领,Wind
863,2021-04-27,国信证券维持芒果超媒买入评级，20年年报和21年一季报点评：更强的执行力和更迅猛的增长势头，打开全新成长空间,每日经济新闻
864,2021-04-27,民生证券给予芒果超媒推荐评级：高速增长的业绩，不断破圈的芒果,每日经济新闻
865,2021-04-27,传媒互联网行业2021Q1基金持仓分析：持仓龙头集中趋势不变,新浪
866,2021-04-27,芒果超媒(300413)：年报及一季报业绩增速亮眼 期待多品类内容推动用户破圈,新浪
867,2021-04-27,2020年收入再超百亿，谁在为芒果超媒赚钱？,36氪
868,2021-04-27,【国元传媒】芒果超媒（300413）2020年报及2021年一季报点评：内容护城河逐渐稳固，21年季风+小芒贡献新看点,典评文娱
869,2021-04-27,4月26日201只个股获券商关注，太钢不锈目标涨幅达91.74%,每日经济新闻
870,2021-04-27,芒果超媒(300413)动态跟踪：高速增长的业绩 不断破圈的芒果,新浪
871,2021-04-27,芒果超媒净利增超七成 爆款综艺拉动股价一年涨106%,新浪
872,2021-04-27,《浪姐》现象级作品“吸金” 芒果超媒2020年净利润增7成 基金大佬忙加仓增持,华夏时报
873,2021-04-27,芒果超媒(300413)核心平台业务持续高增长，内容生态优势有望持续验证 | 方正传媒姚蕾,杨仁文研究笔记
874,2021-04-26,最赚钱的长视频平台芒果超媒去年净利增7成，无会员涨价焦虑,奥一网
875,2021-04-26,芒果超媒去年净利增长逾七成 未来能否跟着姐姐继续乘风破浪？,国际金融报
876,2021-04-26,芒果超媒(300413)：一季度业绩保持高增长 破圈+电商提升平台价值,新浪
877,2021-04-26,芒果超媒(300413)：延续高成长趋势 关注二季度《狂猎》表现,新浪
878,2021-04-26,【基金必读】公募一季度新进重仓股亮相 多位顶流基金经理一起加仓芒果超媒,新浪
879,2021-04-26,[快讯]第四届《股东来了》筹备会召开 芒果超媒详解电视决赛方案,全景网
880,2021-04-26,基金调仓最新曝光！谢治宇、杨浩、邓晓峰又看上了什么公司？,格隆汇
881,2021-04-26,芒果超媒(300413)2020年年报及2021年一季报点评：业绩符合市场预期 优质内容驱动下的平台生态仍有强劲增长动力,新浪
882,2021-04-26,芒果超媒(300413)：“芒果模式”持续迭代升级 2021Q1业绩超预期,新浪
883,2021-04-26,传媒行业周报：芒果超媒一季报业绩超预期,新浪
884,2021-04-26,传媒行业周报：紧握优质游戏CP 长看“短视频+”带来的机会,新浪
885,2021-04-26,芒果超媒2020年会员数近乎翻倍净利增超七成ROE超20%,搜狐
886,2021-04-26,西部证券维持芒果超媒买入评级，2020年&21Q1业绩点评：21Q1业绩超预期，2021年剧集将着重发力,每日经济新闻
887,2021-04-26,国盛证券维持芒果超媒买入评级：净利润高增态势延续，优质内容输出能力持续验证,每日经济新闻
888,2021-04-26,影视板块“最靓的崽”？芒果超媒去年大赚近20亿 一季度赚超7亿,上游新闻
889,2021-04-26,【中泰传媒|芒果超媒】优质内容创新力与多元变现能力持续得到验证,传媒产业大视点
890,2021-04-26,年赚近20亿，“乘风破浪”的芒果超媒成长视频“盈利王”,21世纪经济报道
891,2021-04-26,东北证券维持芒果超媒买入评级：“芒果模式”持续迭代升级，2021Q1业绩超预期,每日经济新闻
892,2021-04-26,安信证券维持芒果超媒买入评级：2021Q1净利高增61%，2021综艺基本盘稳固、剧集有望实现破圈,每日经济新闻
893,2021-04-26,虽无近忧，但有远虑，芒果超媒重获机构青睐的背后或存隐患！,环球老虎财经
894,2021-04-26,芒果超媒一季报披露，受多位顶流基金经理“偏爱”,资本邦
895,2021-04-26,芒果超媒2020年盈利近20亿，同比增长超七成,资本邦
896,2021-04-26,一季报大增61% 芒果超媒股价乘风破浪涨逾8%,第一财经
897,2021-04-26,大公司早报 | 特斯拉将启动下一轮调解 腾讯商标案获赔5000万,观察者网
898,2021-04-26,芒果超媒(300413.SZ)高开6.57%一季度净利同比大增61.18%,格隆汇
899,2021-04-26,芒果超媒稳坐长视频“盈利王” 2020年净利增七成 2021Q1净利增六成,中金在线
900,2021-04-26,芒果超媒2020年会员数及收入增超九成，交银施罗德和兴证全球一季度增持,金融界
901,2021-04-26,多位顶流基金经理罕见一起加仓千亿巨头,Wind
902,2021-04-26,财报观察|Q1净利增六成芒果超媒“业绩带动股价”能否再度上演？,证券之星
903,2021-04-26,一季度净利同比增长超六成 芒果超媒成长视频“盈利王”,证券日报
904,2021-04-25,芒果TV持续超预期 芒果超媒一季度净利增六成,上证报
