,2021-12-31,科技驱动品牌突破 米蓓尔年终斩获三项大奖,美通社
597,2021-08-01,【开源零售|周视角】本土超市试水仓储店，积极推进新业态模式探索,泽鹏商业观察
598,2021-07-31,【国盛策略 | 科创】基金科创板配置二季度有何变化？,尧望后势
599,2021-07-31,爱美客正式递表冲刺港股IPO!,器械之家
600,2021-07-31,2021年中国玻尿酸行业市场竞争格局分析 华熙生物凭借技术优势成为领军行业,前瞻研究院
601,2021-07-31,医药行业周报：散点疫情偶发 寻找“脱敏”品种,西南证券
602,2021-07-30,华熙生物，“双减”枪声下的惊鸟,创业邦
603,2021-07-30,A股资金流向（7月30日）：白酒“信仰崩塌”连遭抛售,Wind
604,2021-07-30,华熙生物(688363)：四轮驱动 产业链龙头迈向平台型龙头,新浪
605,2021-07-30,医美概念股早盘走弱，华熙生物跌超10%,36氪
606,2021-07-29,市场思考随笔之六十五：“宁”与“茅”分化的背后,新浪
607,2021-07-29,多只医美股近腰斩，是“降虚火”还是被抛弃？,华夏时报
608,2021-07-29,“产学研”盛行，大学不够用了,36氪
609,2021-07-29,医疗医美强势上攻，医疗器械ETF（159883）早盘涨超3％，此前5日净申购8823万！,资本邦
610,2021-07-29,硬科技绽放高成长魅力 科创板国际路演获逾百家境外机构追捧,上证报
611,2021-07-28,Nature Portfolio谈口服玻尿酸有效性 华熙生物欲打造食品业务增长极,证券日报网
612,2021-07-28,华熙生物：希望科创板市值大、流动性好、行业代表性强的公司股票能够更多、更快地纳入沪港通范畴及各类指数,中证网
613,2021-07-28,涨停复盘 | 两市超3400股飘绿 婴童概念再度躁动 连续下跌,第一财经
614,2021-07-28,"华熙生物现6笔大宗交易 共成交1,742.81万元",新浪
615,2021-07-28,华熙生物今日大宗交易成交8.60万股，成交价202.65元折价12.27%,Wind
616,2021-07-28,华熙生物：口服玻尿酸有效性获Nature证实,上证报
617,2021-07-28,A股资金流向（7月28日）：资金快进快出，芯片龙头被抛售,Wind
618,2021-07-28,A股收盘综述：沪指四连跌，创业板指止跌反弹,Wind
619,2021-07-28,医美板块集体反弹 爱美客、华熙生物涨超8%,格隆汇
620,2021-07-28,【行情】医美概念股拉升回暖，长江健康涨停，爱美客大涨近8%，澳洋健康、华熙生物、贝泰妮、哈三联等跟涨,金十数据
621,2021-07-28,医美板块集体反弹，澳洋健康冲击涨停,Wind
622,2021-07-28,预见2021：《2021年中国透明质酸产业全景图谱》（附市场规模、行业现状、细分市场发展现状等）,前瞻研究院
623,2021-07-27,“狂奔”的医美：已现过剩现象？业内担心资本热捧后是“一地鸡毛”,每日经济新闻
624,2021-07-27,爱美客的千亿市值，实力还是虚火？,36氪
625,2021-07-27,"华熙生物现2笔大宗交易 共成交4,723.44万元",新浪
626,2021-07-27,华熙生物今日大宗交易成交1万股，成交价203.44元折价6.68%,Wind
627,2021-07-27,商业贸易行业周观点：北京开展打击非法医疗美容行动 小米加速布局美妆,新浪
628,2021-07-27,“玻尿酸之王”赴港上市：溢价74倍海外收购引监管关注，押注肉毒毒素市场周期漫长,新浪
629,2021-07-27,A股早报2021年7月27日星期二,Wind
630,2021-07-27,沪指盘中一度跌破年线，机构称系统性风险有限,Wind
631,2021-07-26,A股资金流向（7月26日）：“茅族”、“宁族”集体遭抛售，芯片龙头获青睐,Wind
632,2021-07-26,医药板块大幅走低，华熙生物跌逾15%，片仔癀3日跌逾20%,证券时报网
633,2021-07-26,千亿巨头闪崩跌停潮：茅台跌1000亿，腾讯跌7%,Wind
634,2021-07-26,一则文件，市值蒸发7000亿，顶流基金经理“出逃”,Wind
635,2021-07-26,医美、医疗集体重挫，医疗器械ETF（159883）跌超5%再获资金逆势买入！,资本邦
636,2021-07-26,医美、医疗服务概念重挫，医疗ETF放量跌逾5.3%,Wind
637,2021-07-26,双创指数跌幅扩大，资金逆势加仓双创基金,Wind
638,2021-07-26,医美板块大幅走低华熙生物跌超11%,格隆汇
639,2021-07-26,资金借道ETF逢低布局，医疗器械ETF（159883）两日吸金5000万创上市规模新高！,资本邦
640,2021-07-26,“野性消费”能否撑起国货之光?,Wind
641,2021-07-25,【开源零售|周视角】盒马NB事业部成立，以新模式“盒马邻里”布局社区电商赛道,泽鹏商业观察
642,2021-07-25,华熙生物驰援物资已送达河南赈灾一线,证券时报网
643,2021-07-24,社会服务行业：旅游复苏节奏出现阶段性放缓 高成长性标的受追捧,新浪
644,2021-07-24,【周末特辑】国金研究十大热门研报,国金证券研究所
645,2021-07-24,靠玻尿酸撑起千亿面子，爱美客赴港的“精装修”生意就能好做？,美股研究社
646,2021-07-23,"华熙生物氨氮和化学需氧量排放低,65%的上市药企研发占比小于",搜狐
647,2021-07-23,医美迎来大逃杀，3500亿市值医美将成“美丽的泡沫”？,创业邦
648,2021-07-23,A股资金流向（7月23日）：市场情绪低迷，白酒、医药股遭大幅抛售,Wind
649,2021-07-23,突发大风暴！新东方一度崩了50%，400亿灰飞烟灭,Wind
650,2021-07-23,“医美茅”爱美客赴港被疑割韭菜 进军肉毒素进程遇阻,中金在线
651,2021-07-23,玻尿酸饮料，华熙生物又来收智商税，股价大跌6% 连续下跌,证券之星
652,2021-07-23,2021年中国玻尿酸行业市场需求现状分析 口服玻尿酸获批、华熙生物领先入局,前瞻研究院
653,2021-07-23,医美板块午后持续走弱华熙生物、爱美客跌超7%,格隆汇
654,2021-07-23,3大千亿白马重挫，锂电牛股跌13%！券商股却火了,Wind
655,2021-07-23,抗疫医疗、医美概念深度回调，医疗ETF（512170）半日净申购2.36亿元,Wind
656,2021-07-22,科创板晚报|中国电信IPO首发过会晶晨股份预计上半年同比扭亏,财联社
657,2021-07-22,房地产不如医美香？收入3家医美公司，苏宁环球转型能行吗,新京报
658,2021-07-22,首个港股+创业板上市医美公司来了！,器械之家
659,2021-07-22,【名企驰援郑州】华熙生物向河南捐赠现金及物资共800万元,中新经纬
660,2021-07-22,华熙生物：向河南捐款200万元以及价值600万元的生活保障物资,e公司
661,2021-07-22,零售、轻工日化行业：6月社零较19年同期+10% 消费持续回暖,新浪
662,2021-07-22,食品饮料行业动态跟踪报告：乡村社零增速回暖 软饮料、化妆品类增速继续领跑,新浪
663,2021-07-22,干货！2021年中国透明质酸行业龙头企业分析——华熙生物：领军我国透明质酸行业,前瞻研究院
664,2021-07-22,华熙生物：创新驱动发展 资本赋能巩固行业龙头地位,中证网
665,2021-07-21,李佳琦带货的华熙生物，为什么不值得买,36氪
666,2021-07-21,医药行业2021年中报业绩前瞻：继续保持恢复性增长,新浪
667,2021-07-21,婴童概念中报预喜股出炉，聪明资金抢先盯上这10股,Wind
668,2021-07-20,透明质酸入食孕育200亿元蓝海市场，品牌入局进行时,36氪
669,2021-07-20,化妆品医美行业2021年中报前瞻：行业维持高景气 龙头公司享估值溢价,新浪
670,2021-07-20,7月20日华熙生物、中远海能等6家公司公告出现利空,证券之星
671,2021-07-20,黑色医美产业链等“你”上钩：黑针剂成本几十卖千元，黑医师从业超15万人,新浪
672,2021-07-20,华熙生物(688363.SH)：赢瑞物源完成集中竞价减持1%股份 减持股份,格隆汇
673,2021-07-20,华熙生物(688363.SH)股东赢瑞物源累计减持480万股 减持实施完毕 减持股份,智通财经
674,2021-07-20,华熙生物：股东赢瑞物源累计减持1%股份 减持股份,Wind
675,2021-07-20,山东区域股市周报：板块总市值涨468亿，华熙生物挤进板块市值3强,每日经济新闻
676,2021-07-20,商业贸易行业周观点：奥园美谷发力高端医美产品 中国钻石交易强劲反弹,新浪
677,2021-07-20,华熙生物(688363)深度报告：四轮驱动战略建立透明质酸全产业链布局,国金证券股份有限公司
678,2021-07-20,国金证券维持华熙生物买入评级：四轮驱动战略建立透明质酸全产业链布局,每日经济新闻
679,2021-07-19,当代人颜值焦虑：医美和整牙，都要配齐,钛媒体
680,2021-07-19,纺织服装行业：上半年化妆品与黄金珠宝保持高景气 服装消费积极恢复,新浪
681,2021-07-19,除了汽车，雷军最近又出手了这一新赛道,Wind
682,2021-07-19,医药生物行业周报：海外疫情反复 行业超跌后迎来反弹,新浪
683,2021-07-19,商贸零售行业周报：6月社零总额同增12.1% 黄金珠宝复苏强劲,华福证券有限责任公司
684,2021-07-19,美妆大爆发：一场全产业链的狂欢,创业邦
685,2021-07-19,化妆品行业行业周报：6月化妆品零售同增14% 关注Q2业绩行情,国金证券股份有限公司
686,2021-07-18,【开源零售|周视角】CBME孕婴童产业峰会举行，关注母婴消费新风向,泽鹏商业观察
687,2021-07-18,医药行业周报：中报预告落地 个股表现持续分化,西南证券
688,2021-07-18,透明质酸钠食品前景如何？各界共话新“食”机,中国网
689,2021-07-16,A股资金流向（7月16日）：新能源龙头连遭抛售，军工股获避险资金青睐,Wind
690,2021-07-16,商业贸易行业点评报告：6月社零同比+12.1% 线上受618购物节带动明显,新浪
691,2021-07-15,大消费行业周报：奈雪港交所上市 抢跑新式茶饮第一股,新浪
692,2021-07-15,功效护肤市场已成最炙手可热的“新兴市场”,投资界
693,2021-07-15,医美股测评③｜华熙生物：新兴业务开拓受挫，多头白热化竞争成发展隐忧？,21世纪经济报道
694,2021-07-15,华熙生物：与北京化工大学成立“联合研发中心”,e公司
695,2021-07-15,年收入仅7亿元市值却超保利联通广汽，医美股还能疯多久？,中国经济周刊
696,2021-07-15,A股资金流向（7月15日）：白酒、金融获资金青睐，比亚迪连续遭大幅抛售,Wind
697,2021-07-15,玻尿酸终于对宠物下手了 你会买单吗？,中新网
698,2021-07-15,华熙生物7月14日现4笔大宗交易,证券时报网
699,2021-07-15,【国元商社】化妆品行业2021年6月数据跟踪：618带动淘系增速回升，抖音持续增长,典评文娱
700,2021-07-14,医药生物板块逆势大涨，这一细分领域翻倍股扎堆,Wind
701,2021-07-14,华熙生物玻尿酸宠物粮被质疑：效果猫知道？不，猫都未必知道,新浪
702,2021-07-14,华熙生物现4笔大宗交易总成交金额3982.90万元,证券时报网
703,2021-07-14,A股共发生117宗大宗交易成交29.38亿元（7月14日）,Wind
704,2021-07-14,"华熙生物现4笔大宗交易 共成交3,982.90万元",新浪
705,2021-07-14,【A股收盘综述】“银地保”普遍低迷，上证50指数再创年内新低,Wind
706,2021-07-14,海口华熙生物科技产业项目正式开工 预计明年能够实现项目投产,新浪
707,2021-07-14,纺织服装行业7月第二周周报：纺服行业中报业绩靓丽 板块行情有望持续爆发,新浪
708,2021-07-14,医美三剑客的黄金期,创业邦
709,2021-07-14,医美概念股走势活跃 奥园美谷、华熙生物大涨近9%,证券时报网
710,2021-07-14,多家医美上市公司中报净利预增，主力资金加仓这些个股,第一财经
711,2021-07-14,爱美客营收7亿市值1700亿，医美“狂欢”下资本吹出的新赛道OR新泡沫？,搜狐
712,2021-07-14,A股午盘综述：上证指数跌0.82%，市场现“喝酒吃药”行情,Wind
713,2021-07-14,【行情】医美板块大幅拉升，奥园美谷直线拉升封板，华熙生物、昊海生科、苏宁环球、朗姿股份等跟涨,金十数据
714,2021-07-14,医美板块午前发力，奥园美谷冲击涨停,Wind
715,2021-07-14,护肤用的玻尿酸做成饮料引巨大争议：华熙生物让用户胆战心惊,运营商财经网
716,2021-07-14,新食品原料能为食品业带来什么,中华工商时报
717,2021-07-14,后疫情时代，关注科技成长板块投资机会,国泰君安
718,2021-07-13,2021年中国玻尿酸行业市场现状与竞争格局分析 市场进入稳定发展期【组图】,前瞻研究院
719,2021-07-13,商业贸易行业周观点：华熙生物加速生物活性物平台型企业战略落地 美妆代运营商高浪控股启动上市辅导,新浪
720,2021-07-13,纺织服装行业：安踏主品牌发布赢领计划 下半年继续看好板块龙头超额收益,新浪
721,2021-07-13,商业零售行业化妆品2021年上半年复盘与中报业绩前瞻：量价齐升 “价”重于“量” 增速分化,新浪
722,2021-07-13,2021年医药生物中期策略报告：需求长期景气 布局创新、医疗服务和消费主线,新浪
723,2021-07-13,爆发式需求吸引资本涌入，美妆行业还有哪些新机会？,中新经纬
724,2021-07-13,21医美股测评②｜昊海生科：增长乏力，玻尿酸业务与投资并购谁能解困？,21世纪经济报道
725,2021-07-13,化妆品｜价重于量，增速分化：上半年复盘与中报业绩前瞻,中信证券研究
726,2021-07-12,#科创企业探访#华熙生物赵燕：行业发展一定是要众乐乐，企业胜出最终要靠产品力,21世纪经济报道
727,2021-07-12,把玻尿酸注入饮用水，华熙生物进军食品行业,36氪
728,2021-07-12,商业贸易周度观点：雍禾冲刺上市 关注高增长、潜力大、格局佳植发行业,新浪
729,2021-07-12,【开源零售|周视角】同程生活宣告破产，社区团购行业加速出清,泽鹏商业观察
730,2021-07-12,【开源零售|医美化妆品6月月报&半年度回顾：行业延续高景气度，龙头品牌表现优秀】开源零售黄泽鹏团队,泽鹏商业观察
731,2021-07-12,A股资金流向（7月12日）：新能源产业链内部出现分歧,Wind
732,2021-07-12,开启普通食品应用“元年” 透明质酸钠前景能划哪些重点？,投资时报
733,2021-07-12,纺织服装与化妆品行业周报：6月淘系化妆品表现突出、服装鞋包同比下滑,光大证券
734,2021-07-12,财经药点｜上半年国内上市药企市值Top20揭晓，两制药龙头市值一升一降,中国医药报
735,2021-07-12,社会服务行业周报：疫情负面影响缓解 暑期国内旅游景气度稳步提升,新浪
736,2021-07-12,2021年全球玻尿酸行业市场规模与竞争格局分析 华熙生物为全球最大玻尿酸企业,前瞻研究院
737,2021-07-12,食品级透明质酸钠初露锋芒 华熙生物占全球近40%份额,上证报
738,2021-07-12,医药生物行业：十四五开启血制品新成长周期 重点推荐天坛生物、博雅生物等,新浪
739,2021-07-12,玻尿酸入“食”潜力巨大 终局市场规模或可达206亿元,中国商网
740,2021-07-12,一线|华熙生物开拓新增长极：食品级玻尿酸初露锋芒更多功能配料正在路上,财联社
741,2021-07-12,一线|华熙生物：食品级玻尿酸打头阵食品产品和其他功能性食品原料同步研发中,财联社
742,2021-07-11,十六年磨一剑，国产口服玻尿酸的进阶之路,钛媒体
743,2021-07-11,“轻医美”市场即将进入“再生时代”,投资界
744,2021-07-10,“医美茅台”爱美客：7亿营收，1600亿市值，谁疯了？,凤凰网
745,2021-07-10,年后股价涨了94%，华熙生物切入食品赛道抢市场，董事长看好C端利润贡献,华夏时报
746,2021-07-10,华熙生物董事长称今年是玻尿酸食品元年，安全性有效性仍存争议,AI财经社
747,2021-07-10,华熙生物首席科学家郭学平：口服美容是国际趋势，公众认知远远不够,每日经济新闻
748,2021-07-10,华熙生物的高股价会被这家公司终结吗,投中网
749,2021-07-09,共话新“食”机 透明质酸钠在食品领域的应用前景研讨会在济南召开,驱动中国
750,2021-07-09,共话“新食机”，透明质酸的广泛应用将推动食品领域消费升级,DoNews
751,2021-07-09,共话新“食”机 透明质酸钠在食品领域应用潜力巨大,中证网
752,2021-07-09,30亿市场规模 透明质酸获批新食品材料带来的可能,和讯
753,2021-07-09,华熙生物赵燕：今年为透明质酸钠应用于普通食品的元年,e公司
754,2021-07-09,华熙生物：股东赢瑞物源减持246万股，减持数量过半 减持股份,每日经济新闻
755,2021-07-09,华熙生物(688363.SH)股东赢瑞物源减持245.99万股 减持数量过半 减持股份,智通财经
756,2021-07-09,华熙生物：股东赢瑞物源累计减持0.51%股份 减持股份,Wind
757,2021-07-09,探讨产业趋势和方向 透明质酸钠在食品领域的应用前景研讨会正式召开,TechWeb
758,2021-07-08,玻尿酸食品元年开启！市场规模将达200亿,猎云网
759,2021-07-08,与玻尿酸死磕的华熙生物，未来有戏吗？,格隆汇
760,2021-07-08,共话科创板二周年|华熙生物：上市为企业安上腾飞羽翼 将持续创新创造价值,极客网
761,2021-07-08,2023年国内医美市场规模破3000亿元！消费升级下的医美行业如何演变？,新康界
762,2021-07-08,华熙生物(688363.SH)2020年度权益分派10派4.1元 股权登记日为7月15日,格隆汇
763,2021-07-08,共话科创板二周年|华熙生物：上市为企业安上腾飞羽翼将持续创新创造价值,财联社
764,2021-07-08,共话科创板二周年|华熙生物：上市为企业安上腾飞羽翼将持续创新创造价值,科创板日报
765,2021-07-08,收割中国女人 22 年，比茅台还赚钱！最暴利的网红产品，开始对男人下手了,ZAKER
766,2021-07-08,华熙生物(688363.SH)将于7月16日分红 每股派0.41元,智通财经
767,2021-07-08,A股资金流向（7月8日）：新能源龙头持续吸金，金融、白酒遭抛售,Wind
768,2021-07-08,【行情】医美概念持续走弱，国际医学跌超9%，华熙生物、华神科技、鲁商发展跟跌,金十数据
769,2021-07-08,超300家公司落户科创板，“第二家族”生物医药板块成色几何？丨科股宝,钛媒体
770,2021-07-08,【行情】医美板块继续走低，华熙生物跌超5%，苏宁环球、爱美客、哈三联、鲁商发展等跌超3%,金十数据
771,2021-07-08,扎堆进入医美机构赛道，上市公司跨界转型潮涌,Wind
772,2021-07-07,毛利率堪比茅台、行业壁垒坚固，肉毒素能否续写玻尿酸的医美造富神话「颜值经济」,华夏时报
773,2021-07-07,新鲜出炉！医疗器械上市公司半年报业绩一览,医疗器械创新网
774,2021-07-07,科创板日报：80只科创板股公布上半年业预告 45股预增,--
775,2021-07-07,场外首批双创50重磅来袭，能不能投？重磅大咖为你支招！,资本邦
776,2021-07-07,A股资金流向（7月7日）：新能源产业链强者恒强，龙头股获抢筹,Wind
777,2021-07-07,华熙生物接受70家机构调研！短期主力资金净流出，存在资金分歧,每日经济新闻
778,2021-07-07,食品加美妆 “吃”出来的颜值？,亿邦动力
779,2021-07-07,华熙生物天津工厂投产 加速推进生物活性材料平台型战略落地,上证报
780,2021-07-07,草根VS高学历 80后女富人谁最牛？这33个女人赚了10000亿,新财富
781,2021-07-06,7月大消费组电话会议行业观点,新浪
782,2021-07-06,医美行业周报：植发技术标准化 适合民营市场拓展,新浪
783,2021-07-06,医疗美容成为第四大消费热点“颜值经济”大有燎原之势,和讯
784,2021-07-06,谁在利用90后的初老焦虑？,36氪
785,2021-07-06,医美股测评①｜爱美客：玻尿酸独撑超千亿市值，下一个拳头产品在哪？,21世纪经济报道
786,2021-07-06,医药医疗集体回调，医疗器械ETF（159883）跌超4％溢价飙至1.38％！ 交易价格异常,资本邦
787,2021-07-06,医药股集体崩了！这指数跌近9%，5000亿白马闪崩近14%,Wind
788,2021-07-06,“玻尿酸巨头们”都是怎么挣钱的？,奥一网
789,2021-07-06,医美概念早盘重挫主力出逃超26亿元,第一财经
790,2021-07-06,医美概念持续走弱 华熙生物、爱美客跌超8%,e公司
791,2021-07-06,社服零售行业周报：华熙生物21H1收入超预期 6月酒店ADR同比增速放缓 盈利能力下降,新浪
792,2021-07-06,商业贸易行业周观点：九州通与华熙生物达成战略合作 中国中免递交赴港IPO申请,新浪
793,2021-07-06,医药生物行业简评报告：中报期临近 关注业绩预增个股,新浪
794,2021-07-06,【国金晨讯】决胜千“锂”，继续看好拥有锂矿资源公司；生益电子深度：通信PCB龙头谋多元化布局，需求升级迎机会,国金证券研究所
795,2021-07-06,首批双创ETF红盘上市，资金涌向硬核科技,Wind
796,2021-07-05,华熙生物“玻尿酸猫狗粮”每袋仅含4毛钱玻尿酸 宣称核心期刊研究成果证明可“改善犬关节”,中国网
797,2021-07-05,商业贸易行业周报：中报季到来 多家医美与化妆品企业业绩表现较好,华福证券有限责任公司
798,2021-07-05,国金证券维持华熙生物买入评级：营收端超预期增长，功能性护肤品持续放量,每日经济新闻
799,2021-07-05,化妆品行业行业周报：从618数据看化妆品行业新趋势,国金证券股份有限公司
800,2021-07-05,医药生物行业周报：中报预增期来临 关注医药绩优股表现,光大证券
801,2021-07-05,最新中国市值500强：锂电巨头3年跻身万亿俱乐部！这个行业要火？猛增18家500强,21世纪经济报道
802,2021-07-05,纺织服装行业：低基数下多数龙头公司中报业绩值得期待,新浪
803,2021-07-05,商业贸易行业周报：重点公司中报前瞻 关注超市同店改善趋势,新浪
804,2021-07-05,社会服务行业周报：优选景气度高的细分赛道 持续看好医美、美妆行业的高成长,新浪
805,2021-07-05,又有APP栽了！锂电股彻底疯了，1800亿白马涨停,Wind
806,2021-07-05,割肉的要哭了？碾压一大片题材股，大资金抢买这些慢牛股！7股砸出深坑，抄底机会来了？,证券时报
807,2021-07-05,华熙生物涨11%，医美三巨头爆发！医疗ETF（512170）放量拉升,资本邦
808,2021-07-05,双创基金(159783)午盘收涨超0.82%，换手率高达19.99%,资本邦
809,2021-07-05,医疗美容板块走强 华熙生物股价创历史新高,上证报
810,2021-07-05,医美板块走强 华熙生物(688363.SH)大涨超12%,格隆汇
811,2021-07-05,【行情】医美概念股回暖，华熙生物大涨超12%股价涨历史新高，总市值超1500亿，昊海生科、贝泰妮、潮宏基、爱美客等集体涨超5%,金十数据
812,2021-07-05,医美概念表现活跃 华熙生物涨超10%,e公司
813,2021-07-05,华熙生物重销售轻研发？年销售费三年增2.8倍 研发费仅为销售费12%,新浪
814,2021-07-05,信达证券维持华熙生物买入评级：功能性化妆品带动上半年收入业绩高增,每日经济新闻
815,2021-07-05,玻尿酸撑起爱美客千亿市值，押注肉毒素能解其增长焦虑？,猎云网
816,2021-07-05,商贸零售行业周报：物流履约能力关注度持续升温,新浪
817,2021-07-05,玻尿酸的故事太单薄 爱美客8亿“注射”肉毒素,斑马消费
818,2021-07-05,最新中国公司市值500强：13家破万亿！宁德时代、招行挺进前十，还有哪些入围？（名单）,21世纪经济报道
819,2021-07-05,【东吴晨报0705】【策略】【行业】电新【个股】太阳纸业、广大特材、晨光文具、东风股份、柏楚电子、华熙生物、迈为股份、天奈科技,东吴研究所
820,2021-07-05,【社服-刘文正】华熙生物：收入同比翻倍超市场预期，国货之星冉冉升起,安信证券研究
821,2021-07-05,【社服-刘文正】6月化妆品数据GMV环比高增，华熙生物业绩预告Q2收入同比翻倍,安信证券研究
822,2021-07-04,CXO股价调整后是否再次上车机会？持续重点推荐药明康德、凯莱英等,国广有话说
823,2021-07-04,招商证券时尚消费行业2021年中期投资策略：舸争流千帆竞 国货扬帆奋者先,Wind
824,2021-07-04,粤开证券首予华熙生物增持评级：华熙生物：护肤品业务持续走强，食品业务扬帄起航,每日经济新闻
825,2021-07-04,浙商证券维持华熙生物买入评级，华熙生物21H1业绩预告点评：收入超预期，业绩全线向好,每日经济新闻
826,2021-07-04,13股获买入评级 最新:百润股份,中财网
827,2021-07-04,【开源零售|周视角】多家美妆公司发布业绩预告，中报季序幕拉开,泽鹏商业观察
828,2021-07-04,西部证券维持华熙生物买入评级，21H1业绩预告点评：收入超预期，多维驱动未来可期,每日经济新闻
829,2021-07-04,半年报业绩预告陆续出炉！热景生物、东方生物、凯普生物…IVD企业业绩炸裂,medworld器械世界
830,2021-07-03,粤开医药公司点评|华熙生物（688363.SH）：护肤品业务持续走强，食品业务扬帆起航,粤开崇利论市
831,2021-07-02,护肤品助推华熙生物中期营收预增超95% 玻尿酸巨头多元化拓新成趋势,每日经济新闻
832,2021-07-02,上半年净利润预增超30% 华熙生物总市值超1300亿,贝壳财经
833,2021-07-02,华西证券首予华熙生物买入评级，医美系列报告之四：医美产品2021年有望迎来快速放量，功能护肤品持续驱动公司高速增长,每日经济新闻
834,2021-07-02,业绩快报 | 业绩超预期股价爆雷，华熙生物大跌7%，千亿市值龙头难坐稳？,36氪
835,2021-07-02,华熙生物(688363)：业绩增长超预期 战略性加大资源投入,广发证券
836,2021-07-02,玻尿酸正在通过避孕套变现,创业邦
837,2021-07-02,风口医美·监管同行|玻尿酸三巨头大混战，谁是医美赛道下一个茅台？,财华社
838,2021-07-02,光大证券：华熙生物（688363.SH）上半年收入翻番、归母净利润增长超过30%，维持“买入”评级,智通财经
839,2021-07-02,华西证券：华熙生物（688363.SH）全球HA原料供应商龙头，首予“买入”评级,智通财经
840,2021-07-02,综上考虑，两者比较，华熙生物更有可能是时间的朋友。,财华社
841,2021-07-02,医美行业2021年中期投资策略报告：求美不止 拆解产业链上中游竞争要素,新浪
842,2021-07-02,商贸零售2021年7月投资策略：优质赛道亮点纷呈 紧抓龙头优选成长,新浪
843,2021-07-02,华熙生物(688363)2021H1业绩预告点评：四轮驱动 上半年延续高增长态势,新浪
844,2021-07-02,玻尿酸、肉毒素，女人们把这个公司买上市了，市值1700亿,36氪
845,2021-07-02,每日“药”闻|华熙生物半年利润预增30%—40%，不及营收增幅；百利药业四抗获批临床,读懂财经
846,2021-07-02,华熙生物大跌6% 机构：第二季度业绩超预期,第一财经
847,2021-07-02,【行情】医美板块开盘下跌，华熙生物跌超5%，金发拉比跌超4%，贝泰妮、华东医药跌超3%，爱美客、昊海生科、朗姿股份等纷纷下挫,金十数据
848,2021-07-02,医美板块走弱华熙生物跌超5%,格隆汇
849,2021-07-02,华熙生物开盘大跌7.36%，公司预计上半年实现净利润为3.47亿元至3.7,新浪
850,2021-07-02,功能性护肤品业务延续高增长，618大促中表现靓丽,光大证券
851,2021-07-01,纺服及时尚消费2021年度下半年投资策略：行业复苏+国潮深化 本土品牌崛起正当时,新浪
852,2021-07-01,前瞻！华熙生物：预计2021年上半年净利润约3.47亿元至约3.74亿元,每日经济新闻
853,2021-07-01,华熙生物(688363.SH)上半年净利润预增30%-40%,格隆汇
854,2021-07-01,华熙生物：预计上半年净利同比增加30%-40%,财联社
855,2021-07-01,华熙生物：预计上半年净利润同比增长30%至40%,Wind
856,2021-07-01,A股资金流向（7月1日）：银行、地产获资金回流,Wind
857,2021-07-01,华熙生物(688363)：幕后到台前 “技术嫁接”浇灌“HA乔木”茁壮成长,华安证券
858,2021-07-01,A股午盘综述：两市股指小幅下跌，中药板块掀涨停潮,Wind
859,2021-07-01,颜值经济汹涌，爱美客、华熙生物、昊海生科集体走高，颜值担当医疗器械ETF大涨1.79%创上市新高！,资本邦
860,2021-07-01,医美逆市暴走！爱美客、昊海生科、华熙生物股价齐创新高，银河证券：医美时代乘势而至,资本邦
861,2021-07-01,医美概念大幅走高，昊海生科大涨16%，爱美客华熙生物再创新高,证券时报网
862,2021-07-01,华安证券：华熙生物（688363.SH）“技术嫁接”浇灌“HA乔木”茁壮成长，首予“买入”评级,智通财经
863,2021-07-01,华安证券给予华熙生物买入评级，幕后到台前，“技术嫁接”浇灌“HA乔木”茁壮成长,每日经济新闻
864,2021-07-01,中国500最具价值品牌榜单公布 国产护肤品牌快速增长,广州日报
865,2021-06-30,“2021福布斯中国·最佳雇主”年度评选首次发布 华熙生物喜获双项大奖,金融界
866,2021-06-30,电商零售-“618”启示录之品牌篇：美妆头部品牌表现突出 新产品新渠道带来新变化,新浪
867,2021-06-30,网红玻尿酸食品，能火过夏天吗？,联商网
868,2021-06-30,那个开遍大街小巷的美容院克丽缇娜要卖矿泉水了,发现网
869,2021-06-29,纺织服装行业周报：运动服饰终端需求旺盛 医美板块景气上行,新浪
870,2021-06-29,A股资金流向（6月29日）：光伏龙头获青睐,Wind
871,2021-06-29,【重磅调仓提示】三千亿医美巨头尽收囊中，医疗ETF（512170）“颜值”飙升,资本邦
872,2021-06-29,“剁手党”昊海生科买不出春天,格隆汇
873,2021-06-29,付一夫：“女人的茅台”是怎样炼成的？,第一财经
874,2021-06-28,坐拥1600亿市值！买买后！玻尿酸女王欲再上市,器械之家
875,2021-06-28,怡达股份：公司可用于医美行业的产品极少,Wind
876,2021-06-28,华熙生物(688363)：科技赋能夯实基础 四轮驱动助力远航,新浪
877,2021-06-28,商业贸易行业周报：从天猫618会员榜单看国货化妆品品牌私域流量运营能力,华福证券有限责任公司
878,2021-06-28,A股资金流向（6月28日）：短线热门股遭资金抛售,Wind
879,2021-06-28,商贸零售行业动态分析：社服零售中报业绩前瞻：重点把握医美美妆龙头业绩高增行情,新浪
880,2021-06-28,“女人的茅台”再创新高！A股含“美”量最高ETF（159883）大涨2.41%亦创上市新高！,资本邦
881,2021-06-28,2020年玻尿酸行业：“多元应用”拓宽行业边界龙头“疫”路强势领跑,经济网
882,2021-06-28,【银河晨报】6.28丨策略：7月成长大于估值，看好涨价资源、中国优势制造和科技,中国银河证券研究
