,2021-12-31,中国CXO行业跟踪报告,周观宇论
612,2021-06-23,康龙化成：股东君联闻达和君联茂林合计减持约1677万股，时间已过半 减持股份,每日经济新闻
613,2021-06-23,康龙化成：股东君联闻达、君联茂林合计减持公司2.11%股份 减持股份,Wind
614,2021-06-23,康龙化成：公司正在通过海外并购和合作，掌握细胞和基因疗法的先进技术,Wind
615,2021-06-23,康龙化成：公司正在通过海外并购和合作，掌握细胞和基因疗法的先进技术，以逐步完善细胞和基因疗法服务平台,每日经济新闻
616,2021-06-23,【异动股】康龙化成(03759.HK)涨3.24%,财华社
617,2021-06-23,医药股在香港集体爆发 行业多重利好催化审评审批效率提速,新浪
618,2021-06-23,中泰证券：药品审评审批“速”“质”提升，全面利好医药行业发展,证券时报网
619,2021-06-23,CXO行业成医药基金宠儿,Wind
620,2021-06-22,中药龙头比茅台多涨16倍！看A股优质稀缺龙头30强,Wind
621,2021-06-22,300多家机构刚调研完，这只千亿市值龙头股就创历史新高！,Wind
622,2021-06-22,《2020年度药品审评报告》解读：药品审评审批“速”“质”提升 全面利好医药行业发展,新浪
623,2021-06-22,JPMorgan Chase & Co.增持康龙化成股份约134.53万股,每日经济新闻
624,2021-06-22,康龙化成(300759.SZ)2020年度权益分派10派3元 股权登记日为6月29日,格隆汇
625,2021-06-22,康龙化成(300759.SZ)拟实施每10股派3元 于6月30日除权除息,智通财经
626,2021-06-22,康龙化成今日大宗交易成交30万股，成交价208.05元折价1.4%,Wind
627,2021-06-22,医药行业周报：关注国产色谱填料领军企业纳微科技,新浪
628,2021-06-22,JPMorgan Chase & Co.增持康龙化成股份约118.39万股,每日经济新闻
629,2021-06-21,"康龙化成现2笔大宗交易 共成交6,151.80万元",新浪
630,2021-06-21,康龙化成今日大宗交易成交30万股，成交价205.06元折价1.4%,Wind
631,2021-06-21,康龙化成：将于7月7日至7月12日暂停办理H股股份过户登记手续,Wind
632,2021-06-21,A股收盘综述：军工、科技热度不减，权重股继续低迷,Wind
633,2021-06-21,【异动股】康龙化成(03759.HK)涨3.86%,财华社
634,2021-06-21,医药生物行业周报：医疗服务会是下半年医药最强音么？强调重视康复医疗赛道,新浪
635,2021-06-19,医药行业周报：国内首个CAR-T即将获批 如何看CGT领域未来？,新浪
636,2021-06-18,康龙化成：完成发行3亿美元可转债及人民币19.16亿元的美元结算可转债,财联社
637,2021-06-18,医药生物行业2021年下半年投资策略：短期有扰动 长期发展趋势向好,新浪
638,2021-06-18,康龙化成现2笔大宗交易合计成交30.00万股,证券时报网
639,2021-06-18,康龙化成(03759)预期3亿美元零息债券及19.16亿元零息美元结算债券将于6月21日上市及买卖,智通财经
640,2021-06-18,康龙化成：完成发行3亿美元零息可转换债券等,Wind
641,2021-06-18,康龙化成(03759.HK)完成发行3亿美元及19.16亿元债券,格隆汇
642,2021-06-18,【权益变动】康龙化成(03759.HK)被瑞银减持79.61万股 减持股份,财华社
643,2021-06-18,"康龙化成现2笔大宗交易 共成交5,792.70万元",新浪
644,2021-06-18,康龙化成今日大宗交易成交30万股，成交价193.09元折价1.4%,Wind
645,2021-06-18,JPMorgan Chase & Co.增持康龙化成股份约331.88万股,每日经济新闻
646,2021-06-18,【异动股】康龙化成(03759.HK)涨3.59%,财华社
647,2021-06-17,康龙化成接受9家机构调研！短期主力资金净流入，市场资金早已察觉,每日经济新闻
648,2021-06-17,生物制药板块异动，多只个股走高,制药网
649,2021-06-17,【异动股】康龙化成(03759.HK)涨4.07%,金融界
650,2021-06-17,港股康龙化成涨超5%，现报186.2港元。,新浪
651,2021-06-16,JPMorgan Chase & Co.增持康龙化成股份约24.31万股,每日经济新闻
652,2021-06-16,【异动股】康龙化成(03759.HK)跌4.9%,财华社
653,2021-06-16,【行情】CRO板块个股集体调整，康龙化成大跌5%，昭衍新药、凯莱英、药明康德、泰格医药等个股均跌超4% 连续下跌,金十数据
654,2021-06-16,快讯：CRO板块个股集体调整康龙化成大跌5% 连续下跌,财联社
655,2021-06-16,医药行业基本面强劲，估值全面提升，关注五条投资主线,国泰君安
656,2021-06-15,太平洋--医药行业周报：重点推荐丽珠集团和我武生物【行业研究】,金融界股吧
657,2021-06-14,安信证券维持康龙化成买入评级：发布股权激励计划，为中长期稳健成长奠定坚实基础,每日经济新闻
658,2021-06-13,医药与健康护理行业周报：鼻喷雾式/吸入型新冠疫苗正在申请紧急使用,新浪
659,2021-06-13,5178点6周年，个股剧烈分化，茅台涨890%称王,Wind
660,2021-06-11,【权益变动】康龙化成(03759.HK)获摩根大通增持16.9863万股,财华社
661,2021-06-11,康龙化成(300759)：发布股权激励草案 彰显持续稳健发展信心,新浪
662,2021-06-11,JPMorgan Chase & Co.增持康龙化成股份约16.99万股,每日经济新闻
663,2021-06-11,"康龙化成现2笔大宗交易 共成交5,868.00万元",新浪
664,2021-06-11,康龙化成今日大宗交易成交30万股，成交价195.6元折价1.4%,Wind
665,2021-06-11,【异动股】康龙化成(03759.HK)涨3.01%,财华社
666,2021-06-11,康龙化成(300759)：推出股票激励计划保障长期健康发展,新浪
667,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
668,2021-06-11,格隆汇沽空预警榜|6月9日,格隆汇
669,2021-06-10,康龙化成现2笔大宗交易总成交金额5721.00万元,证券时报网
670,2021-06-10,"康龙化成现2笔大宗交易 共成交5,721.00万元",新浪
671,2021-06-10,康龙化成今日大宗交易成交30万股，成交价190.7元折价1.4%,Wind
672,2021-06-10,摩根大通减持康龙化成(03759)约82.19万股，每股作价182.3329港元 减持股份,智通财经
673,2021-06-10,【异动股】康龙化成(03759.HK)涨3.05%,财华社
674,2021-06-10,恒瑞医药今日除权一度大涨超5%，康龙化成、美迪西、凯莱英等创新药个股跟涨,Wind
675,2021-06-09,康龙化成(03759.HK)建议削减注册资,格隆汇
676,2021-06-09,康龙化成(03759)建议采纳2021年A股限制性股票激励计划 授出77.42万股A股,智通财经
677,2021-06-09,康龙化成(03759.HK)拟采纳2021年A股限制性股票激励计划,格隆汇
678,2021-06-09,康龙化成：拟推2021年A股限制性股票激励计划,财联社
679,2021-06-09,康龙化成(300759.SZ)：拟授予激励对象77.42万股限制性A股,格隆汇
680,2021-06-09,康龙化成(300759.SZ)拟授出77.42万股A股限制性股票 每股授予价为70.47元,智通财经
681,2021-06-09,康龙化成：拟向激励对象204人授予限制性股票77.42万股,每日经济新闻
682,2021-06-09,【权益变动】康龙化成(03759.HK)被摩根大通减持82.1912万股 减持股份,财华社
683,2021-06-09,JPMorgan Chase & Co.减持康龙化成股份约82.19万股,每日经济新闻
684,2021-06-09,康龙化成：拟发行300百万美元于2026年到期的零息可转换债券及人民币1916百万元于2026年到期的美元结算零息可转换债,上证报
685,2021-06-09,康龙化成：拟发行3亿美元及19.16亿元人民币可转换债券,中证网
686,2021-06-09,港股盘前必读：“金融科技2025”策略公布，世界银行上调经济增长预期,Wind
687,2021-06-09,康龙化成(300759.SZ)拟发行300百万美元第一批债券及1916百万元第二批债券,智通财经
688,2021-06-09,康龙化成(03759.HK)建议分别发行3亿美元与19.16亿人民币换股债,财华社
689,2021-06-09,康龙化成：拟发行3亿美元于2026年到期的零息可转换债券,Wind
690,2021-06-08,【权益变动】康龙化成(03759.HK)获摩根大通增持77.0648万股,财华社
691,2021-06-08,小摩增持康龙化成(03759)约77.1万股，每股作价约182.26港元,智通财经
692,2021-06-08,JPMorgan Chase & Co.增持康龙化成股份约77.06万股,每日经济新闻
693,2021-06-08,康龙化成：拟发行可转换为H股的美元可转债和人民币计值美元结算可转债,财联社
694,2021-06-08,康龙化成(300759.SZ)拟向专业投资者发行H股美元可转债,智通财经
695,2021-06-08,康龙化成(03759)拟发行可转换债券,智通财经
696,2021-06-08,康龙化成(300759.SZ)：拟发行可转换为H股的美元可转债和人民币计值美元结算可转债,格隆汇
697,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
698,2021-06-07,医疗健康行业：板块表现分化 关注国际化创新和消费升级,新浪
699,2021-06-07,2025年，这一医药市场将超2000亿美元,制药网
700,2021-06-07,医药生物行业周报：如何从大品种价值理解前沿生物？,新浪
701,2021-06-07,医药与健康护理行业周报：广东地区疫情反复 核酸检测需求大增,新浪
702,2021-06-07,“A+H”双融资平台即将打通中集车辆戴维斯双击时刻来临,财华社
703,2021-06-07,创业板指跌幅扩大至1%，宁德时代等多只权重股大跌,Wind
704,2021-06-03,【权益变动】康龙化成(03759.HK)被摩根大通减持22.3256万股 减持股份,财华社
705,2021-06-03,JPMorgan Chase & Co.减持康龙化成股份约22.33万股 减持股份,每日经济新闻
706,2021-06-03,FMR LLC增持康龙化成(03759)7.42万股 每股作价181.9023港元,智通财经
707,2021-06-02,创业板50成份股调整，新增了哪些大明星？,魔都资产管理人
708,2021-06-02,【权益变动】康龙化成(03759.HK)获FMRLLC增持7.42万股,财华社
709,2021-06-02,新高在即减持加码，82公司5月净减持超亿元,Wind
710,2021-06-02,【异动股】康龙化成(03759.HK)跌3.01%,财华社
711,2021-06-02,医药生物行业2020年年报及2021年一季报综述：行业业绩恢复性增长 持续看好创新药等高景气领域,新浪
712,2021-06-01,百诚医药：业务规模小且集中，需关注仿制药一致性评价业务放缓风险,面包财经
713,2021-06-01,医疗健康行业：中金医药月度10+7组合：2021年6月组合,新浪
714,2021-06-01,医药生物月报：“三胎”“七普”相继发布 医药空间广阔 继续把握赛道布局、大小兼备的思路,新浪
715,2021-06-01,JPMorgan Chase & Co.增持康龙化成股份约32.13万股,每日经济新闻
716,2021-06-01,"康龙化成现2笔大宗交易 共成交5,552.70万元",新浪
717,2021-06-01,医药与健康护理行业月报：国内疫情防控新阶段 跟进检测需求和疫苗接种情况,新浪
718,2021-06-01,医药龙头普遍回暖走高，通策医疗大涨5%,Wind
719,2021-05-31,一季度，大批CRO企业业绩超预期,制药网
720,2021-05-31,【权益变动】康龙化成(03759.HK)获贝莱德增持98.2万股,财华社
721,2021-05-31,康龙化成股东大会见闻,雪球
722,2021-05-31,医药周报：骨修复材料市场增速近20% 人工材料为骨移植的新选择,新浪
723,2021-05-31,【异动股】康龙化成(03759.HK)涨3.39%,财华社
724,2021-05-31,八大券商主题策略：医药板块兼具科技加消费属性！未来3-5年是国产疫苗的黄金时代,中金在线
725,2021-05-31,医药行业周报：医药成“策略”投资 个股重视变化,新浪
726,2021-05-30,板块拾金|一天一个样！新能源、半导体、金融...轮动市到底看谁？策略收好！,第一财经
727,2021-05-30,国君策略：何不同风起，挑战四千点,Wind
728,2021-05-28,康龙化成：拟每10股派发现金红利3元,Wind
729,2021-05-28,康龙化成(03759)拟每10股派发现金红利3元,智通财经
730,2021-05-28,聚焦中盘蓝筹：国君策略“挑战四千点”金股组合,新浪
731,2021-05-28,康龙化成与新湾科技订立2021委托实验研究框架协议,Wind
732,2021-05-28,康龙化成(03759)与新湾科技订立2021委托实验研究框架协议,智通财经
733,2021-05-28,康龙化成(03759.HK)拟向新湾科技提供医药研发、制造、临床研究及其他技术服务,格隆汇
734,2021-05-28,关于核准康龙化成（北京）新药技术股份有限公司增发可转换为境外上市外资股（H股）的公司债券的批复,证监会
735,2021-05-28,细胞和基因治疗CDMO,动脉新医药
736,2021-05-28,A股收盘综述：上证指数止步四连阳，锂电池概念爆发,Wind
737,2021-05-28,【异动股】康龙化成(03759.HK)跌3.52%,财华社
738,2021-05-28,【行情】医药股午后快速跳水，美迪西、博腾股份、康龙化成、昭衍新药等多只个股午后走弱,金十数据
739,2021-05-28,CRO板块午后跳水，美迪西闪崩大跌8%,Wind
740,2021-05-27,大盘站上3600点！国君高呼：蓝筹空间打开,Wind
741,2021-05-27,深港通十大成交活跃股排名（5月27日）,Wind
742,2021-05-27,什么信号？茅台1笔被砸4.35亿！外资猛灌470亿,Wind
743,2021-05-27,JPMorgan Chase & Co.减持康龙化成股份约9.51万股 减持股份,每日经济新闻
744,2021-05-27,"康龙化成现2笔大宗交易 共成交5,609.40万元",新浪
745,2021-05-27,康龙化成：君联闻达和君联茂林减持公司808万股A股 减持股份,新浪
746,2021-05-27,康龙化成今日大宗交易成交30万股，成交价186.98元折价1.4%,Wind
747,2021-05-27,多只中大盘股尾盘集合竞价大幅波动,Wind
748,2021-05-27,诺威健康递表港交所，CRO行业格局生变？,格隆汇
749,2021-05-27,从外资近期净流入和持仓风格变化角度：目前依然是核心资产牛市的延续而非普涨牛市,新浪
750,2021-05-27,【医药生物*朱国广】CXO行业跟踪报告：行业维持高景气，龙头公司空间广阔,东吴研究所
751,2021-05-26,晚间重要公告2021年5月26日星期三,Wind
752,2021-05-26,康龙化成：君联闻达和君联茂林累计减持公司1.02股份 减持股份,e公司
753,2021-05-26,康龙化成：君联闻达和君联茂林累计减持808万股 减持股份,每日经济新闻
754,2021-05-26,康龙化成：近日股东君联闻达和君联茂林减持公司总股本1.02% 减持股份,第一财经
755,2021-05-26,康龙化成：股东君联闻达及其一致行动人减持1% 减持股份,Wind
756,2021-05-26,【异动股】康龙化成(03759.HK)涨3.24%,财华社
757,2021-05-25,注册制新股纵览：皓元医药：小分子药物研发服务及产业化一体化知名企业,新浪
758,2021-05-25,"康龙化成现2笔大宗交易 共成交7,371.60万元",新浪
759,2021-05-25,康龙化成今日大宗交易成交40万股，成交价184.29元折价1.4%,Wind
760,2021-05-24,【异动股】康龙化成(03759.HK)跌3.9%,金融界
761,2021-05-24,海通证券研究所早报,新浪
762,2021-05-22,医疗保健提供商与服务行业专题报告：CXO行业2020&2021Q1复盘,新浪
763,2021-05-21,5月21日晚间重要行业研究汇总(附股),中金在线
764,2021-05-21,康龙化成：未看到印度疫情对行业以及公司业务产生影响,Wind
765,2021-05-21,医药生物行业2020年及2021年一季度业绩综述：2020年营收增速有所下降 2021Q1业绩大幅回升,新浪
766,2021-05-21,智通港股股东权益披露|5月21日,智通财经
767,2021-05-20,康龙化成现4笔大宗交易合计成交40.00万股,证券时报网
768,2021-05-20,"康龙化成现4笔大宗交易 共成交7,133.20万元",新浪
769,2021-05-20,【异动股】康龙化成(03759.HK)涨3.57%,财华社
770,2021-05-19,CXO2020年报及2021一季报总结：CXO向好 CDMO行业进入加速期,新浪
771,2021-05-19,泡沫？国内CXO巨头营收仅为昆泰的1/4，市值却位列全球第一，凭什么？,瞪羚社
772,2021-05-19,"康龙化成现3笔大宗交易 共成交5,025.60万元",新浪
773,2021-05-19,康龙化成今日大宗交易成交30万股，成交价167.52元折价1.4%,Wind
774,2021-05-19,融资客青睐7股，上实发展买入占比高达33.24%,Wind
775,2021-05-18,CXO板块2020年度总结：2020回顾与2021展望,医药研选
776,2021-05-18,"康龙化成现4笔大宗交易 共成交8,519.00万元",新浪
777,2021-05-18,康龙化成今日大宗交易成交50万股，成交价170.38元折价1.4%,Wind
778,2021-05-18,医药行业“卖水者”的淘金路——加大研发投入,中国医药报
779,2021-05-18,CRO上市公司，股权激励哪家强？,医药魔方
780,2021-05-17,康龙化成今日大宗交易成交80万股，成交价173.93元折价1.4%,Wind
781,2021-05-17,康龙化成升近4% 逼近高位,新浪
782,2021-05-17,【异动股】康龙化成(03759.HK)涨3.97%,财华社
783,2021-05-17,康龙化成AH股齐升A股升超4%创历史新高,格隆汇
784,2021-05-17,医药周报：业绩空窗期 建议重点关注高壁垒好赛道估值合理个股,新浪
785,2021-05-15,【浙商|孙建】周报：看好CDMO行业进入业绩加速期,杏林建研
786,2021-05-14,A股医药生物公司研发实力排行榜：恒瑞医药、复星医药、君实生物研发投入居前三，药明康德研发人员数量最多,华夏时报
787,2021-05-14,"康龙化成现4笔大宗交易 共成交8,430.00万元",新浪
788,2021-05-14,康龙化成(03759.HK)获摩根大通增持7.72万股,格隆汇
789,2021-05-13,JPMorgan Chase & Co.增持康龙化成股份约7.72万股,每日经济新闻
790,2021-05-13,【权益变动】康龙化成(03759.HK)获摩根大通增持7.7166万股,财华社
791,2021-05-13,"康龙化成现4笔大宗交易 共成交8,393.50万元",新浪
792,2021-05-13,医药生物行业CXO系列报告之四：一季报表现优异 投融资数据靓丽 持续看好CXO赛道,新浪
793,2021-05-13,康龙化成5月12日现4笔大宗交易,证券时报网
794,2021-05-12,9只创新高股获主力资金抢筹凯莱英净流入资金居首,第一财经
795,2021-05-12,大跌82%，市值蒸发逾3400亿，科技龙头再创新低！大消费板块牛股频现，能否持续跑赢大盘？ 连续下跌,证券时报网
796,2021-05-12,康龙化成发生4笔大宗交易合计成交1.19亿元,证券时报网
797,2021-05-12,药明、康龙、泰格、昭衍4家“A+H”股CRO业绩大涨，中国企业增长超越全球TOP5,MedTrend医趋势
798,2021-05-12,"康龙化成现4笔大宗交易 共成交11,897.90万元",新浪
799,2021-05-12,小摩减持康龙化成(03759)约7.46万股，每股作价约150.79港元 减持股份,智通财经
800,2021-05-12,康龙化成涨近7% A股获纳入MSCI中国A股指数,新浪
801,2021-05-12,港股异动 | 康龙化成(03759)H股涨超8% A股获纳入MSCI中国A股指数创历史新高,智通财经
802,2021-05-12,中国策略简评-MSCI中国半年度调整：新增60只、剔除21只,新浪
803,2021-05-12,医疗板块午后强势上涨,Wind
804,2021-05-12,康龙化成(300759.SZ)拉升涨近5%创上市新高 获纳入MSCI中国A股指数,格隆汇
805,2021-05-12,【异动股】康龙化成(03759.HK)涨5.89%,财华社
806,2021-05-12,刚刚，MSCI公布最新调整！5只科创板股票进入旗舰指数系列,Wind
807,2021-05-12,中泰证券：国内CRO/CDMO行业全面恢复，把握具备长期成长性的板块优质公司,证券时报网
808,2021-05-12,康龙化成(03759.HK)遭摩根大通减持7.46万股 减持股份,格隆汇
809,2021-05-11,【权益变动】康龙化成(03759.HK)被摩根大通减持7.4586万股 减持股份,财华社
810,2021-05-11,"康龙化成现4笔大宗交易 共成交11,374.30万元",新浪
811,2021-05-11,小摩增持康龙化成(03759)约13.64万股，每股作价约145.79港元,智通财经
812,2021-05-11,JPMorgan Chase & Co.减持康龙化成股份约7.46万股 减持股份,每日经济新闻
813,2021-05-11,康龙化成今日大宗交易成交70万股，成交价162.49元折价1.4%,Wind
814,2021-05-11,康龙化成(03759.HK)获摩根大通增持13.64万股,格隆汇
815,2021-05-10,康龙化成(03759.HK)151万股限售股将于5月13日解禁 解禁,格隆汇
816,2021-05-10,康龙化成(300759.SZ)：150.93万股限售股将于5月13日上市流通 解禁,智通财经
817,2021-05-10,康龙化成：约150.93万股限售股5月13日解禁，占比0.19% 解禁,每日经济新闻
818,2021-05-10,【权益变动】康龙化成(03759.HK)获摩根大通增持13.6398万股,财华社
819,2021-05-10,JPMorgan Chase & Co.增持康龙化成股份约13.64万股,每日经济新闻
820,2021-05-10,康龙化成今日大宗交易成交60万股，成交价159.27元折价1.4%,Wind
821,2021-05-10,【异动股】康龙化成(03759.HK)涨5.55%,财华社
822,2021-05-07,康龙化成(03759)：君联闻达和君联茂林减持公司股份798.95万股 减持股份,智通财经
823,2021-05-07,"康龙化成现4笔大宗交易 共成交10,628.80万元",新浪
824,2021-05-07,康龙化成今日大宗交易成交70万股，成交价151.84元折价1.4%,Wind
825,2021-05-07,康龙化成：股东累计减持1.01%公司股份 减持股份,中证网
826,2021-05-07,康龙化成：股东君联闻达和君联茂林减持约799万股，占比达1% 减持股份,每日经济新闻
827,2021-05-07,康龙化成(300759.SZ)股东君联闻达及其一致行动人累计减持798.95万股 减持股份,智通财经
828,2021-05-07,康龙化成(300759.SZ)：君联闻达和君联茂林已减持1.01%的股份 减持股份,格隆汇
829,2021-05-07,康龙化成：持股5%以上股东及其一致行动人股份减持比例达到1% 减持股份,Wind
830,2021-05-07,康龙化成(300759)：一季度延续业绩高增速 产能加速释放,新浪
831,2021-05-07,【预见】6.34亿股解禁潮来袭！股价已飙涨10倍的药明康德会被砸吗？ 解禁,财华社
832,2021-05-07,29股获券商买入评级 奥园美谷目标涨幅达75.74%,Wind
833,2021-05-07,康龙化成(03759.HK)遭摩根大通减持25.53万股 减持股份,格隆汇
834,2021-05-07,美银证券：上调康龙化成目标价至220港元 评级买入,金融界
835,2021-05-06,康龙化成现4笔大宗交易总成交金额6227.60万元,证券时报网
836,2021-05-06,JPMorgan Chase & Co.减持康龙化成股份约25.53万股 减持股份,每日经济新闻
837,2021-05-06,【权益变动】康龙化成(03759.HK)被摩根大通减持25.5297万股 减持股份,财华社
838,2021-05-06,每日大行评级丨目标价看涨65%！汇丰看高港交所至575港元,金融界
839,2021-05-06,东莞证券维持康龙化成推荐评级：Q1主营大幅增长，产能扩张如火如荼,每日经济新闻
840,2021-05-06,"康龙化成现4笔大宗交易 共成交6,227.60万元",新浪
841,2021-05-06,医药行业2020年年报及2021年一季报总结：Q1业绩复苏回暖 看好CXO、疫苗、创新器械和服务等高景气板块,西南证券
842,2021-05-06,【异动股】康龙化成(03759.HK)涨3.45%,财华社
843,2021-05-06,浦银国际证券给予康龙化成买入评级：1Q21利润翻番，积极布局逐步显现完整业务版图，目标价200元,每日经济新闻
844,2021-05-06,港股异动 | 康龙化成(3759.HK)涨超5% 获投行唱好,格隆汇
845,2021-05-06,港股盘前必读：香港交易所对有关提高主板上市前盈利要求的计划做出让步,Wind
846,2021-05-05,美银证券：维持康龙化成(03759)“买入”评级 目标价上调9.5%至220港元,智通财经
847,2021-05-05,【异动股】康龙化成(03759.HK)跌6.39%,财华社
848,2021-05-04,【异动股】康龙化成(03759.HK)跌5.33%,财华社
849,2021-05-04,【行情】港股医药股终止连日涨势，复星医药跌3.9%，康龙化成跌3.6%，药明生物跌2.6%，药明康德跌2.2%，君实生物跌1.5%,金十数据
850,2021-05-03,CRO公司2020年业绩大比拼：药明康德收入最高，泰格医药员工最能赚钱,同写意
851,2021-04-30,"康龙化成现4笔大宗交易 共成交14,392.80万元",新浪
852,2021-04-30,康龙化成今日大宗交易成交90万股，成交价159.92元折价1.4%,Wind
853,2021-04-30,华金证券维持康龙化成增持评级：一季度延续业绩高增速，产能加速释放,每日经济新闻
854,2021-04-30,CXO公司2020年成绩单：“药明系”摘得多项桂冠，泰格医药人均创利最高,艾美达行业研究
855,2021-04-30,康龙化成(300759)：业绩略超预期 预计维持高景气,新浪
856,2021-04-29,国盛证券维持康龙化成买入评级：一季报业绩超预期，盈利能力持续提升,每日经济新闻
857,2021-04-29,【权益变动】康龙化成(03759.HK)获摩根大通增持29.1518万股,财华社
858,2021-04-29,"康龙化成现5笔大宗交易 共成交15,460.30万元",新浪
859,2021-04-29,渤海证券给予康龙化成增持评级，季报点评：业绩稳健增长，临床研究服务比重持续提升,每日经济新闻
860,2021-04-29,葛兰豪掷10亿加仓！这家CXO交出超预期业绩，要跟老大药明抢位置？,瞪羚社
861,2021-04-29,JPMorgan Chase & Co.增持康龙化成股份约29.15万股,每日经济新闻
862,2021-04-29,康龙化成(300759)：业绩稳健增长 临床研究服务比重持续提升,渤海证券
863,2021-04-29,【康龙化成|一季度点评】业绩继续快速增长，盈利能力不断提升【安信医药马帅团队】,医药马帅团队
864,2021-04-29,【浙商|孙建】康龙化成：略超预期，看好盈利能力持续提升趋势,杏林建研
865,2021-04-29,康龙化成(03759.HK)首季盈利增1.4倍,财华社
866,2021-04-29,港股盘前必读：港交所承认正研究SPAC上市机制最快在6月底前咨询市场,Wind
867,2021-04-28,康龙化成(03759)应用套期会计,智通财经
868,2021-04-28,康龙化成(03759.HK)2021年第一季净利2.46亿元 同比增加142.20%,格隆汇
869,2021-04-28,康龙化成：一季度净利润同比增长142.2%,Wind
870,2021-04-28,医疗健康行业：一季度医药板块配置环比增加 二季度主线有望进一步多元化,新浪
871,2021-04-28,美女基金经理扭亏“梦圆”：曾10天亏22%被“群嘲”,证券之星
872,2021-04-28,港股盘前必读：汇丰控股一季度列账基准除税后利润增加82%达46亿美元,Wind
873,2021-04-28,美女基金经理大逆袭！上任10天巨亏20%被“群嘲”，如今成功反击,Wind
874,2021-04-27,【异动股】康龙化成(03759-HK)涨5.07%,财华社
875,2021-04-26,【异动股】康龙化成(03759-HK)跌3.08%,财华社
876,2021-04-26,CRO板块集体下挫，科创板美迪西跌超10%,Wind
877,2021-04-26,八大券商主题策略：深度挖掘疫苗产业链机会 核心资产标的名单曝光,中金在线
878,2021-04-25,国内医药界的“卖水人”正处十年黄金期，未来仍有8-12倍收入提升空间！,和讯
879,2021-04-23,【异动股】康龙化成(03759-HK)涨4.24%,财华社
880,2021-04-21,【行情】港股医药外包概念股短线异动走高，药明生物跌幅缩窄至1.2%，康龙化成跌幅缩窄至0.5%，药明康德涨0.12%，金斯瑞生物科技涨3.3%,金十数据
881,2021-04-21,北向资金缘何屡屡踏准节奏？今年已净买入1350亿,Wind
882,2021-04-20,港股医药生物板块全线上扬，多只个股涨超3%,制药网
883,2021-04-19,FMR LLC减持康龙化成(03759)10.01万股，每股作价约144.3港元 减持股份,智通财经
884,2021-04-19,【权益变动】康龙化成(03759-HK)被FMRLLC减持10.01万股 减持股份,财华社
885,2021-04-19,【异动股】康龙化成(03759-HK)涨4.08%,财华社
886,2021-04-19,【医药-马帅】康龙化成：全球竞争优势凸显，一体化研发平台驱动持续发展,安信证券研究
887,2021-04-16,康龙化成(03759.HK)：实控人的一致行动人龙泰康及北京多泰合计质押163.5万股,格隆汇
888,2021-04-16,康龙化成(03759):龙泰康质押63.5万股公司股份,智通财经
889,2021-04-16,康龙化成(300759.SZ)股东龙泰康和北京多泰合计质押163.5万股,智通财经
890,2021-04-15,浙商证券--康龙化成:稀缺的一体化服务全球CXO龙头【公司研究】,金融界股吧
891,2021-04-14,康龙化成(03759.HK)4月28日举行董事会议审批一季度业绩,格隆汇
892,2021-04-14,8000亿巨头爆发，更有狂拉50%！顶流基金经理重仓股三跌停,Wind
893,2021-04-14,瑞银：升康龙化成(03759)目标价至226港元 评级“买入”,智通财经
894,2021-04-14,恒瑞医药跳水引发连锁反应，多只医药白马短线走低,Wind
895,2021-04-13,【权益变动】康龙化成(03759-HK)获FMRLLC增持28.7201万股,财华社
896,2021-04-12,【异动股】康龙化成(03759-HK)跌4.32%,财华社
897,2021-04-12,康龙化成2020年净利润增速114%领跑行业 CRO板块向好三大龙头市值合计5760亿元,长江商报
898,2021-04-12,QFII投资图谱徐徐揭开面纱，四季度新进93股,Wind
899,2021-04-10,券商首次关注5股并给予买入评级（4月10日）,Wind
900,2021-04-10,盈亚证券咨询抱团股集体反弹，春天要来了？碳中和持续活跃,搜狐
901,2021-04-09,毛利与净利双升！一个更具成长性的“CXO老二”？,瞪羚社
902,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
903,2021-04-08,突发！超级热门股炸出“天地板”， 机构紧急出逃！,中国基金报
904,2021-04-08,摩根大通增持康龙化成（03759）约10.31万股，每股作价约148.54港元,智通财经
905,2021-04-08,5连板后，超级热门股突然炸出“天地板”， 机构紧急出逃！ CRO板块迎利好，业绩爆棚的概念股来了（附名单）,证券时报网
906,2021-04-08,富途研选|康龙化成毛利率和净利率齐升，未来更具高成长性,富途证券
907,2021-04-08,港股异动|康龙化成(3759.HK)涨超6%获摩通增持10.31万股,格隆汇
908,2021-04-08,【异动股】康龙化成(03759-HK)涨4.2%,财华社
909,2021-04-08,JPMorgan Chase & Co.增持康龙化成股份约10.31万股,每日经济新闻
910,2021-04-08,医药生物行业：医疗体系运行常态化 看好一季度业绩表现,广发证券
911,2021-04-08,医药生物行业周报：估值修复中 关注Q1有望超预期的CXO板块,新浪
912,2021-04-07,【权益变动】康龙化成(03759-HK)获摩根大通增持10.3102万股,财华社
913,2021-04-07,康龙化成：收购一间中国实验动物公司控股权,e公司
914,2021-04-07,康龙化成(300759)：2020年保持高速增长 细胞基因治疗加快布局,广发证券
915,2021-04-07,医药股尾盘回暖，片仔癀大涨7%,Wind
916,2021-04-07,每日理财观察：滴滴正式启动造车,Wind
917,2021-04-06,医药生物行业：为什么说智飞生物二季度有望迎来亮眼表现？,新浪
