,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
589,2020-12-28,水皮：【谈股论金】上帝欲使其灭亡，必先使其疯狂,华夏时报
590,2020-12-28,42股主力资金净流入超亿元,证券时报网
591,2020-12-28,12月28日复盘：春季行情蠢蠢欲 主力重点出击8股,新浪
592,2020-12-28,12月28日午盘两市净流入前20股(名单),金融界
593,2020-12-28,12月28日早盘两市净流入前20股(名单),金融界
594,2020-12-28,阿里巴巴概念指数探底回升，芒果超媒涨超8%,Wind
595,2020-12-26,2020年营业部资金流向揭秘 汽车题材受青睐,第一财经
596,2020-12-25,安达集团“二选一”：安达保险拟注销，或并入华泰财险,资本邦
597,2020-12-25,安达中国财险业务将并入华泰财险 双方将采取平稳过渡方式,21世纪经济报道
598,2020-12-25,行业观察|“禁塑令”让可降解材料迎机遇，引上市公司纷纷布局，业内人士：行业规模或超800亿元,财联社
599,2020-12-23,化工行业读财报系列之一：从化工龙头资本开支探寻成长性,新浪
600,2020-12-23,机构看好大宗商品后续行情 北上资金增持相关题材股,证券时报
601,2020-12-23,机构看好大宗商品后续行情 北上资金增持概念股,证券时报
602,2020-12-20,石油化工新材料行业北上资金周报,新浪
603,2020-12-18,104股遭陆股通减持超100万股 减持股份,证券时报网
604,2020-12-16,【中原化工】基础化工行业月报：行业景气提升，关注制冷剂、农药和染料板块,中原证券研究所
605,2020-12-15,北向资金增仓榜：60股持股量环比增加超50%,证券时报网
606,2020-12-14,牛股启蒙：跌停有点多，这说明什么，跌到极致是机会么,新浪
607,2020-12-13,【国君金工】盈利确认将成为新的交易点,辰奥临君
608,2020-12-11,PVC价格，创9年新高！概念股名单来了,中国基金报
609,2020-12-11,PVC价格续创9年新高：明年供需或维持紧平衡 概念股出炉（附股）,新浪
610,2020-12-09,生意社热点商品发现（2020年12月9日）,生意社
611,2020-12-08,牛股启蒙：核按钮和地天板，再天地板，不讲股德的年代,新浪
612,2020-12-08,博晖创新：回复深交所《重组问询函》 问询,Wind
613,2020-12-06,石油石化、基础化工、新材料行业北上资金流向周报,新浪
614,2020-12-03,牛股启蒙：6涨停，3吃肉，彩虹股份要涨到天上去,新浪
615,2020-12-01,牛股启蒙：指数反包将流氓耍到底的赶脚，题材龙头涨停多,新浪
616,2020-11-30,牛股启蒙：借尸还魂，创业板回暖，技术派，下一次买买买,新浪
617,2020-11-30,24股受青睐，北向资金增持额超亿元,证券时报网
618,2020-11-26,解密主力资金出逃股连续5日净流出638股,证券时报网
619,2020-11-26,君正集团(601216.SH)：控股股东杜江涛解质1.06亿股,格隆汇
620,2020-11-26,29只股遭北向资金减仓超20%,证券时报网
621,2020-11-25,【浙商策略】北上资金在本轮周期行情参与情况如何？| 流动性估值跟踪,王杨策略研究
622,2020-11-24,博晖创新关联收购被问 标的商誉4亿收购合计商誉15亿,中国经济网
623,2020-11-23,君正集团(601216.SH)：控股股东杜江涛质押1.95亿股,格隆汇
624,2020-11-23,君正集团回复问询函：两次交易均是独立筹划、实施的，且均具有合理性 问询,Wind
625,2020-11-20,A股融资融券日报：两融余额减少12.22亿元（11月19日）,Wind
626,2020-11-20,【金工】2020年12月沪深两市重点宽基指数样本股调整预测——权益事件点评,渤海证券研究
627,2020-11-18,37只股遭北向资金减仓超20%,证券时报网
628,2020-11-17,解密主力资金出逃股连续5日净流出646股,证券时报网
629,2020-11-16,君正集团：延期回复上交所问询函 问询,Wind
630,2020-11-11,君正集团(601216.SH)：股东田秀英减持期过半未减持公司股份,格隆汇
631,2020-11-11,化工行业周观点：有机硅价格指数创新高 维C启动新一轮涨价,新浪
632,2020-11-11,证金汇金同时连续21季重仓股揭秘,证券时报网
633,2020-11-11,生意社热点商品发现（2020年11月11日）,生意社
634,2020-11-11,30只股遭北向资金减仓超30%,证券时报网
635,2020-11-11,国家队购物车：证金汇金同时连续21季重仓140余股，押中多只5年10倍股，低位核心资产仅17只,证券时报
636,2020-11-10,57股获北向资金加仓超亿元,证券时报网
637,2020-11-09,君正集团：出售资产等相关事项收到问询函 资产异常,Wind
638,2020-11-09,91股主力资金净流入超亿元,证券时报网
639,2020-11-09,犀牛财经晚报：小霸王申请破产 新东方在港二次上市 减资破产,GPLP犀牛财经
640,2020-11-07,152家保险机构高管10月履新！加入安达3年 李存强重回华泰人寿,国际金融报
641,2020-11-07,本周沪深两市热点追踪,财富动力网
642,2020-11-06,君正集团(601216.SH)：拟以出售资产及现金认购方式认购博晖创新股份 资产异常,格隆汇
643,2020-11-06,蚂蚁蝴蝶效应：市值蒸发700亿美元仅是开始 30亿承销费谁买单？,金融界
644,2020-11-05,蚂蚁IPO暂缓，京东数科的金条、白条生意怎么办？,野马财经
645,2020-11-05,君正集团：蚂蚁集团暂停上市事项不会对公司生产经营产生影响 风险警示,格隆汇
646,2020-11-05,蚍蜉？大树？蚂蚁集团！,云掌财经
647,2020-11-05,A股早报2020年11月5日星期四,Wind
648,2020-11-05,受累蚂蚁暂缓上市，美金融科技股整体低迷，A股蚂蚁概念股齐跌,AI财经社
649,2020-11-05,45只股遭北向资金减仓超20%,证券时报网
650,2020-11-05,每日理财观察：证监会回应蚂蚁集团暂缓上市,Wind
651,2020-11-05,蚂蚁上市被暂停 港股打新款将退回,新浪
652,2020-11-05,半年后上市 蚂蚁还会是大象吗,金融投资报
653,2020-11-04,蚂蚁集团“暂缓IPO”身后事：概念股应声下坠，战配基金紧急公告安抚持有人,经济观察网
654,2020-11-04,蚂蚁概念股下跌：重新上市要多久？几大疑问待解,金融投资报
655,2020-11-04,蚂蚁集团上市按下暂停鍵，多方角力迷雾重重，估值大降成定局,红周刊
656,2020-11-04,家电巨头市值突破6000亿：摘帽股7天6涨停 主力资金砸盘光伏龙头,新浪
657,2020-11-04,4只个股尾盘净流入资金超亿元,证券时报网
658,2020-11-04,蚂蚁集团暂缓上市 阿里巴巴及蚂蚁金服概念股齐跌,金融投资报
659,2020-11-04,A股蚂蚁概念股大跌，港股中介开始退回申购款,时代在线
660,2020-11-04,三大概念股被主力资金抛弃,证券时报网
661,2020-11-04,蚂蚁集团A股“小伙伴”纷纷跳水，阿里巴巴港股开盘跌超9%，打新股款咋办？,中国财富网
662,2020-11-04,32股主力资金净流入超亿元,证券时报网
663,2020-11-04,龙虎榜机构新动向：净买入10股净卖出9股,证券时报网
664,2020-11-04,君正集团今日大跌逾9% 一机构净卖出逾3000万元 连续下跌,新浪
665,2020-11-04,阿里港股继续下跌：腾讯跟跌 但A股银行股涨了,每日经济新闻
666,2020-11-04,三大指数震荡回升，汽车、家电股领涨两市,港股那点事
667,2020-11-04,阿里系2.6万亿市值蒸发！“688”上市暂缓最惨同病相怜者曾苦等11年附未来三种走势猜想,金融界
668,2020-11-04,君正集团今日放量大跌逾9% 沪股通卖出1.19亿元 连续下跌,新浪
669,2020-11-04,11月4日异动股点评：金刚玻璃直线拉板 盘点四牛与四熊,山东神光
670,2020-11-04,三大指数震荡收红：主线聚焦新能源车 半导体遭抛22亿,新浪
671,2020-11-04,大盘弱势震荡收涨：蚂蚁概念股领跌，北向资金连续三日净流入,澎湃新闻
672,2020-11-04,蚂蚁AH两地上市突然被缓 阿里港美股重挫蚂蚁概念股全线齐跌 连续下跌,财华社
673,2020-11-04,收评：沪指缩量涨0.19%，汽车板块活跃，银行家电等板块拉升,证券时报网
674,2020-11-04,收评：沪指涨0.19% 蚂蚁金服概念全天领跌,网易
675,2020-11-04,收评：A股窄幅震荡深成指涨0.59%新能源车股爆发蚂蚁概念全天低迷,金融界
676,2020-11-04,A股收盘综述：上证指数缩量小涨，中国人寿、君正集团领跌蚂蚁金服概念板块,Wind
677,2020-11-04,蚂蚁暂缓上市，概念股整体下挫，银行板块涨幅靠前,南都报
678,2020-11-04,午评：沪指微涨0.03% 蚂蚁金服概念股走弱,网易
679,2020-11-04,午评：沪指冲高回落微涨0.03% 光伏玻璃、汽车板块表现活跃,证券时报网
680,2020-11-04,最新播报丨蚂蚁最快今日退款，一文看清券商安排,21世纪经济报道
681,2020-11-04,A股午盘综述：上证指数半日微升，蚂蚁金服指数跌超2%,Wind
682,2020-11-04,蚂蚁集团暂缓上市，阿里美股港股大幅跳水，A股相关概念应声回落,证券时报网
683,2020-11-04,三大指数小幅高开 蚂蚁金服概念股领跌,上证报
684,2020-11-04,早评：沪指高开0.07% 阿里概念股多数下跌,网易
685,2020-11-04,暂缓A+H上市 蚂蚁金服概念股早盘低开,新浪
686,2020-11-04,蚂蚁金服概念多股低开,格隆汇
687,2020-11-04,【行情】蚂蚁金服概念中，君正集团跌8.5%，易联众跌5.5%，新开普跌4.4%,金十数据
688,2020-11-04,A股阿里概念股多数下跌 君正集团跌8.54%,e公司
689,2020-11-04,蚂蚁金服指数低开1.26%，君正集团跌超8%,Wind
690,2020-11-04,蚂蚁暂缓上市 A股有先例 港股投资者利息亏上亿,证券时报
691,2020-11-04,蚂蚁深夜致歉 A股暂缓上市有先例 整改后仍可IPO,证券时报
692,2020-11-03,股东撕扯、三角失衡，华泰保险是谁的池中物？,新浪
693,2020-11-03,【方正化工】化工周报：万华聚乙烯投放市场，浙石化二期投入运行,靠谱化工股
694,2020-11-02,盛视早参：调整有望结束 反弹或已开启,新浪
695,2020-11-02,948亿主力资金近三日撤出全A(等权)概念股,证券时报网
696,2020-11-02,生物疫苗概念大幅下挫 华兰生物昭衍新药跌停 连续下跌,证券时报网
697,2020-11-02,生物疫苗板块持续回调 华兰生物跌超9%,中国财富网
698,2020-11-02,恒生电子下挫近8%，张江高科、君正集团、宇信科技等蚂蚁金服概念股普遍下滑,Wind
699,2020-11-02,快讯：生物疫苗板块持续走弱 昭衍新药等多股跌停,新浪
700,2020-10-31,巨丰访谈：三季报披露处于尾声阶段 哪些板块要重点潜伏？,巨丰财经
701,2020-10-31,个股资金流向,财富动力网
702,2020-10-30,770亿主力资金近三日撤出全A(等权)概念股,证券时报网
703,2020-10-30,今日924公司公布三季报113家业绩增幅翻倍,证券时报网
704,2020-10-30,357公司利润环比连增63家步入绩优股行列,证券时报网
705,2020-10-29,招商基础化工行业周报2020年11月第1周：有机硅产业链价格近期大涨，DMF、维生素A跌幅较大,招商基础化工
706,2020-10-29,主力资金：外资超10亿抢筹“茅五泸” 机构资金却砸盘近6亿,新浪
707,2020-10-29,18股特大单净流入资金超2亿元,证券时报网
708,2020-10-29,数据复盘|五粮液获主力大幅加仓 机构净卖出泸州老窖等21股,证券时报网
709,2020-10-29,君正集团：前三季度净利润同比增长8.19%,Wind
710,2020-10-29,君正集团(601216.SH)前三季度净利润升7.5%至20.85亿元,格隆汇
711,2020-10-29,君正集团：前三季度净利润20.85亿元同比增长7.5%,格隆汇
712,2020-10-29,外资流入18亿：五粮液获12亿主力买入 疫苗股午后崛起,新浪
713,2020-10-29,【山证早班车】山西证券：晨会纪要（20201029）,山西证券研究所
714,2020-10-28,【收盘简评】2020-10-28,赢家之星
715,2020-10-28,超级大单：新能源板块持续火热 超8亿大资金扫货龙头股,新浪
716,2020-10-28,数据解盘|今日北向资金合计净流入22.95亿元 电子元件板块受到主力资金追捧,新浪
717,2020-10-28,主力资金：中一签赚11万 超13亿资金杀入半导体新秀,新浪
718,2020-10-28,数据复盘|31亿主力资金潜入电子行业 北向资金加仓招商银行等股,证券时报网
719,2020-10-28,479亿主力资金近三日撤出全A(等权)概念股,证券时报网
720,2020-10-28,10月28日主力资金净流出67亿元,证券时报网
721,2020-10-27,抢疯了：打新蚂蚁有多难？对A股有何影响？（附蚂蚁概念股）,21世纪经济报道
722,2020-10-27,盘前情报丨蚂蚁集团IPO价格出炉，周四申购！这些概念股引发关注,21世纪经济报道
723,2020-10-26,【招商策略】微观流动性偏弱，内外资偏好分化——金融市场流动性与监管动态周报（1026）,招商策略研究
724,2020-10-26,解密主力资金出逃股连续5日净流出717股,证券时报网
725,2020-10-26,蚂蚁周四申购 A股迎来市值超万亿金融科技公司,证券时报
726,2020-10-26,二八分化 融资市场转为流出,财富动力网
727,2020-10-26,蚂蚁集团周四申购 沪指面临下跌压力 关注概念股,证券时报
728,2020-10-24,马云宣布定价已确定！3万亿庞然大物上市对A股影响几何？概念股名单来了,上游新闻
729,2020-10-24,马云宣布一件大事，3年前都不敢想，但奇迹发生了！3万亿庞然大物奔向A股，数据揭秘影响,证券时报
730,2020-10-23,题材 | 蚂蚁集团概念股再迎风口,中邮证券
731,2020-10-22,银保监会清理整治银保渠道过高佣金手续费；蚂蚁集团再提或因合规原因剥离相互宝|慧保日报10.22,搜狐
732,2020-10-22,主力资金：高管刚刚透露大内幕 4.5亿资金追捧锂电龙头,新浪
733,2020-10-22,股王茅台地位不保！发生了什么？,证券之星
734,2020-10-22,君正集团(601216.SH)及君正化工转让华泰保险15.31%股份已交割完毕 资产异常,格隆汇
735,2020-10-22,君正集团：公司及子公司出售持有的华泰保险集团股份已经全部交割完毕,Wind
736,2020-10-22,A股下探回升：沪指收复3300点 疫苗板块全天走弱,中新经纬
737,2020-10-22,689亿资金争夺20股：主力资金重点出击5股(名单),新浪
738,2020-10-22,10月22日午后两市净流入前20股(名单),金融界
739,2020-10-22,广州万隆：指数补缺 一主线急现新动作,广州万隆
740,2020-10-22,又是半导体，23连板后突然封跌停！这些行业在“变暖”,中证报
741,2020-10-22,又是半导体，23连板后突然封跌停！沪指失守3300点，这些行业在“变暖”,中证报
742,2020-10-22,沪指半日下跌0.83%，生物制品等板块领跌,中新经纬
743,2020-10-22,科技股推动了美股长牛，蚂蚁集团的回归增加A股“科技味”,财经
744,2020-10-22,巨丰午评：市场消化蚂蚁上市消息,巨丰财经
745,2020-10-22,解盘：沪指破3300点关口，光刻胶、传感器、创业板低价股领涨,Wind
746,2020-10-22,A股异动：蚂蚁金服概念股表现亮眼，证监会同意蚂蚁集团IPO注册,英为财情
747,2020-10-22,蚂蚁金服概念早盘持续走强 和晶科技涨停,中国经济网
748,2020-10-22,688688！蚂蚁集团A股打新规模约200亿，概念股逆市走强丨牛熊眼,第一财经
749,2020-10-22,蚂蚁集团发行时间表敲定 概念股逆势活跃，易联众等大涨,证券时报网
750,2020-10-22,蚂蚁金服概念股表现抢眼,Wind
751,2020-10-22,蚂蚁金服概念股逆市走高 润和软件、君正集团涨逾7%,e公司
752,2020-10-22,蚂蚁金服指数拉升，润和软件、君正集团、新开普、科蓝软件、合肥城建普涨,Wind
753,2020-10-22,蚂蚁集团上市利好哪些股票?,财富动力网
754,2020-10-22,"大盘低位抬高,新华保险融资盘小幅流入",财富动力网
755,2020-10-20,新能源车领涨！板块轮动，明天到谁家？分时走势已暴露明天目标,财富动力网
756,2020-10-20,融资客青睐13股，海亮股份买入占比高达55.14%,Wind
757,2020-10-20,两市两融余额增加26.32亿元 69股融资余额增幅超5%,证券时报网
758,2020-10-20,22股获融资净买入额超5000万元 隆基股份居首,证券时报网
759,2020-10-19,10月19日主力资金净流出352亿元,证券时报网
760,2020-10-19,A股异动丨糊树脂手套料价格持续上涨 相关公司股价大涨,格隆汇
761,2020-10-16,君正集团：公司烧碱项目产能是55万吨/年,Wind
762,2020-10-16,君正集团(601216.SH)第二大股东解押2.1亿股,格隆汇
763,2020-10-15,君正集团(601216.SH)第二大股东质押7921万股,格隆汇
764,2020-10-15,午评：三大指数走势分化沪指涨0.1% 煤炭板块拉升走强,新浪
765,2020-10-15,解盘：金融拉指数，半导体、新能源汽车、卫星互联网略涨,Wind
766,2020-10-15,快讯：生物疫苗板块持续下行 中元股份等多股跌超9%,新浪
767,2020-10-15,蚂蚁金服概念股多数下滑，恒生电子、君正集团跌超4%,Wind
768,2020-10-15,45只股遭北向资金减仓超30%,证券时报网
769,2020-10-15,反弹行情持续 选手收获颇丰,南方财经网
770,2020-10-14,1只个股尾盘净流入资金超亿元,证券时报网
771,2020-10-14,A股弱势震荡持续性热点稀缺市场短线良性调整逢低或可低吸,财华社
772,2020-10-14,26股主力资金净流入超亿元,证券时报网
773,2020-10-14,2020年中国烧碱行业市场现状及发展前景分析 长期看市场供需格局有望延续改善,前瞻研究院
774,2020-10-14,【行情】生物疫苗板块开盘快速走弱，博晖创新跌7%，赛升药业、万方发展、君正集团、西藏药业等纷纷下行,金十数据
775,2020-10-14,业绩爆发！3500亿巨头又新高，今年已飙涨170%,中国基金报
776,2020-10-14,烧碱价格10天涨近10% 供需格局有望改善,证券时报
777,2020-10-13,【超级大单】汽车巨头发完利好，资金就出逃超6亿元,搜狐
778,2020-10-13,传统旺季到来，烧碱价格大涨，10天涨近10%，价格有望持续走高，受益股大梳理,证券时报网
779,2020-10-13,沪指翻红 两市成交额突破8000亿元,金融投资报
780,2020-10-13,10月13日午盘两市净流入前20股(名单),金融界
781,2020-10-13,创业板指半日涨0.19% 疫苗股大涨,中新经纬
782,2020-10-13,快讯：生物疫苗板块持续拉升 博晖创新涨17%,新浪
783,2020-10-12,君正集团：公司对“大安制药”投资系财务投资,Wind
784,2020-10-11,重磅！医疗生物最强天团20龙头股，未来10倍增长，大牛股摇篮,搜狐
785,2020-10-10,A股财报速递：中报君正集团营收不增利、天坛生物毛利率近50%,搜狐
786,2020-10-09,2只个股尾盘净流入资金超亿元,证券时报网
787,2020-10-09,生物疫苗概念午后异动走强 万方发展涨停,中国经济网
788,2020-10-08,9月融券余额连破两关至850多亿元 中芯国际、恒瑞医药融券净卖出额居前,每日经济新闻
789,2020-09-30,421亿主力资金近三日撤出全A(等权)概念股,证券时报网
790,2020-09-30,北元集团：打造一流盐化工企业 奉献低碳多彩新生活,证券时报
791,2020-09-29,511亿主力资金近三日撤出全A(等权)概念股,证券时报网
792,2020-09-29,两市特大单资金净流出61亿元 35亿资金疯抢玻尿酸龙头,金融界
793,2020-09-28,【超级大单】太暴利！毛利率超99.29%的A股公司，35亿资金疯抢玻尿酸龙头,证券时报网
794,2020-09-28,【主力资金】尾盘主力追捧这些白马股（附名单）,证券时报网
795,2020-09-28,数据解盘|今日北向资金合计净流入5.42亿元 医药制造板块遭主力资金抛售 股票卖空,新浪
796,2020-09-28,18股特大单净流入资金超1亿元,证券时报网
797,2020-09-28,数据复盘| 龙虎榜机构净买入11股 立讯精密获北向资金加仓超6亿元,证券时报网
798,2020-09-28,北元集团主板上市，陕西榆林将迎来首家上市公司,新浪
799,2020-09-28,27股主力资金净流入超亿元,证券时报网
800,2020-09-28,A股高开低走：创指跌0.75% 农业板块领跌,中新经纬
801,2020-09-28,沪指高开低走半日跌0.22% 疫苗股大幅回调,中新经纬
802,2020-09-26,【安信中小盘】09.28-09.30新股申购一览,AX中小盘研究
803,2020-09-26,证监会重磅发声：中国资本市场已成最具吸引力市场！两大万亿资金掐架，茅台“受伤”？融资客加仓它们,证券时报网
804,2020-09-25,1630只个股今日尾盘资金净流入,证券时报网
805,2020-09-25,涨停板复盘：指数全天缩量震荡 两市成交额不足六千亿,新浪
806,2020-09-25,收评：三大指数弱势震荡沪指跌0.12% 旅游板块全天强势,新浪
807,2020-09-25,午评：三大指数冲高回落沪指跌0.24% 旅游景点板块强势,新浪
808,2020-09-25,【行情】生物疫苗板块跳水，万方发展炸板跌超5%，辽宁成大跌8%，康华生物、仁和药业、君正集团、博雅生物等跟跌,金十数据
809,2020-09-24,9月24日主力资金净流出527亿元,证券时报网
810,2020-09-24,9月24日复盘：三原因引发大盘大跌 主力资金出击4股,新浪
811,2020-09-24,679亿资金争夺20股：主力资金重点出击4股(名单),新浪
812,2020-09-23,巨·热点｜创业板呈现强势反弹 医药与科技类题材受追捧！,巨丰财经
813,2020-09-23,快讯：生物疫苗板块持续拉升 博晖创新大涨18%,新浪
814,2020-09-22,解密主力资金出逃股连续5日净流出526股,证券时报网
815,2020-09-22,君正集团：公司与蚂蚁集团同为天弘基金股东，无其他关系,Wind
816,2020-09-22,19股主力资金净流入超亿元,证券时报网
817,2020-09-22,544亿主力资金近三日撤出全A(等权)概念股,证券时报网
818,2020-09-21,ROE差异榜:警惕新城控股高ROE陷阱 永辉超市孵化超级物种亏损出表 亏损,新浪
819,2020-09-21,ROE差异榜:美的、恒生电子存差异 京东方、神火股份盈利存水分？,新浪
820,2020-09-21,君正系双轮驱动投资华泰保险6年赚42亿 杜江涛夫妇受益蚂蚁上市财富劲增225亿,长江商报
821,2020-09-19,蚂蚁集团25天过会，粮油“巨无霸”登陆创业板（附最新拟IPO排队名单）,全景网
822,2020-09-18,"蚂蚁集团的“科创板IPO效应”,普通人怎么参与？",搜狐
823,2020-09-18,8只个股尾盘净流入资金超亿元,证券时报网
824,2020-09-18,399亿主力资金近三日撤出全A(等权)概念股,证券时报网
825,2020-09-17,融资客青睐6股，华神科技买入占比高达33.43%,Wind
826,2020-09-17,【东北基础化工】日报/国瓷材料拟引入高瓴资本、松柏投资战略投资者20200916,东北基础化工
827,2020-09-16,【收盘简评】2020-09-16,赢家之星
828,2020-09-16,【超级大单】10倍大牛股盘中跳水，18亿机构资金打折抛售,证券时报网
829,2020-09-16,【主力资金】尾盘主力悄悄抛售多晶硅概念龙头，出逃资金近亿元 股票卖空,证券时报网
830,2020-09-16,17股特大单净流入资金超1亿元,证券时报网
831,2020-09-16,数据复盘| 52亿主力资金撤离医药生物行业 北向资金连续2日净流入,证券时报
832,2020-09-16,21股主力资金净流入超亿元,证券时报网
833,2020-09-16,主力资金连续13天净流出,证券时报网
834,2020-09-16,主力资金重点出击6股(名单),中财网
835,2020-09-16,内蒙古4家企业入围中国民营企业500强 行稳致远推动区域高质量发展,证券日报
836,2020-09-16,创业板指持续下探跌1.47%生物疫苗板块走弱,中新经纬
837,2020-09-16,盛视早参：“三阳开泰”后的量能起关键作用,新浪
838,2020-09-16,机构提前布局旅游酒店 游资看准重型机械上升周期,财富动力网
839,2020-09-16,21股获杠杆资金净买入超5000万元,证券时报网
840,2020-09-16,A股早报2020年9月16日星期三,Wind
841,2020-09-16,A股反弹已近尾声！两个方向等待潜伏机会,中财网
842,2020-09-15,【收盘简评】2020-09-15,赢家之星
843,2020-09-15,跟随外资 积极拥抱中国核心资产 北向资金净流入51.52亿元 沪深今日北上资金流向一览（2020/9/15）,--
844,2020-09-15,中国平安等8股获特大单资金净流入超2亿元,证券时报网
845,2020-09-15,【超级大单】大跌眼镜！飙涨50亿后，第三代半导体龙头公告销售仅19万元,证券时报网
846,2020-09-15,【主力资金】跌超11%！热门低价股遭主力抛售，出逃资金近10亿元 股票卖空,证券时报网
847,2020-09-15,君正集团龙虎榜数据（9月15日）,Wind
848,2020-09-15,A股缩量震荡汽车板块获主力大笔买入！,搜狐
849,2020-09-15,中富金石：炒作情绪逐步企稳 关注新热点试错机会,中金在线
850,2020-09-15,数据复盘|北向资金净买入比亚迪等股 中国平安获主力大幅加仓,证券时报网
851,2020-09-15,龙虎榜机构新动向：净买入7股净卖出10股,证券时报网
852,2020-09-15,涨停板解密：汽车、化工股火爆受追捧！（9月15日）,Wind
853,2020-09-15,资金流向日报：19个行业资金呈净流出,证券时报网
854,2020-09-15,300亿主力资金近三日撤出全A(非陆股通重仓前100)概念股,证券时报网
855,2020-09-15,9月15日主力资金净流出106亿元,证券时报网
856,2020-09-15,巨丰资金流向：市场缩量震荡反弹 汽车板块获主力10亿买入！,巨丰财经
857,2020-09-15,54只个股涨停 6股封单超亿元,证券时报网
858,2020-09-15,【新华500】新华500指数（989001）低开高走涨0.82%,新华网
859,2020-09-15,生物疫苗概念午后持续走高 君正集团涨停,中国经济网
860,2020-09-15,生物疫苗概念持续拉升 君正集团、博辉创新涨停 康华生物、一心堂等多股大涨,金融界
861,2020-09-15,疫苗概念午后发力拉升，君正集团博晖创新涨停，康华生物大涨7%,证券时报网
862,2020-09-14,30股主力资金净流入超亿元,证券时报网
863,2020-09-14,两融余额创近14个月最长连降纪录，近七成标的遭减持，24股获逆市加仓 减持股份,证券时报网
864,2020-09-12,个股资金流向,财富动力网
865,2020-09-12,华泰保险股东纠纷未了局 诉讼纠纷,中国经营报
866,2020-09-11,解密主力资金出逃股连续5日净流出782股,证券时报网
867,2020-09-11,1311亿主力资金近三日撤出全A(等权)概念股,证券时报网
868,2020-09-11,38股主力资金净流入超亿元,证券时报网
869,2020-09-11,两市集体回暖沪指涨0.79%，电源设备板块领涨,中新经纬
870,2020-09-10,尾盘主力资金净流出111.77亿元 仅沪光股份流入资金超亿元,第一财经
871,2020-09-10,【主力资金】科技龙头遭逆市抢筹，外资买入近4亿元,证券时报网
872,2020-09-10,1487亿主力资金近三日撤出全A(等权)概念股,证券时报网
873,2020-09-10,678亿资金争夺20股：主力资金重点出击9股(名单),新浪
874,2020-09-10,两市震荡下挫创指跌逾1%园林工程板块领跌,杭州网
875,2020-09-10,多只基金抱团股近期遭抛售主要集中在医药生物、食品饮料,格隆汇
876,2020-09-10,多只基金抱团股近期遭抛售 这份低估值绩优滞涨股名单请收好,新浪
877,2020-09-10,蚂蚁金服概念股普遍高开，新开普、君正集团领涨,Wind
878,2020-09-09,22股主力资金净流入超亿元,证券时报网
879,2020-09-09,1555亿主力资金近三日撤出全A(等权)概念股,证券时报网
880,2020-09-09,A股持续震荡创指跌4.8%低价股大幅跳水,杭州网
881,2020-09-09,A股收盘：创业板指一度跌超5% 深交所全面排查天山生物等公司交易情况,英为财情
882,2020-09-08,1279亿主力资金近三日撤出全A(等权)概念股,证券时报网
883,2020-09-08,君正集团跌5.14%报7.94元，领跌化学原料行业,中新经纬
884,2020-09-08,茅台、五粮液资金流出现分歧银行、保险股资金大幅流入,金融界
885,2020-09-07,24股特大单净流入资金超1亿元,证券时报网
886,2020-09-07,1470亿主力资金近三日撤出全A(等权)概念股,证券时报网
887,2020-09-07,9月7日主力资金净流出718亿元,证券时报网
888,2020-09-07,创指跌超3%失守2700点食品饮料板块领跌,中新经纬
889,2020-09-07,A股震荡加剧地产板块成资金流入焦点,金融界
890,2020-09-04,数据复盘|北向资金连续5日净流出 五粮液遭主力资金净卖出逾15亿元,证券时报网
891,2020-09-04,【主力资金】主力逆市抢筹芯片龙头，杀入资金超7亿元,证券时报网
892,2020-09-04,16股主力资金净流入超亿元,证券时报网
893,2020-09-04,民办教育四十而立：教育行业未来“造富” 靠什么？,搜狐
894,2020-09-04,创业板低价股被疯炒半导体板块资金逆势净流入超20亿,金融界
895,2020-09-04,11股受融资客青睐，净买入超亿元,证券时报网
896,2020-09-04,A股融资融券日报：两融余额增加7.94亿元（9月3日）,Wind
897,2020-09-03,9月3日主力资金净流出442亿元,证券时报网
898,2020-09-03,876亿资金争夺20股：主力资金重点出击6股(名单),新浪
899,2020-09-02,飙涨100%！阿里一个动作，这家公司A、H股齐涨！这些阿里概念也嗨了,证券时报网
900,2020-09-02,32只股遭北向资金减仓超30%,证券时报网
901,2020-09-02,外资险企进入中国保险市场步伐加快,中国金融新闻网
902,2020-09-01,【收盘简评】2020-09-01,赢家之星
903,2020-09-01,【主力资金】主力尾盘抢筹2只科技股，杀入资金超2亿元,证券时报网
904,2020-09-01,10股特大单净流入资金超2亿元,证券时报网
905,2020-09-01,数据复盘|8亿主力资金净买入比亚迪 机构净卖出欧菲光等15股,证券时报网
906,2020-09-01,资金流向日报：23个行业资金呈净流出,证券时报网
907,2020-09-01,570亿主力资金近三日撤出全A(等权)概念股,证券时报网
908,2020-09-01,9月1日主力资金净流出320亿元,证券时报网
909,2020-09-01,军工行业资金大幅流入近18亿欧菲光一字跌停却有超5亿资金抄底,金融界
910,2020-09-01,君正集团大跌5.13%，领跌化学原料行业,中新经纬
911,2020-09-01,亿利洁能入股宁波氢能创新中心 意在发展制氢运氢业态,中国网
912,2020-08-31,8月A股牛熊榜：西域旅游转战创业板大涨267%，新股两极分化,时代周报
913,2020-08-31,420亿主力资金近三日撤出全A(非陆股通重仓前100)概念股,证券时报网
914,2020-08-31,宁波氢能创新中心揭牌，亿利洁能等五家企业低调介入,中国网
