,2021-12-29,卓胜微：公司已逐步推出适用于5G通信标准中sub-6GHz频段的产品并实现量产出货,每日经济新闻
419,2021-07-20,电子行业周报：台积电2021Q2业绩解读及2021Q3展望,国海证券
420,2021-07-20,卓胜微：公司根据设备采购周期和厂房建设周期稳步推进项目建设，目前项目进展顺利,每日经济新闻
421,2021-07-20,电子周报：台积电上修全年半导体展望；小米Q2全球份额首次第二,新浪
422,2021-07-20,刘格菘仓位仍超90%、萧楠大幅增持银行股,Wind
423,2021-07-19,顶流基金经理最新重仓股大曝光，狂买这些股！,Wind
424,2021-07-19,北向资金今日净买入近44亿元，持续加仓白酒、医药股,Wind
425,2021-07-19,电子元件行业周报：为什么说光学是不可多得的好赛道,新浪
426,2021-07-19,电子元器件行业周报：SEMI展望半导体设备销售22年将新高,新浪
427,2021-07-19,【华西电子孙远峰团队】卓胜微*系列一张图⑮-持续推荐,远峰电子
428,2021-07-19,电子行业周报：多政策支持半导体发展 持续看好国产替代,新浪
429,2021-07-19,电子行业周报：关注手机销量疲软影响,新浪
430,2021-07-16,卓胜微：公司目前已推出SAW滤波器及其模组产品并已量产出货,Wind
431,2021-07-16,A股成交连续11日破万亿，2大聪明资金不淡定了,Wind
432,2021-07-15,105股获券商买入评级 东鹏控股目标涨幅达79.92%,Wind
433,2021-07-15,【东吴晨报0714】【策略】【宏观】【行业】通信【个股】华宏科技、拓普集团、卓胜微、包钢股份、海天味业、广信股份,东吴研究所
434,2021-07-14,卓胜微：受到新冠疫情的影响，智能手机终端市场短期波动较大,每日经济新闻
435,2021-07-14,38股今日获机构买入评级,证券时报网
436,2021-07-14,卓胜微(300782)：半年报业绩大幅增长 产品品类稳步扩张,新浪
437,2021-07-14,中国射频芯片产业背后的“贵人”,智通财经
438,2021-07-14,国海证券维持卓胜微买入评级：2021H1业绩指引符合预期，长期成长路径清晰,每日经济新闻
439,2021-07-14,逾八成公司预喜，半年报行情如何参与？,Wind
440,2021-07-14,每日理财观察：我国进出口连续13个月同比正增长,Wind
441,2021-07-14,80股获券商买入评级，环旭电子目标涨幅达84.70%,Wind
442,2021-07-14,卓胜微(300782)：21Q2延续高增长 5G红利助力未来发展,新浪
443,2021-07-14,白酒板块明显反弹 下半年中秋旺季为观察渠道动销的重要窗口期,金融界
444,2021-07-14,芯片赛道持续火热，34只概念股业绩翻番,Wind
445,2021-07-14,创业板指冲击新高，两市成交额连续9天超万亿,Wind
446,2021-07-14,道达投资：芯片股降温 难道担心限售股解禁？,每日经济新闻
447,2021-07-13,电子行业2021中报前瞻：5G手机、远程需求、汽车电子仍为2021三大主轴,新浪
448,2021-07-13,卓胜微(300782)：Q2智能手机需求短期承压 坚定看好公司成长性,广发证券
449,2021-07-13,业绩预增近两倍，市值一天蒸发207亿元 卓胜微千亿元市值背后是否暗藏隐忧? 连续下跌,大众证券报
450,2021-07-13,卓胜微8天暴跌21%，“芯片茅”真的不行了？ 连续下跌,证券之星
451,2021-07-13,半导体板块回调，卓胜微跌12.87%,第一财经
452,2021-07-13,龙头股1个月翻倍，又一个涨价题材成风口！机构：行业需求仍有大爆发,中证报
453,2021-07-13,发生了什么，芯片板块市值蒸发超千亿！碳交易市场落地倒计时开启，这些股值得关注,证券时报网
454,2021-07-13,业绩预增超180%，股价却大跌12%，卓胜微被错杀？,搜狐
455,2021-07-13,业绩猛增180%！这只千亿市值龙头放量跌逾12%，利好兑现？,Wind
456,2021-07-13,国信证券：卓胜微(300782.SZ)上半年业绩预告符合预期 维持“买入”评级,智通财经
457,2021-07-13,突发！1400亿龙头大跌13%，带崩整条赛道！美国又要下黑手？十部委再送重磅利好，科技股能否重振雄风？ 连续下跌,券商中国
458,2021-07-13,A股资金流向（7月13日）：业绩成为市场“试金石”，芯片股“掉队”遭抛售,Wind
459,2021-07-13,卓胜微：公司的终端客户主要为智能手机厂商,Wind
460,2021-07-13,卓胜微(300782)：品类拓展顺利推进 射频龙头空间巨大,新浪
461,2021-07-13,7月13日两市超大账户减持的50只个股,证券之星
462,2021-07-13,A股收盘综述：上证指数涨0.53%，碳中和题材卷土重来,Wind
463,2021-07-13,快讯：半导体板块午后继续下挫 卓胜微等多股大幅走低 连续下跌,新浪
464,2021-07-13,卓胜微发布业绩预告后暴跌13% 拖累半导体板块集体走低 盈利能力下降,格隆汇
465,2021-07-13,业绩大增股名单：34只芯片概念股上半年业绩翻倍,Wind
466,2021-07-13,【异动股】电子元件板块下挫，卓胜微(300782.CN)跌13.24%,财华社
467,2021-07-13,刚见证历史就闪崩！千亿锂电巨头跌停，芯片龙头跌12%,Wind
468,2021-07-13,卓胜微(300782)：多元化布局稳步推进 受益射频芯片需求攀升,新浪
469,2021-07-13,解盘：资金持续流入，网络游戏、光伏、白酒、煤炭领涨,Wind
470,2021-07-13,【异动股】电子元件板块下挫，卓胜微(300782.CN)跌11.14%,财华社
471,2021-07-13,卓胜微大跌10%，电子ETF回调2%，新时代证券：国产替代将迎绝佳机遇,资本邦
472,2021-07-13,芯片ETF一度下跌4%，买盘活跃,Wind
473,2021-07-13,东吴证券给予卓胜微买入评级，2021年半年度业绩预告点评，近期获3份券商研报关注，目标均价涨幅53.42%,每日经济新闻
474,2021-07-13,卓胜微开盘加速下跌 盘中一度跌逾8%,新浪
475,2021-07-13,小K播早报！赛微电子上半年预增超5倍绍兴中芯启动IPO辅导,财联社
476,2021-07-13,上市公司正负面新闻2021年7月13日星期二,Wind
477,2021-07-13,主营业务高景气，一批A股公司半年报大幅预增,Wind
478,2021-07-12,创业板人气爆棚，知名基金已提前杀入这些大牛股,中证报
479,2021-07-12,受益于5G射频前端市场旺盛需求 卓胜微上半年净利预增超180%,e公司
480,2021-07-12,晚间公告｜7月12日这些公告有看头,第一财经
481,2021-07-12,7月12日包钢股份、卓胜微等12家公司公告出现利好,证券之星
482,2021-07-12,卓胜微：预计上半年实现净利约10亿元，同比增长逾180%,第一财经
483,2021-07-12,卓胜微：上半年净利同比预增180.72%-190.36%,中证网
484,2021-07-12,卓胜微(300782.SZ)：上半年净利预增180.72%～190.36%,格隆汇
485,2021-07-12,卓胜微：上半年净利预增181%-190%,e公司
486,2021-07-12,卓胜微：上半年净利同比预增180%-190%,财联社
487,2021-07-12,卓胜微：预计上半年盈利同比增长180%-190%,Wind
488,2021-07-09,芯片股全线回调，富满电子、思瑞浦、卓胜微均跌近7%,Wind
489,2021-07-09,三季度超1900亿元定增股解禁，认购者收益分化明显,Wind
490,2021-07-07,卓胜微：公司的部分射频前端芯片产品可用于汽车电子应用领域,Wind
491,2021-07-07,滤波器老牌厂商好达电子科创板IPO：大客户入股助推业绩 核心技术储备不足,科创板日报
492,2021-07-07,滤波器老牌厂商好达电子科创板IPO：大客户入股助推业绩 核心技术储备不足,极客网
493,2021-07-07,滤波器老牌厂商好达电子科创板IPO：大客户入股助推业绩 核心技术储备不足,财联社
494,2021-07-07,电子行业周报：Q2业绩确定高增 展望Q3景气有望持续,新浪
495,2021-07-07,好达电子科创板IPO：大客户入股助推业绩滤波器老牌厂商起大早赶晚集核心技术储备不足,财联社
496,2021-07-06,闻泰科技拟收购英国最大晶圆厂，未来盈利能力面临考验,第一财经
497,2021-07-06,首批双创ETF红盘上市，资金涌向硬核科技,Wind
498,2021-07-05,电子行业：IC INSIGHTS展望22～23年IC市场延续增长,新浪
499,2021-07-05,通信行业周报：射频前端独角兽加速上市 拥抱国产替代历史机遇,华安证券
500,2021-07-05,电子行业周报：汽车电动化何以重塑功率器件行业价值,国海证券
501,2021-07-05,通信电子行业周报：半导体行业开启靓丽中报期,光大证券
502,2021-07-05,一个月受理18家半导体公司，科创板“硬”科技属性凸显,Wind
503,2021-07-04,半导体行业月度深度跟踪：行业景气业绩兑现 关注AIOT智能化浪潮,新浪
504,2021-07-04,韦尔股份(603501)2021年半年度业绩预告点评：公司高端手机CIS市场渗透率持续提升&车载CIS放量 2021年H1业绩超市场预期,新浪
505,2021-07-02,电子行业2021年中报业绩展望：半导体持续景气 消费电子阶段承压,新浪
506,2021-07-02,鸿蒙拉动半导体最牛行情！已有7家公司净利同比增速超一倍（名单）,时代财经
507,2021-07-02,超86亿外资今日撤离A股，白酒、医药、银行股集体遭抛售,Wind
508,2021-07-02,鸿蒙拉动半导体蓬勃发展，行业趋势一片大好明微电子半年利润暴增8倍,时代在线
509,2021-07-02,鸿蒙拉动半导体最牛行情！明微电子半年利润暴增8倍，长电科技：旺季还在下半年,时代财经
510,2021-07-02,2021年上半年手机概念股市值排行榜：11家企业市值超千亿元,搜狐
511,2021-07-01,电子行业2021年三季度投资策略：半导体持续重点推荐 消费电子看好下半年苹果链确定性,新浪
512,2021-07-01,A股收盘综述：沪指微幅收跌，权重股大象起舞,Wind
513,2021-07-01,创业板权重快马加鞭，迈瑞医疗等5只大权重齐创新高,Wind
514,2021-07-01,干掉5G？马斯克狂砸300亿美元，搞这个大计划,Wind
515,2021-07-01,电子行业动态点评：基础电子元器件产业政策再梳理,新浪
516,2021-06-30,通富微电(002156)：封测产能供不应求 受益AMD、联发科高成长,新浪
517,2021-06-30,通信电子行业景气数据跟踪报告之六(2021年6月)：电动汽车浪潮开启 全球半导体龙头业绩靓丽,光大证券
518,2021-06-30,通富微电(002156)：景气持续 Q2迎高增长,新浪
519,2021-06-29,卓胜微：公司暂没有进入苹果供应链。,每日经济新闻
520,2021-06-29,射频芯片龙头卓胜微两年涨近32倍，模组品类扩张能否支撑长期成长？,第一财经
521,2021-06-29,卓胜微：公司已研发并推出适用于5G通信制式sub-6GHz的高频产品及射频模组产品,Wind
522,2021-06-29,半导体行业跟踪：缺货潮未见缓解迹象 Q2持续高景气度,新浪
523,2021-06-28,深度*行业*半导体行业周报：国内半导体多点开花 但龙头开启平台化趋势,新浪
524,2021-06-28,北向资金今日净卖出40.55亿元，中远海控、宁德时代净卖出额居前,Wind
525,2021-06-28,电子行业每周市场动态追踪：看好半导体的短中长期大逻辑 消费电子迎布局时点,新浪
526,2021-06-28,创业板大涨：“一哥”狂拉570亿，芯片股嗨了！,Wind
527,2021-06-28,机构席位大宗交易买力下降，白酒龙头现激烈博弈,Wind
528,2021-06-28,大宗交易显露机构“心迹”,中证报
529,2021-06-25,卓胜微：公司推出的应用于WiFi 5连接标准的WiFi连接模组产品已实现量产出货,Wind
530,2021-06-24,【牛人重仓】卓胜微:前复权价创历史新高，今日资金流入-4865.99万元，北向资金持股1502.13万股，融资余额153623.78万元；前3个交易日，北向资金增持39.61万股，融资额增加5602.39万元，主力资金净流入-39157.17万元,每日经济新闻
531,2021-06-24,电子行业点评报告：AIOT时代加速到来 产业迎快速增长红利,新浪
532,2021-06-23,【华西电子孙远峰团队-AIoT行业点评】AIoT时代加速到来，产业迎快速增长红利,远峰电子
533,2021-06-23,经纬辉开进军半导体变故丛生 与合作方“死结”难解,财联社
534,2021-06-23,券商首次关注5股并给予买入评级（6月23日）,Wind
535,2021-06-23,33股获券商买入评级，韦尔股份目标涨幅达39.79%,Wind
536,2021-06-22,深度*行业*半导体行业周报：长期看数字化叠加芯片安全 短期看芯片缺货加速国产化,新浪
537,2021-06-22,东北证券：卓胜微（300782.SZ）射频芯片龙头，全面布局射频产品条线，首予“买入”评级,智通财经
538,2021-06-22,东北证券首予卓胜微买入评级：射频龙头稳步成长，全面布局射频产品条线,每日经济新闻
539,2021-06-22,电子行业2021年中期策略报告：半导体最风采 ARVR迎加速拐点,新浪
540,2021-06-22,资金流向分析,新浪
541,2021-06-22,电子元件：AR 下一个蓝海,新浪
542,2021-06-22,东亚早八点：半导体供应链或再现涨价｜6月23日,新浪
543,2021-06-22,卓胜微，千亿射频龙头的困局,阿尔法工场研究院
544,2021-06-21,【明日主题前瞻】下半年订单爆量，这一半导体产业产能持续供不应求，这家公司工艺涵盖8nm-28nm等先进制程,财联社
545,2021-06-21,半导体超级周期来了 上游“吃肉”下游却“明争暗斗”,新浪
546,2021-06-21,电子行业周报：我们为什么强烈推荐核心半导体设备和材料,国海证券
547,2021-06-21,格科微业绩高增长：CMOS图像传感器国产替代先锋产品竞争力持续提升,科创板日报
548,2021-06-21,国海证券：缺芯”大背景下，半导体核心设备和材料企业将充分受益,证券时报网
549,2021-06-20,韦尔股份之后又一芯片黑马来了：格科微登陆科创板 它还要自建晶圆厂,每日经济新闻
550,2021-06-18,电子设备、仪器和元件周报：种植业的“人造太阳”：LED产业链再成长,新浪
551,2021-06-18,卓胜微：目前暂未受到美国禁令直接影响,Wind
552,2021-06-18,力压“蔡经理”，单日净值涨超9%，比诺安成长更牛的基金出现了,证券之星
553,2021-06-18,天弘中证电子ETF(159997)：科技核心 价值底部,新浪
554,2021-06-18,千亿卓胜微，能否再创奇迹？,半导体行业观察
555,2021-06-18,首批9只双创ETF发行时间定了！10问10答最全解读来了,Wind
556,2021-06-18,下周密集发行首批双创ETF蓄势待发,Wind
557,2021-06-17,卓胜微(300782)：模组收入放量驱动业绩高速成长,新浪
558,2021-06-17,5G板块尾盘异动，卓胜微一度大涨9%,Wind
559,2021-06-17,江苏区域股市周报：新增2家上市公司 33家机构调研亚威股份,每日经济新闻
560,2021-06-16,A股收盘综述：新能源产业链批量跌停，创业板指下挫逾4%,Wind
561,2021-06-16,龙头三个月股价翻倍，多股创新高！这个板块集体爆发,Wind
562,2021-06-16,资金流向分析,新浪
563,2021-06-16,A股早报2021年6月16日星期三,Wind
564,2021-06-15,A股共发生115宗大宗交易成交18.24亿元（6月15日）,Wind
565,2021-06-15,透视大宗交易：6月15日共成交115笔，卓胜微成交3.01亿元,每日经济新闻
566,2021-06-15,"卓胜微现14笔大宗交易 共成交30,051.01万元",新浪
567,2021-06-15,卓胜微今日大宗交易成交70万股，成交价429.3元折价10.24%,Wind
568,2021-06-15,电子行业2021年中期策略：国产化继续是行业主线 看好元器件和半导体设备,新浪
569,2021-06-15,每日理财观察：7万亿理财市场重磅新规落地,Wind
570,2021-06-13,5178点6周年 最牛白酒飙17倍！乐视、信威惨烈退市 退市,中国基金报
571,2021-06-13,"沧桑剧变！5178点6周年，A股“换了人间”！中石油跌落一哥，茅台暴涨890%称王，最牛白酒飙17倍！乐视、信威、康得新惨烈退市
退市",中国基金报
572,2021-06-13,5178点6周年，个股剧烈分化，茅台涨890%称王,Wind
573,2021-06-11,金融街下午茶2021年6月11日星期五,Wind
574,2021-06-11,A股资金流向（6月11日）：新能源、疫苗龙头获资金回流,Wind
575,2021-06-11,A股收盘综述：创业板指连涨5周，宁德时代引领升势,Wind
576,2021-06-11,宁德时代、康希诺、石头科技、卓胜微、凯莱英等多只高价股盘中齐创历史新高。,新浪
577,2021-06-11,高价股表现突出，卓胜微、凯莱英盘中同创新高,Wind
578,2021-06-11,【牛人重仓】卓胜微:前复权价创历史新高，今日资金流入-1185.43万元，北向资金持股1409.39万股，融资余额144725.52万元；前3个交易日，北向资金增持21.09万股，融资额增加2543.17万元，主力资金净流入28766.13万元,每日经济新闻
579,2021-06-11,光大证券：卓胜微（300782.SZ）GF砍单导致开关和LNA现缺货潮，维持“买入”评级,智通财经
580,2021-06-11,揭秘送转股 132只除权以来股价上涨,证券时报网
581,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
582,2021-06-11,晨会聚焦210611重点关注涂鸦智能的关键问题解析,国信研究
583,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
584,2021-06-10,新业务拓展不及预期，智能手机出货量不及预期。,光大证券
585,2021-06-10,晨会聚焦210610重点关注固定收益专题,国信研究
586,2021-06-10,129只送转股走出贴权走势,证券时报网
587,2021-06-10,资金流向分析,新浪
588,2021-06-10,卓胜微(300782)：GF砍单导致开关和LNA现缺货潮 分立器件业务有望深度受益,光大证券
589,2021-06-09,卓胜微：公司目前和华为没有芯片交易,每日经济新闻
590,2021-06-09,卓胜微股价创历史新高：市值突破1500亿元，位居半导体行业第3名,上海有色
591,2021-06-09,半导体景气风向标：旺季将至 景气持续,新浪
592,2021-06-09,【牛人重仓】卓胜微:前复权价创历史新高，今日资金流入2478.26万元，北向资金持股1392.79万股，融资余额140265.64万元；前3个交易日，北向资金增持32.03万股，融资额增加-1779.2万元，主力资金净流入8555.97万元,每日经济新闻
593,2021-06-09,晨会聚焦210609重点关注培育钻石行业、再生铝行业、元宇宙专题、机械行业,国信研究
594,2021-06-09,“缺芯”影响持续发酵，内外资联手加仓芯片股,Wind
595,2021-06-08,英飞凌跃居全球汽车半导体第一行业增量空间广阔国内厂商登上舞台,财联社
596,2021-06-08,电子行业周报：鸿蒙引领IOT芯机遇,新浪
597,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
598,2021-06-07,电子元件：鸿蒙OS2.0发布 AIOT发展加速,新浪
599,2021-06-07,通信电子行业景气数据跟踪报告之五：全球与国内龙头的靓丽业绩持续印证半导体高景气度,光大证券
600,2021-06-07,半导体板块飙涨，有芯片价格涨至5倍，行业供需格局或仍趋紧丨牛熊眼,第一财经
601,2021-06-07,券商晨会观点速递,第一财经
602,2021-06-04,卓胜微：公司的终端客户主要为智能手机厂商，深圳传音控股股份有限公司是公司的客户,每日经济新闻
603,2021-06-04,资金流向分析,新浪
604,2021-06-04,千亿市值龙头公司股东户数骤降30%！这些股票筹码正快速集中,Wind
605,2021-06-03,光大证券：5月金股组合盈利1.12% 6月荐股名单出炉,新浪
606,2021-06-02,【半导体投资日报】涨价持续演绎，芯片设计、功率半导体市场空间广阔,新浪
607,2021-06-02,券商判势｜6月关注“聪明钱”青睐板块,搜狐
608,2021-06-02,6月2日晚间重要行业研究汇总(附股),中金在线
609,2021-06-02,电子行业-射频前端行业跟踪报告之三：SAW和BAW滤波器空间广阔 东方银星入股武汉敏声卡位BAW赛道,光大证券
610,2021-06-02,江苏区域股市周报：润和软件涨56.32%排第一 2亿融资买入恒瑞医药,每日经济新闻
611,2021-06-02,晨会聚焦210602重点关注现代牙科、商贸零售、机械、海外教育、港股、房地产、白酒、拓邦股份、洋河股份、美团,国信研究
612,2021-06-02,晶圆厂资本开支上行，关注设备和材料国产化机会,招商证券
613,2021-06-02,东吴证券：当前半导体市场的供需紧张关系依旧维持,证券时报网
614,2021-05-31,2021年6月十大金股：把握市场预期平稳期 关注成长、消费龙头,光大证券
615,2021-05-31,5月31日晚间重要行业研究汇总(附股),中金在线
616,2021-05-31,电子行业周报：三大角度分析LCD面板能否变成弱周期行业？,国海证券
617,2021-05-31,电子行业周报：半导体景气持续业绩确定 面板价格保持上升,华安证券
618,2021-05-30,板块拾金|一天一个样！新能源、半导体、金融...轮动市到底看谁？策略收好！,第一财经
619,2021-05-30,半导体行业报告：5G持续落地+国产替代加速 看好前瞻布局射频前端滤波器核心技术相关标的,新浪
620,2021-05-28,卓胜微：公司目前未与正威集团开展合作,每日经济新闻
621,2021-05-28,又添三家！江苏“千亿俱乐部”创纪录，下一批扩容会是谁？,深水财经社
622,2021-05-27,明星基金扎堆重仓股：大举增持+超跌滞涨股仅6只,Wind
623,2021-05-26,A股早报2021年5月26日星期三,Wind
624,2021-05-26,卓胜微5月25日现19笔大宗交易,证券时报网
625,2021-05-25,"卓胜微现19笔大宗交易 共成交14,724.00万元",新浪
626,2021-05-25,电子行业：建议关注AR／VR产业链投资机会,新浪
627,2021-05-25,A股早报2021年5月25日星期二,Wind
628,2021-05-24,"卓胜微现26笔大宗交易 共成交34,398.78万元",新浪
629,2021-05-24,卓胜微今日大宗交易成交93.03万股，成交价369.76元折价9.59%,Wind
630,2021-05-24,电子行业周报：荣耀复苏 大基金减持 减持股份,新浪
631,2021-05-24,晨会聚焦210524重点关注社会服务、海外银行、传媒、医药、卓胜微,国信研究
632,2021-05-22,【民生周末重点推荐】首席看电子：业绩增长强劲，电子行业景气延续——电子行业2020年报和2021一季报总结,MS研究
633,2021-05-21,光大证券--半导体4月跟踪报告：半导体2020及21Q1业绩靓丽，景气高企【行业研究】,金融界股吧
634,2021-05-20,追高壕买5200多万，这家公司一纸公告5个涨停,Wind
635,2021-05-20,国海证券：卓胜微（300782.SZ）国内射频芯片龙头，维持“买入”评级,智通财经
636,2021-05-20,24股获券商买入评级 博通集成目标涨幅达39.13%,Wind
637,2021-05-20,卓胜微(300782)：国内射频芯片龙头 拉开射频模组国产化序幕,国海证券
638,2021-05-20,国海证券维持卓胜微买入评级，深度报告：国内射频芯片龙头，拉开射频模组国产化序幕,每日经济新闻
639,2021-05-19,卓胜微(300782)：千亿赛道射频龙头之“十问十答”,新浪
640,2021-05-19,国信证券维持卓胜微买入评级，半导体龙头系列：千亿赛道射频龙头之“十问十答”,每日经济新闻
641,2021-05-19,国信证券：卓胜微（300782.SZ）千亿赛道射频龙头，维持“买入”评级,智通财经
642,2021-05-19,晨会聚焦210519重点关注华测导航、银行理财、汽车汽配、房地产、纺织服装、扬农化工、中兵红箭、华峰化学、中国移动,国信研究
643,2021-05-19,芯片未来将在材料和封装上创新，关注五个投资方向,方正证券
644,2021-05-18,4月份重要股东增减持动态：减持金额同比持平 增持金额环比下降近9成,面包财经
645,2021-05-17,IPO日报四周年巨献：觅A股四十新星,国际金融报
646,2021-05-16,【民生研究】周观点汇总：疫情和就业数据只是扰动，发达国家经济复苏趋势没有改变,新浪
647,2021-05-13,电子行业2020年年报暨2021年一季报总结：淡季不淡 高景气下电子行业表现亮眼,新浪
648,2021-05-13,科技硬件周报(5/1)：A股年报季收官 苹果业绩会广受关注,新浪
649,2021-05-13,半导体年报&Q1总结：中短期看量价齐升 中长期看需求和格局,新浪
650,2021-05-13,电子行业2021年中期策略：大变局下的电子行业新机遇,新浪
651,2021-05-13,电子行业2020年报和2021一季报总结：业绩增长强劲 电子行业景气延续,新浪
652,2021-05-12,电子行业：FY20&1Q21业绩回顾和持仓分析,新浪
653,2021-05-11,卓胜微：公司属于出口退税企业，免抵税额是当期免抵退税额与应退税额的差额,每日经济新闻
654,2021-05-11,卓胜微今日大宗交易成交1.20万股，成交价358.0元溢价0.0%,Wind
655,2021-05-11,天风研究 | 2020年报·2021一季报总结,天风研究
656,2021-05-10,科技行业FY20&1Q21业绩回顾：半导体设计／制造板块迎来高景气周期,新浪
657,2021-05-10,半导体行业周报：海外半导体一季报解读 高业绩指引高景气,新浪
658,2021-05-10,"卓胜微现3笔大宗交易 共成交1,177.19万元",新浪
659,2021-05-10,卓胜微今日大宗交易成交3.25万股，成交价362.21元溢价0.0%,Wind
660,2021-05-10,电子行业周报：手机需求放缓 再谈半导体投资逻辑,新浪
661,2021-05-09,A股半导体公司Q1业绩排行榜：120家公司合计营收2029亿元，超9成公司实现增长,搜狐
662,2021-05-09,【兴证电子】周报：AI带动智能终端浪潮，国产化仍是行业主线,兴证电子谢恒团队
663,2021-05-08,5月机会：赚钱效应逐渐回升三大行业被集体看好！,金融投资报
664,2021-05-07,韦尔股份逼近跌停，芯片板块持续低迷,Wind
665,2021-05-06,卓胜微(300782.SZ)股东姚立生累计减持102.99万股 减持期满 减持股份,智通财经
666,2021-05-06,卓胜微：公司股东姚立生减持计划到期，减持股份数量约103万股,每日经济新闻
667,2021-05-06,卓胜微：股东姚立生累计减持0.57%股份 减持股份,Wind
668,2021-05-06,北向资金午后加速离场，中国平安遭大幅抛售超15亿元,Wind
669,2021-05-04,1300亿美元怎么分？比尔·盖茨宣布与妻子离婚！5月券商金股出炉，4股业绩翻倍获机构扎堆推荐,e公司
670,2021-05-03,14家券商5月投资“金股”出炉，最看好这两只,Wind
671,2021-04-30,北向资金结束连续5日净买入，美的集团创逾2个月最大净卖出,Wind
672,2021-04-30,高端制造行业事件点评：深圳政府多政策扶持5G产业发展 着力建立5G产业集群,新浪
673,2021-04-30,【牛人重仓】卓胜微:放量上涨，量比大于3，今日资金流入-27.44万元，北向资金持股1449.9万股，融资余额160049.55万元；前3个交易日，北向资金增持637.38万股，融资额增加7650.6万元，主力资金净流入-4110.62万元,每日经济新闻
674,2021-04-30,一季报收官：谁是A股赚钱王？五家公司每股收益均超过5元,财富动力网
675,2021-04-30,【国元电子】思瑞浦点评：业绩符合预期，电源产品蓄势待发,茂飞电子研究
676,2021-04-29,36股即将实施分红 卓胜微派现最大方,证券时报网
677,2021-04-29,【牛人重仓】卓胜微:牛人重仓绩优股今年来融资余额增仓100%以上，今日资金流入0.0万元，北向资金持股819.61万股，融资余额154760.3万元；前3个交易日，北向资金增持-10.43万股，融资额增加9478.45万元，主力资金净流入-761.56万元,每日经济新闻
678,2021-04-28,半导体业绩大考 谁的表现超预期？,新浪
679,2021-04-28,物以稀为贵！超六成公司分红，高送转成香馍馍,Wind
680,2021-04-28,【国元电子】兆易创新：Q1业绩超预期，看好全年增长,茂飞电子研究
681,2021-04-28,【国元电子】TCL科技：行业周期性减弱，龙头估值有望重塑,茂飞电子研究
682,2021-04-28,【牛人重仓】卓胜微:牛人重仓绩优股今年来融资余额增仓100%以上，今日资金流入-2537.43万元，北向资金持股816.76万股，融资余额154289.34万元；前3个交易日，北向资金增持-15.2万股，融资额增加15070.57万元，主力资金净流入559.02万元,每日经济新闻
683,2021-04-28,风享 · TMT 一周谈 | 当下科技板块如何布局？,天风研究
684,2021-04-27,【牛人重仓】卓胜微:牛人重仓绩优股今年来融资余额增仓100%以上，今日资金流入1620.78万元，北向资金持股812.53万股，融资余额152398.95万元；前3个交易日，北向资金增持-28.42万股，融资额增加12235.18万元，主力资金净流入6319.24万元,每日经济新闻
685,2021-04-26,卓胜微：射频龙头持续成长,半导体风向标
686,2021-04-26,华安证券--电子行业周报：持续聚焦一季报确定的面板、半导体板块【行业研究】,金融界股吧
687,2021-04-23,卓胜微(300782.SZ)每10股转增8股派现10元 股权登记日为4月29日,智通财经
688,2021-04-23,【观察】情绪左右投资，等待艾为电子的价值回归,财华社
689,2021-04-23,国信证券：卓胜微(300782.SZ)各大品牌客户增长显着，维持“买入”评级,智通财经
690,2021-04-23,基金换打法：降仓位、填洼地、抓龙头,Wind
691,2021-04-23,有眼光！公募基金一季度仍重仓电子，卓胜微、韦尔股份业绩翻倍,资本邦
692,2021-04-23,小K播早报！一季度我国软件业收入同增26.5% 卓胜微一季报预增224.34%,科创板日报
693,2021-04-23,67只绩优龙头股名单出炉！北上资金扫货名单曝光,Wind
694,2021-04-23,A股早报2021年4月23日星期五,Wind
695,2021-04-23,业绩暴增龙头股来了！,中国基金报
696,2021-04-22,【华西电子孙远峰团队—持续推荐卓胜微】α与β共振，业绩持续超预期,远峰电子
697,2021-04-22,卓胜微(300782.SZ)一季度净利润升224.34%至4.92亿元,格隆汇
698,2021-04-22,卓胜微：一季度净利润同比增长224.34%,Wind
699,2021-04-22,超9成盈利、27家业绩翻番，半导体迎最好时期,Wind
700,2021-04-21,【半导体投资日报】一季度我国芯片相关企业注册量增302%，阿斯麦净利润增240%,新浪
701,2021-04-21,光大证券--汽车行业2021年华为智能汽车解决方案HI新品发布会点评：华为Inside汽车，中国Tier1崛起，产业链重构进行时【行业研究】,金融界股吧
702,2021-04-20,【半导体投资日报】关注未来2-3年成长确定性强 向上空间较大的细分领域,新浪
703,2021-04-20,“固收+”大咖张清华一季度“加”了什么？,Wind
704,2021-04-20,半导体公司一季度业绩集体预增,Wind
705,2021-04-19,半导体动态分析：关注半导体龙头成长机会、全面扩产带来国产机遇,新浪
706,2021-04-19,信达证券--电子行业深度报告：追根溯源，探讨半导体缺货的危与机【行业研究】,金融界股吧
707,2021-04-16,【早安新时代】2021/04/16：今日关注卓胜微、吉比特、宝信软件,新时代证券研究
708,2021-04-16,【新时代电子 毛正团队】卓胜微：2021Q1业绩继续超预期，尽享射频黄金赛道盛宴,新时代证券研究
709,2021-04-16,三大指数盘中均翻绿 创业板指跳水跌逾1.5%,网易
710,2021-04-15,【调研纪要】卓胜微：天线开关市场规模年复合增速约10%（20210415）,微信
