,2021-12-31,400余药企研发人员已超16.7万，研发速度不断提升,--
701,2020-11-25,成都高新区、上海医药和威斯克公司签署协议加快新冠疫苗研发转化,格隆汇
702,2020-11-19,专业从事疫苗研发生产，成都威斯克生物医药有限公司获得近3亿元融资,猎云网
703,2020-11-18,恒指涨0.6%文娱设施板块领涨,中新经纬
704,2020-11-17,成都威斯克公司A轮融资近3亿元用于疫苗研发,E药经理人
705,2020-11-17,海外疫情催生医药商业龙头外贸突破 世界健博会线上交易平台启动,华夏时报
706,2020-11-17,疫苗研发生产和免疫治疗公司威斯克生物获3亿人民币战略融资,亿邦动力
707,2020-11-17,威斯克生物完成3亿人民币战略融资,亿邦动力
708,2020-11-17,Wind快讯 每日医药行业动态（2020-11-17）,Wind
709,2020-11-17,我国首个利用昆虫细胞研发的重组蛋白新冠疫苗进入二期临床,澎湃新闻
710,2020-11-17,医药行业机遇和挑战并存，部分板块仍具备结构性机会,制药网
711,2020-11-16,医药电商行业有望迎来井喷式发展，相关概念股有哪些？,制药网
712,2020-11-15,医药行业每周医览药闻：中国科技创新的卖水者 科学服务行业方兴未艾,新浪
713,2020-11-14,清科研究中心私募通基金周报,新浪
714,2020-11-13,预见2021：《2021年中国医药物流产业全景图谱》(附发展现状、竞争格局、趋势等),前瞻研究院
715,2020-11-13,网络处方药销售将有条件放开 医药电商望获益（附股）,证券时报网
716,2020-11-13,流动性是当前主要矛盾,财富动力网
717,2020-11-13,格隆汇沽空预警榜|11月11日,格隆汇
718,2020-11-11,雅培等多家MNC进博会密集签约背后，这一信号值得关注！,E药经理人
719,2020-11-11,注意！对接100+欧美项目，China Focus线上对接会第2场来袭!,药渡
720,2020-11-11,格隆汇沽空预警榜|11月9日,格隆汇
721,2020-11-09,恒指涨1.62%禽畜肉类板块领涨,中新经纬
722,2020-11-08,进博会药品和医用耗材集中带量采购成绩单：意向签约已超8亿,第一财经
723,2020-11-08,进博会首次举行上海药品和医用耗材集中带量采购意向签约，金额总计约8.41亿元,Wind
724,2020-11-07,从装备大件到医疗“神器” 进博会签约采购渐入佳境,新华网
725,2020-11-07,【安信中小盘】11.09-11.13新股申购一览,AX中小盘研究
726,2020-11-06,【权益变动】上海医药(02607-HK)被贝莱德减持68.27万股 减持股份,财华社
727,2020-11-06,恒指收涨0.07% 贵金属板块领涨,中新经纬
728,2020-11-06,恒生指数收涨0.07%，小米领涨蓝筹,Wind
729,2020-11-06,【异动股】上海医药(02607-HK)涨3.18%,财华社
730,2020-11-06,【泰有财·研究服务】医药行业点评,中泰金融国际
731,2020-11-05,上实城市开发(00563)附属与上海医药订立项目管理服务协议,智通财经
732,2020-11-05,医药企业应用电子合同 推动行业合规发展,砍柴网
733,2020-11-05,10月医药大事件之榜单篇：涵盖范围广、内容丰富,制药网
734,2020-11-04,交银国际：石药治疗骨癌的药物I期临床完成首例给药,新浪
735,2020-11-02,格隆汇港股聚焦(11.2)︱中国奥园10月合同销售额同比增51%；富力地产前10个月销售额1026亿元,格隆汇
736,2020-11-02,A股头条之上市公司（11.3）,金融界
737,2020-11-02,上海医药(02607.HK)：头孢氨苄胶囊通过仿制药一致性评价,格隆汇
738,2020-11-02,【国信医药】上海医药：研发加码持续，创新开花可期（三季报点评）,GuosenHealthcare
739,2020-11-02,交银国际：上海医药维持买入评级 目标价17.87港元,新浪
740,2020-11-02,上海医药(601607)：商业板块加速恢复 持续加码研发创新,新浪
741,2020-11-01,医药行业每周医览药闻：医药零售板块2020年三季报业绩总结：抓住景气度提升明确的优质赛道,新浪
742,2020-10-31,三季度公募调仓加“酒量”，证金汇金青睐医药股,证券时报网
743,2020-10-31,三季度公募调仓加“酒量” 证金汇金青睐医药股,证券时报
744,2020-10-31,药企近期动态：高管离职、被罚、停产 食药监处罚,制药网
745,2020-10-31,三季度公募调仓加“酒量”，证金汇金青睐医药股,Wind
746,2020-10-31,疫情冲击缓解 前三季度超八成公司盈利,证券时报
747,2020-10-30,上海医药三季度经营业绩持续恢复,上证报
748,2020-10-30,两知名药企宣布合作,赛柏蓝
749,2020-10-30,上海医药前三季度营收突破1400亿元 扣非净利润同比增长6.8%,证券日报网
750,2020-10-30,上海医药：前三财季盈利36.02亿人民币，同比增长5.97%,Wind
751,2020-10-30,今日924公司公布三季报113家业绩增幅翻倍,证券时报网
752,2020-10-30,每日晨报-20201030,国元国际
753,2020-10-30,【即时点评】药明康德；上海医药；中兴通讯,国元国际
754,2020-10-30,上海生物医药产业股权投资基金启动，首期超目标已募100亿,澎湃新闻
755,2020-10-29,格隆汇港股聚焦(10.29)︱中远海能前三季净利升470.39%至33.24亿元；比亚迪第三季度净利大增1362.66%,格隆汇
756,2020-10-29,上海医药发布2020年三季报 前三季扣非净利同比增长6.8%,证券时报
757,2020-10-29,上海生物医药基金签约，首期募资100亿打造沪上生物医药产业创新高地,Wind
758,2020-10-29,上海生物医药基金签约，首期募资100亿打造沪上生物医药产业创新高地,上观
759,2020-10-29,复旦张江(01349)与上海医药(02607)订立销售及分销协议,智通财经
760,2020-10-29,上海医药(02607)前三季度股东应占利润36.02亿元 同比增长5.97%,智通财经
761,2020-10-29,上海医药(02607)拟参与设立预期规模为90亿元的投资基金,智通财经
762,2020-10-29,上海医药(02607.HK)拟成立投资基金参与医疗产业链战略布局,格隆汇
763,2020-10-29,上海医药(601607.SH)：前三季度净利升5.97%至36.02亿元,格隆汇
764,2020-10-29,康希诺前三季度研发投入超1.7亿元 在研产品商业化提速,证券日报网
765,2020-10-29,上海医药：前三季度净利润同比增长5.97%,Wind
766,2020-10-29,直投股票理财产品三季报曝光 理财子公司积极抢滩权益市场,中证报
767,2020-10-29,上海医药集团股份有限公司 关于多品种债务融资工具（DFI）注册申请获准的公告,证券时报
768,2020-10-28,康希诺发布三季报 研发投入持续加码,上证报
769,2020-10-28,股市新势力持仓曝光！仓位达85%，看好疫苗领域机会,中证报
770,2020-10-28,让国药走向世界丨“正大青春宝药业”高铁冠名列车在沪隆重首发,新浪
771,2020-10-28,康希诺前三季度亏损巨大，但研发投入近九成 亏损,证券之星
772,2020-10-28,交银国际：药品集采对业绩的影响逐渐减弱 聚焦创新药,新浪
773,2020-10-27,康希诺新冠疫苗商品名确定：克威莎！年产能可达3亿剂,21世纪经济报道
774,2020-10-27,前三季度研发费用同比增长86.82% 康希诺明星产品有望年内上市,中证网
775,2020-10-27,思源股份、德源药业精选层申报材料获受理累计受理企业达83家,挖贝网
776,2020-10-27,鑫开元：打造中国最专业的“一站式”CRO平台,医药观察家网
777,2020-10-27,国资委副主任翁杰明：纵深推进“双百企业”综合改革 率先完成重点任务,上证报
778,2020-10-27,超20家中国公司参与 涉及药物30多款 Q3授权交易特点有这些,药明康德
779,2020-10-26,在集采票据传输上搞小动作，22家药企被医保局约谈 其他违规处罚,健识局
780,2020-10-26,上海医药(02607.HK)：多品种债务融资工具(DFI)注册申请获准,格隆汇
781,2020-10-26,揭秘26家医药商业企业半年业绩：12家营收净利双增,制药网
782,2020-10-23,格隆汇港股聚焦(10.23)︱中信建投证券前三季度净利升96.11%；长城汽车第三季度营收、净利润双增,格隆汇
783,2020-10-23,A股头条之上市公司（10.24）,金融界
784,2020-10-23,10月23日晚间上市公司十大重磅公告,巨丰财经
785,2020-10-23,上海医药：盐酸胺碘酮片品通过仿制药一致性评价,Wind
786,2020-10-23,九州通新生代正式亮相 行业变革中凸显龙头效应,和讯
787,2020-10-23,翰宇药业参股企业健麾信息成功过会,证券时报
788,2020-10-22,上海医药遭社保基金2次减持 上半年营收降5.84% 减持股份,GPLP犀牛财经
789,2020-10-22,健麾信息IPO：曾被大客户起诉 关联资产收购疑点重重 关联方问题,中金在线
790,2020-10-21,上海医药子公司产“龙虎人丹”不合格被通报 因重量存差异 产品问题,GPLP犀牛财经
791,2020-10-21,上海医药(02607.HK)完成发行2020年度第四期超短期融资券,格隆汇
792,2020-10-21,上海医药(601607.SH)完成发行2020年度第四期超短期融资券,格隆汇
793,2020-10-21,智通AH统计|10月21日,智通财经
794,2020-10-21,上市药企资本变局不断：丽珠分拆上市 CRO将现第四家A+H企业,E药经理人
795,2020-10-20,丽珠试剂分拆上市冲击千亿蓝海、CRO第四家A+H企业将现……上市药企资本变局不断,E药经理人
796,2020-10-20,智通AH统计|10月20日,智通财经
797,2020-10-20,药企行贿案密集曝光，政策组合拳能斩断灰色利益链条吗？,澎湃新闻
798,2020-10-20,药企行贿案密集曝光！灰色利益链还有多少生存空间？ 其他违规处罚,中新网
799,2020-10-20,药企行贿案密集曝光：有院内人员收上千万回扣 其他违规处罚,新浪
800,2020-10-19,智通AH统计|10月19日,智通财经
801,2020-10-19,中国化学制药工业企业百强揭晓，前三排名有变,制药网
802,2020-10-19,港股IPO|“药明系”第三家，药明巨诺通过港交所聆讯,资本邦
803,2020-10-19,医疗行业反腐利剑出鞘！揭开巨额销售费用“画皮”,Wind
804,2020-10-19,证券时报头版评论：药企须让研发创新站C位,证券时报
805,2020-10-18,上海中华药业有限公司药品抽检不合格系上海医药全资子公司 产品问题,中国经济网
806,2020-10-17,中纪委曝光腐败案件，百强药企超半数存在“回扣”问题 其他违规处罚,健识局
807,2020-10-16,三诺生物(300298.SZ)：子公司拟不超1.5亿元参与增资上药云健康项目,格隆汇
808,2020-10-16,金银花露等多个常用药抽检不合格，涉及上药子公司！ 产品问题,医药观察家网
809,2020-10-16,2次，200元一支！浙江部分地区新冠疫苗紧急接种，这些人可优先！,21财闻汇
810,2020-10-16,智通AH统计|10月16日,智通财经
811,2020-10-15,上海医药(02607)将于10月22日兑付2020年度第三期超短期融资券,智通财经
812,2020-10-15,上海医药(02607.HK)将于10月22日兑付25亿元超短期融资券,格隆汇
813,2020-10-15,上海医药(02607.HK)将于10月29日举行董事会会议以审批前三季度业绩,格隆汇
814,2020-10-14,【权益变动】上海医药(02607-HK)被社保基金减持35.29万股 减持股份,财华社
815,2020-10-13,东方基金许文波爆款“绝缘体”，新品中国红利混合仅募集2.76亿元,和讯
816,2020-10-12,恒指高开0.41% 航空物流板块领涨,中新经纬
817,2020-10-09,大批配送商要被淘汰,赛柏蓝
818,2020-10-09,150家上市药企高管离职，职位变动不断为哪般？ 董监高成员变化,制药网
819,2020-10-08,上海医药(02607.HK)遭全国社会保障基金理事会减持35.29万股 减持股份,格隆汇
820,2020-10-06,恒指高开0.54%，工业和医疗保健涨幅居前,中新经纬
821,2020-10-04,医药行业50强榜单出炉：北上资金大手笔增持个股曝光,新浪
822,2020-10-04,合力助推云南生物医药产业高质量发展,云南日报
823,2020-10-03,季报历史新高，9月却回撤7%！——小狼一号和理财三季报,搜狐
824,2020-09-30,大参林牵手创新药企 完善DTP药房布局 然而这些因素还掣肘行业发展,科创板日报
825,2020-09-30,股价跌至历史低点 华润医药的资产整合之殇,新浪
826,2020-09-30,投入研发约1496万，上药集团左炔诺孕酮片通过一致性评价,药通社
827,2020-09-30,健康医疗企业社会责任履行面临新考验 细分行业之间差距较大,21世纪经济报道
828,2020-09-29,健康医疗企业社会责任履行面临新考验 细分行业之间差距较大,21世纪经济报道
829,2020-09-29,全球农化销售20强新安集团携手上上签 电子签约赋能企业智能化战略实施,砍柴网
830,2020-09-28,格隆汇港股聚焦(9.28)︱吉利汽车科创板上市申请获批；宏基资本拟溢价五成要约回购21.36%股份,格隆汇
831,2020-09-28,重磅！华润医药收购博雅生物，巨头这次跨界能成功吗？,新浪
832,2020-09-28,上海医药：左炔诺孕酮片通过仿制药一致性评价,Wind
833,2020-09-28,上海医药(601607.SH)：左炔诺孕酮片通过仿制药一致性评价,格隆汇
834,2020-09-28,携手上海医药 助力“黔药出山”,新华网
835,2020-09-27,彭华岗：国企改革三年行动已全面启动,中证网
836,2020-09-27,2020中国大健康产业峰会：重构产业价值 聚焦疫后医疗新机遇,21世纪经济报道
837,2020-09-26,《中国健康医疗上市公司社会责任报告》：制药优于其他行业，企业间差距明显,21世纪经济报道
838,2020-09-25,犀牛财经投融资：Fiture获6500万美元 鹏钛存储获过亿元,GPLP犀牛财经
839,2020-09-25,生物技术公司亦诺微获1000万美元B+轮融资,36氪
840,2020-09-25,专注溶瘤病毒治疗，「亦诺微」完成1000万美元B+轮融资,36氪
841,2020-09-24,聚焦新型免疫疗法，深圳亦诺微完成1000万美元B+轮融资,亿欧网
842,2020-09-24,中国企业可持续发展100佳榜单发布 广州白云山医药等4家医药行业企业上榜,中新网
843,2020-09-24,国有企业“争创一流”迈向新征程,国资委
844,2020-09-23,2020中国肿瘤特药支付报告发布 预见医药保险产业融合发展未来,投资者网
845,2020-09-23,吸收合并愈演愈烈，演绎A股“最美”风景,Wind
846,2020-09-23,【行情】港股医药股持续走高，复星医药涨超6%，药明生物、药明康德、上海医药等纷纷走高,金十数据
847,2020-09-23,恒指低开0.07% 金属矿物板块领跌,中新经纬
848,2020-09-22,格隆汇港股聚焦(9.22)︱中通快递在港上市发行价厘定为218港元；建设银行拟发行不超1600亿元二级资本工具,格隆汇
849,2020-09-22,智通港股公告精选︱(9.22)乐享互动公开发售超购逾千倍 再鼎医药招股定价562港元,智通财经
850,2020-09-22,晚间公告热点追踪：快手直播“一哥”入股 起步股份四连板,新浪
851,2020-09-22,晚间公告热点追踪：三妖股异常交易账户被立案调查 50亿参与搏杀,新浪
852,2020-09-22,A股头条之上市公司（9.23）,金融界
853,2020-09-22,精彩来袭|第五届中华医学事务年会之国内药企专场,生物谷
854,2020-09-22,国际多中心临床试验提速 康希诺生物新冠候选疫苗会否后来居上？,证券时报
855,2020-09-22,上海医药：瑞舒伐他汀钙片获药品注册证书,Wind
856,2020-09-21,2020年以来千个品规通过一致性评价，多药企硕果累累,制药网
857,2020-09-19,高瓴操盘的嘉和生物，会香吗？,华盛证券
858,2020-09-18,8个月收获3家医疗上市企业，“解析”北极光创投医疗健康投资法则,36氪
859,2020-09-18,瀚晖制药携手上上签 电子合同让业务运转提速,砍柴网
860,2020-09-17,巨头“鲸吞”，第三批国采配送权的背后,医药观察家网
861,2020-09-16,【大行报告】交银国际为何看好国产高值耗材企业﹖,财华社
862,2020-09-15,合纵药易购业务局限区域难突围 利润空间被压缩 毛利率波动大 偿债能力弱,和讯
863,2020-09-15,片仔癀：提价保增长难持续,和讯
864,2020-09-15,各地开始实施第三批药品带量采购 山东头批确定40个品种,制药网
865,2020-09-14,格隆汇港股聚焦(9.14)︱京东数科9月10日向上交所提交上市申请；三生制药贝伐珠单抗生物类似药中国IND获受理,格隆汇
866,2020-09-14,A股头条之上市公司（9.15）,金融界
867,2020-09-14,9月14日晚间上市公司十大重磅公告,巨丰财经
868,2020-09-14,研发日报丨礼来REYVOW治疗偏头痛2期临床结果积极,新浪
869,2020-09-14,港股复盘：继续没有量的上涨,YY港股圈
870,2020-09-14,华润、上药2大品种通过一致性评价,医药观察家网
871,2020-09-14,上海医药：盐酸克林霉素胶囊通过仿制药一致性评价,Wind
872,2020-09-14,上海医药(601607.SH)：盐酸克林霉素胶囊通过仿制药一致性评价,格隆汇
873,2020-09-14,上海医药(02607.HK)遭全国社会保障基金理事会减持173.65万股 减持股份,格隆汇
874,2020-09-14,智通港股早知道︱(9月14日)金融控股公司监督管理办法落地，留意招商局集团系列等股价波动,智通财经
875,2020-09-13,社保基金去年大赚近2920亿！减持交行收官，70天套现38亿，近期还在减持这些个股 减持股份,券商中国
876,2020-09-11,【权益变动】上海医药(02607-HK)被社保基金减持173.65万股 减持股份,财华社
877,2020-09-10,药闻速递 |10家药企20批次药品不符合规定；第三批国采中选药品开始挂网,新浪
878,2020-09-10,研发日报丨加码多发性硬化症！罗氏启动三项临床试验研究,新浪
879,2020-09-09,格隆汇港股聚焦(9.09)︱南航子公司实行启动混改，拟出让不超49.5%股权；弘阳地产前8个月销售480亿元,格隆汇
880,2020-09-09,A股头条之上市公司（9.10）,金融界
881,2020-09-09,上海医药(02607)：治疗急性脑卒中新药“注射用 LT3001”获准开展临床试验,智通财经
882,2020-09-09,上海医药(02607.HK)：注射用LT3001获得临床试验批准通知书,格隆汇
883,2020-09-09,上海医药：注射用LT3001获得临床试验批准通知书,Wind
884,2020-09-09,上海医药：注射用LT3001获得临床试验批准通知书,证券时报网
885,2020-09-09,上海医药(601607.SH)：注射用LT3001获得临床试验批准通知书,格隆汇
886,2020-09-08,下半年，医药板块行情怎么样？,汇聚南药
887,2020-09-08,研发日报丨强生伊布替尼联合利妥昔单抗一线治疗CLL在欧洲获批,新浪
888,2020-09-08,降价53%VS年内上涨179%，带量采购之后的A股上市药企反应大不同？,搜狐
889,2020-09-08,药企中考：化学制剂、中药承压 研发费用增长17%,新浪
890,2020-09-08,多家药企终止合作、剥离业务！ 经营问题,医药资讯地方台
891,2020-09-07,医疗器械行业快速发展，上半年大批企业利润翻倍,制药网
892,2020-09-06,医药行业每周医览药闻：2020年医药中报业绩总结：后疫情时代 关注需求复苏下蕴含的全球市场机会,新浪
893,2020-09-04,【权益变动】上海医药(02607-HK)被社保基金减持127.47万股 减持股份,财华社
894,2020-09-04,8月医药大事件之榜单篇：国内药企活力持续涌现,制药网
895,2020-09-04,碧桂园沪深ESG100优选指数完成年度调仓,新浪
896,2020-09-03,流感概念股盘中拉升走高 葵花药业涨停,中国经济网
897,2020-09-03,138股获券商买入评级，会畅通讯目标涨幅达93.60%,Wind
898,2020-09-03,康希诺生物新冠疫苗开始国际三期临床试验 于俄罗斯批准临床入组,金融界
899,2020-09-02,339家药企公布半年报，5家净利润超20亿,制药网
900,2020-09-01,格隆汇港股聚焦(9.01)︱吉利汽车正式提交科创板招股书；时代中国控股八月销售增逾四成,格隆汇
901,2020-09-01,上海医药(02607)获控股股东上实集团增持80万股H股,智通财经
902,2020-09-01,上海医药(02607.HK)获控股股东增持80万股H股,格隆汇
903,2020-09-01,上海医药(601607.SH)：控股股东增持80万股H股,格隆汇
904,2020-09-01,与上药合作 康希诺生物提速商业化,北京商报
905,2020-09-01,康希诺生物-B(06185)CFO：疫苗三期临床试验结果有望3-6个月后出炉,智通财经
906,2020-09-01,康希诺生物-B与上海医药签订战略合作协议，拟开展疫苗配送及供应链合作,资本邦
907,2020-09-01,康希诺生物-B(06185)与上海医药(02607)签订战略合作协议 推进疫苗产业化及供应链服务,智通财经
908,2020-09-01,药企半年报：圣湘生物领跑抗疫股 康美药业等问题企业业绩下滑 盈利能力下降,澎湃新闻
909,2020-09-01,康希诺生物联手上海医药 推进疫苗产业化及供应链服务,e公司
910,2020-09-01,小K播早报！上半年科创板公司机构股东持股比例上升明显上海医药与康希诺生物签订战略协议,科创板日报
911,2020-08-31,上海医药与康希诺生物签订战略协议，推进疫苗产业化及供应链合作,Wind
912,2020-08-31,康希诺生物与上海医药签署战略合作,中证网
913,2020-08-31,工信部组织生产基地建设，保障100种易缺药品供应,蒲公英
914,2020-08-31,10股获买入评级 最新:圆通速递,中财网
915,2020-08-31,国投瑞银创新医疗混合基金最新净值涨幅达1.84%,金融界
916,2020-08-31,上海医药(601607)：Q2表现亮眼 持续加码研发创新,新浪
917,2020-08-31,小K播早报！首个国产单抗生物类似药获批上市华为开发者大会将公布鸿蒙OS和EMUI11字节跳动称将严格遵守规定处理技术出口业务,科创板日报
918,2020-08-31,国家队偏爱热门板块 北上资金加仓“优等生”,证券时报
919,2020-08-29,仿制药一致性评价数据库,新浪
920,2020-08-29,上海医药(601607)：上半年稳步回升 表现可圈可点,新浪
921,2020-08-28,公告精选丨400家公司发布半年报，2家净利润同比增长超20倍,21世纪经济报道
922,2020-08-28,上海医药(02607.HK)拟与九洲药业设立合资公司,格隆汇
923,2020-08-28,晚间重要公告2020年8月28日星期五,Wind
924,2020-08-28,上海医药：拟与九洲药业设立合资公司共同开发高端仿制药及改良型新药,格隆汇
925,2020-08-28,九洲药业：认缴出资2.25亿元设立合资公司,Wind
926,2020-08-28,上海医药业绩全面复苏 二季度净利润同比环比皆增,上证报
927,2020-08-28,超讯通信上半年扭亏为盈 物联网业务风生水起,上证报
928,2020-08-28,恒生指数高开0.2%报25330点 蒙牛乳业(02319)涨2.8%领涨蓝筹,凤凰网
929,2020-08-27,上海医药(02607)中期归属股东净利润同比增长6.84%至24.43亿元,智通财经
930,2020-08-27,混改尘埃落定 天津信托领导团队的新考题,北京商报
931,2020-08-27,上海医药：上半年净利润同比增长6.84%,Wind
932,2020-08-27,上海医药(601607.SH)半年度净利润升6.84%至24.43亿元,格隆汇
933,2020-08-27,【国泰君安国际】晨报：水泥进入传统旺季，关注水泥龙头企业 2020年8月27日周四,国泰君安证券香港
934,2020-08-27,一波三折后天津信托股权变更落定 上实集团94.09亿元溢价入主,华夏时报
935,2020-08-27,智通港股通资金流向统计(T+2)|8月27日,智通财经
936,2020-08-27,2020全国药店周暨中国医药工业百强年会在昆明召开,中新网
937,2020-08-26,上实集团入主天津信托正式获批，持股77.58%,澎湃新闻
938,2020-08-26,交银国际眼中的药企,财华社
939,2020-08-26,智通港股通资金流向统计(T+2)|8月26日,智通财经
940,2020-08-25,恒指高开0.14%报25586.99点航运港口板块活跃,中新经纬
941,2020-08-25,尘埃落定！上实集团正式入主天津信托，高层或将迎来新变动 董监高成员变化,用益信托网
942,2020-08-25,比较4次中选结果，预判带量采购发展趋势！,医药网
943,2020-08-24,连锁药店屡创新高，背后有怎样的逻辑？,格隆汇
944,2020-08-24,大局已变，国药上药包揽96%国采配送，另两家只分到零头,健识局
945,2020-08-24,只有10%玩家能存活下来的游戏，创新药的风险显然被市场低估！,汇聚南药
946,2020-08-24,上海市委市人大常委会市政府市政协领导常态化走访企业,Wind
947,2020-08-24,天津信托股权变更获银保监会批准 上实集团成控股股东 控制人变化,北京商报
948,2020-08-24,医药生物第三批带量采购点评：集采常态化 本轮降幅略超预期,新浪
949,2020-08-24,手握产能和成本优势 罗欣药业集采拿下两大品种,证券时报网
950,2020-08-23,一周药闻|中国首个新冠疫苗专利获批，4款药物获批上市,亿欧网
951,2020-08-23,价格低至1.5分 194家药企角逐的第三批国采还有哪些看点？,动脉网
952,2020-08-22,第三批国采，上海配送商浮出水面，上药、国控处于压倒性优势，配送金额断崖式下跌,医药云端工作室
953,2020-08-22,盘前情报丨第三批集采药品最高降幅95%，医药股还会闻采色变吗？,南方财经网
954,2020-08-21,上实集团受让天津信托控股权正式获批！信托老将周雄将成公司“掌舵者”,证券时报网
955,2020-08-21,上海医药(02607.HK)获得药品生产许可证,格隆汇
956,2020-08-21,第三次药品集采谁是大赢家？石药拟中选品种多，复星新药入围,澎湃新闻
957,2020-08-21,上海医药：收到上海药监局颁发的《药品生产许可证》,Wind
958,2020-08-21,上海医药(601607.SH)：获得药品生产许可证,格隆汇
959,2020-08-21,药品集采能否激励中国新药创新？业内呼吁保持供方积极性,第一财经
960,2020-08-21,第三批药品集采大杀价：最高猛降95%破记录，多家外资药企高报价被指“战略性放弃”,华夏时报
961,2020-08-21,多家上市药企中标第三批集采 齐鲁、石药以8个成最大赢家,经济观察网
962,2020-08-21,A股早报2020年8月21日星期五,Wind
963,2020-08-21,一批上市药企公告旗下药品集采拟中标情况,制药网
964,2020-08-21,【国元资讯早班车】中美双方将于近日举行通话,国元证券订阅号
965,2020-08-21,A股头条：中美双方已商定将于近日举行通话，北向资金周四净流出28.32亿元,金融界
966,2020-08-21,多家药企拟中标药品集采，券商如何看医药股后市？,南都报
967,2020-08-20,格隆汇港股聚焦(8.20)︱阿里2021财年Q1营收1537.5亿元；美团点评明日发布中期业绩,格隆汇
968,2020-08-20,A股头条之上市公司（8.21）,金融界
969,2020-08-20,公告精选丨多家公司披露第三批国家药品集采中标情况，华海、海正等获大满贯,21世纪经济报道
970,2020-08-20,第三批国家药品集采集锦：华海、海正等获大满贯恒瑞、豪森等略有失意,科创板日报
971,2020-08-20,公告精选：多家公司中标第三批国家药品集中采购；透景生命获境外机构投资者举牌,e公司
972,2020-08-20,多家上市公司公告第三批全国药品集中采购拟中标信息,证券时报网
973,2020-08-20,上海医药(601607.SH)子公司药品拟中标全国药品集中采购,格隆汇
974,2020-08-20,上海医药：6个品种拟中标第三批全国药品集中采购,Wind
975,2020-08-20,「医药速读社」BMS中国区研发负责人确定 国家药监局最新文件,新浪
976,2020-08-20,Wind快讯 每日医药行业动态（2020-8-20）,Wind
977,2020-08-20,今日开标！200家药企角逐第三批集采,医药资讯地方台
978,2020-08-20,浅谈上海医药投资逻辑,阿尔法工场研究院
979,2020-08-20,上海医药旗下一款吸入气雾剂临床试验获批,新浪
980,2020-08-20,200家药企角逐第三批集采投标，包括50余家上市公司,制药网
981,2020-08-20,外资与本土药企“牵手”，能否成为带量采购的新出路？,制药网
982,2020-08-20,第三批国家药品集采今日开标接近200家企业参与投标,格隆汇
983,2020-08-20,国投瑞银创新医疗混合基金最新净值跌幅达2.29%,金融界
984,2020-08-19,格隆汇港股聚焦(8.19)︱雅生活服务中期核心净利增逾四成；阿里巴巴明日公布Q1业绩,格隆汇
985,2020-08-19,上海医药(02607.HK)糠酸莫米松富马酸福莫特罗吸入气雾剂获得临床试验批准,格隆汇
986,2020-08-19,药明系第三家上市公司：药明巨诺能否重演药明康德传奇？,资本邦
987,2020-08-19,上海医药(601607.SH)：全资子公司“糠酸莫米松富马酸福莫特罗吸入气雾剂”获批临床,格隆汇
988,2020-08-19,上海医药：子公司药品获得临床试验批准通知书,e公司
989,2020-08-19,本月即将开标 关注大品种竞争格局重构,东莞证券研究
990,2020-08-19,两知名药企，宣布联手了,赛柏蓝
991,2020-08-18,上海医药关于控股股东增持本公司H股股份计划实施完毕的公告,亿邦动力
992,2020-08-18,2020上海百强企业众榜单发布经营规模稳步扩大经济效益持续提高,经济日报
993,2020-08-18,益普生“牵手”上海医药，加快新分销渠道布局,第一财经
994,2020-08-18,2020上海企业百强榜出炉，上汽集团、宝武集团、交通银位列前三位,第一财经
995,2020-08-18,“上海制造”哪家强，刚刚发布的2020上海制造百强榜给出答案（附榜单）,上观
996,2020-08-18,2020上海企业百强榜出炉，你所在的企业上榜了吗（附榜单）,上观
997,2020-08-18,新晋世界500强的制药巨头，背后“蛇吞象”并购受关注,医药资讯地方台
998,2020-08-17,格隆汇港股聚焦(8.17)︱京东二季度净收入首次突破两千亿；中金公司上半年盈利超30亿,格隆汇
999,2020-08-17,恒指收涨0.65% 禽畜饲料板块领涨,中新经纬
1000,2020-08-17,上海医药：控股股东上实集团累计增持约5684万股,每日经济新闻
1001,2020-08-17,上海医药(601607.SH)：控股股东增持完毕累计增持5684.08万股H股,格隆汇
1002,2020-08-17,三个月内超12起，医药行业上演“并购”大戏,制药网
1003,2020-08-17,每周医药看点（8.10~8.16）,中国医药报
1004,2020-08-16,医药行业每周医览药闻：如何看待逐步常态化的耗材集采,新浪
1005,2020-08-14,最新！2019中国医药批发、零售百强榜单发布,赛柏蓝
1006,2020-08-14,上海医药(02607.HK)：拟8月27日举行董事会会议 审核中期业绩,格隆汇
1007,2020-08-14,中国第二家药企上榜世界500强，经营者直言创新是关乎存亡之事,上观
1008,2020-08-14,62亿 某集团收购4家药企！,蒲公英
1009,2020-08-13,解析世界500强榜单：30家汽车企业排名下滑中国上榜数量全球领先,搜狐
1010,2020-08-13,国投瑞银创新医疗混合基金最新净值跌幅达1.66％,金融界
1011,2020-08-13,2020世界五百强新榜公布来看哪些车企入围?,搜狐
1012,2020-08-12,世界500强企业：中国有134家，美国121家，为何俄罗斯只有4家呢？,搜狐
1013,2020-08-12,第三批国采，这些药企有机会（附名单）,赛柏蓝
1014,2020-08-12,恒指收涨1.42% 水务板块领涨,中新经纬
1015,2020-08-12,交银：看好具备强大创新管线的制药公司 推荐中生制药,新浪
1016,2020-08-12,国投瑞银创新医疗混合基金最新净值跌幅达2.33％,金融界
1017,2020-08-12,医药领域出现新研发热点，大批药企斥巨资布局,制药网
