,2021-12-31,港股盘前必读：热门中概股大幅上涨，阿里巴巴涨9.72%京东涨7.27%,Wind
325,2020-12-07,“科创200”画像：彰显中国创新的资本力量,Wind
326,2020-12-07,数说科创板上市公司十大特征,Wind
327,2020-12-07,科创板公司达到200家，持续为科技创新赋能,Wind
328,2020-12-04,53只港股获南向资金大比例持有,证券之星
329,2020-12-02,资本市场三十年，中概股的“大航海”之路,第一财经
330,2020-12-02,中国高铁全产业链走出国门，背后的机遇、风险有哪些,第一财经
331,2020-12-02,智通港股通占比异动统计|12月2日,智通财经
332,2020-12-01,智通港股通占比异动统计|12月1日,智通财经
333,2020-11-29,半年度指数成分调整对资本市场影响点评：指数成分新增科创板标的 科创板互联互通箭在弦上,新浪
334,2020-11-27,晚间要闻2020年11月27日星期五,Wind
335,2020-11-27,上交所及中证指数公司将调整沪深300等指数样本,Wind
336,2020-11-25,【权益变动】中国通号(03969-HK)被贝莱德减持353.8万股 减持股份,财华社
337,2020-11-24,中关村丰台园轨道交通产业创新发展行动计划公布，2022年实现轨道交通产业收入超三千亿元,Wind
338,2020-11-20,A股融资融券日报：两融余额减少12.22亿元（11月19日）,Wind
339,2020-11-20,【读财报】科创板企业三季报“面面观”：4家营收破百亿 研发投入占比领先其他市场,新华网
340,2020-11-18,A股融资融券日报：两融余额增加26.05亿元（11月17日）,Wind
341,2020-11-17,国资委副主任袁野召开中央企业控股科创板上市公司激励工作座谈会,Wind
342,2020-11-17,中国通号中标八个轨道交通项目，合计中标金额21.66亿,企查查
343,2020-11-17,A股早报2020年11月17日星期二,Wind
344,2020-11-16,晚间重要公告2020年11月16日星期一,Wind
345,2020-11-16,中国通号(03969.HK)9月-10月共中标八个重要项目,格隆汇
346,2020-11-16,中国通号：9月至10月在轨道交通市场共中标八个重要项目 中标金额总计21.66亿元,发布易
347,2020-11-16,中国通号(688009.SH)近期在轨道交通市场中标八个重要项目 总金额达21.66亿元,智通财经
348,2020-11-16,中国通号：中标21.66亿元轨道交通市场重要项目,Wind
349,2020-11-12,别遗憾蚂蚁上市暂停，科创50里最不缺的就是巨头！,基民柠檬
350,2020-11-11,机械行业2021年投资策略：关注基建景气周期 理性看多新兴装备,新浪
351,2020-11-05,中国通号建设集团承建安宁工业园区路网工程通过竣工验收,云南网
352,2020-11-03,港股异动|中国通号(3969.HK)反弹逾6%绩后获投行看好,格隆汇
353,2020-11-03,智通港股通占比异动统计|11月3日,智通财经
354,2020-11-02,【权益变动】中国通号(03969-HK)被社保基金减持1100.6万股 减持股份,财华社
355,2020-10-30,中国通号(688009)2020年三季度业绩点评：Q3业绩重回正增长 利润率持续提升,光大证券
356,2020-10-30,花旗：重申买入中国通号(03969) 目标价升至5.5元,智通财经
357,2020-10-30,瑞信升中国通号(03969-HK)目标价至3.86港元评级升至跑赢大市,财华社
358,2020-10-30,港股盘前必读：中金公司将于11月2日在上交所上市共发行4.59亿股,Wind
359,2020-10-30,中国通号(03969-HK)首三季盈利26.52亿跌6% 盈利能力下降,财华社
360,2020-10-29,格隆汇港股聚焦(10.29)︱中远海能前三季净利升470.39%至33.24亿元；比亚迪第三季度净利大增1362.66%,格隆汇
361,2020-10-29,中国通号(03969.HK)：2021年度拟对外提供担保总额176.91亿元 大额借贷担保,格隆汇
362,2020-10-29,中国通号(03969)前三季度股东应占利润26.5亿元 同比下滑5.69% 盈利能力下降,智通财经
363,2020-10-29,中国通号(03969.HK)：前三季度净利降5.69%至26.52亿元 盈利能力下降,格隆汇
364,2020-10-29,中国通号(688009.SH)：前三季度净利降5.69%至26.52亿元 盈利能力下降,格隆汇
365,2020-10-29,516万户，19万亿元！蚂蚁“打新”申购创科创板新高,Wind
366,2020-10-29,中国通号：前三季度净利润同比减少5.69% 盈利能力下降,Wind
367,2020-10-29,智通港股通占比异动统计|10月29日,智通财经
368,2020-10-29,蚂蚁集团今日“打新”，中一签或可赚5.54万,Wind
369,2020-10-29,中国通号(03969.HK)遭全国社会保障基金理事会减持1100.6万股 减持股份,格隆汇
370,2020-10-26,蚂蚁打新盛宴来袭！顶格申购中签概率或达100%,Wind
371,2020-10-23,【招银研究|行业深度】高端装备行业之城市轨道交通装备篇——中国城轨迎通车高峰，紧抓产业链受益标的,招商银行研究
372,2020-10-23,【权益变动】中国通号(03969-HK)被社保基金减持129.5万股 减持股份,财华社
373,2020-10-21,锦囊｜科创50竞争情报（中国通号、福光股份）,锦缎
374,2020-10-20,中国通号(03969.HK)遭全国社会保障基金理事会减持129.5万股 减持股份,格隆汇
375,2020-10-20,港股盘前必读：“黑色星期一”第33周年纪念日，美三大股指跌幅均超1.4%,Wind
376,2020-10-20,中国通号与华为签署战略合作协议,Wind
377,2020-10-20,中国通号与华为签署战略合作协议,36氪
378,2020-10-19,智通港股通占比异动统计|10月19日,智通财经
379,2020-10-19,中概股回归增一路径！科创板迎首只CDR,Wind
380,2020-10-16,中国通号(03969.HK)拟10月29日举行董事会议审核第三季度业绩,格隆汇
381,2020-10-16,A股融资融券日报：两融余额增加30.9亿元（10月15日）,Wind
382,2020-10-16,智通港股通占比异动统计|10月16日,智通财经
383,2020-10-15,智通港股通占比异动统计|10月15日,智通财经
384,2020-10-12,A股融资融券日报：两融余额增加132.13亿（10月9日）,Wind
385,2020-10-12,专主业、勇创新、讲诚信、补短板 沪市公司书写高质量发展“答卷”,上证报
386,2020-10-01,地铁业务领跑 中国通号年内全力“保7”,华夏时报
387,2020-09-30,智通港股通占比异动统计|9月30日,智通财经
388,2020-09-25,【权益变动】中国通号(03969-HK)被社保基金减持181.6万股 减持股份,财华社
389,2020-09-24,科创板上市委拟增补委员，6家上市公司高管成候选人,Wind
390,2020-09-24,上交所公示拟增补的科创板上市委员会委员候选人,Wind
391,2020-09-22,中国通号(03969.HK)遭全国社会保障基金理事会减持181.6万股 减持股份,格隆汇
392,2020-09-19,未解报价潜规则？上纬新材贴地发行背后,Wind
393,2020-09-18,上市公司正负面新闻2020年9月18日星期五,Wind
394,2020-09-17,中国通号(03969)7至8月轨道交通市场中标10项 总金额达18.98亿元,智通财经
395,2020-09-17,中国通号(03969.HK)：合计中标约18.98亿元轨道交通项目,格隆汇
396,2020-09-17,晚间重要公告2020年9月17日星期四,Wind
397,2020-09-17,指数基金投资价值分析系列之五：华夏科创板50ETF将于9月22日发行,新浪
398,2020-09-17,中国通号(688009.SH)7月至8月间中标10个轨道交通重要项目,智通财经
399,2020-09-17,中国通号(688009.SH)：7月-8月在轨道交通市场中标十个重要项目中标金额总计18.98亿元,格隆汇
400,2020-09-17,中国通号：中标总金额18.98亿元项目,Wind
401,2020-09-17,中国通号：坚持核心技术引领 助力交通强国建设,证券日报
402,2020-09-16,拆解科创板IPO承销保荐账单，上纬新材发行费率34%创新高,第一财经
403,2020-09-14,发生了什么？科创板突然大涨，增量资金要买？,中国基金报
404,2020-09-10,A股融资融券日报：两融余额减少55.94亿元（9月9日）,Wind
405,2020-09-07,【权益变动】中国通号(03969-HK)被社保基金减持167.7万股 减持股份,财华社
406,2020-09-07,融资融券周报2020年第35周(8月31日至9月4日),新浪
407,2020-09-02,交银国际：中国通号目标价降至3.60港元 维持中性评级 机构下调估值,新浪
408,2020-09-02,中国通号(03969.HK)遭全国社会保障基金理事会减持167.7万股 减持股份,格隆汇
409,2020-09-01,两融余额接近15000亿紫金矿业被融资客集中关注,金融界
410,2020-09-01,A股融资融券日报：两融余额增加106.79亿元（8月31日）,Wind
411,2020-09-01,科创板公司上半年净利124亿增长42%,Wind
412,2020-08-31,上交所：上半年科创板上市公司持股基金数量比一季度增长10倍,Wind
413,2020-08-31,订单业务量下降，中国通号2020年上半年营收同比跌28.72% 盈利能力下降,资本邦
414,2020-08-31,上市公司正负面新闻2020年8月31日星期一,Wind
415,2020-08-30,晚间重要公告2020年8月30日星期日,Wind
416,2020-08-30,中国通号(688009.SH)：上半年归母净利润降21.74%至17.75亿元 盈利能力下降,格隆汇
417,2020-08-30,中国通号：上半年净利17.75亿元 同比降22% 盈利能力下降,e公司
418,2020-08-30,中国通号：上半年净利润同比减少21.74%,Wind
419,2020-08-28,中国通号(03969)中期归属股东净利润同比减少21.74%至17.75亿元 盈利能力下降,智通财经
420,2020-08-28,A股融资融券日报：两融余额增加32.37亿元（8月27日）,Wind
421,2020-08-26,新股上市首日即被做空，空军拿下首场胜利！创业板交易格局重塑？,中国基金报
422,2020-08-25,固安信通客户集中毛利率下降，募投拟用土地或存变数 盈利能力下降,云掌财经
423,2020-08-22,科创板主题公募直面创业板产品竞争,红周刊
424,2020-08-13,A股融资融券日报：两融余额减少34.17亿元（8月12日）,Wind
425,2020-08-07,数据|科创板主力资金净流出129股中国通号流出率最高,科创板日报
426,2020-07-31,今天关注：打新一签或赚17万、中报季报双增股,Wind
427,2020-07-30,【银河机械李良/范想想】行业动态 2021.1丨2021年制造业持续向好，高端制造引领业绩增长,中国银河证券研究
428,2020-07-30,【银河机械李良/范想想】行业动态 2021.2丨两会召开在即，稳基建、扩内需持续驱动机械高质量发展,中国银河证券研究
429,2020-07-27,科创50指数：布局优质赛道 构建多元估值,国金证券股份有限公司
430,2020-07-24,数据|科创板主力资金净流出127股中国通号净流出率最高,科创板日报
431,2020-07-24,中国通号轨道交通BIM创新应用再获新突破,格隆汇
432,2020-07-24,51只科创主题基金二季报亮相，重仓17只科创板个股,Wind
433,2020-07-24,科创板9公司公布减持计划，首现询价转让,Wind
434,2020-07-23,A股融资融券日报：两融余额增加72.2亿元（7月22日）,Wind
435,2020-07-22,数读科创板一周年：市值突破2.6万亿，5家企业市值超千亿,财经杂志
436,2020-07-22,科创板一周年：总市值27929亿元，营收突破1200亿,Wind
437,2020-07-22,科创板：科创板将迎开板一周年 多方因素助推流动性提升,新浪
438,2020-07-22,【科创板一周年】数说科创板上市企业TOP10：中芯国际研发投入最多 财富趋势营业利润率最高,新华网
439,2020-07-22,A股融资融券日报：两融余额增加16.15亿元（7月21日）,Wind
440,2020-07-22,A股早报2020年7月22日星期三,Wind
441,2020-07-22,不同的经历，相同的“硬核” 它们站上了科创板舞台,上证报
442,2020-07-22,创市纪｜科创板之最：股价最多已涨10倍，六公司市值超千亿,澎湃新闻
443,2020-07-22,科创板融资已超2100亿，企业逐鹿全球仍须努力,Wind
444,2020-07-21,85后一夜身家变300亿 科技创富选哪家？科创“硬核”20强（附股）,每日经济新闻
445,2020-07-21,科创板开市一周年，科创能力哪家强？这个榜单“正面刚”！,每日经济新闻
446,2020-07-21,A股融资融券日报：两融余额增加127.02亿元（7月20日）,Wind
447,2020-07-21,科创板开市一周年 科创能力哪家强？这个榜单“正面刚”！,每日经济新闻
448,2020-07-21,上市公司正负面新闻2020年7月21日星期二,Wind
449,2020-07-21,首份科创板ESG报告出炉： 百家上市龙头表现如何,第一财经
450,2020-07-21,央企加速布局科创板 为国企改革带来哪些机遇,第一财经
451,2020-07-20,科创板晚报|蚂蚁集团宣布A+H上市小鹏汽车获近5亿美元融资,科创板日报
452,2020-07-20,晚间重要公告2020年7月20日星期一,Wind
453,2020-07-20,中国通号：中标总额28.66亿元的七个重要项目占2019年营业收入的6.88%,科创板日报
454,2020-07-20,中国通号：近期在轨道交通市场共中标七个重要项目,e公司
455,2020-07-20,中国通号：中标28.66亿元轨道交通市场项目,Wind
456,2020-07-20,中国通号(688009.SH)中标28.66亿元轨道交通市场项目,格隆汇
457,2020-07-20,科创板千亿市值公司不断扩充 中芯国际、金山办公等6家超过千亿市值,资本邦
458,2020-07-20,本周2500亿巨额解禁来袭！A股会受多大影响？,21世纪经济报道
459,2020-07-20,千亿元市值公司方阵不断扩容 科创板聚拢人气财气意正酣,证券日报
460,2020-07-18,科创板IPO一周年，130家企业累计募资逾2000亿元,Wind
461,2020-07-16,A股融资融券日报：两融余额增加10.73亿元（7月15日）,Wind
462,2020-07-10,中国通号(03969.HK)5.04亿股战略配售A股将上市流通,格隆汇
463,2020-07-10,中国通号：约7.21亿股限售股将于7月22日解禁 解禁,Wind
464,2020-07-10,中国通号(688009.SH)：7.21亿股限售股7月22日解禁 解禁,格隆汇
465,2020-07-10,上市首日涨923.91%，国盾量子转融券业务遭暂停 经营问题,观察者网
466,2020-07-10,2H20机械行业投资策略：机械布局纯内需、进口替代、LOWΒ三条主线,新浪
467,2020-07-07,A股融资融券日报：两融余额增加389.61亿元（7月6日),Wind
468,2020-07-06,刚刚，A股太牛了：单日暴涨38000亿！明日更有100%中签的新股,全景网
469,2020-07-05,万众瞩目！芯片龙头直奔A股，周二申购，较港股折价近10%，顶格或中3签…6大亮点看过来,证券时报网
470,2020-07-05,中芯国际周二申购：较港股折价近10% 6大亮点看过来,证券时报网
471,2020-07-03,大和：下调中国通号(03969)目标价至4.3港元 重申“买入”评级,智通财经
472,2020-07-03,大和：料中国通号(3969.HK)上半年收入下跌削目标价至4.3港元 盈利能力下降,格隆汇
473,2020-07-03,孚能科技IPO战略配售引入5家战投数量仅次于中国通号和金山办公,科创板日报
474,2020-07-03,新股排查丨交大思诺客户、供应商集中度双高，主要客户同时也是大股东参股公司,21世纪经济报道
475,2020-07-02,中国通号自主研发轻型智能运行控制系统实现工程应用,e公司
476,2020-07-01,科创板新股申购策-中芯国际：全球领先的集成电路晶圆代工企业,新浪
477,2020-06-30,战略配售基金投资价值分析——ETP专题报告系列,华宝财富魔方
478,2020-06-30,【聚焦注册制】 29天！ 携“芯”记录闯关科创板 中芯国际力压中国通号,财华社
479,2020-06-30,中国通号基于车车通信的列车自主运行系统完成现场多车无人驾驶测试验证,格隆汇
480,2020-06-29,中国通号关于证券事务代表辞职的公告,新浪
481,2020-06-29,中国通号：史广建辞去证券事务代表职务,Wind
482,2020-06-29,29天闯关科创板，中芯国际在A股将值多少钱？,Wind
483,2020-06-24,交大思诺：列控系统关键设备厂商，成功登陆创业板,证券时报
484,2020-06-23,交大思诺(300851)：新股询价报告,新浪
485,2020-06-23,中国通号计划7月3日分红，每10股派发现金红利2元,资本邦
486,2020-06-22,中国通号(03969)拟7月3日派2019年度A股现金红利每股0.2元,智通财经
487,2020-06-22,中国通号(03969.HK)将于7月3日派发A股每股现金红利0.2元,格隆汇
488,2020-06-22,中国铁路通信信号股份有限公司,科创板日报
489,2020-06-22,中国通号(688009.SH)2019年度权益分派10派2元股权登记日为7月2日,格隆汇
490,2020-06-21,科创50成份股扫描：总市值过万亿 平均净利2.75亿元,北京商报
491,2020-06-21,竞业达IPO：关联租赁比市价贵九成，中国通号大客户身份存疑,新浪
492,2020-06-20,中运量轨道交通批复停滞四年 业内翘首以盼待破冰,中国经营报
493,2020-06-19,上证科创板50指数成分股总市值突破万亿,Wind
494,2020-06-19,科创板50指数来了！这些股票入选,Wind
495,2020-06-19,上交所：7月23日正式发布“科创50”指数实时行情,Wind
496,2020-06-19,A股融资融券日报：两融余额增加57.64亿元（6月18日),Wind
497,2020-06-19,掘金科创板：拉萨顺盈错失千倍收益 谁是科创板VC/PE赢家,投资者网
498,2020-06-18,吉利汽车拟回科创板 发行量或仅次于中国通号 科创属性引发热议,科创板日报
499,2020-06-18,本方精编自兴业证券《中芯国际回归科创板，四种潜在估值锚猜测》,富途证券
500,2020-06-18,电报〡吉利汽车科创板拟发行股份上限预计为17.32亿股仅次于中国通号,科创板日报
501,2020-06-18,A股融资融券日报：两融余额增加44.43亿元（6月17日),Wind
502,2020-06-17,科创板：科创板迎来首例并购重组中芯国际将火速完成过会,新浪
503,2020-06-17,A股融资融券日报：两融余额增加79.14亿元（6月16日),Wind
504,2020-06-16,科创板开板一周年！10张图看懂 机构最爱个股曝光,中财网
505,2020-06-16,A股融资融券日报：两融余额增加44.22亿元（6月15日),Wind
506,2020-06-16,逾半数科创板公司股价翻倍,Wind
507,2020-06-15,A股融资融券日报：两融余额减少5.93亿元（6月12日),Wind
508,2020-06-15,科创板一周年特别报道｜游子陆续回家科创板渐显鲶鱼效应,财华社
509,2020-06-12,中国通号(03969.HK)7月17日派末期息每股0.2元,格隆汇
510,2020-06-12,A股融资融券日报：两融余额增加30.2亿元（6月11日),Wind
511,2020-06-10,机械行业2020年下半年投资策略：疫情何所惧 分化寻良机,光大证券
512,2020-06-10,A股融资融券日报：两融余额增加19.15亿元（6月9日）,Wind
513,2020-06-10,电子行业双周报2020年第11期：中芯国际IPO获受理 IDC预计中国国内智能手机市场将录得个位数降幅,新浪
514,2020-06-09,A股融资融券日报：两融余额增加47.53亿元（6月8日）,Wind
515,2020-06-08,【研报掘金】城轨建设高景气度确立 关注目前估值较低的轨交装备板块,证券时报网
516,2020-06-08,A股融资融券日报：两融余额减少11.51亿元（6月5日）,Wind
517,2020-06-04,【券商聚焦】料高现金分红可持续 中金予中国通号A/H股“跑赢行业”评级,凤凰网
518,2020-06-03,天合光能或本月中旬上市且超400亿市值 海优威和明冠新材排队科创板,北极星电力
519,2020-06-03,A股融资融券日报：两融余额增加41.39亿元（6月2日）,Wind
520,2020-06-03,中金：首次覆盖中国通号A股给予跑赢行业评级,格隆汇
521,2020-06-02,"归""芯""似箭！芯片巨头回A旅程正式开启，科创板申请已获受理，200亿募资将成科创""吸金王""",券商中国
522,2020-06-01,深度*行业*轨交行业点评,新浪
523,2020-06-01,A股融资融券日报：两融余额减少24.85亿元（5月29日）,Wind
524,2020-06-01,运行平稳样本丰富，科创板指数应尽快推出,证券时报
525,2020-05-29,顺应新周期 开创新十年——天风证券2019年年度股东大会圆满落幕,财经网
526,2020-05-29,A股融资融券日报：两融余额减少4.18亿元（5月28日）,Wind
527,2020-05-28,A股融资融券日报：两融余额减少1.54亿元（5月27日）,Wind
528,2020-05-28,港股盘前必读：港交所旗下期交所与MSCI签订协议合作推出期货及期权合约,Wind
529,2020-05-27,中国通号(03969.HK)预计将于7月17日派付末期股息,格隆汇
530,2020-05-27,中国通号(03969)建议授予董事会回购H股的一般性授权,智通财经
531,2020-05-27,中国通号(03969.HK)拟回购不超10%H股股份,格隆汇
532,2020-05-27,数据|科创板主力资金净流出81股中国通号净流出率最高,科创板日报
533,2020-05-27,A股融资融券日报：两融余额增加30.93亿元（5月26日）,Wind
534,2020-05-26,A股融资融券日报：两融余额增加0.67亿元（5月25日）,Wind
535,2020-05-26,融资融券周报2020年第20周,新浪
536,2020-05-25,A股融资融券日报：两融余额减少55.85亿元（5月22日）,Wind
537,2020-05-22,A股融资融券日报：两融余额减少9.16亿元（5月21日）,Wind
538,2020-05-22,中国通号：借力资本市场为央企科创新形象“打样”,证券日报
539,2020-05-21,轨道交通设备行业专题一：新老基建同发力 轨交十四五仍大有可为,新浪
540,2020-05-21,A股融资融券日报：两融余额减少2.54亿元（5月20日）,Wind
541,2020-05-20,A股融资融券日报：两融余额增加41.22亿元（5月19日),Wind
542,2020-05-19,机械设备周报2020年5月第2期：大基金二期及上海集成电路基金II增资中芯南方 国产半导体设备加速发展,新浪
543,2020-05-19,A股融资融券日报：两融余额增加13.39亿元（5月18日）,Wind
544,2020-05-19,34家券商跟投科创板实现浮盈超64亿元，加码布局另类子公司,Wind
545,2020-05-18,交大思诺IPO窘境：赊销致业绩增长犹如“空中楼阁” 重要财务数据“对不上号” 欺诈造假,和讯
546,2020-05-18,A股融资融券日报：两融余额减少5.73亿元（5月15日）,Wind
547,2020-05-15,央企北斗产业协同发展平台近日成立,经济日报
548,2020-05-15,中国通号(03969-HK)中标四个城軌交通重要项目中标金额总计约人民币20.44亿元,财华社
549,2020-05-15,中国通号发布轨道交通市场重要项目中标 中标金额超13亿元,和讯
550,2020-05-15,A股融资融券日报：两融余额增加18.59亿元（5月14日）,Wind
551,2020-05-14,中国通号(03969.HK)中标四个轨道交通市场重要项目涉资20.44亿元,格隆汇
552,2020-05-14,科创板晚报|芯片设计公司格科微拟登科创板商业卫星公司九天微星获2.7亿B轮融资,科创板日报
553,2020-05-14,中国通号中标四个轨交项目 合计金额达20.44亿元,上证报
554,2020-05-14,中国通号(688009.SH)：中标20.44亿元的轨道交通市场重要项目,格隆汇
555,2020-05-14,12家央企发起成立北斗产业协同发展平台,Wind
556,2020-05-14,A股融资融券日报：两融余额增加37.66亿元（5月13日）,Wind
557,2020-05-13,A股融资融券日报：两融余额增加30.41亿元（5月12日）,Wind
558,2020-05-12,【读财报】百家争鸣“含科量” 科创板里哪家强？,新华网
559,2020-05-12,A股融资融券日报：两融余额增加67.65亿元（5月11日）,Wind
560,2020-05-12,百家争鸣“含科量”科创板里哪家强？,面包财经
561,2020-05-11,科创板2019年年报整体扫描，成绩如何？,钛媒体
562,2020-05-11,国泰君安证券：关于科创板第一份年度成绩单的四个真相,金融界
563,2020-05-11,A股融资融券日报：两融余额增加19.17亿元（5月8日）,Wind
564,2020-05-11,关于科创板第一份年度成绩单的四个真相 | 国君新股,国泰君安证券研究
565,2020-05-08,百家科创板公司去年盈利178亿 平均研发费用率12%新增专利2500项,长江商报
566,2020-05-08,A股融资融券日报：两融余额增加65.99亿元（5月7日）,Wind
567,2020-05-07,电报|科创板主力资金净流出88股中国通号净流出率最高,科创板日报
568,2020-05-07,A股融资融券日报：两融余额增加128.16亿元（5月6日）,Wind
569,2020-05-06,800亿市值芯片巨头中芯国际回A 募资规模或超中国通号,华夏时报
570,2020-05-06,A股融资融券日报：两融余额减少73.09亿元（4月30日),Wind
571,2020-05-04,港股异动 | 中国通号(3969.HK)跌4.44% 一季度净利下降25.39% 盈利能力下降,格隆汇
572,2020-05-04,中国通号(03969.HK)一季度净利下降25.39%至5.05亿元 盈利能力下降,格隆汇
573,2020-05-04,中国通号(03969)聘请安永华明会计师事务所为2020年度内控审计机构,智通财经
574,2020-05-01,受疫情影响，中国通号2020一季度营收同比跌34.69% 盈利能力下降,资本邦
575,2020-04-30,科创板283天答卷：上市公司数量迈入三位数时代 融资超千亿元,金融界
576,2020-04-30,2019年科创板公司净利同比增25% 中国通号分红额最高,中新经纬
577,2020-04-30,上交所：科创板公司年报全部披露，亮点纷呈,Wind
578,2020-04-30,科创板上市满百家，8张图看清市场动态,Wind
579,2020-04-30,A股融资融券日报：两融余额减少41.24亿元（4月29日）,Wind
580,2020-04-30,中国通号：一季度净利润同比减少25.39% 盈利能力下降,Wind
581,2020-04-29,A股融资融券日报：两融余额减少41.82亿元（4月28日）,Wind
582,2020-04-28,A股融资融券日报：两融余额减少16.14亿元（4月27日）,Wind
583,2020-04-27,中山证券李湛：创业板注册制改革与科创板有何不同？,湛述宏观
584,2020-04-27,A股融资融券日报：两融余额减少69.89亿元（4月24日）,Wind
585,2020-04-27,业绩说明会引领年报新风向，A+H公司加速价值传递,Wind
586,2020-04-24,数据|科创板主力资金净流出52股中国通号净流出率最高,科创板日报
587,2020-04-24,A股融资融券日报：两融余额增加0.38亿元（4月23日）,Wind
588,2020-04-21,数据|科创板主力资金净流出71股中国通号净流出率最高,科创板日报
589,2020-04-21,中国通号：关于召开2019年年度股东大会、2020年第一次A股类别股东会议及2020年第一次H股类别股东会议的通知,上交所
590,2020-04-20,年报业绩集体首秀！被机构重仓的科创板公司，投资者能买吗？,中国财富网
591,2020-04-20,34只科创板股融资余额环比增加,证券时报网
592,2020-04-17,中国通号(03969.HK)4月29日举行董事会议以批准季度业绩,格隆汇
593,2020-04-17,科创板股融资融券余额每日变动（4月16日）,证券时报网
594,2020-04-16,“A+H” 中国通号举办2019年业绩说明会 拟派“现金红包”21.18亿元,资本邦
595,2020-04-16,科创板股融资融券余额每日变动（4月15日）,证券时报网
596,2020-04-16,“投资者视角”切入 中国通号首秀科创板业绩说明会,上证报
597,2020-04-16,中国通号拟“豪气”派发21亿元现金红包,中证报
598,2020-04-15,6万亿轨交新基建来了！投资机构聚焦八维通MAAS平台,浙江在线
599,2020-04-15,科创板业绩说明会序幕开启：中国通号称疫情影响可控,澎湃新闻
600,2020-04-15,中国通号：有信心完成全年任务 将继续深化改革创新,e公司
601,2020-04-15,业绩说明会直击|中国通号：新基建政策出台相关业务前途光明,科创板日报
602,2020-04-15,中国通号总裁徐宗祥：“新基建”相关业务前途很光明,中证网
603,2020-04-15,中国通号徐宗祥：将积极争取“复兴号”标准动车组及车载ATP相关订单,上证报
604,2020-04-15,中国通号总裁徐宗祥：“复兴号”与动车替换普列存在市场空间,科创板日报
605,2020-04-15,中国通号总裁徐宗祥：目前正推进货运列车自动驾驶相关技术的现场应用试验,科创板日报
606,2020-04-15,中国通号：海外业务板块面临重要发展机遇期 将寻找合适并购机会,e公司
607,2020-04-15,中国通号孟乐平：将搭建合作平台提升公司竞争优势,上证报
608,2020-04-15,中国通号：与“新基建”相关的业务前途很光明,e公司
609,2020-04-15,中国通号总裁徐宗祥：电力电气化高端装备是重要发展方向之一,科创板日报
610,2020-04-15,中国通号副总裁赵晓东：海外主要执行的有雅万高铁、匈塞铁路等项目,科创板日报
611,2020-04-15,中国通号董事长周志亮：近期股价震荡受行业发展预期与疫情影响,科创板日报
612,2020-04-15,中国通号总裁助理孟乐平：抢抓老线路信号系统技改升级市场,科创板日报
613,2020-04-15,中国通号总会计师胡少峰：至2019年底，公司在手订单1049.4亿元,科创板日报
614,2020-04-15,中国通号：公司中标泰国和埃及铁路通信信号改造项目,科创板日报
615,2020-04-15,中国通号：货运列车自动驾驶技术方面 公司已与相关企业展开深度合作,e公司
616,2020-04-15,中国通号：目前正紧密跟踪武广高铁改造计划,Wind
617,2020-04-15,中国通号：目前正在紧密跟踪武广高铁改造计划,e公司
618,2020-04-15,中国通号：预计毛利率将维持现有水平或略有提升,e公司
619,2020-04-15,中国通号：未来将努力继续保持稳健的派息水平,e公司
620,2020-04-15,中国通号赵晓东：将寻找合适并购机会,上证报
621,2020-04-15,中国通号周志亮：公司将在基本面上下功夫提振股价,上证报
622,2020-04-15,中国通号周志亮：一季度指标受疫情影响，完成全年任务有信心,上证报
623,2020-04-15,中国通号：公司国际化经营网络布局基本形成,e公司
624,2020-04-15,中国通号董事长周志亮致辞,金融界
625,2020-04-15,中国通号董秘胡少峰介绍业绩情况,金融界
626,2020-04-15,中国通号回应股价问题：公司还是要在基本面上下功夫,e公司
627,2020-04-15,中国通号：进入3月份疫情防控形势向好 有信心完成全年任务,e公司
628,2020-04-15,中国通号：将不断增强企业竞争力、创新力、控制力、影响力和抗风险能力,e公司
629,2020-04-15,[直播]中国通号2019年度业绩说明会,e公司
630,2020-04-15,47只科创板股融资余额环比增加,证券时报网
631,2020-04-14,科创板集体网上业绩说明会明日启程 中国通号率先亮相,证券时报网
632,2020-04-14,21家科创板公司已公布首份年报：净利润平均增长52%,澎湃新闻
633,2020-04-14,明早9点半！中国通号“有约”科创板集体网上业绩说明会,上证报
634,2020-04-14,【研报掘金】轨交加码助力经济稳增长 产业链公司持续受益,证券时报网
635,2020-04-10,科创板股融资融券余额每日变动（4月9日）,证券时报网
636,2020-04-10,中国通号承建中老铁路玉溪至磨憨段站后弱电工程开工,国资委
637,2020-04-10,中国通号（688009）2019年报点评：业绩和订单小幅增长，经营活动现金流改善明显【华创机械李佳团队】,华创机械
638,2020-04-10,“盯上”科创板券商，现身10家公司前十大流通股股东,Wind
639,2020-04-10,“盯上”科创板 券商现身10家公司前十大流通股股东,证券日报
640,2020-04-09,数据|科创板主力资金净流出74股中国通号净流出率最高,科创板日报
641,2020-04-09,科创板股融资融券余额每日变动（4月8日）,证券时报网
642,2020-04-08,中国通号推出应用电子标签、RFID的智能光纤配线架和智能工具箱,RFID世界
643,2020-04-08,科创板股融资融券余额每日变动（4月7日）,证券时报网
644,2020-04-07,科创企业网上集体业绩说明会启动：分行业召开，带配套解说,第一财经
645,2020-04-07,科创板喊小股东来提问啦！网上业绩说明会即将开启，增加互动时间，还有分析师点评行业,21世纪经济报道
646,2020-04-07,科创板网上业绩说明会启动 预计约50家公司将陆续参与,e公司
647,2020-04-07,34只科创板股融资余额环比增加,证券时报网
