,2021-12-31,全球新冠“疫苗+特效药”拼图完成：国产疫苗2021年供应近50亿剂,Wind
756,2021-04-30,每日“药”闻| 兆科眼科上市首日破发，收跌14.76%；君实生物一季度盈利3.61亿元,读懂财经
757,2021-04-29,康泰生物2020年净利增至6.8亿元,第一财经
758,2021-04-29,康泰生物(300601.SZ)年度归母净利同比增18.22%至6.79亿元,智通财经
759,2021-04-29,康泰生物(300601.SZ)一季度净利升937.58%至2515.26万元,格隆汇
760,2021-04-29,康泰生物(300601.SZ)2020年净利升18.22%至6.79亿元,格隆汇
761,2021-04-29,康泰生物：2020年净利润同比增长18.22%,Wind
762,2021-04-29,康泰生物：一季度净利润同比增长937.58%,Wind
763,2021-04-28,新冠疫苗股大涨背后：康希诺商业化居前，多家企业两条腿走路,澎湃新闻
764,2021-04-28,A股收盘综述：创业板指涨超2%，市场再现“喝酒吃药”,Wind
765,2021-04-28,疫苗股午后涨势扩大，康泰生物、复星医药双双大涨7%,Wind
766,2021-04-28,全球疫情反弹疫苗概念走高 机构重申产业链机会,第一财经
767,2021-04-27,医药生物板块涨0.46% 未名医药和双鹭药业涨停,证券日报网
768,2021-04-27,八大券商主题策略：“药”不能停！业绩炸裂的一季报 只是开始不是结束,中金在线
769,2021-04-27,专题研究 | 疫苗行业：2020年重磅品种持续放量，疫苗主要生产企业业绩大幅上升，疫苗行业信用中枢上移,中证鹏元评级
770,2021-04-26,医药行业周报：业绩披露进入尾声 关注业绩表现和海外疫情发展,新浪
771,2021-04-26,八大券商主题策略：深度挖掘疫苗产业链机会 核心资产标的名单曝光,中金在线
772,2021-04-26,生物医药行业周报：医用同位素中长期发展规划发布 政策春风推动核医学提速,新浪
773,2021-04-25,最新！顶流基金重仓股大洗牌，40张图表全披露,Wind
774,2021-04-24,董承非独爱美年健康，葛兰剔除英科医疗，刘格菘连续重仓康泰生物，顶流明星医药思路不同,红周刊
775,2021-04-23,康泰生物：延期披露2020年年度报告及2021年第一季度报告 延期披露,Wind
776,2021-04-23,八大券商主题策略：寻找医药变革中的长牛品种 持续推荐“六个方向”,中金在线
777,2021-04-22,疫苗板块午后持续走高，康希诺大涨8%,Wind
778,2021-04-22,刘格菘麾下基金一季度调仓路径：减仓“光伏茅”加码化工龙头股,证券之星
779,2021-04-21,顶流基金经理重仓股大曝光！他们如何看后市？,Wind
780,2021-04-21,八大券商主题策略：A股医药行业龙头名单精选 这些都是核心赛道！,中金在线
781,2021-04-21,看董承非、刘格菘、谢治宇最新操作！两“顶流”现分歧,Wind
782,2021-04-20,刘格菘最新持仓曝光：Q1增持康泰生物，新进龙蟒佰利、恒力石化为其前十大重仓股,格隆汇
783,2021-04-20,山西证券：医药行业基本面良好，刚需带来确定性成长,Wind
784,2021-04-20,山西证券--医药行业周报：第五批国采或将启动，持续关注一季报业绩发布【行业研究】,金融界股吧
785,2021-04-19,长春高新、复星医药、智飞生物集体大涨提振疫苗板块,Wind
786,2021-04-13,山西证券--医药生物行业周报：长期投资主线创新与消费升级不变，关注一季报业绩发布【行业研究】,金融界股吧
787,2021-04-12,康泰生物：公司冻干人用狂犬病疫苗具备申报上市注册的前提条件,Wind
788,2021-04-12,康泰生物：公司冻干人用狂犬病疫苗具备申报上市注册的前提条件,e公司
789,2021-04-12,医药与健康护理行业周报：年报一季报相继披露 看好业绩确定性高的医药白马,新浪
790,2021-04-12,医药生物行业：医药企业国际化的一些思考,新浪
791,2021-04-12,东吴证券--医药生物行业：生长激素空间还有多大？重点推荐长春高新等！【行业研究】,金融界股吧
792,2021-04-11,中国新冠疫苗出口破1亿，疫苗制造能力占全球约一半,财经杂志
793,2021-04-11,康泰生物：中和抗体为康复者2.65倍，位列国内第一全球第四,Wind
794,2021-04-11,康泰生物灭活新冠数据：中和抗体为康复者2.65倍，位列国内第一，全球第四,证券时报
795,2021-04-11,不走套路！科创主题基金竟买成“债基”，股票仓位仅10%,Wind
796,2021-04-10,2021年Q1疫苗批签发：多数重磅品种保持较快增长,西南证券
797,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
798,2021-04-09,国金证券：医疗板块投资仍然聚焦于疫情应对需求、消费医疗和院内诊疗,Wind
799,2021-04-09,盘前情报丨下达35亿元！海南自贸港迎来多项重磅利好，关注相关板块（附股）,21世纪经济报道
800,2021-04-08,海南自贸港迎重磅利好，国产新冠疫苗明年产能将达50亿剂丨明日主题前瞻,第一财经
801,2021-04-08,国内疫苗接种提速，明年产能将达50亿剂，行业或迎放量密集期,第一财经
802,2021-04-08,医药行业2021年一季度疫苗行业批签发专题报告：大品种批签发快速增长 行业高景气度持续,新浪
803,2021-04-08,疫苗股整体强势，辽宁成大、康泰生物、万泰生物均涨超5%,Wind
804,2021-04-08,A股异动 | 康泰生物(300601.SZ)涨近5% P3生物安全生产车间已完成建设并已通过国家生物安全认证,格隆汇
805,2021-04-08,医药生物行业：医疗体系运行常态化 看好一季度业绩表现,广发证券
806,2021-04-07,康泰生物：P3生物安全生产车间已完成建设并已通过国家生物安全认证；P3生物安全实验室已完成土建工程,每日经济新闻
807,2021-04-07,康泰生物：P3生物安全实验室已完成土建工程,Wind
808,2021-04-07,山西证券--医药行业周报：板块持续反弹，关注年报及一季报业绩发布【行业研究】,金融界股吧
809,2021-04-07,华金证券--医药行业周报：板块反弹明显，核心资产景气度回归【行业研究】,金融界股吧
810,2021-04-07,财经早茶｜张坤携30亿资金大举增持中炬高新；香雪制药控股股东等资金占用5.3亿,同壁财经
811,2021-04-06,医药生物行业：为什么说智飞生物二季度有望迎来亮眼表现？,新浪
812,2021-04-06,医药行业2021年4月投资月报：把握一季报最佳反弹窗口期 加配低估值且高增长标的,西南证券
813,2021-04-06,医药行业周报：当前是反弹最佳窗口期 加配低估值高增长标的,西南证券
814,2021-04-06,医药行业每周医览药闻：从2020年财报看国内创新药行业发展,新浪
815,2021-04-06,东吴证券--医药生物行业：为何近期医疗服务、医美大幅上涨？【行业研究】,金融界股吧
816,2021-04-06,固定收益月报：进入业绩驱动,新浪
817,2021-04-06,2021年医药行业4月策略报告：Q1业绩高成长是股价核心催化剂,新浪
818,2021-04-05,医药行业一周观察：调整后重归均衡 关注内生成长明确的一二线公司,新浪
819,2021-04-05,一文看懂为何近期医疗服务、医美标的股价反弹涨幅较大,21世纪经济报道
820,2021-04-02,康泰生物(300601.SZ)：向广东省暨南大学教育发展基金会捐赠3000万元,格隆汇
821,2021-04-02,医药与健康护理行业月报：年报相继披露 关注高增长公司及A+H股医药投资机会,新浪
822,2021-04-01,【山西证券】2021年4月金股,山西证券研究所
823,2021-03-31,晚间重要公告2021年3月31日星期三,Wind
824,2021-03-31,康泰生物(300601.SZ)股东YUAN LI PING减持591.45万股 减持期过半 减持股份,智通财经
825,2021-03-31,康泰生物：5%以上股东YUAN LI PING减持时间已过半，共减持约591万股 减持股份,每日经济新闻
826,2021-03-31,康泰生物：YUAN LI PING减持0.86%公司股份 减持股份,Wind
827,2021-03-31,康泰生物举行新冠灭活疫苗生产动员大会,e公司
828,2021-03-28,生物医药行业周报：加快培育新型消费实施方案公布 互联网医疗发展可期,新浪
829,2021-03-27,“固收+”基金攻守之间：正收益占比不足两成,Wind
830,2021-03-26,三大指数反弹拉升 创业板指涨逾2%再上2700,网易
831,2021-03-25,阿斯利康新冠疫苗风波又起 拿下中国代理权的康泰生物还好吗？,华夏时报
832,2021-03-25,智飞生物、康泰生物急速跳水，疫苗板块回落,Wind
833,2021-03-25,2021年1-2月疫苗批签发数据跟踪报告：二类疫苗快速增长 热门大品种表现亮眼,新浪
834,2021-03-24,康泰生物：发行可转债申请获深交所受理,每日经济新闻
835,2021-03-23,医药行业周报：新修订《医疗器械监督管理条例》发布 创新纳入发展重点,新浪
836,2021-03-23,医药生物行业周报：关注新冠疫苗接种提速带来的业绩弹性,新浪
837,2021-03-23,医药与健康护理行业周报：估值风险有效控制 关注业绩高增长公司,新浪
838,2021-03-22,医药行业周报：建议关注血制品、疫苗、类消费生物药和药店 山东药玻以及迈瑞医疗,新浪
839,2021-03-21,角膜塑形镜利于儿童近视防控，重点推荐欧普康视、昊海生科等【东吴医药朱国广团队|0321周报】,国广有话说
840,2021-03-21,医药生物行业周报：基因细胞治疗CDMO黄金赛道有望孕育下一个药明生物,新浪
841,2021-03-21,生物医药行业周报：新冠疫苗相继获批上市 密切关注一季度业绩,新浪
842,2021-03-19,A股周线4连跌，48只大白马股回撤超30%,Wind
843,2021-03-19,医药生物行业：业绩弹性逐步释放 关注一季报高增长品种,新浪
844,2021-03-18,智飞生物涨近10%提振疫苗板块，沃森生物、康泰生物跟涨,Wind
845,2021-03-17,2020盘点：二类苗高速增长，HPV疫苗供不应求，品种为王趋势下，管线即未来,药智网
846,2021-03-17,康泰生物：公司研发项目冻干人用狂犬病疫苗采用的细胞是MRC-5株,每日经济新闻
847,2021-03-17,康泰生物：冻干人用狂犬病疫苗的药品注册批件申请在准备中,每日经济新闻
848,2021-03-17,康泰生物：公司核心产品四联苗新包装剂型已基本完成招标准入工作,每日经济新闻
849,2021-03-17,康泰生物：公司经营情况正常,每日经济新闻
850,2021-03-16,20国叫停阿斯利康疫苗！欧洲药管局两天后定生死，中国合作方康泰生物悬了,时代财经
851,2021-03-16,医药生物行业周报：CXO、医疗服务、生物制品等板块预计Q1高增长,新浪
852,2021-03-16,A股共发生92宗大宗交易成交14.56亿元（3月16日）,Wind
853,2021-03-16,"康泰生物现1笔大宗交易 共成交1,164.00万元",新浪
854,2021-03-16,康泰生物今日大宗交易成交12万股，成交价97.0元折价22.55%,Wind
855,2021-03-16,疫苗板块重回涨势，万泰生物冲击涨停,Wind
856,2021-03-16,【行情】生物制品板块走高，博雅生物涨5%、康泰生物、智飞生物涨幅居前,金十数据
857,2021-03-16,疫苗板块普涨，康泰生物涨超5%,Wind
858,2021-03-16,【山证医药】医药行业周报（20210313）：行业估值压力持续释放，建议关注核心资产长期投资价值,山西证券研究所
859,2021-03-15,13国叫停阿斯利康疫苗，中国合作方康泰生物：临床试验在即,健识局
860,2021-03-15,医药与健康护理行业跟踪报告：2021年1-2月疫苗批签发月报,新浪
861,2021-03-15,医药周报：一线龙头实现北上资金净流入 珍惜核心资产回调机会,新浪
862,2021-03-15,东吴证券--医药生物行业：医药核心资产，其估值已进入底部区域【行业研究】,金融界股吧
863,2021-03-15,生物医药行业周报：医药估值溢价率低于历史均值 短期建议关注业绩确定性强的标的,新浪
864,2021-03-15,一批基金最新持仓曝光！减仓前期热门股，重仓这些股票,Wind
865,2021-03-15,医药行业一周观察：板块战略配置价值显现 关注成长性与估值的匹配,新浪
866,2021-03-13,疫苗被喊停阿斯利康以试验数据“自证清白”国内合作方康泰生物着手开展临床试验 经营问题,科创板日报
867,2021-03-13,康泰生物：即将在国内开展阿斯利康新冠疫苗的临床试验,格隆汇
868,2021-03-11,康泰生物(300601.SZ)：股东YUANLIPING拟转让1.46%股份予合琨公司 减持股份,格隆汇
869,2021-03-11,康泰生物(300601.SZ)主要股东YUAN LI PING拟转让1000万股予合琨公司,智通财经
870,2021-03-11,康泰生物：股东YUANLIPING拟将的1.46%转让给合琨公司,Wind
871,2021-03-11,康泰生物今日大宗交易成交21万股，成交价102.5元折价20.42%,Wind
872,2021-03-10,白酒、医药多股涨停：财富制造机重启？这些个股已处加仓临界点？,红周刊
873,2021-03-10,"康泰生物现2笔大宗交易 共成交1,514.34万元",新浪
874,2021-03-10,收评:创业板指高位震荡涨1.64% 白酒股强势反弹,网易
875,2021-03-10,西南证券--医药行业2021年3月投资月报：核心资产大跌之后性价比凸显，建议关注PEG投资机会【行业研究】,金融界股吧
876,2021-03-10,午评：创业板指张2.95% 北向资金净流入近50亿,网易
877,2021-03-10,创业板指涨逾3%重返2700 白酒概念拉升,网易
878,2021-03-10,2021年医药行业3月策略报告：三个策略应对医药板块的波动,新浪
879,2021-03-10,操盘必读｜中国电信拟回归A股！长安汽车2月销量同比增466%，美科技股大涨，特斯拉飙升近20%！,上游新闻
880,2021-03-10,【中证盘前】特斯拉飙升近20%！美科技股大涨；中国电信拟回归A股；4连板准油股份再度回应股价异动；百度通过港交所上市聆讯,中证报
881,2021-03-09,国开证券--医药行业点评报告：2月疫苗行业批签发数据点评【行业研究】,金融界股吧
882,2021-03-09,山西证券--医药生物行业：2020年疫苗批签发数据跟踪，行业景气度持续，热门大品种快速放量【行业研究】,金融界股吧
883,2021-03-09,康泰生物跌7.5% 上月初申银万国研报喊买,中国经济网
884,2021-03-09,医药行业周报：逐步布局一季报高增长核心资产,新浪
885,2021-03-09,国盛证券--医药生物行业周报：全民免疫迫在眉睫，新冠疫苗的热点问题怎么看【行业研究】,金融界股吧
886,2021-03-09,西南证券--医药行业周报：核心资产性价比在提升，同时关注PEG投资机会【行业研究】,金融界股吧
887,2021-03-09,医药生物行业半月谈：医药行业估值性价比开始凸显 适时布局高景气赛道和高成长个股,国海证券
888,2021-03-08,医药周报：坚守具备估值安全垫、业绩增长确定性高的一二线龙头,新浪
889,2021-03-08,东吴证券--医药生物行业跟踪周报：医药板块估值有多贵？哪些估值贵【行业研究】,金融界股吧
890,2021-03-08,平安证券--生物医药行业周报：《政府工作报告》发布，将进一步深化医药卫生体制改革【行业研究】,金融界股吧
891,2021-03-08,医药生物行业报告：创新药企商业化能力的再思考,新浪
892,2021-03-07,【山证医药】医药行业周报（20210307）：把握回调机会，持续关注创新与高景气细分领域,山西证券研究所
893,2021-03-07,医药板块估值有多贵？哪些估值贵？【东吴医药朱国广团队|0307周报】,国广有话说
894,2021-03-07,医药与健康护理行业周报：业绩确定性高 继续看好医药龙头公司,新浪
895,2021-03-06,康泰生物：激进募资为哪般？,证券市场周刊
896,2021-03-06,一周沪深股通动向曝光：这30只个股净卖出最多（附名单）,每日经济新闻
897,2021-03-02,【招商医药】疫苗行业深度—如何理解当前市值及何处寻找长期信仰,招商医讯
898,2021-03-02,固定收益周报：股市调整性质的判断定应对,新浪
899,2021-03-01,康泰生物3月1日大宗交易成交2082.50万元,证券时报网
900,2021-03-01,康泰生物今日大宗交易成交17万股，成交价122.5元折价21.07%,Wind
901,2021-03-01,医药生物行业报告：医药板块大幅调整之后的布局思路,新浪
902,2021-03-01,东吴证券--医药生物行业：新冠疫苗逐步获批，巨大期权有望加速兑现【行业研究】,金融界股吧
903,2021-02-28,顶尖投资人“擒牛”复盘：买定离手，熬住寂寞,Wind
904,2021-02-28,五年净利润复合增速80%，毛利率91%，又一个翻倍股？,云掌财经
905,2021-02-26,医药行业2020年报及2021年一季报业绩前瞻：2020分化巨大 21Q1恢复良好,新浪
906,2021-02-26,中泰证券：国内新冠病毒疫苗进入兑现期，关注有望首批兑现利润的相关企业,Wind
907,2021-02-25,新冠病毒疫苗研究系列8：新冠一周年：疫苗接种和病毒变异 未来会如何？,新浪
908,2021-02-25,千亿龙头罕见大跳水，牛散葛卫东5天损失1.76亿,证券时报网
909,2021-02-22,华金证券--医药行业周报：板块短期调整，关注高性价比二线龙头【行业研究】,金融界股吧
910,2021-02-22,和众汇富：过去五年高速增长，康泰生物靠的是什么？,云掌财经
911,2021-02-22,医药行业周报：趁医药回调良机 布局高景气板块,西南证券
912,2021-02-22,东吴证券--医药生物行业：肿瘤早筛、时代革命，关注诺辉健康【行业研究】,金融界股吧
913,2021-02-22,中泰金工可转债发行跟踪周报(02/21),ZTQuant
914,2021-02-20,【浙商医药|孙建】周报：“恐高”回调，坚守主线,杏林建研
915,2021-02-19,6个新冠疫苗品种已开展III期临床试验，疫苗股业绩飙升，如何布局？,第一财经
916,2021-02-19,“抱团股”显疲态，私募盯上新热点,Wind
917,2021-02-18,超3500只上涨，沪指开门红！茅指数1天没了6500亿,中国基金报
918,2021-02-18,康泰生物跌13.76% 申银万国本月初研报喊买,中国经济网
919,2021-02-18,【A股收盘综述】牛年首个交易日，沪深两市分化,Wind
920,2021-02-18,机构懵了！抱团白马股群崩，周期股大爆发，什么情况？,中国基金报
921,2021-02-18,医药与健康护理行业周报：国内疫情向好 仍需紧密关注防控政策,新浪
922,2021-02-18,A股开门红，创业板大跌，机构抱团股集体重挫！ 连续下跌,证券时报网
923,2021-02-18,疫苗龙头大跌 机构抱团股集体重挫！30亿资金排队抢筹 有色龙头创新高 连续下跌,证券之星
924,2021-02-18,风向有变？石油、有色大涨，14倍牛股重挫20%,证券时报网
925,2021-02-18,茅台重挫5%、9000亿巨头也大跌！红包行情还有吗,e公司
926,2021-02-18,A股午盘综述：三大股指高开低走，创业板指跌超3%,Wind
927,2021-02-18,【行情】A股疫苗股大幅跳水，智飞生物跌逾12%，康泰生物、康华生物、长春高新、康希诺等盘中纷纷走低,金十数据
928,2021-02-18,疫苗股逆势下跌，智飞生物跌近3%,Wind
929,2021-02-18,医药生物：新冠疫情峰值已现 期待Q1业绩高增长,财富动力网
930,2021-02-10,全国重点人群接种疫苗4052万剂次，疫苗产业链公司迎利好,第一财经
931,2021-02-10,康泰生物：实控人拟减持不超0.29%股份 拟减持股份,e公司
932,2021-02-10,康泰生物：公司控股股东、实际控制人杜伟民拟减持不超过200万股 拟减持股份,Wind
933,2021-02-10,康泰生物(300601.SZ)：实控人杜伟民拟减持不超200万股 拟减持股份,格隆汇
934,2021-02-10,A股收盘综述：鼠年完美收官，三大股指均创出逾5年新高,Wind
935,2021-02-10,医药板块走势强劲，康希诺涨停再创新高，康泰生物等大涨,证券时报网
936,2021-02-10,【行情】疫苗概念股继续走强，康希诺封涨停板，沃森生物、康泰生物涨超11%，智飞生物、科华生物等跟涨,金十数据
937,2021-02-10,疫苗股午后持续走升，康希诺强势封板,Wind
938,2021-02-10,马企业签疫苗三期临床试验及采购协议,Wind
939,2021-02-10,疫苗板块走强，18只个股上涨，康泰生物上涨5.92%,每日经济新闻
940,2021-02-10,创业板指涨2%，收复3400点,Wind
941,2021-02-10,【行情】A股疫苗板块午前拉升，康希诺大涨17%，康泰生物涨超8%，沃森生物、智飞生物跟涨,金十数据
942,2021-02-10,疫苗板块午前拉高，康希诺大涨15%,Wind
943,2021-02-10,节前股市迎来大红包，但这些“消费茅”仍趴地板上,证券时报网
944,2021-02-09,康泰生物与永大集团签署新冠灭活疫苗Ⅲ期临床及产品采购协议,上证报
945,2021-02-09,医药行业一周观察：疫情或转为持久战 行业景气度提升,新浪
946,2021-02-09,2020年疫苗批签发报告：核心品种整体批签发大幅增长 肺炎、HPV、流感等疫苗表现强劲,新浪
947,2021-02-09,深圳康泰生物制品股份有限公司 关于向不特定对象发行可转换公司债券预案披露的提示性公告,中证报
948,2021-02-08,康泰生物(300601.SZ)拟向不特定对象发行可转债募集不超20亿元,智通财经
949,2021-02-08,康泰生物(300601.SZ)拟发行不超20亿元可转债投向百旺信应急工程建设项目和腺病毒载体新冠疫苗车间项目,格隆汇
950,2021-02-08,康泰生物：最近5年不存在被证监部门和交易所采取监管措施或处罚及整改情况,每日经济新闻
951,2021-02-08,康泰生物：拟发行可转债募资不超20亿元,Wind
952,2021-02-08,医药生物行业周报：第四批国采结果公布 长期看好创新与高景气细分领域,新浪
953,2021-02-08,医药生物行业简评报告：全球疫情控制趋势向好 医药需求逐步“回正”,新浪
954,2021-02-08,医药周报：板块回暖 新冠疫苗信息更新带动疫苗板块表现强势,新浪
955,2021-02-08,医药生物行业：第二款国产新冠疫苗获批上市 看好疫苗大时代背景下的新冠增量,新浪
956,2021-02-08,医药行业周报：第四批集采落地 持续看好创新及相关产业链CXO,西南证券
957,2021-02-07,医药行业周报：本周医药指数上涨3.75% 建议关注春节疫情防控影响,新浪
958,2021-02-07,医药生物行业2020业绩前瞻：2020板块分化明显 下半年医疗服务等有序复苏,新浪
959,2021-02-07,医药生物行业周报：新冠变异后是否需要常态化免疫加强？智飞新高后继续强烈看好,新浪
960,2021-02-05,【浙商医药|孙建】API：新集采落地，乌云镶金边,杏林建研
961,2021-02-05,平安证券--生物医药行业深度报告：重点疫苗批签发数据梳理，总量上升，结构升级明显【行业研究】,金融界股吧
962,2021-02-05,中信证券：第四批带量采购降价符合预期 未来带量采购对市场冲击料将减小,证券时报网
963,2021-02-04,康泰生物(300601.SZ)：控股股东及其一致行动人持股比例降至49.85%,格隆汇
964,2021-02-04,康泰生物：控股股东及其一致行动人持股比例变动超过1%,Wind
965,2021-02-04,康泰生物现1笔大宗交易 共成交200.75万元,新浪
966,2021-02-04,康泰生物今日大宗交易成交1.23万股，成交价163.21元折价9.85%,Wind
967,2021-02-04,康泰生物(300601)：新冠疫苗双线布局 在研管线逐步兑现,新浪
968,2021-02-04,医药行业重大事项点评：第四批带量采购拟中选结果产生 降价幅度符合预期,新浪
969,2021-02-03,康泰生物(300601.SZ)拉升涨超9%两条新冠疫苗技术路线取得进展,格隆汇
970,2021-02-03,创业板指涨超1%，康泰生物、阳光电源、宁德时代涨幅靠前,Wind
971,2021-02-03,医药生物2月月报：寻业绩主线 重点关注CXO等高增长赛道,新浪
972,2021-02-02,康泰生物(300601.SZ)通过高新技术企业再次认定,格隆汇
973,2021-02-02,三大指数震荡走高机构建议调整持仓结构拥抱核心资产|思维市场关注,投资者网
974,2021-02-02,康泰生物布局两条新冠疫苗技术路线 研发产业化取得阶段性进展,证券日报网
975,2021-02-02,康泰生物腺病毒载体新冠疫苗可试生产,每日经济新闻
976,2021-02-02,医药行业周报：国务院发布新政 明确推动药品集采常态化制度化,新浪
977,2021-02-02,医药生物行业：四季度常规诊疗继续恢复 板块业绩增速提升,广发证券
978,2021-02-02,医药行业周报：短期流动性收紧 如何看医药后市机会？,西南证券
979,2021-02-02,国盛证券：疫苗整体批签发稳定增长 龙头品种态势良好,第一财经
980,2021-02-02,【朝闻国盛0202】疫苗整体批签发稳定增长，二类苗增长明显，龙头品种态势良好,国盛证券研究所
981,2021-02-02,医药周报：专注优质赛道 精选成长路径明确、估值合理的板块及标的,新浪
982,2021-02-02,康泰生物股价昨涨逾6%,大众证券报
983,2021-02-01,生物制品行业2020年度批签发回顾分析,国金证券股份有限公司
984,2021-02-01,【A股午盘综述】上证指数涨0.1%，创业板指涨逾1%,Wind
985,2021-02-01,东吴证券--医药生物行业跟踪周报：规避市场调整首选医疗服务，重点推荐爱尔眼科、信邦制药等！【行业研究】,金融界股吧
986,2021-02-01,疫苗股持续走高，智飞生物大涨9%,Wind
987,2021-02-01,【行情】生物疫苗板块拉升，智飞生物涨7%，昭衍新药、康泰生物、沃森生物等涨逾5%,金十数据
988,2021-02-01,巴基斯坦派专机赴中国接收疫苗 莫迪自夸印度疫苗接种全世界最快,中研网
989,2021-01-30,2020盘点：二类苗高速增长，HPV疫苗供不应求，品种为王趋势下，管线即未来,药智网
990,2021-01-29,医药行业重大事项点评：国务院发布药品带量采购意见 应采尽采 范围更广,新浪
991,2021-01-29,东莞证券--医药生物行业2020年疫苗批签发总结：热门大品种持续放量关注自研能力强的疫苗龙头【行业研究】,金融界股吧
992,2021-01-29,医药生物行业：药品集采常态化 坚定拥抱医药创新,新浪
993,2021-01-29,13价肺炎疫苗实际销量减少178万支，净利润同比却增6倍，沃森生物如何做到的,时代在线
994,2021-01-29,中泰证券--医药生物行业周报：CRO/CDMO行情将如何延续？长坡厚雪，未来可期【行业研究】,金融界股吧
995,2021-01-28,2020年四季度基金医药持仓点评：四季度公募基金医药重仓持股小幅下降 头部聚集趋势延续,新浪
996,2021-01-27,康泰生物(300601.SZ)监事会主席吕志云减持8.7万股 减持计划完成,智通财经
997,2021-01-27,康泰生物：监事会主席吕志云累计减持0.01%股份 减持股份,Wind
998,2021-01-27,中信建投：节前看好年报行情及疫情受益主线,Wind
999,2021-01-26,医药周报：疫情防控需求带来业绩弹性 精选优质检测标的,新浪
1000,2021-01-26,【山证医药】医药行业周报（20210123）：业绩预告密集发布，持续关注高景气细分领域,山西证券研究所
1001,2021-01-25,医药生物行业周报：2020Q4公募基金重仓医药持仓几何？继续强调Q1医药躁动期,新浪
1002,2021-01-25,去年四季度TPO50主动权益类基金，前十大重仓股平均换股3.7只,Wind
1003,2021-01-23,加码新能源和国产替代，基金四季报透露投资新动向,Wind
1004,2021-01-22,医药股加速爆发，超九成公司预盈，板块投资前景如何？,第一财经
1005,2021-01-22,医药生物行业深度报告：后疫情时代 重磅疫苗品种批签大幅增长,新浪
1006,2021-01-21,康泰生物(300601.SZ)拟向银行申请不超15.2亿元授信额度,格隆汇
1007,2021-01-21,公募“扎堆”，易方达、睿远、南方争夺福莱特25亿定增！,环球老虎财经
1008,2021-01-21,十大明星经理重仓股曝光！刘格菘4基金顶格买入一股,中国基金报
1009,2021-01-21,医药行业2020年疫苗批签发总结：国产重磅疫苗放量元年 创新加速＋消费升级双重利好,新浪
1010,2021-01-21,陈光明旗下基金调仓曝光！赵诣、傅鹏博加仓新能源,中证报
1011,2021-01-21,春节返乡需持核酸证明，概念股火了，关注这些业绩高增长股,第一财经
1012,2021-01-21,刘格菘、萧楠、刘彦春等投资大佬最新持仓曝光,上证报
1013,2021-01-21,大众30：近期关注创业板走势,大众证券报
1014,2021-01-21,批签发量持续增加，疫苗行业高景气度料延续,Wind
1015,2021-01-20,A股共发生149宗大宗交易成交37.77亿元（1月20日）,Wind
1016,2021-01-20,"康泰生物现2笔大宗交易 共成交4,844.43万元",新浪
1017,2021-01-20,医药股表现强势，“两定”新规将施行，利好龙头连锁药店,第一财经
1018,2021-01-20,生物科技龙头午后走强，康泰生物涨超8%,Wind
1019,2021-01-19,医药行业周报：关注两大政策变化 推荐“创新”+“药店”,新浪
1020,2021-01-19,2020年1-12月疫苗批签发：重磅品种持续快速增长,西南证券
1021,2021-01-19,医药行业周报：龙头短期回调 长期趋势不改,新浪
1022,2021-01-19,早评：沪指平开 白酒板块反弹领涨,网易
1023,2021-01-19,医药周报：精选质地优良、估值相对合理、增长确定性强的药店、血制品、检测板块以及类消费生物药,新浪
1024,2021-01-18,医药生物：中国创新药是否到了国际化的拐点？,新浪
1025,2021-01-18,医药生物：CXO景气度持续高涨 重点推荐药明康德、凯莱英等,财富动力网
1026,2021-01-17,百元股已达152家 还有哪些标的将跨过百元门槛,新浪
1027,2021-01-17,A股成交“十破”万亿，机构抱团如何演绎？,Wind
1028,2021-01-17,医药行业每周医览药闻：如何看待医药零售板块的政策机遇,新浪
1029,2021-01-15,疫苗商业化进度理想 | 晨会0115,中信建投证券研究
1030,2021-01-14,医药行业深度研究·2020年疫苗行业纵览：新冠疫苗商业化进度理想 重磅品种进入收获期,新浪
1031,2021-01-14,1月14日晚间重要行业研究汇总(附股),中金在线
1032,2021-01-14,医药生物行业：Q4医药板块延续恢复态势 结构性机会突出,新浪
1033,2021-01-14,医药生物行业2020年疫苗批签发总结：后疫情时代 疫苗行业迎来新机遇,新浪
1034,2021-01-13,狂犬病行业专题报告：庞大需求将催生数百亿狂犬病预防市场,西南证券
1035,2021-01-12,【山证医药】2020年1-11月疫苗批签发数据跟踪报告：整体批签发维持增长 多个大品种疫苗实现高增速,新浪
1036,2021-01-12,医药行业周报：把握一线龙头 关注二线龙头,新浪
1037,2021-01-12,医药健康行业周报(第一周),新浪
1038,2021-01-12,中信建投：疫情催化、年报加持，医药行业关注度有望提升,Wind
1039,2021-01-12,抢购热度不减，公募掘金定增市场,Wind
1040,2021-01-11,康泰生物：公司药品生产许可证变更，具备生产新型冠状病毒灭活疫苗(Vero细胞)的基础条件,金十数据
1041,2021-01-11,康泰生物(300601.SZ)：公司药品生产许可证变更具备生产新型冠状病毒灭活疫苗(Vero细胞)的基础条件,格隆汇
1042,2021-01-11,医药行业周报：从历史复盘看“高景气度龙头”抱团趋势,新浪
1043,2021-01-11,医药行业周报：维持行业长期看好观点 持续关注创新与高景气细分领域,新浪
1044,2021-01-11,医药生物/行业周报：关注业绩超预期的机会,新浪
1045,2021-01-06,兴证医药行业2021年1月投资月报：创新药差异化、国际化时代开启,新浪
