,2021-12-31,又一家机器人公司被分拆筹备上市，今年营收或突破20亿,Ofweek
888,2021-06-17,财信证券晨会20210617,财信证券研究
889,2021-06-16,海康威视现1笔大宗交易 共成交316.87万元,新浪
890,2021-06-16,宏观策略日报：中共中央、国务院支持浙江省建设共同富裕示范区,新浪
891,2021-06-16,发生了什么？创业板大跌，2000亿锂电双巨头跌停,Wind
892,2021-06-16,华金证券--电子元器件行业2021年第24周：涨价主旋律延续，半导体基本面有支撑【行业研究】,金融界股吧
893,2021-06-16,电子｜安防：城市治理正加速智慧化升级，万科携手海康威视发布新品牌,中信证券研究
894,2021-06-16,又出手！教育部重拳出击 成立新机构专治校外培训,券商中国
895,2021-06-16,多家券商发布下半年投资策略，两大关键词被反复提及,Wind
896,2021-06-16,海外机构密集调研A股，北上资金积极加仓,Wind
897,2021-06-16,海外机构密集调研A股，电子、医药生物、机械设备、化工和计算机行业最受关注,Wind
898,2021-06-15,计算机行业周报：《数据安全法》正式发布 输入法APP强化监管,华安证券
899,2021-06-15,36股遭北向资金减持超亿元 减持股份,证券时报网
900,2021-06-15,通信行业跟踪周报：本周专题 四部委印发《能源领域5G应用实施方案》 华为成立子公司发力能源数字化,新浪
901,2021-06-13,计算机行业跟踪周报237期：重视万物互联生态下的巨量机会,新浪
902,2021-06-11,浙江区域股市周报：公牛集团跌出板块市值5强 132家机构调研锦浪科技,每日经济新闻
903,2021-06-11,上市银行分红火热进行中！银行股是否具备配置价值？,中金在线
904,2021-06-11,浙江7万亿板块出30只十倍股，看行业龙头全名单,Wind
905,2021-06-11,浙江本地股掀涨停潮，附上行业龙头全名单,21世纪经济报道
906,2021-06-11,16股获券商买入评级，正邦科技目标涨幅达98.58%,Wind
907,2021-06-11,浙江超级大礼包！行业龙头全名单来了，高增长潜力股请收藏,网易
908,2021-06-11,超级大礼包，浙江要建设共同富裕示范区！7万亿板块跑出30只十倍股，行业龙头全名单来了，高增长潜力股请收藏,证券时报网
909,2021-06-10,【机构风向标】20股获多家机构“买入”评级，10股看涨空间超20%,证券时报网
910,2021-06-10,社保基金海外投资“金手指”曝光！接下来看好这些领域,Wind
911,2021-06-10,安防龙头海康威视宣布涨价,格隆汇
912,2021-06-10,海康威视近日发布调价通知函：由于上游原材料价格全面上涨，导致生产成本持续攀,新浪
913,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
914,2021-06-10,南京熊猫：公司不存在收购“海康威视”事项,Wind
915,2021-06-10,国信证券维持海康威视买入评级：以光为轴，开启物联感知新纪元，合理价70.0-78.4元,每日经济新闻
916,2021-06-10,国信证券：海康威视（002415.SZ）以视频技术为核心，定位解决方案和大数据服务，维持“买入”评级,智通财经
917,2021-06-10,信息服务行业工业软件&工业互联网系列研究(5)：工信部发布5G+工业互联网典型应用和行业实践情况 行业正加速成熟,新浪
918,2021-06-09,别盲目抄作业！被顶流基金经理调研过的公司股价不一定涨，他们也未必会买,中证报
919,2021-06-09,【繁微另类数据】基于移动大数据的上市公司金融活动指数的选股应用,东证衍生品研究院
920,2021-06-09,海康威视与北京交通大学签署校企合作协议,e公司
921,2021-06-09,中信证券：海康威视进军数字化转型新赛道，开启第二成长曲线,证券时报网
922,2021-06-08,圆桌对话：中国科技企业的出海机遇,创业邦
923,2021-06-08,海康威视助力江西宜春启用智慧交通数智系统 货运车辆电子通行证平均10分钟即可完成审批,中证网
924,2021-06-08,中信证券：给予海康威视目标价86元 维持“买入”评级,e公司
925,2021-06-08,海康威视（002415）｜商业端视角看海康：进军数字化转型赛道，开启第二成长曲线,中信证券研究
926,2021-06-07,权益基金加仓这两个方向,港股那点事
927,2021-06-07,电子元器件行业周报2021年第23周：华为正式发布鸿蒙2.0 半导体板块持续景气,新浪
928,2021-06-07,海康威视现1笔大宗交易 共成交301.95万元,新浪
929,2021-06-07,海康威视携手宜春交警打造货车电子通行证管理系统,上证报
930,2021-06-07,计算机行业周报：鸿蒙操作系统发布 华为全面拥抱软件、生态和AIOT,华安证券
931,2021-06-07,通信行业跟踪周报：本周专题：为什么“5G+工业互联网”很可能会是下一个数字化转型投资风口,新浪
932,2021-06-06,计算机2021中期策略行业策略：产业升级加速 智能化元年,新浪
933,2021-06-04,海康威视：控股子公司萤石网络有运动相机相关产品,每日经济新闻
934,2021-06-04,紧密跟踪市场变化，基金及时站上热点风口,Wind
935,2021-06-03,ISLE 2021圆满落幕，海康威视WonderHub 斩获专业大奖,砍柴网
936,2021-06-03,国盛证券：5月金股组合盈利7.67% 6月荐股名单出炉,新浪
937,2021-06-02,海康威视大跌 连续下跌,新浪
938,2021-06-02,浙江区域股市周报：新增2家上市公司 95家机构调研永兴材料,每日经济新闻
939,2021-06-01,高端制造与科技行业2021年中期投资策略：聚焦数字化和进口替代 优选估值与成长匹配的标的,新浪
940,2021-06-01,润联科技携手海康威视 持续发力智慧城市,砍柴网
941,2021-06-01,工银瑞信深证物联网50ETF正在发行,中证网
942,2021-06-01,2021年6月份上海证券研究所投资组合报告,新浪
943,2021-06-01,布局物联网龙头有“基”可寻 全市场首只深证物联网50ETF正式发行,中国网
944,2021-06-01,私募一季度持仓大曝光：冯柳、邓晓峰、林园等知名投资人各有所爱,中国基金报
945,2021-05-31,解密高毅资产重仓股：千亿私募巨头作业怎么抄？ ——《巨丰金融研究院机构作业本》系列第1期,巨丰财经
946,2021-05-31,外资果断加仓 核心资产引领指数向上,新浪
947,2021-05-31,海康威视今日大宗交易成交12万股，成交价63.89元折价1.07%,Wind
948,2021-05-31,【国盛策略&行业】把握当下，进攻科创——6月配置建议&金股推荐,尧望后势
949,2021-05-31,计算机行业周报：鸿蒙再次催化信创 继续看好讯飞、卫宁等公司的进化,新浪
950,2021-05-31,澳柯玛-海康威视联合实验室正式揭牌,e公司
951,2021-05-31,机构最爱调研公司排名！海康威视连续6年霸榜，成机构追捧“白月光”！,红周刊
952,2021-05-31,通信行业跟踪周报：本周专题 政策持续赋能云计算及数据中心产业链发展 通信行业仍维持高景气度,新浪
953,2021-05-31,海康威视(002415)：需求端景气度回升 龙头迎来数字化转型大浪潮,新浪
954,2021-05-30,6月配置建议&金股推荐：把握当下 进攻科创,新浪
955,2021-05-29,封面文章 | A股市值结构性裂变，资金加速流向核心资产,红周刊
956,2021-05-28,京东618预售智能出行成趋势 海康威视行车记录仪新品订单量增长1.35倍,金融界
957,2021-05-28,计算机行业2020年报和2021年一季报总结暨6月投资策略：鸿蒙激发板块热情 计算机从低配到标配,新浪
958,2021-05-28,万物云烛台上，朱保全点燃了一支“安防”,乐居财经
959,2021-05-27,明星基金扎堆重仓股：大举增持+超跌滞涨股仅6只,Wind
960,2021-05-27,明星基金扎堆重仓股曝光，十年十倍股集中营，大举增持+超跌滞涨股仅6只,e公司
961,2021-05-26,万物云拆分安防机电品牌“万御安防” 平台化图景渐显,经济观察网
962,2021-05-26,拆分安防机电业务 万物云发布服务品牌“万御安防”,中国经济网
963,2021-05-26,浙江区域股市周报：29家机构调研浙商中拓 华东医药进入浙江股市值前10强,每日经济新闻
964,2021-05-25,12只科创主题基金收益翻倍，最高回报超136%,Wind
965,2021-05-24,5月24日晚间重要行业研究汇总(附股),中金在线
966,2021-05-24,通信行业跟踪周报：云网融合打造基石 运营商、设备商、互联网公司携手加速数字化转型,新浪
967,2021-05-23,计算机行业跟踪周报235期：坚持大公司+景气的投资策略,新浪
968,2021-05-22,【民生周末重点推荐】首席看电子：业绩增长强劲，电子行业景气延续——电子行业2020年报和2021一季报总结,MS研究
969,2021-05-21,填权行情提前打响！下周10家高送转，40家高派现,Wind
970,2021-05-21,调研马不停蹄，头部机构偏爱“下蹲起跳”,Wind
971,2021-05-20,计算机行业周报：3月底部重推的云计算基本面近况如何,新浪
972,2021-05-20,浙江区域股市周报：新增2家上市公司 37家机构调研珀莱雅,每日经济新闻
973,2021-05-20,11只翻倍！科创主题基金集体亮出耀眼成绩单,Wind
974,2021-05-20,2021一季度行业净利增速超1.5倍：复盘电子行业大数据 提速之后再提速,全景网
975,2021-05-20,海康威视(002415.SZ)拟实施每10股派8元 于5月28日除权除息,智通财经
976,2021-05-20,海康威视(002415.SZ)2020年度权益分派10派8元 股权登记日为5月27日,格隆汇
977,2021-05-20,A股最惨板块再遭暴击，600亿顶流基金经理也扛不住,Wind
978,2021-05-20,5月来大宗交易机构活跃度下降,Wind
979,2021-05-19,海康威视：与华为有合作关系,Wind
980,2021-05-19,中信证券：视频物联产业在近年有望迎来爆发,Wind
981,2021-05-19,晨会0519｜寻找制造业中的“估值弹性”,中信证券研究
982,2021-05-19,电子行业深度报告：盈利与估值错配 电子行业布局正当时,新浪
983,2021-05-18,海康威视今日大宗交易成交16万股，成交价62.28元折价0.19%,Wind
984,2021-05-18,海康威视5月17日现2笔大宗交易,证券时报网
985,2021-05-18,安防行业深度追踪系列第28期(2021年4月)：4月政府端延续高景气趋势 政府再发文推动住宅&社区智能化升级,新浪
986,2021-05-18,A股渐出盘局，公募机构念念不忘顺周期,Wind
987,2021-05-17,风格突然转换！弃小买大，机构正在加速调仓,Wind
988,2021-05-17,海康威视今日大宗交易成交18.20万股，成交价62.55元溢价0.0%,Wind
989,2021-05-17,机构重仓股奥秘在哪里？A股生态面临十年不遇变局,Wind
990,2021-05-16,【民生研究】周观点汇总：疫情和就业数据只是扰动，发达国家经济复苏趋势没有改变,新浪
991,2021-05-15,浙江区域股市周报：新和成进市值前10强 50家机构调研盈峰环境,每日经济新闻
992,2021-05-14,股东大会上投资者关心造不造卫星 海康威视：只想做一家没有故事的公司,每日经济新闻
993,2021-05-14,计算机行业点评报告：从阿里云财报中解读出的2个信号！,新浪
994,2021-05-13,电子行业2020年年报暨2021年一季报总结：淡季不淡 高景气下电子行业表现亮眼,新浪
995,2021-05-13,电动车进电梯危险重重！是时候实施电动车智能管理方案了,慧聪电子网
996,2021-05-13,林园一季度继续加仓金龙鱼 裘国根长期重仓新和成 大批“抄作业”资金闻风而动,红周刊
997,2021-05-13,电子行业2021年中期策略：大变局下的电子行业新机遇,新浪
998,2021-05-13,电子行业2020年报和2021一季报总结：业绩增长强劲 电子行业景气延续,新浪
999,2021-05-12,电子行业：FY20&1Q21业绩回顾和持仓分析,新浪
1000,2021-05-11,"海康威视现2笔大宗交易 共成交2,785.30万元",新浪
1001,2021-05-11,海康威视今日大宗交易成交46万股，成交价60.55元溢价0.0%,Wind
1002,2021-05-10,顶流基金经理“大调研”：刘彦春罕见关注小市值公司 傅鹏博“跑”同一家,红周刊
1003,2021-05-10,海康威视今日大宗交易成交5.40万股，成交价60.6元溢价0.0%,Wind
1004,2021-05-10,电子元器件2021年5月投资策略：进入业绩真空期 关注短期趋势明朗的半导体及面板板块,新浪
1005,2021-05-10,魔咒上演？茅资产跌8500亿，A股在担心什么？,Wind
1006,2021-05-10,随着上市公司2021年一季报披露完毕，让不少阳光私募持仓情况浮出水面。,中国基金报
1007,2021-05-10,机构最新潜在目标曝光，海康威视获500家机构调研,Wind
1008,2021-05-10,私募一季度持仓曝光:冯柳、邓晓峰、林园等各有所爱,中国基金报
1009,2021-05-10,私募一季度持仓大曝光： 冯柳、林园等知名投资人各有所爱,中国基金报
1010,2021-05-10,冯柳、邓晓峰、林园等知名投资人各有所爱,中国基金报
1011,2021-05-09,2021中国品牌价值评价信息发布，16家企业超千亿元,Wind
1012,2021-05-09,券商“炒股”显现“头部效应”，锦龙、太平洋等中小券商表现欠佳,红周刊
1013,2021-05-08,李迅雷：透过季报数据探讨投资方向,Wind
1014,2021-05-08,电子元器件行业：盈利能力改善大于收入增长,财富动力网
1015,2021-05-06,计算机行业2020年报暨2021Q1季报回顾：业绩韧性与长期主义！,新浪
1016,2021-05-06,"海康威视现2笔大宗交易 共成交3,342.60万元",新浪
1017,2021-05-06,海康威视今日大宗交易成交54万股，成交价61.9元溢价0.0%,Wind
1018,2021-05-06,【国盛策略&行业】打破箱体的力量正在积蓄——5月配置建议&金股推荐,尧望后势
1019,2021-05-06,深市公司报告：向好趋势明显，部分公司风险需注意,Wind
1020,2021-05-06,冯柳“第一重仓股”由食品饮料过渡到医药科技 减仓A股或为港股让位,红周刊
1021,2021-05-06,券商策略：智能制造有望成为新主线 短期注重防风险,财联社
1022,2021-05-06,A股早报2021年5月6日星期四,Wind
1023,2021-05-06,5月A股结构博弈加剧 关注三条主线及个股,财联社
1024,2021-05-06,电子｜淡季不淡，高景气下电子行业表现亮眼：2020年年报暨2021年一季报总结,中信证券研究
1025,2021-05-06,私募操作路线图曝光：现身987股流通股名单,财富动力网
1026,2021-05-06,财信证券基金深度报告：基金组合29只主动权益及固收+品种2021Q1调仓情况跟踪,财信证券研究
1027,2021-05-06,深市公司2020年净利润增速达38.6%，436家公司实现翻番式增长,Wind
1028,2021-05-05,“隐秘出血点”侵蚀利润，A股公司汇兑净损失超200亿,第一财经
1029,2021-05-05,十大券商策略：智能制造有望成为新主线 机构建议关注这些个股,财联社
1030,2021-05-05,出手稳狠准！看看大券商自营操盘手法,腾讯网
1031,2021-05-05,日均调研个股超15只！市场震荡行情险资调研热情不改！迈为股份稳居“C位”,金融界
1032,2021-05-04,明星基金经理4月调研榜单来了！碳中和细分龙头股在列,证券之星
1033,2021-05-04,一季度基金加仓最多的个股,格隆汇
1034,2021-05-04,白马股大跌2000亿！“顶流”基金经理密集调研,Wind
1035,2021-05-04,"傅鹏博、邓晓峰、刘彦春、归凯、林鹏…，白马股大跌2000亿！""顶流""基金经理来了",中国基金报
1036,2021-05-03,顶流私募最新持仓曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等全来了,Wind
1037,2021-05-01,百亿私募高毅资产最新持仓曝光：冯柳减持游戏股邓晓峰大举买入有色金属概念股 减持股份,证券之星
1038,2021-04-30,百亿私募高毅资产最新持仓曝光：冯柳大幅减持游戏股 减持股份,财联社
1039,2021-04-30,冯柳“第一重仓股”由食品饮料过渡到医药科技，减仓A股或为港股让位,红周刊
1040,2021-04-30,“固收+”基金2021年一季报专题分析：规模持续扩张 权益仓位下降,国金证券股份有限公司
1041,2021-04-30,盘点公募Q1总持仓变动：加银行减电气设备 海康威视药明康德新进十大,证券之星
1042,2021-04-30,"海康威视现1笔大宗交易 共成交17,892.30万元",新浪
1043,2021-04-30,海康威视今日大宗交易成交285万股，成交价62.78元溢价0.0%,Wind
1044,2021-04-30,最勤奋！淡水泉、盘京投资、高毅资产调研次数居前三，业绩如何？,私募排排网
1045,2021-04-30,明星私募一季度调仓：冯柳现身25家公司持仓超300亿 高瓴礼仁新进安图生物、伊利,腾讯网
1046,2021-04-30,【平安基金】基金季度报告：股票资产逆势加仓白酒股，食品饮料整体减持 减持股份,平安研究
1047,2021-04-30,陆股通周监控第84期：一季度内外机构调仓有何异同？,新浪
1048,2021-04-30,公募Q1持仓变动：加银行减电气设备海康威视药明康德新进十大,证券之星
1049,2021-04-30,【长江研究·早间播报】宏观/金属/农业/计算机(20210430),长江研究
1050,2021-04-29,信息量大！我们对比了30多位明星基金经理最新持仓，发现了这些变化（附股）,21世纪经济报道
1051,2021-04-29,4月最新机构调研动向出炉：1股被调研500余次 谢治宇、邓晓峰等“大佬”也有新动向,财联社
1052,2021-04-29,自动驾驶来了！重磅文件将发布，商业化加速落地,Wind
1053,2021-04-29,海康威视今日大宗交易成交17.41万股，成交价63.16元折价0.69%,Wind
1054,2021-04-29,逾百基金经理管着75%规模 一季度明星基金经理依然偏好白酒股医药股,新浪
1055,2021-04-29,信号？冯柳一季度净卖出超百亿元A股，全买了港股？,Wind
1056,2021-04-29,财信证券基金行业点评：主动权益型基金21年1季报持仓分析,财信证券研究
1057,2021-04-28,被忽视的宝藏 | 宏赫优选20基金季度增减仓操作2021Q1,宏赫臻财
1058,2021-04-28,兴.基荟【2021年4月28日】,兴业基金
1059,2021-04-28,高毅资产错失有色龙头！这些绩优股被“错卖”？,Wind
1060,2021-04-28,印度疫情冲击波：中企一边苦恼爆单，一边担忧弃单,Wind
1061,2021-04-28,73家公司获海外机构调研,证券时报网
1062,2021-04-28,高毅资产持仓周期较长股名单，错卖绩优股云铝股份,证券时报网
1063,2021-04-28,悔青了，高毅资产错失有色龙头！最“痴情”股长拿三年，这些绩优股被“错卖”？,证券时报网
1064,2021-04-28,保险资管公司业绩靓丽权益投资追求均衡配置,中证报
1065,2021-04-27,从一季报和高频探测模型看基金抱团最新变化,ZTQuant
1066,2021-04-27,10年不到套现200亿，还有超400亿没拿，股市套现王太厉害,搜狐
1067,2021-04-27,国盛策略：北上资金和公募一季度调仓有何异同？,尧望后势
1068,2021-04-27,2021年基金一季报专题研究之二：四类基金画像 短跑、长跑、降仓、管大钱,新浪
1069,2021-04-27,浙江区域股市周报：新增1家上市公司 138家机构调研伟星新材,每日经济新闻
1070,2021-04-27,中信证券一季度科技板块基金持仓分析：关注景气持续和低估值修复,Wind
1071,2021-04-27,刚成为第二位“千亿顶流” 刘彦春就对这个行业表现出极大兴趣,上证报
1072,2021-04-27,中信证券一季度科技板块基金持仓分析：关注景气持续和低估值修复,证券时报网
1073,2021-04-27,海康威视4月26日现1笔大宗交易,证券时报网
1074,2021-04-27,基金一季度调仓路径揭晓：白酒龙头持仓有增无减，股份制商业银行获追捧,金融投资报
1075,2021-04-27,上周融资客加仓逾70亿元，医药和有色股受青睐,Wind
1076,2021-04-26,放大“国家队”战略优势，天府新区聚力领跑数字经济,每日经济新闻
1077,2021-04-26,基金一季度调仓路径揭晓：茅台五粮液仍是最爱,金融投资报
1078,2021-04-26,一季度基金加仓白酒银行电子龙头,金融投资报
1079,2021-04-26,"海康威视现1笔大宗交易 共成交9,600.00万元",新浪
1080,2021-04-26,股价大跌基金一季度抱团股曝光（附名单）,Wind
1081,2021-04-26,电子行业：华为发布汽车新品 带动相关产业链,新浪
1082,2021-04-26,【半导体投资日报】2021Q1基金对半导体行业重仓配置比例下降,新浪
1083,2021-04-26,【金工】仓位水平高位回落，增配银行化工减配电气设备——公募权益类基金2021年一季报持仓分析,渤海证券研究
1084,2021-04-26,6000亿大白马被400多家机构同时盯上，透露重磅信息！,Wind
1085,2021-04-26,火爆！6000亿大白马被400多家机构同时盯上，透露重磅信息！这些公司季报高增长低估值（附名单）,中国基金报
1086,2021-04-25,炸裂，科技龙头被400多家机构同时盯上，透露AI开放平台等重磅信息！,金融界
1087,2021-04-25,2020年全球安防行业市场现状及竞争格局分析 巨大市场规模吸引企业竞相争夺,前瞻研究院
1088,2021-04-25,三星等大牌齐聚京东固态存储巅峰24小时，潮流新品解锁存储新体验,砍柴网
1089,2021-04-25,增收不增利，大华股份遭高毅、景林减持 盈利能力下降,环球老虎财经
1090,2021-04-25,【光大金工|基金报告】上市公司一季报渐次披露，从前十股东窥基金经理动向——基金市场周报（20210412-20210416）,EBQuant
1091,2021-04-25,最新！顶流基金重仓股大洗牌，40张图表全披露,Wind
1092,2021-04-25,机构持仓清单来了！这些个股被重点加仓（附表）,Wind
1093,2021-04-25,冯柳、邓晓峰、葛卫东等明星私募调仓路径曝光,Wind
1094,2021-04-24,海康威视的三大预期差，2021年将再次腾飞,格隆汇
1095,2021-04-24,公募坚守白酒、医药、科技等热门赛道 安防茅异军突起杀入重仓股前三,红周刊
1096,2021-04-23,一季度公募基金又加配了哪些行业？,新浪
1097,2021-04-23,中信证券公募“三驾马车”一季度买了啥？张晓亮增持比亚迪电子，刘琦和张燕珍同时看中这只银行股！,每日经济新闻
1098,2021-04-23,持仓市值增近700亿，公募基金大幅增持银行股！,环球老虎财经
1099,2021-04-23,调仓风向标|董承非：精准逃顶开启防守打法 全年保持悲观预期,新浪
1100,2021-04-23,突发，外资放大招，A股主升浪来了,证券之星
1101,2021-04-23,基金换打法：降仓位、填洼地、抓龙头,Wind
1102,2021-04-23,【食品饮料α掘金】消费板块抱团瓦解实际上并未发生，公募居然继续增持白酒,新浪
1103,2021-04-23,【王牌研报】抱团股并未瓦解，公募继续增持白酒！这家公司营收创历史新高，行业高景气度2-3年可见,新浪
1104,2021-04-23,蔡嵩松一季度基本靠“扛” 周应波、朱少醒减持顺丰控股 减持股份,财联社
1105,2021-04-23,越跌越买？ 兴全基金谢治宇连续两个季度买入双汇发展,中国经济网
1106,2021-04-23,6万亿公募首季调仓路径：增持重仓风格各异,Wind
1107,2021-04-23,调仓凶猛！基金一季度未大幅降仓,Wind
1108,2021-04-23,中泰证券一季度基金持仓结构分析：大幅加仓银行，减仓非银，继续增持白酒,Wind
1109,2021-04-23,国内财经媒体头版2021年4月23日星期五,Wind
1110,2021-04-22,国盛策略：基金一季报五大看点 规模扩容权益仓位回落,新浪
1111,2021-04-22,公募基金一季度规模不降反升：高仓位运行，大幅增持银行股,澎湃新闻
1112,2021-04-22,中欧、富国等旗下明星基金经理持仓亮相，周应波、朱少醒减持顺丰控股，曹名长大调仓 减持股份,证券之星
1113,2021-04-22,又一个千亿顶流，指数跌200点，他如何赚367%？,Wind
1114,2021-04-22,基金一季报重仓股调查：仓位高位运行，大幅增持银行股,Wind
1115,2021-04-22,6个月暴增50%，融券余额首破1500亿大关,Wind
1116,2021-04-22,张坤之后，第2位千亿顶流来了！基金股票仓位超9成,Wind
1117,2021-04-22,谢治宇和张坤“撞衫”傅鹏博、谢治宇、赵枫、董承非一季报持仓变动(图表),证券之星
1118,2021-04-22,明星基金经理出手！一季报次新基金建仓这些股(名单),Wind
1119,2021-04-22,每日理财观察：明星基金经理一季度持仓动向浮出水面,Wind
1120,2021-04-22,10张图一览社保、多名明星基金经理最新重仓股,Wind
1121,2021-04-22,融券余额首破1500亿，券商火速布局抢占市场,Wind
1122,2021-04-21,58公司获得增持评级-更新中,中财网
1123,2021-04-21,冯明远、赵诣、袁芳、杨浩！又一批明星基金经理持仓曝光,证券之星
1124,2021-04-21,[路演]海康威视：工业相机目前在国内市场处于领先地位,全景网
1125,2021-04-21,[路演]海康威视：智能化产品种类不断丰富 总数仍在不断提升之中,全景网
1126,2021-04-21,银行系资管“大军”调研这些上市公司，青睐一类企业,Wind
1127,2021-04-21,海康威视2020年机器人业务毛利率下降 财务费用增162% 盈利能力下降,GPLP犀牛财经
1128,2021-04-21,银河证券：海康威视（002415.SZ）21Q1业绩超预期，维持“推荐”评级,智通财经
1129,2021-04-21,顶流基金经理重仓股大曝光！他们如何看后市？,Wind
1130,2021-04-21,兴全趋势一季度减仓11%，董承非大手笔增持海康威视及欧派家居！,环球老虎财经
1131,2021-04-21,董承非大减仓、刘格菘爱制造，赵诣增持天赐材料,Wind
1132,2021-04-21,A股早报2021年4月21日星期三,Wind
1133,2021-04-21,医疗器械受高毅三大明星基金经理共同追捧 冯柳现身安防龙头调研,红周刊
1134,2021-04-21,两市融券余额首超1500亿元，上市公司股东出借意愿增强,Wind
1135,2021-04-20,董承非最新持仓曝光：兴全趋势股票仓位一季末降至六成，减持顺丰与三一,Wind
1136,2021-04-20,冯柳现身安防龙头调研，医疗器械受高毅三大明星基金经理共同追捧,红周刊
1137,2021-04-20,万家基金扎堆，重仓自动驾驶相关概念股！,云掌财经
1138,2021-04-20,A股资金流向（4月20日）：新能源汽车板块遭抛售，光伏巨头获抢筹,Wind
1139,2021-04-20,张坤、萧楠、冯波等明星集体加仓顺周期和新兴产业,Wind
1140,2021-04-20,机构调研大幅升温，三大板块看多逻辑不变,Wind
1141,2021-04-20,34股获20家以上机构调研 海康威视最受关注,同壁财经
1142,2021-04-20,“预增王”5天涨1.5倍，知名机构竟违规减持,Wind
1143,2021-04-20,群益证券(香港)--海康威视：2020年逐季恢复，21Q1业绩表现好于预期【公司研究】,金融界股吧
1144,2021-04-20,79家公司获机构调研（附名单）,证券之星
1145,2021-04-20,基金扎堆重仓 自动驾驶产业,财富动力网
1146,2021-04-20,增量资金集结造势，谁是基金新宠,Wind
1147,2021-04-20,龙头企业业绩向好 机构扎堆调研电子行业,上证报
1148,2021-04-19,晚间要闻2021年4月19日星期一,Wind
1149,2021-04-19,冯柳和张坤重仓持有！一流公私募都盯上了这家安防茅,新浪
1150,2021-04-19,紧跟机构调研 | 海康威视(002415.SZ)AI产品已经进入成熟放量期 顺鑫农业(000860.SZ)覆盖酒业、肉食两大主业,智通财经
1151,2021-04-19,什么动向？上百家中外机构涌入这20家公司调研,Wind
1152,2021-04-19,刚刚宣布，华为要卖车了！自动驾驶彻底火了，10000家基金扎堆重仓，业绩最猛股预增89倍,证券时报网
1153,2021-04-19,44股获海外机构调研 海康威视最受关注,同壁财经
1154,2021-04-19,70股获买入评级最新:德赛西威,中财网
1155,2021-04-19,高瓴资本、睿远基金等约400家机构加班调研海康威视,e公司
1156,2021-04-19,A股资金流向（4月19日）：资金大量进场，新能源板块备受追捧,Wind
1157,2021-04-19,东吴证券--通信行业跟踪周报：本周专题：展望上海车展-群雄逐鹿自动驾驶【行业研究】,金融界股吧
1158,2021-04-19,"【挖财报】白马中的黑马！5300亿海康威视11年暴涨18倍，""安防茅""毛利达47%，龚虹嘉套现百亿张坤却重金加仓 减持股份",金融界
1159,2021-04-19,创业板指强势大涨4.14% 稀有金属板块领涨,中新经纬
1160,2021-04-19,张坤持仓更均衡！易方达知名基金经理重仓股曝光,Wind
1161,2021-04-19,华泰证券：海康威视（002415.SZ）20年营收净利稳健增长，维持“买入”评级,智通财经
1162,2021-04-19,华为领头粉碎A股“魔咒”！“黑科技”引爆涨停潮,Wind
1163,2021-04-19,海康威视：长期来看半导体紧缺会带来很多挑战将延续高库存策略,格隆汇
1164,2021-04-19,国元证券：海康威视(002415.SZ)人工智能加速落地，目标价为74.25元，维持“买入”评级,智通财经
1165,2021-04-19,机构抱团股大反攻！聪明资金埋伏一季报个股名单曝光,Wind
1166,2021-04-19,易方达张坤：一季度增持计算机、医药，持仓结构趋于均衡,Wind
1167,2021-04-19,"华为""造车""引爆A股：汽车股纷纷暴涨，创业板猛拉3.5%",同壁财经
1168,2021-04-19,华为造车引爆A股：千亿巨头涨停，外资狂买138亿,Wind
1169,2021-04-19,华金证券--海康威视：一季报业绩超预期，AI赋能长期受益【公司研究】,金融界股吧
1170,2021-04-19,基金一季度换股应对震荡 瞄准“低估值”领域,中国基金报
1171,2021-04-19,"5300亿安防巨头又火了，高瓴睿远等机构""挤破门槛""",Wind
1172,2021-04-19,明星基金经理一季报抢先看，“估值”成焦点！,Wind
1173,2021-04-19,张坤等人都爱“炒剩饭”？3股重回顶流，是什么逻辑,Wind
1174,2021-04-19,海康威视(002415.SZ)绩后拉升一度逼近涨停一季度获张坤增持,格隆汇
1175,2021-04-19,核心资产是未来导向，市场波动之际优质赛道成首选,云掌财经
1176,2021-04-19,财经早茶｜张坤一季度大幅加仓医药、银行；第22届中国环博会即将举办,证券之星
1177,2021-04-19,每日理财观察：加密货币集体现两位数跌幅,Wind
1178,2021-04-19,财经早茶｜张坤一季度大幅加仓医药、银行；第22届中国环博会即将举办,同壁财经
1179,2021-04-19,A股早报2021年4月19日星期一,Wind
1180,2021-04-19,凌晨，张坤最新持仓曝光！基金规模超1300亿,Wind
1181,2021-04-19,顶流张坤大手笔加仓 安防周末刷屏 一公司已替代80%海思产品线,巨丰财经
1182,2021-04-19,在管规模突破1300亿，张坤一季度大幅加仓医药、银行,Wind
1183,2021-04-19,【计算机-吕伟】海康威视：一季报大超预期，AIoT时代红利最先受益者,安信证券研究
1184,2021-04-19,公募走出“小碎步”，调仓换股没那么简单,Wind
1185,2021-04-19,安防巨头海康威视业绩持续增长,中证报
1186,2021-04-19,近400机构调研海康威视，私募大佬冯柳现身,Wind
1187,2021-04-19,近400机构调研海康威视 私募大佬冯柳现身,证券时报
1188,2021-04-18,5300亿安防巨头又火了，高瓴、睿远等400家机构“挤破门槛”,同壁财经
1189,2021-04-18,海康威视一季报点评,云掌财经
1190,2021-04-18,狂赚百亿！两大巨头“巅峰对决”,中金在线
