,2021-12-31,2021非银板块回顾：券商无忧，保险疼痛,智通财经
616,2021-08-25,外资周报第95期：TAPER预期发酵 交易盘大幅外流,新浪
617,2021-08-25,解盘：人气持续回暖，白酒、有色、煤炭、在线教育领涨,Wind
618,2021-08-24,券商股再度大涨 机构建议三主线布局,第一财经
619,2021-08-24,年内第5家券商配股预案出炉，两融和投资交易业务缘何备受追捧？,新京报
620,2021-08-24,比批资本实力，兴业证券推140亿配股方案，为何选择此时配股融资？为何选择配股券商明显增多,财联社
621,2021-08-24,北向资金买兴增强加仓超53亿元，隆基股份获大幅净买入超13亿元,Wind
622,2021-08-24,东方证券：9月1日15:15-16:45召开2021年半年度业绩发布会,Wind
623,2021-08-24,A股收盘综述：消费白马显著回暖，大市值券商表现抢眼,Wind
624,2021-08-24,国泰君安、东方证券涨超7%，证券ETF（512880）涨超1.5%,资本邦
625,2021-08-24,有色钢铁行业周策略(2021年第34周)：锂盐景气持续 铁矿下跌延续,新浪
626,2021-08-24,券商股再度集体发力再度冲破箱体，券商ETF（512000）放量涨2.2%,资本邦
627,2021-08-24,【异动股】东方证券 (03958.HK)涨5.43%,财华社
628,2021-08-24,港股中资券商板块强势拉升，东方证券、国泰君安涨近5%，广发证券涨4%，中信,新浪
629,2021-08-24,港股中资券商股拉升 东方证券涨近5%,e公司
630,2021-08-24,券商板块异动拉升 国泰君安、东方证券双双涨超8%,格隆汇
631,2021-08-24,券商股午前发动上攻，国泰君安、东方证券直线拉升,资本邦
632,2021-08-24,券商股异动，国泰君安拉升涨逾8%，东方证券、中信证券、海通证券、长城证券等,新浪
633,2021-08-24,智通港股通占比异动统计|8月24日,智通财经
634,2021-08-24,智通港股通持股解析|8月24日,智通财经
635,2021-08-24,北向资金小幅回流，这两大板块最受青睐，五粮液却惨遭抛售17亿 减持股份,21世纪经济报道
636,2021-08-24,北向资金动向盘点：“电新”即将登顶市值第一,Wind
637,2021-08-23,券商行业周报(2021年第三十一期)：券商板块持续增长 财富管理成主要驱动力,新浪
638,2021-08-23,A股大幅反弹北向资金加仓超18亿，持续加码高景气板块,Wind
639,2021-08-23,A股强势反弹，工业母机批量涨停，新龙头闪现？,Wind
640,2021-08-23,【异动股】东方证券 (03958.HK)涨3.08%,财华社
641,2021-08-23,聚焦财富管理转型 中资与外资资管公司未来的竞争格局探讨,财联社
642,2021-08-23,智通港股通占比异动统计|8月23日,智通财经
643,2021-08-23,智通港股通持股解析|8月23日,智通财经
644,2021-08-23,年内筹划融资超千亿元，券商纷纷推出资本补充计划,Wind
645,2021-08-23,“财富管理”成券商行情主线 或重构行业估值,中国基金报
646,2021-08-22,板块拾金丨 “牛市旗手”表现佳，白酒板块遭“重锤”！北向资金悄悄加仓这两个板块,第一财经
647,2021-08-22,“牛市旗手“突然爆发，原因找到了！,Wind
648,2021-08-22,以轻资本撬动高估值，越来越多券商行动！财富管理组织架构调整“高发期”，三大类型调整护航产业链,财联社
649,2021-08-22,海通国际维持东方证券“优于大市”评级，依托强大投研能力，转型深耕财富管理，目标价格为16.69元,每日经济新闻
650,2021-08-22,【东方证券电话会议】价值与成长之辩 @8月22日（周日）晚8点,新浪
651,2021-08-22,逆风局中的实力派？北向资金连续净流出超百亿却在狂揽这些票！大跌“医械茅”获抄底,证券之星
652,2021-08-22,东方证券徐海宁对话贝莱德基金汤晓东：财富管理风口的聚集已成共识，共同助力上海建设全球资管中心,财联社
653,2021-08-21,牛市旗手再度飙涨，但这次逻辑变了，券商“含基量”是什么梗？,时代在线
654,2021-08-21,一周基事|东方红总经理澄清离职去向，中概互联溢价超10%提示风险 董监高成员变化,新浪
655,2021-08-21,首只外资公募来了！10天后开卖，贝莱德中国新视野亮相,Wind
656,2021-08-20,东证资管总经理任莉离职，或奔赴前董事长王国斌麾下,Wind
657,2021-08-20,21独家丨东证资管总经理任莉离职，或奔赴前董事长王国斌麾下 董监高成员变化,21世纪经济报道
658,2021-08-20,53岁东方红资管总经理任莉离任，首席投资官张锋接棒 董监高成员变化,澎湃新闻
659,2021-08-20,东方红又出走一位核心人物！总经理任莉离开，公司将走向何方？ 董监高成员变化,新浪
660,2021-08-20,震动资管业！东方红资产管理换帅：任莉辞任总经理，张锋接任 董监高成员变化,中证报
661,2021-08-20,北向资金6年来首次连续两日净卖出超百亿，贵州茅台、五粮液、恒瑞医药遭惨烈抛售,Wind
662,2021-08-20,重大人事变动！东方红资产管理总经理任莉离任，已是第三位创始人作别！首席投资官张锋接棒 董监高成员变化,券商中国
663,2021-08-20,东方红资产管理总经理任莉或将离职，继任者是谁？,Wind
664,2021-08-20,重磅突发！东方红资产管理总经理任莉或将离职，继任者是谁？ 董监高成员变化,中国基金报
665,2021-08-20,【每日收评】北向资金连续两日净流出逾百亿！两市指数皆跌超1% 大消费板块成重灾区,财联社
666,2021-08-20,财联社蜂网·舞阳专家电话会议|证券板块面临“财富管理”逻辑重估 基金销售“三国杀”互联网平台或突围,财联社
667,2021-08-20,【行情】券商股继续活跃，长城证券3连板，城证券拉升回封，西南证券、兴业证券、国盛金控、东方证券等跟涨,金十数据
668,2021-08-20,券商大牛股8月涨近50%！未来走势或将进一步分化（名单）,21世纪经济报道
669,2021-08-20,汇丰研究：上调东方证券(03958)至“买入”评级 目标价10.3港元,智通财经
670,2021-08-20,北向资金动向盘点：净买多只券商股,Wind
671,2021-08-20,智通港股通占比异动统计|8月20日,智通财经
672,2021-08-20,外资大手笔加仓的绩优低估值滞涨股来了,Wind
673,2021-08-20,外资巨量砸盘！A股千亿券商股炸板 A股会这么走？,凤凰网
674,2021-08-20,太诡异！千亿券商股炸板，外资巨量砸盘，成交额再突破，A股会这么走？外资大手笔加仓的绩优低估值滞涨股来了,证券时报网
675,2021-08-20,高景气赛道股卷土重来，市场重现“跷跷板”效应,Wind
676,2021-08-19,两个月广发证券上涨43%，东方证券大涨73%，券商股行情从β到α悄然变性？,21世纪经济报道
677,2021-08-19,发生了什么？铁矿石暴跌，欧股全线重挫…港股科技股也跌惨了，恒生科技指数再创新低,证券时报
678,2021-08-19,股价创新高！主力25亿抢筹长安汽车，新能源车高增长有望持续,第一财经
679,2021-08-19,沪港通十大成交活跃股排名（8月19日）,Wind
680,2021-08-19,北向资金年内第三次单日净卖出超百亿，中国平安遭大幅抛售超18亿,Wind
681,2021-08-19,45股今日获机构买入评级 13股上涨空间超20%,证券时报网
682,2021-08-19,突然砸盘！外资罕见净卖100亿，阿里破发、美团腰斩,Wind
683,2021-08-19,突然砸盘！外资罕见净卖超100亿，700亿酒企闪崩跌停！美团惨遭腰斩，阿里巴巴破发，蒸发3万亿！刚刚，欧股开盘大跌，发生了什么？,中国基金报
684,2021-08-19,“财富涨”最该看哪些指标？东方证券29个交易涨幅近七成，哪些券商最可能追寻财富管理上涨逻辑？,财联社
685,2021-08-19,上海建工：东方证券股价上涨有助于增厚公司投资收益,Wind
686,2021-08-19,东方证券成交超百亿，高位震荡分歧加大,阿尔法工场
687,2021-08-19,东方证券AH走势分化 H股遭Raise Sino Investments连续减持 减持股份,格隆汇
688,2021-08-19,东方证券连续巨量“炸板”，成交额超百亿元,第一财经
689,2021-08-19,1000亿券商牛股连续“炸板”，90亿巨量资金厮杀,Wind
690,2021-08-19,突发！1000亿券商牛股连续“炸板”，90亿巨量资金厮杀！这只股10天9涨停后一字跌停，带崩一堆“暴涨股”！,e公司
691,2021-08-19,东方证券现跌近5% 近日遭股东减持涉资约1.3亿港元 减持股份,新浪
692,2021-08-19,东方证券股价跌5.0% 现报8.16港元,乐居财经
693,2021-08-19,财经头条：东方证券等多只股涨停 券商板块进入配置窗口期了吗？,第一财经
694,2021-08-19,A股午盘综述：沪指跌0.71%，周期股全线下挫,Wind
695,2021-08-19,【异动股】东方证券 (03958.HK)跌3.26%,财华社
696,2021-08-19,华菱线缆一字跌停 券商板块内部分化严重,财联社
697,2021-08-19,财富管理站上风口，东方证券再涨停，8月以来累计大涨56%,证券时报网
698,2021-08-19,开盘：沪指跌0.29%创业板指涨0.33%，券商股东方证券一字涨停，重庆啤酒发中报逼近跌停,金融界
699,2021-08-19,东方证券打开涨停后迅速回封，成交额接近40亿元,Wind
700,2021-08-19,“财富管理”系券商延续强势，东方证券一字涨停,资本邦
701,2021-08-19,【行情】券商股早盘分化，东方证券竞价涨停，长城证券高开秒板，红塔证券、南京证券、湘财股份等小券商回落,金十数据
702,2021-08-19,快讯：券商股开盘分化 东方证券2连板,新浪
703,2021-08-19,券商股再度走强，东方证券2连板,Wind
704,2021-08-19,上证指数低开0.29%，东方证券百万手买单封死涨停,Wind
705,2021-08-19,智通港股通占比异动统计|8月19日,智通财经
706,2021-08-19,“牛市旗手”掀涨停潮，财富属性成券商新爆点,Wind
707,2021-08-19,财富管理主线成大金融行情重要催化，机构喊话关注！券商参股公募基金去年赚多少？,财联社
708,2021-08-19,上市险企股价大幅偏离基本面 寿险及健康险赛道长期看好,财富动力网
709,2021-08-19,港股盘前必读：腾讯控股第二季度净利润425.87亿元同比增29%,Wind
710,2021-08-19,金融爆发券商掀涨停潮 投资人：“没有牛市，券商就没行情”,中证报
711,2021-08-19,“牛市旗手”掀涨停潮，四大层面剖析券商暴涨背后原因,时代周报
712,2021-08-19,东方证券(03958.HK)遭Raise Sino Investments减持1613万股 减持股份,格隆汇
713,2021-08-19,大金融板块强势上攻，机构看好估值修复,Wind
714,2021-08-18,东方证券(600958)：财富管理风口下的价值重估,新浪
715,2021-08-18,主力资金加仓券商板块 券商业绩向好 估值处于低位,大众证券报
716,2021-08-18,A股成交额连续21天突破万亿！熟悉的味道回来了么？,上游新闻
717,2021-08-18,财富管理风口下的价值重估|东方证券（600958）深度研究报告【华创非银】,华创非银
718,2021-08-18,券商板块大爆发，是渣男本色重现还是要来真的？,老司基一枚
719,2021-08-18,券商股大爆发，王者归来还是“渣男”本色？,网易
720,2021-08-18,市场行情仍未结束，部分指数仅是牛市刚启动阶段,第一财经
721,2021-08-18,牛市旗手突然发飙，什么原因？高增长低估值潜力股来了，A股成交额揭秘重要信号,e公司
722,2021-08-18,老越看盘丨牛市旗手券商股缘何上演涨停潮？,21世纪经济报道
723,2021-08-18,“牛市旗手”券商股集体大爆发！财富管理转型是决定性驱动因素？,每日经济新闻
724,2021-08-18,大金融集体暴动 低位反弹还是风格反转？,中投网
725,2021-08-18,“牛市旗手”爆发 明天是否会黑周四？,证券之星
726,2021-08-18,大金融带头冲锋，新一轮行情有望展开？,上游新闻
727,2021-08-18,“牛市旗手”涨停潮，连续万亿成交21天！股民感叹：只要是牛市，券商就不会缺席,中证报
728,2021-08-18,【焦点复盘】流动性预期推动金融股走强 谨防短线情绪二次冰点,财联社
729,2021-08-18,东方证券收报8.59港元涨10.8% 总市值600.8亿港元,乐居财经
730,2021-08-18,券商股批量涨停，机构进场扫货！未来市场或这样走,Wind
731,2021-08-18,恒指收涨0.47%：大金融爆发，万洲国际跌逾11%,Wind
732,2021-08-18,涨停股复盘：17股封单超亿元,证券时报网
733,2021-08-18,东方证券股价涨10.3% 现报8.55港元,乐居财经
734,2021-08-18,中信建投等7只券商股涨停，券商ETF涨超6.7%成交额30亿,Wind
735,2021-08-18,中金公司A股冲击涨停，此前兴业、广发、东方、中信建投、东吴证券均已封板,Wind
736,2021-08-18,东方证券等多股涨停，“牛市旗手”券商股大涨原因找到了丨牛熊眼,第一财经
737,2021-08-18,财信证券首予东方证券推荐评级：立足上海区位优势明显，资管公募化时代受益者,每日经济新闻
738,2021-08-18,快讯：券商股全面爆发 东方证券等6只个股涨停,财联社
739,2021-08-18,【行情】港股中资券商股午后继续攀升，广发证券涨超9%，东方证券涨超7%，中信建投证券涨6%，招商证券、中金公司涨超5%,金十数据
740,2021-08-18,【财联社午报】8月以来连续超预期，财富管理“三剑客”点燃券商板块，龙头东方证券累计涨逾60%,财联社
741,2021-08-18,东方证券股价涨5.4% 现报8.17港元,乐居财经
742,2021-08-18,54只股上午收盘涨停(附股),证券时报网
743,2021-08-18,东方证券、兴业证券涨停，证券ETF(512880)涨超4%,资本邦
744,2021-08-18,【异动股】东方证券 (03958.HK)涨3.61%,财华社
745,2021-08-18,券商板块再度活跃，东方证券涨停，8月以来累计涨逾40%,证券时报网
746,2021-08-18,快讯：券商股持续走高 东方证券涨停,新浪
747,2021-08-18,券商股反复活跃 东方证券再度涨停,格隆汇
748,2021-08-18,券商股午前拉升，东方证券首板,Wind
749,2021-08-18,券商股午前拉升，东方证券涨停,Wind
750,2021-08-18,券商板块走强 东方证券涨近6%,中证网
751,2021-08-18,券商股再度冲高，东方证券大涨6%,Wind
752,2021-08-18,智通港股通占比异动统计|8月18日,智通财经
753,2021-08-18,据港交所文件：8月13日，东方证券(03958.HK)遭Raise Sin,新浪
754,2021-08-18,东方证券(03958.HK)遭Raise Sino Investments减持573.8万股 减持股份,格隆汇
755,2021-08-18,A股成交额连续20个交易日破万亿，交易拥挤风险正在加速释放,Wind
756,2021-08-17,财富管理概念轮涨到东吴证券？连续跻身非货公募百强榜，从东方兴业启动的这一轮“财富涨”可否持续,财联社
757,2021-08-17,A股收盘综述：指数午后单边下挫，申万行业全军覆没,Wind
758,2021-08-17,东方证券月内大涨50%，财富管理转型提升市场预期,阿尔法工场
759,2021-08-17,月涨50%，牛市旗手迎新龙头！北向资金2天流入超百亿,Wind
760,2021-08-17,午评丨券商概念股走强，东吴证券涨停,21世纪经济报道
761,2021-08-17,A股午盘综述：沪指再度冲高回落，民航、大基建板块逆势走强,Wind
762,2021-08-17,【权益变动】东方证券(03958.HK)被Raise Sino Investments Limited两日减持1570.72万股 减持股份,财华社
763,2021-08-17,券商板块强势上扬，东方证券等大涨，关注财富管理转型标的,证券时报网
764,2021-08-17,智通港股通占比异动统计|8月17日,智通财经
765,2021-08-17,东方证券(03958.HK)遭Raise Sino Investments减持1570.72万股 减持股份,格隆汇
766,2021-08-17,【重视券商|天风非银】券商的“大财富管理”业务的高速发展将提升整体估值,新锐视角看金融
767,2021-08-17,【天风｜财富管理】三大能力与三分天下——大财富管理行业的现状与未来,新锐视角看金融
768,2021-08-16,东方证券与上海农商银行达成全面战略合作 将全方位开展业务对接,红周刊
769,2021-08-16,大行评级 | 花旗：上调东方证券(3958.HK)目标价至10.31港元 评级“买入”,格隆汇
770,2021-08-16,宁德时代重挫6%！千亿医药白马罕见跌停,Wind
771,2021-08-16,【异动股】东方证券 (03958.HK)涨3.21%,财华社
772,2021-08-16,券商股早盘走强，东吴证券拉升封板，东方证券、广发证券、兴业证券、红塔证券等,新浪
773,2021-08-16,证券板块拉升 东方证券领涨,中证网
774,2021-08-16,兴业证券、东方证券快速冲高，证券ETF(512880)涨近2%,资本邦
775,2021-08-16,关于同意东方证券股份有限公司为南方中证全指证券公司交易型开放式指数证券投资基金提供主做市服务的公告,上交所
776,2021-08-16,智通港股通占比异动统计|8月16日,智通财经
777,2021-08-13,东方证券：8月27日举行董事会会议审核中期业绩,Wind
778,2021-08-13,浦发银行(600000.SH)：同意给予东方证券综合授信额度195亿元,格隆汇
779,2021-08-13,浦发银行：给予东方证券综合授信额度195亿元，授信期限1年,Wind
780,2021-08-13,上投摩根基金携手东方证券齐发声：财富管理行业发展渐入佳境 长期坚持见证远见的力量,凤凰网
781,2021-08-13,智通港股通占比异动统计|8月13日,智通财经
782,2021-08-12,刚刚，MSCI公布最新调整！11只A股进入旗舰指数系列,Wind
783,2021-08-12,北向资金动向盘点：白酒诱多？重手净卖之,Wind
784,2021-08-12,智通港股通占比异动统计|8月12日,智通财经
785,2021-08-12,低估值板块企稳反弹，机构建议精选“优质白马”,Wind
786,2021-08-11,北向资金今日净卖出超28亿元，白酒股持续惨遭抛售,Wind
787,2021-08-11,【行情】证券板块午后持续走弱，国金证券跌超6%，东方证券、财达证券、东方财富跟跌,金十数据
788,2021-08-11,智通港股通占比异动统计|8月11日,智通财经
789,2021-08-11,非银金融行业：市场交易量连续破万亿 财富管理券商表现突出,新浪
790,2021-08-11,为何它是财富管理领头羊？东方证券副总裁徐海宁直言：未来将是中国财富管理的“高光时代”,中国证券网
791,2021-08-11,多重有利因素共振，券商股估值持续修复,Wind
792,2021-08-10,投行巨头研报突然“空袭”，这次盯上了券商龙头,Wind
793,2021-08-10,A股收盘综述：白酒午后强势出击，盐湖股份暴涨逾300%,Wind
794,2021-08-10,【行情】券商股异动拉升，红塔证券触及涨停，招商证券、南京证券、东方证券、中银证券等跟涨,金十数据
795,2021-08-10,A股早报2021年8月10日星期二,Wind
796,2021-08-10,每日理财观察：央行发布二季度货币政策执行报告,Wind
797,2021-08-10,智通港股通占比异动统计|8月10日,智通财经
798,2021-08-10,A股“气温”波动，热门股遇冷“银地保”回暖,Wind
799,2021-08-09,18股特大单净流入资金超2亿元,证券时报网
800,2021-08-09,东方证券与上海农商银行达成全面战略合作,中国经济网
801,2021-08-09,A股收盘综述：大小指数分化，“茅系股”走强“宁组合”低迷,Wind
802,2021-08-09,锂电池板块大跌 关键时刻 券商、银行股联手护盘,上证报
803,2021-08-09,A股风格大逆转！芯片锂电股大跌，万亿巨头跳水,Wind
804,2021-08-09,"A股风格大逆转！刚刚，芯片锂电股暴跌：万亿巨头跳水！金融地产白酒狂飚，保利万科暴涨，更有千亿""牛市旗手""涨停 连续下跌",中国基金报
805,2021-08-09,上海建工：截止去年末，公司持有东方证券1.33亿股,Wind
806,2021-08-09,券商股早盘冲高，东方证券触板，券商ETF（512000）成交2亿元,资本邦
807,2021-08-09,东方证券封板 平安银行涨逾7% 大金融板块集体反攻,第一财经
808,2021-08-09,东方证券股价涨5.2% 现报7.84港元,乐居财经
809,2021-08-09,A股成交持续活跃，东方证券涨停，证券ETF(512880)涨超2%,资本邦
810,2021-08-09,证券板块拉升 东方证券涨超9%,中证网
811,2021-08-09,港股金融板块盘初走强 东方证券涨逾4%,中证网
812,2021-08-09,券商股持续攀升，东方证券涨停,Wind
813,2021-08-09,券商板块异动拉升 东方证券触及涨停,e公司
814,2021-08-09,智通港股通占比异动统计|8月9日,智通财经
815,2021-08-08,“喜当爹”！东方证券被动成为*ST邦讯第一大股东，却不想当实控人 控制人变化,搜狐
816,2021-08-08,【安信非银第24期周报】创业板迎承销新规，自保件风险引监管关注,新角度新金融
817,2021-08-08,东方证券：资产管理标杆券商,格隆汇
818,2021-08-08,【东方证券电话会议】波动行情下的市场观点 @8月8日（周日）晚8点,新浪
819,2021-08-08,兴证非银周报：估值错位 增配券商,新浪
820,2021-08-07,二季度社保、QFII、险资持仓抢先看，A股连续13天成交超1.2万亿,Wind
821,2021-08-06,东莞证券：延期至8月27日召开“21东债01”等多只债券2021年第一次债券持有人会议,Wind
822,2021-08-06,中国债券市场金融债发行日程一览(8月6日),Wind
823,2021-08-06,智通港股通占比异动统计|8月6日,智通财经
824,2021-08-05,上半年创业板受理183家首发申请 发问询函430份 终止审核70家,财联社
825,2021-08-05,睿远基金又添一员大将 原东方证券董事长潘鑫军加入,GPLP犀牛财经
826,2021-08-05,券商股尾盘持续走弱，东方证券跌超5%,Wind
827,2021-08-05,游戏股巨震，基金经理对相关板块分歧加大,Wind
828,2021-08-05,因股票质押式回购纠纷被动成为*ST邦讯第一大股东，东方证券：这个实控人我不当 关联方问题,每日经济新闻
829,2021-08-04,*ST邦讯(300312.SZ)：董事长张庆文仍为公司实控人,智通财经
830,2021-08-04,东方证券等18股获融资净买入超亿元,证券时报网
831,2021-08-04,游戏产业将变天？北上积极调仓聚焦两大板块,Wind
832,2021-08-04,券商板块显露复苏迹象 资金热捧财富管理主线,上证报
833,2021-08-03,东方基金推出新债基 刘长俊1只任职逾一年产品净值下跌1.36%,中金在线
834,2021-08-03,从“日出东方”到“出走东方” 东方证券“灵魂人物”为何不断离开？,新浪
835,2021-08-03,公募基金高管上月换了49人 今年已有91家公司换了211人,新浪
836,2021-08-03,东方证券(03958)：上海东方证券创新投资完成增资9.5亿元的工商变更登记,智通财经
837,2021-08-03,东方证券(03958.HK)：全资子公司东证创投已完成增资9.5亿元,格隆汇
838,2021-08-03,东方证券：子公司东证创投已完成增资工商变更登记 关联方问题,中证网
839,2021-08-03,睿远基金正筹备第一只固收类公募基金,Wind
840,2021-08-03,券商股又拉开上涨排面！这一轮因何东方广发国联等领涨？财富管理爆发，是上涨最清晰主线,财联社
841,2021-08-03,游戏产业也将变天？腾讯高位跌超40%，大股东、基金齐减持,Wind
842,2021-08-03,非银金融行业周报：二季度基金保有规模百强出炉 依旧看好财管主线,新浪
843,2021-08-03,恒生科技指数跌2.36%，热门科技股走低,Wind
844,2021-08-03,“牛市旗手”券商股再度上攻，机构：财富管理行业处于黄金时期丨牛熊眼,第一财经
845,2021-08-03,A股午盘综述：医药生物指数大涨，热点题材尽数哑火,Wind
846,2021-08-03,中资券商股拉升 东方证券涨超6%领涨,格隆汇
847,2021-08-03,被低估许久的券商股终于到了出头之日吗？,券商中国
848,2021-08-03,券商股异动拉升 东方证券连续涨停,格隆汇
849,2021-08-03,券商股午前再度强攻，东方证券连续涨停,Wind
850,2021-08-03,每日理财观察：A股史诗级“大肉签”来了,Wind
851,2021-08-03,港股盘前必读：美联储可能会在9月15日前宣布缩减购债,Wind
852,2021-08-03,“牛市旗手”终于爆发！明明王者业绩，却走出青铜股价,Wind
853,2021-08-03,“牛市旗手”券商股终于爆发，仍旧看好财富管理主线,券商中国
854,2021-08-03,基金早班车|白酒股起舞，科技股还有戏吗？8月开门红，机构建议成长制造和价值消费两手抓,金融界
855,2021-08-03,“牛市旗手”爆发 这次来真的吗？“王者”业绩却走出“青铜”股价！,券商中国
856,2021-08-03,与陈光明再续“缘分”，60岁潘鑫军加盟睿远基金！职务曝光,中国基金报
857,2021-08-03,睿远基金再迎重磅人事变动！东方证券前董事长潘鑫军加盟，担任这一岗位，有何布局？,券商中国
858,2021-08-02,800亿市值券商重大人事变动！董事长潘鑫军将履职睿远基金，系陈光明老领导 董监高成员变化,21财经搜索
859,2021-08-02,与陈光明续写“渊源”，东方证券原董事长潘鑫军履新睿远公益基金会理事长,财联社
860,2021-08-02,晚间要闻2021年8月2日星期一,Wind
861,2021-08-02,60岁潘鑫军加盟陈光明旗下睿远公益基金会 出任理事长,澎湃新闻
862,2021-08-02,12份券商半年报业绩快报亮相，中信建投为唯一净利负增长,第一财经
863,2021-08-02,原东方证券董事长、党委书记潘鑫军任上海睿远公益基金会理事长,每日经济新闻
864,2021-08-02,原东方证券董事长潘鑫军，将履职睿远基金，系陈光明老领导,中新经纬
865,2021-08-02,原东方证券董事长潘鑫军将履职睿远基金，系陈光明老领导,Wind
866,2021-08-02,21独家丨原东方证券董事长潘鑫军，将履职睿远基金，系陈光明老领导,21世纪经济报道
867,2021-08-02,开源证券：7月金股组合盈利5.32% 8月荐股名单出炉,新浪
868,2021-08-02,A股收盘综述：8月开门红，白马股集体回暖,Wind
869,2021-08-02,非银金融行业2021Q2销售机构公募基金保有数据点评：券商和三方抢占银行份额 天天基金偏股增速领先,新浪
870,2021-08-02,券商板块强势上扬，东方证券涨停，东方财富涨逾7%,证券时报网
871,2021-08-02,恒指午盘涨0.92%，大金融板块表现不俗,Wind
872,2021-08-02,【中信建投 非银&金融科技】券商2021H1业绩向好，继续关注估值修复机会,中信建投非银金融研究
873,2021-08-02,71只股上午收盘涨停(附股),证券时报网
874,2021-08-02,快讯：证券板块持续拉升 东方证券封涨停,新浪
875,2021-08-02,A股午盘综述：上证指数涨1.5%，券商、白酒反弹,Wind
876,2021-08-02,【行情】证券板块持续走高，东方证券涨超7%，南京证券、光大证券、中金公司跟涨,金十数据
877,2021-08-02,券商股冲高，东方证券、南京证券、中金公司领跑,Wind
878,2021-08-01,【东方证券电话会议】政治局会议和美联储议息解读，展望8月投资机会 @8月1日（周日）晚8点,东方研究
879,2021-07-31,第三合伙人离任总经理，由个人系转向券商系，合煦智远基金大变动将至？此前中原证券意在控局 董监高成员变化,财联社
880,2021-07-31,开源金股，8月推荐,开源证券研究所
881,2021-07-31,又见新版图！公募销售保有规模前100排名出炉，51家券商跻身榜单，蚂蚁非货保有量首超万亿，三分天下之势正成,财联社
882,2021-07-30,券商评级出炉 海通证券跌至B类 恒泰证券、国都证券连降4级,中国经营报
883,2021-07-30,非银金融业周报数据库第二十九周：券商评级出台强者恒强 东方财富再推股权激励,新浪
884,2021-07-30,券商代销非货公募保有规模二季度排名出炉！抢看前十券商，财富管理两大“关键数据”都来了，全排名细细看,财联社
885,2021-07-30,券商代销非货公募保有规模二季度排名出炉：中信、华泰、广发居前三,财联社
886,2021-07-30,深圳辖区保荐业务全面检查启动，8月券商自查9月现场检查，自查项目覆盖不低于20%，确定从轻处理条件,财联社
887,2021-07-29,国开行首单“长江经济带发展”专题绿色金融债券点评：国开行引领绿色债券发展,新浪
888,2021-07-29,财华洞察|大哥还是大哥，中信证券的中期业绩有何启示？,财华社
889,2021-07-29,部分券商股异动,证券时报网
890,2021-07-29,历史的回声、数据的噪声和美联储行动指南,第一财经
891,2021-07-29,券商股拉升，上证指数涨幅扩大,Wind
892,2021-07-28,深交所罕见点名23家券商投行，事出何因？上半年创业板受理183家首发申请，发问询函430份，终止审核70家,财联社
893,2021-07-28,券商股午后走弱，财达证券跌超5%,Wind
894,2021-07-27,【异动股】东方证券(03958.HK)涨3.13%,财华社
895,2021-07-27,博睿数据：数据链DNA，使企业数字化转型更为顺畅,观察者网
896,2021-07-26,2021上半年券商业绩PK,新浪
897,2021-07-26,东方证券董事长金文忠：相信文化的力量，打造高质量发展“软实力”,中证协
898,2021-07-26,博睿数据把脉“体验经济”，以“上帝”视角解决业务运营挑战,51CTO
899,2021-07-26,非银金融行业周报：养老保险市场供给增加 基金券商配置环比企稳,光大证券
900,2021-07-26,【AH互动】东方证券(03958)涨6.14% 上半年净利润同比增长76.95%,和讯
901,2021-07-26,港股异动 | 东方证券(03958)涨超6% 上半年纯利同比增长近77%至27亿元,智通财经
902,2021-07-26,港股中资券商股盘中强势拉升 东方证券涨逾6%,中证网
903,2021-07-26,开源证券：维持东方证券(600958.SH)“买入”评级 公募市场规模持续扩张,智通财经
904,2021-07-26,【行情】证券板块异动拉升，华林证券涨停回封，广发证券、兴业证券、东方证券跟涨,金十数据
905,2021-07-26,港股异动 | 东方证券(3958.HK)涨超4% 上半年净利同比增长76.95%,格隆汇
906,2021-07-26,东方证券(03958.HK)上半年净利润增长76.95%至人民币27亿元,财华社
907,2021-07-26,【安信非银第22期周报】券商评级头部领先，持续看好券商行情,新角度新金融
908,2021-07-26,融资客青睐13股，陕天然气买入占比高达49.30%,Wind
909,2021-07-26,开源证券维持东方证券买入评级，东方证券2021H1业绩快报点评：中报超预期上修盈利，大财富管理利润贡献行业领先,每日经济新闻
910,2021-07-25,深度*行业*证券行业周点评：业绩分化下关注基本面优异的龙头和特色股,新浪
911,2021-07-25,周末影响一周市场的10大消息(新股+点评),Wind
912,2021-07-25,【东方证券电话会议】基金中报重仓的变化与未来趋势 @7月25日（周日）晚8点,东方研究
913,2021-07-24,券商新座次表出炉：兴业证券等3家新晋AA，海通跌出A类,第一财经
914,2021-07-24,上半年利润增速远超同行，东方证券周五冲击涨停,21世纪经济报道
915,2021-07-24,重磅！券商一年一次“大考”放榜,证券时报
916,2021-07-24,"3500亿""券茅""业绩狂飙，这块业务爆火，还有17亿股权激励！",券商中国
917,2021-07-24,券业重磅！2021年证券公司分类结果出炉，A类公司增加3家,证券时报
918,2021-07-24,中国股票的市盈率仍偏低，看清热门股、最差股基金最新持仓！,Wind
919,2021-07-24,"券业""大考""放榜！A类券商占比49%，东方、兴业、广发晋升AA",券商中国
920,2021-07-24,券业最新分类结果出炉：26家级别上升，两家连降4级,Wind
921,2021-07-24,券业重磅！最新分类结果出炉：近半数为A！26家级别上升，这两家券商最惨,中国基金报
922,2021-07-23,私募通基金周报,新浪
