,2021-12-31,“申万宏源十大金股组合”：2022年第1期,新浪
428,2021-09-07,申万宏源(06806.HK)累计新增借款占2020年末净资产比例达29.29% 大额借贷担保,格隆汇
429,2021-09-07,申万宏源(06806)前8月累计新增借款占2020年末经审计净资产29.29% 大额借贷担保,智通财经
430,2021-09-07,申万宏源：16申宏03将于9月9日付息还本并摘牌,Wind
431,2021-09-07,申万宏源(000166.SZ)股价异动 不存在应披露而未披露信息,智通财经
432,2021-09-07,交易异动！申万宏源：近3个交易日上涨24.64%,每日经济新闻
433,2021-09-07,申万宏源遭疯抢，北向资金流入4.8亿元,证券之星
434,2021-09-07,北向资金追平年内最长净买入纪录累计加仓超550亿，美的集团净买入超11亿元,Wind
435,2021-09-07,申万宏源龙虎榜数据（9月7日）,Wind
436,2021-09-07,申万宏源：当年累计新增借款占2020年末净资产的29.29% 大额借贷担保,Wind
437,2021-09-07,A股资金流向（9月7日）：资源、金融双轮驱动，追高资金享受溢价,Wind
438,2021-09-07,券商受益北交所设立，申万宏源新三板业务占优，近期连涨24%,资本邦
439,2021-09-07,【行情】证券板块走弱，国信证券跌近5%，申万宏源、东吴证券、第一创业、国投资本等跟跌,金十数据
440,2021-09-07,每日理财观察：证监会研究推出进一步扩大开放举措,Wind
441,2021-09-07,66只个股全红，还掀起“30cm”涨停潮！谁是推手？,Wind
442,2021-09-07,“喝酒吃药”行情重起，高位题材股“退潮”,Wind
443,2021-09-07,1200亿券商巨头或迎来重要股东清仓式减持，22年投资爆赚几十倍,Wind
444,2021-09-06,坚守十年等到北交所，申万宏源王昭凭：低谷期差点保不住团队,第一财经
445,2021-09-06,十年坚守等到北交所，申万宏源王昭凭：已有摘牌企业考虑回归,第一财经
446,2021-09-06,A股共发生139宗大宗交易成交28.8亿元（9月6日）,Wind
447,2021-09-06,劲嘉股份：申万宏源、淡水泉等33家机构于9月3日调研我司,证券之星
448,2021-09-06,申万宏源今日涨停，北向资金流入1.87亿元！,证券之星
449,2021-09-06,券商大涨，申万宏源为何连续涨停？北交所设立在即哪些券商更受益,新京报
450,2021-09-06,申万宏源今日大宗交易成交35万股，成交价5.87元溢价0.0%,Wind
451,2021-09-06,申万宏源涨停 北向资金大额买入,第一财经
452,2021-09-06,申万宏源今日涨停，深股通净买入近1亿元,Wind
453,2021-09-06,申万宏源龙虎榜数据（9月6日）,Wind
454,2021-09-06,一根大阳线，“千军万马”来相见！,Wind
455,2021-09-06,9月6日申万宏源涨停分析：北交所概念，券商，参股基金概念热股,证券之星
456,2021-09-06,A股收盘综述：市场演绎高低切换，创业板指大涨4%、超跌龙头普遍回暖,Wind
457,2021-09-06,交银国际：北交所为券商带来新的增长点 看好申万宏源(06806)、中信建投(06066)等,智通财经
458,2021-09-06,4000亿巨头大涨10%，创业板狂飚，医疗白酒爆发,Wind
459,2021-09-06,多只精选层股票上演“30cm”涨停，创业板也反弹超3%,Wind
460,2021-09-06,解盘：白马拉升指数，CRO、医疗、宁组合、白酒领涨,Wind
461,2021-09-06,A股午盘综述：创业板指强势反弹涨近4%，迈瑞医疗、爱尔眼科劲升超9%,Wind
462,2021-09-06,【异动股】申万宏源(06806.HK)涨3.35%,金融界
463,2021-09-06,快讯：中资券商股上涨 中信建投证券涨近6%申万宏源涨超5%,新浪
464,2021-09-06,券商板块持续拉升涨超3.5%，申万宏源二度涨停主力资金快速涌入,资本邦
465,2021-09-06,申万宏源涨停，证券ETF（512880）涨超2%,资本邦
466,2021-09-06,券商板块拉升走高 申万宏源封涨停,格隆汇
467,2021-09-06,申万宏源早盘涨停,中证网
468,2021-09-06,【异动股】券商板块快速拉升走高 申万宏源(000166.CN)涨停,财华社
469,2021-09-06,券商股反复活跃，申万宏源连续两日触及涨停,Wind
470,2021-09-06,【行情】证券板块走高，申万宏源涨停，财通证券涨超6%，第一创业、东北证券、东方证券等跟涨,金十数据
471,2021-09-06,券商股拉升 申万宏源涨超9%,e公司
472,2021-09-06,每日理财观察：公募酝酿创新普通混合型产品,Wind
473,2021-09-06,中信建投：北交所设立催化券商板块行情,Wind
474,2021-09-05,北交所横空出世，券商开抢新“蛋糕”，中小券商要翻盘？,Wind
475,2021-09-03,广发证券：申万宏源、中信证券等2家机构于9月1日调研我司,证券之星
476,2021-09-03,申万宏源：全力备战“升级版”新三板,上证报
477,2021-09-03,申万宏源(06806)：申万宏源证券60亿元公司债已于深交所挂牌交易,智通财经
478,2021-09-03,为何是申万宏源与一创领涨？北交所横空出世，券商新三板各业务排名立见高下，多家券商发声表态北交所,财联社
479,2021-09-03,中芯国际暴力拉升，狂砸570亿干这事！4000亿巨头险些破发,Wind
480,2021-09-03,新三板券商报告：申万宏源督导企业607家为最多中信建投精选层拿9单,挖贝网
481,2021-09-03,A股收盘综述：锂、稀土、化工等热门赛道集体调整，年内牛股批量跌停,Wind
482,2021-09-03,全线大涨，多只飙100%，最牛A股5天翻倍！锂电军工大跳水,Wind
483,2021-09-03,恒生指数午盘收跌0.54%报25948点 中资券商股全面走强 申万宏源(06806)涨9.14%,凤凰网
484,2021-09-03,北交所送利好，99家主办券商哪家强？申万宏源开源国融锁定前三,第一财经
485,2021-09-03,解盘：白马撑大盘，风电、生物育种、白酒、仿制药略涨,Wind
486,2021-09-03,港股扫描 | 申万宏源涨近10%；碳中和概念股延续强势,富途证券
487,2021-09-03,A股午盘综述：北京证券交易所概念炒作预热，锂、稀土再次深度调整,Wind
488,2021-09-03,A股券商股集体高开 申万宏源/第一创业涨停,格隆汇
489,2021-09-03,港股恒指低开0.26%，中资券商股大涨，申万宏源涨近10%，中信建投涨超7%,和讯
490,2021-09-03,【异动股】券商信托板块高开，申万宏源(000166.CN)涨10.06%,财华社
491,2021-09-03,恒生指数低开0.26%报26022点 券商股走强 申万宏源(06806)涨9.09%,凤凰网
492,2021-09-03,恒指跌近1% 申万宏源涨超13%,第一财经
493,2021-09-03,北京证券交易所要来了，这些板块及个股或成大赢家,第一财经
494,2021-09-03,券商股高开低走，广发证券跌超4%,Wind
495,2021-09-03,券商板块大涨 申万宏源、东兴证券、第一创业涨停,中证网
496,2021-09-03,中信建投：北京证券交易所设立助力中小企业直接融资，拓宽券商展业空间,Wind
497,2021-09-03,恒生科技指数跌幅扩大至1%，券商股逆市持续上涨,Wind
498,2021-09-03,北京证券交易所呼之欲出：申万宏源涨10%，中信建投涨超7%,新浪
499,2021-09-03,港股券商股开盘大涨 申万宏源涨超9%,e公司
500,2021-09-03,恒指低开0.26%，券商股普涨,Wind
501,2021-09-02,硅宝科技：国信证券、申万宏源等29家机构于8月31日调研我司,中金在线
502,2021-09-02,云图控股：华创证券、申万宏源等38家机构于8月31日调研我司,证券之星
503,2021-09-01,晨光文具：申万宏源、浙商证券等4家机构于8月30日调研我司,证券之星
504,2021-09-01,申万宏源(06806.HK)：申万宏源证券2021年第三期短期融资券(债券通)兑付完成,格隆汇
505,2021-09-01,申万宏源(000166.SZ)子公司兑付2021年第三期短期融资券(债券通)本息共计40.21亿元,智通财经
506,2021-09-01,保代今年增员超七成，中原、长江等上半年爆发式提升,Wind
507,2021-08-31,逾700家上市公司上半年炒493只A股：哪些亏损，哪些赚钱？,第一财经
508,2021-08-31,欣贺股份：长江证券、申万宏源等2家机构于8月30日调研我司,证券之星
509,2021-08-31,微光股份：申万宏源、瀚川投资等5家机构于8月30日调研我司,证券之星
510,2021-08-31,申万宏源上半年营收增超20%，场外衍生品业务成新晋增长极,资本邦
511,2021-08-30,晚间重要公告2021年8月30日星期一,Wind
512,2021-08-30,中曼石油：控股股东拟转让所持4%公司股份,Wind
513,2021-08-30,上工申贝：公司没有二级市场炒股情况,Wind
514,2021-08-30,关于同意申万宏源证券有限公司为浙商证券沪杭甬杭徽高速封闭式基础设施证券投资基金提供一般做市服务的公告,上交所
515,2021-08-29,场外衍生品1年飙升8000亿，五大券商占80%份额,Wind
516,2021-08-29,申万宏源集团公布2021年中期业绩 机构服务及交易业务大幅增长 推动收入稳步增长,中国金融新闻网
517,2021-08-29,申万宏源(06806.HK)上半年归属于母公司股东的净利润增长12.05%,财华社
518,2021-08-29,券商上半年净利最高增642%！两类股投资价值大,Wind
519,2021-08-28,申万宏源净利润45亿元，自营、经纪业务贡献了八成收入，买入宁德时代获益7个亿，跨境业务规模增长3倍,财联社
520,2021-08-28,申万宏源：上半年机构服务及交易业务收入同比增超30%,证券日报网
521,2021-08-27,申万宏源：上半年净利润同比增长12.05%,Wind
522,2021-08-27,申万宏源：上半年净利润45.21亿元 同比增12.05%,证券时报网
523,2021-08-27,申万宏源(06806)中期归母净利同比增长12.05%至45.21亿元,智通财经
524,2021-08-27,申万宏源(000166.SZ)上半年净利升12.05%至45.21亿元,格隆汇
525,2021-08-27,新时达：申万宏源、国寿资产等5家机构于8月25日调研我司,证券之星
526,2021-08-27,金煌物流信披违规收警示函 主办券商申万宏源兴业证券 金融监管处罚,中国经济网
527,2021-08-26,申万宏源(06806.HK)：申万宏源证券对开源证券提起仲裁申请,格隆汇
528,2021-08-26,申万宏源(06806)：申万宏源证券完成发行60亿元公司债券,智通财经
529,2021-08-26,申万宏源(06806)：申万宏源证券就开源证券未履行正回购方还款义务向上海国际仲裁中心提起仲裁,智通财经
530,2021-08-26,债市风云|申万宏源涉及重大仲裁 机构延迟披露华晨汽车评级 推迟评级,中新经纬
531,2021-08-26,申万宏源：所属子公司申万宏源证券涉及债券质押式回购协议纠纷案,Wind
532,2021-08-25,爱施德：申万宏源、申万宏源等20家机构于8月24日调研我司,证券之星
533,2021-08-25,申万宏源(06806.HK)：“21申证Y2”8月25日起挂牌交易,格隆汇
534,2021-08-25,申万宏源(06806)：申万宏源证券33亿元永续次级债券在深交所挂牌交易,智通财经
535,2021-08-23,智通港股通占比异动统计|8月23日,智通财经
536,2021-08-23,申万宏源净利率连续两年退居行业前30 经营现金流接连大幅净流出隐忧重重,长江商报
537,2021-08-22,以轻资本撬动高估值，越来越多券商行动！财富管理组织架构调整“高发期”，三大类型调整护航产业链,财联社
538,2021-08-20,申万行业分类标准2021 版说明,新浪
539,2021-08-20,申万宏源许旖珊：券商板块迎财富管理带动的窗口配置期 中信证券龙头望点燃整个板块,新浪
540,2021-08-19,申万宏源(000166.SZ)完成发行33亿元2021年永续次级债券(第二期),智通财经
541,2021-08-18,申万宏源香港：订立有关许可协议的持续关连交易,Wind
542,2021-08-18,申万宏源香港(00218.HK)附属与申万宏源国际订立许可协议,格隆汇
543,2021-08-18,多家A股热门股赴港上市，有没有打新价值？,新浪
544,2021-08-17,【银华基金】交易日报 2021-08-17,新浪
545,2021-08-15,在港中资券商谋财富管理发展，申万宏源香港半年收入5.29亿港元，财富管理收入占四成，发力点有哪些,财联社
546,2021-08-15,“雪球产品”迎来全面自查！发行至第92号“雪球”的海通证券如何收尾？,环球老虎财经
547,2021-08-13,申万宏源(06806)：申万宏源证券完成发行40亿元2021年第六期短期融资券(债券通),智通财经
548,2021-08-13,申万宏源(000166.SZ)：申万宏源证券完成发行40亿元短期融资券(债券通),智通财经
549,2021-08-13,申万宏源0.0001%费率揽生意，不为赚钱只为交个朋友？,搜狐
550,2021-08-13,申万宏源：8月27日举行董事会会议审核中期业绩,Wind
551,2021-08-12,雪球风光不再，券商风控要求提升，已在寻找下一个“爆品”,第一财经
552,2021-08-12,中曼石油控股股东被上交所通报批评 近2年信披考评非C即D,硅谷动力
553,2021-08-12,申万宏源承销600亿金融债费率仅万分之一，监管严打低价抢单,AI财经社
554,2021-08-12,整个金融圈都惊呆了！杀价太惨烈，600亿元的大项目只收6万元服务费，投行精英们图个啥？,每日经济新闻
555,2021-08-11,申万宏源研究“热点十问”系列之四 · 固定收益,申万宏源研究
556,2021-08-11,太卷了！又现“地板价”，申万宏源600亿金融债承销仅收6万承销费,Wind
557,2021-08-11,太卷了！又现“地板价”，申万宏源600亿金融债承销仅收6万承销费,21世纪经济报道
558,2021-08-11,债券承销又现“地板价”：广发银行600亿金融债，申万宏源仅收6万元,第一财经
559,2021-08-11,低到“吐血”！广发银行600亿债券承销，申万宏源仅按0.0001%收费！,深水财经社
560,2021-08-11,低到吐血！600亿债券承销，有券商按0.0001%收费,Wind
561,2021-08-11,低到吐血：600亿债券承销 有券商仅按0.0001%收费 价格战频见白菜价 缘何屡禁不止？,券商中国
562,2021-08-10,申万宏源宏观：预计11月前央行可能再度降准,金融界
563,2021-08-09,申万宏源(06806)2021年公司债券(第三期)将于8月10日起在深交所挂牌交易,智通财经
564,2021-08-09,申万宏源(06806.HK)“21申宏05”将于8月10日挂牌交易,格隆汇
565,2021-08-06,一分钟售罄！“雪球”产品太火爆，监管重磅出手了！,Wind
566,2021-08-06,券商半年考：中信仍一哥，申万、光大以及中金利润滑坡 盈利能力下降,网易
567,2021-08-05,中小券商“上下翻飞”、头部券商“稳如泰山” 波动率看券商变化,新浪
568,2021-08-05,申万宏源(06806.HK)2021年公司债(第五期)8月3日起上市,格隆汇
569,2021-08-04,申万宏源(06806)：申万宏源证券完成工商变更登记,智通财经
570,2021-08-04,申万宏源(06806.HK)完成向申万宏源证券增资15亿元,格隆汇
571,2021-08-04,申万宏源(06806)发行30亿元公司债券,智通财经
572,2021-08-04,申万宏源(06806.HK)发行30亿元债券,格隆汇
573,2021-08-04,申万宏源(000166.SZ)：完成公开发行30亿元公司债券,格隆汇
574,2021-08-03,新疆区域股市周报：2亿融资买入特变电工 熙菱信息跌19.83%跌幅第一,每日经济新闻
575,2021-08-03,7月A股行情突变，超配榜单公布：招商证券、申万宏源、西南证券位列前三，券商配置上演“神预测”,金融界
576,2021-08-02,申万宏源(06806.HK)2021年公司债券第三期品种一利率为2.99%,格隆汇
577,2021-07-30,申万宏源(000166.SZ)：“21申证06”及“21申证07”自7月29日起在深交所挂牌交易,智通财经
578,2021-07-30,申万宏源向河南灾区捐赠首批款项600万元,证券日报网
579,2021-07-30,申万宏源积极行动 支持河南防汛救灾及灾后重建,中证网
580,2021-07-30,申万宏源人牵挂河南灾区 以真爱真行致力灾后重建,中证网
581,2021-07-29,电报|6家券商捐款3500万驰援河南中信中金申万宏源中原广发瑞银先行动,财联社
582,2021-07-29,申万宏源(06806)拟发行不超过30亿元公司债,智通财经
583,2021-07-29,申万宏源(06806)：公开发行公司债券更名 业务变化,智通财经
584,2021-07-29,申万宏源(06806)：申万宏源证券完成发行70亿元公司债,智通财经
585,2021-07-29,申万宏源(000166.SZ)拟发行不超30亿元2021年公司债券(第三期),智通财经
586,2021-07-29,申万宏源(000166.SZ)：申万宏源证券完成发行50亿元短期融资券(债券通),智通财经
587,2021-07-29,申万宏源(000166.SZ)：申万宏源证券完成发行70亿元公司债券,智通财经
588,2021-07-28,申万宏源(06806.HK)完成发行50亿元短期融资券,格隆汇
589,2021-07-28,一份“不得外传”的业绩排名“外流”：引发股市异动，未披露业绩预告券商叫苦连连,华夏时报
590,2021-07-27,139家券商半年业绩全排名：代销金融产品收入高关注，前30券商占九成份额，中信国君华泰海通招商等净利居前十,财联社
591,2021-07-27,独家！139家券商2021上半年11项指标大比拼：前十大券商净利占比突破50%，7家投行收入超过10亿，东证资管和中信资管收入近20亿！,每日经济新闻
592,2021-07-27,新疆区域股市周报：新增1家上市公司 2家机构调研金风科技,每日经济新闻
593,2021-07-27,谁在分羹精选层市场？转板上市迎来新契机 中小券商弯道超车机会来了？,券商中国
594,2021-07-27,守得云开见月明 中小券商掘金精选层业务,证券时报
595,2021-07-26,券商发力精选层业务：保荐承销费逾9亿 中小券商有望弯道超车,新浪
596,2021-07-26,广发证券AH股逆势涨超4% 申万宏源升至买入评级,新浪
597,2021-07-26,南方基金关于旗下部分基金增加 申万宏源、申万宏源西部为销售机构 及开通相关业务的公告,新浪
598,2021-07-25,周末影响一周市场的10大消息(新股+点评),Wind
599,2021-07-24,券业最新分类结果出炉：26家级别上升，两家连降4级,Wind
600,2021-07-23,叶飞举报案水落石出！操纵团伙被抓捕归案 操纵股价潜规则在颤抖 诉讼纠纷,新京报
601,2021-07-23,2021券商分类评级出炉！15家喜提AA，东方、兴业、广发荣升AA，东海连升5级CC至A最快，3家出局AA,财联社
602,2021-07-23,申万宏源(06806)：申万宏源证券收到仲裁裁决 邻水融富2号须履行还款义务 诉讼纠纷,智通财经
603,2021-07-23,上海金才 | 有创造性的青年才俊：以全球化视野、扎实的技能深探金融行业密钥,第一财经
604,2021-07-23,洪兴股份首日换手1.28% IPO募7亿申万宏源赚0.4亿,中国经济网
605,2021-07-23,二季度新三板做市商座次变化明显，中小券商排名靠前,Wind
606,2021-07-22,申万宏源：中介机构发生变更,Wind
607,2021-07-22,申万宏源：公司涉及多起质押式证券回购合同纠纷案 诉讼纠纷,Wind
608,2021-07-21,二季度新三板主办券商执业质量评价结果出炉：开源证券领衔榜单，财达证券、东北证券、华创证券合规质量扣分居前,每日经济新闻
609,2021-07-21,已有27家券商可做基金投顾：陪伴式服务客户，百万年薪揽才,Wind
610,2021-07-21,已有27家券商可做基金投顾：陪伴式服务客户，百万年薪揽才,澎湃新闻
611,2021-07-21,大手笔招聘基金投顾人才 券商财富管理转型箭在弦上,新浪
612,2021-07-20,“7+20”券商基金投顾业务正迎“春秋战国”时代：7家展业各有心得，20家全方位布局已箭在弦上,财联社
613,2021-07-20,申万宏源(06806):“21申宏04”7月21日起在深交所双边挂牌交易,智通财经
614,2021-07-20,申万宏源(06806.HK)“21申宏04”拟7月21日上市,格隆汇
615,2021-07-20,申万宏源(000166.SZ)：申万宏源证券完成发行40亿元短期融资券(债券通),智通财经
616,2021-07-20,年薪100万！券商大手笔招聘一类人，又一蓝海来了,Wind
617,2021-07-20,年薪100万！券商大手笔招聘这类人才，又一业务蓝海来了,中证报
618,2021-07-19,申万宏源(06806.HK)：申万宏源证券发行40亿元短期融资券,格隆汇
619,2021-07-19,新疆区域股市周报：特变电工市值增长84.31亿 八一钢铁涨21.77%涨幅第一,每日经济新闻
620,2021-07-19,申万宏源现1笔大宗交易 共成交276.52万元,新浪
621,2021-07-19,申万宏源今日大宗交易成交62万股，成交价4.46元溢价0.0%,Wind
622,2021-07-19,申万宏源接入蚂蚁基金投顾管家,中国证券网
623,2021-07-16,申万宏源(000166.SZ)2020年度A股利润分配10派1元 股权登记日为7月22日,格隆汇
624,2021-07-16,申万宏源(06806)：申万宏源证券为境外子公司发行债券提供担保 大额借贷担保,智通财经
625,2021-07-16,申万宏源(06806)：每10股派发现金股利1元,智通财经
626,2021-07-16,申万宏源(000166.SZ)A股拟实施每10股派1元 于7月23日除权除息,智通财经
627,2021-07-16,申万宏源反洗钱系列宣传片——投资者信息安全保护,申万宏源证券
628,2021-07-15,MLF缩量，LPR料不变，重视Q4再降准可能性｜7月15日MLF操作解读,申万宏源宏观
629,2021-07-15,【港股通】申万宏源(06806)：“18申宏01”将于7月19日支付利息,和讯
630,2021-07-15,申万宏源(06806.HK)完成发行30亿元债券,格隆汇
631,2021-07-15,申万宏源(06806.HK)18申宏02将于7月19日付息,格隆汇
632,2021-07-15,申万宏源：将于7月19日支付部分公司债券利息,Wind
633,2021-07-15,申万宏源(06806.HK)“18申宏01”将于7月19日付息,格隆汇
634,2021-07-15,申万宏源现1笔大宗交易 共成交393.36万元,新浪
635,2021-07-13,申万宏源(06806)延长2021年面向专业投资者公开发行公司债券(第二期)簿记建档时间,智通财经
636,2021-07-13,申万宏源(06806)：2021年公司债券(第二期)品种二票面利率为3.65%,智通财经
637,2021-07-13,申万宏源(06806.HK)：2021年公司债(第二期)品种二票面利率为3.65%,格隆汇
638,2021-07-12,新疆区域股市周报：冠农股份涨21.06%涨幅第一 中泰化学挤进板块市值5强,每日经济新闻
639,2021-07-12,【银华基金】交易日报 2021-07-12,新浪
640,2021-07-12,农银国际协助申万宏源成功完成首次境外美元债券发行,农银国际
641,2021-07-12,申万宏源(06806.HK)拟发行30亿人民币公司债券,财华社
642,2021-07-12,申万宏源(06806)拟发行不超30亿元2021年面向专业投资者公开发行公司债券(第二期),智通财经
643,2021-07-11,新疆区域股市周报：特变电工市值增长15.97亿 *ST中基跌19.25%跌幅第一,每日经济新闻
644,2021-07-11,申万宏源(000166.SZ)：拟公开发行不超30亿元公司债券,格隆汇
645,2021-07-09,货币政策：战略目标与战术选择——货币政策分析框架,申万宏源宏观
646,2021-07-09,申万宏源(06806)公布有关申万宏源证券的质押式证券回购合同纠纷案 诉讼纠纷,智通财经
647,2021-07-09,申万宏源(06806.HK)子公司提起四项诉讼 诉讼标的金额合计8亿元,格隆汇
648,2021-07-09,券商“软实力”发榜68家尚需锤炼，中金公司、申万宏源意外缺席前两档,华夏时报
649,2021-07-08,申万宏源：公司涉及多起质押式证券回购纠纷,Wind
650,2021-07-07,2021新疆经济发展研究报告,21世纪经济报道
651,2021-07-07,中资地产美元债断崖式下跌 美债收益率下行,新浪
652,2021-07-06,海外信用评级汇总2021年7月6日星期二,Wind
653,2021-07-06,凯尔达过会：今年IPO过关第208家 申万宏源过8单,中国经济网
654,2021-07-06,【中原非银】券商板块周报（2021.6.28-2021.7.4）,中原证券研究所
655,2021-07-06,南国置业股份有限公司 关于对“深圳证券交易所 2020年年报问询函”的回复 问询,证券日报
656,2021-07-05,海外信用评级汇总2021年7月5日星期一,Wind
657,2021-07-05,这两家头部券商双双落榜A、B类券商评估，什么原因？,Wind
658,2021-07-05,独家揭秘 | 这两家头部券商双双落榜A、B类券商评估，什么原因？,中证报
659,2021-07-05,换帅能否让申万菱信走出分级基金的“阴霾”？ 董监高成员变化,环球老虎财经
660,2021-07-02,"基金""重磅人事""频出：申万菱信又换""管理核心"" 前海开源迎来新""掌门""",新浪
661,2021-07-02,申万宏源老将转型公募！陈晓升接棒申万菱信基金董事长,环球老虎财经
662,2021-07-02,申万宏源“重兵”部署申万菱信基金，名将陈晓升履新董事长，卖方到买方，重构投研体系,财联社
663,2021-07-01,“申万宏源十大金股组合”：2021年第7期：7月1日-7月31日,新浪
664,2021-07-01,申万宏源证券投资者教育基地荣获“2021中国（上海）证券期货 投资者教育优秀作品征集评选活动”多项表彰,申万宏源大赢家
665,2021-06-30,申万宏源(06806)发行20亿元债券 票面利率4.10%,和讯
666,2021-06-30,申万宏源(06806.HK)：申万宏源证券2021年永续次级债券(第一期)在深交所上市,格隆汇
667,2021-06-30,本周直播抢先报,申万宏源大赢家
668,2021-06-29,申万宏源(06806.HK)：申万宏源证券因质押式证券回购合同纠纷对邹勇、李亚丽提起诉讼 诉讼纠纷,格隆汇
669,2021-06-29,申万宏源(06806)：申万宏源证券因邹勇违约提起诉讼要求其归还本金约7368万元并支付相关利息、违约金 违约失信,智通财经
670,2021-06-29,申万宏源：所属子公司涉及重大诉讼 诉讼纠纷,Wind
671,2021-06-29,申万宏源：公司积极推进传统自营业务加快向综合金融服务转型,Wind
672,2021-06-29,中金：基金投顾试点扩容，买方时代已至,Wind
673,2021-06-29,A股再现“跷跷板效应”，下半年小盘股唱主角？,Wind
674,2021-06-26,基金投顾队伍喜迎新队友！6家券商8家基金获资格场检后展业在即，另一批券商与基金预计下周拿批文，为何会有迟到者,财联社
675,2021-06-25,申万宏源(000166.SZ)：申万宏源证券完成公开发行20亿元永续次级债券,格隆汇
676,2021-06-25,2021下半年行业比较投资策略：周期未完 科技领衔,新浪
677,2021-06-24,券商债承监管导向定了：新办法规定价格战扣分，删除债承规模指标，鼓励行业“做强”而非“做大”，ABC三类评级来了,财联社
678,2021-06-24,券商激辩下半年行情，智能制造获集体看好,Wind
679,2021-06-24,创业板指五连阳重上3300点，成长主线持续强化,Wind
680,2021-06-23,申万宏源秦泰：国内经济已从“冲击恢复阶段”进阶至“长期结构优化阶段”,中证网
681,2021-06-23,又一首席分析师被监管约谈：违反研报发布审核流程 所在券商申万宏源连带被罚 金融监管处罚,财联社
682,2021-06-23,申万宏源傅静涛：看好“数字经济”成为新经济投资的关键主题线索,中证网
683,2021-06-23,低估值高增长板块爆发，券商称短期反弹格局不改,Wind
684,2021-06-23,新一代iPhone传出大消息，产业链股票激动,Wind
685,2021-06-23,21深度丨华林证券活出新模样：一年前被监管吊打，一年后却跻身某知名研究所“券商高质量发展体系”榜单,21世纪经济报道
686,2021-06-23,本周直播抢先报,申万宏源大赢家
687,2021-06-23,A股融资融券日报：两融余额增加83.31亿元（6月22日）,Wind
688,2021-06-22,存在未按规定开展融资融券业务等行为 申万宏源一营业部收警示函 金融监管处罚,新浪
689,2021-06-22,A股融资融券日报：两融余额增加72.39亿元（6月21日）,Wind
690,2021-06-21,首批公募REITs表现如何？蛇口产园15%领涨，首批REITs半日成交额破13亿，11家券商提供做市服务,财联社
691,2021-06-21,A股融资融券日报：两融余额增加35.34亿元（6月18日）,Wind
692,2021-06-20,如何理解发改委6月发布会要点 | 宏观周报,申万宏源宏观
693,2021-06-19,券业38项指标排名出炉，投资能力分化显著,Wind
694,2021-06-19,券商38项指标排名：招商证券产品代销逆袭，银河证券经纪业务从第3掉至第6，华西证券机构业务上升最快(名单),券商中国
695,2021-06-18,102家券商38项实力排名出炉：多个加分指标水落石出，代理金融产品收入、IT投入占比等“新锐”指标争夺激烈,财联社
696,2021-06-18,券商去年38项经营指标排名出炉：中金公司财务杠杆倍数最高,澎湃新闻
697,2021-06-18,102家券商去年经营业绩排名：龙头继续领跑，11家净利为负,第一财经
698,2021-06-18,新疆区域股市周报：2家公司被机构调研 伊力特跌出板块市值10强,每日经济新闻
699,2021-06-18,A股融资融券日报：两融余额增加62.26亿元（6月17日）,Wind
700,2021-06-17,护航REITs流动性，多家券商担当流动性服务商，中金为8只做市位列第一，做市考验券商定价与交易能力,财联社
701,2021-06-17,A股融资融券日报：两融余额减少69.57亿元（6月16日）,Wind
702,2021-06-16,申万宏源：将“18申宏01”第4年和第5年的票面利率由4.40%下调至3.20%,Wind
703,2021-06-16,A股融资融券日报：两融余额增加53.09亿元（6月15日）,Wind
704,2021-06-15,申万宏源(06806.HK)拟参加2021年新疆辖区上市公司投资者网上集体接待日活动,格隆汇
705,2021-06-15,A股融资融券日报：两融余额减少57.15亿元（6月14日）,Wind
706,2021-06-14,一杯奶茶，竟然这样挣钱！,中新经纬
707,2021-06-14,180万投资一间店，一年半就回本：奶茶的钱这么好赚？,21世纪经济报道
708,2021-06-11,申万宏源(06806)：申万宏源证券收到上海金融法院《法律文书生效告知书》,智通财经
709,2021-06-11,申万宏源：所属子公司涉及重大诉讼进展 诉讼纠纷,Wind
710,2021-06-11,A股融资融券日报：两融余额增加67.59亿元（6月10日）,Wind
711,2021-06-10,申万宏源董事长：现在注册制和上市非常热 应该降降温 | 一手,第一财经
712,2021-06-10,申万宏源(000166.SZ)：子公司完成发行40亿元短期融资券(债券通),格隆汇
713,2021-06-10,申万宏源(06806.HK)子公司完成发行40亿元短期融资券(债券通),格隆汇
714,2021-06-10,申万宏源(000166.SZ)：申万宏源证券完成发行40亿元短期融资券(债券通),智通财经
715,2021-06-10,申万宏源(06806.HK)完成发行40亿元人民币的短期融资券,财华社
716,2021-06-10,本周直播抢先报,申万宏源证券
717,2021-06-10,证券公司转型财富管理得天独厚,全景网
718,2021-06-09,新疆区域股市周报：13家机构调研西部建设 伊力特进入板块市值10强,每日经济新闻
719,2021-06-09,A股融资融券日报：两融余额减少16.2亿元（6月8日）,Wind
720,2021-06-09,中信建投大金融团队最新研究成果,中信建投证券研究
721,2021-06-08,"上海本地股掀涨停潮,聪明钱加速抢筹，四主线布局浦东“这盘棋”",时代财经
722,2021-06-08,第一届申万宏源金玛杯私募大赛启动,中证网
723,2021-06-08,宏源期货荣获获新疆维吾尔自治区“脱贫攻坚先进集体”荣誉称号,宏源期货
724,2021-06-08,A股融资融券日报：两融余额增加70.11亿元（6月7日）,Wind
725,2021-06-08,申万宏源：出口迎来下行拐点，全年预期仍维持于15%不变,证券时报网
