,2021-12-31,农业银行诉宁波银行9.86亿汇票合同纠纷案败诉 诉讼纠纷,券商中国
1360,2021-07-23,公募基金二季报三大看点不容忽视,证券日报
1361,2021-07-22,【银华基金】交易日报 2021-07-22（内部）,新浪
1362,2021-07-22,摩贝(MKD.US)举办数字化战略升级新品发布会，签订战略合作协议,智通财经
1363,2021-07-22,轻指数重主线行业景气旺盛赛道股仍将领涨,证券之星
1364,2021-07-22,摩贝数字化战略升级暨摩贝数智引擎系列新品发布会圆满举行,美通社
1365,2021-07-22,深度*行业*银行业2季度持仓点评：重仓比例环比回落 关注银行中报行情,新浪
1366,2021-07-22,大盘继续拔高，上涨空间还有多大？,第一财经
1367,2021-07-22,54家公司获海外机构调研,证券时报网
1368,2021-07-22,反洗钱监管持续升级 央行重拳围剿,中投网
1369,2021-07-22,违反多项反洗钱规定，宁波银行及多名时任总经理合计被罚近300万元 金融监管处罚,观察者网
1370,2021-07-22,城商行优等生宁波银行与身份不明客户交易、占压财政存款等被罚286.2万 金融监管处罚,中华网
1371,2021-07-22,基金抱团50强出炉！顶流扎堆增持股曝光,Wind
1372,2021-07-22,重磅，基金抱团50强出炉！宁德时代成第二大重仓，顶流扎堆增持股曝光，持续高增长股仅10只,证券时报网
1373,2021-07-22,银行行业21H金融板块持仓：东方财富获增持 多数个股遭减配,新浪
1374,2021-07-22,央行重拳，数十家金融机构罚超3000万！啥情况？,Wind
1375,2021-07-22,【银行】业绩快报陆续出炉，中报行情可期——银行业周报——看好,渤海证券研究
1376,2021-07-22,LPR未调降 市场格局是否出现变化？,新浪
1377,2021-07-22,基金顶流压轴出场！仓位新低、重仓换血，未来咋走？,Wind
1378,2021-07-22,【国盛策略】二季度基金调仓有何看点？——2021Q2基金仓位解析（一）,尧望后势
1379,2021-07-22,张坤、萧楠等顶流集体加仓一个板块,Wind
1380,2021-07-22,7月以来4家上市农商行获机构调研：小微业务仍是关注重点,渤源资产
1381,2021-07-22,【天风Morning Call】晨会集萃20210722,天风研究
1382,2021-07-22,【银行】怎么看LPR利率维持不变？,天风研究
1383,2021-07-22,基金重仓股变化折射时代变迁，宁德时代晋升为公募基金第二大重仓股,Wind
1384,2021-07-21,富国朱少醒：看好半导体锂电池，在优质股票里寻找价值,21世纪经济报道
1385,2021-07-21,TOP30基金挖掘出天赐、天奈、中伟股份等仨月翻倍个股 周蔚文董承非袁芳均减仓,新浪
1386,2021-07-21,“锂大爷”回来了，大A股涨出不一样的味道～丨复盘论,第一财经
1387,2021-07-21,根据公开资料显示，宁波银行不良贷款率常年低于1%，而宁波银行能实现如此低的不良率，主要有四大原因。,证券之星
1388,2021-07-21,北向资金今日净买入31.17亿元，东方财富获净买入逾11亿元,Wind
1389,2021-07-21,"宁波银行现1笔大宗交易 共成交6,999.85万元",新浪
1390,2021-07-21,上海临港：完成发行10亿元超短期融资券，票面利率2.62%,乐居财经
1391,2021-07-21,宁波银行今日大宗交易成交193.58万股，成交价36.16元溢价0.72%,Wind
1392,2021-07-21,宁波银行成第一重仓股，“顶流”基金经理增配银行股！,环球老虎财经
1393,2021-07-21,张坤等公募加仓银行股，能否跌出“黄金坑”？,Wind
1394,2021-07-21,太罕见！张坤、萧楠、周应波等顶流集体加仓这板块，聪明资金越跌越买！机构：黄金坑渐行渐近,中国基金报
1395,2021-07-21,华发集团拟发行10亿元270天超短期融资券，申购区间3.5%-3.65%,乐居财经
1396,2021-07-21,公募二季度末平均仓位超七成，百亿级私募却持续减仓【基金下午茶】,证券之星
1397,2021-07-21,15年21倍！最牛基金经理2000元/股买入8万股茅台，抛弃平安、格力,AI财经社
1398,2021-07-21,连收五张罚单！中国银行被盯上了？ 金融监管处罚,证券之星
1399,2021-07-21,南方基金陈乐最新持仓，重仓上海瀚讯（南方宝顺混合型基金）,证券之星
1400,2021-07-21,银行业迎来2大巨震，大行决战“中收”,Wind
1401,2021-07-21,银行业迎来两大巨震！手续费座次被打乱 大行吹响中收保卫号,券商中国
1402,2021-07-21,基金早班车|买什么？卖什么？警惕私募陷阱，探秘公募二季报里的“财富密码”,金融界
1403,2021-07-21,【天风Morning Call】晨会集萃20210721,天风研究
1404,2021-07-21,三家银行上半年净利润大增！机构：关注配置机会,Wind
1405,2021-07-21,减“痛”方能加持,全景网
1406,2021-07-21,万家基金苏谋东最新持仓，重仓中信证券（万家民丰回报一年持有期混合型基金）,证券之星
1407,2021-07-20,又一基金名将认错与反思：迎来史上业绩最差季度，朱少醒、梁浩、袁芳、陈皓、归凯等各自亮出最新持仓,财联社
1408,2021-07-20,三家银行上半年净利润大增！机构：市场预期不充分，关注配置机会,中证报
1409,2021-07-20,朱少醒二季报：亿纬锂能、杰瑞股份、青岛啤酒再进十大重仓股,澎湃新闻
1410,2021-07-20,2021年《财富》中国500强排行榜揭晓：京东第11 阿里第14 腾讯第20,财富中文网
1411,2021-07-20,2021年《财富》中国500强发布 上榜上市公司总营业收入达53万亿元人民币,财富中文网
1412,2021-07-20,2021年《财富》中国500强排行榜揭晓：地产业入榜公司最多,财富中文网
1413,2021-07-20,电报|朱少醒旗下富国天惠成长：增持韦尔股份为第一大重仓智飞生物由第一重仓退为第十,财联社
1414,2021-07-20,电报|周蔚文旗下中欧新趋势：宁波银行成第一大重仓股白酒股被减持 减持股份,财联社
1415,2021-07-20,多家上市银行股东高管密集增持，银行中报行情可期,第一财经
1416,2021-07-20,10亿元上海地方债即将发行 15家商业银行有售,中国金融新闻网
1417,2021-07-20,深度*行业*银行业周报：6月经济数据超预期 关注银行中报行情,新浪
1418,2021-07-20,7家中小银行获机构调研 小微企业服务问题被重点关注,经济观察网
1419,2021-07-20,逐浪资本市场十四年 深市城商银行第一股市值提升10倍,和讯
1420,2021-07-20,成交降至9667亿：午后回升，沪指微跌，创指涨0.41%,澎湃新闻
1421,2021-07-20,天风证券维持宁波银行买入评级：配股申请获审核通过，资本补充可期,每日经济新闻
1422,2021-07-20,基金持仓动向：泓德基金王克玉二季度加仓这些股（名单）,证券之星
1423,2021-07-20,嘉实基金王茜最新持仓，重仓工商银行（嘉实浦盈一年持有期混合型基金）,证券之星
1424,2021-07-20,事件驱动早报7-20：时速600KM磁浮交通系统将亮相；浙江构建育儿友好型社会,华创证券研究
1425,2021-07-20,易方达基金王晓晨最新持仓，重仓长江电力（易方达增强回报债券型基金）,证券之星
1426,2021-07-19,宁波银行配股申请获审通过：把弹药补给善战的部队是利好，这笔账该怎么算？,搜狐
1427,2021-07-19,【公告抢先看】晚间公告：华夏幸福未能如期偿还债务本息合计732亿元、延安必康向比亚迪长期供应六氟磷酸锂,金融界
1428,2021-07-19,7月26日本市将通过商业银行柜台市场发行地方政府债券10亿元,搜狐
1429,2021-07-19,宁波银行(002142.SZ)：配股申请获中国证监会审核通过,格隆汇
1430,2021-07-19,率先披露的基金二季报，透露了下半年哪些趋势？,养基司令
1431,2021-07-19,商业银行行业：商业银行业日报,新浪
1432,2021-07-19,银行行业周报：积极关注银行中报行情,新浪
1433,2021-07-19,银行发债热情高涨 二级资本债市场迎变,中国经营报
1434,2021-07-19,【方正银行】客观看待本次降准利好——附十年降准影响复盘,新浪
1435,2021-07-18,罚款2062万元！1家机构停业整顿6个月，1人禁业3年，2人撤职！6月保险业处罚一览 金融监管处罚,中国银行保险报
1436,2021-07-18,6月保险业处罚一览：罚款2062万元 1家机构停业整顿6个月 金融监管处罚,新浪
1437,2021-07-17,观债｜7月来6家银行发债174亿，含恒丰银行80亿永续债,澎湃新闻
1438,2021-07-16,大家保险与宁波银行签署战略合作协议,美通社
1439,2021-07-16,银行“疯抢”这类人才 科技岗位在银行招聘中走俏,中投网
1440,2021-07-16,银行“疯抢”这类人才！招聘占比不断提高,Wind
1441,2021-07-16,安信基金张翼飞最新持仓，重仓中国海外发展（安信稳健增利混合型基金）,证券之星
1442,2021-07-16,王剑：近一周银行股到底经历了什么？,新浪
1443,2021-07-16,银行“疯抢”这类人才！招聘占比不断提高,中证报
1444,2021-07-16,金融科技炙手可热 银行广撒求贤“英雄帖”,中证网
1445,2021-07-16,A股成交额连续11个交易日超万亿,Wind
1446,2021-07-16,大金融板块终于迎来久违的反弹！持续性如何 看看券商什么观点？,腾讯网
1447,2021-07-15,踩雷“紫光集团”之后 徽商银行全面发力个人信贷业务 投资失误,新浪
1448,2021-07-15,全面降准落地之日，银行股反击！有人借道ETF提前布局,中证报
1449,2021-07-15,上海黄金交易所第26期行情周报：贵金属成交量齐上涨,汇通网
1450,2021-07-15,第十八届发审委2021年第75次工作会议公告,证监会
1451,2021-07-15,证监会：宁波银行配股事项7月19日上会,e公司
1452,2021-07-15,业绩预期向好又迎降准！银行股全线“飘红”：瑞丰银行涨停，多股涨超4%,每日经济新闻
1453,2021-07-15,用户称信用卡过期4年却欠宁波银行上海分行17万 行长徐雪松怎么看,运营商财经网
1454,2021-07-15,央行全面降准落地释放超7000亿资金，大盘强势反包咋掘金？,上游新闻
1455,2021-07-15,发生了什么？平安强势归来，地产也忍不住了，价值龙头见底了吗？,新浪
1456,2021-07-15,股市动态 | 全面降准首日三大指数集体回暖，钢铁强势领涨；仁东控股一字跌停，信批监管持续强化 连续下跌,财经网
1457,2021-07-15,A股收评：大金融发力上证50涨2.15%，钢铁板块表现强势,证券之星
1458,2021-07-15,京东云峰会：大咖齐聚金融云专题论坛，论道金融机构“上云用数赋智”,财经网
1459,2021-07-15,“最强绞肉机”一字跌停！千亿锂茅冲高回落，白酒反弹,Wind
1460,2021-07-15,“最强绞肉机”一字跌停！千亿“锂茅”冲高回落，白酒股强势反弹,中证报
1461,2021-07-15,央行全面降准今日落地，银行板块应声大涨，瑞丰银行涨停,第一财经
1462,2021-07-15,巨丰午评：小盘股释放风险 金融酿酒稳定大盘,巨丰财经
1463,2021-07-15,[公司]宁波银行：优质的经营区域等是核心竞争力,全景网
1464,2021-07-15,青岛银行：2020年度信息披露获深交所考核A级评级,中证网
1465,2021-07-15,浙江省国际商会举办沙龙帮外贸企业分析汇率走势,中国贸易报
1466,2021-07-15,逾95%金融机构认可数字化转型重要性，金融云开启联结产业3.0时代,华夏时报
1467,2021-07-15,中泰证券：降准导致经济悲观预期，优质银行近期被错杀,智通财经
1468,2021-07-15,【银河晨报】7.15丨6月社融表现超预期，信贷投放力度加大,中国银河证券研究
1469,2021-07-15,财信证券银行业2021年7月月报：央行降准超预期，呵护银行稳健经营,财信证券研究
1470,2021-07-15,银行股业绩向好又迎降准 中信建投：有望跌出“黄金坑”,财富动力网
1471,2021-07-14,永赢基金：固收权益双轮驱动 上半年业绩位于前列,中证网
1472,2021-07-14,40家A股上市银行高管团队“画像”:“70后”涌现，“80后”初登舞台,北京商报
1473,2021-07-14,信用卡挂失，哪家银行最快？哪家最慢？ 记者实测结果来了！,奥一网
1474,2021-07-14,开展线上直播 助力企业数字化改造升级,钢企网
1475,2021-07-14,景林资产的FOF也遭“疯抢”！今年以来基金分红逾1200亿元【基金下午茶】,证券之星
1476,2021-07-14,城商行2020年成绩单“揭榜”,Wind
1477,2021-07-14,信息披露成绩单来了！四家上市银行获评为A，这些工作不到位将被“扣分”,和讯
1478,2021-07-14,城商行2020年成绩单“揭榜”,和讯
1479,2021-07-14,戴志锋：优质银行近期被错杀，建议积极布局,新浪
1480,2021-07-14,【银河晨报】7.14银行：降准改善银行负债成本，关注板块估值修复机会,中国银河证券研究
1481,2021-07-14,银行：优质银行近期被错杀，建议积极布局【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1482,2021-07-14,黄金坑要来了吗？场内资金持续逢低加仓银行ETF,中证报
1483,2021-07-13,零壹租赁周报(7.5日-7.11日)：2021上半年融资租赁业发债规模突破3000亿元；浦银租赁成功发行30亿元绿色金融债,零壹财经
1484,2021-07-13,解密主力资金出逃股连续5日净流出455股,证券时报网
1485,2021-07-13,62家公司获海外机构调研,证券时报网
1486,2021-07-13,板块异动 |降准改善行业负债成本 银行板块异动拉升,智通财经
1487,2021-07-13,长亮科技二季度中标重点项目一览,美通社
1488,2021-07-13,【行情】银行板块持续拉升，江苏银行涨近5%，宁波银行、瑞丰银行、常熟银行跟涨,金十数据
1489,2021-07-13,尖子生遭爆锤！板块连续四日下跌，ETF逆市大幅流入，黄金坑要来了吗？,中证报
1490,2021-07-13,降准+靓丽中报 银行股有望跌出“黄金坑”,中证报
1491,2021-07-12,降准决定发布后首个交易日银行板块跌0.56%，如何看后市,澎湃新闻
1492,2021-07-12,银行业：银行股修复空间显现,新浪
1493,2021-07-12,宁波银行95亿元二级资本债发行完毕,北京商报
1494,2021-07-12,宁波银行：2021年第二期二级资本债券发行完毕 实际发行规模为35亿元,中证网
1495,2021-07-12,宁波银行(002142.SZ)完成发行35亿元二级资本债券,智通财经
1496,2021-07-12,465亿主力资金近三日撤出融资融券概念股,证券时报网
1497,2021-07-12,银行行业快评：降准非因经济走弱 把握银行投资机会,中投网
1498,2021-07-12,降准利好银行？降准后只有银行在挨揍,证券之星
1499,2021-07-12,【策略研究】策略对话行业—全面降准联合解读,中银证券研究
1500,2021-07-12,银行股高开低走，成都银行、杭州银行双双跌超5%，江苏银行、宁波银行、南京银,新浪
1501,2021-07-12,银行行业周报：本周聚焦-金融角度 怎么看降准与社融？,发现网
1502,2021-07-12,戴志锋：“全面降准”背后，货币政策底层思路变化,新浪
1503,2021-07-11,预期差｜“全面降准”背后：货币政策底层思路变化【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1504,2021-07-11,百亿徽商银行股权纠纷近日升级,野马财经
1505,2021-07-10,别了，银行“高息”存款,经济观察网
1506,2021-07-10,银行角度看6月社融：信贷与社融超预期，下半年看项目贷款与居民消费贷款【中泰银行·戴志锋/邓美君/贾靖/姚煜波】,传统借贷vs新型金融
1507,2021-07-10,市场割裂 操作难度加大!,财富动力网
1508,2021-07-09,主板波澜不兴，“双创”指数逆市走强 中报披露季深挖高景气行业机会,大众证券报
1509,2021-07-09,银亿股份新增7个银行账户被冻结 金额合计674.91万元,观点地产网
1510,2021-07-09,北向资金今日小幅净卖出2.11亿元，外资高位出逃新能源股,Wind
1511,2021-07-09,搭建平台，拓宽渠道，探索银企合作新模式——宁波银行与社会组织银企合作签约仪式,陆家嘴金融网
1512,2021-07-09,降准是给银行“喂糖”吗 为什么银行股跌了？,华夏时报
1513,2021-07-09,观债｜今年上半年银行发债8300亿元，永续债占近四成,澎湃新闻
1514,2021-07-09,李志林丨白马股集体狂泻，大盘退守3500一线,中金在线
1515,2021-07-09,分化走势将延续-昨日大盘浅析,第一财经
1516,2021-07-09,豪掷50亿成深圳农商行第一大股东，星展银行意欲何为？,AI财经社
1517,2021-07-09,一则消息导致银行股大跌,证券之星
1518,2021-07-09,年薪50万 为何大批年轻人“逃离”银行？,新浪
1519,2021-07-09,A股上演“冰火两重天” 银行股成下跌主力军,广州日报
1520,2021-07-09,多空博弈激烈 银行股集体走弱,财富动力网
1521,2021-07-09,意外重提降准，为什么银行股还在跌？,ZAKER
1522,2021-07-09,A股走势震荡分化，成长风格料延续,Wind
1523,2021-07-09,科创板创业板强势不减 成长股价值股分化显着,上证报
1524,2021-07-09,银行股在降准预期中大跌,第一财经
1525,2021-07-08,降准信号释放，银行股现砸盘“迷惑行为”？专家这样解读,证基风云
1526,2021-07-08,谁“导演”了A股的“绿肥红瘦”？,新浪
1527,2021-07-08,“像酿酒一样做金融” 茅台租赁再揽超过50亿元新项目,证券日报网
1528,2021-07-08,运气最爱光顾哪些人？——道达投资手记,每日经济新闻
1529,2021-07-08,发生了什么？银行股大幅杀跌，A股市值单日蒸发逾6300亿，近400亿主力资金出逃,Wind
1530,2021-07-08,降准预期下银行周期拖累沪指军工科技强势助推科创50大涨2.6%,财华社
1531,2021-07-08,谁说金饭碗不香了？透视银行人才变迁：有银行3年员工翻番 这些仍在涨薪,北京商报
1532,2021-07-08,犀牛财经看市：美股震荡收涨军工板块强势爆发,GPLP犀牛财经
1533,2021-07-08,两市成交近1.2万亿元，为何超1/6资金追捧锂电池,上游新闻
1534,2021-07-08,银行股全线暴跌，招商银行重挫6%！风向变了么？,格隆汇
1535,2021-07-08,07.08 | 茅台租赁与宁波银行战略合作；今世缘10万吨陶坛酒库基本完成；2021年京东啤酒节开启,糖酒快讯
1536,2021-07-08,发生了什么？银行股大幅杀跌，A股市值单日蒸发逾6300亿，近400亿主力资金出逃,中证报
1537,2021-07-08,万亿白马罕见暴跌近6%！银行全线走弱为哪般？丨一大板块,第一财经
1538,2021-07-08,“中静系”称“杉杉系”涉违法行为，后者评级下调、上市公司偏光片业务被指“一女多嫁”、海外投资企业涉足虚拟货币,蓝鲸财经
1539,2021-07-08,银行行业资金流出榜：8股净流出资金超亿元,证券时报网
1540,2021-07-08,老艾侃股：利好当作利空砸，空头气焰何时消？,新浪
1541,2021-07-08,"跌哭了！刚刚，银行、互联网巨头全重挫，港股800点大跳水！特斯拉突放狠招，""降价""7万！宁德时代笑了",中国基金报
1542,2021-07-08,A股收评：沪指跌0.79%，军工股强势爆发，银行、煤炭等权重成杀跌主力,证券之星
1543,2021-07-08,又是新低！一则消息，万亿龙头直线跳水，传统行业股票都跌懵了！股民：市场进入了撕裂阶段，越来越看不懂了,雪球
1544,2021-07-08,A股资金流向（7月8日）：新能源龙头持续吸金，金融、白酒遭抛售,Wind
1545,2021-07-08,擒龙收评：两市量能放大有利后市行情，抗跌行业值得期待,搜狐
1546,2021-07-08,大盘明显分化 双创走出独立行情,金融投资报
1547,2021-07-08,科创板创业板仍强势：沪指跌0.79%，深成指跌0.38%,澎湃新闻
1548,2021-07-08,【银行】首份业绩快报表现亮眼，中报行情可期——银行业周报——看好,渤海证券研究
1549,2021-07-08,巨丰微策略：什么情况？降准预期下“银行茅”暴跌 为何冰火两重天？,巨丰财经
1550,2021-07-08,降准预期升温，为什么银行股还在跌？ | 市场观察,第一财经
1551,2021-07-08,恒指大跌近3% 恒生科技指数暴跌近4% 连续下跌,新浪
1552,2021-07-08,A股收评：沪指跌0.8%，锂电池概念股再现涨停潮,格隆汇
1553,2021-07-08,2021上半年度App分类排行,硅谷动力
1554,2021-07-08,深圳启动资本项目数字化服务试点,上证报
1555,2021-07-08,荣耀“无处安放”,创业邦
1556,2021-07-08,多家银行盘中股价跌逾4%！何时触底反弹？降准会提振股价吗？专家这样说……,每日经济新闻
1557,2021-07-08,银行股大幅杀跌，万亿白马跌近6%！电池茅、光伏茅再创新高,Wind
1558,2021-07-08,银行ETF（512800）半日逆市吸金超2.7亿元,资本邦
1559,2021-07-08,违法实施经营者集中 阿里、腾讯、滴滴、苏宁、美团等巨头集体被罚 其他违规处罚,科技新闻网
1560,2021-07-08,银行股大幅杀跌，万亿白马招商银行罕见盘中暴跌近6%,中国基金报
1561,2021-07-08,利好当作利空砸玄机!做多的才是有钱人-更新中,中财网
1562,2021-07-08,宁德时代创始人身家超马云！网友：1000元 茅台二世,新浪
1563,2021-07-08,温信祥：2020年支付系统处理支付业务金额是同期GDP的81倍,中国网
1564,2021-07-08,港股午评：恒生指数跌2% 恒生科技指数大跌2.97% 比亚迪电子跌6.01% 连续下跌,--
1565,2021-07-08,苏宁易购和南京银行违规设立合营企业苏宁消金被罚！ 金融监管处罚,新浪
1566,2021-07-08,突发！银行股大幅杀跌，万亿白马罕见暴跌近6%！重磅利空突袭，300万手封死跌停！电池茅、光伏茅再创新高！港股大跳水，科技股重挫！,中国基金报
1567,2021-07-08,瑞士盈丰:内地创业板、科创板第二季领跑全球,财华社
1568,2021-07-08,招行的“护城河”和“鸿沟”,证券市场周刊
1569,2021-07-08,A股三大股指走势分化，创业板涨超1%，银行股全线走弱，宁德时代涨3.95%市值突破1.3万亿,每日经济新闻
1570,2021-07-08,蚂蚁集团调整管理团队披露名单，首席合规官、大安全事业群总裁备受关注,华夏时报
1571,2021-07-08,每经11点|特斯拉上线Model Y标准续航版，起售价27.6万元；同济大学拟退学处理10名研究生；暗杀海地总统的嫌犯已被捕,每日经济新闻
1572,2021-07-08,创业板涨幅扩大银行股全线走弱锂电产业持续火热宁德时代涨3.6%市值突破1.3万亿,证券之星
1573,2021-07-08,77只股即将实施分红（名单）,证券时报网
1574,2021-07-08,薛洪言：高管增持股票，银行股值得买入吗？,新浪
1575,2021-07-08,浙江台华新材料股份有限公司关于对外担保进展的公告 大额借贷担保,证券时报
1576,2021-07-07,茅台租赁与宁波银行苏州分行战略合作,e公司
1577,2021-07-07,广东地方银行消费贷利率现回调迹象 消费金融产品同质化显着,华夏时报
1578,2021-07-07,宁波银行入驻盐田区企业首贷服务窗口助力小微企业发展,南都报
1579,2021-07-07,专题 | 银行股半年报预测框架与前瞻：营收同比平稳上升，利润同比上升更明显【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1580,2021-07-07,76家公司获海外机构调研,证券时报网
1581,2021-07-07,A 股收评：指数午后高位震荡 锂电池板块再掀涨停潮,ZAKER
1582,2021-07-07,零壹租赁周报(6.28日-7.4日)：江苏、北京等地7.1开始实施地方金融监管条例；江苏租赁获批公开发行不超50亿元A股可转债,零壹财经
1583,2021-07-07,IPO明显提速，如何挑选打新基金？,养基司令
1584,2021-07-06,上市银行半年报开始“预热” 多家银行“剧透”业绩捷报频传,证券日报网
1585,2021-07-06,又有大行出手暂停“开户”！贵金属市场受挫后还能翻身吗？,北京商报
1586,2021-07-06,市融媒体中心（传媒集团）与宁波银行余姚支行签订战略合作协议,钢企网
1587,2021-07-06,上市公司引领鄞州高质量发展,钢企网
1588,2021-07-06,鄞州共有62个品牌上榜制造业服务业百强,钢企网
1589,2021-07-06,致力推动金融从“手工业”转向“大工业”，文因互联完成数千万元A2轮融资,猎云网
1590,2021-07-06,浙商银行已具备“长期投资价值”?超八成银行股破净多家银行高管增持自家股票,财富动力网
1591,2021-07-05,成都不是“强省会”，长沙才是！京沪深无敌！中国市值500强地图,搜狐
1592,2021-07-05,银行股上半年大分化：16只上涨，厦门银行跌超30%,第一财经
1593,2021-07-05,中国债券市场金融债发行日程一览(7月5日),Wind
1594,2021-07-05,银行行业跟踪：首份业绩快报超预期 建议关注中报业绩行情,新浪
1595,2021-07-05,排名217上升37位 成都银行跻身全球1000强银行榜单,上证报
1596,2021-07-05,上升37位！成都银行跻身全球1000强银行榜单217位,金融投资报
1597,2021-07-05,快讯：银行板块开盘走弱 瑞丰银行跌停,红周刊
1598,2021-07-05,齐鲁银行上市六连板后股价一周跌30% 个人银行利润增长缓慢个贷六成来自按揭,长江商报
1599,2021-07-04,【兴证银行 傅慧芳/陈绍兴】银行业周报（2021.06.28-2021.07.04）料6月社融降幅收窄，关注银行中报期机会,兴证金融
1600,2021-07-03,建行、招行、宁波银行等，谁是小微金融之王？,新浪
1601,2021-07-03,商业银行行业：商业银行业日报,新浪
1602,2021-07-03,金元顺安消费主题混合净值下跌3.54%,新浪
1603,2021-07-03,方正富邦红利精选混合C净值下跌3.42%,新浪
1604,2021-07-03,宝盈新价值混合C净值下跌3.02%,新浪
1605,2021-07-02,下半年第二天，银行股砸盘了！发生了什么？,中新经纬
1606,2021-07-02,每日财报|宁波银行2020分红10股送5元公牛集团上半年净利润大增至少六成,搜狐
1607,2021-07-02,宁波银行向永赢金融租赁增资10亿获批，注册资本升至50亿,每日财报
1608,2021-07-02,三大股指回调创指跌超3% 超2600股飘绿,中新经纬
1609,2021-07-02,宁波银行荣登“全球银行1000强”第103位,每日财报
1610,2021-07-02,2021年7月银行业投资策略：中报业绩向好有望催化行情,新浪
1611,2021-07-02,不甘心只赚技术辛苦钱？神州信息已有小微企业贷产品落地,新浪
1612,2021-07-02,六大券商下周看好的六大板块,证券之星
1613,2021-07-02,银行业2021年中期策略：景气度全面回升,新浪
1614,2021-07-02,中银早刊-20210702,中银证券研究
1615,2021-07-02,三大指数低开低走创业板指跌超2%医美、银行股跌幅居前,证券之星
1616,2021-07-02,【行情】银行股早盘走弱，瑞丰银行跌停，平安银行、招商银行、齐鲁银行跌超3%，宁波银行、厦门银行、江苏银行等跟跌,金十数据
1617,2021-07-02,董事长、行长带头自掏腰包！多家银行高管增持自家股票，这家13名董监高组团出击,券商中国
1618,2021-07-02,上半年中小银行发债规模大增,渤源资产
1619,2021-07-01,银行股逆市崛起 机构称当前板块机会攻守兼备,第一财经
1620,2021-07-01,首份中期业绩快报大超预期，下半年银行股将有一波行情？,第一财经
1621,2021-07-01,深度*行业*银行业周报：6月LPR报价持平 关联交易管理文件落地,新浪
1622,2021-07-01,A股上半年收官：百股涨幅翻倍 中市值“接力”核心资产,经济观察报
1623,2021-07-01,国盛证券：6月金股组合盈利5.99% 7月荐股名单出炉,新浪
1624,2021-07-01,银行板块年中考：板块涨6%跑赢大盘，超半数银行股价下跌，厦门银行累跌28%,搜狐
1625,2021-07-01,永赢金融租赁增资获批：宁波银行出资10亿元,新浪
1626,2021-07-01,格局即命运！盘点银行数字化战略,新浪
1627,2021-07-01,【银河金融张一纬】行业动态 2021.6丨社融增速放缓，银行理财和负债端监管强化,中国银河证券研究
1628,2021-07-01,【中原银行】银行行业月报：M2增速保持稳定，监管进一步推进降费让利,中原证券研究所
1629,2021-06-30,赛微电子(300456.SZ)拟向银行申请合计不超过2.8亿元综合授信,智通财经
1630,2021-06-30,宁波银行(002142.SZ)2020年度权益分派10派5元股权登记日为7月8日,格隆汇
1631,2021-06-30,宁波银行(002142.SZ)拟实施每10股派5元 于7月9日除权除息,智通财经
1632,2021-06-30,38只银行股“探营”：上半年6只涨超10%、10只跌超10%，中报行情有没有爆发点？,21世纪经济报道
1633,2021-06-30,齐鲁银行连续大跌开启均值回归，核心一级资本亟待补足 连续下跌,观察者网
1634,2021-06-29,齐鲁银行连续2天跌停，银行股也被爆炒，市盈率仍为行业均值3倍 连续下跌,AI财经社
1635,2021-06-29,宁德时代等35股获机构买入型评级,证券时报网
1636,2021-06-29,宁波银行(002142)：深化大零售轻资本战略 城商行龙头乘风破浪,新浪
1637,2021-06-29,上半年中小银行二级资本债、永续债发行规模大增 利率分化下亟待政策支持,21世纪经济报道
1638,2021-06-29,中国银行业：招商银行与宁波银行：相比头部区域性银行 更看好领先的全国性银行,新浪
1639,2021-06-29,银行中长期存款利率将集体下调 增速放缓是大趋势,广州日报
1640,2021-06-29,申港证券：宁波银行（002142.SZ）城商行龙头，深化大零售轻资本战略，首予“买入”评级,智通财经
1641,2021-06-29,从齐鲁银行连板看银行股上涨逻辑,中国银行保险报
1642,2021-06-29,银行年中揽储“熄火” 存款利率不升反降,广州日报
1643,2021-06-29,中泰证券：财富管理是万亿市值的黄金赛道,证券时报网
1644,2021-06-28,网友炸开锅！齐鲁银行连续涨停后突发闪崩，开盘2分钟被砸跌停，发生了什么？ 连续下跌,每日经济新闻
1645,2021-06-28,江苏银行(600919)：深耕长三角 志在头部银行,新浪
1646,2021-06-28,46家公司获海外机构调研,中财网
1647,2021-06-28,杰博股份入榜2021宁波品牌百强榜之服务业TOP100榜单,中国发展网
1648,2021-06-28,齐鲁银行28日跌停终结六连板,中新经纬
1649,2021-06-28,金融机构“抢滩登陆”布局鸿蒙，这三个层面将支撑行业发展,财联社
1650,2021-06-28,A股收盘综述：猪肉股大幅反弹，成长股再度跑赢价值,Wind
1651,2021-06-28,连续涨停后突发闪崩！500亿银行股开盘2分钟被砸跌停，83万手卖单压顶，怎么回事？ 连续下跌,每日经济新闻
1652,2021-06-28,齐鲁银行跌停带崩大金融板块，银证保全军覆没丨牛熊眼,第一财经
1653,2021-06-28,"【招商证券深度】江苏银行——深耕长三角,志在头部银行",志明看金融
1654,2021-06-28,银行资金专营机构密集获批筹建，上海金融资源吸引力不断加大,Wind
1655,2021-06-28,券商板块迎来反弹 看好东财国际化进程,财富动力网
1656,2021-06-28,银行股更适合长期价值投资 短炒齐鲁银行不是好事,新浪
