,2021-12-31,罚没720万元，半年负债增29%！粤开证券定增前路如何？ 偿债能力下降,投资时报
444,2021-07-22,杭州银行今日大宗交易成交225万股，成交价13.41元溢价0.0%,Wind
445,2021-07-22,川财研究所晨报,新浪
446,2021-07-22,银行行业21H金融板块持仓：东方财富获增持 多数个股遭减配,新浪
447,2021-07-21,"杭州银行现1笔大宗交易 共成交2,005.28万元",新浪
448,2021-07-21,遭险资减持，市值蒸发百亿，杭州银行怎么了？ 减持股份,AI财经社
449,2021-07-21,三家银行上半年净利润大增！机构：关注配置机会,Wind
450,2021-07-20,跟着银行高管买股票会咋样？被套的概率不小！,Wind
451,2021-07-20,深度*行业*银行业周报：6月经济数据超预期 关注银行中报行情,新浪
452,2021-07-20,年薪100万！券商大手笔招聘一类人，又一蓝海来了,Wind
453,2021-07-19,商业银行行业：商业银行业日报,新浪
454,2021-07-19,银行行业周报：积极关注银行中报行情,新浪
455,2021-07-19,金融行业周报：财富管理大时代 看好细分行业龙头,新浪
456,2021-07-17,遭险企相继减持 杭州银行怎么了？ 减持股份,经济观察报
457,2021-07-15,杭州银行频遭减持背后：营业收入与净利润增长疲软？ 减持股份,GPLP犀牛财经
458,2021-07-14,杭州银行(600926.SH)给予润达医疗授信额度6000万元,智通财经
459,2021-07-14,城商行2020年成绩单“揭榜”,Wind
460,2021-07-14,【行情】银行板块持续走弱，成都银行跌超5%，杭州银行、江苏银行、兴业银行跟跌,金十数据
461,2021-07-14,银行股持续走弱，成都银行跌超4%,Wind
462,2021-07-13,杭州银行连遭险资、北向资金减持，依赖房地产贷或是最大隐忧 减持股份,中访网
463,2021-07-13,杭州银行连遭险资、北向资金减持，依赖房地产贷或是最大隐忧,中访网
464,2021-07-13,降准+靓丽中报，银行股有望跌出“黄金坑”？,Wind
465,2021-07-12,杭州银行：公司董事沈明任职资格获核准,北京商报
466,2021-07-12,杭州银行(600926.SH)董事沈明的任职资格获监管机构核准,智通财经
467,2021-07-12,银行行业周报：7月全面降准落地；6月信贷多增社融增速止跌,新浪
468,2021-07-12,降准利好银行？降准后只有银行在挨揍,证券之星
469,2021-07-12,快讯：银行板块持续走弱 杭州银行跌超6%,新浪
470,2021-07-12,【行情】银行板块持续走弱，杭州银行跌超6%，成都银行、江苏银行、南京银行跟跌,金十数据
471,2021-07-12,银行股午前跳水，杭州银行跌超6%,Wind
472,2021-07-12,银行股高开低走，成都银行、杭州银行双双跌超5%，江苏银行、宁波银行、南京银,新浪
473,2021-07-09,【行情】银行板块持续走弱，成都银行跌超4%，杭州银行、南京银行、上海银行跟跌,金十数据
474,2021-07-09,A股上演“冰火两重天” 银行股成下跌主力军,广州日报
475,2021-07-09,国债期货全线大涨，银行股杀跌！基金紧急解读来了,Wind
476,2021-07-09,A股走势震荡分化，成长风格料延续,Wind
477,2021-07-08,杭州银行：太平洋人寿已累计减持公司0.815%股份 减持股份,中证网
478,2021-07-08,万亿杭州银行高速“奔跑”背后的隐忧,新浪
479,2021-07-08,杭州银行高增长背后：股权遭两大险企减持，因消费贷管理不审慎等频收罚单,新浪
480,2021-07-08,杭州银行：太平洋人寿累计减持0.82%股份 减持股份,Wind
481,2021-07-08,杭州银行(600926.SH)：减持期过半太平洋人寿累计减持4830.26万股 减持股份,格隆汇
482,2021-07-08,深圳启动资本项目数字化服务试点,上证报
483,2021-07-08,荣耀“无处安放”,创业邦
484,2021-07-08,多家银行盘中股价跌逾4%！何时触底反弹？降准会提振股价吗？专家这样说……,每日经济新闻
485,2021-07-08,违法实施经营者集中 阿里、腾讯、滴滴、苏宁、美团等巨头集体被罚 其他违规处罚,科技新闻网
486,2021-07-08,央行要求提升中小微金融服务能力 银行如何借力科技公司？,中国网
487,2021-07-08,打造高质量数字新经济 中国平安金融科技“整车”方案亮相2021世界人工智能大会,上证报
488,2021-07-07,顶格处罚！苏宁易购与南京银行均被罚50万 旗下苏宁消金涉违反《反垄断法》 金融监管处罚,界面
489,2021-07-06,杭州银行上半年遭两名险企减持，多年补充资本仍难解渴 减持股份,每日财报
490,2021-07-04,【兴证银行 傅慧芳/陈绍兴】银行业周报（2021.06.28-2021.07.04）料6月社融降幅收窄，关注银行中报期机会,兴证金融
491,2021-07-02,"杭州银行现1笔大宗交易 共成交7,261.17万元",新浪
492,2021-07-02,30家上市银行科技人员规模及增长分析,零壹财经
493,2021-07-01,深度*行业*银行业周报：6月LPR报价持平 关联交易管理文件落地,新浪
494,2021-06-30,赛微电子(300456.SZ)拟向银行申请合计不超过2.8亿元综合授信,智通财经
495,2021-06-28,新一线城市薪酬逆袭！杭州均薪24万元 天津南京比它还高,投资时报
496,2021-06-28,杭州银行看上去很美，资本之困仍在,凤凰网
497,2021-06-28,银行资金专营机构密集获批筹建，上海金融资源吸引力不断加大,Wind
498,2021-06-26,"银行二季度发债规模创新高，什么信号？中小行密集""补血""，永续债发行升温",Wind
499,2021-06-25,杭州银行今日大宗交易成交524万股，成交价15.4元溢价3.7%,Wind
500,2021-06-25,商业银行行业：商业银行业日报,新浪
501,2021-06-24,“补血”150亿！杭州银行为何屡遭处罚与减持？,投资时报
502,2021-06-24,A股收盘综述：科技股集体回调，市场连续5日成交破万亿,Wind
503,2021-06-23,【银华基金】交易日报 2021-6-23,新浪
504,2021-06-23,银行行业2021年中期投资策略报告：息差稳、中收强、不良降 把握业绩确定性拐点,新浪
505,2021-06-22,当下什么样的银行股能带来超额回报？,港股那点事
506,2021-06-22,"杭州银行现1笔大宗交易 共成交8,766.00万元",新浪
507,2021-06-22,杭州银行今日大宗交易成交600万股，成交价14.61元折价0.75%,Wind
508,2021-06-21,险资上半年零举牌频繁减持银行股 22万亿资金仍将积极配置股票市场 减持股份,长江商报
509,2021-06-21,险资上半年零举牌频繁减持银行股 邮储、中行、农行等均被减持 减持股份,新浪
510,2021-06-21,今年有望成为银行可转债发行大年,Wind
511,2021-06-20,【兴证银行 傅慧芳/陈绍兴】银行业周报（21.06.15-21.06.20）上海农商行IPO获批，关注银行长期负债成本优化,兴证金融
512,2021-06-17,杭州银行(600926.SH)：2020年度权益分派10派3.5元 股权登记日6月24日,格隆汇
513,2021-06-17,杭州银行：将“杭银转债”转股价格由17.06元/股下修至16.71元/股,Wind
514,2021-06-17,杭州银行(600926.SH)每股派0.35元 股权登记日为6月24日,智通财经
515,2021-06-17,中签结果出炉！创下多项纪录，银行发行可转债势头重燃,Wind
516,2021-06-17,商业银行行业：商业银行业日报,新浪
517,2021-06-15,南京银行：“南银转债”网上中签率为0.0291%,Wind
518,2021-06-15,险资一路减持 A股“第一大傻”银行股路在何方？ 减持股份,中新经纬
519,2021-06-15,深度*行业*银行业周报：现金管理新规落地 5月社融增速下行,新浪
520,2021-06-15,两户必中一签！200亿元巨无霸今日启动发行,Wind
521,2021-06-15,分红4900亿！险资却一路减持，银行股路在何方？,Wind
522,2021-06-14,真金白银分红4900亿:险资却一路减持 A股“第一傻”工商银行路在何方？|农业银行 减持股份,21世纪经济报道
523,2021-06-14,真金白银分红4900亿险资却一路减持，萎靡不振的A股“第一大傻”银行股路在何方？ 减持股份,21世纪经济报道
524,2021-06-13,银泰投资收购杭银消金股权违反《反垄断法》，被处以50万元罚款,华夏时报
525,2021-06-11,消费贷被再次用来放贷！杭银消金贷后资金流向管控出漏洞 经营问题,新浪
526,2021-06-11,收购杭银消金股权未申报涉违反反垄断法，“银泰系”主体中国银泰被罚50万元 其他违规处罚,21世纪经济报道
527,2021-06-11,杭州多银行房贷利率20天升3次，传递什么信号,Wind
528,2021-06-10,杭银消金股东银泰被罚50万：收购股权涉反垄断法 后者所持杭银消金股权,新浪
529,2021-06-10,未依法申报违法实施的经营者集中，银泰投资被罚50万元 其他违规处罚,市场监管总局
530,2021-06-10,市场监管总局：给予银泰投资50万元人民币罚款的行政处罚,Wind
531,2021-06-10,南银转债投资价值简析：优质城商行再添一支 建议积极申购,新浪
532,2021-06-09,杭州银行落地全国首批可持续发展挂钩债券 助力红狮水泥加快减排捕碳升级改造,中国水泥网
533,2021-06-09,监管层严查违规资金进楼市，4银行10员工领罚 金融监管处罚,Wind
534,2021-06-08,华谊兄弟：拟向杭州银行申请不高于3.5亿元综合授信,TechWeb
535,2021-06-07,银行行业周报：存款利率市场化改革深入 金控公司申设获受理,新浪
536,2021-06-06,银行2021年中期策略：把握业绩的确定性 关注北上资金大幅流入,新浪
537,2021-06-05,增持进行时！多家上市银行触发稳定股价措施启动条件,Wind
538,2021-06-04,杭州银行(600926)2021年一季报点评：业绩表现亮眼 不良历史最优,新浪
539,2021-06-04,太平洋人寿减持杭州银行股份计划过半 已回收资金4.94亿 拟减持股份,和讯
540,2021-06-02,中国短期融资券及中期票据信用分析周报,新浪
541,2021-06-02,践行转型金融 杭州银行落地全国首批可持续发展挂钩债券,和讯
542,2021-06-02,杭州银行：太平洋人寿累计减持公司股份2987.90万股，减持计划尚未完毕 拟减持股份,资本邦
543,2021-06-01,快讯 | 杭州银行：太平洋人寿已通过集中竞价累计减持2987.9047万股 减持股份,财经网
544,2021-06-01,杭州银行(600926.SH)：太平洋人寿减持量过半累计减持0.504%股份 减持股份,格隆汇
545,2021-06-01,杭州银行(600926.SH)股东太平洋人寿累计减持2987.9万股 减持数量过半 减持股份,智通财经
546,2021-06-01,杭州银行：太平洋人寿持公司0.504%股份,Wind
547,2021-05-28,丽尚国潮(600738.SH)：杭州环北拟受让杭州银行部分商业用房及停车位使用权,格隆汇
548,2021-05-27,杭州银行落地“出口信保保单融资”业务,经济日报
549,2021-05-27,哪些行业不良贷款率高？,岳读债市
550,2021-05-27,银行股估值分化显着 定增认购收益“冰火两重天”,财富动力网
551,2021-05-26,农发行成功发行首单支持冷链物流建设主题金融债券,Wind
552,2021-05-25,浙江银保监局：对杭州银行作出行政处罚，罚款250万元 金融监管处罚,Wind
553,2021-05-25,杭州银行：升级金融服务 打通企业融资“最后一公里”,中国金融新闻网
554,2021-05-23,5月22家机构“吃到”百万元级罚单，信贷资金违规流入楼市是“重灾区” 其他违规处罚,Wind
555,2021-05-23,又一批银行可转债计划密集公布，还有这些银行已发行完毕,Wind
556,2021-05-22,顺周期降温，林英睿减速，葛兰已领跑“百亿组别”，主动权益类公募排名争夺接下来看医药？,财联社
557,2021-05-22,【晨观方正】宏观/银行/海外·互联网/科技&电子/医药/交运/机械 20210522,新浪
558,2021-05-21,A股异动 | 杭州银行(600926.SH)跌4.34% 中国人寿拟减持不超1%股份 拟减持股份,格隆汇
559,2021-05-21,分化料持续 银行股估值有望修复,中证报
560,2021-05-21,今天股市行情最新消息 今日股市新闻（5月21日）,至诚财经
561,2021-05-21,险资再减持银行股 杭州银行遭中国人寿减持2.85亿股 减持股份,GPLP犀牛财经
562,2021-05-21,银行业上市银行2020年年报及2021Q1季报综述：利润增速回升 不良改善,新浪
563,2021-05-21,分化料持续 银行股估值有望修复,中证网
564,2021-05-21,银行股持续回暖，众多明星基金经理加仓，板块的春天来了？,第一财经
565,2021-05-20,江苏银行(600919)：以进入上市银行第一方阵为目标,新浪
566,2021-05-20,【行情】银行板块午后拉升，杭州银行涨近4%，江苏银行、常熟银行、南京银行跟涨,金十数据
567,2021-05-20,银行股午后崛起，杭州银行涨超3%,Wind
568,2021-05-20,华夏银行定增溢价超100% 谁在主动买套？近五年三分之二银行定增都在亏损 交易价格异常,券商中国
569,2021-05-20,浮亏最高40%！上市银行溢价定增挣钱太难，谁该背锅？,Wind
570,2021-05-20,浮亏最高40%！上市银行溢价定增挣钱太难 谁该背锅？ 交易价格异常,证券时报
571,2021-05-19,又见天价罚单！恒丰银行、杭州银行等5家机构遭处罚 金融监管处罚,新浪
572,2021-05-19,防范化解灾害风险筑牢安全发展基础 ——杭州银行深圳分行开展2021年度防灾减灾专项活动,南都网
573,2021-05-19,东北证券--固收转债专题报告：转债深度报告，银行转债怎么看？【债券研究】,金融界股吧
574,2021-05-19,中银证券--银行业周报：行业基本面改善，社融增速下行【行业研究】,金融界股吧
575,2021-05-19,杭州银行落地全国首批可持续发展挂钩债券,中国青年网
576,2021-05-18,深度*行业*银行业周报：行业基本面改善 社融增速下行,新浪
577,2021-05-18,杭州银行遭险资组团减持，上市五年融资“补血”近360亿！ 减持股份,环球老虎财经
578,2021-05-18,中国人寿再出手减持杭州银行不超过1%股权，30日内减持农行H股套现超1.8亿港元 减持股份,搜狐
579,2021-05-18,05.18丨中保协着手商业健康险目录制定；贝壳战略总监李洁儒加盟水滴,和讯
580,2021-05-18,5月141家公司重要股东发布减持计划，中小市值股占比七成,Wind
581,2021-05-18,又有险资减持这一板块 张坤、朱少醒、谢治宇等却在加仓 什么信号？ 减持股份,券商中国
582,2021-05-18,日均净赚47亿元！A股银行年报图鉴：38家银行净利润成功止跌微增0.6%，超半数不良率同比下降,每日经济新闻
583,2021-05-18,又一险资减持银行股，公募基金却在加仓，什么信号？,Wind
584,2021-05-18,"又一险资减持银行股，兑现收益""落袋为安""？公募基金却在加仓，什么信号？ 减持股份",券商中国
585,2021-05-18,"中国人寿减持银行股：兑现收益""落袋为安"" 公募基金却在加仓？ 减持股份",券商中国
586,2021-05-18,四部门发养老领域非法集资风险提示；债务已成全球“大敌”；4月全国70城房价出炉；饿了么因诱骗交易被罚,中国银行保险报
587,2021-05-17,江阴银行内控隐忧：副行长家属触短线交易红线 不良率上市农商行中最高,中国经济网
588,2021-05-17,江阴银行高管亲属窗口期买卖股票踩红线 去年营收下降不良率居高 盈利能力下降,新浪
589,2021-05-17,晚间重要公告2021年5月17日星期一,Wind
590,2021-05-17,减持不超1%！中国人寿拟减持杭州银行股份 拟减持股份,环球老虎财经
591,2021-05-17,杭州银行股东中国人寿计划减持公司不超过1%股权 拟减持股份,证券时报
592,2021-05-17,杭州银行股东中国人寿拟减持不超过1% 拟减持股份,上证报
593,2021-05-17,杭州银行：股东中国人寿计划减持公司1%的股票 拟减持股份,资本邦
594,2021-05-17,杭州银行：股东拟减持不超5930.2万股 拟减持股份,中证网
595,2021-05-17,杭州银行：中国人寿计划减持不超1%股份 拟减持股份,Wind
596,2021-05-15,A股上市城商行高管薪酬榜，山东表现如何？,搜狐
597,2021-05-14,罚款773万！宁波银保监局1天开11张罚单，涉杭州银行、广发银行等 金融监管处罚,中新经纬
598,2021-05-14,银行1Q21业绩回顾：资产负债表修复超预期 头部机构营收增长强劲,新浪
599,2021-05-14,杭州银行宁波分行被罚220万：授信审查审批严重不审慎 金融监管处罚,新浪
600,2021-05-14,宁波银保监局：对杭州银行宁波分行作出行政处罚，罚款220万元 金融监管处罚,Wind
601,2021-05-14,A股城商行首季净利增速排名：江苏宁波成都银行领先,中国经济网
602,2021-05-13,多家中小行一季度营收出现负增长，投资收益成拖累，3家大降95%,Wind
603,2021-05-13,深度*行业*4月金融数据点评：信用供给收紧 实体融资需求旺盛,新浪
604,2021-05-13,一季度投资收益挺不住，多家中小银行营收露“负”,Wind
605,2021-05-12,2021年一季度银行业主要监管指标点评：银行业景气度持续提升 关注区域经营生态分化,光大证券
606,2021-05-12,一季度银行业监管数据点评：净利润增速由负转正 资产质量在持续改善,新浪
607,2021-05-12,1Q21货币政策执行报告点评：银行净息差有望扩大 信贷结构与经济结构齐改善,新浪
608,2021-05-12,银行股发力，兴业银行涨近4%,Wind
609,2021-05-12,逾六成上市银行不良率下降,中国银行保险报
610,2021-05-12,杭银消费金融2020年业绩增速放缓 获滴滴入股增资至25.61亿元 盈利能力下降,中国网
611,2021-05-11,周期股王者归来，有重仓基金年内涨幅接近50%,第一财经
612,2021-05-11,诱惑太大！压力太大，机构昨日狂追周期股……,Wind
613,2021-05-10,银行周报255期：银行年报综述之零售业务篇,新浪
614,2021-05-10,营收出现分化，不良普遍下降：38家上市银行一季度业绩出炉,中国银行保险报
615,2021-05-10,【行情】银行股午后走低，重庆银行跌逾4%，杭州银行、兴业银行跌超3%，宁波银行、南京银行、厦门银行、招商银行等纷纷走低,金十数据
616,2021-05-10,A股上市城商行：业绩稳中有进 数字化转型步伐加快,中国金融新闻网
617,2021-05-09,存银行不如买银行！38家A股银行派现4900亿,Wind
618,2021-05-08,政策温和业绩空窗，关注正股景气修复——可转债4月月报20210507【华创固收 | 周冠南团队】,华创债券论坛
619,2021-05-08,杭州银行2020年放贷房地产贷款占比24.37% 超出监管标准,观点地产网
620,2021-05-08,杭银消金去年净利润翻倍增至2.39亿，滴滴入股后将带来哪些新变化？,华夏时报
621,2021-05-08,银行手续费及佣金净收入获益大增 25万亿理财转型提速,新浪
622,2021-05-07,杭州银行去年房地产贷款占比24.38% 超监管标准1.88个百分点,中国经济网
623,2021-05-07,A股上市城农商行一季报盘点：郑州银行不良率最高,第一财经
624,2021-05-07,上市银行不良生成率有望下降,Wind
625,2021-05-06,A股上市城农商行一季报盘点：三成净利两位数增长，六成不良率下降,第一财经
626,2021-05-06,A股上市城农商行一季报盘点：仅西安银行净利增速下滑，郑州银行不良率最高 盈利能力下降,第一财经
627,2021-05-06,涨停潮来临，顺周期成风口！,Wind
628,2021-05-06,38家银行赚走A股42%净利，市值却仅有1/8,Wind
629,2021-05-05,全部54家上市银行2020年指标排名大全,搜狐
630,2021-05-05,深度｜银行年报&一季报： 个股增速分化源自哪里？增速趋势展望【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
631,2021-05-01,日均净赚47亿元！A股银行年报图鉴：38家银行净利润成功止跌微增0.6%，超半数不良率同比下降,每日经济新闻
632,2021-05-01,城商行年报看点：营收、净利增速“下台阶”,经济观察网
633,2021-04-30,广州开发区控股集团：粤开证券涉及诉讼进展 诉讼纠纷,Wind
634,2021-04-29,杭州银行(600926)：业绩增长稳定 资产质量优秀,新浪
635,2021-04-29,城商行涉房贷款扫描：上海银行对公不良增长23倍 杭州银行收央行窗口指导,21世纪经济报道
636,2021-04-29,【银行】上市银行一季报集中披露，行业基本面持续向好——银行业周报——看好,渤海证券研究
637,2021-04-28,深度*公司*杭州银行(600926)：业绩高增 拨备厚实,新浪
638,2021-04-28,杭州银行披露2020年度报告：业务创新驱动高质量发展,中新网
639,2021-04-28,银行行业周观点：板块一季度净息差表现或好于市场预期,新浪
640,2021-04-28,杭州银行：2021年第一季度净利润约25.18亿元，同比增加16.33%,每日经济新闻
641,2021-04-28,杭州银行去年计提信用减值损失99亿 人均薪酬福利50万,中国经济网
642,2021-04-28,杭州银行(600926)：强劲的盈利能力 亮眼的资产质量 目标估值2倍PB,新浪
643,2021-04-28,杭州银行(600926)：中收增速靓丽 资产质量优中夯实,新浪
644,2021-04-28,杭州银行2020暨2021一季报详细解读：中收增速靓丽，资产质量优中夯实【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
645,2021-04-28,【中信建投金融】杭州银行2021一季报点评：强劲的盈利能力，亮眼的资产质量，目标估值2倍PB,大金融研究
646,2021-04-27,杭州银行2020年营收同比增长15.87% 理财代销助力中间收入翻倍,和讯
647,2021-04-27,杭州银行今年一季度净利增长超16%，不良率降至1.05%,澎湃新闻
648,2021-04-27,杭州银行去年代销理财收入大增近2倍 覆盖七成“杭州籍”上市公司,证券时报网
649,2021-04-27,杭州银行：一季度净利润25.18亿元 年报拟10派3.5元,证券之星
650,2021-04-27,杭州银行(600926.SH)年度归母净利增8.09%至71.36亿元 每10股派3.50元,智通财经
651,2021-04-27,业务创新驱动高质量发展 杭州银行交出2020年成绩单,每经网
652,2021-04-27,快讯 | 杭州银行2020年净利润71.36亿元 同比增长8.09%,财经网
653,2021-04-27,杭州银行：一季度净利润同比增长16.33%,Wind
654,2021-04-27,杭州银行：2020年净利润同比增长8.09%,Wind
655,2021-04-27,杭州银行(600926.SH)2020年度净利润升8.09%至71.36亿元拟10派3.5元,格隆汇
656,2021-04-27,杭州银行(600926.SH)一季度净利润升16.33%至25.18亿元,格隆汇
657,2021-04-23,业绩爆雷！公司21亿元投资直接归零，上交所火速问询 问询,大众证券报
658,2021-04-23,基金换打法：降仓位、填洼地、抓龙头,Wind
659,2021-04-23,一季度净值型理财产品发行量增66.46%，上市城商行、股份行或率先完成转型任务,Wind
660,2021-04-22,券商积极抢筹基金投顾 国联证券签9万名客户规模近90亿元,证券日报网
661,2021-04-22,首家券商基金投顾业务运营满周年，基金投顾签约总规模90亿行业最大，首提“5+N”策略及服务体系,财联社
662,2021-04-22,解密城商农信网络新时代，加速共赢智慧金融新未来,消费日报网
663,2021-04-22,A股午盘综述：创业板指涨近1%，芯片板块集体回暖,Wind
664,2021-04-21,广发基金林英睿：看好价值风格的回归,Wind
665,2021-04-21,睿远基金28亿买入电信股、一季度冠军重仓股揭晓,Wind
666,2021-04-21,什么信号？银行股大涨！百亿基金和北向资金齐加仓,Wind
667,2021-04-21,银行股高开高走，平安银行放量涨近5%,Wind
668,2021-04-21,【行情】A股银行板块走高，平安银行涨超4%，杭州银行、兴业银行涨超1%,金十数据
669,2021-04-20,杭州银行：150亿元可转债将于4月23日在上交所挂牌交易,北京商报
670,2021-04-20,【华西固收研究】房贷集中度管控后，RMBS发行几何？ ——债市周报20210418,固收江坛
671,2021-04-20,银行股全线复苏，杭州银行、平安银行均涨超3%,Wind
672,2021-04-19,基金调仓换股路径浮出水面 有色化工大金融有望掀新攻势,金融投资报
673,2021-04-16,杭州银行：董事辞职 董监高成员变化,Wind
674,2021-04-16,百大集团(600865.SH)授权管理层处理杭州银行股票,智通财经
675,2021-04-16,杭州银行董事王平因工作变动原因辞职 董监高成员变化,中国经济网
676,2021-04-15,财信证券--银行行业月度报告：信贷需求旺盛，银行业绩确定性增强【行业研究】,金融界股吧
677,2021-04-12,今年可转债融资即将突破千亿元,Wind
678,2021-04-09,快讯｜杭州银行：150亿元小微企业专项债发行完毕,财经网
679,2021-04-09,杭州银行(600926.SH)：小型微型企业贷款专项金融债券发行完毕,格隆汇
680,2021-04-07,银行周报：系统重要性银行新规解读,新浪
681,2021-04-07,硬之城品牌、业务双升级，为产业链提供三大赋能,国际电子商情
682,2021-04-06,险资频繁减持银行股透露信号 保险机构业绩承压或意在获利了结释放利润 减持股份,财联社
683,2021-04-03,上市公司正负面新闻2021年4月3日星期六,Wind
684,2021-04-02,晚间重要公告2021年4月2日星期五,Wind
685,2021-04-02,太平洋人寿拟减持杭州银行不超过5930万股 拟减持股份,上证报
686,2021-04-02,零壹日报：加密货币交易所Coinbase计划两周内上市；2021全球数字资产研究报告发布！,零壹财经
687,2021-04-02,杭州银行：太平洋人寿拟减持不超1%股份 拟减持股份,Wind
688,2021-04-02,杭州银行(600926.SH)股东太平洋人寿拟减持不超5930万股 拟减持股份,智通财经
689,2021-04-02,杭州银行：太平洋人寿拟减持公司不超1%股份 拟减持股份,e公司
690,2021-03-31,滴滴全资子公司成为杭银消费金融第二大股东,每日经济新闻
691,2021-03-30,滴滴金融版图扩容 旗下公司成杭银消金第二大股东,新浪
692,2021-03-30,滴滴变身杭银消金二股东，斩获消费金融牌照,第一财经
693,2021-03-30,网络小贷牌照之后，滴滴为何又拿下消费金融牌照？,21世纪经济报道
694,2021-03-30,滴滴全资子公司入股杭银消费金融，再获金融牌照,Wind
695,2021-03-30,滴滴拿下消费金融牌照，对杭银消金持股超33%为第二大股东,澎湃新闻
696,2021-03-30,滴滴拿下消费金融牌照 与杭州银行共同控制杭银消费金融,21世纪经济报道
697,2021-03-30,创新服务惠民企 杭州银行获评“民企最满意银行”,中国金融新闻网
698,2021-03-30,银行行业跟踪：年报验证基本面上行趋势 估值中枢有望进一步抬升,新浪
699,2021-03-30,银行股普遍疲软，杭州银行跌近4%,Wind
700,2021-03-29,杭银转债、温氏转债两只AAA的大肉签来啦！,金融界
701,2021-03-26,银行股开始发力，杭州银行、兴业银行、南京银行涨幅居前,Wind
702,2021-03-26,条款设计“股性”十足，牛年首只百亿元转债亮相,Wind
703,2021-03-24,杭州银行(600926.SH)公开发行150亿元可转债 初始转股价17.06元/股,格隆汇
704,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
705,2021-03-23,银行业月报：2月社融表现超预期 银行业基本面逐步改善,渤海证券
706,2021-03-23,2020年度全国298家银行理财能力排行榜,新浪
707,2021-03-22,可转债日报：两市逾八成转债上涨，小康转债刷新历史新高,Wind
708,2021-03-22,固定收益点评：转债新券不止 中低价配置窗口未完待续,广发证券
709,2021-03-19,绩优银行股迎机构密集调研 资金流向映射投资逻辑变化,中投网
710,2021-03-18,银行股鄙视链：都是银行，为何估值能差4倍？,锦缎
711,2021-03-18,财信证券银行业2021年3月月度报告：实体经济增长，信贷需求表现强劲,财信证券研究
712,2021-03-17,杭州银行深圳分行“3.15”金融宣传在行动,南都网
713,2021-03-16,地方银行发力财富管理 已上市银行更具优势排名居前,证券日报网
714,2021-03-16,银行行业信息点评：2020年金融统计数据新闻发布会点评：利率已达合适水平 M1改善源于实体,新浪
715,2021-03-16,【研报掘金】银行股低估值+基本面拐点向上性价比极高 继续看好板块投资机会,证券时报网
716,2021-03-13,十家A股上市城商行去年净利增幅均低于10%，宁波银行领跑,澎湃新闻
717,2021-03-12,银行股开始发力，南京银行涨逾3%,Wind
718,2021-03-11,A股收盘综述：上证指数劲升2.36%，机构抱团股持续复苏、周期股爆发,Wind
719,2021-03-11,茅台招行罕见联手：暴涨1800亿，白马股集体爆发,Wind
720,2021-03-11,三大股指集体高开银行板块走强，江苏银行、杭州银行涨超6%,搜狐
721,2021-03-09,350家银行最新同业存单发行计划、总资产及不良率排名,金融界
722,2021-03-09,银行板块走弱，宁波银行跌近4%,Wind
723,2021-03-09,【读财报】超半数银行发布业绩快报：净利润普遍增长 资产质量整体向好,面包财经
724,2021-03-09,利率走高大盘跌 机构唱多银行股：估值过低,财富动力网
725,2021-03-08,银行行业报告：基本面有望持续改善 看好板块估值提升,新浪
726,2021-03-06,调整行情21股逆市创新高，6股获北向资金青睐,证券时报
727,2021-03-06,银行业2021年春季投资策略：从区域分化视角看银行股投资逻辑,光大证券
728,2021-03-06,七成银行股估值过低渐被看多,新浪
729,2021-03-04,企业观|最新银行资产规模榜下 渝农商行1.1余亿高居榜首,财经网
730,2021-03-04,南京银行(601009)：城商行龙头价值回归,新浪
731,2021-03-04,深度*行业*银行行业动态跟踪：大力不良处置提升行业估值 看好板块后续上涨行情,新浪
732,2021-03-04,百股涨停！金融、周期股全面爆发，白酒股也回暖了,Wind
733,2021-03-04,金融股大爆发，千亿银行股罕见涨停！郭树清点赞“精准拆弹”，券商大喊“守住银行心不慌”，机构称还要涨40%！,21金融圈
734,2021-03-03,杭州银行去年营收净利润增速双下滑 上市后持续融资核心资本告急 盈利能力下降,新浪
735,2021-03-03,南京银行、宁波银行涨停，银行股全线飘红，罕见大涨背后的逻辑是什么？,21世纪经济报道
736,2021-03-03,各路资金争相抢筹 银行股成推动大盘上涨中坚力量,e公司
737,2021-03-03,A股反弹能否持续？外资大逆转！一指标再背离,Wind
738,2021-03-03,A股收盘综述：上证指数单边上扬1.95%，周期、金融板块爆发,Wind
739,2021-03-03,杭州银行创历史新高！年内涨超21%，科创金融成其特色标签，城商行龙头市值站上千亿,金融界
740,2021-03-03,银行保险爆发，外资加仓75亿，2000亿龙头却大跌,Wind
741,2021-03-03,南京银行封住涨停，杭州银行创历史新高,Wind
742,2021-03-03,银行股大幅转暖，南京银行涨超7%,Wind
743,2021-03-03,银行股普涨 杭州银行、南京银行涨约5%,e公司
744,2021-03-02,银行业周报：估值修复仅行至半程 珍惜股价回调后配置良机,新浪
745,2021-03-02,浙商证券--银行业宁波银行、杭州银行业绩快报及2月26日大跌点评：再迎业绩催化，看好银行板块【行业研究】,金融界股吧
746,2021-03-02,华西证券--银行行业周报：地方房贷集中度红线适度上调，异地存款监管明确【行业研究】,金融界股吧
747,2021-03-02,大金融板块逆势走强,Wind
748,2021-03-02,【银行】杭州银行：盈利指标表现靓丽，资产质量行业翘楚,中银证券研究
