,2021-12-29,华兰生物：目前正在开展重组Exendin-4-Fc融合蛋白注射液的I期临床研究,Wind
1112,2020-10-19,数据解盘|今日北向资金合计净流出18.34亿元 医药制造板块遭主力资金抛售 股票卖空,新浪
1113,2020-10-19,数据复盘| 84亿主力资金撤离医药生物行业 北向资金连续4日净流出,证券时报网
1114,2020-10-19,两市主力资金净流出352.21亿元，医药生物行业净流出居首,证券时报网
1115,2020-10-19,10月19日主力资金净流出352亿元,证券时报网
1116,2020-10-19,971亿主力资金近三日撤出全A(等权)概念股,证券时报网
1117,2020-10-19,医药生物行业周报：冠脉支架国采方案落地 头部企业有望相对受益,新浪
1118,2020-10-19,收评：沪指冲高回落跌0.7%，创业板指跌1.28%，煤炭燃气等板块走弱,证券时报网
1119,2020-10-19,医药生物行业报告：持续看好流感及肺炎相关疫苗销售 关注医药三季报业绩主线,新浪
1120,2020-10-19,财信证券晨会20201020,财信证券研究
1121,2020-10-18,【重磅财经前瞻】中国将公布三季度GDP 人民币走势受关注,中新经纬
1122,2020-10-17,血制品批签发数据月度跟踪,新浪
1123,2020-10-16,北向资金本周净买入超百亿，34股上榜成交活跃榜,证券时报
1124,2020-10-16,新乡“规上”企业利润总额40年增长183倍显示质的提升,机电之家
1125,2020-10-16,医药行业2020年1-9月疫苗批签发：流感疫苗大幅增加 创新疫苗继续高增长,渤海证券
1126,2020-10-16,流感疫苗，为何一针难求？,钛媒体
1127,2020-10-15,10月15日北向资金成交活跃股名单,证券时报网
1128,2020-10-15,深港通十大成交活跃股排名（10月15日）,Wind
1129,2020-10-15,血制品龙头26亿易主？博雅生物ROE连降 多项经营难题待解 控制人变化,投资时报
1130,2020-10-15,国内新冠疫苗市场有突破，800亿巨头签大单！,医药资讯地方台
1131,2020-10-15,医药生物行业日报：美国礼来暂停新冠病毒抗体药物后期试验,新浪
1132,2020-10-15,“一针难求”企业忙扩产，流感疫苗未来市场规模将超百亿,中证报
1133,2020-10-15,外围集体收跌袭扰A股一类股逆市大涨望冲涨停 连续下跌,搜狐
1134,2020-10-15,新冠疫苗市场迎重大突破！800亿巨头签大单，墨西哥将采购3500万剂，A股疫苗板块能否再崛起？,每日经济新闻
1135,2020-10-15,巨丰早参：流感疫苗供不应求 企业加班加点生产“补货”,巨丰财经
1136,2020-10-15,流感疫苗未来市场规模将超百亿元,中证报
1137,2020-10-14,流感、肺炎疫苗迎来“高光”时刻，3季度疫苗签发数据“专治各种不服”,药智网
1138,2020-10-14,1只个股尾盘净流入资金超亿元,证券时报网
1139,2020-10-14,医药行业2020年四季度投资策略：业绩验证化解估值压力,新浪
1140,2020-10-14,【中原医药】医药行业专题研究：换个角度看医药：从财务指标和估值来挖掘医药领域的投资机会,中原证券研究所
1141,2020-10-14,【山证医药】2020年8月血制品批签发数据跟踪：1-8月整体批签发维持稳步增长，多数品种实现较高增速,山西证券研究所
1142,2020-10-14,券商晨会观点速递,第一财经
1143,2020-10-14,天风证券：三季度重点疫苗品种批签发整体同比表现强劲 推荐沃森生物等,证券时报网
1144,2020-10-13,生物制品行业专题研究：2020年Q3疫苗批签发报告-Q3批签发环比、同比大幅提升 流感、肺炎疫苗等表现强劲,新浪
1145,2020-10-13,【盛·动态】长盛基金旗下多只产品净值创新高,长盛基金
1146,2020-10-13,医药生物行业日报：严防二波疫情反复 板块行情反弹,新浪
1147,2020-10-13,【国泰君安国际】速评|信达国际(1801.HK)：达伯华IBI301获批上市,国泰君安证券香港
1148,2020-10-13,华兰生物：目前公司新冠疫苗处于研发过程中,Wind
1149,2020-10-13,10月13日午盘两市净流入前20股(名单),金融界
1150,2020-10-13,流感疫苗上演一票难求行情？紧俏热销背后乱象频生,金融界
1151,2020-10-13,生物疫苗早盘快速走强 瑞普生物涨逾9%,中国经济网
1152,2020-10-13,【天风医药 | 专题】2020年Q3血制品批签发报告：整体批签发增长，单季度国产白蛋白占比提升,思医辨药
1153,2020-10-13,疫苗板块冲高，复星医药、康希诺-U、智飞生物、天坛生物、华兰生物普涨,Wind
1154,2020-10-13,中泰证券：新冠病毒疫苗即将进入兑现期 建议关注康泰生物等,证券时报网
1155,2020-10-13,医药生物行业：关注三季报业绩主线,财富动力网
1156,2020-10-12,"【浙商医药|周报】持续推荐“核心赛道”,关注新冠疫苗研发进展",杏林建研
1157,2020-10-12,全A(一致评级)概念股近三日受359亿主力资金追捧,证券时报网
1158,2020-10-12,博雅生物：深陷资金旋涡,新浪
1159,2020-10-12,创新药三季度报告：创新力量集中于头部企业，全球首创新药取得突破，肿瘤药扎堆存风险,证券时报网
1160,2020-10-12,医药行业周报：建议关注新冠疫苗研发动态及三季报披露情况,新浪
1161,2020-10-12,A股十月开门红 长盛创新驱动混合单日净值以8.82%领涨,和讯
1162,2020-10-12,华龙投顾2020年四季度观点：经历扰动，韧性凸显,华龙掘金
1163,2020-10-12,国泰君安：疫苗行业持续高景气 龙头公司步入收获期,证券时报网
1164,2020-10-11,重磅！医疗生物最强天团20龙头股，未来10倍增长，大牛股摇篮,搜狐
1165,2020-10-11,国君医药 | 新冠疫苗加速研发，曙光已现,国泰君安证券研究
1166,2020-10-11,接种点号源“秒光” 约打流感疫苗堪比春运抢票？,中新网
1167,2020-10-10,流感疫苗获批量大增，疫苗企业业绩将超预期,制药网
1168,2020-10-09,东兴证券：9月金股组合亏损7.11% 10月荐股名单出炉 亏损,新浪
1169,2020-10-09,股民嗨了！A股暴涨！光伏板块掀涨停潮，龙头破3000亿！不过，这家公司市值却暴跌 连续下跌,21世纪经济报道
1170,2020-10-09,股民嗨了A股暴涨：后市如何？哪些板块值得关注？,21世纪经济报道
1171,2020-10-09,77亿主力资金近三日大量杀入中小创,证券时报网
1172,2020-10-09,基金重仓概念股近三日最受主力资金青睐,证券时报网
1173,2020-10-09,74股主力资金净流入超亿元,证券时报网
1174,2020-10-09,10月9日复盘：中阳反弹剑指何方 主力资金出击17股,新浪
1175,2020-10-09,873亿资金争夺20股：主力资金重点出击10股(名单),新浪
1176,2020-10-09,873亿资金争夺20股：主力资金重点出击17股(名单),新浪
1177,2020-10-09,生物疫苗概念午后异动走强 万方发展涨停,中国经济网
1178,2020-10-09,快讯：疫苗股午后继续走高,每经网
1179,2020-10-09,疫苗板块午后走强，复星医药冲击涨停,Wind
1180,2020-10-09,医药生物行业月报：医药板块调整或近尾声,新浪
1181,2020-10-09,外资扫货136亿！4000亿大牛股却崩了,中国基金报
1182,2020-10-09,亿万股民嗨了，A股果然暴涨！创业板飙4%，外资狂扫货136亿！光伏股掀涨停潮，龙头破3000亿！4000亿大牛股却崩了，发生了啥,中国基金报
1183,2020-10-09,亿万股民嗨了：创业板飙4% 4000亿大牛股为何却崩了,中国基金报
1184,2020-10-09,疫苗股拉升，复星医药涨近7%,Wind
1185,2020-10-09,盘前有料丨多公司发布三季报业绩预告…重要消息还有这些,证券时报网
1186,2020-10-09,【山证早班车】山西证券：晨会纪要（20201009）,山西证券研究所
1187,2020-10-07,券商推出最新金股组合，金融、周期持续占优,上证报
1188,2020-10-07,上月惨遭滑铁卢！痛定思痛，券商推出最新金股组合，速看！,上证报
1189,2020-10-04,医药行业50强榜单出炉：北上资金大手笔增持个股曝光,新浪
1190,2020-10-04,陆家嘴财经早餐2020年10月4日星期日,Wind
1191,2020-10-04,流感疫苗“一针难求”：排队预约拼人品，黄牛加价近3倍兜售,中新经纬
1192,2020-10-03,流感疫苗预订火爆，华兰生物产能翻倍,Wind
1193,2020-10-03,流感疫苗预订火爆龙头企业产能翻倍,格隆汇
1194,2020-09-30,【主力资金】主力紧急出逃超级白马股，卖出资金超6亿元,证券时报网
1195,2020-09-30,1750只个股今日尾盘资金净流入,证券时报网
1196,2020-09-30,疫情下的血制品板块——抓住供给下降带来的机会!,格隆汇
1197,2020-09-30,25股主力资金净流入超亿元,证券时报网
1198,2020-09-30,"华兰生物现1笔大宗交易 共成交3,437.90万元",新浪
1199,2020-09-30,华兰生物今日大宗交易成交62万股，成交价55.45元折价2.7%,Wind
1200,2020-09-30,国联证券研究所10月金股组合,国联研究
1201,2020-09-30,9月30日复盘：10月是一个转折位 主力资金出击11股,新浪
1202,2020-09-30,国产1类新药大爆发！两周内25个品种获批临床,制药网
1203,2020-09-30,医药生物行业周报：业绩投资主线将更为明确,新浪
1204,2020-09-30,【中原医药】医药行业专题研究：换个角度看医药：从财务指标和估值来挖掘医药领域的投资机会,中原证券研究所
1205,2020-09-30,重磅！知名药企被华润收购,汇聚南药
1206,2020-09-29,华润宣布，收购知名药企博雅生物,医药网
1207,2020-09-29,快讯：疫苗板块午后反弹 未名医药大涨8%,新浪
1208,2020-09-29,疫苗股走软，智飞生物、长春高新、康泰生物、复星医药、华兰生物、万泰生物普跌,Wind
1209,2020-09-29,河南高新区：推动体制机制改革，释放创新红利,中国科技网
1210,2020-09-28,世界千强药企排名公开！中国独占208家 恒瑞、石药等带头冲锋,东方药网
1211,2020-09-28,18股特大单净流入资金超1亿元,证券时报网
1212,2020-09-28,首席观点：防控疫情二次爆发 疫苗和检测都有机会,新浪
1213,2020-09-28,27股主力资金净流入超亿元,证券时报网
1214,2020-09-28,医药生物行业周报：国产新冠疫苗研发进展顺利 处全球领先阶段,新浪
1215,2020-09-28,平安证券：生物医药紧抓“抗疫”和“自主定价”两大主线,证券时报网
1216,2020-09-28,医药行业周报：海外疫情反复 关注三季报业绩预期突出板块,新浪
1217,2020-09-28,世界千强药企排名公开！中国独占208家 恒瑞、石药等带头冲锋,E药经理人
1218,2020-09-27,2020年1～7月医院销售排名前200名品种及排名前200名药企,汇聚南药
1219,2020-09-27,医药行业周报：持续布局高景气板块 开始关注三季报预期,西南证券
1220,2020-09-27,医药生物行业研究：2020年CSCO大会群星闪耀 24张图表详细梳理亮点荟萃,新浪
1221,2020-09-27,北向资金本周减仓近1000只股票！这些股票被逆势加仓,中证报
1222,2020-09-27,【浙商医药|周报】医药领涨大盘，从成长属性再看API投资逻辑,杏林建研
1223,2020-09-26,个股资金流向,财富动力网
1224,2020-09-26,“巨无霸”接连登陆A股，千亿市值公司增至108家,Wind
1225,2020-09-26,“巨无霸”接连登陆A股千亿市值公司增至108家,证券时报
1226,2020-09-25,疫情反复PK热门股闪崩，疫苗股上演“过山车”走势，前景可期但“泡沫”仍待消化,红周刊
1227,2020-09-25,新冠疫苗明年产能或超10亿剂，这些概念股有望受益丨牛熊眼,第一财经
1228,2020-09-25,“五大流派”逐鹿千亿新冠疫苗市场，谁能胜出？,读懂财经
1229,2020-09-25,一周A股资金流向排名：4只医药龙头股获主力资金抢筹,第一财经
1230,2020-09-25,突发！华为研发实验室起火，现场浓烟滚滚！恒大股债双杀，A股地产股闪崩！主力重金杀入4只医药股 安全事故,证券时报
1231,2020-09-25,410亿主力资金近三日大量撤出中小创,证券时报网
1232,2020-09-25,902亿主力资金近三日撤出全A(等权)概念股,证券时报网
1233,2020-09-25,医药生物行业2020年8月疫苗批签发数据跟踪：1-8月整体批签发实现增长 各重磅品种维持高增速,新浪
1234,2020-09-25,生物医药行业研究：防、治一体 抗流感市场快速增长,华安证券
1235,2020-09-25,9月25日复盘：下周将迎绝佳低吸机会 主力资金出击10股,新浪
1236,2020-09-25,567亿资金争夺20股：主力资金重点出击10股(名单),新浪
1237,2020-09-25,巨丰午评：大盘震荡筑底 板块轮动人气低迷,巨丰财经
1238,2020-09-25,生物疫苗板块走高 国产新冠灭活疫苗有望年底上市,格隆汇
1239,2020-09-25,疫苗股飙升，康希诺-U、智飞生物、西藏药业、华兰生物、复星医药集体上涨,Wind
1240,2020-09-24,新冠灭活疫苗年底有望上市，机构看好板块四季度表现丨牛熊眼,第一财经
1241,2020-09-24,A股复盘：北向资金单日净卖出121.69亿创近2个月新高,中金网
1242,2020-09-24,1016亿主力资金近三日撤出全A(等权)概念股,证券时报网
1243,2020-09-24,9月24日主力资金净流出527亿元,证券时报网
1244,2020-09-24,9月24日复盘：三原因引发大盘大跌 主力资金出击4股,新浪
1245,2020-09-24,679亿资金争夺20股：主力资金重点出击4股(名单),新浪
1246,2020-09-24,【行情】生物疫苗板块活跃，西藏药业冲击涨停，博雅生物、华兰生物、海利生物等跟随上涨,金十数据
1247,2020-09-24,流感疫苗单月批签发超千万剂 新上市鼻喷疫苗可用于3-17岁人群,中国经济网
1248,2020-09-24,疫苗板块翻红，华兰生物涨超4%,Wind
1249,2020-09-24,每日策略20-02-07,东莞证券研究
1250,2020-09-23,生物医药重返上升通道？,和讯
1251,2020-09-23,数据复盘|37亿主力资金潜入医药生物行业 北向资金连续3日净流出,证券时报网
1252,2020-09-23,373亿主力资金近三日大量撤出中小创,证券时报网
1253,2020-09-23,808亿主力资金近三日撤出全A(等权)概念股,证券时报网
1254,2020-09-23,巨·热点｜创业板呈现强势反弹 医药与科技类题材受追捧！,巨丰财经
1255,2020-09-23,35股主力资金净流入超亿元,证券时报网
1256,2020-09-23,9月23日复盘：在震荡中把握布局机会 主力资金出击12股,新浪
1257,2020-09-23,738亿资金争夺20股：主力资金重点出击12股(名单),新浪
1258,2020-09-23,窄幅震荡收红：成交缩至6607亿，北向资金净流出逾27亿,澎湃新闻
1259,2020-09-23,A股收盘综述：上证指数缩量小涨，疫苗、光伏股爆发,Wind
1260,2020-09-23,A股午盘综述：创业板指半日升1.47%，疫苗股爆发,Wind
1261,2020-09-23,生物疫苗概念再爆发，博晖创新两连板，康希诺等大涨,证券时报网
1262,2020-09-23,以史为鉴：十四五规划或成牛市发动机 重点关注5大板块战略机会（附股）,证券时报网
1263,2020-09-23,疫苗板块连续拉升，康希诺-U涨超12%、智飞生物涨10%,Wind
1264,2020-09-23,疫苗股集体走强 中国新冠疫苗已被证明有效,格隆汇
1265,2020-09-23,快讯：生物疫苗板块持续拉升 博晖创新大涨18%,新浪
1266,2020-09-23,【四大证券报精华摘要】9月23日,新华网
1267,2020-09-23,盘前信息早知道（09.23）,中金在线
1268,2020-09-23,流感疫苗需求较往年明显提前 批签发规模同比猛增（附股）,证券时报网
1269,2020-09-23,各地开打流感疫苗 药企批签发量大增,上证报
1270,2020-09-23,【金财富早知道】2020-09-23,赢家之星
1271,2020-09-22,下半年，医药板块四个投资方向被看好 ！,汇聚南药
1272,2020-09-22,【主力资金】这些股尾盘资金出逃，5股流出超亿元，两只科技股在列,证券时报网
1273,2020-09-22,19股主力资金净流入超亿元,证券时报网
1274,2020-09-22,巨·热点 | 市场震荡走低 四板块呈现逆势活跃！,巨丰财经
1275,2020-09-22,疫情再恶化背后的危与机：民航股重挫 医疗股反弹,科创板日报
1276,2020-09-22,生物疫苗概念大幅拉升 欧洲多国疫情二次暴发在即,证券时报网
1277,2020-09-22,医疗股开盘大幅拉升 博晖创新、拱东医疗涨停 阳普医疗等多股大涨,金融界
1278,2020-09-21,医药生物行业周报：CSCO、ESMO大会召开 关注创新药产业链,新浪
1279,2020-09-21,中国疫苗自主研发加速推进 国际竞争力正进一步增强,中国报告大厅
1280,2020-09-19,高瓴操盘的嘉和生物，会香吗？,华盛证券
1281,2020-09-18,筹码新动向：255股筹码趋向集中,证券时报网
1282,2020-09-18,杠杆资金大手笔加仓股名单,证券时报网
1283,2020-09-18,A股早报2020年9月18日星期五,Wind
1284,2020-09-18,上市公司正负面新闻2020年9月18日星期五,Wind
1285,2020-09-17,华兰生物：重组Exendin-4-Fc融合蛋白注射液获临试批准,中国证券网
1286,2020-09-17,晚间重要公告2020年9月17日星期四,Wind
1287,2020-09-17,2020年9月18日涨停板早知道：七大利好有望发酵,新浪
1288,2020-09-17,华兰生物：取得药物临床试验批准通知书,e公司
1289,2020-09-17,长春高新分拆百克生物IPO：产品结构单一 推广费是研发投入近五倍,腾讯网
1290,2020-09-17,华兰生物(002007.SZ)：“重组Exendin-4-Fc融合蛋白注射液”药物获批临床,格隆汇
1291,2020-09-17,【中航证券医药】行业周报 | 表现平稳，蓄势待发,中航军工研究
1292,2020-09-17,医药行业周报：医药品种“调结构” 关注 “快速复苏板块”+“医保降价免疫”,新浪
1293,2020-09-17,医药行业投资策略：寻找“隐形”冠军,新浪
1294,2020-09-16,A股进入4000+时代 大牛市是这样诞生的,中国基金报
1295,2020-09-16,2019年中联百强榜出炉 “创转升”驱动制造业上市公司更强劲表现,中国发展网
1296,2020-09-16,定增变增资子公司！高瓴资本出手，这家公司高开低走了,中国基金报
1297,2020-09-16,生物制药行业2020年1-8月生物制品批签发：稳中有增,国金证券股份有限公司
1298,2020-09-16,新冠疫苗最快11月可接种，A股疫苗能否雄起？,券商中国
1299,2020-09-16,果然真爱！战投锁价定增不通，高瓴坚持“曲线”入场国瓷材料！,证券时报网
1300,2020-09-16,爆炒股大幅回调14股净利润有望翻倍,证券时报
1301,2020-09-16,生物医药行业：流感疫苗批签发加速 全年增长可期,财富动力网
1302,2020-09-15,15股最新股东户数降逾一成,证券时报网
1303,2020-09-15,这些绩优科技龙头砸出“黄金坑” 14只昔日大牛股全年业绩有望翻倍,第一财经
1304,2020-09-15,【超级大单】大跌眼镜！飙涨50亿后，第三代半导体龙头公告销售仅19万元,证券时报网
1305,2020-09-15,芯片概念股惊现“天地板”，北上资金甩卖超5000万！超跌次新股3天大涨72%，哪些绩优科技龙头砸出“黄金坑”？,证券时报网
1306,2020-09-15,生物医药行业周报：流感疫苗批签发加速 全年增长可期,新浪
1307,2020-09-15,新冠疫苗重大进展！这些A股又要嗨了？,中国基金报
1308,2020-09-15,医药行业2020年4季度投资策略报告：行业中报业绩企稳 关注长期投资逻辑―,渤海证券
1309,2020-09-15,2020年1-8月血制品批签发：8月多数品种出现不同程度下滑,西南证券
1310,2020-09-15,疫苗概念午后发力拉升，君正集团博晖创新涨停，康华生物大涨7%,证券时报网
1311,2020-09-15,新冠疫苗最快11月接种 13只疫苗股业绩值得期待,证券时报
1312,2020-09-15,重大进展！新冠疫苗最快11月接种，这类疫苗被曝紧缺！概念龙头砸出“深坑”，北上资金潜伏它们,证券时报网
1313,2020-09-15,新版流感疫苗接种指南发布，相关企业或迎利好,制药网
1314,2020-09-14,2020半年报总结：行业分化加剧 龙头集中度提升,新浪
1315,2020-09-14,医药行业周报：短期调整不改长期趋势 持续关注高景气度细分板块,新浪
1316,2020-09-14,华兰疫苗拟投7.96亿研发新冠疫苗 计划年产1.2亿剂成估值百亿独角兽,长江商报
1317,2020-09-14,医药行业周报：板块回调 关注低估值、高业绩确定性细分龙头,新浪
1318,2020-09-14,这只5倍妖股彻底凉了？本周还有哪些大事值得关注？,21世纪经济报道
1319,2020-09-14,这只5倍妖股彻底凉了？不仅央媒点名还被起诉！本周A股怎么走？哪些大事值得关注？ 诉讼纠纷,21世纪经济报道
1320,2020-09-14,盘前情报丨首批创业板ST股来袭！涨跌幅限制仍为20%，还有这14股在路上？,21世纪经济报道
1321,2020-09-14,2020年1-8月疫苗批签发：多数重磅品种、流感疫苗、肺炎疫苗等增长趋势明显,西南证券
1322,2020-09-14,东方基金王然：做大消费领域的长期主义者,上证报
1323,2020-09-13,【浙商医药|周报】板块回调，关注低估值、高业绩确定细分龙头,杏林建研
1324,2020-09-13,近期流感疫苗预定火爆 今年接种规模有望超预期,e公司
1325,2020-09-13,2020高瓴资本最新持仓A股20强,--
1326,2020-09-13,重仓医药股、甩卖白酒股 北向资金反复,21世纪经济报道
1327,2020-09-13,华兰生物：目前疫苗公司还处于上市辅导期,Wind
1328,2020-09-11,流感疫苗预订火爆，华兰生物产能翻倍，企业或迎放量契机,时代在线
1329,2020-09-11,渤海证券：回调中寻找买点 布局医药板块高景气行业,新浪
1330,2020-09-11,解密主力资金出逃股连续5日净流出782股,证券时报网
1331,2020-09-11,医药行业：血制品批签发数据月度跟踪(2020年8月),新浪
1332,2020-09-11,医药2020H1中报总结：Q2业绩环比开始改善 行业步入疫后时代,新浪
1333,2020-09-11,首款鼻喷新冠疫苗开展临床试验 2020生物疫苗行业发展现状及规模分析,搜狐
1334,2020-09-11,高瓴资本押注生物医药 投资图谱纳入京东健康,时代在线
1335,2020-09-10,高瓴资本加速全球扫货，半年5次增持这家公司，能否迎来“寒武纪时代”大爆发？,华夏时报
1336,2020-09-10,资本狂欢下的「分拆上市」热潮,东方药网
1337,2020-09-10,复星医药(600196)：贝伐珠单抗类似药报产 生物药进入收获期,新浪
1338,2020-09-09,尾盘大跳水 创业板成交量创历史新高！低价股行情要熄火？,中证报
1339,2020-09-09,创业板成交量创新高：低价股行情要熄火？抱团股真摔还是假摔？,中证报
1340,2020-09-09,阿斯利康叫停疫苗试验，千亿牛股康泰生物上演高台跳水！,环球老虎财经
1341,2020-09-09,国产新冠疫苗实物首次亮相 2020国产生物疫苗行业签发数量现状,中研网
1342,2020-09-09,生物疫苗板块重挫 康泰生物跌近16%,中证报
1343,2020-09-09,疫苗行业深度跟踪报告：后疫情时代的国之战略,新浪
1344,2020-09-09,流感疫苗预定提前需求提升 市场有望进入放量黄金期,证券日报
1345,2020-09-08,医药行业专题报告2020年1-8月疫苗批签发：流感疫苗继续攀升 国产创新疫苗持续放量,渤海证券
1346,2020-09-08,药企中考：化学制剂、中药承压 研发费用增长17%,新浪
1347,2020-09-08,95家上市公司信披考核垫底：欢瑞世纪、獐子岛等11家质量堪忧,中国经济网
1348,2020-09-08,医药生物行业周报：二季度业绩逐步恢复 把握业绩确定性,新浪
1349,2020-09-07,多只疫苗股9月止跌上涨，疫情下流感疫苗企业或迎来放量契机,澎湃新闻
1350,2020-09-07,【国元医药|行业跟踪】疫苗行业跟踪：2020年08月疫苗行业批签发数据跟踪,元气医药
1351,2020-09-07,国泰君安证券：医药股二季度恢复符合预期 9月初估值较前期高点已有明显回落,金融界
1352,2020-09-07,前8月20只股基涨超80% 招商工银广发等基金领涨,中国经济网
1353,2020-09-07,【医药】医药行业9月投资策略暨财报总结,国泰君安证券研究
1354,2020-09-06,华龙投顾周观点第35期：支撑位曝光，下周关注这一行业,华龙掘金
1355,2020-09-06,医药生物行业周报：国产创新药频繁授权海外 继续重点推荐创新药产业链,新浪
1356,2020-09-04,【浙商医药|中报】创新药产业链：本土力量逐步彰显硬实力，制药升级进入兑现期,杏林建研
1357,2020-09-04,【浙商医药|中报总结】Q2改善，选赛道更重要,杏林建研
1358,2020-09-04,华兰生物(002007)2020年半年报点评：上半年业绩符合预期 下半年流感疫苗有望持续放量,新浪
1359,2020-09-04,医药行业2020年9月投资月报：建议关注IVD化学发光赛道 业绩高增长可期,新浪
1360,2020-09-04,中检院副院长：今年流感季来临前，疫苗签发量可达五千万人份,澎湃新闻
1361,2020-09-03,医药行业2020H1财报分析：寻找具有相对性价比的公司,新浪
1362,2020-09-01,上半年股票基金冠军创金合信医疗保健行业中报出炉,资本邦
1363,2020-09-01,【中原策略】中原证券2020年9月十大金股组合：2020年第九期：9月1日-9月30日,中原证券研究所
1364,2020-09-01,九月金股一览,华福小福牛
1365,2020-09-01,绩优基金何以表现亮眼 聪明钱与好公司互相成就,上证报
1366,2020-09-01,绩优基金何以表现亮眼，聪明钱与好公司互相成就,Wind
1367,2020-08-31,“核心+卫星”策略 对基金配置有什么意义？,养基司令
1368,2020-08-31,中银证券健康产业灵活配置混合基金最新净值涨幅达3.05％,金融界
1369,2020-08-31,【国元医药|点评】君实生物2020半年报点评：核心产品快速放量，研发管线进一步推进,元气医药
1370,2020-08-31,【国元医药|点评】泰格医药2020半年报点评：业务增速逐渐恢复，项目积累进一步增长,元气医药
1371,2020-08-31,中银创新医疗混合基金最新净值涨幅达2.62%,金融界
1372,2020-08-31,48家生物疫苗公司年投120亿研发 市值超2万亿15家公司股价年内翻倍,长江商报
1373,2020-08-30,下周！年内最高点，会被拿下？（附下周机会）,搜狐
1374,2020-08-30,小白买基三件套：诺安成长、银河创新成长、海富通股票,基尔摩斯
1375,2020-08-30,2019年度中国医药工业百强榜重磅发布，恒瑞首进前十，扬子江、广州医药、国药集团位列前三（附名单）,汇聚南药
1376,2020-08-30,2019年中国医药工业百强榜发布：65家中资上市公司上榜,澎湃新闻
1377,2020-08-30,重磅！工信部中国医药工业百强榜发布（附榜单）,赛柏蓝
1378,2020-08-30,中国股市：近5年盈利能力最强50只龙头股（名单）,搜狐
1379,2020-08-29,放弃李斌，张磊错了吗？,新浪
1380,2020-08-29,10位明星基金经理“心水股”首次披露,中国基金报
1381,2020-08-28,兴业证券：关注政策变化 重点配置消费医疗+创新板块,新浪
1382,2020-08-28,8月以来基金排名大变化，部分医药主题基金掉队,制药网
1383,2020-08-28,中银证券健康产业灵活配置混合基金最新净值涨幅达1.64％,金融界
1384,2020-08-27,出走9个月，刘晓丹完成新基金57亿元募资，5个月前携手高瓴入股华兰生物,投中网
1385,2020-08-27,“核心+卫星”策略，对基金配置有什么意义？,养基司令
1386,2020-08-27,美股再创历史新高今日两股望掀涨停潮,搜狐
1387,2020-08-27,我国流感疫苗进入鼻喷时代 首个国产品将接种（股）,金融界
1388,2020-08-27,先锋聚利混合年内亏损近4% 投资副总监踏空大消费行情 亏损,中国经济网
1389,2020-08-26,医药生物行业周报：全国集采拟中选结果公布 产业结构持续优化升级,新浪
1390,2020-08-26,搜索量暴涨7倍！流感疫苗备受关注，哪些公司或受益？,中财网
1391,2020-08-26,【国元医药|点评】美亚光电2020年中报点评：Q2业绩改善显著，口扫有望带来新增量,元气医药
1392,2020-08-26,哪些医药指数基金，创新药和疫苗占比更高？,养基司令
1393,2020-08-26,快讯：截至10：30医药制造行业涨0.60% 获超5.11亿元大单资金净买入,证券日报
1394,2020-08-25,专访林存：未来十年一定是医药板块黄金岁月，会产生很多翻倍的公司,证券时报网
1395,2020-08-25,医药生物行业双周报,新浪
1396,2020-08-24,30家药企2020年上半年业绩出炉：净利润最高增长14倍、最大降幅达165%,中国医药报
1397,2020-08-24,解密主力资金出逃股连续5日净流出573股,证券时报网
1398,2020-08-24,新冠疫苗成本定价，半年报发布，康希诺市值缩水77亿 连续下跌,药智网
1399,2020-08-24,医药生物指数大幅跑赢市场多重因素驱动行业格局和企业估值重塑,金融界
1400,2020-08-24,业绩来了！新冠疫苗第一股却盘中大跌13% 盈利能力下降,中国基金报
1401,2020-08-23,累计亏损扩大至4.70亿元，但扩张步伐仍将狂奔，疫苗“后浪”康希诺能否卡到C位？ 亏损,科创板日报
1402,2020-08-23,太平洋医药行业周报：新冠为检测行业带来的不止业绩 还有渗透率提升,新浪
1403,2020-08-21,暴涨161.47%！疫情或催生疫苗板块成最大赢家,广发证券
1404,2020-08-21,医药生物板块回撤-10%，哪些医药基金更抗跌？,养基司令
1405,2020-08-21,【国元医药| 点评】老百姓2020年中报点评：内生+外延扩张门店，加盟店模式加速发展,元气医药
1406,2020-08-21,【国元医药| 点评】万东医疗2020年中报点评：抗疫DR表现亮眼，毛利率提升明显,元气医药
1407,2020-08-20,新冠疫苗三期临床后拼产能 中国企业进入“战时速度”：数亿产能建设进行时,华夏时报
1408,2020-08-20,755亿主力资金近三日大量撤出中小创,证券时报网
1409,2020-08-20,中银证券健康产业灵活配置混合基金最新净值跌幅达1.80％,金融界
1410,2020-08-20,疫苗板块表现疲软或因“领跑者”已出,广州日报
1411,2020-08-20,盘前信息早知道（08.18）,中金在线
1412,2020-08-20,国内首款腺病毒载体新冠疫苗开展规模化生产研究,中国科技网
1413,2020-08-19,34股主力资金净流入超亿元,证券时报网
1414,2020-08-19,医药行业周报：如何看待近期医药的回调？,新浪
1415,2020-08-19,医药生物-中国疫苗行业纵观(一)：脚踏实地 仰望星空,新浪
1416,2020-08-19,恩宝生物与华兰生物将就新冠肺炎疫苗项目开展深入合作,格隆汇
1417,2020-08-19,血制品行业稳步前进 市国内外场空间广阔,21世纪经济报道
1418,2020-08-19,中银证券健康产业灵活配置混合基金最新净值涨幅达2.07％,金融界
1419,2020-08-19,中银创新医疗混合基金最新净值涨幅达1.78％,金融界
