,2021-12-31,制药行业火热收官，中药板块领涨，龙头片仔癀遇冷「制药行业周榜」,华夏时报
565,2021-07-30,北京当地医保发布|药监局召回一批医疗器械|维生素B6注射剂说明书修订|以岭药业|基石药业|片仔癀|步长制药 产品问题,艾美达行业研究
566,2021-07-30,半年吸金11亿，“独家布点”超300个！“中药股一哥”3个1类新药搅局万亿市场,米内网
567,2021-07-30,策略日报：指数午后回暖 通信板块领涨,新浪
568,2021-07-30,片仔癀市值突然蒸发超600亿 18年首遭控股股东减持何去何从 连续下跌,投资者网
569,2021-07-29,市场思考随笔之六十五：“宁”与“茅”分化的背后,新浪
570,2021-07-29,县市场监管局“三到位”排查“片仔癀”违法销售情况,钢企网
571,2021-07-29,"片仔癀现3笔大宗交易 共成交12,236.01万元",新浪
572,2021-07-29,片仔癀今日大宗交易成交30.81万股，成交价381.79元溢价0.0%,Wind
573,2021-07-29,片仔癀到底是“药”还是“茅”？,澎湃新闻
574,2021-07-29,张坤、谢治宇、刘格菘们已行动，新能源基金开始调仓,Wind
575,2021-07-29,片仔癀：片仔癀是药品，锭剂有效期60个月，胶囊有效期36个月,每日经济新闻
576,2021-07-28,"片仔癀现3笔大宗交易 共成交8,489.47万元",新浪
577,2021-07-28,北向资金今日净买入80.53亿元，东方雨虹获净买入近12亿元,Wind
578,2021-07-28,片仔癀今日大宗交易成交21.14万股，成交价378.02元溢价0.0%,Wind
579,2021-07-28,A股收盘综述：沪指四连跌，创业板指止跌反弹,Wind
580,2021-07-28,A股异动丨片仔癀(600436.SH)反弹4.75% 此前四日累跌逾26% LDS片获批进行临床试验,格隆汇
581,2021-07-28,A股反弹，茅台急剧拉升，宁德时代大涨,Wind
582,2021-07-28,片仔癀7月27日现2笔大宗交易,证券时报网
583,2021-07-28,市场资金面周观察：北上资金波动加大市场风险偏好回落,新浪
584,2021-07-28,强势股补跌沪指失守3400点，机构称下跌带来优质股布局机会,Wind
585,2021-07-27,“茅”头狂跌！A股遭遇黑色星期二，恒生科技指数创史上最大跌幅…这类股票却逆市上涨，发生了什么？ 连续下跌,证券时报
586,2021-07-27,片仔癀(600436.SH)：与上海璃道医药合作研发的LDS片获批临床试验,格隆汇
587,2021-07-27,片仔癀(600436.SH)：用于治疗纤维肌痛的LDS 片临床试验申请获批,智通财经
588,2021-07-27,片仔癀：收到国家药品监督管理局签发的《药物临床试验批准通知书》,格隆汇
589,2021-07-27,片仔癀：LDS片获批进行临床试验,财联社
590,2021-07-27,片仔癀：LDS片收到《药物临床试验批准通知书》,Wind
591,2021-07-27,A股、港股双双跳水，发生了什么？,Wind
592,2021-07-27,片仔癀今日大宗交易成交21.88万股，成交价360.98元溢价0.0%,Wind
593,2021-07-27,同仁堂，为何追不上片仔癀？,第一财经
594,2021-07-27,解盘：资金回流科技发威，光刻胶、芯片、网络安全领涨,Wind
595,2021-07-27,记者探店片仔癀！谁在助推“神药”1500元一粒还被疯抢？,中国经济周刊
596,2021-07-27,自股东减持以来片仔癀股价连续下跌 今日盘中大跌超6% 减持股份,新浪
597,2021-07-27,医药龙头短线再度跳水，通策医疗跌近6%,Wind
598,2021-07-27,机构扎堆出逃 10股被过亿资金甩卖,财富动力网
599,2021-07-27,机构扎堆出逃 10股被过亿资金甩卖,投资快报
600,2021-07-26,片仔癀1.5亿成立化妆品商贸公司,北京商报
601,2021-07-26,大跌！散户慌了 机构投资人却在泰山“淡定”旅游 林园：涨多了就跌是正常现象,红周刊
602,2021-07-26,大跌散户慌了：机构投资人却在泰山“淡定”旅游 另有机构争分夺秒加仓,红周刊
603,2021-07-26,股指集体走弱 白酒和医疗大幅杀跌,至诚财经
604,2021-07-26,"片仔癀现2笔大宗交易 共成交6,498.65万元",新浪
605,2021-07-26,暴涨18倍后，千亿市值大牛股跌停，神话就此破灭？,投资家
606,2021-07-26,二季末被84只公募基金重仓的片仔癀，今日盘中再度跌停！,红周刊
607,2021-07-26,片仔癀今日大宗交易成交15.34万股，成交价391.25元折价0.03%,Wind
608,2021-07-26,2大超级赛道大跌7%，下一个是谁？4大信号透露玄机,Wind
609,2021-07-26,片仔癀成立化妆品商贸公司，注册资本1.5亿,搜狐
610,2021-07-26,医药板块大幅走低，华熙生物跌逾15%，片仔癀3日跌逾20%,证券时报网
611,2021-07-26,千亿巨头闪崩跌停潮：茅台跌1000亿，腾讯跌7%,Wind
612,2021-07-26,三大股指早盘杀跌，“喝酒吃药”大调整！贵州茅台创年内新低，通策医疗跌停 连续下跌,上证报
613,2021-07-26,A股午盘综述：三大指数均跌逾2%，茅指数、宁组合集体大跌,Wind
614,2021-07-26,中药板块走弱 片仔癀触及跌停,格隆汇
615,2021-07-26,【行情】片仔癀触及跌停，成交额超37亿元,金十数据
616,2021-07-26,医药股全线杀跌，通策医疗跌停,Wind
617,2021-07-26,融资客青睐13股，陕天然气买入占比高达49.30%,Wind
618,2021-07-26,A股融资融券日报：两融余额减少25.75亿元（7月23日）,Wind
619,2021-07-26,北上资金重点加仓名单来了！22股连续七周加仓,Wind
620,2021-07-26,意在遏制市场炒作？片仔癀控股股东首次披露减持计划 拟减持股份,证券日报
621,2021-07-25,"明星基金经理投资风向已变？二季度早已布局这些""宁指数""标的",红周刊
622,2021-07-24,锂电池疯狂再度刷屏 片仔癀股东减持打击信心 减持股份,财富动力网
623,2021-07-24,面板头龙上半年业绩大涨10倍，这周却被北向资金抛售26亿元！,ZAKER
624,2021-07-24,"每周大事｜礼来中国抗肿瘤事业部副总裁钱江离职；片仔癀大股东首次减持将套现30亿；康希诺上半年实现营业收入20-22亿元
董监高成员变化",思齐俱乐部
625,2021-07-23,大股东减持片仔癀，新董事长不为套现为“灭火”？ 减持股份,环球老虎财经
626,2021-07-23,片仔癀现1笔大宗交易 共成交503.81万元,新浪
627,2021-07-23,中药企业“淘金”大健康产业成趋势！,制药网
628,2021-07-23,A股震荡下行超46亿外资暂时撤离，新能源产业链股遭大幅抛售,Wind
629,2021-07-23,突发大风暴！新东方一度崩了50%，400亿灰飞烟灭,Wind
630,2021-07-23,新董事长上任3月国资拟高位套现 片仔癀单日市值蒸发295亿元 减持股份,产业经济新闻网
631,2021-07-23,市场活跃 震荡反复,第一财经
632,2021-07-23,“中药茅”片仔癀午后大跌逾7% 成交额超43亿元 连续下跌,新浪
633,2021-07-23,3大千亿白马重挫，锂电牛股跌13%！券商股却火了,Wind
634,2021-07-23,A股午盘综述：创业板指下挫1.8%，券商领衔周期股逆势走强,Wind
635,2021-07-23,片仔癀(600436.SH)连续第二日大跌 上市18年首遭大股东减持 连续下跌,格隆汇
636,2021-07-23,医药行业2021Q2持仓分析：医药仓位持续回升 核心资产继续分化,西南证券
637,2021-07-23,片仔癀（600436）龙虎榜解析（7-22）沪股通、机构上榜,证券之星
638,2021-07-23,13股中报估值大幅下降+股价上涨空间超30%,Wind
639,2021-07-23,7家医药公司7月22日现大宗交易，累计成交2.37亿元,制药网
640,2021-07-23,3000亿中药茅突然闪崩跌停！北上资金和机构狂砸盘,Wind
641,2021-07-23,资金疯狂出逃 !市值蒸发 200 亿! 片仔癀大股东变现套路引发投资者不满 连续下跌,财富动力网
642,2021-07-23,半年翻四倍，大股东按捺不住终于舍得卖了!,财富动力网
643,2021-07-23,A股早报2021年7月23日星期五,Wind
644,2021-07-23,中报估值大幅下降+股价上涨空间超30%仅13股(名单) 盈利能力下降,中财网
645,2021-07-23,每日理财观察：新时代推动中部地区高质量发展的意见发布,Wind
646,2021-07-23,大股东高位减持，片仔癀市值一日蒸发300亿,斑马消费
647,2021-07-23,资金疯狂出逃，市值蒸发200亿！片仔癀大股东变现套路引发投资者不满,投资快报
648,2021-07-23,北向资金连续4日净流入A股；7.58亿资金出逃，“药茅”片仔癀跌停,21世纪经济报道
649,2021-07-23,北向资金动向盘点：重手净买金融，大额净卖医药,Wind
650,2021-07-23,跌懵了！“喝酒吃药”一天亏掉1亿多瓶茅台，原因竟是它！中报估值大幅下降+股价上涨空间超30%仅13股,证券时报网
651,2021-07-23,控股股东系国资背景 片仔癀股东减持释放啥信号 减持股份,新浪
652,2021-07-23,3000亿中药茅突然闪崩跌停！北上资金和机构狂砸盘,中国基金报
653,2021-07-22,近3000亿“药中茅台”惨烈跌停，一天296亿市值灰飞烟灭！机构也疯狂甩卖8亿，发生了什么？,每日经济新闻
654,2021-07-22,减持公告吓坏中药龙头 片仔癀罕见跌停市值蒸发300亿 减持股份,证券时报网
655,2021-07-22,股价创下新高 股东减持套现 片仔癀跌停 减持股份,新京报
656,2021-07-22,放量跌停！两月飙涨2倍的广誉远神话讲完了？,格隆汇
657,2021-07-22,今日热文精选 | 暴雨中财产受损，保险怎么赔？科创板两周年交出硬核成绩单,财经网
658,2021-07-22,大股东减持套现近 30 亿元！“中药一哥”片仔癀市值蒸发 200 多亿 减持股份,ZAKER
659,2021-07-22,大资金排队跑路：超级牛股片仔癀高位跌停 大股东要甩货 关联方问题,新浪
660,2021-07-22,沪港通十大成交活跃股排名（7月22日）,Wind
661,2021-07-22,视频|单日市值蒸发296亿！“药茅”片仔癀被投资者怒砸跌停 连续下跌,北京商报
662,2021-07-22,大资金排队跑路，超级牛股高位跌停，大股东要甩货！ 这个板块彻底火了，6只概念股获主力资金和北上资金同时增持，明星基金盯上龙头,e公司
663,2021-07-22,片仔癀龙虎榜数据（7月22日）,Wind
664,2021-07-22,数据复盘｜主力资金撤离医药股 北向资金连续4日净流入,证券时报网
665,2021-07-22,股东套现近30亿，“药中茅台”一字跌停，市值一日蒸发296亿！,医药观察家网
666,2021-07-22,大股东甩货30亿，“药茅”片仔癀惨烈跌停，机构、北向也慌了,21世纪经济报道
667,2021-07-22,A股惊现一大“乌龙指”,证券之星
668,2021-07-22,速读社丨片仔癀大股东首次减持将套现30亿 辉瑞2款JAK抑制剂美国审查延期 减持股份,新浪医药
669,2021-07-22,机构今日买入这19股，抛售片仔癀1.70亿元丨龙虎榜,第一财经
670,2021-07-22,首遭控股股东减持，片仔癀“牛势”会否因此生变？ 减持股份,财经网
671,2021-07-22,"片仔癀现1笔大宗交易 共成交5,995.58万元",新浪
672,2021-07-22,大股东拟减持套现30亿，片仔癀跌停，沪股通净卖出近6亿 拟减持股份,第一财经
673,2021-07-22,片仔癀今日大宗交易成交13.60万股，成交价440.78元溢价0.0%,Wind
674,2021-07-22,北向资金连续4日“买买买”累计加仓超160亿，歌尔股份净买入额创逾7个月新高,Wind
675,2021-07-22,“药茅”片仔癀跌停，上市18年来控股股东首次减持套现近30亿 减持股份,中华网
676,2021-07-22,老周侃股：片仔癀控股股东减持股份释放啥信号 减持股份,北京商报
677,2021-07-22,片仔癀大跌10% 沪股通净卖出5.76亿元 连续下跌,e公司
678,2021-07-22,片仔癀放量跌停，外资、机构集体出逃,Wind
679,2021-07-22,3000亿药茅惨烈跌停、贾跃亭又要上市、白酒大跌,Wind
680,2021-07-22,股市动态 | 沪指走强，有机硅领涨，机械工程获拉升，中药股走弱,财经网
681,2021-07-22,片仔癀上市后股价狂飙629倍，大股东计划减持603.32万股每股获利490元，“牛势”会否因此生变？ 拟减持股份,21世纪经济报道
682,2021-07-22,“药茅”首遭大股东减持 片仔癀回应：对股价影响会持续一段时间｜一只热股 减持股份,第一财经
683,2021-07-22,片仔癀上市18年大股东首抛减持 股价降温跌停 减持股份,长江商报
684,2021-07-22,暴跌10%！片仔癀承认减持会影响股价！银华基金一日缩水超2亿 减持股份,凤凰网
685,2021-07-22,A股收评：沪指涨0.34%，锂电、半导体板块继续大涨,证券之星
686,2021-07-22,A股资金流向（7月22日）：资金持续减仓白酒、医药等消费龙头,Wind
687,2021-07-22,片仔癀股价涨一倍后遭控股股东拟减持30亿元，产品价格曾被炒至一粒1600元 拟减持股份,搜狐
688,2021-07-22,跌停收盘 片仔癀股价报440.78元/股,北京商报
689,2021-07-22,企业观｜片仔癀控股股东减持股价下跌，狂欢之后谁在裸泳 减持股份,财经网
690,2021-07-22,医药股遭暴击，广誉远、片仔癀双双跌停！,证券之星
691,2021-07-22,量能持续放大 短期反弹可看高一线,金融投资报
692,2021-07-22,昨天刚创新高、今天就暴跌295亿：“药茅”片仔癀突遭大股东减持 拟套现30亿 连续下跌,每日经济新闻
693,2021-07-22,巨丰微策略：券商拉升 两日成交又过万亿 新一轮行情要来？,巨丰财经
694,2021-07-22,中药板块大幅走低 广誉远、片仔癀双双跌停 连续下跌,证券时报网
695,2021-07-22,片仔癀午后持续下行 股价逼近跌停 连续下跌,鲸平台
696,2021-07-22,网红“药茅”片仔癀午后逼近跌停 成交额近54亿元,新浪
697,2021-07-22,【行情】片仔癀股价逼近跌停，成交额超53亿元,金十数据
698,2021-07-22,片仔癀：大股东减持对股价影响会持续一段时间丨公司问答 减持股份,第一财经
699,2021-07-22,李闻捷：片仔癀新品类增长超预期 偏高估值压制短期股价,第一财经
700,2021-07-22,医药股暴跌，两只大白马重挫！恒大汽车突然涨30%,Wind
701,2021-07-22,A股异动：“药茅”片仔癀大跌超过8%，公司大股东宣布减持 连续下跌,证券之星
702,2021-07-22,片仔癀大跌，拉垮中药板块；恒大系狂欢，债务警报解除了？,e公司
703,2021-07-22,罕见！2700亿“中药一哥”遭控股股东减持大跌8%，千亿“锂茅”股价创新高 减持股份,Wind
704,2021-07-22,大股东减持！“药茅”暴跌234亿拉垮中药板块，66只个股下跌；恒大系概念股狂欢，债务警报解除了？ 减持股份,e公司
705,2021-07-22,套现30亿！上市18年来首遭大股东减持，片仔癀暴跌8% ，后市如何走？ 减持股份,21世纪经济报道
706,2021-07-22,套现30亿！上市18年来首遭大股东减持，片仔癀暴跌8% ，后市如何走？ 减持股份,南方财经网
707,2021-07-22,控股股东拟减持 或套现近30亿……“药茅”片仔癀跌超7% 拟减持股份,新浪
708,2021-07-22,"突发暴雷跌停！医药股又暴跌，两只3000亿大白马重挫！半导体彻底炸了，恒大汽车突然暴涨30%！痛心！河南强降雨已致33人遇难
连续下跌",中国基金报
709,2021-07-22,惨遭大股东首次减持！片仔癀暴跌8%“药中茅台”何去何从？ 减持股份,财联社
710,2021-07-22,1600元一粒的片仔癀，股价暴跌7.93%，大股东要甩货30亿了 连续下跌,格隆汇
711,2021-07-22,解盘：百亿资金流入，光刻胶、挖掘机、锂矿领涨,Wind
712,2021-07-22,片仔癀股价狂欢后 控股股东欲套现近30亿元！ 减持股份,第一财经
713,2021-07-22,21健讯Daily｜国产mRNA疫苗启动国内III期临床；沃森研发新冠变异株疫苗；博爱生物生产假药被罚,21世纪经济报道
714,2021-07-22,A股高开低走创业板指跌1%有机硅板块逆势拉升片仔癀大跌近8% 连续下跌,华尔街见闻
715,2021-07-22,#片仔癀大股东首次减持将套现30亿#上热搜 网友：林园听了估计想骂人 减持股份,新浪
716,2021-07-22,片仔癀今日跌超8%：控股股东拟套现30亿 减持股份,企查查
717,2021-07-22,大股东计划套现近30亿元，“药茅”片仔癀股价大跌逾8% 减持股份,第一财经
718,2021-07-22,片仔癀大股东首次减持将套现30亿 股价应声下跌 减持股份,红周刊
719,2021-07-22,上市首次！2900亿“中药一哥”或遭减持近30亿，市值蒸发近200亿 减持股份,中新经纬
720,2021-07-22,快讯｜片仔癀：因自身资金需求，控股股东及其一致行动人拟减持公司股份 拟减持股份,财经网
721,2021-07-22,开盘：A股三大股指创业板指涨0.35%，盐湖提锂板块领涨，片仔癀跌超3%,金融界
722,2021-07-22,片仔癀控股股东拟首次减持 减持市值近30亿元 拟减持股份,和讯
723,2021-07-22,中药板块全线杀跌，广誉远跌停,Wind
724,2021-07-22,“中药一哥”片仔癀首遭大股东减持，套现近30亿！ 减持股份,券商中国
725,2021-07-22,“药茅”片仔癀首遭大股东减持30亿，股价一度暴跌7% 减持股份,证券之星
726,2021-07-22,大股东减持套现近30亿 网红“药茅”片仔癀早盘大跌近7% 减持股份,新浪
727,2021-07-22,“药中茅台”片仔癀股价刚创新高，控股股东却拟套现约30亿元？ 减持股份,资本邦
728,2021-07-22,快讯：中药板块下挫走弱 片仔癀、广誉远大跌7% 连续下跌,新浪
729,2021-07-22,A股异动 | 片仔癀(600436.SH)大跌7% 控股股东拟减持不超1%公司股份 连续下跌,格隆汇
730,2021-07-22,2900亿“药茅”，大股东罕见套现30亿！什么信号,Wind
731,2021-07-22,快讯：控股股东拟减持片仔癀跌近5% 拟减持股份,财联社
732,2021-07-22,大股东减持套现近30亿 网红“药茅”片仔癀早盘低开3% 减持股份,新浪
733,2021-07-22,片仔癀跳空低开3.01%,36氪
734,2021-07-22,上市以来首次！2900亿网红“药茅”突遭控股股东减持，拟套现近30亿！,证券之星
735,2021-07-22,证监会出手 又有A股实控人被立案调查！ 董监高成员异常事件,中国基金报
736,2021-07-22,2900亿“中药一哥”首遭大股东减持套现近30亿 什么信号？上市18年飙涨56倍 最牛散户暴赚130亿 减持股份,券商中国
737,2021-07-22,上市以来首次！2900亿网红“药茅”片仔癀突遭减持 拟套现近30亿,e公司
738,2021-07-22,套现30亿！“药中茅台”遭大股东首度减持，股价一年半翻了4倍 减持股份,证券时报
739,2021-07-22,药价炒到比茅台还贵 片仔癀股东宣布减持：套现近30亿 减持股份,快科技
740,2021-07-22,片仔癀股价创新高！控股股东却突然宣布大额减持 网友吵翻了 减持股份,每日经济新闻
741,2021-07-22,深夜突发！套现近30亿，药中茅台突遭大股东减持！告急！河南又一市遭遇特大暴雨，2小时降水已超郑州！南京最新通报来了 减持股份,中国基金报
742,2021-07-21,【掘牛股】股价大涨！易主山西国资，广誉远“焕新颜”,财华社
743,2021-07-21,片仔癀：控股股东九龙江集团因自身资金需求减持600多万股 减持股份,澎湃新闻
744,2021-07-21,晚间重要公告2021年7月21日星期三,Wind
745,2021-07-21,股价创新高 片仔癀控股股东欲趁机减持套现 减持股份,第一财经
746,2021-07-21,片仔癀：控股股东拟减持不超603.32万股 拟减持股份,中证网
747,2021-07-21,注意！片仔癀：控股股东九龙江集团计划减持不超过1% 拟减持股份,每日经济新闻
748,2021-07-21,片仔癀(600436.SH)：控股股东拟减持不超603.3172万股 拟减持股份,格隆汇
749,2021-07-21,片仔癀(600436.SH)控股股东九龙江集团拟减持不超1%的股份 拟减持股份,智通财经
750,2021-07-21,"片仔癀公告：控股股东九龙江集团拟通过集中竞价交易方式减持其持有的公司股份数量总计不超过目前公司总股本的1%，即不超过6,033,172股
拟减持股份",金十数据
751,2021-07-21,片仔癀：控股股东拟减持公司不超1%股份 拟减持股份,e公司
752,2021-07-21,片仔癀：控股股东拟减持不超过1%公司股份 拟减持股份,Wind
753,2021-07-21,片仔癀现1笔大宗交易 共成交495.98万元,新浪
754,2021-07-21,片仔癀今日大宗交易成交1.18万股，成交价420.32元折价14.18%,Wind
755,2021-07-21,北向资金今日净买入31.17亿元，东方财富获净买入逾11亿元,Wind
756,2021-07-21,片仔癀再创新高提振中药板块，广誉远冲击涨停,Wind
757,2021-07-21,重仓股大“换血”！顶流基金经理最新布局思路曝光,Wind
758,2021-07-21,医药行业2021年中报业绩前瞻：继续保持恢复性增长,新浪
759,2021-07-20,片仔癀(600436)：日化持续高速增长 分拆上市提上日程,西南证券
760,2021-07-20,国资委接手百年药企广誉远，广誉远要成为“下一个片仔癀”？,ZAKER
761,2021-07-20,片仔癀今日大宗交易成交12.84万股，成交价467.02元溢价0.0%,Wind
762,2021-07-20,"片仔癀现2笔大宗交易 共成交6,514.34万元",新浪
763,2021-07-20,北向资金今日净买入30.65亿元，持续加仓医药股,Wind
764,2021-07-20,光大证券：维持片仔癀(600436.SH)“买入”评级 终端需求旺盛 产品量价齐升,智通财经
765,2021-07-20,商业贸易行业周观点：奥园美谷发力高端医美产品 中国钻石交易强劲反弹,新浪
766,2021-07-20,600亿龙头突然闪崩，恒大系又大跌！什么情况？ 连续下跌,Wind
767,2021-07-20,【片仔癀（600436.SH）】片仔癀终端需求旺盛+渠道拓展加速驱动业绩超预期——2021年半年报业绩快报点评（林小伟）,光大证券
768,2021-07-20,北向资金调仓，增持医药医疗行业，减持保险地产等行业,21世纪经济报道
769,2021-07-20,北向资金动向盘点：重手买入“医药”，谨防“德尔塔”,Wind
770,2021-07-20,刘格菘仓位仍超90%、萧楠大幅增持银行股,Wind
771,2021-07-20,重仓股“大换血”，二季报显露基金大咖“新宠”,Wind
772,2021-07-19,顶流基金经理最新重仓股大曝光，狂买这些股！,Wind
773,2021-07-19,解密行业龙头 | 中药板块会不会复制白酒走势,红周刊
774,2021-07-19,谁交了片仔癀的智商税？,澎湃新闻
775,2021-07-19,医药生物行业周报：海外疫情反复 行业超跌后迎来反弹,新浪
776,2021-07-19,最牛新股暴涨20倍！银行突下重手，知名地产股债双杀,Wind
777,2021-07-19,A股收盘综述：沪指震荡，网络安全、中药题材花开两朵,Wind
778,2021-07-19,全国省级药监微信公众号榜单 | 7月11日—17日周榜揭晓,中国医药报
779,2021-07-19,一粒难求！片仔癀股价创历史新高，中药概念再上风口,证券之星
780,2021-07-19,中药板块午后攻势再起 片仔癀股价刷新历史新高,上证报
781,2021-07-19,快讯：中药股午后持续拉升 片仔癀大涨股价创历史新高,新浪
782,2021-07-19,吴亦凡被曝丑闻，良品铺子声明合作已终止，今天股价差点跌停 经营问题,中国基金报
783,2021-07-19,请理性看待片仔癀,中国经济网
784,2021-07-19,锂电猪肉股重挫，500亿大牛股闪崩跌停！千亿大白马连续崩跌,Wind
785,2021-07-19,"突然崩了！吴亦凡曾代言，这只股差点跌停！锂电猪肉股重挫，500亿大牛股闪崩跌停！千亿大白马连续崩跌，却有新股一天暴涨18倍！
连续下跌",中国基金报
786,2021-07-19,中药板块异动 片仔癀等多只个股涨超6%,制药网
787,2021-07-19,北向资金净流入13.32亿，逾2700股下跌！长春高新、片仔癀被买入9.2亿，解读,和讯
788,2021-07-19,解盘：金融股低迷，稀土、西藏振兴、次新股、疫苗领涨,Wind
789,2021-07-19,A股午盘综述：三大股指午前均有抬头迹象,Wind
790,2021-07-19,片仔癀上半年大赚11亿，官方提醒：违法转卖面临30倍以下罚款 其他违规处罚,新浪
791,2021-07-19,【行情】中药股拉升走高，广誉远涨近8%，精华制药、片仔癀、同仁堂、陇神戎发、红日药业等跟涨,金十数据
792,2021-07-19,每日“药”闻|新冠疫苗大卖，康希诺上半年利润或达10亿；片仔癀营收利润双增长,读懂财经
793,2021-07-19,快讯：片仔癀早盘大涨逾6% 成交额近20亿元,新浪
794,2021-07-19,一粒千金！片仔癀半年净利超11亿，公司股价高开高走,第一财经
795,2021-07-19,西部证券：维持片仔癀(600436.SH)“买入”评级，核心药品、日化产品带动业绩增长,智通财经
796,2021-07-19,片仔癀(600436.SH)拉升涨近6%业绩超预期,格隆汇
797,2021-07-19,"韩束宣布与吴亦凡解除合作；炸鸡掉地继续用？华莱士：涉事餐厅停业整顿；沃尔玛因开除16年工龄唐氏综合征员工被判赔1.25亿美元
经营问题",每经头条
798,2021-07-19,每日财报|片仔癀上半年净利11.14亿元保利地产净利同比增1.72%,搜狐
799,2021-07-19,早报 (07.19) | 僵局打破！欧佩克+同意增加石油产量；美国等多国新冠疫情恶化！长城、奇瑞电动车召回的电池非宁德时代配套,格隆汇
800,2021-07-19,上海市监局约谈华莱士上海总部,ZAKER
801,2021-07-19,盘前必读丨“十四五”能源规划呼之欲出，官方回应片仔癀“一粒千金”,第一财经
802,2021-07-18,国盛证券维持片仔癀买入评级：业绩增长超预期，新董事长上任后公司发展有望加速,每日经济新闻
803,2021-07-18,22股获买入评级 最新:倍 轻 松,中财网
804,2021-07-18,医药行业周报：中报预告落地 个股表现持续分化,西南证券
805,2021-07-18,"""一笔大钱""通常需要坐下来等待，""好的投资""不用考虑卖点",证券时报
806,2021-07-18,片仔癀每克价格超黄金，官方提醒：违法转卖面临30倍以下罚款 其他违规处罚,中华网
807,2021-07-18,核心产品片仔癀系列产品销售增加 片仔癀上半年营利双增,新京报
808,2021-07-17,官方回应片仔癀价格上涨 不可盲目购买、囤积,e公司
809,2021-07-17,官方回应片仔癀“一粒千金”：不可盲目囤积,中新经纬
810,2021-07-17,医药与健康护理行业周报：中报预告相继披露 关注业绩高增长公司,新浪
811,2021-07-17,上市公司正负面新闻2021年7月17日星期六,Wind
812,2021-07-17,片仔癀公布半年报 上半年净利润超11亿,证券时报
813,2021-07-16,产品一粒难求，股价涨幅超茅台 片仔癀2021年半年赚了11亿，有股民却称不及预期？ 盈利能力下降,每日经济新闻
814,2021-07-16,片仔癀交出换帅后的首张成绩单 上半年净利润超11亿元,e公司
815,2021-07-16,7月17日上市公司重要公告集锦：片仔癀上半年净利11.14亿元 同比增28.85%,证券日报之声
816,2021-07-16,晚间重要公告2021年7月16日星期五,Wind
817,2021-07-16,片仔癀上半年净利增28.85% 产品曾被炒至1600元/粒,中新经纬
818,2021-07-16,7月16日中国铝业、片仔癀等11家公司公告出现利好,证券之星
819,2021-07-16,片仔癀业绩快报：上半年净利逾11亿，同比增近29%,澎湃新闻
820,2021-07-16,片仔癀发布业绩：半年净利11.14亿元，一粒药丸曾被炒至900元,AI财经社
821,2021-07-16,每经18点丨银保监会延长天安财产保险股份有限公司等六家机构接管期限；片仔癀业绩快报：上半年净利润同比增长28.85%,每日经济新闻
822,2021-07-16,片仔癀：2021年半年度净利润约11.14亿元，同比增加28.85%,每日经济新闻
823,2021-07-16,片仔癀(600436.SH)业绩快报：上半年净利增28.85%至11.14亿元,格隆汇
824,2021-07-16,片仔癀(600436.SH)披露半年度业绩快报 归母净利同比增28.85%至11.14亿元,智通财经
825,2021-07-16,片仔癀业绩快报：上半年净利11.14亿元 同比增29%,e公司
826,2021-07-16,片仔癀业绩快报：上半年净利润同比增长29%,财联社
827,2021-07-16,片仔癀：上半年实现净利润11.14亿元，同比增长28.85%（业绩快报）,Wind
828,2021-07-16,片仔癀今日大宗交易成交5.52万股，成交价434.36元溢价0.0%,Wind
829,2021-07-16,大佬们买什么？葛卫东钟爱网络安全、赵建平重仓科创板,Wind
830,2021-07-15,片仔癀发生大宗交易成交折价率13.67%,证券时报网
831,2021-07-15,片仔癀现1笔大宗交易 共成交499.90万元,新浪
832,2021-07-15,片仔癀今日大宗交易成交1.31万股，成交价381.6元折价13.67%,Wind
833,2021-07-15,上市以来股价暴涨50倍，一粒药卖到1500元，有价无货，片仔癀为何这么“牛”,金融投资报
834,2021-07-15,片仔癀锭剂 炒成“神药”害了谁？,证券日报
835,2021-07-13,"片仔癀现3笔大宗交易 共成交5,197.05万元",新浪
836,2021-07-13,片仔癀火爆，资本市场捧出来的生物医药行业还能走多远,第一财经
837,2021-07-13,2021年医药生物中期策略报告：需求长期景气 布局创新、医疗服务和消费主线,新浪
838,2021-07-12,"片仔癀现3笔大宗交易 共成交7,497.04万元",新浪
839,2021-07-12,片仔癀1粒590之后，做AI制药的“英矽智能”融资近17亿,美股研究社
840,2021-07-12,借势国潮，中药老字号淘金大健康风格迥异,华尔街见闻
841,2021-07-11,连续11年没赚到钱的广誉远，真能成为下一个片仔癀吗？,钛媒体
842,2021-07-09,中药企业股价又开始大涨！！！,制药网
843,2021-07-09,"片仔癀现1笔大宗交易 共成交1,081.27万元",新浪
844,2021-07-09,片仔癀财报大解读：21亿存货，撑起2700亿市值！,凤凰网
845,2021-07-09,A股中药板块强势崛起，多只个股股价上涨明显,制药网
846,2021-07-08,【投资价值评分】片仔癀,宏赫臻财
847,2021-07-08,评论|药中茅台，紧跟茅台，片仔癀分明是一个养殖企业,紫金财经
848,2021-07-08,冯柳、林园等明星私募重仓中药收益颇丰！提前锁定中期业绩增长股（附股）,红周刊
849,2021-07-08,"片仔癀现1笔大宗交易 共成交5,899.99万元",新浪
850,2021-07-08,对比片仔癀，云南白药掉队了吗？,阿尔法工场研究院
851,2021-07-08,下一个片仔癀？实地探访广誉远，工人称正在裁员，食堂的人少了一半 员工变动,ZAKER
