,2021-12-31,2021协同办公市场规模超500亿，为何大型政企更偏爱“收费”的360织语？,Ofweek
827,2021-06-15,电子行业2021年中期策略：国产化继续是行业主线 看好元器件和半导体设备,新浪
828,2021-06-15,60万股民懵了！700亿巨头闪崩跌停！有色钢铁大跌,Wind
829,2021-06-15,超级干货！下半年市场潜力板块和牛股来了，机构最新投资策略曝光，最看好的股票都在这里（附全名单）,e公司
830,2021-06-15,机构看好半导体龙头北方华创盘中创新高获主力青睐,第一财经
831,2021-06-15,半导体板块逆市飙涨 机构：全球市场强劲复苏 供需格局仍趋紧丨牛熊眼,第一财经
832,2021-06-15,解盘：顺周期低迷，LED、虚拟现实、半导体、消费电子略涨,Wind
833,2021-06-15,半导体设备板块走高龙头北方华创(002371.SZ)创历史新高,格隆汇
834,2021-06-15,北方华创早盘放量逼近涨停，股价创新高,Wind
835,2021-06-15,设备龙头北方华创大涨逾9%!芯片基金(159801)今日上涨2.57%,资本邦
836,2021-06-15,【行情】A股芯片股逆势走强，全志科技涨逾9%，设备龙头北方华创大涨8%，股价逼近逆势新高，长川科技、瑞芯微、北京君正、雅克科技等个股均逆势拉升,金十数据
837,2021-06-15,快讯：芯片股逆势走强北方华创股价逼近历史新高,财联社
838,2021-06-15,芯片股集体发力，全志科技大涨8%,Wind
839,2021-06-15,机械行业2021年中期投资策略：沐浴制造复苏 布局产业成长,新浪
840,2021-06-14,西南策略：芯片供需失衡的状况将延续到2022年,证券时报网
841,2021-06-13,【中航高端制造周报】光伏平价时代到来、硅料价格高企，低端产能将加速淘汰，看好高效电池设备龙头,先进制造观察
842,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
843,2021-06-11,晨会聚焦210611重点关注涂鸦智能的关键问题解析,国信研究
844,2021-06-10,【半导体投资日报】大基金减持国科微，北京君正控股股东质押214万股，机构称设备企业短中长期均迎成长机遇 减持股份,新浪
845,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
846,2021-06-10,第三代半导体午后走高，露笑科技、北方华创涨超5%,Wind
847,2021-06-10,北方华创大涨,新浪
848,2021-06-10,晨会聚焦210610重点关注固定收益专题,国信研究
849,2021-06-10,资金流向分析,新浪
850,2021-06-09,半导体景气风向标：旺季将至 景气持续,新浪
851,2021-06-09,半导体产业景气度仍将持续,大众证券报
852,2021-06-09,晨会聚焦210609重点关注培育钻石行业、再生铝行业、元宇宙专题、机械行业,国信研究
853,2021-06-08,海外半导体封测业停摆，券商建议关注国内厂商，这些标的获推荐,第一财经
854,2021-06-08,深度*行业*机械设备行业周报：重视万物互联时代下装备制造升级的历史机遇,新浪
855,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
856,2021-06-07,大基金二期再出手！联合华润微、重庆西永投75.5亿扩产晶圆,每日经济新闻
857,2021-06-07,机械行业一周解一惑(4)：如何看待下半年半导体设备投资机会,新浪
858,2021-06-07,北向资金净卖出额创近一个月新高，宁德时代遭大幅抛售超14亿元,Wind
859,2021-06-07,电子元件：鸿蒙OS2.0发布 AIOT发展加速,新浪
860,2021-06-07,重磅利空，万亿白马跌600亿！医美集体崩了,Wind
861,2021-06-07,电子行业周报：疫情影响全球封测产能 大陆企业供应链国产化趋势加快,新浪
862,2021-06-07,A股午盘综述：上证指数跌0.21%，资金热炒半导体产业链,Wind
863,2021-06-07,通信电子行业景气数据跟踪报告之五：全球与国内龙头的靓丽业绩持续印证半导体高景气度,光大证券
864,2021-06-07,半导体板块飙涨，有芯片价格涨至5倍，行业供需格局或仍趋紧丨牛熊眼,第一财经
865,2021-06-07,半导体板块高开高走，北方华创冲击涨停,Wind
866,2021-06-07,媒体热炒“芯片荒”，半导体板块连续拉升,Wind
867,2021-06-07,券商晨会观点速递,第一财经
868,2021-06-07,东亚前海电子：二次疫情影响封测产能，鸿蒙打造全场景生态,新浪
869,2021-06-06,【太平洋机械】机械行业周报20210606：光伏SNEC在上海召开，行业新技术持续迭代,太平洋机械大讲堂
870,2021-06-06,【中航高端制造周报0606】碳交易、移动能源双千亿市场正在形成，挖掘碳中和细分赛道龙头,先进制造观察
871,2021-06-06,【兴证电子】周报：继续看好半导体设备和材料，产能释放+制程跃迁，元器件景气度将再次上行,兴证电子谢恒团队
872,2021-06-05,北向资金扫货A股88.88亿，却出逃恒瑞医药18亿、长春高新7亿，医药股怎么了？,21世纪经济报道
873,2021-06-04,2021年5月陆股通持仓分析：北上资金对哪些行业的偏好在起变化？,新浪
874,2021-06-04,半导体设备及材料中期策略：国产链加速起航 长期成长性可期,新浪
875,2021-06-04,国盛证券：北方华创（002371.SZ）国内领先的半导体高端装备及一体化解决方案供应商，首予“买入”评级,智通财经
876,2021-06-04,国盛证券：半导体行业国产链加速起航，长期成长性可期,证券时报网
877,2021-06-04,资金流向分析,新浪
878,2021-06-03,26股获买入评级最新:北方华创,中财网
879,2021-06-03,北方华创(002371)首次覆盖报告：国产设备龙头厂商 进入放量加速起飞,新浪
880,2021-06-03,兴业证券：5月金股组合盈利5.83% 6月荐股名单出炉,新浪
881,2021-06-03,华为鸿蒙系统的应用落地，哪些公司是纯正概念？国产软件国产,新浪
882,2021-06-02,北方华创(002371.SZ)2021年度非公开发行股票申请获得中国证监会受理,智通财经
883,2021-06-02,晨会聚焦210602重点关注现代牙科、商贸零售、机械、海外教育、港股、房地产、白酒、拓邦股份、洋河股份、美团,国信研究
884,2021-06-02,融资客青睐9股，永辉超市买入占比高达54.22%,Wind
885,2021-06-02,晶圆厂资本开支上行，关注设备和材料国产化机会,招商证券
886,2021-06-02,公募布局高景气赛道，寻找新的上涨“合力”,Wind
887,2021-06-01,科技股连掀涨停潮，科创50指数创四个月新高,第一财经
888,2021-06-01,高端制造与科技行业2021年中期投资策略：聚焦数字化和进口替代 优选估值与成长匹配的标的,新浪
889,2021-06-01,A股资金流向（6月1日）：周期股重获资金青睐，券商龙头遭抛售,Wind
890,2021-06-01,热点淘金：午后市场震荡反弹 板块轮动引关注！,巨丰财经
891,2021-06-01,A股收盘综述：上证指数6月开门红，三胎板块走俏、周期股强力反弹,Wind
892,2021-06-01,解盘：科技股强势，光刻胶、二胎、摄像头领涨,Wind
893,2021-06-01,大基金概念板块大涨 北方华创涨幅居前,新浪
894,2021-06-01,北方华创冲击涨停，中芯国际概念板块直线上冲,Wind
895,2021-05-31,北向资金再度大幅净买入超52亿元，东方雨虹净买入额创历史新高,Wind
896,2021-05-31,电子行业周报：三大角度分析LCD面板能否变成弱周期行业？,国海证券
897,2021-05-31,机械设备行业周报：量产HJT技术日趋成熟 关注出口链投资机会,新浪
898,2021-05-31,电子行业周报：半导体景气持续业绩确定 面板价格保持上升,华安证券
899,2021-05-31,芯片股逐渐活跃，韦尔股份、中兴通讯、北方华创、兆易创新、华润微等纷纷上扬,Wind
900,2021-05-31,【行情】第三代半导体板块开盘拉升，露笑科技涨超8%，聚灿光电、北方华创、智光电气、天富能源跟涨,金十数据
901,2021-05-30,【兴证电子】周报：半导体设备材料进入快速成长周期,兴证电子谢恒团队
902,2021-05-30,【高端制造周报0530】5月挖掘机预估销量同比增长-13%，关注龙头的中长期发展,先进制造观察
903,2021-05-30,半导体行业报告：5G持续落地+国产替代加速 看好前瞻布局射频前端滤波器核心技术相关标的,新浪
904,2021-05-29,创新高！北向资金全周净流入超468亿元，重点加仓酿酒板块，贵州茅台占一半,21世纪经济报道
905,2021-05-28,中银证券--机械设备：Applied Materials 21Q2业绩点评及电话会议纪要-处于最大数字化变革浪潮早期，半导体行业及设备行业迎来最强劲和持续增长【行业研究】,金融界股吧
906,2021-05-27,【半导体投资日报】看好半导体国产化进程，材料和设备都还有很大的提升空间，关注细分行业增量,新浪
907,2021-05-27,A股资金流向（5月27日）：资金大幅涌入芯片龙头股,Wind
908,2021-05-27,5月27日热点题材概念分析：光刻胶、国家大基金持股领涨,新浪
909,2021-05-27,北方华创大涨,新浪
910,2021-05-27,和讯SGI公司|中微公司SGI分数稳步提升 登上和讯SGI总榜单TOP30及新技术榜单TOP10,和讯
911,2021-05-27,策略专题报告：“百周年”行情电话会议纪要,新浪
912,2021-05-25,太平洋--机械行业周报：叉车、工业机器人继续高增长，制造业投资持续超预期【行业研究】,金融界股吧
913,2021-05-25,电子行业：建议关注AR／VR产业链投资机会,新浪
914,2021-05-25,【天风Morning Call】晨会集萃20210525,天风研究
915,2021-05-24,科技硬件行业周报：AR新进展广受关注,新浪
916,2021-05-24,电子行业：半导体设备受益下游扩产景气 继续看好元器件和面板,新浪
917,2021-05-24,未来5年最具潜力的4大半导体龙头盘点，半导体国产化替代加速,电子产品世界
918,2021-05-24,晨会聚焦210524重点关注社会服务、海外银行、传媒、医药、卓胜微,国信研究
919,2021-05-23,【高端制造周报0523】新能源汽车轻量化趋势明显，压铸机头部企业有望受益,先进制造观察
920,2021-05-22,“缺芯”调查：中下游电子厂“有单接不了” 4S店进口车延迟交付,Wind
921,2021-05-22,【民生周末重点推荐】首席看电子：业绩增长强劲，电子行业景气延续——电子行业2020年报和2021一季报总结,MS研究
922,2021-05-21,光大证券--半导体4月跟踪报告：半导体2020及21Q1业绩靓丽，景气高企【行业研究】,金融界股吧
923,2021-05-19,北方华创：目前订单情况良好；拟在北京新建生产基地,e公司
924,2021-05-19,北方华创离中国的“应用材料”还有多远？,第一财经
925,2021-05-19,晨会聚焦210519重点关注华测导航、银行理财、汽车汽配、房地产、纺织服装、扬农化工、中兵红箭、华峰化学、中国移动,国信研究
926,2021-05-19,芯片未来将在材料和封装上创新，关注五个投资方向,方正证券
927,2021-05-18,中航证券--高端制造行业周报：上游原料涨价趋势形成，预计2021Q2部分反映到企业报表【行业研究】,金融界股吧
928,2021-05-18,国家大基金拟再次减持芯片龙头超12亿,Wind
929,2021-05-17,[路演]北方华创：重点推进集成电路核心工艺设备研发和验证进程,全景网
930,2021-05-17,设备龙头北方华创85亿“广撒网” 成果待检验,新浪
931,2021-05-17,[路演]北方华创：研发投入持续加大 营收与净利齐升,全景网
932,2021-05-17,北方华创大涨,新浪
933,2021-05-17,半导体板块快速拉高，华峰测控涨超9%,Wind
934,2021-05-16,【中航高端制造周报0516】上游原料涨价趋势形成，预计2021Q2反映到企业财务报表,先进制造观察
935,2021-05-14,机器人：公司真空机械手产品的下游行业主要集中在半导体工艺设备厂商，客户主要以北方华创、中微为主,每日经济新闻
936,2021-05-13,电子行业2020年年报暨2021年一季报总结：淡季不淡 高景气下电子行业表现亮眼,新浪
937,2021-05-13,科技硬件周报(5/1)：A股年报季收官 苹果业绩会广受关注,新浪
938,2021-05-13,8股今日获机构买入评级,证券时报网
939,2021-05-13,晨会纪要2021年第85期,国海证券
940,2021-05-12,【公司点评】北方华创：2020年业绩超预期，半导体设备龙头快速崛起,吉森电子研究
941,2021-05-12,国海证券维持北方华创增持评级，年报点评：2020年业绩超预期，半导体设备龙头快速崛起,每日经济新闻
942,2021-05-12,半导体指数午后垂直拉升，富满电子涨超15%,Wind
943,2021-05-12,【行情】华为海思概念午后拉升，润和软件此前涨停，诚迈科技涨超12%，泰晶科技、浩云科技、北方华创跟涨,金十数据
944,2021-05-12,国海证券：北方华创(002371.SZ)电子工艺装备驱动业绩增长，维持“增持”评级,智通财经
945,2021-05-12,北方华创离中国的“应用材料”还有多远？,第一财经
946,2021-05-11,深度*行业*半导体设备行业2021年中期策略：受益全球全面数字化 设备采购周期拉长,新浪
947,2021-05-11,深度*行业*机械设备行业-KLA 21Q1业绩点评及电话会议纪要：半导体制程控制持续强势 GEN5产品促增长,新浪
948,2021-05-11,【国元机械】机械行业2020年年报及2021年一季报总结：高端制造景气度延续，一季度强劲复苏,国元高端装备
949,2021-05-11,天风研究 | 2020年报·2021一季报总结,天风研究
950,2021-05-10,科技行业FY20&1Q21业绩回顾：半导体设计／制造板块迎来高景气周期,新浪
951,2021-05-10,半导体行业周报：海外半导体一季报解读 高业绩指引高景气,新浪
952,2021-05-10,【行情】半导体及元件板块走弱，南大光电跌近6%，北方华创、中晶科技、兆易创新、紫光国微跟跌,金十数据
953,2021-05-10,A股午盘综述：上证指数涨0.06%，再现“煤飞色舞”,Wind
954,2021-05-10,芯片股持续疲软，沪硅产业跌逾5%,Wind
955,2021-05-10,【太平洋机械】机械行业周报20210509：服务机器人企业业绩亮眼，看好龙头企业持续成长,太平洋机械大讲堂
956,2021-05-09,【兴证电子】周报：AI带动智能终端浪潮，国产化仍是行业主线,兴证电子谢恒团队
957,2021-05-08,5月机会：赚钱效应逐渐回升三大行业被集体看好！,金融投资报
958,2021-05-07,北方华创：去年芯片方面研发投入16.08亿元，占营收26.56%,Wind
959,2021-05-06,民生证券给予北方华创推荐评级：下游需求旺盛拉动业绩，定增募资打开长期空间,每日经济新闻
960,2021-05-06,电子｜淡季不淡，高景气下电子行业表现亮眼：2020年年报暨2021年一季报总结,中信证券研究
961,2021-05-01,东兴证券维持北方华创强烈推荐评级：业绩增长符合预期，定增助力半导体设备扩产,每日经济新闻
962,2021-04-30,【华安机械】北方华创：2020全年营收符合预期，2021Q1实现开门红——2020年报&2021一季报点评,机械倩影
963,2021-04-30,东方财富证券维持北方华创增持评级，2020年报及2021年一季报点评：在手订单充裕，业绩稳步增长,每日经济新闻
964,2021-04-30,华安证券维持北方华创买入评级：2020全年营收符合预期，2021Q1实现开门红,每日经济新闻
965,2021-04-30,华西证券：北方华创Q1业绩大幅增长，产品竞争力不断提升,Wind
966,2021-04-30,405股获券商买入评级，桐昆股份目标涨幅达107.17%,Wind
967,2021-04-30,华西证券维持北方华创买入评级：Q1业绩大幅增长，产品竞争力不断提升,每日经济新闻
968,2021-04-30,北方华创(002371)：在手订单充裕 业绩稳步增长,新浪
969,2021-04-29,半导体公司扎堆发布季报 士兰微一季度净利飙升77倍,和讯
970,2021-04-29,7连板！业绩暴涨157倍，牛散大举抄底，A股最靓仔还是拉高出货？,Wind
971,2021-04-29,平安证券：北方华创（002371.SZ）半导体设备加速增长，维持“推荐”评级,智通财经
972,2021-04-29,北方华创(002371)：合同负债大幅增长 定增85亿积极扩产 偿债能力下降,国金证券股份有限公司
973,2021-04-29,北方华创(002371)年报点评：半导体设备加速增长 定增募资提升研发和产业化实力,新浪
974,2021-04-28,北方华创(002371.SZ)一季度净利升175.27%至7290.82万元,格隆汇
975,2021-04-28,北方华创(002371.SZ)2020年净利升73.75%至5.37亿元 拟10派1.09元,格隆汇
976,2021-04-28,北方华创(002371.SZ)年度归母净利同比增长73.75% 拟10派1.09元,智通财经
977,2021-04-28,北方华创：2020年净利润同比增长73.75%,Wind
978,2021-04-28,北方华创：一季度净利润同比增长175.27%,Wind
979,2021-04-28,高端制造与科技行业事件点评：四部委明确国家鼓励的集成电路企业所需满足的条件,新浪
980,2021-04-28,筹码连续集中股名单（附股）,证券时报网
981,2021-04-28,风享 · TMT 一周谈 | 当下科技板块如何布局？,天风研究
982,2021-04-27,晶圆代工需求强劲 客户支持业务增长显着,财富动力网
983,2021-04-26,华安证券--电子行业周报：持续聚焦一季报确定的面板、半导体板块【行业研究】,金融界股吧
984,2021-04-24,缺芯逻辑成科技股投资理由 诺安成长蔡嵩松坚守半导体 加仓北方华创,红周刊
985,2021-04-24,浙商机械 邱世梁‖王华君 挖掘机：预计4月销量同比增长约10%，全年增速20%以上,高端装备制造及材料
986,2021-04-23,和众汇富：分析一下国内半导体设备龙头—北方华创,云掌财经
987,2021-04-23,【行情】第三代半导体板块异动拉升，富满电子涨超8%，扬杰科技、北方华创、易事特、捷捷微电跟涨,金十数据
988,2021-04-23,芯片股表现活跃，富满电子领涨8%,Wind
989,2021-04-23,上调评级至买入策略选股（4月23日）,Wind
990,2021-04-23,195股获券商买入评级 天下秀目标涨幅达141.51%,Wind
991,2021-04-22,超9成盈利、27家业绩翻番，半导体迎最好时期,Wind
992,2021-04-22,拟募资85亿！北方华创扩产半导体装备,LED在线
993,2021-04-22,筹码集中绩优滞涨股来了！芯片龙头募资数十亿扩产,Wind
994,2021-04-22,千亿级芯片扩产大战打响，国产设备企业拟募资85亿应战,国际电子商情
995,2021-04-22,北方华创拟募资不超85亿，布局新技术提升集成电路设备技术水平等,资本邦
996,2021-04-22,北方华创拟定增募资85亿 加码半导体装备生产研发,上证报
997,2021-04-21,北方华创(002371.SZ)回购注销2.5万股限制性股票,智通财经
998,2021-04-21,北方华创：拟定增募资不超85亿元,Wind
999,2021-04-21,【半导体投资日报】一季度我国芯片相关企业注册量增302%，阿斯麦净利润增240%,新浪
1000,2021-04-20,【半导体投资日报】关注未来2-3年成长确定性强 向上空间较大的细分领域,新浪
1001,2021-04-20,3巨头联手大动作，概念龙头瞬间涨停（附股）,Wind
1002,2021-04-20,半导体公司一季度业绩集体预增,Wind
1003,2021-04-19,半导体动态分析：关注半导体龙头成长机会、全面扩产带来国产机遇,新浪
1004,2021-04-19,信达证券--电子行业深度报告：追根溯源，探讨半导体缺货的危与机【行业研究】,金融界股吧
1005,2021-04-16,国家队减持2800亿芯片龙头，这一内因是关键,Wind
1006,2021-04-16,中芯国际遭减持22亿，大基金持仓A股最新名单出炉 减持股份,Wind
1007,2021-04-15,工信部力挺又被高瓴盯上，智能制造要火,证券之星
1008,2021-04-15,工信部力挺，又被高瓴盯上，智能制造要火？,财联社
1009,2021-04-14,半导体投资日报|车用芯片再遭冲击短缺情况进一步加剧 看好两方向,新浪
1010,2021-04-14,亮眼一季报业绩催化股价表现，半导体龙头获公募基金建仓,第一财经
1011,2021-04-14,面板：拐点已至,半导体风向标
1012,2021-04-14,159股获券商买入评级，北方华创目标涨幅达92.41%,Wind
1013,2021-04-13,4月13日晚间重要行业研究汇总(附股),中金在线
1014,2021-04-13,信达证券--电子行业周报：半导体景气度高启，关注LED驱动芯片投资机遇【行业研究】,金融界股吧
1015,2021-04-13,华安证券--电子行业周报：关注一季报确定的面板、半导体板块【行业研究】,金融界股吧
1016,2021-04-13,78股获券商买入评级 长盈精密目标涨幅达87.34%,Wind
1017,2021-04-12,德邦证券--半导体设备中标：缺芯背景下，国产设备迎来验证收获期【行业研究】,金融界股吧
1018,2021-04-12,TCL百亿定增建8.6代产线，IT面板竞争格局影响几何,吉森电子研究
1019,2021-04-12,机械行业周报：电池片扩产及异质结双轮驱动 设备端显着受益,新浪
1020,2021-04-12,机械设备行业周报：关注光伏、锂电、检测行业趋势性机会 逢低配置新兴装备龙头,新浪
1021,2021-04-12,2021年Q1北方华创归母净利同增155%-185% 华西证券：进入加速发展期,金融界
1022,2021-04-12,华西证券：北方华创（002371.SZ）Q1业绩大幅增长，维持“买入”评级　,智通财经
1023,2021-04-12,半导体板块全线上扬，一季报预喜个股涨幅居前,Wind
1024,2021-04-12,国金证券--北方华创：2021Q1业绩增速超预期，规模效应初显【公司研究】,金融界股吧
1025,2021-04-12,华西证券维持北方华创买入评级：Q1业绩大幅增长，设备龙头平台化效应逐步显现,每日经济新闻
1026,2021-04-11,【华西电子孙远峰团队-持续推荐北方华创】Q1业绩大幅增长，设备龙头平台化效应逐步显现,远峰电子
1027,2021-04-11,北方华创：2020年净利润5.37亿元 同比增长73.75%,中证网
1028,2021-04-11,北方华创(002371.SZ)预计一季度归母净利同比增长155% 至185%,智通财经
1029,2021-04-11,北方华创：一季度净利预增155%-185%,Wind
1030,2021-04-11,北方华创(002371.SZ)业绩快报：2020年度净利润升73.75%至5.37亿元,格隆汇
1031,2021-04-11,北方华创(002371.SZ)一季度净利润预增155%-185%,格隆汇
1032,2021-04-11,北方华创：2020年净利润同比增长73.75%,Wind
1033,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
1034,2021-04-09,中信证券：半导体板块当前景气复苏，后续国产替代逻辑加强,Wind
1035,2021-04-09,电子｜看好半导体及高景气度细分板块的成长：2021年二季度投资策略,中信证券研究
1036,2021-04-08,半导体动态|缺芯延续，需求持续拉动，上游设备迎来3-5年黄金期,新浪
1037,2021-04-07,汽车“缺芯”或持续一年以上，国内细分龙头替代空间巨大（附股）,第一财经
1038,2021-04-07,盛剑环境登陆资本市场：产品聚焦泛半导体废气治理，或受益于“碳中和”,每日经济新闻
1039,2021-04-06,盛剑环境登陆资本市场:主营废气治理 或受益于碳中和,每日经济新闻
1040,2021-04-06,半导体动态：芯片股集体新高！韦尔股份净利增102%，新洁能增199%,新浪
1041,2021-04-06,电子元件行业周报：从电子硬件视角看汽车智能化机遇,新浪
1042,2021-04-06,王牌投研|核心资产如期反弹 距阻力位还有多远？这只票被机构盯上,新浪
1043,2021-04-06,科技硬件行业周报：“小米造车”广受关注,新浪
1044,2021-04-06,机械设备行业：挖机库存见底预示旺季行情 看好HJT产业体系成长,新浪
1045,2021-04-06,东莞证券--电子行业事件点评：半导体行业景气度高企，台积电、中芯国际加码扩产【行业研究】,金融界股吧
1046,2021-04-06,电子行业-行业周报：华为2020年业绩出炉，数字化智能化带来行业新机遇,国信研究
1047,2021-04-05,【华西电子孙远峰团队-持续看好半导景气】半导体景气度持续，或逐渐步入业绩兑现期,远峰电子
1048,2021-04-05,板块拾金| 半导体芯片大涨，一季报行情来袭，节后机会这么把握！,第一财经
1049,2021-04-05,【兴证电子】周报：一季报催化，元器件、半导体和面板景气持续上行,兴证电子谢恒团队
1050,2021-04-02,券商资管3月公募产品成绩分化明显：最高赚7%，最低亏损10%！“估值”成新焦点,每日经济新闻
1051,2021-04-02,隔夜美股芯片股大涨，A股芯片ETF继续高开,Wind
1052,2021-04-02,芯片概念股再度爆发 中晶科技等多股涨停封板,新浪
1053,2021-04-02,【行情】半导体芯片开盘走高，澄天伟业拉升涨近17%，晶丰明源、新洁能、立昂微、北方华创、瑞芯微等涨超5%,金十数据
1054,2021-04-02,半导体板块持续活跃，新洁能大涨7%,Wind
1055,2021-04-02,中芯国际为留人，送CEO一套2000万住房，更有薪水涨4倍,Wind
1056,2021-04-01,芯片厂涨价消息传来，晶圆缺货延续产业链受益丨牛熊眼,第一财经
1057,2021-04-01,中芯国际等大厂纷纷跟进涨价，机构称缺“芯”还得持续一年以上,Wind
1058,2021-04-01,【研报掘金】缺货涨价持续半导体行业景气上行再次确认 关注产业链相关投资机会,证券时报网
1059,2021-04-01,光大证券--通信电子行业景气数据跟踪报告之四（2021年3月）：面板和MLCC涨价持续，上游半导体产能紧缺【行业研究】,金融界股吧
1060,2021-04-01,产业链涨价潮持续，芯片概念股爆发，士兰微等涨停,证券之星
1061,2021-03-31,【银河晨报】3.31丨石化：油价21Q1大幅上涨，看好行业单季度业绩表现,中国银河证券研究
1062,2021-03-30,北方华创(002371.SZ)副总经理龙小鸽因退休辞去副总经理职务 董监高成员变化,智通财经
1063,2021-03-30,北方华创：公司副总经理辞职 董监高成员变化,Wind
1064,2021-03-30,张坤、刘格菘……顶流基金经理“隐形重仓股”曝光,Wind
1065,2021-03-30,机械行业周报：制造业研发费用加计扣除比例提升 释放研发及资本开支活力,新浪
1066,2021-03-30,中国银河--电子行业：汽车缺芯再发酵，半导体设备需求持续旺盛【行业研究】,金融界股吧
1067,2021-03-30,向深化改革要活力,经济日报
1068,2021-03-29,电子行业周报：一季报披露将近 面板和功率业绩确定性高,华安证券
1069,2021-03-29,半导体行业周报：MAGNACHIP与智路资本达成私有化收购协议 建议关注行业格局变化,新浪
1070,2021-03-29,科技硬件行业周报：关注英特尔“IDM2.0”愿景,新浪
1071,2021-03-29,机械设备行业：一季度工程机械预计维持高增 关注HJT关键中试线进度,新浪
1072,2021-03-26,面板研究框架 · 重读,半导体风向标
1073,2021-03-25,光伏长期风口 六大产业链龙头股布局正当时,证券时报
1074,2021-03-25,芯片板块复苏，思瑞浦涨超5%,Wind
1075,2021-03-25,陆股通重仓指数翻红，桐昆股份、恒力石化、华域汽车升超5%,Wind
1076,2021-03-24,北方华创：截止到2021年3月19日，公司股东户数68521户,每日经济新闻
1077,2021-03-23,机械设备行业：工程机械景气延续 逢低布局新兴行业龙头,新浪
1078,2021-03-22,供应紧张进口芯片涨价20% 晶圆制造和上游半导体设备将受益丨牛熊眼,第一财经
1079,2021-03-22,电子元件行业周报：从“碳中和”看电子行业投资机会,新浪
1080,2021-03-22,电子行业周报：芯片持续供不应求 继续看好被动元器件和面板景气,新浪
1081,2021-03-22,太平洋--机械行业周报：2月叉车翻倍以上增长，自动化投资需求强劲【行业研究】,金融界股吧
1082,2021-03-21,半导体周报：SEMI预测中国IC晶圆产能今年将至少增长17%,新浪
1083,2021-03-21,科技硬件行业周报：SEMICON CHINA于上海召开 受到广泛关注,新浪
1084,2021-03-20,【银河周知】强化国家战略科技力量，把握新一轮科技股布局良机,中国银河证券研究
1085,2021-03-17,面板股价变化的背后,半导体风向标
1086,2021-03-17,芯片传来大消息，大资金杀入，看低估值高增长股名单,Wind
1087,2021-03-17,芯片制造关键设备再突破，概念股发力走高，苏州固碍等涨停,证券时报网
1088,2021-03-17,芯片股集体回暖，兆易创新、韦尔股份均涨超5%,Wind
1089,2021-03-17,半导体板块复苏，兆易创新、新洁能、韦尔股份、卓胜微、北方华创涨幅居前,Wind
1090,2021-03-17,【行情】A股半导体板块走高，苏州固锝涨停，中晶科技涨3.76%，帝科股份、北方华创等跟涨,金十数据
1091,2021-03-16,北方华创：目前公司订单情况良好，生产经营正常,每日经济新闻
1092,2021-03-16,"北方华创：截至2021年3月10日，公司股东户数67,656户",每日经济新闻
1093,2021-03-16,平安证券--智能制造行业双周观点：建议关注十四五规划重点支持产业的长期机会【行业研究】,金融界股吧
1094,2021-03-16,电子行业周报：中美半导体协会成立“工作组” OPPO FIND X3系列发布,新浪
1095,2021-03-15,芯片股集体下杀，立昂微跌超7%,Wind
1096,2021-03-12,深度*行业*半导体设备行业2020年总结：行业强劲增长20% 2021 年持续向好,新浪
1097,2021-03-12,股东拟减持不超3%股份，两只大基金概念股大跌 拟减持股份,第一财经
1098,2021-03-12,太平洋--最新观点：国际油价上涨、国内政策加码，重点推荐油气装备产业【行业研究】,金融界股吧
1099,2021-03-11,A股大幅反弹！芯片传来大消息 港股半导体股飙涨,证券时报
1100,2021-03-11,芯片刚刚传来大消息，港股半导体股瞬间飙涨！中一签大赚15万，1万股东狂欢，国产CAD龙头毛利率爆表,金融界
1101,2021-03-10,半导体行业点评报告：信越硅片提价 全球半导体景气度持续攀升,新浪
1102,2021-03-09,主力资金：尾盘资金疯狂抛售8股 1亿资金抢筹1股（附名单）,新浪
1103,2021-03-09,机械行业周报(2021年3月第1周)：关注“两会”3.65万亿元专项债；持续力推工程机械龙头,新浪
1104,2021-03-09,电子元器件行业动态跟踪：光刻机助力中芯国际产业链产能快速扩张,新浪
1105,2021-03-08,西南证券--策略专题报告：后抱团时期的投资机会【投资策略】,金融界股吧
1106,2021-03-08,东吴证券--电子行业周报：中芯国际获批设备许可，助推本土IC生态完善【行业研究】,金融界股吧
1107,2021-03-08,科技硬件行业周报(3／6)：投资人关注中芯国际批量采购协议变化,新浪
1108,2021-03-08,行业动态点评：半导体硅片龙头提价 晶圆产业链景气度持续高位,新浪
1109,2021-03-07,【东吴电子王平阳团队】半导体周报：中芯国际获批设备许可，助推本土IC生态完善,东吴电子研究
1110,2021-03-07,【太平洋机械】机械行业周报20210306：国际油价上涨、国内政策加码，重点推荐油气装备产业,太平洋机械大讲堂
1111,2021-03-07,全球芯片仍然大缺货，晶圆产能持续扩张带来哪些机会？,21世纪经济报道
1112,2021-03-05,北方华创：公司半导体设备均100%自主研发,Wind
1113,2021-03-05,北京市属国企资产总额突破6万亿－国务院国有资产监督管理委员会,国资委
1114,2021-03-05,光大证券--电子行业半导体2月跟踪报告：中芯国际许可证或已落地，功率半导体景气度不减【行业研究】,金融界股吧
1115,2021-03-04,3月4日晚间重要行业研究汇总(附股),中金在线
1116,2021-03-04,【行情】第三代半导体持续走低，新洁能、士兰微跌逾8%，华峰测控、北方华创、华润微、闻泰科技等跟跌,金十数据
