,2021-12-31,区域性银行数字化转型“样本”：上市城商行发力手机银行，成绩几何？,零壹财经
461,2021-08-24,规模、效益、质量稳步提升 江苏银行交出上市以来最靓半年报,金融界
462,2021-08-24,江苏银行半年报：上半年净利润101.99亿元，同比增长25.20%,Wind
463,2021-08-24,江苏银行半年报：上半年净利润102亿元 同比增长25.2%,财联社
464,2021-08-24,银行理财公司新发产品加配权益类，保险机构涉足公募基金代销,新浪
465,2021-08-24,A股融资融券日报：两融余额增加174.98亿元（8月23日）,Wind
466,2021-08-24,135股获券商买入评级，金丹科技目标涨幅达90.26%,Wind
467,2021-08-24,江苏银行(600919)：根植江苏 深耕小微的六“好”银行,新浪
468,2021-08-23,银行本周聚焦：8家银行中报业绩如何？承销规则修订有何影响？,新浪
469,2021-08-23,深度*行业*银行业周报：7月经济数据低于预期 稳增长与防风险并重,新浪
470,2021-08-23,涅盘重生 苏宁易购的“主场战斗”,e公司
471,2021-08-23,华夏幸福后中融信托又踩了苏宁！22.95亿！,新浪
472,2021-08-23,9月银行策略：经济下行期 坚守优质银行,新浪
473,2021-08-23,银行业投资观察：中报乐观 经营稳定,新浪
474,2021-08-23,江苏银行(600919)：零售业务潜力无限 资产质量无懈可击,新浪
475,2021-08-21,破冰跨境托管，江苏银行成首家获批QFII资格的城商行，去年营收净利双增长,华夏时报
476,2021-08-21,银行“双模式”入局数字人民币运营 中小银行参与试点,新浪
477,2021-08-20,快讯｜江苏银行：因任期届满 独立董事余晨辞职 董监高成员变化,财经网
478,2021-08-20,江苏银行：独立董事任期届满辞职,Wind
479,2021-08-20,A股融资融券日报：两融余额减少15.59亿元（8月19日）,Wind
480,2021-08-20,文件起草人解读央行首批绿色金融标准：4类机构强制披露,Wind
481,2021-08-20,城商行破冰QFII托管业务：中小银行跨境托管业务迎新机遇,金融时报
482,2021-08-19,新增百亿“弹药”，苏宁易购打响“翻身仗”,搜狐
483,2021-08-19,银行板块走弱，杭州银行跌近4%，成都银行、南京银行、江苏银行跟跌。,新浪
484,2021-08-19,A股融资融券日报：两融余额增加49亿元（8月18日）,Wind
485,2021-08-18,获百亿新增授信 新苏宁易购再出发,中国青年网
486,2021-08-18,六家银行新增百亿授信，金融机构为什么“组团”支持苏宁易购？,投资时报
487,2021-08-18,6家银行新增百亿授信，苏宁易购新战略再获资金支持,Wind
488,2021-08-18,苏宁易购新增百亿授信，来自江苏银行、南京银行、建设银行、工商银行、农业银行和中国银行,金十数据
489,2021-08-18,聚焦现金服务保障，江苏银行筑牢战疫安全防线,金融界
490,2021-08-18,兴海通顺状告江苏银行，因金融借款合同纠纷 诉讼纠纷,乐居财经
491,2021-08-18,华西股份(000936)：今年累计处置江苏银行股票1.82亿股,生意社
492,2021-08-18,A股早报2021年8月18日星期三,Wind
493,2021-08-18,股海导航 8月18日沪深股市公告提示,新浪
494,2021-08-17,8月17日上市公司晚间公告速递,新浪
495,2021-08-17,华西股份：累计处置江苏银行股票1.82亿股 交易额11.93亿元,e公司
496,2021-08-17,精准服务，金融“活水”持续浇灌实体经济,江苏网
497,2021-08-16,【银华基金】交易日报 2021-08-16,新浪
498,2021-08-15,周末影响A股十大事件来了！,Wind
499,2021-08-13,QFII托管行阵营扩容 首家城商行纳入 中小行布局跨境托管加速,财联社
500,2021-08-13,破冰QFII托管，江苏银行成首家获得该资质的城商行,第一财经
501,2021-08-13,江苏银行(600919.SH)提名季金松为董事候选人,智通财经
502,2021-08-13,增值、普惠、便捷！江苏银行直销银行APP升级更名为“天天理财”,金融界
503,2021-08-13,江苏银行获批城商行首家QFII托管资格，开启跨境托管新征程,金融界
504,2021-08-13,商业银行行业：商业银行业日报(2021.8.12),新浪
505,2021-08-12,构建特色场景金融，江苏银行打造开放银行新引擎,中国网
506,2021-08-12,宁沪高速加速投资形成第二增长曲线 大规模举债理财投资财务费年超4亿,长江商报
507,2021-08-11,江苏银行的高质量发展飞轮：与先进制造互哺共进,和讯
508,2021-08-11,深度*行业*银行业2季度数据点评：单季净利润增长23% 看好中报行情,新浪
509,2021-08-11,银保监会2季度数据点评：银行业利润同比高增11% 资产质量保持优异,新浪
510,2021-08-10,做好先进制造的“加油站”，江苏银行与江苏制造共谋高质量发展,搜狐
511,2021-08-10,江苏银行收报6.91元涨7.0% 总市值1020.6亿元,乐居财经
512,2021-08-10,【行情】银行板块持续拉升，杭州银行涨近8%，江苏银行、南京银行、宁波银行跟涨,金十数据
513,2021-08-10,江苏银行股价涨5.4% 现报6.81元,乐居财经
514,2021-08-10,银行股持续回暖，杭州银行涨近5%,Wind
515,2021-08-10,银行角度看央行2季度货币报告：结构和利率维度拆解6月贷款利率环比下降,新浪
516,2021-08-10,北京银保监局：对江苏银行北京上地支行作出行政处罚，罚款150万元,Wind
517,2021-08-09,银行股集体反弹！短期行情要来了？,Wind
518,2021-08-09,江苏银行北京上地支行被罚150万：票据承兑业务严重违反审慎经营规则 金融监管处罚,新浪
519,2021-08-09,票据承兑业务严重违规，江苏银行一支行被罚150万 金融监管处罚,中新经纬
520,2021-08-09,银行行业研究周报：长三角城商行大PK,新浪
521,2021-08-09,江苏银行股价涨5.3% 现报6.59元,乐居财经
522,2021-08-09,江苏银行：9月9日将全额赎回“11江苏银行”,Wind
523,2021-08-08,宁沪高速审议通过延长增持江苏银行授权期限议案,上证报
524,2021-08-08,江苏银行大股东将出手增持1.6亿股,每经网
525,2021-08-08,加码1.6亿股！股东对这家银行是“真爱”,金融界
526,2021-08-08,银行行业周报：社融投放趋于集中 关注全行业H1数据披露,新浪
527,2021-08-08,商业银行行业：商业银行业日报,新浪
528,2021-08-07,隋田力“资本雷阵”一隅：*ST华讯被“围猎”律师称或为融资性贸易,经济观察报
529,2021-08-07,银行股现止跌迹象，已有资金悄然布局,Wind
530,2021-08-06,申港证券首予江苏银行买入评级，江苏银行：与江苏省区域经济同频共振相伴成长,每日经济新闻
531,2021-08-05,银行行业点评：今年银行资本补充有哪些新变化？,新浪
532,2021-08-05,江苏银行北京石景山支行举办“小小 银行家”现金宣传活动,贝壳财经
533,2021-08-04,又一个中招了！隋田力“专网通信贸易网”受害者爆出第10家公司 ！,21世纪经济报道
534,2021-08-04,江苏银行综合理财能力连续22个季度 排名城商行首位,中国经营报
535,2021-08-04,江苏银行“无界数字信用卡”荣获“2021年度中国最佳信用卡产品”奖,金融界
536,2021-08-04,苏银理财“现金”抢夺战：大幅费率减免 集中持仓永续债 七日年化收益超3%冲榜丨机警理财日报（8月4日）,21世纪经济报道
537,2021-08-03,商业银行行业：商业银行业日报,新浪
538,2021-08-02,北向资金7月动向：重点进攻高景气成长制造主线，周期性行业遭抛售,Wind
539,2021-08-02,江苏银行：江苏银行关于董事辞职的公告 董监高成员变化,新浪
540,2021-08-02,江苏银行(600919.SH)顾尟辞去董事及董事会相关委员会委员职务 董监高成员变化,智通财经
541,2021-08-02,江苏银行：董事顾尟辞职,Wind
542,2021-08-02,布局鸿蒙生态，江苏银行推出消费随e贷原子化服务,金融界
543,2021-08-01,银行业：政治局会议再提助力中小企业和困难行业,华安证券
544,2021-08-01,董事会焕新，苏宁易购下一站,环球老虎财经
545,2021-07-30,下周456亿市值限售股解禁，环比增加31.89% 解禁,Wind
546,2021-07-30,江苏银行智慧服务便利升级，23种常用业务不用卡折也能“码上办”,金融界
547,2021-07-29,商业银行业日报,新浪
548,2021-07-29,10分钟！江苏银行完成企业供应链融资,金融界
549,2021-07-29,股东增持传递信心：多家上市银行中期业绩稳健增长可期,金融时报
550,2021-07-28,中央结算公司支持进出口银行成功发行首只抗洪涝稳外贸主题金融债,Wind
551,2021-07-28,第二季度银行理财能力排名，江苏四家银行上榜，这家城商行排第一,深水财经社
552,2021-07-28,什么情况？张坤、谢治宇逆势加仓一类股,Wind
553,2021-07-27,江苏银行(600919.SH)2448.04万股限售股于8月2日上市流通 解禁,智通财经
554,2021-07-27,银行行业周观点：7月LPR报价维持不变,新浪
555,2021-07-26,银行行业研究周报：区域位置突出的城商行获基金逆势增持,新浪
556,2021-07-23,江苏银行打造智慧民族宗教服务 助力江苏省民宗事业创新发展,金融界
557,2021-07-23,银行行业：公募持仓大幅下降 关注业绩预期修正带来的配置机会,广发证券
558,2021-07-22,深度*行业*银行业2季度持仓点评：重仓比例环比回落 关注银行中报行情,新浪
559,2021-07-22,北向资金连续4日“买买买”累计加仓超160亿，歌尔股份净买入额创逾7个月新高,Wind
560,2021-07-22,银行业2021H1公募基金银行股重仓情况点评：持仓环比回落 估值性价比高,新浪
561,2021-07-22,跨境收付再提速！全国自贸区首单跨境人民币直通式汇款落地江苏银行,深水财经社
562,2021-07-22,银行行业21H金融板块持仓：东方财富获增持 多数个股遭减配,新浪
563,2021-07-22,张坤、萧楠等顶流集体加仓一个板块,Wind
564,2021-07-21,江苏银行今日大宗交易成交410万股，成交价6.96元溢价1.46%,Wind
565,2021-07-21,"江苏银行现1笔大宗交易 共成交2,853.60万元",新浪
566,2021-07-21,江苏银行持续聚焦先进制造 绘高质量发展新画卷,中国经济网
567,2021-07-21,张坤等公募加仓银行股，能否跌出“黄金坑”？,Wind
568,2021-07-21,三家银行上半年净利润大增！机构：关注配置机会,Wind
569,2021-07-21,股东高管密集增持 银行股中报行情可期,第一财经
570,2021-07-20,江苏银行：持续加大物联网、区块链等前沿技术运用的深度与广度，取得了良好的成效,每日经济新闻
571,2021-07-20,顶流基金经理二季度“争相”增配银行股净增持平安银行、江苏银行数量过亿透露什么信号？,财联社
572,2021-07-20,多家上市银行股东高管密集增持，银行中报行情可期,第一财经
573,2021-07-20,联商头条：喜茶否认收购乐乐茶 上半年434家首店落地北京,联商网
574,2021-07-20,联商头条：喜茶否认收购乐乐茶 美团打车多城抢司机,联商网
575,2021-07-20,深度*行业*银行业周报：6月经济数据超预期 关注银行中报行情,新浪
576,2021-07-20,苏宁你解释解释，什么叫“新银企合作”？,中国经济时报
577,2021-07-20,苏宁易购联手海尔智家、江苏银行，实现金融机构全面介入流通领域,乐居财经
578,2021-07-20,早资道 | vivo 首款自研芯片曝光；苏宁易购与江苏银行达成战略合作,东方网
579,2021-07-20,大公司早报 | 天鹅到家暂停赴美IPO 喜茶回应收购乐乐茶,观察者网
580,2021-07-20,上市银行今年频获股东增持,中证报
581,2021-07-19,江苏银行再获股东力挺 宁沪高速大额增持1.6亿股,中国经营报
582,2021-07-19,苏宁易购与海尔智家、江苏银行达成战略合作,36氪
583,2021-07-19,混改公布十天后 苏宁易购获新增授信,中新经纬
584,2021-07-19,利好！苏宁易购获新增授信,搜狐
585,2021-07-19,苏宁易购、江苏银行首创银企合作新模式,和讯
586,2021-07-19,苏宁易购与江苏银行、海尔达成战略合作 探索银企合作模式,新浪
587,2021-07-19,宁沪高速拟斥资增持 江苏银行上半年领涨A股银行板块,21世纪经济报道
588,2021-07-19,最多增持1.6亿股！大股东轮番加码，这家银行火了！股民：坐稳，开始起飞？,中证报
589,2021-07-19,江苏银行新增授信，海尔深化合作，苏宁易购发展再提速,Wind
590,2021-07-19,电报|混改公布十天后获首次新增授信苏宁易购、江苏银行、海尔达成战略合作,财联社
591,2021-07-19,混改公布十天后获首次新增授信 苏宁易购发展提速,砍柴网
592,2021-07-19,商业银行行业：商业银行业日报,新浪
593,2021-07-19,江苏银行获宁沪高速11亿元增持，上半年涨幅位居银行板块第一,江苏金融圈
594,2021-07-19,京沪高速拟增持江苏银行1.6亿股,上证报
595,2021-07-19,晨报0719|宏观周报、策略周报、银行行业更新、交运行业策略、桐昆股份（601233）,国泰君安证券研究
596,2021-07-18,斥资近11亿元！宁沪高速增持江苏银行获批近几年获大股东轮番“加码”,财联社
597,2021-07-18,江苏银行：宁沪高速股东资格获监管核准,北京商报网
598,2021-07-18,业绩表现强劲，江苏银行获股东大手笔增持,深水财经社
599,2021-07-18,江苏银行(600919.SH)：江苏银保监局核准宁沪高速的股东资格,智通财经
600,2021-07-18,江苏银行：宁沪高速将增持不超过1.60亿股公司股份,Wind
601,2021-07-18,策略研究：正视扰动 迎接厚积薄发,新浪
602,2021-07-18,国君策略：正视扰动，迎接厚积薄发,Wind
603,2021-07-16,江苏银行碳金融乘势而上,金融界
604,2021-07-16,全国碳市场启动，江苏银行加速绿色转型,金融界
605,2021-07-15,江苏银行苏州分行被罚30万元 金融监管处罚,鲸平台
606,2021-07-15,为满足日常经营和发展需要，三立股份拟向银行申请不超2000万元授信额度,资本邦
607,2021-07-15,处分与业务纠纷不断，江苏银行副行长辞职原因或与此有关 董监高成员变化,运营商财经网
608,2021-07-14,"江苏银行现1笔大宗交易 共成交3,982.50万元",新浪
609,2021-07-14,深圳银行服务满意度调查：顾客来回跑，问题出在哪？,奥一网
610,2021-07-14,甘肃银行与江苏银行签订战略合作协议,金融界
611,2021-07-14,城商行2020年成绩单“揭榜”,Wind
612,2021-07-14,【行情】银行板块持续走弱，成都银行跌超5%，杭州银行、江苏银行、兴业银行跟跌,金十数据
613,2021-07-14,戴志锋：优质银行近期被错杀，建议积极布局,新浪
614,2021-07-14,银行：优质银行近期被错杀，建议积极布局【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
615,2021-07-13,华西股份：上半年预计同比扭亏,Wind
616,2021-07-13,【行情】银行板块持续拉升，江苏银行涨近5%，宁波银行、瑞丰银行、常熟银行跟涨,金十数据
617,2021-07-12,银行行业周报：7月全面降准落地；6月信贷多增社融增速止跌,新浪
618,2021-07-09,（上市公司人事）周凯辞任江苏银行副行长职务 董监高成员变化,中国经济网
619,2021-07-09,江苏银行副行长周凯因工作调整辞职,北京商报网
620,2021-07-09,快讯 | 江苏银行：副行长周凯辞任,财经网
621,2021-07-09,江苏银行(600919.SH)：周凯不再担任副行长职务,智通财经
622,2021-07-09,江苏银行：高级管理人员辞职 董监高成员变化,Wind
623,2021-07-09,评级观察 | 江苏银行获维持“AAA”评级 全球千强排名跃升至70位,和讯
624,2021-07-08,能源快讯 | 国务院常务会议：7月启动发电行业全国碳排放权交易市场上线，将推出碳减排货币政策工具,财经网
625,2021-07-08,首次跻身全球70强！江苏银行全球银行1000强排名上升22位,第一财经
626,2021-07-07,江苏银行连续13年荣获“普惠金融服务先进单位”称号,金融界
627,2021-07-06,江苏银行7月6日大宗交易成交957.60万元,证券时报网
628,2021-07-06,A股共发生87宗大宗交易成交23.44亿元（7月6日）,Wind
629,2021-07-06,江苏银行今日大宗交易成交144万股，成交价6.65元折价6.47%,Wind
630,2021-07-06,银行股上半年大分化：16只上涨，厦门银行跌超30%,Wind
631,2021-07-05,这家公司配股仅剩2天，错过缴款将亏14%！如何操作？,Wind
632,2021-07-03,商业银行行业：商业银行业日报,新浪
633,2021-07-02,"江苏银行现1笔大宗交易 共成交1,504.80万元",新浪
634,2021-07-02,超86亿外资今日撤离A股，白酒、医药、银行股集体遭抛售,Wind
635,2021-07-02,机构看好银行股结构性机会,Wind
636,2021-07-01,快讯｜江苏银行：66.2万元苏银转债转为A股,财经网
637,2021-07-01,深度*行业*银行业周报：6月LPR报价持平 关联交易管理文件落地,新浪
638,2021-07-01,江苏银行：累计已有约66万元苏银转债转为A股普通股,每日经济新闻
639,2021-06-30,无锡市政公用产业集团下属子公司发生债务逾期，计划向法院申请破产清算 违约失信,Wind
640,2021-06-30,江苏银行大宗交易成交182.00万股成交额1292.20万元,证券时报网
641,2021-06-30,"江苏银行现1笔大宗交易 共成交1,292.20万元",新浪
642,2021-06-30,38只银行股“探营”：上半年6只涨超10%、10只跌超10%，中报行情有没有爆发点？,21世纪经济报道
643,2021-06-30,A股上半年盘点 银行板块排名：江苏银行第一 厦门银行跌28%垫底,证券之星
644,2021-06-29,首次跻身全球70强！江苏银行全球银行1000强排名上升22位,金融界
645,2021-06-29,A股融资融券日报：两融余额增加94.84亿元（6月28日）,Wind
646,2021-06-29,38股获券商买入评级，深南电路目标涨幅达82.32%,Wind
647,2021-06-28,江苏银行(600919)：深耕长三角 志在头部银行,新浪
648,2021-06-28,"江苏银行现1笔大宗交易 共成交2,339.20万元",新浪
649,2021-06-28,"【招商证券深度】江苏银行——深耕长三角,志在头部银行",志明看金融
650,2021-06-28,A股融资融券日报：两融余额增加18.39亿元（6月25日）,Wind
651,2021-06-28,江苏信托申请冻结天房发展股份 资产查封,信托网
652,2021-06-28,银行资金专营机构密集获批筹建，上海金融资源吸引力不断加大,Wind
653,2021-06-25,江苏上市银行撒出百亿分红 江苏银行股息率比存银行高3倍,新浪
654,2021-06-25,A股融资融券日报：两融余额增加11.6亿元（6月24日）,Wind
655,2021-06-25,商业银行行业：商业银行业日报,新浪
656,2021-06-25,江苏信托胡军、王会清搭班后频繁踩大雷，业绩双降数十亿债权堪忧 盈利能力下降,信托网
657,2021-06-25,“碳中和”目标下政策升级，绿色债券迎来爆发机遇,Wind
658,2021-06-25,碳交易市场启动在即，银行业积极探路碳金融,Wind
659,2021-06-24,央行研究局报告：应重点加大对清洁能源领域绿色贷款支持,Wind
660,2021-06-24,A股融资融券日报：两融余额增加57.06亿元（6月23日）,Wind
661,2021-06-23,"江苏银行现3笔大宗交易 共成交2,906.80万元",新浪
662,2021-06-23,江苏银行今日大宗交易成交128万股，成交价7.1元溢价0.0%,Wind
663,2021-06-23,北向资金近82亿资金大幅加码A股，药明康德净买入近8亿元,Wind
664,2021-06-23,模塑科技：收到参股公司江苏银行及江南水务现金分红合计1904万元,e公司
665,2021-06-23,模塑科技(000700.SZ)：收到江南水务和江苏银行现金分红款合计1903.76万元,格隆汇
666,2021-06-23,绿色金融评价方案7月实施，银行绿色业务拓展大有可为,Wind
667,2021-06-22,超500家机构光顾，14家银行迎密集调研,Wind
668,2021-06-22,北向资金连续3日净卖出，贵州茅台遭净卖出近8亿元,Wind
669,2021-06-22,A股午盘综述：沪弱深强格局扭转，银行、油服携手大涨,Wind
670,2021-06-22,银行股集体回暖，成都银行大涨5%,Wind
671,2021-06-22,【行情】银行板块异动拉升，齐鲁银行涨超7%，南京银行、成都银行、江苏银行跟涨,金十数据
672,2021-06-21,光大嘉宝为华信恒盛提供13.62亿元担保，用于中关村项目 大额借贷担保,乐居财经
673,2021-06-21,A股融资融券日报：两融余额增加35.34亿元（6月18日）,Wind
674,2021-06-20,国君策略：千金难买“黄金坑”,Wind
675,2021-06-18,创元科技(000551.SZ)：收到江苏银行现金分红款1240.616万元,格隆汇
676,2021-06-18,创元科技(000551.SZ)收到江苏银行现金分红款1240.62万元,智通财经
677,2021-06-18,苏常柴Ａ：已收到江苏银行分红款739.44万元,财联社
678,2021-06-18,苏常柴A(000570.SZ)收到江苏银行现金分红款739.44万元,智通财经
679,2021-06-18,华西股份(000936.SZ)收到江苏银行现金分红款5067.62万元,智通财经
680,2021-06-17,"江苏银行现1笔大宗交易 共成交1,200.74万元",新浪
681,2021-06-17,江苏银行今日大宗交易成交158.20万股，成交价7.59元溢价0.0%,Wind
682,2021-06-16,浙商银行换帅 张荣森接棒晋升行长,中华网
683,2021-06-16,北向资金今日小幅净卖出4.05亿元，白酒股集体遭抛售,Wind
684,2021-06-16,上市银行2021年涨幅排名：江苏银行第一 厦门银行垫底,证券之星
685,2021-06-16,江苏银行北京分行注重学史力行 深入推进专题实践活动,中国网
686,2021-06-16,多家券商发布下半年投资策略，两大关键词被反复提及,Wind
687,2021-06-15,【专栏】跨区业务叫停，地方法人银行如何求生存？,零壹财经
688,2021-06-15,深度*行业*银行业周报：现金管理新规落地 5月社融增速下行,新浪
689,2021-06-15,跨区业务叫停，地方法人银行如何求生存？,新浪
690,2021-06-15,分红4900亿！险资却一路减持，银行股路在何方？,Wind
691,2021-06-15,十大券商：科创板牛市已来！市场震荡蓄力之后将是再次拉升,Wind
692,2021-06-15,券商策略：科创板牛市已来！市场将再次拉升 券商打头、成长接力,券商中国
693,2021-06-14,国君策略：走出通胀迷雾，光明下迎接拉升,证券之星
694,2021-06-14,国君策略：市场交易结构悄然变化，真正的主线在中盘蓝筹,金融界
695,2021-06-11,上市银行分红火热进行中！银行股是否具备配置价值？,中金在线
696,2021-06-11,双面江苏银行｜一面业绩亮眼，一面屡遭“重拳”,凤凰网
697,2021-06-11,港股盘前必读：美国三大股指集体收涨，多家银行陆续实施分红,Wind
698,2021-06-11,国君银行 | 社融增速下滑最快的时点已经过去,国泰君安证券研究
699,2021-06-11,总额约4900亿元 上市银行年度分红大戏开锣,中证网
700,2021-06-11,总额约4900亿元，上市银行年度分红大戏开锣,Wind
701,2021-06-11,总额约4900亿元上市银行年度分红大戏开锣,中证报
702,2021-06-10,680亿现金红包已到账！上市银行近4900亿元分红火热进行，工行拟分红总额近千亿,中证报
703,2021-06-10,商业银行行业：社融增速下滑最快的时点已经过去,新浪
704,2021-06-10,【兴证固收.转债】资产质量优异的弹性城商行品种——南银转债投资价值分析,兴证固收研究
705,2021-06-10,南银转债投资价值分析：资产质量优异的弹性城商行品种,新浪
706,2021-06-09,江苏银行(600919.SH)：2020年度权益分派10派3.16元 股权登记日6月17日,格隆汇
707,2021-06-09,江苏银行一分行副行长被判刑9年！发生了什么？ 董监高成员异常事件,中国基金报
708,2021-06-09,江苏银行每股派发现金红利0.316元，可转债转股价调整至6.37元/股,北京商报
709,2021-06-09,江苏银行(600919.SH)将于6月18日分红 每股派0.316元,智通财经
710,2021-06-09,江苏银行：将“苏银转债”转股价格由6.69元/股下修至6.37元/股,Wind
711,2021-06-09,监管层严查违规资金进楼市，4银行10员工领罚 金融监管处罚,Wind
712,2021-06-09,A股融资融券日报：两融余额减少16.2亿元（6月8日）,Wind
713,2021-06-09,新老交棒 2万亿浙商银行将迎回A后新一轮换届 原行长徐仁艳退任 52岁张荣森接任,券商中国
714,2021-06-08,浙商银行换届：一行两副辞职，高管团队年轻化,21世纪经济报道
715,2021-06-08,浙商银行高管层换届：“一正两副”三位行长辞职，副行长张荣森代履行长职务 董监高成员变化,搜狐
716,2021-06-08,浙江银行行长“新老交棒”，52岁张荣森接棒，“一正六副”将如何变阵？,证券时报网
717,2021-06-08,银行、券商、保险板块小幅拉升，青岛银行、重庆银行、江苏银行上攻,Wind
718,2021-06-08,商业银行业日报,新浪
719,2021-06-07,银行业周报：存款上限设定机制或有优化 社融增速即将进入平台期,新浪
720,2021-06-07,常铝股份(002160.SZ)：为附属公司常州朗脉提供融资担保 大额借贷担保,格隆汇
721,2021-06-07,A股融资融券日报：两融余额减少27.87亿元（6月4日）,Wind
722,2021-06-07,江苏银行—深度：扎根江苏滴灌小微，业绩增长未来可期,新浪
723,2021-06-07,【中信建投银行杨荣】周报259期:《蚂蚁消金获准开业， 涉农贷款预计增加》,eResearch杨荣团队
724,2021-06-06,江苏银行杭州分行被罚235万元，房地产业贷款增速超50％ 金融监管处罚,凤凰网
725,2021-06-06,银行2021年中期策略：把握业绩的确定性 关注北上资金大幅流入,新浪
726,2021-06-06,东亚早八点：关注流动性预期的边际变化｜6月7日,新浪
727,2021-06-05,一分行副行长贪污受贿十余年 象牙手机金条啥都敢要！判罚结果来了,券商中国
728,2021-06-05,本周深度研报榜 | 别人都在看,中信建投证券研究
729,2021-06-04,“数罪并罚”！江苏银行杭州分行因多项贷款问题被罚235万元 金融监管处罚,资本邦
730,2021-06-04,江苏银行“微粒贷”扶贫项目点“靓”乡村百姓美好生活,中金在线
731,2021-06-04,"江苏银行现1笔大宗交易 共成交2,999.94万元",新浪
732,2021-06-04,江苏银行今日大宗交易成交423.72万股，成交价7.08元折价10.61%,Wind
733,2021-06-04,总资产破2万亿的浙商银行换帅 张荣森或接棒徐仁艳晋升行长,新浪
734,2021-06-04,A股融资融券日报：两融余额减少4.5亿元（6月3日）,Wind
735,2021-06-04,中信建投大金融团队最新研究成果,中信建投证券研究
736,2021-06-03,江苏银行(600919.SH)：“苏银转债”6月9日起停止转股,智通财经
737,2021-06-03,江苏银行：苏银转债6月9日起将停止转股,Wind
738,2021-06-03,江苏银行半年被罚14次 金融监管处罚,鲸平台
739,2021-06-03,A股融资融券日报：两融余额减少24.47亿元（6月2日）,Wind
740,2021-06-02,银行日报：多地个人住房贷款“涨价” 申请房贷会更贵更难吗？,中金在线
741,2021-06-02,要求信贷客户“存款回报” 江苏银行杭州分行因八项违规被罚235万 金融监管处罚,中华网
742,2021-06-02,金融科技助推行业数字化转型,中国金融杂志
743,2021-06-02,深度|江苏银行(600919)：江苏的beta，确定的业绩趋势，消灭破净估值,中信建投证券研究
744,2021-06-01,浙江银保监局：对江苏银行杭州分行作出行政处罚，罚款235万元 金融监管处罚,Wind
745,2021-06-01,零售转型为矛，财富管理为盾，江苏银行致力“融创美好生活”,新浪
746,2021-06-01,江苏银行2020年年报：数字化转型成果显着，开创“智慧零售”新时代,新浪
747,2021-06-01,业绩双增！江苏银行盘中触及涨停，市值规模突破千亿,新浪
748,2021-06-01,江苏银行被罚235万：因信贷管理不审慎等多项违规行为 金融监管处罚,和讯
749,2021-06-01,因存在六项违法行为江苏银行苏州分行被罚235万元 金融监管处罚,新浪
750,2021-06-01,中泰证券：全年来看交易复苏或许仍将是主线,Wind
751,2021-05-31,"券商5月金股组合""战绩""：开源证券14.13%夺冠 中泰最差",新浪
752,2021-05-31,北向资金再度大幅净买入超52亿元，东方雨虹净买入额创历史新高,Wind
753,2021-05-31,中泰证券：江苏银行（600919.SH）估值有明显的提升空间，维持“买入”评级,智通财经
754,2021-05-31,中泰证券6月各行业观点及重点推荐标的,新浪
755,2021-05-30,江苏银行无锡分行：全力助推无锡高端制造业发展,中国金融新闻网
756,2021-05-30,深度| 江苏银行：会跻身市场的优质银行——核心竞争力和持续性研究【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
757,2021-05-30,国君策略：何不同风起，挑战四千点,Wind
758,2021-05-28,北向资金本周净买入额创纪录，美的集团获大幅净买入逾11亿元,Wind
759,2021-05-28,又添三家！江苏“千亿俱乐部”创纪录，下一批扩容会是谁？,深水财经社
760,2021-05-28,北向资金4天扫货473亿元，重点加仓这些板块及个股（名单）,21世纪经济报道
761,2021-05-28,北向资金动向盘点：净买146亿，电子拔得头筹,Wind
762,2021-05-27,"江苏银行现1笔大宗交易 共成交1,591.53万元",新浪
763,2021-05-27,江苏银行今日大宗交易成交207.50万股，成交价7.67元溢价0.0%,Wind
764,2021-05-27,能源快讯 | 浙江2021年绿色贷款新增4000亿以上，绿色金融成碳中和重要力量,财经网
765,2021-05-27,解盘：超百亿资金流入，光刻胶、半导体、TWS耳机领涨,Wind
766,2021-05-27,江苏省商务厅与江苏银行、兴业银行等合作，涉每年1400亿元支持,证券时报网
767,2021-05-26,农发行成功发行首单支持冷链物流建设主题金融债券,Wind
768,2021-05-26,江苏银行大涨,新浪
769,2021-05-26,【行情】银行股集体拉升，厦门银行一度涨超7%，江苏银行、成都银行、邮储银行、苏州银行等纷纷走强,金十数据
770,2021-05-26,银行股稳步攀升，邮储银行、厦门银行涨超4%,Wind
771,2021-05-26,上市银行配股补充资本 配股募资重获青睐,北京商报
772,2021-05-26,国君策略：挑战四千点，这只是开始,Wind
773,2021-05-26,配股募资重获青睐 上市银行补血提速,北京商报
774,2021-05-25,国君策略：挑战四千点，这只是开始,Wind
775,2021-05-25,21消费金融参考第一期,ZAKER
776,2021-05-25,补充资本“弹药”提速 配股募资缘何重获上市银行青睐？,北京商报
777,2021-05-25,一个月6家券商维持买入 江苏银行凭什么？,GPLP犀牛财经
778,2021-05-25,"江苏银行现1笔大宗交易 共成交2,000.00万元",新浪
779,2021-05-24,敬老爱老 智能不忘适老 江苏银行“适老”举措让服务更有温度,金融界
780,2021-05-24,A股融资融券日报：两融余额减少24.62亿元（5月21日）,Wind
781,2021-05-24,晨报0524 | 宏观&策略专题、债市专题、首批REITS点评、南山铝业（600219）,国泰君安证券研究
782,2021-05-23,【中信建投银行杨荣】周报257期:《从招行升级“财富开放平台”谈起》,eResearch杨荣团队
