,2021-12-31,中国能建进军欧洲水务市场，签署克罗地亚里耶卡污水处理厂项目,钢企网
301,2021-10-12,中国能建山西院设计白鹤滩至江苏特高压工程长江大跨越杆塔完成组立,液化天然气网
302,2021-10-12,智通A股龙虎榜统计|10月11日,智通财经
303,2021-10-11,中国能建(601868.SH)股价异动 不存在未披露的重大事项,智通财经
304,2021-10-11,中国能建：股票交易异常波动，无未披露的重大信息,每日经济新闻
305,2021-10-11,中国能建龙虎榜数据(10月11日）,Wind
306,2021-10-11,中国能建跌停，拉萨军团抢筹，北向资金净卖出2亿,证券之星
307,2021-10-08,中国能建、中国电建均触及跌停，中国核建跟随下挫,Wind
308,2021-10-08,34股获券商买入评级，中国电建目标涨幅达69.89%,Wind
309,2021-10-08,【东北建筑建材王小勇】中国能建（601868）深度报告：碳中和央企新贵， 意气正风华,东北证券研究所
310,2021-10-04,以创新源动力 中国能建勇闯技术“无人区”,中新经纬
311,2021-10-03,中国能建VS节能风电～一文看清两个电力行业综合实力,深水财经社
312,2021-10-03,以匠心铸重器 中国能建的这些工程让世界瞩目,中新经纬
313,2021-10-01,专访中国能建董事长：赋能美丽中国 共建美好世界,中新经纬
314,2021-09-30,电力设备新能源2021年10月投资策略：原材料价格普涨 绿电交易利好下游运营,新浪
315,2021-09-30,建筑业“碳中和”系列研究之六：成本疏导灰云散尽 抽水蓄能旭日东升,新浪
316,2021-09-30,建筑行业巨无霸企业诞生 中国能建吸收合并葛洲坝后A+H股上市完成,21世纪经济报道
317,2021-09-30,【每日收评】9月收官，资金布局节后行情，电力、化工等周期股上演涨停潮,财联社
318,2021-09-30,9月30日午后主力巨资抢筹四大板块(附股),金融界
319,2021-09-30,东北证券：首予中国能建(601868.SH)“买入”评级 新能源业务多点开花 助力未来增长,智通财经
320,2021-09-30,9月30日午盘主力巨资抢筹四大板块(附股),金融界
321,2021-09-30,港股异动 | 中国能源建设(03996)跌超7% 中国能建A股触及涨停后快速跳水转跌,智通财经
322,2021-09-30,中国能建盘中再度涨停，下一个三峡能源？,证券之星
323,2021-09-30,中国能建哈密光热项目顺利实现240小时连续稳定运行,中国能源网china5e
324,2021-09-30,快讯：中国能建开盘触及涨停 成交超29亿,新浪
325,2021-09-30,华泰联合证券助力中国能建A+H上市，国企改革三年行动首个央企吸并项目圆满落地,华泰联合证券
326,2021-09-29,每日市场热点分析,新浪
327,2021-09-29,浙商证券给予中国能建增持评级：全球能源电力建设巨头，两地上市助力业务新发展,每日经济新闻
328,2021-09-29,中国能建(601868)深度覆盖：全球能源电力建设巨头 两地上市助力业务新发展,新浪
329,2021-09-29,智通A股机构动向参考(09.29) | 节前压力最大的一天,智通财经
330,2021-09-29,涨停复盘 | 满屏飘绿！涨停个股不足20只 光伏股逆市冲高,第一财经
331,2021-09-29,中国能建龙虎榜数据（9月29日）,Wind
332,2021-09-29,数据复盘｜主力资金撤离化工、公用事业等行业 龙虎榜机构资金净买入6股,证券时报网
333,2021-09-29,【走进未来公司】中国能建乘“海风”破“数字化浪潮” “海上风电+”成引领未来新趋势,科技新闻网
334,2021-09-29,中国能建涨停，机构资金净卖8215万元,证券之星
335,2021-09-29,【每日收评】两市近4000股下跌！周期股再成重灾区 养殖股逆势走强,财联社
336,2021-09-29,央企加快资本重组，中国能建重组葛洲坝交易完成,北京日报
337,2021-09-29,总投资超1800亿！45个风光储项目9成被央国企拿下！,北极星电力
338,2021-09-29,中国能建国际集团在京成立,e公司
339,2021-09-29,昨日大涨40%后，中国能建今日继续涨停，还有近600万手封单,证券之星
340,2021-09-29,兴业证券：首予中国能建(601868.SH)“增持”评级 吸收合并葛洲坝实现“A+H”股上市,智通财经
341,2021-09-29,中国能建A股上市后动力十足，两机构昨日买入逾4亿元,第一财经
342,2021-09-29,A股异动 | 中国能建涨停 多个券商唱好,格隆汇
343,2021-09-29,电力板块探底回升 中国能建加速涨停,财联社
344,2021-09-29,快讯：中国能建触及涨停 成交额超28亿元,新浪
345,2021-09-29,中国能建快速涨停，上日登陆A股首秀收涨40.31%,Wind
346,2021-09-29,中国能建首板，吸并葛洲坝上市,Wind
347,2021-09-29,里程碑！中国能建成功实现A+H股上市！,北极星电力
348,2021-09-29,券商首次关注2股并给予买入评级（9月29日）,Wind
349,2021-09-29,机构连续加仓太阳能 赵老哥偏爱低位晓鸣股份,财富动力网
350,2021-09-29,12股获券商买入评级，海康威视目标涨幅达54.05%,Wind
351,2021-09-28,建筑装饰行业点评：能建回A在即 重视建筑央企变革升级前景,新浪
352,2021-09-28,【观察】一字板涨停！受益“双碳”政策，中国能建拿下152亿元订单,财华社
353,2021-09-28,白酒行情一日游，天然气板块上演涨停潮！这只翻倍牛股却一字跌停,中证报
354,2021-09-28,中国能建A股上市首秀收涨40.31%,北京商报
355,2021-09-28,中国能建吸并葛洲坝上市首日大涨40% H股前一日大跌18.35%,长江商报
356,2021-09-28,中国能建龙虎榜数据（9月28日）,Wind
357,2021-09-28,机构今日买入中国能建等18股，抛售恩捷股份2.42亿元,36氪
358,2021-09-28,上市首日便遭抢筹 2机构买入中国能建逾4亿元,第一财经
359,2021-09-28,二度临停！大涨40.31% 中国能建A股上市首秀吸睛,北京商报
360,2021-09-28,机构今日买入这34股，抢筹中国能建4.38亿元丨龙虎榜,第一财经
361,2021-09-28,能源电力行业服务商中国能建完成IPO上市融资,亿邦动力
362,2021-09-28,国盛证券给予中国能建买入评级：能源电力综合服务龙头，“回A”开启“双碳”新篇章，合理价2.4-2.8元,每日经济新闻
363,2021-09-28,中国能建今日登陆上交所主板 实现A+H两地上市,上证报
364,2021-09-28,上市首日飙涨40%，中国能建的动力足么？,证券之星
365,2021-09-28,中国能建登陆上交所主板 实现A+H上市,证券时报网
366,2021-09-28,中国能建登陆上交所主板 致力打造世界一流企业,中证网
367,2021-09-28,沪指重回3600！“股王”茅台暴涨一日游，周期股走强,Wind
368,2021-09-28,中国能建(601868.SH)涨40.31% 第二次触发临停,格隆汇
369,2021-09-28,地产股爆发，白酒股“一日游”，阿里突然暴涨,中国基金报
370,2021-09-28,太疯狂！蜡烛突然被买爆，生产商称订单大增10倍，东三省最多！这只股直线拉升；千亿巨头A股首秀大爆发：半日上涨40%！,中国基金报
371,2021-09-28,中国能建3996｜附属葛洲坝拟悉售炸药公司 | 头条金融网,头条日报
372,2021-09-28,国信证券：首予中国能建(601868.SH)“买入”评级 价值区间3.21-3.92元,智通财经
373,2021-09-28,中国能建盘中涨逾28% 股票临时停牌,北京商报
374,2021-09-28,中国能建湖南院签订内蒙古杭锦旗500MW光伏EPC总承包合同,国际电力网
375,2021-09-28,港股异动 | 中国能源建设(03996)反弹逾6% 中国能建A股上市首日涨超28%触发临停,智通财经
376,2021-09-28,中国能建上市大涨28.57% 临时停牌,金融界
377,2021-09-28,中国能建今日A股首秀，大涨28%，触发临时停牌,证券之星
378,2021-09-28,港股异动丨中国能源建设(3996.HK)涨4.65% 公司A股今日于上交所上市,格隆汇
379,2021-09-28,关于中国能建（601868）盘中临时停牌的公告,上交所
380,2021-09-28,中国能建开盘涨16.84%,e公司
381,2021-09-28,中国能建较开盘价涨10%临时停牌，现报2.52元涨幅为28.57%,Wind
382,2021-09-28,快讯：中国能建首日上市涨28%，股票临停,财联社
383,2021-09-28,【行情】中国能建吸收合并葛洲坝后今日在A股上市，开盘涨16.84%，报2.29元,金十数据
384,2021-09-28,中国能建今日A股上市，港股突然暴跌18%，首秀能涨多少？,财联社
385,2021-09-28,9月28日新股提示：珠海冠宇等申购 大地海洋等上市 丽臣实业等中签号出炉,上证报
386,2021-09-28,新股发行与上市一览（9月28日）,Wind
387,2021-09-28,中国能建今日上市 发行价格1.96元/股,上证报
388,2021-09-27,中国能建明日A股首秀，港股先暴跌18%，网友：又想起中国电信了,证券之星
389,2021-09-27,中国能建(601868)：吸收合并葛洲坝 订单饱满助增长,新浪
390,2021-09-27,20万股民懵了！A股上市前夜，800亿龙头突然暴跌18%！股吧炸了,中国基金报
391,2021-09-27,建筑装饰行业周报：看好绿电工程及运维、基建股估值修复投资机会,新浪
392,2021-09-27,中国能建规划设计集团承建600MW光伏发电项目列入河北省新能源发电并网计划,国际电力网
393,2021-09-27,49.9MW！中国能建广电工程局承建广东清远佛冈高山风电项目完成风机基础浇筑,国际电力网
394,2021-09-27,新股发行与上市一览（9月27日）,Wind
395,2021-09-27,中国能源建设股份有限公司发行A股股份换股吸收合并中国葛洲坝集团股份有限公司上市公告书,证券时报
396,2021-09-27,股海导航 9月27日沪深股市公告提示,新浪
397,2021-09-27,中国能源建设股份有限公司 China Energy Engineering Corporation Limited 发行A股股份换股吸收合并中国葛洲坝集团股份有限公司上市公告书,中证报
398,2021-09-26,晚间公告热点追踪：西藏珠峰拟定增募资80亿元 用于阿根廷盐湖提锂等,新浪
399,2021-09-26,中国能源建设(03996)：A股简称“中国能建” 9月28日起于上交所上市,智通财经
400,2021-09-26,晚间公告｜9月26日这些公告有看头,第一财经
401,2021-09-13,55亿元 中国能建拿下湖南1.1GW风光水储项目,索比光伏网
402,2021-09-06,中国能建130MW农光、渔光互补光伏项目在广东肇庆市开工,索比光伏网
403,2021-09-06,中国能建西南院总承包建设化州中垌120MW光伏复合发电项目开工,索比光伏网
404,2021-07-07,中国能建：拟拆分葛洲坝集团易普力股份有限公司重组上市,亿欧网
405,2021-06-22,浙商证券：维持中国能建(601868.SH)“增持”评级 拟设立氢能全资子公司 加速新能源布局,智通财经
406,2019-08-07,记者观察|葛洲坝后再收南岭民爆 中国能建的“能见”野心,财联社
