,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
823,2020-10-12,【兴证化工】周观点：MDI价格涨势延续，玻纤、粘胶短纤、涤纶长丝价格走高，尿素、乙二醇等煤化工产品涨价（10月12日）,兴证化工
824,2020-10-12,三季度业绩超预期个股TOP70 ｜ 系列重磅,中信建投证券研究
825,2020-10-11,重磅！医疗生物最强天团20龙头股，未来10倍增长，大牛股摇篮,搜狐
826,2020-10-11,新和成(002001.SZ)拟1.2亿元收购璟和置业及1.68亿元收购一批商品用房,智通财经
827,2020-10-11,化工周报：MDI产业链继续领涨市场 龙蟒佰利上调钛白粉价格,新浪
828,2020-10-11,化工行业研究：化工品价格景气上行 关注细分行业龙头 继续推荐高成长标的,新浪
829,2020-10-10,日评：VE市场淡稳运行,百川盈孚
830,2020-10-10,10月10日氨基酸市场早评（蛋氨酸）,我的农产品网
831,2020-10-09,每日全球并购：广联达以4.08亿元收购鸿业科技90.67%股权，高通、英特尔等芯片供应商反对英伟达400亿美元收购ARM（10/12）,晨哨网
832,2020-10-09,10月9日氨基酸市场早评（蛋氨酸）,我的农产品网
833,2020-09-30,【开源化工】濮阳惠成三季报点评：原材料涨价影响Q3毛利率，定增新方案投向明确,Au化工
834,2020-09-30,【方正化工】化工周报：内外需回暖，化工龙头迎来投资良机,靠谱化工股
835,2020-09-30,【中原医药】医药行业专题研究：换个角度看医药：从财务指标和估值来挖掘医药领域的投资机会,中原证券研究所
836,2020-09-29,化工行业周报：Q3化工板块有望迎来业绩反转 持续关注周期成长股,新浪
837,2020-09-28,化学试剂电商龙头阿拉丁今起招股，募资夯实核心竞争力,证券时报网
838,2020-09-28,化工行业周报：调整不改中长期方向 继续看好化工高成长公司,新浪
839,2020-09-28,9月28日氨基酸市场早评（蛋氨酸）,我的农产品网
840,2020-09-28,化工行业周报：可选消费品中 缘何纺服原料化纤旺季未旺？,新浪
841,2020-09-28,化工行业：龙头价值穿越周期 积极拥抱新材料机遇,财富动力网
842,2020-09-27,大宗指南：周期品周度运行变化,新浪
843,2020-09-27,基础化工周报：政策加码助推半导体材料发展 万华上调MDI挂牌价,光大证券
844,2020-09-27,基础化工：油价下跌 液氯、环氧丙烷、碳酸二甲酯DMC、三聚氰胺、纯MDI等产品价格上涨,新浪
845,2020-09-27,日评：VE市场稳中低位运行,百川盈孚
846,2020-09-27,【兴证化工】周观点：万华化学继续上调10月MDI挂牌价，PO及下游聚醚、DMC延续涨势，钛精矿、DMF涨价（9月28日）,兴证化工
847,2020-09-27,【浙商医药|周报】医药领涨大盘，从成长属性再看API投资逻辑,杏林建研
848,2020-09-26,"【国金化工-研究周报】下游需求回暖,环氧丙烷、MDI等持续涨价（2020-09-26）",点石化金
849,2020-09-26,无人驾驶龙头获百家机构调研，正与英伟达联手干件大事！8年12倍的家电大牛股被盯上,新浪
850,2020-09-26,中泰化工周度观点20W39：万华10月挂牌价发布 聚氨酯产业链价格向上,新浪
851,2020-09-25,【浙商医药|周报】强势反弹，哪些核心赛道必须加？,杏林建研
852,2020-09-23,化工行业：PO-聚醚、DMC价格齐创新高 新增推荐瑞联新材,新浪
853,2020-09-23,9月23日氨基酸市场早评（蛋氨酸）,我的农产品网
854,2020-09-22,Myagric：写在进口甲硫氨酸反倾销调查裁定之前,我的钢铁
855,2020-09-22,化工周报：聚醚、MDI价格上涨 化工品需求旺季 持续推荐周期成长龙头,新浪
856,2020-09-21,基础化工行业2020年半年报总结：聚氨酯、钛白粉、化肥等板块至暗时刻或已过去 农药、精细化工逆势增长,新浪
857,2020-09-21,石油化工／基础化工行业周报(第三十八周),新浪
858,2020-09-20,化工周度观点：巨化拟收购浙石化20%股份 关注炼化价值重估,新浪
859,2020-09-18,化工行业周观点：PO-DMC创历史新高 价格仍处上行通道,西南证券
860,2020-09-18,倒计时24天！从新药研发到商业化生产 -- 亚太药物研发领袖峰会2020,药事纵横
861,2020-09-17,新和成现1笔大宗交易 共成交445.06万元,新浪
862,2020-09-17,新和成今日大宗交易成交14.45万股，成交价30.8元溢价0.0%,Wind
863,2020-09-17,近一年我们读过的化工行业重磅报告 | 中信建投化工团队,中信建投证券研究
864,2020-09-17,日评：VE市场报价高位维稳,百川盈孚
865,2020-09-17,"两融透析：大盘缩量震荡,拉卡拉融资盘小幅流入",财富动力网
866,2020-09-17,"大盘缩量震荡,拉卡拉融资盘小幅流入",财富动力网
867,2020-09-16,A股进入4000+时代 大牛市是这样诞生的,中国基金报
868,2020-09-16,【开源化工】新材料周报：关注氘代化合物在光电、医药领域的应用,Au化工
869,2020-09-16,21股获杠杆资金净买入超5000万元,证券时报网
870,2020-09-15,新和成(002001.SZ)：选举胡柏藩为公司董事长 聘任胡柏剡为公司总裁、石观群为财务总监,格隆汇
871,2020-09-14,【方正化工】化工周报：万华化学BC装置复产，恒逸石化拟建文莱炼化二期,靠谱化工股
872,2020-09-14,新和成：未生产叶酸,Wind
873,2020-09-13,中泰化工周度观点：油价短期回调 中期向上趋势不变,新浪
874,2020-09-11,【中银化工】化工行业2020三季报前瞻,点化成金
875,2020-09-11,【化工】化工行业2020年半年报综述：疫情冲击大，展望偏乐观,中银证券研究
876,2020-09-11,16股获融资客大手笔净买入,证券时报网
877,2020-09-11,东北证券：重视化工周期 底部品种可守可攻同时优选业绩确定的新材料品种,证券时报网
878,2020-09-11,新和成用“七化”打造“无废工厂”,中国环境报
879,2020-09-10,尾盘主力资金净流出111.77亿元 仅沪光股份流入资金超亿元,第一财经
880,2020-09-10,【主力资金】科技龙头遭逆市抢筹，外资买入近4亿元,证券时报网
881,2020-09-10,日评：VA市场价格高位维稳,百川盈孚
882,2020-09-10,中银证券：近半数化工产品价格环比回升 三季报业绩有望继续恢复,证券时报网
883,2020-09-10,【化工】化工行业2020三季报前瞻：近半数产品价格环比回升，三季报业绩有望继续恢复,中银证券研究
884,2020-09-09,新和成上半年维生素销量提升,百川盈孚
885,2020-09-08,药企中考：化学制剂、中药承压 研发费用增长17%,新浪
886,2020-09-08,95家上市公司信披考核垫底：欢瑞世纪、獐子岛等11家质量堪忧,中国经济网
887,2020-09-07,化工周报：旺季来临 纯碱大幅上涨 TDI不可抗力,新浪
888,2020-09-07,化工行业周报：看好优质赛道成长标的 关注维生素及周期白马龙头,新浪
889,2020-09-07,化工行业周报：化工中报业绩基本探底 看好后市迎来整体性复苏,新浪
890,2020-09-07,医疗器械行业快速发展，上半年大批企业利润翻倍,制药网
891,2020-09-07,9月7日氨基酸市场早评（蛋氨酸）,我的农产品网
892,2020-09-06,47只创新高股获北向资金逆市抢筹,证券时报
893,2020-09-06,基础化工行业研究：下游需求回暖 TDI、草甘膦、染料等涨价,国金证券股份有限公司
894,2020-09-06,中泰化工周度观点20W36：TDI价格大幅上涨 看好长期供给格局改善,新浪
895,2020-09-05,【国金化工-研究周报】下游需求回暖，TDI、草甘膦、染料等涨价（2020-09-05）,点石化金
896,2020-09-04,化工行业周观点：DMC价格大幅上涨 继续看多MDI、TDI,西南证券
897,2020-09-04,日评：VA市场交投表现稳定,百川盈孚
898,2020-09-04,2020上半年，化学制药行业3家上市企业净利润突破10亿元,制药网
899,2020-09-04,制造业企业大放异彩 上半年484家上市浙企近9成盈利,证券日报
900,2020-09-03,日评：VE市场终端采购平稳,百川盈孚
901,2020-09-03,2020化工新材料市场投资及未来机遇预测分析,百度
902,2020-09-02,化工品旺季开启 关注细分龙头 中长期布局四条主线丨牛熊眼,第一财经
903,2020-09-02,冯柳新进34家公司林园再买一家中药股 高毅、景林等持仓揭晓,红周刊
904,2020-09-02,高毅、景林等最新持仓揭晓 林园再买一家中药股葵花药业,红周刊
905,2020-09-02,【民生策略】2020年A股中报业绩分析：医药、科技、食品拉动盈利回升，Q3关注线下消费和中游制造业绩改善,策略研究猿
906,2020-09-02,多因素助推“API+制剂”一体化发展,中国医药报
907,2020-09-02,基础化工行业2020年上半年业绩综述：后疫情时代 关注需求复苏带来的投资机会,新浪
908,2020-09-02,医药生物行业日报：国务院发文推进核酸检测能力建设,新浪
909,2020-09-02,突破多个高壁垒产品 新和成顺利开拓新材料领域,Ofweek
910,2020-09-02,339家药企公布半年报，5家净利润超20亿,制药网
911,2020-09-01,财闻点金：吉利汽车进军科创板 电动化成为重点布局方向,巨丰财经
912,2020-09-01,维生素巨头巴斯夫年内供给受限 维生素旺季迎价量齐升,e公司
913,2020-09-01,每日研报干货专享：A股中期向好行情不变 重点关注科技创新、基建产业,巨丰财经
914,2020-09-01,58只股股价创历史新高,证券时报网
915,2020-09-01,新和成(002001)：维生素业务量价齐升 关注公司在精细化工品方面的成长性,光大证券
916,2020-08-31,产品量价齐升助力业绩高增长 新和成上半年扣非净利翻倍,证券日报
917,2020-08-31,化工行业周报：化工中报业绩基本探底 国内经济复苏叠加美元疲弱推涨化工品,新浪
918,2020-08-31,基础化工行业周报：油价上涨 聚合MDI、液氯、PVC糊树脂、纯碱、DMF等产品价格上升,新浪
919,2020-08-31,8月31日氨基酸市场早评（蛋氨酸）,我的农产品网
920,2020-08-31,估值是个问题 基金经理直面选股难题,中国证券网
921,2020-08-31,私募重仓医药生物、食品饮料和电子,中国基金报
922,2020-08-30,新和成(002001)：维生素量价齐升 二季度加速增长,新浪
923,2020-08-30,新和成(002001)：维生素业务量价齐升 上半年业绩大幅增长,新浪
924,2020-08-29,私募大佬持仓曝光！地产、科技、消费股各有所爱,Wind
925,2020-08-29,淡水泉赵军，重阳裘国根，高毅邓晓峰、冯柳，千合王亚伟……私募大佬持仓曝光，看看他们选了哪些股,中证报
926,2020-08-29,新和成(002001)：上半年业绩大幅增长 持续高强度资本开支奠定长期成长,新浪
927,2020-08-29,强烈看多MDI、维生素价格趋势上涨【西南化工周观点】,化工林谈
928,2020-08-28,【华安化工】新和成：上半年量价齐升，品种拓展带来未来增量,化工阿尔法
929,2020-08-28,新和成(002001)：精细化工合成巨头成长性持续,新浪
930,2020-08-28,新和成2020中报点评：维生素景气高，二季度业绩增速放大,靠谱化工股
931,2020-08-28,机构强烈推荐29只个股-更新中,中财网
932,2020-08-28,新和成(002001)中报点评：业绩符合预期、未来有望进入新一轮成长周期,新浪
933,2020-08-28,【国金化工】新和成点评——公司业绩符合预期，看好公司长期成长性（2020-08-28）,点石化金
934,2020-08-28,【方正化工】化工周报：万华 MDI 挂牌价持续上调，万华玲珑等公司上价值榜,靠谱化工股
935,2020-08-28,新华财经早报：8月28日,新华网
936,2020-08-28,上市公司正负面新闻2020年8月28日星期五,Wind
937,2020-08-28,知名基金经理“次重仓股”名单曝光,南方财经网
938,2020-08-27,中报曝光明星基金经理持仓：保持高位运作 看好权益市场机会,每日经济新闻
939,2020-08-27,筹码新动向：179股筹码趋向集中,证券时报网
940,2020-08-27,日评：VA市场询单活跃报价略显宽泛,百川盈孚
941,2020-08-27,新和成(002001.SZ)半年度净利润升91.41%至22.12亿元,格隆汇
942,2020-08-27,新和成：上半年净利润同比增长91.41%,Wind
943,2020-08-27,"基金""次重仓股""曝光（附股）绩优经理:权益投资大有可为",中证报
944,2020-08-27,风格多样化基金“次重仓股”曝光,中证报
945,2020-08-26,342家公司公布最新股东户数,证券时报网
946,2020-08-26,北向资金动向盘点：反手加仓茅台，但“食药”持仓占比已达31.3%,Wind
947,2020-08-25,股东户数降幅榜：15股最新股东户数降逾一成,证券时报网
948,2020-08-25,化工周报：MDI、醋酸、DMF等供需格局好的产品持续上涨 坚定看好化工Q3复苏,新浪
949,2020-08-25,北向资金动向盘点：加仓行业龙头；“消费”摇摆不定,Wind
950,2020-08-24,化工行业动态报告：纯碱、草甘膦再提价 DMF创历史新高,新浪
951,2020-08-24,石油化工／基础化工行业周报(第三十四周),新浪
952,2020-08-24,涨价主题风起云涌，下个风口是谁？,Wind
953,2020-08-24,日评：VA市场价格持续上调,百川盈孚
954,2020-08-24,化工行业研究周报：维生素延续强势 MDI、TDI继续走高,新浪
955,2020-08-24,8月24日氨基酸市场早评（蛋氨酸）,我的农产品网
956,2020-08-24,融资盘再度回流 增量资金短期入市不足,财富动力网
957,2020-08-23,原油周报第162期：OPEC+减产规模仍将保持稳定,光大证券
958,2020-08-23,中泰化工周度观点20W34：广东省下发《塑料污染治理意见》 看好生物降解塑料,新浪
959,2020-08-23,【兴证化工】周观点：聚氨酯产业链价格继续上涨，DMF、粘胶短纤价格走高，VA等维生素涨价（8月24日）,兴证化工
960,2020-08-23,基础化工行业周报：核心布油价格下跌 丙酮、维生素、TDI、纯MDI、ABS等产品价格上涨,新浪
961,2020-08-21,化工行业周观点：TDI、DMF价格上涨 维生素价格有望持续反弹,西南证券
962,2020-08-21,北上资金和融资客增持多只业绩超预期股,证券时报网
963,2020-08-21,消费大白马罕见冲击涨停，走势完爆科技股！业绩超预期股名单来了，这个特征出牛股（附股）,证券时报网
964,2020-08-20,日评：VA价格上涨趋势持续加强,百川盈孚
965,2020-08-20,“2+7” 哈电集团市场开发连中九标,中国机经网
966,2020-08-20,新和成回应爆炸传闻：上虞基地发生事故 预计对生产无影响 安全事故,我的农产品网
967,2020-08-20,200多家上市公司是客户 竞争对手是大客户 这样的公司你见过吗？,中财网
968,2020-08-20,“借东风”！绥化市携手中科院长春分院开展多层次科技合作,科技日报
969,2020-08-19,日评：VA市场行情上行,百川盈孚
970,2020-08-19,8月19日氨基酸市场早评（蛋氨酸）,我的农产品网
971,2020-08-18,厅市合作共商将绥化打造成科技助力龙江高质量发展示范区,科技日报
972,2020-08-18,日评：VE报价上涨后期仍存涨价动力,百川盈孚
973,2020-08-18,2020维生素B2片行业市场场前景及现状分析,百度
974,2020-08-17,化工行业周报：7月宏观经济数据向好 继续看好待价值发现的化工龙头,新浪
975,2020-08-17,融资盘开始转为流出 低估值防御风格抬头,财富动力网
976,2020-08-16,【兴证化工】周观点：聚氨酯产业链、煤化工产业链价格整体走高，纯碱、VA、VE涨价（8月17日）,兴证化工
977,2020-08-15,布局顺周期资产，强推化工行业龙头【西南化工周观点】,化工林谈
978,2020-08-15,个股资金流向,财富动力网
979,2020-08-14,操盘必读：影响股市利好与利空消息（8月14日）,--
980,2020-08-14,国内维生素市场止跌回暖 新一轮补库存周期即将开启（附股）,证券时报网
981,2020-08-14,剩餐打包成为多方共识 可降解塑料产业迎来机遇,和讯
982,2020-08-14,浙江省绍兴市市场监督管理局：3批次食品抽检不合格 产品问题,质量新闻网
983,2020-08-13,晚间资讯｜睿远基金加仓瀚蓝环境；药明康德上半年净利同比增62%,证券时报网
984,2020-08-13,国内维生素市场触底反弹 供需结构改善支撑价格继续攀升,e公司
985,2020-08-13,福布斯中国50位最佳CEO，浙江七位，EMBA校友胡柏剡上榜,浙大EMBA
986,2020-08-13,拟收购公司跨入新材料改性领域 新和成欲实现新材料进口替代,证券日报
987,2020-08-12,深度*行业*化工行业2020半年报前瞻：产品价格重心整体下移 公司业绩承压 盈利能力下降,新浪
988,2020-08-12,日评：VE部分厂家提价,百川盈孚
989,2020-08-12,8月12日氨基酸市场早评（蛋氨酸）,我的农产品网
990,2020-08-11,下一轮“热门资产”？裘国根冯柳卓利伟都在凶猛布局这个板块,新浪
991,2020-08-11,晚间重要公告2020年8月11日星期二,Wind
992,2020-08-11,新和成拟合计超4000万元收购两关联公司,北京商报
993,2020-08-11,新和成拟近4100万元收购绍兴纳岩、绍兴勤进两家公司 进一步提升产品竞争力,发布易
994,2020-08-11,日评：VE市场报价平稳,百川盈孚
995,2020-08-11,新和成：拟4082万元收购“绍兴纳岩”100%股权和“绍兴勤进”100%股权,Wind
996,2020-08-11,新和成(002001.SZ)：拟收购绍兴纳岩及绍兴勤进各100%股权,格隆汇
997,2020-08-11,化工行业周报：油价小幅震荡 继续关注基建材料及近消费端细分领域,新浪
998,2020-08-11,[互动]新和成：辅酶Q10年产能500吨项目尚在试车阶段,全景网
999,2020-08-10,875亿主力资金近三日大量撤出中小创,证券时报网
1000,2020-08-10,化工周报：化工景气指数提升 涨价+成长增量题材领涨,新浪
1001,2020-08-10,新和成提高VE产品报价,格隆汇
1002,2020-08-10,日评：VA市场价格稳定,百川盈孚
1003,2020-08-10,石油化工/基础化工行业周报(第三十二周),新浪
1004,2020-08-10,基础化工行业周报：淡储支撑国内化肥需求 PVC糊树脂高位运行,国金证券股份有限公司
1005,2020-08-10,化工行业研究周报：纯碱价格大幅上涨 MDI、TDI继续走强,新浪
1006,2020-08-09,【太平洋化工】巴斯夫资本市场交流启示,强大化工
1007,2020-08-09,化工行业研究：看好化工高成长公司迎来戴维斯双击 关注维生素独立行情,新浪
1008,2020-08-08,【方正化工】化工周报：万华MDI挂牌价大幅上调，玲珑再登亚洲品牌500强榜单,靠谱化工股
1009,2020-08-08,中泰化工周度观点20W31：间苯二胺价格上调 关注染料产业链,新浪
1010,2020-08-08,环丙、DMC、MDI大幅上涨，棕榈油、糊树脂再创新高【西南化工周观点】,化工林谈
1011,2020-08-06,2020聚苯硫醚(PPS)行业现状及前景规模预测,中研网
1012,2020-08-06,【方正化工】新和成深度报告之二：新和成的技术优势在哪里？,靠谱化工股
1013,2020-08-05,招商基础化工行业周报2020年10月第2周：纯MDI、液化气本周涨幅居前，顺酐、三氯乙烯跌幅较大,招商基础化工
1014,2020-08-05,招商基础化工行业周报2020年10月第3周：丁二烯、二氯甲烷本周涨幅居前，顺酐、丙酮跌幅较大,招商基础化工
1015,2020-08-05,蛋氨酸拐点隐现，厂家近期纷纷上调报价,Wind
1016,2020-08-05,蛋氨酸拐点隐现 厂家近期纷纷上调报价,中证网
1017,2020-08-05,招商基础化工行业周报2020年9月第2周：液氯、顺酐本周涨幅居前，原油、柴油跌幅较大,招商基础化工
1018,2020-08-04,8月4日黑龙江新和成最新玉米收购价格上涨,我的农产品网
1019,2020-08-04,5家百亿元级私募二季度重仓股现身，布局15只个股持有市值逾20亿元,Wind
1020,2020-08-03,日评：VA市场购销好转价格稳定,百川盈孚
1021,2020-08-03,聚苯硫醚(PPS)未来发展趋势 2020聚苯硫醚(PPS)行业现状及市场前景规模分析,中研网
1022,2020-08-03,石油化工／基础化工行业周报(第三十一周),新浪
1023,2020-08-03,化工行业周报：内外资重仓演变 投资理念有何变化？,新浪
1024,2020-08-02,7月大宗交易成交额创年内新高 机构持续买入这些医药、科技股,红周刊
1025,2020-07-31,日评：VA市场低位整理运行,百川盈孚
1026,2020-07-30,你发现没？最近医药指数基金“翻盘”了,新浪
1027,2020-07-29,49股今日获机构买入评级,证券时报网
1028,2020-07-29,临储拍卖规则再修改，也难挡玉米涨势,新浪
1029,2020-07-29,券商首次关注6股并给予买入评级（7月29日）,Wind
1030,2020-07-28,基础化工：油价上涨 丁二烯、MDI-50、R125、环氧树脂、软泡聚醚等产品价格上涨,新浪
1031,2020-07-28,新和成(002001)深度报告：打造精细化学品产品群 精细化工龙头蓄势待发,国海证券
1032,2020-07-28,公募“常青树”罕见大幅调仓 朱少醒、杨谷等“精准擒牛”,红周刊
1033,2020-07-28,基础化工行业研究：2020年2季度基金配置比例回暖 但仍处低点,国金证券股份有限公司
1034,2020-07-28,7月28日氨基酸市场早评（蛋氨酸）,我的农产品网
1035,2020-07-27,大宗指南第8期：周期品周度运行变化,新浪
1036,2020-07-27,【国金化工】2020年2季度基金配置比例回暖，但仍处低点 (2020-07-27),点石化金
1037,2020-07-27,化工行业周报：做时间的朋友 如何看待化工行业“龙头的进阶”？,新浪
1038,2020-07-26,昂利康（002940）：业绩低点已过，特色制剂和原料药驱动公司未来三年净利润年复合增速预计不低于35%！【东吴医药朱国广团队】,国广有话说
1039,2020-07-26,中泰化工周度观点：科思创及陶氏半年报发布 看好聚氨酯需求回暖,新浪
1040,2020-07-25,【方正化工】化工周报：涤纶长丝、PTA价格上涨，化工龙头迎来布局良机,靠谱化工股
1041,2020-07-25,棕榈油王者归来，糊树脂继续上涨【西南化工周观点】,化工林谈
1042,2020-07-24,医药生物行业：20Q2主动公募医药持仓维持大幅超配状态 重仓集中度有所下降,新浪
1043,2020-07-24,化工行业周观点：棕榈油王者归来 糊树脂继续上涨,西南证券
1044,2020-07-24,净利暴涨10倍！这些A股公司上半年“成绩单”，超预期,中证报
1045,2020-07-24,化工行业：当前时点化工品中观景气数据表现如何？,广发证券
1046,2020-07-24,【异动股】青蒿素板块下挫，昆药集团(600422-CN)跌2.96%,财华社
1047,2020-07-24,医疗健康行业基金2Q分析：2季度仓位同比和环比上升 风险偏好依然较高,新浪
1048,2020-07-24,北向资金动向曝光：7月23日这30只个股被猛烈扫货，中国平安、牧原股份买入居前（附名单）,每日经济新闻
1049,2020-07-23,净利暴涨10倍！这些A股公司上半年“成绩单”，超预期,中证报
1050,2020-07-23,化工点评报告：2020Q2基金持仓化工比例回升 内外资集中增持细分龙头,新浪
1051,2020-07-23,十大上市药企透视：恒瑞医药归母净利居首 华润三九销售费用率高企,投资时报
1052,2020-07-23,日评：VA市场价格平稳运行,百川盈孚
1053,2020-07-23,基础化工行业周报：PPI从环比转正趋向同比转正 加配化工正当时,光大证券
1054,2020-07-23,化学制药早盘拉升走强 金达威等多股涨停,中国经济网
1055,2020-07-23,7月23日氨基酸市场早评（蛋氨酸）,我的农产品网
1056,2020-07-22,化学制药午后延续强势 海辰制药等多股涨停,中国经济网
1057,2020-07-22,143家药企披露半年报，过半业绩预喜,制药网
1058,2020-07-21,新和成：第二期员工持股计划股票出售完毕 减持股份,Wind
1059,2020-07-21,新和成(002001.SZ)：第二期员工持股计划股票出售完毕暨终止,格隆汇
1060,2020-07-21,明星基金经理二季度加仓与调仓并存 科技股、消费股依旧被长期看好,发布易
1061,2020-07-21,知名基金经理二季度普遍加仓，布局消费与科技,Wind
1062,2020-07-20,八大明星基金经理持仓曝光！刘格菘、傅鹏博、阳琨、李晓星……他们这样看后市,中证报
1063,2020-07-20,意外！这个冷门板块涨停股最多，机构重点看好这些股,证券时报网
1064,2020-07-20,【方正策略+行业】御风而行，低估值价值崛起【附标的】,策略研究
1065,2020-07-20,化工行业周报：油价稳定 关注周期龙头、基建材料及近消费端细分领域,新浪
1066,2020-07-20,化工周报：至暗时刻已过 需求陆续复苏 强推具备阿尔法龙头标的,新浪
1067,2020-07-20,日评：VA市场稳中偏弱运行,百川盈孚
1068,2020-07-20,化工行业周报：当前化工板块中还有哪些价值洼地？,新浪
1069,2020-07-20,石油化工行业周报：IEA预测下半年需求好转 重点关注OPEC+减产规模调整,光大证券
1070,2020-07-20,基础化工行业周报：PVC糊树脂高位小涨 磷肥产品小幅回升,国金证券股份有限公司
1071,2020-07-18,“涨价”概念股中期业绩大幅增长 白酒、钛白粉启动新提价周期,红周刊
1072,2020-07-17,化工行业周观点：糊树脂、DMC价格上涨 关注化工龙头投资价值,西南证券
1073,2020-07-16,日评：VA市场价格窄幅回落,百川盈孚
1074,2020-07-16,21家股价创年内新高的药企披露中报业绩，预喜占比达76.19%,制药网
1075,2020-07-15,化工板块午后爆发，氯碱化工等逾10股涨停，关注四投资主线,证券时报网
1076,2020-07-15,维生素概念表现强势 金达威涨停 多股大涨,金融界
1077,2020-07-15,需求刚性 价格飙升 维生素行业进入景气周期丨牛熊眼,第一财经
1078,2020-07-15,快讯：维生素板块表现强势涨逾3% 金达威涨停,证券日报
1079,2020-07-15,新和成新高背后：融资客和北向资金齐加仓,证券时报网
1080,2020-07-15,【异动股】维生素板块拉升，金达威(002626-CN)涨停,财华社
1081,2020-07-15,【化工】2020年中期策略：迎接复苏，抱紧龙头,中银证券研究
1082,2020-07-14,化工行业研究周报：PVC树脂糊大幅上涨 关注周期股估值修复机会,新浪
1083,2020-07-14,主要股指10连阳A股赚钱效应扩散,证券时报
1084,2020-07-13,日评：VA市场淡稳运行,百川盈孚
1085,2020-07-13,43股获融资客大手笔净买入,证券时报网
1086,2020-07-13,"化工行业周报：万华化学POE年内完成中试,萤石价格坚挺运行",开源证券
1087,2020-07-13,杭州湾上虞经开区：多链集聚擘画“全景图”力稳外贸,国际商报
1088,2020-07-11,中泰化工周度观点20W28：成品油出口权下发 建议关注民营炼化,新浪
1089,2020-07-10,化工行业周观点：继续强烈看多PVC糊树脂价格趋势上涨,西南证券
1090,2020-07-10,机构出逃股名单曝光，万亿巨头被狠砸！,证券时报网
1091,2020-07-09,子公司屡遭处罚 国邦医药环保承压 关联方问题,中国经营网
1092,2020-07-09,风速丨天风研究核心推荐全景,天风研究
1093,2020-07-09,莫问风格是否切换 踏实围绕业绩布局,上证报
1094,2020-07-09,莫问风格是否切换，踏实围绕业绩布局,Wind
1095,2020-07-07,303亿主力资金近三日大量撤出中小创,证券时报网
1096,2020-07-07,十几家药企2020上半年有望实现净利润增幅翻倍,制药网
1097,2020-07-07,7月7日券商晨会研报汇编,证券日报
1098,2020-07-07,625家公司预告上半年业绩 28.80%报喜,证券时报
1099,2020-07-06,下半年买股还是买基？上半年各类型基金冠军详解拿去不谢,新浪
1100,2020-07-06,化工行业周报：焦炭炭黑价格持续上涨 周期股迎来估值修复机会,新浪
1101,2020-07-06,上虞区举行重大项目集中签约仪式 与医药产业深度融合,凤凰网
1102,2020-07-06,630股“剧透”中报业绩 天齐锂业等78股现首亏 亏损,北京商报
1103,2020-07-06,基础化工行业周报：关注低估值及较高成长性的二线蓝筹,光大证券
1104,2020-07-06,630股“剧透”中报业绩 逾四成个股报忧,北京商报
1105,2020-07-04,巨丰访谈：大盘放量站上3000点大象起舞风格暗示什么？,搜狐
1106,2020-07-04,化工行业周度观点：PVC糊树脂持续大涨 关注相关产业链机会,新浪
1107,2020-07-04,【西南化工周观点】PVC糊树脂大幅上涨，VD3新国标行业影响深远,化工林谈
1108,2020-07-04,金达威(002626)：维生素D3实行新国标 行业集中度提升利好龙头企业,新浪
1109,2020-07-03,新和成7月3日大宗交易成交1.09亿元,证券时报网
1110,2020-07-03,A股共发生128宗大宗交易成交36.01亿元（7月3日）,Wind
1111,2020-07-03,"新和成现1笔大宗交易 共成交10,945.20万元",新浪
1112,2020-07-03,新和成今日大宗交易成交420万股，成交价26.06元折价8.01%,Wind
1113,2020-07-03,半年报业绩预告不佳！警惕这些债券兑付风险,Wind
1114,2020-07-03,业绩预增王竟是它！最猛预增25倍 估值最低不到5倍,证券时报
1115,2020-07-03,业绩预增王新五丰预计暴增25倍 光刻机龙头业绩爆发,新浪
1116,2020-07-02,【浙商化工陈煜团队】化工上涨是幡动还是心动？,醇萃化工研究
1117,2020-07-02,浙江永诚财险积极谋划转型发展 规模效益双增长,金融投资报
1118,2020-07-02,稀缺！机构关注的低估值高位股仅12只，翻倍股意外跌停，机构趁势抄底,证券时报网
1119,2020-07-02,中报业绩大爆发 这些股获机构关注,第一财经
1120,2020-07-02,基础化工2020年中期投资策略：沉舟侧畔 黎明初现,新浪
1121,2020-07-02,国产安全芯片重大突破，500亿科技龙头连续涨停！,证券时报网
1122,2020-07-02,国产安全芯片重大突破，500亿科技龙头连续涨停！最新中报业绩暴增股，机构紧急上调目标价,证券时报
1123,2020-07-02,2020下半场开战，均衡配置不惧分化？,养基司令
1124,2020-07-02,新国标对维生素D3生产企业有影响吗？,上证报
1125,2020-07-02,595家公司发布半年度业绩预告 超预期个股受资金关注,中证报
1126,2020-07-01,维生素D3新国标来了 对生产企业影响有多大？,上证报
1127,2020-07-01,2020年7月份上海证券研究所投资组合报告,新浪
1128,2020-07-01,【开源化工】公司首次覆盖报告-斯迪克（300806）：国内OCA光学胶领跑者，打造“胶×膜”产品矩阵,Au化工
1129,2020-07-01,聚焦中报行情！业绩预喜，这些股已异动,Wind
1130,2020-07-01,【国元资讯早班车】新三板打新今日开启,国元证券订阅号
1131,2020-06-30,最新股东户数揭秘：这73股股东户数连降三期,证券时报网
1132,2020-06-30,国邦医药IPO迷雾：屡遭环保处罚 最大客户亦是供应商左手倒右手？ 环保处罚,投资时报
