,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
716,2021-07-13,"韦尔股份现4笔大宗交易 共成交12,595.20万元",新浪
717,2021-07-13,北向资金今日净买入25.8亿元，中兴通讯、山西汾酒净买入额均创新高,Wind
718,2021-07-13,韦尔股份今日大宗交易成交40万股，成交价314.88元折价4.0%,Wind
719,2021-07-13,电子周报：关注半导体公司中报,新浪
720,2021-07-13,业绩大增股名单：34只芯片概念股上半年业绩翻倍,Wind
721,2021-07-13,上海区域股市周报：1亿融资买入韦尔股份复 星医药跌出板块市值9强,每日经济新闻
722,2021-07-13,电子行业周报：Q2业绩确定高增 展望Q3景气有望持续,新浪
723,2021-07-12,韦尔股份今日大宗交易成交38.50万股，成交价327.9元折价4.0%,Wind
724,2021-07-12,"韦尔股份现5笔大宗交易 共成交12,624.15万元",新浪
725,2021-07-12,电子行业周报：半导体成熟制程需求高涨 持续关注果链投资机会,新浪
726,2021-07-09,晚间公告｜7月9日这些公告有看头,第一财经
727,2021-07-09,北向资金今日小幅净卖出2.11亿元，外资高位出逃新能源股,Wind
728,2021-07-09,韦尔股份：控股股东及其一致行动人减持10%公司可转债 可转债减持,Wind
729,2021-07-09,韦尔股份(603501.SH)：控股股东及其一致行动人减持韦尔转债244万张,格隆汇
730,2021-07-09,A股早报2021年7月9日星期五,Wind
731,2021-07-09,韦尔股份7月8日现7笔大宗交易,证券时报网
732,2021-07-09,新经济一路狂奔，传统产业估值被甩出几条街,Wind
733,2021-07-08,中报行情频现业绩高增标的，资金青睐成长型科技股,第一财经
734,2021-07-08,"韦尔股份现7笔大宗交易 共成交13,089.12万元",新浪
735,2021-07-08,韦尔股份今日大宗交易成交40.70万股，成交价321.6元折价4.0%,Wind
736,2021-07-08,A股早报2021年7月8日星期四,Wind
737,2021-07-08,韦尔股份7月7日现7笔大宗交易,证券时报网
738,2021-07-07,韦尔股份现7笔大宗交易总成交金额2.21亿元,证券时报网
739,2021-07-07,透视大宗交易：7月7日共成交130笔，韦尔股份成交2.21亿元,每日经济新闻
740,2021-07-07,"韦尔股份现7笔大宗交易 共成交22,050.00万元",新浪
741,2021-07-07,韦尔股份今日大宗交易成交50万股，成交价316.68元折价4.0%,Wind
742,2021-07-07,【国盛量化-电子】掘金ETF：芯片全产业链景气详解——汇添富中证芯片产业ETF投资价值分析,留富兵法
743,2021-07-07,新时代证券维持韦尔股份强烈推荐评级，2021H1业绩预增报告点评：2021H1 业绩预增超预期，“CIS+模拟”生态平台进入收获期,每日经济新闻
744,2021-07-07,韦尔股份7月6日现4笔大宗交易,证券时报网
745,2021-07-07,电子行业周报：Q2业绩确定高增 展望Q3景气有望持续,新浪
746,2021-07-07,北向资金加码成长主线，中小市值股票获青睐,Wind
747,2021-07-06,闻泰科技拟收购英国最大晶圆厂，未来盈利能力面临考验,第一财经
748,2021-07-06,电子周报：元器件和半导体中报业绩靓丽 面板盈利周期持续确认,新浪
749,2021-07-06,"韦尔股份现4笔大宗交易 共成交9,871.65万元",新浪
750,2021-07-06,韦尔股份今日大宗交易成交0.93万股，成交价321.52元溢价0.0%,Wind
751,2021-07-06,A股资金流向（7月6日）：超160亿元资金撤离医药、半导体行业,Wind
752,2021-07-06,A股收盘综述：上证指数探底回弹小幅录跌，CRO指数再挫7%,Wind
753,2021-07-06,6只“小而美”的半导体&新能源基金,养基司令
754,2021-07-06,电子行业周报：缺货持续价格上涨 继续关注缺芯带来的发展机遇,新浪
755,2021-07-06,东方证券维持韦尔股份买入评级：TDDI业务进一步整合，打造平台化设计公司,每日经济新闻
756,2021-07-06,芯片板块拉升，欧比特、康拓红外涨停,Wind
757,2021-07-06,券商首次关注6股并给予买入评级（7月6日）,Wind
758,2021-07-06,电子行业简评报告：半导体行情持续强劲 中报预增继续支持,新浪
759,2021-07-06,韦尔股份发布公告 拟通过子公司香港韦尔收购股权,北京商报
760,2021-07-06,【公司点评】韦尔股份：2021H1业绩指引创新高，平台布局优势尽显,吉森电子研究
761,2021-07-06,50股获券商买入评级，洽洽食品目标涨幅达75.81%,Wind
762,2021-07-06,韦尔股份四年投近40亿研发 产品结构优化毛利率超32%,长江商报
763,2021-07-05,韦尔股份拟以5440万美元收购原Synaptics TDDI业务剩余30%股权,搜狐
764,2021-07-05,韦尔股份现3笔大宗交易总成交金额1.56亿元,证券时报网
765,2021-07-05,韦尔股份(603501.SH)拟以5440万美元收购一控股子公司剩余30%股权,智通财经
766,2021-07-05,韦尔股份：拟购买控股子公司少数股权,Wind
767,2021-07-05,"韦尔股份现3笔大宗交易 共成交15,620.00万元",新浪
768,2021-07-05,韦尔股份今日大宗交易成交50万股，成交价312.4元折价5.1%,Wind
769,2021-07-05,电子行业：IC INSIGHTS展望22～23年IC市场延续增长,新浪
770,2021-07-05,芯源微、士兰微封住涨停板，半导体继续拉升,Wind
771,2021-07-05,通信行业周报：射频前端独角兽加速上市 拥抱国产替代历史机遇,华安证券
772,2021-07-05,电子行业周报：汽车电动化何以重塑功率器件行业价值,国海证券
773,2021-07-05,东北证券：韦尔股份（603501.SH）Q2业绩略超预期，多业务线齐头并进，维持“买入”评级,智通财经
774,2021-07-05,中银晨会聚焦,新浪
775,2021-07-05,电子｜半导体持续景气，消费电子阶段承压：2021年中报业绩展望,中信证券研究
776,2021-07-04,半导体行业月度深度跟踪：行业景气业绩兑现 关注AIOT智能化浪潮,新浪
777,2021-07-04,韦尔股份(603501)2021年半年度业绩预告点评：公司高端手机CIS市场渗透率持续提升&车载CIS放量 2021年H1业绩超市场预期,新浪
778,2021-07-02,电子行业2021年中报业绩展望：半导体持续景气 消费电子阶段承压,新浪
779,2021-07-02,东兴证券上调韦尔股份评级至强烈推荐：业绩高增长破除疑虑，芯片一体化龙头启航,每日经济新闻
780,2021-07-02,深度*公司*韦尔股份(603501)：深耕主业优化布局 业绩持续高增长,新浪
781,2021-07-02,中银证券维持韦尔股份增持评级：深耕主业优化布局，业绩持续高增长,每日经济新闻
782,2021-07-02,超86亿外资今日撤离A股，白酒、医药、银行股集体遭抛售,Wind
783,2021-07-02,35股今日获机构买入评级7股上涨空间超20%,证券时报网
784,2021-07-02,韦尔股份(603501)：2Q21预告超预期 进入红利释放期,新浪
785,2021-07-02,华泰证券：韦尔股份（603501.SH）2Q21预告超预期，目标价376.51元，维持“买入”评级,智通财经
786,2021-07-02,朝闻国盛：滴滴(DIDI.N)-越过拐点 难走的路更广阔,新浪
787,2021-07-02,韦尔股份(603501)公司跟踪报告：Q2盈利环比高增 CIS龙头迎踏浪之旅,新浪
788,2021-07-02,韦尔股份(603501)：业绩持续增长 全年可期,新浪
789,2021-07-02,韦尔股份7月1日现4笔大宗交易,证券时报网
790,2021-07-02,半年报预告密集披露 新能源景气高,金融投资报
791,2021-07-01,韦尔股份现4笔大宗交易总成交金额1.01亿元,证券时报网
792,2021-07-01,"韦尔股份现4笔大宗交易 共成交10,128.75万元",新浪
793,2021-07-01,电子行业2021年三季度投资策略：半导体持续重点推荐 消费电子看好下半年苹果链确定性,新浪
794,2021-07-01,多家IC企业“剧透”半年报：明微电子净利润暴增近10倍,Ofweek
795,2021-07-01,韦尔股份(603501)：击碎市场疑虑 开启全新成长周期,新浪
796,2021-07-01,多家半导体企业业绩预增，产业上游加速国产化,LED在线
797,2021-07-01,信达证券维持韦尔股份买入评级：击碎市场疑虑，开启全新成长周期,每日经济新闻
798,2021-07-01,业绩大幅增长！除了预增800倍，还有这些亮点,Wind
799,2021-07-01,韦尔股份(603501)公司点评：业绩持续高增 多技术生态平台潜力巨大,新浪
800,2021-07-01,韦尔股份(603501)2021H1预增点评：业绩环比持续增长 逆势增长方显龙头本色,新浪
801,2021-07-01,599家公司预告上半年业绩 67.45%报喜,证券之星
802,2021-07-01,融资客青睐15股，江苏舜天买入占比高达42.27%,Wind
803,2021-07-01,民生证券维持韦尔股份推荐评级：业绩环比持续增长，逆势增长方显龙头本色,每日经济新闻
804,2021-07-01,华西证券维持韦尔股份买入评级：Q2环比继续高增长，战略重点布局汽车半导体,每日经济新闻
805,2021-07-01,电子｜半导体持续重点推荐，消费电子看好下半年苹果链高确定性：2021年三季度投资策略,中信证券研究
806,2021-07-01,国联证券维持韦尔股份增持评级：手机/汽车驱动业绩高增长，打造IC设计龙头,每日经济新闻
807,2021-07-01,小K播早报！乘联会：芯片问题或在9月解决热景生物、恩捷股份等公司半年报预喜,财联社
808,2021-07-01,韦尔股份6月30日现2笔大宗交易,证券时报网
809,2021-07-01,业绩大爆发！除了预增800倍还有这些亮点,中国基金报
810,2021-07-01,每日财报|通威股份上半年预计净利近30亿 韦尔股份大增1.26倍,每日财报
811,2021-07-01,多个行业景气度高企，龙头公司纷纷“预喜”半年报,Wind
812,2021-06-30,"【华西电子孙远峰团队—持续坚定推荐韦尔股份】Q2环比继续高增长,战略重点布局汽车半导体",远峰电子
813,2021-06-30,天然气价格上涨，IPv6产业链市场规模扩大丨明日主题前瞻,第一财经
814,2021-06-30,晚间重要公告2021年6月30日星期三,Wind
815,2021-06-30,晚间公告｜6月30日这些公告有看头,第一财经
816,2021-06-30,通信电子行业景气数据跟踪报告之六(2021年6月)：电动汽车浪潮开启 全球半导体龙头业绩靓丽,光大证券
817,2021-06-30,预增！韦尔股份：预计2021年上半年净利润同比增加126.41%～146.78%,每日经济新闻
818,2021-06-30,韦尔股份：上半年净利同比预增126%-147%,e公司
819,2021-06-30,韦尔股份：预计上半年净利润同比增加126.41%-146.78%,Wind
820,2021-06-30,韦尔股份今日大宗交易成交15万股，成交价312.34元折价3.0%,Wind
821,2021-06-30,电子行业6月动态报告：行业景气向上 关注消费电子、LED等领域投资机会,新浪
822,2021-06-30,【最全】2021年集成电路行业上市公司全方位对比(附业务布局、业绩对比、业务规划等),前瞻研究院
823,2021-06-30,基于透支久期与盈利增速视角的择股策略：核心资产分化下的投资机会挖掘,新浪
824,2021-06-29,主力抛售超级热门股！卖出超15亿…… 股票卖空,Wind
825,2021-06-29,射频芯片龙头卓胜微两年涨近32倍，模组品类扩张能否支撑长期成长？,第一财经
826,2021-06-29,主力动向｜55股主力买入超亿元！隆基股份、通威股份、英科医疗、阳光电源、韦尔股份位居前五！,上游新闻
827,2021-06-29,全球新能源及无人驾驶行业跟踪周报：蔚来ET7碳化硅电驱C样件下线 QUANERGY计划SPAC上市,新浪
828,2021-06-29,半导体行业跟踪：缺货潮未见缓解迹象 Q2持续高景气度,新浪
829,2021-06-29,电子行业周报：半导体行业景气度继续上行,新浪
830,2021-06-28,深度*行业*半导体行业周报：国内半导体多点开花 但龙头开启平台化趋势,新浪
831,2021-06-28,韦尔股份：可转债自2021年7月5日起开始转股,每日经济新闻
832,2021-06-28,韦尔股份(603501.SH):“韦尔转债”7月5日起开始转股,格隆汇
833,2021-06-28,电子行业周报：消费电子受到广泛关注,新浪
834,2021-06-28,"韦尔股份现1笔大宗交易 共成交1,435.60万元",新浪
835,2021-06-28,北向资金今日净卖出40.55亿元，中远海控、宁德时代净卖出额居前,Wind
836,2021-06-28,电子行业每周市场动态追踪：看好半导体的短中长期大逻辑 消费电子迎布局时点,新浪
837,2021-06-25,韦尔股份今日大宗交易成交20万股，成交价287.7元折价3.0%,Wind
838,2021-06-25,"韦尔股份现4笔大宗交易 共成交5,754.00万元",新浪
839,2021-06-25,北上资金本周200亿扫货，顺周期王者归来，A股稳了？,Wind
840,2021-06-25,东亚早八点：CIS龙头再起航｜6月25日,新浪
841,2021-06-24,韦尔股份大宗交易成交10.00万股成交额2840.00万元,证券时报网
842,2021-06-24,"韦尔股份现1笔大宗交易 共成交2,840.00万元",新浪
843,2021-06-24,韦尔股份今日大宗交易成交10万股，成交价284.0元折价1.72%,Wind
844,2021-06-24,北向资金今日再度净买入30.97亿元，新能源概念股受资金抢筹,Wind
845,2021-06-24,继续套现！韦尔股份控股股东再次减持韦尔转债 减持股份,证券之星
846,2021-06-24,韦尔股份(603501.SH)：控股股东及其一致行动人再次减持韦尔转债244万张 减持股份,格隆汇
847,2021-06-24,韦尔股份：控股股东减持公司可转换公司债券 减持股份,Wind
848,2021-06-24,上海区域股市周报：ST沪科跌18.57%跌幅第一 韦尔股份跌出板块市值6强,每日经济新闻
849,2021-06-24,该警惕了？芯片板块暴涨重回历史高位 券商齐喊买入 但有人借道ETF出逃190亿元,每日经济新闻
850,2021-06-24,北向资金动向盘点：重手加仓“电子”,Wind
851,2021-06-24,北向资金净买入额创近一个月新高，大幅增持电子元件板块（附股）,21世纪经济报道
852,2021-06-23,韦尔股份(603501.SH)：2020年度权益分派10派3.15元股权登记日6月29日,格隆汇
853,2021-06-23,韦尔股份(603501.SH)拟每股派0.315元 6月30日分红,智通财经
854,2021-06-23,散户看懵了！芯片暴涨重回历史高位！券商齐声高喊买入，但场内机构却已借ETF出逃190亿元,每日经济新闻
855,2021-06-23,北向资金 | 合计净流入81.99亿元，药明康德、美的集团、韦尔股份净买入居前,上游新闻
856,2021-06-23,"韦尔股份现2笔大宗交易 共成交2,415.70万元",新浪
857,2021-06-23,韦尔股份今日大宗交易成交8.50万股，成交价284.2元折价3.0%,Wind
858,2021-06-23,北向资金近82亿资金大幅加码A股，药明康德净买入近8亿元,Wind
859,2021-06-23,韦尔股份：将“韦尔转债”转股价格由222.83元/股下修至222.52元/股,Wind
860,2021-06-23,半导体持续爆发茅台黯然6连阴，发生了什么？,Wind
861,2021-06-23,半导体板块批量涨停，利好消息都在这里了,Wind
862,2021-06-23,缺芯行情持续发酵，芯片ETF涨超5%，成交破10亿,Wind
863,2021-06-23,上证综指连续三天走高，午盘收涨0.46%，报3573.61点。韦尔股份对指,新浪
864,2021-06-23,芯片概念股强势拉升，阿石创国科微涨停，韦尔股份等大涨,证券时报网
865,2021-06-23,A股异动 | 获券商扎堆唱好 韦尔股份(603501.SH)大涨超7%,格隆汇
866,2021-06-23,获多家券商“强推”股价还要上涨30%韦尔股份值得吗？,证券之星
867,2021-06-23,五日龙虎榜追踪 机构抢筹这45股,证券之星
868,2021-06-23,33股获券商买入评级，韦尔股份目标涨幅达39.79%,Wind
869,2021-06-23,中信证券：韦尔股份当前估值处于低位维持“买入”评级,财联社
870,2021-06-23,中信证券：韦尔股份中长期手机、汽车领域竞争力将提升，持续推荐,Wind
871,2021-06-22,韦尔股份(603501)跟踪点评：估值低位 料中长期手机、汽车领域竞争力将提升 持续推荐,新浪
872,2021-06-22,深度*行业*半导体行业周报：长期看数字化叠加芯片安全 短期看芯片缺货加速国产化,新浪
873,2021-06-22,晶方科技(603005)：全球CIS晶圆级封装细分赛道龙头 业绩持续高增长,新浪
874,2021-06-22,电子行业2021年中期策略报告：半导体最风采 ARVR迎加速拐点,新浪
875,2021-06-22,资金流向分析,新浪
876,2021-06-22,商络电子：未来公司将通过内生增长和外延扩张两种方式以实现公司业绩的不断提升及业务领域的拓展,Wind
877,2021-06-22,电子行业周报：行业景气度上升叠加消息面利好 半导体行业持续上行,新浪
878,2021-06-22,电子元件：AR 下一个蓝海,新浪
879,2021-06-22,机构资金最近入驻这些股,证券之星
880,2021-06-22,中国银河维持电子行业推荐评级：行业复苏叠加MiniLED爆发LED将迎来新一轮景气周期,每日经济新闻
881,2021-06-22,【银河电子傅楚雄/王恺】行业周报丨行业复苏叠加Mini LED爆发，LED将迎来新一轮景气周期,中国银河证券研究
882,2021-06-22,东亚早八点：半导体供应链或再现涨价｜6月23日,新浪
883,2021-06-21,电子行业：万物互联 光学感知先行,新浪
884,2021-06-21,CINNO Research：2020年智能手机TFT-LCD驱动芯片需求量达14亿颗，大陆本土企业全球市占率超12%,智通财经
885,2021-06-21,芯片概念股大涨韦尔股份却大跌 营收增长靠并购 债务压力加大 盈利能力下降,GPLP犀牛财经
886,2021-06-21,机构砸盘韦尔股份 游资打板露笑科技｜龙虎榜,第一财经
887,2021-06-21,电子行业周报：我们为什么强烈推荐核心半导体设备和材料,国海证券
888,2021-06-21,A股早报2021年6月21日星期一,Wind
889,2021-06-21,A股融资融券日报：两融余额增加35.34亿元（6月18日）,Wind
890,2021-06-21,华西证券维持韦尔股份买入评级：深耕手机主摄CIS，汽车/安防领域谋高增长,每日经济新闻
891,2021-06-21,国海证券：缺芯”大背景下，半导体核心设备和材料企业将充分受益,证券时报网
892,2021-06-20,半导体、芯片连续“霸屏”A股，“第三代”概念热炒之风需警惕,第一财经
893,2021-06-20,韦尔股份之后又一芯片黑马来了：格科微登陆科创板 它还要自建晶圆厂,每日经济新闻
894,2021-06-20,【华西电子孙远峰团队—持续推荐韦尔股份】深耕手机主摄CIS，汽车/安防领域谋高增长,远峰电子
895,2021-06-19,【银河周知】关注汽车、新能源、电子等高景气行业的投资机会,中国银河证券研究
896,2021-06-19,千亿东鹏饮料开启疯狂模式 鸿蒙概念股思特奇上涨乏力,财富动力网
897,2021-06-19,永太科技补涨机构齐抄底 方新侠2.5亿加仓士兰微,财富动力网
898,2021-06-18,【18日资金线路图】做多情绪被点燃？科技股接连获资金关注！韦尔股份遭机构大肆甩卖 资产异常,证券时报
899,2021-06-18,主力资金抢筹半导体芯片股,大众证券报
900,2021-06-18,电子设备、仪器和元件周报：种植业的“人造太阳”：LED产业链再成长,新浪
901,2021-06-18,韦尔股份龙虎榜数据（6月18日）,Wind
902,2021-06-18,一根阳线看持仓：除了诺安成长，还有这些基金重仓半导体芯片股,财联社
903,2021-06-18,龙虎榜机构疯狂出货16亿，2400亿科技龙头韦尔股份怎么了？,中金在线
904,2021-06-18,半导体板块大涨，龙头股韦尔股份却放量大跌，谁在抛售？ 连续下跌,第一财经
905,2021-06-18,机构今日买入这13股，卖出韦尔股份6.17亿元丨龙虎榜,第一财经
906,2021-06-18,最新龙虎榜动向：2.43亿资金抢筹天赐材料，4.25亿资金出逃韦尔股份（名单）,21世纪经济报道
907,2021-06-18,韦尔股份大跌近8%沪股通卖出5.23亿元 连续下跌,第一财经
908,2021-06-18,"财联社6月18日讯，韦尔股份今日放量大跌7.83%，龙虎榜数据显示，沪股通买入4.68亿元并卖出5.23亿元，四机构合计卖出11.18亿元，两机构合计买入5.01亿元。
连续下跌",财联社
909,2021-06-18,韦尔股份放量大跌近8%，机构卖出超11亿元,Wind
910,2021-06-18,A股资金流向（6月18日）：新能源车龙头获抢筹，白酒股遭抛售,Wind
911,2021-06-18,光学行业深度追踪系列第30期(2021年5月)：终端需求阶段下滑 看好Q3苹果端光学拉货,新浪
912,2021-06-18,力压“蔡经理”，单日净值涨超9%，比诺安成长更牛的基金出现了,证券之星
913,2021-06-18,什么情况？半导体大涨上热搜 大白马韦尔股份却暴跌 连续下跌,证券之星
914,2021-06-18,天弘中证电子ETF(159997)：科技核心 价值底部,新浪
915,2021-06-18,又一行业集体涨价！龙头股价大涨20%，板块嗨了,Wind
916,2021-06-18,上证50跌幅扩大至1%，贵州茅台跌超3%,Wind
917,2021-06-18,芯片股出现分化，韦尔股份跌近5%,Wind
918,2021-06-17,海运、半导体板块大爆发！7张图看清市场表现、业绩和风险情况,Wind
919,2021-06-16,电子行业周报：继续强调半导体投资主线 产能为王+IOT芯机遇,新浪
920,2021-06-16,资金流向分析,新浪
921,2021-06-16,模拟芯片价格17年来首涨黄金赛道坡长雪厚国产化时代到来,财联社
922,2021-06-16,【银河电子】2021年中期策略丨拥抱变革，汽车电子初露峥嵘,中国银河证券研究
923,2021-06-16,周三证券 | 科技阵营火热 VR生态圈吸睛,金融投资报
924,2021-06-15,韦尔股份：控股股东减持公司600万股 减持股份,Wind
925,2021-06-15,韦尔股份(603501.SH)：减持期满控股股东虞仁荣累计减持600万股 减持股份,格隆汇
926,2021-06-15,申侃智联双周行第二期：硬件预埋下的投资机会解析：摄像头及激光雷达篇,新浪
927,2021-06-15,热度将比肩“鸿蒙”？，华为5G+AR峰会即将召开,Wind
928,2021-06-15,电子行业2021年中期策略：国产化继续是行业主线 看好元器件和半导体设备,新浪
929,2021-06-15,电子行业每周市场动态追踪：华为鸿蒙OS 2操作系统落地 有望助推AIOT产业加速发展,新浪
930,2021-06-13,5178点6周年 最牛白酒飙17倍！乐视、信威惨烈退市 退市,中国基金报
931,2021-06-13,"沧桑剧变！5178点6周年，A股“换了人间”！中石油跌落一哥，茅台暴涨890%称王，最牛白酒飙17倍！乐视、信威、康得新惨烈退市
退市",中国基金报
932,2021-06-13,5178点6周年，个股剧烈分化，茅台涨890%称王,Wind
933,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
934,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
935,2021-06-10,资金流向分析,新浪
936,2021-06-10,韦尔股份控股股东虞仁荣264万股股份解除质押,中国经济网
937,2021-06-09,韦尔股份：控股股东部分股权解除质押,发布易
938,2021-06-09,浦东新区A股资本版图：123家上市公司，市值超4万亿，生物医药占上海半壁江山,时代周报
939,2021-06-09,韦尔股份(603501.SH)控股股东虞仁荣解质264万股,智通财经
940,2021-06-09,半导体景气风向标：旺季将至 景气持续,新浪
941,2021-06-09,陆股通周监控第86期：宽松预期继续 增配科技成长,新浪
942,2021-06-08,"上海本地股掀涨停潮,聪明钱加速抢筹，四主线布局浦东“这盘棋”",时代财经
943,2021-06-08,英飞凌跃居全球汽车半导体第一行业增量空间广阔国内厂商登上舞台,财联社
944,2021-06-08,电子行业周报：鸿蒙引领IOT芯机遇,新浪
945,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
946,2021-06-08,中证报：四万亿风口呼之欲出，超高清视频千帆竞渡,Wind
947,2021-06-07,科技硬件行业周报：国内封测再迎机遇,新浪
948,2021-06-07,北向资金净卖出额创近一个月新高，宁德时代遭大幅抛售超14亿元,Wind
949,2021-06-07,电子元件：鸿蒙OS2.0发布 AIOT发展加速,新浪
950,2021-06-07,电子行业周报：疫情影响全球封测产能 大陆企业供应链国产化趋势加快,新浪
951,2021-06-07,通信电子行业景气数据跟踪报告之五：全球与国内龙头的靓丽业绩持续印证半导体高景气度,光大证券
952,2021-06-07,半导体板块飙涨，有芯片价格涨至5倍，行业供需格局或仍趋紧丨牛熊眼,第一财经
953,2021-06-07,16股获券商买入评级，中芯国际目标涨幅达49.26%,Wind
954,2021-06-07,券商晨会观点速递,第一财经
955,2021-06-07,北上资金连续8周净买入，高成长行业龙头受追捧,Wind
956,2021-06-05,北向资金扫货A股88.88亿，却出逃恒瑞医药18亿、长春高新7亿，医药股怎么了？,21世纪经济报道
957,2021-06-04,传媒&通信行业“数字未来”系列一：元宇宙 未来数字绿洲入口已打开,华安证券
958,2021-06-04,资金流向分析,新浪
959,2021-06-03,韦尔股份(603501)：CCC小模组大作为,广发证券
960,2021-06-03,北向资金今日净买入15.21亿元，二线白酒股获追捧,Wind
961,2021-06-03,上海韦尔半导体：公司主要受限资产情况 资产查封,Wind
962,2021-06-03,25股受青睐，北向资金增持额超亿元,证券之星
963,2021-06-03,每日理财观察：富时罗素季度调整结果公布,Wind
964,2021-06-03,北向资金净卖出20.14亿元 这些行业和个股被抛售最多 股票卖空,21世纪经济报道
965,2021-06-03,港股盘前必读：港股印花税由0.1%提高至0.13%将于8月1日生效,Wind
966,2021-06-02,【半导体投资日报】涨价持续演绎，芯片设计、功率半导体市场空间广阔,新浪
967,2021-06-02,富时罗素季度调整结果公布，速看新增剔除A股标的全名单,Wind
968,2021-06-02,韦尔股份大宗交易成交1445.30万元,证券时报网
969,2021-06-02,北向资金今日净流出20.14亿元 大幅净买入韦尔股份3.61亿元,中金在线
970,2021-06-02,富时中国A50指数将纳入金龙鱼、智飞生物， 剔除恒力石化、中公教育,Wind
971,2021-06-02,富时罗素季度指数变更：金龙鱼及智飞生物获纳入富时中国A50指数,Wind
972,2021-06-02,韦尔股份今日大宗交易成交5万股，成交价289.06元折价3.0%,Wind
973,2021-06-02,北向资金今日净卖出20.14亿元，恒瑞医药净卖出额创历史新高,Wind
974,2021-06-02,券商判势｜6月关注“聪明钱”青睐板块,搜狐
975,2021-06-02,6月2日晚间重要行业研究汇总(附股),中金在线
976,2021-06-02,VR、汽车电子行业景气持续,财富动力网
977,2021-06-02,银河证券：5G终端及汽车电动化需求旺盛推动下，电子行业盈利端将维持快速增长,证券时报网
978,2021-06-02,北向资金抛售白酒股，买入这些行业和个股（名单）,21世纪经济报道
979,2021-06-02,电子行业景气持续，关注VR、汽车电子等高成长领域,银河证券
980,2021-06-02,晶圆厂资本开支上行，关注设备和材料国产化机会,招商证券
981,2021-06-02,东吴证券：当前半导体市场的供需紧张关系依旧维持,证券时报网
982,2021-06-01,"韦尔股份现1笔大宗交易 共成交2,919.70万元",新浪
983,2021-06-01,韦尔股份今日大宗交易成交10万股，成交价291.97元折价3.0%,Wind
984,2021-06-01,电子行业：行业景气持续 关注VR、汽车电子等高成长领域,新浪
985,2021-06-01,芯片股持续活跃机构看好这些个股,第一财经
986,2021-06-01,2021年中国集成电路设计行业市场现状与竞争格局分析 华为海思半导体领先国内发展,前瞻研究院
987,2021-05-31,沪港通十大成交活跃股排名（5月31日）,Wind
988,2021-05-31,北向资金再度大幅净买入超52亿元，东方雨虹净买入额创历史新高,Wind
989,2021-05-31,5月31日晚间重要行业研究汇总(附股),中金在线
990,2021-05-31,电子行业周报：三大角度分析LCD面板能否变成弱周期行业？,国海证券
991,2021-05-31,"海通证券：韦尔股份(603501.SH)高像素摄像头加速渗透+CIS 高景气,目标价298.80-348.60 元，给予“优于大市”评级",智通财经
992,2021-05-31,韦尔股份大涨,新浪
993,2021-05-31,电子周观点：自动驾驶提升算力需求 SOC芯片是主要增量市场,新浪
994,2021-05-31,电子行业周报：半导体景气持续业绩确定 面板价格保持上升,华安证券
995,2021-05-31,芯片股逐渐活跃，韦尔股份、中兴通讯、北方华创、兆易创新、华润微等纷纷上扬,Wind
996,2021-05-31,21股获券商买入评级，东鹏饮料目标涨幅达197.86%,Wind
997,2021-05-30,板块拾金|一天一个样！新能源、半导体、金融...轮动市到底看谁？策略收好！,第一财经
998,2021-05-30,半导体行业报告：5G持续落地+国产替代加速 看好前瞻布局射频前端滤波器核心技术相关标的,新浪
999,2021-05-28,【银河晨报】5.28丨电子：硬件、生态持续升级，VR设备有望加速渗透,中国银河证券研究
1000,2021-05-27,【半导体投资日报】看好半导体国产化进程，材料和设备都还有很大的提升空间，关注细分行业增量,新浪
1001,2021-05-27,明星基金扎堆重仓股：大举增持+超跌滞涨股仅6只,Wind
1002,2021-05-27,从外资近期净流入和持仓风格变化角度：目前依然是核心资产牛市的延续而非普涨牛市,新浪
1003,2021-05-26,上海区域股市周报：新增2家上市公司 38家机构调研泰坦科技,每日经济新闻
1004,2021-05-26,【银河电子傅楚雄/王恺】行业周报丨硬件、生态持续升级，VR设备有望加速渗透,中国银河证券研究
1005,2021-05-26,【民生证券研究院】晨会纪要20210526,MS研究
1006,2021-05-26,电子元器件周报：大尺寸面板周期属性有望弱化 半导体硅片厂商同比增速提速,新浪
1007,2021-05-25,牛人重仓｜262家基金持有8607万股，蔡嵩松、朱少醒、葛兰重仓投入！这只CMOS概念股牛在哪儿？,每日经济新闻
1008,2021-05-25,"韦尔股份现2笔大宗交易 共成交2,848.15万元",新浪
1009,2021-05-25,韦尔股份今日大宗交易成交5万股，成交价286.29元折价3.0%,Wind
1010,2021-05-25,电子行业：建议关注AR／VR产业链投资机会,新浪
1011,2021-05-25,【重磅深度】汽车半导体（PPT版）：大变革时代，汽车半导体站上历史的进程,吉森电子研究
1012,2021-05-25,【天风Morning Call】晨会集萃20210525,天风研究
1013,2021-05-24,5月24日晚间重要行业研究汇总(附股),中金在线
1014,2021-05-24,全球新能源及无人驾驶行业跟踪周报：福特与SK创新合资 理想ONE将搭载地平线双“征程3”,新浪
1015,2021-05-24,电子行业周报：荣耀复苏 大基金减持 减持股份,新浪
1016,2021-05-24,科技硬件行业周报：AR新进展广受关注,新浪
