,2021-12-31,【银华基金】交易日报 2021-12-31,新浪
501,2021-06-25,A股收盘综述：大金融板块强势崛起，沪指大涨终结周线3连跌,Wind
502,2021-06-25,银行股午后同步发力，厦门银行封板,Wind
503,2021-06-25,【牛人重仓】南京银行:前复权价创历史新高，今日资金流入11237.78万元，北向资金持股18045.12万股，融资余额124625.02万元；前3个交易日，北向资金增持355.24万股，融资额增加2439.71万元，主力资金净流入-2421.46万元,每日经济新闻
504,2021-06-25,【行情】银行板块午后继续走强，齐鲁银行领涨，厦门银行午后秒板，重庆银行、青岛银行、南京银行、青农商行等纷纷跟涨，齐鲁银行上市开板后4连板,金十数据
505,2021-06-25,商业银行行业：商业银行业日报,新浪
506,2021-06-24,27股获券商买入评级，长安汽车目标涨幅达65.85%,Wind
507,2021-06-23,【银华基金】交易日报 2021-6-23,新浪
508,2021-06-23,杭州房贷收紧，二手房市场趋于降温,Wind
509,2021-06-23,17股获买入评级 最新:广电计量,中财网
510,2021-06-22,超500家机构光顾，14家银行迎密集调研,Wind
511,2021-06-22,银行行业周观点：同业存单发行利率小幅回升,新浪
512,2021-06-22,A股午盘综述：沪弱深强格局扭转，银行、油服携手大涨,Wind
513,2021-06-22,银行股集体回暖，成都银行大涨5%,Wind
514,2021-06-22,【行情】银行板块异动拉升，齐鲁银行涨超7%，南京银行、成都银行、江苏银行跟涨,金十数据
515,2021-06-21,南京银行获批发行不超过50亿元人民币绿色金融债券,新浪
516,2021-06-21,南京银行北京分行第五党支部联合联通八区恩济营服中心党支部开展反诈防诈知识进社区活动,中国网
517,2021-06-21,献礼建党100周年 维护现金流通良好环境,中国网
518,2021-06-21,今年有望成为银行可转债发行大年,Wind
519,2021-06-20,【兴证银行 傅慧芳/陈绍兴】银行业周报（21.06.15-21.06.20）上海农商行IPO获批，关注银行长期负债成本优化,兴证金融
520,2021-06-19,货基与现金管理类产品手册,Bank资管
521,2021-06-18,21信用预警周报丨中国华融将处置旗下多家子公司、猪价持续下跌牧原股份成本“警戒线”告破 连续下跌,21世纪经济报道
522,2021-06-18,南银转债投资分析：核心经济带城商行龙头,新浪
523,2021-06-18,无锡农商行一支行原行长受贿被捕 被没收财产80万 董监高成员异常事件,GPLP犀牛财经
524,2021-06-18,【牛人重仓】南京银行:前复权价创历史新高，今日资金流入31.07万元，北向资金持股18051.48万股，融资余额122684.01万元；前3个交易日，北向资金增持940.77万股，融资额增加9966.41万元，主力资金净流入-5129.24万元,每日经济新闻
525,2021-06-17,观案｜无锡农商行一支行行长违法违纪被点名 8年任职4家银行共受贿1482万余元 金融监管处罚,财经网
526,2021-06-17,中签结果出炉！创下多项纪录，银行发行可转债势头重燃,Wind
527,2021-06-17,中签号245.79万个！南京银行200亿元可转债中签结果出炉,资本邦
528,2021-06-17,商业银行行业：商业银行业日报,新浪
529,2021-06-16,一线调研丨14家网络平台金融业务整改进展：仍有平台违规推广 其他违规处罚,21世纪经济报道
530,2021-06-16,南京银行(601009.SH)可转债网上中签结果出炉：中签号共245.792万个,格隆汇
531,2021-06-16,200亿南银转债申购结果“出炉” 创近两年城商行可转债多项纪录,证券时报网
532,2021-06-16,银行板块短线拉升，南京银行涨近3%，江苏银行、邮储银行、长沙银行跟涨。,新浪
533,2021-06-16,2021年6月16日早班车（紫金财经&胜泰智慧）,紫金财经
534,2021-06-16,6月15日53只个股获券商关注，南京银行目标涨幅达59.68%,每日经济新闻
535,2021-06-16,电鳗快报|南京银行持续融资 为业务发展储粮,电鳗快报
536,2021-06-16,南京银行200亿转债启动发行 近710亿元银行转债排队,21世纪经济报道
537,2021-06-16,浙商早知道 | 6月16日,浙商证券研究所
538,2021-06-15,南京银行(601009.SH)：“南银转债”网上中签率为0.02907534%,格隆汇
539,2021-06-15,南京银行(601009.SH)：“南银转债”网上中签率约为0.0291%,智通财经
540,2021-06-15,南京银行：“南银转债”网上中签率为0.0291%,Wind
541,2021-06-15,可转债日报：中证转债指数创近3个月最大跌幅，思特转债大幅回调,Wind
542,2021-06-15,银行行业2021年中期策略：攻守兼备 亦有弹性,广发证券
543,2021-06-15,南京银行完成发行40亿元“2021年第一期绿色金融债券”,乐居财经
544,2021-06-15,南京银行：2021年第一期绿色金融债券发行完毕,中证网
545,2021-06-15,27股今日获机构买入评级7股上涨空间超20%,证券时报网
546,2021-06-15,南京银行(601009.SH)：成功发行40亿元绿色金融债券,格隆汇
547,2021-06-15,中银国际：南京银行（601009.SH）关注转债转股进程，维持“增持”评级,智通财经
548,2021-06-15,太平洋证券：当前银行指数估值性价比高，仍有较高配置价值,证券时报网
549,2021-06-15,浙商证券给予南京银行买入评级，基本面反转向上即将开始：城商行龙头回归，目标价格为16.00元,每日经济新闻
550,2021-06-15,城商行“补血”扎堆可转债：南京银行200亿启动发行，多家银行260亿预案在排队,21世纪经济报道
551,2021-06-15,城商行“补血”扎堆可转债：南京银行200亿启动发行，多家银行710亿预案在排队,21世纪经济报道
552,2021-06-15,深度*公司*南京银行(601009)：补充资本助力业务发展 关注转债转股进程,新浪
553,2021-06-15,海通证券研究所早报,新浪
554,2021-06-15,两户必中一签！200亿元巨无霸今日启动发行,Wind
555,2021-06-15,分红4900亿！险资却一路减持，银行股路在何方？,Wind
556,2021-06-15,东北证券【新股】6月15日百克生物、拾比佰等申购，爱玛科技、绿田机械等上市,东北证券金融世界
557,2021-06-15,200亿元南银转债启动发行，有望延续银行系高中签率,Wind
558,2021-06-14,【浙商|梁凤洁/邱冠华】南京银行：城商行龙头回归,大话金融
559,2021-06-14,南京银行：“南银转债”于6月15日配售及网上申购,每日经济新闻
560,2021-06-11,南银转债：资质稳健 息差走阔,新浪
561,2021-06-11,上市银行分红火热进行中！银行股是否具备配置价值？,中金在线
562,2021-06-11,花旗：南京银行可转债发行或利股价预计管理层有更强激励提升业绩,格隆汇
563,2021-06-11,南银转债：做强做精，经营稳健【华创固收|周冠南团队】,华创债券论坛
564,2021-06-11,总额约4900亿元，上市银行年度分红大戏开锣,Wind
565,2021-06-10,【中金固收·可转债】南京银行转债投资价值分析,中金固定收益研究
566,2021-06-10,宏达新材(002211.SZ)：上海鸿孜所持公司股份被司法冻结210万股 股权冻结,格隆汇
567,2021-06-10,南银转债(113050)投资价值分析,新浪
568,2021-06-10,可转债市场大爆发！银行迎发行热潮 投资者能“捡到钱”吗？,北京商报
569,2021-06-10,【兴证固收.转债】资产质量优异的弹性城商行品种——南银转债投资价值分析,兴证固收研究
570,2021-06-10,南银转债投资价值分析：资产质量优异的弹性城商行品种,新浪
571,2021-06-10,南银转债投资价值简析：优质城商行再添一支 建议积极申购,新浪
572,2021-06-10,南银转债新券点评：区域城商龙头来临 网下渠道开启,广发证券
573,2021-06-10,【牛人重仓】南京银行:前复权价创历史新高，今日资金流入9037.11万元，北向资金持股17255.0万股，融资余额125955.13万元；前3个交易日，北向资金增持-90.06万股，融资额增加3841.23万元，主力资金净流入-2939.98万元,每日经济新闻
574,2021-06-10,银行行业-2021年5月金融数据跟踪：社融增速何时见底？,广发证券
575,2021-06-10,南京银行发行可转债点评：静态测算核心一级资本提升1.91%，高ROE低估值，继续推荐【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
576,2021-06-09,南京银行(601009.SH)拟发行200亿元可转债 6月15日开启申购,智通财经
577,2021-06-09,南京银行：发行可转债200亿元，网上申购日为6月15日,每日经济新闻
578,2021-06-08,海通证券研究所早报,新浪
579,2021-06-07,银行业周报：存款上限设定机制或有优化 社融增速即将进入平台期,新浪
580,2021-06-07,银行行业周报：存款利率市场化改革深入 金控公司申设获受理,新浪
581,2021-06-05,增持进行时！多家上市银行触发稳定股价措施启动条件,Wind
582,2021-06-05,进入分红季 +股价“维稳” 银行股投资正当时,财富动力网
583,2021-06-04,银行行业2021年5月社融前瞻：预计社融增速11.1%,广发证券
584,2021-06-04,【行情】银行股午后拉升，平安银行、成都银行涨超4%，南京银行、宁波银行、兴业银行、杭州银行等集体走强,金十数据
585,2021-06-04,银行股午前异动，平安银行涨超3%,Wind
586,2021-06-03,【牛人重仓】南京银行:前复权价创历史新高，今日资金流入1706.23万元，北向资金持股17481.19万股，融资余额124327.19万元；前3个交易日，北向资金增持187.98万股，融资额增加-845.36万元，主力资金净流入-5531.58万元,每日经济新闻
587,2021-06-02,18只股股价创历史新高,证券时报网
588,2021-06-02,【牛人重仓】南京银行:前复权价创历史新高，今日资金流入948.68万元，北向资金持股17160.54万股，融资余额125890.29万元；前3个交易日，北向资金增持-72.32万股，融资额增加608.6万元，主力资金净流入-1314.46万元,每日经济新闻
589,2021-06-02,穆迪维持南京银行宁波银行苏州银行评级：展望从负面调为稳定,澎湃新闻
590,2021-06-02,深度|江苏银行(600919)：江苏的beta，确定的业绩趋势，消灭破净估值,中信建投证券研究
591,2021-06-01,海外信用评级汇总2021年6月1日星期二,Wind
592,2021-06-01,穆迪维持南京银行Baa3评级并将评级展望上调为稳定,金融界
593,2021-06-01,2021年六月策略金股报告：投资组合报告,新浪
594,2021-06-01,南京银行(601009.SH)：陈冬华辞去独立董事等职务 董监高成员变化,智通财经
595,2021-06-01,南京银行：独立董事陈冬华辞任 董监高成员变化,Wind
596,2021-06-01,穆迪：上调南京银行等三家区域性银行评级展望至“稳定”,Wind
597,2021-05-31,世茂股份：第二大股东世茂企业质押2.15亿股股份 用于借新还旧,乐居财经
598,2021-05-30,固定收益月报：指数向上突破 总体估值抬升,新浪
599,2021-05-29,上证报头版：银行入场“大象起舞”，护航A股担当“压舱石”,Wind
600,2021-05-28,南京银行(601009.SH)年报推10派3.93元 股权登记日6月3日,格隆汇
601,2021-05-27,南京银行北京分行：书写使命担当 至诚服务社会,中国网
602,2021-05-27,哪些行业不良贷款率高？,岳读债市
603,2021-05-27,快讯：银行股下挫走弱 宁波银行跌近4%,新浪
604,2021-05-27,南京银行股价创新高,证券之星
605,2021-05-27,新发规模逼近千亿元，银行转债价值待挖掘,Wind
606,2021-05-26,鑫元基金王海燕离任2只基金经理 在管基金余1 业绩不亮眼 基金经理离任,GPLP犀牛财经
607,2021-05-26,【牛人重仓】南京银行:前复权价创历史新高，今日资金流入147.2万元，北向资金持股17801.68万股，融资余额125992.27万元；前3个交易日，北向资金增持-90.6万股，融资额增加1577.71万元，主力资金净流入10238.82万元,每日经济新闻
608,2021-05-26,近期关注机构重仓股走势,证券之星
609,2021-05-24,4月新能源车市场高景气延续、动力电池Top10企业所占市场份额下降 经营问题,Ofweek
610,2021-05-24,【申港电新|周观点】我国4月新能源车市场高景气延续,新能源深度研究
611,2021-05-21,南京银行股价昨涨逾3%,大众证券报
612,2021-05-20,齐鲁银行A股上市先发后至，王晓春黄家栋掌舵十年磨一剑,时代在线
613,2021-05-20,【行情】银行板块午后拉升，杭州银行涨近4%，江苏银行、常熟银行、南京银行跟涨,金十数据
614,2021-05-20,银行股午后崛起，杭州银行涨超3%,Wind
615,2021-05-19,生物医药企业研发投入高回报周期长 商业银行如何提供支持？,东方网
616,2021-05-19,QFII炒股能力揭秘：前十机构回报均超20倍,Wind
617,2021-05-19,银行业2020年报及一季报综述：拨备缓解推动盈利向上,新浪
618,2021-05-18,深度*行业*银行业周报：行业基本面改善 社融增速下行,新浪
619,2021-05-18,银行周报：4月社融数据稳定 息差或将上行,新浪
620,2021-05-17,周报丨舆情聚焦江阴银行某高管配偶窗口期短线交易！14家江苏上市金融机构热点舆情全知晓,和讯
621,2021-05-15,A股上市城商行高管薪酬榜，山东表现如何？,搜狐
622,2021-05-15,江苏区域股市周报：联测科技新上市 南京银行进市值前10强,每日经济新闻
623,2021-05-14,A股城商行首季净利增速排名：江苏宁波成都银行领先,中国经济网
624,2021-05-14,中国可转债策略周报：成交额表达了什么,新浪
625,2021-05-14,一周研读：货币政策稳定 行业业绩复苏,新浪
626,2021-05-14,深度*公司*南京银行(601009)：息差环比走阔 信贷增长强劲,新浪
627,2021-05-14,银行角度看4月社融：供给端总量控制会放松，预计5月不弱【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
628,2021-05-13,南京银行(601009.SH)公开发行可转债申请获证监会核准,智通财经
629,2021-05-13,南京银行：证监会核准公司发行200亿元可转债,每日经济新闻
630,2021-05-13,南京银行(601009.SH)：200亿元可转债计划获批,格隆汇
631,2021-05-13,江苏上市银行2020年业绩盘点：资产规模持续扩张，归母净利润均上涨,华夏时报
632,2021-05-12,银行股回暖？张坤谢治宇都在买，国家队、险资却撤离,Wind
633,2021-05-12,银行股发力，兴业银行涨近4%,Wind
634,2021-05-12,热搜刷屏！财政部突传重磅，房地产税大消息来了！,Wind
635,2021-05-12,一季度业绩增长较快，银行股承蒙明星基金经理抬爱,Wind
636,2021-05-11,城商行三强：13年沧海桑田,新浪
637,2021-05-11,30家资产过万亿银行员工分布及人均薪酬指标一览（2020版）,新浪
638,2021-05-11,银行业2021年一季报回顾-改善与分化,新浪
639,2021-05-11,江苏九大银行运行报告：江阴银行净利润叠增，南京银行不良升了,21世纪经济报道
640,2021-05-10,上市银行薪酬排行榜：员工年薪33万 民生银行业绩最差高管平均薪酬最高为163万,挖贝网
641,2021-05-10,南京银行增长放缓资产质量下降 营业支出增加信用减值上升,GPLP犀牛财经
642,2021-05-10,【行情】银行股午后走低，重庆银行跌逾4%，杭州银行、兴业银行跌超3%，宁波银行、南京银行、厦门银行、招商银行等纷纷走低,金十数据
643,2021-05-10,护城河不深控股股东存关联风险 万事利过会数月后为何仍未发行？,投资者网
644,2021-05-10,一季度亮相4家银行前十大流通股股东名单 社保基金和养老金组合增减方向不同,证券日报
645,2021-05-09,存银行不如买银行！A股3家银行股息率超6%，38家合计派现4900亿，6成分红率超30%,证券时报
646,2021-05-09,存银行不如买银行！38家A股银行派现4900亿,Wind
647,2021-05-07,银行股持续走高，南京银行、平安银行、兴业银行均涨超3%,Wind
648,2021-05-07,南京高科完成南京银行增持计划，耗资5.71亿元增持7407万股,资本邦
649,2021-05-07,南京银行发布2020年年报和2021年一季报——业务结构优化 息差中收改善 实现可持续稳健增长,中国金融新闻网
650,2021-05-06,技术赋能未来，互联网时代南京银行的新价值空间,财经无忌
651,2021-05-06,南京高科一年内增持南京银行约7407万股,上证报
652,2021-05-06,南京高科(600064.SH)完成增持7406.89万股南京银行股份 耗资5.71亿元,智通财经
653,2021-05-06,南京银行：南京高科增持计划完成，累计增持约7407万股,每日经济新闻
654,2021-05-06,南京银行(601009.SH)：南京高科增持期届满累计增持7406.89万股,格隆汇
655,2021-05-06,南京高科：增持南京银行股份有限公司股份计划实施结果，增持约7407万股,每日经济新闻
656,2021-05-06,南京高科：累计增持南京银行7406.89万股股份 占总股本0.74%,乐居财经
657,2021-05-06,南京银行中间业务收入增长强劲 2020年拟派现39.33亿元,证券日报网
658,2021-05-05,全部54家上市银行2020年指标排名大全,搜狐
659,2021-05-03,外资一季度持仓路径解析：32公司被重仓超3年，4月重启加仓,Wind
660,2021-05-01,上市股份行十年业绩分化：谁在沉沦，谁在突进 盈利能力下降,Wind
661,2021-05-01,城商行年报看点：营收、净利增速“下台阶”,经济观察网
662,2021-05-01,南京高科(600064)：城市运营商与价值创造者 归母净利稳健增长,新浪
663,2021-04-30,南京银行2020年营收同比增超6% 投行业务贡献中收高增长,每日经济新闻
664,2021-04-30,牵手15年后法巴继续加码南京银行，下半年或参与认购可转债,第一财经
665,2021-04-30,6家银行财报发布后股价出现大跌 建行罕见跌3%,21世纪经济报道
666,2021-04-30,又有两家基金公司总经理换人了！老将冀洪涛履新红土创新，龙艺加盟鑫元基金 董监高成员变化,每日经济新闻
667,2021-04-30,南京银行、邮储银行等6家银行财报发布后股价出现大跌,21世纪经济报道
668,2021-04-30,行长年报致辞 | 南京银行林静然：加快推进新五年规划落地 以数字转型赋能未来,和讯
669,2021-04-30,2020年报数据显示：江苏上市公司实现营收近2.5万亿元,经济日报
670,2021-04-30,A股收盘综述：上证指数跌0.81%，创业板指涨1.31%,Wind
671,2021-04-30,银行板块大幅下挫 邮储银行、南京银行跌近8% 连续下跌,证券时报网
672,2021-04-30,南京银行2020年实现营业收入344.65亿元 同比增长6.24%,中国网
673,2021-04-30,A股午盘综述：上证指数跌0.51%，创业板指大涨收复3100点,Wind
674,2021-04-30,业务结构优化，息差中收改善，实现可持续稳健增长,第一财经
675,2021-04-30,快讯：银行股早盘表现低迷 南京银行大跌7% 连续下跌,新浪
676,2021-04-30,银行股震荡，南京银行跌超7%！板块昨日获北向资金加仓头名,资本邦
677,2021-04-30,南京银行2020暨2021一季报详细解读： 零售高端客户增长良好，高ROE持续【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
678,2021-04-29,南京银行(601009.SH)一季度归母净利同比增9.3%至40.99亿元,智通财经
679,2021-04-29,南京银行(601009.SH)年度归母净利同比增5.2%至131.01亿元 拟10股派3.93元,智通财经
680,2021-04-29,南京银行：基本面转好，低估值或迎来修复,证券之星
681,2021-04-29,南京银行中收增长强劲 潜能可期,中国网
682,2021-04-29,南京银行：2020年净利润同比增长5.2%,Wind
683,2021-04-29,南京银行：一季度净利润同比增长9.3%,Wind
684,2021-04-29,南京银行一季报：净利润41亿同比增长9.30%，不良率较年初持平,金融界
685,2021-04-29,南京银行：第一季度净利润40.99亿元 同比增长9.30%,中证网
686,2021-04-29,南京银行：2020年净利润同比增长5.2%拟10派3.93元,格隆汇
687,2021-04-29,南京银行(601009.SH)2020年度净利润升5.2%至131.01亿元拟10派3.93元,格隆汇
688,2021-04-29,南京银行(601009.SH)一季度净利润升9.3%至40.99亿元,格隆汇
689,2021-04-29,快讯丨南京银行：2020年归母净利润131.01亿元，同比增长5.20%,财经网
690,2021-04-29,快讯丨南京银行：一季度归母净利润40.99亿元 同比增9.30%,财经网
691,2021-04-29,解盘：资金持续流入，证券、半导体、智能音箱领涨,Wind
692,2021-04-29,鑫元基金张乐赛离任总经理另有任用 新任龙艺为总经理 董监高成员变化,新浪
693,2021-04-28,南京银行A股可转换公司债券公开发行申请获通过,资本邦
694,2021-04-27,上海银行VS宁波银行 谁才是城商行中的零售之王？,新浪
695,2021-04-27,南京银行(601009.SH)公开发行A股可转债申请获证监会审核通过,智通财经
696,2021-04-27,银行基本面跟踪三十：Q1持仓增幅显着 继续看好板块配置价值,新浪
697,2021-04-27,银行指数跌0.25% 兴业银行等3股获超1000万元大单抢筹,证券日报网
698,2021-04-23,外资和公募一起狂买这类股票,Wind
699,2021-04-22,证监会：南京银行、华泰股份可转债事项将于4月26日上会,中证网
700,2021-04-22,A股收盘综述：板块轮动加快，VR、医美联手大涨,Wind
701,2021-04-22,平安PK招行 “零售之王”会否易主？,中金在线
702,2021-04-22,南京银行股价昨上涨逾3%,证券之星
703,2021-04-21,什么信号？银行股大涨！百亿基金和北向资金齐加仓,Wind
704,2021-04-20,银行股全线复苏，杭州银行、平安银行均涨超3%,Wind
705,2021-04-19,南京银行认投全国首单碳中和绿色科技创新债券,搜狐
706,2021-04-19,南京银行持续创新升级小微金融服务助力企业发展,经济观察网
707,2021-04-19,和众汇富：看一看南京银行到底哪里稳？,云掌财经
708,2021-04-15,中泰证券--银行角度看3月社融：信贷结构持续向好，实体融资需求较旺盛【行业研究】,金融界股吧
709,2021-04-15,南京银行“鑫梦享”疑涉未明示年化利率 融资补血难解资本之渴,新浪
710,2021-04-14,A股市场破净股一览（4月14日）,Wind
711,2021-04-13,南京银行：将于4月26日召开“19南昌水投MTN001”持有人会议,Wind
712,2021-04-13,银行年报披露将迎短暂真空期，只有3家银行业绩未亮相,Wind
713,2021-04-12,太平洋证券：无需对信贷增速过度悲观，关注银行业一季报行情,Wind
714,2021-04-08,本土金融科技公司生存现状：毛利降低成本提升，靠抱团突围,云掌财经
715,2021-04-08,南京银行今日大宗交易成交30.06万股，成交价9.98元溢价1.11%,Wind
716,2021-04-08,中泰证券--银行周度跟踪：延期还本付息贷款延长，利率总体保持平稳【行业研究】,金融界股吧
717,2021-04-08,银行业2021年二季度投资策略：ROE拐点将近,新浪
718,2021-04-08,银行业延期还本付息和信用贷款支持计划延长点评：体现政策连续性 资产质量压力有限,新浪
719,2021-04-07,银行周报：系统重要性银行新规解读,新浪
720,2021-04-07,浙商证券--银行行业：普惠小微政策延期点评，政策稳定，精准滴灌【行业研究】,金融界股吧
721,2021-04-07,中泰证券--银行：延期还本付息和信用贷款支持计划延长点评：体现政策连续性，资产质量压力有限【行业研究】,金融界股吧
722,2021-04-06,上市公司业绩和发债规模比一比，风险如何？4张图看清,Wind
723,2021-04-06,中泰证券：银行资产质量稳中改善推荐两条选股逻辑,金融界
724,2021-04-05,专题︱银行1季报前瞻的框架：影响息差的核心因素【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
725,2021-04-04,【浙商|银行梁凤洁/邱冠华】政策稳定，精准滴灌,大话金融
726,2021-04-03,延期还本付息和信用贷款支持计划延长点评： 体现政策连续性，资产质量压力有限【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
727,2021-04-03,罚款近7000万、高层丑闻、业绩疲软，南京银行为何屡陷风波？ 盈利能力下降,云掌财经
728,2021-04-02,南京银行：国家目前对个人持股期超过一年的股息红利所得免征个税,每日经济新闻
729,2021-03-31,胜券在握｜南京银行副行长：绿色金融债发行将加速产业转型,澎湃新闻
730,2021-03-30,陷“车置宝”事件风波 南京银行否认给予其2亿元融资,新浪
731,2021-03-30,南京银行陷“车置宝”事件风波,证券之星
732,2021-03-30,太平洋--南京银行：被低估的优质城商行【公司研究】,金融界股吧
733,2021-03-30,银行行业跟踪：年报验证基本面上行趋势 估值中枢有望进一步抬升,新浪
734,2021-03-30,银行股普遍疲软，杭州银行跌近4%,Wind
735,2021-03-29,银行周报：加强银行负债质量管理 严查经营贷流向,新浪
736,2021-03-29,银行业周报：多政策促改革 经营贷再规范,新浪
737,2021-03-29,银行业经营环境稳定，推荐两条投资主线,中信证券
738,2021-03-28,2020年，哪家银行理财能力最强？,丁丁创e
739,2021-03-28,理财能力哪家强？年度数据看这仨银行！,中国银行保险报
740,2021-03-26,银行股开始发力，杭州银行、兴业银行、南京银行涨幅居前,Wind
741,2021-03-25,南京银行2亿投资车置宝打水漂！涉假公章担保案，100万“封口费”？ 其他违规处罚,凤凰网
742,2021-03-24,银行业：消费贷款利率回升 对业绩影响几何？,新浪
743,2021-03-23,ABS一周市场回顾,新浪
744,2021-03-23,银行业月报：2月社融表现超预期 银行业基本面逐步改善,渤海证券
745,2021-03-23,2020年度全国298家银行理财能力排行榜,新浪
746,2021-03-23,顺周期属性强化银行股投资机会渐显,Wind
747,2021-03-22,可转债日报：两市逾八成转债上涨，小康转债刷新历史新高,Wind
748,2021-03-22,固定收益点评：转债新券不止 中低价配置窗口未完待续,广发证券
749,2021-03-22,什么情况？券商银行股集体爆发！北向资金持续扫货,Wind
750,2021-03-22,银行周度跟踪：利率维持高位震荡 主动负债压力平稳,新浪
751,2021-03-22,增持股票4个月涨幅近28%　南京银行行长现“股神级”操作,经济观察报
752,2021-03-19,4年累计罚款超6900万，核心资本承压，业绩增速面临困境，南京银行遭遇至暗时刻？,云掌财经
753,2021-03-19,上市公司正负面新闻2021年3月19日星期五,Wind
754,2021-03-18,晚间重要公告2021年3月18日星期四,Wind
755,2021-03-18,南京银行(601009.SH)拟发行不超400亿元金融债券,格隆汇
756,2021-03-18,南京银行股价连续收阳,大众证券报
757,2021-03-16,地方银行发力财富管理 已上市银行更具优势排名居前,证券日报网
758,2021-03-16,银行行业信息点评：2020年金融统计数据新闻发布会点评：利率已达合适水平 M1改善源于实体,新浪
759,2021-03-16,银行股的投资逻辑：为什么我们坚定看好银行股？,新浪
760,2021-03-16,【研报掘金】银行股低估值+基本面拐点向上性价比极高 继续看好板块投资机会,证券时报网
761,2021-03-15,银行行业周报：2月信贷社融增速回升 关注上市银行年报落地,新浪
762,2021-03-15,八大券商主题策略：估值上升期有望来临 顺周期视角下的银行板块投资逻辑,中金在线
763,2021-03-15,银行业周报：社融总量、结构向好 继续看好板块投资机会,新浪
764,2021-03-15,银行板块估值上升期有望来临 银行龙头股票有哪些？,至诚财经
765,2021-03-15,银行股震荡攀升，城商行涨幅居前,Wind
766,2021-03-15,中泰证券：银行板块景气度持续上行,Wind
767,2021-03-14,76家机构“挤破门槛”，这只银行股有点火！,Wind
768,2021-03-12,南京银行可转债发行上弦：核心资本承压 涉骗贷案致巨额损失 欺诈造假,科技新闻网
769,2021-03-12,银行业：2月金融数据公布 信贷需求强劲,新浪
770,2021-03-12,银行股开始发力，南京银行涨逾3%,Wind
771,2021-03-11,南京银行回复证监会可转债反馈意见：过去4年累计领罚6956.68万元 金融监管处罚,北京商报
772,2021-03-11,银行基本面跟踪二十八：需求旺 政策稳-2月社融、信贷点评,新浪
773,2021-03-11,银行业2021年2月金融数据点评：需求恢复 融资乐观,新浪
774,2021-03-11,中泰证券--银行角度看2月社融：实体信贷需求旺盛，板块景气度向【行业研究】,金融界股吧
775,2021-03-11,A股机会掘金：银行股强势崛起！有色、水泥等板块掀涨停潮 抓住机会了吗？,中金在线
776,2021-03-11,茅台招行罕见联手：暴涨1800亿，白马股集体爆发,Wind
777,2021-03-11,成交量创年内新低后，银行率先发力引领反击，中金给出40%上涨目标价,财联社
778,2021-03-11,解盘：百亿资金流入，工业金属、医疗服务、稀土领涨,Wind
779,2021-03-11,银行景气度持续向上，中金再次重申全面看好银行股,第一财经
780,2021-03-11,南京银行大涨5.73%，近5日共流出9965.67万元,中新经纬
781,2021-03-11,宏观需求持续向好，银行板块受提振，招商银行等大涨,证券时报网
782,2021-03-11,【行情】银行板块开盘走高，江苏银行涨逾4%，招商银行、兴业银行、南京银行跟涨,金十数据
783,2021-03-11,银行行业：资产收益率有望回升 哪些银行更受益？,广发证券
784,2021-03-11,银行角度看2月社融：实体信贷需求旺盛，板块景气度向上【中泰金融·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
785,2021-03-09,银行板块防御价值凸显，机构建议个股选择可遵循两条线索,第一财经
786,2021-03-08,银行行业报告：基本面有望持续改善 看好板块估值提升,新浪
787,2021-03-08,"还有60%涨幅空间？1.5万亿城商行龙头回归,南京银行新行长狠抓数字化与大零售战略,“债市之王”再赢市场信心",金融界
788,2021-03-08,解盘：抱团股续跌，稀土、次新、风力发电、环保略涨,Wind
789,2021-03-08,银行业区域研究系列二：江苏省及10家上市银行所在地,新浪
790,2021-03-08,【牛人重仓】南京银行:前复权股价创历史新高，今日资金流入4549.0万元，北向资金持股19300.1万股，融资余额157991.55万元；前3个交易日，北向资金增持1897.07万股，融资额增加-3693.61万元，主力资金净流入21840.17万元,每日经济新闻
791,2021-03-08,快讯：银行板块早盘异动 南京银行创历史新高,新浪
792,2021-03-08,银行板块持续走高，南京银行涨超4%,Wind
793,2021-03-08,中泰证券：银行贷款利率上升有望持续较长时间,金融界
794,2021-03-08,戴志锋：贷款利率上升 有望持续较长时间,新浪
795,2021-03-07,专题 | 贷款利率上升，有望持续较长时间——供求关系与监管政策【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
796,2021-03-06,调整行情21股逆市创新高，6股获北向资金青睐,证券时报
797,2021-03-06,银行业2021年春季投资策略：从区域分化视角看银行股投资逻辑,光大证券
798,2021-03-05,南京银行(601009)：拥抱数字化转型 打造智能零售金融,新浪
799,2021-03-05,上调评级至买入策略选股（3月5日）,Wind
800,2021-03-05,29股获券商买入评级 昊海生科目标涨幅达102.04%,Wind
801,2021-03-05,3月4日35只个股获券商关注，豆神教育目标涨幅达125.6%,每日经济新闻
802,2021-03-04,浙商早知道 | 3月5日,浙商证券研究所
803,2021-03-04,每日梳理 | 3月4日银行业新闻精选,财经网
804,2021-03-04,快讯|南京银行股价、市值再创新高,财经网
