,2021-12-30,恒逸石化大宗交易成交2106.00万元,证券时报网
473,2021-03-15,石油石化、基础化工、新材料行业北上资金流向周报,新浪
474,2021-03-15,原油系列报告(十四)：高油价是否可持续？,新浪
475,2021-03-15,“炼化-化纤”产业链周报：涤纶长丝价格及价差持续向好,新浪
476,2021-03-15,石油化工行业周报：2021年海外石化龙头公司估值对标之：利安德巴塞尔公司,新浪
477,2021-03-11,公司调研｜恒逸石化：当前产销两旺今年新增2个聚酯项目,财联社
478,2021-03-11,恒逸石化今日大宗交易成交400万股，成交价16.01元溢价0.0%,Wind
479,2021-03-11,两融余额持续缩减，科创板次新股获资金关注,Wind
480,2021-03-10,恒逸石化(000703.SZ)：控股股东解除质押约4494.21万股,格隆汇
481,2021-03-10,中银证券--化工行业周报：OPEC延续减产，氨纶价格涨幅领先【行业研究】,金融界股吧
482,2021-03-10,2021年原油价格展望：年内高点可能冲击80美元 未来2年中枢继续向上,新浪
483,2021-03-09,恒逸石化跌8.2% 上月国盛证券发研报喊买入,中国经济网
484,2021-03-09,A股深V反弹，深市上演500点大长腿，资金大抄底！,证券之星
485,2021-03-09,化纤板块跌超3%，恒逸石化、桐昆股份下挫逾6%,Wind
486,2021-03-08,化工行业周报：油价新高 继续坚守龙头并增配低估值弹性标的,新浪
487,2021-03-08,沙特减产+能源设施遇袭，机构推荐两大主线14只个股,第一财经
488,2021-03-08,石油化工行业周报：四大利好助油价大涨创新高 涤纶长丝市场升温,新浪
489,2021-03-08,化工行业周报【20210307】,点化成金
490,2021-03-06,石油化工行业研究：OPEC+3月4日部长级会议点评：OPEC+延长减产计划 油价崛起,光大证券
491,2021-03-06,石化化工行业近期行情点评：短期调整不改长期逻辑 坚定长期看好石化化工板块行情,光大证券
492,2021-03-05,恒逸石化今日大宗交易成交60万股，成交价15.89元折价7.02%,Wind
493,2021-03-05,16家公司获逾100家机构集中调研，它们是谁？,Wind
494,2021-03-05,机构密集调研医药生物行业：恒逸石化和航天发展有望掀起反弹浪潮,巨丰财经
495,2021-03-05,OPEC+减产支撑油价，石油板块持续走高，关注两主线,证券时报网
496,2021-03-05,石油化工行业：OPEC+达成减产协议 油价短期仍将上行,新浪
497,2021-03-05,融资客青睐2股，海亮股份买入占比高达43.47%,Wind
498,2021-03-05,12股获融资客逆市净买入超亿元,证券时报网
499,2021-03-05,中信证券：此轮油价上行或有望再持续一年,Wind
500,2021-03-05,晨会0305｜油价上行或有望再持续一年,中信证券研究
501,2021-03-04,16家公司获逾100家机构集中调研，它们是谁？,第一财经
502,2021-03-04,【中金固收·信用】中国公司债及企业债信用分析周报,中金固定收益研究
503,2021-03-03,中银证券--化工行业周报：油价与海外供应紧张致化工品价格大幅上涨【行业研究】,金融界股吧
504,2021-03-02,恒逸石化跌近6% 上周一国盛证券发研报喊买入,中国经济网
505,2021-03-02,A股收盘综述：上证指数下滑1.21%守住3500，资金流入碳中和概念股,Wind
506,2021-03-01,最新调研动作！睿远、高毅、贝莱德正在关注这些公司,格隆汇
507,2021-03-01,恒逸石化(000703.SZ)已累计回购2748.52万股,智通财经
508,2021-03-01,化工行业周报：化工行业景气指数单周大涨6.22%,新浪
509,2021-03-01,恒逸石化(000703.SZ)2月份未回购公司股份,格隆汇
510,2021-03-01,2月金股组合盈利0.68% 3月荐股名单出炉,新浪
511,2021-03-01,顺周期关注度提升，机构称3月基本面修复趋势延续,Wind
512,2021-03-01,化工行业周报：坚守龙头 建议重点配置低估值周期景气标的,新浪
513,2021-03-01,化工产品迎来史诗级上涨 化工龙头股票有哪些？,至诚财经
514,2021-03-01,恒逸石化(000703)：文莱炼化产品涉及PTA、己内酰胺上,纺织网
515,2021-03-01,51家公司获机构调研（附名单）,证券时报网
516,2021-03-01,石油化工行业周报：与历史上三轮石化行情对比 当前石化景气程度与持续性,新浪
517,2021-03-01,抱团股回调了，机构们都关注了哪些公司？（附股）,21世纪经济报道
518,2021-03-01,陆家嘴财经早餐2021年3月1日星期一,Wind
519,2021-03-01,扑向两类标的，明星机构节后调研忙,Wind
520,2021-03-01,股价大跌引关注，逾180家机构调研传音控股,Wind
521,2021-02-28,石油化工新材料行业北上资金周报,新浪
522,2021-02-28,为调仓换股做准备？节后高毅、睿远等明星机构密集调研……,Wind
523,2021-02-27,3500点关口下A股分歧：杀估值的机会与风险,经济观察报
524,2021-02-26,恒逸石化跌近8% 周一国盛证券发研报喊买入,中国经济网
525,2021-02-26,"恒逸石化现1笔大宗交易 共成交1,464.00万元",新浪
526,2021-02-26,恒逸石化今日大宗交易成交80万股，成交价18.3元溢价1.84%,Wind
527,2021-02-26,机构密集调研医药生物 恒逸石化和大华股份有望连续爆发,巨丰财经
528,2021-02-26,A股午盘综述：上证指数跌1.84%，5G、环保股携手大涨,Wind
529,2021-02-26,恒逸石化等18股获20家以上机构调研,证券时报网
530,2021-02-25,恒逸石化调研引爆全场 睿远高毅嘉实齐参与,新浪
531,2021-02-25,化纤股强力反弹，恒逸石化、神马股份、桐昆股份、华峰化学、恒力石化大涨,Wind
532,2021-02-25,恒逸石化：去年四季度至今公司下游聚酯化纤去库存理想，产品盈利能力回升,Wind
533,2021-02-24,恒逸石化发生大宗交易成交溢价率2.50%,证券时报网
534,2021-02-24,"恒逸石化现1笔大宗交易 共成交1,544.00万元",新浪
535,2021-02-24,恒逸石化今日大宗交易成交80万股，成交价19.3元溢价2.5%,Wind
536,2021-02-24,恒逸石化(000703)：“19恒逸01”调整票面利率及投资者,证券时报网
537,2021-02-23,行业观察|短纤价格“期现”同涨 业内乐观看多 “金三银四”仍可期,财联社
538,2021-02-23,股价创历史新高股一览,证券之星
539,2021-02-23,恒逸石化：将“19恒逸01”票面利率由6.38%下调至5.8%,Wind
540,2021-02-23,中银证券--化工行业周报：国际油价高位震荡，外盘推涨芳烃PVC价格【行业研究】,金融界股吧
541,2021-02-23,化工行业：涤纶产业链回暖 醋酸价格上涨,新浪
542,2021-02-23,2月23日不可错过的股市资讯（国务院出大利好，比特币暴跌后迎暴力反弹，24小时内36万人爆仓）,云掌财经
543,2021-02-23,供需缺口明显，化工品迎全面涨价潮,Wind
544,2021-02-22,恒逸石化封住涨停提振化纤板块，恒力石化、桐昆股份等再创新高,Wind
545,2021-02-22,化工行业周观点：需求与油价共振 节后化工品价格跳涨,新浪
546,2021-02-22,方正策略：资产价格何时见顶？兼论金融、经济、股市、商品周期,方正证券
547,2021-02-22,安信证券--基础化工行业周报：化工品价格普涨，看好传统旺季行情【行业研究】,金融界股吧
548,2021-02-22,化工板块再度崛起，泰和新材冲击涨停,Wind
549,2021-02-22,国盛证券首予恒逸石化买入评级：炼化-化纤均衡一体化，全球化纤巨头加速崛起,每日经济新闻
550,2021-02-20,「财富周评榜」石油化工股牛年伊始飘红：“两桶油”稳居市值榜前二，中国石油上市13年市值蒸发8万亿 连续下跌,华夏时报
551,2021-02-20,北上资金调仓迹象明显 银行股成重点加仓方向,证券时报
552,2021-02-19,百亿聪明资金抄底A股，疯狂买入这一板块！,证券时报网
553,2021-02-19,恒逸石化：100万吨环保纤维项目投产，产能放量业绩可期,中金在线
554,2021-02-19,化工行业：周期风云再起 大化工机遇何在？,新浪
555,2021-02-19,上市公司套保需求上升，期货业开拓“蓝海”服务实体经济,Wind
556,2021-02-18,恒逸石化(000703.SZ)：“100万吨差别化环保功能性纤维项目”已完全投产,格隆汇
557,2021-02-18,化工期货、股票涨停潮！一文读懂上涨逻辑,Wind
558,2021-02-18,2021年第一波，涨价“红包”如期而至,Wind
559,2021-02-18,万华化学、山西汾酒、恒力石化、恒逸石化等明星股均创下历史新高,Wind
560,2021-02-18,石油化工板块走强，51只个股上涨，恒逸石化上涨9.96%,每日经济新闻
561,2021-02-10,恒逸石化现1笔大宗交易 共成交499.96万元,新浪
562,2021-02-10,董责险走俏，上市公司投保渐趋普及,Wind
563,2021-02-09,恒逸石化今日大宗交易成交156万股，成交价16.08元溢价0.0%,Wind
564,2021-02-09,化工板块出黑马！北上资金和机构猛加仓,证券时报网
565,2021-02-08,"恒逸石化现3笔大宗交易 共成交11,054.13万元",新浪
566,2021-02-08,石油石化、基础化工、新材料行业北上资金流向周报,新浪
567,2021-02-08,石油化工行业：油价持续上涨 板块迎配置良机,新浪
568,2021-02-08,中银证券：春节后将迎来需求旺季，或将推动化工产品的新一轮涨价,证券时报网
569,2021-02-08,【化工】化工行业周报20210207：原油价格恢复至疫前水平，氨纶、尿素维持强势,中银证券研究
570,2021-02-08,石油化工行业“炼化-化纤”产业链周报：沙特自愿额外减产100万桶／天 油价创一年新高,新浪
571,2021-02-07,【周末特辑】为何看好顺周期涨价的持续性？,国金证券研究所
572,2021-02-07,近7000万吨规模聚酯产业链形势大好！荣盛、恒力等龙头企业交出漂亮成绩单！,全球纺织网
573,2021-02-06,石油化工2020年报业绩前瞻：石化龙头盈利持续性增强 涤纶长丝迎景气反转,新浪
574,2021-02-05,化工行业投资组合(2月份),新浪
575,2021-02-04,【中金固收·信用】中国公司债及企业债信用分析周报,中金固定收益研究
576,2021-02-04,东方盛虹：大炼化项目上空的环保压力,全球纺织网
577,2021-02-04,国际原油价格跟踪点评：油价重返疫情前水平 上调布油预期到55-65美元/桶,光大证券
578,2021-02-03,A股共发生152宗大宗交易成交106.17亿元（2月3日）,Wind
579,2021-02-02,恒力石化大力布局可降解塑料 规模将是2019年全国产能近2倍,--
580,2021-02-01,恒逸石化(000703.SZ)：1月份回购股份0股,格隆汇
581,2021-02-01,恒逸石化(000703.SZ)已累计回购2748.52万股,智通财经
582,2021-02-01,基础化工行业周报：油价上涨 苏氨酸价格大涨 MDI挂牌价环比持稳,新浪
583,2021-02-01,石油化工行业周报：油价维持55美元上方 涤纶长丝去库持续,新浪
584,2021-02-01,石油化工行业周报：从全球乙烯产能投放趋势 来看大炼化竞争力与乙烯市场空间,新浪
585,2021-02-01,融资客青睐6股，七匹狼买入占比高达43.61%,Wind
586,2021-01-31,石油石化、基础化工、新材料行业北上资金流向周报,新浪
587,2021-01-28,海通证券研究所早报,新浪
588,2021-01-26,石化行业周报：行业修复空间仍在 关注涤纶化纤投资机会,新浪
589,2021-01-25,化工行业周报：农药板块迎来景气反转 关注细分龙头 继续推荐顺周期资产,新浪
590,2021-01-25,为建设国际总部中心，恒逸石化拟与控股股东恒逸集团新设公司,资本邦
591,2021-01-25,石油化工新材料行业北上资金周报,新浪
592,2021-01-23,上市公司正负面新闻2021年1月23日星期六,Wind
593,2021-01-22,恒逸石化(000703.SZ)拟斥7.5亿元设立子公司以建设国际总部中心,智通财经
594,2021-01-22,恒逸石化(000703.SZ)：拟向控股股东申请10亿元短期流动资金支持,格隆汇
595,2021-01-22,恒逸石化(000703.SZ)：拟开展2021年外汇套期保值业务,格隆汇
596,2021-01-22,恒逸石化(000703.SZ)及下属子公司2021年度拟开展商品套期保值业务,格隆汇
597,2021-01-22,恒逸石化(000703.SZ)拟与控股股东共同投资设立公司持股比例75%,格隆汇
598,2021-01-22,石油与天然气行业：民营炼化：具备全球竞争力的核心资产,新浪
599,2021-01-22,A股融资融券日报：两融余额增加110.85亿元（1月21日）,Wind
600,2021-01-21,福耀玻璃、顺丰、恒力石化、荣盛石化、恒逸石化、传音控股等均创历史新高,Wind
601,2021-01-21,石油天然气行业-化工春季行情展望报告(四)：长丝复苏、油价回暖 炼化景气向上,新浪
602,2021-01-20,彰显价值，A股迎来一大波回购潮,Wind
603,2021-01-19,石油加工行业每周炼化：放假临近织机开工下调！,新浪
604,2021-01-19,石化行业2020年年报前瞻：景气反转,新浪
605,2021-01-18,石油化工行业周报：LPG价格上涨成因及对石化产业链影响几何,新浪
606,2021-01-18,化工行业周报：粘胶涨价有望超预期 继续看好顺周期龙头,新浪
607,2021-01-18,恒力石化一度涨停再创新高，荣盛石化、桐昆股份、恒逸石化同步飙升,Wind
608,2021-01-18,A股早报2021年1月18日星期一,Wind
609,2021-01-18,本周2426亿市值限售股解禁，环比增加1254.32% 解禁,Wind
610,2021-01-17,石油化工行业OPEC月报点评：OPEC维持减产 维持2021年原油需求预期不变,新浪
611,2021-01-16,中国与文莱发表联合新闻稿：同意在疫苗采购和使用方面加大合作力度,Wind
612,2021-01-15,化工行业周报【20210118】,点化成金
613,2021-01-15,A股融资融券日报：两融余额减少33.94亿元（1月14日）,Wind
614,2021-01-14,桐昆股份(601233)：控股股东认购定增彰显信心 行业景气复苏助力公司成长,新浪
615,2021-01-13,恒逸石化：占总股本1.77%限售股将于1月18日上市流通 解禁,Wind
616,2021-01-13,恒逸石化(000703.SZ)6510.17万股限售股将于1月18日上市流通 解禁,智通财经
617,2021-01-13,石油加工行业每周炼化：长丝库存大降！,新浪
618,2021-01-12,石油石化、基础化工、新材料行业北上资金流向周报,新浪
619,2021-01-11,化工行业周报：原油价格持续反弹 加大顺周期行业龙头配置力度,新浪
620,2021-01-11,“炼化-化纤”产业链周报：恒力惠州150亿PTA项目开工 新凤鸣Q4业绩环比大增452%-572%,新浪
621,2021-01-07,【研报掘金】油价处于持续回升周期中 积极布局油价回升及需求复苏受益板块,证券时报网
622,2021-01-05,石油加工行业每周炼化：中化泉州PX新装置投产！,新浪
623,2021-01-05,【每日丝路快讯】1月5日：“十三五”期间中国利用外资总规模再创新高,Wind
624,2021-01-05,石油化工2021年石化行业关键词,格隆汇
625,2021-01-05,安信研究|晨会在线20210105,安信证券研究
626,2021-01-05,【化工-张汪强】需求复苏和补库共振，化工行业景气可期,安信证券研究
627,2021-01-04,恒逸石化(000703.SZ)：截至12月底累计回购3.5亿元股份,格隆汇
628,2021-01-04,石油化工行业周报：2020年石油化工重点回顾与2021年趋势展望,新浪
629,2021-01-04,化工行业周报：粘胶淡季不淡 看好化工核心资产及顺周期龙头,新浪
630,2021-01-04,石油化工新材料行业北上资金周报,新浪
631,2020-12-30,A股共发生282宗大宗交易成交73.89亿元（12月30日）,Wind
632,2020-12-30,恒逸石化今日大宗交易成交700万股，成交价12.25元溢价0.0%,Wind
633,2020-12-30,79家公司获机构调研（附名单）,证券之星
634,2020-12-29,石油加工行业每周炼化：江浙年末短暂限电！,新浪
635,2020-12-28,石油化工行业周报：涤纶长丝有望长期好转 大炼化比较优势明显与估值溢价空间提升,新浪
636,2020-12-28,化工行业周报：制冷剂、粘胶继续上涨 建议加大顺周期资产配置力度,新浪
637,2020-12-28,石油化工行业“炼化~化纤”产业链周报：中科炼化二期启动 尼龙66巨头计划大幅涨价,新浪
638,2020-12-25,下周1186亿市值限售股解禁，环比增加128.62% 解禁,Wind
639,2020-12-25,恒逸石化：明年聚酯行业供需格局将进一步改善,e公司
640,2020-12-25,恒逸石化：涤纶价格随着油价的上行而上涨，进一步刺激下游补库需求,Wind
641,2020-12-22,石油加工行业每周炼化：长丝价格持续上行！,新浪
642,2020-12-22,恒逸石化(000703.SZ)：已累计回购2.72亿元股份,格隆汇
643,2020-12-22,“炼化-化纤”产业链周报：PTA价差大幅扩大 长丝价差继续上涨,新浪
644,2020-12-22,恒逸石化(000703.SZ)已耗资2.72亿元累计回购股份2105万股,智通财经
645,2020-12-19,【方正化工】化工周报：聚合MDI价格小幅反弹，玲珑董事长荣膺中国经济优秀人物,靠谱化工股
646,2020-12-18,【方正化工】化工周报：涤纶长丝、PTA持续涨价，玲珑轮胎董事长获安永企业家奖,靠谱化工股
647,2020-12-17,恒逸石化(000703.SZ)控股股东恒逸集团解质及质押各8958.3万股,智通财经
648,2020-12-17,恒逸石化(000703.SZ)：控股股东解押并再质押8958.3万股,格隆汇
649,2020-12-16,91家公司获机构调研（附名单）,证券之星
650,2020-12-15,石油化工行业“炼化-化纤”产业链周报：长丝市场回暖 价差大幅上涨,新浪
651,2020-12-14,化工行业周报：醋酸、PVC价格持续上涨 继续推荐顺周期龙头标的,新浪
652,2020-12-14,110家公司获机构调研（附名单）,证券之星
653,2020-12-11,原油价格波动上行 催化二甲苯市场行情回暖,证券时报
654,2020-12-10,突破4000元/吨：油价大涨的受益产品来了 重启涨涨涨模式,新浪
655,2020-12-09,石油加工行业每周炼化：冬季订单进入尾声？,新浪
656,2020-12-08,石化行业2021年度投资策略：油价复苏主旋律 石化掘金正当时,新浪
657,2020-12-07,【方正化工】化工周报：涤纶长丝、PTA价格上涨，湖北玲珑增资完成,靠谱化工股
658,2020-12-07,石油化工行业周报：烯烃价格维持强势 解读炼油加工对于石化的影响,新浪
659,2020-12-06,石油石化、基础化工、新材料行业北上资金流向周报,新浪
660,2020-12-03,恒逸石化今日大宗交易成交16万股，成交价12.73元溢价0.0%,Wind
661,2020-12-03,87家公司获机构调研（附名单）,证券时报网
662,2020-12-02,石油化工行业深度报告：涤纶聚酯行业有望长期好转 需求占比提升及龙头驱动格局向好,新浪
663,2020-12-01,恒逸石化(000703.SZ)：控股股东质押4290万股,格隆汇
664,2020-12-01,恒逸石化(000703.SZ)截至11月底累计回购645.581万股,格隆汇
665,2020-12-01,深度*行业*化工行业2021年策略：景气继续向上 龙头优势凸显,新浪
666,2020-11-30,基础化工／石油化工行业周报(第四十八周),新浪
667,2020-11-30,【国金晨讯】A股一周策略：历史上价值回归如何演绎？大炼化,搜狐
668,2020-11-29,【方正化工】化工周报：MDI淡季不淡，玲珑轮胎拟对湖北项目增资,靠谱化工股
669,2020-11-28,大炼化：高成长低估值谁与争锋？,国金证券股份有限公司
670,2020-11-26,13股受融资客青睐，净买入超亿元,证券时报网
671,2020-11-26,13股获融资净买入超亿元 恒逸石化居首,证券时报网
672,2020-11-25,公司解读之恒逸石化2,华安证券订阅号
673,2020-11-23,化工行业周报：加大顺周期资产配置 首推化工核心资产,新浪
674,2020-11-20,【方正化工】化工周报：MDI淡季不淡，浙石化成品油出口配额获批,靠谱化工股
675,2020-11-20,恒逸石化(000703.SZ)：控股股东解除质押4290万股,格隆汇
676,2020-11-19,恒逸石化(000703.SZ)11月19日首次回购645.581万股,格隆汇
677,2020-11-18,从6家龙头上市公司业绩看前三季度聚酯市场运行情况,中国纺织报
678,2020-11-17,恒逸石化(000703.SZ)控股股东减持200.99万张恒逸转债 减持股份,智通财经
679,2020-11-17,恒逸石化(000703.SZ)：浙江恒逸集团通过集中竞价减持“恒逸转债”200.9888万张 减持股份,格隆汇
680,2020-11-17,"恒逸石化现2笔大宗交易 共成交3,094.62万元",新浪
681,2020-11-17,2021年石油化工行业投资策略：守正不移：油价或震荡上行 把握石化龙头竞争力,新浪
682,2020-11-17,恒逸石化、长安汽车等股获融资净买入超亿元,证券时报网
683,2020-11-17,A股融资融券日报：两融余额增加73.19亿元（11月16日）,Wind
684,2020-11-17,【方正化工】化工周报：玲珑增发及股权激励落地，浙石化获批成品油配额,靠谱化工股
685,2020-11-16,可转债日报：信用债市场波动对转债市场影响有限，新债上演临停潮,Wind
686,2020-11-16,恒逸石化(000703.SZ)：恒逸集团及其一致行动人累计减持732.18万张恒逸转债 减持股份,格隆汇
687,2020-11-16,恒逸石化(000703.SZ)：“年产100万吨差别化环保功能性纤维建设项目”第四套生产线E线已于近日投产,格隆汇
688,2020-11-16,石油天然气行业：沙特12月亚洲OSP轻微下调 2021年周期性行业估值或得到修复,新浪
689,2020-11-16,周期股受关注 机构调研PTA双雄,证券时报
690,2020-11-15,价格跌至14年新低 两家龙头却要逆势扩产,e公司
691,2020-11-12,新凤鸣(603225)：公告（系列）,证券日报
692,2020-11-12,石油加工行业每周炼化：终端订单高点已过？,新浪
693,2020-11-11,恒逸石化(000703.SZ)：20亿元可转债将于11月16日起在深交所挂牌交易,格隆汇
694,2020-11-11,恒逸石化(000703.SZ)：“恒逸转债”将于11月16日深交所挂牌交易,智通财经
695,2020-11-11,深度*行业*化工行业2020年三季报综述：环比向好显著 莫负好时光,新浪
696,2020-11-11,恒逸石化(000703)：2020年第六次临时股东大会决议,证券日报
697,2020-11-10,"恒逸石化现1笔大宗交易 共成交2,450.00万元",新浪
698,2020-11-10,石油化工行业周报：以PTA为例 验证行业龙头集中与成本曲线陡峭化,新浪
699,2020-11-10,深交所：“恒逸转债”自11月16日起上市交易,Wind
700,2020-11-09,化工行业周报【20210220】,点化成金
701,2020-11-09,基础化工行业周报：油价上涨 环氧树脂、顺酐 己二酸、有机硅DMC、双酚A等产品价格上涨,新浪
702,2020-11-09,【方正化工】化工周报：投资化工股是否是时间的朋友？,靠谱化工股
703,2020-11-08,【中银化工】化工行业2020年三季报综述,点化成金
704,2020-11-06,中信银行嘉兴分行九成以上新增贷款投向实体,中国金融新闻网
705,2020-11-06,两大主力调仓换股进行时，四季度重心转向二线蓝筹,Wind
706,2020-11-05,恒逸石化：拟向宁夏红寺堡区弘德希望学校捐赠1000万元 用于教育相关事宜,发布易
707,2020-11-05,恒逸石化(000703 .SZ)：拟对外扶贫捐赠1000万元,智通财经
708,2020-11-04,2021石化年度策略：寻找后疫情时代下的石化投资机会,新浪
709,2020-11-04,化工：出口继续向好 看好纺织化纤、聚氨酯、钛白粉产业链,新浪
710,2020-11-03,【东兴化工】恒逸石化（000703）三季报点评：Q3业绩平稳增长，Q4业绩值得期待,东兴化工产业洞见
711,2020-11-03,【方正化工】化工周报：万华聚乙烯投放市场，浙石化二期投入运行,靠谱化工股
712,2020-11-02,石油化工行业周报：原油基本面有所承压 天然气需求向好&长丝价差维持高位,新浪
713,2020-11-02,千亿券商龙头盘中闪崩，疑似乌龙指？牛市旗手怎么了,中证报
714,2020-10-30,上市公司三季报赚钱能力谁家强？,上证报
715,2020-10-28,恒逸石化(000703)2020年三季报点评：聚酯盈利接近拐点 文莱二期盈利预计超50亿元,新浪
716,2020-10-28,杠杆资金大手笔加仓16股,证券时报网
717,2020-10-28,【方正化工】化工周报：万华持续上调MDI挂牌价，麦草畏重获美国EPA批准,靠谱化工股
718,2020-10-28,金融市场流动性与监管动态周报：微观流动性偏弱 内外资偏好分化,新浪
719,2020-10-27,恒逸石化(000703)：前三季度净利30.57亿增长38.09%,挖贝网
720,2020-10-27,恒逸石化(000703)：需求反弹修复炼油价差 文莱二期打开成长空间,新浪
721,2020-10-27,220股获券商买入评级，荣盛发展目标涨幅达82.68%,Wind
722,2020-10-26,化工行业：MDI价格继续大幅上涨 关注下游需求复苏的持续性,新浪
723,2020-10-26,石油化工行业周报：化纤巨头进入大炼化的优势 及盘点海外上游并购和石化产能变化,新浪
724,2020-10-26,恒逸石化(000703)：业绩持续增长 聚酯景气有望修复,新浪
725,2020-10-26,【华安化工 | 三季报点评】恒逸石化：文莱二期项目通过，前三季度净利润大幅增长,化工阿尔法
726,2020-10-26,基础化工行业周报：油价下跌 双氧水、纯MDI、硝酸铵、丁苯橡胶、PS等产品价格上涨,新浪
727,2020-10-26,恒逸石化(000703)：第三季度净利润升23.22%至11.54亿,格隆汇
728,2020-10-26,恒逸石化(000703)：3Q20业绩符合预期；看好4Q20旺季业绩环比继续提升,新浪
729,2020-10-25,恒逸石化2020年前三季度净利增38% 化纤产业景气度回升,e公司
730,2020-10-25,恒逸石化2020三季报点评：长丝产业链反弹，看好盈利持续增长,靠谱化工股
731,2020-10-22,恒逸石化等5股获融资客买入占成交额比超四成,证券时报网
732,2020-10-21,石油石化行业周报：“双十一”订单推动需求增加 涤纶长丝价格持续上涨 涤丝-原料价差扩大,新浪
733,2020-10-20,"恒逸石化现2笔大宗交易 共成交15,210.00万元",新浪
734,2020-10-20,石油化工行业周报：机遇与挑战 从近期化纤反弹透视印度石化产业链,新浪
735,2020-10-20,石油化工行业深度研究：从周期嵌套理论看未来长丝景气度走势,新浪
736,2020-10-20,三房巷、恒逸、金纶高纤等15企业齐聚，短纤期货上市听他们怎么说？,中国纺织报
737,2020-10-19,基础化工行业周报：石化化工三季度业绩增长概况,光大证券
738,2020-10-19,化工-化纤产业链价格普涨：内需复苏与出口订单集中释放,新浪
739,2020-10-19,恒逸石化可转债中签号码出炉，共55.76万个,Wind
740,2020-10-19,恒逸石化可转债中签号码出炉 共55.76万个,e公司
741,2020-10-19,化工行业：纺织产业链订单充足 化纤产业链景气上行,广发证券
742,2020-10-19,恒逸石化(000703)：公开发行可转换公司债券网上发行中,证券日报
743,2020-10-19,每周炼化：长丝利润扭亏为正！,新浪
744,2020-10-18,方正策略：当前金融股具备崛起的条件,策略研究
745,2020-10-18,化工行业周报：海外订单回流带动纺织行业景气回升 继续推荐细分行业龙头和高成长标的,新浪
746,2020-10-17,石油化工行业点评：涤纶长丝多因素短期拉涨 明年或是供需拐点,新浪
747,2020-10-16,恒逸石化(000703)：可转债发行网上路演成功举办,全景网
748,2020-10-15,[路演]恒逸石化：整体资产结构保持了较高的流动性,全景网
749,2020-10-15,"恒逸石化现1笔大宗交易 共成交9,800.50万元",新浪
750,2020-10-15,[路演]恒逸石化：综合实力多年位居行业前列,全景网
751,2020-10-15,[路演]恒逸石化：目前公司装置满负荷生产 产销两旺,全景网
752,2020-10-15,恒逸转债(127022)新券申购价值分析：全球领先的PTA与聚酯纤维龙头,新浪
753,2020-10-15,[预告]恒逸石化可转债发行网上路演周四下午在全景网举办,全景网
754,2020-10-15,恒逸转债：均衡布局打通产业链的化纤龙头，建议积极申购,睿哲固收研究
755,2020-10-14,直播互动丨恒逸石化 10月15日 可转债发行网上路演,全景网
756,2020-10-14,石油化工行业2020三季报业绩前瞻：油价反弹兑现库存收益 炼化盈利能力持续上行,新浪
757,2020-10-14,"恒逸石化现1笔大宗交易 共成交5,242.50万元",新浪
758,2020-10-13,【兴证固收·转债】国内领先的PTA-聚酯综合制造商 ——恒逸转债投资价值分析,兴证固收研究
759,2020-10-13,恒逸石化(000703.SZ)拟发行20亿元可转债初始转股价11.5元/股,格隆汇
760,2020-10-12,兴业证券石油石化行业周报：备货秋冬装 涤丝下游需求转好 涤丝-原料价差继续扩大,新浪
761,2020-10-12,恒逸石化(000703.SZ)：“年产100万吨差别化环保功能性纤维建设项目”第二套生产线F线和第三套生产线C线及相关配套工程已于近日投产,格隆汇
762,2020-10-12,2020H1全球炼化企业对比：行业景气度筑底 民营大炼化逆势扩张,新浪
763,2020-10-11,化工行业研究：化工品价格景气上行 关注细分行业龙头 继续推荐高成长标的,新浪
764,2020-10-09,开门红！A股进入三季报时间，业绩浪开启,Wind
765,2020-10-09,石油天然气：沙特11月亚洲OSP轻微上调 关注周期回升中国营炼厂估值修复,新浪
766,2020-10-09,石化行业2020年三季报前瞻：曙光乍现 黎明已至,新浪
767,2020-09-30,【方正化工】化工周报：内外需回暖，化工龙头迎来投资良机,靠谱化工股
768,2020-09-28,化工行业周报：调整不改中长期方向 继续看好化工高成长公司,新浪
769,2020-09-28,每周炼化：长丝利润全面回升！,新浪
770,2020-09-28,“炼化-化纤”产业链周报：宁波规划6000万吨炼油产能 海利得越南基地工业长丝陆续投产,新浪
771,2020-09-27,基础化工周报：政策加码助推半导体材料发展 万华上调MDI挂牌价,光大证券
772,2020-09-27,石油石化、基础化工、新材料行业北上资金流向周报,新浪
773,2020-09-27,石油化工行业周报：原油基本面或有承压 长丝销售节前明显好转,新浪
774,2020-09-27,基础化工：油价下跌 液氯、环氧丙烷、碳酸二甲酯DMC、三聚氰胺、纯MDI等产品价格上涨,新浪
775,2020-09-27,恒逸石化：暂无H股发行计划,Wind
776,2020-09-23,化工行业：PO-聚醚、DMC价格齐创新高 新增推荐瑞联新材,新浪
777,2020-09-21,石油化工行业周报：炼厂开工率降低影响原油需求 海外石化供给受损、国内需求向好,新浪
778,2020-09-21,石油化工／基础化工行业周报(第三十八周),新浪
779,2020-09-21,A股早报2020年9月21日星期一,Wind
780,2020-09-21,15股获券商买入评级 凯文教育目标涨幅达56.74%,Wind
781,2020-09-20,机构动向丨本周机构都杀入低估值板块！,新浪
782,2020-09-18,A股共发生162宗大宗交易成交51.67亿元（9月18日）,Wind
783,2020-09-18,"恒逸石化现1笔大宗交易 共成交59,000.00万元",新浪
