,2021-12-31,全球资本市场早报（2021/12/31）：奇葩！炒股靠风水？券商研究员竟用天干地支预测A股，国内排名第三动力电池生产商中创新航拟赴港上市,前瞻网
313,2021-05-24,芯片板块午后再度拉升，北京君正涨近15%,Wind
314,2021-05-24,计算机行业：华为“2+4+1”生态背后的投资机会,新浪
315,2021-05-24,中国长城大涨,新浪
316,2021-05-24,以科技赋能金融力量，宸展光电助力“裕农通”服务乡村振兴,美通社
317,2021-05-22,高端制造：科技行业物联网周报：滴滴自动驾驶携手广汽埃安推进量产全无人驾驶车型,新浪
318,2021-05-20,机构青睐中国长城 游资合力封板苏宁环球|板块龙虎榜,第一财经
319,2021-05-20,24股获券商买入评级 博通集成目标涨幅达39.13%,Wind
320,2021-05-20,市场走势分化 机构态度谨慎,金融投资报
321,2021-05-20,虚拟货币一周蒸发6000亿，马斯克来回割韭菜？,Wind
322,2021-05-19,【主力资金】尾盘主力抢筹3只白马股，买入资金4亿元,证券时报网
323,2021-05-19,交易异动！中国长城：近3个交易日上涨26.81%,每日经济新闻
324,2021-05-19,中国长城(000066.SZ)股价异动 不存在应披露而未披露信息,智通财经
325,2021-05-19,5月19日龙虎榜，机构青睐这7股,证券时报网
326,2021-05-19,三大概念受105亿主力资金追捧,证券时报网
327,2021-05-19,5月19日龙虎榜解析：中国长城净买入额最多，还有22只个股被机构扫货,每日经济新闻
328,2021-05-19,两市涨跌不一 机构态度谨慎,金融投资报
329,2021-05-19,龙虎榜：中国长城两连板 1机构净买入6016万元,第一财经
330,2021-05-19,中国长城龙虎榜数据（5月19日）,Wind
331,2021-05-19,中国长城今日涨停机构买卖活跃,第一财经
332,2021-05-19,A股资金流向（5月19日）：比亚迪获资金爆买，银行股遭抛售,Wind
333,2021-05-19,中国长城(000066)：“后摩尔时代”构筑国产芯片发展基础,新浪
334,2021-05-19,狂飙！A股掀起锂电风暴，医美板块也不甘落后,Wind
335,2021-05-19,机构重金买入蓝晓科技 游资封板中国长城|板块龙虎榜,第一财经
336,2021-05-19,太平洋证券维持中国长城买入评级：“后摩尔时代”构筑国产芯片发展基础,每日经济新闻
337,2021-05-19,中国长城（000066.SZ）2连板,Wind
338,2021-05-19,太平洋证券：中国长城（000066.SH）“后摩尔时代”构筑国芯发展基础，给予“买入”评级,智通财经
339,2021-05-19,中国长城盘中快速上涨,新浪
340,2021-05-19,A股早报2021年5月19日星期三,Wind
341,2021-05-19,币圈“震动”华强北 356 米高楼？,ZAKER
342,2021-05-18,复盘2020年大数据，计算机行业逆境坚挺！2021年Q1表现显示大趋势正成型,全景网
343,2021-05-18,中国长城买1成谜，佛山系是情绪王丨5.18龙虎榜,第一财经
344,2021-05-18,最新龙虎榜动向：1.93亿资金抢筹中国长城，机构买入这10股（名单）,21世纪经济报道
345,2021-05-18,5月18日龙虎榜解析：中国长城净买入额最多，还有19只个股被机构扫货,每日经济新闻
346,2021-05-18,中国长城中标中国银行智能柜台项目,证券时报网
347,2021-05-18,中国长城龙虎榜数据（5月18日）,Wind
348,2021-05-18,A股资金流向（5月18日）：资金避高就低，医药龙头遭抛售,Wind
349,2021-05-18,国元证券--信创行业专题报告：聚力突破核心技术，信创产业扬帆起航【行业研究】,金融界股吧
350,2021-05-18,国产软件板块异动攀升，中国长城涨停,Wind
351,2021-05-18,中国长城大涨,新浪
352,2021-05-18,深市公司“主题式”业绩说明会亮相,上证报
353,2021-05-17,半导体板块快速拉高，华峰测控涨超9%,Wind
354,2021-05-17,计算机行业周观点：底部寻找高景气赛道 关注云计算板块,新浪
355,2021-05-15,业绩说明会高效沟通 中国电子系集中展示风采,全景网
356,2021-05-14,引领高质量发展·聚焦深市业绩说明会丨业绩说明会助力高效沟通 中国电子集团旗下公司“组团”展示风采,e公司
357,2021-05-14,中国长城：切割机业务目前暂无批量投入市场,每日经济新闻
358,2021-05-14,首条网信产品自主安全生产线建成投产,Wind
359,2021-05-13,中国长城：国内首条网信产品自主安全生产线在内蒙古建成投产,e公司
360,2021-05-13,8股今日获机构买入评级,证券时报网
361,2021-05-13,中国长城(000066)：业绩符合预期 全面布局党政及行业信创,新浪
362,2021-05-12,东吴证券维持中国长城买入评级，2020年报及2021一季报点评：业绩符合预期，全面布局党政及行业信创,每日经济新闻
363,2021-05-12,探访央企大国重器的“智造”之路,证券日报
364,2021-05-11,突破！中国长城工控PLC实现自主安全,中自网
365,2021-05-11,东亚前海计算机：一季度业绩强势反弹,新浪
366,2021-05-10,计算机周观点：工业互联网持续受重视 抓住产业趋势,新浪
367,2021-05-10,计算机行业周报-2020年报&2021年一季报总结：业绩逐步修复 强者恒强趋势凸显,国海证券
368,2021-05-08,每经记者实地探访：国企改革攻坚之年，看一线企业如何完成三年改革任务70%大目标,每日经济新闻
369,2021-05-08,核心部件全国产 长城计算机筑牢我国数字化安全底座,中新网
370,2021-05-07,走进新国企·智造中国 | 国内首条3C产品“机器换人”生产线诞生记,中国网
371,2021-05-07,中国长城(000066)：收入持续高速增长,新浪
372,2021-05-07,计算机行业深度报告：板块已回归正常增长轨道,新浪
373,2021-05-06,太平洋证券维持中国长城买入评级：收入持续高速增长,每日经济新闻
374,2021-05-06,国产电脑长城诞生记：从外资品牌垄断到十秒钟开机的跨越,经济观察报
375,2021-05-06,【申港计算机】周观点：计算机行业年报&一季报总结-210506,猫猫王看计算机
376,2021-05-03,中国长城2020年获310项8.45亿元政府补助 利润增长乏力但坚持现金分红回报 盈利能力下降,电鳗快报
377,2021-04-29,中国长城：累计收到政府补助8.45亿元,中证网
378,2021-04-29,中国长城(000066.SZ)2020年净利降16.78%至9.28亿元 拟10派0.865元 盈利能力下降,格隆汇
379,2021-04-29,"中国长城：公司担保余额约为 139,974.89 万元 大额借贷担保",每日经济新闻
380,2021-04-29,中国长城(000066.SZ)年度归母净利同比降16.78%至9.28亿元 拟10派0.865元 盈利能力下降,智通财经
381,2021-04-29,中国长城(000066.SZ)一季度归母净亏损1.59亿元 亏损,智通财经
382,2021-04-29,中国长城：2020年度净利润约9.28亿元，同比减少16.78% 盈利能力下降,每日经济新闻
383,2021-04-29,中国长城：去年合计确认政府补助收益约5.60亿元,每日经济新闻
384,2021-04-29,中国长城：2021年第一季度亏损约1.59亿元 亏损,每日经济新闻
385,2021-04-29,中国长城：一季度亏损缩窄，净亏损1.59亿元 亏损,Wind
386,2021-04-29,中国长城：2020年净利润同比减少16.78% 盈利能力下降,Wind
387,2021-04-28,中国长城：段军辞去高级副总裁职务 董监高成员变化,每日经济新闻
388,2021-04-26,东吴证券--计算机应用行业：实体清单到底是什么？【行业研究】,金融界股吧
389,2021-04-26,信息行业周报：从苹果发布会看新技术的应用,新浪
390,2021-04-22,国产自主安全电脑智造生产基地扎根长春新区,经济日报
391,2021-04-22,万科释放28亿空头筹码！空头规模1520亿，影响多大,Wind
392,2021-04-21,东北地区首台自主安全笔记本电脑正式在长春下线,格隆汇
393,2021-04-21,中国东北首台自主安全笔记本电脑在长春下线,中新网
394,2021-04-20,东吴证券--计算机应用行业：美股云计算公司重回高位，A股对标仍有空间【行业研究】,金融界股吧
395,2021-04-19,4月19日晚间重要行业研究汇总(附股),中金在线
396,2021-04-19,中国长城：切割机业务目前暂无批量投入市场,Wind
397,2021-04-15,长城信息中标上海农商行运营管理系统平台项目,e公司
398,2021-04-13,海外信用评级汇总2021年4月13日星期二,Wind
399,2021-04-13,安信证券--计算机行业动态分析：中电科吹响计算机行业新一轮国企改革号角【行业研究】,金融界股吧
400,2021-04-12,中国长城(000066.SZ)预计一季度净利润续亏1.3亿元-1.9亿元,智通财经
401,2021-04-12,中国长城(000066.SZ)2020年业绩快报 净利润9.3亿元 同比下降17% 盈利能力下降,智通财经
402,2021-04-12,A股异动|中国长城(000066.SZ)跌5%创9个月新低料一季度亏损超1.3亿 连续下跌,格隆汇
403,2021-04-12,利好公告：中国长城一季度净利润同比32.56%至53.86%,云掌财经
404,2021-04-12,中国长城(000066.SZ)业绩快报：2020年净利降16.62%至9.30亿元 盈利能力下降,格隆汇
405,2021-04-12,中国长城：一季度预亏1.3亿元至1.9亿元 预亏,格隆汇
406,2021-04-12,中国长城：2020年净利润同比下降16.62% 一季度预计亏损1.3亿元-1.9亿元 预亏,中证网
407,2021-04-12,中国长城：预计2021年一季度净亏损1.30亿元~1.90亿元 预亏,每日经济新闻
408,2021-04-12,中国长城：2020年度净利润约9.30亿元，同比下降16.62% 盈利能力下降,每日经济新闻
409,2021-04-12,早间公告2021年4月12日星期一,Wind
410,2021-04-12,中国长城：2020年净利润同比减少16.62%（业绩快报） 盈利能力下降,Wind
411,2021-04-10,计算机行业研究周报：中美脱钩进一步加速 持续看好国产化主线,新浪
412,2021-04-09,中国长城：4月9日获主力资金净流入1.04亿元,每日经济新闻
413,2021-04-07,CITE 2021来了！芯片、信创、数据存储、5G成亮点,Wind
414,2021-04-07,用友与7家战略伙伴签署合作协议，共建ToB最强生态圈,中国经济网
415,2021-04-01,中国长城(000066.SZ)：长城金融已完成股份制改制后续相关工作,格隆汇
416,2021-03-31,中国长城开关稳压电源抽查不合格 登广东市监局通报 产品问题,中国经济网
417,2021-03-30,“隐形重仓股”曝光，知名基金经理掘金中小市值品种,Wind
418,2021-03-29,傅鹏博、赵诣、赵枫等基金经理隐形重仓股浮出水面,Wind
419,2021-03-26,中国长城：公司切割机业务暂无批量投入市场,Wind
420,2021-03-22,融资客青睐5股，奥来德买入占比高达46.55%,Wind
421,2021-03-15,中国长城(000066.SZ)：控股股东拟参与转融通证券业务出借,格隆汇
422,2021-03-15,思享无限获得“中国长城IP”授权 布局“直播+电商”,凤凰网
423,2021-03-15,一批基金最新持仓曝光！减仓前期热门股，重仓这些股票,Wind
424,2021-03-10,中国长城董事长宋黎定：发展数字经济需夯实安全底座,经济日报
425,2021-03-09,国海证券--计算机行业周报：关注底部中小市值公司机会【行业研究】,金融界股吧
426,2021-03-09,盘前情报丨新基建再度被提及，这些领域将受益,21世纪经济报道
427,2021-03-08,【申港计算机】周观点：“建设数字中国”有望成为下阶段信息化建设重点0307,猫猫王看计算机
428,2021-03-08,用友网络(600588)：发布股份回购方案 彰显公司长期发展信心,新浪
429,2021-03-06,计算机行业研究周报：前瞻推荐后网安后续空间如何看？(附：近期行业信创重大变化),新浪
430,2021-03-03,开源证券--计算机行业周报：2021年，高度重视网络安全板块【行业研究】,金融界股吧
431,2021-03-02,中国长城：有下属公司从事钠电池的研发生产,每日经济新闻
432,2021-03-02,中国长城启动NCC-ERP项目 数字技术助推精细化管理,e公司
433,2021-03-01,计算机行业2021年春季策略报告：景气赛道上的结构性机会,光大证券
434,2021-03-01,计算机行业周报：头部公司业绩超预期 关注网络安全,国海证券
435,2021-03-01,计算机行业追踪报告：计算机的三类投资机会,国金证券股份有限公司
436,2021-02-25,每日理财观察：香港拟上调印花税30%，机构解读市场影响,Wind
437,2021-02-24,A股收盘综述：上证指数跌1.99%、抱团明星股再扑街，创业板指五日累挫12%,Wind
438,2021-02-24,国产软件板块全线复苏，中国长城快速涨停,Wind
439,2021-02-24,芯片板块连续拉升，航锦科技、中国长城涨停,Wind
440,2021-02-22,开源证券--计算机周观点：关注超跌的优质标的【行业研究】,金融界股吧
441,2021-02-17,牛年首份选股榜单出炉！这43只股票预期上涨空间超50%,上证报
442,2021-02-09,中国长城(000066.SZ)：下属公司长城电源拟向招商银行申请综合授信额度5亿元,格隆汇
443,2021-02-08,计算机行业周观点：密集回购 彰显信心,新浪
444,2021-02-05,开源证券--计算机周观点：云计算高景气度持续【行业研究】,金融界股吧
445,2021-02-04,中国长城(000066.SZ)第二期股票期权激励计划首次授予于2月4日登记完成,智通财经
446,2021-02-04,欺骗已做到极致，出逃背后是大图谋！,云掌财经
447,2021-02-04,44股获券商买入评级 沪电股份目标涨幅达64.87%,Wind
448,2021-02-03,长城证券--中国长城2020年度业绩预告点评：四季度业绩大幅改善，飞腾快速成长助力信创落地【公司研究】,金融界股吧
449,2021-02-02,冯柳抛售的医药股，葛卫东姐姐接盘了,上证报
450,2021-02-02,国金证券--中国长城:单四季度增长明显，看好行业信创机会【公司研究】,金融界股吧
451,2021-02-02,券商首次关注4股并给予买入评级（2月2日）,Wind
452,2021-02-02,154股获券商买入评级 宇信科技目标涨幅达133.70%,Wind
453,2021-02-01,计算机行业周报：公募计算机板块持仓减少 集中度提高,国海证券
454,2021-02-01,信达证券--中国长城：Q4信创等增速超预期，股权激励落地绑定长期利益【公司研究】,金融界股吧
455,2021-02-01,开源证券--中国长城：4季度业绩大幅回暖，2021年值得高度期待【公司研究】,金融界股吧
456,2021-01-29,中国长城(000066.SZ)预计2020年度归母净利润同比下降1.34%至32.73% 盈利能力下降,智通财经
457,2021-01-27,中国长城(000066)：筑中国芯之基 腾网信之翼,新浪
458,2021-01-27,景嘉微(300474)：民用市场拓展现拐点 股权激励彰显信心,新浪
459,2021-01-26,中国长城(000066.SZ)：1203.39万份股票期权可行权,格隆汇
460,2021-01-25,中国长城：关于独立董事任职期限到期辞职的公告 董监高成员变化,新浪
461,2021-01-25,中国长城(000066.SZ)：虞世全辞去独立董事等职务 董监高成员变化,智通财经
462,2021-01-25,计算机行业周报：关注人工智能和信创产业,国海证券
463,2021-01-23,【兴证计算机】2020Q4持仓整理：低配0.28%，环比Q3下降0.30个百分点,兴业计算机团队
464,2021-01-21,中国长城(000066.SZ)完成注销102.13万份股票期权,智通财经
465,2021-01-21,最新股东户数揭秘：这14股股东户数连降三期,证券时报网
466,2021-01-21,中国长城股东户数连续3期下降 累计降幅19.89%,证券之星
467,2021-01-19,【民生计算机|周观点】机构重点配置方向未变，智能驾驶等关注度提升,MS计算机
468,2021-01-18,A股午间公告：中国长城非公开发行获中国证监会受理,格隆汇
469,2021-01-18,中国长城(000066.SZ)：定增申请获中国证监会受理,格隆汇
470,2021-01-18,午间公告2021年1月18日星期一,Wind
471,2021-01-15,用友网络封住跌停，云计算板块持续下滑,Wind
472,2021-01-12,首席周度观点：新冠疫苗向公众免费 国内预防免疫积极推进,新浪
473,2021-01-11,计算机应用行业：一二线品种估值继续分化 春季行情仍然可期,新浪
474,2021-01-11,计算机行业周报：信创之新在于“芯” 行业国产推进应用软件或先行,新浪
475,2021-01-08,中国长城(000066)深度报告：信创龙头腾飞在即 PK生态加速共筑长城,新浪
476,2021-01-08,42股获券商买入评级 中国长城目标涨幅达57.14%,Wind
477,2021-01-08,北向资金动向盘点：不追逐热点，不逢高减磅,Wind
478,2021-01-08,247股获机构买入型评级，超六成股价上涨,Wind
479,2021-01-06,中国长城：公司控股股东变更为中电有限 控制人变化,Wind
480,2021-01-06,首席周观点：免费接种并非免费采购 出口市场具备利润空间,新浪
481,2021-01-06,计算机行业投资周报：“PK”体系进展超预期 2021年政策驱动明显,新浪
482,2021-01-06,计算机行业2021年度策略：回归常态 聚焦优质成长龙头,新浪
483,2021-01-06,8股获买入评级 最新:卧龙电驱,中财网
484,2021-01-06,43股获券商买入评级，精工钢构目标涨幅达79.87%,Wind
485,2021-01-06,【中国长城*郝彪】深度：飞腾崛起带来估值弹性，主体业务奠定坚实基本盘,东吴研究所
486,2021-01-06,【计算机*郝彪】景气度和估值分化,东吴研究所
487,2021-01-05,中国长城子公司收到1.5亿元政府补助,上证报
488,2021-01-05,中国长城：全资子公司收到政府补助1.5亿元,中证网
489,2021-01-05,中国长城(000066.SZ)：子公司长城电源获得政府补助1.5亿元,格隆汇
490,2021-01-05,计算机行业周报：从ARM发展看信创生态收敛 工业软件景气度提升,新浪
491,2021-01-05,A股开年动力足，券商挖掘金股忙,Wind
492,2021-01-04,中国长城(000066.SZ)：过户登记完成控股股东变更为中电有限 控制人变化,格隆汇
493,2021-01-04,信息行业周报：飞腾召开生态伙伴大会,新浪
494,2021-01-04,快讯：国产操作系统板块移动 中国长城涨停,新浪
495,2021-01-04,神州数码(000034)：合肥重金投入神州信创 信创板块前景可期,国金证券股份有限公司
496,2021-01-04,芯片板块持续拉升，中国长城、士兰微、晶盛机电、紫光国微、卓胜微等大涨,Wind
497,2021-01-04,计算机行业周观点：前瞻提示后 板块反弹空间和主线如何看？,新浪
498,2020-12-31,中国长城(000066)：收购迈普通信股权 网信平台功能强化,新浪
499,2020-12-30,中国软件(600536.SH)：中软系统拟转让所持迈普通信3120.94万股股份予中国长城 资产异常,智通财经
500,2020-12-30,【提前看】30日公告精选：*ST夏利将撤销退市风险警示，中环环保今年净利预增45%至70%,e公司
501,2020-12-30,晚间重要公告2020年12月30日星期三,Wind
502,2020-12-30,中国长城(000066.SZ)拟收购迈普通信29.99%股份以加强自主安全领域布局,智通财经
503,2020-12-30,中国长城：拟2.25亿元收购迈普通信29.99%股份,e公司
504,2020-12-30,中国软件：子公司1亿元出售迈普通信13.36%股份给关联方中国长城 资产异常,Wind
505,2020-12-30,中国长城(000066)：腾锐D2000再创性能新高 飞腾出货高增发展可期,新浪
506,2020-12-29,计算机行业周报：大数据平台是新基建重点建设领域之一 关注低估值高成长板块,新浪
507,2020-12-29,信创产业再迎利好 飞腾发布新一代处理器芯片 一大氵皮终端产品在路上,科创板日报
508,2020-12-28,计算机应用行业：系统盘点麒麟软件和统信软件的经营情况,新浪
509,2020-12-28,计算机行业研究周报：从宝马联手诚迈科技看汽车软件发展,新浪
510,2020-12-28,【华西计算机】信创动态跟踪：信创提速的信号：产业核心资产加快上市进程,科技晶选
511,2020-12-27,计算机行业：白马补跌或为底部信号 附最看好21年行业主线,新浪
512,2020-12-25,策略专题报告：2021 4000点见,西南证券
513,2020-12-25,融资客青睐11股，远达环保买入占比高达70.67%,Wind
514,2020-12-24,中国长城(000066.SZ)：控股股东拟将所持11.88亿股股份无偿划转至中电有限 减持股份,格隆汇
515,2020-12-24,中国长城今日大宗交易成交14万股，成交价15.42元折价10.61%,Wind
516,2020-12-24,策略研究：2021 4000点见,西南证券
517,2020-12-23,中国长城(000066.SZ)：第二期股票期权激励计划获中国电子批复,格隆汇
518,2020-12-23,中国长城参与发起“中国功能游戏产业联盟”,上证报
519,2020-12-23,中国长城科技集团股份有限公司 关于第二期股票期权激励计划激励对象人员名单审核及 公示情况的说明,证券时报
520,2020-12-22,计算机行业：创新中心呼之欲出 信创拐点或已临近,新浪
521,2020-12-22,中国长城成立电源技术公司，注册资本3.5亿,企查查
522,2020-12-22,计算机行业周报：业绩真空期 精选景气高具有强业绩支撑板块,新浪
523,2020-12-21,中国长城：长城紫晶与玉溪市政府签署战略合作协议,e公司
524,2020-12-21,中国长城：长城紫晶与玉溪市政府签署战略合作协议,Wind
525,2020-12-21,计算机行业投资周报：智慧城市订单放量 标杆示范驱动成长,新浪
526,2020-12-21,古井贡酒、中国长城等股近五日获机构净买入,证券时报网
527,2020-12-20,经济工作会议点评 | 直接受益于国家战略与自主可控,一计之长
528,2020-12-18,中国长城：四家下属公司近期累计收到1.31亿元政府补助资金,发布易
529,2020-12-18,中国长城(000066.SZ)下属公司收到政府补助资金共13146.25万元,格隆汇
530,2020-12-17,券商首次关注3股并给予买入评级（12月17日）,Wind
531,2020-12-16,中国长城(000066)：国产CPU巨头 充分受益国产化浪潮,新浪
532,2020-12-16,盛视早参：聚焦价值 核心资产和低估值,新浪
533,2020-12-16,14股获融资客逆市净买入超亿元,证券之星
534,2020-12-16,A股早报2020年12月16日星期三,Wind
535,2020-12-15,机构今日抛售这7股，买入中国长城1.43亿元,第一财经
536,2020-12-15,机构买卖力度下滑 观望情绪浓厚,金融投资报
537,2020-12-15,中国长城龙虎榜数据（12月15日）,Wind
538,2020-12-15,龙虎榜：中国长城涨停 两家机构买入1.43亿元,e公司
539,2020-12-15,中国长城今日涨停，深股通买入2.28亿元并卖出5091万元,Wind
540,2020-12-15,A股午盘综述：上证指数跌0.45%，创业板指涨0.23%,Wind
541,2020-12-15,电脑硬件板块走高，中国长城涨停,Wind
542,2020-12-12,计算机行业2021上半年投资策略：聚焦高景气及边际改善赛道,新浪
543,2020-12-11,中国长城(000066.SZ)下属公司中电长城拟向银行申请8000万元授信额度,智通财经
544,2020-12-11,中国长城(000066.SZ)下属公司中电长城拟向农业银行申请8000万元授信额度,格隆汇
545,2020-12-09,中国长城退出一医疗科技公司，退出前持股99.08%,企查查
546,2020-12-08,[路演]中国长城：基于飞腾平台的终端和服务器的产品性能保持领先,全景网
547,2020-12-08,计算机行业2021年投资策略：优选赛道 聚焦龙头,国金证券股份有限公司
548,2020-12-07,计算机行业周报：板块开启反弹 关注中期景气细分赛道,光大证券
549,2020-12-07,计算机行业投资策略：积极变化正在发生 拥抱科技创新浪潮,新浪
550,2020-12-07,安信证券：近期多项重要事件表明行业信创正在加速启动 推荐金山办公等,证券时报网
551,2020-12-07,【计算机-胡又文】行业信创风起云涌-计算机行业动态分析,安信证券研究
552,2020-12-04,7股获买入评级 最新:中国长城,中财网
553,2020-12-04,24股获券商买入评级 中嘉博创目标涨幅达92.94%,Wind
554,2020-12-04,中国长城(000066)：参股中电智能 布局国产化智能制造,新浪
555,2020-12-02,中国长城出资逾1亿元参与中电智科增资扩股,上证报
556,2020-12-02,中国长城(000066.SZ)拟斥1.0071亿元与电子六所共同增资中电智科,智通财经
557,2020-12-02,中国长城(000066.SZ)：与电子六所合计以11078万元共同对中电智科进行增资,格隆汇
558,2020-12-02,中国长城：出资1亿元参与中电智科增资扩股 占其40%股权,e公司
559,2020-12-02,【计算机-胡又文】中国长城：参股中电智能，布局国产化智能制造,安信证券研究
560,2020-11-30,计算机周报：银行IT景气度不断提升 格局改善利好核心厂商,新浪
561,2020-11-27,中国长城：与韩城市签署合作协议,e公司
562,2020-11-26,中国长城：本次非公开发行A股股票获得中国电子信息产业集团有限公司批复,Wind
563,2020-11-26,中国长城(000066.SZ)：定增方案获得中国电子批复,格隆汇
564,2020-11-23,计算机行业周报：智能汽车 鲶鱼搅动的一池春水,新浪
565,2020-11-23,计算机周观点：把握工业软件投资机会,新浪
566,2020-11-19,中国长城(000066.SZ)：下属公司收到政府补助2.22亿元,格隆汇
567,2020-11-18,中国长城“PKS生态服务平台”入选工信部网络安全技术应用试点示范项目,格隆汇
568,2020-11-17,中国长城：旗下子公司参与研制出我国首台半导体激光隐形晶圆切割机,格隆汇
569,2020-11-17,中小公司研究：一周策略回顾与展望,新浪
570,2020-11-16,计算机应用：行业盘点CAD行业新动向 维持“增持”评级,格隆汇
571,2020-11-16,信息技术行业周报：从PC到汽车 看好ARM在各个行业的应用,新浪
572,2020-11-16,计算机行业周报：为什么我们看好工业软件-三维度深度剖析行业周报,新浪
573,2020-11-15,计算机行业周报：国产化、数字化转型将成为国内ICT发展的主赛道,新浪
574,2020-11-13,中国长城(000066)公司动态点评：聚焦信创+新基建 非公开发行进一步壮大实力,新浪
575,2020-11-13,24股获券商买入评级，当代文体目标涨幅达137.05%,Wind
576,2020-11-11,11月12日十大利好公告：中国长城拟定增募资不超40亿元,中国证券网
577,2020-11-11,中国长城(000066.SZ)拟发行不超8.78亿股募资不超40亿元,智通财经
578,2020-11-11,中国长城：拟定增募资最多40亿元用于计算机及服务器核心技术研发等项目,格隆汇
579,2020-11-11,中国长城：拟定增募资不超过40亿元,Wind
580,2020-11-11,中国长城(000066.SZ)拟定增募资不超40亿元 中电有限及中电金控参与认购,格隆汇
581,2020-11-11,中国长城助力首套全国产化DCS研发投用,e公司
582,2020-11-06,中国长城(000066.SZ)：长城金融将开展混改引入战投并实施员工持股计划,智通财经
583,2020-11-06,中国长城(000066.SZ)：长城金融拟开展混改 公开征集战略投资者并同步实施员工持股,格隆汇
584,2020-11-06,中国长城(000066.SZ)拟2.18亿元出售长城医疗100%股权 资产异常,格隆汇
585,2020-11-06,中国长城、紫晶存储合资成立新公司，经营范围含云计算中心等,企查查
586,2020-11-06,计算机行业2020年三季报深度分析：Q3平淡全年格局已定 接近明年绝佳布局期,新浪
587,2020-11-05,中国长城：与梅州市签署合作协议 打造活力网信生态体系,e公司
588,2020-11-03,【行情】国产软件板块拉升，中国软件冲击涨停，中国长城、太极股份涨超7%，东方通等个股大涨,金十数据
589,2020-11-02,东吴计算机点评【中国长城：三季度业绩大幅增长，信创业务高景气度】,吴声计事
590,2020-10-31,【安信中小盘】11.02-11.06新股申购一览,AX中小盘研究
591,2020-10-31,上市公司正负面新闻2020年10月31日星期六,Wind
592,2020-10-30,景嘉微(300474)：芯片收入增长显著 受益军工“十四五”采购提升,新浪
593,2020-10-30,【兴证计算机】2020Q3持仓整理：超配0.02%，环比Q2下降1.95个百分点,兴业计算机团队
594,2020-10-30,中国长城(000066.SZ)：前三季度业绩盈转亏至1.63亿元 亏损,格隆汇
595,2020-10-30,中国长城：第三季度净利润同比增长248.2%,格隆汇
596,2020-10-30,中国长城：前三季度净亏损1.63亿元，由盈转亏,Wind
597,2020-10-28,中国长城与湖南湘邮科技股份有限公司签署战略合作协议,Wind
598,2020-10-27,中国长城与湖南湘邮科技签约，共拓网信事业新路径,Wind
599,2020-10-27,中国长城与湖南湘邮科技签约 共拓网信事业新路径,e公司
600,2020-10-27,新股网下申购询价建议报告：宸展光电(003019),新浪
601,2020-10-26,计算机行业周观点：数字货币时代加速到来,新浪
602,2020-10-23,中国长城：独立董事辞职 董监高成员变化,Wind
603,2020-10-23,历史最好水平！山西这3家企业上榜全国质量标杆,山西发布
604,2020-10-21,中国长城：ARM时代已来 乘势飞腾,财富动力网
605,2020-10-17,生产自北京，首台国产自主安全电脑下线,中新网
606,2020-10-16,中国长城(000066)：激励计划彰显信心 信创业务前景可期,新浪
607,2020-10-16,央企股权激励新规落地近一年上市公司踊跃“争鲜”,上证报
608,2020-10-16,央企股权激励新规落地近一年，上市公司尝“鲜气”,上证报
609,2020-10-16,央企股权激励新规落地近一年 上市公司踊跃“争鲜”,上证报
610,2020-10-14,中国长城(000066.SZ)第三季度预盈5022万-15022万元,格隆汇
611,2020-10-14,中国长城：预计前三季度亏损1.5亿-2.5亿元 预亏,Wind
612,2020-10-13,策略系列：一周策略回顾与展望,新浪
613,2020-10-12,计算机行业周报：数字货币、自动驾驶等出现积极信号 市场风险偏好回升,新浪
614,2020-10-08,中国长城(000066.SZ)拟授出不超1.32亿份股票期权,格隆汇
615,2020-09-28,中国长城：放弃参股公司优先认缴出资权,Wind
616,2020-09-28,中国长城(000066.SZ)：天津飞腾拟引入战投公司放弃优先认缴出资权,格隆汇
617,2020-09-27,计算机行业周报：从蚂蚁外滩大会看FINTECH“云库链智”趋势,新浪
618,2020-09-24,中国长城：参股公司“天津飞腾”和ARM是合作关系,Wind
619,2020-09-24,中国长城：“天津飞腾”芯片并非只供应给公司,Wind
620,2020-09-22,计算机行业周报：二季度云市场延续强劲增长 看好重点细分领域,新浪
621,2020-09-18,中国长城(000066.SZ)：下属公司计划申请银行授信额度10.3亿元,格隆汇
622,2020-09-16,紫晶存储：拟与中国长城设立合资公司 开拓地方信息化市场,中证报
623,2020-09-16,紫晶存储出资4000万元与中国长城设立合资公司,资本邦
624,2020-09-15,中国长城：与紫晶存储设合资公司，加速推进信息化业务,Wind
625,2020-09-15,中国长城：与紫晶存储设合资公司 加速推进信息化业务,e公司
626,2020-09-15,中国长城(000066.SZ)拟与紫晶存储共设长城紫晶推动信息化产业基地、国产化数据中心项目建设,格隆汇
627,2020-09-15,紫晶存储(688086.SH)出资4000万与中国长城(000066.SZ)成立合资子公司,智通财经
628,2020-09-15,紫晶存储：拟与中国长城设立自主安全绿色数据中心项目公司,格隆汇
629,2020-09-15,紫晶存储(688086.SH)：拟与中国长城设合资公司 推动信息化产业基地、自主安全绿色数据中心项目建设,格隆汇
630,2020-09-14,晚间重要公告2020年9月14日星期一,Wind
631,2020-09-14,中国长城：出资1017万元与中国软件共同受让中电有限所持有的中电创新院27%股权,Wind
632,2020-09-14,中国长城：出资1017万元与中国软件共同受让中电有限所持有的中电创新院27%股权,格隆汇
