,2021-12-31,北京成为数字经济领头羊的最新经验,财经杂志
951,2021-07-30,中信建投证券(06066.HK)完成发行人民币10亿元的短期公司债券,财华社
952,2021-07-30,中信建投大金融团队最新研究,中信建投证券研究
953,2021-07-29,中信建投证券债务资本市场部日报（20210729）,中信建投DCM
954,2021-07-29,中信建投证券(06066.HK)完成发行10亿元短期公司债,格隆汇
955,2021-07-29,财华洞察|大哥还是大哥，中信证券的中期业绩有何启示？,财华社
956,2021-07-29,金房节能首日换手1% IPO募6.4亿中信建投赚0.5亿,中国经济网
957,2021-07-28,中信建投证券债务资本市场部日报（20210728）,中信建投DCM
958,2021-07-28,112家券商投行排名出炉！收入井喷两倍增幅，两中一海居前三，民生入围前十，多家中小券商增速爆发,财联社
959,2021-07-28,豆神教育业绩巨亏后董秘、证代均辞任 筹划出售3家公司 重大损失,GPLP犀牛财经
960,2021-07-28,139家券商“中考”揭榜！一业务爆发，8科成绩曝光,Wind
961,2021-07-28,大金融板块盘初发力,Wind
962,2021-07-28,中信建投七大研究团队复盘2021年二季度公募基金持仓,中信建投证券研究
963,2021-07-28,新三板业务纳入券商分类评价专项加分 年内57家主办证券公司获加分,证券日报
964,2021-07-27,【中信建投通信|阎贵成&武超则团队】拓邦股份2021中报点评：毛利率稳定，业绩好于预期,建投通信研究
965,2021-07-27,【中信建投 宏观】企业整体利润平稳，行业继续分化——6月工业企业利润点评,文涛宏观债券研究
966,2021-07-27,又见百亿定增！长城证券要下一盘什么大棋？,证基风云
967,2021-07-27,中信建投证券(06066):2021年公开发行短期公司债券(第一期)簿记建档时间延长至19点,智通财经
968,2021-07-27,139家券商半年业绩全排名：代销金融产品收入高关注，前30券商占九成份额，中信国君华泰海通招商等净利居前十,财联社
969,2021-07-27,【异动股】中信建投证券(06066.HK)跌3.79%,财华社
970,2021-07-27,15年IPO经验，企业上市引路人—资深上市专家、保荐人王作维,投资家
971,2021-07-27,券商股跳水，华林证券跌近4%,Wind
972,2021-07-27,谁在分羹精选层市场？转板上市迎来新契机 中小券商弯道超车机会来了？,券商中国
973,2021-07-27,持续完善定价机制，科创板发行市场化水平提升,Wind
974,2021-07-27,守得云开见月明 中小券商掘金精选层业务,证券时报
975,2021-07-26,券商发力精选层业务：保荐承销费逾9亿 中小券商有望弯道超车,新浪
976,2021-07-26,2021上半年券商业绩PK,新浪
977,2021-07-26,中信建投证券(06066)拟发行不超过20亿元公司债券,智通财经
978,2021-07-26,证券行业点评：券商2021分类结果出炉 大券商优势稳固,新浪
979,2021-07-26,权重砸盘，漂亮50创新低，发生了什么？,Wind
980,2021-07-26,【中信建投 非银&金融科技】券商分类结果出炉，继续关注高评级券商,中信建投非银金融研究
981,2021-07-26,【行情】券商股午后持续走弱，中金公司跌超8%，财达证券、中信建投、中银证券、锦龙股份等集体跌超5%,金十数据
982,2021-07-26,雪球直播节丨科技股大牛市会卷土重来吗？,雪球
983,2021-07-26,证券Ⅱ：券商分类结果出炉 继续关注高评级券商,新浪
984,2021-07-26,中信建投(06066.HK)：周笑予获提名为监事会监事候选人,财华社
985,2021-07-26,中信建投证券(06066.HK)获宁泉资产增持89.3万股,格隆汇
986,2021-07-26,头部券商分享更多红利 科创板保荐挑战与机遇并存,中国基金报
987,2021-07-26,中信建投双利3个月持有期债券型证券投资基金 基金合同及招募说明书提示性公告,证券日报
988,2021-07-25,【中信建投电子|刘双锋&雷鸣团队】海康威视（002415）：业绩超预期，三大事业群恢复增长,中信建投电子研究
989,2021-07-25,中信建投延续增收减利 上半年业绩降1.08% 盈利能力下降,GPLP犀牛财经
990,2021-07-24,中信建投研究一周个股精选,中信建投证券研究
991,2021-07-24,中信建投研究本周精选研报TOP30,中信建投证券研究
992,2021-07-24,券商半年成绩单出炉：139家券商赚900多亿，近九成实现盈利,新京报
993,2021-07-23,【窥业绩】中信建投半年利润微跌，头部券商已入深水区？ 盈利能力下降,财华社
994,2021-07-23,中信建投(601066.SH)：完成兑付本息30.17亿元短期融资券(债券通),格隆汇
995,2021-07-23,2021券商分类评级出炉！15家喜提AA，东方、兴业、广发荣升AA，东海连升5级CC至A最快，3家出局AA,财联社
996,2021-07-23,中信建投证券(06066.HK)完成兑付30亿元短期融资券,格隆汇
997,2021-07-23,中信建投证券(06066)完成兑付2021年度第六期短期融资券(债券通)本息约30.17亿元,智通财经
998,2021-07-23,中信建投证券(06066)拟选举周笑予担任监事会监事,智通财经
999,2021-07-23,又奏业绩凯歌！139家券商半年净赚903亿增幅8.6%，自营为第一大收入来源，投行增速最高，中信半年净利过百亿,财联社
1000,2021-07-23,上海宁泉资管增持中信建投(06066)89.3万股，每股作价约8.94港元,智通财经
1001,2021-07-23,中信建投证券(06066)增补张薇为发展战略委员会委员及薪酬与提名委员会委员,智通财经
1002,2021-07-23,中信建投(601066.SH)完成兑付2021年度第六期短期融资券 本息共计30.168亿元,智通财经
1003,2021-07-23,华安基金总经理张霄岭：以ETF为代表指数投资迎来大发展时代,财经网
1004,2021-07-23,券商半年报相继出炉净利普遍“报喜”后市企稳有望,资本邦
1005,2021-07-23,华安基金“2021指数投资与资产配置高端峰会—夏季论坛”在京成功举办,发现网
1006,2021-07-23,上市券商半年业绩首告负增长：中信建投上半年净赚45亿但同比仍下滑 盈利能力下降,21世纪经济报道
1007,2021-07-23,中国电信过会:今年IPO过关第229家 中金中信建投保荐,中国经济网
1008,2021-07-23,30家券商半年成绩单曝光！中原证券成最大黑马,Wind
1009,2021-07-23,6家券商晒上半年业绩快报,证券时报网
1010,2021-07-23,30家券商半年成绩单曝光！中信建投“出点意外” 中原证券成最大黑马,券商中国
1011,2021-07-23,中信建投证券(06066.HK)半年盈利跌1% 盈利能力下降,财华社
1012,2021-07-23,猪价进入“8时代”，高利润阶段已经结束,Wind
1013,2021-07-23,三个月市值蒸发百亿，盐津铺子董事长说业绩下滑“不是雷” 盈利能力下降,证券之星
1014,2021-07-22,中信建投迎1个月以来第3则利空：半年赚45亿，却成唯一一家业绩同比下滑上市券商 盈利能力下降,每日经济新闻
1015,2021-07-22,首家上半年业绩下滑头部券商出现，究竟何原因拖累？26家券商上半年预喜 盈利能力下降,财联社
1016,2021-07-22,中信建投证券(06066)上半年归母净利同比下降1.08%至45.29亿元 盈利能力下降,智通财经
1017,2021-07-22,中信建投证券(06066.HK)完成发行45亿元短期融资券,格隆汇
1018,2021-07-22,7月22日中信建投、寒武纪等5家公司公告出现利空,证券之星
1019,2021-07-22,【港股通】中信建投证券(06066)上半年净利润45.29亿元人民币 同比减少1.08% 盈利能力下降,和讯
1020,2021-07-22,第二大股东欲清仓减持 中信建投基金规模业绩双承压 减持股份,投资时报
1021,2021-07-22,中信建投(601066.SH)业绩快报：上半年净利微降1.08%至45.29亿元 盈利能力下降,格隆汇
1022,2021-07-22,中信建投(601066.SH)：完成发行45亿元短期融资券(债券通),格隆汇
1023,2021-07-22,中信建投业绩快报：上半年净利45.3亿元同比下降1.08% 盈利能力下降,财联社
1024,2021-07-22,中信建投业绩快报：上半年实现净利润45.3亿元，同比下降1.08% 盈利能力下降,金十数据
1025,2021-07-22,中信建投发布业绩快报：上半年净利润45.29亿元同比下降1.08% 盈利能力下降,Wind
1026,2021-07-22,10家券商上榜《财富》中国500强名单，中信海通国君连续四年上榜，中信建投成新秀，中金提升85个位次,财联社
1027,2021-07-22,惠誉：确认中金公司(03908.HK)和中信建投证券(06066.HK)的评级为‘BBB+’,中金在线
1028,2021-07-22,锂电池巨头创新高，滞涨绩优概念股请收藏,Wind
1029,2021-07-22,北京德恒律师事务所 关于上海复旦微电子集团股份有限公司 科创板首次公开发行股票战略投资者专项核查的法律意见,证券时报
1030,2021-07-21,中信建投证券债务资本市场部日报（20210721）,中信建投DCM
1031,2021-07-21,已有27家券商可做基金投顾：陪伴式服务客户，百万年薪揽才,Wind
1032,2021-07-21,金辰股份(603396.SH)披露定增结果：财通基金、诺德基金、中信建投等参投,格隆汇
1033,2021-07-20,中信建投证券债务资本市场部日报（20210720）,中信建投DCM
1034,2021-07-20,中信建投证券(06066)：“20 信投 S2”将于7月28日兑付本息并摘牌 退市,智通财经
1035,2021-07-20,中信建投证券(06066.HK)“20信投S2”拟7月28日付息及摘牌,格隆汇
1036,2021-07-20,IPO在会项目大起底：844个项目半数在创业板，今年来225家企业过会，民生证券排名第二成实力黑马,财联社
1037,2021-07-20,又见券商所长换东家，安信证券研究所人事变动,Wind
1038,2021-07-20,华脉科技(603042.SH)披露定增结果：常州投资集团、中信建投等参投,格隆汇
1039,2021-07-20,非银金融行业：券商板块关注度在升温 业绩增长和资产质量与当前估值不匹配,新浪
1040,2021-07-20,25%股权花落谁家？中信建投基金规模与业绩双重承压，二股东欲清仓 盈利能力下降,投资时报
1041,2021-07-20,中信建投证券股权资本市场部待发行项目一览,中信建投证券资本市场部
1042,2021-07-20,周二机构一致看好的十大金股,华安证券
1043,2021-07-20,【6066】中信建投证券中期少赚1.1%|头条金融网 盈利能力下降,头条日报
1044,2021-07-20,心动公司(2400)：平台+自研双轮驱动，TapTap全周期平台未来可期,中信建投证券研究
1045,2021-07-20,中信建投三大研究团队最新解读碳交易所正式开市！,中信建投证券研究
1046,2021-07-20,新股首日暴涨十余倍，询价有效性受关注,Wind
1047,2021-07-20,关于新增中信建投为上投摩根 旗下部分基金代销机构的公告,新浪
1048,2021-07-19,中信建投证券债务资本市场部日报（20210719）,中信建投DCM
1049,2021-07-19,见证历史！上市首日暴涨超19倍读客文化“涨疯了”,北京商报
1050,2021-07-19,券商行业周报(2021年第二十七期)：科创板引入做市商制度 中报业绩表现亮眼,新浪
1051,2021-07-19,读客文化上市首日涨1943% IPO募0.6亿中信建投赚0.1亿,中国经济网
1052,2021-07-18,“不差钱”券商福利降级 中信、中信建投出差鼓励两人一室？,ZAKER
1053,2021-07-18,超越中信证券成2021可转债之王：国泰君安为何如此“吸金”？,新浪
1054,2021-07-17,中信建投研究一周个股精选,中信建投证券研究
1055,2021-07-16,《涛动周期论》周期之王的遗作,雪球
1056,2021-07-16,证券公司从业人员已逼近34万 36家券商注册经纪人为零,和讯
1057,2021-07-16,同样是高ROE，为何中信建投没有中金公司吃香？,21世纪经济报道
1058,2021-07-16,【中信建投通信|阎贵成&武超则团队】亿联网络：业绩符合预期，经营有望长期持续向好,建投通信研究
1059,2021-07-16,【中信建投通信|阎贵成&武超则团队】数据中心三年行动计划发布，IDC行业供给侧改革加速,建投通信研究
1060,2021-07-16,中信建投大金融团队最新研究,中信建投证券研究
1061,2021-07-15,中信建投证券债务资本市场部日报（20210715）,中信建投DCM
1062,2021-07-15,两大顶级券商控制成本，调整降低员工差旅标准,中国基金报
1063,2021-07-15,纯碱行业景气持续上涨可期！中信建投化工团队系列专题,中信建投证券研究
1064,2021-07-15,信用债日报2021年7月14日星期三,Wind
1065,2021-07-15,高层出差坐火车硬席？两大顶级券商出手，更有鼓励员工住酒店“两人一间房”！,中国基金报
1066,2021-07-14,中信建投证券债务资本市场部日报（20210714）,中信建投DCM
1067,2021-07-14,魏桥“过难关”？集团顶层公司现经营异常 不复为山东最大企业 经营问题,贝壳财经
1068,2021-07-14,券商要过紧日子？中信和中信建投提倡员工出差二人一室，火车坐硬席,腾讯网
1069,2021-07-14,"债市分析 | 6月份交易所信用债发行3,571.98亿元，发行规模环比上升137%，整体发行利率上行，利差扩大",中证鹏元评级
1070,2021-07-14,券商要过紧日子了？两家公司提倡：员工出差火车坐硬席、住宿标准下调,腾讯网
1071,2021-07-14,福利没了？中信证券和中信建投全面下调差旅费,证券之星
1072,2021-07-14,券商晨会精华：A股基本面支撑较强震荡向上格局将持续,财联社
1073,2021-07-14,券商分类评价大摸底：A类家数大概率超越去年,Wind
1074,2021-07-13,中信建投证券债务资本市场部日报（20210713）,中信建投DCM
1075,2021-07-13,证券行业福利降级中信证券、中信建投大幅削减差旅预算,格隆汇
1076,2021-07-13,盘点2021券商人均营销实力,新浪
1077,2021-07-13,晚间要闻2021年7月13日星期二,Wind
1078,2021-07-13,券商要过紧日子了？中信证券和中信建投差旅费标准降级,Wind
1079,2021-07-13,券商要过紧日子了？中信证券和中信建投提倡员工出差二人一室，火车坐硬席、住宿标准下调100元—300元/天,21世纪经济报道
1080,2021-07-13,仙琚制药：公司有参股索元生物9.219%,Wind
1081,2021-07-13,中信建投证券股权资本市场部待发行项目一览,中信建投证券资本市场部
1082,2021-07-13,长江证券：公司与财富趋势已有合作,Wind
1083,2021-07-13,中信建投证券(06066.HK)完成发行60亿人民币次级债票面利率3.5%,财华社
1084,2021-07-13,1.3万亿元，A股成交额创今年以来新高,Wind
1085,2021-07-13,又有基金公司股权变动！,Wind
1086,2021-07-13,又有基金公司股权变动！,中国基金报
1087,2021-07-12,中信建投证券债务资本市场部日报（20210712）,中信建投DCM
1088,2021-07-12,中信建投证券(06066)完成发行60亿元2021年次级债券(第五期),智通财经
1089,2021-07-12,中信建投证券(06066.HK)完成发行60亿元债券,格隆汇
1090,2021-07-12,证券业“三中一华”大PK,新浪
1091,2021-07-12,光伏赛道继续加码，晶科子公司冲击A股上市,格隆汇
1092,2021-07-12,上半年债承业绩放榜！这两家券商占了25%份额，监管约束“价格战”，行业格局咋走？,Wind
1093,2021-07-12,利率债周报：全面降准到来 收益率应声回落,新浪
1094,2021-07-10,建投金工深度专题105：多层次订单失衡及订单斜率因子,鲁明量化全视角
1095,2021-07-10,中信建投五大研究团队最新解读央行全面降准政策！,中信建投证券研究
1096,2021-07-10,中信建投研究一周个股精选,中信建投证券研究
1097,2021-07-09,中信建投证券债务资本市场部日报（20210709）,中信建投DCM
1098,2021-07-09,【银华基金】交易日报 2021-07-09,新浪
1099,2021-07-09,集运运价涨势不减，欧美航线需求强劲,中信建投证券研究
1100,2021-07-09,上半年券商承销债券排行揭榜：中信双雄领跑华泰杀进前三,Wind
1101,2021-07-09,上半年券商承销债券排行揭榜 中信双雄领跑华泰杀进前三,证券时报
1102,2021-07-09,承销价格“免战” 中信双雄领跑华泰杀进前三,全景网
1103,2021-07-09,铭普光磁: 关于控股股东股份协议转让的提示性公告 减持股份,证券之星
1104,2021-07-08,又一家公募股权变更落地，成立10年规模难做大，或作新布局？今年来多家中小公募股权频繁变更,财联社
1105,2021-07-08,又一家公募股权变更落地，成立10年规模难做大，或作新布局？今年来多家中小公募股权频繁变更,金融界
1106,2021-07-08,中信建投证券(06066)：次级债券(第五期)品种一和品种二票面利率分别为3.05%及3.5%,智通财经
1107,2021-07-08,为用钱周转、迎外资巨头“入场” 年内这些中小型基金公司股权被大股东“转手卖了”,北京商报
1108,2021-07-08,【银华基金】交易日报 2021-07-08,新浪
1109,2021-07-08,北向资金今日净卖出17.01亿元，4000亿海运巨头中远海控遭净卖出5亿元,Wind
1110,2021-07-08,为用钱周转、迎外资巨头“入场” 年内这些中小型基金公司股权被大股东“转手卖了”,北京商报网
1111,2021-07-08,为用钱周转、迎外资巨头“入场”年内这些中小型基金公司股权被大股东“转手卖了”,北京商报
1112,2021-07-08,【中信建投 金融工程】多因子跟踪6月报：成长向好，盈利估值反转,鲁明量化全视角
1113,2021-07-08,【建投中小盘】捷捷微电：半年报超预期，产线扩产升级稳步推进,中信建投中小市值
1114,2021-07-08,【中信建投 固收】降准与斐波那契分析框架下的有效突破,文涛宏观债券研究
1115,2021-07-08,彻底火了！20多家上市公司扎堆跨界医美，连券商分析师也跟着“转行”，看上去很“美”的这次转型却……,中证报
1116,2021-07-08,彻底火了！20多家上市公司扎堆跨界医美 连券商分析师也跟着“转行”,中证网
1117,2021-07-08,山东海化(000822)：纯碱景气持续延续，弹性标的业绩不断兑现,中信建投证券研究
1118,2021-07-08,中远海控(601919)：二季报略超预期，继续维持“买入”评级,中信建投证券研究
1119,2021-07-08,中信建投大周期团队最新研究,中信建投证券研究
1120,2021-07-08,扎堆进入医美机构赛道，上市公司跨界转型潮涌,Wind
1121,2021-07-08,扎堆进入医美机构赛道上市公司跨界转型潮涌,中证报
1122,2021-07-08,首只碳中和主题基金获批,Wind
1123,2021-07-08,关于增加中信建投证券股份有限公司 为旗下部分基金销售机构同时开通定投 及转换业务的公告,证券日报
1124,2021-07-07,中信建投证券债务资本市场部日报（20210707）,中信建投DCM
1125,2021-07-07,券业“百人斩”梦碎中信建投证券,新浪
1126,2021-07-07,35万股民炸锅！刚刚，4000亿巨头半年暴赚371亿，猛增近32倍！股价1年飙升10倍，网友吵翻了：业绩太亮还是不及预期？,中国基金报
1127,2021-07-07,【中信建投电子|刘双锋&雷鸣团队】三环集团（300408）深度报告：先进陶瓷材料专家，构建“材料+”平台优势,中信建投电子研究
1128,2021-07-07,【中信建投军工|行业深度】无人机系列报告之一：智能化作战核心载体,韬扬军工高端制造沙龙
1129,2021-07-07,上银基金卢扬：风险调整后的收益最大化，是我在投资管理中的首要目标,新浪
1130,2021-07-07,中国债券市场金融债发行日程一览(7月7日),Wind
1131,2021-07-07,申菱环境上市首日涨242% IPO募5.0亿中信建投赚0.4亿,中国经济网
1132,2021-07-07,江南奕帆上市首日涨79% IPO募5.4亿中信建投赚0.4亿,中国经济网
1133,2021-07-07,15家基金投顾研究报告（上）：强“投”弱“顾”现象普遍，止盈策略盛行，部分产品风险设计有问题,21世纪经济报道
1134,2021-07-07,天宜上佳：高铁粉末冶金闸片龙头，新产品开启第二增长曲线【中信建投建材吕娟团队】,--
1135,2021-07-07,微观流动性跟踪双周报：融资风格攻守兼备 北上加仓电气设备,新浪
1136,2021-07-07,【行情】券商股开盘冲高，红塔证券拉升涨逾5%，方正证券、中信建投、中金公司、哈投股份等跟涨,金十数据
1137,2021-07-07,中信建投高端制造团队最新研究,中信建投证券研究
1138,2021-07-07,中国中免(601888)：业绩符合预期，竞争优势持续验证,中信建投证券研究
1139,2021-07-07,和而泰深度研究 | 中信建投通信,中信建投证券研究
1140,2021-07-06,中信建投证券债务资本市场部日报（20210706）,中信建投DCM
1141,2021-07-06,【中信建投银行杨荣】行业深度：《多维解读如何提升银行负债质量？》,eResearch杨荣团队
1142,2021-07-06,计算机行业双周报2021年第3期总第3期：证券业金融科技发展正当时,新浪
1143,2021-07-06,【中信建投通信|阎贵成&武超则团队】和而泰：业绩好于预期，汽车控制器与芯片成长可期,建投通信研究
1144,2021-07-06,中信建投证券股权资本市场部待发行项目一览,中信建投证券资本市场部
1145,2021-07-06,【中信建投 宏观】基本面科技占优，消费候选 - 7月中观月报,文涛宏观债券研究
1146,2021-07-06,【中原非银】券商板块周报（2021.6.28-2021.7.4）,中原证券研究所
1147,2021-07-06,基金公司股权频变更，多方巨头谋求入局,Wind
1148,2021-07-05,中信建投证券(06066)：7月14日开始支付公司债券“20 信投 G4”利息,智通财经
1149,2021-07-05,"中信建投证券(06066.HK)""20信投G4""将于7月14日付息",格隆汇
1150,2021-07-05,基金投顾试点接连获批，券商财富管理迎发展新机遇,ZAKER
1151,2021-07-05,非银金融行业：投顾市场继续扩容 券商喜迎业绩预增,新浪
1152,2021-07-05,百度地图携手日日顺实现数字化调度，金蝶助力凌创电子打造全数字化协同平台 | 36氪数字化创新指南0704,36氪
1153,2021-07-05,东方财富市值3071亿新晋券商“一哥” 净利10年增70倍净资产收益率居首,长江商报
1154,2021-07-05,拓邦股份(002139):智能控制领航者，受益万物智联时代,中信建投证券研究
1155,2021-07-04,【中信建投通信|阎贵成&武超则团队】拓邦股份：智能控制领航者，受益万物智联时代,建投通信研究
1156,2021-07-04,周末榜单 | 中信建投十大热门研报,中信建投证券研究
1157,2021-07-03,1万亿的大生意刚刚结束，哪家楼盘赔本赚吆喝？,中新经纬
1158,2021-07-03,宋清辉：公募基金股权并不高其他企业一等早已经不“香”了,搜狐
1159,2021-07-02,中信建投证券债务资本市场部日报（20210702）,微信
1160,2021-07-02,又有券商再融资在路上：东兴证券70亿定增获批！此前多家券商实际定增募资额不及预期,每日经济新闻
1161,2021-07-02,【银华基金】交易日报 2021-07-02,新浪
1162,2021-07-02,东兴证券张涛：70亿定增获证监会审核通过,搜狐
1163,2021-07-02,中信建投受托管理金茂投资20亿元债券,乐居财经
1164,2021-07-02,奈雪的茶(2150)深度：现制茶饮第一股，赛道红利及高端竞争优势共促成长,中信建投证券研究
1165,2021-07-01,【中信建投 通信】广和通：牵手涂鸦，加码AI0T,建投通信研究
1166,2021-07-01,【中信建投 通信】宝信软件：智慧制造下游需求旺盛，21Q2业绩超预期,建投通信研究
1167,2021-07-01,股东纷纷清仓式减持，公募基金股权不香了？ 减持股份,华夏时报
1168,2021-07-01,豆神教育(300010.SZ)股东池燕明拟转让1829.22万股予郭皓 公司或将变更为无实控人 控制人变化,智通财经
1169,2021-07-01,中信建投受托管理恒大地产453亿元公司债券,乐居财经
1170,2021-07-01,券商金股上半年收益放榜，7月聚焦半年报业绩高增长,Wind
1171,2021-07-01,增势平稳，上半年股权融资榜发布,Wind
1172,2021-06-30,中介发力碳中和：会计所扩招储备人才，券商提升绿色业务占比,澎湃新闻
1173,2021-06-30,烧钱8亿“触网”，中信建投再牵手腾讯，传统券商争相与互联网巨头合作,时代财经
1174,2021-06-30,再遭创始股东清仓式退股，中信建投基金难觅“乘凉”处！ 减持股份,环球老虎财经
1175,2021-06-30,“券商+BATJ”又添一例，中信建投、腾讯开展金融科技战略合作,第一财经
1176,2021-06-30,中信建投证券(06066.HK)注册资本增至77.57亿元,格隆汇
1177,2021-06-30,争先为自家“优秀”刷屏！18家券商获评“优秀级”国家级投教基地，5家券商更是3年蝉联“优秀”,财联社
1178,2021-06-30,中信建投(601066.SH)：公司注册资本增加至77.57亿元,格隆汇
1179,2021-06-30,又见头部券商牵手互联网巨头，中信建投与腾讯达成战略合作，提升证券金融业务创新能力,21世纪经济报道
1180,2021-06-30,解盘：百亿资金流入，半导体、光刻胶、电解液、白酒领涨,Wind
1181,2021-06-30,中信建投证券牵手腾讯，打造相关技术领域投资及资本运作生态体系,资本邦
1182,2021-06-30,中信建投证券与腾讯公司签署战略合作协议，盯上了微信生态资源？,华夏时报
1183,2021-06-30,【行情】证券板块异动拉升，长城证券涨超8%，华林证券、中信建投、华西证券跟涨,金十数据
1184,2021-06-30,券商股异动，长城证券一度触及涨停,Wind
1185,2021-06-30,中信建投证券与腾讯公司签署战略合作 打造业内首个全场景云原生数字化标杆,ZAKER
1186,2021-06-30,券商数字化转型进行时！中信建投宣布与腾讯达成战略合作,资本邦
1187,2021-06-30,中信建投证券(06066.HK)涨1%,中金在线
1188,2021-06-30,一通密封过会：今年IPO过关第201家 中信建投过16单,中国经济网
1189,2021-06-30,港股公告精选：中信建投证券与腾讯公司将积极推进在金融科技领域的深度合作,Wind
1190,2021-06-30,中信建投牵手腾讯，拟打造业内首个全场景云原生数字化标杆！,中证报
1191,2021-06-30,"中信建投牵手腾讯 为何券业都爱""抱团""互联网巨头？",券商中国
1192,2021-06-29,格隆汇港股聚焦(06.29)︱中信股份预计中期净利同比增长不低于60%；中信建投证券与腾讯签订金融科技战略合作协议,格隆汇
1193,2021-06-29,重磅官宣：中信建投与腾讯在金融科技领域战略合作！股价能因此摆脱限售股解禁阴影吗？,每日经济新闻
1194,2021-06-29,中信建投与腾讯官宣牵手，合作定制了哪些内容？董事长王常青：学互联网思维提升科创能力,财联社
1195,2021-06-29,中信建投证券(06066.HK)选举张薇及王华为非执行董事,格隆汇
1196,2021-06-29,中信建投证券(06066.HK)与腾讯签订金融科技战略合作协议,格隆汇
1197,2021-06-29,公告精选：中信建投与腾讯达成战略合作；苏宁易购股票继续停牌,e公司
1198,2021-06-29,晚间重要公告2021年6月29日星期二,Wind
1199,2021-06-29,中信建投与腾讯达成战略合作，携手开展金融科技创新,第一财经
1200,2021-06-29,中信建投：与腾讯公司签订战略合作协议,Wind
1201,2021-06-29,中信建投：与腾讯公司签订金融科技战略合作协议,财联社
1202,2021-06-29,A股融资融券日报：两融余额增加94.84亿元（6月28日）,Wind
1203,2021-06-29,中金：基金投顾试点扩容，买方时代已至,Wind
1204,2021-06-29,A股再现“跷跷板效应”，下半年小盘股唱主角？,Wind
1205,2021-06-29,中信建投2021下半年传媒互联网投资策略|虚拟与体验：超级数字场景与线下娱乐新消费,中信建投证券研究
1206,2021-06-29,中信建投2021下半年公用事业投资策略：碳中和推动能源结构持续转型，垃圾焚烧及环卫行业有望稳健增长,中信建投证券研究
1207,2021-06-29,中信建投TMT行业研究一周观点,中信建投证券研究
1208,2021-06-29,中信建投基金第二大股东拟“清仓”式减持 拟减持股份,新浪
1209,2021-06-29,25%股权拟被1.83亿元底价转让 中信建投基金股权将再次生变 资产异常,每日经济新闻
1210,2021-06-29,又有基金公司股东“清仓”减持！ 减持股份,中国基金报
1211,2021-06-28,4个交易日大涨超30%，中银证券拉得动券商股吗？东方财富、湘财证券、中银证券…谁能成为真正的“券茅”,财联社
1212,2021-06-28,1.83亿元转让25%股权！中信建投基金股权或再生变 资产异常,每日经济新闻
1213,2021-06-28,二股东清仓中信建投基金25%股权，大股东中信建投或接盘100％控股？股权生变背后业绩规模双重隐忧 减持股份,财联社
1214,2021-06-28,中信建投证券股权资本市场部待发行项目一览,中信建投证券资本市场部
1215,2021-06-28,中信建投：供需与成本博弈 PVC或宽幅震荡,新浪
1216,2021-06-28,北向资金今日净卖出40.55亿元，中远海控、宁德时代净卖出额居前,Wind
1217,2021-06-28,中信建投基金股权或再现生变！航天财务以1.83亿元底价挂牌转让25%股权 资产异常,每日经济新闻
1218,2021-06-28,次新股财达证券尾盘封住跌停板，该股上日涨停,Wind
1219,2021-06-28,券商海外业务排行：海通证券(06837)、中金(03908)连续四年收入占比霸榜，中信建投(06066)增速最快,智通财经
1220,2021-06-28,解盘：百亿资金流入，农业、CRO、医疗器械、半导体领涨,Wind
1221,2021-06-28,A股56股部分限售股将迎解禁 甘李药业解禁市值居首 解禁,北京商报
1222,2021-06-28,张岸元：速度与规模的重要性在上升？,Wind
1223,2021-06-28,中信建投证券王常青：坚持融入发展大局 不断做大做强资本市场“稳定器”,中证网
1224,2021-06-28,券商股低开低走，财达证券逼近跌停,Wind
1225,2021-06-28,A股本周迎千亿级解禁 彤程新材等6股解禁后流通盘增超50% 解禁,北京商报
1226,2021-06-28,千亿解禁小高峰来袭 甘李药业269.54亿元解禁市值居首 解禁,北京商报
1227,2021-06-28,今年新增37个本科专业，1/3是此类专业！竟与A股市场不谋而合,Wind
1228,2021-06-28,A股早报2021年6月28日星期一,Wind
1229,2021-06-28,智通港股开市掘金(06.28) | 券商转型有望带动大盘 芯片、医疗等消息持续刺激,智通财经
1230,2021-06-28,十大券商：拉升行情未完待续！成长风格布局正当时,Wind
1231,2021-06-28,中信建投2021下半年食品饮料投资策略：高端消费持续高景气，关注大众消费恢复趋势,中信建投证券研究
1232,2021-06-28,第二批基金投顾业务试点加速落地 基金投顾业务试点机构总数达到32家,财联社
1233,2021-06-28,中信建投：流动性宽松持续，成长领涨市场,中信建投
1234,2021-06-27,【建投中小盘|深度】东威科技：从PCB到锂电池，深耕电镀技术的高端精密电镀设备供应商,中信建投中小市值
1235,2021-06-27,A股迎千亿级解禁！甘李药业解禁市值居首 首都在线流通盘增近五倍 解禁,北京商报
1236,2021-06-27,周末榜单 | 中信建投十大热门研报,中信建投证券研究
1237,2021-06-27,【中信建投 非银金融】2021年保险中期策略:迈入新周期，短期业绩压力加速价值壁垒的建立,中信建投非银金融研究
1238,2021-06-27,注意！这只产业链龙头股连续五周被北向资金扫货！,Wind
1239,2021-06-27,“买醉”收获5个一字板，公司最新回应！下周解禁市值规模近千亿 解禁,网易
1240,2021-06-27,下周解禁市值规模近千亿，多只热门概念股在列 解禁,证券时报网
1241,2021-06-27,一周新增43家！“冷盘”的IPO主板申报市场缘何突然爆发？,搜狐
