,2021-12-31,无人机送餐，飞越几座大山？,36氪
1126,2021-08-23,交运中小盘行业周报：疫情消退将带动出行恢复 浙江自然中报增45%,新浪
1127,2021-08-23,顺丰控股(002352)：Q2扣非净利扭亏 关注布局跨境电商,新浪
1128,2021-08-23,单票收入持续下滑，顺丰控股上半年净利同比减少近八成 盈利能力下降,澎湃新闻
1129,2021-08-23,多网点无视易碎标志暴力分拣，抛扔现象普遍,新华网
1130,2021-08-23,谁最惨？蓝筹股高位回撤排名：顺丰、金龙鱼跌跌不休 白酒股批量腰斩,财联社
1131,2021-08-23,顺丰控股发布2021半年报：快递基本盘稳固支撑 新业务贡献收入增量超48%,金融界
1132,2021-08-23,顺丰上半年净利剧降79%，股价暴跌53%，顺丰老板王卫身家缩水超1500亿 盈利能力下降,新浪
1133,2021-08-23,顺丰上半年净利下滑近八成，同质化让行业陷价格泥沼 盈利能力下降,第一财经
1134,2021-08-23,顺丰控股低开！上半年净利降近八成，二股东减持了 盈利能力下降,中新经纬
1135,2021-08-23,“快递茅”顺丰控股发布上半年业绩,中证报
1136,2021-08-23,最新社保+QFII重仓股名单：格力等龙头被减持,Wind
1137,2021-08-23,顺丰控股 | 中报点评：二季度业绩环比明显改善，长期发展持续向好,微信
1138,2021-08-23,顺丰发布上半年业绩 业绩实现增收不增利 盈利能力下降,北京商报
1139,2021-08-23,顺丰控股上半年净利同比下滑近80%；通用汽车宣布召回全部雪佛兰Bolt；微软宣布Microsoft 365商业版涨价 盈利能力下降,每经头条
1140,2021-08-23,8月23日四家公司公告出现利空:顺丰控股上半年净利润同比下降79.8%,证券之星
1141,2021-08-23,顺丰控股2021半年报点评：Q2盈利回升，期待经营持续改善【安信交运明兴团队】,明兴交运研究
1142,2021-08-23,中国银河维持交通运输行业推荐评级：共同富裕背景下，农村寄递物流赛道机会加速彰显,每日经济新闻
1143,2021-08-23,顺丰控股半年报业绩落地，业务量年均增速高于全行业,投资家
1144,2021-08-23,财经头条：茅台腾讯阿里跌40% 恒瑞顺丰腰斩 基民继续做时间的朋友吗？,第一财经
1145,2021-08-23,顺丰控股：Q2业绩环比改善，陆股通持股比例持续提升,投资家
1146,2021-08-23,多网点无视易碎标志暴力分拣快递 韵达快递多次被曝光,中新经纬
1147,2021-08-23,家电龙头业绩高增近五成 机构却在出逃！最新中报社保基金+QFII重仓股名单,证券之星
1148,2021-08-23,【银河交通王靖添】行业周报丨共同富裕背景下，农村寄递物流赛道机会加速彰显,中国银河证券研究
1149,2021-08-23,【银河晨报】8.23丨电子：半导体预期再升温，芯片短缺仍需关注,中国银河证券研究
1150,2021-08-23,每日财报|顺丰控股半年净利大降79.8% 东阿阿胶中期盈利1.5亿,搜狐
1151,2021-08-23,最新中报的社保基金+QFII重仓股名单来了，这些股被机构减持,第一财经
1152,2021-08-23,顺丰控股半年报：净利暴跌80%！市值蒸发3千亿 盈利能力下降,中国基金报
1153,2021-08-23,Wind风控日报2021年8月23日星期一,Wind
1154,2021-08-23,上市公司正负面新闻2021年8月23日星期一,Wind
1155,2021-08-23,7月快递业务量稳步增长,中证网
1156,2021-08-23,陆家嘴财经早餐2021年8月23日星期一,Wind
1157,2021-08-23,记者调查快递丢损理赔问题：丢失损坏凭什么只赔快递费,中新网
1158,2021-08-23,“快递茅”顺丰控股业绩来了：净利暴跌近80% 市值蒸发3000亿 盈利能力下降,中国基金报
1159,2021-08-23,【华创交运*业绩点评】顺丰控股中报点评：Q2单季度扣非净利6.6亿，环比Q1改善明显，趋势确立，供应链与国际业务或为未来看点,华创交运与供应链研究
1160,2021-08-23,净利暴跌80%！“快递茅”顺丰业绩来了 二股东减持 更有市值蒸发3000亿 盈利能力下降,中国基金报
1161,2021-08-22,东方证券：预计下半年顺丰控股盈利能力重回正轨,Wind
1162,2021-08-22,“快递茅”上半年净利下降近80%！股价腰斩，市值蒸发超2600亿元,Wind
1163,2021-08-22,安信证券：顺丰控股当前仍处在资源高投入期，短期成本端承压,Wind
1164,2021-08-22,“快递茅”上半年净利下降近80%！股价腰斩，市值蒸发超2600亿元 盈利能力下降,中证报
1165,2021-08-22,顺丰前七个月营收破千亿，上半年净利润同比下降近八成 盈利能力下降,奥一网
1166,2021-08-22,快递业7月成绩单：顺丰控股稳守“老大”地位 申通、圆通深陷低价竞争,上游新闻
1167,2021-08-22,顺丰控股净利润同比下滑79.8% 时效快递改道消费压力仍存 盈利能力下降,财联社
1168,2021-08-22,周末影响A股十大事件来了！,Wind
1169,2021-08-22,顺丰控股上半年净利7.6亿元 二季度业绩环比显着改善,e公司
1170,2021-08-22,顺丰控股：上半年净利润同比减少79.8% 盈利能力下降,Wind
1171,2021-08-22,晚间重要公告2021年8月22日星期日,Wind
1172,2021-08-22,一季度巨亏 10 亿 顺丰公布半年报：净利润暴跌 80% 重大损失,ZAKER
1173,2021-08-22,多元业务创造新增长曲线 顺丰上半年营收883亿增24.2％,金融界
1174,2021-08-22,顺丰控股：新业务加速发展 半年营收达883亿元,环球老虎财经
1175,2021-08-22,顺丰发布2021半年报：净利润暴跌80% 盈利能力下降,快科技
1176,2021-08-22,顺丰控股(002352.SZ)：二季度扣非净利润环比增加17.91亿元 业绩环比改善明显,格隆汇
1177,2021-08-22,二季度净利达17.49亿元 顺丰控股(002352.SZ)半年度归母净利同比降79.8%至7.6亿元 盈利能力下降,智通财经
1178,2021-08-22,传顺丰、安能物流等多家物流企业或将港股上市,腾讯网
1179,2021-08-22,业绩快报 | 正荣地产、正荣服务中报披露，南都物业半年营收7.64亿,观点地产网
1180,2021-08-22,顺丰控股半年营收增24%至883.44亿 归母净利7.6亿下滑8成 盈利能力下降,观点地产网
1181,2021-08-22,顺丰上半年营收增24.2％ 多元业务创造新曲线,北京商报
1182,2021-08-22,顺丰上半年营收同比增24.2% 投放丰巢快递柜超30万组,北京商报
1183,2021-08-22,股价半年跌近六成，股民倒增15万户，顺丰控股上半年净利大降80% 盈利能力下降,AI财经社
1184,2021-08-22,顺丰控股半年报：上半年净利7.6亿元 同比减少79.8% 盈利能力下降,财联社
1185,2021-08-22,顺丰控股：上半年净利润同比减少79.8%,Wind
1186,2021-08-22,7月快递数据向好，航空关注需求复苏【安信交运 | 周报0822】,明兴交运研究
1187,2021-08-22,助“云品出滇” 顺丰运力再升级,云南日报
1188,2021-08-21,快递行业7月份数据点评：韵达ASP同比环比双增,西南证券
1189,2021-08-21,东北证券：7月快递需求稳定，行业单票均价继续下探,智通财经
1190,2021-08-21,核心资产腰斩，哪些基金重仓了？张坤、刘彦春、葛兰、邬传雁、焦巍上榜…明星们此时将抛弃还是坚守？,财联社
1191,2021-08-21,国内价格战硝烟渐散 中国快递企业“抱团出海”,中国经营报
1192,2021-08-20,A股快递公司7月成绩出炉：顺丰今年营收已破千亿 “老二”之争难舍难分,国际金融报
1193,2021-08-20,A股快递公司7月业绩：单量增速整体放缓 韵达单票价格1年来首次同比转正 盈利能力下降,每日经济新闻
1194,2021-08-20,顺丰连续两月单价回升，韵达单价增速率先转正，快递真的涨价了吗？,36氪
1195,2021-08-20,【东北交运|动态点评】7月快递行业数据点评：7月快递需求稳定，行业单票均价继续下探,老瞿研究
1196,2021-08-20,上市在即！中邮科技能否做成“中国快递装备第一股”？,亿邦动力
1197,2021-08-20,顺丰控股：上半年实现净利润7.6亿元,36氪
1198,2021-08-20,顺丰今日头条盘点|2021-08-20,亿邦动力
1199,2021-08-20,快递公司7月经营数据出炉：价格战仍持续，各公司加码投资,第一财经
1200,2021-08-20,【兴证交运】2021年7月快递行业数据快评,兴业证券交通运输与物流研究
1201,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
1202,2021-08-20,7月快递业务量同增28.8% 四大巨头经营流水大比拼,智通财经
1203,2021-08-20,韵达股份(002120)：7月票单价环比+0.02元 价格战风险收窄再验证,新浪
1204,2021-08-20,7月快递数据点评：需求稳健增长，韵达单价同比增速转正【安信交运明兴团队】,明兴交运研究
1205,2021-08-20,记者调查多地快递营业网点：暴力分拣突出 抛扔现象普遍,中新网
1206,2021-08-20,退出价格战，Q2净利同比下滑13%的中通快读还能拼什么？ 盈利能力下降,美股研究社
1207,2021-08-20,顺丰控股股份有限公司 2021年7月快递服务业务经营简报,证券日报
1208,2021-08-20,中通二季度净利下滑 意欲退出价格战 盈利能力下降,第一财经
1209,2021-08-20,【华创交运】快递行业7月数据点评：行业业务量同比增29%，顺丰业务量增速连续三个月领跑、单票收入环比两连升，韵达单票收入转正,华创交运与供应链研究
1210,2021-08-19,顺丰7月快递业务营收同比增24%,北京商报
1211,2021-08-19,“数据会说话”之2021年7月数据解读：7月社零数据低于预期 弱复苏态势延续,新浪
1212,2021-08-19,顺丰控股7月营收近150亿元，连续2个月单票收入回暖,e公司
1213,2021-08-19,晚间重要公告2021年8月19日星期四,Wind
1214,2021-08-19,顺丰控股7月营收近150亿元，业务量同比增三成,金融界
1215,2021-08-19,中通快递二季度净利降12%：业务量增26%，董事长称以低价换市场份额不可持续 盈利能力下降,搜狐
1216,2021-08-19,顺丰控股：7月业务量同比增长33.81%，增速继续领跑行业,投资家
1217,2021-08-19,顺丰控股(002352.SZ)7月快递服务业务营收为148.37亿元 同比增长23.98%,智通财经
1218,2021-08-19,顺丰控股(002352.SZ)7月供应链业务营收同比增长109.00%,格隆汇
1219,2021-08-19,顺丰控股：7月速运物流业务营收135.83亿元 同比增19.5%,e公司
1220,2021-08-19,顺丰控股：7月速运物流营收136亿元 同比增19.5%,财联社
1221,2021-08-19,顺丰控股：7月速运物流业务营业收入同比增长19.5%,Wind
1222,2021-08-19,嘉里建设：顺丰控股收购嘉里物流预期未来2个月完成,观点地产网
1223,2021-08-19,中国物流“下南洋”，百世海外营收逆风飙升,36氪
1224,2021-08-19,中通意欲退出行业价格战，称“低价亏损件不可持续” 亏损,第一财经
1225,2021-08-19,收购嘉里物流股权：顺丰已取得泰国强制全面要约相关豁免,电商报
1226,2021-08-19,永冠新材(603681)2021年中报点评：无惧短期不利因素影响 长期布局驱动业绩高增,新浪
1227,2021-08-19,【中证盘前】中国电信A股8月20日上市；中国华融拟引入中信集团等战略投资者；波导股份否认荣耀借壳,中证报
1228,2021-08-19,蔚来部分车主集体反对车主联合声明,ZAKER
1229,2021-08-19,前七个月新能源专用车销量同比增长171%,中证网
1230,2021-08-18,顺丰控股：已取得泰国强制全面要约相关豁免,Wind
1231,2021-08-18,陈思乐与观点面对面：ATLAS 寰图在商办资管领域的精进之路,观点地产网
1232,2021-08-18,顺丰升级产业链解决方案 助力云南农产品上行,中国经济网
1233,2021-08-18,顺丰速运车辆忙 江淮轻卡22省送保障！,卡车之家
1234,2021-08-18,顺丰控股要约收购嘉里物流进入最后开放阶段小股东如何理性选择？,挖贝网
1235,2021-08-18,顺丰快运新增“快运标准达” 背后有着怎样的布局？,物流指闻
1236,2021-08-17,友和道通航空破产清算！京东货航、南方货航来袭！谁能走更远 ？ 减资破产,微信
1237,2021-08-17,疫情下的农产品上行：顺丰日均提升100+吨运力送松茸出滇,凤凰网
1238,2021-08-17,数字供应链赛道你追我赶 传化智联如何脱颖而出？,凤凰网
1239,2021-08-17,股价涨约70%，嘉里物流（00636.HK）股票还香吗？,智通财经
1240,2021-08-17,六年首次，A股19天超万亿成交！北上资金买了啥,Wind
1241,2021-08-16,顺丰国际与有赞AllValue合作签约 助力国货畅销全球,深圳商报
1242,2021-08-16,全国首条松茸运输航线开通,云南日报
1243,2021-08-16,湖北荆门一确诊病例为顺丰快递员，曾连送5天快递,澎湃新闻
1244,2021-08-16,拿地优势显着 快递巨头盯上地产生意,第一财经
1245,2021-08-15,7月快递业务量同比大增，水泥价格持续上行丨明日主题前瞻,第一财经
1246,2021-08-15,刘强东扔出重磅炸弹，顺丰都止不住颤抖,电商报
1247,2021-08-15,【东北交运|第33周周报】快递行业单票价格再降，疫情持续影响航空客运,老瞿研究
1248,2021-08-15,顺丰收购嘉里物流进入倒计时，南货航获批运营【安信交运 | 周报0815】,明兴交运研究
1249,2021-08-15,上半年物流地产热点回顾,新浪
1250,2021-08-14,顺丰控股高溢价收购嘉里物流,乐居财经
1251,2021-08-14,顺丰、圆通之后，又一快递巨头花2亿布局房地产，快递业不香了？,AI财经社
1252,2021-08-14,全省机场单月完成货邮吞吐逾4万吨,云南日报
1253,2021-08-13,快递巨头杀入房地产！细数中通、顺丰、京东的地产生意,第一财经
1254,2021-08-13,顺丰控股(002352.SZ)：泰森控股完成发行4.8亿元超短期融资券,智通财经
1255,2021-08-13,遇到顺丰丢件问题？看顺丰如何保障用户贴心体验,中经导报
1256,2021-08-13,顺丰拟收购东南亚最大物流企业嘉里物流,卡车之家
1257,2021-08-13,有赞AllValue与顺丰国际达成官方合作，携手助力中国品牌出海,凤凰网
1258,2021-08-13,顺丰国际战略合作有赞跨境业务,北京商报网
1259,2021-08-13,顺丰控股收购嘉里物流（0636.HK） 提供兑现价值的良机,格隆汇
1260,2021-08-13,资本圈 | 禹洲重列2020年中期业绩 顺丰要约收购嘉里物流,新浪
1261,2021-08-12,中通跨界房产 快递企业为何都好这口？,北京商报
1262,2021-08-12,中国快递出海取得重大进展！这一次又是顺丰,电商报
1263,2021-08-12,顺丰要约收购嘉里物流51.5%股份 收购溢价56%,观点地产网
1264,2021-08-12,打造O2O最短直配模式，慧医天下与顺丰医药启动战略合作,经济日报
1265,2021-08-12,哪些上市公司“不差钱”？百亿理财产品潜在买家“大点兵”,新浪
1266,2021-08-12,慧医天下与顺丰医药启动战略合作，打造O2O最短直配服务模式,中国金融新闻网
1267,2021-08-12,顺丰控股收购嘉里物流51.5%股份，股东今日起可开始接纳要约,搜狐
1268,2021-08-12,顺丰控股收购嘉里物流51.8%股份，股东今日起可开始接纳要约,挖贝网
1269,2021-08-11,中国短期融资券及中期票据信用分析周报,新浪
1270,2021-08-11,广州交警曝光违法企业名单，美团、饿了么、顺丰、达达上榜了 其他违规处罚,奥一网
1271,2021-08-11,嘉里物流收入囊中在即 顺丰转型综合物流商国际业务“补缺”,华夏时报
1272,2021-08-11,云南民航货运市场保持稳定增长,云南网
1273,2021-08-11,顺丰运力再升级 助力“云品出滇”,云南网
1274,2021-08-10,顺丰：完成收购嘉里物流51.8%股权进入倒计时,国际金融报
1275,2021-08-10,局中局与生死战，本应冲刺上市元年，为何今年快运静悄悄？,36氪
1276,2021-08-10,深圳公布民航业领域资助资金实施细则意见征集采纳情况 洲际货运航线资助力度加大,深圳商报
1277,2021-08-10,顺丰控股：子公司收购嘉里物流51.8%股权先决条件已全部达成或被豁免,36氪
1278,2021-08-10,顺丰控股：拟部分要约收购嘉里物流51.8%股权相关事项已取得香港证监会根据《收购守则》第28.1条的规定对本次交易的同意并且该等同意持续有效,金十数据
1279,2021-08-09,顺丰控股要约收购嘉里物流(00636)部分股权的全部先决条件均已获达成或豁免,智通财经
1280,2021-08-09,运输行业：京东航空拟获批筹建 开启物流发展新征程,新浪
1281,2021-08-09,高档写字楼的“隐秘战线”,金融界
1282,2021-08-09,交通运输行业周报：民航暑运遭打击 京东筹建货运航空,新浪
1283,2021-08-09,中国银河维持交通运输行业推荐评级：菜鸟网络业绩表现持续向好，京东航空获批筹建,每日经济新闻
1284,2021-08-09,交运中小盘行业周报：强调数码印刷革命者宏华数科,新浪
1285,2021-08-09,SheIn为什么关闭印尼站,亿邦动力
1286,2021-08-09,最高40度！广东迎来极端高温高湿天气，冷链物流要真正“热”起来,凤凰网
1287,2021-08-09,【银河交通王靖添】行业周报丨菜鸟网络业绩表现持续向好，京东航空获批筹建,中国银河证券研究
1288,2021-08-08,外资持续加仓顺丰，中国邮政发布2020年度报告【安信交运 | 周报0808】,明兴交运研究
1289,2021-08-08,但斌、景林多产品年内亏损，头部私募发挥失常？,Wind
1290,2021-08-08,招商交运物流每周专题报告：出行短期承压 等待时间恢复,新浪
1291,2021-08-08,本周驾驶员工资盘点 新疆 内蒙古工资高,卡车之家
1292,2021-08-07,玉石保价4000元破损后赔偿600元，顺丰：鉴定后属虚高投保,Bianews
1293,2021-08-06,顺丰控股(002352.SZ)子公司泰森控股完成发行10亿元超短期融资券,智通财经
1294,2021-08-06,保价4000快递仅赔600！顺丰保价再惹争议：不讲武德,驱动中国
1295,2021-08-06,未来商业-物流产业市值榜｜7月总市值蒸发超2000亿元 千亿俱乐部被“洗牌”,每日经济新闻
1296,2021-08-06,顺丰回应玉石保价4000破损赔偿600：是虚高投保,Bianews
1297,2021-08-06,顺丰快递玉石保价4000只赔600！商家忍无可忍,快科技
1298,2021-08-06,专票电子化再突破 年内存量客户有望部分试点,中国经营网
1299,2021-08-06,补短板 农村物流体系建设提档升级,中投网
1300,2021-08-06,京东航空获批筹建！暗战顺丰圆通？,亿邦动力
1301,2021-08-06,京东要上天！为了更快，刘强东不惜一切代价！,中服网
1302,2021-08-05,顺丰航空开通全国首条松茸运输全货机航线,民航资源网
1303,2021-08-05,刘强东惊现大动作，京东成中国首家拥有航空公司的电商平台,电商报
1304,2021-08-05,用顺丰快递玉石保价4千损坏后只赔600！顺丰回应,快科技
1305,2021-08-05,京东物流能“飞”了？京东为何死磕顺丰物流业务,36氪
1306,2021-08-05,顺丰今日头条盘点|2021-08-05,亿邦动力
1307,2021-08-05,玉石保价4000元到货后破损顺丰只赔600 顺丰：卖家恶意敲诈，已报警,新浪
1308,2021-08-05,顺丰成立冷链新公司，注册资本2000万,企查查
1309,2021-08-05,交运行业月报：暑运由“旺”转“淡” 航空运输面临较大冲击,新浪
1310,2021-08-05,顺丰拟退出商业保理业务，牌照到手不到1年，1.2亿待收回 业务变化,南都报
1311,2021-08-05,优化快递行业揽件流程及效率 京东顺丰等率先用上这一“法宝”,消费日报网
1312,2021-08-04,京东坐不住了！成立货运航空公司争雄航空物流市场,资本邦
1313,2021-08-04,顺丰收购嘉里物流再下一城 与鄂州机场投产将成中线两大看点,财联社
1314,2021-08-04,犀牛财经早报：科大讯飞拟分拆讯飞医疗上市 奈雪的茶被约谈,GPLP犀牛财经
1315,2021-08-04,京东货航筹建获批 民营资本竞飞货运航空,上证报
1316,2021-08-03,京东出手货运航空，航空物流格局再生变？,e公司
1317,2021-08-03,京东出手！首家电商货运航司来了！刘强东持股33.75%，航空物流格局再生变？,e公司
1318,2021-08-03,顺丰控股：退出商业保理业务,Wind
1319,2021-08-03,"顺丰控股：本公司将于本承诺函签署之日起6个月内，通过股权对外转让、注销、或变更深圳市顺诚乐丰保理有限公司及顺元商业保理（天津）有限公司的经营范围等方式，确保本公司退出商业保理业务
资产异常",金十数据
1320,2021-08-03,第三家民营货运航空公司获批，京东航空来了，基地机场在南通,奥一网
1321,2021-08-03,筹建货航获批，京东“起飞”！欲与顺丰试比“高”？,上证报
1322,2021-08-03,京东货运航空筹建获批 民营快递时效混战再开新局,每日经济新闻
1323,2021-08-03,交通运输行业：智能物流装备赛道迎来上市潮 疫情反复影响暑运,新浪
1324,2021-08-03,“京东航空”来了！ 中国第三家民营货运航空公司诞生,联商网
1325,2021-08-03,顺丰发布半年报：还是差强人意？,Ofweek
1326,2021-08-03,京东货运航空公司申请筹建获初审同意：基地机场设在南通,澎湃新闻
1327,2021-08-03,共享充电宝疯狂涨价过后 谁会成为最终赢家？,新浪
1328,2021-08-03,满意度最高的顺丰为何业绩就提升不了？,搜狐
1329,2021-08-03,共享充电宝战局白热化：联盟、自营分派系 谁是最终赢家？,新浪
1330,2021-08-02,第二季度快递服务满意度调查：顺丰、京东、邮政 EMS 得分最高,IT之家
1331,2021-08-02,国家邮政局发布最新快递满意度：顺丰/京东/EMS前三 百世/极兔垫底,快科技
1332,2021-08-02,交通运输行业周报：民航业大幅减亏 疫情影响范围扩大,新浪
1333,2021-08-02,顺丰控股披露收购嘉里物流51.8%股权最新进展,观点地产网
1334,2021-08-02,顺丰控股(002352.SZ)子公司“18顺丰01”债券完成兑付并摘牌,智通财经
1335,2021-08-02,顺丰今日头条盘点|2021-08-02,亿邦动力
1336,2021-08-02,顺丰保价应对丢件问题，切实保障用户利益,中经导报
1337,2021-08-02,交通运输行业周报：聚焦优质公司超跌反弹机会,新浪
1338,2021-08-02,西部证券：维持顺丰控股(002352.SZ)“增持”评级 快递行业高增 市场份额提升,智通财经
1339,2021-08-02,国家强化贯通乡村快递物流配送体系，利好通达系快递龙头,银河证券
1340,2021-08-02,【银河交通王靖添】行业周报丨国家强化贯通乡村快递物流配送体系，利好通达系快递龙头,中国银河证券研究
1341,2021-08-01,【东北交运|第31周周报】智能物流装备赛道迎来上市潮，疫情反复影响暑运,老瞿研究
1342,2021-08-01,“7月黄金坑”出现，布局“低估茅”好时机，高端白酒仍是首选赛道,Wind
1343,2021-08-01,快递估值已具备吸引力，继续推荐顺丰、韵达【安信交运 | 周报0801】,明兴交运研究
1344,2021-08-01,旺季行业增速重回 30%、但有效申诉环比增 82.4％ 极兔综合指数逆流而上,ZAKER
1345,2021-07-31,世界物流巨头布局国际航空，国内机场迎货运潮,Wind
1346,2021-07-31,申万宏源交运一周天地汇：亚马逊封号加速独立站份额上升 跨境物流板块迎来布局良机,新浪
1347,2021-07-31,顺丰携手中国移动打造物流产业融合新生态,证券之星
1348,2021-07-31,本周司机工资盘点 砂石料 集卡工资坚挺,卡车之家
1349,2021-07-30,顺丰联手中国移动打造5G物流,北京商报
1350,2021-07-30,交通运输物流：行业整合加速 平台模式突围,新浪
1351,2021-07-30,大数据时代没了数据 品牌怎么办？,亿邦动力
1352,2021-07-30,艾德权程ESOP:快递巨头崛起之路：“中通”另辟蹊径,新浪
1353,2021-07-30,A股全线反弹，创指大涨逾5%，热门赛道资金现分歧,Wind
1354,2021-07-29,募资35亿应对价格战！连亏两年、股价跌去77%，申通打响百亿市值保卫战 亏损,时代财经
1355,2021-07-29,深陷囚徒困境难自拔，快递行业前路在何方,格隆汇
1356,2021-07-29,A股全线反弹创指大涨逾5%，半导体、新能源继续冲锋,Wind
1357,2021-07-29,资本逐猎：疯狂极兔的“局中局”,亿邦动力
1358,2021-07-29,顺丰成资本「弃婴」,新浪
1359,2021-07-29,顺丰控股连跌四日！近2个季度遭公募大幅减持 连续下跌,资本邦
1360,2021-07-29,两个季度持仓市值减少近200亿！基金们正在“抛弃”顺丰,新浪
1361,2021-07-28,北向资金今日净买入80.53亿元，东方雨虹获净买入近12亿元,Wind
1362,2021-07-28,顺丰错失了电商快递,36氪
1363,2021-07-28,北向资金动向盘点：净卖不过才40亿，抛压为什么那么大,Wind
1364,2021-07-28,沪指跌破3400点，北向资金减仓力度降低，逆市买入这些股（名单）,21世纪经济报道
1365,2021-07-27,新技术+老场景，顺丰“微签”让物流回单履约更安全高效,金融界
1366,2021-07-27,交通运输周报第28期：快递单价或迎拐点 民航复苏受疫情干扰,新浪
1367,2021-07-27,南航做快递了，能否抢到顺丰们的蛋糕,第一财经
1368,2021-07-27,分拆！顺丰同城赴港IPO：三年亏损15.6亿 经营成本上升 亏损,投资时报
1369,2021-07-27,河南暴雨车辆受损 江淮轻卡免费救援！,卡车之家
1370,2021-07-27,国家大力发展肉类冷链物流 冷链行业景气强势上行,证券时报网
1371,2021-07-27,跨过“25亿元天花板”的安能物流 跑偏了吗？,亿邦动力
1372,2021-07-27,字节跳动：抖音商家将不再使用菜鸟拼多多等电子面单,亿邦动力
1373,2021-07-27,中金：零担行业整合加速，平台模式突围,中金点睛
1374,2021-07-26,不平凡的7月：茅台新低股指尽墨，4成个股却上涨,Wind
1375,2021-07-26,3.6吨黄桃分批次销往澳门、香港、广东,南都网
1376,2021-07-26,【兴证交运】劳动保障权益指导意见出台，关注人力成本对快递行业影响,兴业证券
1377,2021-07-26,发上亿红包已成常态，顺丰人均年薪近20万元,老虎证券
1378,2021-07-26,交通运输行业周报：极端天气及南京疫情冲击暑运旺季,新浪
1379,2021-07-26,中国快递行业“半年考”：稳中向好、稳中提质,中国经营报
1380,2021-07-26,极兔发力，通达系市占率下滑，快递躺赚时代一去不复返？,36氪
1381,2021-07-26,顺丰给一线快递员涨薪 我们从中看到了什么？,亿邦动力
1382,2021-07-26,高成本低利润用户信息泄露 顺丰会顺着规模效应的东风起飞吗？,投资者网
1383,2021-07-25,加码中俄跨境业务 顺丰战略合作满洲里综保区,北京商报
1384,2021-07-25,智慧云仓开仓啦,经济日报
1385,2021-07-24,价格“内卷” 陷入“剪刀差”怪圈 快递100CEO雷中南：快递业应加速“走出去”步伐,中证报
1386,2021-07-23,风“豫”同“州” 中石化中石油等上市公司驰援河南在行动,证券日报网
1387,2021-07-23,大幅亏损之后，顺丰要给员工加薪2亿 亏损,钛媒体
1388,2021-07-23,粤港澳大湾区多家企业承担社会责任 紧急捐款捐物驰援豫州,华夏时报
1389,2021-07-23,交通运输行业2021年中报前瞻及交运基金持仓分析：跨境电商物流景气度持续 交运基金增配大宗供应链板块,新浪
1390,2021-07-23,2021Q2主动偏股型公募基金季度报告点评：仓位提高 加仓新能源芯片减仓大消费,新浪
1391,2021-07-23,热点资讯：FF美股上市；阿里云成为东京奥运会全球转播服务商,搜狐
1392,2021-07-23,油价再涨，“菜鸟”互啄，顺丰都快扛不住了,搜狐
1393,2021-07-23,加薪2亿，顺丰加入涨薪潮？公募大幅减仓，什么逻辑,Wind
1394,2021-07-23,浪人早报 | FF上市首日盘中破发、翼龙无人机给巩义米河镇送去手机信号、马斯克称人生痛苦三分之二源于特斯拉,新浪
1395,2021-07-23,"宁德时代起诉中航锂电；天赐材料子公司与LG新能源签订采购协议；广发证券高层大变动；Mobileye自动驾驶汽车在纽约市开跑
关联方问题",每日经济新闻
1396,2021-07-23,原来顺丰也送外卖,和讯
1397,2021-07-23,大公司早报 | 顺丰年内投2亿提升收派员收入 贾跃亭称有回国打算,观察者网
1398,2021-07-23,18家千亿顶流基金公司调仓释放重要信息,Wind
1399,2021-07-23,新冠疫苗是怎样“冷”运的,经济日报
1400,2021-07-23,8000亿农货出村需求旺盛，乡村快递却在苦苦挣扎,Wind
1401,2021-07-22,顶流基金点评重磅个股：涉及茅台等白酒、教育股、顺丰、白药等,新浪
1402,2021-07-22,财通基金定增有料2021.07.22,财通基金
1403,2021-07-22,“价格战”趋缓 快递行业价格拐点已至？,21世纪经济报道
1404,2021-07-22,PK刘强东！消息称王卫要给顺丰员工加薪：拿出2亿元,快科技
1405,2021-07-22,顺丰年内将投入不低于2亿元专项资金提升收派员收入,新浪
1406,2021-07-22,TOP30基金手中的1.1万亿在二季度买了啥？9只个股二季度涨幅超100%,新浪
1407,2021-07-22,顺丰将拿出2亿元给快递员加薪,新京报
1408,2021-07-22,逆行向河南！物流业出钱出力打通“绿色通道”,华夏时报
1409,2021-07-22,汽车前沿科技系列七：智周万物 自动驾驶重卡量产在即,新浪
1410,2021-07-22,快递6月数据点评：行业增速略超预期 顺丰件量环比较大提升,新浪
1411,2021-07-22,启动应急预案、设立临时救助站企业纷纷驰援河南,中国经营网
1412,2021-07-22,基金抱团50强出炉！顶流扎堆增持股曝光,Wind
1413,2021-07-22,顺丰丰泰将金紫荆100%权益转让予顺丰物流 底层资产注入房托,观点地产网
1414,2021-07-22,少赚了30亿，躺赢的顺丰，遇到了历史难题 盈利能力下降,IT时代网
1415,2021-07-22,创纪录大赚近九千亿，公募基金二季报全透视！,Wind
1416,2021-07-21,TOP30基金挖掘出天赐、天奈、中伟股份等仨月翻倍个股 周蔚文董承非袁芳均减仓,新浪
1417,2021-07-21,2021年6月快递数据点评：单价环比回升符合预期 关注旺季竞争格局变化,新浪
1418,2021-07-21,交银“三剑客”光环褪色！王崇重仓股暴跌道歉，杨浩排名全线掉队,搜狐
1419,2021-07-21,少赚了30亿 顺丰的偶然与必然 盈利能力下降,财经无忌
1420,2021-07-21,快递行业6月报：需求带动业务量持续高增长 单票收入环比回升,新浪
