,2021-12-31,中微公司(688012.SH)获得政府补助7337.32万元,智通财经
600,2021-07-06,华为杀入“最火赛道”，又一半导体新星冲击A股，什么信号？,Wind
601,2021-07-06,又挖出一个高景气度行业，上半年盈利能力惊人！,Wind
602,2021-07-06,高景气板块领涨A股，北向资金回流近60亿元,Wind
603,2021-07-05,大手笔！全球顶级资本争相入局！“卡脖子”破局者迎来重大机遇！| 檀市场,网易
604,2021-07-05,【华西电子孙远峰团队-持续推荐中微公司】定增落地，助力研发投入与产能扩充,远峰电子
605,2021-07-05,华西证券维持中微公司买入评级：定增落地，助力研发投入与产能扩充,每日经济新闻
606,2021-07-05,半导体设备景气度攀升 大基金二期首现A股定增市场秀“点金”效应,e公司
607,2021-07-05,大基金屡屡出手！芯片股爆发！滴滴事件余波未了，这个板块涨至年内最高点,e公司
608,2021-07-05,短期涨价和中报业绩预增背景下，关注顺周期板块,新浪
609,2021-07-05,大基金、高毅定增，中微公司有哪些看点？,格隆汇
610,2021-07-05,中微公司(688012.SH)股东悦橙投资及其一致行动人合计减持0.55%股份 持股降至5%以下 减持股份,智通财经
611,2021-07-05,中微公司(688012.SH)：悦橙投资及其一致行动人持股比例由5.55%减至4.9999%,格隆汇
612,2021-07-05,中微公司：悦橙投资及其一致行动人减持0.55%公司股份 减持股份,Wind
613,2021-07-05,A股资金流向（7月5日）：资金大幅流入锂电上游行业,Wind
614,2021-07-05,大基金25亿元入局中微公司定增，中微开盘大涨10%,新浪
615,2021-07-05,中微公司募资逾82亿元，大基金25亿入局,新浪
616,2021-07-05,“国家队”25亿投资中微公司 姚中元：中报点燃科技 关注超预期方向,第一财经
617,2021-07-05,中微公司：大基金入主代表产业基金意见 政策利好程度要看实际落地情况 丨公司问答,第一财经
618,2021-07-05,电子行业周报：汽车电动化何以重塑功率器件行业价值,国海证券
619,2021-07-05,量价齐升！锂电、芯片板块全线爆发,Wind
620,2021-07-05,中微公司定增落地，募资82亿元扩大产能,LED在线
621,2021-07-05,一线机构定增“抢筹”再现，中微公司获“国家队”25亿认购！,环球老虎财经
622,2021-07-05,双创基金(159783)午盘收涨超0.82%，换手率高达19.99%,资本邦
623,2021-07-05,中微公司：半导体行业处于高景气度周期 目前公司在手订单饱满,上海有色
624,2021-07-05,中银国际：中微公司（688012.SH）82亿元定增落地，维持“买入”评级,智通财经
625,2021-07-05,电子再度走强！中微公司涨超8%领衔板块，电子ETF（515260）涨超2%,资本邦
626,2021-07-05,半导体芯片股表现强势 中微公司涨逾10%,上证报
627,2021-07-05,定增获大基金认购 中微公司早盘大涨超12%,e公司
628,2021-07-05,科创50涨幅扩大至2%，中微公司大涨12%,Wind
629,2021-07-05,【行情】中微公司涨幅扩大至10%，此前获大基金二期25亿元入股,金十数据
630,2021-07-05,中微公司高开近5%,Wind
631,2021-07-05,重磅文件出炉，芯片行情继续火爆？“国家队”25亿投资中微公司,券商中国
632,2021-07-05,电子行业周报：晶圆厂满载 CAPEX上修 设备材料迎国产化黄金机遇,新浪
633,2021-07-05,理想汽车6月新增订单创历史新高；马斯克：全自动驾驶套件9测试版很快将发布；中微公司定增获多家知名机构认购,每经头条
634,2021-07-05,3倍芯片大牛股净利增12倍，更有重磅文件下发，什么信号？,Wind
635,2021-07-04,【金财富早知道】2021-07-05,赢家之星
636,2021-07-04,中微公司定增获大基金认购 扩产提升行业景气度,e公司
637,2021-07-04,半导体行业月度深度跟踪：行业景气业绩兑现 关注AIOT智能化浪潮,新浪
638,2021-07-03,高毅定增中微公司背后：“聪明的”千亿私募巨头还新进5股,财联社
639,2021-07-03,国产半导体刻蚀机设备龙头中微公司的定增情况出炉,金十数据
640,2021-07-03,大基金25亿入局中微公司定增，持续加码芯片设备等关键环节,第一财经
641,2021-07-03,"重磅信号！""国家队""出动，25亿加码这家半导体设备龙头，更有一众明星机构跟投，投资重点正在转移？",证券之星
642,2021-07-03,大基金、高毅同时抢筹！半导体龙头中微公司定增结果出炉,Wind
643,2021-07-03,大基金、高毅同时抢筹！半导体龙头中微公司定增结果出炉,证券时报
644,2021-07-03,中微公司定增收官 大基金二期获配25亿元,上证报
645,2021-07-03,为了半导体！刚刚，国家大基金再出手，25亿入股800亿巨头！私募大佬邓晓峰也行动了,中国基金报
646,2021-07-02,中微公司：大基金二期认购公司定增25亿元,上证报
647,2021-07-02,中微公司：募资总额82.1亿元 大基金二期获配25亿元,中证网
648,2021-07-02,科创板晚报|滴滴遭网络安全审查大基金25亿元入局中微电子,财联社
649,2021-07-02,中微定增募资82亿元，大基金二期等20家机构参与认购,澎湃新闻
650,2021-07-02,晚间重要公告2021年7月2日星期五,Wind
651,2021-07-02,大基金25亿入局！半导体刻蚀设备龙头豪华定增团揭晓，高毅也来了,财联社
652,2021-07-02,国盛证券首予中微公司买入评级：刻蚀+MOCVD龙头，内生外延协同打造设备平台,每日经济新闻
653,2021-07-02,电子行业2021年中报业绩展望：半导体持续景气 消费电子阶段承压,新浪
654,2021-07-02,中微公司(688012.SH)定增结果出炉：国家大基金二期获配25亿元工银瑞信、GIC、中金等在列,格隆汇
655,2021-07-02,中微公司：向特定对象发行A股股票总数量约8023万股,每日经济新闻
656,2021-07-02,中微公司：增发新增股份约8023万股,每日经济新闻
657,2021-07-02,中微公司披露定增结果：大基金二期获配25亿元,财联社
658,2021-07-02,中微公司发布定增情况报告书：共募资82.1亿元，大基金二期获配25亿元,Wind
659,2021-07-02,中微公司：嘉兴悦橙投资等减持0.16%公司股份 减持股份,Wind
660,2021-07-02,中微公司(688012)：刻蚀+MOCVD龙头 内生外延协同打造设备平台,新浪
661,2021-07-02,【解读】超80亿定增落地，获大基金加持，半导体设备龙头稳了,财华社
662,2021-07-02,A股资金流向（7月2日）：小金属板块获资金入驻，权重股多被抛售,Wind
663,2021-07-01,电子行业2021年三季度投资策略：半导体持续重点推荐 消费电子看好下半年苹果链确定性,新浪
664,2021-07-01,A股资金流向（7月1日）：银行、地产获资金回流,Wind
665,2021-07-01,电子行业动态点评：基础电子元器件产业政策再梳理,新浪
666,2021-06-30,科创50涨幅扩大至2%，续创年内新高,Wind
667,2021-06-29,半导体行业跟踪：缺货潮未见缓解迹象 Q2持续高景气度,新浪
668,2021-06-28,深度*行业*半导体行业周报：国内半导体多点开花 但龙头开启平台化趋势,新浪
669,2021-06-28,机械设备行业周报：多类芯片新需求叠加 半导体设备供不应求,新浪
670,2021-06-28,电子行业每周市场动态追踪：看好半导体的短中长期大逻辑 消费电子迎布局时点,新浪
671,2021-06-28,A股资金流向（6月28日）：短线热门股遭资金抛售,Wind
672,2021-06-28,三季度A股公司共被1313家机构调研，前三季度有772家机构盯上这家公司,亿欧网
673,2021-06-28,中微公司发布用于高性能Mini-LED量产的MOCVD设备PrismoUniMax?,维库电子市场
674,2021-06-28,和讯SGI指数一季度TOP30出炉！福昕软件、中微公司等跌出榜单,和讯
675,2021-06-28,【银河晨报】6.28丨策略：7月成长大于估值，看好涨价资源、中国优势制造和科技,中国银河证券研究
676,2021-06-28,【银河科创板吴砚靖/邹文倩/李璐昕】行业动态 2021.5丨科创板整体估值处于历史低位，多因素利好配置环境,中国银河证券研究
677,2021-06-25,5只科创板股获北向资金增持超3000万元,证券时报网
678,2021-06-24,翱捷科技溢价2.5亿元收购资不抵债标的，否认关联收购遭“打脸” 偿债能力下降,新浪
679,2021-06-24,A股资金流向（6月24日）：资金暂离科技股，光伏、金融获流入,Wind
680,2021-06-23,A股资金流向（6月23日）：新能源车龙头获青睐，白酒股集体遭抛售,Wind
681,2021-06-23,中微公司：目前公司正按照计划进行定增的相关工作,Wind
682,2021-06-23,中微公司(688012)：高性能MINI LED设备量产 公司将充分享受行业红利,新浪
683,2021-06-23,国泰君安：推动整合、协同发展，实现半导体EDA软件与设备的“自主可控”,证券之星
684,2021-06-22,群益证券给予中微公司买进(Buy)评级：高性能MiniLED设备量产，公司将充分享受行业红利,每日经济新闻
685,2021-06-22,深度*行业*半导体行业周报：长期看数字化叠加芯片安全 短期看芯片缺货加速国产化,新浪
686,2021-06-22,2021下半年电子行业投资策略：5G产业强者恒强 聚焦国产化,新浪
687,2021-06-22,A股资金流向（6月22日）：周期股获资金回流，科技题材龙头遭抛售,Wind
688,2021-06-22,电子元件：AR 下一个蓝海,新浪
689,2021-06-22,2只科创板股获北向资金减持超千万元 减持股份,证券时报网
690,2021-06-22,科技主线持续发酵，科创50指数创今年来新高,Wind
691,2021-06-21,科创板创近1年新高 北上资金逆市增持,e公司
692,2021-06-21,A股资金流向（6月21日）：牧原股份、格力电器连遭资金抛售,Wind
693,2021-06-21,电子行业周报：我们为什么强烈推荐核心半导体设备和材料,国海证券
694,2021-06-21,电子元器件行业2021年第25周：半导体仍是短期基本面占优板块,新浪
695,2021-06-21,【太平洋机械】机械行业周报20210620：半导体行业景气较高，看好相关设备表现,太平洋机械大讲堂
696,2021-06-21,国海证券：缺芯”大背景下，半导体核心设备和材料企业将充分受益,证券时报网
697,2021-06-20,板块指数单日暴涨8%！20家第三代半导体公司集体归来背后原因拆解,财联社
698,2021-06-20,机械设备行业跟踪周报：锂电半导体设备稀缺性已现 刀具龙头涨价行业持续高景气,新浪
699,2021-06-20,先进制造行业周报-氢能乘用车变局：本田放手 捷豹路虎挺进,新浪
700,2021-06-19,机械一周解一惑(6)：半导体大基金投资地图解析,新浪
701,2021-06-18,电子设备、仪器和元件周报：种植业的“人造太阳”：LED产业链再成长,新浪
702,2021-06-18,A股资金流向（6月18日）：新能源车龙头获抢筹，白酒股遭抛售,Wind
703,2021-06-18,半导体行情归来，这些公司的门槛早已被机构踏破,Wind
704,2021-06-18,半导体设备Q1大增51%，订单饱满供不应求,金融界
705,2021-06-18,A股早报2021年6月18日星期五,Wind
706,2021-06-18,中银证券维持中微公司买入评级：首台8英寸CCP刻蚀设备顺利付运，正式发布高性能Mini-LED量产用MOCVD设备,每日经济新闻
707,2021-06-17,芯片持续供不应求，半导体指数大涨8%！资金大举入场抢筹，游资最能买？,财联社
708,2021-06-17,中国科大将与中微公司共建“中微半导体集成电路英才班”,IT之家
709,2021-06-17,龙虎榜|中微公司收涨16.47%一机构买入1.425亿元,财联社
710,2021-06-17,机构今日买入这18股，卖出科蓝软件9773万元丨龙虎榜,第一财经
711,2021-06-17,深度*公司*中微公司(688012)：首台8英寸CCP刻蚀设备顺利付运 正式发布高性能MINI-LED量产用MOCVD设备,新浪
712,2021-06-17,半导体满屏涨停，除了缺芯还有一利好已提前释放,Wind
713,2021-06-17,A股资金流向（6月17日）：芯片板块疯狂“吸金”，龙头股获抢筹,Wind
714,2021-06-17,A股千亿赛道突然启动，外围传出重磅利好！行情来了？,Wind
715,2021-06-17,科创50指数涨幅扩大至4%，芯片股全线爆发,Wind
716,2021-06-17,【牛人重仓】中微公司:盘中涨幅超15%，北向资金持股425.1万股，融资余额99143.8万元；前3个交易日，北向资金增持176.15万股，融资额增加5384.45万元，主力资金净流入-37799.89万元,每日经济新闻
717,2021-06-17,中微公司发布用于高性能Mini-LED量产的MOCVD设备PrismoUniMax?,财联社
718,2021-06-17,中微公司发布用于高性能MiniLED量产的MOCVD设备,财联社
719,2021-06-16,智能制造行业2021年中期策略报告：需求复苏与成本上升共振 关注国产替代和技术迭代受益标的,新浪
720,2021-06-16,电子行业周报：继续强调半导体投资主线 产能为王+IOT芯机遇,新浪
721,2021-06-16,龙头三个月股价翻倍，多股创新高！这个板块集体爆发,Wind
722,2021-06-16,机械行业周报：新能源成为自动化企业开拓重点,新浪
723,2021-06-16,杰富瑞：上调中微公司和北方华创评级,格隆汇
724,2021-06-16,中信建投：国内半导体设备企业进入订单、业绩整体收获期,证券时报网
725,2021-06-16,中信建投：2020年行业高景气周期延续，半导体设备企业业绩多高速增长,第一财经
726,2021-06-15,中微公司首台8英寸CCP刻蚀机PrimoAD-RIE200顺利付运,IT之家
727,2021-06-15,北向资金今日净卖出逾51亿元，药明康德、紫金矿业净卖出额均创新高,Wind
728,2021-06-15,A股资金流向（6月15日）：主板两只新股疯狂“吸金”,Wind
729,2021-06-15,中微公司(688012)：外部影响减弱 持续看好半导体设备需求,新浪
730,2021-06-15,中微公司ICP刻蚀设备Primonanovareg;第100台反应腔顺利交付,半导体协会
731,2021-06-15,机械设备行业第24周周报：工业机器人有望持续高景气 挖掘机国内外市场“冰火”两重天,国海证券
732,2021-06-15,机械行业2021年中期投资策略：沐浴制造复苏 布局产业成长,新浪
733,2021-06-14,科创板董事长学历大起底,国际金融报
734,2021-06-13,北上资金最新调仓名单出炉，这些股被连续7周猛烈扫货,Wind
735,2021-06-11,上海区域股市周报：新增1家上市公司 105家机构调研中微公司,每日经济新闻
736,2021-06-11,A股资金流向（6月11日）：新能源、疫苗龙头获资金回流,Wind
737,2021-06-11,52家公司获海外机构调研,证券时报网
738,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
739,2021-06-11,晨会聚焦210611重点关注涂鸦智能的关键问题解析,国信研究
740,2021-06-11,A股融资融券日报：两融余额增加67.59亿元（6月10日）,Wind
741,2021-06-11,北向资金动向盘点：净买入68亿元，电力新能源占46.6%,Wind
742,2021-06-10,【半导体投资日报】大基金减持国科微，北京君正控股股东质押214万股，机构称设备企业短中长期均迎成长机遇 减持股份,新浪
743,2021-06-10,A股资金流向（6月10日）：资金撤离白酒股，转投新能源龙头,Wind
744,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
745,2021-06-10,中微公司ICP刻蚀设备Primonanova第100台反应腔交付,财联社
746,2021-06-10,科创板行情下机构投资新风向：前期超跌引掘金，布局未来核心资产,Wind
747,2021-06-10,晨会聚焦210610重点关注固定收益专题,国信研究
748,2021-06-10,10只科创板股获北向资金加仓,证券时报网
749,2021-06-09,【繁微另类数据】基于移动大数据的上市公司金融活动指数的选股应用,东证衍生品研究院
750,2021-06-09,浦东新区A股资本版图：123家上市公司，市值超4万亿，生物医药占上海半壁江山,时代周报
751,2021-06-09,半导体景气风向标：旺季将至 景气持续,新浪
752,2021-06-09,半导体产业景气度仍将持续,大众证券报
753,2021-06-09,晨会聚焦210609重点关注培育钻石行业、再生铝行业、元宇宙专题、机械行业,国信研究
754,2021-06-08,A股资金流向（6月8日）：白酒股巨量杀跌，资金大幅出逃,Wind
755,2021-06-08,海外半导体封测业停摆，券商建议关注国内厂商，这些标的获推荐,第一财经
756,2021-06-08,深度*行业*机械设备行业周报：重视万物互联时代下装备制造升级的历史机遇,新浪
757,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
758,2021-06-07,高考有多重要？来看看科创板上市公司董事长们的学历,国际金融报
759,2021-06-07,高考有多重要？科创板上市公司董事长2/3都是研究生 初中生也有,IPO日报
760,2021-06-07,机械行业一周解一惑(4)：如何看待下半年半导体设备投资机会,新浪
761,2021-06-07,电子元件：鸿蒙OS2.0发布 AIOT发展加速,新浪
762,2021-06-07,A股资金流向（6月7日）：芯片股获资金抢筹，新能源龙头遭抛售,Wind
763,2021-06-07,A股午盘综述：上证指数跌0.21%，资金热炒半导体产业链,Wind
764,2021-06-07,半导体板块飙涨，有芯片价格涨至5倍，行业供需格局或仍趋紧丨牛熊眼,第一财经
765,2021-06-07,半导体板块高开高走，北方华创冲击涨停,Wind
766,2021-06-07,媒体热炒“芯片荒”，半导体板块连续拉升,Wind
767,2021-06-07,券商晨会观点速递,第一财经
768,2021-06-07,中金：高质量发展大潮中的科创板,中金点睛
769,2021-06-06,【太平洋机械】机械行业周报20210606：光伏SNEC在上海召开，行业新技术持续迭代,太平洋机械大讲堂
770,2021-06-06,【兴证电子】周报：继续看好半导体设备和材料，产能释放+制程跃迁，元器件景气度将再次上行,兴证电子谢恒团队
771,2021-06-04,A股资金流向（6月4日）：面板、光伏龙头持续遭资金抛售,Wind
772,2021-06-04,国产半导体龙头股票 国产半导体龙头股票有哪些？,至诚财经
773,2021-06-04,半导体设备及材料中期策略：国产链加速起航 长期成长性可期,新浪
774,2021-06-04,国盛证券：半导体行业国产链加速起航，长期成长性可期,证券时报网
775,2021-06-04,订单爆满！国产半导体设备“卖断货” 产品交货期普遍延长,上证报
776,2021-06-04,需求大到卖断货 国产半导体装备产业步入黄金时期,上证报
777,2021-06-03,中银证券：5月金股组合盈利5.51% 6月荐股名单出炉,新浪
778,2021-06-03,市场转暖险资仓位总体或已提升 5月扎堆调研“热搜股”妙可蓝多,财联社
779,2021-06-03,LED复苏信号明确，涨价趋势仍在延续,Wind
780,2021-06-03,LED复苏信号明确 涨价趋势仍在延续,全景网
781,2021-06-02,调研记录|中微公司（688012.SH）：正在研发下一代ICP刻蚀的芯片及设备,智通财经
782,2021-06-02,中微公司：今年上半年LED行业的复苏信号越来越明显|公司问答,第一财经
783,2021-06-02,设备龙头股票 设备龙头股票有哪些？,至诚财经
784,2021-06-02,A股资金流向（6月2日）：资金大幅出逃，医药板块成“重灾区”,Wind
785,2021-06-02,中微公司：积极布局用于Mini/Micro LED生产的MOCVD设备,LED在线
786,2021-06-02,晨会聚焦210602重点关注现代牙科、商贸零售、机械、海外教育、港股、房地产、白酒、拓邦股份、洋河股份、美团,国信研究
787,2021-06-02,晶圆厂资本开支上行，关注设备和材料国产化机会,招商证券
788,2021-06-02,中微公司：公司MOCVD设备已在氮化镓基LED领域取得领先优势,Wind
789,2021-06-02,持续涨价！设备龙头反弹增长！这个行业释放复苏信号！,e公司
790,2021-06-01,高端制造与科技行业2021年中期投资策略：聚焦数字化和进口替代 优选估值与成长匹配的标的,新浪
791,2021-06-01,A股资金流向（6月1日）：周期股重获资金青睐，券商龙头遭抛售,Wind
792,2021-06-01,A股收盘综述：上证指数6月开门红，三胎板块走俏、周期股强力反弹,Wind
793,2021-06-01,A股万亿巨头被下调评级，立马大跌！更有33秒涨停砸跌停,Wind
794,2021-06-01,中微公司发布2021年5月投资者调研报告,Ofweek
795,2021-05-31,A股资金流向（5月31日）：新能源龙头获资金加持，家电双龙头齐遭抛售,Wind
796,2021-05-31,电子行业周报：三大角度分析LCD面板能否变成弱周期行业？,国海证券
797,2021-05-31,机械设备行业周报：量产HJT技术日趋成熟 关注出口链投资机会,新浪
798,2021-05-31,电子行业周报：半导体景气持续业绩确定 面板价格保持上升,华安证券
799,2021-05-31,机械设备行业第22周周报：HJT产业化拉开大幕 检测行业具备成长性,国海证券
800,2021-05-30,【兴证电子】周报：半导体设备材料进入快速成长周期,兴证电子谢恒团队
801,2021-05-30,半导体行业报告：5G持续落地+国产替代加速 看好前瞻布局射频前端滤波器核心技术相关标的,新浪
802,2021-05-28,传说中年终奖7000万元的基金经理 居然也在为学区房发愁,新浪
803,2021-05-28,中银证券--机械设备：Applied Materials 21Q2业绩点评及电话会议纪要-处于最大数字化变革浪潮早期，半导体行业及设备行业迎来最强劲和持续增长【行业研究】,金融界股吧
804,2021-05-27,科技股卷土重来，这些绩优滞涨股有望成新宠（名单）,Wind
805,2021-05-27,【华西电子孙远峰团队】中微公司*系列一张图②-持续推荐,远峰电子
806,2021-05-27,A股资金流向（5月27日）：资金大幅涌入芯片龙头股,Wind
807,2021-05-27,Mini LED背光需求有望爆发，相关产业链投资机会正当时？,第一财经
808,2021-05-27,和讯SGI公司|中微公司SGI分数稳步提升 登上和讯SGI总榜单TOP30及新技术榜单TOP10,和讯
809,2021-05-27,抢滩科技创新领域，第二批“双创指数”ETF上报,Wind
810,2021-05-26,中银证券维持中微公司买入评级：推动ICP刻蚀销量增长，组建Epi/LPCVD开发团队,每日经济新闻
811,2021-05-26,深度*公司*中微公司(688012)：推动ICP刻蚀销量增长 组建EPI/LPCVD开发团队,新浪
812,2021-05-26,中银国际：中微公司（688012.SH）推动ICP刻蚀销量增长，维持“买入”评级,智通财经
813,2021-05-26,A股资金流向（5月26日）：沪强深弱态势明显，创蓝筹遭资金抛售,Wind
814,2021-05-26,券商首次关注3股并给予买入评级（5月26日）,Wind
815,2021-05-26,18股获券商买入评级 浙商中拓目标涨幅达59.18%,Wind
816,2021-05-26,电子元器件周报：大尺寸面板周期属性有望弱化 半导体硅片厂商同比增速提速,新浪
817,2021-05-25,A股资金流向（5月25日）：资金集体涌入大金融板块,Wind
818,2021-05-25,国金证券：中微公司（688012.SH）从点到面的半导体设备玩家，首予“买入”评级,智通财经
819,2021-05-25,太平洋--机械行业周报：叉车、工业机器人继续高增长，制造业投资持续超预期【行业研究】,金融界股吧
820,2021-05-25,【天风Morning Call】晨会集萃20210525,天风研究
821,2021-05-24,北向资金加仓7只科创板股,证券时报
822,2021-05-24,未来5年最具潜力的4大半导体龙头盘点，半导体国产化替代加速,电子产品世界
823,2021-05-24,晨会聚焦210524重点关注社会服务、海外银行、传媒、医药、卓胜微,国信研究
824,2021-05-23,【高端制造周报0523】新能源汽车轻量化趋势明显，压铸机头部企业有望受益,先进制造观察
825,2021-05-22,“缺芯”调查：中下游电子厂“有单接不了” 4S店进口车延迟交付,Wind
826,2021-05-21,A股资金流向（5月21日）：医药龙头集体遭抛售,Wind
827,2021-05-21,光大证券--半导体4月跟踪报告：半导体2020及21Q1业绩靓丽，景气高企【行业研究】,金融界股吧
828,2021-05-20,A股资金流向（5月20日）：华为汽车、周期龙头被抛售,Wind
829,2021-05-20,刚刚上报！又有重磅指数产品来了，首批这10家(名单),Wind
830,2021-05-19,晨会聚焦210519重点关注华测导航、银行理财、汽车汽配、房地产、纺织服装、扬农化工、中兵红箭、华峰化学、中国移动,国信研究
831,2021-05-19,芯片未来将在材料和封装上创新，关注五个投资方向,方正证券
832,2021-05-17,设备龙头北方华创85亿“广撒网” 成果待检验,新浪
833,2021-05-17,A股资金流向：盘面较为混乱，小金属龙头获青睐,Wind
834,2021-05-14,A股资金流向（5月14日）：大金融引爆全场，资金抢筹券商龙头,Wind
835,2021-05-14,“起底”科创板再融资：20单融资超400亿元 这3家公司拿到批文待发行,科创板日报
836,2021-05-14,Micro LED板块连续拉升，中微公司、TCL科技、京东方A、三安光电普涨,Wind
837,2021-05-13,电子行业2020年年报暨2021年一季报总结：淡季不淡 高景气下电子行业表现亮眼,新浪
838,2021-05-13,A股资金流向（5月13日）：资金各自为战，有色龙头连续被抛售,Wind
839,2021-05-13,黑色系集体重挫，铁矿石跌6%，千亿白马逼近跌停,Wind
840,2021-05-13,【行情】科创板半导体板块早盘异动，安集科技涨超19%，澜起科技涨超6%，寒武纪、成都先导、中微公司、沪硅产业等个股快速跟涨,金十数据
841,2021-05-13,科创50指数涨幅超过1.2%，芯片股全线发力,Wind
842,2021-05-13,部分白马龙头最大回撤超50%仍未明显企稳，“性价比提高”不等于“高性价比”？,Wind
843,2021-05-11,深度*行业*半导体设备行业2021年中期策略：受益全球全面数字化 设备采购周期拉长,新浪
844,2021-05-11,机械设备行业第18周周报：机器换人提升工业机器人需求 工程机械头部企业向高端制造迈进,国海证券
845,2021-05-11,A股资金流向（5月11日）：周期股遭抛售，茅台重获资金青睐,Wind
846,2021-05-11,深度*行业*机械设备行业-KLA 21Q1业绩点评及电话会议纪要：半导体制程控制持续强势 GEN5产品促增长,新浪
847,2021-05-11,北向资金持有科创板股全名单，加仓这5股,证券时报
848,2021-05-11,【国元机械】机械行业2020年年报及2021年一季报总结：高端制造景气度延续，一季度强劲复苏,国元高端装备
849,2021-05-10,A股资金流向（5月10日）：有色龙头再获资金加仓，白酒龙头遭抛售,Wind
850,2021-05-10,【太平洋机械】机械行业周报20210509：服务机器人企业业绩亮眼，看好龙头企业持续成长,太平洋机械大讲堂
851,2021-05-10,114股获券商买入评级，钱江摩托目标涨幅达73.37%,Wind
852,2021-05-10,【十大券商一周策略】当下是周期股最佳布局窗口,Wind
853,2021-05-10,晨报0510 | 宏观&策略专题、地产行业专题、牧原股份,国泰君安
854,2021-05-10,券商策略：A股可能处于“中期调整”尾声 当下是周期股最佳布局窗口,券商中国
855,2021-05-08,5月机会：赚钱效应逐渐回升三大行业被集体看好！,金融投资报
856,2021-05-07,韦尔股份逼近跌停，芯片板块持续低迷,Wind
857,2021-05-07,半导体企业Q1大考！谁是科创板领头羊？,中自网
858,2021-05-07,突袭！“节后杀”又现 冯柳也割肉？,中金在线
859,2021-05-06,安信证券维持中微公司增持评级：MOCVD下游需求回暖，刻蚀设备新产品放量在即,每日经济新闻
860,2021-05-06,沪指小幅下跌创业板指跌逾3% 钢铁行业逆市大涨,中金在线
861,2021-05-06,沪指震荡创业板指低开低走 钢铁行业涨幅居前,中金在线
862,2021-05-06,民生证券给予中微公司推荐评级，业绩点评:刻蚀持续高增长，MOCVD迎接回暖,每日经济新闻
863,2021-05-06,券商策略：智能制造有望成为新主线 短期注重防风险,财联社
864,2021-05-06,5月A股结构博弈加剧 关注三条主线及个股,财联社
865,2021-05-06,【十大券商一周策略】5月是布局下半年行情最佳窗口,Wind
866,2021-05-06,电子｜淡季不淡，高景气下电子行业表现亮眼：2020年年报暨2021年一季报总结,中信证券研究
867,2021-05-06,【总量夜话会议纪要】节后首日，是进是退？,辰奥临君
868,2021-05-06,国君策略 | 进入空窗期间，盈利更胜一筹,国泰君安证券研究
869,2021-05-06,继续拥抱具有盈利动能的中盘蓝筹,财富动力网
870,2021-05-05,十大券商策略：智能制造有望成为新主线 机构建议关注这些个股,财联社
871,2021-05-01,中微公司(688012)：刻蚀设备世界领先 国产替代助力公司高增长,国联证券
872,2021-04-30,A股主力资金流向（4月30日）：医药股获资金爆买,Wind
873,2021-04-30,收入创十年新高！投行盛宴之下：人才换血，内卷加剧,Wind
874,2021-04-30,中微公司(688012)：国产替代及产能紧缺共振驱动1Q21业绩高增长 关注新产品突破,新浪
875,2021-04-29,华西证券维持中微公司买入评级：Q1业绩大幅增长，刻蚀设备龙头持续高投入,每日经济新闻
876,2021-04-29,【华西电子孙远峰团队-持续推荐中微公司】Q1 业绩大幅增长，刻蚀设备龙头持续高投入,远峰电子
877,2021-04-29,深度*公司*中微公司(688012)：毛利率显着提升 刻蚀设备带动增长,新浪
878,2021-04-29,A股资金流向（4月29日）：大资金涌入券商龙头,Wind
879,2021-04-29,51公司获得增持评级-更新中,中财网
880,2021-04-29,中微公司(688012)2021年一季报点评：需求旺盛 刻蚀设备继续高增长,新浪
881,2021-04-29,高研发投入催生高增长 科创板半导体公司彰显“科创”本色,上证报
882,2021-04-28,LED行业出现拐点 私募“空翻多”,新浪
883,2021-04-28,半导体巨头中微公司一季度盈利增长超400% 间接持有中芯国际股票,资本邦
884,2021-04-28,高端制造与科技行业事件点评：四部委明确国家鼓励的集成电路企业所需满足的条件,新浪
885,2021-04-28,中微公司：2021年第一季度净利润约1.38亿元，同比增加425.36%,每日经济新闻
886,2021-04-28,半导体巨头中微公司一季度盈利增长超400%间接持有中芯国际股票,资本邦
887,2021-04-28,重要信号？600亿半导体巨头业绩来了，单季净利大增400%！这一行业拐点出现？,e公司
888,2021-04-28,风享 · TMT 一周谈 | 当下科技板块如何布局？,天风研究
889,2021-04-27,中微公司：一季度净利1.38亿元 同比增425%,第一财经
890,2021-04-27,中微公司：一季度净利润同比增长425.36%,Wind
891,2021-04-27,A股资金流向（4月27日）：医疗板块多个细分龙头获青睐，券商股遭抛售,Wind
892,2021-04-27,晶圆代工需求强劲 客户支持业务增长显着,财富动力网
893,2021-04-26,A股资金流向（4月26日）：主力资金连续5日净流出，中国平安持续被抛售,Wind
894,2021-04-26,华安证券--电子行业周报：持续聚焦一季报确定的面板、半导体板块【行业研究】,金融界股吧
895,2021-04-24,浙商机械 邱世梁‖王华君 挖掘机：预计4月销量同比增长约10%，全年增速20%以上,高端装备制造及材料
896,2021-04-23,中微公司：公司监事辞职 董监高成员变化,Wind
897,2021-04-23,创耀科技IPO前突然更名意欲为何？独董任职或藏风险,云掌财经
898,2021-04-22,A股资金流向（4月22日）：科技龙头获抢筹，中国平安连续被抛售,Wind
