,2021-12-31,完美世界：公司已在目前的游戏研发中融入元宇宙相关元素,每日经济新闻
798,2021-06-15,传媒行业：5月国内手游同增5% 出海表现良好,新浪
799,2021-06-15,传媒行业周报：5月游戏稳健增长 关注“暑期档”新游上线周期,华安证券
800,2021-06-15,2021年传媒行业中期策略报告：阳光总在风雨后 高景气核心标的布局正当时,新浪
801,2021-06-12,洪恩教育：游戏教育是伪需求？,36氪
802,2021-06-11,游戏行业周报：5月国内手游市场收入同比环比续增,新浪
803,2021-06-11,6月国产游戏版号公布，机构建议关注自研实力强的厂商,第一财经
804,2021-06-11,券商首次关注2股并给予买入评级（6月11日）,Wind
805,2021-06-11,16股获券商买入评级，正邦科技目标涨幅达98.58%,Wind
806,2021-06-10,浙商证券给予完美世界买入评级：长线运营巩固基本盘，研发先行加速品类拓新,每日经济新闻
807,2021-06-10,国内电竞城市遍地开花 电竞教育发展提质,中国网
808,2021-06-10,“活化”工业遗存 东郊文创“后浪”奔涌,成都日报
809,2021-06-09,【行情】云游戏板块持续拉升，游族网络涨近6%，号百控股、完美世界、天舟文化跟涨,金十数据
810,2021-06-09,【银河传媒互联网杨晓彤】行业周报丨《摩尔庄园》上线表现优异，三胎政策有望扩大少儿图书潜在需求,中国银河证券研究
811,2021-06-08,now.gg 发布全新移动云平台，开启游戏增长新次元,北国网
812,2021-06-08,首席周观点：股债小双牛还能持续吗？,新浪
813,2021-06-07,游戏行业周报：《摩尔庄园》手游上线 表现超预期,新浪
814,2021-06-07,传媒行业：《摩尔庄园》上线表现超预期；阅文重塑IP产业链 加速变现,广发证券
815,2021-06-07,互联网传媒周报：吉比特新老游戏均超预期 长短视频版权之争加剧,新浪
816,2021-06-07,中国银河维持传媒互联网行业推荐评级：《摩尔庄园》上线表现优异，三胎政策有望扩大少儿图书潜在需求,每日经济新闻
817,2021-06-07,传媒行业周报系列2021年第23周：短视频趋去同质化 618推动抖音“天猫化”,新浪
818,2021-06-07,国产手游5月拿下全球四成市场份额,Wind
819,2021-06-04,传媒行业2021年度中期投资策略：远看METAVERSE和VR 近看优质内容底部机会,新浪
820,2021-06-04,传媒&通信行业“数字未来”系列一：元宇宙 未来数字绿洲入口已打开,华安证券
821,2021-06-04,传媒行业月度策略：暑期档临近 产品密集定档有望带动文娱消费,新浪
822,2021-06-04,【银河传媒互联网杨晓彤】行业动态 2021.5丨网易腾讯年度发布会召开，新品品类齐全,中国银河证券研究
823,2021-06-03,5月行业动态报告：网易腾讯年度发布会召开 新品品类齐全,新浪
824,2021-06-02,完美世界：公司拥有Valve公司的顶级电竞大作《DOTA2》及《CS：GO》的中国大陆地区独家代理运营权，并与Valve公司达成战略合作，共同建立蒸汽平台,每日经济新闻
825,2021-06-02,“梦幻”与“幻塔”： 完美世界“热点能否扣上闭环”,中新经纬
826,2021-06-01,完美世界：累计回购1172.39万股 成交总金额2.58亿元,TechWeb
827,2021-06-01,完美世界(002624.SZ)斥资2.58亿元回购1172.39万股,智通财经
828,2021-06-01,完美世界：累计回购约1172万股，占比0.6043%,每日经济新闻
829,2021-06-01,首席周观点：人民币的投机性升值难以持续,新浪
830,2021-06-01,21硬核投研丨“梦幻”与“幻塔”：完美世界“热点能否扣上闭环”,21世纪经济报道
831,2021-06-01,2021年6月份上海证券研究所投资组合报告,新浪
832,2021-06-01,2021年传媒行业中期投资策略：告别唯流量论 技术与品牌力推动行业发展,新浪
833,2021-05-31,传媒互联网行业：电商618预售再掀消费热潮 网易云音乐冲刺港股IPO,新浪
834,2021-05-31,传媒行业周报：5月新一批国产游戏版号下发 快手21Q1用户数据超预期,新浪
835,2021-05-30,"【国君互联网传媒】2021年20期：泡泡玛特进军高品质IP, 新兴题材买量投放数量激增",国泰君安互联网传媒研究
836,2021-05-29,中信建投研究6月金股名单,Wind
837,2021-05-28,完美世界控股集团获评“十大卓越品牌”,中国网
838,2021-05-28,完美世界教育与成都艺术职业大学签署合作，共建游戏美术专业合作新典范,中国网
839,2021-05-27,5月27日晚间重要行业研究汇总(附股),中金在线
840,2021-05-27,营收持续下滑研发投入缩减 巨人网络靠投资撑起利润增长？ 盈利能力下降,投资时报
841,2021-05-26,游戏专题 | 从投资、买量、产品、政策、全球市场5维度看行业发展趋势[中泰传媒],传媒产业大视点
842,2021-05-26,传媒行业周报：腾讯Q1增长亮眼 预期游戏投资继续活跃,新浪
843,2021-05-25,百亿私募持仓变化透视分析,量化藏经阁
844,2021-05-25,新时代证券--游戏板块点评报告：龙头公司多年布局研发带来拐点，运营数据逐周改善布局正当时【行业研究】,金融界股吧
845,2021-05-25,传媒行业周报：梯媒继续同比高速增长 腾讯网易相继发布游戏储备,新浪
846,2021-05-25,32股获券商买入评级，华菱钢铁目标涨幅达98.80%,Wind
847,2021-05-24,开源证券--传媒行业周报：优选商业化加速的互联网公司，关注头部游戏上线【行业研究】,金融界股吧
848,2021-05-24,传媒行业周观察：网易游戏发布会公布60余款产品 掌门教育递交招股书,新浪
849,2021-05-24,互联网传媒行业周观点：芒果季风剧场5.24上线 LOL国服手游开测,新浪
850,2021-05-23,完美世界(002624)：长线营运能力强 品类创新加速,广发证券
851,2021-05-21,推进数字经济发展 “电竞北京2021”全面启动,消费日报网
852,2021-05-21,云游戏进入云原生竞赛阶段 大厂布局进展如何？,中国网
853,2021-05-21,【银河晨报】5.21丨策略看大宗商品之煤炭：构建助力投资的高胜率指标体系,中国银河证券研究
854,2021-05-20,传媒互联网周报：4月中国手游全球收入持续高增长 关注进口影片定档进展,新浪
855,2021-05-20,文化产业发展的新空间在哪儿？ 听听他们怎么说,中国经济网
856,2021-05-20,A股收盘综述：上证指数跌0.11%，创业板指涨0.93%,Wind
857,2021-05-20,字节跳动和B站要投资入股？完美世界(002624.SZ)拉升,格隆汇
858,2021-05-20,完美世界大涨,新浪
859,2021-05-20,游族网络直冲涨停提振游戏板块，完美世界、星辉娱乐、吉比特等跟涨,Wind
860,2021-05-20,大公司早报 | 拼多多百亿补贴开始抽佣 爱奇艺CEO称会员涨价是必然,观察者网
861,2021-05-20,公司快讯|数字货币价格全线下跌Coinbase宕机，京东年度活跃用户数近5亿，贵州茅台回应“未来提价计划” 连续下跌,财经网
862,2021-05-20,拼多多“百亿补贴”开始抽佣；微信“拍一拍”新增“炸一炸”；新垣结衣结婚并宣布退社｜Do早报,DoNews
863,2021-05-20,2021年05月20日钛早·听新闻,钛媒体
864,2021-05-19,完美世界：一季度，公司将部分租入房屋转租给其他方，相应减少对应的使用权资产，同时就未来租金收入确认长期应收款,每日经济新闻
865,2021-05-19,完美世界：2021年初至今已有《上阳赋》《暴风眼》《爱在星空下》《明天我们好好过》《小女霓裳》《温暖的味道》等多部影视剧播出,每日经济新闻
866,2021-05-19,完美世界：历史期间公司收购了天津同心影视传媒有限公司，并由此形成商誉,每日经济新闻
867,2021-05-19,完美世界回应“字节跳动和B站要投资入股”：以公告为准,财联社
868,2021-05-19,针对“传闻字节跳动和B站要投资入股完美世界，各方优势可以互补。”，完美世界,新浪
869,2021-05-19,完美世界(002624.SZ)每10股派1.60元,智通财经
870,2021-05-19,首创证券--传媒行业周报：4月手游市场保持增长，新品大年值得期待【行业研究】,金融界股吧
871,2021-05-19,周三证券 | 估值优势引关注 传媒细分龙头被看好,金融投资报
872,2021-05-18,上海证券--游戏行业：4月国内手游市场同比增长13.29%【行业研究】,金融界股吧
873,2021-05-18,中国文化产业高峰论坛召开——完美世界入围中国文化新空间吸引力TOP榜单,牛华网
874,2021-05-18,首席周观点：大宗商品价格见顶了吗？,新浪
875,2021-05-17,完美世界萧泓：文创化思维激发“科技+文化”发展新空间,中国网
876,2021-05-17,游戏行业周报：4月国内手游市场同比增长13.29%,新浪
877,2021-05-17,中国银河国际--传媒互联网行业：“民促法细则”落地，利好职业教育及民办高校【行业研究】,金融界股吧
878,2021-05-17,开源证券--传媒行业周报：加大布局优质互联网平台及游戏CP【行业研究】,金融界股吧
879,2021-05-16,传播文化业行业：4月手游同比增长13% 休闲网赚APP占据买量榜单,新浪
880,2021-05-14,传媒行业2021年中期策略报告：内容视频化趋势显着 用户为优质内容买单潜力大,新浪
881,2021-05-14,银河证券：疫情影响逐渐消退，传媒互联网行业一季度业绩稳步修复,Wind
882,2021-05-14,银河证券：疫情影响逐渐消退，传媒互联网行业一季度业绩稳步修复,证券时报网
883,2021-05-14,【银河传媒互联网杨晓彤】行业深度丨疫情影响逐渐消退，2021Q1业绩稳步修复,中国银河证券研究
884,2021-05-13,[路演]完美世界：抢占5G时代游戏新赛道,全景网
885,2021-05-13,中国银河维持传媒互联网行业推荐评级：疫情影响逐渐消退，2021Q1业绩稳步修复,每日经济新闻
886,2021-05-12,三七互娱冲击涨停提振网游股，拓维信息、号百控股、中文传媒、完美世界普遍走强,Wind
887,2021-05-12,传媒行业周报：游戏大厂加快投资节奏 研发比拼愈发激烈,新浪
888,2021-05-12,【银河传媒互联网杨晓彤】行业动态 2021.4丨档期票房屡创新高，互联网平台迈向规范化发展,中国银河证券研究
889,2021-05-11,5月11日晚间重要行业研究汇总(附股),中金在线
890,2021-05-11,中国银河维持传媒互联网行业推荐评级：档期票房屡创新高，互联网平台迈向规范化发展,每日经济新闻
891,2021-05-11,私募大佬冯柳又在游戏股上栽了：押宝巨人网络半年亏5亿,华夏时报
892,2021-05-11,巨人网络离“巨人”渐行渐远:人员流失、研发宣发双双下滑,投资者网
893,2021-05-11,【山证传媒】2020年报及2021年一季报总结：疫情加剧行业分化，关注景气细分及龙头公司优势扩大,山西证券研究所
894,2021-05-11,人员流失、研发宣发双双下滑 手游时代巨人网络离“巨人”渐行渐远,投资者网
895,2021-05-10,传播文化业行业：20年游戏板块业绩亮眼 21Q1营销板块表现强劲,新浪
896,2021-05-10,传媒行业周报：五一档票房达15亿元 2021Q1全球游戏业累计投资并购金额达390亿美元,新浪
897,2021-05-10,2020年A股游戏公司研发榜：完美世界16亿居首 恺英网络等削减求生,新浪
898,2021-05-10,传媒行业动态分析：板块分化加剧 关注影视及营销行业复苏,新浪
899,2021-05-10,传媒行业周报系列2021年第18＆19周：监管趋严或成常态 国资视听平台行稳致远,新浪
900,2021-05-10,传媒行业周报2021年17期：传媒20年净利增幅超2倍 23年全球游戏市场望超2000亿美元,新浪
901,2021-05-10,年度最新“基金赚钱榜” 集中于头部公司,投资者网
902,2021-05-10,"最新""基金赚钱榜""：基金猛赚""真金白银""图谱公布",投资者网
903,2021-05-10,【开源传媒互联网|周观点】关注互联网公司Q1财报，积极布局体育板块,文娱透光镜
904,2021-05-09,完美世界2020年度点评：全年营收稳定，多品类游戏蓄势待发|东方互联网,万象塔
905,2021-05-08,5月7日79只个股获券商关注，中鼎股份目标涨幅达58.32%,每日经济新闻
906,2021-05-08,老赚钱了的游戏产业，要凉？,创业邦
907,2021-05-08,IP移动游戏市场破千亿 完美世界加速IP获取与培育,中国网
908,2021-05-07,游戏行业周报：新一批国产游戏版号获批 《幻塔》在列,新浪
909,2021-05-07,完美世界成立娱乐新公司，经营范围含电视剧制作等,第一财经
910,2021-05-07,【万联传媒| 完美世界】年轻化新品纷至沓来，短期关注《梦诛》《幻塔》进展,万联证券研究所
911,2021-05-07,传媒行业：21Q1传媒持仓1.33% 低配扩大,新浪
912,2021-05-07,完美世界(002624)年报及一季报点评:《幻塔》获版号，游戏业务蓄势待发 | 方正传媒姚蕾,杨仁文研究笔记
913,2021-05-07,万联证券维持完美世界买入评级，点评报告：年轻化新品纷至沓来，短期关注《梦诛》《幻塔》进展,每日经济新闻
914,2021-05-07,传媒互联网行业周报：五一档票房基本恢复 新一批国产网游版号下发,新浪
915,2021-05-07,天风证券维持完美世界买入评级：短期业绩压力释放，游戏新品牌战略开启新征程,每日经济新闻
916,2021-05-07,天风证券：完美世界（002624.SZ）短期业绩压力释放，维持“买入”评级,智通财经
917,2021-05-07,东吴证券--传媒行业：营销及视频龙头业绩超预期，游戏底部期待新产品周期【行业研究】,金融界股吧
918,2021-05-07,【传媒*张良卫】20Q4及21Q1业绩综述——营销及视频龙头业绩超预期，游戏底部期待新产品周期,东吴研究所
919,2021-05-06,完美世界(002624.SZ)已累计回购1172.38万股 耗资2.58亿元,智通财经
920,2021-05-06,完美世界：累计回购约1172.38万股，占比0.6043%,每日经济新闻
921,2021-05-06,5月6日晚间重要行业研究汇总(附股),中金在线
922,2021-05-06,用二次元吸引Z世代 游戏大厂前瞻持续布局,中国网
923,2021-05-06,Imagination和完美世界游戏携手推进光线追踪在游戏中的应用,格隆汇
924,2021-05-06,完美世界(002624)：游戏业务高速增长 储备产品品类丰富,新浪
925,2021-05-05,钱难挣？去年尽享“宅家防疫”红利，今年有游戏大厂业绩变脸 盈利能力下降,奥一网
926,2021-05-04,礼包 | 五一大消费研究专题,中信建投证券研究
927,2021-05-03,顶流私募最新持仓曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等全来了,Wind
928,2021-05-01,完美世界(002624)公司业绩点评：新游有望增厚业绩 研发基因助力新赛道,新浪
929,2021-05-01,百亿私募高毅资产最新持仓曝光：冯柳减持游戏股邓晓峰大举买入有色金属概念股 减持股份,证券之星
930,2021-05-01,A股游戏公司成绩单：世纪华通领跑收入榜，游族网络转亏 亏损,澎湃新闻
931,2021-04-30,百亿私募高毅资产最新持仓曝光：冯柳大幅减持游戏股 减持股份,财联社
932,2021-04-30,传媒互联网行业5月投资策略：机构持仓占比持续下降 关注业绩表现及超跌个股 盈利能力下降,新浪
933,2021-04-30,归母净利下挫24%：完美世界影视业务萎缩 年内股价跌三成 盈利能力下降,投资时报
934,2021-04-30,信达证券给予完美世界买入评级，业绩承压逐步释放，期待Q2步入产品新周期,每日经济新闻
935,2021-04-30,【中泰传媒|完美世界】报表压力释放，新品上线在即,传媒产业大视点
936,2021-04-29,完美世界2020年报解析：下一赛程已经启动,中国经济网
937,2021-04-29,完美世界（002624）2020年报&2021年一季报点评:产品空档期导致Q1利润下滑，静待新品上线打开产能新局面 盈利能力下降,微信
938,2021-04-29,B站拟认购中手游1.98亿股，机构认为游戏行业景气度高企丨牛熊眼,第一财经
939,2021-04-29,信号？冯柳一季度净卖出超百亿元A股，全买了港股？,Wind
940,2021-04-29,315股获券商买入评级，长盈精密目标涨幅达82.81%,Wind
941,2021-04-28,完美世界(002624)：长周期游戏基本盘稳固 静候新一轮产品周期启动,新浪
942,2021-04-28,完美世界(002624)：短期增速承压符合预期 静待重磅产品上线,新浪
943,2021-04-28,完美世界一季报业绩指标同比全面下滑 手游业绩前景堪忧 盈利能力下降,科技新闻网
944,2021-04-28,完美世界(002624)：高基数压制短期业绩 关注后续产品落地,西南证券
945,2021-04-28,国元证券--完美世界2020年报及2021年一季报点评：高基数影响Q1业绩，期待新品上线【公司研究】,金融界股吧
946,2021-04-28,东吴证券维持完美世界买入评级，2020年年报&21Q1季报点评：影视业务风险释放，新游Q2起陆续上线,每日经济新闻
947,2021-04-28,西部证券维持完美世界买入评级，2020年&21Q1业绩点评：2020年游戏高增长，在研品类丰富，影视轻装上阵,每日经济新闻
948,2021-04-28,东北证券给予完美世界买入评级，20年游戏业务同比高增，全新管线展现实力,每日经济新闻
949,2021-04-28,高毅资产错失有色龙头！这些绩优股被“错卖”？,Wind
950,2021-04-28,2021年4月28日钛早·听新闻,钛媒体
951,2021-04-27,完美世界(002624)：长生命周期精品游戏护航游戏业务高速增长 未来新品类型丰富,光大证券
952,2021-04-27,今年4月国产游戏版号下发，完美世界自研游戏《幻塔》获批,Wind
953,2021-04-27,国盛证券维持完美世界买入评级：公司业绩符合预期，静待新游戏上线带动盈利弹性释放,每日经济新闻
954,2021-04-27,布局多元赛道保持稳健发展 完美世界2020年实现营收102.25亿元,证券日报网
955,2021-04-27,4月86款国产游戏获批，腾讯、网易等在列,Wind
956,2021-04-27,完美世界2020年营收超百亿元 游戏业务净利增长超20%,上证报
957,2021-04-27,传媒行业2021年中期策略报告：从流量到留量 抓住年轻人、拥抱视频化、提升专业化,新浪
958,2021-04-27,开源证券维持完美世界买入评级，公司信息更新报告：MMORPG市场地位稳固，多品类产能释放在即,每日经济新闻
959,2021-04-27,完美世界2020年营收102.25亿元 归母净利润15.49亿元,和讯
960,2021-04-27,中信证券一季度科技板块基金持仓分析：关注景气持续和低估值修复,Wind
961,2021-04-27,完美世界一季度实现净利4.64亿元,中证网
962,2021-04-27,传媒互联网行业2021Q1基金持仓分析：持仓龙头集中趋势不变,新浪
963,2021-04-27,中信证券一季度科技板块基金持仓分析：关注景气持续和低估值修复,证券时报网
964,2021-04-27,完美世界：提名韩长艳为公司第五届监事会股东代表监事候选人，2020年至今任完美世界（北京）软件科技发展有限公司高级财务经理,每日经济新闻
965,2021-04-27,完美世界：2020年年度净利润15.49亿元，同比增长3.04%,全景网
966,2021-04-27,完美世界(002624.SZ)年度归母净利同比增3.04%至15.48亿元 每10股派1.6元,智通财经
967,2021-04-27,完美世界发布2020年报及2021一季报，年营收102.25亿元,Wind
968,2021-04-27,完美世界(002624.SZ)第一季度归母净利润同比下降24.43%至4.64亿元 盈利能力下降,智通财经
969,2021-04-27,完美世界：公司监事变更 董监高成员变化,每日经济新闻
970,2021-04-27,交卷！完美世界：2021年第一季度净利润约4.64亿元，同比下降24.43% 盈利能力下降,每日经济新闻
971,2021-04-26,完美世界：2020年净利润同比增长3.04%,Wind
972,2021-04-26,完美世界：一季度净利润同比减少24.43% 盈利能力下降,Wind
973,2021-04-26,传媒行业周报：芒果超媒一季报业绩超预期,新浪
974,2021-04-26,传媒行业周报：紧握优质游戏CP 长看“短视频+”带来的机会,新浪
975,2021-04-26,股价大跌基金一季度抱团股曝光（附名单）,Wind
976,2021-04-26,上海机场大跌5%，股价大跌的基金一季度抱团股曝光 连续下跌,证券时报网
977,2021-04-26,首席周观点：外盘是胜负手,新浪
978,2021-04-26,股价大跌的基金一季度抱团股曝光恒瑞医药表现最差 连续下跌,第一财经
979,2021-04-26,董事长一句话，股价下跌近5%，接盘还是抄底？股价大跌的基金一季度抱团股曝光（附名单） 连续下跌,证券时报网
980,2021-04-21,首创证券--传媒行业周报：赛道分化，继续看好游戏影视优质内容方【行业研究】,金融界股吧
981,2021-04-21,完美世界的游戏边缘求生,云掌财经
982,2021-04-20,完美世界（002624）2020年业绩快报&2021年一季度业绩预告点评：上线新游较少导致利润下滑，静待储备产能兑现带动利润高增,微信
983,2021-04-20,财信证券--完美世界：新品缺失致2021Q1盈利下滑，后续优质产品上线有望提振业绩【公司研究】 盈利能力下降,金融界股吧
984,2021-04-20,【行情】云游戏板块拉升走高，中青宝涨超6%，新元科技、凯撒文化、完美世界、三七互娱跟涨,金十数据
985,2021-04-19,完美世界：影视和游戏，二者为何不可兼得？,云掌财经
986,2021-04-19,新时代证券--完美世界业绩快报点评：2020年游戏业务营收增长35％，多款重要IP改编游戏集中发布【公司研究】,金融界股吧
987,2021-04-19,万联证券：完美世界（002624.SZ）产品趋向年轻化、多元化，维持“买入”评级,智通财经
988,2021-04-16,完美世界“牛仔很忙”：游戏影视两把抓,北京商报
989,2021-04-16,上海证券--完美世界：新品发布会看点纷呈，彰显长期发展潜力【公司研究】,金融界股吧
990,2021-04-16,东北证券--完美世界：游戏业务增长可观，长期看好扩品类+年轻化+全球化战略【公司研究】,金融界股吧
991,2021-04-16,国元证券--完美世界：高基数影响Q1业绩，期待多元化产品新周期【公司研究】,金融界股吧
992,2021-04-16,北京文化亏损2800万、万达盈利5亿，影视股一季报谁将率先“复苏”？ 亏损,36氪
993,2021-04-16,东吴证券--完美世界2020业绩快报&21Q1季报预告点评：Q1业绩符合预期，Q2起陆续进入产品释放周期【公司研究】,金融界股吧
994,2021-04-15,游戏、影视忙“上新” 完美世界的多赛道玩得开？,北京商报
995,2021-04-15,完美世界游戏携近三十款新品及IP举办发布会，展现高水平研发实力,牛华网
996,2021-04-15,华泰证券：完美世界（002624.SZ）高基数下Q1业绩自然回落，维持“买入”评级,智通财经
997,2021-04-15,中信证券：完美世界业绩符合预期，游戏业务发力长期增长可期,Wind
998,2021-04-15,国盛证券--完美世界：一季度业绩略好于预期，静待新游戏上线【公司研究】,金融界股吧
999,2021-04-15,144股获券商买入评级 海鸥住工目标涨幅达165.63%,Wind
1000,2021-04-14,完美世界：一季度预计净利润同比下降21.86%~28.37% 盈利能力下降,Wind
1001,2021-04-14,晚间重要公告2021年4月14日星期三,Wind
1002,2021-04-14,完美世界(002624.SZ)一季度净利润预降21.86%-28.37% 盈利能力下降,格隆汇
1003,2021-04-14,完美世界2021年一季度预盈4.4亿元-4.8亿元 同比减少超两成,北京商报
1004,2021-04-14,完美世界2020年实现归属净利润15.5亿元,北京商报
1005,2021-04-14,完美世界发布2020业绩快报：游戏业务实现营收超92亿元 同比增35%,证券时报网
1006,2021-04-14,完美世界2020年营收102亿元 游戏业务同比增长35%,21世纪经济报道
1007,2021-04-14,完美世界：预计一季度净利同比减少28.37%–21.86% 盈利能力下降,科创板日报
1008,2021-04-14,完美世界发布2020业绩快报：游戏业务营收92.62亿元，同比增加35%,金融界
1009,2021-04-14,完美世界：2020年净利润同比增长3.04%（业绩快报）,Wind
1010,2021-04-14,完美世界发布2020业绩快报：游戏业务年营收增35%,Wind
1011,2021-04-14,完美世界：预计一季度盈利4.4亿-4.8亿元，同比下降21%-28% 盈利能力下降,Wind
1012,2021-04-14,4月14日晚间重要行业研究汇总(附股),中金在线
1013,2021-04-14,完美世界(002624.SZ)大涨超6%战略发布会上发布近三十款重磅新游及IP,格隆汇
1014,2021-04-14,【行情】云游戏板块拉升走高，凯撒文化涨超7%，完美世界、号百控股、盛天网络跟涨,金十数据
1015,2021-04-14,"飞书深诺:去年净利降53%,字节为大客户,业务依赖脸书谷歌|搜狐财经拆解IPO19期 盈利能力下降",搜狐
1016,2021-04-14,完美世界近30款新游戏集中亮相,上证报
1017,2021-04-13,游戏行业进入多元化快速增长期 完美世界游戏一口气发布二十四款新品,21世纪经济报道
1018,2021-04-13,完美世界发布近30款新游及IP 公司自研产品占比超过95%,金融界
1019,2021-04-13,完美世界游戏发布近三十款新游，宣布与温瑞安、彩条屋等达成合作,证券之星
1020,2021-04-13,完美世界游戏召开战略发布会，发布近三十款重磅新游及IP,Wind
1021,2021-04-12,文化传媒行业周报：版权监管加剧 大内容产业迎风而立,新浪
1022,2021-04-12,传媒-游戏：两部委发文 试点下放游戏版号审批权至地方,新浪
1023,2021-04-12,券商：游戏板块处于底部 研发型厂商受到看好,中国网
1024,2021-04-12,传媒行业周报：关注一季报业绩靓丽的优质个股,新浪
1025,2021-04-12,【中泰传媒-周观点】3月中国手游厂商出海收入22.9亿美金，Q1快手抖音GMV破亿主播月均超10人,传媒产业大视点
1026,2021-04-11,飞书深诺冲刺港交所：年利润降58% 二六三与完美世界是股东 盈利能力下降,新浪
1027,2021-04-10,完美世界王雨蕴：游戏化思维打开科普世界新天地,中国网
1028,2021-04-09,完美世界携手安兔兔 引入新一代图形API技术Vulkan,中国网
1029,2021-04-09,国产手游3月拿下全球近四成市场份额,Wind
1030,2021-04-08,安兔兔V9版本上线，欢太科技联手完美世界为其引入全新Vulkan场景,砍柴网
1031,2021-04-08,中国银河--传媒互联网行业3月行业动态报告：中概股回港渐入高峰，字节跳动加速手游布局【行业研究】,金融界股吧
1032,2021-04-08,传媒行业周报系列2021年第14周：非上市广电整合接近尾声 小米或推动汽车新媒体化,新浪
1033,2021-04-07,传媒互联网行业：清明档票房创下历史新高 心动获B站阿里联手入股,新浪
1034,2021-04-07,中国银河证券维持传媒互联网行业推荐评级：中概股回港渐入高峰，字节跳动加速手游布局,每日经济新闻
1035,2021-04-07,安兔兔V9版本上线，OPPO联手完美世界为其引入全新Vulkan场景,中华网
1036,2021-04-06,上海证券--传媒行业游戏：苹果IDFA新政实施在即，关注广告投放成本变化【行业研究】,金融界股吧
1037,2021-04-03,年均增长135%！这个新产业钱景大爆发,Wind
1038,2021-04-02,A股融资融券日报：两融余额减少7.5亿元（4月1日）,Wind
1039,2021-03-31,渤海证券--完美世界深度报告：游戏业务竞争优势突出，21年进入产品新周期【公司研究】,金融界股吧
1040,2021-03-31,首创证券--传媒行业周报：快手将按次支付音乐版权，关注版权生态改善【行业研究】,金融界股吧
1041,2021-03-28,10部电影押注五一档，有哪些上市公司参与？,Wind
1042,2021-03-24,游族网络连续两日涨停提振网游股，世纪华通、完美世界、掌趣科技普涨,Wind
1043,2021-03-24,罕见，味茅、医药茅跌跌不休，砸盘元凶曝光,Wind
1044,2021-03-22,中国银河--传媒互联网行业周报：快手新游上线首日表现优异，“值得买科技”新十年战略启程【行业研究】,金融界股吧
1045,2021-03-19,完美世界(002624.SZ)：控股股东方面补充质押2125万股 股票质押异常,格隆汇
1046,2021-03-18,完美世界：预计于4月27日披露2020年度报告,每日经济新闻
1047,2021-03-18,完美世界：截至3月10日，公司股东共计15.24万名,每日经济新闻
1048,2021-03-18,完美世界：截至3月10日股东数为152375户,每日经济新闻
1049,2021-03-18,大幅下跌！游戏业“买量”巨头集体覆没，游戏板块还存在机会吗？ 连续下跌,21世纪经济报道
1050,2021-03-18,柠檬微趣终止IPO，仅剩一家排队，游戏公司为何被A股“拒之门外”？ IPO融资异常,每日经济新闻
1051,2021-03-18,“A股游戏一哥”三七互娱的开年失意，游戏公司为何逃不开“买量”魔咒？,创业邦
1052,2021-03-17,完美世界：《诛仙手游》从2016年公测至今已4年多，仍为公司贡献稳定业绩,每日经济新闻
1053,2021-03-17,完美世界：公司旗下拥有20余个具有独立开发能力的研发团队,每日经济新闻
1054,2021-03-17,传媒-游戏：2月国内手游市场环比增长12.24％,新浪
1055,2021-03-17,上海证券--传媒行业：2月国内手游市场环比增长12.24%【行业研究】,金融界股吧
1056,2021-03-17,掘金龙虎榜 31股近期获机构净买入,证券之星
1057,2021-03-17,首创证券--传媒行业周报：两会聚焦影视生态，行业亟需良性循环【行业研究】,金融界股吧
1058,2021-03-17,三七互娱一季度净利润预降超80%：股价连跌，销售费用长期居高不下 盈利能力下降,金融界
1059,2021-03-16,传媒互联网行业数据月报：春节档助力影市回暖 2月手游市场规模环比增长12%,新浪
1060,2021-03-16,1月券商金股名单出炉！白酒降温，顺周期仍受捧，这些股票有看头,中证报
1061,2021-03-16,A股早报2021年3月16日星期二,Wind
1062,2021-03-16,幻想破灭机构甩卖游戏股 多游资对碰博弈焦作万方,财富动力网
1063,2021-03-15,而对部分游戏公司而言，还存在着一些特殊的问题。,财华社
1064,2021-03-15,【聚焦增减持】获腾讯斥资28亿元增持，世纪华通未来可期？,财华社
1065,2021-03-15,山证传媒：行业高频数据可视化周报 第9期,新浪
1066,2021-03-15,2021年传媒行业春季投资策略：景气复苏延续关注影视、游戏机会,新浪
1067,2021-03-15,3月15日龙虎榜，机构青睐这10股,证券时报网
1068,2021-03-15,龙头股开盘即跌停！陈光明、林利军被套……,Wind
1069,2021-03-15,这两大游戏股今日双双跌停 遭机构大幅抛售 股票卖空,第一财经
1070,2021-03-15,完美世界龙虎榜数据（3月15日）,Wind
1071,2021-03-15,大盘继续探底 机构卖出加码,金融投资报
1072,2021-03-15,三七互娱、完美世界今日双双跌停，机构集体出逃,Wind
1073,2021-03-15,顶不住了！情绪彻底失控！创业板再暴跌5%！茅台失守2000元，中信再次高喊：坚信茅台会涨到3000元！ 连续下跌,雪球
1074,2021-03-15,传媒行业周报：游戏继续布局 疫情后修复空间大的领域值得关注,新浪
1075,2021-03-15,创业板大跌超3%，茅台破2000元！半导体白酒领跌,Wind
1076,2021-03-15,山西证券--游戏行业数据点评：2月环比增长12.24%，头部发行商全球收入增56%【行业研究】,金融界股吧
1077,2021-03-15,中国银河--传媒互联网行业：快手与寺库合作向高端奢侈品类冲刺，B站通过港交所上市聆讯【行业研究】,金融界股吧
1078,2021-03-15,游戏股全线大跌，吉比特跌近8%,Wind
