,2021-12-30,玲珑轮胎今日大宗交易成交64.40万股，成交价36.18元溢价0.0%,Wind
310,2021-07-05,玲珑轮胎：目前公司开发的某机型主胎已完成第三方测试,Wind
311,2021-07-05,煤炭石化行业周报：关注大庆后复产节奏 化纤进入需求旺季,新浪
312,2021-07-05,7月5日四家公司公告出现利空:玲珑轮胎控股股东通过大宗交易减持2%公司股份,证券之星
313,2021-07-05,A股早报2021年7月5日星期一,Wind
314,2021-07-04,晚间重要公告2021年7月4日星期日,Wind
315,2021-07-04,玲珑轮胎：控股股东减持公司2%股份 减持股份,Wind
316,2021-07-04,玲珑轮胎：控股股东大宗交易减持公司2%股份 减持股份,e公司
317,2021-07-03,扩产？倒闭？轮胎行业两极分化 减资破产,轮胎商业网
318,2021-07-02,A股共发生90宗大宗交易成交33.14亿元（7月2日）,Wind
319,2021-07-02,玲珑轮胎现10.83亿元大宗交易 机构买入,e公司
320,2021-07-02,"玲珑轮胎现12笔大宗交易 共成交108,344.36万元",新浪
321,2021-07-02,透视大宗交易：7月2日共成交90笔，玲珑轮胎成交10.83亿元,每日经济新闻
322,2021-07-02,玲珑轮胎今日大宗交易成交2744.98万股，成交价39.47元折价4.68%,Wind
323,2021-07-02,玲珑轮胎(601966.SH)：控股股东通过大宗交易减持2744.98万股减持均价39.47元/股 减持股份,格隆汇
324,2021-07-02,多家轮胎企业陆续提价，8只概念股市盈率不足30倍,Wind
325,2021-07-01,压不住了，轮胎巨头宣布今日起提价！最全概念名单来了，市盈率最低不到5倍,证券时报网
326,2021-06-29,玲珑轮胎：与山东临工强强联合 共同推进中国机械工业高质量发展,中证网
327,2021-06-29,玲珑轮胎与山东临工达成战略合作,e公司
328,2021-06-29,玲珑轮胎荣登全球12强，成全球上升最快轮胎品牌,中国橡胶网
329,2021-06-28,汽车行业周报：关注Q2业绩超预期机会,新浪
330,2021-06-27,何黎明会见玲珑轮胎董事长王锋一行,中国物流与采购网
331,2021-06-27,控股股东收购锦湖轮胎多年青岛双星依旧亏损 未来的路任重道远 亏损,财经网
332,2021-06-26,广西玲珑轮胎2.05亿元增资完成,轮胎世界网
333,2021-06-25,半年报前瞻|轮胎行业：海运不畅H1或不及预期供需基本面不改边际向好 盈利能力下降,财联社
334,2021-06-25,玲珑轮胎(601966.SH)：完成向广西玲珑增资2.05亿元,格隆汇
335,2021-06-24,陕西造车，铜川“分羹”？,每日经济新闻
336,2021-06-24,"玲珑轮胎现1笔大宗交易 共成交2,622.63万元",新浪
337,2021-06-24,玲珑轮胎今日大宗交易成交54.57万股，成交价48.06元溢价0.0%,Wind
338,2021-06-24,27股获券商买入评级，长安汽车目标涨幅达65.85%,Wind
339,2021-06-22,汽车行业周报：车企加速推出纯电车型 转型步伐积极推进,新浪
340,2021-06-21,汽车行业周报：汽车板块新一轮行情启动,新浪
341,2021-06-21,建议重视中报行情 | 中信建投晨会,中信建投证券研究
342,2021-06-21,磷矿石、电石领涨市场，MDI开启反弹之路,中信建投证券研究
343,2021-06-19,这些轮胎企业获得专利技术大奖,轮胎商业网
344,2021-06-17,玲珑轮胎现2笔大宗交易 共成交977.53万元,新浪
345,2021-06-17,玲珑轮胎今日大宗交易成交23.26万股，成交价42.02元溢价0.0%,Wind
346,2021-06-17,化工行业2021年中期投资策略：周期品兼顾景气与成长 新材料布局需求端放量,广发证券
347,2021-06-16,中国“轮胎之王”出现,天然橡胶网
348,2021-06-16,国信证券：玲珑轮胎（601966.SH）全球“7+5”战略推进，维持“买入”评级,智通财经
349,2021-06-16,37股获券商买入评级，玲珑轮胎目标涨幅达53.05%,Wind
350,2021-06-16,基础化工行业周报：中报行情临近 周期成长龙头进攻,新浪
351,2021-06-15,轮胎行业报告系列一：从普利司通发展历程 展望中国轮胎龙头崛起,新浪
352,2021-06-15,国信证券给予玲珑轮胎买入评级，重大事件快评：国内第六大基地立项陕西，全球“7+5”战略推进,每日经济新闻
353,2021-06-15,玲珑轮胎拟建国内第六个生产基地,天然橡胶网
354,2021-06-15,世界第一：中国首发的轮胎技术！,天然橡胶网
355,2021-06-15,玲珑轮胎大跌5.12%，领跌橡胶行业 连续下跌,中新经纬
356,2021-06-14,山东玲珑轮胎获评“国际化发展成就奖”,轮胎世界网
357,2021-06-13,传化智联(002010)：公路港加速释利 仓运配稳步推进,国联证券
358,2021-06-11,玲珑轮胎(601966)：陕西基地落地 践行2030中长期发展目标,新浪
359,2021-06-11,玲珑轮胎(601966)：国内第六个基地定址陕西铜川 “7+5”战略优化全球布局,新浪
360,2021-06-11,德邦证券维持玲珑轮胎买入评级：国内第六个基地定址陕西铜川，“7+5”战略优化全球布局,每日经济新闻
361,2021-06-11,德邦证券：玲珑轮胎（601966.SH）“7+5”战略优化全球布局，维持“买入”评级,智通财经
362,2021-06-10,玲珑轮胎(601966)：全球化驱动 内涵式飞升,新浪
363,2021-06-10,玲珑轮胎(601966)：“6+6”战略调整为“7+5”战略 国内第六大生产基地落地陕西铜川,新浪
364,2021-06-10,国内轮胎替换率达到了1.3-1.5,天然橡胶网
365,2021-06-10,玲珑轮胎：投资逾60亿元建铜川基地计划2030年轮胎产销量突破1.6亿条,财联社
366,2021-06-09,股价大涨逾7%！玲珑轮胎第三季度净利润同比下降近8成 盈利能力下降,财华社
367,2021-06-09,玲珑轮胎拟逾60亿元投建轮胎生产项目 年产1520万套高性能子午线轮胎,e公司
368,2021-06-09,"玲珑轮胎：对外投资,投资金额：项目总投资预算为606,566.00万元",发布易
369,2021-06-09,玲珑轮胎：拟投资60.66亿元建设生产基地,中证网
370,2021-06-09,玲珑轮胎(601966.SH)拟逾60亿元在陕西铜川投建轮胎生产项目,智通财经
371,2021-06-09,玲珑轮胎(601966.SH)拟将节余募集资金1.81亿元永久补充流动资金,智通财经
372,2021-06-09,玲珑轮胎：拟投建年产1520万套高性能子午线轮胎和50万套翻新胎项目,e公司
373,2021-06-09,玲珑轮胎：拟在陕西铜川建设生产基地项目总投资预算60.66亿元,财联社
374,2021-06-09,八大券商主题策略：涨价仍是一条重要线索！煤炭板块行情刚刚开始,中金在线
375,2021-06-09,化工板块超20股涨逾5% 机构：顺周期业绩将迎兑现期丨牛熊眼,第一财经
376,2021-06-08,汽车行业周观点：华为鸿蒙2.0发布 智能网联汽车乘势发展,新浪
377,2021-06-08,化工行业周观点：尿素市场行情延续 草甘膦维持高位运行,新浪
378,2021-06-08,化工行业周报：原油价格震荡上行 关注超跌优质龙头,新浪
379,2021-06-07,汽车行业周报：宁德、华为引领“电动智能”主线,新浪
380,2021-06-07,基础化工行业周报：内外因素联动 钛白粉景气延续,新浪
381,2021-06-07,汽车行业第22周周报：造车新势力销量日盛 新能源车产业链有望继续受追捧,新浪
382,2021-06-06,玲珑轮胎九家零售店烟台齐开,轮胎世界网
383,2021-06-05,化工行业专题深度：汽车产业链大观 材料及相关公司崛起,新浪
384,2021-06-03,吉林玲珑轮胎一期项目10月投产,轮胎世界网
385,2021-06-03,基础化工行业周报：MDI挂牌价理性回调 轮胎双反靴子落地,新浪
386,2021-06-03,国信证券：国内汽车行业经历了2年以上调整，底部逐步确立,证券时报网
387,2021-06-02,汽车行业6月投资策略：拥抱电动智能下的增量环节机遇,新浪
388,2021-06-02,玲珑轮胎(601966.SH)将于6月10日分红 每股派0.49元,智通财经
389,2021-06-02,玲珑轮胎(601966.SH)年报推10派4.9元 股权登记日6月9日,格隆汇
390,2021-05-31,国金证券给予玲珑轮胎买入评级，国产轮胎龙头，迎来盈利发展“黄金期”,每日经济新闻
391,2021-05-31,美国“双反”终裁税率，税率结果利好国内头部企业！,Ofweek
392,2021-05-31,化工行业：黄磷-草甘膦继续引领化工涨幅 可降解塑料政策密集发布,新浪
393,2021-05-31,石油化工新材料行业北上资金周报,新浪
394,2021-05-31,“绿色先锋”闯入河南轮胎市场,河南日报
395,2021-05-28,湖北省委副书记调研玲珑工厂,轮胎世界网
396,2021-05-28,A股早报2021年5月28日星期五,Wind
397,2021-05-28,中国轮胎第一梯队，三家足矣,轮胎商业网
398,2021-05-27,湖北省委副书记、代省长王忠林调研湖北玲珑轮胎,e公司
399,2021-05-27,"玲珑轮胎现1笔大宗交易 共成交20,512.00万元",新浪
400,2021-05-27,玲珑轮胎今日大宗交易成交400万股，成交价51.28元溢价0.0%,Wind
401,2021-05-27,美国轮胎“双反”终裁对中国影响有限 轮胎企业必须加快国际化和品牌化步伐,证券日报网
402,2021-05-27,化工行业信息点评：美国双反终裁落地 看好国内轮胎龙头未来成长空间,新浪
403,2021-05-27,从外资近期净流入和持仓风格变化角度：目前依然是核心资产牛市的延续而非普涨牛市,新浪
404,2021-05-27,晨报0527 | 周期行业策略、智能控制器专题、自主品牌汽车专题、美畅股份（300861）、中国旭阳（1907）,国泰君安证券研究
405,2021-05-26,化工行业轮胎专题报告：“双反”终裁靴子落地 坚定看好轮胎龙头,新浪
406,2021-05-26,轮胎行业事件点评：“双反”终裁落地 中国轮胎企业崛起势不可挡,新浪
407,2021-05-25,化学制品-轮胎点评：美国终裁落地 符合预期影响有限,新浪
408,2021-05-25,美国轮胎“双反”终裁结果出炉 分析人士：中国胎企有望持续提升市占率,财联社
409,2021-05-25,基础化工行业周报：4月化工品出口大增 重视高景气持续性,新浪
410,2021-05-24,能源化工行业周观点：化工行业处传统淡季 农化、钛白粉等延续强势,新浪
411,2021-05-24,汽车行业周报：负面因素边际好转 风险偏好继续驱动,新浪
412,2021-05-24,玲珑轮胎三大工厂陆续投产,天然橡胶网
413,2021-05-24,化工周报：草甘膦、尿素上涨 周期品格局仍然向好 持续关注细分行业龙头,新浪
414,2021-05-21,玲珑轮胎(601966)：民族轮胎企业领军者 加速全球布局对标国际一线品牌,新浪
415,2021-05-21,德邦证券首予玲珑轮胎买入评级：民族轮胎企业领军者，加速全球布局对标国际一线品牌,每日经济新闻
416,2021-05-20,晨报0520 | 科技策略专题、汽车行业专题、军工基金持仓研究、金工专题,国泰君安证券研究
417,2021-05-19,吉林长春深耕实体经济 加速构建产业生态圈,中新网
418,2021-05-19,汽车行业周报：产销增长 估值回升 电动智能加速升级,新浪
419,2021-05-18,化工行业周报：化工开始分化 关注纯碱、钛矿、氯碱、EVA等子行业,新浪
420,2021-05-17,化工周报：地产链条景气持续 行业淡季价格仍坚挺 持续关注细分龙头,新浪
421,2021-05-17,化工周报：万华宁波技改扩产 草甘膦强势领涨农药板块,新浪
422,2021-05-16,石油石化、基础化工、新材料行业北上资金流向周报：石油化工新材料行业北上资金周报,新浪
423,2021-05-14,成本激增超想象，董明珠也发声！未来怎么走？,Wind
424,2021-05-14,原材料价格暴涨挤压下游利润空间，制造业成本传导方式各异,Wind
425,2021-05-13,浦林成山(1809.HK)产能扩张有序推进，长期关注公司技术与服务创新和营销品牌力建设,格隆汇
426,2021-05-13,玲珑轮胎——创新应用AWT技术,天然橡胶网
427,2021-05-12,汽车行业周报：景气度向上 Q2配置时点,新浪
428,2021-05-12,基础化工行业研究：公募基金连续四个季度加仓化工行业 加大景气度向上细分行业龙头布局,国金证券股份有限公司
429,2021-05-11,【国金化工&新材料】2021Q1公募基金持仓分析：公募基金连续四个季度加仓化工行业，加大景气度向上细分行业龙头布局,点石化金
430,2021-05-11,石油天然气、化工行业2020&1Q21业绩回顾：行业高景气 盈利创新高,新浪
431,2021-05-11,【方正化工】2021年下半年方正化工策略报告：景气有望继续回升，坚守长线成长标的,靠谱化工股
432,2021-05-11,【国信汽车|年报一季报总结】：行业复苏，集中度提升，智能电动加速升级,微信
433,2021-05-11,化工行业2021年中期策略报告：周期修整再出发 成长赛道需要重视,新浪
434,2021-05-10,汽车行业：悲观预期在加速反映,新浪
435,2021-05-10,九家轮胎企业交出“成绩单” 总营业收入超700亿,和讯
436,2021-05-10,基础化工行业2020年报及2021年一季报综述：越过山丘 班行秀出,新浪
437,2021-05-10,化工周报：钛白粉、草甘膦、PVC 上涨 大宗品周期情绪升温 推荐业绩持续改善的细分龙头,新浪
438,2021-05-10,能源化工行业周观点：化工产品景气高位延续 关注碳中和、农化、海外复苏等主线,新浪
439,2021-05-10,晨会聚焦210510重点关注通信、计算机、保险、钢铁、汽车汽配、社会服务、纺织服装、证券、医药、家电,国信研究
440,2021-05-10,石油石化、基础化工、新材料行业北上资金流向周报,新浪
441,2021-05-08,关键数据意外大跌 利空反成利好？欧美股市狂欢 高盛美林摩根大通等外资调仓路线图曝光,证券时报网
442,2021-05-08,外资调仓路线图曝光，18股获3家及以上机构加仓,Wind
443,2021-05-08,关键数据意外大跌，利空消息反成利好？欧美股市狂欢！高盛、美林、摩根大通等外资调仓路线图曝光，外资机构合力加仓这些股,e公司
444,2021-05-07,玲珑轮胎(601966.SH)副总裁兼财务总监李伟已减持2.05万股 减持时间过半 减持股份,智通财经
445,2021-05-07,玲珑轮胎：股东李伟减持约2.05万股，减持计划时间已过半,每日经济新闻
446,2021-05-07,玲珑轮胎(601966.SH)：高管李伟减持期过半累计减持2.05万股 减持股份,格隆汇
447,2021-05-07,玲珑轮胎：高管李伟累计减持0.0015%股份 减持股份,Wind
448,2021-05-07,他们改变了中国轮胎,轮胎商业网
449,2021-05-06,基础化工行业2020年报及2021一季报总结：2020化工行业景气呈现“V”型复苏 21Q1景气加速上行 行业盈利能力大幅修复,新浪
450,2021-05-06,最新！QFII投资路线图曝光,中国基金报
451,2021-05-06,QFII重仓50强曝光合计持仓市值近2000亿,第一财经
452,2021-05-06,QFII重仓最新路线图曝光！一行业成新宠，34股获扎堆持有，石油巨头获5年来首次建仓,e公司
453,2021-05-06,渤海证券维持玲珑轮胎增持评级，2020年报及2021一季报点评：营收与净利润持续增长，配套与零售持续发力,每日经济新闻
454,2021-05-06,玲珑一季度利润创新高，全球配套实现新突破,中国橡胶网
455,2021-05-06,哪家轮胎企业发展最猛？,天然橡胶网
456,2021-05-05,劳动节假期要闻汇总（5月1日-5日）,Wind
457,2021-05-04,陆家嘴财经早餐2021年5月4日星期二,Wind
458,2021-05-03,知名外资一季度调仓路径全解析：32家公司被QFII连续重仓时间超过3年,红周刊
459,2021-05-03,外资一季度持仓路径解析：32公司被重仓超3年，4月重启加仓,Wind
460,2021-05-03,高瓴、高盛、美林、大小摩、阿布扎比等知名外资一季度调仓路径全解析,红周刊
461,2021-05-01,玲珑轮胎(601966)：1Q21业绩符合预期 配套零售齐发力,新浪
462,2021-04-29,玲珑轮胎(601966)：Q1业绩延续30%以上稳健增速 配套、零售双双加速,新浪
463,2021-04-29,中信建投大周期团队最新研究观点,中信建投证券研究
464,2021-04-28,玲珑轮胎一季度利润达4.95亿元,轮胎世界网
465,2021-04-27,玲珑轮胎：2021年第一季度净利润约4.95亿元，同比增加33.12%,每日经济新闻
466,2021-04-27,玲珑轮胎一季度营收同比增长39.22% 市值逼近800亿元大关,中证网
467,2021-04-27,玲珑轮胎(601966.SH)一季度净利润升33.12%至4.95亿元,格隆汇
468,2021-04-27,玲珑轮胎(601966.SH)一季度归母净利同比增长33%至4.95亿元,智通财经
469,2021-04-27,A股资本地图烟台篇：42家公司上市，市值逾八千亿，近七成为细分领域龙头,时代在线
470,2021-04-27,玲珑轮胎：一季度净利4.95亿元 同比增33%,e公司
471,2021-04-27,玲珑轮胎：一季度净利润同比增长33.12%,Wind
472,2021-04-27,A股异动丨玲珑轮胎(601966.SH)涨近5%创历史新高市值近800亿元,格隆汇
473,2021-04-26,能源化工行业周观点：业绩披露期即将结束 多数子行业景气高位,新浪
474,2021-04-26,10大国产轮胎旗舰店门头，你喜欢谁,轮胎商业网
475,2021-04-26,9家轮胎企业同时上榜,轮胎商业网
476,2021-04-21,轮胎企业业绩逆市增长！,天然橡胶网
477,2021-04-21,“碳中和”改变轮胎行业格局“减碳”轮胎占比将提升,证券之星
478,2021-04-19,玲珑轮胎4月19日快速反弹,天然橡胶网
479,2021-04-19,玲珑轮胎：公司全钢胎产量全国第二，卡客车轮胎市占率超11%,Wind
480,2021-04-18,玲珑轮胎获中国一汽三项荣誉,轮胎世界网
481,2021-04-15,轮胎需求回暖未能拯救全年业绩 青岛双星寄望加速海外布局,金融界
482,2021-04-15,疫情影响全球轮胎行业格局 玲珑轮胎逆势增长或实现“弯道超车”,证券日报网
483,2021-04-14,泰国玲珑轮胎营收50亿，净利15亿！,中国橡胶网
484,2021-04-14,玲珑轮胎三大新项目将陆续投产,轮胎世界网
485,2021-04-14,华金证券--玲珑轮胎:2020年业绩超预期，股权激励彰显中长期信心【公司研究】,金融界股吧
486,2021-04-14,国信证券--玲珑轮胎2020年年报点评：业绩符合预期，产能、客户、渠道推进有序【公司研究】,金融界股吧
487,2021-04-13,玲珑轮胎2020年净利逆势增长逾三成 上市以来累计分红超20亿元,证券日报网
488,2021-04-13,玲珑轮胎净利润超20亿元,轮胎世界网
489,2021-04-13,国信证券：玲珑轮胎(601966.SH)产能、客户、渠道推进有序，维持“买入”评级,智通财经
490,2021-04-13,玲珑轮胎净利润超22亿元,轮胎世界网
491,2021-04-13,国信证券：未来汽车变革的影响将类比并超过手机智能化，投资机遇值得期待,Wind
492,2021-04-13,玲珑轮胎（601966）2020年年报点评,国信研究
493,2021-04-13,2020年玲珑轮胎净利同比增33%,橡胶贸易网
494,2021-04-13,玲珑轮胎去年净利润增33.13% 加快全球布局,证券时报
495,2021-04-13,玲珑轮胎：2020年业绩逆势增长 致力打造世界一流轮胎品牌,中证网
496,2021-04-12,玲珑轮胎：2021年将加速轮胎制造智能化转型升级,证券时报网
497,2021-04-12,晚间重要公告2021年4月12日星期一,Wind
498,2021-04-12,玲珑轮胎(601966.SH)年度归母净利同比增长33%至22.2亿元 拟10派4.9元,智通财经
499,2021-04-12,玲珑轮胎(601966.SH)：2020年度净利升33.13%至22.2亿元拟10派4.9元,格隆汇
500,2021-04-12,玲珑轮胎：2020年净利润同比增长33.13%,Wind
501,2021-04-12,化工周报：钛白粉、醋酸大幅上涨 一季报进入兑现期 关注Q2基本面持续向好的细分龙头,新浪
502,2021-04-12,申港证券--汽车行业周报：一季度汽车产销稳健，乘用车销量或受芯片影响【行业研究】,金融界股吧
503,2021-04-12,醋酸价格再破新高，万华一季报创新高超预期,中信建投证券研究
504,2021-04-07,石油天然气、化工行业中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,新浪
505,2021-04-06,化工行业周报：化工品价格快速上涨后企稳 依然看好未来景气持续,新浪
506,2021-04-06,申港证券--汽车行业周报：新一轮新能源汽车下乡启动，自主品牌充分受益【行业研究】,金融界股吧
507,2021-04-06,化工周报：钾肥、甲酸价格上涨 关注Q1业绩反转标的 推荐白马及细分龙头,新浪
508,2021-04-03,玲珑进入福特优秀供应商体系,轮胎世界网
509,2021-04-02,A股收盘综述：上证指数涨0.52%，创业板指涨1.31%,Wind
510,2021-04-02,A股午盘综述：上证指数涨0.43%，创业板指涨1.58%,Wind
511,2021-03-31,玲珑轮胎召开2021年全国群雄会,轮胎世界网
512,2021-03-30,晨会聚焦210330重点关注机械行业、纺织服装行业、汽车行业、线上零售、华荣股份、芯原股份-U、广汽集团,国信研究
513,2021-03-29,化工行业周观点：业绩披露高峰期临近 关注业绩超预期机会,新浪
514,2021-03-29,基础化工行业周报：布局景气可持续性或超预期的品种,新浪
515,2021-03-29,化工行业周报：欧洲重新封城 原油价格回落,新浪
516,2021-03-29,石油化工新材料行业北上资金周报,新浪
517,2021-03-29,扩产能或建新厂，山东企业加速布局东南亚,财经网
518,2021-03-29,化工行业：万华推进福建工业园一体化布局 行业价格回调力度较小,新浪
519,2021-03-26,基础化工行业周报：布局高景气赛道 盈利弹性抵御估值波动,新浪
520,2021-03-26,两融余额三连降，14股遭杠杆资金大比例减仓,证券时报
521,2021-03-25,山东股市周报：总市值跌305亿 英科医疗跌出鲁股市值前10强,每日经济新闻
522,2021-03-25,瞰鉴鲁股：市值TOP10名单出现新面孔 9只山东股迎三类“热钱”流入,每日经济新闻
523,2021-03-22,化工行业周报：年报和一季报季在即 关注二线龙头兑现高弹性,新浪
524,2021-03-22,申港证券--汽车行业周报：车灯好赛道，自主替代正当时【行业研究】,金融界股吧
525,2021-03-19,A股共发生99宗大宗交易成交22.02亿元（3月19日）,Wind
526,2021-03-19,豪迈科技：赛轮轮胎和玲珑轮胎与公司亦有合作,每日经济新闻
527,2021-03-19,玲珑轮胎今日大宗交易成交63万股，成交价47.73元溢价0.0%,Wind
528,2021-03-19,曾经公私募“枪口一致”，如今走势一波三折，这个板块还能火吗？,Wind
529,2021-03-18,玲珑轮胎：多尺度亚微球技术成功研发,Wind
530,2021-03-18,玲珑轮胎：多尺度亚微球技术成功研发,e公司
531,2021-03-17,玲珑轮胎高度重视股东回报 累计分红13.79亿元,证券日报网
532,2021-03-17,基础化工行业周报：化工景气仍上行 关注一季报行情,新浪
533,2021-03-17,玲珑轮胎渠道会议在山东召开,轮胎世界网
534,2021-03-17,10大中国卡客车轮胎品牌,轮胎商业网
535,2021-03-16,玲珑布局新能源汽车轮胎市场,轮胎世界网
536,2021-03-16,玲珑轮胎大跌5.11%，领跌橡胶行业 连续下跌,中新经纬
537,2021-03-16,汽车行业周报：乘用车需求向好 电动智能加速,新浪
538,2021-03-16,玲珑轮胎：3月15日融资净偿还1094.24万元,天然橡胶网
539,2021-03-15,汽车行业周报：优质零部件止跌回升 财报行情可期,新浪
540,2021-03-15,化工行业周报：美国刺激计划落地+就业向好 复苏预期进一步增强,新浪
541,2021-03-15,申港证券--汽车行业周报：2月汽车产销高增符合预期，复苏持续【行业研究】,金融界股吧
542,2021-03-15,美股“大翻身”，拉动汽车业上市公司一周市值增加近千亿元,搜狐
543,2021-03-15,交易一季报，重视周期回调机会,中信建投证券研究
544,2021-03-12,新能源汽车带火轮胎市场 玲珑轮胎加码布局迎发展机遇,证券日报网
545,2021-03-12,玲珑轮胎(601966.SH)：第一大股东质押854万股,格隆汇
546,2021-03-12,玲珑轮胎：玲珑集团有限公司质押854万股,每日经济新闻
547,2021-03-12,玲珑轮胎发力新能源汽车轮胎市场 助五菱宏光MINI EV拿下全球月度销量冠军,中证网
548,2021-03-12,玲珑轮胎发力新能源车领域 已为30多款新能源车型配套,上证报
549,2021-03-11,全球轮胎品牌价值排行榜—2021,轮胎商业网
550,2021-03-09,上市车企2月产销成绩单靓丽，基本面利好下这些股或受益,第一财经
551,2021-03-09,基础化工行业投资周报：化工行业景气上行 继续推荐氨纶、轮胎、PVA,新浪
552,2021-03-09,基础化工行业周报：化工品涨价仍在途 推荐周期成长龙头,新浪
553,2021-03-09,化工行业周报：基础化工债券周报,新浪
554,2021-03-09,多家车企2月销量同比大增，四条主线掘金板块后市机会,第一财经
555,2021-03-08,玲珑轮胎：公司将根据原材料上涨幅度及时调整产品售价，消化原材料价格上涨的影响,每日经济新闻
556,2021-03-07,玲珑轮胎收到塞尔维亚政府感谢信,轮胎世界网
557,2021-03-06,石油化工新材料行业北上资金周报,新浪
558,2021-03-06,玲珑轮胎的雄心,轮胎商业网
559,2021-03-05,晨会聚焦210305重点关注证券行业、汽车行业、纺织服装双周报、宇通客车,国信研究
560,2021-03-04,十大品牌轮胎店数量对比,轮胎商业网
561,2021-03-03,玲珑轮胎(601966.SH)拟核销680.12万元应收账款坏账 资产异常,格隆汇
562,2021-03-03,玲珑轮胎：核销其他应收账款金额为680.12万元,Wind
563,2021-03-02,2021这些轮胎工厂拔地而起,轮胎商业网
564,2021-03-01,化工周报：本轮化工周期更似07-08年 全球化工制造业基本恢复 坚定看好化工板块行情,新浪
565,2021-03-01,方正证券：三大护城河将使玲珑轮胎成长为国际巨头,中证网
566,2021-03-01,化工行业周报：化工行业景气指数单周大涨6.22%,新浪
567,2021-03-01,基础化工行业周报：化工龙头仍具备极佳配置价值,新浪
568,2021-03-01,汽车行业周报：理想首季实现盈利 大排量摩托销量高增,新浪
569,2021-03-01,中信建投：化工行业一季度季度业绩有望大幅增长，回调正是买入时，无惧调整,证券时报网
570,2021-02-28,石油化工新材料行业北上资金周报,新浪
571,2021-02-28,化工景气指数高涨，Q1业绩有望大幅增长，无惧回调,中信建投证券研究
572,2021-02-27,全球最大轮胎厂一年生产多少轮胎？,轮胎商业网
573,2021-02-26,老记吹“牛”｜信达证券雄文“声泪俱下”；马斯克又公开说事了！,每日经济新闻
574,2021-02-24,基于DDM模型的流动性传导机制：水往何处流 通向股市之路,新浪
575,2021-02-24,化工原料价格上涨 带动多家轮胎企业再调价,新浪
576,2021-02-23,这种原料现货期货价格飙升！上下游“涨”声一片,上证报
577,2021-02-23,中信建投：需求上升库存下降，顺周期配置铜铝,Wind
578,2021-02-23,中信建投：2021年化工行业仍将是供需周期带动景气复苏之年,Wind
579,2021-02-23,消费者亲证！这几个国产轮胎真是好！,轮胎商业网
580,2021-02-22,玲珑轮胎跌近9% 富兰克林国海旗下两基金持股,中国经济网
581,2021-02-22,全力推进“6+6”战略 玲珑轮胎吉林项目正加快建设,证券日报网
582,2021-02-22,化工行业周观点：需求与油价共振 节后化工品价格跳涨,新浪
583,2021-02-22,方正策略：资产价格何时见顶？兼论金融、经济、股市、商品周期,方正证券
584,2021-02-22,国产轮胎企业终于活明白了！,轮胎商业网
585,2021-02-21,周观点 | 巨头入局新品蓄势 电动智能加速发展【华西汽车 崔琰团队】,汽车琰究
586,2021-02-20,上市公司正负面新闻2021年2月20日星期六,Wind
587,2021-02-19,晚间重要公告2021年2月19日星期五,Wind
588,2021-02-19,玲珑轮胎：四位董监高人员减持计划完成，减持股份约25万股,每日经济新闻
589,2021-02-19,玲珑轮胎(601966.SH)：4名董事、高管合计减持24.95万股 减持计划实施完毕,格隆汇
590,2021-02-19,玲珑轮胎：部分董事、高级管理人员集中竞价减持合计0.02%公司股份 减持股份,Wind
591,2021-02-19,快讯：玲珑轮胎跌停报于49.14元,金融界
592,2021-02-19,新零售战略赋能 玲珑轮胎超额完成1月各项销售指标,证券时报
593,2021-02-09,化工板块出黑马！北上资金和机构猛加仓,证券时报网
594,2021-02-09,风口来了？有基金十大重仓股全买化工，开年赚20%,券商中国
595,2021-02-08,汽车行业2月投资策略：量持续增长 电动智能双主线,新浪
596,2021-02-06,深交所主板中小板合并：优化资金入市环境，支持中小企业做优做强,Wind
597,2021-02-05,轮胎股“春季躁动”，成长性公司股价强劲，5家鲁企占板块总市值近9成，券商：龙头受益行业集中度提升,金融界
598,2021-02-05,“牛熊市”继续，低估值银行地产成新风口？,Wind
599,2021-02-04,曾最坚定看好科技股的明星基金经理，加仓这个“冷门”行业,上证报
600,2021-02-04,玲珑轮胎与萨驰智能达成战略合作,轮胎世界网
601,2021-02-04,山东轮胎有多牛？40天股价上涨近90%,天然橡胶网
602,2021-02-03,玲珑轮胎退出400万条轮胎产能,天然橡胶网
603,2021-02-03,2021“开门红”轮胎市场涨声一片,天然橡胶网
604,2021-02-03,玲珑与萨驰签署智能制造全面战略合作协议,中国橡胶网
605,2021-02-03,上市轮胎企业，谁家人均薪酬最高？,轮胎商业网
606,2021-02-02,森麒麟：行业进入黄金盈利期 2021年预计增加580万条轮胎产能,财联社
607,2021-02-02,玲珑轮胎飘移车队获三项冠军,轮胎世界网
608,2021-02-01,煤炭石化行业周报：焦炭现货拐点临近 化纤继续淡季不淡,新浪
609,2021-02-01,化工新材料行业周报：化工品大范围淡季不淡 染料价格底宜重视,新浪
610,2021-01-31,【国金化工】2020Q4化工持仓分析：基金重仓比例继续上行，龙头重仓市值环比大幅提升 (2021-01-31),点石化金
611,2021-01-31,石油石化、基础化工、新材料行业北上资金流向周报,新浪
612,2021-01-31,化工持仓逐季攀升，玉米深加工产业链领涨,中信建投证券研究
613,2021-01-29,抱团松动苗头已现，新能源三剑客周跌超10%,Wind
614,2021-01-29,玲珑轮胎退出160万条标准胎产能,天然橡胶网
615,2021-01-29,2021年中国轮胎制造行业技术现状与发展趋势分析 整体技术达到历史最好水平,前瞻研究院
