,2021-12-31,清远邮银合作打造“惠农专班”促新型经营主体发展 向642户新型农业经营主体发放贷款3.17亿元,和讯
1315,2021-06-18,聚龙股份外币兑换机首次亮相2021西部数博会,上证报
1316,2021-06-18,邮储银行宁波分行 开展征信宣传活动,中国网
1317,2021-06-17,北向资金今日净买入15.94亿元，芯片、消费电子股获资金大幅抢筹,Wind
1318,2021-06-17,商业银行行业：商业银行业日报,新浪
1319,2021-06-16,吉林银保监局：对邮储银行长春卢家街营业所作出行政处罚，罚款20万元 金融监管处罚,Wind
1320,2021-06-16,银行牵手互金平台入局小微贷：助贷机构很强势，不压价就不给量,和讯
1321,2021-06-16,银行板块短线拉升，南京银行涨近3%，江苏银行、邮储银行、长沙银行跟涨。,新浪
1322,2021-06-16,邮储银行长春卢家街营业所被罚20万元：因代客操作购买保险产品 金融监管处罚,新浪
1323,2021-06-16,央行分支机构：强化金融支持 精准帮扶小微企业和个体工商户,新浪
1324,2021-06-15,农行、交行、邮储、兴业出手 挪用贷款被严查 其他违规处罚,新浪
1325,2021-06-15,天喻信息：公司与国内主要国有银行、股份制银行、地方农商行均有合作,Wind
1326,2021-06-15,员工诈骗客户存款532万元 邮储银行吉林分行等被判担责七成 欺诈造假,新浪
1327,2021-06-15,险资一路减持 A股“第一大傻”银行股路在何方？ 减持股份,中新经纬
1328,2021-06-15,分红4900亿！险资却一路减持，银行股路在何方？,Wind
1329,2021-06-15,【奋斗百年路 启航新征程】中国邮政集团有限公司党组书记、董事长刘爱力：全力打造现代化邮政服务体系,经济日报
1330,2021-06-14,真金白银分红4900亿:险资却一路减持 A股“第一傻”工商银行路在何方？|农业银行 减持股份,21世纪经济报道
1331,2021-06-14,真金白银分红4900亿险资却一路减持，萎靡不振的A股“第一大傻”银行股路在何方？ 减持股份,21世纪经济报道
1332,2021-06-11,卖奶茶的中国邮政，还卖过饲料和化肥,新浪
1333,2021-06-11,宁波银保监局：对邮储银行宁波分行作出行政处罚，罚款230万元 金融监管处罚,Wind
1334,2021-06-11,邮储银行宁波分行被罚230万：信贷资金违规流入房市 金融监管处罚,新浪
1335,2021-06-11,邮储银行永州市分行组织开展基金从业专题培训,新浪
1336,2021-06-11,上亿元贷款被套走炒房，一群炒房客栽了！当地房价已5万多，政府出手，有中介丢掉饭碗,每日经济新闻
1337,2021-06-11,邮储银行大连分行扎实服务乡村振兴,中国金融新闻网
1338,2021-06-11,邮储银行新邵县支行联合烟草公司开展“我与客户共成长”培训会,搜狐
1339,2021-06-11,银行股普遍疲软，平安银行跌超3%,Wind
1340,2021-06-11,大面积破净！又一家银行护盘 前五大股东集体行动 增持超5000万元,券商中国
1341,2021-06-11,银行Ⅱ行业：5月信贷社融数据点评：信贷微收 M2 回升,新浪
1342,2021-06-11,大面积破净！青岛农商行护盘 前五大股东集体行动增持超5000万元,券商中国
1343,2021-06-11,总额约4900亿元，上市银行年度分红大戏开锣,Wind
1344,2021-06-10,“金”来大地万象兴 邮储银行湖南省分行助力乡村振兴侧记,中国金融新闻网
1345,2021-06-10,兴业银行等四银行发布公告 规范使用经营用途贷款,新浪
1346,2021-06-10,无还本续贷加科技信用贷 邮储银行上海分行为企业“雪中送炭”,中国金融新闻网
1347,2021-06-10,4家银行因贷款违规流入楼市被罚！房贷集中度考核下 金融监管处罚,中投网
1348,2021-06-10,因个人消费贷款严重违反审慎经营规则，邮储银行北京分行被罚90万 金融监管处罚,中华网
1349,2021-06-10,又有银行出手维稳股价，“护价”行动到底有没有用？,搜狐
1350,2021-06-10,邮储银行积极开展存款保险宣传月活动,搜狐
1351,2021-06-10,4家银行因贷款违规流入楼市被罚！农商行等地方法人银行或面临较大转型压力 金融监管处罚,证券之星
1352,2021-06-10,银行行业-2021年5月金融数据跟踪：社融增速何时见底？,广发证券
1353,2021-06-10,智通港股通资金流向统计(T+2)|6月10日,智通财经
1354,2021-06-10,4家银行因贷款违规流入楼市被罚530万！北京银保监局公布最新阶段性检查成果，依法严肃处罚违法违规行为 金融监管处罚,证券时报
1355,2021-06-09,530万！这4家银行被北京银保监会重罚！发生了什么？ 金融监管处罚,网易
1356,2021-06-09,监管层严查违规资金进楼市，4银行10员工领罚 金融监管处罚,Wind
1357,2021-06-08,个人经营贷严重违规！广发银行等四家银行被北京银保监会重罚 金融监管处罚,新浪
1358,2021-06-08,十家综合性银行财务指标分析和价格乘数一览2021Q1,宏赫臻财
1359,2021-06-08,邮储银行职工监事宋长林离任 谷楠楠接任,中国经济网
1360,2021-06-08,广发银行北京分行等4家银行被罚530万：个人经营贷违规 金融监管处罚,新浪
1361,2021-06-08,北京银保监局：对邮储银行北京分行作出行政处罚，罚款90万元 金融监管处罚,Wind
1362,2021-06-08,北京4家银行因贷款违规入楼市被罚 共计对机构处罚款达530万 金融监管处罚,新浪
1363,2021-06-08,因消费贷、经营贷违规放贷 4家银行遭罚 金融监管处罚,北京商报
1364,2021-06-08,邮储银行北京分行被罚90万：个人消费贷款严重违反审慎经营规则 金融监管处罚,新浪
1365,2021-06-08,北京银保监发布信贷资金违规进入楼市阶段性查处结果：4家银行被罚530万 金融监管处罚,21世纪经济报道
1366,2021-06-08,北京4家银行因贷款违规入楼市被罚，监管已责令相关银行整改 金融监管处罚,Wind
1367,2021-06-08,邮储银行(01658.HK)选举谷楠楠为职工监事,格隆汇
1368,2021-06-08,邮储银行：公司职工监事发生变动,Wind
1369,2021-06-08,商业银行业日报,新浪
1370,2021-06-07,全球缺芯潮愈演愈烈，蔡嵩松、赵诣又赶上风口？,Wind
1371,2021-06-07,邮储银行董事会审议通过提名刘建军为该行执行董事候选人,北京商报
1372,2021-06-07,邮储银行(01658.HK)董事会选举刘建军为执行董事,财华社
1373,2021-06-07,邮储银行：审议及批准选举刘建军先生为本行执行董事,Wind
1374,2021-06-07,上市银行股东频增持 破净率逼近八成,中投网
1375,2021-06-07,银行业周报：存款上限设定机制或有优化 社融增速即将进入平台期,新浪
1376,2021-06-07,邮储银行宁夏分行被罚71.9万元 金融监管处罚,零壹财经
1377,2021-06-07,“一流大型零售银行”愿景能否如愿,中投网
1378,2021-06-07,邮储银行河南省分行“新农直通贷”放款规模全国领先,和讯
1379,2021-06-07,多家上市银行“破净”触发稳定股价措施,Wind
1380,2021-06-07,破净率逼近八成，上市银行股东频增持,Wind
1381,2021-06-07,破净率逼近八成上市银行股东频增持,中证报
1382,2021-06-07,【中信建投银行杨荣】周报259期:《蚂蚁消金获准开业， 涉农贷款预计增加》,eResearch杨荣团队
1383,2021-06-06,东鹏饮料冲击一签赚十万，易中签新股又来了！,Wind
1384,2021-06-06,邮储银行“邮e贴”在滇落地,云南日报
1385,2021-06-05,增持进行时！多家上市银行触发稳定股价措施启动条件,Wind
1386,2021-06-05,进入分红季 +股价“维稳” 银行股投资正当时,财富动力网
1387,2021-06-04,银行行业：5月信贷投放会好转吗？,新浪
1388,2021-06-04,银行行业2021年5月社融前瞻：预计社融增速11.1%,广发证券
1389,2021-06-04,券商首次关注3股并给予买入评级（6月4日）,Wind
1390,2021-06-04,摩根大通已申请全资控股合资券商,Wind
1391,2021-06-03,魏强就任邮储银行(601658.SH)非执行董事,智通财经
1392,2021-06-03,中国银保监会核准魏强担任邮储银行(01658.HK)非执行董事,财华社
1393,2021-06-03,邮储银行：魏强担任本行非执行董事任职资格获中国银保监会核准,Wind
1394,2021-06-03,邮储银行(01658)：银保监会核准魏强任非执行董事,智通财经
1395,2021-06-03,邮储银行(01658.HK)：魏强董事任职资格获中国银保监会核准,格隆汇
1396,2021-06-03,华安证券首予邮储银行买入评级：变革于万家灯火，合理价6.91-8.34元,每日经济新闻
1397,2021-06-03,华安证券：邮储银行（601658.SH）拥有清晰定位的零售银行，首予“买入”评级,智通财经
1398,2021-06-03,“信用村”里有了数字人民币,证券导报
1399,2021-06-03,21股获券商买入评级，新城控股目标涨幅达56.36%,Wind
1400,2021-06-02,央行银川中心支行：对邮储银行宁夏回族自治区分行作出行政处罚，罚款71.9万元 金融监管处罚,Wind
1401,2021-06-02,银行资产质量哪家强？最新榜单来了,证券之星
1402,2021-06-02,统筹安全与发展：多家银行新核心选择神州信息,搜狐
1403,2021-06-02,六项违规！中国邮储银行宁夏区分行被罚71.9万元 金融监管处罚,新浪
1404,2021-06-01,大行迎新！新行长不从该行领薪酬！,丁丁创e
1405,2021-06-01,邮储银行行长敲定 六大国有银行行长齐了,新浪
1406,2021-06-01,招行老将刘建军履新邮储银行行长 2020年年薪306万持有招行24万股,长江商报
1407,2021-06-01,招行老将刘建军履新邮储银行行长 新零售转型或将提速,华夏时报
1408,2021-06-01,浙商证券维持邮储银行买入评级，邮储银行2021年一季报点评：财富收入高增，资产质量优异,每日经济新闻
1409,2021-06-01,浙商证券：邮储银行（601658.SH）21年Q1财富收入高增，目标价7.00元，给予“买入”评级,智通财经
1410,2021-06-01,邮储银行迎新行长：“零售老兵”原招行副行长刘建军上任，六大行行长终补齐,搜狐
1411,2021-06-01,邮储银行迎来“新行长”刘建军，此前曾任招行副行长,资本邦
1412,2021-06-01,邮储银行金融产品再创新为小微企业发展添活力,红网
1413,2021-06-01,刘建军拟任邮储银行行长,中国经济网
1414,2021-06-01,万亿大行将迎新行长！招行副行长刘建军调任邮储银行,华尔街见闻
1415,2021-06-01,【中原银行】银行行业月报：板块表现随大市回暖，社融与M2继续回落,中原证券研究所
1416,2021-06-01,资讯速览|邮储银行行长人选落定；银行保险机构董事监事履职评价办法出炉,搜狐
1417,2021-05-31,招行原副行长刘建军出任邮储银行行长 六大行行长已配齐,每日经济新闻
1418,2021-05-31,邮储银行发公告“迎”新行长，“一流大型零售银行”愿景能否如愿,新京报
1419,2021-05-31,邮储银行：委任刘建军为行长,Wind
1420,2021-05-31,邮储银行公布行长人选 招行前副行长刘建军出任,新浪
1421,2021-05-31,刘建军拟出任邮储银行行长 但不从邮储领取薪酬,21世纪经济报道
1422,2021-05-31,邮储银行聘任刘建军为行长，六大行行长均已补齐,证券时报
1423,2021-05-31,邮储银行(01658)：刘建军获提名为执行董事候选人,智通财经
1424,2021-05-31,快讯 | 邮储银行：聘任刘建军担任行长,财经网
1425,2021-05-31,财联社5月31日讯，邮储银行公告，董事会审议通过关于聘任刘建军先生为中国邮政储蓄银行行长的议案等。,财联社
1426,2021-05-31,邮储银行上海分行推出线上票据贴现产品“邮e贴”,经济日报
1427,2021-05-31,供职20年招行董秘刘建军辞职 或将履新邮储银行行长 董监高成员变化,长江商报
1428,2021-05-31,招商银行高管调整，分管零售业务副行长刘建军转战邮储银行 董监高成员变化,时代周报
1429,2021-05-31,又一家大银行将迎来新行长 招行副行长将调任邮储银行,腾讯网
1430,2021-05-31,精准发力 徐州政银企合力破解融资难题,中华工商时报
1431,2021-05-31,招行总行副行长刘建军将调任邮储银行行长 他是什么来头呢？,新浪
1432,2021-05-30,【兴证金融 傅慧芳】银行业周报（2021.05.24-2021.05.30）理财销售新规推动产品形态转型，料5月信贷供需恢复,兴证金融
1433,2021-05-30,银行行业周报：理财销售新规推动产品形态转型 料5月信贷供需恢复,新浪
1434,2021-05-29,招行副行长刘建军拟任12万亿国有大行行长,Wind
1435,2021-05-29,我国6大国有银行，哪一家存款“利率”最高，“安全性”最好？,搜狐
1436,2021-05-29,博时基金管理有限公司关于直销网上交易开通邮储银行快捷开户和支付服务及费率优惠的公告,证券时报
1437,2021-05-28,厉害了：招商银行董秘辞职 拟任邮储银行行长 董监高成员变化,新浪
1438,2021-05-28,招商银行副行长兼董秘刘建军辞职 或赴邮储银行 董监高成员变化,上证报
1439,2021-05-28,招行副行长刘建军拟履新邮储银行行长,21世纪经济报道
1440,2021-05-28,公募REITs，要不要打新？简评隆基股份、三一重工、招商银行,证券之星
1441,2021-05-28,银行股午后走强 邮储银行涨超5%,e公司
1442,2021-05-28,【行情】银行股午后集体走高，邮储银行涨近6%，厦门银行涨超4%，青农商行、兴业银行、招商银行等跟涨,金十数据
1443,2021-05-28,港股异动 | 内银股持续走高 浙商银行(02016)涨超8% 邮储银行(01658)涨近5%,智通财经
1444,2021-05-28,快讯：内银股集体走高 浙商银行涨近9%邮储银行涨近5%,新浪
1445,2021-05-28,【行情】港股银行板块持续走高，浙商银行涨8.7%，邮储银行涨超5%，汇丰控股涨3.6%，恒生银行涨3%，招商银行、渣打集团、建设银行均涨近2%,金十数据
1446,2021-05-28,【异动股】邮储银行(01658.HK)涨3.35%,财华社
1447,2021-05-28,金融观察|科技赋能打造“不一样的邮储银行”,21经济网
1448,2021-05-28,邮储银行涨近3% 现报5.53港元,新浪
1449,2021-05-28,招行零售老将刘建军即将出任邮储银行行长,Wind
1450,2021-05-28,招行零售老将“转会”！55岁刘建军即将出任邮储银行行长,证券时报
1451,2021-05-28,邮储银行：深耕“三农”领域 全力服务乡村振兴,中国金融新闻网
1452,2021-05-27,55岁招行老将刘建军或履新邮储银行行长 国有六大行行长全部补齐,新浪
1453,2021-05-27,信用“贷”来强动能 邮储银行海口市分行“信用村”建设助力乡村振兴,中国金融新闻网
1454,2021-05-27,哪些行业不良贷款率高？,岳读债市
1455,2021-05-27,策略专题报告：“百周年”行情电话会议纪要,新浪
1456,2021-05-27,【硬核早报】机构高呼“献礼行情”带来做多窗口！六大风口来袭，白酒好戏刚刚拉开大幕，看好银行股超额收益,新浪
1457,2021-05-27,邮储银行：数字化转型加速提升普惠金融服务质效,中国金融新闻网
1458,2021-05-27,东亚前海银行：乡村振兴吹响号角，涉农企业加速上市,新浪
1459,2021-05-27,助力马拉松赛 开拓全新形式 邮储银行消保宣传“跑出新速度”,北京青年报
1460,2021-05-26,邮储银行将于9月27日派发境外优先股股息3.625亿美元,新浪
1461,2021-05-26,邮储银行：日常关联交易,和讯
1462,2021-05-26,邮储银行(01658.HK)拟9月27日派发境外优先股股息,格隆汇
1463,2021-05-26,邮储银行：拟于2021年9月27日派发境外优先股股息,Wind
1464,2021-05-26,邮储银行(601658.SH)将派发境外优先股股息 股权登记日为9月26日,智通财经
1465,2021-05-26,邮储银行(601658.SH)将于9月27日发放境外优先股股息,格隆汇
1466,2021-05-26,客户主动为邮储银行打call——记一次95580的特别来电,金融投资报
1467,2021-05-26,【行情】银行股集体拉升，厦门银行一度涨超7%，江苏银行、成都银行、邮储银行、苏州银行等纷纷走强,金十数据
1468,2021-05-26,A股异动丨邮储银行(601658.SH)大涨逾5%控股股东邮政集团拟增持不少于5000万元A股,格隆汇
1469,2021-05-26,银行股稳步攀升，邮储银行、厦门银行涨超4%,Wind
1470,2021-05-26,邮储银行安徽分行超8亿元贷款助种粮大户及农村产业带头人春耕备耕,证券时报网
1471,2021-05-26,拥抱数字变革，邮储银行打造智慧型“新零售”银行,21世纪经济报道
1472,2021-05-26,邮储银行多措并举深化小微金融服务,中国金融新闻网
1473,2021-05-25,邮储银行伊犁分行开辟“党建+金融”服务乡村振兴新路径,中国金融新闻网
1474,2021-05-25,邮储银行再启稳定股价方案：邮政集团出资5000万护航，上市至今增持出资超48亿,搜狐
1475,2021-05-25,智通港股研报精读(05.25) | 重点关注证券和银行板块龙头,智通财经
1476,2021-05-25,助力邮储银行 聚龙股份协同推进“十四运”支付服务环境建设,上证报
1477,2021-05-25,财信证券--银行业：信贷投放常态化，存款增速下行【行业研究】,金融界股吧
1478,2021-05-25,快讯：内银股持续走高 招商银行涨超5%邮储银行涨超4%,新浪
1479,2021-05-25,【行情】港股银行股持续走高，招商银行、渤海银行涨约4.5%，邮储银行涨3.7%，光大银行涨1.5%，工商银行、农业银行涨近1%,金十数据
1480,2021-05-25,【异动股】邮储银行(01658.HK)涨3.16%,财华社
1481,2021-05-25,邮储银行黄冈市浠水县支行践行普惠金融服务县域经济,搜狐
1482,2021-05-25,首家大行“维稳”！邮储银行触发股价稳定条件，大股东增持！仍有八成银行破净,证券时报
1483,2021-05-25,邮储银行：邮储集团拟增持不少于5000万元用以稳定该行股价,资本邦
1484,2021-05-25,每日财报|邮储银行大股东增持维稳股价塞力医疗股东减持,搜狐
1485,2021-05-25,邮储银行(01658.HK)拟透过母企增持稳定股价,财华社
1486,2021-05-24,晚间重要公告2021年5月24日星期一,Wind
1487,2021-05-24,邮储银行发布稳定股价方案 邮政集团拟以不少于5000万元增持,北京商报
1488,2021-05-24,邮储银行(01658)：大股东拟不少于5000万元增持公司A股,智通财经
1489,2021-05-24,晚间公告丨5月24日这些公告有看头,第一财经
1490,2021-05-24,邮储银行(601658.SH)：控股股东拟增持不少于5000万元A股,格隆汇
1491,2021-05-24,邮储银行(601658.SH)控股股东拟以不少于5000万元增持公司A股股份,智通财经
1492,2021-05-24,邮储银行：邮政集团拟不少于5000万元增持股份,财联社
1493,2021-05-24,邮储银行：邮政集团拟以不少于5000万元增持本行股份,Wind
1494,2021-05-24,银行：净利润改善预期的不断验证与强化,财富动力网
1495,2021-05-23,【中信建投银行杨荣】周报257期:《从招行升级“财富开放平台”谈起》,eResearch杨荣团队
1496,2021-05-23,中基协公募基金销售保有量点评：谁在争夺银行的基金代销蛋糕,招商银行
1497,2021-05-22,银行行业一周净流出资金70.12亿元，14股净流出资金超亿元,证券时报网
1498,2021-05-21,邮储银行发挥自身金融服务优势助力建设壮美广西,中国金融新闻网
1499,2021-05-21,工商银行动真格了，掀起信用卡降额风暴,腾讯网
1500,2021-05-20,银行板块逆市涨近1%10只个股最新市净率仍低于0.6倍,第一财经
1501,2021-05-20,邮储银行数字人民币走进海南澄迈福山镇,证券导报
1502,2021-05-20,财信证券银行业2021年5月月度报告：信贷投放常态化，存款增速下行,财信证券研究
1503,2021-05-19,吉林银保监局：对邮储银行吉林市分行作出行政处罚，罚款30万元 金融监管处罚,Wind
1504,2021-05-19,兴业银行放量大跌超5%，招行、邮储银行、平安银行、浦发银行跟随下滑,Wind
1505,2021-05-19,邮储银行吉林市分行被罚30万元：贷款管理不尽职 金融监管处罚,腾讯网
1506,2021-05-19,邮储银行楚雄州分行“输血”民生重点项目工程,中国金融新闻网
1507,2021-05-19,民生银行15位高管斥资千万买自家股票，所为何因？,Wind
1508,2021-05-19,邮储银行天津分行送专属金融服务到小微企业家门口,搜狐
1509,2021-05-18,四川眉山一大爷8万货款因火灾被烧 邮储银行兑换残损币 安全事故,中新网
1510,2021-05-18,深度*行业*银行业周报：行业基本面改善 社融增速下行,新浪
1511,2021-05-18,邮储银行正式签署采纳《负责任银行原则》,新浪
1512,2021-05-18,仅仅参与发红包，亚联发展就迎来3个交易日涨停！数字人民币对支付机构到底有何魔力？,华夏时报
1513,2021-05-18,邮储银行眉山市分行帮助残疾老人兑换火烧残损币挽回损失,金融投资报
1514,2021-05-18,中国人寿再出手减持杭州银行不超过1%股权，30日内减持农行H股套现超1.8亿港元 减持股份,搜狐
1515,2021-05-18,邮储银行张金良：发挥基层金融服务优势，助力全面推进乡村振兴,证券时报网
1516,2021-05-18,邮储银行陕西省分行：金融科技创新取得新进展,中国金融新闻网
1517,2021-05-18,又有险资减持这一板块 张坤、朱少醒、谢治宇等却在加仓 什么信号？ 减持股份,券商中国
1518,2021-05-18,又一险资减持银行股，公募基金却在加仓，什么信号？,Wind
1519,2021-05-18,"又一险资减持银行股，兑现收益""落袋为安""？公募基金却在加仓，什么信号？ 减持股份",券商中国
1520,2021-05-18,"中国人寿减持银行股：兑现收益""落袋为安"" 公募基金却在加仓？ 减持股份",券商中国
1521,2021-05-17,银行行业周报：珍惜货币政策稳定性背景下的银行稳定发展预期,华福证券有限责任公司
1522,2021-05-17,通化银保监局：对邮储银行梅河口市支行作出行政处罚，罚款25万元 金融监管处罚,Wind
1523,2021-05-17,助力乡村振兴触达“最后一公里”,经济日报
1524,2021-05-16,银行多费心客户省成本,云南日报
1525,2021-05-16,周末证券|白酒医药大金融要买先看“性价比”,金融投资报
1526,2021-05-15,2021商业银行坏账报告：1.7万亿不良 工农中建四大行金额居首 资产异常,新浪
1527,2021-05-15,核心资产板块呈现分化走势 逢低关注白酒、医药、大金融,金融投资报
1528,2021-05-14,两家银行发布经营贷用途限定公告,中国银行保险报
1529,2021-05-14,非银金融2021Q1基金代销机构保有量点评：基金销售行业格局全披露 招行、东财的财富管理龙头优势显着,新浪
1530,2021-05-14,邮储银行(601658)年报点评报告：核心管理层优秀 发展潜力大,新浪
1531,2021-05-14,天风证券维持邮储银行买入评级：核心管理层优秀，发展潜力大,每日经济新闻
1532,2021-05-14,天风证券：邮储银行（601658.SH）核心管理层优秀，维持“买入”评级,智通财经
1533,2021-05-14,细节处见真功夫 邮储银行陕西宝鸡分行深化金融服务小记,中国金融新闻网
1534,2021-05-14,四川大爷翻出10年前存折却不能取钱 邮储银行相关人士表示积极核查情况,新浪
1535,2021-05-14,吕家进任兴业银行党委书记 曾在建行、交行担任副行长,GPLP犀牛财经
1536,2021-05-14,券商晨会精华：未来货币环境对A股扰动不大 银行板块被扎堆看好,财联社
1537,2021-05-13,亚联发展回复关注函：开店宝科技暂不具备数字人民币交易全面受理能力 关注函,Wind
1538,2021-05-13,六大行2021年首季净利增速排名：邮储领先建行第二,中国经济网
1539,2021-05-13,银行行业点评：社融增速继续回落 企业中长期贷款需求旺盛,新浪
1540,2021-05-13,“老邮政”吕家进执掌兴业银行 “商行+投行”大战略或将提速,华夏时报
1541,2021-05-13,邮储银行部署服务乡村振兴和推进普惠金融工作,中国金融新闻网
1542,2021-05-13,银行理财子权益产品一季度维持高仓位运作,Wind
1543,2021-05-12,8万亿股份行迎新掌门人：原建行副行长吕家进任兴业银行党委书记,每日经济新闻
1544,2021-05-12,兴业银行今迎新帅！52岁吕家进续写金融职业的精彩,新浪
1545,2021-05-12,一季度银行业监管数据点评：净利润增速由负转正 资产质量在持续改善,新浪
1546,2021-05-12,兴业银行新掌门吕家进：将纵深推进“1234”战略，抓好绿色银行、财富银行建设,零壹财经
1547,2021-05-12,六大行制造业贷款共计6.8万亿 支持制造业谁最卖力？,和讯
1548,2021-05-12,兴业银行迎来新掌门 此前为建行副行长,中新经纬
1549,2021-05-12,长亮科技(300348)：大行业务覆盖不断拓展 大数据类业务表现亮眼,新浪
1550,2021-05-12,长亮科技(300348)2020年年报及2021年一季报点评-进阶大行推进海外 坚持创新着眼长期,新浪
1551,2021-05-12,不仅是炒作对象，今年全球近50家机构使用虚拟货币,Wind
1552,2021-05-12,银行股回暖？张坤谢治宇都在买，国家队、险资却撤离,Wind
1553,2021-05-12,原建行副行长吕家进任兴业银行党委书记，此前掌门人一职已空缺近2年,资本邦
1554,2021-05-12,兴业银行将迎新董事长,Bank资管
1555,2021-05-12,8万亿资产银行大事件！新任党委书记亮相，曾是邮储银行上市灵魂人物,中证报
1556,2021-05-12,张坤、谢治宇都在买 国家队、险资却撤离！这一板块分歧加大 能否上车？,证券时报
1557,2021-05-12,【异动股】邮储银行(01658.HK)涨3.47%,财华社
1558,2021-05-12,热搜刷屏！财政部突传重磅，房地产税大消息来了！,Wind
1559,2021-05-12,建行副行长吕家进正式执掌兴业银行，私行业务有望独立持牌,券商中国
1560,2021-05-12,一季度业绩增长较快，银行股承蒙明星基金经理抬爱,Wind
1561,2021-05-11,8万亿兴业银行换帅：建行副行长吕家进履新兴业党委书记 董监高成员变化,21世纪经济报道
1562,2021-05-11,53岁建行副行长吕家进担任兴业银行党委书记,澎湃新闻
1563,2021-05-11,银保监会：一季度末我国银行业金融机构本外币资产同比增长9%,Wind
1564,2021-05-11,30家资产过万亿银行员工分布及人均薪酬指标一览（2020版）,新浪
1565,2021-05-11,绿色金融让南平山更青水更绿,中保网
1566,2021-05-11,天风证券：跨境理财通试点实施细则出炉，大湾区内具备理财业务优势的银行更加受益,证券时报网
1567,2021-05-10,银行周报255期：银行年报综述之零售业务篇,新浪
1568,2021-05-10,邮储银行阿克苏市解放路支行被罚40万：信贷管理不到位 金融监管处罚,新浪
1569,2021-05-10,绿金新闻 | 邮储银行：服务构建新发展格局 助力实体经济高质量发展,中央财经大学绿色金融国际研究院
1570,2021-05-10,阿克苏银保监局：对中邮储银行阿克苏市解放路支行作出行政处罚，罚款40万元 金融监管处罚,Wind
1571,2021-05-10,中银证券维持邮储银行增持评级：息差环比走阔，资产质量领先同业,每日经济新闻
1572,2021-05-10,邮储银行国债下乡惠民利农 助力乡村振兴战略,海南在线
1573,2021-05-10,银行行业点评：“跨境理财通”试点实施细则出炉 年内有望落地,新浪
1574,2021-05-10,打造核心竞争力 银行经营转型亮点纷呈,金融时报
1575,2021-05-10,邮储银行嘉祥县支行“行长访厂长”，缓解融资难题,搜狐
1576,2021-05-10,质效齐增 六大银行实现“开门红”,金融时报
1577,2021-05-10,五年期年利率3.97%，四家银行试水手机购买国债,Wind
1578,2021-05-09,明日开售！储蓄国债可以用手机买了，四家银行率先“试水”,Wind
1579,2021-05-09,上新！数字人民币公测升级，网商银行（支付宝）正式入列,Wind
1580,2021-05-09,【兴证计算机】3月底部重推的云计算基本面近况如何?,兴业计算机团队
1581,2021-05-09,邮储银行部署服务乡村振兴和推进普惠金融工作,财经网
1582,2021-05-09,两连板亚联发展：下属公司在数字人民币运营活动领域方面相关合作对公司业绩无重大影响,Wind
1583,2021-05-09,深度*公司*邮储银行(601658)：息差环比走阔 资产质量领先同业,新浪
1584,2021-05-09,又见银行理财产品提前终止，净值化转型压力有多大？,Wind
1585,2021-05-09,存银行不如买银行！38家A股银行派现4900亿,Wind
1586,2021-05-08,工信部、中国人民大学和邮储银行共建成立“中国人民大学国家中小企业研究院”,中国网
1587,2021-05-08,晋城银保监局：对邮储银行晋城市分行作出行政处罚，罚款20万元 金融监管处罚,Wind
1588,2021-05-08,事关每个人借记卡！6大国有行清理“睡眠账户”,Wind
1589,2021-05-08,【抢占财富高地】挖掘6亿潜在客户、深耕三四线城市邮储银行突围财富管理,经济观察报
1590,2021-05-08,银行手续费及佣金净收入获益大增 25万亿理财转型提速,新浪
1591,2021-05-08,耶伦加息言论引市场巨震 银行股再获机构青睐,新浪
1592,2021-05-07,全景互动周报：“疫苗”、“碳中和”及“数字货币”概念本周最受关注,全景网
1593,2021-05-07,盈利估值双保障，一季报业绩成催化，银行板块有望迎来新一轮估值修复,证券之星
1594,2021-05-07,【行情】港股内银股普涨，招商银行涨2.1%，建设银行、邮储银行涨0.8%，工商银行、交通银行涨0.6%,金十数据
1595,2021-05-07,A股上市银行交出的今年一季度成绩单显示，业绩明显回暖，在盈利持续增长的同时，资产质量得到较大改善。,证券日报
1596,2021-05-07,发放2000万元抗疫专项贷款,云南日报
1597,2021-05-07,上市银行不良生成率有望下降,Wind
1598,2021-05-07,上市银行一季度业绩回暖明显 拨备计提压力减缓促利润提升,证券日报
1599,2021-05-06,2078亿！银行大手笔“下注”，六大行占比过半！,丁丁创e
1600,2021-05-06,银行业周报：资产质量持续向好 业绩分化趋势明显,渤海证券
1601,2021-05-06,亮点纷呈：邮储银行发布2021年一季报,中国金融杂志
1602,2021-05-06,每天净赚36.87亿元，6家国有大行一季度加起来赚了3318亿！北上资金只管来买、买、买！,每日经济新闻
1603,2021-05-06,邮储银行一季度实现净利润213.27亿元,中国金融新闻网
1604,2021-05-06,邮储银行一季度实现净利润213.27亿 不良贷款率0.86%,新浪
1605,2021-05-06,六大行一季度日赚36.87亿元 四家资产质量变好,第一财经日报
1606,2021-05-05,全部54家上市银行2020年指标排名大全,搜狐
1607,2021-05-05,六大行一季度日赚36.87亿，今年资产负债结构调整是重点,第一财经
1608,2021-05-05,平均日赚36.87亿！六家国有大行一季度合计盈利3318亿元,每日经济新闻
1609,2021-05-05,又有银行上调房贷利率,Bank资管
1610,2021-05-05,【异动股】邮储银行(01658.HK)涨3.33%,财华社
1611,2021-05-04,摩根大通下调建行、工行、邮储行目标价,Wind
1612,2021-05-04,这一银行加入国有行列，网点数量是工行2倍，光员工就17万人,搜狐
1613,2021-05-03,北向资金4月扫货超520亿元，重点买入这只细分龙头,Wind
