,2021-12-31,国君固收：银行转债的投资策略,Wind
317,2021-07-08,成都银行推出“蓉易汇”特色跨境金融服务品牌,金融投资报
318,2021-07-08,苏宁易购和南京银行违规设立合营企业苏宁消金被罚！ 金融监管处罚,新浪
319,2021-07-08,薛洪言：高管增持股票，银行股值得买入吗？,新浪
320,2021-07-07,最力挺自家银行的高管浮出水面：部分银行“董监高”半年买了2500万元 不仅仅是履行义务,新浪
321,2021-07-07,成都银行上市三年首次迎来实控人 成都交子金控集团将申请金融控股牌照,华夏时报
322,2021-07-07,成都银行大宗交易成交1953.00万元,证券时报网
323,2021-07-07,"成都银行现1笔大宗交易 共成交1,953.00万元",新浪
324,2021-07-07,成都银行今日大宗交易成交150万股，成交价13.02元折价4.96%,Wind
325,2021-07-07,北向资金今日净买入43.72亿元，新能源产业链获外资疯狂抢筹,Wind
326,2021-07-07,高管纷纷解囊护股价，银行股飘红，8月银行中报行情提前启动？,时代周报
327,2021-07-06,银行周榜 | 成都银行惊艳四座；四川天府银行一举夺魁,中国银行保险报
328,2021-07-06,银行板块持续拉升，苏州银行涨近4%，成都银行、兴业银行、苏农银行跟涨。,新浪
329,2021-07-06,银行股上半年大分化：16只上涨，厦门银行跌超30%,Wind
330,2021-07-05,排名217上升37位 成都银行跻身全球1000强银行榜单,上证报
331,2021-07-05,银行股早盘持续走低，瑞丰银行再度跌停，平安银行、成都银行、招商银行、宁波银 连续下跌,新浪
332,2021-07-05,上升37位！成都银行跻身全球1000强银行榜单217位,金融投资报
333,2021-07-03,基金经理“开怼”地产分析师？景顺长城韩文强重仓地产股业绩垫底,第一财经
334,2021-07-02,2021年7月银行业投资策略：中报业绩向好有望催化行情,新浪
335,2021-07-02,银行业2021年中期策略：景气度全面回升,新浪
336,2021-07-02,机构看好银行股结构性机会,Wind
337,2021-07-01,深度*行业*银行业周报：6月LPR报价持平 关联交易管理文件落地,新浪
338,2021-07-01,2021年银行业中期策略报告：基本面现拐点 迎最佳配置窗口,新浪
339,2021-06-30,成都农商行行长上任年考：股权多次拍卖，挥别安邦系利润下滑两成 司法拍卖,每日财报
340,2021-06-29,成都农商行行长上任周年考：股权多次拍卖，挥别安邦系利润下滑两成 司法拍卖,搜狐
341,2021-06-29,板块涨幅逾6%，银行股下半年或有超额收益机会,Wind
342,2021-06-28,成都银行旗下锦程消费金融3.55%股权遭拍卖：去年净利下滑27%，原持有方遭清盘 盈利能力下降,搜狐
343,2021-06-28,江苏银行(600919)：深耕长三角 志在头部银行,新浪
344,2021-06-28,A股市场破净股一览（6月28日）,Wind
345,2021-06-28,银行行业周报：减费让利降企业成本 银保关联交易迎强监管,新浪
346,2021-06-28,"【招商证券深度】江苏银行——深耕长三角,志在头部银行",志明看金融
347,2021-06-27,【兴证银行 傅慧芳/陈绍兴】银行业周报（20210621-20210627）存款定价新机制正式开启，下半年继续看好银行表现,兴证金融
348,2021-06-26,"银行二季度发债规模创新高，什么信号？中小行密集""补血""，永续债发行升温",Wind
349,2021-06-25,快讯｜成都银行：国有股权无偿划转事项获成都市国资委同意 资产异常,财经网
350,2021-06-25,股权无偿划转 成都银行“无主”状态变更 资产异常,长江商报
351,2021-06-25,商业银行行业：商业银行业日报,新浪
352,2021-06-25,成都银行大股东交子金控申请金控牌照 股份划转成都市国资委将入主 减持股份,长江商报
353,2021-06-24,企业观｜接盘成都农商行之后 成都市国资委又将成为成都银行实控人！ 控制人变化,财经网
354,2021-06-24,重磅！7000亿成都银行或将迎来控股股东！,新浪
355,2021-06-24,四川金顶(600678.SH)：顺采矿业拟申请银行贷款350万元 为补充流动资金,格隆汇
356,2021-06-24,A股收盘综述：科技股集体回调，市场连续5日成交破万亿,Wind
357,2021-06-24,成都银行实控人拟变更为成都市国资委，或将告别无实控人状态 控制人变化,资本邦
358,2021-06-23,6月24日上市公司重要公告集锦：中国中免发行H股申请材料获证监会受理,证券日报之声
359,2021-06-23,这些银行偏爱房地产贷款！,新浪
360,2021-06-23,成都交子金控集团拟申请金控牌照 刚刚晋升成都银行控股股东,证券时报网
361,2021-06-23,晚间重要公告2021年6月23日星期三,Wind
362,2021-06-23,成都银行(601838.SH)实控人拟变更为成都市国资委 控制人变化,智通财经
363,2021-06-23,成都银行：控股股东拟变更为交子金控 控制人变化,每日经济新闻
364,2021-06-23,成都银行：公司实际控制人拟变更为成都市国资委 控制人变化,财联社
365,2021-06-23,成都银行：成都市国资委将成为成都银行实际控制人 控制人变化,Wind
366,2021-06-22,超500家机构光顾，14家银行迎密集调研,Wind
367,2021-06-22,成都银行收报13.21元涨5.2% 总市值477.2亿元,乐居财经
368,2021-06-22,A股收盘综述：医药龙头午后爆发，采掘、银行全天强势,Wind
369,2021-06-22,A股午盘综述：沪弱深强格局扭转，银行、油服携手大涨,Wind
370,2021-06-22,成都银行股价涨5.0% 现报13.19元,乐居财经
371,2021-06-22,银行股集体回暖，成都银行大涨5%,Wind
372,2021-06-22,【行情】银行板块异动拉升，齐鲁银行涨超7%，南京银行、成都银行、江苏银行跟涨,金十数据
373,2021-06-22,银行周报：解读存款自律机制与国常会减费要求,新浪
374,2021-06-21,成都银行(601838.SH)：2020年度权益分派10派4.6元股权登记日6月25日,格隆汇
375,2021-06-21,成都银行(601838.SH)每股派0.46元 股权登记日为6月25日,智通财经
376,2021-06-21,今年有望成为银行可转债发行大年,Wind
377,2021-06-17,中签结果出炉！创下多项纪录，银行发行可转债势头重燃,Wind
378,2021-06-15,南京银行：“南银转债”网上中签率为0.0291%,Wind
379,2021-06-08,A股融资融券日报：两融余额增加70.11亿元（6月7日）,Wind
380,2021-06-07,成都银行今日大宗交易成交200万股，成交价13.17元折价4.91%,Wind
381,2021-06-07,银行业周报：存款上限设定机制或有优化 社融增速即将进入平台期,新浪
382,2021-06-07,银行业周报：银行做零售好在哪里？,新浪
383,2021-06-07,银行行业周报：存款利率市场化改革深入 金控公司申设获受理,新浪
384,2021-06-07,【中信建投银行杨荣】周报259期:《蚂蚁消金获准开业， 涉农贷款预计增加》,eResearch杨荣团队
385,2021-06-06,银行2021年中期策略：把握业绩的确定性 关注北上资金大幅流入,新浪
386,2021-06-05,增持进行时！多家上市银行触发稳定股价措施启动条件,Wind
387,2021-06-05,进入分红季 +股价“维稳” 银行股投资正当时,财富动力网
388,2021-06-04,银行股午后快速拉升，机构认为板块估值处于低水平，配置价值凸显,第一财经
389,2021-06-04,平安银行、招商银行、成都银行均涨超4%，上证指数涨近1%,Wind
390,2021-06-04,【行情】银行股午后拉升，平安银行、成都银行涨超4%，南京银行、宁波银行、兴业银行、杭州银行等集体走强,金十数据
391,2021-06-04,银行股午前异动，平安银行涨超3%,Wind
392,2021-06-02,2021年6月银行业投资策略：不良生成有望边际改善,新浪
393,2021-06-02,成都银行今日大宗交易成交250万股，成交价12.92元折价6.24%,Wind
394,2021-06-02,新高在即减持加码，82公司5月净减持超亿元,Wind
395,2021-06-02,A股融资融券日报：两融余额增加83.42亿元（6月1日）,Wind
396,2021-06-01,成都银行今日大宗交易成交330万股，成交价12.82元折价5.74%,Wind
397,2021-06-01,A股融资融券日报：两融余额增加114.99亿元（5月31日）,Wind
398,2021-05-31,A股共发生136宗大宗交易成交25.81亿元（5月31日）,Wind
399,2021-05-31,成都银行今日大宗交易成交69万股，成交价12.82元折价4.97%,Wind
400,2021-05-31,成都银行：渤海基金累计减持3612.25万股，减持期已过半 减持股份,资本邦
401,2021-05-31,直击股东会|成都银行加码大零售改革 80亿可转债计划获得通过,财联社
402,2021-05-28,成都银行：渤海产业投资基金管理有限公司累计减持1%股份 减持股份,Wind
403,2021-05-28,成都银行：股东渤海基金已集中竞价减持股份约3612.25万股 减持股份,北京商报
404,2021-05-28,成都银行(601838.SH)：渤海基金减持过半累计减持1%股份 减持股份,格隆汇
405,2021-05-28,国信证券金股推荐：2021年6月各行业金股推荐汇总,新浪
406,2021-05-27,成都银行今日大宗交易成交100万股，成交价12.66元折价4.74%,Wind
407,2021-05-27,解盘：超百亿资金流入，光刻胶、半导体、TWS耳机领涨,Wind
408,2021-05-27,哪些行业不良贷款率高？,岳读债市
409,2021-05-27,新发规模逼近千亿元，银行转债价值待挖掘,Wind
410,2021-05-26,农发行成功发行首单支持冷链物流建设主题金融债券,Wind
411,2021-05-26,东吴证券：下半年继续看好银行股上涨行情,证券时报网
412,2021-05-26,【行情】银行股集体拉升，厦门银行一度涨超7%，江苏银行、成都银行、邮储银行、苏州银行等纷纷走强,金十数据
413,2021-05-26,银行股稳步攀升，邮储银行、厦门银行涨超4%,Wind
414,2021-05-26,A股融资融券日报：两融余额增加26.93亿元（5月25日）,Wind
415,2021-05-25,成都银行今日大宗交易成交322万股，成交价12.38元折价6.64%,Wind
416,2021-05-25,银行股走强，行业步入顺周期修复阶段，大行有望受益,第一财经
417,2021-05-25,银行行业投资策略：贷款利率回升 信用成本回落 利润加速增长,新浪
418,2021-05-24,成都银行今日大宗交易成交100万股，成交价12.26元折价4.67%,Wind
419,2021-05-24,国信证券：银行业景气度有望持续回升且板块相对估值仍较低，维持行业“超配”评级,证券时报网
420,2021-05-24,晨会聚焦210524重点关注社会服务、海外银行、传媒、医药、卓胜微,国信研究
421,2021-05-23,【中信建投金融】成都银行：规模、价格、成长、资产质量均有充分保障，重申行业首推,大金融研究
422,2021-05-23,又一批银行可转债计划密集公布，还有这些银行已发行完毕,Wind
423,2021-05-22,海外银行镜鉴系列：详解海外银行手续费收入来源,新浪
424,2021-05-21,成都银行大跌 连续下跌,新浪
425,2021-05-21,成都银行2020年金融投资资产占比逾四成 房地产贷款集中度明显超标,中国网
426,2021-05-21,A股融资融券日报：两融余额增加9.63亿元（5月20日）,Wind
427,2021-05-20,成都银行今日大宗交易成交100万股，成交价12.38元折价6.42%,Wind
428,2021-05-20,金融超市架起“连心桥”党建引领激发“新动能”,成都日报
429,2021-05-20,5月来大宗交易机构活跃度下降,Wind
430,2021-05-19,力挺“护价”上市银行高管、股东频频出手增持,北京商报
431,2021-05-19,成都银行成功办理四川省内首笔区块链平台保单融资业务,上证报
432,2021-05-19,成都银行今日大宗交易成交100万股，成交价12.26元折价4.96%,Wind
433,2021-05-19,"重达2吨 市民搬了座""硬币山""存银行！",金融投资网
434,2021-05-19,四川省内首笔！成都银行成功办理跨境金融区块链服务平台出口信保保单融资业务,金融投资报
435,2021-05-19,四川成都：市民搬了座2吨重的“硬币山”存银行,中新网
436,2021-05-19,中银证券--银行业周报：行业基本面改善，社融增速下行【行业研究】,金融界股吧
437,2021-05-19,重达2吨 市民搬了座“硬币山”存银行！,新浪
438,2021-05-19,银行业2020年报及一季报综述：拨备缓解推动盈利向上,新浪
439,2021-05-18,深度*行业*银行业周报：行业基本面改善 社融增速下行,新浪
440,2021-05-18,银行周报：4月社融数据稳定 息差或将上行,新浪
441,2021-05-17,银行流动性月报：预计5月延续“稳货币信用边际收紧”态势,新浪
442,2021-05-16,成都银行：2020年高质量发展换挡提速 加权平均净资产收益率傲居A股上市银行之首,每日经济新闻
443,2021-05-15,A股上市城商行高管薪酬榜，山东表现如何？,搜狐
444,2021-05-15,ROE行业领先 资产质量优异 成都银行2020年营收净利持续双增,红周刊
445,2021-05-14,A股城商行首季净利增速排名：江苏宁波成都银行领先,中国经济网
446,2021-05-14,成都银行今日大宗交易成交200万股，成交价12.26元折价4.96%,Wind
447,2021-05-14,成都银行：2020“逆势”稳健增长 Q1营收增速A股银行第二,经济观察报
448,2021-05-14,【银行】成都银行—盈利增长亮眼，资产质量优异,中银证券研究
449,2021-05-13,"成都银行现6笔大宗交易 共成交6,185.40万元",新浪
450,2021-05-13,成都银行今日大宗交易成交498.42万股，成交价12.41元折价1.97%,Wind
451,2021-05-13,中银国际：成都银行(601838.SH)信贷增长强劲，维持“增持”评级,智通财经
452,2021-05-13,A股融资融券日报：两融余额增加44.12亿元（5月12日）,Wind
453,2021-05-13,深度*行业*4月金融数据点评：信用供给收紧 实体融资需求旺盛,新浪
454,2021-05-13,深度*公司*成都银行(601838)：盈利增长亮眼 资产质量优异,新浪
455,2021-05-12,2021年一季度银行业主要监管指标点评：银行业景气度持续提升 关注区域经营生态分化,光大证券
456,2021-05-12,银行行业-2021Q1货币政策报告点评：贷款利率回升的结构与趋势展望,新浪
457,2021-05-12,成都银行今日大宗交易成交200万股，成交价12.26元折价4.52%,Wind
458,2021-05-12,逾六成上市银行不良率下降,中国银行保险报
459,2021-05-11,成都银行今日大宗交易成交110万股，成交价12.15元折价5.89%,Wind
460,2021-05-11,A股上市银行中营收增速排名第5，这家城商行如何用科技“托举”业务转型？,中国电子银行网
461,2021-05-11,成都银行业正出现内卷苗头：薪酬委员会 让涨薪来得更猛烈一些吧,新浪
462,2021-05-11,A股融资融券日报：两融余额增加58.16亿元（5月10日）,Wind
463,2021-05-10,东吴策略·掘金月报：四类掘金组合及股票池构建,新浪
464,2021-05-10,成都银行今日大宗交易成交590万股，成交价11.95元折价6.57%,Wind
465,2021-05-10,银行2021Q1金融机构贷款投向数据点评：一季度“天量信贷”流向何处？,新浪
466,2021-05-10,营收出现分化，不良普遍下降：38家上市银行一季度业绩出炉,中国银行保险报
467,2021-05-10,固定收益周报：“守正”易 “出奇”难,新浪
468,2021-05-10,晨会聚焦210510重点关注通信、计算机、保险、钢铁、汽车汽配、社会服务、纺织服装、证券、医药、家电,国信研究
469,2021-05-10,财富管理行业系列专题：美国大型银行财富管理借鉴,国信研究
470,2021-05-10,A股融资融券日报：两融余额减少25.99亿元（5月7日）,Wind
471,2021-05-10,经济日报评论：这些银行缘何“踩线”,Wind
472,2021-05-09,存银行不如买银行！38家A股银行派现4900亿,Wind
473,2021-05-07,成都银行今日大宗交易成交575万股，成交价11.95元折价6.42%,Wind
474,2021-05-07,A股融资融券日报：两融余额增加68.2亿元 5月6日）,Wind
475,2021-05-07,A股早报2021年5月7日星期五,Wind
476,2021-05-07,成都银行跨越三个千亿台阶 金融赋能地方经济发展,21世纪经济报道
477,2021-05-06,银行业周报：资产质量持续向好 业绩分化趋势明显,渤海证券
478,2021-05-06,成都银行今日大宗交易成交1640万股，成交价11.6元折价7.79%,Wind
479,2021-05-06,38家银行赚走A股42%净利，市值却仅有1/8,Wind
480,2021-05-06,A股融资融券日报：两融余额减少152.9亿元（5月5日 ）,Wind
481,2021-05-06,融资客青睐3股，华远地产买入占比高达37.62%,Wind
482,2021-05-05,全部54家上市银行2020年指标排名大全,搜狐
483,2021-05-05,深度｜银行年报&一季报： 个股增速分化源自哪里？增速趋势展望【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
484,2021-05-04,成都银行1Q21点评：盈利增速出色，资产质量持续改善,志明看金融
485,2021-05-01,城商行年报看点：营收、净利增速“下台阶”,经济观察网
486,2021-04-30,成都银行：营收增速“榜眼”，规模扩张“黑马”丨20年报及21年一季报详解,Banking深度
487,2021-04-30,成都银行今日大宗交易成交293万股，成交价11.45元折价4.02%,Wind
488,2021-04-30,半数城商行一季度存款增速低于去年同期 2家银行负增长,21世纪经济报道
489,2021-04-30,成都银行(601838)点评：规模高增、营收再提速 业绩强劲增长,新浪
490,2021-04-30,成都银行4月29日现9笔大宗交易,证券时报网
491,2021-04-29,成都银行今日大宗交易成交660万股，成交价11.45元折价4.02%,Wind
492,2021-04-29,成都银行去年信用减值损失增38% 人均薪酬福利33万元,中国经济网
493,2021-04-29,A股收盘综述：上证指数涨0.52%，医美题材炙手可热,Wind
494,2021-04-29,成都银行总资产已突破7000亿，去年净利润60亿元,搜狐
495,2021-04-29,券商股突然爆发，白酒大跳水！八连板妖股来了,Wind
496,2021-04-29,成都银行2020年净利突破60亿元 2021年一季度净利增长18%,上证报
497,2021-04-29,解盘：资金持续流入，证券、半导体、智能音箱领涨,Wind
498,2021-04-29,A股异动|成都银行(601838.SH)涨逾4%一季度营收、归母净利润增速和资产质量均超预期,格隆汇
499,2021-04-28,成都银行(601838.SH)拟发行不超80亿元A股可转债 用于支持未来各项业务发展,格隆汇
500,2021-04-28,成都银行(601838.SH)2020年度净利润升8.53%至60.25亿元 拟10派4.6元,格隆汇
501,2021-04-28,成都银行(601838.SH)一季度净利润升18.1%至16.69亿元,格隆汇
502,2021-04-28,成都银行(601838.SH)一季度归母净利同比增长18%至16.69亿元,智通财经
503,2021-04-28,成都银行资产规模突破7000亿 不良贷款率创近六年新低,证券时报网
504,2021-04-28,成都银行(601838.SH)年度归母净利同比增长8.53%至60.25亿元 拟10派4.6元,智通财经
505,2021-04-28,快讯 | 成都银行2020年净利润60.25亿元 同比增长8.53%,财经网
506,2021-04-28,成都银行：2020年净利润同比增长8.53%,Wind
507,2021-04-28,成都银行：一季度净利润同比增长18.1%,Wind
508,2021-04-28,成都银行：拟公开发行总额不超80亿元可转债,新浪
509,2021-04-28,成都银行股份有限公司 2021年第一季度报告（上接D171版）,证券日报
510,2021-04-27,银行指数跌0.25% 兴业银行等3股获超1000万元大单抢筹,证券日报网
511,2021-04-27,147股获券商买入评级 中天精装目标涨幅达80.09%,Wind
512,2021-04-27,【招商证券】成都银行——深耕成渝经济圈,志明看金融
513,2021-04-26,成都银行(601838)：深耕成渝经济圈,新浪
514,2021-04-23,A股融资融券日报：两融余额增加33.53亿元（4月22日）,Wind
515,2021-04-16,四川：推动数字化赋能千行百业 打造制造业高质量发展新引擎,中国电子报
516,2021-04-15,成都银行遭减持套现或超24亿，净利增速放缓，个人住房贷款破红线 减持股份,中金在线
517,2021-04-12,银行年报估值扫描：17家报喜 29家破净 2家不足0.5倍,21世纪经济报道
518,2021-04-09,国信证券--银行行业2021年4月银行业投资策略：工业企业偿债能力持续回升【行业研究】,金融界股吧
519,2021-04-08,遭遇减持！成都银行盈利增速放缓 个人住房贷款超标待解 减持股份,投资时报
520,2021-04-07,银行周报：系统重要性银行新规解读,新浪
521,2021-04-07,这家获成都银行金融助力的科技企业2021年销售额有望破亿,金融投资报
522,2021-04-06,银行股回暖，平安银行涨近2%,Wind
523,2021-04-03,四川新网银行业绩大滑坡，“三宗罪”遭监管点名通报 盈利能力下降,时代在线
524,2021-04-02,2021年4月银行业投资策略：工业企业偿债能力持续回升,新浪
525,2021-04-01,山西证券：3月金股组合亏损9.54% 4月荐股名单出炉 亏损,新浪
526,2021-04-01,【山西证券】2021年4月金股,山西证券研究所
527,2021-03-30,成都银行邛崃支行成功堵截一起团伙异常开户,金融投资报
528,2021-03-30,银行股普遍疲软，杭州银行跌近4%,Wind
529,2021-03-30,基于银行视角：从金融数据管窥政策与经济,新浪
530,2021-03-29,银行周报：2021年社融分析要注意什么 大行业绩提振信心,新浪
531,2021-03-29,哈尔滨银行“白领贷”踩监管红线 资产质量问题亟待解决 产品问题,新浪
532,2021-03-29,银行业周报：多政策促改革 经营贷再规范,新浪
533,2021-03-28,银行业：受益于顺周期和紧信用 重申银行估值反转,新浪
534,2021-03-26,四川区域股市周报：总市值跌184亿 32家机构调研云图控股,每日经济新闻
535,2021-03-26,上调评级至买入策略选股（3月26日）,Wind
536,2021-03-25,成都银行与渝农商理财子公司共同发行成渝双城经济圈建设主题理财产品,证券日报网
537,2021-03-25,成都银行(601838)：根植成都 西部优质城商行,新浪
538,2021-03-25,东北证券给予成都银行买入评级，成都银行深度报告：根植成都，西部优质城商行,每日经济新闻
539,2021-03-25,成都银行与渝农商行理财子公司共同发行成渝地区双城经济圈建设主题理财产品,中证网
540,2021-03-25,成都银行与渝农商理财子公司发行成渝双城经济圈主题理财品募资全部投向当地企业债,云掌财经
541,2021-03-23,深度*行业*银行业周报：关注行业年报披露 大行高管人选落定,新浪
542,2021-03-23,银行业：长债利率上行期间的美资大行表现,新浪
543,2021-03-23,银行股发力，成都银行领涨3%,Wind
544,2021-03-23,顺周期属性强化银行股投资机会渐显,Wind
545,2021-03-22,成都银行(601838.SH)：成都交子金控集团完成受让公司1.46%股份,格隆汇
546,2021-03-22,银行周报：信贷数据优秀 招行业绩报喜,新浪
547,2021-03-19,3月19日晚间重要行业研究汇总(附股),中金在线
548,2021-03-19,银行流动性月报：预计3月M2和社融增速回落,新浪
549,2021-03-18,成都银行大股东减持的背后：个人涉房贷款超标8.42% 减持股份,中国经济网
550,2021-03-17,零售业务遇单拐困局2021年收2张罚单成都银行怎么了 金融监管处罚,GPLP犀牛财经
551,2021-03-17,零售业务遇单拐困局 2021年收4张罚单 成都银行怎么了？,GPLP犀牛财经
552,2021-03-16,成都银行今日大宗交易成交400万股，成交价11.65元折价4.98%,Wind
553,2021-03-16,银行股的投资逻辑：为什么我们坚定看好银行股？,新浪
554,2021-03-16,【研报掘金】银行股低估值+基本面拐点向上性价比极高 继续看好板块投资机会,证券时报网
555,2021-03-15,成都银行今日大宗交易成交90万股，成交价11.26元折价4.09%,Wind
556,2021-03-15,金融报道 | 成都银行数据向好背后：第三大股东减持、涉房贷款超标 减持股份,财经网
557,2021-03-13,十家A股上市城商行去年净利增幅均低于10%，宁波银行领跑,澎湃新闻
558,2021-03-12,成都银行三股东刚解禁就欲清仓 减持一个月套现超6亿元 解禁,GPLP犀牛财经
559,2021-03-10,近七成银行股“破净”！众机构直面三大“拷问”,Wind
560,2021-03-09,成都银行欲遭三股东渤海基金清仓 半年内或将套现逾24亿 减持股份,新浪
561,2021-03-08,银行行业报告：基本面有望持续改善 看好板块估值提升,新浪
562,2021-03-08,渤海基金减持成都银行已在路上，若清仓2.4亿股，粗计至少赚16.92亿元 减持股份,金融界
563,2021-03-08,成都银行2020年业绩快报：营业收入实现146亿元，同比增长14.73%,资本邦
564,2021-03-08,成都银行第三大股东减持1.67%股份套现6.5亿，共持6.64%股份计划半年内出清,搜狐
565,2021-03-08,银行行业周报：资产轮动背景下 低估值银行具有比较优势,华福证券有限责任公司
566,2021-03-08,A股融资融券日报：两融余额减少69.43亿元（3月5日）,Wind
567,2021-03-08,25股获券商买入评级，通达股份目标涨幅达66.53%,Wind
568,2021-03-05,银行业2020年报前瞻：预期业绩持续回升,新浪
569,2021-03-05,快讯｜成都银行：渤海基金减持6061万股 占股份总数的1.67% 减持股份,财经网
570,2021-03-05,成都银行(601838.SH)：渤海基金已累计减持6061.3841万股 减持股份,格隆汇
571,2021-03-05,成都银行今日大宗交易成交200万股，成交价11.26元折价4.09%,Wind
572,2021-03-05,【银行视点】55岁肖远企升任银保监会副主席，成都银行2020年净利60.25亿，中国女性比男性拥有更多存款！,金融界
573,2021-03-05,[公司]成都银行发布业绩快报 2020年净利润首超60亿元,全景网
574,2021-03-05,成都银行发布2020年业绩快报：营业收入同比增长14.73%,金融投资报
575,2021-03-05,上市公司正负面新闻2021年3月5日星期五,Wind
576,2021-03-05,成都银行党委书记、董事长王晖：结合“战疫”经验 强化金融支持实体经济机制,每日经济新闻
577,2021-03-04,晚间重要公告2021年3月4日星期四,Wind
578,2021-03-04,快讯|成都银行：发布2020年业绩快报 营业收入同比增长14.73%,财经网
579,2021-03-04,快讯|成都银行：2020年归母净利润60.25亿元，同比增长8.54%,财经网
580,2021-03-04,成都银行(601838.SH)业绩快报：2020年净利升8.54%至60.25亿元,格隆汇
581,2021-03-04,成都银行业绩快报：2020年净利润同比增长8.54%,Wind
582,2021-03-04,A股融资融券日报：两融余额增加31.85亿元（3月3日）,Wind
583,2021-03-03,A股融资融券日报：两融余额增加19.67亿元（3月2日）,Wind
584,2021-03-02,2021年3月银行业投资策略：基本面向好 行情可持续,新浪
585,2021-03-02,A股融资融券日报：两融余额增加77.25亿元（3月1日）,Wind
586,2021-03-01,医药企业首尝信用贷,金融投资报
587,2021-02-27,成都银行新行长临考：股东减持，业绩增速下滑，贷款损失准备金额超百亿 减持股份,电鳗快报
588,2021-02-25,成都银行今日大宗交易成交916万股，成交价10.95元折价2.23%,Wind
589,2021-02-25,性价比+价值风来袭：除了地产银行，还有这些,Wind
590,2021-02-24,"成都银行现1笔大宗交易 共成交6,937.20万元",新浪
591,2021-02-24,成都银行今日大宗交易成交615万股，成交价11.28元溢价0.8%,Wind
592,2021-02-24,银行流动性月报：预计2月流动性维持紧平衡状态,新浪
593,2021-02-24,业绩预期提振银行保险股走势,Wind
594,2021-02-23,银行股起爆 机构称还有40％上涨空间？这些低估值股备受青睐,腾讯网
595,2021-02-23,成都银行今日大宗交易成交5000万股，成交价11.25元折价6.25%,Wind
596,2021-02-23,银行股再度爆发！行业拐点已确立？券商：估值修复仅行至半程，行情现扩散迹象，进一步挖掘区域性银行,金融界
597,2021-02-23,熟悉的风格又回来了，2600股下跌，龙头股回升,中证报
598,2021-02-23,解盘：权重股回稳，风力发电、造纸、保险、军工领涨,Wind
599,2021-02-23,银行股强势反弹 机构：宏观环境向好将成为推升估值的主逻辑丨牛熊眼,第一财经
600,2021-02-23,银行股进一步拉升成都银行涨停,格隆汇
601,2021-02-23,银行股全线飘红，成都银行强势封板,Wind
602,2021-02-23,银行板块走高 成都银行大涨逾9%,上证报
603,2021-02-23,【行情】银行股盘中走强，成都银行拉升涨逾8%，无锡银行、招商银行、邮储银行、长沙银行等涨逾2%,金十数据
604,2021-02-23,银行股稳步走强，成都银行冲击涨停,Wind
605,2021-02-23,银行股拉升，招商银行涨超2%，成都银行、无锡银行涨超3%,Wind
606,2021-02-23,A股融资融券日报：两融余额增加99.09亿元（2月22日）,Wind
607,2021-02-22,银行行业跟踪：行业盈利进入上行通道 板块估值提升可期,新浪
608,2021-02-22,银行行业周报：LPR利率不变 房贷利率上行,新浪
609,2021-02-22,成都银行：股东渤海基金减持公司股份达1.07% 减持股份,资本邦
610,2021-02-22,A股融资融券日报：两融余额增加72.52亿元（2月19日）,Wind
611,2021-02-22,深圳楼市变天？已有银行接到通知！北上广深严查重罚,券商中国
612,2021-02-22,华泰证券：经济+政策+业绩+资金需求共振，坚定银行股投资机会,Wind
613,2021-02-21,渤海基金减持成都银行1.07%股份 减持股份,上证报
614,2021-02-21,成都银行：渤海基金合计减持比例达总股本1.07% 减持股份,Wind
615,2021-02-21,成都银行(601838.SH)：渤海基金已通过大宗交易减持1.07%的股份 减持股份,格隆汇
616,2021-02-19,成都银行今日大宗交易成交300万股，成交价10.48元折价7.26%,Wind
617,2021-02-19,银行专题报告：银行如何玩转“商行＋投行”？,新浪
618,2021-02-19,国信证券--银行业：银行如何玩转“商行+投行”【行业研究】,金融界股吧
619,2021-02-17,银行业周报：银行板块的春节效应,新浪
620,2021-02-10,2020年银行监管数据快评：压制估值的因素进一步消除,新浪
621,2021-02-08,解盘：人气回升，机械、工业金属、锂矿、影视领涨,Wind
622,2021-02-08,[公司]成都银行：成都交子金控集团已持有公司20%股权,全景网
623,2021-02-08,银行股快速走弱，重庆银行跌停,Wind
624,2021-02-08,A股融资融券日报：两融余额减少113.4亿元（2月5日）,Wind
625,2021-02-08,A股早报2021年2月8日星期一,Wind
626,2021-02-08,成都银行之忧： 房贷占比超“红线”股东拟减持清仓 拟减持股份,国际金融报
627,2021-02-07,深圳严打资金违规入楼市：节前房贷额度紧张 改善型刚需被误伤？,证券时报网
628,2021-02-07,重拳打击违规资金入楼市！节前深圳房贷额度紧张，有换房者无奈放弃置换,证券时报
629,2021-02-05,"成都银行现2笔大宗交易 共成交23,585.82万元",新浪
630,2021-02-05,A股共发生110宗大宗交易成交30.07亿元（2月5日）,Wind
631,2021-02-05,成都银行：严格按照房地产贷款集中度管理要求 动态调整贷款结构,e公司
632,2021-02-05,成都银行今日大宗交易成交2210.48万股，成交价10.67元折价3.18%,Wind
633,2021-02-05,成都银行暖心服务 让“就地过年”充满年味,新浪
634,2021-02-05,A股融资融券日报：两融余额减少103.37亿元（2月4日）,Wind
635,2021-02-05,A股早报2021年2月5日星期五,Wind
636,2021-02-04,A股共发生127宗大宗交易成交51.3亿元（2月4日）,Wind
637,2021-02-04,成都银行今日大宗交易成交3570万股，成交价10.05元折价6.86%,Wind
