,2021-12-31,盘点公募基金2021年十大事件,第一财经
1605,2021-08-31,招商银行今日大宗交易成交156.50万股，成交价48.0元折价1.96%,Wind
1606,2021-08-31,北向资金连续7日净买入8月累计加仓270亿，中国平安逆势遭抛售超20亿,Wind
1607,2021-08-31,招商银行、建设银行、中信银行回应15号文：业务影响有限，拒绝政府兜底,证券之星
1608,2021-08-31,建行、交行、中信银行回应15号文影响：业务影响有限,Wind
1609,2021-08-31,银行业消费投诉（2021年一季度）：招行信用卡投诉最多,北京商报
1610,2021-08-31,北向资金动向盘点：“电新”总市值第一，“食品饮料”时代落幕,Wind
1611,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
1612,2021-08-31,上半年近九成银行不良率下降，房地产行业不良率骤增,Wind
1613,2021-08-30,北向资金净买入隆基股份逾11亿元，这些股获加仓,第一财经
1614,2021-08-30,北向资金 | 合计净流入18.87亿元，隆基股份、歌尔股份、招商银行净买入居前,上游新闻
1615,2021-08-30,北向资金连续6日净买入累计加仓近200亿，继续大手笔加码新能源股,Wind
1616,2021-08-30,巨量滞涨新能源独舞，1.5万亿后市场怎么走？,Wind
1617,2021-08-30,恒指震荡收涨0.52%：周期板块造好，金融地产走弱,Wind
1618,2021-08-30,小摩：招商银行(03968)为行业首选股 目标价85港元,智通财经
1619,2021-08-30,摩通：予招行(3968.HK)目标价85港元 评级“增持”,格隆汇
1620,2021-08-30,【行情】港股银行股普遍走低，招商银行跌2.27%，汇丰控股跌1.84%，民生银行跌1.51%，邮储银行跌1.46%，建设银行跌1.42%,金十数据
1621,2021-08-30,陆家嘴财经早餐2021年8月30日星期一,Wind
1622,2021-08-30,偏爱金融股，“长线资金”布局路线图浮现,Wind
1623,2021-08-30,房贷集中度管理实施半年，上市银行涉房类贷款占比下降,Wind
1624,2021-08-30,"""基金销售远未到内卷阶段！""对话蚂蚁集团财富事业群总经理王珺，详解行业格局",Wind
1625,2021-08-30,“聪明资金”连续11个月抢筹A股！各路资金潜伏千亿光伏龙头,Wind
1626,2021-08-29,固定收益专题报告：中央财经委会议释放维稳信号 如何看下阶段的市场风险？,国金证券股份有限公司
1627,2021-08-29,这类基金发行火了！创2008年以来最高,Wind
1628,2021-08-28,“千亿顶流”张坤隐形重仓股来了！,Wind
1629,2021-08-28,昌吉银保监局：对中国人民财险昌吉州分公司下属机构昌吉市支公司作出行政处罚，罚款12万元,Wind
1630,2021-08-28,助力供应链金融发展 招行首推云证平台供应链票据业务稳居榜首,中国基金报
1631,2021-08-27,股份行私行业务PK：招行稳坐头把交椅，平安、兴业、中信紧追,和讯
1632,2021-08-27,净亏94亿债务重组艰难，华夏幸福这半年经历了什么？,Wind
1633,2021-08-27,北向资金本周稳步进场加仓A股近180亿，隆基股份大幅净买入超11亿元,Wind
1634,2021-08-27,银行业绩秀肌肉！15家双位数增长，银行股还能买吗,Wind
1635,2021-08-27,招行半年报：私人银行AUM达3.13万亿 战略定位“升维”,金融界
1636,2021-08-27,招商银行连续5日获北向资金净买入,证券时报网
1637,2021-08-27,北上资金连续加仓，超700家上市公司回购，A股价值正在显现！,Wind
1638,2021-08-26,招行VS平安：零售双雄的私行业务较量,新浪
1639,2021-08-26,【专栏】公司金融数字化：招行的「生态圈」实践,零壹财经
1640,2021-08-26,北向资金 | 合计净流入12.28亿元，中国铝业、迈瑞医疗、招商银行净买入居前,上游新闻
1641,2021-08-26,重磅！招行中高层重大变动：北京分行熊开升任纪委书记 人力资源部张诚接棒,新浪
1642,2021-08-26,北向资金连续4日净买入，中国铝业获大幅加仓近12亿元,Wind
1643,2021-08-26,招行发布企业数字化服务体系,金融界
1644,2021-08-26,商业银行业日报,新浪
1645,2021-08-26,【异动股】招商银行(03968.HK)跌3%,财华社
1646,2021-08-26,【3968】银行股普遍向下 招行跌2.3% | 头条金融网,头条日报
1647,2021-08-26,基金圈炸锅！蚂蚁基金公布业绩：净利暴涨495%！,Wind
1648,2021-08-26,代销机构收入大增，蚂蚁基金上半年营收近58亿元,Wind
1649,2021-08-25,股份行人均效能大PK！招行、兴业最猛，广发、华夏有点惨,新浪
1650,2021-08-25,连续4日净买入 招商银行获沪股通净买入8.64亿元,证券时报网
1651,2021-08-25,招商银行(03968)完成发行100亿元2021年第三期小型微型企业贷款专项金融债券,智通财经
1652,2021-08-25,招商银行(03968.HK)完成发行100亿元小微企业贷款专项金融债,格隆汇
1653,2021-08-25,招商银行今日大宗交易成交131.50万股，成交价53.45元溢价3.93%,Wind
1654,2021-08-25,北向资金连续三日加仓累计净买入超百亿，大幅抄底白酒股,Wind
1655,2021-08-25,招商银行(600036.SH)完成发行100亿元小微企业贷款专项金融债券,智通财经
1656,2021-08-25,招行信用卡掌上生活App发放夏季福利 带你“冰爽一夏”,砍柴网
1657,2021-08-25,招行副行长李德林：企业数字化已从孤岛式的线上化和信息化转向互联互通新阶段,新浪
1658,2021-08-25,招商银行发布全新企业数字化服务体系,中证网
1659,2021-08-25,“费尽心机”的招商银行半年报,搜狐
1660,2021-08-25,上市银行中报信用卡pk|招商银行信用卡发卡量与投诉量同居高位，平安银行信用卡不良率逾2%,搜狐
1661,2021-08-25,腾讯、阿里、京东、美团集体躁动，港股又到布局时点？,Wind
1662,2021-08-24,做银行背后的“卖水人”，是不是好生意？,ZAKER
1663,2021-08-24,客户超千万 余额超千亿 招行朝朝宝9个月破双“千”,中国金融新闻网
1664,2021-08-24,10家上市银行9家中间业务收入高速增长 代理理财、基金收入贡献大,21世纪经济报道
1665,2021-08-24,招行加了把火！继个人财富管理账户后 银行开始抢夺企业主结算账户,券商中国
1666,2021-08-24,打破对公服务传统套路 招行全面升级企业数字化服务体系,新浪
1667,2021-08-24,新能源电池材料价格持续上涨，锂电池价格保持稳定,OFweek
1668,2021-08-24,占比收缩、不良显现！为应对风险敞口 多家银行上半年压降对公房地产贷款,财联社
1669,2021-08-24,超级品牌日即将来袭！iQOO&招商银行送新机，还有万元大奖可拿,泡泡网
1670,2021-08-24,零售之王招行的烦恼:代销5亿信托拒绝刚性兑付 14亿募投资金去向成谜,新浪
1671,2021-08-24,贷款集中度新规效果显现 压降与激进并存 银行按揭贷款业务现分化,财联社
1672,2021-08-24,全球硅片供需关系梳理，下半年光伏产业链价格回调空间十分有限,OFweek
1673,2021-08-24,艾德证券期货：港股行情全面反弹，港交所大涨6%，科网股大幅走强,新浪
1674,2021-08-24,招行房地产贷款占比超警戒线 4家银行因贷款违规流向房市被罚 金融监管处罚,新浪
1675,2021-08-24,【申港电新|周观点】全球硅片供需关系梳理,新能源深度研究
1676,2021-08-24,上市银行中报PK：招行房地产贷款占比超警戒线 锦州银行房地产业不良率7.7%,新浪
1677,2021-08-24,【行情】上证50指数拉升涨逾1%，权重股贵州茅台、药明康德、招商银行、中国石油等集体走强,金十数据
1678,2021-08-24,招行朝朝宝9个月破双“千”：客户超千万 余额超千亿,金融界
1679,2021-08-24,银行业分析步骤——招行、兴业对比,新浪
1680,2021-08-24,二季度险资成银行股“大户” 平安银行获险资持股2544亿,财富动力网
1681,2021-08-24,申港证券股份有限公司 关于贵州三力制药股份有限公司募集资金使用情况现场检查报告,证券日报
1682,2021-08-24,许昌远东传动轴股份有限公司关于 2021半年度募集资金存放与使用情况的 专项报告,证券日报
1683,2021-08-24,招商银行：大财富管理稳步推进 业绩强劲增长,投资快报
1684,2021-08-23,招商银行：50亿美元中期票据拟8月24日上市生效,Wind
1685,2021-08-23,招行人事变动 涉北京、海口分行及总行信用卡中心、私人银行部等多部门,新浪
1686,2021-08-23,房地产经营风险拖累？多家上市银行房产不良贷款上升 资产异常,证券时报网
1687,2021-08-23,二季度银行股获北向资金加仓 基金对银行态度“暧昧”,财联社
1688,2021-08-23,财华洞察|加码消费业，恒指最新检讨结果对投资有何启示？,财华社
1689,2021-08-23,招商银行：独立非执行董事任职资格核准,Wind
1690,2021-08-23,“血崩”1.3万亿：茅台半年跌掉一个招行 千亿顶流基金业绩竟垫底,第一财经
1691,2021-08-23,区域金融要参｜国办：依法加强从事证券业务的会计师事务所监管,21世纪经济报道
1692,2021-08-23,映客(03700.HK)认购本金额8000万元招商银行新金融产品,格隆汇
1693,2021-08-23,映客：进一步认购本金额为8000万元的招商银行新金融产品,Wind
1694,2021-08-23,环球股市全日总结：8月23日,农银国际
1695,2021-08-23,招商银行今日大宗交易成交3.95万股，成交价51.03元折价1.66%,Wind
1696,2021-08-23,A股大幅反弹北向资金加仓超18亿，持续加码高景气板块,Wind
1697,2021-08-23,银行本周聚焦：8家银行中报业绩如何？承销规则修订有何影响？,新浪
1698,2021-08-23,银行业：银行信贷量价走弱 半年度业绩表现亮眼,新浪
1699,2021-08-23,深度*行业*银行业周报：7月经济数据低于预期 稳增长与防风险并重,新浪
1700,2021-08-23,港股收评：恒指重返25000点，互联网股集体反弹,证券之星
1701,2021-08-23,中国债券市场金融债发行日程一览(8月23日),Wind
1702,2021-08-23,9月银行策略：经济下行期 坚守优质银行,新浪
1703,2021-08-23,信用卡存量竞争加剧,中国经营报
1704,2021-08-23,银行中报业绩超预期 低估值个股亟待修复,中国经营报
1705,2021-08-23,招联消金之谜：盈利和发债规模同居首 踩雷华尔街英语等 投资失误,新浪
1706,2021-08-23,暴力反弹！创业板涨2%，半天成交8000亿，后市咋看？,Wind
1707,2021-08-23,中金：腾讯及美团在恒指权重将增加，料福莱特等17股或纳港股通,格隆汇
1708,2021-08-23,银行业投资观察：中报乐观 经营稳定,新浪
1709,2021-08-23,信义玻璃、李宁及招商银行被纳入恒指成份股,凤凰网
1710,2021-08-23,招商银行股价涨5.2% 现报68.10港元,乐居财经
1711,2021-08-23,招商银行今年已被处罚14次 罚单金额累计高达7957.6万元 金融监管处罚,凤凰网
1712,2021-08-23,【异动股】招商银行(03968.HK)涨4.4%,财华社
1713,2021-08-23,蓝筹三新贵全线高开 招商银行(03968)涨3.55%,和讯
1714,2021-08-23,港股异动 | 招商银行(3968.HK)涨约4% 获纳入恒生指数成分股,格隆汇
1715,2021-08-23,港股异动 | 恒指新成员集体高开 招商银行(03968)、信义玻璃(00868)均涨超3%,智通财经
1716,2021-08-23,港股早评：恒指大幅高开1.29% 科网股集体反弹 招商银行开涨3.5%,格隆汇
1717,2021-08-23,快讯：港股恒指高开1.29% 腾讯高开3.4%阿里低开1.3%招行涨3.5%,新浪
1718,2021-08-23,获纳入蓝筹：信义玻璃涨3.07%李宁涨2.69%招行涨3.55%,新浪
1719,2021-08-23,招商银行状告福晟集团，案由为借款合同纠纷 诉讼纠纷,乐居财经
1720,2021-08-23,港股盘前必读丨恒指季检结果出炉 李宁、招行等获纳入恒指成分股,腾讯网
1721,2021-08-23,【中信建投 非银&金融科技】周报：股票日成交额连破万亿，上市券商中报业绩向好,中信建投非银金融研究
1722,2021-08-23,港股盘前必读：港交所将于10月18日推出MSCI中国A50互联互通指数期货,Wind
1723,2021-08-23,机构博弈：银行股投资价值现分歧,中证网
1724,2021-08-23,银行激战公募代销，存款出现大迁徙,Wind
1725,2021-08-23,受大户拖累，多家银行房地产业不良贷款骤增,Wind
1726,2021-08-23,受大户拖累 多家银行房地产业不良贷款骤增,全景网
1727,2021-08-23,银行激战公募代销 存款出现大迁徙,全景网
1728,2021-08-22,最“艰难”的转型：当APP月活开始乏力 商业银行的转型征途却正在加速,新浪
1729,2021-08-22,显著加仓港股！全球TOP20基金这样布局中国,Wind
1730,2021-08-21,平安银行上半年大赚175.83亿，董事长谢永林要打造懂寿险和财富管理的团队,时代周报
1731,2021-08-21,“零售之王”招商银行步入“多事之秋” ： 代销5亿信托踩坑 14亿钱端纠纷案开庭 管理层出现人事变动 诉讼纠纷,大众网
1732,2021-08-21,楼市加速“挤泡沫” 金融机构把控风险严防“灰犀牛”,中国经营报
1733,2021-08-21,银行股迎投资机会,中证报
1734,2021-08-20,非标“破刚兑”启示录：“兜不起了”会否终结“带病上会”,21世纪经济报道
1735,2021-08-20,李宁、招商银行、信义玻璃三只个股被纳入恒生指数,21世纪经济报道
1736,2021-08-20,银行股是“三傻”？平安银行最新回应：我们不是！,Wind
1737,2021-08-20,恒指季检结果出炉：李宁、招行获纳入恒生指数 携程被纳入恒生科指,新浪
1738,2021-08-20,水皮：【谈股论金】酒是用来喝的，不是用来炒的,华夏时报
1739,2021-08-20,信义玻璃(00868)、李宁(02331)、招商银行(03968)染蓝！恒指成份股增至60只！,智通财经
1740,2021-08-20,恒指季检：信义玻璃、李宁、招行获纳入恒指；携程获纳入恒生科技指数,富途证券
1741,2021-08-20,恒指季检结果出炉：李宁、招行染蓝 新东方遭恒生科指剔除,新浪
1742,2021-08-20,恒生指数公司：将李宁(02331.HK)、招商银行(03968.HK)、信,新浪
1743,2021-08-20,恒生指数公司：将李宁、招行、信义玻璃纳入恒指，剔除交行,Wind
1744,2021-08-20,北向资金6年来首次连续两日净卖出超百亿，贵州茅台、五粮液、恒瑞医药遭惨烈抛售,Wind
1745,2021-08-20,平安银行半年报“秀肌肉”股价却翻车，员工又涨薪6.5万,AI财经社
1746,2021-08-20,平安银行净利大增近3倍，为何市场并不买账？,格隆汇
1747,2021-08-20,中国债券市场金融债发行日程一览(8月20日),Wind
1748,2021-08-20,又是别人家的银行？招商银行上半年人均薪酬福利35万,搜狐
1749,2021-08-20,组合管理先行者打造FOF新品 交银招享提前结束募集,中证报
1750,2021-08-20,招商银行上半年实现净利润611.50亿元 同比增22.82%,中国网
1751,2021-08-20,零售利润贡献占比赶超招行 平安银行转型到了哪一步？,经济观察网
1752,2021-08-20,招行钱端案发两年后：主犯被诉涉嫌挪用资金 14亿元去向成谜 其他违规处罚,新浪
1753,2021-08-20,基金公司业绩抢先看，华夏基金半年赚10亿,Wind
1754,2021-08-20,招行踩中华夏幸福的雷，千万资产客户被坑，银行风控哪去了?,凤凰网
1755,2021-08-20,零售双雄的私行业务较量：共通之处与真实差,新浪
1756,2021-08-20,北京经开区迎来第六家自贸业务专营银行,东方网
1757,2021-08-20,A股上市银行半年报出炉 归母净利润同比涨超15%,北京商报
1758,2021-08-20,基金公司业绩抢先看！华夏基金半年赚10亿，浙商基金暴增近48倍！蔡嵩松撑起诺安半边天,券商中国
1759,2021-08-20,整体偏爱蓝筹 二季度险资成银行股“大户”,中证网
1760,2021-08-19,最新！险资二季度增持路线曝光，青睐这些板块,中证网
1761,2021-08-19,招行 VS 平安：零售与金融科技全对比！,新浪
1762,2021-08-19,上市银行“期中考”成绩陆续“揭榜”营收净利双升背后，又添哪些新烦恼？,北京商报
1763,2021-08-19,资产减值损失下降，平安银行净利润现七年最快增长,第一财经
1764,2021-08-19,央行西宁中心支行：对招商银行西宁分行作出行政处罚，罚款44.5万元,Wind
1765,2021-08-19,华夏幸福债务压力致信托违约，招商银行牵连其中,搜狐
1766,2021-08-19,北上资金活跃股名单(8月19日),证券时报网
1767,2021-08-19,招商银行陈微：财富管理开放合作的三个层次,新浪
1768,2021-08-19,光大银行中高层变阵：副行长曲亮不再兼任北京分行行长 常务副行长王罡接棒,新浪
1769,2021-08-19,快讯｜招商银行：董事会聘任王良为常务副行长、朱江涛为副行长,财经网
1770,2021-08-19,突然砸盘！外资罕见净卖100亿，阿里破发、美团腰斩,Wind
1771,2021-08-19,招商银行：聘任王良为董事会秘书和公司秘书,Wind
1772,2021-08-19,招商银行(03968.HK)：王良获任董事会秘书、公司秘书及授权代表,格隆汇
1773,2021-08-19,平安银行步招行后尘，代销信托产品构成实质性违约，不刚兑,微信
1774,2021-08-19,清风公约后，招行“清风管理锦囊”又又又火了！,新浪
1775,2021-08-19,招商银行西宁分行违法被罚 未按规定识别客户身份 金融监管处罚,中国经济网
1776,2021-08-19,大和：重申招商银行(03968)“买入”评级 目标价升3.75%至83港元,智通财经
1777,2021-08-19,招商银行清风管理的10个锦囊：管理不是控制 而是成就他人,新浪
1778,2021-08-19,独家！招行钱端纠纷新进展：左创宏等四人涉嫌挪用资金 刑案19日开庭 资金问题,中国经济网
1779,2021-08-19,北向资金动向盘点：连续三日净买入，重手买入金融股,Wind
1780,2021-08-19,主力资金疯狂抢筹，券商股有多火爆？10张图一探究竟,Wind
1781,2021-08-19,北向资金连续三日净买入，大举增持银行股近13亿元,21世纪经济报道
1782,2021-08-19,模式领先何解？直销银行、跨境理财通备战咋样？招行业绩会详解战略新内涵,券商中国
1783,2021-08-19,【东吴晨报0819】【固收】【行业】银行、轻工【个股】锐科激光、爱博医疗、舜宇光学科技、福斯特、老百姓、高能环境,东吴研究所
1784,2021-08-19,【银行*马祥云】银行理财2021年中报解析：如何应对新的增长压力？,东吴研究所
1785,2021-08-19,【山证非银】招商银行（600036.SH）2021年半年报点评：负债改善息差企稳，非息收入增长业绩亮眼,山西证券研究所
1786,2021-08-19,营收净利双升 上市银行期中考还有哪些烦恼,北京商报
1787,2021-08-18,招商银行(600036)：大财富管理稳步推进 业绩强劲增长,新浪
1788,2021-08-18,主力、北向疯狂抢筹，券商股有多火爆？十张图带你一探究竟,第一财经
1789,2021-08-18,北向资金三日净流入超百亿，今天阳光电源和中国中免遭抛售,澎湃新闻
1790,2021-08-18,巷观十二时辰〡2021年赛迪百强区：西安雁塔2500亿领跑中西部,每日经济新闻
1791,2021-08-18,招商银行上半年净利大增22.82%，零售业务表现突出,阿尔法工场
1792,2021-08-18,零售之王招行辉煌下的重重隐忧：净利息收益率收窄、资本充足率下滑 盈利能力下降,新浪
1793,2021-08-18,万联证券维持招商银行增持评级：大财富管理基础进一步夯实,每日经济新闻
1794,2021-08-18,5只股获北向资金连续净买入,证券时报网
1795,2021-08-18,业绩喜人！九成公司上半年营收实现同比增长,新浪
1796,2021-08-18,鲁大师：附属公司向招商银行认购1700万元结构性存款产品,Wind
1797,2021-08-18,北向资金 | 合计净流入34.33亿元，东方财富、招商银行、五粮液净买入居前,上游新闻
1798,2021-08-18,招行审议通过《关于表彰刘元先生的议案》 对刘元予以表彰,新浪
1799,2021-08-18,招商银行选举熊良俊为监事长,新浪
1800,2021-08-18,北上资金今日净买入东方财富5.37亿元、招商银行4.66亿元，净卖出阳光电,新浪
1801,2021-08-18,金融报道|银行半年报聚焦科技赋能 用户入口转变助力线上渠道变革,财经网
1802,2021-08-18,凌鹏：盈利的秘密,智通财经
1803,2021-08-18,北向资金稳步加仓3日净买入超111亿，持续扫货大金融龙头股,Wind
1804,2021-08-18,招商银行收报67.60港元涨5.8% 总市值17048.6亿港元,乐居财经
1805,2021-08-18,A股异动：银行板块集体上涨，瑞丰银行涨停、招商银行涨超6%,证券之星
1806,2021-08-18,招行信用卡打入年轻群体 重构与年轻人链接,钢企网
1807,2021-08-18,银行股走强 招商银行涨超6%领涨,格隆汇
1808,2021-08-18,“废太子”实名举报父亲，双汇、万州国际股价大跌,Wind
1809,2021-08-18,【行情】银行板块午后持续走高，瑞丰银行涨停，宁波银行、招商银行、平安银行跟涨,金十数据
1810,2021-08-18,大金融全面爆发，多只券商股涨停，招商银行大涨超7%,证券之星
1811,2021-08-18,突发重磅！千亿巨头“废太子”实名举报父亲，股价应声暴跌！券商银行军工大爆发，招行狂飙6%！实控人出大事，这A股被砸20%跌停！,中国基金报
1812,2021-08-18,港股异动 | 招商银行(03968)早盘涨近6% 中期归母净利同比增长22.82% 绩后多家大行唱好,智通财经
1813,2021-08-18,中报行情打响！银行股集体反弹，招商银行大涨近7%,证券之星
1814,2021-08-18,银行股集体走强，招商银行涨近5%,Wind
1815,2021-08-18,银行代销理财产品 出问题谁负责？,新浪
1816,2021-08-18,部分银行房地产业贷款不良率上升：招商银行较上年年末增长0.77个百分点 资产异常,中证报
1817,2021-08-18,招商银行、宁波银行房地产业贷款不良率上升 与政策调控力度有关 资产异常,观点地产网
1818,2021-08-18,招行代销违约背后：打破刚兑是趋势，中小信托找银行合作仍为常态,新京报
1819,2021-08-18,华夏幸福债务危机余震！招商银行代销的5亿信托违约，刚兑时代落幕,中新经纬
1820,2021-08-18,部分银行房地产业贷款不良率上升风险整体可控,Wind
1821,2021-08-18,部分银行房地产业贷款不良率上升风险整体可控,中证网
1822,2021-08-18,恒生指数跌466点失守25000点 李宁及招行等“染蓝”,中新网
1823,2021-08-17,大业信托违约背后：私行代销地产信托项目埋隐患,中国经营网
1824,2021-08-17,21说案｜银行代销的资管产品亏损，代销方在什么情况下要担责？,21世纪经济报道
1825,2021-08-17,方证视点：“长阴惊魂”真正原因 回调是机会还是风险,新浪
1826,2021-08-17,131股获买入评级 最新:江山欧派,中财网
1827,2021-08-17,招商银行代销信托违约后续：地产大调控，这些涉房信托或成“烫手山芋”,时代在线
1828,2021-08-17,招商银行5亿代销信托产品违约 “零售之王”曾因业务违规俩月被罚7200余万,凤凰网
1829,2021-08-17,银行机构微博影响力哪家强？广发银行跌出前十,新浪
1830,2021-08-17,招商银行：选举熊良俊先生为第十一届监事会职工监事,Wind
1831,2021-08-17,招商银行(03968.HK)选举熊良俊为职工监事,格隆汇
1832,2021-08-17,招商银行现1笔大宗交易 共成交249.77万元,新浪
1833,2021-08-17,招行代销大业信托违约背后：私行客户和家族信托也成了“韭菜” 关联方问题,新浪
1834,2021-08-17,招商银行(600036.SH)选举熊良俊为职工监事,智通财经
1835,2021-08-17,招商银行代销信托违约 京沪两地私人银行客户踩雷 投资失误,AI财经社
1836,2021-08-17,标普上调交行、中信等五家银行评级展望 银行评级质量有望提升,新浪
1837,2021-08-17,招商银行、大业信托回应5亿产品违约 谁该为此买单？,新浪
1838,2021-08-17,招商银行上半年人均薪酬近52万，比去年同期又涨9万,AI财经社
1839,2021-08-17,【异动股】招商银行(03968.HK)跌3.05%,财华社
1840,2021-08-17,招商银行上半年盈利增速达22.82% 大财富管理业务模式轮廓初显,搜狐
1841,2021-08-17,"招商银行代销信托""踩雷""，上半年相关收入超40亿 投资失误",时代在线
1842,2021-08-17,招商银行、宁波银行、常熟银行发布上半年业绩 | 半年报速读,中国银行保险报
1843,2021-08-17,因违反清算管理规定等6项违规行为 招商银行被罚254.3万元 金融监管处罚,和讯
1844,2021-08-17,记者体验：数字人民币APP钱包充值可选银行扩充至19家,21世纪经济报道
1845,2021-08-17,山西证券维持招商银行增持评级：负债改善息差企稳，非息收入增长业绩亮眼,每日经济新闻
1846,2021-08-17,招行代销信托产品违约 债委会尚未公布债务化解方案,中国经营网
1847,2021-08-17,周二机构一致看好的十大金股,证券之星
1848,2021-08-17,券商评级：三大指数震荡 九股迎来掘金良机,光大证券
1849,2021-08-17,招行代销信托计划违约 系卷入华夏幸福债务危机所致,金融界
1850,2021-08-17,财报丨即便是“零售之王”招行，也挡不住零售定期存款的负增长,中金在线
1851,2021-08-17,【银行】银行业周报—银行板块走强，行业中期业绩向好,中银证券研究
1852,2021-08-17,私行也踩雷，写进合同的安全才是“真.安全”,新浪
1853,2021-08-17,浙商证券：维持招商银行(600036.SH)“买入”评级 目标价62.5元,智通财经
1854,2021-08-17,招商银行陷违约风波 应重点关注风控措施,北京商报
1855,2021-08-17,北向资金动向盘点：逆市加仓电力设备新能源,Wind
1856,2021-08-17,北向资金净买入超60亿元，创8月以来新高！持续卖出这两只白酒股,21世纪经济报道
1857,2021-08-17,每日理财观察：中国7月份宏观经济数据出炉,Wind
1858,2021-08-17,银行股迎估值修复催化剂 各层面经营数据兑现行业基本面改善预期,中证报
1859,2021-08-17,半年报大幕拉开 银行股迎估值修复催化剂,中证网
1860,2021-08-17,经济稳中向好，银行业绩闪亮,Wind
1861,2021-08-17,【天风｜财富管理】三大能力与三分天下——大财富管理行业的现状与未来,新锐视角看金融
1862,2021-08-16,东吴证券维持招商银行买入评级，2021年中报点评：零售AUM站上10万亿新起点,每日经济新闻
1863,2021-08-16,代销5亿信托违约？刚刚 招商银行回应！大业信托：“刚兑确实是违规的” 金融监管处罚,21世纪经济报道
1864,2021-08-16,5亿信托“踩雷”华夏幸福！违约当天受益人“火速”投票,Wind
1865,2021-08-16,5亿元信托计划违约事关招行与大业信托 进展如何？,新浪
1866,2021-08-16,上市银行首批半年报出炉：业绩超预期增长，板块中报行情能否开启？,每日经济新闻
1867,2021-08-16,招商银行首次面向自然人违约 代销5亿元信托踩华夏幸福“暴雷”余波,新浪
1868,2021-08-16,招商银行与大业信托分别回应5亿产品违约，打破刚兑乃大势所趋,信托百佬汇
1869,2021-08-16,【一语道破】招商银行的痛点是什么？,财华社
1870,2021-08-16,招商银行“踩雷”华夏幸福｜一财地产日评 投资失误,第一财经
1871,2021-08-16,今年剩下的日子，银行可以高看一眼,央行
1872,2021-08-16,陈光明旗下新品狂卖至少110亿，最新投资动向大曝光,Wind
1873,2021-08-16,招行陷5亿代销信托违约风波：牵扯私行客户 上半年代销收入大增 关联方问题,新浪
1874,2021-08-16,信托计划违约，招行、大业信托紧急回应！,中国基金报
1875,2021-08-16,首次面向自然人违约！招行代销的5亿信托逾期,时代财经
1876,2021-08-16,招行摊上大事！代销信托首次违约，金额高达5亿元，回应来了！,丁丁创e
1877,2021-08-16,“零售之王”招行信托罕见违约 5亿逾期未兑付波及私行客户 关联方问题,新浪
1878,2021-08-16,招商银行“踩雷”华夏幸福：代销的5亿信托逾期 涉及华夏幸福全资子公司,时代财经
1879,2021-08-16,招商银行：已经加入华夏幸福债委会 督促大业信托妥善解决逾期问题,新浪
1880,2021-08-16,首次面向自然人违约！招行代销信托“踩雷”，上半年相关收入超40亿 投资失误,时代财经
1881,2021-08-16,网贷价格大战开打，谁才是终局赢家？,新浪
1882,2021-08-16,“个别对公大户风险已暴露！”两银行净利润大超预期，房地产业贷款不良率上升,中证报
1883,2021-08-16,招商银行绿色贷款增速回落 “含绿量”增至13% | 绿色足迹,和讯
1884,2021-08-16,银行缘何收紧贵金属业务？,Wind
1885,2021-08-16,招商银行(600036)点评：亮点纷呈的中报成绩单 维持长期首推组合,新浪
1886,2021-08-16,招行信用卡坚持长期价值 2021年度高端礼遇发布权益不缩水,钢企网
1887,2021-08-16,招商银行监事长刘元辞任 董监高成员变化,中国网
1888,2021-08-16,北向资金今日大幅净买入62亿元，低估值消费白马股获追捧,Wind
1889,2021-08-16,招行回应涉华夏幸福信托产品违约：将督促大业信托妥善解决信托利益分配,资本邦
1890,2021-08-16,智通每日大行研报丨兴业证券建议关注水泥股低估值修复机会 绩后机构对招行(03968)看法存分歧,智通财经
1891,2021-08-16,招商银行：刘元因工作变动原因，辞去监事长和职工监事职务,Wind
1892,2021-08-16,招商银行：监事长辞任,Wind
1893,2021-08-16,代销5亿信托违约？招行回应了,21世纪经济报道
1894,2021-08-16,银行行业周报：中报催化估值修复行情 关注业绩超预期个股,新浪
1895,2021-08-16,招商银行(600036)：业绩维持高增长 资产质量保持行业领先,新浪
1896,2021-08-16,美银证券：上调招行(3968.HK)目标价至40港元 评级“跑输大市”,证券之星
1897,2021-08-16,华夏幸福的爆雷“冲击波”或许才刚刚开始·····,微信
1898,2021-08-16,招商银行上半年人均薪酬福利35万 信用减值损失419亿,中国经济网
1899,2021-08-16,非标“破刚兑”考验受托与代销孰来担责？,Wind
1900,2021-08-16,非标“破刚兑”考验受托与代销孰来担责 招行与大业信托回应5亿产品违约,21世纪经济报道
1901,2021-08-16,招行回应代销违约事件，上半年代理信托计划收入同比增长约两成,新京报
1902,2021-08-16,9万亿招行又摊上大事了！“零售之王”信托代销无抵押项目违约,凤凰网
1903,2021-08-16,招行公告代销5亿元信托产品违约，管理方大业信托已入华夏幸福债委会,搜狐
1904,2021-08-16,美银证券：维持招商银行(03968)“跑输大市”评级 目标价升12.9%至40港元,智通财经
1905,2021-08-16,海通证券：维持招商银行(600036.SH)“优大于市”评级 价值区间56.9-60.49元,智通财经
1906,2021-08-16,君睿15号信托计划违约 代销方招商银行回应：督促大业信托做好风险化解工作,每日经济新闻
1907,2021-08-16,2020上市银行信用卡：发卡量两极分化、投诉占比过半、不良普升,新浪
