,2021-12-31,一汽解放： 拓展商用车后市场 培育更多盈利增长点,发布易
307,2021-06-21,一汽解放：公司当前国六主销产品已准备完成，覆盖牵引车、载货车、自卸车、专用车等各细分市场，实现各细分市场产品、技术持续领航,每日经济新闻
308,2021-06-15,解放动力服务年会暨国六服务保障动员大会召开,中国机经网
309,2021-06-15,载货天花板什么样 J7 8X4聪明不止一点,卡车之家
310,2021-06-15,5月轻卡市场遭遇年内首降，福田超4万辆领跑,第一商用车网
311,2021-06-11,精芯服务！解放动力展开服务技能大赛,卡车之家
312,2021-06-11,一汽解放：公司拥有五大产品系列，具有军工资质,Wind
313,2021-06-11,一汽解放：公司主营商用车业务，不包括一汽丰田等乘用车业务,Wind
314,2021-06-10,难逃高温？海尔驻车空调助力解放TCO大赛，为卡友降暑,证券之星
315,2021-06-10,擎动未来 一汽解放湘鄂专用荣破6000辆,卡车之家
316,2021-06-09,Mysteel：8家车企产能上新，新能源再次成为焦点,我的钢铁
317,2021-06-09,一汽解放：1-5月累计销量29.88万辆，同比增长30.17%,证券时报
318,2021-06-08,一汽解放：一汽解放青岛汽车有限公司是公司的全资子公司，位于山东青岛，是公司主要生产基地之一,每日经济新闻
319,2021-06-08,一汽解放(000800.SZ)：5月销量49904辆 同比下降6.79% 盈利能力下降,格隆汇
320,2021-06-08,一汽解放(000800.SZ)前5个月各型货车及客车合计销量同比增长30.17%,智通财经
321,2021-06-08,一汽解放：5月总销量约4.99万辆，同比减少6.79% 盈利能力下降,每日经济新闻
322,2021-06-08,精准布局 解放高端载货J7 8X4 耀世而来,卡车之家
323,2021-06-08,科博达(603786)：全球灯控市场隐形冠军 积极拓宽业务边界,广发证券
324,2021-06-06,吉林省支持中国一汽创建世界一流企业,Wind
325,2021-06-03,5月重卡销量点评：5月销量增速转负 重汽增速超越行业,新浪
326,2021-06-02,往返6500公里！一汽解放无人驾驶重卡穿越丝绸之路,中国机经网
327,2021-06-02,天风汽车【重卡】5月销量增速转负，关注龙头优势强化,微信
328,2021-05-31,多家企业已布局，无人驾驶汽车有望在深圳合法上路,上证报
329,2021-05-30,全新服务体验！新高安海鑫解放4S店开业,卡车之家
330,2021-05-28,无人驾驶汽车有望持牌上路！无人驾驶概念股票有哪些？,至诚财经
331,2021-05-28,无人驾驶正在加速驶向现实,上证报
332,2021-05-28,无人驾驶汽车有望持牌上路 这些公司称已经布局,上证报
333,2021-05-26,鼓足“赣”劲！一汽解放江西销量破万,卡车之家
334,2021-05-24,潍柴动力：一汽解放为公司重要战略客户之一,每日经济新闻
335,2021-05-21,跃20000 一汽解放东南战区业绩再创历史,卡车之家
336,2021-05-19,21家上市车企一季度账本出炉：营收、利润齐涨 ，材料成本上升致多家车企毛利率下滑 盈利能力下降,每日经济新闻
337,2021-05-13,一汽解放柳州分公司新基地建成投产仪式在柳东新区隆重举行。,中国机经网
338,2021-05-10,一汽解放(000800.SZ)4月份销量合计5.79万辆,智通财经
339,2021-05-10,一汽解放：今年累计销量约25万辆，同比增加41.41%,每日经济新闻
340,2021-05-10,一汽解放(000800.SZ)：4月销量57862辆同比下降14.86% 盈利能力下降,格隆汇
341,2021-05-10,一汽解放：1-4月汽车累计销量248922辆同比增长41.41%,第一财经
342,2021-05-10,周期向上 变革增量—2020年报&1Q21季报总结【华西汽车 崔琰团队】,汽车琰究
343,2021-05-06,解放卡车下一个超级里程用户就是你,中国机经网
344,2021-05-01,国联证券5月金股组合,国联研究
345,2021-04-29,一汽解放：一季度净利润同比增长879.51%,Wind
346,2021-04-29,一汽解放：一季度净利润17.88亿元 同比增长879.51%,中证网
347,2021-04-29,一汽解放：2021年第一季度净利润约17.88亿元，同比增加879.51%,每日经济新闻
348,2021-04-29,一汽解放：一季度净利同比增879.51%,e公司
349,2021-04-29,致远新能今日登陆创业板 首日上涨80.64%换手率达64%,证券时报网
350,2021-04-28,一汽解放：公司从事商用车产品的研发、生产和销售，不包括红旗乘用车产品,每日经济新闻
351,2021-04-27,青岛一汽解放新能源轻卡基地设备安装启动，总投资9.98亿元,证券时报网
352,2021-04-27,十年！解放传承客户携365万公里J6回长,卡车之家
353,2021-04-27,一汽解放中重卡销量蝉联全球第一,证券时报
354,2021-04-26,热销23万辆 3月重卡市场继续高歌猛进,中投网
355,2021-04-25,解放55周年纪念版J6顺抵沧洲再起征程,卡车之家
356,2021-04-25,渠道盛典：7家经销商获数字营销优秀奖,卡车之家
357,2021-04-24,解放55周年纪念版J6 正式拉开献车序幕,卡车之家
358,2021-04-22,一汽解放商用车广汉基地项目开工,中证网
359,2021-04-22,每日理财观察：明星基金经理一季度持仓动向浮出水面,Wind
360,2021-04-21,银行系资管“大军”调研这些上市公司，青睐一类企业,Wind
361,2021-04-21,一汽与依维柯谈判中断 外媒给出3种解释,卡车之家
362,2021-04-21,百天销三万 解放中重卡齐鲁区域创佳绩,卡车之家
363,2021-04-20,燃气车最多、牵引车最多、国六占比最高 解放343批新品公示纪录,第一商用车网
364,2021-04-19,2021首只券商新股来了！周一7只连发，本周13只登台,证券之星
365,2021-04-19,超级打新周持续：下周13股齐发 周一为申购高峰,财联社
366,2021-04-19,东北证券【新股】4月19日炬申股份、致远新能等申购，万辰生物、达瑞电子等上市,东北证券金融世界
367,2021-04-18,超级打新周持续，下周13股齐发，这家公司多款产品填补国内空白,财联社
368,2021-04-16,疫情年商用车为何创纪录增长？,财经网
369,2021-04-15,再辟新天！一汽解放百日会战遍结硕果,卡车之家
370,2021-04-15,多家车企一季度业绩大幅预增,Wind
371,2021-04-15,多家车企一季度业绩大幅预增,中证报
372,2021-04-14,一汽解放：一季度净利润同比预增804.14%至902.77%,中证报
373,2021-04-14,2021年中国重卡行业发展现状与竞争格局分析行业高度集中,证券之星
374,2021-04-14,研发投入占比攀升，新能源补贴“依赖症”渐退,Wind
375,2021-04-14,研发投入占比攀升 新能源补贴“依赖症”渐退,证券时报
376,2021-04-14,热销23万辆 3月重卡市场继续高歌猛进,中国机经网
377,2021-04-13,重卡销量大增，一汽解放预计一季度净利润为16.5-18.3亿,资本邦
378,2021-04-13,A股异动|一汽解放(000800.SZ)涨约4%一季度预盈同比增长804.14%-902.77%,格隆汇
379,2021-04-12,晚间要闻2021年4月12日星期一,Wind
380,2021-04-12,震荡市、忙调研：超90家公司一周内获机构扎堆调研，两类公司最受关注,红周刊
381,2021-04-12,12日公告精选：通威股份一季度净利同比增146%；一汽解放一季度净利润预增804%至903%,证券时报网
382,2021-04-12,晚间重要公告2021年4月12日星期一,Wind
383,2021-04-12,重卡销量强劲拉动 一汽解放第一季度利润大增,e公司
384,2021-04-12,一汽解放(000800.SZ)第一季度归母净利同比预增804.14%-902.77%,智通财经
385,2021-04-12,一汽解放(000800.SZ)一季度预盈16.5亿-18.3亿元同比增长804.14%-902.77%,格隆汇
386,2021-04-12,一汽解放：预计一季度净利润同比增长804%-903%,格隆汇
387,2021-04-12,一汽解放：预计一季度净利润16.5亿元至18.3亿元，同比增长804%-902%,Wind
388,2021-04-12,报告显示一汽解放重卡及中重卡销量位列全球首位,中证网
389,2021-04-12,近一周22家公司获机构扎堆调研！,云掌财经
390,2021-04-12,2020年380多家公司增发募资8400亿元 折价增发下最高浮盈近4倍,投资者网
391,2021-04-11,全球缺芯又涨价，千合资本、朱雀、淡水泉出手调研！巨亏超9亿，顺丰王卫被120位投资者“拷问”！ 重大损失,21世纪经济报道
392,2021-04-09,造车赛道后半场发力，青岛能分到几杯羹？,财经网
393,2021-04-09,一汽解放西部百日2万辆庆典明日绽放,卡车之家
394,2021-04-09,一汽解放 中重卡销量再度蝉联全球第一,卡车之家
395,2021-04-09,河北货车司机事件跟踪：“盒子”到底因何断线？,第一财经
396,2021-04-08,一汽解放：预计今年国内中重卡市场总需求量有望达到140万辆,Wind
397,2021-04-08,一汽解放：预计今年国内中重卡市场总需求量有望达到140万辆,e公司
398,2021-04-07,一汽解放(000800.SZ)：3月销量70288辆同比增长112.86%,格隆汇
399,2021-04-07,一汽解放：一季度累计销量超19万辆 同比增长76.8%,中证网
400,2021-04-07,一汽解放(000800.SZ)前3月汽车销量19.11万辆 同比增长76.80%,智通财经
401,2021-04-07,深度*行业*汽车行业周报：重卡销量再创纪录 小米集团官宣造车,新浪
402,2021-04-06,汽车行业：需求旺盛 3月重卡销量高增长,新浪
403,2021-04-06,一汽解放：公司在智能驾驶领域，已完成轻、中、重、客各平台产品储备，将实现典型场景智能驾驶产品全覆盖,每日经济新闻
404,2021-04-03,汽车行业-重卡：3月销量同比+92% 连续12个月创历史新高,新浪
405,2021-04-02,继峰股份(603997)2020年年报点评：年报业绩符合预期 格拉默一季度业绩预告超预期,新浪
406,2021-04-02,中石油携手一汽解放加油“车轮上的中国”,经济日报
407,2021-04-02,一汽解放重组首年净利增34% 中重卡全年销售近40万辆,新浪
408,2021-04-01,一汽解放：2020年归属股东净利润 26.72 亿元，同比增长 34.45%,中金在线
409,2021-04-01,一汽解放(000800.SZ)：一汽股份已完成向其子公司一汽奔腾无偿划转7.845亿股 资产异常,格隆汇
410,2021-04-01,马钢拿到一汽解放供货“门票”,兰格钢铁网
411,2021-04-01,中国石油与一汽解放启动战略合作,Wind
412,2021-04-01,中国石油与一汽解放启动战略合作,e公司
413,2021-04-01,自动驾驶公司智加科技获2.2亿美元新一轮融资,Wind
414,2021-04-01,重卡自动驾驶公司智加科技完成2.2亿美元新融资,猎云网
415,2021-03-31,新一轮新能源汽车下乡启动｜第一财经日评,第一财经
416,2021-03-31,国联证券研究所4月金股组合,国联研究
417,2021-03-31,一汽解放2020年营业收入1136.81亿元 同比增长6.8%,财经网
418,2021-03-31,一升油优惠6毛 解放联手中石油发福利！,卡车之家
419,2021-03-31,营收1136.81亿元，一汽解放公布“年度成绩单”,第一电动网
420,2021-03-31,一汽解放：营收、净利双增长 利润总额突破34.88亿元,证券时报
421,2021-03-31,一汽解放发布2020年报：营收1137亿 利润35亿,中国经济网
422,2021-03-30,一汽解放(000800.SZ)2020年净利升34.45%至26.72亿元 拟10派5元,格隆汇
423,2021-03-30,一汽解放(000800.SZ)拟投10亿元建设商用车广汉基地项目,智通财经
424,2021-03-30,一汽解放(000800.SZ)拟投资车桥基地项目暨重型换代桥技术升级(一期),智通财经
425,2021-03-30,一汽解放(000800.SZ)年度归母净利同比增34.45%至26.72亿元 每10股派5元,智通财经
426,2021-03-30,一汽解放：2020年度净利润约26.72亿元，同比增加34.45%,每日经济新闻
427,2021-03-30,一汽解放：2020年净利润同比增长34.45%,Wind
428,2021-03-29,重卡自动驾驶公司智加科技完成总计4.2亿美元新一轮融资,猎云网
429,2021-03-27,青岛千亿汽车产业补链,经济观察网
430,2021-03-26,全能王者 解放质惠版500马力新品上市,卡车之家
431,2021-03-25,一汽解放J7L3完成“自动变道”国标验证,36氪
432,2021-03-24,一汽解放：董事辞职 董监高成员变化,Wind
433,2021-03-23,一汽解放：连续四年夺得中国商用车创新排行榜“双第一”,中证网
434,2021-03-22,创新驱动高质量发展 中国汽车企业创新大会暨安亭指数发布会上海举行,盖世汽车
435,2021-03-21,一汽解放：截至2021年3月19日，股东总户数为84421户,每日经济新闻
436,2021-03-21,一汽解放：公司加速新能源产业布局，已纳入公司战略规划中,每日经济新闻
437,2021-03-19,多场景技术引擎，华为云赋能企业数字化转型,云掌财经
438,2021-03-18,拥抱数字化，大卡车也可以很“聪明”,飞象网
439,2021-03-15,卡车自动驾驶进入L3量产期 嬴彻科技推“轩辕”系统抢夺市场,经济观察网
440,2021-03-11,全国人大代表、一汽解放大连柴油机公司高级技师鹿新弟：传递一线心声 建议设立“中国劳模工匠日”,e公司
441,2021-03-11,2月车市向好 已回到2019年的水平,新浪
442,2021-03-09,节油省钱拿冠军 赠J7奖金助力节能减排,卡车之家
443,2021-03-09,一汽解放节油大赛冠军赠车仪式成功举行,卡车之家
444,2021-03-09,德赛西威：目前暂没有对一汽解放供货,每日经济新闻
445,2021-03-08,万亿级赛道，无人驾驶新星：“擎天柱”已经向我们驶来,新浪
446,2021-03-06,实探丨太火爆！重卡销量连续11个月刷新纪录，经销商：“3月还会大提升”！（附名单）,证券时报网
447,2021-03-05,一汽解放：今年前两个月重卡销量突破10万辆 同比增长近七成,中证网
448,2021-03-05,一汽解放公告：高管亲属违规买卖股票 30元收益已上缴 其他违规处罚,快科技
449,2021-03-05,晚间重要公告2021年3月5日星期五,Wind
450,2021-03-05,一汽解放：2月汽车销量41690台,财经网
451,2021-03-05,一汽解放：2月销量4.17万辆同比增长216%,格隆汇
452,2021-03-05,一汽解放(000800.SZ)高级管理人员亲属构成短线交易,智通财经
453,2021-03-05,一汽解放(000800.SZ)2月销量4.169万辆 同比增长215.86%,格隆汇
454,2021-03-04,凯龙高科：公司已经与一汽解放积极开展业务合作,每日经济新闻
455,2021-03-03,东北证券给予一汽解放买入评级，重卡景气度持续提升，一汽解放行业领跑,每日经济新闻
456,2021-03-02,民族品牌指数下跌2.05% 一汽解放领涨,上证报
457,2021-03-02,天风证券：重卡2月同比增长200%，连续第11个月创历史新高,Wind
458,2021-03-01,一汽解放：股东总数为84140户,每日经济新闻
459,2021-03-01,重卡：2月同比+200% 连续第11个月创历史新高,新浪
460,2021-02-28,国联证券研究所3月金股组合,国联研究
461,2021-02-27,上市车企2020年业绩众生相：乘用车车企半数亏损、商用车车企分化严重 亏损,新浪
462,2021-02-26,财报预报背后的车企众生相:乘用车分化加剧 商用车置换需求滞后,21世纪经济报道
463,2021-02-26,数说2020：财报预报背后的车企众生相,21世纪经济报道
464,2021-02-26,年度盛典：一汽解放获得年度影响力品牌,卡车之家
465,2021-02-24,四大板块最受机构青睐，超跌且连续4个季度业绩实现增长的概念股名单出炉（附股）,证券时报网
466,2021-02-23,干货来了！国资委：加快国有资本优化和结构调整,Wind
467,2021-02-23,2020，商用车智能网联“赶海潮”,中国机经网
468,2021-02-23,8家上市车企净利预增，行业呈现两极分化态势,Wind
469,2021-02-19,一汽解放：国内重卡龙头，前瞻布局国六发动机提振业绩,览富财经
470,2021-02-19,以国六实施为分界线 2021上半年是关键,卡车之家
471,2021-02-19,【东北绝对收益王凤华】一汽解放（000800）深度报告：重卡景气度持续提升，一汽解放行业领跑,东北证券研究所
472,2021-02-18,调研重点曝光，机构牛年布局“抢先看”,Wind
473,2021-02-13,一汽解放：公司发动机和整车控制器都在国内生产，不存在芯片制约问题,Wind
474,2021-02-11,2020年车企业绩众生相：有人“炒股”赚数十亿，有人靠卖资产艰难“续命”,每日经济新闻
475,2021-02-10,上市车企去年业绩分化:商用车企好于乘用车企 资产减值扎堆出现 盈利能力下降,证券时报网
476,2021-02-10,上市车企2020年业绩分化明显，资产减值扎堆出现,Wind
477,2021-02-09,上市车企2020年业绩预告盘点：商乘分化明显，资产减值扎推,证券时报网
478,2021-02-09,【东北晨会0219】快递行业数据点评/一汽解放（深）、顺丰控股、晨鸣纸业,东北证券研究所
479,2021-02-08,50万辆特斯拉Semi已预定！电动重卡市场电池需求TWh级,电池中国
480,2021-02-08,71股获券商买入评级 数据港目标涨幅达139.15%,Wind
481,2021-02-07,北方重工：提升竞争力 荣获多项大奖,中国经济网
482,2021-02-05,一汽解放1月汽车销量同比增长28%,上证报
483,2021-02-05,一汽解放：1月销量同比增长27.87%,中证网
484,2021-02-05,一汽解放：1月汽车销量为7.9万辆 同比增28%,e公司
485,2021-02-05,一汽解放：1月份汽车总销量约7.91万辆，同比增加27.87%,每日经济新闻
486,2021-02-05,一汽解放(000800.SZ)：1月汽车销量79082辆同比增长27.87%,格隆汇
487,2021-02-05,一汽解放(000800.SZ)1月份产销分别同比增长57.03%及27.87%,智通财经
488,2021-02-05,东北证券--一汽解放：重卡景气度持续提升，一汽解行业领跑【公司研究】,金融界股吧
489,2021-02-05,"""中国商用汽车2020年度杰出企业/车型/人物推介""揭晓",商用汽车网
490,2021-02-04,A股乘用车企六成年报预喜上汽集团以净赚200亿领跑,信息时报
491,2021-02-04,定了！解放J6P价值版2月下旬正式上市,卡车之家
492,2021-02-04,回眸“十三五” 商用车内外双线发展见成效,中国经济网
493,2021-02-03,重卡销量连续十个月创新高，国六标准推动更新换代，概念股名单出炉,证券时报网
494,2021-02-03,“十四五”剑指600万销量 徐留平：只有改革，一汽集团才有出路,每日经济新闻
495,2021-02-03,【行情】一汽解放涨停,金十数据
496,2021-02-03,国联证券给予一汽解放推荐评级，业绩预告点评：符合预期，期待高质量发展,每日经济新闻
497,2021-02-02,汽车行业2021年1月重卡销量点评：1月销量同比+62% 重卡行业高景气延续,新浪
498,2021-02-02,天风证券：1月重卡市场销量创新高 关注行业龙头,财联社
499,2021-02-02,154股获券商买入评级 宇信科技目标涨幅达133.70%,Wind
500,2021-02-02,1月重卡销量同比增长逾五成，三大因素驱动“开门红”,Wind
501,2021-02-01,汽车行业周报：关注轻卡市场的潜在机会,新浪
502,2021-01-30,一汽解放：2020年预盈25.5亿元至28.96亿元 较重组后同比增长28.33%至45.74%,中证网
503,2021-01-29,晚间要闻2021年1月29日星期五,Wind
504,2021-01-29,一汽解放(000800.SZ)获得政府补助2903万元,智通财经
505,2021-01-29,一汽解放(000800.SZ)预计2020年度归母净利润25.5亿元至28.96亿元,智通财经
506,2021-01-29,一汽解放：预计2020年盈利25.5亿元至28.96亿元，同比重组前增长超47倍,Wind
507,2021-01-29,一汽解放获2903万元政府补贴,北京商报
508,2021-01-27,深交所：积极助推国资国企改革向纵深发展，充分发挥国有上市公司引领带动作用,Wind
509,2021-01-27,民族品牌指数下跌1.32% 一汽解放上涨4.39%,上证报
510,2021-01-27,【行情】汽车整车板块午后快速拉升，亚星客车直线涨停，一汽解放、东风汽车、金龙汽车等跟涨,金十数据
511,2021-01-25,以用户信赖铸就品牌力量 第六届发现信赖评选品评2020年精彩成就,中国卡车网
512,2021-01-22,一汽解放发动机事业部首个技术型创新工作室揭牌,农机360网
513,2021-01-21,【汽车】深度研究：轻卡行业的变革：量价齐升，格局重塑,天风研究
514,2021-01-18,奥迪一汽新能源合资公司将成立，外方控股60%,Wind
515,2021-01-16,发力新能源、智能网联，山东青岛抢抓汽车产业升级机遇,新能源网
516,2021-01-15,一汽解放(000800.SZ)于1月15日向激励对象授予4118.04万股限制性股票,智通财经
517,2021-01-10,一汽解放元月随州千辆庆典仪式荣耀绽放,卡车之家
518,2021-01-08,一汽解放子公司经营范围新增“经营医疗器械”等,企查查
519,2021-01-07,新泉股份(603179)：定增成功发行 产能有序拓张 进口替代加速,新浪
520,2021-01-05,一汽解放发动机事业部营销誓师大会启幕,卡车之家
521,2021-01-05,【汽车】重卡：全年162万辆收官，同比+38%,天风研究
522,2021-01-04,万万没想到！A股所有卖车的竟不敌一家卖电池的,Wind
523,2021-01-04,新能源引爆资本市场 超8成上市车企2020年业绩“飘红”,中新经纬
524,2021-01-04,2020汽车公司市值榜：新能源引爆资本市场 超8成上市车企业绩“飘红”,每日经济新闻
525,2021-01-04,长春项目建设迎来“火热之冬”,吉林日报
526,2020-12-31,盘点2020年 骆驼商用车电池成绩单令业界瞩目,凤凰网
527,2020-12-29,蜕变升级！解放“感动服务”再创先河,卡车之家
528,2020-12-29,"再创先河 解放""感动服务""将在元旦启动",卡车之家
529,2020-12-29,一汽解放无偿向一汽奔腾划转17.02%股权,汽车之家
530,2020-12-28,打造民族品牌 与解放动力筑命运共同体,卡车之家
531,2020-12-28,一汽股份拟向一汽奔腾无偿划转股份 一汽集团整体上市路径待揭秘,每日经济新闻
532,2020-12-25,卡门简报 | 特斯拉中国回应“使用不合格零部件装车”；一汽-大众奥迪明年将推33款车；滴滴优步合并案再被举报,36氪
533,2020-12-25,一汽股份无偿划转一汽解放17.02%股权 助力一汽奔腾,中国网
534,2020-12-24,一汽解放：国务院国资委原则同意公司实施限制性股票激励计划,中证网
535,2020-12-24,一汽解放(000800.SZ)：限制性股票激励计划获国务院国资委批复,格隆汇
536,2020-12-23,延续“金九银十” 11月重卡市场再创新高,中国汽车报
537,2020-12-22,一汽解放(000800.SZ)1月至今累计获得政府补助2.5亿元,智通财经
538,2020-12-22,一汽解放：累计收到政府补助2.5亿元,中证网
539,2020-12-22,一汽解放(000800.SZ)：控股股东拟向一汽奔腾无偿划转公司17.02%股份 减持股份,格隆汇
540,2020-12-22,一汽解放(000800.SZ)：年初至今累计获得政府补助2.5亿元,格隆汇
541,2020-12-22,一汽解放：控股股东拟将17.02%公司股份划转给一汽奔腾 减持股份,Wind
542,2020-12-20,券业年内股债承销突破10万亿，创历史新高,券商中国
543,2020-12-18,一汽解放节油赛助力用户实现最大价值,卡车之家
544,2020-12-18,青岛街头最靓的仔来了！142辆解放纯电动公交上线运营,新浪
545,2020-12-18,解盘：百亿资金流入，煤炭、锂钴矿、光刻胶、白酒略涨,Wind
546,2020-12-17,一汽解放荣获“第15届人民企业社会责任奖”,中国机经网
547,2020-12-16,用极致细节诠释高端，解放轻卡领途上市,中国汽车报
548,2020-12-15,一汽富维：放弃一汽财务公司股份优先购买权暨关联交易,Wind
549,2020-12-15,解放年会：鱼快创领携带满满黑科技亮相,卡车之家
550,2020-12-12,斩断靠车吃车利益链，一汽集团“黑名单”处理合作商376家 违约失信,Wind
551,2020-12-11,一汽解放：信达保理将以支付银行承兑汇票方式偿还对供应商的应付账款,Wind
552,2020-12-11,13家整车企业氢电布局“谋略”,新能源网
553,2020-12-09,11月上市车企大盘点：63只汽车股市值约增7645亿元 53家公司业绩飘红,每日经济新闻
554,2020-12-08,解放年会：10大场景！59款产品亮相展台,卡车之家
555,2020-12-08,一汽解放2020年发行量、销量再破记录,卡车之家
556,2020-12-08,助力国六 雪佛龙亮相解放卡友嘉年华！,卡车之家
557,2020-12-07,相聚“卡友之夜”！与解放一起共启未来,卡车之家
558,2020-12-07,同舟20载 解放动力老友嘉年华上说年华,卡车之家
559,2020-12-07,市值月盘点 | 11月汽车股继续拉升：53家车企业绩飘红，市值增加超7645亿元,每日经济新闻
560,2020-12-07,重卡11月销量点评：11月再创单月记录 全年160万辆销量可期,新浪
561,2020-12-06,油耗25.93L！ 专访一汽解放节油赛冠军,卡车之家
562,2020-12-06,突破最低油耗！解放节油赛冠军经验分享,卡车之家
563,2020-12-06,夺冠！一汽解放节油赛两组冠军出炉,卡车之家
564,2020-12-06,一汽解放拟将150亿元债务转出至关联方,上证报
565,2020-12-05,一汽解放拟将150亿元债务转出至关联方,上证报
566,2020-12-05,上市公司正负面新闻2020年12月5日星期六,Wind
567,2020-12-04,晚间公告｜12月4日这些公告有看头,第一财经
568,2020-12-04,一汽解放(000800.SZ)拟将150亿元债务转出至信达保理,智通财经
569,2020-12-04,一汽解放：三家子公司拟将其总金额不超过150亿元的债务转出至信达一汽商业保理有限公司,Wind
570,2020-12-04,一汽解放：拟将其总金额不超过150亿元的债务转出至信达一汽商业保理有限公司,格隆汇
571,2020-12-04,汽车行业2020年11月重卡销量点评：11月重卡销量同比+26% 累计已超150万辆,新浪
572,2020-12-04,【民生证券研究院】晨会纪要20201204,MS研究
573,2020-12-03,【民生证券研究院】晨会纪要20201203,MS研究
574,2020-12-02,业绩回升！重卡销量八连涨，行业高景气持续,Wind
575,2020-12-02,【机会挖掘】11月预计重卡销售同比增长26% 产业链公司望受关注（附股）,证券时报网
576,2020-12-02,重卡市场为何火爆?,网易
577,2020-12-02,汽车行业报告-重卡：11月销量再创历史新高汽车,新浪
578,2020-12-01,一汽解放子公司获高新技术企业认定，未来三年享税收优惠政策,企查查
579,2020-12-01,2020年中国重卡行业产业链现状及发展趋势分析 自动驾驶重卡将是行业未来发展方向,前瞻研究院
580,2020-11-30,一汽解放：全资子公司通过高新技术企业认定,中证网
581,2020-11-30,一汽解放(000800.SZ)：子公司通过高新技术企业认定,格隆汇
582,2020-11-30,政策支持大力发展新能源汽车业 车企加码布局,中证报
583,2020-11-30,新能源汽车处在重要阶段 多种因素驱动名企陆续入局,中国报告大厅
584,2020-11-30,政策市场齐发力 新能源商用车驶上快车道,中证报
585,2020-11-27,中证指数公司将发布中证高端制造100指数等两只指数,Wind
586,2020-11-27,鱼快创领与七牛云合作落地，协同一汽解放用户运营再升级,砍柴网
587,2020-11-27,民族品牌指数涨0.66% 一汽解放领涨,上证报
588,2020-11-27,一汽解放获评“2020年度第一重卡品牌”,中证网
589,2020-11-27,【行情】汽车整车板块拉升，上汽集团逼近涨停，北汽蓝谷、小康股份涨4%，中通客车、一汽解放等跟涨,金十数据
590,2020-11-23,新华社民族品牌指数连续八周跑赢上证指数,中证报
591,2020-11-22,智加科技新融资1亿美元，加快部署自动驾驶重卡,盖世汽车
592,2020-11-18,民族品牌指数跌1.58% 一汽解放领涨,上证报
593,2020-11-18,一汽解放荣获国家级“绿色工厂”称号,卡车之家
594,2020-11-18,市值月盘点丨10月重卡股市值增长超75亿元 客车股静待拐点,每日经济新闻
595,2020-11-17,汽车行业周观点报告：长安携手华为、宁德打造高端品牌 自主有望崛起,新浪
596,2020-11-16,大股东包销定增愈演愈烈，千亿“补血”在路上,Wind
597,2020-11-14,外资品牌涌入国内重卡市场前夜：自主车企加快“冲高” 市场争夺即将白热化,每日经济新闻
598,2020-11-14,汽车行业报告-重卡：10月销量继续保持高增长,新浪
599,2020-11-13,一汽解放发布股权激励计划 助力公司战略落地,中证网
600,2020-11-13,一汽解放(000800.SZ)拟推限制性股票激励计划,格隆汇
601,2020-11-13,海尔驻车空调出行生态场景有卧室能做饭,卡车之家
602,2020-11-12,卡车空调费油？CIAAR亮相海尔驻车空调新品：0油耗，还美观,金融界
603,2020-11-10,新泉股份(603179)：Q3业绩超预期 乘商共增领跑进口替代赛道,新浪
604,2020-11-10,拟IPO的致远装备是否与控股股东真正“三独立”？,新浪
605,2020-11-09,交车及时服务细致这样的感动服务还有谁,卡车之家
606,2020-11-06,智加助力解放、挚途，业内率先通过量产自动驾驶系统“双预警”国家测试认证,第一电动网
607,2020-11-06,受益重卡行业景气度，龙头地位进一步巩固，一汽解放前三季度净利润增48.56%,证券时报
608,2020-11-06,北向资金火力全开！芯片、5G、新能源一个都不能少！,证券时报网
609,2020-11-06,汽车股跳水，江铃汽车跌逾5%,Wind
610,2020-11-04,【兴证汽车戴畅团队】重卡10月销量点评：10月销量再创记录，20Q4高景气延续,兴证汽车非常准
611,2020-11-03,【天风汽车】重卡：10月销量继续保持高增长,学学看汽车
612,2020-11-03,20家A股上市车企三季度财报汇总：市场活力恢复 头部企业利润大涨,第一电动网
613,2020-11-01,【天风汽车】一汽解放：三季报符合预期，受益行业高景气,学学看汽车
614,2020-10-30,一汽解放公布三季报 前三季净利增加48.56%,新浪
615,2020-10-30,一汽解放(000800.SZ)：前三季度净利升48.56%至26.51亿元,格隆汇
616,2020-10-30,一汽解放：前三季度净利润同比增长48.56%,Wind
617,2020-10-30,一汽解放荣获中国汽车工业科学技术奖重要奖项,中证网
618,2020-10-30,“金九”兑现“银十”可期 汽车板块集体飙涨丨牛熊眼,第一财经
619,2020-10-29,“真没想到”！这种车火了,中国经济网
620,2020-10-29,盘前有料丨蚂蚁集团今日申购；“十四五”大力推进绿色低碳经济…重要消息还有这些,证券时报网
621,2020-10-27,国三货车淘汰等政策拉动 重卡企提前完成全年销量目标,中国经营网
622,2020-10-27,选择华为云，一汽解放打造“智慧交通”最优解,北国网
623,2020-10-26,一汽解放50台新能源车型交付中栋新能源,卡车之家
624,2020-10-22,一汽解放(000800)：中重型车之王 构建智能物流新大陆,国联证券
625,2020-10-22,重卡市场喜迎金九，前三季度销量已超去年全年,中国汽车报
626,2020-10-21,总投资额2727.16亿元！佛山举行下半年233个重大项目集中开工投产活动,广州日报
627,2020-10-20,一汽解放第三季度盈利环比回落 投10亿元进军新能源轻卡市场 盈利能力下降,经济观察网
628,2020-10-20,资管大佬林鹏产品首发创纪录，和谐汇一调研路径曝光,Wind
