,2021-12-31,金域医学：国创开元累计减持0.03%股份，减持计划届满 拟减持股份,Wind
307,2021-06-08,晚间重要公告2021年6月8日星期二,Wind
308,2021-06-08,晚间公告｜6月8日这些公告有看头,第一财经
309,2021-06-08,金域医学：股东拟减持6%公司股份 拟减持股份,中证网
310,2021-06-08,金域医学(603882.SH)：持股6.71%的国创开元拟减持不超6%的股份 拟减持股份,格隆汇
311,2021-06-08,金域医学(603882.SH)股东国创开元拟减持不超2775.67万股 拟减持股份,智通财经
312,2021-06-08,金域医学：国创开元拟减持不超6%股权 拟减持股份,e公司
313,2021-06-08,金域医学：股东国创开元拟减持不超过6% 拟减持股份,财联社
314,2021-06-08,高瓴资本概念股多数调整，恩捷股份、凯莱英、泰格医药、金域医学等跌幅居前,Wind
315,2021-06-08,广东省委书记李希、省长马兴瑞到广州调研疫情防控工作,Wind
316,2021-06-08,海通证券研究所早报,新浪
317,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
318,2021-06-08,广东疫情反复，多家本地公司回应情况,Wind
319,2021-06-07,金域医学：广州区域日核酸检测量达35万管,中证网
320,2021-06-07,医疗健康行业：板块表现分化 关注国际化创新和消费升级,新浪
321,2021-06-07,金域医学(603882.SH)持股0.55%的股东拟清仓减持 拟减持股份,智通财经
322,2021-06-07,广州新冠核酸覆盖1867万常住人口，检测效率如何“快马加鞭”？,第一财经
323,2021-06-07,金域医学(603882.SH)股东国创开元累计减持18.32万股 减持期满 减持股份,智通财经
324,2021-06-07,金域医学：国创开元股权投资基金减持股份约18万股 减持股份,每日经济新闻
325,2021-06-07,注意！金域医学：公司股东国开博裕拟减持不超过约255万股 拟减持股份,每日经济新闻
326,2021-06-07,金域医学(603882.SH)每股派0.329元 股权登记日为6月11日,智通财经
327,2021-06-07,金域医学(603882.SH)：股东国开博裕拟减持不超0.55%的股份 拟减持股份,格隆汇
328,2021-06-07,金域医学(603882.SH)：2020年度权益分派10派3.29元 股权登记日6月11日,格隆汇
329,2021-06-07,金域医学(603882.SH)：股东国创开元拟减持不超2757万股 拟减持股份,格隆汇
330,2021-06-07,金域医学：国开博裕拟减持公司0.55%股份 拟减持股份,Wind
331,2021-06-07,金域医学：国创开元累计减持公司0.0396%股份 减持股份,Wind
332,2021-06-07,创全球新高！金域医学广州日核酸检测量达35万管,21世纪经济报道
333,2021-06-07,医药生物行业周报：如何从大品种价值理解前沿生物？,新浪
334,2021-06-06,核酸检测广东“军团”争分夺秒跑赢病毒,南方日报
335,2021-06-06,自动驾驶车成另类“逆行者”！广州“黑科技”紧急上线,科技日报
336,2021-06-06,“猎鹰号”气膜实验室临时党支部成立,科技日报
337,2021-06-05,确认！本土85人感染新冠，全部离南沙通道关闭,赛柏蓝器械
338,2021-06-05,广州科技“战疫”硬实力：无人驾驶配送物资，黄埔区试剂盒日产能最大780万人份,21世纪经济报道
339,2021-06-04,金域医学：国开博裕减持计划完成，减持股份约922万股,每日经济新闻
340,2021-06-04,基因测序双周榜：药明康德流通市值暴涨315亿元，核酸检测龙头金域医学“叫好不叫座”？,华夏时报
341,2021-06-04,金域医学(603882.SH)股东国开博裕累计减持922.09万股 减持期限届满,智通财经
342,2021-06-04,金域医学：股东国开博裕减持计划期限届满，累计减持1.99%股份,Wind
343,2021-06-03,广州气膜方舱实验室投入使用：日检测可超12万管,快科技
344,2021-06-01,广州启用首间“猎鹰号”气膜方舱实验室验核酸，日检三万管,奥一网
345,2021-06-01,“香港科创新机遇”系列之一｜解码大湾区生物医药发展样本：金域医学“拼船出海”,21世纪经济报道
346,2021-06-01,医疗健康行业：中金医药月度10+7组合：2021年6月组合,新浪
347,2021-06-01,医药生物行业事件点评：国内散点疫情反复 疫苗接种有望加速,新浪
348,2021-06-01,筑牢防控线 开足生产线,南方日报
349,2021-05-31,金域医学：助力医疗科技冷链物流服务,中证网
350,2021-05-31,医疗健康产业2021年下半年投资策略：百花齐放 关注疫情后时代的医药强势复苏,新浪
351,2021-05-31,广东首次启用无人机配送检测样本 降低运输成本,中新网
352,2021-05-31,广东首次启用检测样本无人机配送，无人机冷链物流服务全天候“随叫随到”,21世纪经济报道
353,2021-05-31,医药周报：骨修复材料市场增速近20% 人工材料为骨移植的新选择,新浪
354,2021-05-31,金域医学携手迅蚁科技 首次启用生物样本无人机配送,e公司
355,2021-05-31,高瓴资本概念股局部活跃，恩捷股份、金域医学飙升,Wind
356,2021-05-31,中信证券：医药投资进入了百花齐放的新时期,第一财经
357,2021-05-28,高瓴资本概念股整体低迷，健帆、金域、健康元、泰格、凯莱英等纷纷下滑,Wind
358,2021-05-27,预见2021：《2021年中国第三方医学诊断行业全景图谱》(附市场规模、竞争格局、发展前景等),前瞻研究院
359,2021-05-26,顶流私募出手，新材料龙头逼近新高,Wind
360,2021-05-24,医药行业每周医览药闻：全年业绩确定性强 长期看好院外零售快速多元化发展,新浪
361,2021-05-21,金域医学发布2020年社会责任报告 医检产业扶贫提升基层卫生服务能力,证券日报网
362,2021-05-20,金域医学发布2020年度社会责任报告 打造“健康哨兵”推动医疗普惠,上证报
363,2021-05-20,金域医学：已累计开展核酸检测超6500万人份,e公司
364,2021-05-20,金域医学：首次被纳入MSCI ESG评级 为国内第三方医检最高水平,e公司
365,2021-05-19,金域医学现1笔大宗交易 共成交372.04万元,新浪
366,2021-05-19,金域医学今日大宗交易成交2.84万股，成交价131.0元折价9.44%,Wind
367,2021-05-19,申港证券--从高景气二级行业出发选股：优化四维度连续景气综合打分系统找出最景气的申万二级行业【投资策略】,金融界股吧
368,2021-05-18,金域医学(603882.SH)完成工商变更登记并换发营业执照 业务变化,智通财经
369,2021-05-18,金域医学(603882.SH)向233名激励对象授予700万份股票期权,格隆汇
370,2021-05-18,高瓴资本概念股涨跌不一，公牛集团涨势强劲,Wind
371,2021-05-18,“中小企业”果然办成了“大事”,新华网
372,2021-05-17,金域医学(603882.SH)两名董监高拟合计减持不超5.13万股 拟减持股份,智通财经
373,2021-05-17,注意！金域医学：于世辉、汪令来拟减持不超过约5.12万股 拟减持股份,每日经济新闻
374,2021-05-17,金域医学：两股东拟合计减持不超0.0111%股份 拟减持股份,Wind
375,2021-05-17,金域医学(603882.SH)：2名董监高拟减持合计不超5.125万股 拟减持股份,格隆汇
376,2021-05-17,【国君金工】核心指数成分股调整名单及冲击成本预测,辰奥临君
377,2021-05-17,医药行业2020年年报及2021年一季报业绩综述：业绩持续回暖 行业景气度高,新浪
378,2021-05-17,医药周报：业绩空窗期 建议重点关注高壁垒好赛道估值合理个股,新浪
379,2021-05-14,高瓴资本概念股普遍反弹，健康元、金域医学大涨,Wind
380,2021-05-10,高瓴资本概念股局部活跃，凯莱英、泰格、健帆、金域、健康元逆市飘红,Wind
381,2021-05-07,医疗器械板块2020&2021Q1总结：抗疫需求持续释放 医疗新基建带动新增长,新浪
382,2021-05-06,"金域医学现1笔大宗交易 共成交2,076.90万元",新浪
383,2021-05-06,金域医学今日大宗交易成交15万股，成交价138.46元溢价0.0%,Wind
384,2021-05-06,医药行业2020年年报及2021年一季报总结：Q1业绩复苏回暖 看好CXO、疫苗、创新器械和服务等高景气板块,西南证券
385,2021-05-06,4月金股组合盈利5.26% 5月荐股名单出炉,新浪
386,2021-05-06,高瓴资本概念股多数走软，健康元、泰格医药、金域医学、甘李药业跌幅居前,Wind
387,2021-05-01,2020年中国第三方医学诊断行业市场竞争格局分析 龙头企业市场集中度较高,前瞻研究院
388,2021-04-30,医药“小阳春”行情渐入佳境 医药龙头股票有哪些？,至诚财经
389,2021-04-30,北上资金加仓多只绩优疫苗股，9股增持超亿,Wind
390,2021-04-30,千亿白酒股直线跌停！郭广昌又笑了，发生了什么,Wind
391,2021-04-28,医疗健康行业：一季度医药板块配置环比增加 二季度主线有望进一步多元化,新浪
392,2021-04-28,迪安诊断Q1净利增4990%核酸检测高峰已过常规需求有望持续,证券之星
393,2021-04-26,去年业绩大涨，检测巨头今年将面临“不合理医疗检查”大考,南都报
394,2021-04-26,八大券商主题策略：深度挖掘疫苗产业链机会 核心资产标的名单曝光,中金在线
395,2021-04-24,A股分化再起！基金高仓位不改，核心资产仍是风向？,Wind
396,2021-04-23,国元证券--金域医学2020年年报&2021Q1季报点评：业绩增长显着，新冠检测贡献增量收入【公司研究】,金融界股吧
397,2021-04-23,A股分化再起：茅指数涨逾2%，近3000只个股却下跌,Wind
398,2021-04-22,金域医学：截至3月底已累计开展核酸检测超6200万人份,Wind
399,2021-04-22,券商首次关注5股并给予买入评级（4月22日）,Wind
400,2021-04-21,9成盈利、54家业绩翻番：基金增持，医药股掀涨停潮,Wind
401,2021-04-21,华金证券--金域医学：ICL龙头业绩符合预期，常规业务快速恢复【公司研究】,金融界股吧
402,2021-04-21,看好医药股明星基金一季度增持,金融投资报
403,2021-04-21,144股获券商买入评级 金能科技目标涨幅达169.71%,Wind
404,2021-04-20,东吴证券--金域医学2020年年报及2021年一季报点评：业绩高增长，股权激励体现公司信心，ICL龙头发展提速【公司研究】,金融界股吧
405,2021-04-20,一季度多只医药股获明星基金增持,金融投资报
406,2021-04-20,医疗板块持续拉升，凯普生物一季报利润暴涨8倍涨超7.6%,资本邦
407,2021-04-20,高瓴资本概念股普遍强势，甘李、泰格、金域、国瓷材料、健帆生物大涨,Wind
408,2021-04-20,金域医学去年净利15亿销售费近10亿 一季度两基金减仓,中国经济网
409,2021-04-20,受益于新冠业务收入增长，金域医学一季度业绩大增超10倍,资本邦
410,2021-04-20,A股早报2021年4月20日星期二,Wind
411,2021-04-20,上市公司正负面新闻2021年4月20日星期二,Wind
412,2021-04-19,晚间重要公告2021年4月19日星期一,Wind
413,2021-04-19,金域医学(603882.SH)2020年度净利润升275.24%至15.1亿元拟10派3.29元,格隆汇
414,2021-04-19,金域医学(603882.SH)一季度净利润升1023.12%至5.38亿元,格隆汇
415,2021-04-19,金域医学(603882.SH)拟授出700万份股票期权 行权价为134.06元/股,智通财经
416,2021-04-19,金域医学(603882.SH)年度归母净利同比增长275.24%至15.097亿元 每10股派3.29元,智通财经
417,2021-04-19,金域医学：2020年净利润同比增长275.24%,Wind
418,2021-04-19,金域医学：一季度净利润同比增长1023.12%,Wind
419,2021-04-19,高瓴资本概念股普遍强势，国瓷材料、恩捷股份大涨,Wind
420,2021-04-13,预增王来了！医疗出口数据超预期，估值修复开启,Wind
421,2021-04-13,金域医学(603882.SH)及子公司累计获政府补助4010.66万元,智通财经
422,2021-04-13,高瓴资本概念股普遍强势，金域、健帆、甘李、凯莱英、广联达纷纷走升,Wind
423,2021-04-12,IVD行业投资探讨：Q1增长强劲，采购政策有望分类实施,中信建投证券研究
424,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
425,2021-04-08,A股小幅低开！创业板跌0.5%，煤炭、钢铁股走高,和讯
426,2021-04-08,医药生物行业：医疗体系运行常态化 看好一季度业绩表现,广发证券
427,2021-04-07,私募大佬冯柳百亿持仓曝光：青睐中小市值，新进持有这四只股票,21世纪经济报道
428,2021-04-07,高瓴资本概念股普遍调整，良品铺子、甘李、金域、广联达、公牛跌幅居前,Wind
429,2021-04-07,医药行业2021年4月投资月报：医药反弹后 如何布局估值性价比公司？,新浪
430,2021-04-07,医疗行业基本面确认，推荐三条投资主线,中信建投
431,2021-04-06,医药生物行业：为什么说智飞生物二季度有望迎来亮眼表现？,新浪
432,2021-04-06,医药行业2021年4月投资月报：把握一季报最佳反弹窗口期 加配低估值且高增长标的,西南证券
433,2021-04-06,医药行业周报：当前是反弹最佳窗口期 加配低估值高增长标的,西南证券
434,2021-04-06,医药行业每周医览药闻：从2020年财报看国内创新药行业发展,新浪
435,2021-04-06,A股收盘综述：指数窄幅整理，氢能及燃料电池概念股爆发,Wind
436,2021-04-05,股民沸腾！3400亿光伏龙头入局氢能，受益股大曝光！3大私募巨头一动作暗示重大信号！,每经牛眼
437,2021-04-05,股民沸腾：3400亿光伏龙头隆基正式入局氢能 受益股大曝光,每日经济新闻
438,2021-04-05,一文看懂为何近期医疗服务、医美标的股价反弹涨幅较大,21世纪经济报道
439,2021-04-03,基因测序双周榜：药明康德触底反弹“王者归来”？国际医学迎明星基金经理调研,华夏时报
440,2021-04-02,医药行业周报：一季报行情开启 建议关注高增长的医药板块,新浪
441,2021-04-02,金域医学(603882.SH)：君睿祺及君联茂林减持期过半累计减持239.66万股,格隆汇
442,2021-04-01,高瓴资本概念股普遍活跃，健帆、金域医学、广联达、健康元、恩捷涨幅居前,Wind
443,2021-04-01,兴证策略&多行业：2021年4月金股组合,新浪
444,2021-03-31,高瓴资本概念股多数调整，凯莱英、公牛、金域医学、广联达、恩捷纷纷下滑,Wind
445,2021-03-30,冯柳新进13股全名单曝光，哪些让他收获浮盈？,红周刊
446,2021-03-30,医疗股获资金热捧，机构看好的个股名单来了,第一财经
447,2021-03-29,金域医学股东辰德惟敬拟清仓减持 拟减持股份,北京商报
448,2021-03-29,医药这4个细分领域值得关注,制药网
449,2021-03-29,金域医学：公司股东辰德惟敬计划不超过约89万股股份,每日经济新闻
450,2021-03-29,金域医学：上海辰德惟敬投资中心拟清仓减持不超过0.19%公司股份 拟减持股份,Wind
451,2021-03-28,【中金医药】持续关注龙头企业，创新是核心驱动力，调整即是机会-中金医药周报,陆家嘴医药代表
452,2021-03-28,中信证券：医药外包、医疗服务、IVD及医疗信息化公司整体同比增速较快,第一财经
453,2021-03-28,一季报前瞻：整体乐观，优势赛道表现突出,中信建投证券研究
454,2021-03-26,金域医学：辰德惟敬减持计划到期，未减持公司股份,每日经济新闻
455,2021-03-26,金域医学(603882.SH)：辰德惟敬减持期届满未实施减持,格隆汇
456,2021-03-25,高瓴资本概念股表现活跃，恩捷、国瓷材料、健康元、金域、泰格医药普涨,Wind
457,2021-03-23,医药行业周报：医药板块“渐入佳境” 估值和基本面均逐步具备吸引力,新浪
458,2021-03-23,金域医学：目前公司暂无试剂生产业务,每日经济新闻
459,2021-03-22,医联与金域医学达成战略合作 为慢病患者提供及时专业的检验服务,北国网
460,2021-03-22,医药行业周报：建议关注血制品、疫苗、类消费生物药和药店 山东药玻以及迈瑞医疗,新浪
461,2021-03-22,高瓴资本概念股普遍活跃，凯莱英、金域医学、恩捷股份、泰格医药等集体走升,Wind
462,2021-03-21,医药生物行业周报：基因细胞治疗CDMO黄金赛道有望孕育下一个药明生物,新浪
463,2021-03-20,基因测序周榜：“医研茅”药明康德暴跌未止，低位个股丽珠集团涨幅居首迎春天？ 连续下跌,华夏时报
464,2021-03-19,医联携手金域医学 打造慢病管理领域云检测整合服务方案,证券日报网
465,2021-03-19,金域医学(603882.SH)：股东圣域钫质押375万股,格隆汇
466,2021-03-19,医药生物行业：业绩弹性逐步释放 关注一季报高增长品种,新浪
467,2021-03-16,医药生物行业周报：CXO、医疗服务、生物制品等板块预计Q1高增长,新浪
468,2021-03-16,高瓴资本概念股反弹，金域医学、凯莱英、广联达、恩捷股份、公牛集团普涨,Wind
469,2021-03-15,医药周报：一线龙头实现北上资金净流入 珍惜核心资产回调机会,新浪
470,2021-03-15,高瓴资本概念股普遍调整，泰格医药、甘李药业、凯莱英、金域医学领跌,Wind
471,2021-03-14,基因测序一周风云榜：汤臣倍健逆势增长20%，美年健康再度“卖子”意欲何为？,华夏时报
472,2021-03-10,白酒、医药多股涨停：财富制造机重启？这些个股已处加仓临界点？,红周刊
473,2021-03-10,西南证券--医药行业2021年3月投资月报：核心资产大跌之后性价比凸显，建议关注PEG投资机会【行业研究】,金融界股吧
474,2021-03-10,金域医学成立医学检验实验室公司，持股100%,企查查
475,2021-03-09,医药行业周报：逐步布局一季报高增长核心资产,新浪
476,2021-03-09,国盛证券--医药生物行业周报：全民免疫迫在眉睫，新冠疫苗的热点问题怎么看【行业研究】,金融界股吧
477,2021-03-09,医药生物行业半月谈：医药行业估值性价比开始凸显 适时布局高景气赛道和高成长个股,国海证券
478,2021-03-08,金域医学(603882.SH)收到中国证监会关于非公开发行股票的批复,智通财经
479,2021-03-08,金域医学：截至2月底，公司已累计开展核酸检测超5900万人份,每日经济新闻
480,2021-03-08,金域医学：证监会核准公司非公开发行不超过约312万股新股,每日经济新闻
481,2021-03-08,金域医学(603882.SH)定增申请获中国证监会核准,格隆汇
482,2021-03-08,医药周报：坚守具备估值安全垫、业绩增长确定性高的一二线龙头,新浪
483,2021-03-08,医疗健康行业：调整是布局良机 重点关注新冠疫苗加速接种带来的投资机会,新浪
484,2021-03-07,医药板块估值有多贵？哪些估值贵？【东吴医药朱国广团队|0307周报】,国广有话说
485,2021-03-06,抗疫概念股赚翻！有公司多赚65倍！核酸检测商机能吃多久？,南都报
486,2021-03-06,基因测序一周风云榜：药明康德市值大缩水，金域医学两股东三个月减持477万股 减持股份,华夏时报
487,2021-03-05,抗疫一年医药股谁最挣钱？英科医疗净利领涨，疫情消退考验“金域医学们”业绩持久性,华夏时报
488,2021-03-05,金域医学：股东国创开元减持计划时间已过半，累计减持0.04%股份 拟减持股份,Wind
489,2021-03-05,金域医学(603882.SH)：国创开元减持期过半累计减持18.32万股 减持股份,格隆汇
490,2021-03-05,医药生物行业：第四批集采落地 建议上游原料药行业,新浪
491,2021-03-05,金域医学党委书记、董事长兼首席执行官梁耀铭：发挥专业参与健康乡村建设 助力乡村振兴,每日经济新闻
492,2021-03-04,"【行情】新冠检测板块持续下跌，安图生物封跌停，万泰生物、金域医学跌逾7%，艾德生物、复星医药、华大基因、利德曼等跟跌
连续下跌",金十数据
493,2021-03-04,高瓴资本概念股普遍下滑，公牛集团、凯莱英、泰格医药、金域医学、恩捷股份领跌,Wind
494,2021-03-03,金域医学：国开博裕一期股权投资合伙企业减持约459万股，减持计划时间已过半,每日经济新闻
495,2021-03-03,金域医学：股东国开博裕一期（上海）股权投资减持1%公司股份 减持股份,Wind
496,2021-03-03,金域医学(603882.SH)：国开博裕减持期过半累计减持459.49万股 减持股份,格隆汇
497,2021-03-01,南粤?金域医学实验室正式承接澳门核酸检测任务,上证报
498,2021-02-22,盛视早参：“两会”前夕或维持震荡格局,新浪
499,2021-02-22,医药行业周报：趁医药回调良机 布局高景气板块,西南证券
500,2021-02-21,抱团要瓦解？机构慌了？看看“聪明资金”怎么操作,Wind
501,2021-02-21,抱团股开年巨震，顶流基金经理火速调仓！,中国基金报
502,2021-02-20,【浙商医药|孙建】周报：“恐高”回调，坚守主线,杏林建研
503,2021-02-20,基因测序一周风云榜：金域医学市值半月蒸发七分之一，药明康德市值稳居首位 连续下跌,华夏时报
504,2021-02-19,春运核酸检测真相调查：为回家花80块检测，“感觉亏了”,健识局
505,2021-02-19,三大概念股被主力资金抛弃,证券时报网
506,2021-02-19,高瓴资本概念股走势分化，公牛、甘李、国瓷材料、金域医学、恩捷股份等跌幅较大,Wind
507,2021-02-19,晨报0219 | 医药春季策略、新式茶饮行业专题、盘江股份（600395）,国泰君安证券研究
508,2021-02-18,金域医学龙虎榜数据（2月18日）,Wind
509,2021-02-18,跌停板解密：高位出逃，4只前期强势股遭资金甩卖！（2月18日）,Wind
510,2021-02-18,茅台“军团”群崩,中金在线
511,2021-02-18,慌了！2倍大牛股金域医学突然跌停！此前券商机构看涨至200元,搜狐
512,2021-02-18,金域医学跌停:万家基金持股 月初中金与国泰君安唱多,中国经济网
513,2021-02-18,医药行业动态研究周报(A股及港股)：继续看好年报及疫情主线,新浪
514,2021-02-18,医药行业2021年春季投资策略：供需皆强劲 业绩开门红,新浪
515,2021-02-18,机构懵了！抱团白马股群崩，周期股大爆发，什么情况？,中国基金报
516,2021-02-18,高瓴资本概念股多数调整，公牛集团、健帆生物、凯莱英、泰格医药、恩捷股份领跌,Wind
517,2021-02-18,开盘闪崩！2万股民懵了，700亿第三方医学检测龙头股突然跌停，市值瞬间蒸发76亿！网友：什么情况？ 连续下跌,每日经济新闻
518,2021-02-18,快讯：新冠检测板块大幅跳水 金域医学跌停,新浪
519,2021-02-18,【行情】新冠检测板块大幅跳水，金域医学跌停，艾德生物、万孚生物、万泰生物、之江生物等大幅下跌 连续下跌,金十数据
520,2021-02-10,节前股市迎来大红包，但这些“消费茅”仍趴地板上,证券时报网
521,2021-02-08,医药行业周报：积极关注新冠疫苗进展 持续拥抱差异化赛道,新浪
522,2021-02-08,50家上市械企年度预报 | 前10净利超281亿，IVD全线飘红！,医疗器械协会
523,2021-02-08,医药周报：板块回暖 新冠疫苗信息更新带动疫苗板块表现强势,新浪
524,2021-02-08,金域医学：已开展食品环境类的核酸检测业务,Wind
525,2021-02-08,金域医学：已开展食品环境类的核酸检测业务,格隆汇
526,2021-02-08,医药行业周报：第四批集采落地 持续看好创新及相关产业链CXO,西南证券
527,2021-02-07,医药生物行业2020业绩前瞻：2020板块分化明显 下半年医疗服务等有序复苏,新浪
528,2021-02-07,医药生物行业周报：新冠变异后是否需要常态化免疫加强？智飞新高后继续强烈看好,新浪
529,2021-02-07,医药冷链物流迎来爆发期，4000亿市场规模推动产业发展,证券之星
530,2021-02-07,核酸检测成利好 ICL借机走向台前,投资界
531,2021-02-06,十亿核酸检测需求 撬动春运最大“订单”,钛媒体
532,2021-02-05,核酸检测是门好生意吗？上市公司净利润暴涨数十倍,36氪
533,2021-02-05,基因测序行业一周风云榜：美年健康成功“卖子”拉动业绩，华大基因定增20亿元,华夏时报
534,2021-02-05,高瓴资本概念股表现活跃，海正药业封板、健帆生物一度涨停,Wind
535,2021-02-05,解盘：权重继续拉指数，医药、大消费、茅指数略涨,Wind
536,2021-02-03,长城证券--金域医学：业绩表现持续抢眼，新冠检测推动高增长【公司研究】,金融界股吧
537,2021-02-03,医药生物2月月报：寻业绩主线 重点关注CXO等高增长赛道,新浪
538,2021-02-02,累计开展核酸检测超3000万人份 金域医学2020年业绩大幅预增,中国经济网
539,2021-02-02,高瓴资本概念股普遍强势，良品铺子、公牛集团、泰格医药、金域医学等纷纷走升,Wind
540,2021-02-02,金域医学(603882)：ICL龙头公司 “规模+技术”双轮驱动,新浪
541,2021-02-02,销售每日AH推荐,新浪
542,2021-02-02,金域医学(603882)：业绩持续超预期 新冠显着受益,新浪
543,2021-02-02,医药行业周报：短期流动性收紧 如何看医药后市机会？,西南证券
544,2021-02-02,医药周报：专注优质赛道 精选成长路径明确、估值合理的板块及标的,新浪
545,2021-02-01,2021年医药行业如何投资？高瓴A股医药公司持仓曝光,健识局
546,2021-02-01,中泰证券--金域医学：业绩符合预期，新冠检测贡献较高增量【公司研究】,金融界股吧
547,2021-02-01,太平洋--金域医学：20Q4新冠仍有较大贡献，全年业绩高增长【公司研究】,金融界股吧
548,2021-02-01,浙商证券--金域医学2020年业绩预告点评：全年业绩高增，看好新冠业务持续及高质量发展【公司研究】,金融界股吧
549,2021-01-29,金域医学(603882.SH)预计2020年归母净利润同比增加247.97%至287.74%,智通财经
550,2021-01-29,核酸检测生意大起底：返乡催生600亿市场，试剂利润不菲，服务赚头最高,读懂财经
551,2021-01-29,医药行业重大事项点评：国务院发布药品带量采购意见 应采尽采 范围更广,新浪
552,2021-01-29,金域医学2020年净利预增超247% 未来新冠检测业务存不确定性,中新经纬
553,2021-01-29,金域医学：2020年净利预增248%到288%,e公司
554,2021-01-29,金域医学：预计2020年度净利润14亿元-15.6亿元同比增长248%-288%,格隆汇
555,2021-01-29,核酸检测生意经：兼职中介日赚千元，这个环节加价最多,新浪
556,2021-01-29,华测检测(300012)：业绩符合预期 运营效率稳步提升,广发证券
557,2021-01-29,医药生物行业：药品集采常态化 坚定拥抱医药创新,新浪
558,2021-01-29,高瓴资本概念股普遍调整，凯莱英、健康元、金域医学、海正药业跌幅居前,Wind
559,2021-01-29,五日龙虎榜追踪 机构抢筹这52股,证券之星
560,2021-01-28,浙商证券--医药行业周报：CXO/IVD业绩预喜，疫情下持续高景气【行业研究】,金融界股吧
561,2021-01-28,2020年四季度基金医药持仓点评：四季度公募基金医药重仓持股小幅下降 头部聚集趋势延续,新浪
562,2021-01-28,机构五日抢筹26股 主力资金大量流入,证券之星
563,2021-01-27,掘金龙虎榜 54股近期获机构净买入,证券之星
564,2021-01-27,中信建投：节前看好年报行情及疫情受益主线,Wind
565,2021-01-27,确保春运防疫两不误，医疗机构与上市公司马力全开应对核酸检测,Wind
566,2021-01-26,医药行业Q42020持仓分析：医药仓位有所回落 核心资产持续加强,西南证券
567,2021-01-26,再也无法忽视的疫情防控功臣-独立医学实验室ICL,YY港股圈
568,2021-01-26,医药周报：疫情防控需求带来业绩弹性 精选优质检测标的,新浪
569,2021-01-25,医药生物行业周报：2020Q4公募基金重仓医药持仓几何？继续强调Q1医药躁动期,新浪
570,2021-01-25,机构最近都在买哪些股？,证券之星
571,2021-01-25,A股早报2021年1月25日星期一,Wind
572,2021-01-25,部分医院放号翻倍 检验平台下单量增40倍,广州日报
573,2021-01-24,返乡需查核酸，概念股站上风口,杭州网
574,2021-01-23,返乡“通行证”！核酸检测概念股站上风口，去年有企业净利涨70倍,腾讯网
575,2021-01-23,两连板的金域医学(603882.SH)：未来新冠相关检测业务是否继续保持增长存在不确定性,格隆汇
576,2021-01-23,返乡新规激起千层浪：核酸检测概念股逆市上涨，第三方检测机构连夜布局,36氪
577,2021-01-23,春节返乡人员核酸检测需求暴增 有企业称单日下单量增加约40倍,证券日报
578,2021-01-22,医药股加速爆发，超九成公司预盈，板块投资前景如何？,第一财经
579,2021-01-22,金域医学龙虎榜数据(1月22日）,Wind
580,2021-01-22,金域医学三日两涨停 机构资金博弈激烈,e公司
581,2021-01-22,机构今日买入这7股，卖出金域医学1.29亿元丨牛熊眼,第一财经
582,2021-01-22,涨停板解密：医药股火爆上涨引领市场！（1月22日）,Wind
583,2021-01-22,核酸检测需求大增！广东多地提醒,南方+
584,2021-01-22,核酸检测概念股逆市上涨，产品或有增量，未来业绩影响如何？,奥一网
585,2021-01-22,涨停板复盘：三大指数分化明显 新冠检测板块全线大涨,新浪
586,2021-01-22,核酸检测大增！这家公司股价四年暴涨23倍，广州老板身家160亿,腾讯网
587,2021-01-22,A股收盘综述：沪指回撤险守3600点，创业板指大涨逾2%,Wind
588,2021-01-22,核酸检测概念股持续走强，医疗ETF放量大涨5.78%,Wind
589,2021-01-22,高瓴资本概念股普遍走强，金域医学连续两日涨停,Wind
590,2021-01-22,什么信号？早盘北向资金转为净流出,上证报
591,2021-01-22,解盘：科技、金融普跌，锂矿、肺炎检测、电源设备略涨,Wind
592,2021-01-22,A股午盘综述：大小指数分化，上证指数跌0.73%,Wind
593,2021-01-22,医疗ETF(SZ159828) 高开高走涨超3%，成交额突破5000万元,Wind
594,2021-01-22,医疗器械服务概念早盘拉升 金域医学等涨停,中国经济网
595,2021-01-22,新冠肺炎检测概念股涨幅扩大，金域医学涨超9%,Wind
596,2021-01-22,新冠肺炎检测概念股延续强势，西陇科学开盘涨停,Wind
597,2021-01-22,核酸检测概念股大涨，第三方核检机构吃香？有机构称：咨询电话一个接一个,每日经济新闻
598,2021-01-22,百元股数量创历史新高，67股获北上资金增持,Wind
599,2021-01-21,春运返乡引爆核酸检测市场，供给能否满足庞大需求,第一财经
600,2021-01-21,21深度丨春节返乡需核酸检测：17亿人次大迁徙，各地检测能力跟得上吗？,21世纪经济报道
601,2021-01-21,春节返乡政策引爆核酸检测概念，多家公司回应相关业务情况丨牛熊眼,第一财经
602,2021-01-21,“国家送订单”！春节返乡政策开辟千亿新市场，刚需驱动下业绩预增最高70倍，2021核酸检测需求只增不减,金融界
603,2021-01-21,预计17亿人次核酸检测订单来袭：部分城市预约紧张，第三方医检机构连夜布局,21世纪经济报道
604,2021-01-21,65股携上证指数创新高，业绩成走牛关键,Wind
605,2021-01-21,A股收盘综述：上证指数涨逾1%重回3600点，创业板指再创阶段新高,Wind
606,2021-01-21,高瓴资本概念股整体活跃，国瓷材料、公牛集团、良品铺子均大涨,Wind
