,2021-12-31,金融科技破解西安医药企业资金难题，平安银行全力支持抗疫,凤凰网
1175,2021-08-19,上半年净赚175.83亿元！平安银行零售业务增长强劲，贡献净利接近七成！,中国证券网
1176,2021-08-19,资产减值损失下降，平安银行净利润现七年最快增长,第一财经
1177,2021-08-19,平安银行上半年零售贷款余额增长9.4%至1.76万亿,21世纪经济报道
1178,2021-08-19,平安银行上半年净利润同比大增28.5% 核心一级资本充足率进一步下行至8.49%,21世纪经济报道
1179,2021-08-19,中国平安(02318)：平安银行中期净利同比增长28.5%至175.83亿元,智通财经
1180,2021-08-19,平安银行上半年日赚近亿元，净利润涨28.5%创六年来新高，财富客户数破百万户,搜狐
1181,2021-08-19,沪农商行上市首日涨20% 但在同类银行首日涨幅中还“垫底”,第一财经
1182,2021-08-19,财富管理聚光灯下，平安银行净利润增长28.7%，2/3来自零售金融|和讯曝财报,和讯
1183,2021-08-19,持续获取优质土储 2021上半年远洋构筑企业发展护城河,和讯
1184,2021-08-19,晚间重要公告2021年8月19日星期四,Wind
1185,2021-08-19,平安银行披露多项零售关键指标 近67%净利润来自零售业务,新浪
1186,2021-08-19,平安银行：平安理财上半年实现净利润8.20亿元,北京商报
1187,2021-08-19,沪农商行上市首日涨超20%，业内看好银行股中报行情,第一财经
1188,2021-08-19,平安交出服务小微高质量“答卷” 贷款余额户数达75.16万户,中国金融新闻网
1189,2021-08-19,强劲增长28.5% 平安上半年实现净利176亿,中国金融新闻网
1190,2021-08-19,远洋集团发布2021中期业绩：“南移西拓”成效显着 “绿档”优势筑牢发展基石,乐居财经
1191,2021-08-19,平安银行上半年日赚近1亿元，房地产业不良双升，新一贷增长53.1%,中华网
1192,2021-08-19,平安银行2021年上半年净赚175.83亿元 同比增长28.5%,上证报
1193,2021-08-19,平安银行上半年实现净利175.83亿元 同比增长28.5%,北京商报
1194,2021-08-19,平安银行：上半年净利润同比增长28.55%,Wind
1195,2021-08-19,平安银行进入盈利释放期 中期业绩在高拨备下净利实现近三成增长,发现网
1196,2021-08-19,平安银行：上半年利润总额223.41亿元，同比增长27%|中报快讯,乐居财经
1197,2021-08-19,8月19日晚间上市公司十大重磅公告,巨丰财经
1198,2021-08-19,平安银行2021年中期净利润强劲增长28.5％ 达175.83亿元,金融界
1199,2021-08-19,平安银行半年报出炉：不良贷款率1.08% 较上年末下降0.10个百分点,新浪
1200,2021-08-19,北向资金年内第三次单日净卖出超百亿，中国平安遭大幅抛售超18亿,Wind
1201,2021-08-19,营收保持稳健增长 平安银行(000001.SZ)上半年净利润同比增长28.5%至175.83亿元,智通财经
1202,2021-08-19,平安银行半年报：上半年净利175.83亿元 同比增长29%,财联社
1203,2021-08-19,平安银行：上半年净利润175.83亿元，同比增长28.5%,Wind
1204,2021-08-19,平安银行步招行后尘，代销信托产品构成实质性违约，不刚兑,微信
1205,2021-08-19,北京发行13亿地方政府债券 个人8月23日起可购买 起投金额为100元,北京青年报
1206,2021-08-19,【银行】中报陆续披露，聚焦业绩超预期个股——银行业月报——看好,渤海证券研究
1207,2021-08-19,【东吴晨报0819】【固收】【行业】银行、轻工【个股】锐科激光、爱博医疗、舜宇光学科技、福斯特、老百姓、高能环境,东吴研究所
1208,2021-08-19,【银行*马祥云】银行理财2021年中报解析：如何应对新的增长压力？,东吴研究所
1209,2021-08-19,营收净利双升 上市银行期中考还有哪些烦恼,北京商报
1210,2021-08-18,平安银行信用卡，汽车生态的多元赋能者,金融界
1211,2021-08-18,链接200万台物联网设备背后，平安星云物联网平台做对了什么,金融界
1212,2021-08-18,15万亿板块突然爆发，重磅会议引爆全新赛道？,Wind
1213,2021-08-18,北京将发行13亿元地方债券,北京晚报
1214,2021-08-18,“废太子”实名举报父亲，双汇、万州国际股价大跌,Wind
1215,2021-08-18,【行情】银行板块午后持续走高，瑞丰银行涨停，宁波银行、招商银行、平安银行跟涨,金十数据
1216,2021-08-18,突发重磅！千亿巨头“废太子”实名举报父亲，股价应声暴跌！券商银行军工大爆发，招行狂飙6%！实控人出大事，这A股被砸20%跌停！,中国基金报
1217,2021-08-18,解盘：金融撑指数，盐湖提锂、大飞机、纯碱略涨,Wind
1218,2021-08-18,银行股集体走强，招商银行涨近5%,Wind
1219,2021-08-18,华夏幸福债务危机余震！招商银行代销的5亿信托违约，刚兑时代落幕,中新经纬
1220,2021-08-18,天风研究核心推荐全景20210817,天风研究
1221,2021-08-17,【银华基金】交易日报 2021-08-17,新浪
1222,2021-08-17,21说案｜银行代销的资管产品亏损，代销方在什么情况下要担责？,21世纪经济报道
1223,2021-08-17,旗下11只基金年内收益率告负 西部利得超三成产品规模不足2亿元,金融界
1224,2021-08-17,平安银行到访腾讯，培训交流数据驱动下的产品运营,凤凰网
1225,2021-08-17,青岛自贸区首家分行“平安银行青岛自贸区分行”挂牌开业,搜狐
1226,2021-08-17,记者体验：数字人民币APP钱包充值可选银行扩充至19家,21世纪经济报道
1227,2021-08-17,北京将发行13亿元地方债，个人可认购，100元起投,北京日报
1228,2021-08-17,为客户打通全市场专业优质资源,中国金融新闻网
1229,2021-08-17,【银行】银行业周报—银行板块走强，行业中期业绩向好,中银证券研究
1230,2021-08-17,义翘神州中一签可赚15万 资金跑步入场 市场不缺机会,财富动力网
1231,2021-08-17,平安银行高管任职现乌龙,新浪
1232,2021-08-17,【天风｜财富管理】三大能力与三分天下——大财富管理行业的现状与未来,新锐视角看金融
1233,2021-08-16,陈光明旗下新品狂卖至少110亿，最新投资动向大曝光,Wind
1234,2021-08-16,张化桥：微众银行——互联网流量巨头的泡沫难复制,新浪
1235,2021-08-16,银行行业周报：中报催化估值修复行情 关注业绩超预期个股,新浪
1236,2021-08-16,穆迪最新评级报告：维持平安银行的评级，展望从稳定调整为正面,每日经济新闻
1237,2021-08-16,华夏幸福的爆雷“冲击波”或许才刚刚开始·····,微信
1238,2021-08-16,穆迪调整平安银行展望由稳定至正面,资本邦
1239,2021-08-16,穆迪将平安银行展望从稳定调整为正面 预计该行资产质量将会回升,财联社
1240,2021-08-16,银行业周报：银行中报表现优秀 行业估值有望修复,新浪
1241,2021-08-16,金融行业周报：金融板块低估值 关注半年报超预期行情,新浪
1242,2021-08-16,本周股市三大猜想及应对策略,财富动力网
1243,2021-08-16,揭秘各路机构“心动股” 新能源赛道最受追捧,证券时报
1244,2021-08-16,基遇人生：刘格菘的十二年成长路,第一财经
1245,2021-08-15,平安银行能否长点心：将行助申报为副行长 银保监核准予以注销,凤凰网
1246,2021-08-15,浦发发文，取消5家收单机构信用卡积分,腾讯网
1247,2021-08-14,罕见！银行高管任命现“乌龙”，错把“行长助理”报为“副行长”,丁丁创e
1248,2021-08-14,主力资金最钟情股来了！谁是新晋心动股，谁是主力“心头肉”，30只“长情股”名单出炉,证券时报网
1249,2021-08-14,内蒙古第一机械集团股份有限公司关于部分募集资金理财产品到,证券时报
1250,2021-08-14,招行银行2021年半年报点评：消失的200亿利润及大财富管理转型,雪球
1251,2021-08-14,银行行业本周资金流入榜：12股净流入资金超亿元,证券时报网
1252,2021-08-14,深耕重点客群经营之道 看平安银行车主金融如何赢得4000万车主的心,乐居财经
1253,2021-08-13,平安银行闹乌龙：错将分行行助报为副行长，监管核准后无法到任,澎湃新闻
1254,2021-08-13,未来可期！深圳地方债首次通过银行柜台发行受热捧!,搜狐
1255,2021-08-13,错将行长助理报为副行长！张齐银川分行副行长任职资格被注销,新浪
1256,2021-08-13,平安银行管理人员任命现“乌龙”：错将行长助理报为副行长,新浪
1257,2021-08-13,中信银行、平安银行信用卡中心上半年在深圳中资银行总部机构投诉量居前列,中华网
1258,2021-08-13,商业银行行业：商业银行业日报(2021.8.12),新浪
1259,2021-08-13,平安银行高管任职闹乌龙，行长助理错报成副行长，任职被注销,腾讯网
1260,2021-08-13,恒泰财经早餐8月13日（音频版）,恒泰睿财
1261,2021-08-13,【中信建投金融】招商银行深度：商行+投行+财富分部估值体系，目标估值3倍PB,大金融研究
1262,2021-08-12,中信银行信用卡中心上半年在深圳遭7800条投诉 排名居首,中国网
1263,2021-08-12,中银证券：看好银行板块中报行情,Wind
1264,2021-08-12,去平安银行买高收益理财，被客户经理取走200万,IT时代网
1265,2021-08-12,每日理财观察：中国7月M2同比增长8.3%，新增人民币贷款1.08万亿,Wind
1266,2021-08-12,【银行】上半年商业银行净利润同比增速11.1%，资产质量保持稳定——银行业周报——看好,渤海证券研究
1267,2021-08-12,银行业7月金融数据点评：社融逐步触底 待后续财政发力,新浪
1268,2021-08-12,逐渐趋向互联网化，传统基金销售渠道谋变突围,Wind
1269,2021-08-12,持续反弹 银行股重回投资视野,中证网
1270,2021-08-12,逐渐趋向互联网化 传统基金销售渠道谋变突围,上证报
1271,2021-08-12,银行角度看7月社融：季节过度月，下半年看项目贷款与居民消费贷【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1272,2021-08-11,7月金融数据点评：7月金融数据的几个信号,新浪
1273,2021-08-11,保险金信托实战细节： “风险管理+传承”功能下有迷局待解,21世纪经济报道
1274,2021-08-11,交行加入0元购战局！基金保有量透明化倒逼，行业代销生态剧变,搜狐
1275,2021-08-11,北向资金今日净卖出超28亿元，白酒股持续惨遭抛售,Wind
1276,2021-08-11,银行业2Q21银保监会监管指标点评：盈利释放 资产质量继续改善,新浪
1277,2021-08-11,深度*行业*银行业2季度数据点评：单季净利润增长23% 看好中报行情,新浪
1278,2021-08-11,银行行业点评：资产质量比利润高增长更重要,新浪
1279,2021-08-11,29家商业银行入围二季度基金代销机构公募基金销售保有规模100强,中国网
1280,2021-08-11,板块异动 | 资产质量夯实盈利显着修复 银行板块再度上扬,智通财经
1281,2021-08-11,2021年二季度银行业监管数据点评：大行有望修复 但我们仍更看好优质中小行,新浪
1282,2021-08-11,零售类不良资产批量转让半年透视：能否从“不温不火”走向“供需两旺”？,金融时报
1283,2021-08-11,银行股拉升，平安银行、邮储银行、杭州银行领涨,Wind
1284,2021-08-11,这家国有大行放大招！超1300只基金0元购，啥情况？,Wind
1285,2021-08-11,银行业利润同比高增11%，资产质量保持优异——银保监会2季度数据点评【中泰银行·戴志锋/邓美君/贾靖/姚煜波】,传统借贷vs新型金融
1286,2021-08-11,银保监会2季度数据点评：银行业利润同比高增11% 资产质量保持优异,新浪
1287,2021-08-11,宝能系一信托计划违约 金融机构介入化债问题待解 违约失信,全景网
1288,2021-08-11,宝能系一信托计划违约 民生信托、平安银行已经介入 违约失信,证券时报网
1289,2021-08-11,这家国有大行放大招！超1300只基金0元购，啥情况？,中国基金报
1290,2021-08-10,银行高管薪酬排行榜：民生银行管理层薪酬总额超6000万元 位列上市银行第一,21世纪经济报道
1291,2021-08-10,不确定性激增的时代下，银行如何帮助实体经济最大化“避险”,和讯
1292,2021-08-10,平安银行(000001.SZ)给予广西唐玺不超15亿元授信额度,智通财经
1293,2021-08-10,"连赚三个涨停！上市公司监事""内幕交易""，结果，罚单来了 董监高成员异常事件",中国基金报
1294,2021-08-10,国泰君安：维持平安银行(000001.SZ)“增持”评级 目标价29.87元,智通财经
1295,2021-08-10,银行业2021年二季度货币政策执行报告点评：央行担忧经济增长动能的可持续性 稳增长措施提前布局,新浪
1296,2021-08-10,板块异动丨信贷需求旺盛 银行板块再度拉升,智通财经
1297,2021-08-10,角逐财富管理市场，光大银行将有新动作,河南商报
1298,2021-08-10,银行估值近十年低位，中报季来临，银行涨势能持续吗？,奥一网
1299,2021-08-10,角逐财富管理市场，又一家银行将有新动作,南都网
1300,2021-08-10,银行周报：估值历史最低 触底反弹可期,新浪
1301,2021-08-10,紫江企业分拆新材料上市涉内幕交易 原监事陈虎被罚 董监高成员异常事件,中国经济网
1302,2021-08-10,2021年二季度货币政策执行报告点评：贷款利率下行 货币政策有边际趋松可能,新浪
1303,2021-08-10,银行角度看央行2季度货币报告：结构和利率维度拆解6月贷款利率环比下降,新浪
1304,2021-08-10,宝能违约后，某信托这么说······ 违约失信,微信
1305,2021-08-10,A股早报2021年8月10日星期二,Wind
1306,2021-08-10,基金减持 大股东减持 银行估值近十年低位 减持股份,南都报
1307,2021-08-10,内部结构性调整，有助于市场长期发展,国盛证券
1308,2021-08-10,银行股要开始反弹了吗?机构：已有资金悄然布局,财富动力网
1309,2021-08-10,A股风格快速切换：金融地产绝地反击，热门赛道“停车休整”,Wind
1310,2021-08-10,一半是海水一半是火焰，极致行情下基金调仓换股攻略,Wind
1311,2021-08-10,A股“气温”波动，热门股遇冷“银地保”回暖,Wind
1312,2021-08-10,啥情况？价值股节节败退，邱国鹭竟被怼,Wind
1313,2021-08-09,结构和利率维度拆解6月贷款利率环比下降——银行角度看央行2季度货币报告【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1314,2021-08-09,银行股集体反弹！短期行情要来了？,Wind
1315,2021-08-09,深港通十大成交活跃股排名（8月9日）,Wind
1316,2021-08-09,北上资金净买入44.66亿元 比亚迪净买入居首,证券时报网
1317,2021-08-09,年化费率披露不完善？十大银行全面整改信用卡分期问题,中华网
1318,2021-08-09,A股风格分化背后：外资加仓“老白马”，两融资金涌入周期股,Wind
1319,2021-08-09,北向资金今日净买入44.66亿元，光伏股逆势遭大幅抛售,Wind
1320,2021-08-09,8月9日主力资金净流出216亿元,证券时报网
1321,2021-08-09,市场风格切换？百股涨停！“老白马”大爆发,Wind
1322,2021-08-09,A股资金流向（8月9日）：市场复刻上周一行情，资金青睐大金融板块,Wind
1323,2021-08-09,"地产爆炸，宁王倒下！1400亿白马罕见触及涨停！刚刚，A股最火板块暴跌！金融地产狂飚，中国平安再回万亿市值！转换能持续吗？
安全事故",雪球
1324,2021-08-09,平安银行收报19.06元涨6.7% 总市值3698.8亿元,乐居财经
1325,2021-08-09,银行行业研究周报：长三角城商行大PK,新浪
1326,2021-08-09,ISC 2021数字时代的安全情报论坛 共话情报能力建设,北国网
1327,2021-08-09,年轻不设限，我不止一面 平安银行哪吒主题卡面-双生版全国首发,证券之星
1328,2021-08-09,深度策划：平安银行打造“三公里生态金融服务圈”远远不止三公里,凤凰网
1329,2021-08-09,A股最火板块半日蒸发1900亿！阿里巴巴盘中重挫4%,Wind
1330,2021-08-09,A股风格大逆转！芯片锂电股大跌，万亿巨头跳水,Wind
1331,2021-08-09,巨丰午评：沪指涨0.9% 大金融板块集体护盘,巨丰财经
1332,2021-08-09,解盘：权重白马爆发，食品、水泥、家电、保险领涨,Wind
1333,2021-08-09,东方证券封板 平安银行涨逾7% 大金融板块集体反攻,第一财经
1334,2021-08-09,板块异动 | 市场流动性稳定 银行股集体反弹,智通财经
1335,2021-08-09,银行股集体反弹，平安银行涨超7%,第一财经
1336,2021-08-09,快讯：银行股集体反弹 平安银行均大涨6%,财联社
1337,2021-08-09,快讯：银行股早盘集体反弹 平安银行涨超5%,新浪
1338,2021-08-09,银行板块走强 平安银行涨超5%,中证网
1339,2021-08-09,平安银行股价涨5.4% 现报18.83元,乐居财经
1340,2021-08-09,银行股拉升 平安银行、杭州银行涨超5%领涨,格隆汇
1341,2021-08-09,银行股全线上扬，平安银行涨近5%,Wind
1342,2021-08-09,信用卡分期收费信息告知不明晰 深圳市消委会推动10家银行全面整改,中国消费者报
1343,2021-08-09,多家银行收紧贵金属交易 仍慑于“原油宝”余威？,新浪
1344,2021-08-08,估值在“地板上摩擦”，钱存银行还是买银行股？,中证报
1345,2021-08-08,不限次数、个人免手续费，多家银行扎堆大额存单线上转让功能意欲何为,北京商报
1346,2021-08-08,【东吴金融 | 行业周报】持续关注低估值金融板块,微信
1347,2021-08-08,聚焦四大用车场景，平安“818温暖车主季”全新升级,财经网
1348,2021-08-08,银行行业周报：社融投放趋于集中 关注全行业H1数据披露,新浪
1349,2021-08-08,平安“818温暖车主季”全新升级 一站式汽车生态累计服务逾2亿用户,证券时报网
1350,2021-08-08,商业银行行业：商业银行业日报,新浪
1351,2021-08-08,兴证非银周报：估值错位 增配券商,新浪
1352,2021-08-07,张坤易方达蓝筹精选2021年半年报点评,雪球
1353,2021-08-07,银行股现止跌迹象，已有资金悄然布局,Wind
1354,2021-08-06,改了数十版方案，北大方正重整中引入的服务信托长什么样？,第一财经
1355,2021-08-06,446家机构开户仅9笔成交转让公示 个贷不良批量转让开户火爆、挂牌审慎,中国经营网
1356,2021-08-06,深圳市消委会推动十大银行全面整改信用卡分期问题,中国消费网
1357,2021-08-06,平安银行香港分行私人财富管理业务获批开业,e公司
1358,2021-08-06,中国平安股价为何半年内连续下跌 中国平安做错了什么？ 连续下跌,新浪
1359,2021-08-06,亚太最佳零售银行？平安银行还是先解决好自己的海量投诉吧,搜狐
1360,2021-08-06,市消委会联合深圳银保监局推动解决10家银行整改信用卡分期问题,深圳商报
1361,2021-08-06,利用职务便利侵占客户资金 平安银行三亚支行经理助理被终身禁业,中华网
1362,2021-08-06,构建财富管理新生态，这家银行在行动,21世纪经济报道
1363,2021-08-05,继平安银行之后，招商证券“试水”基金申购费打一折,Wind
1364,2021-08-05,基金代销自我“革命”：继平安银行之后，招商证券也“试水”基金申购费打一折,金十数据
1365,2021-08-05,套现9.14亿后太保寿险再度减持！杭州银行不“香”了吗？ 减持股份,凤凰网
1366,2021-08-05,高盛：降农行(1288.HK)目标价至2.81港元 评级沽售 机构下调估值,格隆汇
1367,2021-08-05,专题：探寻第一共和银行高估值之谜-招证|银行,志明看金融
1368,2021-08-05,基金代销券商大洗牌！“一哥”中信规模下滑，华泰翻倍追赶，招商打价格战,新浪
1369,2021-08-05,【银行】坚持稳中求进总基调，注重跨周期政策设计——银行业周报——看好,渤海证券研究
1370,2021-08-05,财信证券银行业2021年8月月度报告：房贷增速持续下降，板块低估值有望修复,财信证券研究
1371,2021-08-05,银华基金管理股份有限公司关于银华 新能源新材料量化优选股票型发起式证券投资基金增加平安银行股份有限公司 为代销机构的公告,证券日报
1372,2021-08-04,逾400家机构入局个贷不良转让，资产定价仍是难题,第一财经
1373,2021-08-04,基金代销打起“价格战”？新投顾时代正在开启！,新浪
1374,2021-08-04,国锐地产为北京路桥5.16亿元贷款提供担保 大额借贷担保,观点地产网
1375,2021-08-04,国锐地产(00108)拟为北京建工路桥集团合共最高5.16亿元贷款提供担保 大额借贷担保,智通财经
1376,2021-08-04,国锐地产(00108.HK)附属与北京建工路桥集团订立担保协议,格隆汇
1377,2021-08-04,信用卡业务成投诉“重灾区” 一季度哪些银行被投诉最多？,奥一网
1378,2021-08-04,【招商证券深度】光大银行：立志打造一流财富管理银行,志明看金融
1379,2021-08-04,又现“倒挂”！上半年张家口银行手续费及佣金净收入亏损4.68亿 亏损,凤凰网
1380,2021-08-04,光大银行(601818)：立志打造一流财富管理银行,新浪
1381,2021-08-04,超20家银行暂停贵金属新开户业务 经营问题,Bank资管
1382,2021-08-04,银行股不“香”了？年内险资密集减持 中国人寿是“大户” 减持股份,新京报
1383,2021-08-04,陈光明又要发新品，门槛500万！最新观点来了,Wind
1384,2021-08-04,天隆“死磕”科华！先期涉及10个亿！冻结资金，查封股权3年！ 资产查封,medworld器械世界
1385,2021-08-04,500万资金门槛封闭期5年 陈光明挂帅 睿远基金再发专户产品 都有哪些卖点？,券商中国
1386,2021-08-03,平安银行大宗交易成交83.24万股 成交额1499.98万元,证券时报网
1387,2021-08-03,睿远陈光明8月16日将发新产品，三机构分别承诺100亿销量,Wind
1388,2021-08-03,"平安银行现1笔大宗交易 共成交1,499.98万元",新浪
1389,2021-08-03,平安银行今日大宗交易成交83.24万股，成交价18.02元溢价0.73%,Wind
1390,2021-08-03,十年未磨成一剑的广发银行何时才能上市？,新浪
1391,2021-08-03,12年赚超20亿！太保寿险又来减持银行股 套现9亿后又想抛售7个亿 啥原因？ 减持股份,券商中国
1392,2021-08-03,“固收+”策略基金受追捧 广发集益一年持有期正在发行,中国网
1393,2021-08-03,太保寿险减持杭州银行股份 套现9亿后又想抛售7个亿 减持股份,券商中国
1394,2021-08-03,超400家机构开户参与 “转让包”定价已降,北京商报
1395,2021-08-03,商业银行行业：商业银行业日报,新浪
1396,2021-08-03,“聪明钱”在买买买 险资却出手卖出？太保寿险再度减持杭州银行 减持股份,券商中国
1397,2021-08-03,“因市场风险较大” 招行收紧贵金属业务,投资快报
1398,2021-08-03,12年赚超20亿！这家险资又来减持银行股，套现9亿后又想抛售7个亿，啥原因？ 减持股份,券商中国
1399,2021-08-03,挡不住的蚂蚁基金,和讯
1400,2021-08-03,申购费打1折 代销机构保规模拼了,北京商报
1401,2021-08-03,盯上个贷批量转让 超400家机构甩包袱,北京商报
1402,2021-08-03,7月银保个股遭北向资金抛弃？26只被净减持12只被净增持 近一周已有资金回归迹象 减持股份,财联社
1403,2021-08-02,银行行业研究周报：持续关注财富管理方向占优势的股份行,新浪
1404,2021-08-02,活跃度提升，超400家机构涉水参与！个贷批量转让能否成为银行出清零售不良的主要通道？,北京商报
1405,2021-08-02,保有规模排名争夺下 又有代销机构宣布“1折买基金” 那些省下来的申购费到底值不值？,北京商报
1406,2021-08-02,梦网科技：为全资子公司提供担保 大额借贷担保,每日经济新闻
1407,2021-08-02,银行业投资观察：金融政策以稳应变,新浪
1408,2021-08-02,金融行业2Q21基金保有量数据点评：头部机构高增长 关注商业模式演化,新浪
1409,2021-08-02,平安银行信用卡：用创新“矩阵”满足Z世代市场,第一财经
1410,2021-08-02,中行、招行等超过20家商业银行收紧贵金属业务,中国银行
1411,2021-08-02,银行业本周聚焦：Q2公募基金代销数据、政治局会议有哪些关注点？,新浪
1412,2021-08-02,2021Q2金融机构贷款投向数据点评：信贷投放持续“重制造 限房贷”,新浪
1413,2021-08-02,金融行业周报：2021年Q2公募基金保有规模公布 首推东方财富、招商银行,新浪
1414,2021-08-02,多家银行收紧这项业务！,中国银行保险报
1415,2021-08-02,平安银行：计划提供超2500亿元资金支持“助微计划”,证券日报网
1416,2021-08-02,全面收紧 逾20家银行叫停个人贵金属、外汇业务,时代周报
1417,2021-08-02,"解密平安银行金融市场交易：""土洋结合""下的CY团队带来了什么？",券商中国
1418,2021-08-02,【中信建投银行杨荣】理财子产品发行指数周报第20期：《发行指数环比回升，比较基准将更规范》,eResearch杨荣团队
1419,2021-08-02,银行行业研究周报：基金代销市场强者恒强 银行积极转型,新浪
1420,2021-08-02,A股融资融券日报：两融余额减少7.74亿元（7月30日）,Wind
1421,2021-08-02,8月银行策略：回调带来较低估值配置优质银行之机会 - 招证|银行,志明看金融
1422,2021-08-01,泛海控股深陷债务危机背后：管理层人事调整“失意”武汉中央商务区,每日经济新闻
1423,2021-08-01,分析｜财富管理的机构头部化趋势——公募基金2021Q2保有量数据点评【中泰金融·蒋峤/戴志锋】,传统借贷vs新型金融
1424,2021-08-01,这才是真正的金融国潮造浪者,东方网
1425,2021-08-01,银行业：政治局会议再提助力中小企业和困难行业,华安证券
1426,2021-08-01,头部券商放出降费大招，基金代销价格战越演越烈,Wind
1427,2021-08-01,华泰研究 | 八月重点关注组合,华泰证券研究所
1428,2021-08-01,逾20家银行收紧个人贵金属、外汇业务，全面禁止个人交易类业务呼声日隆,时代周报
1429,2021-07-31,基金代销江湖激战正酣：商业银行加入价格战 原来债基也是“蚂蚁”卖得欢,时代财经
1430,2021-07-31,从“全城天天88”透视平安信用卡的长期主义,东方网
1431,2021-07-31,基金保有量百强来了：蚂蚁成首家非货基保有规模破万亿机构，银行、券商、第三方机构谁是代销王者？,21世纪经济报道
1432,2021-07-31,平安信用卡也算得上是“魔童”本尊了吧,东方网
1433,2021-07-31,非银金融：2021Q2公募基金保有量排名出炉 互联网平台市场份额继续提升,新浪
1434,2021-07-31,招行连发5则公告 个人账户交易类业务将迎来清退期？,经济观察报
1435,2021-07-31,"半年发放贷款超8700亿！""助微计划""又来了，全国工商联联合6家银行扶持小微",Wind
1436,2021-07-30,「助微计划」，平安银行：计划提供超2500亿资金支持,发现网
1437,2021-07-30,泛海控股又“搁浅”：股价创下152个月新低 “失意”武汉中央商务区,每日经济新闻
1438,2021-07-30,最新基金代销机构排名出炉！蚂蚁基金非货保有规模首破万亿元，传统渠道求变,中证报
1439,2021-07-30,基金代销江湖硝烟四起：蚂蚁非货币基金保有量突破万亿元 银行、券商纷纷迎战,上证报
1440,2021-07-30,"基金代销排名公布：蚂蚁非货基金规模破万亿 ""依样画葫芦""的银行沦至追赶地位？",新浪
1441,2021-07-30,赢家时尚(03709)购买若干理财产品,智通财经
1442,2021-07-30,赢家时尚(03709.HK)购买5.2亿理财产品,格隆汇
1443,2021-07-30,赢家时尚：于招商银行、平安银行所购理财产品净值5.2亿元,Wind
1444,2021-07-30,"把归还欠款的客户送上""老赖""名单 平安银行一分行被法院强制执行 关联方问题",新浪
1445,2021-07-30,基金代销再添战火，这家头部券商“降费让利”,Wind
1446,2021-07-30,"券业大事件！这家头部券商""降费让利""，超3000只A类基金一折申购，基金代销再添战火",券商中国
1447,2021-07-30,北向资金今日净买入22.47亿元，对白酒股态度分化,Wind
1448,2021-07-30,黄金赛道空中加油，逃离“茅指数”追高“宁组合”,Wind
1449,2021-07-30,全国工商联联合6家银行发起「助微计划」，网商银行：计划投入10亿让利小微,金融界
1450,2021-07-30,全国工商联联合6家银行发起「助微计划」，助力小微「稳就业、振乡村、兴科创」,中金在线
1451,2021-07-30,A股融资融券日报：两融余额增加86.23亿元（7月29日）,Wind
1452,2021-07-30,银行板块又下跌，它真的值得投资吗？让我用数据来告诉你答案,腾讯网
1453,2021-07-29,首创钜大与首创集团签订委托保证合同,Wind
1454,2021-07-29,首创钜大(01329.HK)与首创集团签订委托保证合同,格隆汇
1455,2021-07-29,A股共发生166宗大宗交易成交37.82亿元（7月29日）,Wind
1456,2021-07-29,"平安银行现1笔大宗交易 共成交3,987.12万元",新浪
1457,2021-07-29,平安银行今日大宗交易成交222万股，成交价17.96元溢价0.0%,Wind
1458,2021-07-29,财富管理行业深度研究系列第1期：银行财富管理战略如何升级？,新浪
1459,2021-07-29,平安银行新微贷：激活小微外贸企业活力，助力畅通“双循环”,中国贸易新闻网
1460,2021-07-29,商业银行业日报,新浪
1461,2021-07-29,啥情况？招行1天之内连发5份公告,Wind
1462,2021-07-29,【银行】二季度银行持仓环比回落，静待中报行情——银行业周报——看好,渤海证券研究
1463,2021-07-28,河南银保监局：河南省银行业已准备防汛救灾专项资金1185.8亿元,Wind
1464,2021-07-28,银华基金祭出新混基 薄官辉任职3只产品齐现多个阶段涨幅“飘绿”,金融界
1465,2021-07-28,部分顶流基金经理业绩遭“滑铁卢” 有基金俩月净值下降幅度近40％ 盈利能力下降,金融界
1466,2021-07-28,【银华基金】交易日报 2021-07-28,新浪
1467,2021-07-28,优化账户服务 改善营商环境--平安银行北京分行在行动,北京商报
1468,2021-07-28,智通每日大行研报丨中信证券维持海底捞(06862)目标价39.5港元 比亚迪股份(01211)获高盛唱好,智通财经
1469,2021-07-28,券商营业部预警，跌破警戒线客户大增6倍！,Wind
1470,2021-07-28,这家券商营业部预警，跌破警戒线客户大增六倍！,Wind
1471,2021-07-28,构筑防诈“免疫力”，中国平安携手北京警方全方位宣传防范金融风险,经济网
1472,2021-07-28,野村：予中国平安(02318)“买入”评级，目标价下调5%至106.04港元 机构下调估值,智通财经
1473,2021-07-28,券商资管明星基金重仓“押宝”，后市准备加码制造业,Wind
1474,2021-07-28,什么情况？张坤、谢治宇逆势加仓一类股,Wind
1475,2021-07-28,二季度基金整体减持银行股：配置意愿下降 顶流基金经理加仓 减持股份,中证网
1476,2021-07-27,什么情况？银行股遭公募基金减持 张坤却逆势加仓 减持股份,中证报
1477,2021-07-27,【中金固收·资产证券化】2021年上半年企业ABS评级变动分析,中金固定收益研究
1478,2021-07-27,招行连发5则公告 持续收紧贵金属交易业务,华夏时报
1479,2021-07-27,"平安银行现2笔大宗交易 共成交2,719.06万元",新浪
