,2021-12-31,中国人保推出HarmonyOS智能座舱车载保险,中国金融新闻网
721,2021-04-15,险资投资路线图揭秘：迈瑞医疗、迈为股份受热捧,财联社
722,2021-04-15,开源证券--上市保险公司3月保费收入数据点评：新业务保费略低于预期，后续关注增员效果【行业研究】,金融界股吧
723,2021-04-15,5大险企一季度保费收入近万亿增2.6%，新华领跑平安垫底,澎湃新闻
724,2021-04-14,中国人保：一季度保费收入2034亿元，同比增长4.97%,资本邦
725,2021-04-14,中国人保一季度保费收入2034亿 寿险保费同比降5.45% 盈利能力下降,中国经济网
726,2021-04-13,晚间要闻2021年4月13日星期二,Wind
727,2021-04-13,晚间重要公告2021年4月13日星期二,Wind
728,2021-04-13,浙江与中国人保签订战略合作协议,Wind
729,2021-04-13,保险公司2020年业绩大比拼——60万代理人离职与持续挖角中国人寿,红周刊
730,2021-04-13,中国人保(601319.SH)一季度原保费收入合计2034.02亿元同比增长4.97%,格隆汇
731,2021-04-13,中国人保：一季度保费收入为2034.02亿元,Wind
732,2021-04-13,社保基金去年四季度重仓股揭秘：新进41股 增持78股,中财网
733,2021-04-12,“重回C位”！罗熹说人保寿险基础薄弱！5天后全国招募开启！,云掌财经
734,2021-04-12,社保基金现身212只股前十大流通股东榜,证券时报网
735,2021-04-12,【银河金融武平平】行业动态 2021.3丨产险保费增速显着回升，板块估值低位配置价值凸显,中国银河证券研究
736,2021-04-09,再陷6000万假保单风波 中国人保重回行业C位有多难？,新浪
737,2021-04-09,社保基金2020年持股图曝光：29只重仓票年综合收益高达88%，这三大板块受青睐,华夏时报
738,2021-04-09,中国银河--3月保险行业动态报告：产险保费增速显着回升，板块估值低位配置价值凸显【行业研究】,金融界股吧
739,2021-04-09,54股去年四季度获社保基金扎堆持有,证券时报网
740,2021-04-08,中国银河证券维持保险行业推荐评级：产险保费增速显着回升，板块估值低位配置价值凸显,每日经济新闻
741,2021-04-08,一季度11家险企“换帅”：因何而动？对公司影响多大？ 董监高成员变化,新京报
742,2021-04-08,保险业3月行业动态报告：产险保费增速显着回升 板块估值低位配置价值凸显,新浪
743,2021-04-08,报道指社保基金去年四季度新进37只A股增持67只A股,阿斯达克
744,2021-04-08,“神枪手”社保基金持仓路线曝光！新进47只个股 医药电子是真爱,21世纪经济报道
745,2021-04-08,社保基金去年四季度重仓股揭秘：新进37股增持67股,证券时报网
746,2021-04-08,科技融合成新燃点，保险业重塑发展生态,Wind
747,2021-04-08,234亿！4家上市险企资产减值骤增六成 资产异常,Wind
748,2021-04-07,上市保险公司2020年年报综述：谁无暴风劲雨时 守得云开见月明,新浪
749,2021-04-07,外资首季“扫货”保险股 对中国太保持股量猛增43%,证券日报
750,2021-04-07,非银金融行业周观点：一季度业务数据向好 券商业绩预计维持增长势头,新浪
751,2021-04-07,人保寿、人保财相继更换掌门人 干部年轻化带来新人保？ 董监高成员变化,新浪
752,2021-04-07,人口老龄化高峰将至 保险业如何蓄力养老金融,中国金融新闻网
753,2021-04-07,49股去年四季度获社保基金扎堆持有,证券时报网
754,2021-04-07,盯上结构性机会，险企看好权益市场投资,Wind
755,2021-04-06,业绩下滑、股价半死不活 罗熹能否带领中国人保重回C位？ 盈利能力下降,新浪
756,2021-04-06,【国君非银】负债端改革逐渐清晰，行业分化将加剧——上市险企2020年报综述及2021一季报前瞻,欣琦看金融
757,2021-04-06,非银金融行业跟踪：市场趋稳 低估值券商板块望迎估值修复,新浪
758,2021-04-06,48股去年四季度获社保基金扎堆持有,证券时报网
759,2021-04-06,社保基金长线重仓股曝光：持有同仁堂长达11年 新进持仓中石化1.5亿股,金融投资报
760,2021-04-05,社保基金长线重仓股大曝光！,中国基金报
761,2021-04-05,社保基金长线重仓股曝光，最长持仓11年，冯柳大举加仓逼近举牌！新进37股，扫货化工巨头1.5亿股,证券时报
762,2021-04-04,中国保险公司的股东实力排名，第一当之无愧,腾讯网
763,2021-04-04,2020年上市保险公司交出怎样的成绩单？,央视
764,2021-04-02,上市险企双面年报：净利润普降，投资收益增35% 盈利能力下降,财经网
765,2021-04-02,中国人保：将尽可能地将分红时间提前,每日经济新闻
766,2021-04-02,中国人保多事之秋：卷入6000万假保单案 如何重回C位？,新浪
767,2021-04-02,疫情下的冲击与转机：五大上市险企2020年业绩评论,格隆汇
768,2021-04-02,社保QFII持股路径曝光，化工电子板块各有所爱,Wind
769,2021-04-01,金融业薪酬大比拼：去券商做打工人，去保险做高管,Wind
770,2021-04-01,社保QFII最新调仓！两类资金分歧巨大,Wind
771,2021-04-01,社保QFII最新调仓！两类资金分歧巨大,中证报
772,2021-04-01,【兴证金融 傅慧芳】金融板块AH股折溢价分析和择时策略,兴证金融
773,2021-04-01,社保基金去年四季度重仓股揭秘：12股社保基金持股比例超5%,证券时报网
774,2021-04-01,【新时代非银 鲍淼团队】保险行业：保险行业2021年1至2月概况,新时代证券研究
775,2021-04-01,中国人保的难关：2020市占率下滑净利缩水，信保业务巨亏51亿 盈利能力下降,搜狐
776,2021-04-01,险资对A股核心资产不离不弃，国寿连续三季度增持贵州茅台,Wind
777,2021-03-31,五大A股上市险企核心指标大PK 谁是专项“王者”？,新浪
778,2021-03-31,国寿、平安去年代理人规模合计降近40万人 银保渠道成上市险企业务增长新动能,每日经济新闻
779,2021-03-31,中国人保管理层详解重回行业“C位”新战略,中国金融新闻网
780,2021-03-31,权益投资“出彩”，险资最新重仓股名单曝光,Wind
781,2021-03-31,2020年A股上市险企高管年薪谁最强？,Wind
782,2021-03-30,5家A股上市险企2020年成绩单：代理人规模下滑、综改后车均保费负增长,21世纪经济报道
783,2021-03-30,保险五巨头利润均出现下滑 中国人寿降幅最大 盈利能力下降,新浪
784,2021-03-30,上市险企分红率大比拼：4家超30%，太保分出一半净利润,澎湃新闻
785,2021-03-29,【方正非银左欣然团队】中国人保：财险稳健人身险突围，人保行稳致远,欣赏金融
786,2021-03-29,五大上市险企去年净赚2523亿降逾7%，普遍看好权益市场,澎湃新闻
787,2021-03-29,非银行金融行业报告：业绩超预期有望成为板块个股估值修复催化剂,新浪
788,2021-03-29,A股五大险企2020年日赚6.89亿 净利增速均未转正,中新经纬
789,2021-03-29,推动业务回归正轨，险企重疾险转型迫在眉睫,Wind
790,2021-03-29,年报披露持仓动向 社保组合青睐化工、电子,中国基金报
791,2021-03-26,中国人保：作为负债驱动的金融机构，负债率一般都比较高，公司的负债率在合理范围,每日经济新闻
792,2021-03-26,中国人保：董事会建议2020年度每十股再分配1.2元，全年分红比例从22.9%%提升至34.4%,每日经济新闻
793,2021-03-26,保险四巨头业绩PK：平安净利润是人寿2.85倍，新华“双降” 盈利能力下降,搜狐
794,2021-03-26,保险四巨头业绩PK：平安净利是新华10倍，人保有一项数据最高,云掌财经
795,2021-03-26,“国标”将公布、微型电动汽车势头正猛，低速电动车亟待转型升级,新京报
796,2021-03-26,万联证券维持中国人保增持评级：寿险转型成效凸显，财险业务稳健增长,每日经济新闻
797,2021-03-26,券商首次关注7股并给予买入评级（3月26日）,Wind
798,2021-03-25,新华保险增收不增利，净利润143亿元，人均薪酬约25万超过平安 盈利能力下降,搜狐
799,2021-03-25,中国人保(601319)：2020年利润稳定增长 现金分红大幅提升,新浪
800,2021-03-25,沪深300指数市盈率只有15.34倍,新浪
801,2021-03-25,新华保险薪酬披露，11位高层过百万，人均约25万超人保和平安,云掌财经
802,2021-03-25,重磅！一文读懂中国人保2020年业绩发布会核心信息,金融界
803,2021-03-25,东北证券给予中国人保买入评级，公司点评报告：2020年利润稳定增长，现金分红大幅提升,每日经济新闻
804,2021-03-25,瑞银：维持中国人保(01339)“买入”评级 目标价升至3.5港元,智通财经
805,2021-03-25,“国家队”调仓，重点买入和加仓这些股（附名单）,Wind
806,2021-03-25,3月25日保险日报：车险综合改革实质性影响显现,新浪
807,2021-03-25,中国人保去年净利润超200亿 新帅罗熹：2035年要做全球财险老大,华夏时报
808,2021-03-25,中国人保(601319)：财险COR符合预期 互联网健康险业务发展迅猛,新浪
809,2021-03-25,中国人保保险资金投资规模破万亿 财险信保业务亏51亿 亏损,新浪
810,2021-03-25,【朝闻国盛0325】IPO发行节奏放缓，ETF逆势扩容,国盛证券研究所
811,2021-03-25,人保重回C位有多难：信保狂亏、踩雷假黄金案后,北京商报
812,2021-03-25,信保狂亏、踩雷假黄金案后 人保重回C位有多难,北京商报
813,2021-03-24,中国人保薪酬曝光，7位高层过百万，人均约22万超过平安,云掌财经
814,2021-03-24,中国人保董事长罗熹谈公司治理：不服气做老三，要重回C位,第一财经
815,2021-03-24,欲重回“保险一哥”C位中国人保新帅首次亮相,第一财经
816,2021-03-24,立志2025年要成为全球财险老大罗熹将如何改造人保,经济观察报
817,2021-03-24,人保董事长罗熹答21记者问：旧的保险模式只会形成规模的适当增长 深化服务有广阔前景,21世纪经济报道
818,2021-03-24,【天风非银|年报点评】中国人保：扣非后归母净利润同比+3.6%，综合成本率同比-0.3pct至98.9%，整体业绩优于预期,新锐视角看金融
819,2021-03-24,中国人保：如何重回行业“C位”？,中国银行保险报
820,2021-03-24,33公司获得增持评级-更新中,中财网
821,2021-03-24,中国人保：直面内部治理问题 力争重回行业C位,和讯
822,2021-03-24,誓回行业C位，新帅罗熹详述人保跨越式新战略,财经网
823,2021-03-24,中国人保(601319)2020年报点评：核心业务表现稳健 股息支付比例大幅提升,新浪
824,2021-03-24,分红超预期！中国人保新一届领导班子亮相，对武汉金凰假黄金案、假保单案等热点问题作出回应,中证报
825,2021-03-24,业务风险加速出清 中国人保力争重回行业C位,中国网
826,2021-03-24,中国人保2020年实现归母净利润200.69亿元 车险综合成本率为96.5%,每日经济新闻
827,2021-03-24,一文读懂人保业绩发布会 新董事长罗熹携高层回应分红、风险内控,新京报
828,2021-03-24,直面内部治理问题，下达42个战略项目……中国人保提出要重回行业C位！,中国证券网
829,2021-03-24,中国人保提出重回行业C位：直面内部治理问题 下达42个战略项目,上证报
830,2021-03-24,核心业务表现稳健，股息支付比例大幅提升丨中国人保（601319）2020年年报点评【华创非银】,华创非银
831,2021-03-24,中国人保2020年业绩：金融科技营收2.2亿元，信保业务承保亏损51亿元 亏损,搜狐
832,2021-03-24,中国人保(601319)：分红大幅提升 信保业务风险加速出清,新浪
833,2021-03-24,中国人保(601319)：分红率首次提升至34%以上 寿险业务持续改善,光大证券
834,2021-03-24,中国人保去年归母净利200.69亿同比降10.4%，车险改革后车均保费下降19.4% 盈利能力下降,搜狐
835,2021-03-24,中国人保2020年总保费收入5636亿元 互联网保费规模异军突起,和讯
836,2021-03-24,中国人保2020年信保规模降76.8% 董事长罗熹：提升风险管控有效性,中新经纬
837,2021-03-24,中国人保董事长：人保从老大变老三，怎么能够重回C位？,澎湃新闻
838,2021-03-24,中国人保周厚杰：坚持战略投资和长期投资理念，将重点把握结构性投资机会,北京商报
839,2021-03-24,中国人保于泽：2022年到2023年车均保费将呈现平稳增长态势,北京商报
840,2021-03-24,信达证券发布中国人保研报：车险盈利能力领先行业，寿险持续价值转型,每日经济新闻
841,2021-03-24,中国人保2020年财报：信用保证险承保亏损51亿 亏损,零壹财经
842,2021-03-24,回应假保单事件、“2035年力争全球第一”“2022年车险业务将平稳增长”，中国人保业绩发布会说了这些事！,中国财富网
843,2021-03-24,中国人保2020年保险业务收入同比增长1.5% 罗熹称力争重回行业C位,中国网
844,2021-03-24,平安证券维持中国人保中性评级：综改下维持龙头优势，价值转型持续推进,每日经济新闻
845,2021-03-24,国盛证券给予中国人保增持评级，车险综合成本率保持稳定寿险业务增速领先同业,每日经济新闻
846,2021-03-24,3月24日保险日报：“互联网+”医保支付政策定调,新浪
847,2021-03-24,中国人保:2021年权益资产配置将控制比例 重点把握结构性投资机会,财联社
848,2021-03-24,中国人保：2021年权益资产配置将控制比例重点关注受益于经济复苏、盈利空间大的公司,格隆汇
849,2021-03-24,中国人保董事长：风险事件反应内部治理问题将强力推动完善公司内部治理体系,格隆汇
850,2021-03-24,中国人保2020年扣非净利润达198.23亿元 同比增长3.6%,证券日报网
851,2021-03-24,中国人保2020年报发布，净利润200亿元下滑超10% 盈利能力下降,资本邦
852,2021-03-24,中国人保2020年实现净利润200亿元年报拟分红53亿元,云掌财经
853,2021-03-24,社保基金去年四季度增持22股 中国人保获持股量最多,证券时报网
854,2021-03-24,社保基金去年四季度重仓股揭秘：新进15股增持22股,证券时报网
855,2021-03-24,中国人保净利两百亿 首次单列金融科技,证券时报
856,2021-03-24,2035年财险全球第一？在信保狂亏、踩雷假黄金案之后，中国人保提出重回C位新战略,北京商报
857,2021-03-23,快讯｜中国人保2020年归母净利润200.36亿元 同比下降10.4% 盈利能力下降,财经网
858,2021-03-23,中国人保2020年归母净利润200亿元；安达拟斥232亿美元巨资收购Hartford|慧保日报3.22,搜狐
859,2021-03-23,中国人保2020年净利润同比减少10.4% 已赚保费同比增长3.3％,金融界
860,2021-03-23,中国人保去年净利200亿降10%，信用保证险承保亏损51亿 亏损,澎湃新闻
861,2021-03-23,晚间重要公告2021年3月23日星期二,Wind
862,2021-03-23,中国人保：2020年净利润同比减少10.41% 盈利能力下降,Wind
863,2021-03-23,中国人保(601319.SH)年度归母净利同比减10.4%至200.69亿元 每10股派1.2元 盈利能力下降,智通财经
864,2021-03-23,中国人保：2020年净利润200.69亿元 同比下降10.4% 盈利能力下降,中证网
865,2021-03-23,中国人保(601319.SH)：2020年度净利降10.4%至200.69亿元拟10派1.2元 盈利能力下降,格隆汇
866,2021-03-23,中国人保：2020年净利200.69亿元 同比下滑10.4% 盈利能力下降,e公司
867,2021-03-23,中国人保2020年归母净利润200.36亿元同比下降9.48% 盈利能力下降,北京商报
868,2021-03-23,中国人保：2020年净利润200.4亿元同比减少9.3% 盈利能力下降,格隆汇
869,2021-03-23,中国人保：2020年净利润200.4亿元 同比减少9.5% 盈利能力下降,新浪
870,2021-03-23,中国人保(01339)2020年归母净利同比减少9.5%至200.36亿元 末期息每10股派1.2元 盈利能力下降,智通财经
871,2021-03-23,非银金融行业周观点：券商股权新规落地 板块并购预期或升温,新浪
872,2021-03-23,中泰证券将入驻上海绿地外滩中心：拟27亿元购买办公楼,澎湃新闻
873,2021-03-22,非银金融行业：保险核心在利率 券商有望迎来反弹,新浪
874,2021-03-22,非银金融行业跟踪：年报季拉开大幕 关注个股业绩预期差,新浪
875,2021-03-22,天津分公司遭罚 人保财险内控频频“失守”,新金融观察
876,2021-03-22,本周336份年报出炉，22家千亿元市值公司成看点,Wind
877,2021-03-18,中国太保再跌超3%，保险板块午后重回低位,Wind
878,2021-03-18,华泰证券维持中国人保增持评级：寿险业务贡献提升，目标价6.5元,每日经济新闻
879,2021-03-18,各地保险机构多措并举助力春耕备耕,新浪
880,2021-03-17,人保财险、大地财险齐换将！车险改革影响持续，财险业保费增长承压,每日经济新闻
881,2021-03-17,保险板块逆市下跌，多家险企保费收入不及预期,Wind
882,2021-03-17,开源证券--非银金融行业周报：2月新单保费延续增势，继续推荐顺周期保险股【行业研究】,金融界股吧
883,2021-03-17,上市保险公司前2月保费成绩单 “开门红”，带动新华、国寿保费收入涨逾11%,Wind
884,2021-03-16,上市保险公司前2月保费成绩单： “开门红”带动新华、国寿保费收入涨逾11%,21世纪经济报道
885,2021-03-16,中国人保(601319.SH)：陆健瑜辞去独立董事等职务 董监高成员变化,智通财经
886,2021-03-16,中国人保：独立董事陆健瑜辞任 董监高成员变化,Wind
887,2021-03-16,寿险业务回归正轨 产险业务强劲复苏,证券日报
888,2021-03-16,A股上市险企2月份保费收入持续复苏 太保产险和人保财险增速均超20%,证券日报
889,2021-03-15,中国人保多措并举护航春耕春种,中国金融新闻网
890,2021-03-15,上市险企2021年2月保费数据点评：低基数效应延续 新单持续增长 车险降幅收窄,新浪
891,2021-03-15,开源证券--上市保险公司2月保费收入数据点评：新单改善趋势延续，资负两端顺周期支撑估值修复【行业研究】,金融界股吧
892,2021-03-15,上市险企前2月保费增6.26%，迎来修复时机,Wind
893,2021-03-14,【国君非银】新单增长势头延续，看好顺周期估值修复——2021年2月上市险企保费数据点评,欣琦看金融
894,2021-03-11,保险负债端景气度回暖,证券市场周刊
895,2021-03-11,中国人保前2月保费收入1360亿 寿险业务保费同比微降 盈利能力下降,中国经济网
896,2021-03-10,格隆汇港股聚焦(03.10)︱中国人保前两月原保费收入1360.6亿元；蓝光嘉宝服务年度纯利增24.15%,格隆汇
897,2021-03-10,晚间重要公告2021年3月10日星期三,Wind
898,2021-03-10,中国人保：前2月保费收入1361亿元,e公司
899,2021-03-10,中国人保(601319.SH)：1-2月原保费收入合计1360.6亿元 同比增长9.58%,格隆汇
900,2021-03-10,中国人保(01339)三子公司前两个月保费收入同比增长9.58%至1360.6亿元,智通财经
901,2021-03-10,中概股回A迎最好时机，跨市场溢价交易来临,Wind
902,2021-03-10,东兴证券--非银金融行业跟踪：利率上行或将持续，继续看好保险板块【行业研究】,金融界股吧
903,2021-03-10,【新时代非银 鲍淼团队】保险行业：保险行业2021年1月概况,新时代证券研究
904,2021-03-09,市盈率最低的保险巨无霸 中国平安被低估？,新浪
905,2021-03-09,保险行业2021年1月概况：保费增速改善明显 资产配置结构稳定,新浪
906,2021-03-07,租用共享汽车后出事故，保险却迟迟不到位？租车方这样回应 产品问题,腾讯网
907,2021-03-05,银保监央行行政处罚月报(2021年2月)：银行保险机构2月被罚没近6400万元，贵州银行以近400万问鼎银行罚单之最 金融监管处罚,零壹财经
908,2021-03-03,中国人保(601319.SH)：才智伟副总裁任职资格获中国银保监会核准,格隆汇
909,2021-03-02,保费数据点评：个险新单高增 负债端改善显着,新浪
910,2021-03-02,中国人保罗熹：养老金融改革是应对老龄化社会的重要举措,21世纪经济报道
911,2021-03-02,中国人保董事长罗熹谈税延养老险：税收的力度我们感觉还不够,澎湃新闻
912,2021-03-01,非银金融行业跟踪：利率上行驱动 短期保险板块继续占优,新浪
913,2021-03-01,保险业2021年有望进入向上周期,Wind
914,2021-02-26,险企投资回报哪家强？平安股东分红市值综合收益大幅领先,云掌财经
915,2021-02-26,中国人保(601319.SH)：公司章程修改获中国银保监会核准,格隆汇
916,2021-02-26,中国人保：武汉假黄金案还在司法程序过程中，尚未有结果,每日经济新闻
917,2021-02-25,五大上市险企“开门红” 首月共揽5615亿原保费 同比增长6.26%,中国网
918,2021-02-25,保险股午后持续走高，中国太保大涨8%,Wind
919,2021-02-25,万科罕见涨停，基金大佬不停加仓，最后一批低位核心资产爆发，高成长股名单曝光,证券时报网
920,2021-02-25,五大上市险企2021年首月业绩出炉 寿险、财险、健康险哪家强？,国际金融报
921,2021-02-24,开门红下资负两相宜，保险股迎戴维斯双击,欣赏金融
922,2021-02-24,中国人保节后首次司务会：董事长罗熹强调奖优罚劣 确保“十四五”开局之年首战必胜,中国金融新闻网
923,2021-02-24,【万联保险 | 数据跟踪】上市险企2021年1月保费数据跟踪：开门红表现亮眼，车险市场压力犹存,万联证券研究所
924,2021-02-24,保险行业2021年1月上市险企保费数据点评：开年新单大超预期 看好负债端持续修复,新浪
925,2021-02-24,上市险企2021年首月业绩“开门红”： 中国平安独现保费收入负增长,时代在线
926,2021-02-24,国泰君安：保险业开年新单大超预期 看好负债端持续修复,新浪
927,2021-02-24,保险行业上市保险公司1月保费收入数据点评：新单改善趋势确认 资负两端向好支撑估值修复,新浪
928,2021-02-24,上市险企2021年1月保费数据点评：“开门红”如期而至 低基数效应仍将延续,新浪
929,2021-02-24,【国君非银】开年新单大超预期，看好负债端持续修复——2021年1月上市险企保费数据点评,欣琦看金融
930,2021-02-24,开源证券--上市保险公司1月保费收入数据点评：新单改善趋势确认，资负两端向好支撑估值修复【行业研究】,金融界股吧
931,2021-02-24,业绩预期提振银行保险股走势,Wind
932,2021-02-23,中国人保绩效新战略：各子公司签订绩效合同、各部门签订责任状,21世纪经济报道
933,2021-02-23,A股收盘综述：创业板指连跌四日，汽车、煤炭、石油化工、猪肉板块领跌,Wind
934,2021-02-23,上市保险公司1月保费增速均出现复苏迹象 今年以来外资“扫货”保险股,证券日报网
935,2021-02-23,A股午盘综述：上证指数涨0.34%，银行、保险股力挺大市,Wind
936,2021-02-23,中国太保升超5%再创多年新高，平安、人寿、新华保险、人保普涨,Wind
937,2021-02-22,非银金融行业跟踪：利率上行驱动下 短期保险板块更具投资价值,新浪
938,2021-02-22,中国人保今日大宗交易成交48.54万股，成交价6.18元溢价0.49%,Wind
939,2021-02-21,首月保费复苏有望 保险股迎反弹曙光,证券日报
940,2021-02-20,AM Best 评选出2020全球十大保险公司，中国公司占据三席,搜狐
941,2021-02-19,保险板块大涨：两大险企一月保险收入公布 行业有望迎来估值修复,新浪
942,2021-02-19,保单收入同比大涨，上市险企估值有望修复！,环球老虎财经
943,2021-02-19,中国人保2021年1月保费收入979.85亿 同比增长6.67%,中国经济网
944,2021-02-19,中国人保：1月份保费收入达979.85亿元,资本邦
945,2021-02-19,资产负债端或改善 保险板块行情可期,中证报
946,2021-02-19,资产负债端或改善，保险股有望走出低谷,Wind
947,2021-02-19,资产负债端或改善保险股有望走出低谷,中证报
948,2021-02-18,格隆汇港股聚焦(02.18)︱中国人保1月原保费收入979.85亿元；蓝光嘉宝服务拟回购不超10%H股,格隆汇
949,2021-02-18,快讯｜中国人保1月原保费收入979.85亿元同比增6.67% 车险收入时隔10个月再下滑,财经网
950,2021-02-18,中国人保1月原保险保费收入总额增6.7%,Wind
951,2021-02-18,中国人保(601319.SH)三子公司1月原保费收入合计979.85亿元,智通财经
952,2021-02-18,中国人保：1月份保费收入980亿元,e公司
953,2021-02-18,中国人保(601319.SH)1月原保费收入合计979.85亿元 同比增长6.67%,格隆汇
954,2021-02-18,中国人保：1月子公司原保险保费收入合计为898.85亿元,格隆汇
955,2021-02-17,中国人保总资产达1.3万亿元 服务经济社会质效提升,中证网
956,2021-02-14,腾讯金融云业绩翻倍，谁在做贡献？券商、银行、保险抢滩线上服务，数字化转型提速,Wind
957,2021-02-09,非银金融行业跟踪：节前交易气氛转淡 券商估值或持续承压,新浪
958,2021-02-08,非银金融行业周报：深市主板与中小板合并 多层次股权市场制度建设优化,光大证券
959,2021-02-08,保险板块估值处于十年低位，能否打开“二季红”？,腾讯网
960,2021-02-08,摒弃“重业务不重技术”，券商数字化转型提速,Wind
961,2021-02-08,险企预计去年利润3432亿元，产险公司利润同比大降近九成 盈利能力下降,Wind
962,2021-02-07,非银金融行业周报：深交所主板与中小板合并 重疾市场新阶段来临,新浪
963,2021-02-07,金融股，你们要努力啊！快手追来了,第一财经
964,2021-02-07,头部险企谋划“头等大事”,金融界
965,2021-02-07,什么信号？社保基金“逆市”减持中行，7个月套现19亿,券商中国
966,2021-02-06,保险行业2020年12月经营数据跟踪：12月人身险持续复苏 当前估值仍处于低位,新浪
967,2021-02-06,减持中国人保：社保基金套现32亿耗时半年 减持股份,新浪
968,2021-02-05,湖南湘江新区牵手三一重工，智能重卡起风了,云掌财经
969,2021-02-04,新规下头部险企优势显现保险股表现分化中国平安逆市领涨,财华社
970,2021-02-04,每日理财观察：第四批国家药品集采开标，平均降价52%,Wind
971,2021-02-03,2月3日晚间重要行业研究汇总(附股),中金在线
972,2021-02-03,银保监会公布保险集团公司治理监管评估结果：6家B级、4家C级,Wind
973,2021-02-03,新时代证券--保险行业2020年概况：资产端表现良好，负债端整体修复企稳【行业研究】,金融界股吧
974,2021-02-03,聚焦系统性风险防控 中国人保多措并举 防范金融风险,中国金融新闻网
975,2021-02-02,2021年保险业怎么办？人保国寿太保太平已经给出了答案,搜狐
976,2021-02-02,中国人保股东社保基金会6个月减持4.78亿股 套现32亿 减持股份,中国经济网
977,2021-02-02,社保基金会减持中国人保4.778亿A股，套现逾32亿人民币 减持股份,资本邦
978,2021-02-02,中国人保：股东社保基金会减持期间累计减持达1.08% 减持股份,资本邦
979,2021-02-02,中国人保股价抛压按下“暂停键” 社保基金结束减持套现32.24亿元 减持股份,产业经济新闻网
980,2021-02-02,社保基金会半年减持中国人保4.78亿股A股，套现逾32亿 减持股份,澎湃新闻
981,2021-02-01,减持期间结束 社保基金累计减持中国人保1.08%股份 减持股份,21世纪经济报道
982,2021-02-01,社保对中国人保减持期结束：共减持4.78亿股 变现32.24亿 减持股份,证券时报
983,2021-02-01,晚间重要公告2021年2月1日星期一,Wind
984,2021-02-01,2020年财险业净亏损超50亿元；银保监会称四类风险事件可追回银保机构高管薪酬|慧保日报2.1 亏损,搜狐
985,2021-02-01,社保基金会减持1.0804%中国人保股份 减持股份,上证报
986,2021-02-01,中国人保：公司第二大股东社保基金会累计减持1.08%股份 减持股份,Wind
987,2021-02-01,中国人保(601319.SH)：社保基金会减持完毕累计减持1.08%股份 减持股份,格隆汇
988,2021-02-01,非银金融行业跟踪：板块估值已至低位 静待流动性改善,新浪
989,2021-01-29,深海教育与PICC合作再升级，人力资源管理师课程服务有保障,搜狐
990,2021-01-28,中国人保总资产达1.3万亿 轻重并举拓展养老产业,21世纪经济报道
991,2021-01-28,险企抢跑2021开门红,腾讯网
992,2021-01-28,中国人保(601319.SH)：监事张彦、王亚东任职资格获中国银保监会核准,格隆汇
993,2021-01-28,南向资金爆买友邦保险、众安在线 保险需求仍将保持强劲,证券日报
994,2021-01-28,南向资金爆买友邦保险众安在线 年内对友邦持股量暴增29%,证券日报
995,2021-01-27,中国人保：推进高质量发展转型 全力防范化解风险,中证网
996,2021-01-26,2021全球品牌价值500强出炉：人保国寿平安排名均下滑,新浪
997,2021-01-26,社保基金年底结余6万亿！重仓股与三季度增减持名单一览 减持股份,财联社
998,2021-01-26,非银金融行业跟踪：深度回调的保险标的中长期投资价值凸显,新浪
999,2021-01-26,保险行业2020年报前瞻：利润降幅收窄 NBV增速显着分化,新浪
1000,2021-01-25,五上市险企2020年揽收2.5万亿保费 股价却大幅跑输大盘,华夏时报
1001,2021-01-25,五家上市险企保费收入2.49万亿 寿险业务增速分化维持“三负两正”格局,长江商报
1002,2021-01-23,信保业务频“踩雷”，财险公司紧急堵漏,中证报
1003,2021-01-22,A股五大险企2020年总揽原保费2.49万亿 分析：2021年全年新单复苏持续性可期,中国网
1004,2021-01-21,港股四大上市险企2020年保费成绩单出炉：合揽1.69万亿保费,资本邦
1005,2021-01-21,保险管理资产规模近15万亿元 五大险企2020年保费2.49万亿,中研网
1006,2021-01-20,保险行业研究：低点已过 保费复苏开启,新浪
1007,2021-01-20,五大上市险企2020原保费盘点：国寿稳居寿险第一 平安、人保增速承压,时代在线
1008,2021-01-20,中国人保(601319)公司公告点评：人保12月保费点评：健康险同比＋44％ 车险综改背景下保费增速承压,新浪
1009,2021-01-20,2020年12月上市险企保费数据点评：20保费收官压力犹存 21开门高增否极泰来,新浪
1010,2021-01-20,保费增速创三年新低 上市险企为“开门红”蓄能,上证报
1011,2021-01-20,五大险企去年实现保费约2.49万亿元，机构看好保险股安全边际,Wind
1012,2021-01-20,上市险企交2020年保费成绩单： 入账2.49万亿元，财险增收不增利,Wind
1013,2021-01-19,2020年五大上市险企保费出炉：平安保费7973亿领跑 新华保险15%增速最高,每日经济新闻
1014,2021-01-19,五大上市险企2020年总揽保费2.5万亿：寿险“两升三降” 产险全面承压,国际金融报
1015,2021-01-19,中国人寿等五大险企去年保费收入约2.49万亿 同比增3.6%,新浪
1016,2021-01-19,中国人保股东减持超4.4亿股，计划已完成一半,资本邦
1017,2021-01-19,2.49万亿！国内5大上市险企保费出炉！新华寿险增速最猛、国寿保费体量突破6000亿、车险改革威力仍压制人保,金融界
1018,2021-01-19,南下资金持续注入：H股保险股集体上扬 人保、太平涨超5.56%,财联社
1019,2021-01-19,四大险企2020保费收入出炉：人保信保业务骤降七成 平安寿险个人新业务萎缩两成 盈利能力下降,金融界
1020,2021-01-19,2020年五大上市险企合计保费2.5万亿，同比增长3.65% 寿险分化明显,每日经济新闻
