,2021-12-31,年度盘点丨2021药企赴港IPO：互联网医疗企业偏爱港股，下半年市场转冷，24家跌破发行价,新浪医药
501,2021-10-18,医药行业周报：卫健委再发重磅文件 加快三明改革在全国推广,新浪
502,2021-10-18,医药生物行业周报：季度业绩波动该如何应对,新浪
503,2021-10-18,医药生物行业周报：国家将深入推广福建省三明市医改经验,新浪
504,2021-10-18,生物医药行业周报：板块出现波动 建议关注业绩确定性强的标的,新浪
505,2021-10-18,医药生物行业跨市场周报：三季报业绩期来临 关注业绩与估值匹配的核心赛道,光大证券
506,2021-10-18,医药生物行业：创新药国谈价格前瞻分析,新浪
507,2021-10-16,医药行业周报：流通+中药反弹 重视“低估值+放量”逻辑,新浪
508,2021-10-14,沪深港通资金医药股流向数据库,新浪
509,2021-10-14,医药生物行业：新冠小分子药MOLNUPIRAVIR进展迅速 关注相关产业投资机会,新浪
510,2021-10-14,新冠系列专题深度(二)：Q4窗口期 看好新冠口服药物及其CDMO投资机遇,国金证券股份有限公司
511,2021-10-12,资金流向分析,新浪
512,2021-10-11,医药行业周报：默沙东新冠药数据公布 腾盛博药递交FDA+EUA申请,新浪
513,2021-10-09,凯莱英：高管肖毅等合计减持9.47万股 减持股份,智通财经
514,2021-10-09,中金医药月度10+7组合：2021年10月组合,新浪
515,2021-10-08,凯莱英：股东减持计划时间已过半,每日经济新闻
516,2021-10-08,凯莱英：1月至今累计获得政府补助7882.75万元,乐居财经
517,2021-10-08,粤开策略 ｜ 2021年10月十大金股及市场展望,粤开崇利论市
518,2021-10-07,凯莱英：公司及下属子公司获得政府补助共计约7883万元,每日经济新闻
519,2021-10-07,凯莱英(002821.SZ)：子公司近日收到专项补助资金784万元,格隆汇
520,2021-10-07,凯莱英(002821.SZ)子公司获专项补助资金784万元,智通财经
521,2021-10-07,医药生物行业点评报告：新冠治疗药物机会再梳理：默沙东口服新冠药三期数据积极 年内供应1000万剂,新浪
522,2021-10-05,10月券商金股组合出炉，这些个股获集中推荐,Wind
523,2021-10-02,新机会？10月金股出炉(名单),证券之星
524,2021-10-01,券商10月金股出炉：多股获力挺，碳中和概念再被看好,Wind
525,2021-10-01,券商10月金股出炉：这些股获力挺，碳中和概念再被看好,第一财经
526,2021-09-30,医药生物行业点评报告：《“十四五”全民医疗保障规划》发布 进一步推进医疗保障高质量发展,新浪
527,2021-09-28,解盘：资源股重新活跃，电力、煤炭、工业母机略涨,Wind
528,2021-09-27,凯莱英：本次限制性股票上市流通日期为9月30日 占公司总股本0.0455%,发布易
529,2021-09-27,医药生物行业周报：政策鼓励医疗器械国产替代 国产器械前景广阔,新浪
530,2021-09-27,凯莱英(002821.SZ)：11.12万股限售股将于9月30日起上市流通 解禁,智通财经
531,2021-09-27,凯莱英(002821.SZ)：11.122万股限制性股票9月30日解锁上市,格隆汇
532,2021-09-27,医药生物行业跨市场周报：新冠呈常态化趋势 看好新冠小分子药CDMO供应商,光大证券
533,2021-09-27,医药生物行业周报：从景气度、竞争力、外需逻辑看诺禾致源投资价值,新浪
534,2021-09-27,医药生物：海外新冠治疗药物Q4有望获批,财富动力网
535,2021-09-26,医药生物行业：绿色制药 遇上“限电”-“限电”政策对API及CDMO公司影响点评,新浪
536,2021-09-26,医药生物行业：海外新冠治疗药物有望Q4陆续获批 重点推荐相关CDMO标的,新浪
537,2021-09-26,华软科技(002453)：优质精细化工研发平台 资源整合完毕扬帆起航,新浪
538,2021-09-26,医药生物行业研究周报：从医疗服务价格调整看康复行业机会(第79篇),新浪
539,2021-09-26,医药行业周报：医保局回应种植牙问题 牙科集采会不会来？,新浪
540,2021-09-26,产经报道 | “卖铲子”的CXO：首批掘金者挖到金，铲子持续卖给谁,财经网
541,2021-09-25,"医药基金猛跌，新能源来背""锅""？",Wind
542,2021-09-24,凯莱英赴港二次上市获批 新业务高速增长收入增144.62%,新浪
543,2021-09-23,凯莱英(002821.SZ)2018年限制性股票激励计划第三个解除限售期解除限售条件成就,智通财经
544,2021-09-23,凯莱英：股东陈朝勇、周炎减持计划完成，共减持约2.2万股,每日经济新闻
545,2021-09-23,凯莱英(002821.SZ)高管陈朝勇、周炎完成减持 累计减持4.4万股 减持股份,智通财经
546,2021-09-22,医药行业周报：关节集采降价温和 板块情绪开始回暖,新浪
547,2021-09-22,医药生物行业周报：把握景气度持续向上板块和个股估值修复机会,新浪
548,2021-09-22,凯莱英H股上市获批股价向上 又一家A+H的CRO公司诞生,福布斯
549,2021-09-21,每经18点|国家卫健委今天派出工作组赴哈尔滨指导疫情处置工作；数据：中秋小长假楼市退烧；凯莱英发行境外上市外资股获批,每日经济新闻
550,2021-09-21,凯莱英(002821.SZ)：港股IPO申请获得中国证监会批复,格隆汇
551,2021-09-21,凯莱英：首次公开发行H股获中国证监会批复,财联社
552,2021-09-21,凯莱英(002821.SZ)首次公开发行H股获中国证监会批复,智通财经
553,2021-09-20,CRO板块持续拉升，诺泰生物、凯莱英涨超7%,36氪
554,2021-09-17,凯莱英(002821.SZ)副总经理肖毅减持2.26万股 减持数量过半 减持股份,智通财经
555,2021-09-17,凯莱英：副总经理肖毅减持约2.26万股 减持股份,每日经济新闻
556,2021-09-17,ADC药物：偶联时代 创新致远,新浪
557,2021-09-17,医疗服务行业周报：创新药融资前景乐观 外包服务将持续受益,新浪
558,2021-09-16,医药生物行业研究周报：当前阶段医药行情的主要矛盾及化解,新浪
559,2021-09-16,关于核准凯莱英医药集团（天津）股份有限公司发行境外上市外资股的批复,证监会
560,2021-09-16,凯莱英：副总经理陈朝勇减持1.07万股 减持股份,每日经济新闻
561,2021-09-16,干货！发改委发布会：保供稳价、粮食安全、猪肉收储,Wind
562,2021-09-15,凯莱英今日大宗交易成交10.20万股，成交价372.0元折价10.25%,Wind
563,2021-09-15,凯莱英(002821.SZ)副总经理周炎已减持1.13万股 减持股份,智通财经
564,2021-09-13,医药生物行业中报透视CXO：板块增长强劲 边际变化持续向好,新浪
565,2021-09-10,医药生物行业：CXO板块2021中报业绩总结：边际加速 看好CDMO,新浪
566,2021-09-10,医药业周报：从“PB-ROE” 医药投资“性价比”已现,新浪
567,2021-09-10,医药生物行业：风物长宜放眼量,新浪
568,2021-09-07,每日市场热点分析,新浪
569,2021-09-07,凯莱英于江苏成立新公司，注册资本3亿元,乐居财经
570,2021-09-07,凯莱英今日大宗交易成交6.10万股，成交价327.0元折价9.97%,Wind
571,2021-09-07,A股早报2021年9月7日星期二,Wind
572,2021-09-07,每日理财观察：证监会研究推出进一步扩大开放举措,Wind
573,2021-09-07,易会满重磅发声！北上资金连续11天买买买，释放强烈信号,Wind
574,2021-09-07,医药子板块全线走高，核心资产现企稳迹象,Wind
575,2021-09-06,涨停板解密：市场火爆，三板块个股现涨停潮！（9月6日）,Wind
576,2021-09-06,医药行情再现，凯莱英涨停，机构净买1.2亿,证券之星
577,2021-09-06,凯莱英龙虎榜数据（9月6日）,Wind
578,2021-09-06,“喝酒吃药”行情再起，主力资金开始切换赛道？,Wind
579,2021-09-06,一根大阳线，“千军万马”来相见！,Wind
580,2021-09-06,A股收盘综述：市场演绎高低切换，创业板指大涨4%、超跌龙头普遍回暖,Wind
581,2021-09-06,医药板块爆发，广誉远、凯莱英等涨停，长春高新大涨逾8%,证券时报网
582,2021-09-06,多只精选层股票上演“30cm”涨停，创业板也反弹超3%,Wind
583,2021-09-06,快讯：凯莱英涨停 报于357.39元,金融界
584,2021-09-06,凯莱英首板,Wind
585,2021-09-06,高瓴资本概念股普遍强势，金域医学、泰格医药、凯莱英、健帆生物等大涨,Wind
586,2021-09-02,A股收盘综述：沪指5连涨、创业板指6连阴，风电、煤炭、光伏、大基建央企飙升,Wind
587,2021-09-01,凯莱英今日大宗交易成交9万股，成交价322.0元折价9.17%,Wind
588,2021-09-01,医药与健康护理行业月报：智飞生物新冠疫苗III期数据优异 对变异株仍然有效,新浪
589,2021-09-01,中信建投9月金股名单,Wind
590,2021-08-31,医疗健康行业动态：医药板块中报业绩稳健;长期看好产业升级和国际化,新浪
591,2021-08-31,全球第5大创新药原料药CDMO，凯莱英20余年打造,药融圈
592,2021-08-31,5000亿“光伏茅”又飙新高！高瓴8个月赚150亿,Wind
593,2021-08-30,A股早报2021年8月30日星期一,Wind
594,2021-08-29,光伏大牛股下周解禁市值超870亿元，大股东3年浮盈751亿,Wind
595,2021-08-28,打造mRNA原料全线供应体系，近岸蛋白质与凯莱英签署战略合作,医麦客News
596,2021-08-27,下周1983亿市值限售股解禁，东方盛虹解禁市值超876亿元居首,Wind
597,2021-08-27,国君固收：与集采有关的转债标的梳理,Wind
598,2021-08-27,持仓风格生变，顶流基金经理盯上“小而美”,Wind
599,2021-08-26,北向资金连续4日净买入，中国铝业获大幅加仓近12亿元,Wind
600,2021-08-25,凯莱英(002821.SZ)拟斥资9000万元参投三一众志二期基金,智通财经
601,2021-08-25,凯莱英(002821.SZ)19.14万股限制性股票将于8月30日上市流通,智通财经
602,2021-08-25,凯莱英：约19.14万股限售股8月30日解禁，占比0.0789% 解禁,每日经济新闻
603,2021-08-24,凯莱英今日大宗交易成交12.60万股，成交价317.0元折价12.94%,Wind
604,2021-08-24,高瓴资本概念股整体活跃，泰格、金域、凯莱英、恩捷、甘李药业均大涨,Wind
605,2021-08-24,CRO板块持续拉升 凯莱英涨超9%,e公司
606,2021-08-23,生物医药行业周报：安徽省临床检验试剂集采公告发布 带量采购产品进一步扩面,新浪
607,2021-08-23,医药生物行业：药明康德、迈瑞医疗等市值底部已现 无需恐慌,新浪
608,2021-08-22,【开源医药】行业周报：安徽省尝试检测试剂集中带量采购，建议关注IVD产业链投资机会,微信
609,2021-08-20,警惕！财报日成业绩“爆雷”日，这些“白马股”股价或继续下跌！,红周刊
610,2021-08-20,凯莱英(002821.SZ)解除限售限制性股票19.14万股,智通财经
611,2021-08-20,一片惨绿！药明康德成新医药一哥，恒瑞还行吗？迈瑞怎么了？CXO逻辑崩没崩？,新浪医药
612,2021-08-20,北向资金6年来首次连续两日净卖出超百亿，贵州茅台、五粮液、恒瑞医药遭惨烈抛售,Wind
613,2021-08-20,CXO赛道凯莱英“凯皇”的称号还能保持多久？,GPLP犀牛财经
614,2021-08-19,西南证券维持凯莱英买入评级：业绩快速增长，多项新业务快速推进,每日经济新闻
615,2021-08-19,遭高瓴减持，凯莱英（002821.SZ）4天市值蒸发150亿元 减持股份,财华社
616,2021-08-19,高瓴资本大幅减持 凯莱英市值跌落千亿 减持股份,北京商报
617,2021-08-19,券商首次关注5股并给予买入评级（8月19日）,Wind
618,2021-08-19,首批基金半年报出炉，百亿级基金经理最新持仓曝光,Wind
619,2021-08-19,高瓴资本减持凯莱英套现超6亿元 CXO行业资本狂欢走到十字路口 减持股份,证券日报
620,2021-08-19,业绩低于预期+高瓴资本减持 凯莱英市值跌落千亿 减持股份,北京商报
621,2021-08-18,凯莱英市值跌落千亿，缘起业绩不达预期还是高瓴大幅减持 减持股份,北京商报
622,2021-08-18,凯莱英市值蒸发超170亿元,北京商报
623,2021-08-18,A股共发生190宗大宗交易成交48.12亿元（8月18日）,Wind
624,2021-08-18,3天蒸发170亿 高瓴减持CDMO龙头凯莱英220万股 减持股份,新浪
625,2021-08-18,邓晓峰、朱少醒等知名基金经理“心水股”曝光,Wind
626,2021-08-18,凯莱英(002821)：上半年业绩维持高增速 下半年产能扩充进入加速期,新浪
627,2021-08-18,CXO企业2021半年报陆续发布,中国医药报
628,2021-08-18,凯莱英(002821)：在手订单充足 临床阶段CDMO项目增速领先,广发证券
629,2021-08-18,上调评级至买入策略选股（8月18日）,Wind
630,2021-08-18,多只牛股业绩报喜股价却大跌，这些牛股即将发布中报,Wind
631,2021-08-18,800 亿巨头被“抛弃”？市值已蒸发 160 亿，高瓴减持套现 7 亿 减持股份,ZAKER
632,2021-08-18,A股成交额连续20个交易日破万亿，交易拥挤风险正在加速释放,Wind
633,2021-08-18,医药外包板块业绩起飞、股价下沉：戳破泡沫，行业高估值的支撑点在哪？,ZAKER
634,2021-08-18,多家CXO头部公司业绩超预期，细胞基因治疗带富CDMO“卖水人”,Wind
635,2021-08-17,高瓴砍仓50%，最牛赛道变天了！,新浪
636,2021-08-17,财信证券无炒股凯莱英谨慎推荐评级：小分子CDMO业务订单充足，新建产能陆续释放，目标价400.04-457.60元,每日经济新闻
637,2021-08-17,CRO/CDMO企业中报亮眼，药审中心新规“影响”几何？,贝壳财经
638,2021-08-17,高瓴资本二季度减持路线图曝光！抛售A股医药、美股电商，释放了什么信号？ 减持股份,21世纪经济报道
639,2021-08-17,高瓴“不再”是时间的朋友？,新浪
640,2021-08-17,CXO赛道不香了？高瓴资本大幅减持凯莱英，持续重仓这两家药企 减持股份,新浪医药
641,2021-08-17,凯莱英遭高瓴减持，主业增速不敌直接竞对，重仓的新业务也还没起量 减持股份,经济观察网
642,2021-08-17,突然崩了，3800家公司下跌！究竟发生了什么？,Wind
643,2021-08-17,[公司]凯莱英21H1净利4.29亿元 “订单充裕+产能加速”积聚爆发势能,全景网
644,2021-08-17,撑不起的千亿市值？昔日牛股凯莱英再跌6.74%,证券之星
645,2021-08-17,业绩报喜但股价狂跌，除了高瓴，还有谁在突击减持凯莱英 盈利能力下降,新浪
646,2021-08-17,安信证券给予凯莱英买入-A评级：产能陆续投放，2021H1业绩持续高增长,每日经济新闻
647,2021-08-17,凯莱英(002821)2021H1业绩点评：短期确认波动 全年预期仍好 维持推荐！,新浪
648,2021-08-17,半年报发布后 CDMO龙头凯莱英股价闪崩 高瓴资本曾大幅减仓,中国经济网
649,2021-08-17,周二机构一致看好的十大金股,证券之星
650,2021-08-17,11倍大牛股凯莱英闪崩跌停，高估值最牛赛道不香了？,中国财富网
651,2021-08-17,国金证券维持凯莱英买入评级：半年报符合预期，看好后续高成长,每日经济新闻
652,2021-08-17,11倍牛股跌停！高瓴砍仓50%，最牛赛道不香了？,Wind
653,2021-08-17,凯莱英公布中报后跌停，但几个关键指标透露公司未来前景良好,新康界
654,2021-08-17,【国金晨讯】大炼化：大型新能源材料平台崛起！纯碱深度：新能源拉动需求增长，纯碱景气度持续向好,国金证券研究所
655,2021-08-17,11倍大牛股闪崩跌停 什么信号？高瓴大举砍仓50% 外资也在抛售 最牛赛道不香了？机构资金火拼,券商中国
656,2021-08-17,73股获券商买入评级 康泰生物目标涨幅达65.65%,Wind
657,2021-08-17,浙商证券维持凯莱英买入评级：短期确认波动，全年预期仍好，维持推荐,每日经济新闻
658,2021-08-16,凯莱英2021年中报点评：股权激励与汇兑损益拖累表观增速，全年业绩有望实现高增 【东吴医药朱国广团队】,国广有话说
659,2021-08-16,罕见跌停！高瓴二季度巨额减持凯莱英，葛兰李晓西加仓！邓晓峰冯明远二季度看这些标的！ 减持股份,Wind
660,2021-08-16,深度*公司*凯莱英(002821)：业绩稳定增长 服务能力与产能持续提升,新浪
661,2021-08-16,凯莱英半年报见光股价跌停 ROE主营业务毛利率均降 盈利能力下降,中国经济网
662,2021-08-16,危险信号！又见高瓴大幅度减持，医药大白马的逻辑发生重大变化？ 减持股份,瞪羚社
663,2021-08-16,跌停板解密：两类个股遭大单集中抛售！（8月16日）,Wind
664,2021-08-16,遭高瓴资本减持，凯莱英业绩报喜股价却跌停，机构资金博弈激烈 减持股份,第一财经
665,2021-08-16,闪崩跌停，6家机构激烈博弈净买1484万，这只医药股如何？,证券之星
666,2021-08-16,板块掀涨停潮 下一个锂电板块会是它？,证券之星
667,2021-08-16,凯莱英龙虎榜数据（8月16日）,Wind
668,2021-08-16,凯莱英今日跌停 机构资金博弈激烈,e公司
669,2021-08-16,龙虎榜|凯莱英今日放量跌停 三机构席位合计卖出2.11亿元,财联社
670,2021-08-16,凯莱英放量跌停，机构剧烈分歧,Wind
671,2021-08-16,东吴证券：维持凯莱英(002821.SZ)“买入”评级 在手订单充沛 新兴服务拓展效果显着,智通财经
672,2021-08-16,中银证券维持凯莱英买入评级：业绩稳定增长，服务能力与产能持续提升,每日经济新闻
673,2021-08-16,高瓴巨额减持220万股，20倍医药大白马跌停，股民一天亏38万 减持股份,凤凰网
674,2021-08-16,罕见跌停！业绩不及预期，惨遭高瓴抛弃的凯莱英还好吗？ 盈利能力下降,格隆汇
675,2021-08-16,凯莱英放量跌停，高瓴参与定增半年后减持过半 减持股份,阿尔法工场
676,2021-08-16,平安证券维持凯莱英强烈推荐评级，汇兑影响表观增速，订单+产能双双加速保障后续发展,每日经济新闻
677,2021-08-16,【中银医药】凯莱英：业绩稳定增长，服务能力与产能持续提升,周观宇论
678,2021-08-16,天风证券维持凯莱英买入评级，内修外练，静待繁花盛开,每日经济新闻
679,2021-08-16,医药生物行业周报：医疗服务三问三答 何时会出现板块性机会？,新浪
680,2021-08-16,A股收盘综述：沪指录得6连阳，氢能源板块午后再度爆发,Wind
681,2021-08-16,中泰证券：维持凯莱英(002821.SZ)“买入”评级 小分子CDMO持续强劲 新业务拓展逐步收获,智通财经
682,2021-08-16,受上半年人民币升值拖累 凯莱英2021H1业绩低于预期 高瓴资本减持 减持股份,财联社
683,2021-08-16,“坚决抵制忽悠股民接盘”十连板公司急了：我们是储能行业门外汉,Wind
684,2021-08-16,宁德时代重挫6%！千亿医药白马罕见跌停,Wind
685,2021-08-16,锂电、稀土等霸屏跌幅榜，宁德时代重挫6%,证券之星
686,2021-08-16,凯莱英上半年研发投入同比增五成,贝壳财经
687,2021-08-16,"锂电突然崩了！宁德时代重挫6%，最惨被砸20%跌停！私募大佬狂减持，千亿医药白马罕见跌停！最贵新股一签大赚15万，半导体又火了
减持股份",中国基金报
688,2021-08-16,20倍医药大牛股盘中跌停！高瓴大幅减仓220万股，不看好了？,凤凰网
689,2021-08-16,每日“药”闻|两款新冠疫苗加强针获FDA紧急使用授权；长春新高、凯莱英公布半年报,读懂财经
690,2021-08-16,医药生物行业：关注CXO新秀 重点推荐皓元医药、诺泰生物等,新浪
691,2021-08-16,凯莱英跌停，上半年净利润同比增长36%，高瓴参与定增半年后减持逾220万股 减持股份,金融界
692,2021-08-16,快讯：CRO板块早盘持续走低 凯莱英跌停,新浪
693,2021-08-16,每日财报|凯莱英中期净利增长41.95% 惠泉啤酒净利增长三成,每日财报
694,2021-08-15,凯莱英公布半年报 上半年净利增加36.03%,新浪
695,2021-08-15,【开源医药】行业周报：坚定看好国内创新药产业链高景气,微信
696,2021-08-15,晚间重要公告2021年8月15日星期日,Wind
697,2021-08-15,晚间公告｜8月15日这些公告有看头,第一财经
698,2021-08-15,凯莱英：中期盈利4.29亿人民币，同比增长36.03%,Wind
699,2021-08-15,凯莱英(002821.SZ)半年度净利润4.29亿元 同比增长36.03%,格隆汇
700,2021-08-15,凯莱英：2021年半年度净利润约4.29亿元，同比增加36.03%,每日经济新闻
701,2021-08-15,凯莱英：上半年净利润同比增长36.03%,Wind
702,2021-08-15,【凯莱英（002821.SZ）】Q2业绩符合预期，高额未完成订单显示增长动力足——2021年中报点评（林小伟）,光大证券
703,2021-08-12,财信证券医药生物行业2021年8月月度报告：坚守高景气，关注高性价比个股,财信证券研究
704,2021-08-11,凯莱英现1笔大宗交易 共成交504.00万元,新浪
705,2021-08-11,凯莱英今日大宗交易成交1.20万股，成交价420.0元折价0.02%,Wind
706,2021-08-11,医药行业周报：如何看待生物试剂未来空间？,新浪
707,2021-08-11,医药板块开启震荡调整，这两只医药股市值逆势增长超百亿元,制药网
708,2021-08-10,“盐湖提锂”火了：最高涨396%，重仓基金疯涨,Wind
709,2021-08-09,医药行业周报：进入中报期 关注业绩超预期个股,新浪
710,2021-08-09,凯莱英：半年度报告将于2021年8月16日披露,每日经济新闻
711,2021-08-09,又一家CXO企业市值突破1000亿元！,制药网
712,2021-08-08,中泰医药行业周报：疫情、中报成为当前催化 把握医药行业投资窗口,新浪
713,2021-08-05,被显着低估！一家爆发力强劲的小CXO，有望成为下一个九洲药业？,瞪羚社
714,2021-08-04,凯莱英市值过千亿，康龙年内翻倍，泰格仅涨1%，CXO产业会迎来周期到顶吗？,新浪医药
715,2021-08-03,高瓴资本概念股表现活跃，国瓷材料、金域医学、泰格医药均涨7%左右,Wind
716,2021-08-03,医药生物行业双周报,新浪
717,2021-08-02,医药行业周报：政策担忧不改医药高景气 疫情爆发带来疫苗阶段性机会,新浪
718,2021-08-02,粤开证券8月十大金股出炉 凯莱英、宁德时代等热门个股上榜,证券日报网
719,2021-08-02,生物医药行业周报：医药板块短期波动不改长期发展趋势,新浪
720,2021-08-02,粤开策略 | 2021年8月十大金股及展望,粤开崇利论市
721,2021-08-01,“医药一姐”之争：中欧葛兰PK工银瑞信赵蓓,环球老虎财经
722,2021-07-31,医药行业周报：散点疫情偶发 寻找“脱敏”品种,西南证券
723,2021-07-31,医药行业周报：器械政策频出 创新引领未来,新浪
724,2021-07-30,凯莱英(002821.SZ)：拟向金融机构申请不超12亿元综合授信额度,格隆汇
725,2021-07-30,凯莱英(002821.SZ)：拟使用不超5亿元部分闲置募集资金暂补流动资金,格隆汇
726,2021-07-30,凯莱英(002821.SZ)拟回购注销3500股限制性股票,智通财经
727,2021-07-30,凯莱英(002821.SZ)拟回购注销1.03万股限制性股票,智通财经
728,2021-07-29,A股探低回升创业板指率先反弹，北向资金净买入超80亿元,Wind
729,2021-07-28,黄金赛道CXO|凯莱英：小分子CDMO龙头，欲再闯港股市场,财华社
730,2021-07-28,医药股午后崛起，三季度有望迎来业绩拐点，三条主线布局,第一财经
731,2021-07-28,解盘：盘面再陷低迷，钠离子电池、三胎、宁组合略涨,Wind
732,2021-07-27,浙商证券维持凯莱英买入评级，凯莱英更新报告：四论业绩确定性加速趋势和长期天花板打开,每日经济新闻
733,2021-07-27,行业观察|医药外包止跌回升背后：头部大企业绩纷纷高增CXO行业未来预期到底如何？,财联社
734,2021-07-27,凯莱英(002821)：四论业绩确定性加速趋势和长期天花板打开,新浪
735,2021-07-27,CRO概念持续拉升，昭衍新药涨停，博腾股份、凯莱英、康龙化成跟涨。,新浪
736,2021-07-26,“宁组合”受追捧，如何搭建“宁FOF”？,养基司令
737,2021-07-26,高瓴资本概念股纷纷下滑，甘李药业逼近跌停并再创阶段新低,Wind
738,2021-07-25,医药基金二季报解读,雪球
739,2021-07-24,大家聊聊医药基金二季报吧,雪球
740,2021-07-23,A股共发生99宗大宗交易凯莱英溢价率最高,第一财经
741,2021-07-23,A股共发生99宗大宗交易成交15.49亿元（7月23日）,Wind
742,2021-07-23,凯莱英今日大宗交易成交1.99万股，成交价385.0元溢价5.83%,Wind
743,2021-07-23,【异动股】CRO板块下挫，皓元医药(688131.CN)跌9.31%,财华社
744,2021-07-23,【行情】CRO概念午后持续走弱，皓元医药跌超9%，美迪西、凯莱英、康龙化成、阳光诺和跟跌,金十数据
745,2021-07-23,3大千亿白马重挫，锂电牛股跌13%！券商股却火了,Wind
746,2021-07-23,医药行业2021Q2持仓分析：医药仓位持续回升 核心资产继续分化,西南证券
747,2021-07-23,18家千亿顶流基金公司调仓释放重要信息,Wind
748,2021-07-22,远没有利润表所呈现那么华丽 泰格医药千亿市值难以承受之重,证券市场周刊
749,2021-07-22,基金重仓股变化折射时代变迁，宁德时代晋升为公募基金第二大重仓股,Wind
750,2021-07-21,TOP30基金挖掘出天赐、天奈、中伟股份等仨月翻倍个股 周蔚文董承非袁芳均减仓,新浪
751,2021-07-21,凯莱英现1笔大宗交易 共成交507.26万元,新浪
752,2021-07-21,医药行业2021年中报业绩前瞻：继续保持恢复性增长,新浪
753,2021-07-21,生物医药行业周报：即将进入中报季 推荐关注业绩确定性强的标的,新浪
754,2021-07-21,上半年最赚钱基金中报大换仓，哪些板块最受宠？,Wind
755,2021-07-20,康龙化成(300759)：H1收入持续提速 运营效率提升拉动业绩大幅增长,新浪
756,2021-07-19,凯莱英大宗交易成交0.70万股成交额249.61万元,证券时报网
757,2021-07-19,凯莱英今日大宗交易成交0.70万股，成交价356.59元溢价0.0%,Wind
758,2021-07-18,高瓴、红杉、CPE等大佬重仓区！十大热门新面孔，谁最值得入手？,瞪羚社
759,2021-07-18,医药行业周报：中报预告落地 个股表现持续分化,西南证券
760,2021-07-17,医药与健康护理行业周报：中报预告相继披露 关注业绩高增长公司,新浪
761,2021-07-15,生物医药行业周报：“十四五”医疗卫生服务实施方案出台 利好医疗器械与医疗服务,新浪
762,2021-07-15,凯莱英现1笔大宗交易 共成交249.70万元,新浪
763,2021-07-15,凯莱英今日大宗交易成交0.68万股，成交价367.2元溢价0.0%,Wind
764,2021-07-14,医药生物行业周报：医药板块估值已具备吸引力 建议长期配置优质赛道,新浪
765,2021-07-14,领跌CRO淘金赛道：泰格医药转型“投资家”AB面 非经常性损益突出,21世纪经济报道
766,2021-07-13,凯莱英现2笔大宗交易 共成交667.57万元,新浪
767,2021-07-13,21硬核投研丨 CRO淘金赛道“领跌者” ，泰格医药转型“投资家”AB面,21世纪经济报道
768,2021-07-13,【光大基金|总量研究】底仓注重个券能力，优选赛道增强收益 ——2021Q3基金策略报告,微信
769,2021-07-13,博腾股份(300363)：由“灰”到“白” 关注新产能弹性,新浪
770,2021-07-12,CRO概念持续回暖，机构：新政释放资源，利好行业长期发展,第一财经
771,2021-07-12,高瓴资本概念股恩捷股份再创新高，泰格医药、广联达、凯莱英、健帆生物跟涨,Wind
772,2021-07-12,公司研究：「凯莱英（002821）」高瓴豪掷10亿CDMO,36氪
773,2021-07-10,超级赛道！两年五倍大牛股！现在还能买入吗？,瞪羚社
774,2021-07-09,闻家兴：干细胞药物研发关键点探讨,药通社
775,2021-07-08,中国CRO沉浮：一场挫败、崛起、狂欢的盛宴,新浪
776,2021-07-08,【国金医药】CDE新政加速医药创新迭代，看好头部药企、Biotech和CXO公司,医药研选
777,2021-07-08,中国CRO沉浮：一场挫败、崛起、狂欢的盛宴,证券之星
778,2021-07-08,医药创新长期高景气，看多龙头公司,金融界
779,2021-07-08,创业板指强劲反弹超百点，锂电池板块再掀涨停潮,Wind
780,2021-07-07,宁德时代“yyds”，A股市值超招行！滴滴小程序下架，阿里腾讯被罚,Wind
781,2021-07-07,A 股收评：指数午后高位震荡 锂电池板块再掀涨停潮,ZAKER
782,2021-07-07,医药：CDE临床研发指导原则驱动新药研发规范化发展,新浪
783,2021-07-07,高瓴资本概念股涨势强劲，恩捷股份再创新高,Wind
784,2021-07-07,多家公司紧急回应CRO新政影响，概念股全线回暖，还有爆发空间吗？,第一财经
785,2021-07-07,近期连续调整的CRO板块，今日早盘集体反弹，九州药业、博腾股份、凯莱英等个,新浪
786,2021-07-07,医药龙头全线反弹，迈瑞医疗、凯莱英涨近6%,Wind
787,2021-07-07,凯莱英大涨,新浪
788,2021-07-07,医药外包概念股集体重挫 创新药马太效应料加剧,经济参考报
789,2021-07-07,医药行业周报：《2021年国家医保药品目录调整工作方案》出炉 重点关注创新药投资机会,新浪
790,2021-07-06,医药行业：创新药和CXO行业加速结构化进程,西南证券
791,2021-07-06,凯莱英(002821.SZ)2020年度权益分派10派6元股权登记日为7月12日,格隆汇
792,2021-07-06,凯莱英(002821.SZ)每10股派6元,智通财经
793,2021-07-06,医药生物行业双周报,新浪
794,2021-07-06,资金流向分析,新浪
795,2021-07-05,凯莱英(002821.SZ)：向273名激励对象授予205.53万股限制性股票,格隆汇
796,2021-07-05,医药生物行业周报：全方位盘点上半年医药行业、细分领域、个股风云变幻,新浪
797,2021-07-05,医疗健康行业动态：系统性调整不改长期向好趋势,新浪
798,2021-07-05,医药行业每周医览药闻：关注结构性机会 把握高确定性,新浪
799,2021-07-04,CXO股价调整后是否再次上车机会？持续重点推荐药明康德、凯莱英等,国广有话说
800,2021-07-04,一周IPO｜康诺亚等6只新股下周上市，医脉通火热招股中,华盛证券
801,2021-07-02,凯莱英(002821.SZ)参股子公司拟引入产业资本增资扩股以充实资本实力,智通财经
