,2021-12-31,独家|长江证券副总裁罗国华辞职，将出任华东一家券商总裁，多位人士“点评”他们心中的老罗 董监高成员变化,财联社
307,2021-07-21,长江证券(000783.SZ)向专业投资者公开发行公司债券获得注册批复,智通财经
308,2021-07-21,【广发基金对话首席】广发基金罗国庆对话长江证券邬博华,广发微管家
309,2021-07-20,股民懵了！5倍大牛股扭亏为盈，股价却连续3跌停,Wind
310,2021-07-15,又一券商获场外期权交易商资格，华创证券今年第三家获批二级交易商，场外衍生品规模逼近1.5万亿,财联社
311,2021-07-15,伍戈：财政料将比上半年积极，发力幅度较为温和,第一财经
312,2021-07-14,关于长江证券股份有限公司2021年面向专业投资者公开发行次级债券（第二期）上市有关事项的通知,深交所
313,2021-07-14,监管动态 | *ST聚龙涉信披违法违规被立案调查，昔日辽宁首富光环褪去 其他违规处罚,财经网
314,2021-07-14,西部利得童国林业务调整 离任1只基金同时新任2只基金 基金经理离任,中国经济网
315,2021-07-14,又一首富“栽了”！证监会出手：立案调查,Wind
316,2021-07-14,景顺长城顺安回报混合型证券投资基金 新增长江证券为销售机构的公告,证券日报
317,2021-07-13,芯片牛股国民技术终于有了实控人，资本大佬刘益谦陪跑8年！,环球老虎财经
318,2021-07-13,长江证券：公司与财富趋势已有合作,Wind
319,2021-07-13,长江证券9亿买楼落地 泛海系稍解燃眉之急,全景网
320,2021-07-12,卢志强广撒“朋友圈”，泛海持续去地产化,乐居财经
321,2021-07-12,长江证券(000783.SZ)：2020年度权益分派10派1.5元股权登记日7月19日,格隆汇
322,2021-07-12,长江证券(000783.SZ)：完成公开发行20亿元次级债券,格隆汇
323,2021-07-12,长江证券：将“长证转债”转股价格由7.28元/股下修至7.13元/股,Wind
324,2021-07-12,长江证券(000783.SZ)每10股派1.5元,智通财经
325,2021-07-12,7月12日深市创业板活跃股公开信息,深交所
326,2021-07-12,长江证券斥资9亿元购置新办公楼 上半年净利润预计为13.18亿元至15.07亿元,和讯
327,2021-07-11,斥资9亿，长江证券购置武汉新办公楼，上半年利润可覆盖买楼支出，去年来多家券商选择沪上置业,财联社
328,2021-07-11,长江证券(000783.SZ)出资9亿元购置总部办公楼,智通财经
329,2021-07-11,长江证券购买泛海创业中心大厦 总价款9亿元,观点地产网
330,2021-07-11,小事记 | 长江证券购买泛海创业中心大厦 财信发展收购财信智服,观点地产网
331,2021-07-08,长江证券(000783.SZ)：拟以9亿元购买泛海创业中心大厦物业,格隆汇
332,2021-07-08,长江沪深300指数增强增聘基金经理秦昌贵,中国经济网
333,2021-07-08,【长江研究·早间播报】宏观/家电/通信/电子(20210708）,长江研究
334,2021-07-08,【*长江证券公募次级债（第二期）】20亿，3年（21长江C2，149546，3.4-4.2%），AAA/AA+，今日簿记。,中信建投固定收益部
335,2021-07-07,17家券商上半年业绩预告出炉：中信证券预盈超百亿，太平洋无法预测,时代财经
336,2021-07-07,债市风云|机构关注上海电气调查通知书 长江证券新增借款超百亿 大额借贷担保,中新经纬
337,2021-07-07,中国债券市场金融债发行日程一览(7月7日),Wind
338,2021-07-07,【长江研究·早间播报】建材/轻工/农业/电子(20210707）,长江研究
339,2021-07-07,13家券商上半年业绩预喜,中证报
340,2021-07-07,关于南方誉隆一年持有期混合型证券投资基金2021年非港股通交易日申购安排的公告,中证报
341,2021-07-06,伍戈：成本冲击与经济趋势,新浪
342,2021-07-06,长江证券：累计新增借款占上年末净资产比例为38.15% 大额借贷担保,Wind
343,2021-07-06,长江证券(000783.SZ)拟公开发行不超20亿元次级债券,智通财经
344,2021-07-06,长江证券发布半年度业绩预告 净利润同比增长40%-60%,资本邦
345,2021-07-06,13家“牛市旗手”上半年业绩预喜 龙头股净利大增但股价下跌 还值得买入吗？,中证网
346,2021-07-06,长江证券股份有限公司 2021年半年度业绩预告,证券日报
347,2021-07-05,长江证券(000783.SZ)半年度净利润预增40%-60%,格隆汇
348,2021-07-05,长江证券：预计上半年净利润同比增长40%-60%,Wind
349,2021-07-05,近日我司公司债券推介,中信建投固定收益部
350,2021-07-05,荣大科技等19家企业“中签”IPO现场检查，国金证券占4单,第一财经
351,2021-07-03,投资者灵魂拷问：花10亿元买楼能带来多少利润？为何股价一直低于增发价？长江证券回应了,金融界
352,2021-07-03,投资者灵魂拷问：花10亿元买楼能带来多少利润？为何股价一直低于增发价？这家券商回应了,中证报
353,2021-07-02,前6月86家企业登陆科创板 79家选标准一5家选标准四,中国经济网
354,2021-07-01,上半年券商资管权益类基金平均收益6%，长江证券资管成立不到3个月的新品成最大黑马全靠这一招！,每日经济新闻
355,2021-07-01,保力新(300116.SZ)：郭鸿宝拟继续被动减持不超637.9475万股 拟减持股份,格隆汇
356,2021-07-01,保力新(300116.SZ)主要股东郭鸿宝所持637.95万股将被动减持 减持股份,智通财经
357,2021-07-01,长江证券：“长证转债”第二季度转股2594股,每日经济新闻
358,2021-06-30,齐聚资本力量，2021中国（武汉）创投峰会唤起新格局下的经济增长力,资本邦
359,2021-06-29,长江证券包承超：下半年从赚估值转向赚盈利,中证网
360,2021-06-29,英唐智控：控股股东《股份转让协议》终止暨拟减持不超过4.24%公司股份 拟减持股份,Wind
361,2021-06-29,66家公司提供超29万就业岗位！武汉人才磁场效应显现,投资时报
362,2021-06-28,近日我司公司债券推介,中信建投固定收益部
363,2021-06-26,【安信计算机】计算机板块中报业绩前瞻,计算机司令部
364,2021-06-24,货币退潮：祸兮？福兮？,伍戈经济笔记
365,2021-06-24,清科创业举办2021中国（武汉）创投峰会，唤起新格局下的经济增长力,投资界
366,2021-06-24,[路演]长江证券：子公司长江期货力争做好集团综合金融服务布局中的一环,全景网
367,2021-06-24,[路演]长江证券：始终以良好的业绩和稳定的分红回报广大投资者,全景网
368,2021-06-24,券业一哥欲设资管子公司，未来还要发力公募，影响有多大,Wind
369,2021-06-22,汉邦高科(300449.SZ)实控人王立群所质押1304.1万股或将被动减持,智通财经
370,2021-06-21,汉邦高科(300449.SZ)：长江证券可能会继续对王立群进行违约处置 违约失信,智通财经
371,2021-06-21,汉邦高科：实控人王立群可能被动减持1% 减持股份,Wind
372,2021-06-21,近日我司公司债券推介,中信建投固定收益部
373,2021-06-21,A股融资融券日报：两融余额增加35.34亿元（6月18日）,Wind
374,2021-06-19,保险股持续“寻底”，业绩转机或在下半年,Wind
375,2021-06-18,汉邦高科(300449.SZ)实控人王立群被动减持63.81万股 减持股份,智通财经
376,2021-06-17,中小券商排兵布阵进行时：年内10家上市券商高管团队迎新,第一财经
377,2021-06-17,多家券商报告关注618，天猫仍是品牌运营主阵地,财经网
378,2021-06-17,券商眼中的618战事：商家首选在淘系运营，看好阿里长期价值,天下网商
379,2021-06-17,宁德时代天量解禁：17倍浮盈诱惑强烈，机构分歧大,Wind
380,2021-06-17,2021中国（武汉）创投峰会五大亮点先睹为快,投资界
381,2021-06-16,惊人巧合？华林证券的“双喜盈门”,新浪
382,2021-06-16,金融科技，能解“家族式”券商华林证券之困么？,环球老虎财经
383,2021-06-16,中小券商华林证券“换帅”，互联网转型能否突围？,环球老虎财经
384,2021-06-16,长江证券：商家持续首选在淘系运营，阿里中长期稳健成长可期,格隆汇
385,2021-06-16,又一家券商“换帅”了。6月15日晚间，华林证券公告，原长江证券副总裁韦洪波将担任公司新总裁，原总裁朱文瑾将担任公司副董事长。,中证报
386,2021-06-16,华林证券“换帅”：剑指互联网战略转型,中证报
387,2021-06-16,上市险企5月保费“歉收”，下半年业绩改善指望谁？,Wind
388,2021-06-15,新总裁韦洪波上任：高管大调整 华林证券要下一盘什么棋,新浪
389,2021-06-15,新沃基金祭出新混基 陈乐华同日起任两只同类产品基金经理,证券之星
390,2021-06-15,华林证券总裁换帅，原长江证券副总裁接任，竞跑 “互联网券商” 董监高成员变化,第一财经
391,2021-06-15,长江证券（上海）发售新股基 秦昌贵曹紫建同一任职产品近期涨幅不佳,金融界
392,2021-06-15,韦洪波出任华林证券总裁 互联网战略裂变应时而动,证券日报网
393,2021-06-15,韦洪波加盟华林证券任职总裁，互联网券商之路将全面开启？,每日经济新闻
394,2021-06-15,发力金融科技？韦洪波出任华林证券总裁,证券之星
395,2021-06-15,华林证券“换帅”：长江证券原副总裁韦洪波担任总裁 董监高成员变化,中证网
396,2021-06-15,华林证券两大事件：董事长林立首次致信员工敲定发展头等大事，韦洪波正式出任总裁，创新谋变成主基调,财联社
397,2021-06-12,拉锯3600点：震荡会否长久？,Wind
398,2021-06-11,长江证券(000783.SZ)：“21长江C1”将于6月15日起在深交所上市,智通财经
399,2021-06-11,融资客青睐6股，江河集团买入占比高达42.58%,Wind
400,2021-06-11,A股融资融券日报：两融余额增加67.59亿元（6月10日）,Wind
401,2021-06-10,A股融资融券日报：两融余额减少2.5亿元（6月9日）,Wind
402,2021-06-09,又一“股神”？业绩预增32倍获6连板，原因出人意料,Wind
403,2021-06-09,注册制下券商投行业务大比拼：IPO项目翻倍，马太效应加剧,Wind
404,2021-06-08,长江证券(000783.SZ)：完成公开发行30亿元次级债券,格隆汇
405,2021-06-08,长江证券(000783.SZ)完成发行“2021年面向专业投资者公开发行次级债券(第一期)”,智通财经
406,2021-06-08,湖北上市公司快讯：长江证券拟发次级债，东风汽车5月产销快报出炉,搜狐
407,2021-06-04,长信基金子公司踩雷*ST斯太 持股8年间市值最高蒸发94% 重仓股票异动,21世纪经济报道
408,2021-06-04,【*长江证券公募次级债】不超30亿/3年（3.5-4.5%）/AAA/AA+/深交所/不免税/今日簿记,中信建投固定收益部
409,2021-06-04,IPO业务大增，今年以来券商首发承销进账近百亿元,Wind
410,2021-06-03,中国债券市场金融债发行日程一览(6月3日),Wind
411,2021-06-02,长江证券(000783.SZ)：拟公开发行不超30亿元次级债券,格隆汇
412,2021-06-02,前5月IPO募资超1800亿元，券商承销“进账”94亿元,Wind
413,2021-06-01,长江证券：金龙鱼(300999.SZ) 原材料采购优势+渠道优势，维持“买入”评级,智通财经
414,2021-05-27,湖北省副省长赵海山：继续实施上市的计划 进一步加快培育更多的上市企业,中证网
415,2021-05-27,前脚调研后脚涨停！这家公司和机构说了些啥？,Wind
416,2021-05-26,长江证券：全资子公司长江资管拥有公募基金和资产管理等相关牌照，能够发行公募REITs,每日经济新闻
417,2021-05-26,李新华：长江证券要为长江经济带发展贡献力量,证券日报网
418,2021-05-26,诺德基金罗世锋“独角戏”背后是迷你基金扎堆 “顶梁柱”过往业绩喜忧参半！,中国经济网
419,2021-05-26,资本力量助推高质量发展 湖北将打造资本要素聚集新高地,证券时报
420,2021-05-26,资本力量汇聚江城 共话湖北高质量发展新征程,上证报
421,2021-05-26,20cm大号涨停！炒错了？公司：我没参加鸿蒙系统建设,Wind
422,2021-05-26,疫后重振资本市场“湖北样板”，多家金融机构助力,第一财经
423,2021-05-25,长江资本大会武汉举行：资本市场赋能湖北高质量发展,经济观察报
424,2021-05-25,金博会号外|长江证券刘元瑞：武汉建设区域金融中心大有可为,每经网
425,2021-05-24,中国证监会行政处罚决定书（上海玖歌投资管理有限公司、魏晓微） 金融监管处罚,证监会
426,2021-05-24,近日我司公司债券推介,中信建投固定收益部
427,2021-05-24,频现股权出售拍卖，民营银行迎加速洗牌期 资产异常,ZAKER
428,2021-05-24,长江证券：非银高质量发展成为常态，长期仍具较好配置价值,证券时报网
429,2021-05-23,【华创非银】非银金融周观察：板块整体调整，继续关注优质个股,华创非银
430,2021-05-21,长江证券2020年过会项目26家创新高,新浪
431,2021-05-20,贵州百灵：控股股东拟协议转让2.84%公司股份 减持股份,Wind
432,2021-05-20,诺德基金迷你基金扎堆，罗世锋过往业绩喜忧参半,新浪
433,2021-05-18,长江证券：高度重视客户投诉处理工作,上证报
434,2021-05-18,“叶飞概念股”再度重挫，市值已蒸发170亿，80万股民受灾 连续下跌,第一财经
435,2021-05-18,A股融资融券日报：两融余额增加66.37亿元（5月17日）,Wind
436,2021-05-17,蓝光控股股东质押超3400万股 累计质押所持股份51.94%,观点地产网
437,2021-05-14,长江证券大涨,新浪
438,2021-05-13,[路演]节能泵行业的领跑者 泰福泵业IPO路演5月12日成功举行,全景网
439,2021-05-13,江丽芬先后操纵“姚记扑克”等8只股票股价 被没收违法所得并罚1511.86万 其他违规处罚,新浪
440,2021-05-12,长信基金董事长敲定 曾为长江证券80后钢铁分析师,天天基金网
441,2021-05-11,财通基金祭出新混基 杨烨超名下一只基金业绩疲软不敌同类平均 盈利能力下降,金融界
442,2021-05-11,长江证券：2021年累计新增借款占上年末净资产的21.04% 大额借贷担保,Wind
443,2021-05-11,长江证券(000783.SZ)前4月累计新增借款超上年末净资产20% 大额借贷担保,格隆汇
444,2021-05-11,刘元瑞出任长信基金董事长！多位顶流基金经理崛起,Wind
445,2021-05-11,刘元瑞掌舵长信基金“80后”崛起公募圈,中证报
446,2021-05-10,刘元瑞出任长信基金董事长！80后成基金圈主力军，多位顶流基金经理崛起,中证报
447,2021-05-10,公募基金“跳槽季”：前海开源基金3名经理卸任，申万菱信10年老将任琳娜离职 基金经理离任,搜狐
448,2021-05-10,刘元瑞出任长信基金董事长 曾是知名钢铁分析师,每日经济新闻
449,2021-05-07,快讯 | 长江证券“80后”总裁刘元瑞出任长信基金董事长,每日经济新闻
450,2021-05-07,券商行业周报：一季报业绩显着提升 头部券商表现亮眼,新浪
451,2021-05-06,【中证协优秀课题】证券公司关键岗位核心人员道德风险防范研究,中证协发布
452,2021-05-05,【国君非银】业绩分化加剧，客需和财富管理是亮点——券商行业2021年一季报业绩综述,欣琦看金融
453,2021-05-03,牛市旗手的盛宴要来？券业两大利好预期仍在酝酿,Wind
454,2021-04-30,长江证券股份有限公司2021第一季度报告,证券时报
455,2021-04-29,长江证券(000783.SZ)2020年净利升25.19%至20.85亿元拟10派1.5元,格隆汇
456,2021-04-29,长江证券：一季度净利润同比增长64.53%,Wind
457,2021-04-29,长江证券：2020年净利润同比增长25.19%,Wind
458,2021-04-29,长江证券(000783.SZ)年度归母净利同比增25.19%至20.85亿元 拟10派1.50元,智通财经
459,2021-04-29,长江证券：2020年度净利润约20.85亿元,每日经济新闻
460,2021-04-29,长江证券：副总裁、首席金融科技官韦洪波辞职 董监高成员变化,每日经济新闻
461,2021-04-29,长江证券：2021年第一季度净利润约7.01亿元，同比增加64.53%,每日经济新闻
462,2021-04-29,长江证券(000783.SZ)一季度归母净利润同比增长64.53%至7.01亿元,智通财经
463,2021-04-29,长江证券：高级管理人员辞职 董监高成员变化,Wind
464,2021-04-29,券商“联姻”风声再起，证券业新一波并购浪汹涌来袭,Wind
465,2021-04-28,券商“联姻”风声再起，证券业新一波并购浪汹涌来袭,第一财经
466,2021-04-28,一欧洲巨头正在申请证券公司，外资怎么做才能在中国适应水土？,第一财经
467,2021-04-28,刚刚！钢铁进出口关税调整正式落地，有何影响？,Wind
468,2021-04-27,合资分手多年后 法国巴黎银行申请在华设立控股券商,上证报
469,2021-04-27,从平安方正到天风长江，券商“联姻”又是空穴来风？,时代周报
470,2021-04-26,高毅资产邓晓峰：未来的超额收益不在头部的100家公司里,Wind
471,2021-04-25,第六届中国金长江私募基金发展高峰论坛举行，高毅邓晓峰、景林蒋彤等在武汉发声：今年A股整体将维持震荡 市场需达到好的平衡点,长江商报
472,2021-04-23,A股融资融券日报：两融余额增加33.53亿元（4月22日）,Wind
473,2021-04-22,什么情况？这家券商资管高管接连变更，总经理刚刚离职，有何新打法？ 董监高成员变化,券商中国
474,2021-04-21,再现高管变更 长江资管总经理离职 母公司长江证券资产托管部总经理杨忠接任 董监高成员变化,每日经济新闻
475,2021-04-21,上市券商一季度业绩分化 盈利能力下降,证券之星
476,2021-04-21,不见齐刷刷高增长，部分券商一季度业绩“踩刹车”，年后行情给券业出难题,财联社
477,2021-04-21,长江证券资管唐吟波因个人原因离任 新任杨忠为总经理 董监高成员变化,新浪
478,2021-04-16,这一脚踩空快哭晕了！刚刚大笔抛出，10天股价翻倍,Wind
479,2021-04-16,6家券商披露一季报预告：第一创业投资失利 长江、浙商大赚,第一财经
480,2021-04-16,一季度上市券商业绩表现两极分化第一创业预降94%长江证券盈利7亿 盈利能力下降,长江商报
481,2021-04-16,行情颠簸券商一季度业绩分化，投资成“胜负手”,Wind
482,2021-04-15,上市券商一季报业绩抢先看 分化明显、归母净利润增幅涨跌不一,北京商报
483,2021-04-15,A股融资融券日报：两融余额增加21.59亿元（4月14日）,Wind
484,2021-04-15,第一创业预告业绩滑坡，长江证券却大增65%，为何一季报冰火两重天？ 盈利能力下降,证券之星
485,2021-04-14,长江证券：2021年第一季度净利润7.01亿元 同比增64.53%,上证报
486,2021-04-14,长江证券：一季度预计净利润同比增长64.53%左右,Wind
487,2021-04-14,上市券商一季度业绩分化大：浙商、长江迎“开门红”，这家券商却业绩下降94%！ 盈利能力下降,每日经济新闻
488,2021-04-14,晚间重要公告2021年4月14日星期三,Wind
489,2021-04-14,长江证券(000783.SZ)一季度净利润预增64.53%,格隆汇
490,2021-04-14,长江证券(000783.SZ)预计一季度归母净利同比增长64.53%,智通财经
491,2021-04-14,长江证券：预计一季度净利润70142.49万元，同比增长64.53%,Wind
492,2021-04-13,-严牌股份涉嫌利益输送，虚造业绩竞标遭起诉，保荐机构长江证券是否履职不到位？【投资策略】 诉讼纠纷,金融界股吧
493,2021-04-13,央行重磅数据公布前，A股抱团股齐跌、北上资金却在加仓,Wind
494,2021-04-13,新重疾险短期销售承压，长期市场需求依然巨大,Wind
495,2021-04-12,经济座谈会重磅定调！看十大关键表述,Wind
496,2021-04-11,2021长江证券湖南辖区春季投资策略峰会在长举行,中证网
497,2021-04-11,五道口关键词：政策转弯之年、结构转换时期、9%经济增速,Wind
498,2021-04-11,陆家嘴财经早餐2021年4月11日星期日,Wind
499,2021-04-10,长江证券首席经济学家伍戈：短端利率目前易上难下,Wind
500,2021-04-09,股权激励赋能可持续发展 宇通彰显高成长性,金融界
501,2021-04-09,A股融资融券日报：两融余额增加19.55亿元（4月8日）,Wind
502,2021-04-07,投行格局生变？海通赶超中信夺冠，一季度落袋6.4亿,Wind
503,2021-04-07,金科股份年报解读：规模上升、杠杆下降，董事会带来管理红利,21世纪经济报道
504,2021-04-06,A股融资融券日报：两融余额减少17.35亿元（4月2日）,Wind
505,2021-04-06,前3月33家券商分41.9亿保荐承销费 海通中信华泰领先,中国经济网
506,2021-04-02,中交集团与长江证券签署战略合作协议,中国交建
507,2021-04-02,青岛新三板公司三祥科技启动上市辅导,鲁网
508,2021-04-02,每日理财观察：欧佩克+宣布逐步增产，原油价格为何上涨？,Wind
509,2021-04-02,爆表“研值”已成券商核心竞争力，4家券商“基金分仓”佣金同比增超900%,Wind
510,2021-04-02,公募基金风生水起，券商分仓佣金水涨船高,Wind
511,2021-04-01,年度券商佣金收入排行揭晓：中信成业内首家10亿佣金机构，长江、中信建投、广发、招商紧紧相随,证券之星
512,2021-04-01,长江证券(000783.SZ)第一季度“长证转债”转股31.61万股,智通财经
513,2021-04-01,券商分仓佣金去年大增八成！中信、长江、中信建投蝉联三甲,Wind
514,2021-03-29,A股调整中，越来越多的人开始用这个永不过时的策略,Wind
515,2021-03-26,服装行业本来趋势是什么？洋品牌渐趋没落，国产品牌逐渐壮大,Wind
516,2021-03-26,多家券商抛出置业方案，年内2家上市券商合计斥资37亿元“买楼”,Wind
517,2021-03-26,多家券商抛出置业方案 年内2家上市券商合计斥资37亿元“买楼”,证券日报
518,2021-03-25,发改委主持召开一季度经济形势分析专家座谈会,Wind
519,2021-03-24,券商进入高性价比，再融资、收购绯闻满天飞,Wind
520,2021-03-22,弘侨生物虚增收入实控人收警示函 主办券商为长江证券 金融监管处罚,中国经济网
521,2021-03-22,A股融资融券日报：两融余额减少44.55亿元（3月19日）,Wind
522,2021-03-21,非银金融行业：保险负债端短暂低迷不改中期改善趋势,广发证券
523,2021-03-19,阳光电源跌8.88% 高点上海证券西部证券长江证券喊买,中国经济网
524,2021-03-18,长江证券最新入列二级交易商，全部场外期权交易商增至41家，规模前五券商保持业务高集中度,财联社
525,2021-03-18,长江证券一营业部负责人收警示函 违规开展股票融资 金融监管处罚,中国经济网
526,2021-03-18,财务总监竟另有其人？绿田机械和长江证券虚假信息披露一路狂奔 欺诈造假,新浪
527,2021-03-17,逢低入市！又一券商加入购房团，长江证券拟10亿资金买楼,环球老虎财经
528,2021-03-16,4000亿“猪茅”牧原股份遭质疑昨大跌 连续下跌,每日商报
529,2021-03-16,【券业场】长江证券刘元瑞：脉冲式政策引发A股波动，最艰难的时光已逝，慢牛格局渐行渐近！,金融界
530,2021-03-16,长江证券(000783.SZ)：拟不超10亿元在武汉投资自建或购置办公楼,格隆汇
531,2021-03-16,长江证券(000783.SZ)拟使用4亿元可转债闲置募集资金暂时补充流动资金,格隆汇
532,2021-03-16,A股融资融券日报：两融余额增加12.42亿元（3月15日）,Wind
533,2021-03-16,“猪茅”牧原股份被大V质疑造假 数百亿被盖猪舍的人赚走了？ 欺诈造假,新浪
534,2021-03-15,阳光电源跌9.41% 高点上海证券西部证券长江证券喊买,中国经济网
535,2021-03-15,质押长江证券、“追保”天茂集团！“资本大鳄”刘益谦最近有点“烦”,环球老虎财经
536,2021-03-15,"长江证券7150万股质押 刘益谦6年前100亿""拦腰""浮亏 亏损",中国经济网
537,2021-03-15,牧原股份财务造假？券商急帮辟谣 欺诈造假,新浪
538,2021-03-12,“资本大鳄”刘益谦旗下公司所持7150万股长江证券股份质押，意欲何为？,财联社
539,2021-03-12,长江证券(000783.SZ)第一大股东新理益集团质押7150万股,智通财经
540,2021-03-11,A股融资融券日报：两融余额减少53.4亿元（3月10日）,Wind
541,2021-03-09,ST华盛控未按期披露财报收警示函 主办券商长江证券 延期披露,中国经济网
542,2021-03-09,光大证券再度飙升，提振券商板块,Wind
543,2021-03-09,A股融资融券日报：两融余额减少48.58亿元（3月8日）,Wind
544,2021-03-08,长江证券(000783.SZ)将于3月12日支付“长证转债”第三年利息 1元/张,智通财经
545,2021-03-08,赣锋锂业跌8.55% 长江证券中信证券中金公司高点唱多,中国经济网
546,2021-03-08,阳光电源跌8.55% 高点上海证券西部证券长江证券喊买,中国经济网
547,2021-03-08,倒春寒！IPO现场检查大显威力，创业板重灾区,Wind
548,2021-03-04,隆基股份跌9.17% 上月初海通证券长江证券研报唱多,中国经济网
549,2021-03-04,阳光电源跌15% 高点上海证券西部证券长江证券喊买,中国经济网
550,2021-03-04,赣锋锂业跌9.72% 长江证券中信证券中金公司高点唱多,中国经济网
551,2021-03-04,券商大幅计提凸显重资本业务风险,证券市场周刊
552,2021-03-03,一财首席调研：货币政策维持稳定中性，3月信心指数为51.14,第一财经
553,2021-03-02,寒锐钴业跌7.64% 元月华安证券长江证券研报唱多,中国经济网
554,2021-03-02,回天新材：股东赵勇刚、刘鹏解除质押190万股,每日经济新闻
555,2021-03-02,A股融资融券日报：两融余额增加77.25亿元（3月1日）,Wind
556,2021-03-02,保费收入有望实现“全年红”，投行建议积极增配保险股,Wind
557,2021-03-01,中信证券跌近6% 近2日申银万国长江证券喊买话音未落,中国经济网
558,2021-03-01,顺周期关注度提升，机构称3月基本面修复趋势延续,Wind
559,2021-03-01,新增投资者11个月超百万！机构账户却下滑，什么信号,Wind
560,2021-03-01,2月券商金股收益排名大洗牌，“抱团股”、港股成拖累,Wind
561,2021-03-01,指数降温热情未退，1月超200万投资者跑步入场,Wind
562,2021-02-26,赣锋锂业节后市值蒸发471亿 长江证券中信证券唱多囧 连续下跌,中国经济网
563,2021-02-23,赣锋锂业跌7.3% 长江证券中信证券中金公司高点唱多,中国经济网
564,2021-02-23,公私募基金产品限购持续加码,Wind
565,2021-02-22,私募大咖新产品遭疯抢，多家百亿私募封盘谢客，什么信号？,中证报
566,2021-02-22,阳光电源跌18% 上海证券西部证券长江证券月初唱多,中国经济网
567,2021-02-22,隆基股份跌近7% 长江证券开源证券唱多后遭遇连跌 连续下跌,中国经济网
568,2021-02-22,海通证券携手Wind，开展研报合作,Wind
569,2021-02-19,养殖板块表现强势，养殖ETF将开启认购,Wind
570,2021-02-18,黄燕铭等人集体发声，8大头部研究所前瞻牛年路径,证券时报网
571,2021-02-14,腾讯金融云业绩翻倍，谁在做贡献？券商、银行、保险抢滩线上服务，数字化转型提速,Wind
572,2021-02-12,基金经理还有1万亿子弹没打，哪里将成蓄水池？,第一财经
573,2021-02-10,2大消息引爆白酒股,中证报
574,2021-02-10,A股融资融券日报：两融余额增加34.45亿元（2月9日）,Wind
575,2021-02-09,A股融资融券日报：两融余额减少23.79亿元（2月8日）,Wind
576,2021-02-09,变脸的东方日升，失效的投行中介？,Wind
577,2021-02-08,年报透露机构最新持仓，社保和险资共同现身3家公司,Wind
578,2021-02-08,A股融资融券日报：两融余额减少113.4亿元（2月5日）,Wind
579,2021-02-08,摒弃“重业务不重技术”，券商数字化转型提速,Wind
580,2021-02-05,立讯精密实控人71亿巨额“套现”背后：扩张再加速,21世纪经济报道
581,2021-02-05,A股融资融券日报：两融余额减少103.37亿元（2月4日）,Wind
582,2021-02-02,Wind医药：每日行业动态（2021-02-02）,Wind
583,2021-02-01,传音控股跌9% 长江证券申银万国今日刚喊买入,中国经济网
584,2021-02-01,徐工机械放量涨停，机构买入近8000万元,Wind
585,2021-01-30,24家上市券商计提减值218亿元，股票质押风险缓释,Wind
586,2021-01-30,泓德基金管理有限公司 关于旗下部分基金参与长江证券股份有限公司费率优惠活动的公告,中证报
587,2021-01-29,淮北矿业跌8% 一周内长江证券等多家券商研报喊买入,中国经济网
588,2021-01-29,90家A股公司交出“成绩单”，37家营收净利双位数增长,21世纪经济报道
589,2021-01-29,券业大年遭爆雷风险蚕食，全行业资产损失将超200亿元,21世纪经济报道
590,2021-01-28,1月28日深市创业板活跃股公开信息,深交所
591,2021-01-28,9家券商计提减值超115亿，股质业务仍是最大风险,券商中国
592,2021-01-28,上市券商2020年业绩“预告”： 已有12家净利润超10亿元，中信证券达149亿元,Wind
593,2021-01-27,多券商牛市下频提大额减值调查：疑遇丰收年“财务洗澡” 标准不一或成监管难题 其他违规处罚,时代在线
594,2021-01-26,长江证券：若春节返乡减少，建筑业与制造业生产或受提振,Wind
595,2021-01-25,券商行业周报(2021年第三期)：非银支付加强监管 数字化或带动业绩增长,新浪
596,2021-01-25,长江证券去年净利21亿计提减值准备4.7亿 股价跌1.5% 资产异常,中国经济网
597,2021-01-25,海欣股份(600851.SH)：拟将部分长江证券股份用于参与转融通证券出借业务,格隆汇
598,2021-01-25,深华发Ａ跌停 长江证券国元证券招商证券香港持股,中国经济网
599,2021-01-25,63家公司业绩快报抢先看,证券之星
600,2021-01-24,中央释放重磅信号，3.2万亿旗手遭资金鄙视，还有机会吗？,Wind
601,2021-01-23,"果然是“肥年”！券商整体业绩大增，中信净赚150亿！计提减值成行业""一致动作""",证券时报网
602,2021-01-23,23家券商业绩抢先看！中信净赚150亿，两位数增幅仍几乎垫底！,券商中国
603,2021-01-23,“券商一哥”中信证券“失速”，中信建投证券加速追赶,Wind
604,2021-01-23,上市公司正负面新闻2021年1月23日星期六,Wind
605,2021-01-22,长江证券(000783.SZ):杨星辞去监事职务 董监高成员变化,智通财经
606,2021-01-22,晚间重要公告2021年1月22日星期五,Wind
607,2021-01-22,长江证券(000783.SZ)业绩快报：2020年度净利润升25.09%至20.84亿元,格隆汇
608,2021-01-22,长江证券：公司监事辞职 董监高成员变化,Wind
609,2021-01-22,长江证券：2020年净利润20.84亿元，同比增长25.09%,Wind
610,2021-01-22,长江证券：2020年度计提各项资产减值准备共计4.68亿元 资产异常,Wind
611,2021-01-22,1月22日深市创业板活跃股公开信息,深交所
612,2021-01-22,债市分析 | 12月企业债利率上行，低级别主体增加；四川省发行维持高位,中证鹏元评级
613,2021-01-20,半导体基金王者归来霸屏收益榜，白酒、新能源说拜拜？,券商中国
614,2021-01-20,解码四大央行的2020，欧美日扩张出“两个美联储”,Wind
