,2021-12-31,路演互动丨隆基股份1月4日可转债发行网上路演,全景网
1730,2021-08-31,A股融资融券日报：两融余额增加60.16亿元（8月30日）,Wind
1731,2021-08-31,A股早报2021年8月31日星期二,Wind
1732,2021-08-31,光伏需求旺盛，板块二次行情开启,金融界
1733,2021-08-31,隆基股份连续6日获北向资金净买入,证券时报网
1734,2021-08-31,狂赚超100%！两只基金一起炸了，更有这3只也快翻倍了,Wind
1735,2021-08-31,半年报解读|上半年净利49.8亿元 隆基股份：下半年组件产能正在恢复,财联社
1736,2021-08-31,5000亿“光伏茅”又飙新高！高瓴8个月赚150亿,Wind
1737,2021-08-31,暴利“黑金”与受损的中下游：光伏产业链的悲喜并不相通,Wind
1738,2021-08-31,高景气赛道龙头股放量拉升，A股日成交额创今年以来新高,Wind
1739,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
1740,2021-08-31,新能源、环保领域碳中和动态追踪(二十八)：光伏政策有望超预期 需求提振利好全产业链,光大证券
1741,2021-08-31,隆基股份(601012)点评：全球化营销运营能力持续提升 电池技术保持领先,新浪
1742,2021-08-31,隆基股份：2021年半年度净利润约49.93亿元，同比增加21.3%,每日经济新闻
1743,2021-08-30,“光伏茅”隆基股份股价新高之际发布半年报，上半年实现净利50亿同比增长21.30%,21世纪经济报道
1744,2021-08-30,金融市场流动性与监管动态周报：外资加电新融资买上游 基金发行难改存量格局,新浪
1745,2021-08-30,电力设备及新能源行业周报：需求驱动涨价 光伏景气度有望持续,新浪
1746,2021-08-30,隆基股份上半年净利同比增21.30%，刘格菘广发科技先锋混合退出十大流通股东,阿尔法工场
1747,2021-08-30,电力设备周报：下达补贴890亿支持光伏等可再生能源 成本上扬光伏组件酝酿涨价,新浪
1748,2021-08-30,隆基股份今日大宗交易成交26.21万股，成交价94.38元折价3.0%,Wind
1749,2021-08-30,北向资金净买入隆基股份逾11亿元，这些股获加仓,第一财经
1750,2021-08-30,北向资金 | 合计净流入18.87亿元，隆基股份、歌尔股份、招商银行净买入居前,上游新闻
1751,2021-08-30,北向资金连续6日净买入累计加仓近200亿，继续大手笔加码新能源股,Wind
1752,2021-08-30,深圳能源：公司目前与隆基股份未有合作,Wind
1753,2021-08-30,电气设备行业周报：光伏下游景气度提升 天赐材料再度加码产能扩张提速,新浪
1754,2021-08-30,A股资金流向（8月30日）：新能源持续吸金，“盐皇”遭大幅抛售,Wind
1755,2021-08-30,隆基股份：上半年实现净利润近50亿，单晶硅片出货量38.36GW,资本邦
1756,2021-08-30,“光伏茅”隆基股份半年报出炉：净利49.9亿元 同比增21%,第一财经
1757,2021-08-30,巨量滞涨新能源独舞，1.5万亿后市场怎么走？,Wind
1758,2021-08-30,隆基股份半年成绩单：研发投入16.14亿保持科技领先，电池新技术屡刷世界纪录,中国网
1759,2021-08-30,隆基股份(601012.SH)：上半年净利增21.3%至49.93亿元,格隆汇
1760,2021-08-30,隆基股份2021年上半年实现净利润49.92亿元，同比增长17.58%,经济观察网
1761,2021-08-30,隆基股份十大持股人出炉 高瓴持股比例未变,第一财经
1762,2021-08-30,隆基股份(601012.SH)半年度归母净利同比增长21.30%至49.93亿元,智通财经
1763,2021-08-30,“光伏茅”中期业绩出炉，高瓴、陈发树二季度按兵不动,Wind
1764,2021-08-30,隆基股份：上半年净利润同比增长21.3%,Wind
1765,2021-08-30,隆基股份：上半年净利润49.93亿元，同比增长21.30%,Wind
1766,2021-08-30,主力动向｜资金热捧134股，隆基股份、赣锋锂业、阳光电源、北方稀土、通威股份位居前五！,上游新闻
1767,2021-08-30,A股收盘综述：一半火焰一半海水，光伏、稀土、盐湖提锂恒强表现主导大市,Wind
1768,2021-08-30,电力设备与新能源行业周观察：宁德时代储能业务快速成长 风电行业变化正当时,新浪
1769,2021-08-30,电气设备行业周报：新能源政策利好不断 关注中报超预期个股,新浪
1770,2021-08-30,电力设备新能源行业周报：工信部引导钠电和电池循环 光伏价格持续回升,新浪
1771,2021-08-30,千亿大白马闪崩跌停，各种茅大跌！新能源、军工爆发,Wind
1772,2021-08-30,解盘：资源科技强势，光伏屋顶、新能源、小金属、大飞机领涨,Wind
1773,2021-08-30,A股午盘综述：光伏、盐湖提锂、稀土炒作引领市场，隆基、通威、赣锋、北方稀土创新高,Wind
1774,2021-08-30,发生了什么？隆基股份股价创出历史新高,证券之星
1775,2021-08-30,光伏板块持续拉升 隆基股份、通威股份均创新高,格隆汇
1776,2021-08-30,快讯：光伏板块持续拉升 隆基股份涨超6%,新浪
1777,2021-08-30,A股融资融券日报：两融余额减少35.45亿元（8月27日）,Wind
1778,2021-08-30,A股早报2021年8月30日星期一,Wind
1779,2021-08-30,中国化学(601117)：垃圾制氢用于新能源车 与隆基股份氢能战略合作,新浪
1780,2021-08-30,“聪明资金”连续11个月抢筹A股！各路资金潜伏千亿光伏龙头,Wind
1781,2021-08-29,北向资金加仓隆基股份 减持五粮液 减持股份,中证报
1782,2021-08-28,北向资金丨本周扫货重点曝光，隆基股份获加仓超36亿元,第一财经
1783,2021-08-28,北上资金连续11个月加仓，狂买光伏股,Wind
1784,2021-08-27,北上资金净买入14只个股，隆基股份获净买入11.1亿元,36氪
1785,2021-08-27,数据复盘｜有色金属股获主力资金青睐 北向资金抢筹隆基股份、迈瑞医疗等,证券时报网
1786,2021-08-27,北向资金 | 合计净流入62.03亿元，隆基股份、迈瑞医疗、比亚迪净买入居前,上游新闻
1787,2021-08-27,最新出炉！8月27日沪深股通净流入62.03亿，隆基股份获净买入11.1亿元,每日经济新闻
1788,2021-08-27,隆基股份今日获北向资金净买入11.1亿元,e公司
1789,2021-08-27,北向资金本周稳步进场加仓A股近180亿，隆基股份大幅净买入超11亿元,Wind
1790,2021-08-27,资金决定市场方向：北上加码买入，两融迭创新高,Wind
1791,2021-08-27,A股资金流向（8月27日）：新能源板块出现分歧，宁德时代遭资金减仓,Wind
1792,2021-08-27,隆基股份涨超6%成交额超100亿元 连续4日获北向资金净买入,新浪
1793,2021-08-27,氢燃料电池获政策强力支持，主力资金流入这些股,Wind
1794,2021-08-27,中国平安爆发、1600亿白马涨停！恒大汽车涨35%,Wind
1795,2021-08-27,上证50涨幅扩大至1%，权重股集体上扬,Wind
1796,2021-08-27,A股三大指数集体翻红，宁组合表现抢眼,Wind
1797,2021-08-27,A股融资融券日报：两融余额增加5.84亿元（8月26日）,Wind
1798,2021-08-27,10万亿赛道再迎重磅，千亿目标曝光，一风险需警惕,Wind
1799,2021-08-27,北向资金动向盘点：2.5万亿市值是个坎,Wind
1800,2021-08-27,港股盘前必读：中国平安上半年归母净利润580.05亿元同比下降15.5%,Wind
1801,2021-08-27,北上资金连续加仓，超700家上市公司回购，A股价值正在显现！,Wind
1802,2021-08-26,刘格菘旗下基金持续减仓亿纬锂能,Wind
1803,2021-08-26,北向资金连续4日净买入，中国铝业获大幅加仓近12亿元,Wind
1804,2021-08-26,茅台“降价”吓趴白酒，两大主力资金却连续加仓,Wind
1805,2021-08-26,中国巨石：公司有部分玻纤产品可以用于光伏领域,Wind
1806,2021-08-26,傅鹏博减持隆基股份贵州茅台等热门股 邬传雁管理6只基金持仓总体稳定 减持股份,金融界
1807,2021-08-26,储能行业专题报告1：储能市场加速开启 商业模式未来可期,新浪
1808,2021-08-26,每日理财观察：监管出手！六大行超5000只理财产品望加速改造,Wind
1809,2021-08-26,A股融资融券日报：两融余额增加45.62亿元（8月25日）,Wind
1810,2021-08-26,A股早报2021年8月26日星期四,Wind
1811,2021-08-26,北向资金动向盘点：“电新”总市值突破3000亿,Wind
1812,2021-08-26,硅料持续涨价，光伏产业链半年报“上喜下忧”,Wind
1813,2021-08-25,连续3日净买入 隆基股份获沪股通净买入21.85亿元,证券时报网
1814,2021-08-25,北向资金 | 合计净流入34.18亿元，五粮液、隆基股份、贵州茅台净买入居前,上游新闻
1815,2021-08-25,数据复盘｜隆基股份、五粮液获主力资金加仓 北向资金连续3日净流入,证券时报网
1816,2021-08-25,新能源轮动到光伏，新龙头曝光：隆基股份21亿扫货,上游新闻
1817,2021-08-25,北向资金连续三日加仓累计净买入超百亿，大幅抄底白酒股,Wind
1818,2021-08-25,A股资金流向（8月25日）：光伏龙头获青睐，三一重工遭大幅抛售,Wind
1819,2021-08-25,主力动向｜资金青睐147股，隆基股份、通威股份、五粮液、特变电工、宁德时代位居前五！,上游新闻
1820,2021-08-25,A股收盘综述：三大指数均连升3日，光伏板块全线爆发,Wind
1821,2021-08-25,隆基股份(601012.SH)拉升涨超5%,格隆汇
1822,2021-08-25,光伏龙头尾盘跟上板块涨幅，通威股份大涨7%,Wind
1823,2021-08-25,亚洲硅业前世今生：施正荣与尚德旧案切割 隆基股份撑起过半营收,贝壳财经
1824,2021-08-25,工业行业动态：中金氢能：示范城市开始落地 全产业链补贴或为主基调,新浪
1825,2021-08-25,每日理财观察：上海国际金融中心建设“十四五”规划发布,Wind
1826,2021-08-25,A股融资融券日报：两融余额增加68.17亿元（8月24日）,Wind
1827,2021-08-25,A股早报2021年8月25日星期三,Wind
1828,2021-08-25,北向资金动向盘点：“电新”被连续净买，总市值2904亿,Wind
1829,2021-08-24,行业观察|异质结电池产能或达到10GW 降本是N型电池市场渗透前提,财联社
1830,2021-08-24,北向资金 | 合计净流入53.15亿元，隆基股份、中信证券、华友钴业净买入居前,上游新闻
1831,2021-08-24,北向资金连续两日净买入！加仓隆基股份13亿元，还买入这些个股（名单）,21世纪经济报道
1832,2021-08-24,数据复盘｜食品饮料、非银金融等行业获主力资金青睐 北向资金加仓隆基股份等,证券时报网
1833,2021-08-24,北水继续大手笔加仓腾讯，两日共超40亿港元！南水净买入隆基股份超13亿元,富途证券
1834,2021-08-24,北向资金今日净买入53.15亿元 隆基股份净买入居首,金融界
1835,2021-08-24,隆基股份现1笔大宗交易 共成交302.90万元,新浪
1836,2021-08-24,北向资金今日净买入53.15亿元，加仓隆基股份逾13亿元,第一财经
1837,2021-08-24,隆基股份今日大宗交易成交3.60万股，成交价84.14元溢价0.0%,Wind
1838,2021-08-24,隆基股份今日获北向资金净买入13.4亿元,e公司
1839,2021-08-24,北向资金买兴增强加仓超53亿元，隆基股份获大幅净买入超13亿元,Wind
1840,2021-08-24,新能源电池材料价格持续上涨，锂电池价格保持稳定,OFweek
1841,2021-08-24,A股资金流向（8月24日）：赛道股连获资金回流，大市值券商集体“吸金”,Wind
1842,2021-08-24,全球硅片供需关系梳理，下半年光伏产业链价格回调空间十分有限,OFweek
1843,2021-08-24,中国电信大跌900亿！上市3天2跌停，公司紧急回应,Wind
1844,2021-08-24,5000亿巨头又跌停，“宁组合”大涨，BATJ复活,Wind
1845,2021-08-24,【申港电新|周观点】全球硅片供需关系梳理,新能源深度研究
1846,2021-08-24,A股融资融券日报：两融余额增加174.98亿元（8月23日）,Wind
1847,2021-08-24,电气设备行业周报：电动车政策利好频发 宁德时代落户上海,新浪
1848,2021-08-24,北向资金动向盘点：“电新”即将登顶市值第一,Wind
1849,2021-08-23,A股大幅反弹北向资金加仓超18亿，持续加码高景气板块,Wind
1850,2021-08-23,A股融资融券日报：两融余额减少45.91亿元（8月20日）,Wind
1851,2021-08-23,又一行业市场潜力大，有的企业市值2年涨9倍,索比光伏网
1852,2021-08-23,环保工程及服务行业周报(2021年第33期)：各地氢能政策相继出台 风光装机再上新台阶,新浪
1853,2021-08-23,电气设备行业周报：异质结技术再迎突破 宁德时代牵手上海政府,新浪
1854,2021-08-23,电力设备新能源行业周报：新能车车厂排产饱满 地面及分布式装机恢复,新浪
1855,2021-08-23,【银河电新周然】行业周报丨多省发布“十四五”氢能产业规划，全国碳市场首月交易价涨量缩,中国银河证券研究
1856,2021-08-23,整县推进加快推动，电动车需求继续旺盛 | 兴证电新 · 每周观察,兴业电新
1857,2021-08-22,巷观陕股〡凯立新材反弹，上周大涨31.54%,每日经济新闻
1858,2021-08-22,隆基股份、天合光能等光伏龙头今年共签署超 1236 亿元的长单合同,IT之家
1859,2021-08-22,隆基、通威、晶澳、晶科等龙头8个月签署超1236亿元长单,Wind
1860,2021-08-21,金信诺：锂电池、储能和光伏等领域公司一直有关注,Wind
1861,2021-08-21,新能源板块行业信息点评：7月户用光伏装机维持高景气,新浪
1862,2021-08-20,晶科科技上市后利润三连降，“民营光伏电站第一股”陷困境 盈利能力下降,证券之星
1863,2021-08-20,债券研究：进击的巨头,新浪
1864,2021-08-20,隆基股份董事长钟宝申：光伏肩负起碳中和的使命与荣耀,新浪
1865,2021-08-20,"隆基股份现2笔大宗交易 共成交2,342.23万元",新浪
1866,2021-08-20,北向资金6年来首次连续两日净卖出超百亿，贵州茅台、五粮液、恒瑞医药遭惨烈抛售,Wind
1867,2021-08-20,隆基股份今日大宗交易成交6.40万股，成交价79.12元溢价0.0%,Wind
1868,2021-08-20,医药消费惨跌，A股却扛住北上资金200亿抛压,Wind
1869,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
1870,2021-08-20,行业景气度观察：光伏上游涨价 周期集体回调,新浪
1871,2021-08-20,A股融资融券日报：两融余额减少15.59亿元（8月19日）,Wind
1872,2021-08-19,要凉了？多只氢能源概念股重挫，近60亿主力资金出逃,第一财经
1873,2021-08-19,北向资金年内第三次单日净卖出超百亿，中国平安遭大幅抛售超18亿,Wind
1874,2021-08-19,A股资金流向（8月19日）：核心赛道股再获追捧，大金融遭抛售,Wind
1875,2021-08-19,隆基股份在海南设物流公司,证券导报
1876,2021-08-19,氢能源车保有量未来五年或增长十倍 关注核心部件及整车,金融界
1877,2021-08-19,A股融资融券日报：两融余额增加49亿元（8月18日）,Wind
1878,2021-08-19,隆基股份8月18日现5笔大宗交易,证券时报网
1879,2021-08-19,氢能源车迈入新征程，保有量五年十倍空间,金融界
1880,2021-08-19,每日理财观察：万亿巨无霸中国移动回A在即，三大运营商集齐,Wind
1881,2021-08-19,“宁组合”挖掘者姚志鹏再推新基 嘉实远见先锋正发售,每日财报
1882,2021-08-18,北向资金稳步加仓3日净买入超111亿，持续扫货大金融龙头股,Wind
1883,2021-08-18,A股资金流向（8月18日）：近150亿资金加码非银金融行业,Wind
1884,2021-08-18,暴涨超1200%，机构指这股要翻倍！,新浪
1885,2021-08-18,海通证券研究所早报,新浪
1886,2021-08-18,A股融资融券日报：两融余额减少125.59亿元（8月17日）,Wind
1887,2021-08-18,“基金大跌”罕见进热搜TOP3！慌吗？北上连续加仓，公募仓位下降,Wind
1888,2021-08-18,陕西区域股市周报：凯立新材市值增长26.59亿 晨曦航空跌11.38%跌幅第一,每日经济新闻
1889,2021-08-17,北向资金逆市抄底加仓A股近15亿，通威股份、北方稀土净买入额均创历史新高,Wind
1890,2021-08-17,热门股回调成大跌主因？不要慌，短线或快速企稳,Wind
1891,2021-08-17,电力设备及新能源行业周报：需求回暖驱动光伏涨价 关注风电、电网配置价值,新浪
1892,2021-08-17,你恐慌我贪婪！这两个板块正被机构疯抢，10只基金接连扫货，更是有权重股3个月就翻番,每日经济新闻
1893,2021-08-17,电气设备行业周观点：铁锂电池单月产量超过三元 光伏产业链价格上涨,新浪
1894,2021-08-17,光伏产业链价格趋稳，上下游博弈将持续,Ofweek
1895,2021-08-17,A股融资融券日报：两融余额增加8.88亿元（8月16日）,Wind
1896,2021-08-17,北向资金动向盘点：逆市加仓电力设备新能源,Wind
1897,2021-08-17,高硬脆材料切割装备领军企业，充分受益下游行业扩产潮——高测股份(688556)深度报告,机械盛宴
1898,2021-08-17,北向资金净买入超60亿元，创8月以来新高！持续卖出这两只白酒股,21世纪经济报道
1899,2021-08-17,光伏霸主隆基股份，未来投资价值还有多大？,和讯
1900,2021-08-17,多地政策加码，氢能产业发展步入快车道,Wind
1901,2021-08-16,近期市场流动性变化情况,量化先行者
1902,2021-08-16,10万亿市场空间燃爆，美锦能源再次涨停！,财华社
1903,2021-08-16,北向资金 | 合计净流入62.02亿元，美的集团、亿纬锂能、隆基股份净买入居前,上游新闻
1904,2021-08-16,电气设备行业周报：动力电池持续高景气 两部委鼓励发电企业自建储能,新浪
1905,2021-08-16,北向资金今日净流入62.02亿元，加仓美的集团近7亿元,第一财经
1906,2021-08-16,北向资金今日大幅净买入62亿元，低估值消费白马股获追捧,Wind
1907,2021-08-16,新能源行业周报：储能政策再出台 三四季度装机需求将持续高增,华安证券
1908,2021-08-16,宁德时代动力及储能电池大幅扩产，顺应全球电动化浪潮,Ofweek
1909,2021-08-16,电新行业周报：光伏产业链价格有所上调 国内电车需求维持高景气,新浪
1910,2021-08-16,【申港电新|周观点】宁德时代大幅扩产顺应全球电动化浪潮,新能源深度研究
1911,2021-08-16,电气设备行业周报：光伏硅料价格箱体震荡 下游需求持续向好,新浪
1912,2021-08-16,8月13日A股融资买入额1106.42亿元，北方稀土（600111.SH）居首,智通财经
1913,2021-08-16,A股融资融券日报：两融余额减少36.53亿元（8月13日）,Wind
1914,2021-08-16,高景气科技成长行情结束了吗？多家券商建议这样布局,Wind
1915,2021-08-16,氢能源板块指数涨逾8% 44只个股获大单资金抢筹,证券日报网
1916,2021-08-16,“史上最贵新股”今日上市 “宁组合”面临阶段性挑战,财富动力网
1917,2021-08-15,百亿资金“改道”氢能，昔日光伏龙头保利协鑫的新“资本”故事,环球老虎财经
1918,2021-08-15,电气设备行业：磷酸铁锂装机首超三元 光伏需求回暖驱动产业链涨价,广发证券
1919,2021-08-15,电气设备行业周报：国内电车逆势增长 硅料价格小幅回升,新浪
1920,2021-08-14,【国君策略】新基建主题：博弈超额收益的新战场,Wind
1921,2021-08-14,抛售白酒股，超16亿元抢筹机械行业这只个股！北向资金本周增减持一览（名单） 减持股份,21世纪经济报道
1922,2021-08-14,基金重仓股抱团之问：主动选择还是被迫之举？,Wind
1923,2021-08-14,两融跑步入场周增200亿，宁德582亿定增机构高喊买入,Wind
1924,2021-08-13,隆基股份：成为“第十四届全国运动会绿色能源解决方案独家供应商”,e公司
1925,2021-08-13,一周主力资金急速出逃个股名单出炉！7倍芯片牛股突遭实名举报,和讯
1926,2021-08-13,炸锅！7倍芯片牛股突遭实名举报，大热赛道集体重挫！一周主力资金急速出逃个股名单出炉（附股）,e公司
1927,2021-08-13,北向资金本周净买入额大幅收窄，宁德时代遭大幅净卖出近8亿元,Wind
1928,2021-08-13,A股资金流向（8月13日）：科技龙头遭集中抛售,Wind
1929,2021-08-13,光伏热潮今又来！福耀、华为、京东……巨头涌入“用脚投票”？,中国经济周刊
1930,2021-08-13,打造绿色供应链生态圈 中信银行举办光伏行业研讨会,和讯
1931,2021-08-13,3年收益超300%，最强的“抄底老手”，出现了！,小白读财经
1932,2021-08-13,“宁组合”先锋猎手姚志鹏：跟紧时代趋势，掘金先锋企业,新浪
1933,2021-08-13,A股融资融券日报：两融余额增加73.91亿元（8月12日）,Wind
1934,2021-08-12,新基建：景气反转 东风将至,新浪
1935,2021-08-12,隆基股份现2笔大宗交易 共成交918.38万元,新浪
1936,2021-08-12,北向资金交投趋谨慎全天净卖出不足2亿，贵州茅台连续11日遭抛售,Wind
1937,2021-08-12,隆基股份今日大宗交易成交10.60万股，成交价86.64元溢价0.0%,Wind
1938,2021-08-12,新兴能源行业：高价组件下游接受 紧俏环节企稳回升,新浪
1939,2021-08-12,王忠民：碳中和的交易配置逻辑和投资机遇,--
1940,2021-08-12,A股融资融券日报：两融余额增加75.25亿元（8月11日）,Wind
1941,2021-08-11,11只氢能股涨停：谁会是万亿市值“氢茅”？全柴动力称大规模商业化还早,时代财经
1942,2021-08-11,剑指隆基，中环股份5月份以来大涨85%！增长潜力在哪里？,财华社
1943,2021-08-11,今年以来美锦能源股价已经翻倍，多位明星基金经理重仓,Wind
1944,2021-08-11,隆基股份遭沪股通连续5日净卖出 合计净卖出11.38亿元,证券时报网
1945,2021-08-11,北向资金今日净卖出超28亿元，白酒股持续惨遭抛售,Wind
1946,2021-08-11,A股资金流向（8月11日）：锂电上游龙头强者恒强,Wind
1947,2021-08-11,基金分红同比大增45%，A股震荡中不看好后市了吗,Wind
1948,2021-08-11,美股氢能源板块大涨，如何寻找“氢能源基金”？,养基司令
1949,2021-08-11,隆基股份：公司对森特股份采用的是权益法核算,每日经济新闻
1950,2021-08-11,隆基股份：公司HI-MO5系列产品在公司组件销售占比提升明显,每日经济新闻
1951,2021-08-11,隆基股份：公司组件产品应用晶硅太阳能电池，非薄膜太阳能电池,每日经济新闻
1952,2021-08-11,隆基股份：光伏组件产品只有25-30年的使用寿命，其中的银、铝、铜等金属均可以回收再利用,每日经济新闻
1953,2021-08-11,隆基股份：公司目前没有布局储能业务,每日经济新闻
1954,2021-08-11,隆基股份：2025年全球光伏新增装机将超过300GW，较2020年行业需求的复合增长率将达到20%左右，市场空间足够大,每日经济新闻
1955,2021-08-11,隆基股份：近年来，公司存货总体占比基本稳定，存货余额的增长与营业收入的增长基本匹配,每日经济新闻
1956,2021-08-11,隆基股份：半年度报告拟于2021年8月31日披露,每日经济新闻
1957,2021-08-11,隆基股份：公司自己的组件产品以应用182和166硅片为主。此外，公司不生产多晶硅料,每日经济新闻
1958,2021-08-11,福莱特(601865)：规模品类优势显现 期待需求加速,新浪
1959,2021-08-11,隆基股份：公司在N型电池技术路线拥有技术储备,Wind
1960,2021-08-11,隆基股份：预计到2021年底，单晶硅片产能达到105GW,Wind
1961,2021-08-11,隆基股份：目前公司P型PERC电池量产转换效率超过23%,Wind
1962,2021-08-11,隆基股份：公司具备生产210硅片的能力,Wind
1963,2021-08-11,A股融资融券日报：两融余额增加29.47亿元（8月10日）,Wind
1964,2021-08-11,北向资金动向盘点：白酒反弹时净卖茅台、老窖,Wind
1965,2021-08-10,巷观陕股〡陕企IPO连传捷报，美邦药业首发获通过,每日经济新闻
1966,2021-08-10,隆基信义光能签订长单合同，不少于年度需求量35%,证券之星
1967,2021-08-10,基金二季度增仓减仓最多的十个行业和十家公司,证券之星
1968,2021-08-10,北向资金尾盘加速进场连续2日净买入，白酒股强势反弹但仍遭外资抛售,Wind
1969,2021-08-10,酒没锂香？葛兰搞锂后，700亿白酒基金经理也要投新能源,Wind
1970,2021-08-10,光伏系列报告(四十二)：整县推进模式有望激活分布式市场,新浪
1971,2021-08-10,A股资金流向（8月10日）：白酒龙头“旧神归来”，盐湖股份遭主力减仓超百亿,Wind
1972,2021-08-10,陕西区域股市周报：4亿融资买入隆基股份 美畅股份跌出板块市值7强,每日经济新闻
1973,2021-08-10,联合国发出最严厉气候变化警告！碳中和有望催生百万亿市场，基金扎堆重仓龙头，高增长潜力股出炉,搜狐
1974,2021-08-10,隆基股份与信义光能签50亿元光伏玻璃大单,集邦新能源网
1975,2021-08-10,风格切换？机构：硬科技仍是主线，寻找高性价标的,Wind
1976,2021-08-10,与信义光能签50亿元光伏玻璃大单 隆基股份：稳供应保组件产能，年底可达65GW,财联社
1977,2021-08-10,A股融资融券日报：两融余额增加71.84亿元（8月9日）,Wind
1978,2021-08-10,北向资金动向盘点：重手净卖“电力设备新能源”,Wind
1979,2021-08-10,北向资金增持食品饮料、医药、券商板块，买入酱茅，大幅出逃这些股（名单）,21世纪经济报道
1980,2021-08-10,市场风格轮动切换，机构提示热门赛道拥挤风险,Wind
1981,2021-08-10,啥情况？价值股节节败退，邱国鹭竟被怼,Wind
1982,2021-08-09,格隆汇港股聚焦(08.09)︱赤子城科技、兑吧上半年业绩大幅预增；信义光能与隆基股份订立太阳能玻璃购销协议,格隆汇
1983,2021-08-09,【预见】募资35亿元加码光伏产业，双良节能（600481.SH）意欲何为？,财华社
1984,2021-08-09,隆基股份与信义光能方面签订光伏玻璃重大采购框架合同,上证报
1985,2021-08-09,万亿“阳光”赛道|通威股份：跨界成巨头，或继续受益于硅料高价,财华社
1986,2021-08-09,【招商策略】超预期就业引Taper担忧，重要股东小幅净增持 ——金融市场流动性与监管动态周报（0809）,招商策略研究
1987,2021-08-09,晚间重要公告2021年8月9日星期一,Wind
1988,2021-08-09,深度｜重构协鑫,21世纪经济报道
1989,2021-08-09,北向资金高位出逃光伏股，7亿甩卖隆基股份，净卖出额创近一个月新高！ 资产异常,21世纪经济报道
1990,2021-08-09,8月9日晚间上市公司十大重磅公告,巨丰财经
1991,2021-08-09,北上资金净买入44.66亿元 比亚迪净买入居首,证券时报网
1992,2021-08-09,北水大幅加仓腾讯超41亿港元，卖出安踏体育；南水抛售隆基股份超7亿元 资产异常,富途证券
1993,2021-08-09,隆基股份再签采购大单 保障光伏玻璃长期稳定供应,e公司
1994,2021-08-09,孕育十家千亿企业后，光伏还有哪些期待？,Ofweek
1995,2021-08-09,主力资金：主力出逃前期大热门股,新浪
1996,2021-08-09,北向资金今日净买入44.66亿元，抛售隆基股份逾7亿元 资产异常,第一财经
1997,2021-08-09,北向资金今日净买入44.66亿元，光伏股逆势遭大幅抛售,Wind
1998,2021-08-09,隆基股份：全资子公司与信义光能（香港）签订光伏玻璃长期采购框架协议,Wind
1999,2021-08-09,近期市场流动性变化情况,量化先行者
2000,2021-08-09,隆基股份跌4% 首创证券高点喊买,中国经济网
2001,2021-08-09,基秘档案|广发行业严选三年投资价值分析,和讯
2002,2021-08-09,市场风格切换？百股涨停！“老白马”大爆发,Wind
2003,2021-08-09,A股资金流向（8月9日）：市场复刻上周一行情，资金青睐大金融板块,Wind
2004,2021-08-09,电力设备与新能源行业周报(第三十一周),新浪
2005,2021-08-09,策略周报：成长依然占优 第三轮疫情下的全球供应链紧缺重新加剧,新浪
2006,2021-08-09,环保与公用事业行业周报(2021年第31期)：央行加快完善绿色金融体系 推动碳减排支持工具落地生效,新浪
2007,2021-08-09,警惕！新能源主题基金，重仓股估值处于历史高位,Wind
2008,2021-08-09,葛兰“跨界”成功了吗？数据结果可能会让你大吃一惊,新浪
2009,2021-08-09,A股融资融券日报：两融余额增加8.43亿元（8月6日）,Wind
2010,2021-08-09,福莱特年内合作三龙头签下252亿订单 光伏玻璃持续扩产半年净利增152%,长江商报
2011,2021-08-09,狂追热门股，行业主题基金“挂羊头卖狗肉”！不顾契约精神？,Wind
2012,2021-08-09,风格大漂移，近一成主题基金“跑题”追热点,Wind
2013,2021-08-08,收益率超巴菲特，知名外资机构已减仓新能源,Wind
2014,2021-08-08,建筑与工程行业周报：新能源风起云涌 涉及哪些建筑企业,新浪
2015,2021-08-08,电力设备及新能源行业周报：光伏项目投资创新高 国内海风抢装高增长,新浪
2016,2021-08-07,一代光伏大佬黯然离场！从买壳上市到“卖身”出局，身家仅剩6亿,腾讯网
2017,2021-08-07,新能源究竟有多火？卖方已给出宁德时代40年后营收预测！连医药女神也忍不住挑战能力圈进场扫货,每经头条
2018,2021-08-06,资金流向分析,新浪
2019,2021-08-06,转债商业模式系列报告六：逃不开的周期,新浪
2020,2021-08-06,碳中和加速，碳中和ETF上市首日盘中成交破5亿元,Wind
2021,2021-08-06,从“茅指数”转向“宁组合”，是什么让新能源板块急速机构化？,Wind
2022,2021-08-06,拜登政府意外放话加速碳中和，碳中和ETF（159790）上市首日成交活跃,Wind
2023,2021-08-06,帝尔转债：好“光”也要用在刀刃上,新浪
2024,2021-08-06,A股融资融券日报：两融余额增加49.65亿元（8月5日）,Wind
2025,2021-08-06,A股早报2021年8月6日星期五,Wind
2026,2021-08-06,公募基金风格漂移陷合规罗生门：三大类别“名不副实” 牵涉四成基金公司,21世纪经济报道
2027,2021-08-05,主力资金：尾盘主力相中这些股 3股获重金杀入,新浪
2028,2021-08-05,20股特大单净流入资金超2亿元,证券时报网
2029,2021-08-05,"隆基股份现1笔大宗交易 共成交2,035.96万元",新浪
2030,2021-08-05,隆基股份今日大宗交易成交23万股，成交价88.52元折价4.99%,Wind
2031,2021-08-05,主力动向｜主力资金热捧88股，隆基股份、国轩高科、中芯国际、五矿稀土、N厦钨位居前五！,上游新闻
2032,2021-08-05,A股资金流向（8月5日）：资金快进快出，日内抢筹军工龙头,Wind
