,2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
608,2021-04-30,*ST金刚：目前共涉及84项诉讼/仲裁案件，案件金额合计约57.7亿元 诉讼纠纷,Wind
609,2021-04-30,A股上市股份行一季度比拼：平安、招行、兴业净利增速排前三,澎湃新闻
610,2021-04-30,26家A股上市银行业绩成绩单：多数实现净利润稳健增长，资产质量风险整体可控,资本邦
611,2021-04-30,9家上市股份制银行日赚超15亿！“零售之王”招商银行稳居宝座，光大银行资产增速最快,金融界
612,2021-04-30,南方基金管理股份有限公司,证券时报
613,2021-04-29,浙商银行一季度营收降3.4%净利增1%，不良率1.53%,澎湃新闻
614,2021-04-29,浙商银行：一季度净利润同比增长1.06%,Wind
615,2021-04-29,浙商银行(02016)一季度归母净利润同比增长1.06%至45.76亿元,智通财经
616,2021-04-29,浙商银行今年一季度实现净利润45.76亿元 同比增长1.06%,上证报
617,2021-04-29,浙商银行(02016.HK)一季度净利润45.76亿元同比增加1.06%,格隆汇
618,2021-04-29,浙商银行：第一季度净利润45.76亿元，同比增1.06%,Wind
619,2021-04-29,净利差、成本收入比持续优化 浙商银行2021年一季报发布,财经网
620,2021-04-29,中小银行转型提速两家科技子公司低调现身,中证报
621,2021-04-28,2020年股份制银行科技转型再提速：招行投入首破百亿 光大科研资金增速超50%,华夏时报
622,2021-04-28,14家手机银行APP仅8家开发适老化版本 语音输入“如何转账”这些APP傻傻分不清,南都报
623,2021-04-27,固定收益专题研究：松紧切换助力行业长足发展,新浪
624,2021-04-27,浙商银行(02016)就借款合同纠纷起诉汕头市宜东房地产及汕头市互汇智能科技等公司 涉及本息约17.88亿元 诉讼纠纷,智通财经
625,2021-04-27,浙商银行：深圳分行向宜东房地产、互汇智能、宜华企业等提起诉讼 诉讼纠纷,Wind
626,2021-04-27,浙商银行小微线上业务累计授信金额超1000亿元,中证网
627,2021-04-27,银行基本面跟踪三十：Q1持仓增幅显着 继续看好板块配置价值,新浪
628,2021-04-27,恒逸石化(000703)：保价惜售导致1Q21产销率下滑；短期利空或已基本消化,新浪
629,2021-04-27,浙农集团股份有限公司,中证报
630,2021-04-26,道道全：拟向浙商银行长沙分行申请2亿元授信额度,和讯
631,2021-04-23,银行行业：主动偏股基金的银行持仓分析：四大行持仓占比提升明显,新浪
632,2021-04-23,考核趋严票据被剔，银行普惠小微贷面临增长的“烦恼”,Wind
633,2021-04-22,河南银保监局：对河南中牟农商行作出行政处罚，罚款160万元 金融监管处罚,Wind
634,2021-04-22,河南中牟农商行被罚160万：购买浙商银行违规理财产品实现不良虚假出表 金融监管处罚,新浪
635,2021-04-22,因购买浙商银行违规理财产品实现不良虚假出表等行为 河南中牟农商行被罚160万元 欺诈造假,北京商报
636,2021-04-21,浙商银行涉嫌债券违规被调查 多名股东近60亿股份被质押 金融监管处罚,新浪
637,2021-04-20,*ST新光：全资子公司部分房产拍卖，总价款2569.5万元 关联方问题,Wind
638,2021-04-19,集中发力家族信托！12家私人银行业务数据曝光，各有什么打法？,信托百佬汇
639,2021-04-19,浙商银行(02016.HK)拟4月29日举行董事会会议审核一季度业绩,格隆汇
640,2021-04-19,浙商银行今日大宗交易成交452.65万股，成交价4.38元溢价9.23%,Wind
641,2021-04-19,2020年信用风险缓释工具市场研究报告,金融界
642,2021-04-17,卖基金比买基金更赚钱？银行与基金不止于“销售”,Wind
643,2021-04-15,2020年四季度股份行哪家投诉多？招行投诉量居首,新浪
644,2021-04-15,做好“加减乘除” 助力“六稳”“六保” 浙商银行服务小微企业质效再提升,浙商银行
645,2021-04-15,银保监会：2020年第四季度银行业消费投诉环比减少10.4%,Wind
646,2021-04-14,海外信用评级汇总2021年4月14日星期三,Wind
647,2021-04-14,穆迪：将浙商银行的评级列入上调观察名单,Wind
648,2021-04-14,零售金融周报(4.5日-4.11日)：百信银行宣布进军汽车金融；哈银消费金融2021年一季度营收超2.32亿元,零壹财经
649,2021-04-13,浙商银行贵阳分行：“双链”融合输血中小企业,中国金融新闻网
650,2021-04-13,开盘20%跌停！可能被“ST”，发生了什么？ 风险警示,证券之星
651,2021-04-13,创新服务模式 发挥供应链金融服务实体经济效能,中国金融新闻网
652,2021-04-13,小微金融浙商银行样本：增长与风险的平衡术,零壹财经
653,2021-04-12,8家上市银行房贷业务“踩红线”，建行、邮储银行均有一项指标踩线,Wind
654,2021-04-12,零壹上市公司周报(4.5日-4.11日)：嘉银金科并购区块链公司碧威科技；招商银行与京东数科获批新设合营企业,零壹财经
655,2021-04-12,8家上市银行房贷业务“踩红线”,Wind
656,2021-04-11,上市国股银行2020年财报深度解读：国有行股份行表现如何,澎湃新闻
657,2021-04-10,上市银行重金投入金融科技，工行建行首次突破200亿元,Wind
658,2021-04-09,金融圈高薪“鄙视链”：基金最高，券商年终奖扣税百万,Wind
659,2021-04-09,浙商银行不良上升势头未止，盈利能力承压|年报季,云掌财经
660,2021-04-09,年度报告说了啥？上市银行掌门人“擎画”未来,证券时报
661,2021-04-09,北京房贷利率“暂未上调”，部分银行无额度放款,Wind
662,2021-04-08,浙江广厦：持有的1.43亿股浙商银行股份被全部冻结 股权冻结,乐居财经
663,2021-04-08,浙江广厦(600052.SH)所持浙商银行股份冻结 股权冻结,格隆汇
664,2021-04-08,浙江广厦：所持浙商银行股份已被执行冻结及轮候冻结 股权冻结,Wind
665,2021-04-08,银行日报：国有六大行2020年业绩数据PK；非上市银行2020年“成绩”如何,中金在线
666,2021-04-08,服务升级让“夕阳红”更美——浙商银行北京分行积极做好老年客户服务工作,中国网
667,2021-04-07,在激进中迷失的浙商银行：净利下跌近5% 不良率连续三年上涨 盈利能力下降,新浪
668,2021-04-07,浙商银行涉重大违规遭调查2020年营收净利增长疲乏、资本充足率承压 金融监管处罚,经济观察报
669,2021-04-07,全市场科技产业策略报告第104期：从银行最新年报看银行IT市场的高增长,新浪
670,2021-04-07,银行业两千亿重金“砸向”金融科技 产业数字化成金融机构业务布局重点,财联社
671,2021-04-07,为申请不超过8000万元综合授信，华光源海拟以3艘自有船舶等质押,资本邦
672,2021-04-07,交易商协会启动对浙商银行自律调查 浙商回应：应是几年前承销项目,21世纪经济报道
673,2021-04-07,浙商银行(601916)：平台战略持续 对公实力强化,新浪
674,2021-04-07,犀牛财经早报：滴滴开启造车项目顺控发展停牌核查,GPLP犀牛财经
675,2021-04-07,信用负面跟踪20210406,新浪
676,2021-04-06,浙商银行回应被自律调查：应该是几年前承销的项目，将积极配合,Wind
677,2021-04-06,浙商银行回应被自律调查：应该是几年前承销的项目，将积极配合,澎湃新闻
678,2021-04-06,严重违规 浙商银行被启动自律调查,新浪
679,2021-04-06,【银行视点】西安银行为一客户计提4.75亿减值准备；开业仅5个月，四川银行1亿股股权将被拍卖！ 资产异常,金融界
680,2021-04-06,作为主承销商涉嫌虚假记载等违规，浙商银行被启动自律调查 欺诈造假,澎湃新闻
681,2021-04-06,消费行业周报：蒙牛携手爱养牛搭建线上学习平台助力牧民提高收入,新浪
682,2021-04-06,疫情大考后，银行业整体实现净利润正增长，有大行不良率悄然走高,Wind
683,2021-04-06,上市公司业绩和发债规模比一比，风险如何？4张图看清,Wind
684,2021-04-06,重磅！银行“打工人”薪资大曝光,中投网
685,2021-04-06,交易商协会对浙商银行启动自律调查,Wind
686,2021-04-06,浙商银行信用卡2020年实现消费额740.51亿元 业务收入13.44亿元,中国网
687,2021-04-06,险资提前调仓换股，究竟买了哪些股票？,Wind
688,2021-04-06,浙商银行总资产破2万亿贷款净额占57% 公司不良贷款年增30亿不良率升至1.86%,长江商报
689,2021-04-06,3家银行人均年薪超50万？却有银行降薪15%，银行还能去吗？,搜狐
690,2021-04-06,交易商协会对浙商银行启动自律调查,银行间市场协会
691,2021-04-05,银行“打工人”薪资曝光 4家银行人均薪酬超50万,中国基金报
692,2021-04-05,近230万银行人的薪酬“曝光”，创收能力也显露出来！,中国基金报
693,2021-04-05,"银行""打工人""薪资大曝光：平安57万，招行53万，中信、兴业大幅加薪了！",中国基金报
694,2021-04-05,陆家嘴财经早餐2021年4月5日星期一,Wind
695,2021-04-04,银行薪酬大曝光！3家银行人均年薪超50万元，这家人均降薪15%,Wind
696,2021-04-04,银行薪酬大曝光！3家银行人均年薪超50万元，这家人均降薪15%,中证报
697,2021-04-04,5家上市银行个人房贷超标，还有多家逼近红线,Wind
698,2021-04-02,十年上市银行排位赛 宁波银行净利润增幅超362%,上证报
699,2021-04-02,浙商银行归母净利降4.76%，因罚单被质疑以虚假出表掩盖不良贷款 盈利能力下降,中访网
700,2021-04-01,金融业薪酬大比拼：去券商做打工人，去保险做高管,Wind
701,2021-04-01,浙商银行16年来首现净利负增长 净息差弹性较大,财经网
702,2021-04-01,六银行同日披露年报：3家银行不良率攀升 农行涉诉金额达60亿 资产异常,科技新闻网
703,2021-04-01,息差收窄盈利承压，银行竞逐财富管理新赛道,Wind
704,2021-03-31,浙商银行回应不良上升：不良贷款基数小，较易受个别企业影响,第一财经
705,2021-03-31,拆解2万亿浙商银行：盈利疲软，激进扩张下埋雷 运营能力下降,北京商报
706,2021-03-31,浙商银行去年处置不良资产184.45亿元 副行长刘龙：去年核销率大幅提升至65%,证券时报网
707,2021-03-31,9大股份行业绩PK：招行净利赶超国有行，民生下滑近四成 盈利能力下降,21世纪经济报道
708,2021-03-31,[路演]浙商银行业绩说明会：公司业务结构持续调整 资产负债的结构更为优化,全景网
709,2021-03-31,[路演]浙商银行业绩说明会：零售业务快速增长 储蓄存款规模稳步提升,全景网
710,2021-03-31,[路演]浙商银行业绩说明会：平台化服务战略是银行业务与经营的重大创新,全景网
711,2021-03-31,银行日报：六大银行日赚31亿 银行板块有望再迎配置窗口期,中金在线
712,2021-03-30,浙商银行去年净利润下降4.76%，不良率微升至1.42% 盈利能力下降,澎湃新闻
713,2021-03-30,浙商银行发布2020年报：营收477.03亿元 同比增长2.89%,证券时报网
714,2021-03-30,浙商银行(02016)拟给予浙江能源集团及关联方最高综合授信额度50亿元,智通财经
715,2021-03-30,浙商银行(02016)拟续聘毕马威华振及毕马威香港,智通财经
716,2021-03-30,浙商银行(02016)拟每10股派发现金红利1.61元,智通财经
717,2021-03-30,蒙牛集团携手浙商银行创新银企合作模式 “浙+牛”乳业链平台正式启动助力奶业发展乡村振兴,中金在线
718,2021-03-30,浙商银行去年拨备前净利同比增长2.82% 拟现金分红30.1%,上证报
719,2021-03-30,浙商银行(601916.SH)2020年度净利润降4.76%至123.09亿元拟10派1.61元 盈利能力下降,格隆汇
720,2021-03-30,浙商银行(601916.SH)年度归母净利同比降4.76%至123.09亿元 拟10派1.61元 盈利能力下降,智通财经
721,2021-03-30,浙商银行(02016)年度归母净利同比降4.76%至123.09亿元 拟10股派1.61元 盈利能力下降,智通财经
722,2021-03-30,浙商银行(02016.HK)年度纯利下降4.76%至123.09亿元10派1.61元 盈利能力下降,格隆汇
723,2021-03-30,浙商银行：2020年净利润同比减少4.76% 盈利能力下降,Wind
724,2021-03-30,浙商银行牵手蒙牛集团为乳业链企业融资逾10亿元,证券时报网
725,2021-03-30,浙商银行与蒙牛集团达成战略合作 共打造乳业产业链服务平台,财联社
726,2021-03-30,浙商银行2020年归母净利润123.09亿元，比上年下降4.76% 盈利能力下降,北京商报
727,2021-03-29,关于换发《中华人民共和国金融许可证》的公告,搜狐
728,2021-03-26,关于以通讯方式召开前海开源中债3-5年,中证报
729,2021-03-25,资金违规流入房地产市场，多家银行被罚 金融监管处罚,Wind
730,2021-03-24,上海清算所首单同业授信担保品管理业务成功落地,Wind
731,2021-03-24,银行“顶风作案”，资金违规流向楼市被重罚,Wind
732,2021-03-24,银行业：消费贷款利率回升 对业绩影响几何？,新浪
733,2021-03-19,浙商银行台州分行被罚95万：发放用途不真实贷款 金融监管处罚,新浪
734,2021-03-19,“随借随还”破解融资痛点 银行推广亟待打通成本关,上证报
735,2021-03-18,浙商银行(02016.HK)3月30日举行董事会会议审批年度业绩,格隆汇
736,2021-03-17,浙商银行天津分行 用有温度的金融服务护航幸福晚年,中国金融新闻网
737,2021-03-17,中国短期融资券及中期票据信用分析周报,新浪
738,2021-03-17,浙商银行(02016.HK)：预计5亿美元票据3月17日前后上市,格隆汇
739,2021-03-16,浙商银行重庆分行：防范非法集资 护航幸福晚年,上游新闻
740,2021-03-12,亚太药业：控股股东所持公司部分股份将被司法拍卖 司法拍卖,Wind
741,2021-03-11,提升尝试做市机构做市能力的思考,搜狐
742,2021-03-10,泰达股份：为控股子公司泰达能源提供8800万元担保 大额借贷担保,Wind
743,2021-03-10,浙商银行重庆分行：开展国际劳动妇女节主题活动,上游新闻
744,2021-03-09,正元智慧(300645.SZ)拟为控股子公司提供担保 大额借贷担保,智通财经
745,2021-03-09,海外信用评级汇总2021年3月9日星期二,Wind
746,2021-03-09,【银行视点】消金机构频繁试水房抵贷，徽商银行获批百亿定增，存保基金成第一大股东！,金融界
747,2021-03-09,标普：予浙商银行(02016.HK)20亿美元中期票据计划“BBB-”长期发行评级,云掌财经
748,2021-03-09,浙商银行(02016.HK)香港分行拟发行3年期美元高级无抵押票据，初始指导价CT3+120bps区域,云掌财经
749,2021-03-09,标普：授予浙商银行20亿美元中期票据计划“A-3”短期及“BBB-”长期发行评级,Wind
750,2021-03-09,2月银行业罚单报告：共218张罚单，中信银行领16张,Wind
751,2021-03-08,解盘：抱团股续跌，稀土、次新、风力发电、环保略涨,Wind
752,2021-03-08,银行板块持续走高，南京银行涨超4%,Wind
753,2021-03-08,华安基金管理有限公司关于以通讯方式 召开华安鼎瑞定期开放债券型发起式 证券投资基金基金份额持有人大会的 第二次提示性公告,证券日报
754,2021-03-06,擎旗奋进正当时 凝心聚力再出发,北京青年报
755,2021-03-05,浙商银行贵阳分行：“区块链+供应链”双链融合 助应收账款变现,中国金融新闻网
756,2021-03-04,蒙牛携手浙商银行助力奶业发展 金融支持为乡村振兴注入源头活水,财经网
757,2021-03-04,浙商银行发生大宗交易成交折价率10.53%,证券时报网
758,2021-03-04,固定收益研究报告：重庆能源美元债大跌点评,新浪
759,2021-03-04,"浙商银行现1笔大宗交易 共成交1,298.60万元",新浪
760,2021-03-04,浙商银行今日大宗交易成交347.22万股，成交价3.74元折价10.53%,Wind
761,2021-03-04,中国固定收益市场日报,新浪
762,2021-03-04,关于华安聚利18个月定期开放债券型证券投资基金分红公告,中证报
763,2021-03-03,重庆能源集团9.15亿债务违约 回应：处置方案尚未出来 违约失信,经济观察网
764,2021-03-03,重庆能投集团回应9.15亿元银票信用证违约：债务处置方案尚未出来 违约失信,Wind
765,2021-03-03,银票信用证合计9.15亿到期无资金归还 涉及平安、浙商银行 重庆能源集团应称：债务处置方案尚未出来,经济观察网
766,2021-03-02,招行调整零售组织架构，合并组建财富平台部,Wind
767,2021-03-02,银行业周报：估值修复仅行至半程 珍惜股价回调后配置良机,新浪
768,2021-03-01,银行行业周报：各项垫款加速下降 优质银行强者恒强,新浪
769,2021-03-01,首批个贷不良转让落地，国厚资产、广投资产各竞得一个资产包,Wind
770,2021-03-01,轻工制造行业周报：造纸行业景气度抬升 太阳纸业竞争优势凸显 有望进入良性扩张循环,新浪
771,2021-02-27,浙商银行：定位平台化服务战略 深耕长三角和环渤海区域,财富动力网
772,2021-02-27,流动性拐点渐近，最坏的时候已经过去了吗？,经济观察报
773,2021-02-25,【万联银行 | 首次覆盖】浙商银行：定位平台化发展模式 期待新五年发展规划,万联证券研究所
774,2021-02-25,万联证券--浙商银行首次覆盖报告：定位平台化发展模式，期待新五年发展规划【公司研究】,金融界股吧
775,2021-02-23,银行业：数字货币对金融行业的影响正在发生,新浪
776,2021-02-23,中国信用债评级调整周报,新浪
777,2021-02-22,银行业周报：经济+信用+监管环境持续向好 估值修复仅行至半程,新浪
778,2021-02-21,银行行业周报：经济信用监管环境持续向好 估值修复仅行至半程,新浪
779,2021-02-20,浙商银行武汉分行被罚1.5万：未经审批创建查询用户 金融监管处罚,新浪
780,2021-02-14,12家股份行排名：谁是小微金融之王？,新浪
781,2021-02-09,不良贷款转让试点加速：16家机构开户，工行一次发布5个转让项目,Wind
782,2021-02-09,浙商银行：为稳定股价 董监高拟增持不低于470万元｜公司问答,第一财经
783,2021-02-09,上市公司正负面新闻2021年2月9日星期二,Wind
784,2021-02-09,跌多涨少再现 上市银行如何出手稳股价,北京商报
785,2021-02-08,8日公告精选：稳定股价，浙商银行董监高增持；露天煤业子公司被罚约1亿元,证券时报网
786,2021-02-08,ABS一周市场回顾,新浪
787,2021-02-08,浙商银行董事、高管等拟增持公司股份,上证报
788,2021-02-08,晚间重要公告2021年2月8日星期一,Wind
789,2021-02-08,浙商银行(601916.SH)：拟采取由公司相关董事、高管增持A股的措施稳定A股股价,格隆汇
790,2021-02-08,浙商银行(02016)将采取董事及高管增持股票的措施履行稳定A股股价义务,智通财经
791,2021-02-08,浙商银行(02016.HK)：部分董监高拟增持不少于470.07万元A股股份,格隆汇
792,2021-02-08,浙商银行发布稳定股价措施：董事、高级管理人员等拟增持不低于470.07万元,Wind
793,2021-02-08,浙商银行：启动稳定股价措施董监高拟增持公司A股股份,格隆汇
794,2021-02-07,金融股，你们要努力啊！快手追来了,第一财经
795,2021-02-07,本周央行及银保监会行政处罚汇总：中信银行因反洗钱不力被罚2890万元 金融监管处罚,Wind
796,2021-02-05,3.61亿元的不确定预计负债，成为悬在浙江广厦头上的“一把刀” 偿债能力下降,华夏时报
797,2021-02-05,中证恒生沪港通AH股精明指数半年度指数检讨结果,Wind
798,2021-02-05,1月银行业罚单全景：393张罚单、罚金2.64亿,21世纪经济报道
799,2021-02-03,浙商银行获标普“稳定”评级展望,中证网
800,2021-02-03,海外信用评级汇总2021年2月3日星期三,Wind
801,2021-02-03,标普：授予浙商银行“BBB-/A-3”发行人信用评级，展望稳定,Wind
802,2021-02-02,浙商银行(601916)：平台化业务驱动指数级获客 场景技术解决相当信息不对称,新浪
803,2021-01-29,金融街下午茶2021年1月29日星期五,Wind
804,2021-01-29,浙商银行：“18永煤MTN001”持有人会议审议通过展期方案,Wind
805,2021-01-29,浙商银行：触发稳定股价措施启动条件,e公司
806,2021-01-29,凭证类CRM信息披露,银行间市场协会
807,2021-01-27,上海“银行房贷停贷”？到底是怎么回事,Wind
808,2021-01-26,屋漏偏逢连夜雨 浙商银行又有1.65亿债务难追回,财富动力网
809,2021-01-25,中信证券(600030)：业务条线稳健增长 减值计提保守做实资产质量,新浪
810,2021-01-21,继去年收亿元罚单资产质量持续下行 浙商银行1.65亿债务又难追回,新浪
811,2021-01-19,溢多利(300381.SZ)拟向浙商银行申请不超3000万元综合授信额度及向工商银行申请不超2000万元融资额度,格隆汇
812,2021-01-18,浙商银行某支行公款旅游花费48万元 谁去公款旅游了？,新浪
813,2021-01-15,恒泰艾普(300157.SZ)1.65亿元债务逾期 违约失信,智通财经
814,2021-01-13,应用光电子公司获得浙商银行1.5亿元三年信贷额度,金融界
815,2021-01-12,资本市场狂挣11亿，监管层狂发罚单，百年人寿冰与火共存的2020,搜狐
816,2021-01-12,信用债日报2021年1月11日,Wind
817,2021-01-11,银行平台化的“浙商公式”,阿尔法工场研究院
818,2021-01-11,浙商银行股份有限公司长沙分行关于获颁,搜狐
819,2021-01-07,强对公之长、补零售之短浙商银行平台化服务战略筑起价值之桥,和讯
820,2021-01-06,建业股份(603948.SH)拟与浙商银行开展“资产池”业务合作,格隆汇
821,2021-01-06,银行平台化服务“破圈”：从对公到零售,中投网
822,2021-01-06,每日理财观察：银保监会4条举措化解村镇银行风险,Wind
823,2021-01-06,看重高股息率，险资今年仍愿加仓银行股,Wind
824,2021-01-06,去年扎堆举牌港股银行股 看重高股息率 险资今年仍愿加仓银行股,证券日报
825,2021-01-05,百年人寿曲线“自救”：股权悬而未决举牌转长投变相减负,北京商报
826,2021-01-05,浙商银行(02016)解聘宋士正首席信息官职务,智通财经
827,2021-01-05,浙商银行(02016.HK)选举潘建华为股东代表监事,格隆汇
828,2021-01-05,浙商银行(02016-HK)派发境外优先股股息总额约1.31亿美元,财华社
829,2021-01-05,浙商银行(02016)：王建及任志祥获选为董事会战略委员会委员和普惠金融发展委员会委员,智通财经
830,2021-01-05,浙商银行(02016)拟于3月29日派发境外优先股股息,智通财经
831,2021-01-05,百年人寿举牌浙商银行背后：“野蛮人”卷土重来？,AI财经社
832,2021-01-05,智通港股通占比异动统计|1月5日,智通财经
833,2021-01-05,港股投资日历：荣万家等招股中，大发地产等股派息日,Wind
834,2021-01-05,房贷新规下银行股大跌，调整资产结构迫在眉睫,Wind
835,2021-01-04,浙商银行(02016.HK)20亿美元中期票据将于1月5日上市,格隆汇
836,2021-01-04,12家股份行排名：谁是小微金融之王？ | 小微金融之年（四）,零壹财经
837,2021-01-04,智通港股通占比异动统计|1月4日,智通财经
838,2021-01-04,新规发威，元旦后银行房贷额度不松反紧,Wind
839,2021-01-03,2021年房贷额度不比2020年宽松,券商中国
840,2021-01-02,浙商银行：2020年基于区块链技术的供应链金融白皮书,199IT
841,2021-01-01,智通港股通占比异动统计|1月1日,智通财经
842,2020-12-31,浙商银行获百年人寿不断增持，成长性或看好,中国网
843,2020-12-31,因严重违反审慎经营规则，浙商银行三支行及一名负责人同日领罚 金融监管处罚,科技新闻网
844,2020-12-31,房产拍卖价高于资产账面价值 *ST新光本期利润或期后利润有望增加,上证报
845,2020-12-31,智通港股通占比异动统计|12月31日,智通财经
846,2020-12-31,举牌没反应，险资不香了？明年险资投什么？,中国财富网
847,2020-12-30,浙商银行上海分行服务智能制造有新招,中国金融新闻网
848,2020-12-30,保险资金年底加仓不停歇 百年人寿继续举牌浙商银行H股,21世纪经济报道
849,2020-12-30,百年人寿16亿港元举牌浙商银行H股，举牌均价3.94港元,澎湃新闻
850,2020-12-30,*ST新光(002147.SZ)：义乌市福田街道世贸中心20套房地产被拍卖拍卖总价款约1.02亿元 司法拍卖,格隆汇
851,2020-12-30,*ST新光：全资子公司部分房产拍卖总价款超1亿元 关联方问题,Wind
852,2020-12-30,20亿资金踩雷上市公司：浙商银行坏账承压，营收净利润双放缓 资产异常,科技新闻网
853,2020-12-30,百年人寿增持并举牌浙商银行H股 持股比例上升至5.02%,中证网
854,2020-12-30,百年人寿：举牌浙商银行H股股票,e公司
855,2020-12-30,百年人寿举牌浙商银行背后：险资入市凶猛，“野蛮人”卷土重来？,腾讯网
856,2020-12-30,智通港股通占比异动统计|12月30日,智通财经
857,2020-12-29,资产证券化分析周报：ABS一周市场回顾,新浪
858,2020-12-29,浙商银行(02016.HK)获百年人寿保险增持4100万股,格隆汇
859,2020-12-28,优质资产赋能“平台化服务战略”，浙商银行（2016.HK/601916.SH）创新金融的“双循环”,格隆汇
860,2020-12-28,佐力药业(300181.SZ)解除对御隆旅游的担保责任,智通财经
861,2020-12-27,年内银行股东斥资87亿元增持，刘永好增持民生银行50次，银行股后市观点现分歧,21世纪经济报道
862,2020-12-24,突破2000亿！浙商银行小微贷款稳健增长,中国金融新闻网
863,2020-12-24,浙商银行被银保监会点名：平均每千万个人客户投诉量位列前三,科技新闻网
864,2020-12-24,银行业首份区块链供应链金融白皮书，助力实体经济大有可为,中国基金报
865,2020-12-23,包钢集团：今年经营形势稳定向好，但资金问题尚未彻底改善；农行内蒙分行建议包钢采取银政企并举等措施应对,不止是钢货
866,2020-12-23,浙商银行联合浙江大学发布银行业首份区块链供应链金融白皮书,中证网
867,2020-12-23,突破2000亿！这家银行小微业务稳健增长凭借什么？,经济网
868,2020-12-23,浙商银行(02016.HK)获百年人寿保险增持4100万股,格隆汇
869,2020-12-22,资产证券化分析周报：ABS一周市场回顾,新浪
870,2020-12-22,【中金固收·资产证券化】ABS一周市场回顾 20201222,中金固定收益研究
871,2020-12-22,美晨生态(300237.SZ)拟与浙商银行签署协议扩大资产池业务融资额度至最高不超11亿元,智通财经
872,2020-12-21,浙商银行普惠型小微企业贷款余额突破2000亿元,新华网
873,2020-12-21,普惠金融五年规划收官之年浙商银行小微贷款突破2000亿,中金在线
874,2020-12-21,浙商银行小微贷款突破2000亿 疫情以来小微解困业务10.55万笔,证券时报网
875,2020-12-21,股份制银行布局理财子公司冲刺，只剩一家未披露进展,Wind
876,2020-12-18,同业存单周报,新浪
877,2020-12-17,资产荒让平安银行等多家银行进攻房屋二抵贷 他行按揭客户也能做,新流财经
878,2020-12-17,资产荒倒逼平安银行等进攻房屋二抵贷 他行按揭客户也能做,新流财经
879,2020-12-17,浙商银行广州分行多措并举帮扶民营企业、中小微企业,南都报
880,2020-12-16,恒丰银行：出资不超过20亿元，全资设立恒丰理财有限责任公司,Wind
881,2020-12-14,14家大中型银行理财子公司获批，地方银行面临双重压力,Wind
882,2020-12-11,和佳医疗(300273.SZ)：拟向浙商银行申请最高余额不超8000万元综合授信及资产池业务,格隆汇
883,2020-12-11,2020第三季度银行业消费投诉环比增26.5% 招商银行投诉量居股份行首位,中国网
884,2020-12-10,银行行长受贿案牵出多家上海房企，宝华集团“喊冤”：买一送一算行贿？ 其他违规处罚,时代在线
885,2020-12-10,这些银行被银保监会点名通报！ 其他违规处罚,金融时报
886,2020-12-10,关于2020年第三季度银行业消费投诉情况的通报,新浪
887,2020-12-10,银保监会：工行、建行、交行投诉量位列国有大型商业银行前三,新浪
888,2020-12-10,银保监会：第三季度接收并转送银行业消费投诉85097件，环比增长26.5%,Wind
889,2020-12-09,三六五网(300295.SZ)拟向浙商银行申请授信5000万元,格隆汇
890,2020-12-08,智通港股通资金流向统计(T+2)|12月8日,智通财经
891,2020-12-04,银保监会通报银行投诉情况,Bank资管
892,2020-12-04,浙商银行今日大宗交易成交3906.25万股，成交价3.84元折价8.35%,Wind
893,2020-12-04,"浙商银行现1笔大宗交易 共成交15,000.00万元",新浪
894,2020-12-04,银行业关于《系统重要性银行评估办法》的点评：评估系统重要性 强化金融稳定性,新浪
895,2020-12-04,银保监会通报银行投诉情况,渤源资产
896,2020-12-03,浙商银行西安分行：金融助力脱贫攻坚取得佳绩,中国金融新闻网
897,2020-12-02,易见股份(600093.SH)：拟向浙商银行成都分行申请不超2亿元融资,格隆汇
898,2020-12-01,浙商银行(02016.HK)：王建、任志祥及汪炜的董事任职资格获核准,格隆汇
899,2020-12-01,浙商银行(601916.SH)：王建等三人董事任职资格获监管机构核准,格隆汇
900,2020-12-01,浙商银行：董事辞职 董监高成员变化,Wind
901,2020-12-01,ABS一周市场回顾,新浪
902,2020-11-29,【兴证金融 傅慧芳】银行业周报（2020.11.23-2020.11.29）：货政基调偏紧+贷款定价回升，银行估值修复有望持续,兴证金融
903,2020-11-29,浙商银行原行长刘晓春：数字货币能替代纸币？不一定,新浪
904,2020-11-27,浙商银行拟筹建理财子公司，8家银行理财子公司已获批筹建,资本邦
905,2020-11-27,银行理财子家族再扩容！这家股份行拟筹建理财子公司，注册资本20亿，将落户杭州,券商中国
906,2020-11-27,港股公告精选：交通银行董事会同意发行不超1400亿元减记型二级资本债券,Wind
907,2020-11-27,陆家嘴财经早餐2020年11月27日星期五,Wind
908,2020-11-26,浙商银行姜戎辞任职工监事职务 董监高成员变化,新浪
909,2020-11-26,晚间重要公告2020年11月26日星期四,Wind
910,2020-11-26,WEMONEY研究室日报：五粮液集团将成为宜宾商业银行第一大股东；浙商银行拟成立浙银理财 控制人变化,凤凰网
911,2020-11-26,浙商银行股份有限公司20鲁商SCP019信用风险缓释凭证交易流通要素公告,上清所
912,2020-11-26,浙商银行拟成立浙银理财：注册资本20亿元，注册地为杭州,澎湃新闻
913,2020-11-26,浙商银行：拟发行不超250亿元减记型无固定期限资本债券,Wind
914,2020-11-26,浙商银行(02016.HK)拟出资20亿元全资设立浙银理财有限责任公司,格隆汇
915,2020-11-26,浙商银行(02016.HK)：姜戎因内部岗位调整辞任监事职务 董监高成员变化,格隆汇
916,2020-11-26,浙商银行拟出资20亿设立理财子公司,证券时报
