,2021-12-31,ABB携手华域汽车，加码汽车智造升级,Ofweek
558,2021-05-18,"深度绑定华为、""10倍牛股""小康股份再度封板 还有哪些机会可挖？",财联社
559,2021-05-18,5月18日晚间重要行业研究汇总(附股),中金在线
560,2021-05-18,智能电动汽车5月策略：ICT企业造车潮加速 看好自主崛起,新浪
561,2021-05-18,2021年4月汽车数据解读&投资展望：市场稳中向好,新浪
562,2021-05-18,【机会挖掘】发改委鼓励有条件的地区开展汽车下乡 车市将从两个维度持续复苏,证券时报网
563,2021-05-18,东吴证券：智能电动车是未来5-10年汽车行业黄金赛道,证券时报网
564,2021-05-18,深度*行业*汽车行业2021年中期策略：持续看好智能电动汽车赛道,新浪
565,2021-05-18,国海证券--汽车行业周报：5月上旬11家重点车企产量同比下降11.9%，看好自主品牌向上【行业研究】,金融界股吧
566,2021-05-18,全球新能源及无人驾驶行业跟踪周报：现代起亚计划于美国投资74亿美元 智加科技将SPAC上市,新浪
567,2021-05-18,【汽车】汽车行业周报—4月汽车销量快速增长，长安拟与华为合作造5款车,中银证券研究
568,2021-05-17,新能源车产销大幅跑赢行业 新能源汽车股票龙头股有哪些？,至诚财经
569,2021-05-17,新能车“霸榜”场内ETF 新能车ETF（515700）涨4.83％成交额3.87亿元,金融界
570,2021-05-17,申港证券--汽车行业周报：4月汽车产销受缺芯及季节性因素影响增速回落【行业研究】,金融界股吧
571,2021-05-17,东莞证券--汽车行业跟踪点评：4月汽车销量小幅增长，新能源车渗透率上升【行业研究】,金融界股吧
572,2021-05-17,八大券商主题策略：看好汽车行业黄金十年！新一轮高景气投资盛宴正式开启,中金在线
573,2021-05-17,汽车和汽车零部件行业周报：4月销售数据走强 行业即将进入被动补库时区,光大证券
574,2021-05-17,渤海证券--汽车行业月报：4月车市稳中向好，新能源汽车表现突出【行业研究】,金融界股吧
575,2021-05-17,东吴证券--汽车行业周报：5月第一周批发同比-13%，优中选优【行业研究】,金融界股吧
576,2021-05-17,东吴证券--汽车行业月报：4月零售超预期，自主份额明显提升【行业研究】,金融界股吧
577,2021-05-17,【汽车】4月车市稳中向好，新能源汽车表现突出——汽车行业月报——中性,渤海证券研究
578,2021-05-17,平安证券--汽车行业月酝知风：短期盈利将承压，自主车企创新活力强劲【行业研究】,金融界股吧
579,2021-05-16,【周观点】5月第一周批发同比-13%，优中选优,东吴汽车黄细里团队
580,2021-05-16,【4月乘用车量-库-价深度】4月零售超预期，自主份额明显提升,东吴汽车黄细里团队
581,2021-05-16,天风汽车【周报】智能电动浪潮，华为产业链机遇,微信
582,2021-05-15,【银河周知】看好金融和科技相关行业价值回归的投资机会,中国银河证券研究
583,2021-05-15,行业深度！一文了解2021年中国汽车零部件行业市场现状、竞争格局及发展前景趋势,前瞻研究院
584,2021-05-14,华域汽车现1笔大宗交易 共成交616.25万元,新浪
585,2021-05-13,中国银河--汽车行业：4月乘用车平稳回暖，新能源车保持高速增长【行业研究】,金融界股吧
586,2021-05-13,银河证券：预计5月车市持续回暖，缺芯预计短期影响有限,证券时报网
587,2021-05-13,【银河汽车李泽晗】行业点评丨乘用车平稳回暖，新能源车保持高速增长,中国银河证券研究
588,2021-05-13,汽车｜销量符合预期，乘用车芯片供给继续偏紧,中信证券研究
589,2021-05-13,【东吴晨报0513】【固收】【行业】通信、汽车、银行、零售【个股】晶盛机电、三联虹普,东吴研究所
590,2021-05-12,华域汽车发生6笔大宗交易合计成交8067.24万元,证券时报网
591,2021-05-12,华域汽车今日大宗交易成交315.25万股，成交价25.59元溢价0.0%,Wind
592,2021-05-12,华域汽车今日大宗交易成交240.53万股，成交价25.59元溢价0.0%,Wind
593,2021-05-12,汽车2021年4月度销量点评：乘用车平稳回暖新能源车保持高速增长,新浪
594,2021-05-12,八大券商主题策略：在二季度底部珍惜配置机会！看好这些华为汽车产业链标的,中金在线
595,2021-05-12,【行业点评】4月整体批发同比+10.5%，新能源渗透率持续提升,东吴汽车黄细里团队
596,2021-05-12,【天风汽车】4月车市平稳复苏，缺芯影响有限,微信
597,2021-05-11,102股获买入评级最新:保利地产,中财网
598,2021-05-11,申港证券首予华域汽车买入评级：行业之锚拾级而上穿越牛熊,每日经济新闻
599,2021-05-11,【国信汽车|年报一季报总结】：行业复苏，集中度提升，智能电动加速升级,微信
600,2021-05-11,华域汽车(600741)：行业之锚 拾级而上 穿越牛熊,新浪
601,2021-05-10,新格局下乘用车行业系列之六：智能座舱变革已至：趋势、格局、机遇,广发证券
602,2021-05-10,华域汽车现1笔大宗交易 共成交496.20万元,新浪
603,2021-05-10,华域汽车今日大宗交易成交20万股，成交价24.81元溢价0.0%,Wind
604,2021-05-10,汽车行业：悲观预期在加速反映,新浪
605,2021-05-10,申港证券：华域汽车（600741.SH）综合型汽车零部件供应商龙头，首予“买入”评级,智通财经
606,2021-05-10,行业仍处于复苏通道中，汽车股集体走强，小康股份再涨停丨牛熊眼,第一财经
607,2021-05-10,【太平洋通信李宏涛团队】5G入口系列之一：智能驾驶爆发的“前夜”，感知通信率先受益,永不消失的电磁波
608,2021-05-10,新能源汽车行业周报：北上广等六城市成智能网联汽车第一批试点城市,渤海证券
609,2021-05-10,汽车行业2020年报及2021一季报业绩综述：Q1业绩改善 全年行业复苏可持续,渤海证券
610,2021-05-10,东吴证券--汽车行业周报：4月累计批发同比+3%，优中选优【行业研究】,金融界股吧
611,2021-05-10,汽车周报：上海新能源车新政促消费结构上移 行业终端需求稳健折扣持续收拢,新浪
612,2021-05-10,【汽车】北上广等六城市成智能网联汽车第一批试点城市——新能源汽车行业周报——看好,渤海证券研究
613,2021-05-09,【周观点】4月累计批发同比+3%，优中选优,东吴汽车黄细里团队
614,2021-05-08,【长城汽车|孙志东团队】2021Q1汽车板块基金持仓点评：Q1汽车板块维持低配，机构增持重汽，北上增持科博达、星宇、宇通,东观车市
615,2021-05-07,众车企4月销售数据亮眼，机构建议围绕“优中选优”思路选股,第一财经
616,2021-05-07,汽车专题报告：景气复苏 业绩回暖,新浪
617,2021-05-07,东莞证券--华域汽车2021年一季报点评：业绩显着改善，业务优化赋能稳增长【公司研究】,金融界股吧
618,2021-05-07,华域汽车毫米波雷达产品量产供货上汽 一年研发投入逾89亿拥98个海外基地,长江商报
619,2021-05-06,汽车行业2020年年报总结：疫情带来短期扰动 行业展现较强韧性,新浪
620,2021-05-06,社保基金长线坚守36只股（附股）,证券时报网
621,2021-05-06,板块异动丨自主品牌更新速度较快 汽车板块走高,智通财经
622,2021-05-06,华域汽车净利暴涨859% 后续增长仍存阻力,盖世汽车
623,2021-05-06,【2020&2021Q1业绩综述】景气复苏，业绩回暖,东吴汽车黄细里团队
624,2021-05-05,【周观点】4月累计批发同比+6%，优中选优,东吴汽车黄细里团队
625,2021-05-04,十大热门行业逐个看| 多家千亿市值车企业绩翻倍,证券时报
626,2021-05-04,多家千亿市值车企业绩翻倍：比亚迪、长城汽车、上汽集团一季度利润同比增速均超过100%,证券时报网
627,2021-05-04,多家千亿市值车企业绩翻倍 | 十大热门行业逐个看 【汽车篇】,证券时报
628,2021-05-02,65股获买入评级最新:春秋航空,中财网
629,2021-05-02,华域汽车(600741)：成本上涨背景下 产品结构调整促进毛利率提升,新浪
630,2021-05-01,一周研读｜基金持仓分析显示抱团仍在延续,中信证券研究
631,2021-04-30,东莞证券给予华域汽车推荐评级，2021年一季报点评，近期获4份券商研报关注，目标均价涨幅39.05%,每日经济新闻
632,2021-04-30,华域汽车(600741)：业外客户保障营收增速 扣非利润率维持稳定,新浪
633,2021-04-30,利润环比连增+同比暴增75匹盈利白马现身,证券时报网
634,2021-04-30,【银河汽车李泽晗】行业动态 2021.4丨乘用车销量符合预期，电动化率提速,中国银河证券研究
635,2021-04-30,银河证券：新能源汽车维持高增长，渗透率提升明显,第一财经
636,2021-04-29,自动驾驶来了！重磅文件将发布，商业化加速落地,Wind
637,2021-04-29,社保基金长线坚守31只股（附股）,证券时报网
638,2021-04-29,新能源车VS智能车，哪只指数未来更有“钱途”？,养基司令
639,2021-04-29,【公司深度/华域汽车】顺应行业变革，加速转型升级,东吴汽车黄细里团队
640,2021-04-29,509公司利润环比连增142家步入绩优股行列,证券时报网
641,2021-04-29,社保基金一季度重仓股揭秘：新进71股增持89股,证券时报网
642,2021-04-29,【天风Morning Call】晨会集萃20210429,新浪
643,2021-04-29,华域汽车(600741)一季报点评：芯片压制下游产销 业绩表现依然稳健,新浪
644,2021-04-28,华域汽车：一季度净利润同比增长859.26%,Wind
645,2021-04-28,华域汽车(600741.SH)一季度归母净利同比增长859.26%至12.92亿元,智通财经
646,2021-04-28,4月28日晚间重要行业研究汇总(附股),中金在线
647,2021-04-28,汽车与零配件行业信息点评：特斯拉21Q1业绩亮眼 国产MODELY上市后持续放量,新浪
648,2021-04-28,产销再创新高 业绩持续向上 | 特斯拉系列报告十一【华西汽车 崔琰团队】,汽车琰究
649,2021-04-28,板块异动丨自主品牌份额逐步回升 汽车整车板块短线上扬,智通财经
650,2021-04-28,505公司利润环比连增139家步入绩优股行列,证券时报网
651,2021-04-27,深耕新能源车市场 五菱“神车”核心供应商双林股份2020年净利润同比扭亏,证券日报网
652,2021-04-27,华域汽车：毫米波雷达产品已实现对上汽乘用车等客户的供货,Wind
653,2021-04-27,中信证券：汽车制动系统关注高，量价齐升赛道长,Wind
654,2021-04-27,利润环比连增+同比暴增83匹盈利白马现身,证券时报网
655,2021-04-27,汽车行业周报：电动智能技术成果集体亮相上海车展 助推汽车产业百年变革,国海证券
656,2021-04-27,汽车｜制动系统关注高，量价齐升赛道长,新浪
657,2021-04-27,汽车行业面临量价齐升的发展机遇 首次覆盖给予行业“强于大市”的评级,中信证券
658,2021-04-27,中信证券：汽车制动系统关注高，量价齐升赛道长,证券时报网
659,2021-04-26,汽车行业研究：硬件预埋趋势已成 智能驾驶数据迭代开启！,新浪
660,2021-04-26,瀚川智能：主营规模实现大幅提升 核心技术领域内形成竞争优势,红周刊
661,2021-04-26,新能源汽车行业周报：上海车展开幕 电动化、智能化加速行业变革,渤海证券
662,2021-04-26,华域汽车跌4.22%报25.65元 创近1个月新低 连续下跌,中新经纬
663,2021-04-26,汽车和汽车零部件行业周报：自主品牌全面崛起 电动智能化发展重构供应链,光大证券
664,2021-04-26,【汽车】上海车展开幕，电动化、智能化加速行业变革——新能源汽车行业周报——看好,渤海证券研究
665,2021-04-23,C碰瓷U，香奈儿诉华为失败！网友：还不如去告“拆分”的奥迪,金融投资报
666,2021-04-23,华域汽车：子公司赛科利转让新朋联众49%股权尚未有实质进展,Wind
667,2021-04-22,华域汽车今日大宗交易成交85万股，成交价27.11元溢价0.0%,Wind
668,2021-04-22,平安证券--汽车行业智能移动终端系列：华为汽车技术落地、加速汽车智能化发展【行业研究】,金融界股吧
669,2021-04-22,智能驾驶细分领域受关注,证券导报
670,2021-04-21,智能驾驶商业化进程加快,大众证券报
671,2021-04-20,万家基金扎堆，重仓自动驾驶相关概念股！,云掌财经
672,2021-04-20,东兴证券汽车行业报告：智能电动化下自主企业大机遇,东兴证券
673,2021-04-20,汽车零部件企业“变化”不小,中证网
674,2021-04-20,光大证券--汽车和汽车零部件行业周报：极狐阿尔法S上市，汽车智能化加速迈入新阶段【行业研究】,金融界股吧
675,2021-04-20,晨报0420 | 天阳科技（300872）、江苏银行（600919）,国泰君安证券研究
676,2021-04-20,基金扎堆重仓 自动驾驶产业,财富动力网
677,2021-04-19,华为造车，概念股起舞,云掌财经
678,2021-04-19,刚刚宣布，华为要卖车了！自动驾驶彻底火了，10000家基金扎堆重仓，业绩最猛股预增89倍,证券时报网
679,2021-04-19,华为放大招，余承东召开神秘会议…A股上演“华为热”,Wind
680,2021-04-19,2021上海车展今开幕 行业大势“见新识变”,上证报
681,2021-04-19,天风证券：华为自动驾驶技术首次公开试乘，迎接智能电动浪潮,Wind
682,2021-04-19,渤海证券--新能源汽车行业周报：多家车企发布新能源车型，车型供给增加【行业研究】,金融界股吧
683,2021-04-19,【汽车】多家车企发布新能源车型，车型供给增加——新能源汽车行业周报——看好,渤海证券研究
684,2021-04-17,汽车电子行业： 自动驾驶渐行渐近 车载传感器市场迎高速发展,财富动力网
685,2021-04-17,前瞻热点：车载传感器市场迎高速发展,大众证券报
686,2021-04-17,前瞻热点：车载传感器市场迎高速发展,证券之星
687,2021-04-16,光大证券--汽车和汽车零部件行业周报：小米官宣造车、蔚来小鹏拟港股上市，行业竞争加剧【行业研究】,金融界股吧
688,2021-04-16,智能驾驶板块多股涨停 关注细分领域投资机会,中财网
689,2021-04-16,【大宗交易日报】4月15日45只个股发生大宗交易总成交额18.42亿,云掌财经
690,2021-04-16,9只智能驾驶概念股2020年净利润增幅翻倍,证券之星
691,2021-04-16,社保基金现身248只股前十大流通股东榜,证券之星
692,2021-04-16,银河证券：自动驾驶渐行渐近，车载传感器市场迎高速发展,Wind
693,2021-04-16,券商晨会精华：市场尚缺有效反弹的动能部分高位抱团股存在业绩兑现预期,证券之星
694,2021-04-16,智能驾驶进入发展快车道 9只概念股去年业绩翻番,证券时报
695,2021-04-15,华域汽车今日大宗交易成交377.05万股，成交价26.65元溢价0.0%,Wind
696,2021-04-13,浙商证券--汽车整车行业专题报告：短期受缺芯冲击，消费端需求良好【行业研究】,金融界股吧
697,2021-04-13,光大证券--汽车和汽车零部件行业周报：市场需求持续复苏，商用车景气度上行【行业研究】,金融界股吧
698,2021-04-13,【机会挖掘】L4级自动驾驶中巴车在重庆上路投运 自动驾驶商业化加速落地,同壁财经
699,2021-04-13,社保基金去年四季度重仓股揭秘：新进41股 增持78股,中财网
700,2021-04-12,新能车销量翻番 谁的机会更大？,中金在线
701,2021-04-12,汽车行业：3月乘用车销量符合预期 新能源车渗透率加速提升,每日经济新闻
702,2021-04-12,汽车行业月报：车市延续复苏 关注绩优股,渤海证券
703,2021-04-12,【汽车】车市延续复苏，关注绩优股——汽车行业月报——中性,渤海证券研究
704,2021-04-12,社保基金现身212只股前十大流通股东榜,证券时报网
705,2021-04-10,3月销量专题：短期受缺芯冲击 消费端需求良好,新浪
706,2021-04-10,435公司利润环比连增118家步入绩优股行列,证券时报网
707,2021-04-09,华域汽车今日大宗交易成交81.95万股，成交价26.58元溢价0.0%,Wind
708,2021-04-09,【机会挖掘】新能源汽车继续刷新当月历史产销记录 行业景气不断上行,证券时报网
709,2021-04-09,54股去年四季度获社保基金扎堆持有,证券时报网
710,2021-04-08,422公司利润不断改善116家步入绩优股行列,证券时报网
711,2021-04-08,社保基金去年四季度重仓股揭秘：新进37股增持67股,证券时报网
712,2021-04-07,利润环比连增+同比暴增111匹盈利白马现身,证券时报网
713,2021-04-07,49股去年四季度获社保基金扎堆持有,证券时报网
714,2021-04-07,中信建投高端制造最新研究观点,中信建投证券研究
715,2021-04-06,420公司利润不断改善114家步入绩优股行列,证券时报网
716,2021-04-06,3月汽车公司市值榜 | 大众集团市值飙涨50% “特斯拉们”不再“大起大落”,每日经济新闻
717,2021-04-06,乘用车销量符合预期，新能源汽车持续发力,金融界
718,2021-04-06,48股去年四季度获社保基金扎堆持有,证券时报网
719,2021-04-06,【银河汽车李泽晗】行业动态 2021.3丨乘用车销量符合预期，新能源汽车持续发力,中国银河证券研究
720,2021-04-06,汽车行业2021年一季报前瞻：21Q1产销增势延续 关注内生增长优质龙头,新浪
721,2021-04-04,419公司利润环比连增114家步入绩优股行列,证券时报网
722,2021-04-03,利润环比连增+同比暴增112匹盈利白马现身,证券时报网
723,2021-04-02,"华域汽车现1笔大宗交易 共成交1,958.40万元",新浪
724,2021-04-01,上海股市周报：华东电脑涨24.98%排第一43家机构调研汉钟精机,每日经济新闻
725,2021-04-01,特斯拉Model 3等将免征车辆购置税，两条主线挖掘相关投资机会丨牛熊眼,第一财经
726,2021-04-01,标普：汽车市场需求回暖有助于延锋国际汽车在2021年改善利润并支撑低杠杆率,云掌财经
727,2021-04-01,碳中和对汽车行业影响深度分析？8大新技术引领5大新赛道,云掌财经
728,2021-04-01,标普：因需求及产品组合改善，延锋国际的债务规模将维持低位,Wind
729,2021-04-01,上海证券--华域汽车2020年年报点评：Q4业绩符合预期，单季度毛利率大幅改善【公司研究】,金融界股吧
730,2021-04-01,社保基金去年四季度重仓股揭秘：12股社保基金持股比例超5%,证券时报网
731,2021-03-31,3月31日晚间重要行业研究汇总(附股),中金在线
732,2021-03-31,华域汽车(600741)：Q4业绩符合预期 单季度毛利率大幅改善,新浪
733,2021-03-31,21公司获得推荐评级-更新中,中财网
734,2021-03-31,东莞证券--汽车行业先进制造行业新三板研究：国内汽车零部件产业整体上升空间大【行业研究】,金融界股吧
735,2021-03-31,417公司利润环比连增116家步入绩优股行列,证券时报网
736,2021-03-31,华域汽车：公司有诸多零部件产品可为新能源整车客户提供配套,Wind
737,2021-03-30,号外！你想要的明星“隐形”重仓股都在这里！,格隆汇
738,2021-03-30,新能源汽车行业周报：智慧城市与智能网联汽车协同发展 车联网加速,渤海证券
739,2021-03-30,东莞证券维持华域汽车推荐评级，2020年报点评：Q4净利快速增长，业绩逐季回升显着,每日经济新闻
740,2021-03-30,【盘前热点】今日重点关注“绿色建筑”“新能源汽车”“中药”等热点！,云掌财经
741,2021-03-30,汽车行业第13周周报：吉利推极氪品牌表明自主车企高端化转型加速,新浪
742,2021-03-30,120股获券商买入评级 大亚圣象目标涨幅达88.29%,Wind
743,2021-03-29,每日报告回放,新浪
744,2021-03-29,华域汽车现1笔大宗交易 共成交554.25万元,新浪
745,2021-03-29,华域汽车今日大宗交易成交20.28万股，成交价27.33元溢价0.0%,Wind
746,2021-03-29,结构性行情仍将继续 “民间股神”重仓消费股,新浪
747,2021-03-29,华域汽车年报点评：业绩稳中向好，核心业务+优质客户打开增量空间【国信汽车】,微信
748,2021-03-29,社保基金长期重仓股名单曝光（附股）,证券时报网
749,2021-03-29,芯片突发，三部门联合释放利好！传媒大佬股价崩了，私募重仓股出炉，“民间股神”新进食品白马,证券时报
750,2021-03-29,【汽车】智慧城市与智能网联汽车协同发展，车联网加速——新能源汽车行业周报——看好,渤海证券研究
751,2021-03-29,111股获券商买入评级，招商轮船目标涨幅达82.27%,Wind
752,2021-03-29,3月29日盘前重要市场新闻,上证报
753,2021-03-29,私募大佬调仓换股名单曝光！资金逆市买入多只ETF！,国元证券订阅号
754,2021-03-29,【银河汽车李泽晗】公司点评丨华域汽车 (600741)：全年业绩符合预期 业绩向上确定性高,中国银河证券研究
755,2021-03-29,鲸平台3月29日早间新闻精选,鲸平台
756,2021-03-29,年报披露持仓动向 社保组合青睐化工、电子,中国基金报
757,2021-03-28,周末影响A股十大消息！券商最新研判来了,Wind
758,2021-03-28,私募大佬持仓曝光！机构认为前期大跌不会重演,云掌财经
759,2021-03-28,私募大佬最新持仓！林鹏奔私后踪迹首度曝光,上证报
760,2021-03-28,下周操盘攻略：重磅数据将公布！前期快速下跌的情况不会重演,Wind
761,2021-03-28,最新！赵军、邓晓峰、林利军、林鹏、冯柳…，顶级私募大佬持仓大曝光（名单）,中国基金报
762,2021-03-28,去年四季度冯柳新进大亚圣象、风华高科 林园杀进金龙鱼,券商中国
763,2021-03-28,冯柳林鹏等布局这些票 私募大佬调仓换股不断曝光,券商中国
764,2021-03-28,私募大佬调仓换股曝光！冯柳、林鹏、林利军布局这些票（名单）,腾讯网
765,2021-03-28,陆家嘴财经早餐2021年3月28日星期日,Wind
766,2021-03-28,私募大佬调仓换股持续曝光，具体名单来了,Wind
767,2021-03-27,395公司利润环比连增105家步入绩优股行列,证券时报网
768,2021-03-26,55公司获得增持评级-更新中,中财网
769,2021-03-26,142份一季度业绩预告发布 超九成公司业绩预喜 扎堆这些行业,第一财经
770,2021-03-26,汽车行业深度报告：自动驾驶加速，智能汽车时代来临,新浪
771,2021-03-26,上海区域股市周报：总市值跌554亿龙头老大金龙鱼缩水306亿 连续下跌,每日经济新闻
772,2021-03-26,"华域汽车现3笔大宗交易 共成交1,613.40万元",新浪
773,2021-03-26,华域汽车今日大宗交易成交60万股，成交价26.89元溢价0.0%,Wind
774,2021-03-26,77股今日获机构买入评级,证券时报网
775,2021-03-26,华域汽车(600741)：业绩符合预期 汽饰业务整合值得期待,新浪
776,2021-03-26,东方证券给予华域汽车买入评级，毛利率提升超预期，新能源车产业链产品盈利贡献比重提升，目标价格为36.32元,每日经济新闻
777,2021-03-26,社保基金连续持有25股最长已持有33个季度,证券时报网
778,2021-03-26,393公司利润环比连增104家步入绩优股行列,证券时报网
779,2021-03-26,华泰证券给予华域汽车买入评级，20年业绩超预期；新业务扩展顺利,每日经济新闻
780,2021-03-26,89股获券商买入评级 广联达目标涨幅达95.33%,Wind
781,2021-03-26,【兴业证券晨会聚焦0326】固收-杭银转债投资价值分析；地产-美国地产研究系列五；海外-安踏实力再次印证；计算机-金山办公点评,兴证研究
782,2021-03-26,华域汽车(600741)：毛利率提升超预期 新能源车产业链产品盈利贡献比重提升,新浪
783,2021-03-25,华域汽车(600741)：头部客户＋海外需求稳步复苏 单季度毛利率创新高 业绩略超预期,新浪
784,2021-03-25,华域汽车(600741)年报点评：核心业务自主可控、新客户拓展有成效,新浪
785,2021-03-25,华域汽车2020年营收同比下降7.25%，预计2021年同比增长6.3%！,环球老虎财经
786,2021-03-25,中银证券维持华域汽车买入评级：Q4业绩快速增长，业务整合前景看好,每日经济新闻
787,2021-03-25,中银国际：华域汽车(600741.SH)业务整合前景看好，维持“买入”评级,智通财经
788,2021-03-25,华域汽车(600741)年报点评：业绩持续恢复 业务结构调整开启新征程,新浪
789,2021-03-25,华域汽车(600741)2020年报点评：业绩超预期 盈利稳步回升,广发证券
790,2021-03-25,华域汽车涨2.75% 去年归母净利54亿同比降16% 盈利能力下降,中国经济网
791,2021-03-25,光大证券--华域汽车：毛利率加速修复，主业自主化、国际化有望推动估值向上【公司研究】,金融界股吧
792,2021-03-25,社保基金长线坚守20只股（附股）,证券时报网
793,2021-03-25,天风证券维持华域汽车买入评级：Q4业绩略超预期，盈利改善逐季向上,每日经济新闻
794,2021-03-25,陆股通重仓指数翻红，桐昆股份、恒力石化、华域汽车升超5%,Wind
795,2021-03-25,今日45公司公布年报6家业绩增幅翻倍,证券时报网
796,2021-03-25,390公司利润环比连增104家步入绩优股行列,证券时报网
797,2021-03-25,盘前情报丨今年结构性减税力度最大政策出台 这些领域或受益（附股）,21世纪经济报道
798,2021-03-25,【中金汽车】华域汽车：扣非净利符合预期 毛利率达历史高点,学学看汽车
799,2021-03-25,【中证盘前】腾讯去年狂赚1227亿！今年最大力度结构性减税政策登场；分众传媒一季报预增超31倍；特斯拉官宣接受比特币购车,中证报
800,2021-03-25,年报揭示百亿元级私募投资变化，高毅资产持股市值最高,Wind
801,2021-03-24,晚间重要公告2021年3月24日星期三,Wind
802,2021-03-24,亚普股份拟10派7元股息率4.56%,证券时报网
803,2021-03-24,犀牛财经晚报：中青旅净亏损2.32亿滴滴正考虑在美国上市,GPLP犀牛财经
804,2021-03-24,晚间公告｜3月24日这些公告有看头,第一财经
805,2021-03-24,华域汽车：2020年度净利润约54.03亿元，同比下降16.40% 盈利能力下降,每日经济新闻
806,2021-03-24,再看「内循环」别有深意，12赛道解读，完整受益股名单,云掌财经
807,2021-03-24,华域汽车(600741.SH)年度归母净利同比下降16%至54亿元 拟10派7.5元 盈利能力下降,智通财经
808,2021-03-24,华域汽车(600741.SH)：2020年度净利降16.4%至54.03亿元 拟10派7.5元 盈利能力下降,格隆汇
809,2021-03-24,华域汽车：2020年净利润同比减少16.4% 盈利能力下降,Wind
810,2021-03-24,布局“汽车电动化+智能化”大未来 银华汽车龙头ETF3月25日发行,中国经济网
811,2021-03-24,广发证券：应重视有实力形成“节能混动车+新能源车”双轮驱动发展态势的企业,证券时报网
812,2021-03-23,2021年2月汽车数据解读及投资展望：春节等短期因素扰动不改整体复苏趋势,新浪
813,2021-03-23,46股遭北向资金大手笔减持，白酒半导体板块多股上榜 减持股份,证券时报
814,2021-03-23,【银河晨报】3.23丨电子：自动驾驶加速渗透，关注汽车传感器投资机会,中国银河证券研究
815,2021-03-22,汽车周报：强监管轻卡运力迎释放 吉利ZEEKR高端电动化更进一步,新浪
816,2021-03-22,汽车和汽车零部件行业周报：全球汽车消费复苏 整车厂业绩边际改善,光大证券
817,2021-03-22,深度*行业*汽车行业周报：大众举办“POWER DAY”活动 宝马电动化战略加速,新浪
818,2021-03-22,3月22日晚间重要行业研究汇总(附股),中金在线
819,2021-03-22,华域汽车：延锋公司海外全资汽车座椅业务在重要客户认可、产品订单获取、生产基地建设等方面均取得突破,每日经济新闻
820,2021-03-22,渤海证券--新能源汽车行业周报：“十四五”规划，聚焦新能源汽车等战略性新兴产业【行业研究】,金融界股吧
821,2021-03-22,银河电子周观点：自动驾驶加速渗透 关注汽车传感器投资机会,新浪
822,2021-03-22,中国银河--电子行业：自动驾驶加速渗透，关注汽车传感器投资机会【行业研究】,金融界股吧
823,2021-03-22,49股获北向资金加仓超5000万元,证券时报网
824,2021-03-22,【汽车】“十四五”规划：聚焦新能源汽车等战略性新兴产业——新能源汽车行业周报——看好,渤海证券研究
825,2021-03-20,重磅！A股后疫情时代投资指南，50大潜力龙头股曝光，最牛股预测净利增13倍,和讯
826,2021-03-18,78股获券商买入评级 三七互娱目标涨幅达93.35%,Wind
827,2021-03-17,2月乘用车终端销量分析：库存健康 格局分化,广发证券
828,2021-03-17,吴通控股(300292.SZ)：进一步优化物联网、车联网产业布局拟向纳瓦电子增资1500万元,格隆汇
829,2021-03-17,华域汽车现1笔大宗交易 共成交207.93万元,新浪
830,2021-03-17,华域汽车今日大宗交易成交7.90万股，成交价26.32元溢价0.0%,Wind
831,2021-03-16,【金财富早知道】2021-03-17,赢家之星
832,2021-03-16,A股共发生92宗大宗交易成交14.56亿元（3月16日）,Wind
833,2021-03-16,华域汽车：3月16日主力资金净流入额占板块的43.98%,每日经济新闻
834,2021-03-16,华域汽车现1笔大宗交易 共成交269.56万元,新浪
835,2021-03-16,华域汽车今日大宗交易成交10.60万股，成交价25.43元折价3.05%,Wind
836,2021-03-16,三大概念受135亿主力资金追捧,证券时报网
837,2021-03-16,3月16日午盘两市净流入前20股(名单),金融界
838,2021-03-16,3月16日早盘两市净流入前20股(名单),金融界
839,2021-03-16,最新的迪斯尼概念股票有哪些？,云掌财经
840,2021-03-16,华域汽车大涨7.08%，成交额30019万元,中新经纬
841,2021-03-16,光大证券--汽车和汽车零部件行业周报：“十四五”汽车进入新常态，电动智能化时代开启【行业研究】,金融界股吧
842,2021-03-16,华域汽车(600741.SH)拉升逼近涨停 收购安道拓座椅实现对汽车座椅业务全面自主掌控,格隆汇
843,2021-03-16,【中原汽车】汽车行业周报：2月批发弱势复苏，汽车板块进一步回调,中原证券研究所
844,2021-03-15,23股今日获机构深度覆盖13股上涨空间超20%,格隆汇
845,2021-03-15,华域汽车(600741)：收购延锋安道拓股权 汽车座椅业务自主掌控,新浪
846,2021-03-15,每日资讯|罗氏宣布收购GenMark诊断公司；华域汽车拟控股延锋安道拓；以色列互联网公司IronSource或SPAC上市,搜狐
847,2021-03-15,华域汽车(600741)：收购安道拓座椅剩余股权 去合资化再进一步,新浪
848,2021-03-15,62股今日获机构买入评级,证券时报网
849,2021-03-15,又一家巨头与中国合资方切割,第一电动网
850,2021-03-15,浙商证券--汽车整车行业专题报告：低基数下的高增长，聚焦新能源与商用车【行业研究】,金融界股吧
851,2021-03-15,华域汽车(600741)：拟收购座椅业务加快自主可控 全球化布局提速,广发证券
852,2021-03-15,汽车行业周报：乘用车销售继续复苏 华域收购延锋安道拓近半少数股权,新浪
853,2021-03-15,渤海证券--汽车行业月报：车市稳步复苏，新能源汽车高景气度持续【行业研究】,金融界股吧
854,2021-03-15,华泰证券维持华域汽车增持评级：拟收购延锋安道拓剩余股权,每日经济新闻
