,2021-12-31,潍柴动力：目前氢燃料电池行业处于示范运营和逐步推广阶段，行业销量仍较小,每日经济新闻
5702,2019-04-21,山东在港上市公司已达50家 累计在港融资近千亿,中证网
5703,2019-04-19,7个交易日5次涨停 全柴动力三度提示风险,第一财经
5704,2019-04-19,投资氢能概念股 需辨明谁是真跨界,红周刊
5705,2019-04-19,鲁股指数4月19日收评 题材股活跃沪指探底回升涨0.63%,中金在线
5706,2019-04-19,35家公司连续9年高比例分红 这些公司最新股息率完胜余额宝（名单）,证券时报网
5707,2019-04-19,燃料电池板块午后再度冲高 全柴动力等10股涨停,金融界
5708,2019-04-18,A股“氢化”初长成，这一板块“最强股票”今年涨幅530%！,证券时报网
5709,2019-04-18,四因素助力汽车板块价值回归 机构力荐7只低估值绩优股,证券日报
5710,2019-04-18,【汽车】汽车行业月报:3月乘用车降幅明显收窄，行业迎来复苏拐点。,微信
5711,2019-04-18,融资客青睐43股，江河集团买入占比高达45.32%,Wind
5712,2019-04-17,机构调研：潍柴动力已掌控新能源业务优质资源,中金在线
5713,2019-04-17,一只绝对正宗的氢燃料电池概念股！,金融界
5714,2019-04-17,【民生策略】一季报内生增长动力分析及个股业绩前瞻,策略研究猿
5715,2019-04-17,午评：箱体顶部压力仍需化解,中财网
5716,2019-04-17,港股异动︱获德银看高至16.5元评级“买入” 潍柴动力(02338)涨超4%,智通财经
5717,2019-04-17,燃料电池概念股持续飙涨 布局氢能源产业链,第一财经日报
5718,2019-04-17,睿智投资｜中国工程机械行业 (优于大市) - 潜在盈利惊喜提供上行空间,招银国际
5719,2019-04-16,6个交易日3次涨停 全柴动力提示风险,第一财经
5720,2019-04-16,国盛证券：如何理解近期外资持续撤离,国盛证券
5721,2019-04-16,"招财日报2019.04.16｜数据强但政策憧憬减，恒指下试29,500",招银国际
5722,2019-04-16,氢燃料电池概念持续爆发 全柴动力等8股涨停,金融界
5723,2019-04-16,国金证券：预计工程机械龙头业绩有望持续超预期,证券时报网
5724,2019-04-16,4月上半月公募基金“摸底”53股 偏爱调研“TMT”行业,投资快报
5725,2019-04-16,"【国金晨讯】特别的新东方,焦虑的在线教育；Ucloud差异化是破局关键；科创机器人缘何青睐系统集成？工程机械龙头能否超越上轮高点",国金证券研究所
5726,2019-04-16,【国金研究】工程机械龙头：能否超越上轮周期高点？,国金证券研究所
5727,2019-04-16,【国金晨讯精选】科创板云计算Ucloud，科创板机器人，工程机械龙头专题，新东方在线,国金证券研究所
5728,2019-04-15,燃料电池板块盘中频频异动 全柴动力等4股涨停,金融界
5729,2019-04-15,市场机会｜首个氢能共享汽车项目落地重庆，行业发展加速,第一财经
5730,2019-04-15,机构上周调研40多只个股,中财网
5731,2019-04-15,“社融底”正式确立 周期股再迎利好 这些板块或最受益（附股）,证券时报网
5732,2019-04-15,机构调研关注电子和建筑等行业,中证报
5733,2019-04-15,减消费加金融 北上资金频现调仓动作,中证报
5734,2019-04-14,入乘5年多“查无此车” 谭旭光与潍柴第二辉煌梦碎？,中国经营报
5735,2019-04-13,257只社保重仓股被券商看好 11只个股成两类机构“香饽饽”,证券日报
5736,2019-04-13,298只社保持仓股今年以来浮盈305.81亿 12只标的股贡献高,证券日报
5737,2019-04-12,北上资金单周净流出129亿，已连续6日净流出，操作这只股票有失水准,e公司
5738,2019-04-12,基金调研:华夏基金访潍柴动力 中信证券调研石化机械,新浪
5739,2019-04-12,汽车：3月销量表现稳定 荐10股,和讯
5740,2019-04-12,汽车：地方国六持续推进 荐8股,和讯
5741,2019-04-12,潍柴动力：公司已掌控氢燃料电池等新能源业务优质资源,Wind
5742,2019-04-12,【天风电新】加氢站再迎利好，顶层设计加速落地,新能源研究员
5743,2019-04-11,格隆汇个股放量排行榜 | 4月11日,格隆汇
5744,2019-04-11,电气设备：燃料电池产业有待腾飞 荐3股,和讯
5745,2019-04-11,港股异动︱遭小摩减持103.46万股 潍柴动力(02338)跌近5%,智通财经
5746,2019-04-11,“谭氏改革”红利逐步释放 中国重汽一季报大幅增长,证券时报
5747,2019-04-10,格隆汇个股放量排行榜 | 4月10日,格隆汇
5748,2019-04-10,大幅上调目标价策略（4月10日）,Wind
5749,2019-04-10,汽车类个股走势强劲 机构称二季度将迎来行业增速拐点,证券时报网
5750,2019-04-10,燃料电池板块行情现三大新变化 7只概念股连涨5天及以上,证券日报
5751,2019-04-10,287家公司研发占比超高新技术企业门槛 机构调研30只潜力股,证券日报
5752,2019-04-09,潍柴动力(02338.HK)将于4月26日举行董事会会议以审议批准一季度业绩,格隆汇
5753,2019-04-09,谁能连续十年归母净利超10亿？ 独家解密A股白金俱乐部成员,投资时报
5754,2019-04-09,潍柴加速布局海外；大昌行续拓华东华南高端汽车4S网络,经济通
5755,2019-04-09,国家统筹加氢设施建设 燃料电池汽车未来可期,投资快报
5756,2019-04-09,陕汽局中局：陕汽控股正扶持陕汽商用车 以抗衡陕重汽,每日经济新闻
5757,2019-04-09,197只个股获10家及以上机构推荐 四行业成A股战略布局要塞,证券日报
5758,2019-04-09,"汽车和汽车零部件行业周报:厂商陆续公布18年业绩,行业寒冬,业绩承压 盈利能力下降",光大证券
5759,2019-04-08,【收市点评】三大指数下探回升 周期股表现亮眼 | 2019.04.08,兴业证券兴e通
5760,2019-04-08,鲁股指数4月8日收评 沪指高开低走跌0.05%化工板块大涨,中金在线
5761,2019-04-08,瑞银：升潍柴动力(02338.HK)评级至“中性” 目标价上调至14.6港元,格隆汇
5762,2019-04-08,【招商汽车|行业点评】基本面转好，行业进入估值修复期,招商汽车研究
5763,2019-04-08,汽车：新能源补贴政策出台 荐3股,和讯
5764,2019-04-08,3月重卡销量超预期 潍柴动力(02338)续涨逾7%再创新高,智通财经
5765,2019-04-08,港股异动 | 重卡销量超预期 潍柴动力港A齐涨,格隆汇
5766,2019-04-08,中信证券：汽车板块具有较高配置性价比 关注四条投资主线,证券时报网
5767,2019-04-08,8日公司新闻聚焦：多家公司一季度业绩预喜,证券时报网
5768,2019-04-08,机构集中调研电子元件行业,中证报
5769,2019-04-07,两家百亿明星私募共同看上了这只股票，四天涨幅超16%,21世纪经济报道
5770,2019-04-07,【华泰汽车每周谈】部分合资自主跟随官降，3月重卡销量超预期,华泰汽车研究
5771,2019-04-07,耗资25亿对外战略并购，这家公司获机构扎堆调研！,e公司
5772,2019-04-06,潍柴动力与巴拉德开展燃料电池等合作,Ofweek
5773,2019-04-05,《海外掘金》业绩为王（2019年3月31-4月4日）,中信证券研究
5774,2019-04-04,大牛股是这么走出来的！04月04日 22只创新高个股统计名单,每日经济新闻
5775,2019-04-04,"电气设备行业主题投资系列之一:政策与技术共振,燃料电池进入导入期",正点财经
5776,2019-04-04,四年“老将”乔海英业绩不佳遭“瘦身”，平安基金现人才乏力 盈利能力下降,中金在线
5777,2019-04-03,社保基金最新持股路径曝光，连续四个季度大幅减持了它,21世纪经济报道
5778,2019-04-03,中信建投：上调潍柴动力评级至买入,Wind
5779,2019-04-03,大牛股是这么走出来的！04月03日 14只创新高个股统计名单,每日经济新闻
5780,2019-04-03,招银国际：重卡销量远超预期 荐“买入”潍柴（02338）和重汽（03808）,智通财经
5781,2019-04-03,汽车：重卡2月同比正增长 荐6股,和讯
5782,2019-04-03,报告| 2019年3月山东省A股上市公司市值排行榜,挖贝网
5783,2019-04-03,睿智投资｜中国重卡行业 (优于大市) - 3月重卡销量创新高令人惊喜,招银国际
5784,2019-04-03,上调评级至买入策略选股（4月3日）,Wind
5785,2019-04-03,【行业动态】汽车 1903丨汽车行业景气度下滑，中西部地区仍有放量空间,中国银河证券研究
5786,2019-04-03,217家公司净利超10亿元 扎堆金融等六行业,证券日报
5787,2019-04-02,"中信建投：将潍柴动力评级调高为""买入""",Wind
5788,2019-04-02,【中信证券电新】巴拉德动力系统：全球燃料电池龙头，拥抱中国走向世界,CITICS电新
5789,2019-04-02,智通港股52周新高、新低统计|4月2日,智通财经
5790,2019-04-02,大牛股是这么走出来的！04月02日 19只创新高个股统计名单,每日经济新闻
5791,2019-04-02,"招财日报2019.04.02｜中美数据皆胜预期，恒指上试29,700",招银国际
