,2021-12-31,全信股份：兴业证券、中信资本等4家机构于12月29日调研我司,证券之星
900,2021-06-02,北向资金今日净卖出20.14亿元，恒瑞医药净卖出额创历史新高,Wind
901,2021-06-02,[快讯]2021《股东来了》兴业证券四川分公司走进高校--西财天府国际教育学院,全景网
902,2021-06-02,东方证券首予兴业证券增持评级，兴业证券首次覆盖报告：秉承集团一体化发展理念，财富管理+大机构双轮驱动,每日经济新闻
903,2021-06-02,东方证券：兴业证券（601377.SH）财富管理+大机构双轮驱动，目标价10.97元，首予“增持”评级,智通财经
904,2021-06-02,福建区域股市周报：5943万融资买入厦门钨业 福建金森涨56.50%排第一,每日经济新闻
905,2021-06-02,A股融资融券日报：两融余额增加83.42亿元（6月1日）,Wind
906,2021-06-02,又有“股神”被罚：精准抄底后连续3涨停！监管3次开具罚单,Wind
907,2021-06-02,非银金融行业周报：证监会公布证券“白名单” 合规风控成为关注重点,新浪
908,2021-06-02,A股6月开门红，券商乐观看待后市,Wind
909,2021-06-02,严把“入口关” 发行常态化，今年前5个月IPO审核公司量质齐升,Wind
910,2021-06-01,北向资金今日净流入11亿元，抛售酒鬼酒6.03亿元,第一财经
911,2021-06-01,兴业证券连续第三年摘得中国资产证券化论坛年度创新机构奖,兴业证券订阅号
912,2021-06-01,北向资金今年净买入额已超去年全年，东方雨虹再获净买入超7亿元,Wind
913,2021-06-01,券商杠杆率和ROE持续提升 龙头券商表现优于中小券商,新浪
914,2021-06-01,证券行业周观点：分类监管出新政 合规经营促发展,新浪
915,2021-06-01,金融产品交易量跟踪报告第26期,新浪
916,2021-06-01,A股收盘综述：上证指数6月开门红，三胎板块走俏、周期股强力反弹,Wind
917,2021-06-01,A股万亿巨头被下调评级，立马大跌！更有33秒涨停砸跌停,Wind
918,2021-06-01,兴业证券首次覆盖天境生物：聚焦肿瘤免疫与自身免疫生物药 领先优势明显,证券日报网
919,2021-06-01,解盘：科技股强势，光刻胶、二胎、摄像头领涨,Wind
920,2021-06-01,证券行业深度报告：重估财富管理业务 看好转型龙头和高溢价率标的,新浪
921,2021-06-01,兴业证券大跌 连续下跌,新浪
922,2021-06-01,券商板块连续下杀，中金公司、兴业证券、东方证券、湘财、中信建投领跌,Wind
923,2021-06-01,券商股早盘走低，湘财股份跌逾5%，兴业证券、中金公司、东方证券、国金证券跌,新浪
924,2021-06-01,A股融资融券日报：两融余额增加114.99亿元（5月31日）,Wind
925,2021-06-01,兴业证券(601377)：秉承集团一体化发展理念 财富管理+大机构双轮驱动,新浪
926,2021-05-31,北向资金再度大幅净买入超52亿元，东方雨虹净买入额创历史新高,Wind
927,2021-05-31,非银金融行业周报：证监会公布券商“白名单” 助推行业高质量发展,渤海证券
928,2021-05-31,券商行业周报(2021年第十九期)：券商首批“白名单”发布 政策利好推动估值修复,新浪
929,2021-05-31,CXO罕见集体暴跌 黄金赛道怎么了？投资人士：行业依旧向好 模式确需转型,科创板日报
930,2021-05-31,A股融资融券日报：两融余额增加33.03亿元（5月28日）,Wind
931,2021-05-31,深度*行业*证券行业政策点评 &非银金融行业周数据：“白名单”制度利好大券商,新浪
932,2021-05-31,投资银行业与经纪业行业每周一话：非银贝塔行情延续 持续推荐优质个股,新浪
933,2021-05-31,十大券商：做多窗口继续！存量博弈向增量行情演进,Wind
934,2021-05-30,板块拾金|一天一个样！新能源、半导体、金融...轮动市到底看谁？策略收好！,第一财经
935,2021-05-30,下周这只券商股解禁市值超210亿，流通盘大增2.7倍,Wind
936,2021-05-30,深度*行业*证券行业数据点评：公募市场蓬勃加速持牌券商转型增长,新浪
937,2021-05-30,兴证财富万里行献礼30周年庆南平站隆重举行,兴业证券订阅号
938,2021-05-30,疯狂的一周！北向资金爆买468亿元创纪录，茅台又火了，加仓名单来了,中证报
939,2021-05-29,创新高！北向资金全周净流入超468亿元，重点加仓酿酒板块，贵州茅台占一半,21世纪经济报道
940,2021-05-29,政策利好频发，券商股持续估值修复,Wind
941,2021-05-29,北上资金大举加仓，刷新多项历史纪录,Wind
942,2021-05-28,一周主力资金丨大金融板块获青睐，京东方A净流出55.5亿元,第一财经
943,2021-05-28,重大规则刚刚公布，碳交易六大要点来了！昔日9倍龙头王者归来，滞涨低估值名单出炉，主力大手笔杀入券商龙头,证券时报网
944,2021-05-28,“全球资管中心”引爆券商新龙头，兴业、东方证券领涨，公募上市预期大大提升参控股券商估值想象力,证券之星
945,2021-05-28,北向资金本周净买入额创纪录，美的集团获大幅净买入逾11亿元,Wind
946,2021-05-28,A股资金流向（5月28日）：券商龙头持续获青睐,Wind
947,2021-05-28,午评：指数早盘走势分化 锂电池板块大涨,ZAKER
948,2021-05-28,存在委托他人从事客户招揽活动的行为 兴业证券一员工收警示函 金融监管处罚,新浪
949,2021-05-28,券商板块再度走强 ，方正证券兴业证券涨停，关注两类股,证券时报网
950,2021-05-28,券商板块午前走强，兴业证券、方正证券涨停，券商ETF（512000）跑赢超8成成份股,资本邦
951,2021-05-28,券商股大幅拉升，方正证券、兴业证券涨停,金融界
952,2021-05-28,满屏涨停：万亿巨头飙8% 这款基金半天狂卖200亿,中国基金报
953,2021-05-28,30只股票刷新历史新高，近期这里成为牛股集中地,Wind
954,2021-05-28,满屏涨停！刚刚，这板块大爆发，万亿巨头飙8%,Wind
955,2021-05-28,"满屏涨停！刚刚，这板块大爆发，万亿巨头飙8%！半天狂卖200亿，又一爆款基金火了！突发闪崩57%，发生了什么？广深佛最新通报
连续下跌",中国基金报
956,2021-05-28,66只股上午收盘涨停(附股),证券时报网
957,2021-05-28,【即时解盘】创指冲高震荡涨1.35%锂电池概念掀涨停潮,中国经济网
958,2021-05-28,A股午盘综述：上证指数微涨，锂电池概念大爆发,Wind
959,2021-05-28,券商股继续走强，方正证券拉升触板，兴业证券此前涨停，国盛金控、东方证券、东,新浪
960,2021-05-28,券商股再度拉升 兴业证券、方正证券涨停,e公司
961,2021-05-28,券商股午前再度拉高，兴业证券3日2板,Wind
962,2021-05-28,兴业证券（601377.SH）3天2板,Wind
963,2021-05-28,【行情】证券板块异动拉升，兴业证券涨近9%，方正证券、东方证券、锦龙股份、国盛金控等跟涨,金十数据
964,2021-05-28,券商股走势分化，兴业证券大涨6%,Wind
965,2021-05-28,A股融资融券日报：两融余额增加73.28亿元（5月27日）,Wind
966,2021-05-27,【重视券商|天风非银】券商的“大财富管理”业务的高速发展将提升整体估值,新锐视角看金融
967,2021-05-27,开源策略：券商作为“牛市旗手” 对市场整体走向是否有指示意义？,新浪
968,2021-05-27,北向资金四日抢筹A股近500亿，格力电器净买超7亿,Wind
969,2021-05-27,A股资金流向（5月27日）：资金大幅涌入芯片龙头股,Wind
970,2021-05-27,A股早报2021年5月27日星期四,Wind
971,2021-05-27,A股融资融券日报：两融余额增加50.37亿元（5月26日）,Wind
972,2021-05-27,今日再迎外资配置重要时点！北向资金连续三日净买入327亿元，增持这些股,21世纪经济报道
973,2021-05-27,北向资金动向盘点：重手净买91亿，茅台占12.5%,Wind
974,2021-05-27,【晨观方正】非银/海外·策略/环保 20210527,新浪
975,2021-05-27,马来西亚确诊率超印度，泰国死亡人数创新高！深圳紧急大排查，股市咋走,Wind
976,2021-05-27,方正证券：头部券商资本实力、杠杆运用能力、产品创设能力强,证券时报网
977,2021-05-26,19股特大单净流入资金超2亿元,证券时报网
978,2021-05-26,沪港通十大成交活跃股排名（5月26日）,Wind
979,2021-05-26,106只股获特大单净流入超1亿元兴业证券净流入额居首,第一财经
980,2021-05-26,北向资金 | 净流入91.03亿元，贵州茅台、美的集团、招商银行、兴业证券净买入居前,上游新闻
981,2021-05-26,北向资金连续三日抢筹A股超300亿，贵州茅台再获净买入超11亿元,Wind
982,2021-05-26,A股资金流向（5月26日）：沪强深弱态势明显，创蓝筹遭资金抛售,Wind
983,2021-05-26,A股收盘综述：上证指数涨0.34%，创业板指跌0.95%,Wind
984,2021-05-26,传播链再延长，广州一家三口感染！疫苗板块怎么走,Wind
985,2021-05-26,【方正非银左欣然团队】基本面与估值背离，α与β共振迎估值回归,欣赏金融
986,2021-05-26,非银金融早间造好 券商建议持续关注,第一财经
987,2021-05-26,解盘：百亿资金流入，纸业、化工、IDC、次新略涨,Wind
988,2021-05-26,A股午盘综述：上证指数涨0.29%，创业板指跌逾1%,Wind
989,2021-05-26,沪指时隔3个月重回3600点，北向资金净流入超34亿元！机构解读,和讯
990,2021-05-26,券商板块继续发力，兴业证券、湘财股份双双涨停,上游新闻
991,2021-05-26,券商股持续发力，天风证券新晋涨停,Wind
992,2021-05-26,兴业证券盘中快速上涨,新浪
993,2021-05-26,券商股早盘再度走强 兴业证券涨停,e公司
994,2021-05-26,兴业证券（601377.SH）首板,Wind
995,2021-05-26,券商股再度发力，兴业证券大涨8%,Wind
996,2021-05-26,阿莱德这个IPO案例，站在内部审计的角度看，风险不小,新浪
997,2021-05-26,今年白酒投资三大主线曝光，食饮板块次新股成为焦点,新浪
998,2021-05-26,券商晨会精华：若量能有效配合 短期或走一波指数行情,财联社
999,2021-05-26,东北证券：建议关注护城河宽、资本实力雄厚、率先受益资本市场改革的头部券商,证券时报网
1000,2021-05-26,“牛市旗手”券商股大涨 低估值龙头迎估值修复,财富动力网
1001,2021-05-26,券商再迎爆发时刻，机构看好板块估值修复,Wind
1002,2021-05-26,北向资金单日净买额创历史新高，上证指数放量突破箱体上沿,Wind
1003,2021-05-26,券商财富管理转型成效凸显，基金代销规模展现硬实力,Wind
1004,2021-05-26,券商财富管理转型成效凸显 基金代销规模展现硬实力,全景网
1005,2021-05-25,非银金融财富管理专题研究系列之一：权益公募与财富管理的未来是星辰大海,新浪
1006,2021-05-25,资金加速流向核心资产，券商股“带头”反攻，“好公司股价或随时创新高”,红周刊
1007,2021-05-25,兴业证券与新大陆签署战略合作协议,兴业证券订阅号
1008,2021-05-25,今天A股人均赚了1万！都是因为人民币？,Wind
1009,2021-05-25,北向资金爆买A股超200亿创历史纪录，白酒、金融、医药股遭“疯抢”,Wind
1010,2021-05-25,A股收盘综述：上证指数涨2.4%，创逾7个月最大单日升幅,Wind
1011,2021-05-25,中金公司跟随中信建投封住涨停板后，兴业证券、华创阳安冲击涨停,Wind
1012,2021-05-25,华泰证券：成功发行60亿元人民币公司债,Wind
1013,2021-05-25,行业高质量发展可期，券商股受资金青睐,Wind
1014,2021-05-25,“猪茅”大跌“油茅”大涨，核心资产分化或将持续,Wind
1015,2021-05-24,买周期股是不是刀口舔血？卖方研究隔空开怼,Wind
1016,2021-05-24,A股收盘综述：上证指数止步三连跌，创业板指涨0.85%,Wind
1017,2021-05-24,【中信建投非银周报】板块开启左侧布局机会，关注券商短期磨底反弹,中信建投非银金融研究
1018,2021-05-24,券商板块再度活跃，板块估值已至底部，关注两类股,证券时报网
1019,2021-05-24,本周股市三大猜想及应对策略,财富动力网
1020,2021-05-23,周末影响A股十大事件来了，券商最新研判：挑战4000点！,Wind
1021,2021-05-23,周末要闻2021年5月23日星期日,Wind
1022,2021-05-23,还周期以成长：周期股将跑赢商品丨一周重点研究报告,开源证券研究所
1023,2021-05-23,下周操盘攻略：机构激辩周期，布局期还是收获期？,Wind
1024,2021-05-22,53只个股本周创历史新高，医药和锂电行业牛股频出,Wind
1025,2021-05-21,本周65%个股下跌，可转债明显强于正股，2张图对比看清！,Wind
1026,2021-05-21,西藏矿业加速涨停，机构高位出逃,Wind
1027,2021-05-21,中基协披露最新基金代销数据,中华工商时报
1028,2021-05-20,“牛市新旗手”稳吗？湘财股份5天4板涨幅超45%，券商板块资金净流入最多，如何看待本轮反弹逻辑,财联社
1029,2021-05-20,中银证券等多家上市券商股东实施减持，券商股价似正否极泰来，从“一天杀一股”到反复掀涨停潮 减持股份,财联社
1030,2021-05-20,证券行业2020年报及21年一季报总结：行业盈利能力稳步提升 龙头券商业务优势凸显,新浪
1031,2021-05-20,龙虎榜 | 小康股份跌停，东方财富一营业部买入5622.30万元，兴业证券陕西分公司卖出2.40亿元,上游新闻
1032,2021-05-20,智通每日大行研报丨Q1业绩超预期 网易-S(09999)、京东集团-SW(09618)获机构一致唱好,智通财经
1033,2021-05-20,兴业证券：网易-S维持增持评级 目标价195港元,新浪
1034,2021-05-20,网易涨幅扩大至近9% 获机构看高目标价至250港元,新浪
1035,2021-05-20,兴业证券：网易-S(09999)Q1净利润超预期 下半年新游戏上线表现可期 维持目标价195港元,智通财经
1036,2021-05-20,开源证券--上市券商2020年报及2021一季报综述：行业ROE持续上行，头部效应凸显【行业研究】,金融界股吧
1037,2021-05-20,券商板块异动拉升，次新股财达证券十连板,第一财经
1038,2021-05-20,追高壕买5200多万，这家公司一纸公告5个涨停,Wind
1039,2021-05-19,兴业证券与浦发银行洽谈业务合作,兴业证券订阅号
1040,2021-05-19,黑色系连续重挫，顺周期行情结束了吗？,Wind
1041,2021-05-18,2021年福布斯全球2000强：11家券商入围 排名大幅变动,新浪
1042,2021-05-18,市场机会 | 低位量价齐升，这只制药龙头股底部已明？,金融界
1043,2021-05-18,什么情况？A股黄金、军工暴动，新能源产业链又嗨了,Wind
1044,2021-05-17,状告证监会，这家律所和律师都输了 诉讼纠纷,中国经济网
1045,2021-05-17,北向资金今日净买入25.78亿元，继续大幅加仓白酒股,Wind
1046,2021-05-17,非银金融行业定期：非货基金销售规模明牌 券商财富管理成亮点,华福证券有限责任公司
1047,2021-05-17,非银金融行业周报：2021Q1公募基金保有规模 TOP100券商近半数,新浪
1048,2021-05-17,【中信建投非银周报】券商财富管理业务提速，险企代理人改革持续推进,中信建投非银金融研究
1049,2021-05-17,上市券商首季收入1432亿增25% 资管投行净收入增幅均超三成拉动业绩,长江商报
1050,2021-05-17,非银金融行业周报：券商反弹背后是估值见底 看好财富管理主线,新浪
1051,2021-05-17,东北证券：继续看好由券商板块引领的五月吃饭行情,Wind
1052,2021-05-16,兴业证券：给予美团-W(03690.HK)“买入”评级 目标价346.85港元,--
1053,2021-05-16,兴业证券魏威：以专注践行责任,和讯
1054,2021-05-16,兴业证券投教基地多形式开展“投资者教育进百校”系列活动,上证报
1055,2021-05-16,兴业证券郭小军：抓住财富管理新机遇，发挥券商三大优势,上证报
1056,2021-05-16,周末证券|白酒医药大金融要买先看“性价比”,金融投资报
1057,2021-05-15,“牛市旗手”突然大爆发！估值和业绩“背离”太久了，航母公司要火了？,中国基金报
1058,2021-05-15,核心资产板块呈现分化走势 逢低关注白酒、医药、大金融,金融投资报
1059,2021-05-14,证券1Q21公募销售保有量数据点评：看好深度参与权益公募产业链的券商股,新浪
1060,2021-05-14,兴业证券荣获深圳证券交易所2020年度优秀课题荣誉,兴业证券订阅号
1061,2021-05-14,非银金融行业2021Q1销售机构公募基金保有数据点评：独立三方份额快速提升 行业或加速转向保有竞争,新浪
1062,2021-05-14,收评：沪指放量涨1.77%，创业板指大涨超3%，券商板块爆发,证券时报网
1063,2021-05-14,2021新财富富人榜出炉！500人身家17万亿元,Wind
1064,2021-05-14,非货公募销售前100家亮相，券商47强排名持续刷屏！中基协首次公布排名，版图谁主导？行业炸锅,财联社
1065,2021-05-14,“牛市旗手”突然启动？创业板指大涨2%,Wind
1066,2021-05-14,经纪业务走量不可持续,证券市场周刊
1067,2021-05-13,多家中小行一季度营收出现负增长，投资收益成拖累，3家大降95%,Wind
1068,2021-05-13,财富管理进入黄金期 券商迎来业绩增量空间,大众证券报
1069,2021-05-13,一季度投资收益挺不住，多家中小银行营收露“负”,Wind
1070,2021-05-13,部分白马龙头最大回撤超50%仍未明显企稳，“性价比提高”不等于“高性价比”？,Wind
1071,2021-05-12,兴业证券融资融券助力私募开启多样化交易策略,证券之星
1072,2021-05-12,兴业证券与福建海峡银行签署全面战略合作协议,兴业证券订阅号
1073,2021-05-12,基金圈八卦：董承非离职传言再起，系今年第五次！传兴业证券本周一跌停，就是因旗下兴全基金董承非离职传闻 基金经理离任,新浪
1074,2021-05-12,业绩增长股价仍跌一成 兴业证券遭“国家队”减持 盈利能力下降,GPLP犀牛财经
1075,2021-05-12,一季度券商业绩出现分化，重点布局头部券商,东北证券
1076,2021-05-12,中泰证券：龙头券商有望实现强者恒强，行业目前估值相对低位，具备左侧配置价值,证券时报网
1077,2021-05-11,600亿白马股闪崩，一季报净利暴涨2.5倍，机构评级审慎增持,AI财经社
1078,2021-05-11,市场聚焦：存量博弈下的理性战术,新浪
1079,2021-05-11,北向资金创一个半月最大净卖出，京东方A、通威股份净卖出超6亿元,Wind
1080,2021-05-11,兴业证券(601377.SH)完成向子公司兴证(香港)金控增资10亿港元,智通财经
1081,2021-05-11,兴业证券(601377.SH)完成向兴证(香港)金融控股有限公司增资,格隆汇
1082,2021-05-11,券商业绩飘红 却屡见个股跌停 券商板块不香了吗？,第一财经
1083,2021-05-11,业绩、股价出现巨大裂差，兴业证券离奇跌停，最热券商ETF（512000）4日吸金近12亿元,资本邦
1084,2021-05-11,北向资金动向盘点：周期类，独甩煤炭,Wind
1085,2021-05-11,每日理财观察：黑色系商品集体“疯狂”，交易所紧急出手降温,Wind
1086,2021-05-11,又见券商股跌停，咋回事？谁在抛弃券商板块？,Wind
1087,2021-05-11,北向资金连续3日加仓A股，“茅五”最受青睐（附股）,21世纪经济报道
1088,2021-05-11,上市券商年度及一季报：整体业绩增长显着 近半公司风控指标下行,面包财经
1089,2021-05-11,顺周期板块强势，机构建议把握波段式机会,Wind
1090,2021-05-11,又见券商股跌停，兴业证券相关人士：公司经营一切正常，未有应披露而未披露的信息,格隆汇
1091,2021-05-10,券商股再遭“杀”！兴业证券一度跌停近7亿元主力资金出逃,第一财经
1092,2021-05-10,非银行业一季度综述与展望：弱复苏与稳增长,新浪
1093,2021-05-10,证券行业2021年一季报综述：各项业务全面开花 头部券商优势尽显,新浪
1094,2021-05-10,金融街下午茶2021年5月10日星期一,Wind
1095,2021-05-10,见证历史！茅台罕见跌9500亿、商品最后一涨？,Wind
1096,2021-05-10,突然闪崩！500亿券商开盘15分钟就跌停，24万股东瞬间炸锅，公司最新回应来了,每日经济新闻
1097,2021-05-10,兴业证券罕见跌停！买券商股果然难赚钱，3天蒸发3000亿，国家队走人,时代财经
1098,2021-05-10,A股资金流向（5月10日）：有色龙头再获资金加仓，白酒龙头遭抛售,Wind
1099,2021-05-10,兴业证券(601377.SH)完成兑付2021年度第二期短期融资券本息,智通财经
1100,2021-05-10,兴业证券闪崩跌停：怎么回事？公司回应来了 连续下跌,21世纪经济报道
1101,2021-05-10,非银金融行业周报：券商估值见底 看好财富管理方向和龙头标的,新浪
1102,2021-05-10,【中信建投非银周报】一季报业绩收官，非银板块估值磨底待修复,中信建投非银金融研究
1103,2021-05-10,兴业证券股价闪崩跌停，公司回应一切正常 连续下跌,21世纪经济报道
1104,2021-05-10,通胀无牛市？这份通胀预期下的投资指南请查收,Wind
1105,2021-05-10,兴业证券跌停券商继续走弱，券商ETF（512000）溢价高企净申购超2亿元 交易价格异常,资本邦
1106,2021-05-10,快讯：券商股午后持续走弱 兴业证券此前跌停、锦龙股份跌逾6% 连续下跌,新浪
1107,2021-05-10,【行情】证券板块持续走弱，兴业证券此前跌停，锦龙股份跌超6%，湘财股份、中金公司、浙商证券跟跌 连续下跌,金十数据
1108,2021-05-10,怎么回事？美国宣布进入紧急状态！A股周期股大爆发,Wind
1109,2021-05-10,解盘：百亿资金流入，顺周期、数字货币、医美、疫苗走强,Wind
1110,2021-05-10,A股午盘综述：上证指数涨0.06%，再现“煤飞色舞”,Wind
1111,2021-05-10,券商股走弱兴业证券(601377.SH)跌停,格隆汇
1112,2021-05-10,看多“红五月”！券商认为三大主线收益或更高,Wind
1113,2021-05-10,券商股开盘走弱兴业证券跌停,第一财经
1114,2021-05-10,【十大券商一周策略】当下是周期股最佳布局窗口,Wind
1115,2021-05-10,开源晨会0510丨周期仍是最佳布局窗口；制造业核心三问；消费的弹性,开源证券研究所
1116,2021-05-09,【中信建投 非银&金融科技】各项业务全面开花，头部券商优势尽显——证券业2021年一季报综述,中信建投非银金融研究
1117,2021-05-09,券商业绩大分化！自营业务拉开业绩差距,Wind
1118,2021-05-08,福建区域股市周报：21家机构调研海欣食品1亿融资买入永辉超市,每日经济新闻
1119,2021-05-08,【山证非银】行业周报（20210426-20210430）：自营业务影响，一季度业绩分化,山西证券研究所
1120,2021-05-08,数钱数到手抽筋：券商“卖产品”卖出7万亿大市场！“财富管理转型”之路由此开启？,每经头条
1121,2021-05-07,兴业证券：所属子公司涉及一起合同纠纷案件已受理 关联方问题,Wind
1122,2021-05-07,券商行业周报：一季报业绩显着提升 头部券商表现亮眼,新浪
1123,2021-05-07,"40家上市券商首季大赚422亿元,同比增27.26%",证券日报
1124,2021-05-07,自营业务不给力 15家上市券商净利同比下滑 盈利能力下降,证券日报
1125,2021-05-06,【天风非银】2020年上市券商年报综述：大资管+大财富快速发展，头部效应显着,新锐视角看金融
1126,2021-05-06,证券行业周报：自营业务影响 一季度业绩分化,新浪
1127,2021-05-06,北向资金午后加速离场，中国平安遭大幅抛售超15亿元,Wind
1128,2021-05-06,最全！40家上市券商2020年业绩大起底：中信、国君、海通等5家净利超百亿；兴业证券增速最惊艳！,每日经济新闻
1129,2021-05-06,快讯｜40家上市券商2020年业绩10大特征现身：5家净利超百亿；兴业证券增速最突出！,每日经济新闻
1130,2021-05-06,4月金股组合盈利5.26% 5月荐股名单出炉,新浪
1131,2021-05-06,A股午盘综述：创业板指跌3.21%，疫苗概念深度回调,Wind
1132,2021-05-06,【十大券商一周策略】5月是布局下半年行情最佳窗口,Wind
1133,2021-05-06,陆家嘴财经早餐2021年5月6日星期四,Wind
1134,2021-05-06,通胀成投资关键词，机构指点A股5月布局方向,Wind
1135,2021-05-05,【国君非银】业绩分化加剧，客需和财富管理是亮点——券商行业2021年一季报业绩综述,欣琦看金融
1136,2021-05-05,节后开市必看！六大券商研判A股，“红五月”在路上？,Wind
1137,2021-05-05,"40家上市券商一季度业绩大比拼：中信、国泰君安、海通净利居前三，第一创业、太平洋暴降9成！投资业务为利润最大变量！
盈利能力下降",每日经济新闻
1138,2021-05-05,全球周期闻风起舞 商品、股市已先行,Wind
1139,2021-05-05,兴·福建 | 兴业证券举集团之力 ，服务福建省机构客户高质量发展,兴业证券订阅号
1140,2021-05-04,“牛市旗手”利好来了！4月IPO保荐收入环比增长超3成：中信建投承销5家领跑，长江、民生“弯道超车”！,每经牛眼
1141,2021-05-03,国泰君安金融科技变身！2021年要大规模切换自研系统,21世纪经济报道
1142,2021-05-02,新刊丨打造“五位一体”大机构服务体系 构建超融合服务业态,兴业证券订阅号
1143,2021-05-01,兴业证券研究 ? 一周精粹(04.26-04.30),兴证研究
1144,2021-05-01,一季度头部券商也分化：国君净利大增142% 中信建投却下滑12%,新浪
1145,2021-04-30,兴业证券：所属子公司兴证国际证券有限公司与杨凯涉及合同纠纷 诉讼纠纷,Wind
1146,2021-04-30,兴业证券：所属子公司兴证国际证券与富贵鸟涉及合同纠纷 诉讼纠纷,Wind
1147,2021-04-30,兴业证券承销发行交易所首只“双碳中和ABS”,兴业证券订阅号
1148,2021-04-30,收入创十年新高！投行盛宴之下：人才换血，内卷加剧,Wind
1149,2021-04-30,赚翻了！券商一季报出炉，“一哥”狂赚51亿,Wind
1150,2021-04-30,兴业证券：财富管理的“人海战”突围,21世纪经济报道
1151,2021-04-30,华西证券：兴业证券基金管理与自营贡献最大增量，业绩暴增341%,Wind
1152,2021-04-30,兴证资管受托管理资产规模、净利双双下滑人事动荡高管频繁调整资管大集合产品改造难题待解 盈利能力下降,和讯
1153,2021-04-30,兴业证券股份有限公司2021第一季度报告,证券时报
1154,2021-04-30,“牛市旗手”券商股节前持续上攻，板块被低估还是市场信号？,和讯
1155,2021-04-30,仍处高增长！上市券商首季业绩排名出炉，中信国君海通营收超百亿，东财净利位居第九，各业务排名有看点,证券之星
1156,2021-04-30,兴业证券：经纪业务大增是一季度业绩靓丽的重要原因|公司问答,第一财经
1157,2021-04-30,兴业证券涨1.19%，成交额1.3亿元,中新经纬
1158,2021-04-30,证券行业一季度马太效应加剧 三券商单季营收超百亿元,中证网
1159,2021-04-30,兴业证券：2021年第一季度净利润约11.95亿元，同比增加340.56%,每日经济新闻
1160,2021-04-29,“牛市旗手”反攻，抄底的机会来了？这些股上涨空间大,第一财经
1161,2021-04-29,兴业证券一季度净利润11.95亿元，同比增341%,上证报
1162,2021-04-29,牛市旗手彻底爆发！啥情况？3家券商首季营收超百亿,Wind
1163,2021-04-29,兴业证券与新疆农信社签署战略合作协议,兴业证券订阅号
1164,2021-04-29,兴业证券：一季度净利润同比增长340.56%,Wind
1165,2021-04-29,兴业证券2021第一季度净利润15.64亿元 同比增长494%,中证网
1166,2021-04-29,兴业证券：一季度净利11.95亿元 同比增341%,e公司
1167,2021-04-29,头部券商一季报密集披露后股价集体反攻 分析师称估值触底或是左侧布局良机,经济观察网
1168,2021-04-29,日评:节前最后一天操作策略（4.30）,新浪
1169,2021-04-29,兴业证券涨5.1%报9.27元 成交额16.45亿元,中新经纬
1170,2021-04-29,A股收盘综述：上证指数涨0.52%，医美题材炙手可热,Wind
1171,2021-04-29,"券商股迎""业绩涨"" 头部券商领衔爆发 总市值座次重排",财联社
1172,2021-04-29,刚被机构大幅减仓，这个板块突然反转！,Wind
1173,2021-04-29,券商股突然爆发，白酒大跳水！八连板妖股来了,Wind
1174,2021-04-29,券商板块领涨市场，证券ETF涨超2%,Wind
1175,2021-04-29,解盘：资金持续流入，证券、半导体、智能音箱领涨,Wind
1176,2021-04-29,A股午盘综述：上证指数涨0.17%，金融股罕见发力,Wind
1177,2021-04-29,【行情】券商板块大涨，南京证券封板，国泰君安涨超9%，湘财股份、兴业证券、海通证券、中信证券等纷纷大幅走高,金十数据
1178,2021-04-29,早评：沪指高开0.03% 农业相关板块走强,网易
1179,2021-04-29,券业科技投入大比拼！华泰18亿居榜首，招商大增52%,Wind
1180,2021-04-28,双兴金象杯私募大赛增设股票期权赛中赛 五月正式开赛,兴业证券订阅号
1181,2021-04-28,港股异动 | 保利物业(06049)涨超8%领涨物管股 兴业证券称物管龙头企业将继续享有估值溢价,智通财经
1182,2021-04-28,券商2020年报释放强烈信号：经纪业务、投行全面内卷化生存,Wind
1183,2021-04-28,商赢环球股份有限公司独立董事 关于公司2020年度与持续经营相关的 重大不确定性及强调事项段的保留意见的审计报告的独立意见,证券日报
1184,2021-04-27,非银金融行业周报：券商推进财富管理转型 估值静待改善,新浪
1185,2021-04-27,上周融资客加仓逾70亿元，医药和有色股受青睐,Wind
1186,2021-04-26,兴业证券首次覆盖36氪 企服、短视频业务成关注点,证券之星
1187,2021-04-26,兴业证券保荐与主承销的华利集团在深交所创业板成功上市,兴业证券订阅号
1188,2021-04-26,北向资金今日净买入32亿，隆基股份净买入额创逾一个月新高,Wind
1189,2021-04-26,华利集团上市首日涨201% IPO募39亿兴业证券赚1.8亿,中国经济网
1190,2021-04-26,A股收盘综述：三大股指冲高回落，券商股午后跳水,Wind
1191,2021-04-26,粤开证券：证券行业业绩连续增长，未来板块β行情值得关注,Wind
1192,2021-04-26,【A股午盘综述】上证指数涨0.19%，创业板指涨近1%,Wind
1193,2021-04-26,十大券商策略：反弹正是调仓机会！增配4条新主线,Wind
1194,2021-04-26,年报、一季报利好将出尽，资金杀向哪些领域？,Wind
1195,2021-04-25,板块拾金丨市场复苏叠加“五一”黄金周，旅游、酒店、免税、餐饮谁将抓住这波红利？,第一财经
1196,2021-04-25,惊呆！大牛市，这家券商净资产收益率居然不到1%，连续三年！,证券之星
1197,2021-04-24,兴业证券研究 ? 一周精粹(04.19-04.23),兴证研究
1198,2021-04-24,财富管理转型崭露头角！兴业证券：行业尚有四大痛点待突破,中国证券网
1199,2021-04-24,私募托管暗战：招商证券成就多年霸主，与国君中信前三牢牢不破，华泰兴业后来者居上，国信甩出前五,财联社
