,2021-12-31,药明康德：施明女士晋升为首席财务官,Wind
1365,2021-07-16,恒指开盘下跌0.08% 药明康德高开近7%,新浪
1366,2021-07-16,药明康德高开逾2%，上半年净利同比预增53%-55%,Wind
1367,2021-07-16,港股开盘(7.16)︱恒指跌0.08% 药明康德(02359)高开近7% 预计上半年归母净利同比增长53%到55%,智通财经
1368,2021-07-16,药明康德AH股均创历史新高 上半年净利预增53%-55%,格隆汇
1369,2021-07-16,21健讯Daily｜11省份试点推动公立医院高质量发展；复星医药获治疗新冠药物商业化权益；Moderna市值首破千亿美元,21世纪经济报道
1370,2021-07-16,国信证券维持药明康德买入评级：与创新者同行，伴新药共成长,每日经济新闻
1371,2021-07-16,药明康德净利润预增五成 两大核心业务仍被看好,电鳗快报
1372,2021-07-16,港股公告精选｜药明康德：预计上半年净利同比增长53％-55％,腾讯网
1373,2021-07-16,港股公告精选：中国电信预计上半年归母净利同比增长约26%-28%,Wind
1374,2021-07-16,【中证盘前】碳排放权交易今日开市！深圳赛格大厦将拆除桅杆；药明康德上半年净利增逾五成；江西铜业拟128亿投建三大项目,中证报
1375,2021-07-16,速递 | 增强NK细胞抗癌效力和持久性，新锐完成1.72亿美元B轮融资,药明康德
1376,2021-07-16,速递 | 开发新一代RNA疗法，新锐完成1.12亿美元B轮融资,药明康德
1377,2021-07-15,CRO龙头药明康德业绩超预期 二季度扣非净利润超12亿元,e公司
1378,2021-07-15,盘后公告集锦|药明康德：预计上半年净利润同比增长53%-55%,财联社
1379,2021-07-15,【华西医药崔文亮团队】?《药明康德点评报告：业绩延续高速增长，CDMO业务和临床CRO业务贡献业绩弹性》,崔文亮研究团队
1380,2021-07-15,福布斯中国发布最佳CEO榜单 药明康德等10家药企上榜,贝壳财经
1381,2021-07-15,晚间重要公告2021年7月15日星期四,Wind
1382,2021-07-15,公告精选：药明康德上半年净利同比预增逾五成；江西铜业拟128亿元投建锂电铜箔等项目,e公司
1383,2021-07-15,黄金赛道CXO：超级牛股集中地，前景依然是星辰大海？,财华社
1384,2021-07-15,【港股通】药明康德(02359)预计上半年净利同比增53%到55%,和讯
1385,2021-07-15,药明康德上半年业绩预增53%到55%,上证报
1386,2021-07-15,「医药速读社」首个国产英夫利西单抗获批 哈三联副总经理辞职 董监高成员变化,新浪
1387,2021-07-15,速读社丨礼来10亿美元收购胰岛素公司Protomer 首个国产英夫利西单抗获批上市,新浪医药
1388,2021-07-15,晚间公告｜7月15日这些公告有看头,第一财经
1389,2021-07-15,7月15日中远海控、药明康德等12家公司公告出现利好,证券之星
1390,2021-07-15,福布斯中国最佳CEO榜单：医药健康行业占比最高 去年第一跌出,新浪
1391,2021-07-15,大幅净卖出后124亿外资重新杀回A股，金融、白酒等大蓝筹获抢筹,Wind
1392,2021-07-15,药明康德：预计上半年实现净利9.44亿元 同比增长53%-55%,新浪
1393,2021-07-15,速递 | 根据血糖水平自动激活，礼来囊获“智能”胰岛素疗法,药明康德
1394,2021-07-15,速递 | 靶向新型PARP蛋白，新锐完成6500万美元融资,药明康德
1395,2021-07-15,药明康德：上半年净利同比预增53%-55%,e公司
1396,2021-07-15,药明康德(603259.SH)半年度净利润预增53%到55%,格隆汇
1397,2021-07-15,药明康德：预计上半年净利润同比增长53%到55%,Wind
1398,2021-07-15,医药生物行业：政策频出 建议关注相关细分行业,新浪
1399,2021-07-15,【2359】药明康德料上半年净利润增长逾53%|头条金融网,头条日报
1400,2021-07-15,每日理财观察：央行全面降准今日落地,Wind
1401,2021-07-15,北向资金动向盘点：百亿净卖，“金融、新能源”占一半,Wind
1402,2021-07-14,医药生物板块逆势大涨，这一细分领域翻倍股扎堆,Wind
1403,2021-07-14,速读社丨AZ/FibroGen肾性贫血药物因安全性再遭FDA质疑 梯瓦MS重磅药在中国申报上市,新浪医药
1404,2021-07-14,北向资金 | 合计净流出108.06亿元，宁德时代、比亚迪、恩捷股份、药明康德净卖出居前,上游新闻
1405,2021-07-14,A股资金流向（7月14日）：新能源产业链集体退潮,Wind
1406,2021-07-14,医药生物行业周报：医药板块估值已具备吸引力 建议长期配置优质赛道,新浪
1407,2021-07-14,医药生物行业周报：短期受政策扰动 关注中报高成长个股,新浪
1408,2021-07-14,港股医药股持续发力，药明生物大涨逾8%,Wind
1409,2021-07-14,CXO板块逆势走强，康龙化成涨超5%再创新高,Wind
1410,2021-07-14,北向资金动向盘点：连续净买入“通信”,Wind
1411,2021-07-14,北向资金抛售医药白酒，大幅卖出比亚迪（附股）,21世纪经济报道
1412,2021-07-14,后疫情时代，关注科技成长板块投资机会,国泰君安
1413,2021-07-14,速递 | 治疗NASH，创新药物达到2a期试验所有主要终点,药明康德
1414,2021-07-14,明日下午3点！生物药研发——生物分析关键试剂的应用,药明康德
1415,2021-07-14,速递 | 诺诚健华与渤健达成BTK抑制剂合作协议，首付款超1亿美元,药明康德
1416,2021-07-14,速递 | 靶向高达30种“肿瘤新抗原”，创新T细胞疗法迈出关键一步,药明康德
1417,2021-07-14,领跌CRO淘金赛道：泰格医药转型“投资家”AB面 非经常性损益突出,21世纪经济报道
1418,2021-07-14,创业板指盘中超越上证综指，数字表象下的投资逻辑之变？,Wind
1419,2021-07-14,摩根士丹利证券（中国）来了！外资控股券商再进一步,Wind
1420,2021-07-13,"药明康德是如何""逆袭""的？",新浪
1421,2021-07-13,睿智医药乱象丛生 盈利能力低下 增速远逊同行,新浪
1422,2021-07-13,21硬核投研丨 CRO淘金赛道“领跌者” ，泰格医药转型“投资家”AB面,21世纪经济报道
1423,2021-07-13,2021年医药生物中期策略报告：需求长期景气 布局创新、医疗服务和消费主线,新浪
1424,2021-07-13,豪掷98亿！泰格医药大手笔设产业基金,和讯
1425,2021-07-13,视点 | 人类基因组编辑要如何监管？世卫组织今日发布最新推荐,药明康德
1426,2021-07-13,速递 | CRISPR基因编辑敲除PD-1，“改良版”即用型CAR-T疗法进入临床试验,药明康德
1427,2021-07-13,速递 | 降低疾病进展风险37%，杨森CD38抗体组合获批二线治疗多发性骨髓瘤,药明康德
1428,2021-07-13,药明康德：因零息可转换债券获转换，发行139.88万股,Wind
1429,2021-07-13,因零息可转换债券获转换 药明康德(02359)发行139.88万股,智通财经
1430,2021-07-13,药明康德：因期权获行使，发行13.405万股A股,Wind
1431,2021-07-13,因期权获行使 药明康德(02359)发行13.405万股A股,智通财经
1432,2021-07-12,医药行业一周观察：板块大幅调整 如何看待创新药和CXO的未来,新浪
1433,2021-07-12,A股收盘综述：题材股多点开花，市场释放出近一年来最强量能,Wind
1434,2021-07-12,CRO概念持续回暖，机构：新政释放资源，利好行业长期发展,第一财经
1435,2021-07-12,医药行业周报：CDE发布临床研发指导原则 加速创新药及CXO行业结构化进程,新浪
1436,2021-07-12,公司研究：「凯莱英（002821）」高瓴豪掷10亿CDMO,36氪
1437,2021-07-12,医药生物行业：十四五开启血制品新成长周期 重点推荐天坛生物、博雅生物等,新浪
1438,2021-07-12,CXO板块大幅攀升，康龙化成直线拉升逾5%,Wind
1439,2021-07-11,如今再买药明康德(02359)，挣的是业绩持续高增长的钱,智通财经
1440,2021-07-11,森瑞投资董事长林存：有几家CXO公司表现出世界级企业苗头,红周刊
1441,2021-07-11,CXO行业之争！估值已高于正常区间，还是会诞生第一市值医药股？,红周刊
1442,2021-07-10,超级赛道！两年五倍大牛股！现在还能买入吗？,瞪羚社
1443,2021-07-10,北向资金本周加仓超83亿元：青睐有色金属，减持房地产等行业,21世纪经济报道
1444,2021-07-10,同质化创新受打击，药明康德震荡，贝达药业跌跌不休「基因测序周评榜」,华夏时报
1445,2021-07-10,速递 | 新冠疫苗还要打第三针？辉瑞/BioNTech拟递交监管申请,药明康德
1446,2021-07-10,速递 | “规模前所未有”！三大药企建立外显子组公开数据库,药明康德
1447,2021-07-10,A股结构性机会犹存，“聪明钱”涌入高景气赛道,Wind
1448,2021-07-09,速读社丨FDA缩小AD新药Aduhelm适应症标签 信达首款小分子抗癌新药申报上市,新浪医药
1449,2021-07-09,“龙头躺赢”策略失效，下半年有哪些投资机会？高云程、林鹏等这样看,Wind
1450,2021-07-09,抗肿瘤药物新规重挫“伪创新”,奥一网
1451,2021-07-09,速递 | 双特异性抗体+新型干细胞移植，杨森合作开发血液癌症组合疗法,药明康德
1452,2021-07-09,速递 | 利用类器官指导精准疗法开发，新锐完成7000万美元A轮融资,药明康德
1453,2021-07-09,首批基金二季报披露，看好经济延续稳定恢复态势,Wind
1454,2021-07-08,中国CRO沉浮：一场挫败、崛起、狂欢的盛宴,新浪
1455,2021-07-08,「医药速读社」零氪科技搁置赴美上市 百奥泰TIGIT单抗获批临床 IPO融资异常,新浪
1456,2021-07-08,【国金医药】CDE新政加速医药创新迭代，看好头部药企、Biotech和CXO公司,医药研选
1457,2021-07-08,【行情】港股医药外包概念股继续走低，泰格医药跌近8%，昭衍新药跌7.3%，康龙化成跌6.68%，药明生物跌3.94%，药明康德跌3.3%，金斯瑞生物跌2.35%,金十数据
1458,2021-07-08,A股收盘综述：科创50逆势大涨2.6%，成长股持续压制价值股,Wind
1459,2021-07-08,中国CRO沉浮：一场挫败、崛起、狂欢的盛宴,证券之星
1460,2021-07-08,A股融资融券日报：两融余额增加101.08亿元（7月7日）,Wind
1461,2021-07-08,医药创新长期高景气，看多龙头公司,金融界
1462,2021-07-08,每日理财观察：国常会重磅定调，超预期提降准,Wind
1463,2021-07-08,恒生科技指数六连跌 医药股迎来反弹 连续下跌,经济参考报
1464,2021-07-08,北上资金7月7日净买入43.73亿元，宁德时代（300750.SZ）成交额居首,智通财经
1465,2021-07-08,港股盘前必读：中芯国际表示目前公司集成电路芯片制造供不应求,Wind
1466,2021-07-08,速递 | IL-12基因疗法与Keytruda联用治疗黑色素瘤，3期临床试验即将展开,药明康德
1467,2021-07-08,速递 | 挽救严重COVID-19患者生命，世卫组织建议使用IL-6受体抑制剂,药明康德
1468,2021-07-08,前沿 | 增强癌症免疫疗法效果，激活p53有望将“冷”肿瘤变为“热”肿瘤,药明康德
1469,2021-07-08,速递 | 新型“人造皮肤”3期临床结果发表，96%烧伤部位不再需要自体移植,药明康德
1470,2021-07-08,一种无药可治的怪病，以及一场寻求治愈的冒险,药明康德
1471,2021-07-08,速递 | Moderna首款4价季节性流感mRNA疫苗启动临床试验，已完成首批接种,药明康德
1472,2021-07-08,好书推荐 |《药物设计：方法、概念和作用模式》,药渡
1473,2021-07-08,力度不断加大，超40家公司因股东违规减持被监管 减持股份,Wind
1474,2021-07-08,创业板指强劲反弹超百点，锂电池板块再掀涨停潮,Wind
1475,2021-07-08,无锡药明康德新药开发股份有限公司 关于2019年限制性股票与股票期权激励计划首次授予股票期权 第一个行权期限制行权期间的提示性公告,证券时报
1476,2021-07-07,药明康德(02359)2019年限制性股票与股票期权激励计划首次授予股票期权于7月13日-8月12日限制行权,智通财经
1477,2021-07-07,药监局新政重挫“伪创新” CXO、生物制药板块三日杀跌,财经网
1478,2021-07-07,药监局新政重挫“伪创新”，CXO、生物制药板块三日杀跌,财经杂志
1479,2021-07-07,沪股通连续4日净卖出药明康德累计净卖出8.87亿元,证券时报网
1480,2021-07-07,2020年业绩快报显示，2020年全年净亏损4.07亿元，上年同期亏损1.57亿元。 亏损,制药网
1481,2021-07-07,宁德时代“yyds”，A股市值超招行！滴滴小程序下架，阿里腾讯被罚,Wind
1482,2021-07-07,还有谁！超越中国平安、五粮液，市值逼近招商银行！这家万亿巨头再创历史新高，难道就没有天花板吗？,雪球
1483,2021-07-07,恒指收跌0.4%录得七连跌：科技重拾跌势，医药强势反弹,Wind
1484,2021-07-07,医药：CDE临床研发指导原则驱动新药研发规范化发展,新浪
1485,2021-07-07,A股收盘综述：创业板指涨3.57%强势反包，新能源产业链再度狂欢,Wind
1486,2021-07-07,抗肿瘤药物遭遇政策黑天鹅 医药股地震上演“过山车”行情 自然灾害,财华社
1487,2021-07-07,抗肿瘤药物遭遇政策黑天鹅医药股地震上演“过山车”行情 自然灾害,财华社
1488,2021-07-07,陆股通月报第21期：北上流入降速 继续增配成长,新浪
1489,2021-07-07,香港恒指午间收盘跌0.74%，药明康德涨近5%,36氪
1490,2021-07-07,药明康德：股价波动更多还是受市场情绪影响 |公司问答,第一财经
1491,2021-07-07,A股午盘综述：医药、白酒携手反弹，锂电产业链强者恒强,Wind
1492,2021-07-07,快讯：医药股盘中大幅回暖 迈瑞医疗、药明康德涨逾5%,新浪
1493,2021-07-07,药明康德大涨,新浪
1494,2021-07-07,17只千亿市值医药股，3只暴涨超1000亿,制药网
1495,2021-07-07,医药龙头全线反弹，迈瑞医疗、凯莱英涨近6%,Wind
1496,2021-07-07,CDE新政引发CRO公司暴跌？真实内因或许是...,环球老虎财经
1497,2021-07-07,药明康德等14股获融资净买入超亿元,证券时报网
1498,2021-07-07,A股融资融券日报：两融余额减少3.13亿元（7月6日）,Wind
1499,2021-07-07,药监局新政重挫“伪创新”，CXO、生物制药板块三日杀跌,钛媒体
1500,2021-07-07,医药外包概念股集体重挫 创新药马太效应料加剧,经济参考报
1501,2021-07-07,医药行业周报：《2021年国家医保药品目录调整工作方案》出炉 重点关注创新药投资机会,新浪
1502,2021-07-07,速递 | RNAi联合免疫疗法，乙肝创新组合疗法即将启动2期临床试验,药明康德
1503,2021-07-07,明日下午3点！新型抗体类药物临床前生物分析，LBA和LCMS平台如何取长补短,药明康德
1504,2021-07-07,速递 | 靶向诺奖信号通路，RNAi抗癌疗法早期临床结果积极,药明康德
1505,2021-07-07,首次覆盖两大心衰类型，SGLT2抑制剂再获突破,药明康德
1506,2021-07-07,速递 | 抗衰老疗法治疗眼科疾病，初步临床结果显示患者视力改善,药明康德
1507,2021-07-07,速递 | 治疗第二常见皮肤癌，Keytruda再度扩展适应症,药明康德
1508,2021-07-07,380只医药股市值排行榜 药明康德、片仔癀暴涨千亿,米内网
1509,2021-07-06,外资流入A股系列27：电子、计算机位列6月陆股通净流入前二,新浪
1510,2021-07-06,医药行业：创新药和CXO行业加速结构化进程,西南证券
1511,2021-07-06,医药股集体暴跌原因找到了！,Wind
1512,2021-07-06,抗癌药新规打击“伪创新”，医药板块连日暴跌,健识局
1513,2021-07-06,药明康德：因可转债获转换发行152.92万股H股,Wind
1514,2021-07-06,7月大消费组电话会议行业观点,新浪
1515,2021-07-06,沪股通连续3日净卖出药明康德累计净卖出8.01亿元,证券时报网
1516,2021-07-06,【中泰国际】医药：政府建议提升创新药研发要求，支持创新药逻辑未变,Wind
1517,2021-07-06,CRO概念股领跌两市致医药基金净值大幅回撤，工银瑞信赵蓓首当其冲,环球老虎财经
1518,2021-07-06,北向资金今日小幅净卖出0.6亿元，士兰微、中国中免、比亚迪等净卖出超3亿元,Wind
1519,2021-07-06,滴滴股价跌30%，蒸发1400亿！医药股集体崩跌，真相找到了,Wind
1520,2021-07-06,A股收盘综述：上证指数探底回弹小幅录跌，CRO指数再挫7%,Wind
1521,2021-07-06,突遭洗仓：CDE新政吓退所有医药股？这些股票被机构推荐,新浪
1522,2021-07-06,医药股集体崩了！这指数跌近9%，5000亿白马闪崩近14%,Wind
1523,2021-07-06,刚刚！医药股集体重挫，CRO指数暴跌9%，多只千亿白马“卧倒”…发生了什么？ 连续下跌,证券时报
1524,2021-07-06,A股午盘综述：上证指数跌0.53%，医药板块大调整、CRO指数下挫近9%,Wind
1525,2021-07-06,CRO指数跌近7%，泰格医药、美迪西下挫逾10%,Wind
1526,2021-07-06,港股CRO概念股持续走弱,Wind
1527,2021-07-06,泰格医药再度大跌超6%，药明康德、复星医药、微芯生物等纷纷下滑,Wind
1528,2021-07-06,医药行业周报：医疗卫生服务体系建设方案出台 把握相关投资机会,新浪
1529,2021-07-05,监管加码：A股大牛赛道突发黑天鹅 药明康德等明星股连跌 连续下跌,新浪
1530,2021-07-05,同写意丨药明直播间—生物分析系列(八)：LBA和LCMS双平台联动，助力新型抗体类药物临床前生物分析,同写意
1531,2021-07-05,CDE新政引CRO跳水？业内解读：创新药迎春天行业持续向好,财联社
1532,2021-07-05,医药行业周报：2021年上半年白蛋白批签发同比下降28% 供需缺口持续扩大,新浪
1533,2021-07-05,【安信策略】外资仍在增配科技成长——流动性周观察7月第1周,新浪
1534,2021-07-05,药明康德现1笔大宗交易 共成交426.25万元,新浪
1535,2021-07-05,药明康德今日大宗交易成交2.77万股，成交价153.88元溢价0.0%,Wind
1536,2021-07-05,医药生物行业周报：全方位盘点上半年医药行业、细分领域、个股风云变幻,新浪
1537,2021-07-05,医疗健康行业动态：系统性调整不改长期向好趋势,新浪
1538,2021-07-05,医药行业每周医览药闻：关注结构性机会 把握高确定性,新浪
1539,2021-07-05,医药行业周报：本周中药板块爆发 关注ME-TOO抗癌药临床政策缩紧,新浪
1540,2021-07-05,药明持股超10%，这家潜力Biotech在纳斯达克上市,药融圈
1541,2021-07-04,CXO股价调整后是否再次上车机会？持续重点推荐药明康德、凯莱英等,国广有话说
1542,2021-07-04,杠杆资金爆买1400亿：“最爱”医药 重仓布局了这些股,新浪
1543,2021-07-03,医药生物行业周报：中药板块涨势亮眼 医保目录调整方案正式落地,新浪
1544,2021-07-03,速递 | 23亿美元助力开发神经退行性疾病创新疗法，葛兰素史克达成合作,药明康德
1545,2021-07-03,速递 | 有机砷抗癌疗法在日本提交新药申请，治疗淋巴瘤,药明康德
1546,2021-07-02,7 月金股出炉 ，遭北上资金抛售 21 亿的宁德时代仍获 9 家券商“抱团”推荐,ZAKER
1547,2021-07-02,2021年二季度A股上市公司舆情榜,大众证券报
1548,2021-07-02,半年度排名出炉 百亿基金集体折戟 谁是最强黑马？| 檀谈,新浪
1549,2021-07-02,2021年6月陆股通持股分析：北上资金的半年回顾与展望,新浪
1550,2021-07-02,【港股通】药明康德(02359)奖励31人约13.47万股H股 共计2478万港元,和讯
1551,2021-07-02,药明康德(02359)根据H股奖励信托计划合计授出约13.465万股H股,智通财经
1552,2021-07-02,「医药速读社」医用设备审批大放开 绿叶制药拟分拆并独立上市,新浪
1553,2021-07-02,违规减持频现，操作人员失误还是股东授意？知情人士：都是按指令操作 其他违规处罚,时代在线
1554,2021-07-02,超86亿外资今日撤离A股，白酒、医药、银行股集体遭抛售,Wind
1555,2021-07-02,【招商策略】北上资金的半年回顾与展望——2021年6月陆股通持股分析,招商策略研究
1556,2021-07-02,招商策略：上半年北上资金累计净流入逾2236亿 刷新近5年的同期记录,招商策略研究
1557,2021-07-02,抗癌龙头药明巨诺遭二三股东轮番减持 股价暴跌下高瓴已浮亏 减持股份,新浪
1558,2021-07-02,小分子“王者”凯莱英再冲港股，重仓大分子业务，要跟药明生物抢地盘,经济观察报
1559,2021-07-02,引进2个痛风新药项目 通化东宝与药明康德达成合作,Insight数据库
1560,2021-07-02,药明康德领衔，这个医药细分会成为十年十倍的机会么？,中财网
1561,2021-07-02,六大券商下周看好的六大板块,证券之星
1562,2021-07-02,药明康德开涨2.59%创历史新高 获摩根大通增持327.9931万股,新浪
1563,2021-07-02,A股创新高刺激药明康德H股高开2.59%创历史新高,格隆汇
1564,2021-07-02,恒瑞医药SHR1459获批临床；药明康德与通化东宝签署2亿元项目技术转让协议,GBIHealth
1565,2021-07-02,速递 | 强强联手开发碱基编辑疗法，治疗补体介导疾病,药明康德
1566,2021-07-01,药明康德(02359)附属拟3000万美元认购私募基金,智通财经
1567,2021-07-01,“卖水”真香？越过老牌“一哥”恒瑞，药明康德股价、市值创下新高,ZAKER
1568,2021-07-01,倒计时9天！定了！第三届全球生物医药前沿技术大会日程全新公布,同写意
1569,2021-07-01,药明康德(603259.SH)以3000万美元认购私募基金C-Bridge 份额,智通财经
1570,2021-07-01,医药与健康护理行业月报：国内疫苗接种量高速增长 关注新冠疫苗出海机会,新浪
1571,2021-07-01,6月维权月报：中信国安连续7年财务造假 ST大洲、抚顺特钢投资者确定胜诉 欺诈造假,腾讯网
1572,2021-07-01,医药生物行业月报：关注中报预期的投资机会,新浪
1573,2021-07-01,比创新药更具确定性的赛道，CXO行业成医药基金宠儿，五千亿大白马市值再创新高,财联社
1574,2021-07-01,A股收盘综述：沪指微幅收跌，权重股大象起舞,Wind
1575,2021-07-01,AH异动丨药明康德A股拉升超7%创历史新高，市值超4900亿元,金融界
1576,2021-07-01,药明康德A股涨超7% 股价创历史新高,新浪
1577,2021-07-01,药明康德(603259.SH)创历史新高,格隆汇
1578,2021-07-01,A股午盘综述：两市股指小幅下跌，中药板块掀涨停潮,Wind
1579,2021-07-01,北海康成赴港上市：专注罕见病新药研发，药明康德、启明创投为投资方,36氪
1580,2021-07-01,速递 | 快速降低患者体内新冠病毒水平，创新口服疗法2期临床结果积极,药明康德
1581,2021-06-30,通化东宝：与上海药明康德深化创新药项目合作 丰富内分泌领域研发管线,中证网
1582,2021-06-30,倒计时10天！内容再升级，第三届全球生物医药前沿技术大会日程全新公布,同写意
1583,2021-06-30,通化东宝(600867.SH)拟受让上海药明康德2项痛风治疗一类新药,智通财经
1584,2021-06-30,通化东宝：与上海药明康德签署创新药项目技术转让合同,财联社
1585,2021-06-30,国君策略七月金股组合：把握成长机遇,新浪
1586,2021-06-30,财联社6月30日讯，上半年，港股中国石油股份累计上涨65%，招商银行涨35%，药明康德涨44%，安踏体育涨49%，李宁涨77%%，碧桂园服务涨61%，中远海控涨110%。,财联社
1587,2021-06-30,业内：药明康德减持药明巨诺或与竞品定价不及预期有关 减持股份,第一财经
1588,2021-06-30,投资组合报告：2021年七月策略金股报告,新浪
1589,2021-06-30,基于透支久期与盈利增速视角的择股策略：核心资产分化下的投资机会挖掘,新浪
1590,2021-06-30,74只港股获南向资金大比例持有,证券之星
1591,2021-06-30,速递 | RNAi+创新抗病毒疗法，乙肝组合疗法有望下半年启动临床试验,药明康德
1592,2021-06-30,针对Delta等十多种突变病毒株，mRNA疫苗最新中和效力结果出炉,药明康德
1593,2021-06-30,速递 | 加速mRNA疫苗开发，赛诺菲计划4年内开发6款临床期候选产品,药明康德
1594,2021-06-30,药明康德出手：被曝减持兄弟公司配售2300万股 套现约6.7亿 减持股份,新浪
1595,2021-06-29,晚间要闻2021年6月29日星期二,Wind
1596,2021-06-29,药明康德(02359)因行使股票期权获发行19万股A股,智通财经
1597,2021-06-29,抗癌龙龙头突然大跌14%，两大传闻突袭！ 连续下跌,Wind
1598,2021-06-29,两大传闻突袭，抗癌龙头突然暴跌14%,Wind
1599,2021-06-29,恒指收跌0.94%，海底捞强势反弹涨近9%,Wind
1600,2021-06-29,医药生物行业2021年中期投资策略报告：拥抱新兴产业方向 把握价值低估标的,新浪
1601,2021-06-29,药明康德附属计划在美国建设含原料药与制剂生产基地,资本邦
1602,2021-06-29,药明巨诺跌近10% 或遭股东药明康德减持涉资约6.55亿港元 减持股份,新浪
1603,2021-06-29,药明巨诺跌幅扩大至10%，领跌港股通标的,Wind
1604,2021-06-29,【聪明钱】药明巨诺(02126)低开7.42% 传遭药明康德(02359)折价减持2300万股 减持股份,和讯
1605,2021-06-29,药明巨诺-B低开7.42% 或遭药明康德折价出售套现 减持股份,新浪
1606,2021-06-29,策略周报：七一百年大庆 关注中报增量,新浪
1607,2021-06-29,港股开盘(6.29)︱恒指涨0.08% 药明巨诺-B(02126)低开逾7% 药明康德将出售其2300万股股份 资产异常,智通财经
1608,2021-06-29,港股异动 | 药明巨诺-B(02126)低开逾7% 或遭股东药明康德减持涉资约6.55亿港元 减持股份,智通财经
1609,2021-06-29,药明巨诺-B(2126.HK)低开7.42% 或遭药明康德折价出售套现 减持股份,格隆汇
1610,2021-06-29,恒指高开0.08%，药明巨诺跌逾7%,Wind
1611,2021-06-29,CXO赛道未来可期，引药企加速融资扩大产能,制药网
1612,2021-06-29,药明康德大幅减持药明巨诺，或是为了旗下细胞基因治疗CDMO板块？| 见智研究所 减持股份,华尔街见闻
1613,2021-06-29,药明康德：子公司合全药业将在美国特拉华州建立生产基地,e公司
1614,2021-06-29,速递 | 显着改善帕金森病患者运动症状，创新疗法2期临床结果积极,药明康德
1615,2021-06-29,速递 | 二线治疗淋巴瘤，Kite公司CAR-T细胞疗法表现优于标准治疗,药明康德
1616,2021-06-29,合全药业宣布在美国特拉华州建立生产基地,药明康德
1617,2021-06-29,立足行业景气度，融资数据显趋势性投资特征,Wind
1618,2021-06-28,先于KKR、高瓴，打通42万家“门店”，百洋医药如何打造千亿生意,创业邦
1619,2021-06-28,医药与健康护理行业信息点评：体内CRISPR基因编辑首个临床试验公布,新浪
1620,2021-06-28,医药行业周报：第五批国家集采报价结束 看好不受集采影响的高壁垒创新和服务赛道,新浪
1621,2021-06-28,药明康德寻求出售2300万股药明巨诺股份,Wind
1622,2021-06-28,药明康德寻求出售2300万股药明巨诺股份 资产异常,财联社
1623,2021-06-28,新发现！Immunity揭示神药二甲双胍在新冠肺炎中的作用机制；罗氏诊断携手金橡医学，助力精准医疗的持续创新丨贝壳日报,贝壳社
1624,2021-06-28,通化东宝：目前申报的三靶点抑制剂产品已获临床试验批准书,Wind
1625,2021-06-28,明德生物：公司目前暂未与药明康德进行合作,Wind
1626,2021-06-28,医药市值一哥退居老三 恒瑞医药7个创新药获批上市,长江商报
1627,2021-06-28,恒瑞医药市值掉队年内蒸发1876亿 深陷“药品集采”困局欲借创新药突围 连续下跌,腾讯网
1628,2021-06-27,【开源医药】行业周报：关注集采下原料药企业的业绩增量和医疗服务投资价值,微信
1629,2021-06-27,兴业证券：医药板块业绩弹性逐步释放，关注半年报业绩高增长公司,智通财经
1630,2021-06-26,下周1008亿市值限售股解禁，环比增加17.31% 解禁,Wind
1631,2021-06-26,速递 | 治疗1型糖尿病，干细胞移植疗法获得突破,药明康德
1632,2021-06-25,药明康德(02359)调整2018年A股激励计划授予的限制性A股股票回购数量和回购价格,智通财经
1633,2021-06-25,药明康德：约826万股限售股解禁，占比0.28% 解禁,每日经济新闻
1634,2021-06-25,药明康德(603259.SH)826万股限制性股票将于7月1日上市流通,智通财经
1635,2021-06-25,药明康德(603259.SH)：826.004万股限制性股票将于7月1日上市流通,格隆汇
1636,2021-06-25,北向资金本周爆买A股超200亿，连续加码金融股,Wind
1637,2021-06-25,北上资金本周200亿扫货，顺周期王者归来，A股稳了？,Wind
1638,2021-06-25,医疗板块逆势拉升，国际医学、通策医疗涨超5%,Wind
1639,2021-06-25,南向资金高比例持有港股名单,证券之星
1640,2021-06-25,北向资金动向盘点：个股增减持“神经分裂”,Wind
1641,2021-06-25,光伏板块大爆发，北向资金大幅加仓光伏龙头，甩卖白酒股与医药股,21世纪经济报道
1642,2021-06-25,速递 | 百时美施贵宝布局阿尔茨海默病，合作开发创新Tau蛋白抗体,药明康德
1643,2021-06-25,速递 | 艾伯维收购BCMA双特异性抗体疗法，治疗多发性骨髓瘤,药明康德
1644,2021-06-25,继续针对β淀粉样蛋白，两款阿尔茨海默病疗法获突破性疗法认定,药明康德
1645,2021-06-25,速递 | KRAS抑制剂获FDA突破性疗法认定，再鼎拥有大中华区开发权益,药明康德
1646,2021-06-24,北向资金今日再度净买入30.97亿元，新能源概念股受资金抢筹,Wind
1647,2021-06-24,6月24日六家公司公告出现利好：药明康德参股纳微科技、复星医药产品获批,证券之星
1648,2021-06-24,医药行业2021年下半年投资策略：疫后重归长逻辑,新浪
1649,2021-06-24,【国金晨讯】CXO高景气，当下哪些公司值得重点关注？高景气度下铜产业格局变化及其投资机会,国金证券研究所
1650,2021-06-24,北向资金动向盘点：重手加仓“电子”,Wind
1651,2021-06-24,一日 10 倍股！N 纳微涨成科创板首日涨幅新王！财富盛宴后，暗藏“九死一生”的对赌协议,ZAKER
1652,2021-06-24,速递 | 蛋白降解疗法+ADC，新锐获8400万美元开发创新抗癌疗法,药明康德
1653,2021-06-24,速递 | 全球首批！“first-in-class”糖尿病口服疗法在日本获批,药明康德
1654,2021-06-24,纳微科技一日10倍背后 暗藏“九死一生”的对赌协议,财联社
