,2021-12-22,港股异动 | 中海油服(02883)早盘涨超5% 机构称国内加大能源安全保障利好海上油服等标的,智通财经
748,2021-02-09,化工行业成最大黑马！重仓基金年内涨幅超预期,中投网
749,2021-02-09,巨丰午评：大盘震荡上行 金融股内部分化,巨丰财经
750,2021-02-09,A股午盘综述：上证指数涨1.22%，创业板指涨1.58%重返3300点,Wind
751,2021-02-09,中海油服涨停，振幅9.42%,中新经纬
752,2021-02-09,开盘：恒指高开0.42% 快手高开1.98%将于2月22日收盘后纳入恒生科技指数,金融界
753,2021-02-09,重要通知！调仓方向！,搜狐
754,2021-02-09,15股获买入评级 最新:天合光能,中财网
755,2021-02-09,港股盘前必读：快手科技将于2月22日收市后纳入恒生综合指数等多个指数,Wind
756,2021-02-09,中海油服(601808)2021年战略指引点评：自升式平台使用率恢复 2021年钻井业务弹性大,新浪
757,2021-02-08,35股今日获机构买入评级,证券时报网
758,2021-02-08,强势股追踪主力资金连续5日净流入72股,证券时报网
759,2021-02-08,花旗：上调中海油服(2883.HK)目标价至12.6港元 评级“买入”,格隆汇
760,2021-02-08,国元证券维持中海油服买入评级：自升式平台使用率恢复，2021年钻井业务弹性大,每日经济新闻
761,2021-02-08,石油与天然气行业：中海油2021年资本开支好于预期打开海上油服成长空间,新浪
762,2021-02-08,石油石化、基础化工、新材料行业北上资金流向周报,新浪
763,2021-02-08,花旗：上调中海油服(02883)目标价48.2%至12.6港元 评级“买入”,智通财经
764,2021-02-08,开源证券给予中海油服买入评级，中海油资本开支超预期，量价齐升值得期待,每日经济新闻
765,2021-02-08,大和：上调中海服务(02883)目标价46%至9.5港元 评级“持有”,智通财经
766,2021-02-08,大行评级|大和：重申中海油田服务(2883.HK)持有评级目标价上调至9.5港元,格隆汇
767,2021-02-08,国元早安直通车,新浪
768,2021-02-08,川财证券--石油化工行业周报：今年中海油国内资本支出有望增长45%【行业研究】,金融界股吧
769,2021-02-08,石油化工行业：油价持续上涨 板块迎配置良机,新浪
770,2021-02-08,拿什么拯救你，结构性牛市：一个品种期货飙涨，留意细分赛道的投资价值,21世纪经济报道
771,2021-02-08,部分重仓化工基金 年内涨幅超20%,中国基金报
772,2021-02-07,【太平洋机械】机械行业周报20210207：油价持续上涨以及国内政策推动下，油气装备行业景气提升,太平洋机械大讲堂
773,2021-02-07,化工行业周度观点21W6：化工景气趋势不改 重申推荐观点,新浪
774,2021-02-07,石油化工周报第186期：全球原油供应紧平衡 布油价格有望突破60美元／桶,光大证券
775,2021-02-07,暴涨超20%！有科技股基金经理发话了：转战化工！,中国基金报
776,2021-02-07,中海油服(601808)FY21国内工作量继续提升；技术性外包费用结构性降低,新浪
777,2021-02-07,川财证券给予中海油服增持评级：中海油投资增长，公司前景向好,每日经济新闻
778,2021-02-07,川财证券--中海油服2021年战略展望点评：中海油投资增长，公司前景向好【公司研究】,金融界股吧
779,2021-02-06,石油化工2020年报业绩前瞻：石化龙头盈利持续性增强 涤纶长丝迎景气反转,新浪
780,2021-02-06,一周沪深股通动向曝光：这30只个股净卖出最多（附名单）,每日经济新闻
781,2021-02-06,揭秘北上资金：连续5日减仓这60只个股（附名单）,每日经济新闻
782,2021-02-05,北水动向(2.5)|北水净流入81.68亿 中芯国际(00981)绩后再遭净卖出逾18亿港元,智通财经
783,2021-02-05,智通每日大行研报汇总︱2月5日,智通财经
784,2021-02-05,2月5日晚间重要行业研究汇总(附股),中金在线
785,2021-02-05,国际大行最新评级：机构表明阿里巴巴潜在升幅28%！华创证券首予快手“推荐”评级,中财网
786,2021-02-05,中海油服(601808)：中海油FY21资本性支出超预期；加大中国近海占比,新浪
787,2021-02-05,中金：维持中海油服(2883.HK)优于大市评级 目标价升至13港元,格隆汇
788,2021-02-05,中金：维持中海油服(02883)“优于大市”评级 目标价上调37%至13港元,智通财经
789,2021-02-05,大行评级|瑞信：上调中海油服(2883.HK)目标价至12.5港元评级“跑赢大市”,格隆汇
790,2021-02-05,瑞信：维持中海油服(02883)“跑赢大市”评级 目标价调高19%至12.5港元,智通财经
791,2021-02-05,中海油服盘中涨超5% 获中金维持跑赢行业评级,新浪
792,2021-02-05,港股异动 | 中海油服(02883)盘中涨超5% 中金预计其受益于中海油资本开支超预期,智通财经
793,2021-02-05,国元证券--能源行业中海油2021年战略指引点评：中海油资本支出指引超预期，海上油气行业复苏启动【行业研究】,金融界股吧
794,2021-02-05,中金：上调中海油服A和H股目标价料受益于中海油资本开支超预期,格隆汇
795,2021-02-05,中海油产量将持续增长 油气勘探相关企业景气提升（附股）,金融界
796,2021-02-05,【金财富早知道】2021-02-05,赢家之星
797,2021-02-04,中芯国际2020年第四季度净利大增93.5%，游族网络、乐心医疗等迎增持利好,财联社
798,2021-02-04,国际原油价格跟踪点评：油价重返疫情前水平 上调布油预期到55-65美元/桶,光大证券
799,2021-02-04,中国自主研发海洋地震拖缆采集技术达到国际先进水平,国资委
800,2021-02-03,【国元机械】埃夫特-U（688165）2020年业绩预告点评：海外疫情影响大，核心零部件自主化率持续提升,国元高端装备
801,2021-02-03,板块异动 | 我国将加强页岩油勘探 石化板块高开走强,智通财经
802,2021-02-03,国家能源局将加强页岩油勘探开发 相关概念股将启动（附股）,金融界
803,2021-02-02,【早评0203】红包行情来了，坐稳了,云掌财经
804,2021-02-02,东吴证券--港股策略：央行货币政策仍以稳为主，南向资金加速流入港市【投资策略】,金融界股吧
805,2021-02-02,【国元机械】光伏设备行业点评：硅片扩产项目持续落地，设备需求迎爆发,国元高端装备
806,2021-02-02,港股异动︱中海油服(02883)涨超6% 瑞信维持其“跑赢大市”评级并上调目标价40%至10.5港元,智通财经
807,2021-02-02,缺口要多一倍 今年要和白银一样猛的大宗是它？两大顶级投行同时强烈看,巨丰财经
808,2021-02-01,“风向”有变 1月重仓周期的基金领跑,金融投资报
809,2021-02-01,石油化工行业周报：油价维持55美元上方 涤纶长丝去库持续,新浪
810,2021-02-01,石油化工行业周报：从全球乙烯产能投放趋势 来看大炼化竞争力与乙烯市场空间,新浪
811,2021-02-01,川财证券--先进制造行业周报：广东2021年工作安排，开工建设陆丰、廉江核电【行业研究】,金融界股吧
812,2021-01-28,海通证券研究所早报,新浪
813,2021-01-27,石油石化行业基金重仓分析专题(2020年四季度),新浪
814,2021-01-26,【国元机械】晶盛机电2020年业绩预告点评：受益硅片扩产周期，业绩超预期增长,国元高端装备
815,2021-01-26,石油化工行业2020Q4基金重仓分析专题,新浪
816,2021-01-25,化工行业周观点：化纤等顺周期持续上涨 关注周期成长,新浪
817,2021-01-24,化工行业深度研究与投资策略：寻找确定性更强的增长方向,新浪
818,2021-01-22,2020年海南油气产业全产业链预计实现1055亿元,南海网
819,2021-01-20,【国元机械】埃斯顿跟踪点评报告：与三一大订单落地，拉开Cloos国产化应用新篇章,国元高端装备
820,2021-01-19,瑞信：维持中海油服(02883)“跑赢大市”评级 目标价上调40%至10.5港元,智通财经
821,2021-01-19,港股异动︱中海油田服务(02883)涨超8% 获瑞银维持其“买入”评级并上调目标价25.6%至9.8港元,智通财经
822,2021-01-19,化工板块再度走强 润禾材料正丹科技等涨停,证券时报网
823,2021-01-19,化工板块持续爆发 关注四大投资主线,证券时报网
824,2021-01-19,【国元机械】中铁工业2020年重大合同签约点评：轨交基建持续发力，全年订单高增长,国元高端装备
825,2021-01-19,化工｜化工行情持续爆发，关注四大投资主线,中信证券研究
826,2021-01-19,石化行业2020年年报前瞻：景气反转,新浪
827,2021-01-18,石油化工行业周报：LPG价格上涨成因及对石化产业链影响几何,新浪
828,2021-01-17,石油化工行业OPEC月报点评：OPEC维持减产 维持2021年原油需求预期不变,新浪
829,2021-01-15,中国“神”车回落： “中字股”行情有所分化 后续机会还有吗？,新浪
830,2021-01-14,打板概念股近三日受27亿主力资金追捧,证券时报网
831,2021-01-14,化工行业周观点：油价再破前高 化工品持续复苏,中国能源网china5e
832,2021-01-14,涨停板复盘：三大指数表现弱势 半导体板块领涨,新浪
833,2021-01-14,快讯：油气设服板块开盘走弱 通源石油大跌8% 连续下跌,新浪
834,2021-01-14,宏观日报 | 中国2020年12月M2同比增长10.1%,金瑞期货
835,2021-01-14,每日理财观察：首只公募MOM下周三起发行,Wind
836,2021-01-14,中字头股力挺大市 “四高”个股值得关注！震荡行情中把握板块轮动机会,大众证券报
837,2021-01-14,大盘横盘整固 中国平安融资盘大幅流入,财富动力网
838,2021-01-13,两市成交额连续8日超万亿元 把握震荡行情中板块轮动机会,大众证券报
839,2021-01-13,蜀黍说市|中字头大股票一通大涨！传递什么信号？后市主线定了！,搜狐
840,2021-01-13,港股收盘(1.13)|恒指收跌0.15% 吉利富士康成立合营 富智康集团(02038)涨逾18%,智通财经
841,2021-01-13,午后突然跳水：3000多股收绿！这一板块却逆势大涨！,中国基金报
842,2021-01-13,涨停股复盘：5股封单超亿元,证券时报网
843,2021-01-13,1月13日复盘：高位反复震荡不改上行方向 主力资金出击4股,新浪
844,2021-01-13,涨停板复盘：三大指数震荡走弱 中字头股票领涨,新浪
845,2021-01-13,A股收盘综述：上证指数跌0.27%，中车、中远海控、中海油服等涨停,Wind
846,2021-01-13,瑞银：中海油服维持买入评级 目标价升至9.8港元,新浪
847,2021-01-13,石油股全线走强 中海油及中海油服均涨超7%,新浪
848,2021-01-13,瑞银：维持中海油服(02883)“买入”评级 目标价上调25.6%至9.8港元,智通财经
849,2021-01-13,港股异动 | 中海油(00883)涨超8%领涨石油股 美油布油均创近11个月新高,智通财经
850,2021-01-13,快讯：油气设服板块开盘拉升 恒泰艾普涨超8%,新浪
851,2021-01-13,瑞银料中海油服(02883-HK)业务迎来上升周期目标价升至9.8港元,财华社
852,2021-01-12,石油化工＆基础化工行业2021年策略报告：后疫情时代下四大投资主线 龙头白马、周期成长、周期反转与成长突破,光大证券
853,2021-01-11,【国元机械】12月份及年度挖掘机销量数据点评报告：20年以高增长、国产化加速收官，21年需求仍有韧性,国元高端装备
854,2021-01-08,中国自主研发“贪吃蛇”钻井技术突破“限速”，跻身世界前列,澎湃新闻
855,2021-01-07,【研报掘金】油价处于持续回升周期中 积极布局油价回升及需求复苏受益板块,证券时报网
856,2021-01-07,我国成功突破“贪吃蛇”钻井技术“限速”,科技日报
857,2021-01-07,中海油服(601808)：4Q20服务费率上涨已经落地；中海油新年战略展望成为正面催化剂,新浪
858,2021-01-07,巨丰早评：A股指数风险不高 择机低吸大蓝筹,巨丰财经
859,2021-01-06,A股震荡上行沪指五连阳站上3550点两市成交额连续三日破万亿,财华社
860,2021-01-06,巨·大盘丨大盘高位宽幅震荡 上证指数5连涨 市场分歧加剧,巨丰财经
861,2021-01-06,港股收盘(1.6)|恒指收涨0.15% 行业经营权限或放宽 物管股集体暴力拉升,智通财经
862,2021-01-06,巨丰收评：沪指震荡收涨0.63% 油服军工板块领涨,巨丰财经
863,2021-01-06,收评：A股震荡收涨沪指涨0.63%军工板块抢眼两市成交额连续三个交易日破万亿,金融界
864,2021-01-06,午间要闻 | 8个省会房价跌回一年前；荣耀与高通恢复合作：不需要审批；张玉祥回应南极电商股票跌停：不关心股价,经济观察网
865,2021-01-06,巨丰午评：三大股指齐翻绿 三板块却逆势上涨,巨丰财经
866,2021-01-06,OPEC+就2月石油产量达到协议，石油板块强势拉升，恒泰艾普等涨停,证券时报网
867,2021-01-06,油气开采板块走强，油价进入持续回升周期，布局三条主线,第一财经
868,2021-01-06,港股异动 | 中海油服(02883)涨超9%领涨石油股 OPEC+达成减产协议 国际油价大涨,智通财经
869,2021-01-06,【异动股】可燃冰板块拉升，杰瑞股份(002353-CN)涨8.9%,财华社
870,2021-01-06,【异动股】石油行业板块高开，中海油服(601808-CN)涨6.69%,财华社
871,2021-01-06,油气设服板块拉升 延长化建、中曼石油涨停,上证报
872,2021-01-06,【行情】油气设服板块拉升，中曼石油拉升涨停，通源石油涨超9%，中海油服、恒泰艾普、贝肯能源等个股均涨超5%,金十数据
873,2021-01-06,盘前情报丨国际原油期货大幅收涨，商务部等12部门联手释放利好，这些机会值得关注,21世纪经济报道
874,2021-01-06,中信证券：积极布局油价回升及需求复苏受益板块 推荐布局三条主线,证券时报网
875,2021-01-06,石化｜国际油价：坚守主线，积极布局油价回升及需求复苏受益板块,中信证券研究
876,2021-01-05,石油化工2021年石化行业关键词,格隆汇
877,2021-01-04,石油化工行业周报：2020年石油化工重点回顾与2021年趋势展望,新浪
878,2021-01-04,盘前情报丨特斯拉两款车型大降价，元旦档电影票房创新高，这些投资机会最靠谱,21世纪经济报道
879,2021-01-03,下周影响市场重要资讯前瞻,新浪
880,2021-01-03,下周关注丨年金基金权益类投资比例上限提高，这些投资机会最靠谱,第一财经
881,2021-01-01,券商2020年度研究能力大起底：最牛金股阳光电源涨近600% 96股表现不如人意,时代财经
882,2020-12-31,【国元机械】锐科激光事件点评：拟推长期股权激励计划，有望巩固龙头地位,国元高端装备
883,2020-12-30,大摩料明年下半年中海油(00883-HK)及中海油服(02883-HK)股价回升,财华社
884,2020-12-29,武船2艘4000马力LNG动力守护供应船顺利下水,中国燃气网
885,2020-12-28,中国人民大学发布“2020中国能源企业创新能力百强榜单”,光明网
886,2020-12-28,石油化工行业周报：涤纶长丝有望长期好转 大炼化比较优势明显与估值溢价空间提升,新浪
887,2020-12-28,国君策略：震荡之下，布局躁动方向,国泰君安
888,2020-12-28,【华创·周知道】如果专项债缺席，一月社融怎么看？（20201228）,华创证券研究
889,2020-12-27,国君策略：市场的调整有限，看好春季躁动的结构行情,Wind
890,2020-12-26,【民生周末重点推荐】首席看石化：关注油价上涨带来的油服、烯烃及长丝投资机会,MS研究
891,2020-12-22,原油周报第179期：IEA再次下调原油需求预期 关注美国财政刺激计划,光大证券
892,2020-12-22,石油化工行业周报：国际油价连涨7周 国内LNG价格上涨,新浪
893,2020-12-22,国泰君安：第五轮补库存周期在即 制造业资本开支有望迎来新一轮复苏（附股）,证券时报网
894,2020-12-21,港股2021年1季度配置策略：PPI回升，材料、能源最受益,东吴证券
895,2020-12-21,【国元机械】行业上行确立，国产工业机器人行稳至远 ——11月工业机器人产量数据点评,国元高端装备
896,2020-12-21,【策略*陈李】PPI回升，材料、能源最受益——港股2021年1季度配置策略,东吴研究所
897,2020-12-20,石油化工新材料行业北上资金周报,新浪
898,2020-12-20,【开源煤炭&石化-张绪成】石化周报：油价周线七连阳创新高，涤纶长丝&LNG持续上涨,能源观察站
899,2020-12-19,威海金陵承修中海油服“海洋石油921”平台,国际船舶
900,2020-12-18,中海油田服务(02883)审议通过2021年度理财额度的议案,智通财经
901,2020-12-17,建银国际证券：料明年恒指波动区间在23500点至29500点首选腾讯(0700.HK)等十股,格隆汇
902,2020-12-16,中海油服(601808)：短期风险有限 看好FY21费率复苏 维持长期投资逻辑,新浪
903,2020-12-15,先进制造行业周报：唐山海港区探索柴改氢,新浪
904,2020-12-14,2021年投资策略：关注油价上涨带来的油服、烯烃及长丝投资机会,新浪
905,2020-12-14,国泰君安：调整便是布局良机 交易复苏仍是市场的核心主线,证券时报网
906,2020-12-13,A股策略周报：调整便是布局良机,新浪
907,2020-12-11,港股收评：恒指涨0.36%石油股大幅反弹光伏板块持续活跃,格隆汇
908,2020-12-11,A股高开低走创指跌逾1%暂失2700点市场情绪低迷耐心等待企稳,财华社
909,2020-12-11,港股收盘(12.11)|恒指收涨0.36% 泡泡玛特(09992)首挂涨逾79% 市值接近千亿港元,智通财经
910,2020-12-11,恒指收涨0.36%，泡泡玛特上市首日收涨近80%,Wind
911,2020-12-11,【国泰君安国际】近期投资看点：EIA上调短期油价预期，再降2021年全球需求预测 20201210,国泰君安证券香港
912,2020-12-11,【行情】采掘服务板块开盘活跃，中曼石油涨6%，通源石油、石化油服、中海油服、中油工程等跟涨,金十数据
913,2020-12-11,每经9点丨我国科研团队揭示新冠病毒由水貂向人传播的机理；近600人住院，1人死亡，WHO专家抵印度调查不明疾病,每日经济新闻
914,2020-12-11,石化｜国际油价：油价突破50美元/桶，积极布局长期持续回升周期,中信证券
915,2020-12-11,【金工】2020年12月A股重点宽基指数样本股调整名单——权益事件点评,渤海证券研究
916,2020-12-11,中信证券：油价突破50美元/桶，积极布局长期持续回升周期,Wind
917,2020-12-11,中信证券：油价突破50美元/桶，积极布局长期持续回升周期,e公司
918,2020-12-11,晨会1211｜外资加配香港本地股,中信证券研究
919,2020-12-10,2021年装备制造业周期上行，看中国制造自信崛起,Wind
920,2020-12-09,"中海油服现1笔大宗交易 共成交1,392.00万元",新浪
921,2020-12-09,中海油服今日大宗交易成交100万股，成交价13.92元溢价6.42%,Wind
922,2020-12-09,化工行业年度策略报告：行业复苏；精选龙头,新浪
923,2020-12-08,2020中国企业ESG“金责奖”公司治理（G）优秀企业,新浪
924,2020-12-08,港股收盘(12.8)|恒指收跌0.76% 京东健康(06618)首挂涨超55% 市值超3400亿,智通财经
925,2020-12-08,全球数字化石油天然气决策者峰会将于本周四在北京隆重开幕!,中国能源网
926,2020-12-08,石油股集体下跌 中国石化跌超4%中海油下跌3% 连续下跌,新浪
927,2020-12-08,港股异动 | 中石化(00386)跌超4%领跌石油股 多空消息交织博弈激烈 国际油价小幅回吐,智通财经
928,2020-12-08,石化行业2021年度投资策略：油价复苏主旋律 石化掘金正当时,新浪
929,2020-12-08,12月8日利好及其影响个股,中财网
930,2020-12-07,原油周报第177期：OPEC+就明年年初生产计划达成一致,光大证券
931,2020-12-07,沪指跌近1%，金融股领跌，农业股逆势大涨,港股那点事
932,2020-12-07,石油化工行业周报：烯烃价格维持强势 解读炼油加工对于石化的影响,新浪
933,2020-12-07,24股获券商买入评级 宇通客车目标涨幅达58.36%,Wind
934,2020-12-06,国泰君安：四季度经济动能修复有望超预期,国泰君安证券研究
935,2020-12-04,晨报1204 | 宏观年度报告、违约债观察、中海油服（601808）,国泰君安证券研究
936,2020-12-03,每日报告回放,新浪
937,2020-12-03,汽柴油零售价或创下年内最大涨幅 油气板块开盘走高|板块牛熊榜,第一财经
938,2020-12-03,中富金石：创业板指涨1.10% 医药板块崛起,中金在线
939,2020-12-03,中海油服(601808)：近期回调提供买入时机；长期投资逻辑依然稳健,新浪
940,2020-12-03,A股午盘综述：大小指数分化，创业板指涨超1%,Wind
941,2020-12-03,原油价格回暖有望拉升行业景气 油服设备厂商迎发展机遇丨牛熊眼,第一财经
942,2020-12-03,快讯：油气板块早盘走强 长春燃气拉升封板,新浪
943,2020-12-01,开源证券：11月金股组合盈利3.15% 12月荐股名单出炉,新浪
944,2020-12-01,原油周报第176期：OPEC＋预期推迟增产计划,光大证券
945,2020-11-30,郑眼看盘：机构行为异常 可漠视,每日经济新闻
946,2020-11-30,旗下全球商业地产组合贬值 瑞信清盘旗下一只全球房地产基金,英为财情
947,2020-11-30,港股收盘(11.30)|恒指收跌2.06% 光伏股涨幅居前 石油股全线重挫 连续下跌,智通财经
948,2020-11-30,化工行业周观点：化工品价格普涨 顺周期持续性可期,新浪
949,2020-11-30,石油化工新材料行业北上资金周报,新浪
950,2020-11-30,石油股午后跌幅扩大 中海油服跌逾11%中海油跌超10%,新浪
951,2020-11-30,港股异动 | 中海油服(02883)挫逾8%%领跌石油股 OPEC+非正式讨论未达成押后增产共识,智通财经
952,2020-11-30,开源金股，12月推荐,开源证券研究所
953,2020-11-29,【太平洋机械】机械行业周报20201129：bauma展再次印证行业高景气，继续推荐工程机械,太平洋机械大讲堂
954,2020-11-29,27股受北向资金青睐，本周增仓超50%,证券时报
955,2020-11-27,花旗：中国油气股估值吸引，首选中海油（00883）和中海油服（02883）,智通财经
956,2020-11-27,2021年石化年度策略报告：关注油气价格反弹带来的机会，给予“增持”行业评级,川财证券
957,2020-11-27,大行评级|花旗：多数油气股估值仍具有吸引力首选中海油和中海油服,格隆汇
958,2020-11-27,花旗：中国油气股估值仍有吸引力,Wind
959,2020-11-27,【大行报告】花旗指油相关股估值仍吸引首选中海油(00883-HK),财华社
960,2020-11-26,快讯：采掘服务板块低开 中曼石油跌7%,新浪
961,2020-11-26,【行情】采掘服务板块低开，中曼石油跌7%，通源石油、石化油服、中海油服等集体跟跌,金十数据
962,2020-11-25,多重利好叠加 油价长期持续回升... 券商这样看,第一财经
963,2020-11-25,11月25日主力资金净流出495亿元,证券时报网
964,2020-11-25,风向研报丨一则消息引发A股“巨震”？,21世纪经济报道
965,2020-11-25,“顺周期之王”20天大涨25%，原油撬动石化行情后，顺周期还能上涨多久？,财富动力网
966,2020-11-25,港股收盘(11.25)|恒指收涨0.31% 医用耗材集采范围或扩大 医疗器械股集体重挫 连续下跌,智通财经
967,2020-11-25,巨·热点 | 市场大幅回落调整 多板块盘中逆势轮动！,巨丰财经
968,2020-11-25,涨停板复盘：指数全天单边下行 顺周期板块集体调整,新浪
969,2020-11-25,港股异动 | 中石化油服(01033)涨超12%领涨油服股 油价回暖有望拉升油服行业景气,智通财经
970,2020-11-25,油气板块连续反弹 中曼石油一度涨停|板块牛熊榜,第一财经
971,2020-11-25,油服板块AH股双双大涨，油价逐渐恢复，行业景气度攀升,第一财经
972,2020-11-25,港股异动︱中石化(00386)升逾5%领涨石油股 原油主力合约涨超7%创近三个月新高,智通财经
973,2020-11-25,石油股大涨 中曼石油涨停 石化油服、洲际油气、准油股份等多股跟张,金融界
974,2020-11-25,石油石化行业国际油价点评：积极布局油价中长期持续回升周期,新浪
975,2020-11-25,快讯：石油化工板块开盘活跃 中曼石油涨9%,新浪
976,2020-11-25,【行情】石油化工板块开盘活跃，中曼石油涨9%，通源石油、中海油服、恒泰艾普跟涨,金十数据
977,2020-11-25,A股早评：沪指高开0.43%石油板块高开居前,格隆汇
978,2020-11-25,原油期货大幅上涨 相关个股异动明显,证券时报
979,2020-11-24,海外信用评级汇总2020年11月24日星期二,Wind
980,2020-11-24,风向研报丨这个板块集体大涨，机构高呼“黄金10年”已到！2板块尾盘偷袭！,21世纪经济报道
981,2020-11-24,尾盘直线封涨停：油服股中曼石油爆发 机构建议关注两大主线,中证报
982,2020-11-24,7连板牛股轰然跌停，15亿资金被埋！大宗商品之王飙涨，概念龙头直线涨停，A股最熊板块将逆袭？,证券时报网
983,2020-11-24,标普：应公司要求，撤销中海油田服务“BBB+”长期发行人信用评级,Wind
984,2020-11-24,尾盘直线封涨停！这只油服股爆发，机构看好板块基本面与估值双重修复,中证报
985,2020-11-24,博威合金亮相上海宝马展，创新推动工程机械行业新升级,砍柴网
986,2020-11-24,博威合金亮相上海宝马展，创新推动工程机械行业新升级,凤凰网
987,2020-11-24,石油天然气行业：油气板块顺周期看好民营炼化与油田服务,新浪
988,2020-11-24,大和：升中海油田服务(02883)目标价至6.5元 维持“持有”评级,智通财经
989,2020-11-24,【大行报告】大和升中海油服(02883-HK)目标价至6.5港元，维持持有,财华社
990,2020-11-24,陆股通增仓幅度排行榜（附股）,证券之星
991,2020-11-23,中信证券：顺周期板块持续爆发 关注化工行业两条配置主线,金融界
992,2020-11-23,化工｜顺周期板块持续爆发，化工行业配置什么？,中信证券研究
993,2020-11-22,石油开采行业每周油气：全球油气勘探进入稳定新常态！,新浪
994,2020-11-20,中海油服(601808)公司点评报告：疫苗利好＆OPEC+提振油价 量价反弹看好公司价值,新浪
995,2020-11-18,机械设备行业10月月报：防守反击 回归基本面 聚焦国产化和航天军工,新浪
996,2020-11-17,智通港股解盘(11.17) | 新老题材交换筹码鼓点继续响起,智通财经
997,2020-11-17,港股异动 | 中海油服(02883)涨近5%领涨石油股 疫苗再传利好叠加OPEC+建议推迟增产,智通财经
998,2020-11-17,万家基金4混基10月份跌超4%业绩落后 3只规模大缩水 规模大幅缩水,中国经济网
999,2020-11-16,【太平洋机械】机械行业周报20201115：疫后能源需求复苏，油气装备边际向上,太平洋机械大讲堂
1000,2020-11-14,辽南船厂交付首制5000马力LNG双燃料守护供应船,国际船舶
1001,2020-11-13,港股收盘(11.13)|恒指收跌0.05% 三季度营收纯利均超预期 腾讯(00700)收涨逾4% 盈利能力下降,智通财经
1002,2020-11-11,机械行业2021年投资策略：关注基建景气周期 理性看多新兴装备,新浪
1003,2020-11-11,港股异动 | 中海油(00883)涨超4%领涨石油股 下周全国油价或实现第五次上调,智通财经
1004,2020-11-11,证金汇金同时连续21季重仓股揭秘,证券时报网
1005,2020-11-11,【信达看盘】2020.11.11,信达证券上海
1006,2020-11-11,港股异动 | 石油股高开 隔夜国际原油期货续涨,格隆汇
1007,2020-11-11,A股IPO批文下发速度放缓的局面有望得到改变关注三大热点题材,巨丰财经
1008,2020-11-11,新冠疫苗重大利好切换市场风格，多家券商看好A股后市表现,澎湃新闻
1009,2020-11-11,国家队购物车：证金汇金同时连续21季重仓140余股，押中多只5年10倍股，低位核心资产仅17只,证券时报
1010,2020-11-11,巨丰早评：A股上攻节奏放缓,巨丰财经
1011,2020-11-10,A股高位震荡或继续上行这三类股走强望持续上涨,巨丰财经
1012,2020-11-10,新冠疫苗传出重磅利好，看好油服板块修复 -油服行业点评报告,机械盛宴
1013,2020-11-10,外围狂欢沪指高开跳水创指跌超1%A股短调不改向上预期,财华社
1014,2020-11-10,港股收盘(11.10)|恒指收涨1.1% 疫苗利好推动风险偏好回升 石油股、航空股涨幅居前,智通财经
1015,2020-11-10,巨·大盘 | 大盘高开低走 震荡后将继续上行,巨丰财经
1016,2020-11-10,A股走出独立行情：科创50跌约3% 云办公、汽车板块领跌,英为财情
1017,2020-11-10,震荡下跌：成交又不足万亿，机场航运股爆发，北向资金净流出,澎湃新闻
1018,2020-11-10,猝不及防！万亿巨头跌去1500亿市值，腾讯小米集体重挫 连续下跌,e公司
1019,2020-11-10,猝不及防！万亿巨头跌去1500亿市值，腾讯、小米等科技股集体重挫！这些板块却嗨了...机构：抓紧时间买入！ 连续下跌,证券时报网
1020,2020-11-10,解盘：指数继续走强，航空运输、白酒、影视略涨,Wind
1021,2020-11-10,油服板块涨幅居前，机构看好油价持续回升，配置三条主线,第一财经
1022,2020-11-10,A股异动：油气板块集体拉升，中曼石油、中海油服大涨,英为财情
1023,2020-11-10,石油化工行业周报：以PTA为例 验证行业龙头集中与成本曲线陡峭化,新浪
1024,2020-11-10,采掘服务概念股早盘异动拉升 通源石油涨停,中国经济网
1025,2020-11-10,港股异动 | 中海油服(02883)涨超12%领涨石油股 疫苗数据利好刺激 隔夜美油暴涨逾8%,智通财经
1026,2020-11-10,石油化工板块表现强势 通源石油拉升封板,上证报
1027,2020-11-10,快讯：油气设服板块拉升 通源石油封板,新浪
1028,2020-11-10,【行情】油气设服板块拉升，通源石油拉升封板，潜能恒信大涨14%，恒泰艾普涨逾10%，中曼石油、中海油服等个股全线大涨,金十数据
1029,2020-11-10,石油股高开隔夜美原油大幅收涨8.48%,格隆汇
1030,2020-11-10,中信证券：疫苗数据超预期，油价有望进入长期持续回升通道,第一财经
1031,2020-11-03,37公司获得增持评级-更新中,中财网
1032,2020-11-02,中海油服(601808)：逆境下业绩维持稳定 油价回暖量价反弹空间大,新浪
1033,2020-11-02,石油化工行业周报：原油基本面有所承压 天然气需求向好&长丝价差维持高位,新浪
1034,2020-11-02,【光大金工|调整名单预测】凯莱英、紫光国微或纳入沪深300指数成分股,EBQuant
1035,2020-11-02,40公司获得增持评级-更新中,中财网
1036,2020-11-01,【开源煤炭&石化-张绪成】中海油服三季报点评：逆境下业绩维持稳定，油价回暖量价反弹空间大,能源观察站
1037,2020-10-30,中海油服(601808)：2020Q3毛利率环比改善 汇兑损失等费用拖累业绩 盈利能力下降,新浪
1038,2020-10-30,中海油服(601808)：经营压力充分释放 毛利率环比明显改善,西南证券
1039,2020-10-30,瑞信：下调中海油服(2883.HK)目标价至7.5港元评级“跑赢大市” 机构下调估值,格隆汇
1040,2020-10-30,今日924公司公布三季报113家业绩增幅翻倍,证券时报网
1041,2020-10-30,今天具备中阳的条件,中财网
1042,2020-10-29,A股头条之上市公司（10.30）,金融界
