,2021-12-27,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
1255,2021-05-06,证券行业周报：自营业务影响 一季度业绩分化,新浪
1256,2021-05-06,业绩增长超预期，资管进军公募——国泰君安（601211）2021Q1业绩点评,强思非银
1257,2021-05-06,去年净利超百亿上市券商增至5家，国盛金控和太平洋出现亏损 亏损,澎湃新闻
1258,2021-05-06,最全！40家上市券商2020年业绩大起底：中信、国君、海通等5家净利超百亿；兴业证券增速最惊艳！,每日经济新闻
1259,2021-05-06,陆家嘴财经早餐2021年5月6日星期四,Wind
1260,2021-05-06,40家上市券商去年挣了1456亿元 中信成首家资产规模过万亿元券商,证券日报
1261,2021-05-05,节后开市必看！六大券商研判A股，“红五月”在路上？,Wind
1262,2021-05-05,"40家上市券商一季度业绩大比拼：中信、国泰君安、海通净利居前三，第一创业、太平洋暴降9成！投资业务为利润最大变量！
盈利能力下降",每日经济新闻
1263,2021-05-04,国泰君安2021一季报点评: 改革促发展，投资收入大幅提升，资管进军公募业务【中泰金融·戴志锋/陆韵婷/高崧】,传统借贷vs新型金融
1264,2021-05-04,“牛市旗手”利好来了！4月IPO保荐收入环比增长超3成：中信建投承销5家领跑，长江、民生“弯道超车”！,每经牛眼
1265,2021-05-03,"82亿融资落地，5家券商""抱团""捧场天风证券",Wind
1266,2021-05-03,国泰君安金融科技变身！2021年要大规模切换自研系统,21世纪经济报道
1267,2021-05-02,41家券商一季度自营收入大比拼:太平洋、光大亏损 亏损,每日经济新闻
1268,2021-05-01,41家上市券商一季度自营收入大比拼：海通、长江、兴业等6家同比增逾100%；但太平洋、光大、第一创业亏损！,每日经济新闻
1269,2021-05-01,"哪家券商""炒股""最牛？一季度榜单出炉，国泰君安暴增50倍，海通投资收益近50亿，这3家出现亏损 投资失误",券商中国
1270,2021-05-01,券商一季度业绩分化大，自营业务成分水岭,Wind
1271,2021-05-01,一季度头部券商也分化：国君净利大增142% 中信建投却下滑12%,新浪
1272,2021-05-01,券业净资产收益率已升至7.6%，重资本业务知易行难,Wind
1273,2021-04-30,国泰君安：上交所决定对国泰君安证券股份有限公司时任独立董事陈国钢予以监管关注 金融监管处罚,Wind
1274,2021-04-30,国泰君安入新局头部券商争抢进军公募市场,时代在线
1275,2021-04-30,黄金时代降临！资金不断流入股市，私募发展迎来最好时光，国泰君安这场论坛干货多多,券商中国
1276,2021-04-30,北向资金结束连续5日净买入，美的集团创逾2个月最大净卖出,Wind
1277,2021-04-30,收入创十年新高！投行盛宴之下：人才换血，内卷加剧,Wind
1278,2021-04-30,赚翻了！券商一季报出炉，“一哥”狂赚51亿,Wind
1279,2021-04-30,中泰证券：国泰君安改革促发展，投资收入大幅提升,Wind
1280,2021-04-30,“牛市旗手”券商股节前持续上攻，板块被低估还是市场信号？,和讯
1281,2021-04-30,仍处高增长！上市券商首季业绩排名出炉，中信国君海通营收超百亿，东财净利位居第九，各业务排名有看点,证券之星
1282,2021-04-30,自营驱动利润大幅增长，其他各业务稳中有升丨国泰君安（601211）2021年一季报点评【华创非银】,华创非银
1283,2021-04-30,中信国君海通一季度净利居前三，投资能力成“硬核”,财联社
1284,2021-04-30,证券行业一季度马太效应加剧 三券商单季营收超百亿元,中证网
1285,2021-04-30,A股融资融券日报：两融余额减少11.12亿元（4月29日）,Wind
1286,2021-04-30,盘前情报丨明星基金经理一季度抱团重仓个股名单出炉 主要集中在医药生物、电子等行业（附股）,21世纪经济报道
1287,2021-04-30,北向资金节前一周净买入超216亿元 增持银行、券商板块,21世纪经济报道
1288,2021-04-30,金融股回稳 月线小红星,财富动力网
1289,2021-04-29,【天风非银】国泰君安：21Q1业绩高增长，经营机制改善或将提升估值,新锐视角看金融
1290,2021-04-29,国泰君安(601211)：改革促发展 投资收入大幅提升 资管进军公募业务,新浪
1291,2021-04-29,券商股集体上涨，短期刺激还是长期利好,第一财经
1292,2021-04-29,“牛市旗手”反攻，抄底的机会来了？这些股上涨空间大,第一财经
1293,2021-04-29,国泰君安一营业部被江苏证监局出具警示函 金融监管处罚,上证报
1294,2021-04-29,牛市旗手彻底爆发！啥情况？3家券商首季营收超百亿,Wind
1295,2021-04-29,存在三大问题！国泰君安一营业部被证监局警示，疑新生代游资“作手新一”常用席位 其他违规处罚,金融界
1296,2021-04-29,“牛市旗手”吹响冲锋号角，当前时点的券商股为何被看好？,第一财经
1297,2021-04-29,国泰君安一营业部被警示：是新生代游资营业部，存在三大问题 其他违规处罚,澎湃新闻
1298,2021-04-29,正弦电气上市首日涨125% IPO募3亿国泰君安赚2912万,中国经济网
1299,2021-04-29,国泰君安南京某营业部收警示函 未及时更新客户信息 金融监管处罚,中国经济网
1300,2021-04-29,存在未按规定对个别经纪人进行执业前培训等问题 国泰君安一营业部收警示函 金融监管处罚,新浪
1301,2021-04-29,A股资金流向（4月29日）：大资金涌入券商龙头,Wind
1302,2021-04-29,头部券商一季报密集披露后股价集体反攻 分析师称估值触底或是左侧布局良机,经济观察网
1303,2021-04-29,A股市场窄幅震荡收涨：券商和银行股护盘，北向资金仍净流入,澎湃新闻
1304,2021-04-29,A股收盘综述：上证指数涨0.52%，医美题材炙手可热,Wind
1305,2021-04-29,一季度业绩靓丽 国泰君安、海通证券等大幅走高,证券时报网
1306,2021-04-29,"券商股迎""业绩涨"" 头部券商领衔爆发 总市值座次重排",财联社
1307,2021-04-29,刚被机构大幅减仓，这个板块突然反转！,Wind
1308,2021-04-29,券商股突然爆发，白酒大跳水！八连板妖股来了,Wind
1309,2021-04-29,大崩溃！刚刚，印度暴增近38万，又飙新高！国内一地11例印度输入！券商股突然爆发，白酒大跳水，500亿水井坊跌停！八连板妖股来了,中国基金报
1310,2021-04-29,北向净流入37亿，7.82亿抢购国泰君安、中信证券，山西汾酒被卖出4.96亿！解读,和讯
1311,2021-04-29,业绩爆棚！三家券商单季营收超百亿，国泰君安业绩暴增142%,上证报
1312,2021-04-29,国泰君安：2021年第一季度归属于母公司所有者的净利润约44.11亿元，同比增长141.57%,每日经济新闻
1313,2021-04-29,“牛市旗手”券商股强势上攻，机构建议布局低估值龙头丨牛熊眼,第一财经
1314,2021-04-29,券商板块领涨市场，证券ETF涨超2%,Wind
1315,2021-04-29,券商一季度业绩分化异常，国泰君安净利增速超100%，东兴证券下滑近20% 盈利能力下降,资本邦
1316,2021-04-29,解盘：资金持续流入，证券、半导体、智能音箱领涨,Wind
1317,2021-04-29,A股午盘综述：上证指数涨0.17%，金融股罕见发力,Wind
1318,2021-04-29,业绩集中公布，大券商地位稳固！券商股早盘大幅拉升，南京证券涨停,金融界
1319,2021-04-29,港A两市券商股集体爆发 中信证券涨超6%国泰君安涨逾4%,新浪
1320,2021-04-29,港股异动 | 港A两市券商股集体爆发 中信证券(06030)涨超6% 国泰君安(02611)涨逾4%,智通财经
1321,2021-04-29,【行情】券商板块大涨，南京证券封板，国泰君安涨超9%，湘财股份、兴业证券、海通证券、中信证券等纷纷大幅走高,金十数据
1322,2021-04-29,港股内资券商股涨幅扩大，中信证券涨6%,Wind
1323,2021-04-29,券商板块早盘走高 国泰君安涨逾6%,上证报
1324,2021-04-29,【行情】券商股普遍走高，国泰君安涨5%，海通证券涨3%，中信证券、东方财富等涨逾2%,金十数据
1325,2021-04-29,开盘：恒指高开0.68%，国泰君安公布一季报高开1.29%，新股兆科眼科上市首日跌7.62%,金融界
1326,2021-04-29,国泰君安：当前交易数据底部已现 交易活跃度触底回暖,e公司
1327,2021-04-29,“国家队”大举减持券商股！“牛市旗手”不香了？,Wind
1328,2021-04-29,券商“联姻”风声再起，证券业新一波并购浪汹涌来袭,Wind
1329,2021-04-28,券商一季报大排行：中信国君海通净利居前三，有头部自营增超50倍，投资能力成一季度“核心竞争力”,证券之星
1330,2021-04-28,国泰君安(02611.HK)首季多赚1.4倍,财华社
1331,2021-04-28,国泰君安(02611.HK)一季度净利润升141.57%至44.11亿元,格隆汇
1332,2021-04-28,国泰君安(02611.HK)参与投资基金,格隆汇
1333,2021-04-28,国泰君安：一季度净利润同比增长141.57%,Wind
1334,2021-04-28,多家券商晒单季“成绩单”：中信证券净利超50亿居首，国海证券净利大降72% 盈利能力下降,搜狐
1335,2021-04-28,国泰君安：一季度实现净利润44.11亿元 同比增长141.57%,中证网
1336,2021-04-28,风险对冲需求提升，场外金融衍生品业务2020年增至4.76万亿， 华泰中信申万宏源新增交易量霸榜前三,21世纪经济报道
1337,2021-04-28,国泰君安(601211.SH)一季度净利润升141.57%至44.11亿元,格隆汇
1338,2021-04-28,国泰君安：一季度净利同比增长141.57%,格隆汇
1339,2021-04-28,券商2020年报释放强烈信号：经纪业务、投行全面内卷化生存,Wind
1340,2021-04-28,大基金与小米长江基金先后入局，这只A股牛气了,Wind
1341,2021-04-28,券商2020年报释放强烈信号：经纪业务、投行全面内卷化生存,21世纪经济报道
1342,2021-04-28,A股融资融券日报：两融余额减少23.65亿元（4月27日）,Wind
1343,2021-04-27,两融市场继续上演争夺战，30家上市券商两融收入榜出炉，价格战火不断，融资利率跌破6%,财联社
1344,2021-04-27,创业板涨0.56%，3月工业企业利润高增，国泰君安对A股发表观点。,搜狐
1345,2021-04-27,国君春季宏观与政策展望：宏观寻顶阶段的确定性与不确定性,Wind
1346,2021-04-27,郑爽天价片酬超行业9成上市公司全年净利？资金踩踏式出逃“豆奶大王”,Wind
1347,2021-04-26,粤开证券：证券行业业绩连续增长，未来板块β行情值得关注,Wind
1348,2021-04-26,医药股全面爆发！多股获明星基金提前加仓,Wind
1349,2021-04-26,非银金融行业周报：并购题材有望带领券商板块反弹,新浪
1350,2021-04-26,部分一线券商盈利能力表现强劲 探寻新商业模式发力新增长点,中国基金报
1351,2021-04-25,券商火拼千亿融券市场：券源渠道、利率价格成竞争关键,第一财经
1352,2021-04-25,机构持仓清单来了！这些个股被重点加仓（附表）,Wind
1353,2021-04-25,券商投顾业务座次前十初定，招商中金中信居前三,财联社
1354,2021-04-25,惊呆！大牛市，这家券商净资产收益率居然不到1%，连续三年！,证券之星
1355,2021-04-24,券商资管如何在公募赛道追赶？,财经杂志
1356,2021-04-24,券商投顾业务大发力！收入座次前十初定，招商中金中信居前三，国联华西增速最猛，多家亮投顾业务布局,证券之星
1357,2021-04-24,券商投行排名不看三中一华，改看三中两沪，TOP5投行收入占行业近一半，行业集中度高企，中信建投IPO完胜,证券之星
1358,2021-04-24,千亿白马歌尔股份强势反弹 混改兑现徐工机械高位承压,财富动力网
1359,2021-04-24,国泰君安：一季度基金持仓仍坚守龙头白马，加仓行业主要集中于银行、医药生物等,国泰君安
1360,2021-04-24,上市药企2020年报解码，医疗器械公司净利增幅大,Wind
1361,2021-04-23,券商快马加鞭瞄准公募牌照，资管业务有望成年内“利润牛”,证券之星
1362,2021-04-23,国泰君安金融衍生品代理清算累计业务规模突破1万亿元,上证报
1363,2021-04-22,又有券商大动作！剑指公募牌照,中证报
1364,2021-04-22,券商资管挺进公募基金业务,财经网
1365,2021-04-22,6个月暴增50%，融券余额首破1500亿大关,Wind
1366,2021-04-22,八一钢铁直线拉升封板！钢铁煤炭有色卷土重来,Wind
1367,2021-04-22,融券余额首破1500亿，券商火速布局抢占市场,Wind
1368,2021-04-22,证券业融资进入“新周期” 年内6家券商抛出不超818亿元计划,证券日报
1369,2021-04-21,国泰君安资管获批牌照，5000亿资管巨头正式进军公募！,环球老虎财经
1370,2021-04-21,穆迪维持融信B1评级：优质布局推动增长，杠杆率与流动性表现良好,乐居财经
1371,2021-04-21,"国泰君安进军公募！贺青：未来十年是财富管理""黄金时代""",券商中国
1372,2021-04-21,券商发力场外业务这一年！新增规模逼近5万亿，头部券商大施拳脚，收益互换大爆发，华泰中信申万宏源居前三,财联社
1373,2021-04-21,5258亿国君资管获批公募业务，去年月均管理规模行业第二,21世纪经济报道
1374,2021-04-21,太疯狂！2400多员工一夜变富豪！经销商成亿万富翁,云掌财经
1375,2021-04-21,六家券商资管规模超5000亿元,中证报
1376,2021-04-21,两市融券余额首超1500亿元，上市公司股东出借意愿增强,Wind
1377,2021-04-20,中资券商海外好收成：国君国际净利增超七成，申万宏源香港手续费收入翻倍，2021如何海外发力？两掌门这样看,证券之星
1378,2021-04-20,中原证券一季度扭亏为盈 2~3月被多家头部机构大幅减持 减持股份,每日经济新闻
1379,2021-04-20,5000亿资管巨头进军公募！券商资管最新排名曝光,Wind
1380,2021-04-20,中原证券一季度同比扭亏为盈，2~3月间被国君、中金、高毅等头部机构大举减持！ 减持股份,每日经济新闻
1381,2021-04-20,"重磅！5000亿资管巨头正式进军公募，新战略打法曝光！国君董事长贺青：未来十年是财富管理""黄金时代""",券商中国
1382,2021-04-20,史丹利(002588)：控股股东股份解除质押及部分再质押,发布易
1383,2021-04-19,3年暴赚逾10倍：五粮液60亿元员工持股计划解禁 股价坚挺 解禁,证券时报网
1384,2021-04-19,前十券商收入3128亿占行业七成 自营收入1106亿同比增22%,长江商报
1385,2021-04-19,【行情】港股中资券商板块异动拉升，中金公司涨3.7%，华泰证券涨3%，中信建投证券涨2.6%，国泰君安涨2.5%,金十数据
1386,2021-04-19,重磅！五粮液2400多名员工持股明日上市，三年涨11倍，人均浮盈238万！股民：酒城宜宾房价要涨！,e公司
1387,2021-04-19,看清“新基建”的投资机遇,财经网
1388,2021-04-18,证券行业未来怎么走？上市券商董事长：数字化、国际化、全方位竞争,Wind
1389,2021-04-18,五粮液员工持股计划解禁，三年涨了11倍,Wind
1390,2021-04-17,下跌动能逐渐减弱，A股迎普涨行情,Wind
1391,2021-04-16,什么情况！4天股价翻番、一季度净利暴增超1000倍，这只股票火了，为何机构参与寥寥？,证券时报网
1392,2021-04-16,长安汽车放量涨停，机构、外资合力封板,Wind
1393,2021-04-16,国泰君安(02611.HK)4月28日举行董事会会议审批一季度业绩,格隆汇
1394,2021-04-16,【行情】港股中资券商股板块午后持续走高，中信证券涨逾2%，海通证券、国泰君安等跟涨,金十数据
1395,2021-04-16,资管新规重塑财富管理市场 多家头部券商公募基金领域动作多,中国基金网
1396,2021-04-16,这一脚踩空快哭晕了！刚刚大笔抛出，10天股价翻倍,Wind
1397,2021-04-16,多家头部券商公募基金领域动作多，或增持股权，或申请公募牌照，公募基金正成财富管理领域最好子行业,证券之星
1398,2021-04-16,多家头部券商公募基金领域动作多 公募正成财富管理最好子行业,财联社
1399,2021-04-15,券商资管新排位：六家规模超5000亿，主动管理已占六七成，资管子公司华泰、广发、东证净利居前三,证券之星
1400,2021-04-15,证券业爆发线上战争,财经网
1401,2021-04-14,华茂股份：一季度预计亏损金额有所缩减 预亏,Wind
1402,2021-04-14,海外信用评级汇总2021年4月14日星期三,Wind
1403,2021-04-14,冰山冷热：一季度预计亏损金额有所缩减 预亏,Wind
1404,2021-04-14,十年增近15倍！券商投顾已达6.2万人，即将成为券业第一大岗位，广发国君中信建投银河均超3000名,证券之星
1405,2021-04-14,穆迪：授予国泰君安控股中期票据计划及拟发行票据“(P)Baa1/(P)P-2”和“Baa1”评级,Wind
1406,2021-04-14,A股融资融券日报：两融余额减少50.61亿元（4月13日）,Wind
1407,2021-04-14,券商炒股哪家强？4家收益超百亿中信证券以178亿折桂,Wind
1408,2021-04-13,三年投入550亿，券商全力布局金融科技,财经网
1409,2021-04-13,券商加速财富管理转型,财经网
1410,2021-04-13,基金投顾试点混战,财经网
1411,2021-04-13,国泰君安和方正证券联合主承海安城建集团短债成功获批,格隆汇
1412,2021-04-13,国泰君安黄燕铭谈招聘，青睐理工科诗人，推荐去KTV练表达，国泰君安90后策略首席去年已接棒,金融界
1413,2021-04-13,白马股杀跌压制指数，钢铁板块逆势走强,Wind
1414,2021-04-12,中国债券市场金融债发行日程一览(4月12日),Wind
1415,2021-04-12,上海地区证券公司行业文化建设工作2020年度总结会日前召开,中证协
1416,2021-04-12,解盘：低开低走，海南自贸港、数字货币板块逆市活跃,Wind
1417,2021-04-12,【国信金工】九成股基上周下跌，股基发行持续遇冷,量化藏经阁
1418,2021-04-12,上市系财险去年赔付率显著攀升,Wind
1419,2021-04-11,吉电股份(000875.SZ)披露定增情况：国泰君安、申万宏源及嘉实基金等参投,格隆汇
1420,2021-04-11,下周操盘攻略：短期震荡格局，积极把握一季报,Wind
1421,2021-04-11,证券行业头部公司2020年年报综合评价,雪球
1422,2021-04-10,大型券商2020年报综述：轻重转型并举 优质头部券商孕育Α,新浪
1423,2021-04-09,尚智逢源：头部券商发力布局基金 持有公募牌照的券商系扩容,新浪
1424,2021-04-09,券商2021年一季报前瞻：预计板块归母净利同比增2成 环比增5成,新浪
1425,2021-04-09,融资客青睐8股，中原传媒买入占比高达44.39%,Wind
1426,2021-04-08,券商经纪业务收入占比下降，财富管理和数字化转型步伐加快,第一财经
1427,2021-04-08,头部券商密集加码公募股权的秘密,环球老虎财经
1428,2021-04-08,牛市旗手突然跳涨，这则消息引爆市场？,Wind
1429,2021-04-08,国内市场首批CDS指数交易达成 促进信用衍生品市场进一步完善,上证报
1430,2021-04-08,5家券商净利超百亿 券商龙头股有哪些股票？,至诚财经
1431,2021-04-08,头部券商进一步增强5家净利超百亿,证券导报
1432,2021-04-08,国泰君安：稳定增长前景可期，维持新力控股(2103.HK)“买入”评级,格隆汇
1433,2021-04-08,多家头部券商发力布局基金市场，持有公募基金牌照的券商系队伍已达14家,Wind
1434,2021-04-08,前十券商贡献行业七成营收，人均创收最高387万,Wind
1435,2021-04-08,前十券商贡献行业七成营收 人均创收最高387万,证券时报
1436,2021-04-08,多家头部券商发力布局基金市场 持有公募基金牌照的券商系队伍已达14家,证券日报
1437,2021-04-08,多家头部券商布局公募赛道 持有基金牌照券商达14家,证券日报网
1438,2021-04-07,投行格局生变？海通赶超中信夺冠，一季度落袋6.4亿,Wind
1439,2021-04-07,“芯”荒下的车企：停产、减产，成立芯片应对小组,Wind
1440,2021-04-07,国泰君安2020年报：营收352亿，净利111亿，净资本涨幅第一！,国泰君安
1441,2021-04-07,财富管理成绩单曝光：中信代销规模约9500亿元,新浪
1442,2021-04-07,券业IT投入全面加码，华泰18亿居首，国君13亿曾连续三年第一，年报曝光各家金融科技战略战术,财联社
1443,2021-04-07,A股一季报来了，投资机会看哪里？大数据挖掘“预期差”,Wind
1444,2021-04-06,揽入672亿元！2020年券商投行成绩单揭晓，谁是最大赢家？,中证报
1445,2021-04-06,北京德恒（深圳）律师事务所关于深圳市正弦电气股份有限公司首次公开发行股票并在科创板上市的战略投资者核查事项的法律意见,证券日报
1446,2021-04-06,金融行业周报(第十三周),新浪
1447,2021-04-06,上市券商人均薪酬榜：中金公司人均年薪超百万，国海证券去年人均降薪14%,搜狐
1448,2021-04-06,爱奇艺之后，腾讯视频也提价，国泰君安：长视频平台长期提价潮或来袭！,富途证券
1449,2021-04-06,国泰君安：腾讯视频提高付费会员价格国内头部视频平台或逐步进入提价通道,格隆汇
1450,2021-04-06,打造航母级券商 龙头公司推进战略部署,国际金融报
1451,2021-04-06,十大券商：市场反弹已在逐步开启！4月收阳为大概率事件,Wind
1452,2021-04-06,假期重磅消息一览：道指暴涨400点！券商普遍看多,Wind
1453,2021-04-06,头部券商去年业绩“秀肌肉” 5家已进入净利百亿元俱乐部,证券日报
1454,2021-04-05,国君策略：把握一季报窗口期,Wind
1455,2021-04-05,2021年3月新三板市场回顾：最高法推进精选层集中管辖 五新隧装首发过会,新浪
1456,2021-04-03,这些券商经纪业务收入排前十！四到七名竞争激烈,Wind
1457,2021-04-03,【中泰国际】国泰君安（2611.HK）更新报告：轻资本业务表现亮眼，头部券商发展稳健（评级：增持；目标价：12.95港元）,微信
1458,2021-04-02,已有30家券商披露年报：15家营收超百亿，5家净利超百亿,澎湃新闻
1459,2021-04-02,A股融资融券日报：两融余额减少7.5亿元（4月1日）,Wind
1460,2021-04-02,530股近一周获机构推荐，28股上调评级,Wind
1461,2021-04-02,公募基金风生水起，券商分仓佣金水涨船高,Wind
1462,2021-04-01,监管加码 龙头股遭主力抛售近10亿元 机构却仍然推荐这些银行股 股票卖空,第一财经
1463,2021-04-01,年度券商佣金收入排行揭晓：中信成业内首家10亿佣金机构，长江、中信建投、广发、招商紧紧相随,证券之星
1464,2021-04-01,金融业薪酬大比拼：去券商做打工人，去保险做高管,Wind
1465,2021-04-01,狂揽577.59亿！五家券商净利“百亿俱乐部”生意经：自营兆丰年，海外布局提速,21世纪经济报道
1466,2021-04-01,国泰君安(02611)A股可转债累计有979.7万元转换为51.46万股公司A股股份,智通财经
1467,2021-04-01,国泰君安(02611.HK)：截至3月底累计转股数为51.46万股A股,格隆汇
1468,2021-04-01,【机构风向标】机构推荐胜率超六成，26股获机构高频买入推荐,证券时报网
1469,2021-04-01,2021年第1季度中资离岸债承销商TOP50排行榜出炉，3月发行环比下降26.28%,云掌财经
1470,2021-04-01,上市券商2020年成绩单逐步揭晓，这只股还有67%上涨空间,第一财经
1471,2021-04-01,36家券商公布年报，5家净利超百亿，除了头部都是腰部？,财经网
1472,2021-04-01,美股周三涨跌不一 国泰君安：美科技股下跌风险加大,中国经济网
1473,2021-04-01,A股融资融券日报：两融余额增加7.31亿元（3月31日）,Wind
1474,2021-04-01,去年净利润均超百亿元，五大龙头券商座次初定,Wind
1475,2021-03-31,瑞信：上调国泰君安目标价至17.8港元 评级跑赢大市,金融界
1476,2021-03-31,22家券商信用减值损失243亿元，股权质押踩雷余波犹在 股票质押异常,第一财经
1477,2021-03-31,茅台有多赚钱？2020年日赚超亿元，分红242亿,财经杂志
1478,2021-03-31,中泰国际：国泰君安(02611)经纪与投行业务表现亮眼 目标价调高至12.95港元,智通财经
1479,2021-03-31,【泰有财·研究服务】国泰君安（2611 HK）,中泰金融国际
1480,2021-03-31,瑞信：上调国泰君安、兖媒目标价,Wind
1481,2021-03-31,券商界演绎马太效应：输在起跑线上的中小券商如何求生？,GPLP犀牛财经
1482,2021-03-31,国泰君安：美股下跌的灰犀牛风险正在加大,证券时报网
1483,2021-03-31,人均年薪超100万，碾压腾讯！中金又亮了,Wind
1484,2021-03-30,千亿市值腰斩股，高瓴等43家机构同一天调研,Wind
1485,2021-03-30,国泰君安2020年投行业务下滑 受富贵鸟“爆雷”拖累收警示函 盈利能力下降,GPLP犀牛财经
1486,2021-03-30,券商迎丰收年，5头部券商营收占比超行业四成，股票却从神坛跌落 盈利能力下降,新京报
1487,2021-03-30,A股融资融券日报：两融余额增加33.36亿元（3月29日）,Wind
1488,2021-03-30,光明乳业(600597)：业绩超预期 费率收缩分红提升,新浪
1489,2021-03-30,【中原晨会0330】市场分析、行业周观点、国泰君安、光伏行业周报、招商银行、传媒行业周报、机械行业月报,中原证券研究所
1490,2021-03-29,证券行业周报：风险出清 建议关注头部券商,新浪
1491,2021-03-29,国泰君安今日大宗交易成交13.26万股，成交价16.46元溢价0.0%,Wind
1492,2021-03-29,长城证券--国泰君安：杠杆率提升领先同业，投行经纪业务提升明显【公司研究】,金融界股吧
1493,2021-03-29,【长城非银】杠杆率提升领先同业，投行经纪业务——国泰君安（601211）2020年年报点评,强思非银
1494,2021-03-29,A股融资融券日报：两融余额增加7.98亿元（3月26日）,Wind
1495,2021-03-29,阶段性底部已现！A股怎么走？券商：破局因素是……,Wind
1496,2021-03-29,券商年度业绩亮眼 多元化战略带动转型,中国基金报
1497,2021-03-28,贵州茅台新掌门年报首秀：日赚超亿元，分红242亿,36氪
1498,2021-03-28,“牛市旗手”年度成绩亮眼！靠什么业务才能大发展？,中国基金报
1499,2021-03-27,蔚来宣布临时停产：情况超出此前预估,Wind
1500,2021-03-27,IPO撤单追问：头部券商保荐能力受质疑,Wind
1501,2021-03-26,“三缺一”“顶流”券商最新排位,新浪
1502,2021-03-26,国泰君安(601211)2020年年报点评：财富管理、投资银行和国际业务助推业绩增长,新浪
1503,2021-03-26,第三家百亿净利券商来了！国泰君安成第二赚钱券商,财联社
1504,2021-03-26,重回行业第二！国泰君安去年净赚111亿元，资产破七千万,资本邦
1505,2021-03-26,国君策略：策略视角下的一季报前瞻,Wind
1506,2021-03-26,港股盘前必读：深度融入共建“一带一路”，美国预计今年通胀率超2%,Wind
1507,2021-03-26,16只高增长个股获机构高频买入推荐,Wind
1508,2021-03-26,净利111亿！又有大券商业绩来了,Wind
1509,2021-03-26,大增28%！国泰君安去年净利超111亿，分红近50亿，投行业务亮眼,券商中国
1510,2021-03-25,国泰君安(02611)2020年归母净利同比增长28.77%至111.22亿元 每股派0.56元,智通财经
1511,2021-03-25,国泰君安(02611.HK)年度净利润增长28.77%至111.22亿元 IPO承销金额大增212%,格隆汇
1512,2021-03-25,国泰君安2020年实现净利111.22亿元增28%，企业融资佣金收入降42%,搜狐
1513,2021-03-25,晚间公告｜3月25日这些公告有看头,第一财经
1514,2021-03-25,国泰君安(601211.SH)年度归母净利同比增28.77%至111.22亿元 拟10股派5.6元,智通财经
1515,2021-03-25,国泰君安：2020年净利润111.22亿元 同比增29%,e公司
1516,2021-03-25,国泰君安(601211.SH)2020年度净利润升28.77%至111.22亿元 拟10派5.6元,格隆汇
1517,2021-03-25,国泰君安：2020年净利润111.22亿元，同比增长28.77%,Wind
1518,2021-03-25,多只抱团股腰斩，机构给出反弹目标价，“矿茅”可涨125%,第一财经
1519,2021-03-25,抱团股行情持续下滑、多股腰斩，机构给出反弹目标价，“矿茅”可涨125%,第一财经
1520,2021-03-25,孙彬彬：市场能否摆脱纠结困境？,Wind
1521,2021-03-24,证监会同意4家公司创业板IPO注册 保荐机构分别为国泰君安、第一创业、安信证券、华林证券,和讯
1522,2021-03-24,券商进入高性价比，再融资、收购绯闻满天飞,Wind
1523,2021-03-24,券商板块再当旗手，国联证券三连板，为何当前时点看好券商股？,第一财经
1524,2021-03-24,A股融资融券日报：两融余额减少26.31亿元（3月23日）,Wind
1525,2021-03-24,内鬼黑客狂卖个人信息，“年产值”飙上千亿,Wind
1526,2021-03-23,今年首只十倍股：33家游资击鼓传花，成交堪比茅台,Wind
1527,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
1528,2021-03-23,厦门国贸控股100亿元小公募获上交所受理,乐居财经
1529,2021-03-23,碳中和热点扩散，涨停家数创阶段新高,Wind
1530,2021-03-23,一季度业绩有望环比改善，券商板块行情能否持续,Wind
1531,2021-03-22,恒力石化跌9.98% 国泰君安与平安资管产品持股,中国经济网
1532,2021-03-22,【研报掘金】券商估值处于底部区间叠加一季度或迎业绩反转 板块有望迎来反弹,证券时报网
1533,2021-03-22,什么情况？券商银行股集体爆发！北向资金持续扫货,Wind
1534,2021-03-22,券商股近期频频异动，多重利好加持下，这些个股可关注,第一财经
1535,2021-03-22,IPO批量撤回，一机构撤回10单,Wind
1536,2021-03-22,场外衍生品业务 仍是“巨头的游戏”,中国基金报
1537,2021-03-22,规模激增“钱景”可观 券商场外衍生品业务爆发,中国基金报
1538,2021-03-20,券商最新资管成绩单出炉 中信证券月均规模居首,证券日报
1539,2021-03-19,"大股东动向｜10天股价跌去26%，公司股东又要清仓式减持，跌跌不休何时了？一周减持榜：29家上市公司预减持，洁特生物比例惊人
减持股份",21世纪经济报道
1540,2021-03-19,曾拿千万年薪的任泽平重回证券业，以后仍是“预言帝”？,金融投资报
1541,2021-03-19,游资“章盟主”爆发！1天登上6只股票龙虎榜,Wind
1542,2021-03-18,券商“一哥”去年净赚149亿元，多项业务排名第一,Wind
1543,2021-03-18,证券行业报告：券商有望迎来业绩与景气度的向上拐点 估值提升的空间显着！,新浪
1544,2021-03-18,长江证券最新入列二级交易商，全部场外期权交易商增至41家，规模前五券商保持业务高集中度,财联社
1545,2021-03-18,国泰君安(02611.HK)拟召开2020年度网上业绩说明会,格隆汇
1546,2021-03-18,新华保险：3月25日上午召开2020年度业绩发布会,Wind
1547,2021-03-18,南网能源再度涨停，机构加速进场,Wind
