,2021-12-31,中航光电、振华科技、高德红外……谁将能成长能力最强的军工电子企业？,Ofweek
292,2021-03-22,两市行情震荡 这些一季度绩优股价格较年内高点大幅回撤,第一财经
293,2021-03-17,高德红外：部分型号的红外芯片成本已降到几百元,湖北日报
294,2021-03-15,38股获券商买入评级 亿纬锂能目标涨幅达65.08%,Wind
295,2021-03-14,高德红外(002414)：订单技术再获突破 业绩持续高速增长,新浪
296,2021-03-13,高德红外(002414)公司动态点评：Q1业绩高速增长 订单充足提供后续保障,新浪
297,2021-03-12,预喜股获追捧，下周年报双增标的出炉,Wind
298,2021-03-12,国防军工精确制导产业链系列报告之一：海空军加速建设牵引配套导弹需求 雷达及红外制导产业有望腾飞,新浪
299,2021-03-12,A股异动|高德红外(002414.SZ)涨超4%一季度净利预增40%-70%,格隆汇
300,2021-03-12,A股早报2021年3月12日星期五,Wind
301,2021-03-12,上市公司正负面新闻2021年3月12日星期五,Wind
302,2021-03-11,高德红外(002414.SZ)预计2021年第一季度归母净利润同比增长40%-70%,智通财经
303,2021-03-11,高德红外：预计一季度净利润同比增长40%至70%,Wind
304,2021-03-09,黄立委员：我国红外探测器核心技术突破国外垄断,科技日报
305,2021-03-09,加大特殊半导体产业扶持力度,中国电子报
306,2021-03-08,国防装备行业周报：2021年国防预算增长6.8% 增速较上年提升,新浪
307,2021-03-08,全国政协委员、高德红外董事长黄立：加大知识产权保护力度促进市场公平有序竞争,证券时报
308,2021-03-05,全国政协委员、高德红外董事长黄立：应加速特殊半导体产业链国产化,时代在线
309,2021-03-05,高德红外：目前大股东质押股不存在平仓风险,Wind
310,2021-03-05,高德红外：公司生产订单饱满,每日经济新闻
311,2021-03-05,A股早报2021年3月5日星期五,Wind
312,2021-03-05,上市公司正负面新闻2021年3月5日星期五,Wind
313,2021-03-05,高德红外董事长黄立：红外产业刚刚起步，还有数十倍成长空间,格隆汇
314,2021-03-04,高德红外(002414.SZ)完成经营范围变更 业务变化,格隆汇
315,2021-03-04,高德红外(002414.SZ)：百万像素中中波双色二类超晶格制冷红外探测器项目通过科技成果评价,格隆汇
316,2021-03-04,高德红外：百万像素中中波双色二类超晶格制冷红外探测器项目通过科技成果评价,Wind
317,2021-03-04,聚焦两会|全国政协委员、高德红外董事长黄立：科学界定商业秘密 设置劳动者诚信档案,财联社
318,2021-03-04,全国政协委员、高德红外董事长黄立：知识产权特别是商业秘密的保护力度亟需加强,21世纪经济报道
319,2021-03-03,3月3日晚间重要行业研究汇总(附股),中金在线
320,2021-03-02,浙商证券--国防装备行业周报（2021年2月第4周）：国资委，将加大国防投入；关注两会国防预算【行业研究】,金融界股吧
321,2021-03-02,高德红外经营范围新增机电产品、汽车配件等,企查查
322,2021-02-27,上市公司正负面新闻2021年2月27日星期六,Wind
323,2021-02-26,高德红外(002414.SZ)2020年度归母净利润同比增长353.60%至10.01亿元,智通财经
324,2021-02-26,高德红外(002414.SZ)业绩快报：2020年度净利润升353.6%至10.01亿元,格隆汇
325,2021-02-26,高德红外业绩快报：2020年净利润同比增长353.60%,Wind
326,2021-02-26,高德红外：2020年度净利润约10.01亿元，同比增加353.60%,每日经济新闻
327,2021-02-26,高德红外业绩快报：2020年净利润10.01亿元 同比增354%,e公司
328,2021-02-26,高德红外：2020年度净利润同比增长354%,格隆汇
329,2021-02-26,5G迎风口！10倍牛股再领风骚，多头今安在,Wind
330,2021-02-26,高德红外募集资金用于红外探测器芯片研发和产业化,中国机经网
331,2021-02-25,2194家公司预告全年业绩 899家预增,证券之星
332,2021-02-24,全年业绩高增长股提前看，624股净利润增幅翻倍,证券之星
333,2021-02-23,国防军工行业深度：百页深度 军工产业缺乏长期成长逻辑吗？,新浪
334,2021-02-23,571家中小板公司全年业绩亮相 42.56%预增,证券之星
335,2021-02-22,575家中小板公司全年业绩亮相 42.61%预增,证券之星
336,2021-02-20,国防装备行业周报：关注两会国防预算、年报季报业绩高增长,新浪
337,2021-02-18,高德红外：获湖北省科技进步一等奖,e公司
338,2021-02-08,“缺芯潮”调查：交货期长过孕期，国产替代机会来了,每日经济新闻
339,2021-02-08,582家中小板公司晒全年业绩 249家预增,证券之星
340,2021-02-08,高德红外：非公开发行股票申请获证监会核准,中证网
341,2021-02-08,高德红外：非公开发行不超过1亿股新股获证监会核准,每日经济新闻
342,2021-02-08,高德红外(002414.SZ)：不超1亿股定增计划获批,格隆汇
343,2021-02-08,早间公告2021年2月8日星期一,Wind
344,2021-02-07,国防装备行业周报-2020业绩预告：国防装备未来几年有望快速增长,新浪
345,2021-02-05,高德红外(002414.SZ)拟增加经营范围“通信设备”等,格隆汇
346,2021-02-05,Yole调研显示2020年中国热成像品牌崛起，高德红外跃居全球第二,中电网
347,2021-02-03,584家中小板公司晒全年业绩 249家预增,证券之星
348,2021-02-02,国防军工行业军工观察：需求逐步释放业绩兑现有力 择机布局产业链高成长优质标的,新浪
349,2021-02-02,国防装备行业周报(2021年2月第1周)：关注国防集团年度会议 看好国防整机与低估值组合,新浪
350,2021-02-02,585家中小板公司全年业绩亮相 42.74%预增,证券之星
351,2021-02-01,国防军工行业20年Q4基金持仓与一周行情回顾,新浪
352,2021-02-01,586家中小板公司晒全年业绩 250家预增,证券之星
353,2021-01-30,赵诣、冯明远等明星基金经理已经出动！下一站拼的是“业绩超预期”？,Wind
354,2021-01-30,赵诣、冯明远等明星基金经理已出动！下一站拼“业绩超预期”？,上证报
355,2021-01-30,本周北上资金逆市加仓电子股,Wind
356,2021-01-28,709家公司全年业绩预增,证券之星
357,2021-01-28,不谈抱团谈业绩，公募基金寻找估值之锚,Wind
358,2021-01-27,1292家公司预告全年业绩 644家预增,证券之星
359,2021-01-27,疫情下红外测温仪“升温” 富吉瑞冲刺科创板,证券时报
360,2021-01-26,598家公司全年业绩预增,证券之星
361,2021-01-25,航空航天科技行业4Q20基金持仓：机构持续加仓 略超配仍有较大提升空间,新浪
362,2021-01-25,524家公司全年业绩预增,证券之星
363,2021-01-25,红外热成像“江湖”要添新势力？ 富吉瑞“赶考”科创板,上证报
364,2021-01-23,自主创新能力增强 军工板块业绩喜人,上证报
365,2021-01-22,1030家公司预告全年业绩 473家预增,证券之星
366,2021-01-21,陈光明旗下基金调仓曝光！赵诣、傅鹏博加仓新能源,中证报
367,2021-01-21,全年业绩高增长股提前看，243股净利润增幅翻倍,证券之星
368,2021-01-20,高德红外(002414)：开年重大合同落地 订货饱满需求旺盛,新浪
369,2021-01-20,全年业绩高增长股提前看，229股净利润增幅翻倍,证券之星
370,2021-01-20,A股早报2021年1月20日星期三,Wind
371,2021-01-19,高德红外：签订热像仪产品订货合同,e公司
372,2021-01-19,高德红外(002414.SZ)：近日签订两份合同合同额合计4.01亿元,格隆汇
373,2021-01-19,军工强周期系列报告之二：红外制导系统应用快速增长,新浪
374,2021-01-19,402家公司全年业绩预增,证券之星
375,2021-01-19,国防行业行业点评报告：中航推三年改革 打造若干千亿市值公司；首推整机！,新浪
376,2021-01-18,军工行业观察：“十四五”行业需求加速伊始 逢低配置军工优质资产,新浪
377,2021-01-18,全年业绩高增长股提前看，198股净利润增幅翻倍,证券之星
378,2021-01-18,年报披露本周拉开序幕 龙头公司盈利能力强大,财富动力网
379,2021-01-15,年报预告披露公司增至909家，四大行业“喜报”频传,Wind
380,2021-01-15,334家公司全年业绩预增,证券之星
381,2021-01-14,武汉商超安装电子测温门，全面淘汰手持测温枪,RFID世界
382,2021-01-14,314家公司全年业绩预增,证券之星
383,2021-01-13,769家公司预告全年业绩 294家预增,证券之星
384,2021-01-13,武汉高德红外股份有限公司《关于第十八届发审委对武汉高德红外 股份有限公司非公开发行股票申请文件审核意见的函》的回复公告,中证报
385,2021-01-12,全年业绩高增长股提前看，148股净利润增幅翻倍,证券之星
386,2021-01-11,春季躁动！154家公司业绩翻番，年报行情成重头戏,Wind
387,2021-01-11,重磅突发！百度宣布重大决定，龙头股秒板，超5万手大单封死涨停,证券时报网
388,2021-01-07,668家公司预告全年业绩 219家预增,证券之星
389,2021-01-06,军工行业呈现出一派火热景象 已经供不应求需要不断扩产,中投网
390,2021-01-06,214家公司全年业绩预增,证券之星
391,2021-01-06,订单拿到手软 这个行业寒冬中春意盎然,上证报
392,2021-01-05,22股获买入评级 最新:方正电机,中财网
393,2021-01-05,海康威视涨超8%，市值首次突破5000亿元,Wind
394,2021-01-05,全年业绩高增长股提前看，118股净利润增幅翻倍,证券之星
395,2021-01-05,32股获券商买入评级，成都银行目标涨幅达52.91%,Wind
396,2021-01-04,高德红外：非公开发行A股股票申请获得证监会发审委审核通过,e公司
397,2021-01-04,高德红外(002414.SZ)：定增申请获中国证监会核通过,格隆汇
398,2021-01-04,军工股走强，公募机构配置比例加大，关注板块龙头,第一财经
399,2020-12-30,即装即用-高德红外QT系列人体测温新品首发,工业电器网
400,2020-12-30,623家公司预告全年业绩 185家预增,证券之星
401,2020-12-30,79家公司获机构调研（附名单）,证券之星
402,2020-12-29,182家公司全年业绩预增,证券之星
403,2020-12-28,615家公司预告全年业绩 180家预增,证券之星
404,2020-12-25,全年业绩高增长股提前看，108股净利润增幅翻倍,证券之星
405,2020-12-25,61家公司获机构调研（附名单）,证券时报网
406,2020-12-23,高德红外(002414)：装备总体资质落地 民营军工集团进击,新浪
407,2020-12-23,171家公司全年业绩预增,证券之星
408,2020-12-22,中国疫苗获突破性进展！聪明资金扫货4000亿白马,证券时报网
409,2020-12-22,602家公司预告全年业绩 170家预增,证券之星
410,2020-12-17,高德红外：签订三份型号产品订货合同,e公司
411,2020-12-17,全年业绩高增长股提前看，103股净利润增幅翻倍,证券之星
412,2020-12-15,164家公司全年业绩预增,证券之星
413,2020-12-11,163家公司全年业绩预增,证券之星
414,2020-12-09,全年业绩高增长股提前看，103股净利润增幅翻倍,证券之星
415,2020-12-03,87家公司获机构调研（附名单）,证券时报网
416,2020-12-02,高德红外(002414.SZ)实控人黄立解押2550万股,格隆汇
417,2020-12-01,600份年报预告抢鲜看：“小牛”才露尖尖角,Wind
418,2020-12-01,85家公司获机构调研(附名单),中财网
419,2020-12-01,【兴业证券晨会聚焦1201】宏观-11月PMI数据点评；策略-12月A股金股组合；海外-12月港股金股组合,兴证研究
420,2020-11-30,高德红外(002414.SZ)：实控人黄立质押695万股,格隆汇
421,2020-11-30,[公司]高德红外：明年订单已经陆续下达,全景网
422,2020-11-30,[公司]高德红外：小型传感器可能会有爆发性的增长,全景网
423,2020-11-30,A股异动 | 高德红外(002414.SZ)高开近4% 签订1.53亿元的某型号完整WQ系统外贸采购合同,格隆汇
424,2020-11-27,高德红外(002414)：军品中标及合同接踵而至 竞争能力加速显现,新浪
425,2020-11-27,高德红外：获1.53亿元军贸合同,e公司
426,2020-11-27,高德红外(002414.SZ)：签订1.53亿元的某型号完整WQ系统外贸采购合同,格隆汇
427,2020-11-27,金融领涨大盘震荡走高，掘金低估值蓝筹补涨机会,重庆商报
428,2020-11-26,哪些A股公司掌门人是全国劳模？,上证报
429,2020-11-24,高德红外(002414.SZ)收到某型号系统产品《胜出通知书》,格隆汇
430,2020-11-23,高德红外：子公司签订1.11亿元合同,中证网
431,2020-11-23,高德红外(002414.SZ)：汉丹机电签订1.11亿元非致命弹药类型号产品订货合同,格隆汇
432,2020-11-23,国内有哪些芯片公司处于世界前10？一起看看！,慧聪电子网
433,2020-11-20,高德红外签订1.28亿元某型号系统产品订货合同,企查查
434,2020-11-19,高德红外(002414.SZ)：近日签订1.28亿元合同,格隆汇
435,2020-11-14,大立科技精准拿捏融资节奏 无法摆脱业绩下滑怪圈 盈利能力下降,证券市场周刊
436,2020-11-13,全年业绩高增长股提前看，102股净利润增幅翻倍,证券之星
437,2020-11-13,行业景气叠加政策利好，今年以来军工企业再融资案创新高,Wind
438,2020-11-11,高德红外：非公开发行股票涉及军工事项审查获得主管部门批复,Wind
439,2020-11-09,565家公司预告全年业绩 144家预增,证券时报
440,2020-11-09,机械军工行业：2020Q3基金持仓占比大幅提升 军工板块获全面性加仓,新浪
441,2020-11-04,高德红外：公司及子公司汉丹机电近期签订多个订货合同 合计金额约2.22亿元,发布易
442,2020-11-04,高德红外：签获2.22亿订货合同,格隆汇
443,2020-11-04,高德红外(002414.SZ)：签订合计约2.22亿元的合同,格隆汇
444,2020-11-04,军工股午后走高，三季报业绩稳健增长，三条主线配置,第一财经
445,2020-11-04,中信证券：建议顺势而为布局军工高景气板块 精选确定性高的优质个股,证券时报网
446,2020-11-04,主题策略&军工｜导弹产业步入井喷，精确制导点睛核心：高景气产业研究,中信证券研究
447,2020-11-03,高德红外(002414.SZ)申请非公开发行股票获证监会受理,智通财经
448,2020-11-03,高德红外(002414.SZ)：定增申请获中国证监会受理,格隆汇
449,2020-11-02,三季度提前布局年报预增股 冯柳、刘格菘、冯明远、傅鹏博剑指这些标的,红周刊
450,2020-11-02,【东吴电子王平阳团队】2020三季度电子行业旺季来临，消费电子、半导体龙头实现快速增长,东吴电子研究
451,2020-11-01,高德红外(002414)：民用多点布局 军品持续增长,新浪
452,2020-10-31,巨丰访谈：三季报披露处于尾声阶段 哪些板块要重点潜伏？,巨丰财经
453,2020-10-30,睿创微纳(688002)2020年三季报业绩点评：Q3净利润同比+328.79% 军品收入规模同比增长约2倍,新浪
454,2020-10-30,武汉高德红外股份有限公司 关于完成经营范围变更及《公司章程》备案登记的公告 业务变化,证券时报
455,2020-10-28,高德红外：前三季度净利润同比增长239.36%,Wind
456,2020-10-28,高德红外产品热销前三季盈利7.96亿 近三成员工从事研发打造“中国红外芯”,长江商报
457,2020-10-28,公募“顶流”刘格菘最新动向揭晓，斥资超百亿重仓三只新能源标的,上证报
458,2020-10-28,军品与民品需求大增 高德红外前三季净利增239%,证券时报
459,2020-10-27,高德红外第三季度净利同比增226.45% 预计2020年全年业绩同比增330%-380%,证券日报网
460,2020-10-27,高德红外2020前三季净利同比增239% 军品与民品需求大增,e公司
461,2020-10-27,晚间重要公告2020年10月27日星期二,Wind
462,2020-10-27,高德红外：2020年预计净利润同比增长330.0%~380.0%,Wind
463,2020-10-27,高德红外公布三季报 前三季净利增加239.36%,新浪
464,2020-10-27,高德红外(002414.SZ)：前三季度净利升239.36%至7.96亿元,格隆汇
465,2020-10-27,高德红外(002414.SZ)第三季度归母扣除非经常性损益的净利润2.71亿元,智通财经
466,2020-10-27,高德红外：前三季度净利同比增长239.36%,Wind
467,2020-10-27,高德红外：前三季度净利同比增长239.36%,e公司
468,2020-10-23,高德红外：签订3.33亿元军品订货合同,Wind
469,2020-10-23,高德红外：签订3.33亿元军品订货合同 占上年营收的20%,e公司
470,2020-10-23,高德红外(002414.SZ)：签订约3.33亿元的非致命弹药类多个型号产品订货合同,格隆汇
471,2020-10-13,策略系列：一周策略回顾与展望,新浪
472,2020-10-13,又被减持！芯片龙头怎么了？公募社保也抛售,券商中国
473,2020-10-12,高德红外：公司营收中民用占比较高,Wind
474,2020-09-29,高德红外(002414.SZ)拟定增募资不超25亿元用于新一代自主红外芯片研发及产业化项目等,格隆汇
475,2020-09-29,高德红外(002414.SZ)：收到某型号产品竞争择优结果的函,格隆汇
476,2020-09-29,高德红外(002414.SZ)：拟增加经营范围凭国家许可证生产特种产品,格隆汇
477,2020-09-27,高德红外(002414)：军品任务饱满+民品重大突破 红外龙头业绩持续高速增长,新浪
478,2020-09-23,高德红外：签订6420万元政府装备类产品订货合同,Wind
479,2020-09-23,高德红外(002414.SZ)：签订6420万元政府装备类产品订货合同,格隆汇
480,2020-09-21,188家中小板公司前三季业绩亮相 40.43%预增,证券时报
481,2020-09-17,高德红外(002414.SZ)：实控人黄立解除质押3230万股,格隆汇
482,2020-09-15,高德红外(002414.SZ)：实控人黄立质押1258万股,格隆汇
483,2020-09-10,国防军工行业2020年中报财务分析：前瞻性指标向好 经营效益持续改善 零部件民企积极扩产,新浪
484,2020-09-10,高德红外上半年营收11.76亿，红外热像仪及综合光电系统占比最大,中国机经网
485,2020-09-07,国防军工2020年半年报综述：Q2呈现恢复式增长 全年有望稳定提升,新浪
486,2020-09-07,【天风军工】2020H1延续景气扩张，“十四五”方向领先板块,tf防务深评
487,2020-09-04,502份三季报预告四成预喜，22只ST股保壳压力大,Wind
488,2020-09-03,疫情下测温枪市场需求暴涨 传感器需求上涨,新浪
489,2020-09-03,额温枪的下半场：本土企业全力扩容 芯片仍依赖进口,21世纪经济报道
490,2020-09-03,额温枪的下半场： 本土企业全力扩容 芯片仍依赖进口,21世纪经济报道
491,2020-09-02,电子行业2020年半年度总结和9月投资策略：军工、红外和苹果产业链持续高景气,光大证券
492,2020-09-02,高德红外(002414)2020年中报点评：H1业绩大幅增长 大额合同支撑持续发展,新浪
493,2020-08-27,刘格菘、傅鹏博、丘栋荣、刘彦春次重仓股名单曝光,中证报
494,2020-08-26,[路演]高德红外：2020年上半年在军贸完整WQ系统方面首次实现了订单销售,全景网
495,2020-08-25,高德红外：前三季度预计净利润同比增长1.9倍~2.4倍,Wind
496,2020-08-25,高德红外：上半年净利润同比增长246.7%,Wind
497,2020-08-25,中国科学技术协会党组书记怀进鹏一行调研高德红外,电子信息产业网
498,2020-08-08,A股：军工崛起板块，最新最好的30只潜力龙头股一览（名单）低估值！,搜狐
499,2020-08-07,高德红外MEMS测温芯片等入选工信部物联网示范名单,唯样资讯
500,2020-08-05,主力凶猛扫货芯片股，9股上亿资金杀入！,证券时报网
501,2020-08-04,外贸市场冰火两重天 企业建品牌冲电商自救,时代在线
502,2020-07-30,军工行情正在慢慢发酵 哪些基金值得买？,理财周刊
503,2020-07-30,红外芯片+军工+消费电子 盘点科创板“业绩王”睿创微纳九大看点,凤凰网
504,2020-07-29,电子行业周报：集成电路生产恢复 5G智能手机价格下探,新浪
505,2020-07-28,华为吹响号角全力攻关“5G应用”，“科技浪”值得期待？,Wind
506,2020-07-24,美国又要搞事情？军工股大爆发，掀起涨停潮！,搜狐
507,2020-07-24,中国首次火星探测器升空军工股“涨”声欢送,证券时报
508,2020-07-23,“查成绩了”！湖北上市公司上半年成绩单：超30家公司预告负面，防疫股业绩与股价齐飞,每日经济新闻
509,2020-07-23,龙虎榜：赵老哥接盘作手新一买入高位股溧阳路一日游草草离场,金融界
510,2020-07-23,高德红外龙虎榜数据（7月23日）,Wind
511,2020-07-23,快讯：高德红外涨停 报于41.8元,金融界
512,2020-07-23,A股异动|高德红外(002414.SZ)涨停创新高日前再获约2.66亿元政府装备订单,格隆汇
513,2020-07-23,疫情催生红外传感器市场 龙头企业上半年业绩大涨超预期,21世纪经济报道
514,2020-07-22,半年报盈利大幅提升睿创微纳称仍未跨越让利抢市场阶段,科创板日报
515,2020-07-20,高德红外(002414.SZ)：全资子公司工研院拟投资设立孙公司,格隆汇
516,2020-07-20,太稀缺！连续3年中报高增长股票名单，近半数成十倍牛股,凤凰网
517,2020-07-20,军工板块持续火热 军工ETF临近尾盘涨停,上证报
518,2020-07-20,芯片股走势分化，韦尔股份、北京君正、卓胜微逆市大跌,Wind
519,2020-07-19,高德红外近日签订政府装备类产品订货合同共约2.65亿元,证券日报
520,2020-07-17,高德红外签订三份政府装备类合同,上证报
521,2020-07-17,高德红外：再获约2.66亿元政府装备订单,e公司
522,2020-07-17,高德红外：收到与客户签订的政府装备类产品订货合同，累计金额约2.66亿元,Wind
523,2020-07-17,高德红外：签订三份订货合同 累计金额2.66亿元,中证网
524,2020-07-17,高德红外(002414.SZ)：智感科技因经营发展需要变更其经营范围 业务变化,格隆汇
525,2020-07-17,高德红外(002414.SZ)：签订约2.66亿元的政府装备类产品订货合同,格隆汇
526,2020-07-17,A股“红包雨”——下周60家公司派现，3家送转,Wind
527,2020-07-16,疫情让红外热成像市场大热，高德躺赚,中电网
528,2020-07-16,海内外销售规模大增 高德红外上半年预盈近5亿元,长江商报
529,2020-07-15,高德红外(002414)：军民业务齐头并进 中报业绩超预期增长,新浪
530,2020-07-15,这10家公司发布公告有看点 主力参与有望稳步上涨,巨丰财经
531,2020-07-14,海内外销售规模明显增长 高德红外半年报业绩由预增1倍大幅上修至逾2倍,中国证券网
532,2020-07-14,高德红外上修半年度业绩预告,中国证券网
533,2020-07-14,高德红外：上修业绩预期 上半年净利同比预增220%-260%,新浪
534,2020-07-14,高德红外：上修半年度业绩预期，预计业绩同比增长超2倍,Wind
535,2020-07-13,国防军工行业周报：战略看多“十四五” 高成长优质标的将现稀缺性,新浪
536,2020-07-10,国防军工深度解析精确制导武器产业链之一：现代战争主要耗材 长期快速增长可期,新浪
537,2020-07-07,625家公司预告上半年业绩 28.80%报喜,证券时报
538,2020-07-07,军工行业周报：市场交易情绪升温 关注军工优质低估值品种修复行情,新浪
539,2020-07-06,银行券商批量涨停，2015年行情已经到来？,Wind
540,2020-07-06,军工行业周报：ARJ21首次交付三大航 国产飞机进入主流民航市场,新浪
541,2020-07-03,业绩预增王竟是它！最猛预增25倍 估值最低不到5倍,证券时报
542,2020-07-03,业绩预增王新五丰预计暴增25倍 光刻机龙头业绩爆发,新浪
543,2020-07-02,中报预增股接连涨停，一季报推演寻黑马（附股）,Wind
544,2020-07-01,军工行业周报：上半年外资增持军工新材料、信息化等板块优质个股,新浪
545,2020-06-23,高德红外：公司的红外避障系统、超声波儿童防遗落系统已在多个项目中中标,格隆汇
546,2020-06-23,业绩高增长股名单：46股上半年净利润预计翻倍,证券时报
547,2020-06-23,国防军工导弹专题研究：增长快、消耗大、确定性高的军工装备,新浪
548,2020-06-23,上市公司正负面新闻2020年6月23日星期二,Wind
549,2020-06-22,国防军工行业2020年下半年投资策略：无畏疫情 坚定增长,光大证券
550,2020-06-22,晚间重要公告2020年6月22日星期一,Wind
551,2020-06-22,高德红外：签订1.45亿元军品供货合同,e公司
552,2020-06-22,高德红外(002414.SZ)签订两份军品红外热像仪订货合同,格隆汇
553,2020-06-22,高德红外：收到两份军品订货合同，总价1.45亿元,Wind
554,2020-06-22,535家公司预告上半年业绩 20.93%报喜,证券时报
555,2020-06-18,A股共发生128宗大宗交易成交34.76亿元（6月18日）,Wind
556,2020-06-18,高德红外现1笔大宗交易 共成交444.21万元,新浪
557,2020-06-18,高德红外今日大宗交易成交17万股，成交价26.13元溢价0.0%,Wind
558,2020-06-18,【读财报】电子行业2020年中报业绩前瞻：电子制造及红外领域普遍向好 半导体及光学光电子企业利润承压,新华网
559,2020-06-18,【读财报】电子行业2020年中报业绩前瞻：电子制造及红外领域普遍向好 半导体及光学光电子企业利润承压 盈利能力下降,新华网
560,2020-06-18,电子行业2020年中报业绩前瞻:电子制造及红外向好 半导体利润承压 盈利能力下降,面包财经
561,2020-06-17,行业高景气，126家预喜，寻找中报“绩优股”,Wind
562,2020-06-17,大宗交易平台成机构择股新通道，179家公司获资金净买入,红周刊
563,2020-06-16,卓胜微、韦尔股份盘中跳水压制芯片板块,Wind
564,2020-06-12,竭尽全力保防疫物资供应——防疫物资生产企业负责人谈《抗击新冠肺炎疫情的中国行动》白皮书,经济日报
565,2020-06-11,高德红外：自产探测器模组产品将伴随新型号空调一起推出进入市场,上证报
566,2020-06-10,上半年业绩暴增股名单 （附股）,证券时报
567,2020-06-09,国防军工行业点评报告：军工白马加大底部配置 持续看好工程机械和半导体设备板块,新浪
568,2020-06-04,湖北自贸区来了！三大城市受益，六大产业迎利好,券商中国
569,2020-06-02,深交所：深证成指、创业板指、深证100等指数调整样本股,Wind
570,2020-06-02,6月2日沪深两市最新交易提示,金融界
571,2020-06-01,上半年业绩暴增股名单 （附股）,证券时报
572,2020-05-29,上市公司进入分红实施季46股走出填权行情,证券时报
573,2020-05-27,上半年业绩暴增股名单 （附股）,证券时报
574,2020-05-26,国防军工行业周报：军工逆周期价值凸显 工程机械、半导体设备进入景气周期,新浪
575,2020-05-26,物以稀为贵！高分红逐年减少，17股进入抢权阶段,Wind
576,2020-05-26,A股异动 | 高德红外(002414.SZ)大涨8% 已签订海外订单并逐渐交付,格隆汇
577,2020-05-26,解盘：资金流入个股齐升，机器视觉、智能音箱、网红经济领涨,Wind
578,2020-05-25,高德红外(002414.SZ)2019年度权益分派10转7派2元 股权登记日为6月1日,格隆汇
579,2020-05-25,高德红外：目前已签订了相应海外订单并逐渐交付,Wind
580,2020-05-24,高德红外黄立：狠抓政策落实促进“六稳”“六保”,证券时报
581,2020-05-24,全国政协委员、高德红外董事长黄立：狠抓政策落实 促进“六稳”“六保”,Wind
582,2020-05-24,【两会·e线】高德红外董事长：建议复制推广一些地方优化营商环境、有效应对疫情的好经验好做法,e公司
583,2020-05-23,抗疫复工：见证迸发的中国企业力量,上证报
584,2020-05-22,20股获券商买入评级 常山北明目标涨幅达49.41%,Wind
585,2020-05-21,【两会·e线】高德红外黄立：建议更大力度开放无人机低空空域,e公司
586,2020-05-21,全国政协委员、高德红外董事长黄立：用高科技手段建立高效智慧的森林防火体系,证券日报
587,2020-05-21,高德红外黄立：以高科技为抓手加强社会应急能力建设,上证报
588,2020-05-21,全国政协委员、高德红外董事长黄立： 3份提案“科技感”爆棚 聚焦智慧森林防扑火等领域,21世纪经济报道
589,2020-05-20,开源晨会0522丨高德红外、石头科技,开源证券研究所
590,2020-05-14,国防军工行业投资策略：军工股估值体系新论：比较视野、历史眼光与现时体系,新浪
591,2020-05-13,疫情下的A股半年报前瞻：电子股“喜忧参半”,21世纪经济报道
592,2020-05-11,中期业绩预喜占比创历史新低 猪产业链、医疗器械类业绩有保障,红周刊
593,2020-05-11,A股不再“五穷六绝”？这些业绩爆棚企业已获机构增持,21世纪经济报道
594,2020-05-10,这只新股被主力盯上!开板后5涨停 股东数半月降65%,e公司
595,2020-05-08,144家公司获机构调研（附名单）,证券时报
596,2020-05-07,3832份A股一季报掘金：357家公司业绩翻番，疫情下哪些公司在默默发财,时代周报
597,2020-05-06,【华泰军工】高德红外2019年年报点评：红外业务高速增长，2020开局良好,华泰军工研究团队
598,2020-05-06,社保基金一季度重仓股揭秘：新进138股 增持159股,证券时报
599,2020-05-06,149家中小板公司上半年业绩亮相 28.86%预增,证券时报
600,2020-05-06,机构调研重新活跃，分众传媒、汇川技术受关注,Wind
601,2020-05-05,【民生军工】军工行业2019年年报和2020年一季报综述：一季度业绩承压，全年有望稳定增长,MS国防军工
602,2020-04-30,高德红外：公司成立的DD研究院在军工领域表现出强大竞争力,Wind
603,2020-04-30,一季报十大增长王出炉：新劲刚增297倍领衔,投资快报
604,2020-04-29,高德红外：2019年扣非净利同比增长108.29% 红外测温产品2020年一季度需求暴增,证券日报
605,2020-04-29,84家中小板公司上半年业绩亮相 35.71%预增,证券时报
606,2020-04-29,业绩高增长股名单：22股上半年净利润预计翻倍,证券时报
607,2020-04-29,社保基金一季度抱团持有28股（附股）,证券时报
608,2020-04-28,高德红外：一季度实现净利1.58亿元 已达上年全年七成,中证网
609,2020-04-28,扣非净利润连续两年翻倍 高德红外拟10转7派2元,上证报
610,2020-04-28,社保基金一季度重仓股揭秘：新进65股 增持75股,证券时报
611,2020-04-28,业绩高增长股名单：15股上半年净利润预计翻倍,证券时报
612,2020-04-28,军品采购逐渐恢复，上市公司积极应标,Wind
613,2020-04-28,高德红外：上半年预计净利润同比增长80.0%~110.0%,Wind
614,2020-04-28,高德红外(002414.SZ)2019年度净利润升67.34%至2.21亿元 拟10转7派2元,格隆汇
615,2020-04-28,高德红外(002414.SZ)一季度净利润升2561.06%至1.59亿元,格隆汇
616,2020-04-27,高德红外：2019年净利润同比增长67.34%,Wind
617,2020-04-27,高德红外：一季度净利润同比增长2561.06%,Wind
618,2020-04-27,A股共发生87宗大宗交易成交14.25亿元（4月27日）,Wind
619,2020-04-27,高德红外今日大宗交易成交10万股，成交价38.3元溢价0.0%,Wind
620,2020-04-26,"军工板块""狙击""新冠疫情 红外热成像业务一季度大爆发",券商中国
621,2020-04-26,军工企业靠民品业务赢得喘息机会？,券商中国
