,2021-12-31,四川再添南向出川大通道 宜宾实现“县县通高速”,科技日报
492,2021-07-16,中国中铁控股子公司环境违法被罚10万元 环保处罚,每日经济新闻
493,2021-07-15,中国中铁：完成发行30亿元中期票据 票面利率3.2%,中国网
494,2021-07-15,建筑行业8月月报：竣工如期高增长 关注后周期产业链,新浪
495,2021-07-14,长城建材-中铁装配（300374）点评：各地装配式建筑政策出台，行业前景良好,高材疾足
496,2021-07-12,建筑行业定期报告：降准有望显着提升建筑板块投资信心和估值水平,新浪
497,2021-07-11,中国中铁控股子公司环境违法被罚5万元,每日经济新闻
498,2021-07-11,中国中铁控股子公司环境违法被罚0.2万元,每日经济新闻
499,2021-07-09,中国中铁拟对30亿元债券付息，最高每10派发0.399,乐居财经
500,2021-07-09,中国中铁(00390):2019年公司债券(第三期)将于7月16日付息,智通财经
501,2021-07-08,中国中铁将于7月30日分派A股红利，8月5日分派H股红利,乐居财经
502,2021-07-08,中国中铁(601390.SH)A股现金红利发放日为7月30日,智通财经
503,2021-07-08,中铁拟发行第三期中期票据 发行金额上限30亿元,观点地产网
504,2021-07-08,中国中铁(00390.HK)高铁电气首发A股申请获中证监注册,财华社
505,2021-07-07,中国中铁(00390)：中国证监会同意高铁电气在科创板IPO的注册申请,智通财经
506,2021-07-07,中国中铁(00390.HK)：中国证监会同意高铁电气科创板上市注册申请,格隆汇
507,2021-07-07,中国中铁：高铁电气科创板IPO的注册申请获证监会同意,e公司
508,2021-07-07,中国中铁(601390.SH)：高铁电气科创板IPO申请获证监会注册,格隆汇
509,2021-07-07,中国中铁：子公司高铁电气科创板上市申请获中国证监会注册,财联社
510,2021-07-07,信物百年丨从新中国第一条铁路走出的开路先锋！,北京日报
511,2021-07-07,中国中铁拟发行3年期30亿元中期票据,乐居财经
512,2021-07-06,中国中铁：公司2020年年报中披露的矿产品产量均为纯金属产量,Wind
513,2021-07-06,中国中铁：公司下属子公司高铁电气分拆至科创板上市事宜已获上交所科创板上市委审议通过,Wind
514,2021-07-05,建筑行业每周观点：“新能源+建筑”高歌猛进 继续重点推荐永福股份,新浪
515,2021-07-04,【招商建筑定期报告】看好建筑板块未来估值提升的几个理由,微信
516,2021-07-04,建筑与工程行业周报：钢构、化学工程相对景气 新赛道快速成长,新浪
517,2021-07-02,中铁装配(300374)：领先的装配式建筑一体化提供商 背靠中铁发挥协同效应,新浪
518,2021-07-01,建筑7月月报：雨季致新签订单放缓 整体仍稳定扩张,新浪
519,2021-06-29,建筑行业2021年中期投资策略：多因素驱动下 建筑板块或迎来估值回升,新浪
520,2021-06-29,长城建材-中铁装配（300374）点评：聘任安振山为副总经理，并代为履行总经理职责,高材疾足
521,2021-06-28,中国中铁孟加拉国帕德玛大桥铁路连接线项目取得重要进展,新华网
522,2021-06-28,【安信建筑】行业周报0628：屋顶分布式光伏试点方案发布，交通固定资产投资稳步提升,勇往直前
523,2021-06-28,新型轨道交通创新发展大会举办,安徽日报
524,2021-06-24,35.7万/吨创新高 动力电池的“心脏”材料触底反弹！概念股名单来了,中财网
525,2021-06-24,海达股份：公司在轨道交通领域与中国中铁、中国铁建、中国中车等大型集团及下属企业长期有业务往来,每日经济新闻
526,2021-06-23,中国中铁：股东大会审议及批准本公司2020年度董事会工作报告,Wind
527,2021-06-21,建筑行业周观点：把握双主线 关注“混改”与“聚焦主业”的投资机会,新浪
528,2021-06-21,首批9只公募REITs全部实现溢价交易 今日是好的买点吗？ 丨火线解读,第一财经
529,2021-06-21,【安信建筑】行业周报0620：基建投资稳步增长，后续投资规模值得期待,勇往直前
530,2021-06-21,中国中铁：成功发行30亿元可续期公司债券 票面利率3.73%、4.05%,中国网
531,2021-06-19,武桥重科工程有限公司环境违法被罚1万元 环保处罚,每日经济新闻
532,2021-06-18,央企在沪设立城市开发研究院 聚焦智慧城市等热点课题,东方网
533,2021-06-18,中国中铁城市开发研究院在沪揭牌,中新网
534,2021-06-18,中国中铁践行“三个转变”助推高质量发展,中证报
535,2021-06-17,中国中铁：30亿元可续期公司债券票面利率最高为4.05%,中国网
536,2021-06-17,建筑与工程点评报告：5月基建同比受高基数拖累 相比2019保持稳健增长,新浪
537,2021-06-16,建筑行业2021年度中期投资策略：碳至中和 传统建筑孕育新机会,新浪
538,2021-06-16,中国中铁：北京住建委已派专家组调查公司旗下房地产项目的质量问题并讨论处理方案,Wind
539,2021-06-15,中国中铁：拟发行10亿元公司债券 票面利率为3.60%,乐居财经
540,2021-06-15,中国中铁(00390)：每手“20铁工Y5”将于6月24日派息36元,智通财经
541,2021-06-15,中国中铁(00390.HK)“20铁工Y5”将于6月24日付息,格隆汇
542,2021-06-11,建筑装饰行业专题研究之四：首批基建公募REITS 发行超预期 期待建筑企业价值重估,光大证券
543,2021-06-11,建筑装饰行业深度研究：营收利润增长有韧性，现金流大幅改善,新浪
544,2021-06-11,昆明森铁木业有限公司环境违法被罚50万元 环保处罚,每日经济新闻
545,2021-06-11,云南昆铁昆安铁路有限公司环境违法被罚30万元 环保处罚,每日经济新闻
546,2021-06-11,BlackRock Inc.减持中国中铁股份约56.90万股,每日经济新闻
547,2021-06-11,中国中铁间接控股子公司环境违法被罚20万元 环保处罚,每日经济新闻
548,2021-06-11,港股盘前必读：美国三大股指集体收涨，多家银行陆续实施分红,Wind
549,2021-06-10,中国中铁(00390.HK)近期中标511.5亿元重大工程,格隆汇
550,2021-06-10,晚间重要公告2021年6月10日星期四,Wind
551,2021-06-10,中国中铁：重大工程中标,每日经济新闻
552,2021-06-10,中国中铁(601390.SH)近期中标总价值511.51亿元的工程项目,智通财经
553,2021-06-10,中国中铁：近期中标若干重大工程合计约511.51亿元,财联社
554,2021-06-10,中国中铁(601390.SH)：近期中标若干重大工程合计约511.509亿元,格隆汇
555,2021-06-10,【银河晨报】6.10丨建筑：大国基石，行稳致远—2021年中期策略,新浪
556,2021-06-09,海外信用评级汇总2021年6月9日星期三,Wind
557,2021-06-09,中国银河维持建筑行业推荐评级：大国基石，行稳致远,每日经济新闻
558,2021-06-09,建筑行业2021年中期策略：大国基石 行稳致远,新浪
559,2021-06-09,惠誉：确认中国中铁长期发行人违约评级为“A-”，展望“稳定”,Wind
560,2021-06-08,中国中铁(00390)：2020年可续期公司债券(第二期)将于6月16日付息,智通财经
561,2021-06-08,建筑装饰2021中期行业策略行业策略：把握转型升级大势 掘金万亿变革新机,新浪
562,2021-06-08,太平洋证券研究 6月8日最新观点：减隔震布局正当时,太平洋证券研究
563,2021-06-08,【奋斗百年路 启航新征程】中国中铁设计集团：党建凝聚奋进力量,经济日报
564,2021-06-07,建筑行业周观点：持续看好钢结构与装配式装修,华创建筑建材研究
565,2021-06-07,建筑行业周点评：建筑板块估值可能已经见底的几个理由,新浪
566,2021-06-07,【太平洋建筑】减隔震布局正当时——周观点0606,太平洋建筑研究
567,2021-06-06,【安信建筑】行业周报0606：科学绿化指导意见重磅发布，碳中和下生态园林行业有望迎新契机,勇往直前
568,2021-06-05,武桥重科工程有限公司环境违法被罚1万元 环保处罚,每日经济新闻
569,2021-06-05,中国中铁间接控股子公司环境违法被责令改正 其他违规处罚,每日经济新闻
570,2021-06-04,中国中铁：成功发行30亿元可续期公司债券 最高票面利率3.85%,中国网
571,2021-06-03,小摩：全年基建资本开支前景维持利好 中国中铁(00390)及中国铁建(01186)下半年或迎复苏表现,智通财经
572,2021-06-03,建筑行业集中度提升，关注四条主线,银河证券
573,2021-06-02,中国铁建(601186)深度报告：基建“国家队”转型投资运营商 分拆过会有望提升估值中枢,新浪
574,2021-06-01,中国银河证券维持建筑行业推荐评级：行业集中度提升，绿色建筑助发展,每日经济新闻
575,2021-06-01,建筑行业6月月报：行业集中度提升 绿色建筑助发展,新浪
576,2021-05-31,长城证券：中铁装配（300374.SZ）总经理人事变动，管理层延期换届，维持“增持”评级,智通财经
577,2021-05-31,申万宏源建筑周报：外资持A股比例与人民币升值具备一定正相关性,新浪
578,2021-05-30,建筑行业周观点：交铁合一“蜀道”生，继续推荐四川路桥,华创建筑建材研究
579,2021-05-27,海外信用评级汇总2021年5月27日星期四,Wind
580,2021-05-27,中国中铁控股子公司环境违法被罚10万元 环保处罚,每日经济新闻
581,2021-05-27,中国中铁(00390)发行不超过500亿元债券获证监会同意,智通财经
582,2021-05-27,中国中铁(00390.HK)公开发行公司债注册获中国证监会批复总额不超500亿元,格隆汇
583,2021-05-27,中国中铁(601390.SH)公开发行不超500亿元公司债券获中国证监会同意,智通财经
584,2021-05-27,中国中铁：500亿元公司债券获中国证监会批复,中金在线
585,2021-05-27,中国中铁(601390.SH)获批发行不超500亿元公司债,格隆汇
586,2021-05-27,标普：确认中国中铁“BBB+”长期发行人信用评级，展望“稳定”,Wind
587,2021-05-26,中国短期融资券及中期票据信用分析周报,新浪
588,2021-05-26,中国中铁500亿元小公募公司债券在上交所注册生效,中金在线
589,2021-05-25,西安市委书记王浩：欢迎中国中铁把更多产业项目布局在西安,证券时报网
590,2021-05-25,逾60家公司拟“A拆A”，母公司盈利能力或是成败关键,Wind
591,2021-05-25,电气科技公司科汇股份闯关IPO，服务国家电网、中国中铁、中国铁建等国企,21商评网
592,2021-05-24,浙商早知道 | 5月25日,浙商证券研究所
593,2021-05-24,兴证建筑每周观点：“混改”建筑民企表现突出 建议继续重点关注,新浪
594,2021-05-23,建筑行业周观点：4月投资数据公布，基建持续修复，地产销售维持高增长,华创建筑建材研究
595,2021-05-23,【安信建筑】行业周报0523：4月基建投资稳步增长，首批基建公募REITs项目获批,勇往直前
596,2021-05-21,大摩：下调中国中铁(00390)目标价至6港元 给予“增持”评级 机构下调估值,智通财经
597,2021-05-20,中国中铁(00390)：每手“20铁工Y1”将于5月27日付息31.1元,智通财经
598,2021-05-20,"中国中铁(00390.HK)：""20铁工Y1""将于5月27日付息",格隆汇
599,2021-05-19,建筑与工程点评报告：4月基建增速回归常态 继续看好低估值,新浪
600,2021-05-18,国资委主任郝鹏到机械总院集团、中国中铁调研,Wind
601,2021-05-18,建筑行业周观点：持续关注低碳和绿色新赛道 公募REITS快速落地,新浪
602,2021-05-17,建筑月报：新签订单高增长 估值有望触底回升,新浪
603,2021-05-17,建筑行业：4月社融规模增速放缓 安徽省水利建设获推进,新浪
604,2021-05-13,国资委称深化法治央企建设“先立规矩后办事”,Wind
605,2021-05-13,中国中铁：推动合规管理全面覆盖、全程贯穿,中证网
606,2021-05-13,高铁电气过会：今年IPO过关第147家 中信建投过8单,中国经济网
607,2021-05-13,并购优塾--中国建筑VS中国中铁：2021年5月跟踪，建筑施工产业链深度梳理【行业研究】,金融界股吧
608,2021-05-13,港股公告精选：中国恒大折让20%出售恒大汽车2.66%股权,Wind
609,2021-05-12,中国中铁：高铁电气IPO申请通过上市委审议,科创板日报
610,2021-05-12,两家铁路装备企业同日过会 央企持股国资实控,e公司
611,2021-05-12,中国中铁(601390.SH)：高铁电气IPO申请通过上市委审议,格隆汇
612,2021-05-12,资产质量分析专题报告：重视“有质量的增长”,新浪
613,2021-05-12,高铁电气信披数据存疑关联销售过半，原董事长卷入刘志远受贿案 其他违规处罚,中金在线
614,2021-05-11,中铁工服盾构云平台亮相中国品牌日,光明网
615,2021-05-11,中国中铁智能化高端装备产业园投产，打造特色盾构产业集群,Wind
616,2021-05-11,过半收入靠母公司中国中铁 高铁电气要IPO了 独立性是挑战,中财网
617,2021-05-11,22家央企“硬核”装备亮相高端装备制造创新成就展,中新网
618,2021-05-10,中国智造品牌论坛在京举行 众多中央企业展示高端装备制造创新成就,经济日报
619,2021-05-10,中国智造品牌论坛在京举行 22家央企亮相中央企业高端装备制造创新成就展,证券日报网
620,2021-05-10,8大建筑央企高管报酬明细公布！,北极星电力
621,2021-05-09,新三板又一例分拆上市，这家国企冲刺IPO！前4月50家公司成功“转板”过会,证券时报网
622,2021-05-08,中国中铁(601390)：21Q1净利增超80% 利润率提升,新浪
623,2021-05-07,中国中铁与吉林市政府签署《战略合作框架协议》,证券时报网
624,2021-05-07,中国中铁500亿元小公募公司债券已获上交所受理,中金在线
625,2021-05-07,中国中铁(601390)：Q1营收业绩大幅增长超预期 经营速度与质量并重,新浪
626,2021-05-07,【每日丝路快讯】5月7日：“五一”假期红色主题游受欢迎，全国国内游出游2.3亿人次,Wind
627,2021-05-07,【中国中铁（601390.SH、0390.HK）】营收及盈利能力边际改善，大额资产减值充分释放经营风险——20年报21Q1报点评,光大证券
628,2021-05-06,安信证券维持中国中铁买入评级：营收业绩快速增长，盈利能力显着提升,每日经济新闻
629,2021-05-06,安信证券：中国中铁(601390.SH)各主营业务营收均正向增长，维持“买入-A”评级,智通财经
630,2021-05-06,【每日丝路快讯】5月6日：中国一带一路网理事会在京成立,Wind
631,2021-05-06,建筑行业周观点：建筑行业年报概览：钢结构高景气度持续，基建工程表现稳健且Q1恢复高增长,华创建筑建材研究
632,2021-05-06,去年A股公司营收占GDP总额52%，顺周期板块逆袭,Wind
633,2021-05-05,【安信建筑】行业周报0505：2020年建筑行业营收业绩稳健增长，2021Q1业绩高增，优质建筑国企投资价值凸显,勇往直前
634,2021-05-05,【安信建筑】公司研究：2021一季报点评（中国中铁601390.SH）-营收业绩快速增长，盈利能力显着提升,勇往直前
635,2021-05-04,小摩：中国中铁维持增持评级 目标价升至5.5港元,新浪
636,2021-05-04,小摩：中国中铁(00390)首季业绩胜预期 毛利率改善势头预将持续 目标价上调8%至5.5港元,智通财经
637,2021-04-30,建筑行业5月投资策略：订单大幅增长 行业迎来拐点,新浪
638,2021-04-30,国盛证券维持中国中铁买入评级：Q1营收业绩大幅增长超预期，经营速度与质量并重,每日经济新闻
639,2021-04-30,中国中铁(00390.HK)：聘任孔遁、马江黔及李新生为公司副总裁,格隆汇
640,2021-04-30,东北证券维持中国中铁增持评级：Q1业绩高速增长，发展路径稳健清晰,每日经济新闻
641,2021-04-30,【异动股】中国中铁(00390.HK)涨4.36%,财华社
642,2021-04-30,中国中铁：一季度归母净利润64.85亿元，同比增长80.89%,证券之星
643,2021-04-30,港股异动 | 中国中铁(0390.HK)涨近4% 一季度净利润升80.89%,格隆汇
644,2021-04-30,中国中铁一季度收入、利润均为历史同期最好水平,上证报
645,2021-04-29,长城建材-中铁装配（300374）一季报点评：集成产品成本、费用上升致业绩下滑18%，在手订单充足助力收入增长,高材疾足
646,2021-04-29,中国中铁(601390.SH)一季度归母净利同比增长80.89%至64.85亿元,智通财经
647,2021-04-29,中国中铁(00390.HK)：聘任段银华为证券事务代表,格隆汇
648,2021-04-29,中国中铁(601390.SH)一季度净利润升80.89%至64.85亿元,格隆汇
649,2021-04-29,中国中铁(00390.HK)一季度净利升80.89%至64.85亿元,格隆汇
650,2021-04-29,中国中铁：第一季度净利润64.85亿元，同比增80.89%,Wind
651,2021-04-29,新签合同额总计超12万亿，九大建筑央企2020年战绩大PK,我的钢铁
652,2021-04-27,中国中铁(00390)首季新签合同额3292.3亿元 同比减少2.5%,智通财经
653,2021-04-27,中国中铁(00390.HK)一季度新签合同3292.3亿元同比减少2.5%,格隆汇
654,2021-04-27,中国中铁前3月基础设施建设新签合同额2799.9亿元,乐居财经
655,2021-04-27,中国中铁：前3月房地产开发业务新签合同额100.2亿元 同比增200%,中金在线
656,2021-04-27,建筑与工程行业基金1Q21建筑持仓分析：公募加仓装配式龙头,新浪
657,2021-04-27,国资委：中国船、中国车、中国电等将集体亮相2021年中国品牌日活动,Wind
658,2021-04-27,中铁信托：“新雷”加“旧雷”,新浪
659,2021-04-26,建筑：21Q1建筑行业基金持仓仍为低位 低估值板块基本面向好配置价值凸显,新浪
660,2021-04-26,建筑行业周报：2021Q1建筑板块持仓分析,华安证券
661,2021-04-26,BlackRock Inc.减持中国中铁股份约1074.59万股 减持股份,每日经济新闻
662,2021-04-26,中国中铁500亿元小公募债券状态更新为“已受理”,乐居财经
663,2021-04-26,中国中铁500亿元公司债券获上交所受理 资金不用于房地产,中华网
664,2021-04-26,建筑装饰行业报告：Q1建筑配置比例回升 地方基建&装配式龙头业绩有望超预期,新浪
665,2021-04-26,中国中铁500亿元小公募公司债券获上交所受理,中国网
666,2021-04-25,建筑行业周观点：江浙两地发布重要文件，建筑业转型势在必行,华创建筑建材研究
667,2021-04-25,中铁信托频繁“踩雷”房地产项目 2020年信托资产规模或现下滑 投资失误,投资者网
668,2021-04-24,中国中铁股份有限公司关于2010年公司,中证报
669,2021-04-22,中铁诺德上海分公司转供电环节收费违法 29.8万违法所得被没收 其他违规处罚,中国网
670,2021-04-21,联合资信：终止“19铁工03”信用等级,Wind
671,2021-04-21,中国中铁拟发行2021年度第一期中票 上限发行30亿元,观点地产网
672,2021-04-21,中国中铁：拟发行30亿元中期票据,中金在线
673,2021-04-20,浙商早知道 | 4月21日,浙商证券研究所
674,2021-04-20,中国中铁(00390.HK)近期中标548.48亿元重大工程,格隆汇
675,2021-04-20,中国中铁(601390.SH)近期合计中标548.48亿元重大工程,格隆汇
676,2021-04-19,同业竞争、信息披露差异等被关注高铁电气科创板二轮问询7问7答,资本邦
677,2021-04-19,建筑行业周观点：投资数据全面恢复，地产销售强势增长,华创建筑建材研究
678,2021-04-16,中国中铁：长春东北亚国际博览中心项目正式开工,证券时报网
679,2021-04-16,中国中铁(00390.HK)将于4月28日及29日举行董事会会议以审批季度业绩,格隆汇
680,2021-04-16,为振兴东北贡献中铁力量 长春东北亚国际博览中心开工,中新网
681,2021-04-15,中国中铁(00390.HK)：“19铁工03”4月27日在上交所提前摘牌,格隆汇
682,2021-04-15,中国中铁(00390)：公司债券“19铁工03”提前摘牌,智通财经
683,2021-04-12,建筑行业每周观点：关注Q1业绩超预期标的 继续推荐“低股价、低估值、有变化”标的,新浪
684,2021-04-12,有赚头！五大行AIC公司2020年分羹49亿,Wind
685,2021-04-12,【太平洋建筑】减隔震技术“防减灾+碳中和”逻辑清晰，行业中长线高景气确定 ——周观点0411,太平洋建筑研究
686,2021-04-11,建筑行业周观点：装配式长期看好，低估值推荐四川路桥,华创建筑建材研究
687,2021-04-09,BlackRock Inc.减持中国中铁股份约1179.99万股 减持股份,每日经济新闻
688,2021-04-08,中国宝武与中国中铁开展交流 促进产业链协同发展,e公司
689,2021-04-08,BlackRock Inc.增持中国中铁股份约1180万股,每日经济新闻
690,2021-04-08,“市值考核”助燃上涨，低估值央企将迎来盛宴？中航资本中国神华等受关注,证券时报网
691,2021-04-08,合肥市委书记虞爱华与中国中铁董事长陈云商谈合作事项,证券时报网
692,2021-04-08,沈阳西部建设投资有限公司8588.76万项目环评获告知承诺制通过,每日经济新闻
693,2021-04-08,BlackRock Inc.增持中国中铁股份约1477.08万股,每日经济新闻
694,2021-04-08,中国中铁中标刚果金房建EPC项目,微信
695,2021-04-07,中国银河维持中国中铁推荐评级：新签订单快速提升，现金流大幅改善,每日经济新闻
696,2021-04-07,瑞信：降中国中铁(00390)目标价至6.81港元 评级“跑赢大市” 机构下调估值,智通财经
697,2021-04-07,中国中铁(00390.HK)：2019年公司债券(第二期)将于4月15日付息,格隆汇
698,2021-04-07,交银国际：中国中铁目标价升至5.12港元 维持买入评级,新浪
699,2021-04-07,中国中铁(601390)：扣非净利高增 经营现金流大幅改善,新浪
700,2021-04-06,建筑工程业行业：碳中和/央企国改/一带一路/矿产重估是2季度热点,新浪
701,2021-04-06,141股获券商买入评级 宇信科技目标涨幅达98.64%,Wind
702,2021-04-06,申万宏源建筑周报：建筑央企20年业绩表现较好 新签预示集中度将继续提升,新浪
703,2021-04-06,【太平洋建筑】各地方积极推行绿色建筑，减隔震有望实现双向受益 ——周观点0405,新浪
704,2021-04-05,【安信建筑】行业周报0405：3月建筑PMI快速提升，县城区域装配式建筑获大力推进,勇往直前
705,2021-04-05,建筑行业周观点：绿色建筑下沉至县级区域，装配式渗透率有望再提升,华创建筑建材研究
706,2021-04-04,每日报告回放,新浪
707,2021-04-02,首创证券--中国中铁：在手订单充足，延续增长可期【公司研究】,金融界股吧
708,2021-04-01,中国中铁(601390)：国改催化央企市值管理预期 业绩稳健和铜钼等重估弹性大,新浪
709,2021-04-01,“二铁”营收净利创新高 房地产毛利率均下降 盈利能力下降,新浪
710,2021-04-01,天风证券维持中国中铁买入评级，扣非归母净利增速超20%，现金流明显改善,每日经济新闻
711,2021-04-01,建筑装饰行业每周观点：推荐“低股价、低估值、有变化”标的 建议重点关注金螳螂,新浪
712,2021-04-01,【异动股】中国中铁(00390-HK)涨4.14%,财华社
713,2021-04-01,国盛证券--中国中铁：不惧疫情营收订单高增，扣非业绩增长22%表现亮眼【公司研究】,金融界股吧
714,2021-04-01,中国中铁：2020年扣非净利同增22.03%，营收连续九年正增长,证券时报网
715,2021-04-01,汇丰证券降中国中铁目标价至6.6港元，维持买入评级,Wind
716,2021-04-01,东北证券--中国中铁：业绩稳定增长，订单持续向好【公司研究】,金融界股吧
717,2021-03-31,中国中铁2020年报点评：扣非业绩高增长，经营质量全面提升,华创建筑建材研究
718,2021-03-31,【中泰交运建筑】中国中铁年报点评：业绩符合预期，期待价值重估,微信
719,2021-03-31,中国中铁(601390)2020年报点评：业绩超预期 高质量增长 龙头优势趋显,新浪
720,2021-03-31,600亿基建龙头突然涨停，中字头行情要来？,Wind
721,2021-03-31,中国中铁2020年总营收同比增长14.56% 新签合同额创历史新高,中证报
722,2021-03-31,中国中铁2020年综合盈利能力持续增强 2021年计划新签合同26400亿元,上证报
723,2021-03-31,八大券商主题策略：建筑板块迎来防御性独立行情 重点关注两条主线,中金在线
724,2021-03-31,中国中铁：业绩再创新高 奠基“十四五”高质量开局,证券时报网
725,2021-03-31,中国中铁：2020年净利润272.5亿元 同比增7.4%丨年报快讯,乐居财经
726,2021-03-31,中国中铁(00390)2020年计提减值准备80.54亿元 资产异常,智通财经
727,2021-03-31,中国中铁(00390)拟续聘普华永道中天和罗兵咸永道,智通财经
728,2021-03-31,中国中铁(00390.HK)2020年归母净利升6.4%至251.88亿元,格隆汇
729,2021-03-30,中国中铁(00390)2020年股东应占溢利同比增长6.4%至251.88亿元,智通财经
730,2021-03-30,中国中铁：2020年盈利251.88亿人民币，同比增长6.38%,Wind
731,2021-03-30,中国中铁(601390.SH)年度归母净利同比增6.38%至251.88亿元 每10股派1.8元,智通财经
732,2021-03-30,中国中铁(601390.SH)：2020年度净利升6.38%至251.88亿元 拟10派1.8元,格隆汇
733,2021-03-30,中铁去年地产业务营收493亿 录得销售金额685.6亿,观点地产网
734,2021-03-30,中国中铁：2020年净利同比增长6.38%,贝壳财经
735,2021-03-30,中国中铁：2020年归属股东净利润251.88亿元同比增6.38%,中国网
736,2021-03-30,中国中铁：2020年净利润同比增长6.38%，拟10派1.8元,Wind
737,2021-03-30,[公司]中铁装配2020年营收9.91亿元 拟10派0.1元,全景网
738,2021-03-30,长城证券--中铁装配公司动态点评：成本、费用上升致业绩下滑79%，碳中和背景下装配式建筑有望受益【公司研究】,金融界股吧
739,2021-03-30,长城建材-中铁装配（300374）年报点评：成本、费用上升致业绩下滑79%，碳中和背景下装配式建筑有望受益,高材疾足
740,2021-03-30,中国中铁签署东北亚国际博览中心项目合作协议,中国贸易报
741,2021-03-29,建筑行业第213期周报：碳中和钢铁园林热点纷呈 低估值国企改革蓄势待发,新浪
742,2021-03-29,建筑与工程行业周报：上调全年基建投资至4-6% 低估值龙头值得配置,新浪
743,2021-03-29,【太平洋建筑】减隔震与轨交减振将长期受益于“碳中和”目标——周观点0328,太平洋建筑研究
744,2021-03-28,建筑行业周观点：新增推荐四川路桥，十四五规划开启新征程,华创建筑建材研究
745,2021-03-28,【安信建筑】行业周报0328：交通建设稳步推进，优质基建央企和地方国企受益可期,勇往直前
746,2021-03-25,央企煤炭资产管理平台公司管理权移交中煤集团,Wind
747,2021-03-25,长三角示范区开发公司或于5月挂牌成立，中国中铁、中国建筑等企业参股,Wind
748,2021-03-23,中国中铁：“19铁工04”回售金额为17.8亿元，未转售,Wind
749,2021-03-23,中国中铁：“19铁工03”回售金额为1.47亿元，未转售,Wind
750,2021-03-23,【每日丝路快讯】3月23日：“一带一路”创新发展重大咨询项目启动,Wind
751,2021-03-23,高铁电气答复科创板首轮28问分拆上市、关联交易等被关注,资本邦
752,2021-03-23,建筑与工程点评报告：投资高增受益低基数 低估值建筑值得配置,新浪
753,2021-03-23,建筑行业每周观点：沿“碳中和”和“BIPV”路径 寻“低股价、低估值、有变化”标的,新浪
754,2021-03-22,基础设施投融资机制改革系列报告之十二：建筑央企开展基础设施REITS试点 助推改革持续深化,新浪
755,2021-03-22,建筑装饰行业周报：建筑板块持续出现超额收益 推荐装配式与估值基建,新浪
756,2021-03-22,建筑与工程行业周报：装配式面积放量 施工+构件需求景气向上,新浪
757,2021-03-22,央企、地方水务集团、地方环保集团合围！818水务领域里的这几股国资力量！,北极星节能
758,2021-03-22,南向资金高比例持有港股名单,证券之星
759,2021-03-21,【太平洋建筑】减隔震技术既“防灾”又“降碳”，民之福祉，空间广阔——周观点0321,太平洋建筑研究
760,2021-03-21,【安信建筑】行业周报0321：1-2月基建投资增速如期回升，多项政策规划助力建设需求释放,勇往直前
761,2021-03-19,科顺股份(300737)：拟收购丰泽股份100%股权 迈出多元化发展第一步,新浪
762,2021-03-18,中国中铁(00390.HK)将于3月30日举行董事会会议以审批年度业绩,格隆汇
763,2021-03-18,BlackRock Inc.减持中国中铁股份约266.98万股 减持股份,每日经济新闻
764,2021-03-17,BlackRock Inc.增持中国中铁股份约1585.28万股,每日经济新闻
765,2021-03-16,【异动股】中国中铁(00390-HK)涨3.2%,财华社
766,2021-03-16,67只港股获南向资金大比例持有,证券之星
767,2021-03-15,【异动股】中国中铁(00390-HK)涨3.04%,财华社
768,2021-03-15,A股收盘综述：上证指数跌0.96%守住3400关口，创业板指再挫逾4%,Wind
769,2021-03-15,兴证建筑行业每周观点：建筑业十四五全面推进转型升级 推荐装配式和BIPV赛道机会,新浪
770,2021-03-15,大基建央企股集体走升，中国化学、中国中铁、中国建筑领涨,Wind
771,2021-03-14,建筑行业周观点：装配式建筑超额完成十三五目标，钢结构加速发展,华创建筑建材研究
772,2021-03-12,中国中铁(00390.HK)委任陈云为执行董事,格隆汇
773,2021-03-12,中国中铁：选举贾惠平为监事会主席,中国网
774,2021-03-12,中国中铁：聘任何文、谭振忠为联席公司秘书,中国网
775,2021-03-12,中国中铁：聘任于腾群、刘宝龙、任鸿鹏为公司副总裁,中国网
776,2021-03-12,中国中铁：选举陈云为公司董事长,中国网
777,2021-03-12,A股法律风险报告：2月51家上市公司暴露风险 中国中铁旗下公司连收10条限消令,每日经济新闻
778,2021-03-12,中国中铁：聘任陈文健为公司总裁,中国网
779,2021-03-12,八大券商主题策略：关于碳中和 四十年投资蓝图徐徐展开（标的全览）,中金在线
780,2021-03-12,大基建央企板块涨超2%，中国核建、中国中铁、中国电建、中国建筑领涨,Wind
781,2021-03-11,中国中铁(00390)将下调“19铁工04”票面利率至3.2%,智通财经
782,2021-03-11,中国中铁(00390)将上调“19铁工03”票面利率至3.2%,智通财经
783,2021-03-11,中国中铁(00390.HK)“铁工回售”登记期为3月17日-3月19日,格隆汇
784,2021-03-11,中国中铁(00390.HK)：选举苑宝印为职工代表监事,格隆汇
785,2021-03-11,中国中铁：侯社中辞任职工代表监事 苑宝印获委任 董监高成员变化,中国网
786,2021-03-11,长城建材-中铁装配（300374）公司动态点评：碳中和背景下装配式建筑行业有望获得加速发展,高材疾足
787,2021-03-11,中国中铁：“19铁工04”回售登记期3月17日-3月19日,Wind
788,2021-03-11,中国中铁：“19铁工03”回售登记期3月17日-3月19日,Wind
789,2021-03-11,中国中铁：将“19铁工04”第3年票面利率由3.7%下调至3.2%,Wind
790,2021-03-11,中国中铁：将“19铁工03”第3年的票面利率由2.7%上调至3.2%,Wind
791,2021-03-11,南向资金高比例持有港股名单,证券之星
